   kūrmapurāṇam 1	kUrmapurANam 1
   ekā madviṣayā tatra dvitīyā vyaktasaṃśrayā /	ekA mad vizayA tatra dvitIyA vyakta saMSrayAH /
   anyā ca bhāvanā brāhmī vijñeyā sā guṇātigā // KūrmP_1,1.88 //	anyA ca BAvanA brAhmI vijQeyA sA guNa atigAH // KUrmP_1,1.88 //
   āsāmanyatamāṃ cātha bhāvanāṃ bhāvayed budhaḥ /	AsAm anyatamAm ca aTa BAvanAm BAvayet buDaH /
   aśaktaḥ saṃśrayedādyāmityeṣā vaidikī śrutiḥ // KūrmP_1,1.89 //	aSaktaH saMSrayet AdyAm iti ezA vEdikI SrutiH // KUrmP_1,1.89 //
   tasmāt sarvaprayatnena tanniṣṭhastatparāyaṇaḥ /	tasmAt sarva prayatnena tad nizWaH tad parAyaNaH /
   samārādhaya viśveśaṃ tato mokṣamavāpsyasi // KūrmP_1,1.90 //	samArADaya viSveSam tatas mokzam avApsyasi // KUrmP_1,1.90 //
   indradyumna uvāca	indradyumnaH uvAca
   kiṃ tat parataraṃ tattvaṃ kā vibhūtirjanārdana /	kim tat parataram tattvam kA viBUtiH janArdana /
   kiṃ kāryaṃ kāraṇaṃ kastvaṃ pravṛttiścāpi kā tava // KūrmP_1,1.91 //	kim kAryam kAraNam kaH tvam pravRttiH ca api kA tava // KUrmP_1,1.91 //
   parātparataraṃ tattvaṃ paraṃ brahmaikamavyayam /	parAtparataram tattvam param brahma ekam avyayam /
   nityānandaṃ svayañjyotirakṣaraṃ tamasaḥ param // KūrmP_1,1.92 //	nitya Anandam svayan jyotiH akzaram tamasaH param // KUrmP_1,1.92 //
   aiśvaryaṃ tasya yannityaṃ vibhūtiriti gīyate /	ESvaryam tasya yat nityam viBUtiH iti gIyate /
   kāryaṃ jagadathāvyaktaṃ kāraṇaṃ śuddhamakṣaram // KūrmP_1,1.93 //	kAryam jagat aTa avyaktam kAraNam SudDam akzaram // KUrmP_1,1.93 //
   ahaṃ hi sarvabhūtānāmantaryāmīśvaraḥ paraḥ /	aham hi sarva BUtAnAm antaryAmI ISvaraH paraH /
   sargasthityantakartṛtvaṃ pravṛttirmama gīyate // KūrmP_1,1.94 //	sarga sTiti anta kartR tvam pravRttiH mama gIyate // KUrmP_1,1.94 //
   etad vijñāya bhāvena yathāvadakhilaṃ dvija /	etat vijQAya BAvena yaTAvat aKilam dvija /
   tatastvaṃ karmayogena śāśvataṃ samyagarcaya // KūrmP_1,1.95 //	tatas tvam karma yogena SASvatam samyak arcaya // KUrmP_1,1.95 //
   indradyumna uvāca	indradyumnaH uvAca
   ke te varṇāśramācārā yaiḥ samārādhyate paraḥ /	ke te varNa ASrama AcArAH yEH samArADyate paraH /
   jñānaṃ ca kīdṛśaṃ divyaṃ bhāvanātrayasaṃsthitam // KūrmP_1,1.96 //	jQAnam ca kIdRSam divyam BAvanA traya saMsTitam // KUrmP_1,1.96 //
   kathaṃ sṛṣṭamidaṃ pūrvaṃ kathaṃ saṃhriyate punaḥ /	kaTam sRzwam idam pUrvam kaTam saMhriyate punar /
   kiyatyaḥ sṛṣṭayo loke vaṃśā manvantarāṇi ca /	kiyatyaH sRzwayaH loke vaMSAH manvantarANi ca /
   kāni teṣāṃ pramāṇāni pāvanāni vratāni ca // KūrmP_1,1.97 //	kAni tezAm pramANAni pAvanAni vratAni ca // KUrmP_1,1.97 //
   tīrthānyarkādisaṃsthānaṃ pṛthivyāyāmavistare /	tIrTAni arka Adi saMsTAnam pRTivI AyAma vistare /
   kati dvīpāḥ samudrāśca parvatāśca nadīnadāḥ /	kati dvIpAH samudrAH ca parvatAH ca nadInadAH /
   brūhi me puṇḍarīkākṣa yathāvadadhunākhilam // KūrmP_1,1.98 //	brUhi me puNxarIkAkza yaTAvat aDunA aKilam // KUrmP_1,1.98 //
   śrīkūrma uvāca	SrI kUrmaH uvAca
   evamukto 'tha tenāhaṃ bhaktānugrahakāmyayā /	evam uktaH aTa tena aham Bakta anugraha kAmyayA /
   yathāvadakhilaṃ sarvamavocaṃ munipuṅgavāḥ // KūrmP_1,1.99 //	yaTAvat aKilam sarvam avocam muni puFgavAH // KUrmP_1,1.99 //
   vyākhyāyāśeṣamevedaṃ yatpṛṣṭo 'haṃ dvijena tu /	vyAKyAya aSezam eva idam yat pRzwaH aham dvijena tu /
   anugṛhya ca taṃ vipraṃ tatraivāntarhito 'bhavam // KūrmP_1,1.100 //	anugRhya ca tam vipram tatra eva antarhitaH aBavam // KUrmP_1,1.100 //
   so 'pi tena vidhānena maduktena dvijottamaḥ /	saH api tena viDAnena mad uktena dvijottamaH /
   ārādhayāmāsa paraṃ bhāvapūtaḥ samāhitaḥ // KūrmP_1,1.101 //	ArADayAmAsa param BAva pUtaH samAhitaH // KUrmP_1,1.101 //
   tyaktvā putrādiṣu snehaṃ nirdvandvo niṣparigrahaḥ /	tyaktvA putra Adizu sneham nirdvandvaH nizparigrahaH /
   saṃnyasya sarvakarmāṇi paraṃ vairāgyamāśritaḥ // KūrmP_1,1.102 //	saMnyasya sarva karmANi param vErAgyam ASritaH // KUrmP_1,1.102 //
   ātmanyātmānamanvīkṣya svātmanyevākhilaṃ jagat /	Atmani AtmAnam anvIkzya sva Atmani eva aKilam jagat /
   saṃprāpya bhāvanāmantyāṃ brāhmīmakṣarapūrvikām // KūrmP_1,1.103 //	saMprApya BAvanAm antyAm brAhmIm akzara pUrvikAm // KUrmP_1,1.103 //
   avāpa paramaṃ yogaṃ yenaikaṃ paripaśyati /	avApa paramam yogam yena ekam paripaSyati /
   yaṃ vinidrā jitaśvāsāḥ kāṅkṣante mokṣakāṅkṣiṇaḥ // KūrmP_1,1.104 //	yam vinidrAH jita SvAsAH kAFkzante mokza kAFkziNaH // KUrmP_1,1.104 //
   tataḥ kadācid yogīndro brahmāṇaṃ draṣṭumavyayam /	tatas kadAcid yogi indraH brahmANam drazwum avyayam /
   jagāmādityanirdeśānmānasottaraparvatam /	jagAma Aditya nirdeSAt mAnasa uttara parvatam /
   ākāśenaiva viprendro yogaiśvaryaprabhāvataḥ // KūrmP_1,1.105 //	AkASena eva vipra indraH yoga ESvarya praBAvataH // KUrmP_1,1.105 //
   vimānaṃ sūryasaṃkāśaṃ prādhurbhūtamanuttamam /	vimAnam sUrya saMkASam prADurBUtam anuttamam /
   anvagacchan devagaṇā gandharvāpsarasāṃ gaṇāḥ /	anvagacCan deva gaNAH ganDarva apsarasAm gaNAH /
   dṛṣṭvānye pathi yogīndraṃ siddhā brahmarṣayo yayuḥ // KūrmP_1,1.106 //	dRzwvA anye paTi yogi indram sidDAH brahmarzayaH yayuH // KUrmP_1,1.106 //
   tataḥ sa gatvā tu giriṃ viveśa suravanditam /	tatas sa gatvA tu girim viveSa sura vanditam /
   sthānaṃ tadyogibhirjuṣṭaṃ yatrāste paramaḥ pumān // KūrmP_1,1.107 //	sTAnam tat yogiBiH juzwam yatra Aste paramaH pumAn // KUrmP_1,1.107 //
   saṃprāpya paramaṃ sthānaṃ sūryāyutasamaprabham /	saMprApya paramam sTAnam sUrya ayuta sama praBam /
   viveśa cāntarbhavanaṃ devānāṃ ca durāsadam // KūrmP_1,1.108 //	viveSa ca antar Bavanam devAnAm ca durAsadam // KUrmP_1,1.108 //
   vicintayāmāsa paraṃ śaraṇyaṃ sarvadehinām /	vicintayAmAsa param SaraNyam sarva dehinAm /
   anādinidhanaṃ devaṃ devadevaṃ pitāmaham // KūrmP_1,1.109 //	anAdiniDanam devam devadevam pitAmaham // KUrmP_1,1.109 //
   tataḥ prādurabhūt tasmin prakāśaḥ paramātmanaḥ /	tatas prAduraBUt tasmin prakASaH paramAtmanaH /
   tanmadhye puruṣaṃ pūrvamapaśyat paramaṃ padam // KūrmP_1,1.110 //	tad maDye puruzam pUrvam apaSyat paramam padam // KUrmP_1,1.110 //
   mahāntaṃ tejaso rāśimagamyaṃ brahmavidviṣām /	mahAntam tejasaH rASim agamyam brahma vidvizAm /
   caturmukhamudārāṅgamarcibhirupaśobhitam // KūrmP_1,1.111 //	catur muKam udAra aFgam arciBiH upaSoBitam // KUrmP_1,1.111 //
   so 'pi yoginamanvīkṣya praṇamantamupasthitam /	saH api yoginam anvIkzya praNamantam upasTitam /
   pratyudgamya svayaṃ devo viśvātmā pariṣasvaje // KūrmP_1,1.112 //	pratyudgamya svayam devaH viSvAtmA parizasvaje // KUrmP_1,1.112 //
   pariṣvaktasya devena dvijendrasyātha dehataḥ /	parizvaktasya devena dvijendrasya aTa dehataH /
   nirgatya mahatī jyotsnā viveśādityamaṇḍalam /	nirgatya mahatI jyotsnA viveSa Aditya maNxalam /
   ṛgyajuḥ sāmasaṃjñaṃ tat pavitramamalaṃ padam // KūrmP_1,1.113 //	Rc yajuH sAma saMjQam tat pavitram amalam padam // KUrmP_1,1.113 //
   hiraṇyagarbho bhagavān yatrāste havyakavyabhuk /	hiraNyagarBaH BagavAn yatra Aste havya kavya Buj /
   dvāraṃ tad yogināmādyaṃ vedānteṣu pratiṣṭhitam /	dvAram tat yoginAm Adyam vedAntezu pratizWitam /
   brahmatejomayaṃ śrīmanniṣṭhā caiva manīṣiṇām // KūrmP_1,1.114 //	brahma tejaH mayam SrImat nizWA ca eva manIziNAm // KUrmP_1,1.114 //
   dṛṣṭamātro bhagavatāta brahmaṇārcirmayo muniḥ /	dRzwa mAtraH BagavatAta brahmaNA arciH mayaH muniH /
   apaśyadaiśvaraṃ tejaḥ śāntaṃ sarvatragaṃ śivam // KūrmP_1,1.115 //	apaSyat ESvaram tejaH SAntam sarvatragam Sivam // KUrmP_1,1.115 //
   svātmānamakṣaraṃ vyomatad viṣṇoḥ paramaṃ padam /	sva AtmAnam akzaram vyoma tat vizNoH paramam padam /
   ānandamacalaṃ brahma sthānaṃ tatpārameśvaram // KūrmP_1,1.116 //	Anandam acalam brahma sTAnam tat pArameSvaram // KUrmP_1,1.116 //
   sarvabhūtātmabhūtaḥ sa paramaiśvaryamāsthitaḥ /	sarva BUta Atma BUtaH sa parama ESvaryam AsTitaH /
   prāptavānātmano dhāma yattanmokṣākhyamavyayam // KūrmP_1,1.117 //	prAptavAn AtmanaH DAma yat tat mokza AKyam avyayam // KUrmP_1,1.117 //
   tasmāt sarvaprayatnena varṇāśramavidhau sthitaḥ /	tasmAt sarva prayatnena varNa ASrama viDO sTitaH /
   samāśrityāntimaṃ bhāvaṃ māyāṃ lakṣmīṃ tared budhaḥ // KūrmP_1,1.118 //	samASritya antimam BAvam mAyAm lakzmIm taret buDaH // KUrmP_1,1.118 //
   sūta uvāca	sUtaH uvAca
   vyāhṛtā hariṇā tvevaṃ nārādādyā maharṣayaḥ /	vyAhRtA hariNA tu evam nArAda AdyAH mahA RzayaH /
   śakreṇa sahitāḥ sarve papracchurgaruḍadhvajam // KūrmP_1,1.119 //	SakreNa sahitAH sarve papracCuH garuxaDvajam // KUrmP_1,1.119 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   devadeva hṛṣīkeśa nātha nārāyaṇāmala /	devadeva hRzIkeSa nATa nArAyaNa amala /
   tad vadāśeṣamasmākaṃ yaduktaṃ bhavatā purā // KūrmP_1,1.120 //	tat vada aSezam asmAkam yat uktam BavatA purA // KUrmP_1,1.120 //
   indradyumnāya viprayā jñānaṃ dharmādigocaram /	indradyumnAya viprayA jQAnam Darma Adi gocaram /
   śuśrūṣuścāpyayaṃ śakraḥ sakhā tava jaganmaya // KūrmP_1,1.121 //	SuSrUzuH ca api ayam SakraH saKA tava jagat mayaH // KUrmP_1,1.121 //
   tataḥ sa bhagavān viṣṇuḥ kūrmarūpī janārdanaḥ /	tatas sa BagavAn vizNuH kUrma rUpI janArdanaH /
   rasātalagato devo nāradādyairmaharṣibhiḥ // KūrmP_1,1.122 //	rasAtala gataH devaH nArada AdyEH mahA RziBiH // KUrmP_1,1.122 //
   pṛṣṭaḥ provāca sakalaṃ purāṇaṃ kaurmamuttamam /	pRzwaH provAca sakalam purANam kOrmam uttamam /
   sannidhau devarājasya tad vakṣye bhavatāmaham // KūrmP_1,1.123 //	sanniDO devarAjasya tat vakzye BavatAm aham // KUrmP_1,1.123 //
   dhanyaṃ yaśasyāmāyuṣyaṃ puṇyaṃ mokṣapradaṃ nṛṇām /	Danyam yaSasyAm Ayuzyam puNyam mokza pradam nRNAm /
   purāṇaśravaṇaṃ viprāḥ kathanaṃ ca viśeṣataḥ // KūrmP_1,1.124 //	purANa SravaNam viprAH kaTanam ca viSezataH // KUrmP_1,1.124 //
   śrutvā cādhyāyamevaikaṃ sarvapāpaiḥ pramucyate /	SrutvA ca aDyAyam eva ekam sarva pApEH pramucyate /
   upākhyānamathaikaṃ vā brahmaloke mahīyate // KūrmP_1,1.125 //	upAKyAnam aTa ekam vA brahma loke mahIyate // KUrmP_1,1.125 //
   idaṃ purāṇaṃ paramaṃ kaurmaṃ kūrmasvarūpiṇā /	idam purANam paramam kOrmam kUrma svarUpiNA /
   uktaṃ devādhidevena śraddhātavyaṃ dvijātibhiḥ // KūrmP_1,1.126 //	uktam deva aDidevena SradDAtavyam dvijAtiBiH // KUrmP_1,1.126 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge prathamo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge praTamaH aDyAyaH
   śrīkūrma uvāca	SrI kUrmaH uvAca
   śṛṇudhvamṛṣayaḥ sarve yatpṛṣṭo 'haṃ jagaddhitam /	SRNuDvam RzayaH sarve yat pRzwaH aham jagat hitam /
   vakṣyamāṇaṃ mayā sarvamindradyumnāya bhāṣitam // KūrmP_1,2.1 //	vakzyamANam mayA sarvam indradyumnAya BAzitam // KUrmP_1,2.1 //
   bhūtairbhavyairbhaviṣyadbhiścaritairupabṛṃhitam /	BUtEH BavyEH BavizyadBiH caritEH upabRMhitam /
   purāṇaṃ puṇyadaṃ nṛṇāṃ mokṣadharmānukīrtanam // KūrmP_1,2.2 //	purANam puNya dam nRNAm mokza Darma anukIrtanam // KUrmP_1,2.2 //
   ahaṃ nārāyaṇo devaḥ pūrvamāsaṃ na me param /	aham nArAyaNaH devaH pUrva mAsam na me param /
   upāsya vipulāṃ nidrāṃ bhogiśayyāṃ samāśritaḥ // KūrmP_1,2.3 //	upAsya vipulAm nidrAm Bogi SayyAm samASritaH // KUrmP_1,2.3 //
   cintayāmi punaḥ sṛṣṭiṃ niśānte pratibudhya tu /	cintayAmi punar sRzwim niSA ante pratibuDya tu /
   tato me sahasotpannaḥ prasādo munipuṅgavā // KūrmP_1,2.4 //	tatas me sahasA utpannaH prasAdaH muni puFgavAH // KUrmP_1,2.4 //
   caturmukhastato jāto brahmā lokapitāmahaḥ /	caturmuKaH tatas jAtaH brahmA lokapitAmahaH /
   tadantare 'bhavat krodhaḥ kasmāccit kāraṇāt tadā // KūrmP_1,2.5 //	tad antare aBavat kroDaH kasmAccid kAraNAt tadA // KUrmP_1,2.5 //
   ātmano muniśārdūlāstatra devo maheśvaraḥ /	AtmanaH muni SArdUlAH tatra devaH maheSvaraH /
   rudraḥ krodhātmajo jajñe śūlapāṇistrilocanaḥ /	rudraH kroDa AtmajaH jajQe SUlapANiH trilocanaH /
   tejasā sūryasaṃkāśastrailokyaṃ saṃharanniva // KūrmP_1,2.6 //	tejasA sUrya saMkASaH trElokyam saMharan= iva // KUrmP_1,2.6 //
   tataḥ śrīrabhavad devi kamalāyatalocanā /	tatas SrIH aBavat devi kamala Ayata locanA /
   surūpā saumyavadanā mohinī sarvadehinām // KūrmP_1,2.7 //	surUpA sOmya vadanA mohinI sarva dehinAm // KUrmP_1,2.7 //
   śucismitā suprasannā maṅgalā mahimāspadā /	Suci smitA su prasannA maFgalA mahima AspadA /
   divyakāntisamāyuktā divyamālyopaśobhitā // KūrmP_1,2.8 //	divya kAnti samAyuktAH divya mAlya upaSoBitA // KUrmP_1,2.8 //
   nārāyaṇī mahāmāyā mūlaprakṛtiravyayā /	nArAyaNI mahAmAyA mUlaprakRtiH avyayA /
   svadhāmnā pūrayantīdaṃ matpārśvaṃ samupāviśat // KūrmP_1,2.9 //	sva DAmnA pUrayanti idam mad pArSvam samupAviSat // KUrmP_1,2.9 //
   tāṃ dṛṣṭavā bhagavān brahmā māmuvāca jagatpatiḥ /	tAm dRzwavA BagavAn brahmA mAm uvAca jagatpatiH /
   mohāyāśeṣabhūtānāṃ niyojaya surūpiṇīm /	mohAya aSeza BUtAnAm niyojaya surUpiNIm /
   yeneyaṃ vipulā sṛṣṭirvardhate mama mādhava // KūrmP_1,2.10 //	yena iyam vipulA sRzwiH varDate mama mADava // KUrmP_1,2.10 //
   tathokto 'haṃ śriyaṃ devīmabruvaṃ prahasanniva /	taTA uktaH aham Sriyam devIm abruvam prahasan= iva /
   devīdamakhilaṃ viśvaṃ sadevāsuramānuṣam /	devI idam aKilam viSvam sa deva asura mAnuzam /
   mohayitvā mamādeśāt saṃsāre vinipātaya // KūrmP_1,2.11 //	mohayitvA mama AdeSAt saMsAre vinipAtaya // KUrmP_1,2.11 //
   jñānayogaratān dāntān brahmiṣṭhān brahmavādinaḥ /	jQAna yoga ratAn dAntAn brahmizWAn brahma vAdinaH /
   akrodhanān satyaparān dūrataḥ parivarjaya // KūrmP_1,2.12 //	akroDanAn satya parAn dUratas parivarjaya // KUrmP_1,2.12 //
   dhyāyino nirmamān śāntān dhārmikān vedapāragān /	DyAyinaH nirmamAn SAntAn DArmikAn vedapAragAn /
   jāpinastāpasān viprān dūrataḥ parivarjaya // KūrmP_1,2.13 //	jApinaH tApasAn viprAn dUratas parivarjaya // KUrmP_1,2.13 //
   vedavedāntavijñānasaṃchinnāśeṣasaṃśayān /	veda vedAnta vijQAna saMCinna aSeza saMSayAn /
   mahāyajñaparān viprān dūrataḥ parivarjaya // KūrmP_1,2.14 //	mahAyajQa parAn viprAn dUratas parivarjaya // KUrmP_1,2.14 //
   ye yajanti japairhemairdevadevaṃ maheśvaram /	ye yajanti japEH hemEH devadevam maheSvaram /
   svādhyāyenejyayā dūrāt tān prayatnena varjaya // KūrmP_1,2.15 //	svADyAyena ijyayA dUrAt tAn prayatnena varjaya // KUrmP_1,2.15 //
   bhaktiyogasamāyuktānīśvarārpitamānasān /	Bakti yoga samAyuktAn ISvara arpita mAnasAn /
   prāṇāyāmādiṣu ratān dūrāt pariharāmalān // KūrmP_1,2.16 //	prANAyAma Adizu ratAn dUrAt parihara amalAn // KUrmP_1,2.16 //
   praṇavāsaktamanaso rudrajapyaparāyaṇān /	praNava Asakta manasaH rudra japya parAyaNAn /
   atharvaśiraso 'dhyetṛn dharmajñān parivarjaya // KūrmP_1,2.17 //	aTarvaSirasaH aDyetRn Darma jQAn parivarjaya // KUrmP_1,2.17 //
   bahunātra kimuktena svadharmaparipālakān /	bahunA atra kim uktena svaDarma paripAlakAn /
   īśvarārādhanaratān manniyogānna mohaya // KūrmP_1,2.18 //	ISvara ArADana ratAn mad niyogAt na mohaya // KUrmP_1,2.18 //
   evaṃ mayā mahāmāyā preritā harivallabhā /	evam mayA mahAmAyA preritA harivallaBA /
   yathādeśaṃ cakārāsau tasmāllakṣmīṃ samarcayet // KūrmP_1,2.19 //	yaTAdeSam cakAra asO tasmAt lakzmIm samarcayet // KUrmP_1,2.19 //
   śriyaṃ dadāti vipulāṃ puṣṭiṃ medhāṃ yaśo balam /	Sriyam dadAti vipulAm puzwim meDAm yaSaH balam /
   arcitā bhagavatpatnī tasmāllakṣmīṃ samarcayet // KūrmP_1,2.20 //	arcitA Bagavat patnI tasmAt lakzmIm samarcayet // KUrmP_1,2.20 //
   tato 'sṛjat sa bhagavān brahmā lokapitāmahaḥ /	tatas asRjat sa BagavAn brahmA lokapitAmahaH /
   carācarāṇi bhūtāni yathāpūrvaṃ mamājñayā // KūrmP_1,2.21 //	carAcarANi BUtAni yaTApUrvam mama AjQayA // KUrmP_1,2.21 //
   parīcibhṛgvaṅgirasaḥ pulastyaṃ pulahaṃ kratum /	parIci BRgu aFgirasaH pulastyam pulaham kratum /
   dakṣamatriṃ vasiṣṭhaṃ ca so 'sṛjad yogavidyayā // KūrmP_1,2.22 //	dakzam atrim vasizWam ca saH asRjat yoga vidyayA // KUrmP_1,2.22 //
   navaite brahmaṇaḥ putrā brahmāṇo brāhmaṇottamāḥ /	navA ete brahmaNaH putrAH brahmANaH brAhmaNa uttamAH /
   brahmavādina evaite marīcyādyāstu sādhakāḥ // KūrmP_1,2.23 //	brahma vAdinaH eva ete marIci AdyAH tu sADakAH // KUrmP_1,2.23 //
   sasarja brāhmaṇān vaktrāt kṣatriyāṃśca bhujād vibhuḥ /	sasarja brAhmaNAn vaktrAt kzatriyAn= ca BujAt viBuH /
   vaiśyānūrudvayād devaḥ pādārchūdrān pitāmahaḥ // KūrmP_1,2.24 //	vESyAn Uru dvayAt devaH pAda arCUdrAn pitAmahaH // KUrmP_1,2.24 //
   yajñaniṣpattaye brahmā śūdravarjaṃ sasarja ha /	yajQa nizpattaye brahmA SUdra varjam sasarja ha /
   guptaye sarvavedānāṃ tebhyo yajño hi nirbabhau // KūrmP_1,2.25 //	guptaye sarva vedAnAm teByaH yajQaH hi nirbaBO // KUrmP_1,2.25 //
   ṛco yajūṃṣi sāmāni tathaivātharvaṇāni ca /	RcaH yajUMzi sAmAni taTA eva ATarvaNAni ca /
   brahmaṇaḥ sahajaṃ rūpaṃ nityaiṣā śaktiravyayā // KūrmP_1,2.26 //	brahmaNaH sahajam rUpam nityA ezA SaktiH avyayAH // KUrmP_1,2.26 //
   anādinidhanā divyā vāgutsṛṣṭā svayaṃbhuvā /	anAdi niDanA divyA vAc utsRzwA svayaMBuvA /
   ādau vedamayī bhūtā yataḥ sarvāḥ pravṛttayaḥ // KūrmP_1,2.27 //	AdO veda mayI BUtAH yatas sarvAH pravRttayaH // KUrmP_1,2.27 //
   ato 'nyānitu śāstrāṇipṛthivyāṃyānikānicit /	atas anyAnitu SAstrANi pRTivI AMyAnikA nicid /
   na teṣu ramate dhīraḥ pāṣaṇḍī tena jāyate // KūrmP_1,2.28 //	na tezu ramate DIraH pAzaNxI tena jAyate // KUrmP_1,2.28 //
   vedārthavittamaiḥ kāryaṃ yatsmṛtaṃ munibhiḥ purā /	veda arTa vittamEH kAryam yat smRtam muniBiH purA /
   sa jñeyaḥ paramo dharmo nānyaśāstreṣu saṃsthitaḥ // KūrmP_1,2.29 //	sa jQeyaH paramaH DarmaH na anya SAstrezu saMsTitaH // KUrmP_1,2.29 //
   yā vedabāhyāḥ smṛtayo yāśca kāśca kudṛṣṭayaḥ /	yAH veda bAhyAH smRtayaH yAH ca kAH ca kudRzwayaH /
   sarvāstā niṣphalāḥ pretyatamoniṣṭhāhitāḥ smṛtāḥ // KūrmP_1,2.30 //	sarvAH tAH nizPalAH pretya tamaH nizWA hitAH smRtAH // KUrmP_1,2.30 //
   pūrvakalpe prajā jātāḥ sarvabādāvivarjitāḥ /	pUrva kalpe prajAH jAtAH sarva bAda avivarjitAH /
   śuddhāntaḥ karaṇāḥ sarvāḥ svadharmaniratāḥ sadā // KūrmP_1,2.31 //	SudDAntaH karaNAH sarvAH svaDarma niratAH sadA // KUrmP_1,2.31 //
   tataḥ kālavaśāt tāsāṃ rāgadveṣādiko 'bhavat /	tatas kAla vaSAt tAsAm rAga dveza AdikaH aBavat /
   adharmo muniśārdūlāḥ svadharmapratibandhakaḥ // KūrmP_1,2.32 //	aDarmaH muni SArdUlAH svaDarma pratibanDakaH // KUrmP_1,2.32 //
   tataḥ sā sahajā siddhistāsāṃ nātīva jāyate /	tatas sA sahajA sidDiH tAsAm na atIva jAyate /
   rajomātrātmikāstāsāṃ siddhayo 'nyāstadābhavan // KūrmP_1,2.33 //	rajaH mAtra AtmikAH tAsAm sidDayaH anyAH tadA aBavan // KUrmP_1,2.33 //
   tāsu kṣīṇāsvaśeṣāsu kālayogena tāḥ punaḥ /	tAsu kzINAsu aSezAsu kAla yogena tAH punar /
   vārtopāyaṃ punaścakrurhastasiddhiṃ ca karmajām /	vArtA upAyam punar cakruH hasta sidDim ca karma jAm /
   tatastāsāṃ vibhurbrahmā karmājīvamakalpayat // KūrmP_1,2.34 //	tatas tAsAm viBuH brahmA karma AjIvam akalpayat // KUrmP_1,2.34 //
   svāyaṃbhuvo manuḥ pūrvaṃ dharmān provāca dharmadṛk /	svAyaMBuvaH manuH pUrvam DarmAn provAca Darma dRS /
   sākṣāt prajāpatermūrtirnisṛṣṭā brahmaṇā dvijāḥ /	sAkzAt prajApateH mUrtiH nisRzwAH brahmaNA dvijAH /
   bhṛgvādayastadvadanācchrutvā dharmānathocire // KūrmP_1,2.35 //	BRgu AdayaH tad vadanAt SrutvA DarmAn aTa Ucire // KUrmP_1,2.35 //
   yajanaṃ yājanaṃ dānaṃ brāhmaṇasya pratigraham /	yajanam yAjanam dAnam brAhmaNasya pratigraham /
   adhyāpanaṃ cādhyayanaṃ ṣaṭ karmāṇi dvijottamāḥ // KūrmP_1,2.36 //	aDyApanam ca aDyayanam zax karmANi dvijottamAH // KUrmP_1,2.36 //
   dānamadhyayanaṃ yajño dharmaḥ kṣatriyavaiśyayoḥ /	dAnam aDyayanam yajQaH DarmaH kzatriya vESyayoH /
   daṇḍo yuddhaṃ kṣatriyasya kṛṣirvaiśyasya śasyate // KūrmP_1,2.37 //	daNxaH yudDam kzatriyasya kRziH vESyasya Sasyate // KUrmP_1,2.37 //
   śuśrūṣaiva dvijātīnāṃ śūdrāṇāṃ dharmasādhanam /	SuSrUzA eva dvijAtInAm SUdrANAm Darma sADanam /
   kārukarma tathājīvaḥ pākayajño 'pi dharmataḥ // KūrmP_1,2.38 //	kAru karma taTA AjIvaH pAkayajQaH api DarmataH // KUrmP_1,2.38 //
   tataḥ sthiteṣu varṇeṣu sthāpayāmāsa cāśramān /	tatas sTitezu varNezu sTApayAmAsa ca ASramAn /
   gṛhasthaṃ ca vanasthaṃ ca bhikṣukaṃ brahmacāriṇam // KūrmP_1,2.39 //	gRhasTam ca vana sTam ca Bikzukam brahmacAriNam // KUrmP_1,2.39 //
   agnayo 'tithiśuśrūṣā yajño dānaṃ surārcanam /	agnayaH atiTi SuSrUzA yajQaH dAnam sura arcanam /
   gṛhasthasya samāsena dharmo 'yaṃ munipuṅgavāḥ // KūrmP_1,2.40 //	gRhasTasya samAsena DarmaH ayam muni puFgavAH // KUrmP_1,2.40 //
   homo mūlaphalāśitvaṃ svādhyāyastapa eva ca /	homaH mUla Pala ASi tvam svADyAyaH tapaH eva ca /
   saṃvibhāgo yathānyāyaṃ dharmo 'yaṃ vanavāsinām // KūrmP_1,2.41 //	saMviBAgaH yaTAnyAyam DarmaH ayam vana vAsinAm // KUrmP_1,2.41 //
   bhaikṣāśanaṃ ca maunitvaṃ tapo dhyānaṃ viśeṣataḥ /	BEkza aSanam ca mOni tvam tapaH DyAnam viSezataH /
   samyagjñānaṃ ca vairāgyaṃ dharmo 'yaṃ bhikṣuke mataḥ // KūrmP_1,2.42 //	samyak jQAnam ca vErAgyam DarmaH ayam Bikzuke mataH // KUrmP_1,2.42 //
