   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   [29] atha kṛṣṇaś ca tad eva sthāpayan prāha sma,- āstāṃ tāvan-mama	[29] aTa kRzNaH ca tat eva sTApayan prAha sma, AstAm tAvan-mama
   tanūjasya vārtā, asya ca śrī-man-mad-agrajasya bhavān eva dharmataḥ pitā;	tanUjasya vArtA, asya ca SrI-man-mad-agrajasya BavAn eva DarmataH pitA;
   yataḥ-	yatas--
   sa pitā sā ca jananī yau puṣñītāṃ sva-putravat |	sa pitA sA ca jananI yO puzQItAm sva-putra-vat |
   śiśūn bandhubhir utsṛṣṭān akalpaiḥ poṣa-rakṣaṇe || [bhā 10.45.22] iti |	SiSUn banDuBiH utsRzwAn akalpEH poza--rakzaNe || [BA 10.45.22] iti |
   [30] tasmāc-chrī-mad-āryasya cāsya bhavac-caraṇa-paricaryā paraṃ varyā;	[30] tasmAc-SrI-mad--Aryasya ca-asya Bavac--caraNa--paricaryA param varyA;
   kiṃ tu suhṛdām eṣāṃ sukham abhimukhaṃ vidhāya śrī-caraṇam āgamisyāmaḥ |	kim tu suhRdAm ezAm suKam aBimuKam viDAya SrI--caraNam AgamisyAmaH |
   [31] vraja-rāja uvāca,- vatsa ! tāvad vayam apy atra vatsyāmaḥ |	[31] vraja-rAjaH uvAca, vatsa ! tAvat vayam api atra vatsyAmaH |
   [32] śrī-kṛṣṇa uvāca,- tāta ! tathā vidheyaṃ yathā bhavad-vyatirekād	[32] SrI--kRzNaH uvAca, tAta ! taTA viDeyam yaTA Bavat--vyatirekAt-
   ekākitayā mātā mā tāpaṃ yāsīt |	ekAkitayA mAtA mA tApam yAsIt |
   [33] vraja-rāja uvāca,- tām api bhavataḥ samīpam evāpayiṣyāmaḥ |	[33] vraja-rAjaH uvAca, tAm api BavataH samIpam eva-apayizyAmaH |
   [34] śrī-kṛṣṇa uvāca,- tataḥ sarvam api gokulam utsannatām āpannaṃ syāt |	[34] SrI--kRzNaH uvAca, tatas sarvam api gokulam utsanna-tAm Apannam syAt |
   [35] vraja-rāja uvāca,- tarhi sarvam api vrajaṃ nikaṭaṃ ghaṭayiṣyāmaḥ |	[35] vraja-rAjaH uvAca, tarhi sarvam api vrajam nikawam GawayizyAmaH |
   [36] śrī-kṛṣṇa uvāca,- sampraty asmākaṃ bahulāḥ pratyahaṃ	[36] SrI--kRzNaH uvAca, samprati asmAkam bahulAH pratyaham
   saṃkhyādhikaya-pratyataḥ suṣṭhu bahulā jātāḥ | tāsām upa-nagara-vanaṃ kim	saMKyA-aDika-ya--pratyatas suzWu bahulAH jAtAH | tAsAm upa-nagara-vanam kim
   upa-jīvanaṃ syāt ? gāvaś cāsmākaṃ kula-devya iti tā eva sevyatām arhanti |	upa-jIvanam syAt ? gAvaH ca-asmAkam kula-devyaH iti tAH eva sevyatAm arhanti |
   yadi vā mad-arthaṃ sarvaṃ bhavatām, māṃ vinā tu byartham iti	yadi vA mad--arTam sarvam BavatAm, mAm vinA tu byarTam iti
   samarthanīyam, tarhi ca mat-prāṇā eva tā iti tā eva prāṇanīyāḥ |	samarTanIyam, tarhi ca mat--prANAH eva tAH iti tAH eva prANanIyAH |
   [37] kiṃ ca, yadavo'pi nāhitaṃ vyāharanti; sphuṭam	[37] kim ca, yat-avaH-api na-ahitam vyAharanti; sPuwam
   upalabdha-kaṃsa-saṃbandha-jarāsandha-nirbandhād-akṣauhiṇī-lakṣita-dur-jana-lakṣāṇi	upalabDa---kaMsa--saMbanDa--jarA-sanDa--nirbanDAt--akzOhiNI--lakzita--dur-jana--lakzANi
   mathurām avarotsyanti; tarhi garhitam eva bhavet | tatrāstām	maTurAm avarotsyanti; tarhi garhitam eva Bavet | tatra-AstAm
   asmat-sāmīpyam asmad-asāmīpyataś ca bhavad-avasthānaṃ yady	asmat--sAmIpyam asmad--asAm-IpyataH ca Bavat--avasTAnam yadi-
   asmat-saṃbandhaṃ vinā labdha-sandhaṃ bhavet tarhy eva kṛcchraṃ narcchet |	asmat--saMbanDam vinA labDa-sanDam Bavet tarhi eva kRcCram na-RcCet |
   gūḍha-puruṣa-dvāreṇa jñāte hy asmat-saṃbandhe jarāsandhādayas ta ete	gUXa--puruza--dvAreNa jQAte hi asmat--saMbanDe jarAsanDa-AdayaH te ete
   kaṃsa-van na bhayānubandhā iti chala-balam ekam ekaṃ na prasthāpayiṣyanti	kaMsa-vat na Baya-anubanDAH iti Cala-balam ekam ekam na prasTApayizyanti
   | kiṃ tv akṣauhiṇībhir dravantaḥ sarvaṃ vrajam apy upadrāvayiṣyanti |	| kim tu akzOhiNIBiH dravantaH sarvam vrajam api upadrAvayizyanti |
   tasmād asmābhir yuṣmābhiś ca gopayitavya eva gandhaś ca	tasmAt asmABiH yuzmABiH ca gopayitavyaH eva ganDaH ca
   vyati-saṃbandhasya; ete ca mayā yādavā durgāntare davayitavyāḥ; bhavantas	vyati-saMbanDasya; ete ca mayA yAdavAH durga-antare davayitavyAH; Bavanta-s
   tv asaṃkhyā na tathā kartuṃ śakyāḥ | saṃkhyām aticarantīnāṃ vanecarantīnāṃ	tu asaMKyAH na taTA kartum SakyAH | saMKyAm ati-carantInAm vanecarantInAm
   gavām āvaraṇaṃ tu sutarām eva duṣkaram; tasmāt teṣāṃ	gavAm AvaraNam tu sutarAm eva duzkaram; tasmAt tezAm
   durga-vad-asmad-audāsīnyam eva bhavatāṃ rakṣāyāṃ prāvīṇyam arhati |	durga-vat--asmad--OdAsInyam eva BavatAm rakzAyAm prAvINyam arhati |
   [38] kiṃ tu tāvad eva tad vidheyam, yāvat sarva-vipakṣa-pakṣāpakṣayaṃ	[38] kim tu tAvat eva tat viDeyam, yAvat sarva-vipakza--pakza-apakzayam
   vidhāya svayam eva śrī-mad-vrajam āvrajāmaḥ | āvrajite ca tasmin na punar	viDAya svayam eva SrI-mad--vrajam Avra-jAmaH | Avrajite ca tasmin na punar-
   anyatra vrajanam api syāt, yato	anyatra vrajanam api syAt, yatas-
   nirupadhi-sneha-vyagra-bhavad-agrima-sva-jana-varga-darśana-sukha-mātra	nirupaDi--sneha--vyagra--Bava-t--agrima--su-a--jana--varga-darSana--suKa--mAtra
   phala-pātratayā nirupādhir asau puruṣārthaḥ kathaṃ bādhitaḥ syāt ?	Pala--pAtra-tayA nirupADiH asO puruza-arTaH kaTam bADitaH syAt ?
   tad-evaṃ vyasya yan nivedutaṃ tad tad evedaṃ samasya nivedayāmi,	tat--evam vyasya yat nivedutam tat tat eva-idam samasya nivedayAmi,
   yāta yūyaṃ vrajaṃ tāta vayaṃ ca sneha-duḥkhitān |	yAta yUyam vrajam tAta vayam ca sneha--duHKitAn |
   jñātīn vo draṣṭum eṣyāmo vidhāya suhṛdāṃ sukham || [bhā 10.45.23] iti |	jQAtIn vaH drazwum ezyAmaH viDAya suhRdAm suKam || [BA 10.45.23] iti |
   [39] tad-etat-paryantaṃ madhukaṇṭhaḥ procya bhrātaram avalocya prāha sma,-	[39] tad--etat--paryantam maDukaNWaH procya BrAtaram avalocya prAha sma,-
   atra ætāta' iti nijāntaḥ-sthāpita-putratā-bhāvanāyā yogyam eva	atra ætAta-a iti nija-antaH--sTApita-putra-tA--BAvanAyAH yogyam eva
   sambodhanam; æjñātīn' iti, tatrāpi æsneha-duḥkhitān' iti snehasya	samboDanam; æjQAtIn-a iti, tatra-api æsneha--duHKitAn-a iti snehasya
   niravadhikatvāt prati-kṣaṇaṃ didṛkṣuṣu tan-mukhyeṣu teṣv evāvasthānaṃ	niravaDika-tvAt prati-kzaNam didRkzuzu tan--muKyezu tezu eva-avasTAnam
   prati-kṣaṇam eva sva-vīkṣaṇa-dānaṃ ca vivakṣitam | ævayam' iti æasmado	prati-kzaNam eva sva-vIkzaNa-dAnam ca vivakzitam | ævayam-a iti æasmadaH-
   dvayoś ca' iti pāṇinīya-smaraṇād astu tāvan mama vārtā, kiṃ tv āvāṃ dvāv	dvayoH ca-a iti pANinIya--smaraNAt astu tAvat mama vArtA, kim tu AvAm dvO=-
   apy eṣyāva iti vyañjitam | ædraṣṭum' iti teṣām ivātmano'pi	api ezyAvaH iti vyaQjitam | ædrazwum-a iti tezAm iva-AtmanaH-api
   tad-darśana-mātra-puruṣārthatā samarthitā | æathāpi bhūman mahimā guṇasya	tad--darSana--mAtra--puruza-arTa-tA samarTitA | æaTa-api BUmat mahimA guNasya
   te, viboddhum arhati' [bhā 10.14.6] ity atra bodha-viṣayī-bhavitum	te, vibodDum arhati-a [BA 10.14.6] iti atra boDa--vizayI--Bavitum
   iti-vad-darśana-viṣayī-bhavitum ity arthāntare'pi tad-vad eva	iti-vat--darSana--vizayI--Bavitum iti arTa-antare-api tad--vat eva
   siddhāntitam; æsuhṛdām' iti yadūnām ajñātitvam upakāryatva-mātraṃ ca	sidDAntitam; æsuhRdAma iti yadUnAm ajQAti-tvam upakArya-tva--mAtram ca
   dhvani-pātraṃ kṛtam | tatra ca æsukhaṃ vidhāya' iti ktvā-prayogeṇa	Dvani-pAtram kRtam | tatra ca æsuKam viDAyaa iti ktvA--prayogeNa
   sāvadhika-nirdeśāt tad-bhayādi-nāśanānataraṃ punas tad anapekṣatvam api	sO=-aDika-nirdeSAt tad--Baya-Adi-nASana-Anataram punar tat anapekza-tvam api
   lakṣitam iti |	lakzitam iti |
   [40] tatra snigdhakaṇṭhaḥ sotkaṇṭhaṃ papraccha,- atha tatra kiṃ vyavasitaṃ	[40] tatra snigDa-kaNWaH sa-utkaNWam papracCa, aTa tatra kim vyavasitam
   śrī-vrajeśa-caraṇānām ?	SrI--vraja-ISa--caraNAnAm ?
   [41] madhukaṇṭhaḥ prāha sma,- vraja-rājaś ca tadīya-vāco-yukti-racanam	[41] maDukaNWaH prAha sma, vraja-rAjaH ca tadIya-vAco-yukti--racanam
   anabhirucitam api bāḍham ucitam iti matvā manasi sva-lalāṭaṃ hatvā	anaBirucitam api bAXam ucitam iti matvA manasi sva-lalAwam hatvA
   vāṣpa-spṛṣṭam aspaṣṭam ācaṣṭa,- bhavan-mātā tu vāmā katham iyad-budhyatām	vA-azpa--spRzwam aspazwam Acazwa, Bavan-mAtA tu vAmA kaTam iyat--buDyatAm
   [42] śrī-kṛṣṇa uvāca,- tāṃ prati ca yatheṣṭa-praṇāma-pūrvakaṃ	[42] SrI--kRzNaH uvAca, tAm prati ca yaTezwa--praNAma--pUrvakam
   nijeṣṭa-dvārā mayedaṃ sandeṣṭavyam iti procya sva-hasta-lipibhis tat	nija-izwa-dvArAH mayA-idam sandezwavyam iti procya sva-hasta-lipiBiH tat-
   patraṃ virocya śrīdāma-hasta-vinyastaṃ kṛtavān |	patram virocya SrI-dAma--hasta--vinyastam kRtavAn |
   [43] śrīdāmā ca śrī-vraja-rāja-śuśrūṣāyāṃ kṛtānusandhas tan-mukhabandham	[43] SrIdAmA ca SrI--vraja-rAja--SuSrUzAyAm kRta-anusanDaH tan--muKa-banDam
   atīva tad-dīnan-manyatānubandham anusandhāya taṃ vihāya nivedyam eva	atIva tad--dInan-manyatA-anubanDam anusanDAya tam vihAya nivedyam eva
   sa-gadgadaṃ gadati sma,- yathā samprati vayaṃ duṣṭa-janāt kaṣṭam āśaṃkya	sa-gadgadam gadati sma, yaTA samprati vayam duzwa-janAt kazwam ASaMkya
   spaṣṭam eva nāyāsyāmaḥ; kiṃ tu śrīmat-pitṛ-caraṇa-paricaraṇa-prabhāvān	spazwam eva na-AyAsyAmaH; kim tu SrImat--pitR-caraNa--paricaraNa--praBAvAn
   mamāṣaḍa-kṣīṇam akṣīṇam āgamanaṃ pratyaham api vidyata eva |	mama-azaxa--kzINam akzINam Agamanam pratyaham api vidyate eva |
   tathā hi-	taTA hi-
   ādye'hni kṣīra-bhaktaṃ ghana-dadhi-valitā roṭikā tasya paścāt-	Adye-ahni kzIra-Baktam Gana-daDi-valitA rowikA tasya paScAt--
   tat-paścād-dugdha-pūpaṃ tad-anu bahuvidhānnādyam anyeṣu cānyat |	tat-paScAt--dugDa--pUpam tat--anu bahuviDa-annAdyam anyezu ca-anyat |
   mātar mahyaṃ nikāyye mahati rasayate paryaveṣi tvayā yan	mAtar mahyam nikAyye mahati rasayate paryavezi tvayA yat-
   na svapnas tan na vā tat sphuraṇa-mayam iti smaryatāṃ kiṃ tu satyam ||	na svapnaH tat na vA tat sPuraNa--mayam iti smaryatAm kim tu satyam ||
   GC_2,6.3 ||	GC_2,6.3 ||
   kiṃ ca,	kim ca,
   yavann āśnāsi mātas tvam iti niśamaye hanta nāśnāni tāvad	yavan ASnAsi mAtar tvam iti niSamaye hanta na-aSnAni tAvat-
   yady aśnāmīva tarhy apy anubhavad asu me ye'savaḥ śoṣamīyuḥ |	yadi aSnAmI-iva tarhi api anuBavat asu me ye-asavaH Sozam-IyuH |
   goṣṭhaṃ gacchāni paśyāny api nija-jananīṃ tad-vidhām evam eva	gozWam gacCAni paSyAni api nija--jananIm tat--viDAm evam eva
   hy udyat tejaḥ-prakāśād ripu-gaṇam acirād ut-sahiṣye vijetum || iti ||	hi udyat tejaH-prakASAt ripu--gaNam acirAt ut--sahizye vijetum || iti ||
   GC_2,6.4 ||	GC_2,6.4 ||
   [44] atha tad-etan niśamya samyag- asrāvilaṃ sandeśa-haraś ca vyājahāra,-	[44] aTa tat--etat niSamya samyag asra-Avilam sandeSa--haraH ca vyAjahAra,-
   satyaṃ śrī-vrajeśvarī-caraṇāś ca svapna-vad idaṃ	satyam SrI--vrajeSvarI--caraNAH ca svapna--vat idam
   sāmprata-bhavad-bhojanādikaṃ sa-rodanaṃ vadanti sma | bhavad-duḥkham	sAmprata-Bavat--Bojana-Adikam sa-rodanam vadanti sma | Bavat--duHKam
   āśaṃkya svābhojanam api gopayanti sma iti |	ASaMkya svABojanam api gopayanti smaH iti |
   [45] atha tad-etad avadhārya sāścaryatayā sthiteṣu teṣu	[45] aTa tat--etat avaDArya sa-AScarya-tayA sTitezu tezu
   vraja-mahīkṣīd-ārdra-vīkṣitam ācacakṣe,- bhavataḥ prema-vaśyānāṃ	vraja--mahIkzId-a-Ardra--vIkzitam Acacakze, BavataH prema--vaSyAnAm
   vayasyānām eṣāṃ vartane kā vārtā ?	vayasyAnAm ezAm vartane kA vArtA ?
   [46] śrī-kṛṣṇa uvāca,- śrīman-mātṛvad eva te cāmī mamepsita-sakhi-janā	[46] SrI--kRzNaH uvAca, SrIman-mAtR-vat eva te ca-amI mama-Ipsita-saKi-janA
   vīkṣyayā mām upalapsyante; kiṃ tu mātur-vatsalatā-svabhāvatayā kadācid	vIkzyayA mAm upalapsyante; kim tu mAtuH--vatsala-tA--svaBAva-tayA kadAcid-
   anyathā-prathā bhāsiṣyate, na punar amīṣāṃ praṇaya-bhājām iti |	anyaTA-praTA BAsizyate, na punar amIzAm praNaya--BAjAm iti |
   [47] vrajeśvara uvāca,- prathamatas tāvad eta iva gāvaḥ katham etāvatīṃ	[47] vrajeSvaraH uvAca, praTamatas tAvat ete iva gAvaH kaTam etAvatIm
   prakriyāṃ śrāvaṇīṃ kurvantu ?	prakriyAm SrAvaNIm kurvantu ?
   [48] śrī-kṛṣṇa uvāca,- yady api tāsv api mama tathā-sphūrtir-jūrtim	[48] SrI--kRzNaH uvAca, yadi api tAsu api mama taTA-sPUrtir-jUrtim
   apanayet tathāpi prakārāntaram api bahir-vṛtti-samādhānāya vidhāsyāmi |	apanayet taTA-api prakAra-antaram api bahis--vRtti--samADAnAya viDAsyAmi |
   yathā- tāsāṃ gandhānu-sandhānam eva pradhānaṃ rava-gaṇa-śravaṇaṃ ca;	yaTA tAsAm ganDa-anu-sanDAnam eva praDAnam rava--gaNa--SravaNam ca;
   rūpa-nirūpanaṃ tu tat-pradhānakam eva | tasmāt stoka-kṛṣṇo'yaṃ	rUpa-nirUpanam tu tat--praDAnakam eva | tasmAt stoka--kRzNaH-ayam
   tad-abhyasta-mada-stoka-saurabhya-parirabhyamāṇa-vastra-saṃvastraṇayā	tad--aByasta-mada--stoka--sOraBya--pariraByamANa-vastra--saMvastraNayA
   kṛta-man-muralī-khuralīkatayā ca tathā subalaś cāyaṃ	kRta-man-muralI--Kura-lIka-tayA ca taTA subalaH ca-ayam
   bala-vasanāvalambatayā tadīya-śṛṃga-saṃgitayā ca tāsāṃ madyham adhyāsitaṃ	bala-vasana-avalamba-tayA tadIya--SRMga--saMgitayA ca tAsAm madyham aDyAsitam
   kurutām | tataś ca mamākhila-guṇa-nidhaya ete sarve'py anayoḥ	kurutAm | tatas ca mama-aKila--guNa--niDayaH ete sarve-api anayoH
   prati-nidhayaḥ syur yatra vanyāś ca te dhanyāḥ sarvābhi-vādyā mṛga-nagādyā	prati-niDayaH syuH yatra vanyAH ca te DanyAH sarva-aBi-vAdyA mRga-naga-AdyA
   mat-sphūrti-pūrtim āgaccheyur iti sarvam eva samañjasaṃ bhavitā iti |	mat--sPUrti--pUrtim AgacCeyuH iti sarvam eva samaQjasam BavitA iti |
   [49] atha nija-paricārakān śūdrābhīra-kumārakān hata-vicārakān niśāmya	[49] aTa nija--paricArakAn SUdra-ABIra--kumArakAn hata--vicArakAn niSAmya
   vaivaśyād vaiśyābhīra-rāji śāmyad-vacana-śaktibhāji svayam eva so'yam	vEvaSyAt vESya-ABIra--rAji SAmyad-vacana--Sakti-BAji svayam eva saH-ayam
   asra-toya-dharaḥ prāha sma, ( mama sakhīyamānānām eṣām akhilānāṃ teṣām iva	asra-toya--DaraH prAha sma, ( mama saKIyamAnAnAm ezAm aKilAnAm tezAm iva
   yadyapi gatis tathāpi tātānugatis tu viśeṣataḥ stutim āsīdati iti |	yadi-api gatiH taTA-api tAta-anugatiH tu viSezataH stutim AsIt-ati iti |
   [50] atha madhumaṅgalam api tad idaṃ sneha-saṅgatam āha,( hanta! Bhavantaś	[50] aTa maDu-maFgalam api tat idam sneha--saFgatam Aha,( hanta! BhavantaS
   ca tatra yāntu | yad-bhagavatī-sevāṃ man-maṅgalāya mat-pratinidhitayā	ca tatra yAntu | yat--BagavatI--sevAm man-maFgalAya mat--pratiniDi-tayA
   kurvāṇāḥ punas tad-apūrva-jananāt pūrvavat tad-akharva-parvaṇe	kurvANAH punar tad--a-pUrva--jananAt pUrvavat tad--a-Karva--parvaNe
   sampatsyante iti |	sampatsyante iti |
   [51] tad-evaṃ visrambhya tat-tat-aṅga-saurabhya-parirabhyamāṇa-vasanādinā	[51] tat--evam visramBya tat-tat-aFga--sOraBya--pariraByamANa--vasana-AdinA
   tau stoka-kṛṣṇa-subalau viśeṣatas tat-tad-guṇa-vāsitau vidhāyānyān api	tO stoka--kRzNa--su-balO viSezataH tat-tat--guNa-vAsitO viDAya-anyAn api
   yathā-nyāyaṃ nijālaṃkaraṇādinālaṃkṛtya sevādikāriṇaṃ ca yathāvad ādṛtya	yaTA-nyAyam nija-alaMkaraNa-AdinA-alaMkRtya sevA-Adi-kAriNam ca yaTAvat AdRtya
   kṛtya-viśeṣān śrī-mat-pitṛ-caraṇeṣu gocaratāṃ nināya; nītvā ca tad-anujñāṃ	kRtya--viSezAn SrI--mat--pitR-caraNezu gocaratAm ninAya; nItvA ca tad--anujQAm
   gṛhītvā svayaṃ tatraiva sthitvā mantra-sadanād-bahiḥ sthitān	gRhItvA svayam tatra-eva sTitvA mantra--sadanAd--bahis sTitAn
   māthura-vipra-janān antar-nitvā tad-dvārā sarvānn eva yadūn vjñāpayāmāsa,(	mATura--vipra-janAn antar-nitvA tad--dvArA sarvAn eva yadUn vjQApayAmAsa,(
   ta ete vrajāya vrajiṣyanti iti |	te ete vrajAya vrajizyanti iti |
   [52] te ca śrī-vasudeva-naradeva-pramukhās tatraiva sukhād āgatāḥ, āgamya	[52] te ca SrI--vasudeva--naradeva--pramuKAH tatra-eva suKAt AgatAH, Agamya
   ca ramya-paricchadādinā tān abhyarcya cānuvrajya ca	ca ramya--paricCada-AdinA tAn aByarcya ca-anuvrajya ca
   carcyamāna-tad-bhadratayā puramayāmāsuḥ |	carcyamAna--tad--Badra-tayA puramayAmAsuH |
   [53] sa tu yaśasvī svayam asvīkṛta-rājyatayā kim api tatratyaṃ tān	[53] sa tu yaSasvI svayam asvIkRta--rAjya-tayA kim api tatratyam tAn
   praty-anapavarjya	praty-anapavarjya
   kiṃ tu prāg-vali-valita-bali-kaṃsa-hṛta-dhṛta-kupya-bhājanāni yāni tāny	kim tu prAk--vali-valita-bali--kaMsa--hRta--DRta--kupya--BAjanAni yAni tAni-
   eva visarjya keśavaḥ kevalatāyāṃ mithaḥ kṣubhitatā-bhītas tair eva saha	eva visarjya keSavaH kevala-tAyAm miTas kzuBita-tA-BItaH tEH eva saha
   śrī-vrajam ahanīyān anujñāpya manasi kayāpy avasthayā vyāpyamānaḥ puram	SrI--vrajam ahanIyAn anujQApya manasi kayA-api avasTayA vyApyamAnaH puram
   ājagāma, rāmas tu tān dūram anu-vavrāja |	AjagAma, rAmaH tu tAn dUram anu-vavrAja |
   {54} vrajeśvaras tu pralīna-manastāyām api jīvan-mukta-vad eva	{54} vrajeSvaraH tu pralIna-manaH-tAyAm api jIvan-mukta-vat eva
   saṃskāra-vaśād idaṃ jagāda,( vatsa! nijānuja-vatsala ! sa kevalatayā	saMskAra--vaSAt idam jagAda,( vatsa! nija-anuja--vatsala ! sa kevala-tayA
   manobalaṃ hāsyati; tasmād anujaṃ tam evānuyāhi iti |	manaH-balam hAsyati; tasmAt anujam tam eva-anuyAhi iti |
   [55] atha sva-sambandhād adhika-duḥkhānubandhād āśaṃkamānaḥ saṃkarṣaṇaḥ	[55] aTa sva--sambanDAt aDika--duHKa-anubanDAt ASaMkamAnaH saMkarzaNaH
   sa-dhairyaṃ sarvān anujñāpya śīghra-gatyā sva-bhrātaraṃ prāpya kvacid	sa-DEryam sarvAn anujQApya SIGra--gatyA sva--BrAtaram prApya kvacid-
   ekāntam anuyāpya nija-nija-bāhubhyāṃ parasparaṃ grīvāṃ paridhāpya tena	ekAntam anuyApya nija--nija--bAhuByAm parasparam grIvAm pariDApya tena
   saha ruroda | tad alam ati-vistareṇa |	saha ruroda | tat alam ati--vistareNa |
   yataḥ-	yatas--
   kaṃsasya dhvaṃsanānte vraja-vasati-gane gacchati svīya-gehaṃ	kaMsasya DvaMsana-ante vraja-vasati--gane gacCati svIya--geham
   taṃ kṛṣṇaṃ taṃ ca rāmaṃ tam api paśupati-ksmā-patiṃ tāṃś ca gopān |	tam kRzNam tam ca rAmam tam api paSupati--ksmA--patim tAn ca gopAn |
   śrīdāmādyāṃś ca tāṃs tān api ca tad-anugān navya-viccheda-bhīter	SrI-dAma-AdyAn ca tAn tAn api ca tad--anugAt navya--vicCeda--BIteH-
   antaḥ smṛtvā mad-antar-virasa-vaśatayā sarvam arvāg jahāti || GC_2,6.5 ||	antar smRtvA mad--antar-virasa--vaSa-tayA sarvam arvAk jahAti || GC_2,6.5 ||
   [56} tad-evam uṭṭṃkayan-madhukaṇṭhaḥ śrī-vrajādhipādīnām ādhim avadhāya	[56} tat--evam uwwMkayan--maDukaNWaH SrI-vraja-aDipa-AdInAm ADim avaDAya
   punar abhidadhe,(	punar aBidaDe,(
   yaḥ svāṃ kṛṣṇaḥ purā tṛṣṇāṃ vardhayāmāsa dhṛṣṇajam |	yaH svAm kRzNaH purA tRzNAm varDayAmAsa DRzNajam |
   sa sākṣād bhavatām aṃke svaṃ keliṃ vahati prabho || GC_2,6.6 ||	sa sAkzAt BavatAm aMke svam kelim vahati praBo || GC_2,6.6 ||
   [57] atha śrī-kṛṣṇaś ca tac-caraṇāravindaṃ śirasā vindan sa-nirvedaṃ	[57] aTa SrI-kRzNaH ca tac-caraNa-aravindam SirasA vindan sa-nirvedam
   niveditavān,(	niveditavAn-,(
   ahaha vahalamantuṃ jantur eṣa pralāpī	ahaha vahala-mantum jantuH eza pralApI
   racitamacita-tātaḥ kṣantum arhas tvam eva |	racitam-acita--tAtaH kzantum arhaH tvam eva |
   katham api nijam aṅgaṃ vyādhinā duḥkhadaṃ syat	kaTam api nijam aFgam vyADinA duHKa-dam syat-
   tad api na hi tad-aṅgī tyaktum icchet kadāpi || GC_2,6.7 ||	tat api na hi tad--aFgI tyaktum icCet kadApi || GC_2,6.7 ||
   tataś ca,	tatas ca,
   āliṅgyata vrajeśitrā pitrā sa-pulakaṃ sutaḥ |	AliFgyata vrajeSitrA pitrA sa-pulakam sutaH |
   sarvaiś cānanda-garveṇa roma-parveha sandadhe || GC_2,6.8 ||	sarvEH ca-Ananda--garveNa roma--parva-iha sandaDe || GC_2,6.8 ||
   [58] tad-evaṃ prātaḥ-kathāṃ madhukaṇṭhaḥ samāpya śrī-mādhava-pada-sīmni	[58] tat--evam prAtaH--kaTAm maDukaNWaH samApya SrI-mADava--pada--sImni
   rādhikā-sadasi kathayāmāsa,(	rADikA--sadasi kaTayAmAsa,(
   [59] ye khalu tasya vrajāvrajanāya vyañjitā vighnās te sarve	[59] ye Kalu tasya vraja-avrajanAya vyaQjitAH viGnAH te sarve
   prāg-ukta-lajjā-nighnā eva mantavyāḥ | tad-eva purastād vyañjayan	prAk--ukta--lajjA--niGnAH eva mantavyAH | tat--eva purastAt vyaQjayan
   mathurāyāś calantaṃ subalaṃ balānujaḥ sva-vallabhārocaka-vācika-valitaṃ	maTurAyAH calantam subalam bala-anujaH sva--vallaBa-arocaka--vAcika-valitam
   cakāra | yathā(	cakAra | yaTA(
   satyaṃ santyajya yuṣmān niyata-mad-anuga-prāṇanā niṣpramāṇā	satyam santyajya yuzmAn niyata-mad--anuga--prANanA nizpramANA
   dharmyaṃ me nāsti kiṃcit tad api sa-vayasaḥ śrūyatāṃ man-nivedyam |	Darmyam me na-asti kiMcid tat api sa-vayasaH SrUyatAm man-nivedyam |
   yuṣmākaṃ yātisetur mayi ratir atulā sā tu māṃ hrepayantī	yuzmAkam yAti-setuH mayi ratiH atulA sA tu mAm hrepayantI
   tat-tulyāsakti-riktaṃ hnuta-tanum akaron nāsmi dūraḥ kadāpi || GC_2,6.9 ||	tat--tulya-Asakti--riktam hnuta--tanum akarot na-asmi dUraH kadApi || GC_2,6.9 ||
   puryām asyāṃ yad asmi prakaṭam api hi taṃ hanta kuryāṃ kathaṃ tat	puryAm asyAm yat asmi prakawam api hi tam hanta kuryAm kaTam tat-
   kiṃ tu cchāyā-sadṛkṣaḥ sphuṭam iha viharet tatra tu svena nityam |	kim tu cCAyA-a-sadRkzaH sPuwam iha viharet tatra tu svena nityam |
   āveśo yatra yasya sphurati sa niyataṃ tatra bhāti svayaṃ yat	AveSaH yatra yasya sPurati sa niyatam tatra BAti svayam yat-
   sphūrtiṃ svāṃ so'yam asmīty anubhajati yathā tena nānyena tad-vat ||	sPUrtim svAm saH-ayam asmi-iti anuBajati yaTA tena na-anyena tat--vat ||
   GC_2,6.10 ||	GC_2,6.10 ||
   somābhe darśa-rātrāv api nija-rucibhiḥ pūrṇimā-bhrāntitas tvaṃ	soma-ABe darSa--rAtrO api nija--ruciBiH pUrNimA--Bra-antitaH tvam
   mad-viśleṣa-jvarārti-prathi-navama-daśā durvaśāṅgī yad-asīḥ |	mad--viSleza--jvara-Arti-praTi-nava-ma-daSA durvaSa-aFgI yat--asIH |
   tarhi tvām aṅga-kānti-sphurad asita-maṇi-śrī-caya-vyāpta-sarvaḥ	tarhi tvAm aFga-kAnti--sPurat asita-maNi--SrI--caya--vyApta--sarvaH
   so'haṃ śiśleṣa tat-tad-vinimita-daśayā yatra citraṃ jagastha || GC_2,6.11	saH-aham SiSleza tat--tad--vinimita-daSayA yatra citram jagasTa || GC_2,6.11
   somābhe mānam aicchaḥ pratipadi lalite mām ayāsr vanānte	soma-ABe mAnam EcCaH pratipadi lalite mAm ayAsH vanAnte
