   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   pudgaladṛṣṭīye patati / catvāri samyakprahāṇāni sarvākuśaladharmaprahāṇāya	pudgala-dRzwIye patati / catvAri samyak-prahANAni sarva-akuSala-Darma-prahANAya
   cikitsā / sarvakuśaladharmapāripūryaiḥ saṃvartante / catvāro dṛddhipādāḥ	cikitsA / sarva-kuSala-Darma-pAripUryEH saMvartante / catvAraH dRdDi-pAdAH
   kāyacittapiṇḍagrāhotsargāya saṃvate / cikitsāḥ pañcendriyāṇi pañca balāni	kAya-citta-piNxa-grAha-utsargAya saMvate / cikitsAH paQca-indriyANi paQca balAni
   aśrādvyakausīdyamuṣitasmṛticittavikṣepaasamprajanyatāduṣprajñātācikitsāḥ	aSrAdvya-kOsIdya-muzita-smRti-citta-vikzepaa-samprajanyatAduzprajQAta-AcikitsAH
   sapta bodhyaṅgāni dharmasamūhājñānasya cikitsāḥ āryāṣṭāṅgo mārga	sapta boDi-aFgAni Darma-samUha-ajQAnasya cikitsAH Arya-azwa-aFgaH mArga
   dauṣprajñāsarvaparapravādināṃ kumārgapratipannānāṃ cikitsāḥ iyamucyate	dOzprajQA-sarva-para-pravAdinAm kumArga-pratipannAnAm cikitsAH iyam-ucyate
   kāśyapa bhūtacikitsāḥ tatra kāśyapa bodhisattvena yogaḥ karaṇīyaḥ	kASyapa BUta-cikitsAH tatra kASyapa boDisattvena yogaH karaNIyaH
   KP.96 yāvanta kāśyapa jāmbudvīpe vaidyā vā vaidyāntevāsino vā sarveṣāṃ	KP.96 yAvanta kASyapa jAmbudvIpe vEdyAH vA vEdya-antevAsinaH vA sarvezAm
   teṣām jivako vaidyarājā agro mākhyāyate / yāvantaḥ kāśyapa	tezAm jivakaH vEdya-rAjA agraH mAKyAyate / yAvantaH kASyapa
   trisāhasramahāsāhasrāyāṃ lokadhātau sattvāḥ te sarve	tri-sAhasra-mahA-sAhasrAyAm lokaDAtO sattvAH te sarve
   jīvakavaidyarājasadṛśā bhaveyuḥ te sarve paripṛccheran /	jIvaka-vEdya-rAja-sadRSAH BaveyuH te sarve paripRcCeran /
   dṛṣṭkaukṛtyapratiṣṭhitasya prapatitasya kiṃ bhaiṣajyam iti / te na	dRzwkOkRtya-pratizWitasya prapatitasya kim BEzajyam iti / te na
   samarthā na ca śaknoti tam artha ākhyātuṃ vā nirdeṣṭuṃ vā jñānavijñātā vā	samarTAH na ca Saknoti tam arTaH AKyAtum vA nirdezwum vA jQAna-vijQAtA vA
   / tatra kāśyapa bodhisattvenaivam upaparikṣitavya na mayā	/ tatra kASyapa boDisattvena-evam upaparikzitavya na mayA
   lokikabhaiṣajyasantuṣṭirveditavyā / lokottara mayā jñānabhaiṣajyaṃ	lokika-BEzajya-santuzwiH-veditavyA / loka-uttara mayA jQAna-BEzajyam
   paryeṣṭitavyaṃ sarvakuśalamūlaṃ ca samyaksamudānayitavyam / mityevaṃ	paryezwitavyam sarva-kuSala-mUlam ca samyak-samudAnayitavyam / miti-evam
   copaparīkṣitavyaḥ yacca jñānabhaiṣajyaṃ samudānayitvā tena caturdiśaṃ	ca-upaparIkzitavyaH yat-ca jQAna-BEzajyam samudAnayitvA tena caturdiSam
   gatvā sarvasattvānāṃ bhūtacikitsā kartavyāḥ bhūtacikitsayā ca sattvāni	gatvA sarva-sattvAnAm BUta-cikitsA kartavyAH BUta-cikitsayA ca sattvAni
   cikitsitavyāḥ	cikitsitavyAH
   KP.97 tatra kataraṃ lokottaraṃ jñānabhaiṣajyaṃ / yadidaṃ	KP.97 tatra kataram loka-uttaram jQAna-BEzajyam / yat-idam
   hetupratyayajñānaḥ nairātmyeniḥsattvaḥnirjīvaniṣpoṣanīṣpudgaleṣu	hetu-pratyaya-jQAnaH nErAtmyeniH-sattvaH-nirjIva-nizpoza-nIzpudgalezu
   dharmeṣvadhimuktijñānaṃ / śūnyatānupalambheṣu dharmeṣu anutrāsaḥ	Darmezu-aDimukti-jQAnam / SUnyatA-anupalamBezu Darmezu anutrAsaH
   cittaparigaveṣatāye vīryaṃ / sa evaṃ cittaṃ parigaveṣate / kataraṃ cittaṃ	citta-parigaveza-tAye vIryam / saH evam cittam parigavezate / kataram cittam
   rajyati vā duṣyati vā muhyati vā / atītaṃ vā anāgataṃ vā pratyutpannaṃ vā	rajyati vA duzyati vA muhyati vA / atItam vA anAgatam vA pratyutpannam vA
   / yadi tāvad atītaṃ cittaṃ tatkṣīṇaṃ / yādanāgataṃ cittaṃ tadasamprāptaḥ	/ yadi tAvat atItam cittam tat-kzINam / yAdana-Agatam cittam tad-asamprAptaH
   atha pratyutpannasya cittasya sthitirnāsti /	aTa pratyutpannasya cittasya sTitiH-na-asti /
   KP.98 cittaṃ hi kāśyapa na bahirdhā nobhayāyomantarāle upalabhyate /	KP.98 cittam hi kASyapa na bahirDA na-uBayAyom-antarAle upalaByate /
   cittaṃ hi kāśyapa arūpyanidarśanam apratigham anābhāsam avijñāptikam	cittam hi kASyapa arUpya-nidarSanam apratiGam anABAsam avijQAptikam
   apratiṣṭhitam aniketaḥ cittaṃ hi kāśyapa sarvabuddhairna dṛṣṭaṃ na	apratizWitam aniketaH cittam hi kASyapa sarva-budDEH-na dRzwam na
   paśyanti na paśyiṣyanti na drakṣyanti yatsarvabuddhairna dṛṣtaṃ na	paSyanti na paSyizyanti na drakzyanti yat-sarva-budDEH-na dRztam na
   paśyanti na drakṣyanti kīdṛśastasya pracāro draṣṭavyaṃ nānyatra	paSyanti na drakzyanti kIdRSaH-tasya pracAraH drazwavyam na-anyatra
   vitathaviparyāsapatitāyā santatyā dharmāḥ pravartante 3 cittaṃ hi kāśyapa	vitaTa-viparyAsa-patitAyAH santatyAH DarmAH pravartante 3 cittam hi kASyapa
   māyāsadṛśamm abhūtaṃ vikalpya vividhopapattiṃ parigṛhṇāti 4 cittaṃ hi	mAyA-sadRSamm aBUtam vikalpya viviDa-upapattim parigRhNAti 4 cittam hi
   kāśyapa vāyusadṛśaṃ dūraṅgamam agrāhyam apracāra 5 cittaṃ hi kāśyapa	kASyapa vAyu-sadRSam dUraFgamam agrAhyam apracAra 5 cittam hi kASyapa
   nadīsrotasadṛśamm anavastitam utpannaṃ bhagnavilīna 6 cittaṃ hi kāśyapa	nadI-srota-sadRSamm anavastitam utpannam Bagna-vilIna 6 cittam hi kASyapa
   pradīpārciḥsadṛśaṃ hetupratyayatayā pravartate / jvalati ca 7	pradIpa-arciH-sadRSam hetu-pratyaya-tayA pravartate / jvalati ca 7
   KP.99 cittaṃ hi kāśyapa vidyusadṛśa kṣaṇabhaṅgāvyavasthitaṃ 8 / cittaṃ hi	KP.99 cittam hi kASyapa vidyu-sadRSa kzaNa-BaFga-avyavasTitam 8 / cittam hi
   kāśyapa ākāśasadṛśam āgantukerupakleśe saṅkiśyate 9 cittaṃ hi kāśyapa	kASyapaH AkASa-sadRSam AgantukeH-upa-kleSe saFkiSyate 9 cittam hi kASyapa
   vānarasadṛśa viṣayābhilāṣi vicitrakarmasaṃsthānatayā 10 cittaṃ hi kāśyapa	vAnara-sadRSa vizaya-aBilAzi vicitra-karma-saMsTAna-tayA 10 cittam hi kASyapa
   citrakārsadṛśa vicitrakarmābhisaṃskaraṇatayā / 11 cittaṃ hi kāśyapa	citraka-arsadRSa vicitra-karma-aBisaMskaraNa-tayA / 11 cittam hi kASyapa
   anavasthitaṃ nānākleśapravartanatayā cittaṃ hi kāśyapa ekacaram	anavasTitam nAnA-kleSa-pravartana-tayA cittam hi kASyapaH ekacaram
   advitīyacittābhisandhānatayā 13 cittaṃ hi kāśyapa rājasadṛśaṃ	advitIya-citta-aBisanDAna-tayA 13 cittam hi kASyapa rAja-sadRSam
   sarvadharmādhipateyā 14 cittaṃ hi kāśyapa amitrasadṛśaṃ	sarva-Darma-aDipateyAH 14 cittam hi kASyapa amitra-sadRSam
   sarvaduḥkhasañjananatayā 15	sarva-duHKa-saQjanana-tayA 15
   KP.100 cittaṃ hi kāśyapa pāṃsvāgārasadṛśam anitye nityasañjñayā 16 cittam	KP.100 cittam hi kASyapa pAMsu-AgAra-sadRSam anitye nitya-saQjQayA 16 cittam
   hi kāśyapa nīlamakṣikāsadṛśam aśuco śucisañjñāyā 17 cittaṃ hi kāśyapa	hi kASyapa nIla-makzikA-sadRSam aSucaH Suci-saQjQAyE 17 cittam hi kASyapa
   matsyabaḍīśasadṛśa duḥkhe sukhasañjñāyā 18 cittaṃ hi kāśyapa svapnasadṛśam	matsya-baxISa-sadRSa duHKe suKa-saQjQAyAH 18 cittam hi kASyapa svapna-sadRSam
   anātmīye ātmīyasañjñāyā 19 cittaṃ hi kāśyapa pratyarthikasadṛśam	anAtmIye AtmIya-saQjQAyE 19 cittam hi kASyapa pratyarTika-sadRSam
   vividhakāraṇākaraṇatayā 20 cittaṃ hi kāśyapa ojāhārayakṣasadṛśa	viviDa-kAraNa-akaraNa-tayA 20 cittam hi kASyapaH oja-AhAra-yakza-sadRSa
   sadāvatāragaveṣaṇatayā 21 cittaṃ hi kāśyapa arisadṛśaṃ sadā	sadA-avatAra-gavezaNa-tayA 21 cittam hi kASyapa ari-sadRSam sadA
   cchidrārāmagaveṣaṇatayā 22	cCidra-ArAma-gavezaNa-tayA 22
   KP.101 cittaṃ hi kāśyapa sadā unnatāvanatam anunayapratighopahataṃ 23	KP.101 cittam hi kASyapa sadA unnata-avanatam anunaya-pratiGA-upahatam 23
   cittaṃ hi kāśyapa corasadṛśa sarvakuśalamūlamuṣaṇatayā 24 cittaṃ hi	cittam hi kASyapa cora-sadRSa sarva-kuSala-mUla-muzaNa-tayA 24 cittam hi
   kāśyapa rūpārāma pagataṅganetrasadṛśaṃ 25 cittaṃ hi kāśyapa śabdārāma	kASyapa rUpa-ArAma pagataFga-netra-sadRSam 25 cittam hi kASyapa Sabda-ArAma
   saṅgrāmabherīsadṛśa 26 cittaṃ hi kāśyapa sadā gandhārāma varāha iva	saFgrAma-BerI-sadRSaH 26 cittam hi kASyapa sadA ganDa-ArAma varAhaH iva
   mīḍakuṇape 27 cittaṃ hi kāśyapa rasārāma rasabhojyaceṭīsadṛśaṃ 28 cittaṃ	mIxa-kuNape 27 cittam hi kASyapa rasa-ArAma rasa-Bojya-cewI-sadRSam 28 cittam
   hi kāśyapa sparṣārāma makṣikeva tailapātre 29	hi kASyapa sparza-ArAma makzikA-iva tEla-pAtre 29
   KP.102 cittaṃ hi kāśyapa parigaveṣamaṇaṃ na labhyate 30 yanna labhyate	KP.102 cittam hi kASyapa parigaveza-maNam na laByate 30 yat-na laByate
   tannopalabhyate tannātītaṃ nānāgataṃ na pratyutpannaṃ / yannātītaṃ	tat-na-upalaByate tat-na-atItam na-anAgatam na pratyutpannam / yat-na-atItam
   nānāgataṃ na pratyutpannaṃ tatradhvasamatikrāntaṃ yatryadhvasamatikrāntaṃ	na-anAgatam na pratyutpannam tatraDvasam-atikrAntam yatri-aDvasamatikrAntam
   / tannaivāsti neva nāsti / yannaivāsti na nāsti / tadajātaṃ yadajātaṃ /	/ tat-na-eva-asti na-iva na-asti / yat-na-eva-asti na na-asti / tad-ajAtam yat-ajAtam /
   tasya nāsti svabhāvaḥ yasya nāsti svabhāvaḥ tasya nāstyutpāda / yasya	tasya na-asti svaBAvaH yasya na-asti svaBAvaH tasya na-asti-utpAda / yasya
   nāstyutpādaḥ tasya nāsti nirodhaḥ yasya nāsti nirodhaḥ tasya nāsti vigamaḥ	na-asti-utpAdaH tasya na-asti niroDaH yasya na-asti niroDaH tasya na-asti vigamaH
   avigamastasyarna gatirnāgatirna cyutirnopapattiḥ yatra na gatirnāgatirna	avigamaH-tasyar-na gatiH-na-agatiH-na cyutiH-na-upapattiH yatra na gatiH-na-agatiH-na
   cyutirnopapattiḥ tatra na kecit saṃskārāḥ yatra na kecit saṃskārāḥ	cyutiH-na-upapattiH tatra na kecid saMskArAH yatra na kecid saMskArAH
   tadasaṃskṛtaṃ / tadāryāṇāṃ gotra	tat-asaMskRtam / tad-A-AryANAm gotra
   KP.103 ya 1 āryāṇāṃ gotra / tatrarna śikṣā na niśrayo nāniśrayaḥ yatra na	KP.103 yaH 1 AryANAm gotra / tatrarna SikzA na niSrayaH na-aniSrayaH yatra na
   śikṣā na niḥśrayo nāniśrayaḥ tatra na śikṣāvyatikramaḥ yatra na	SikzA na niHSrayaH na-aniSrayaH tatra na SikzA-vyatikramaH yatra na
   śikṣāvyatikramaḥ tatra na saṃvaro nāsaṃvaraḥ yatra na saṃvaro nāsaṃvara /	SikzA-vyatikramaH tatra na saMvaraH na-asaMvaraH yatra na saMvaraH na-asaMvaraH /
   tatra na cāro nācāraḥ na pracāraḥ yatra na cāro nācāra na pracāraḥ tatra	tatra na cAraH na-AcAraH na pracAraH yatra na cAraH na-AcAra na pracAraH tatra
   na cittaṃ na cetasikā dharmāḥ yatra na cittaṃ na cetasikā dharmāḥ tatra na	na cittam na cetasikAH DarmAH yatra na cittam na cetasikAH DarmAH tatra na
   mano na vijñānaḥ yatra na mano na vijñāna / tatra na karmo na vipākaḥ	manaH na vijQAnaH yatra na manaH na vijQAnaH / tatra na karmaH na vipAkaH
   yatra na karmo na vipākaḥ tatra na sukhaṃ na duḥkhaṃ yatra na sukhaṃ na	yatra na karmaH na vipAkaH tatra na suKam na duHKam yatra na suKam na
   duḥkhaṃ tadāryāṇāṃ gotraṃ yadāryānāṃ gotraṃ tatra na karmo na	duHKam tad-A-AryANAm gotram yat-A-AryAnAm gotram tatra na karmaH na
   karmābhisaṃskāro nāpi tatra gotre kāyena karma kṛyate na vācā na manasā /	karma-aBisaMskAraH na-api tatra gotre kAyena karma kRyate na vAcA na manasA /
   nāpi tatra gotre hīnotkṛṣṭamadhyamavyavasthānaṃ samaṃ tadgotram	na-api tatra gotre hIna-utkRzwa-maDyama-vyavasTAnam samam tad-gotram
   ākāśasamatayā / nirviśeṣaṃ tadgotraṃ sarvadharmaikarasatayā /	AkASa-sama-tayA / nirviSezam tad-gotram sarva-Darma-eka-rasa-tayA /
   KP.104 viviktaṃ tadgotraṃ kāyacittavivekatayā / anulomaṃ tadgotraṃ	KP.104 viviktam tad-gotram kAya-citta-viveka-tayA / anulomam tad-gotram
   nirvāṇasya / vimalaṃ tadgotraṃ sarvakleśamalavigata amamaṃ tadgotram	nirvANasya / vimalam tad-gotram sarva-kleSa-mala-vigataH amamam tad-gotram
   ahaṅkāramamakāravigataṃ / aviṣamaṃ tadgotraṃ bhūtābhūtasamatayā niryātaṃ	ahaFkAram-amakAra-vigatam / avizamam tad-gotram BUta-aBUta-samatayA niryAtam
   satyaṃ tadgotraṃ paramārthasatyayā / akṣayaṃ tadgotra atyantatānutpannaṃ /	satyam tad-gotram parama-arTa-satyayA / akzayam tat-gotra atyanta-tA-an-utpannam /
   nityaṃ tadgotraṃ sadā dharmatathatayā / aśubhaṃ tadgotraṃ	nityam tad-gotram sadA Darma-taTa-tayA / aSuBam tad-gotram
   nirvāṇaparamatayā / śubhaṃ tadgotraṃ sarvākāramalavigataṃ / anātmā	nirvANa-parama-tayA / SuBam tad-gotram sarva-AkAra-mala-vigatam / anAtmA
   tadgotram ātmanaḥ parigaveṣyamāṇanupalambhāt / viśuddhaṃ tadgotram	tad-gotram AtmanaH parigavezyam-ANanupalamBAt / viSudDam tad-gotram
   atyantaviśuddhatayā //	atyanta-viSudDa-tayA //
   KP.105 adhyātmaṃ kāśyapa parimargatha mā bahirvidhāvadhvaṃ /	KP.105 aDyAtmam kASyapa parimargaTa mA bahirviDa-a=-aDvam /
   tatkasmāddhetoḥ bhaviṣyanti kāśyapa anāgate dhvani bhikṣavaḥ	tat-kasmAt-hetoH Bavizyanti kASyapa anAgate Dvani BikzavaH
   śvaloṣṭvānujavanasadṛśāḥ kathaṃ ca kāśyapa bhikṣavaḥ	Sva-lozwvA-anuja-vana-sadRSAH kaTam ca kASyapa BikzavaH
   śvaloṣṭānujavanasadṛśā bhavati / tadyathāpi nāma kāśyapa śvāno loṣṭunā	Sva-lozwa-anuja-vana-sadRSA Bavati / tat-yaTA-api nAma kASyapa SvAnaH lozwunA
   trāsitaḥ tameva loṣṭuranudhāvati / na tamanudhāvati / yena sa loṣṭuṃ	trAsitaH tam-eva lozwuH-anuDAvati / na tam-anuDAvati / yena sa lozwum
   kṣiptaṃ bhavati / evameva kāśyapa satyeke śramaṇabrāhmaṇā ye	kziptam Bavati / evam-eva kASyapa sati-eke SramaNa-brAhmaNAH ye
   rūpaśabdagandharasasparśairbhayabhītā araṇyāyataneṣu viharanti / teṣā	rUpa-Sabda-ganDa-rasa-sparSEH-Baya-BItAH araNya-Ayatanezu viharanti / tezA
   tatrekākinām advitīyānāṃ kāyapraviviktavihāriṇāṃ rajanīyāstajjakriyā	tatra-ikAkinAm advitIyAnAm kAya-pravivikta-vihAriNAm rajanIyAH-tad-jakriyA
   rupaśabdagandharasasparśāvabhāsam āgacchanti / te tatrāvekṣakāḥ	rupa-Sabda-ganDa-rasa-sparSa-avaBAsam AgacCanti / te tatra-avekzakAH
   sukhalikānuyogam anuyuktā viharanti ranti /	suKalikA-anuyogam anuyuktAH viharanti ranti /
   KP.106 te na jāna jānanti na buddhyanti kiṃ rūpāśabdagandharasasparśāna	KP.106 te na jAna jAnanti na budDyanti kim rUpA-Sabda-ganDa-rasa-sparSAna
   nīḥsaraṇam iti / te ajānantaḥ abuddhyantaḥ teṣāṃ	nIH-saraNam iti / te ajAnantaH abudDi-antar tezAm
   rūpaśabdagandharasasparśānāsvādaṃ cādīnavaṃ cā niḥsaraṇaṃ ca avatīrṇā	rUpa-Sabda-ganDa-rasa-sparSAnAsvAdam ca-AdInavam cA niHsaraNam ca avatIrNA
   grāmanagaranigamarāṣarājadhāniṣva punareva	grAma-nagara-nigama-rAza-rAja-DAnizva punar-eva
   rūpaśabdagandharasasparśarhannyaṃ saced araṇyagatā kālaṃ kurvanti / teṣāṃ	rUpa-Sabda-ganDa-rasa-sparSarhannyam saced araNya-gatA kAlam kurvanti / tezAm
   lokikasaṃvarasthitānā svargaloke upapattirbhavati / te tatrāpi divyaiḥ	lokika-saMvara-sTitAnA svarga-loke upapattiH-Bavati / te tatra-api divyEH
   pañcabhiḥ kāmaguṇairhanyaṃ / te tataścyutā aparimuktā	paQcaBiH kAma-guNEH-hanyam / te tatas-cyutA aparimuktA
   samānāścaturbhirapāyairnirayatiryag niyamalokāsuraiḥ evaṃ hi kāśyapa	samAnAH-caturBiH-apAyEH-niraya-tiryak niyama-loka-asurEH evam hi kASyapa
   bhikṣavaḥ śvaloṣṭvanujavanasadṛśā bhavanti / //	BikzavaH Sva-lozwu-anuja-vana-sadRSAH Bavanti / //
   KP.107 katham ca kāśyapa bhikṣurna śvaloṣṭvanujavanasadṛśo bhavati yaḥ	KP.107 kaTam ca kASyapa BikzuH-na Sva-lozwu-anuja-vana-sadRSaH Bavati yaH
   kāśyapa bhikṣu ākruṣṭo na pratyākrośati tāḍito na pratitāḍayati paṃsito na	kASyapa Bikzu AkruzwaH na pratyAkroSati tAxitaH na pratitAxayati paMsitaH na
   pratipaṃsayati / bhaṇḍito na pratibhaṇḍayati / roṣito na pratiroṣayati /	pratipaMsayati / BaNxitaH na pratiBaNxayati / rozitaH na pratirozayati /
   ādhyātmaṃ cittaniddhyaptiṃ pratyavekṣate / ko vākruṣṭo vā tāḍito vā /	ADyAtmam citta-nidDi-aptim pratyavekzate / kaH vA-AkruzwaH vA tAxitaH vA /
   paṃsito vā bhaṇḍito vā roṣito vā / evaṃ hi kāśyapa bhikṣurna	paMsitaH vA BaNxitaH vA rozitaH vA / evam hi kASyapa BikzuH-na
   śvaloṣṭvanujavanasadṛśo bhavanasadṛśo bhavati / tatredamucyate //	Sva-lozwu-anuja-vana-sadRSaH Bavana-sadRSaH Bavati / tatra-idam-ucyate //
   śvāno yathā loṣṭuna trāsyamāno	SvAnaH yaTA lozwuna trAsyamAnaH-
   anudhāvate loṣṭu na yena kṣiptaṃ	anuDAvate lozwu na yena kziptam
   em evihekai śramaṇā dvijā vā	em evihekEH SramaNA dvijAH vA
   rūpādibhītā vanavāsam āśritā /	rUpa-Adi-BItAH vana-vAsam ASritAH /
   // teṣāṃ ca tasmin vasatām araṇye	// tezAm ca tasmin vasatAm araNye
   rūpādayo daśanam eta iṣṭā /	rUpa-AdayaH daSanam ete izwA /
   upekṣakādhyātmagate nabhijñā	upekzaka-aDyAtma-gate naBijQA
   ādīnavān niḥsaraṇeḥkam eṣā	AdInavAn niHsaraNeHkam ezA
   ajānamānā puna grāmam āśritā /	ajAnamAnA puna grAmam ASritAH /
   punepi rūpehi vihanyamānā	punepi rUpehi vihanyamAnA
   śyutaśca devai manujaiśca kecit	SyutaH-ca devE manujEH-ca kecid-
   tatrāpi divyān upabhujya bhogā 3	tatra-api divyAn upaBujya BogAH 3
   apāyabhūmiḥ prapatanti kecit cyutā cyutā duḥkhamupaiti mūḍhāḥ	apAya-BUmiH prapatanti kecid cyutA cyutAH duHKam-upEti mUXAH
   evaṃ hi te duḥkhaśatānubaddhā śvaloṣṭatulyā sugatena deśitā / 4	evam hi te duHKa-Sata-anubadDA Sva-lozwa-tulyA sugatena deSitA / 4
   ākruṣṭa nākrośati tāḍitastathā na paṃsitaḥ paṃsayateśca kecit	Akruzwa na-AkroSati tAxitaH-taTA na paMsitaH paMsayateH-ca kecid-
   na bhaṇḍito bhaṇḍayate tathānyān aroṣito roṣayate ca sūrataḥ 5	na BaNxitaH BaNxayate taTA-anyAn arozitaH rozayate ca sUrataH 5
   adhyātmacittaṃ pratiprakṣataśca gaveṣate śāntatavi smṛtīmān	aDyAtma-cittam pratiprakzataH-ca gavezate SAntatavi smRtImAn
   evaṃvidhaḥ śīlavratopapaṇnoḥ na śvānatulya kathito jinena / 6 //	evaMviDaH SIla-vrata-upapaNnoH na SvAna-tulya kaTitaH jinena / 6 //
   KP.108 tadyathāpi nāma kāśyapa kuśalo aśvadamaka suto / yatra yatra	KP.108 tat-yaTA-api nAma kASyapa kuSalaH aSvadamaka sutaH / yatra yatra
   pṛthivīpradeśe aśva skhalati / utkumbhati vā khaḍuṅkakriyā vā karoti /	pRTivI-pradeSe aSva sKalati / utkumBati vA KaxuFka-kriyA vA karoti /
   tatra tatra caiva pṛthivīpradeśe nigṛhṇāti sa tathā tathā nigṛhṇāti yanna	tatra tatra ca-eva pRTivI-pradeSe nigRhNAti sa taTA taTA nigRhNAti yat-na
   punarapi na prakupyate / evameva kāśyapa yogācāro bhikṣuryatrayatraivaṃ	punar-api na prakupyate / evam-eva kASyapa yoga-AcAraH BikzuH-yatra-yatra-evam
   cittasya vikāraṃ paśyati / tatra tatraivāsya nigrahāya pratipadyate / sa	cittasya vikAram paSyati / tatra tatra-eva-asya nigrahAya pratipadyate / sa
   tathā tathā cittaṃ nigṛhṇāti yathā na puna prakupyate tatredamucyate / //	taTA taTA cittam nigRhNAti yaTA na puna prakupyate tatra-idam-ucyate / //
   yathāśvasūta kuśalo bhaveta skhalitaṃ ca aśva samabhigr. hat. /	yaTASvasUta kuSalaH Baveta sKalitam ca aSva samaBigr. hat. /
   yogī tathā cittavikāra dṛṣṭvā tathā nigṛhṇāti yathā na kupyate / //	yogI taTA citta-vikAra dRzwvA taTA nigRhNAti yaTA na kupyate / //
   KP.109 tadyathāpi nāma kāśyapa galagraha sarvendriyāṇāṃ graho bhavati	KP.109 tat-yaTA-api nAma kASyapa galagraha sarva-indriyANAm grahaH Bavati
   jīvitendriyasyoparodhe vartate / evameva kāśyapa	jIvita-indriyasya-uparoDe vartate / evam-eva kASyapa
   sarvadṛṣṭigatānāmmātmagrāho dharmajīvitendriyasyoparodhena vartate /	sarva-dRzwi-gatAnAmm-Atma-grAhaH Darma-jIvita-indriyasya-uparoDena vartate /
   tatredamucyate //	tatra-idam-ucyate //
   galagraho ve yatha jīvitendriyā nigṛhṇate nāsya sukhaṃ dadāti /	galagrahaH ve yaTa jIvita-indriyAH nigRhNate na-asya suKam dadAti /
   dṛṣṭikṛtānāmapi ātmadṛṣṭi vināśayeta ima dharmajīvitaṃ //	dRzwi-kRtAnAm-api Atma-dRzwi vinASayeta ima Darma-jIvitam //
   KP.110 tadyathāpi nāma kāśyapa puruṣo yato yataḥ baddho bhavati tatastata	KP.110 tat-yaTA-api nAma kASyapa puruzaH yatas yatas badDaH Bavati tatas-tata
   eva mocayitavyo bhavati / evameva kāśyapa yato yata eva cittaṃ sajyati /	eva mocayitavyaH Bavati / evam-eva kASyapa yatas yatas eva cittam sajyati /
   tatastata eva mocayitavyaṃ bhavati / tatredamucyate //	tatas-tatas eva mocayitavyam Bavati / tatra-idam-ucyate //
   yathāpi baddhaḥ puruṣaḥ samantāt samantato mocayitavya bhoti	yaTA-api badDaH puruzaH samantAt samantataH mocayitavya Boti
   evaṃ yahīm sajjati mūḍhacittaṃ tatastato yogina mocanīyam //	evam yahIm sajjati mUXa-cittam tatas-tatas yogina mocanIyam //
   KP.111 dvāvimau kāśyapa pravrajitasyākāśapaligodhau / katamau dvau /	KP.111 dvO=-imO kASyapa pravrajitasya-AkASa-pali-goDO / katamO dvO /
   lokāyatamantraparyeṣṭitā ca / utsadapātracīvaradhāraṇatayā ca / imau dvau	lokAyata-mantra-paryezwitA ca / utsada-pAtra-cIvara-DAraNa-tayA ca / imO dvO
   / tatredamucyate //	/ tatra-idam-ucyate //
   lokāyatasyābhyasanābhiyogo tatotsadaṃ cīvarapātradhāraṇaṃ /	lokAyatasya-aByasana-aBiyogaH tata-utsadam cIvara-pAtra-DAraNam /
   ākāśabodhe imi dve pratiṣṭhite tau bodhisattvena vivarjanīyau //	AkASa-boDe imi dve pratizWite tO boDisattvena vivarjanIyO //
   KP.112 dvāvimau kāśyapa pravrajitasya gāḍhabandhano / katamau	KP.112 dvO=-imO kASyapa pravrajitasya gAXa-banDanaH / katamO
   dviyadutātmadṛṣṭikṛtabandhanaṃ ca lābhasatkāraślokabandhanaṃ cetīme	dvi-yat-uta-Atma-dRzwi-kRta-banDanam ca lABa-satkAra-Sloka-banDanam ceti-ime
   kāśyapa dvau pravrajitasya gāḍhabandhanaṃ / tatredamucyate 2 //	kASyapa dvO pravrajitasya gAXa-banDanam / tatra-idam-ucyate 2 //
   dve bandhane pravrajitasya gāḍhe dṛṣṭikṛtaṃ bandhanam uktam ādaiḥ	dve banDane pravrajitasya gAXe dRzwi-kRtam banDanam uktam AdEH
   satkāralābho yaśabandhanaṃ ca te sarvadā pravrajitena tyajye //	satkAra-lABaH yaSa-banDanam ca te sarvadA pravrajitena tyajye //
   KP.113 dvāvimau kāśyapa pravrajitasyāntārayakaro dharmau / katamo dvau /	KP.113 dvO=-imO kASyapa pravrajitasya-antAraya-karaH DarmO / katamaH dvO /
   gṛhapatipakṣasevanā ca āryapakṣavidveṣaṇatā cetīme kāśyapa dvau	gRhapati-pakza-sevanA ca Arya-pakza-vidvezaNa-tA ceti-ime kASyapa dvO
   pravrajitasyāntarāyakarau dharmau / tatredamucyate 3 //	pravrajitasya-antarAya-karO DarmO / tatra-idam-ucyate 3 //
   gṛhasthapakṣasya ca sevanā yā ācāryapakṣasya ca yā vigarhaṇā /	gRhasTa-pakzasya ca sevanA yA AcArya-pakzasya ca yA vigarhaNAH /
   dvāvantarāyo paripanthabhūto tau bodhisattvena vivaryanīyo //	dvO=-antarAyaH paripanTa-BUtaH tO boDisattvena vivaryanIyaH //
   KP.114 dvāvimau kāśyapa pravrajitasya malau katamau dvan / yaduta	KP.114 dvO=-imO kASyapa pravrajitasya malO katamO dvan / yat-uta
   kleṣādhivāsanatā ca mitrakulabhekṣākakulādvyavasanatāgrahaṇaṃ cetime	kleza-aDivAsana-tA ca mitra-kula-BekzAka-kulAt-vyavasana-tA-grahaNam cetime
