   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   athaitad uktvā vacanaṃ sudāruṇaṃ Ram_2,9.46a	aTa etat uktvA vacanam su dAruNam Ram_2,9.46a
   athotthāya jalaṃ spṛṣṭvā Ram_2,103.24a	aTa utTAya jalam spRzwvA Ram_2,103.24a
   athovāca punar vākyaṃ Ram_3,3.1a	aTa uvAca punar vAkyam Ram_3,3.1a
   athovāca bharadvājo Ram_2,85.3a	aTa uvAca BaradvAjaH Ram_2,85.3a
   athautsukyaṃ tapasvinām Ram_2,108.1d	aTa Otsukyam tapasvinAm Ram_2,108.1d
   adagdhasya hi vijñātuṃ Ram_3,67.26a	adagDasya hi vijQAtum Ram_3,67.26a
   adadād dhanado yathā Ram_2,29.17d	adadAt DanadaH yaTA Ram_2,29.17d
   adarśanaṃ jñānavatām Ram_2,94.56c	adarSanam jQAnavatAm Ram_2,94.56c
   adarśayac chubhajalāṃ Ram_2,89.1c	adarSayat SuBa jalAm Ram_2,89.1c
   aditis tanmanā rāma Ram_3,13.13c	aditiH tanmanAH rAmaH Ram_3,13.13c
   aditiṃ ca ditiṃ caiva Ram_3,13.11c	aditim ca ditim ca eva Ram_3,13.11c
   adityāṃ jajñire devās Ram_3,13.14c	adityAm jajQire devAH Ram_3,13.14c
   adīnaḥ satyavāg ṛjuḥ Ram_2,1.18b	adInaH satya vAc RjuH Ram_2,1.18b
   adīnām iva vegena Ram_2,56.15c	adInAm iva vegena Ram_2,56.15c
   adīrghakāle na tu devi jīvite Ram_2,18.39c	adIrGa kAle na tu devi jIvite Ram_2,18.39c
   aduṣṭair bhāty ayaṃ śailo Ram_2,88.7c	aduzwEH BAti ayam SElaH Ram_2,88.7c
   aduḥkhārhau sukhocitau Ram_2,35.30b	aduHKa arhO suKa ucitO Ram_2,35.30b
   adūrāc citrakūṭasya Ram_2,105.5a	adUrAt citrakUwasya Ram_2,105.5a
   adūrāt pratyadṛśyata Ram_3,42.9d	adUrAt pratyadRSyate Ram_3,42.9d
   adūrād anvapadyata Ram_2,93.3b	adUrAt anvapadyate Ram_2,93.3b
   adūrād bharatasyaiva Ram_2,86.17c	adUrAt Baratasya eva Ram_2,86.17c
   adūre dṛśyate ramyā Ram_3,14.11c	adUre dRSyate ramyAH Ram_3,14.11c
   adṛśyata ghanāpāye Ram_2,76.2c	adRSyata Gana apAye Ram_2,76.2c
   adṛśyata tadā rāmo Ram_3,36.12c	adRSyata tadA rAmaH Ram_3,36.12c
   adṛṣṭaguṇadoṣāṇām Ram_3,62.16a	adRzwa guNa dozANAm Ram_3,62.16a
   adṛṣṭaduḥkhasya sukhocitasya sā Ram_2,44.27c	adRzwa duHKasya suKa ucitasya sA Ram_2,44.27c
   adṛṣṭaduḥkhaṃ rājānaṃ Ram_2,46.20a	adRzwa duHKam rAjAnam Ram_2,46.20a
   adṛṣṭaduḥkho dharmātmā Ram_2,21.2a	adRzwa duHKaH Darma AtmA Ram_2,21.2a
   adṛṣṭapūrvavyasanā Ram_2,52.24a	adRzwa pUrva vyasanAH Ram_2,52.24a
   adṛṣṭapūrvavyasanāṃ Ram_2,33.18c	adRzwa pUrva vyasanAm Ram_2,33.18c
   adṛṣṭapūrvaṃ dṛṣṭvā taṃ Ram_3,40.32a	adRzwa pUrvam dRzwvA tam Ram_3,40.32a
   adṛṣṭapūrvaṃ saṃkruddhaṃ Ram_3,61.3a	adRzwa pUrvam saMkrudDam Ram_3,61.3a
   adṛṣṭapūrvān paśyantas Ram_2,48.3c	adRzwa pUrvAn paSyantaH Ram_2,48.3c
   adṛṣṭvā tatra vaidehīṃ Ram_3,59.2a	adRzwvA tatra vEdehIm Ram_3,59.2a
   adevamātṛko ramyaḥ Ram_2,94.39a	adeva mAtRkaH ramyaH Ram_2,94.39a
   adbhir eva tu saumitre Ram_2,41.8a	adBiH eva tu sOmitre Ram_2,41.8a
   adbhir dattā svadharmeṇa Ram_2,26.16c	adBiH dattA svaDarmeNa Ram_2,26.16c
   adya candanasārasya Ram_2,20.33a	adya candana sArasya Ram_2,20.33a
   adya candranibhānanām Ram_3,60.21d	adya candra niBa AnanAm Ram_3,60.21d
   adya candro 'bhyupagataḥ Ram_2,4.21a	adya candraH aByupagataH Ram_2,4.21a
   adya caiva hi paśyeyaṃ Ram_2,10.29c	adya ca eva hi paSyeyam Ram_2,10.29c
   adya tatra bhavantaṃ ca Ram_2,98.66c	adya tatra Bavantam ca Ram_2,98.66c
   adya taṃ draṣṭum icchāvaḥ Ram_2,58.22c	adya tam drazwum icCAvaH Ram_2,58.22c
   adya te katicid rātryaś Ram_2,66.5a	adya te katicid rAtryaH Ram_2,66.5a
   adya te pātayiṣyāmi Ram_3,28.14c	adya te pAtayizyAmi Ram_3,28.14c
   adya te bhinnakaṇṭhasya Ram_3,29.6a	adya te Binna kaNWasya Ram_3,29.6a
   adya tvaṃ na vadhiṣyasi Ram_3,20.14b	adya tvam na vaDizyasi Ram_3,20.14b
   adya tvāṃ nihataṃ bāṇaiḥ Ram_3,28.13a	adya tvAm nihatam bANEH Ram_3,28.13a
   adya tv idānīṃ rajanīṃ Ram_2,31.27a	adya tu idAnIm rajanIm Ram_2,31.27a
   adya duḥkhaṃ tu vaidehī Ram_2,46.77c	adya duHKam tu vEdehI Ram_2,46.77c
   adya nūnaṃ daśarathaḥ Ram_2,30.10a	adya nUnam daSaraTaH Ram_2,30.10a
   adya putraṃ hataṃ saṃkhye Ram_2,90.20a	adya putram hatam saMKye Ram_2,90.20a
   adya prakṛtayaḥ sarvās Ram_2,4.16a	adya prakRtayaH sarvAH Ram_2,4.16a
   adya prabhṛti bhūmau tu Ram_2,82.23a	adya praBRti BUmO tu Ram_2,82.23a
   adya prabhṛti rātriṣu Ram_2,47.3b	adya praBRti rAtrizu Ram_2,47.3b
   adya bārhaspataḥ śrīmān Ram_2,23.8a	adya bArhaspataH SrImAn Ram_2,23.8a
   adya bhītāḥ pālayantāṃ Ram_2,98.65c	adya BItAH pAlayantAm Ram_2,98.65c
   adya matpauruṣahataṃ Ram_2,20.14a	adya mad pOruza hatam Ram_2,20.14a
   adya me saptamī rātriś Ram_2,66.8a	adya me saptamI rAtriH Ram_2,66.8a
   adya me 'straprabhāvasya Ram_2,20.32a	adya me astra praBAvasya Ram_2,20.32a
   adya rājakulasyāsya Ram_2,81.8c	adya rAja kulasya asya Ram_2,81.8c
   adya rājaniveśanam Ram_2,80.14d	adya rAja niveSanam Ram_2,80.14d
   adya rāmam itaḥ kṣipraṃ Ram_2,9.2a	adya rAmam itas kzipram Ram_2,9.2a
   adya viprasariṣyanti Ram_3,29.10a	adya viprasarizyanti Ram_3,29.10a
   adya śokarasajñās tā Ram_3,29.11a	adya Soka rasa jQAH tAH Ram_3,29.11a
   adya hi tvāṃ mayā muktāḥ Ram_3,28.11a	adya hi tvAm mayA muktAH Ram_3,28.11a
   adyāpi caraṇau tasyāḥ Ram_2,54.15c	adya api caraNO tasyAH Ram_2,54.15c
   adyāpi na nivartate Ram_2,37.27d	adya api na nivartate Ram_2,37.27d
   adyāpi na viśuṣyanti Ram_3,70.22c	adya api na viSuzyanti Ram_3,70.22c
   adyāyodhyā tu nagarī Ram_2,41.4a	adya ayoDyA tu nagarI Ram_2,41.4a
   adyārya muditāḥ santu Ram_2,98.65a	adya Arya muditAH santu Ram_2,98.65a
   adyāsmābhir hato yudhi Ram_3,19.13d	adya asmABiH hataH yuDi Ram_3,19.13d
   adyāhaṃ mārgaṇaiḥ prāṇān Ram_3,18.5a	adya aham mArgaNEH prANAn Ram_3,18.5a
   adyedānīṃ sakāmā sā Ram_3,2.18e	adya idAnIm sa kAmA sA Ram_3,2.18e
   adyemam anayaṃ kṛtvā Ram_2,51.26a	adya imam anayam kRtvA Ram_2,51.26a
   adyemaṃ saṃyataṃ krodham Ram_2,90.22a	adya imam saMyatam kroDam Ram_2,90.22a
   adyemāṃ bhakṣayiṣyāmi Ram_3,17.16a	adya imAm BakzayizyAmi Ram_3,17.16a
   adyeyaṃ prathamā rātrir Ram_2,47.2a	adya iyam praTamA rAtriH Ram_2,47.2a
   adyaitac citrakūṭasya Ram_2,90.23a	adya etat citrakUwasya Ram_2,90.23a
   adyaiva gamane buddhiṃ Ram_3,10.41e	adya eva gamane budDim Ram_3,10.41e
   adyaiva jahi māṃ rājan Ram_2,58.44a	adya eva jahi mAm rAjan Ram_2,58.44a
   adyaiva nṛpaśāsanāt Ram_2,16.36d	adya eva nRpa SAsanAt Ram_2,16.36d
   adyaiva sarvabhūtānāṃ Ram_3,60.39c	adya eva sarva BUtAnAm Ram_3,60.39c
   adyaiva hi tvāṃ dharmātmā Ram_2,17.12c	adya eva hi tvAm Darma AtmA Ram_2,17.12c
   adyopādāya taṃ mārgam Ram_2,15.5c	adya upAdAya tam mArgam Ram_2,15.5c
   adrohāya samāgamya Ram_3,68.13c	adrohAya samAgamya Ram_3,68.13c
   advaidham upacartavyas Ram_2,110.3c	advEDam upacartavyaH Ram_2,110.3c
   adharmacāriṇau pāpau Ram_3,2.12a	aDarma cAriNO pApO Ram_3,2.12a
   adharmabhayabhītaś ca Ram_2,47.26a	aDarma Baya BItaH ca Ram_2,47.26a
   adharmas tu mahāṃs tāta Ram_3,5.10a	aDarmaH tu mahAn tAta Ram_3,5.10a
   adharmaṃ dharmaveṣeṇa Ram_2,101.6a	aDarmam Darma vezeNa Ram_2,101.6a
   adharmo yo 'sya so 'syās tu Ram_2,69.16c	aDarmaH yaH asya saH asyAH tu Ram_2,69.16c
   adharmo yo 'sya so 'syāstu Ram_2,69.18c	aDarmaH yaH asya saH asya astu Ram_2,69.18c
   adharmyāṃ duṣṭacāriṇīm Ram_2,42.21d	aDarmyAm duzwa cAriNIm Ram_2,42.21d
   adhastāc codaraṃ śāntaṃ Ram_2,9.31c	aDastAt ca udaram SAntam Ram_2,9.31c
   adhastād vrajatas tasyāḥ Ram_2,68.17a	aDastAt vrajataH tasyAH Ram_2,68.17a
   adhārayad yo vividhāś Ram_2,93.32a	aDArayat yaH viviDAH Ram_2,93.32a
   adhikaṃ paribabhrāja Ram_3,50.14c	aDikam paribaBrAja Ram_3,50.14c
   adhikaṃ puravāsāc ca Ram_2,89.12c	aDikam pura vAsAt ca Ram_2,89.12c
   adhigantuṃ tvam icchasi Ram_3,45.36d	aDigantum tvam icCasi Ram_3,45.36d
   adhitiṣṭhantam ātmajam Ram_2,1.33b	aDitizWantam Atmajam Ram_2,1.33b
   adhiruhya janaḥ śrīmān Ram_2,30.3c	aDiruhya janaH SrImAn Ram_2,30.3c
   adhiruhya hayair yuktān Ram_2,77.2c	aDiruhya hayEH yuktAn Ram_2,77.2c
   adhiruhyāpi śayanaṃ Ram_2,37.24c	aDiruhya api Sayanam Ram_2,37.24c
   adhirūḍho gajāroho Ram_3,49.29c	aDirUXaH gaja ArohaH Ram_3,49.29c
   adhirohanti kalyāṇi Ram_2,89.11c	aDirohanti kalyANi Ram_2,89.11c
   adhirohārya pādābhyāṃ Ram_2,104.21a	aDiroha Arya pAdAByAm Ram_2,104.21a
   adhivāsaṃ ca rākṣasaḥ Ram_3,34.4b	aDivAsam ca rAkzasaH Ram_3,34.4b
   adhivāsaṃ patatriṇām Ram_2,87.17d	aDivAsam patatriNAm Ram_2,87.17d
   adhīyānasya madhuraṃ Ram_2,58.27c	aDIyAnasya maDuram Ram_2,58.27c
   adhṛtānāṃ ca karmaṇām Ram_3,62.16b	aDRtAnAm ca karmaNAm Ram_3,62.16b
   adhomukhamukhīṃ dīnām Ram_3,53.5c	aDomuKa muKIm dInAm Ram_3,53.5c
   adhyadhāvaṃ kṛtatvaraḥ Ram_3,36.15d	aDyaDAvam kRta tvaraH Ram_3,36.15d
   adhyardham adhikaṃ kvacit Ram_3,10.24d	aDyarDam aDikam kvacid Ram_3,10.24d
   adhyardham ikṣvākucamūr Ram_2,91.16a	aDyarDam ikzvAku camUH Ram_2,91.16a
   adhyardhayojane tāta Ram_3,3.22c	aDyarDa yojane tAta Ram_3,3.22c
   adhyāropayata plavam Ram_2,49.10d	aDyAropayata plavam Ram_2,49.10d
   adhyārohat prayāṇārthī Ram_2,86.30c	aDyArohat prayANa arTI Ram_2,86.30c
   adhyāsta sarvavedajño Ram_2,75.10c	aDyAsta sarva veda jQaH Ram_2,75.10c
   adhyāste taṃ mahāvīryaḥ Ram_3,71. 24c	aDyAste tam mahA vIryaH Ram_3,71. 24c
   adhyāste naravāhanaḥ Ram_3,46.5d	aDyAste naravAhanaH Ram_3,46.5d
   adhvanā vātavegena Ram_2,54.13a	aDvanA vAta vegena Ram_2,54.13a
   adhvaprakarṣād vinivṛttadṛṣṭir Ram_2,46.78c	aDva prakarzAt vinivRtta dRzwiH Ram_2,46.78c
   adhvarāgnisamutthitām Ram_2,106.5b	aDvara agni samutTitAm Ram_2,106.5b
   adhvareṣu dvijātibhiḥ Ram_3,30.19b	aDvarezu dvijAtiBiH Ram_3,30.19b
   adhvaśrameṇa vāṃ khedo Ram_3,12.2a	aDva SrameNa vAm KedaH Ram_3,12.2a
   anantaraṃ tat saritaś Ram_2,86.12a	anantaram tat saritaH Ram_2,86.12a
   anantaraṃ rājadārās Ram_2,83.14c	anantaram rAja dArAH Ram_2,83.14c
   ananyabhāvām anuraktacetasaṃ Ram_2,24.18a	ananya BAvAm anurakta cetasam Ram_2,24.18a
   anapatyena ca snehād Ram_2,110.29a	anapatyena ca snehAt Ram_2,110.29a
   anapekṣau yathāgatam Ram_3,3.7b	anapekzO yaTAgatam Ram_3,3.7b
   anabhijñā hy ahaṃ devi Ram_2,9.14e	anaBijQA hi aham devi Ram_2,9.14e
   anabhīkṣṇopasevitam Ram_2,65.6b	anaBIkzNa upasevitam Ram_2,65.6b
   anayan dvāradarśinaḥ Ram_2,37.23d	anayan dvAra darSinaH Ram_2,37.23d
   anayas taṃ samaspṛśat Ram_3,62.7d	anayaH tam samaspRSat Ram_3,62.7d
   anayā vartamāno 'haṃ Ram_2,101.8c	anayA vartamAnaH aham Ram_2,101.8c
   anaraṇyān mahābāhuḥ Ram_2,102.10a	anaraNyAt mahA bAhuH Ram_2,102.10a
   anaraṇye mahārāje Ram_2,102.9c	anaraNye mahA rAje Ram_2,102.9c
   anaraṇyo mahāyaśāḥ Ram_2,102.8d	anaraNyaH mahA yaSAH Ram_2,102.8d
   anarthakuśalā hy ete Ram_2,94.32c	anarTa kuSalAH hi ete Ram_2,94.32c
   anarthajñaiś ca mantraṇam Ram_2,94.57b	anarTa jQEH ca mantraNam Ram_2,94.57b
   anarthadarśinī maurkhyān Ram_2,8.12a	anarTa darSinI mOrKyAn Ram_2,8.12a
   anartham artharūpeṇa Ram_2,9.27a	anarTam arTa rUpeNa Ram_2,9.27a
   anartharūpā siddhārthā Ram_2,11.2a	anarTa rUpA sidDArTAH Ram_2,11.2a
   anarthaṃ cāhariṣyasi Ram_3,36.20d	anarTam ca Aharizyasi Ram_3,36.20d
   anarthinaḥ sutāḥ strīṇāṃ Ram_2,36.15a	anarTinaH sutAH strINAm Ram_2,36.15a
   anarhāraṇyavāsasya Ram_3,40.29c	anarha araNya vAsasya Ram_3,40.29c
   analāpi vyajāyata Ram_3,13.31b	analA api vyajAyate Ram_3,13.31b
   anavāptātapatrasya Ram_2,40.21a	anavApta Atapatrasya Ram_2,40.21a
   anavāpya manoratham Ram_2,45.17b	anavApya manoraTam Ram_2,45.17b
   anavāpya manoratham Ram_2,80.17b	anavApya manoraTam Ram_2,80.17b
   anasūyā tu dharmajñā Ram_2,111.1a	anasUyA tu Darma jQAH Ram_2,111.1a
   anasūyā dṛḍhavratā Ram_2,110.22b	anasUyA dRXa vratA Ram_2,110.22b
   anasūyānasūyayā Ram_2,110.1b	anasUyA anasUyayA Ram_2,110.1b
   anasūyāvratais tāta Ram_2,109.11c	anasUyA vratEH tAta Ram_2,109.11c
   anasūyāṃ pativratām Ram_2,109.19b	anasUyAm pativratAm Ram_2,109.19b
   anasūyāṃ mahābhāgāṃ Ram_2,109.8a	anasUyAm mahABAgAm Ram_2,109.8a
   anasūyur anudraṣṭā Ram_2,94.7c	anasUyuH anudrazwAH Ram_2,94.7c
   anasūyeti yā loke Ram_2,109.16a	anasUyA iti yA loke Ram_2,109.16a
   anasūyo jitakrodho Ram_2,1.25a	anasUyaH jita kroDaH Ram_2,1.25a
   anāgatavidhānaṃ tu Ram_3,23.10a	anAgata viDAnam tu Ram_3,23.10a
   anācarantīṃ kṛpaṇaṃ Ram_2,34.19c	anAcarantIm kRpaNam Ram_2,34.19c
   anātha iva bhūtānāṃ Ram_3,2.21a	anATaH iva BUtAnAm Ram_3,2.21a
   anāthavat sukhebhyaś ca Ram_2,8.16c	anATa vat suKeByaH ca Ram_2,8.16c
   anāthavad vilapasi Ram_3,20.5a	anATa vat vilapasi Ram_3,20.5a
   anāthaś caiva vṛddhaś ca Ram_2,47.8a	anATaH ca eva vRdDaH ca Ram_2,47.8a
   anāthasya janasyāsya Ram_2,36.2a	anATasya janasya asya Ram_2,36.2a
   anāthāyā hi nāthas tvaṃ Ram_2,47.17c	anATAyAH hi nATaH tvam Ram_2,47.17c
   anāthās taṃ vidhiṃ labdhvā Ram_2,85.56c	anATAH tam viDim labDvA Ram_2,85.56c
   anāthau kṛpaṇau vane Ram_2,58.32b	anATO kRpaNO vane Ram_2,58.32b
   anādṛtya tu tad vākyaṃ Ram_3,59.29a	anAdRtya tu tat vAkyam Ram_3,59.29a
   anārtarūpaḥ prahasann ivātha Ram_2,30.22b	anArta rUpaH prahasan iva aTa Ram_2,30.22b
   anārya karuṇārambha Ram_3,43.20a	anArya karuNA AramBaH Ram_3,43.20a
   anāryajuṣṭam asvargyaṃ Ram_2,76.13a	anArya juzwam asvargyam Ram_2,76.13a
   anāryas tv āryasaṃkāśaḥ Ram_2,101.5a	anAryaH tu Arya saMkASaH Ram_2,101.5a
   anāryām āryarūpiṇīm Ram_2,86.25b	anAryAm Arya rUpiNIm Ram_2,86.25b
   anāryā satyavādinam Ram_2,16.20b	anAryA satya vAdinam Ram_2,16.20b
   anāryāḥ purataḥ sthitāḥ Ram_2,108.15d	anAryAH puratas sTitAH Ram_2,108.15d
   anālakṣyā ciraṃ kālaṃ Ram_2,87.5c	anAlakzyA ciram kAlam Ram_2,87.5c
   anāsādayamānaṃ taṃ Ram_3,59.12a	anAsAdayamAnam tam Ram_3,59.12a
   anāhāraḥ kathaṃ śakto Ram_3,67.12a	anAhAraH kaTam SaktaH Ram_3,67.12a
   anāhāro nirāloko Ram_2,103.14a	anAhAraH nirAlokaH Ram_2,103.14a
   anityam iti me matiḥ Ram_2,4.27b	anityam iti me matiH Ram_2,4.27b
   aniyoge niyuktena Ram_2,60.7a	aniyoge niyuktena Ram_2,60.7a
   anirviṇṇas tathā kṛtaḥ Ram_3,37.2b	anirviNNaH taTA kRtaH Ram_3,37.2b
   anivāryaṃ balaṃ tasya Ram_3,43.13a	anivAryam balam tasya Ram_3,43.13a
   aniṣṭāni ca pāpāni Ram_2,65.21a	anizwAni ca pApAni Ram_2,65.21a
   aniṣṭe subhagākāre Ram_2,7.11a	anizwe suBaga AkAre Ram_2,7.11a
   aniṣṭhitāśaḥ sa cakāra mārgaṇe Ram_3,58.35c	anizWita ASaH sa cakAra mArgaNe Ram_3,58.35c
   anīkaṃ yātudhānānāṃ Ram_3,23.19c	anIkam yAtuDAnAnAm Ram_3,23.19c
   anukīrṇaṃ sahasraśaḥ Ram_3,33.11d	anukIrNam sahasraSas Ram_3,33.11d
   anukūlatayā śakyaṃ Ram_2,23.24c	anukUla tayA Sakyam Ram_2,23.24c
   anukūlaś ca bhaktaś ca Ram_3,11.3c	anukUlaH ca BaktaH ca Ram_3,11.3c
   anukūlaṃ tu sā bhartur Ram_2,27.32a	anukUlam tu sA BartuH Ram_2,27.32a
   anuktenāpi vaidehi Ram_3,9.19c	anuktena api vEdehi Ram_3,9.19c
   anukto 'py atrabhavatā Ram_2,16.49a	anuktaH api atraBavatA Ram_2,16.49a
   anukto hi śapeta mām Ram_3,45.2b	anuktaH hi Sapeta mAm Ram_3,45.2b
   anuktvā paruṣaṃ kiṃcic Ram_3,34.7c	anuktvA paruzam kiMcid Ram_3,34.7c
   anugacchati vaidehī Ram_2,39.6c	anugacCati vEdehI Ram_2,39.6c
   anugacchanti yoṣitaḥ Ram_3,12.6d	anugacCanti yozitaH Ram_3,12.6d
   anugacchasva māṃ bhīru Ram_2,27.30e	anugacCasva mAm BIru Ram_2,27.30e
   anugacchāma dhārmikam Ram_2,30.16d	anugacCAma DArmikam Ram_2,30.16d
   anugacchāma rāghavam Ram_2,42.14b	anugacCAma rAGavam Ram_2,42.14b
   anugantum aśaktās tvāṃ Ram_2,40.28a	anugantum aSaktAH tvAm Ram_2,40.28a
   anugantuṃ na śaktir me Ram_2,98.6c	anugantum na SaktiH me Ram_2,98.6c
   anugamya nivṛttānāṃ Ram_2,42.1a	anugamya nivRttAnAm Ram_2,42.1a
   anujagmuś ca taṃ sarve Ram_2,85.34a	anujagmuH ca tam sarve Ram_2,85.34a
   anujagmuḥ prayāntaṃ taṃ Ram_2,40.1c	anujagmuH prayAntam tam Ram_2,40.1c
   anujagmuḥ sahasraśaḥ Ram_2,77.16d	anujagmuH sahasraSas Ram_2,77.16d
   anujas tv eṣa me bhrātā Ram_3,17.3a	anujaH tu eza me BrAtA Ram_3,17.3a
   anujāto hi me sarvair Ram_2,2.9a	anujAtaH hi me sarvEH Ram_2,2.9a
   anujānātu no bhavān Ram_2,48.33d	anujAnAtu naH BavAn Ram_2,48.33d
   anujānāmi gaccheti Ram_3,70.25c	anujAnAmi gacCa iti Ram_3,70.25c
   anujānāmi tat sarvam Ram_2,37.8c	anujAnAmi tat sarvam Ram_2,37.8c
   anujānīhi sarvān naḥ Ram_2,31.21a	anujAnIhi sarvAn naH Ram_2,31.21a
   anujñātaḥ sumantro 'tha Ram_2,51.2a	anujQAtaH sumantraH aTa Ram_2,51.2a
   anujñātā tu rāmeṇa Ram_3,70.26a	anujQAtA tu rAmeNa Ram_3,70.26a
   anujñāto nivṛtto 'smi Ram_2,51.8c	anujQAtaH nivRttaH asmi Ram_2,51.8c
   anujñāto maharṣiṇā Ram_2,85.33b	anujQAtaH mahA RziNA Ram_2,85.33b
   anujñāpya ca taṃ janam Ram_2,35.35b	anujQApya ca tam janam Ram_2,35.35b
   anujñāpyātha bharato Ram_2,65.9c	anujQApya aTa BarataH Ram_2,65.9c
   anujñāya sumantraṃ ca Ram_2,46.65a	anujQAya sumantram ca Ram_2,46.65a
   anujñāṃ jagatīpateḥ Ram_2,31.22b	anujQAm jagatIpateH Ram_2,31.22b
   anu tastāra taṃ dvijam Ram_3,64.32d	anu tastAra tam dvijam Ram_3,64.32d
   anuttamaṃ tad vacanaṃ nṛpātmaja Ram_2,73.16a	anuttamam tat vacanam nRpa AtmajaH Ram_2,73.16a
   anuddhatamanā vidvān Ram_2,6.23a	anudData manAH vidvAn Ram_2,6.23a
   anunītā mahātmanā Ram_2,81.16d	anunItAH mahAtmanA Ram_2,81.16d
   anunītā vayaṃ sarve Ram_2,80.9c	anunItAH vayam sarve Ram_2,80.9c
   anupasthīyamāno māṃ Ram_3,3.21a	anupasTIyamAnaH mAm Ram_3,3.21a
   anuprāptaṃ tu taṃ dṛṣṭvā Ram_2,66.2a	anuprAptam tu tam dRzwvA Ram_2,66.2a
   anubandham ajānantaḥ Ram_3,49.21a	anubanDam ajAnantaH Ram_3,49.21a
   anubhūtāni ceṣṭāni Ram_2,4.14a	anuBUtAni ca izwAni Ram_2,4.14a
   anubhūya kila śrāddhe Ram_3,10.59c	anuBUya kila SrAdDe Ram_3,10.59c
   anumandākinīm api Ram_3,5.16b	anumandAkinIm api Ram_3,5.16b
   anumanyasva māṃ devi Ram_2,18.38a	anumanyasva mAm devi Ram_2,18.38a
   anumānya dvijarṣabhān Ram_2,2.8d	anumAnya dvijarzaBAn Ram_2,2.8d
   anumṛśyoddharasva me Ram_2,10.18b	anumRSya udDarasva me Ram_2,10.18b
   anuyāti sma lakṣmaṇaḥ Ram_2,30.6d	anuyAti sma lakzmaNaH Ram_2,30.6d
   anuraktajanākīrṇā Ram_2,45.16a	anurakta jana AkIrNAH Ram_2,45.16a
   anuraktaś ca bhaktaś ca Ram_3,32.12c	anuraktaH ca BaktaH ca Ram_3,32.12c
   anuraktā ca dharmeṇa Ram_2,110.52c	anuraktA ca DarmeNa Ram_2,110.52c
   anuraktā mahātmānaṃ Ram_2,40.1a	anuraktAH mahAtmAnam Ram_2,40.1a
   anurakto 'smi bhāvena Ram_2,18.13a	anuraktaH asmi BAvena Ram_2,18.13a
   anu rathyāsu sarvaśaḥ Ram_2,6.18d	anu raTyAsu sarvaSas Ram_2,6.18d
   anurūpakulāḥ patnyo Ram_3,29.11c	anurUpa kulAH patnyaH Ram_3,29.11c
   anurūpam asaṃkliṣṭaṃ Ram_2,110.18c	anurUpam asaMklizwam Ram_2,110.18c
   anurūpaś ca te bhartā Ram_3,17.4c	anurUpaH ca te BartA Ram_3,17.4c
   anurūpaṃ tavaiva tat Ram_2,107.5d	anurUpam tava eva tat Ram_2,107.5d
   anurūpaḥ sa vo nātho Ram_2,2.11a	anurUpaH sa vaH nATaH Ram_2,2.11a
   anurūpaḥ sa vo bhartā Ram_2,40.8c	anurUpaH sa vaH BartA Ram_2,40.8c
   anurūpāv imau bāhū Ram_2,20.34a	anurUpO imO bAhU Ram_2,20.34a
   anuliptaṃ parārdhyena Ram_2,14.7c	anuliptam parArDyena Ram_2,14.7c
   anuvrajitum icchanti Ram_2,23.13c	anuvrajitum icCanti Ram_2,23.13c
   anuvrajiṣyāmy aham adya rāmaṃ Ram_2,32.22a	anuvrajizyAmi aham adya rAmam Ram_2,32.22a
   anuśādhi vasuṃdharām Ram_2,90.19f	anuSADi vasuMDarAm Ram_2,90.19f
   anuśādhi svadharmeṇa Ram_2,98.61c	anuSADi svaDarmeNa Ram_2,98.61c
   anuśiṣṭā jananyāsmi Ram_2,110.8c	anuSizwAH jananyA asmi Ram_2,110.8c
   anuśiṣṭāsmi mātrā ca Ram_2,24.8a	anuSizwA asmi mAtrA ca Ram_2,24.8a
   anuśiṣyāddhi ko nu tvām Ram_3,62.17c	anuSizyAt hi kaH nu tvAm Ram_3,62.17c
   anuśocāmi madvidhe Ram_2,57.23d	anuSocAmi madviDe Ram_2,57.23d
   anūpaṃ sindhurājasya Ram_3,33.27a	anUpam sinDurAjasya Ram_3,33.27a
   anṛṇatvāc ca kaikeyyāḥ Ram_2,104.6c	anRNa tvAt ca kEkeyyAH Ram_2,104.6c
   anṛṇo 'smi tathātmanaḥ Ram_2,4.14d	anRNaH asmi taTA AtmanaH Ram_2,4.14d
   anṛṇo 'smi mahāvane Ram_2,90.25b	anRNaH asmi mahA vane Ram_2,90.25b
   anṛtaṃ jihvayā cāha Ram_2,101.21c	anRtam jihvayA ca Aha Ram_2,101.21c
   anṛtaṃ na śrutaṃ caiva Ram_3,35.12c	anRtam na Srutam ca eva Ram_3,35.12c
   anṛtaṃ balaloko 'yam Ram_2,27.4a	anRtam bala lokaH ayam Ram_2,27.4a
   anṛtān mocayānena Ram_2,103.32c	anRtAt mocaya anena Ram_2,103.32c
   anekanānāmṛgapakṣisaṃkule Ram_2,50.21a	aneka nAnA mRga pakzi saMkule Ram_2,50.21a
   anekanānāvidhapakṣisaṃkulām Ram_3,71. 26d	aneka nAnAviDa pakzi saMkulAm Ram_3,71. 26d
   anekarūpām avitarkitāṃ purā Ram_2,63.18b	aneka rUpAm avitarkitAm purA Ram_2,63.18b
   anekavarṣasāhasro Ram_2,2.15a	aneka varza sAhasraH Ram_2,2.15a
