   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   daurlabhyaṃ darśitam | sad guroḥ sakāśād vedāntādy akhila śāstrārtha 	dOrlaByam darSitam | sad guroH sakASAt vedAnta Adi  a Kila  SAstra arTa 
   vicāra śravaṇa dvārā yadi svāvaśyaka parama kartavyatvena jñāyate | punaś	vicAra  SravaNa dvArA yadi sva AvaSyaka parama kartavya tvena jQAyate | punar 
   ca   	ca   
   bhagavān brahma kārtsnyena trir anvīkṣya manīṣayā	BagavAn brahma kArtsnyena tris anvIkzya manIzayA
   tad adhyavasyat kūṭa stho ratir ātman yato bhavet || [BhP 2.2.34]	tat aDyavasyat kUwa sTaH ratiH Atman yatas Bavet || [Bhj 2.2.34]
   itivad yadi viparīta bhāvanātyājakau manana yogyatā mananābhiniveśau	iti vat yadi viparIta  BAvanA tyAjakO manana  yogya tA  mananA aBiniveSO
   syātāṃ, tataḥ ^craddadhānaiś ca sā bhaktir upāsanā dvārā labhyate iti |	syAtAn, tatas ^craddaDAnEH ca sA BaktiH upAsanA  dvArA laByate iti |
   ataḥ śrutir api tad artham āgṛhṇāti | ātmā vāre draṣṭavyaḥ śrotavyo	atas SrutiH api tad  arTam AgRhNAti | AtmA vAre drazwavyaH SrotavyaH 
   mantavyo nididhyāsitavya iti [BṛhadU 2.4.4.6] iti | atra nididhyāsanam	mantavyaH nidiDyAsitavyaH iti [BRha dU 2.4.4.6] iti | atra nidiDi Asanam
   upāsanam | darśanaṃ sākṣātkāra ucyate | sā caivaṃ durlabhā bhaktiḥ hari 	upAsanam | darSanam sAkzAtkAraH ucyate | sA ca evam durlaBA BaktiH hari 
   toṣaṇe prayuktāt svābhāvika dharmād api labhyate iti | tasmād dhari 	tozaNe prayuktAt svABAvika  DarmAt api laByate iti | tasmAt Dari 
   toṣaṇam eva tasya parama phalam ity āha  	tozaNam eva tasya parama   Palam iti Aha  
   [page 6]	[page 6]
   ataḥ pumbhir dvija śreṣṭhā varṇāśrama vibhāgaśaḥ |	atas pumBiH dvija  SrezWAH varNa ASrama  viBAgaSaH |
   svanuṣṭhitasya dharmasya saṃsiddhir hari toṣaṇam || [BhP 1.2.13]	su anuzWitasya Darmasya saMsidDiH hari tozaNam || [Bhj 1.2.13]
   svanuṣṭhitasya bahu prayatnenācchidram upārjitasya iti tucche	su anuzWitasya bahu  prayatnena acCidram upArjitasya iti tucCe
   svargādi phale	svarga Adi Pale
   tat prayogo'tīvāyukta iti bhāvaḥ | yady evaṃ śrī hari santoṣakasyāpi	tat  prayogaH atIva ayuktaH iti BAvaH | yadi evam SrI  hari  santozakasya api
   dharmasya phalaṃ śravaṇādiruci lakṣaṇā bhaktir eva tat pravartitāyā	Darmasya Palam SravaNa Adi ruci  lakzaNA BaktiH eva tat  pravartitAyAH 
   bhakteś	BakteH 
   cānugatā jñāna vairāgyādi guṇā ity āyātaṃ tadā sākṣāc chravaṇādi rūpā	ca anugatAH jQAna  vErAgya Adi  guNAH iti AyAtam tadA sAkzAc  SravaNa Adi rUpA
   bhaktir eva kartavyā |	BaktiH eva kartavyA |
   kiṃ tat tad āgraheṇety āha   	kim tat tad  AgraheNa iti Aha   
   tasmād ekena manasā bhagavān sātvatāṃ patiḥ |	tasmAt ekena manasA BagavAn sAtvatAm patiH |
   śrotavyaḥ kīrtitavyaś ca dhyeyaḥ pūjyaś ca nityadā || [BhP 1.2.14]	SrotavyaH kIrtitavyaH ca DyeyaH pUjyaH ca nityadA || [Bhj 1.2.14]
   ekena karmādyāgraha śūnyena | śravaṇam atra nāma guṇādīnāṃ tathā	ekena karma AdyAgraha  SUnyena | SravaNam atra nAma  guNa AdInAm taTA
   kīrtanaṃ ca |	kIrtanam ca |
   tatraivāntima bhūmikā paryantāṃ sugamāṃ śailīṃ vaktuṃ dharmādi kaṣṭa 	tatra eva antima BUmikA  paryantAm sugamAm SElIm vaktum Darma Adi  kazwa 
   nirapekṣeṇa yukti mātreṇa tat prathama bhūmikāṃ śrī hari kathā rucim	nirapekzeNa yukti  mAtreNa tat  praTama  BUmikAm SrI  hari  kaTA  rucim
   utpādayan tasya guṇaṃ smārayati  	utpAdayan tasya guNam smArayati  
   yad anudhyāsinā yuktāḥ karma granthi nibandhanam |	yat  anuDyAsinA yuktAH karma  granTi  nibanDanam |
   chindanti kovidās tasya ko na kuryāt kathā ratim || [BhP 1.2.15]	Cindanti kovidAH tasya kaH na kuryAt kaTA ratim || [Bhj 1.2.15]
   kovidā vivekino yuvatāḥ saṃyata cittā yasya harer anudhyā anudhyānaṃ	kovidAH vivekinaH yuvatAH saMyata cittA yasya hareH anuDyA anuDyAnam
   cintana mātram evāsiḥ khaḍgas tena granthiṃ nānā deheṣv ahaṅkāraṃ	cintana  mAtram eva asiH KaxgaH tena granTim nAnA dehezu ahaFkAram
   nibadhnāti yat tat karma chindanti | tasyaivambhūtasya parama duḥkhād	nibaDnAti yat tat karma Cindanti | tasya evamBUtasya parama  duHKAt 
   udvartuḥ kathāyāṃ ratiṃ ko nu kuryāt |	udvartuH kaTAyAm ratim kaH nu kuryAt |
   nanv evam api tasya kathā rucir manda bhāgyānāṃ na jāyata ity āśaṅkya	nanu evam api tasya kaTA ruciH manda  BAgyAnAm na jAyate iti ASaFkya
   tatropāyān vadan tām ārabhya naiṣṭhika bhakti paryantāṃ bhaktim upadiśati	tatra upAyAn vadan tAm AraBya nEzWika  Bakti paryantAm Baktim upadiSati
   pañcabhiḥ |	paQcaBiH |
   śuśrūṣoḥ śraddadhānasya vāsudeva kathā ruciḥ |	SuSrUzoH SraddaDAnasya vAsudeva  kaTA ruciH |
   syān mahat sevayā viprāḥ puṇya tīrtha niṣevaṇāt || [BhP 1.2.16]	syAt mahat  sevayA viprAH puNya tIrTa nizevaNAt || [Bhj 1.2.16]
   bhuvi puru puṇya tīrtha sadanāny ṛṣayo vimadāḥ ity ādy anusāreṇa [BhP	Buvi puru  puNya tIrTa  sadanAni RzayaH vimadAH iti  Adi  anusAreNa [BhP
   10.87.35] prāyas tatra mahat saṅgo bhavatīti tadīya ṭīkānumatyā ca puṇya 	10.87.35] prAyas tatra mahat  saFgaH Bavati iti tadIya wIkA anumatyA ca puNya 
   tīrtha niṣevaṇād dhetor labdhā yadṛcchayā yā mahat sevā tayā vāsudeva 	tIrTa nizevaNAt DetoH labDA yadRcCayA yA mahat  sevA tayA vAsudeva 
   kathā ruciḥ syāt | kāryāntareṇāpi tīrthe bhramato mahatāṃ prāyas tatra	kaTA ruciH syAt | kArya antareNa api tIrTe BramataH mahatAm prAyas tatra
   bhramatāṃ tiṣṭhatāṃ vā darśana sparśana sambhāṣaṇādi lakṣaṇā sevā svata	BramatAm tizWatAm vA darSana sparSana  samBAzaNa Adi  lakzaNA sevA svata
   eva sampadyate | tat prabhāveṇa ca tadīyācaraṇe śraddhā bhavati | tadīya 	eva sampadyate | tat  praBAveNa ca tadIya AcaraNe SradDA Bavati | tadIya 
   svābhāvika paraspara bhagavat kathāyāṃ kim ete saṅkathayanti tat śṛṇomīti	svABAvika paraspara  Bagavat  kaTAyAm kim ete saFkaTayanti tat SRNomi iti
   tac icchā jāyate | tac chravaṇena ca tasyāṃ rucir jāyate iti | tathā ca	tac icCA jAyate | tac  SravaNena ca tasyAm ruciH jAyate iti | taTA ca
   mahadbhya eva śrutā jhaṭiti kārya karīti bhāvaḥ | tathā ca kapila deva 	mahadByaH eva SrutA Jawiti kArya karI iti BAvaH | taTA ca kapila deva 
   vākyam    satāṃ prasaṅgān mama vīrya saṃvido bhavanti hṛt karṇa 	vAkyam   satAm prasaFgAt mama vIrya  saMvidaH Bavanti hRt karNa 
   rasāyanāḥ kathāḥ [BhP 3.25.22] ity ādi |	rasAyanAH kaTAH [Bhj 3.25.22] iti  Adi |
   tataś ca,	tatas ca,
   śṛṇvatāṃ sva kathāḥ kṛṣṇaḥ puṇya śravaṇa kīrtanaḥ |	SRNvatAm sva kaTAH kRzNaH puNya  SravaNa  kIrtanaH |
   hṛdy antaḥstho hy abhadrāṇi vidhunoti suhṛt satām || [BhP 1.2.17]	hRdi antaHsTaH hi aBadrANi viDunoti suhRt  satAm || [Bhj 1.2.17]
   kathā dvārā antaḥstho bhāvanā padavīṃ gataḥ san harir abhadrāṇi vāsanāḥ |	kaTA dvArAH antaHsTaH BAvanA  padavIm gataH san hariH aBadrANi vAsanAH |
   [page 7]	[page 7]
   tataś ca,	tatas ca,
   naṣṭa prāyeṣv abhadreṣu nityaṃ bhāgavata sevayā |	nazwa  prAyezu aBadrezu nityam BAgavata  sevayA |
   bhagavaty uttama śloke bhaktir bhavati naiṣṭhikī || [BhP 1.2.18]	Bagavati uttama  Sloke BaktiH Bavati nEzWikI || [Bhj 1.2.18]
   naṣṭa prāyeṣu na taj jñānam iva samyaṅ naṣṭeṣv eveti bhakter nirargala 	nazwa  prAyezu na taj  jQAnam iva samyaF nazwezu eva iti BakteH nirargala 
   svabhāvatvam uktam | bhāgavatānāṃ bhāgavata śāstrasya vā sevayā bhaktir	svaBAva tvam uktam | BAgavatAnAm BAgavata  SAstrasya vA sevayA BaktiH 
   anudhyāna rūpā naiṣṭhikī santatā eva bhavati |	anuDyAna rUpA nEzWikI santatAH eva Bavati |
   tadaiva tri bhuvana vibhava hetave'py akuṇṭha smṛtir [BhP 11.2.53]	tadA eva tri Buvana viBava  hetave api akuNWa smRtiH [Bhj 11.2.53]
   ity ādy 	iti  Ady 
   ukta rītyā sarva vāsanā nāśāt cittaṃ śuddha sattvam agraṃ sat bhagavat 	ukta  rItyA sarva  vAsanA  nASAt cittam SudDa  sattvam agram sat Bagavat 
   tattva sākṣātkāra yogyaṃ bhavatīty āha   	tattva  sAkzAtkAra  yogyam Bavati iti Aha   
   tadā rajas tamo bhāvāḥ kāma lobhādayaś ca ye |	tadA rajas  tamaH  BAvAH kAma  loBa AdayaH ca ye |
   ceta etair anāviddhaṃ sthitaṃ sattve prasīdati || [BhP 1.2.19]	cetaH etEH anAvidDam sTitam sattve prasIdati || [Bhj 1.2.19]
   rajas tamaś ca ye ca tat prabhāvā bhāvāḥ kāmādaya etair ity anvayaḥ |	rajaH tamaH ca ye ca tat  praBAvAH BAvAH kAma AdayaH etEH iti anvayaH |
   evaṃ prasanna manaso bhagavad bhakti yogataḥ |	evam prasanna  manasaH Bagavat  Bakti yogataH |
   bhagavat tattva vijñānaṃ mukta saṅgasya jāyate || [BhP 1.2.20]	Bagavat  tattva  vijQAnam mukta  saFgasya jAyate || [Bhj 1.2.20]
   evaṃ pūrvokta prakāreṇa prasanna manasas tato mukta saṅgasya tyakta 	evam pUrva ukta  prakAreNa prasanna manasaH tatas mukta saFgasya tyakta 
   kāmādi vāsanasya bhakti yogataḥ punar api kriyamāṇāt tasmād vijñānaṃ	kAma Adi  vAsanasya Bakti yogataH punar api kriyamANAt tasmAt vijQAnam
   sākṣātkāro manasi bahir vā bhāvanāṃ vinaivānubhavo yaḥ sa jāyate |	sAkzAtkAraH manasi bahis vA BAvanAm vinA eva anuBavaH yaH sa jAyate |
   tasya ca paramānandaika rūpatvena svataḥ phala rūpasya sākṣāt 	tasya ca parama Ananda eka  rUpa tvena svatas   Pala   rUpasya sAkzAt  
   kārasyānuṣaṅgikaṃ phalam āha   	kArasya AnuzaFgikam Palam Aha   
   bhidyate hṛdaya granthiś chidyante sarva saṃśayāḥ |	Bidyate hRdaya granTiH Cidyante sarva saMSayAH |
   kṣīyante cāsya karmāṇi dṛṣṭa evātmanīśvare || [BhP 1.2.21]	kzIyante ca asya karmANi dRzwaH eva Atmani ISvare || [Bhj 1.2.21]
   hṛdaya granthi rūpo'haṅkāraḥ | sarva saṃśayāś chidynate iti śravaṇa 	hRdaya  granTi  rUpaH ahaFkAraH | sarva saMSayAH Cidynate iti SravaNa 
   mananādi pradhānānām api tasmin dṛṣṭa eva sarve saṃśayāḥ samāpyante ity	manana Adi  praDAnAnAm api tasmin dRzwaH eva sarve saMSayAH samApyante iti 
   arthaḥ | tatra śravaṇena tāvaj jñeya gatāsambhāvanāś chidyante iti |	arTaH | tatra SravaNena tA= at  jQeya  gatA samBAvanAH Cidyante iti |
   mananena tad gata viparīta bhāvanāḥ | sākṣātkāreṇa	mananena tad  gata  viparIta  BAvanAH | sAkzAtkAreNa
   tvātmayogyatāgatāsambhāvanā viparīta bhāvane iti jñeyam | kṣīyante tad 	tu Atma yogya tA gatA samBAvanA  viparIta  BAvane iti jQeyam | kzIyante tat  
   icchā mātreṇa tad ābhāsaḥ kiñcid eva teṣv avaśiṣyata ity arthaḥ |	icCA  mAtreNa tad  ABAsaH kiQcid eva tezu avaSizyate iti arTaH |
   atra prakaraṇārthe sad ācāraṃ darśayann upasaṃharati |	atra prakaraNa arTe sat  AcAram darSayan upasaMharati |
   ato vai kavayo nityaṃ bhaktiṃ paramayā mudā |	atas vE kavayaH nityam Baktim paramayA mudA |
   vāsudeve bhagavati kurvanty ātma prasādanīm || [BhP 1.2.22]	vAsudeve Bagavati kurvanti Atma  prasAdanIm || [Bhj 1.2.22]
   ātma prasādanīṃ manasaḥ śodhanīm | na kevalam etāvad guṇatvaṃ tasyāḥ |	Atma  prasAdanIm manasaH SoDanIm | na kevalam etAvat  guNa tvam tasyAH |
   kiṃ ca paramayā mudeti karmānuṣṭhānavan na sādhana kāle sādhya kāle	kim ca paramayA mudA iti karma anuzWAna vat na sADana kAle sADya kAle
   vā bhakty anuṣṭhānaṃ duḥkha rūpaṃ pratyuta sukha rūpam evety arthaḥ |	vA Bakti  anuzWAnam duHKa  rUpam pratyuta suKa  rUpam eva iti arTaH |
   ataeva nityaṃ sādhaka daśāyāṃ siddha daśāyāṃ ca tāvat kurvantīty uktam ||	ataeva nityam sADaka daSAyAm sidDa daSAyAm ca tAvat kurvanti iti uktam ||
   ||1.2|| śrī sūtaḥ || 3 17 ||	||1.2|| SrI  sUtaH || 3 17 ||
   tad evaṃ karma jñāna vairāgya yatna parityāgena bhagavad bhaktir eva	tat evam karma  jQAna  vErAgya  yatna  parityAgena Bagavat  BaktiH eva
   kartavyeti matam | karma viśeṣa rūpaṃ devatāntara bhajanam api na	kartavyA iti matam | karma  viSeza  rUpam devatA antara  Bajanam api na
   kartavyam ity āha saptabhiḥ | tatrānyeṣāṃ kā vārtā | saty api	kartavyam iti Aha saptaBiH | tatra anyezAm kA vArtA | sati api
   śrī bhagavata	SrI  BagavataH 
   (page 8) eva guṇāvatāratve śrī viṣṇuvat sākṣāt para brahmatvābhāvāt	(page 8) eva guNa avatAra tve SrI  vizNu vat sAkzAt  para  brahma tva aBAvAt
   sattva mātropakārakatvābhāvāc ca pratyuta rajas tamo bṛṃhaṇatvāc ca	sattva  mAtrA upakAraka tva aBAvAt ca pratyuta rajas  tamaH  bRMhaNa tvAt ca
   brahma śivāv api śreyo'rthibhir nopāsyāv ity atra dvau ślokau paramātma 	brahma SivO api SreyaH arTiBiH na upAsyO iti atra dvO SlokO paramAtma 
   sandarbhe evodāhṛtau   	sandarBe eva udAhRtO   
   sattvaṃ rajas tama iti prakṛter guṇās tair	sattvam rajaH tamaH iti prakRteH guNAH tEH 
   yuktaḥ parama puruṣa eka ihāsya dhatte |	yuktaH parama  puruzaH ekaH iha asya Datte |
   sthity ādaye hari viriñci hareti saṃjñāḥ	sTiti  Adaye hari viriQci  harA iti saMjQAH
   śreyāṃsi tatra khalu sattva tanor nṝṇāṃ syuḥ || [BhP 1.2.23]	SreyAMsi tatra Kalu sattva  tanoH nLNAm syuH || [Bhj 1.2.23]
   pārthivād dāruṇo dhūmas tasmād agnis trayīmayaḥ |	pArTivAt dAruNaH DUmaH tasmAt agniH trayI mayaH |
   tamasas tu rajas tasmāt sattvaṃ yad brahma darśanam || [BhP 1.2.24] iti |	tamasaH tu rajaH tasmAt sattvam yat brahma darSanam || [Bhj 1.2.24] iti |
   sattva tanoḥ sattva śakteḥ | trayīmayas trayy ukta karma pracuraḥ |	sattva tanoH sattva  SakteH | trayI mayaH trayI ukta karma  pracuraH |
   dārusthānīyaṃ tamaḥ | dhūma sthānīyaṃ rajaḥ | agni sthānīyaṃ sattvaṃ |	dAru sTAnIyam tamaH | DUma sTAnIyam rajaH | agni sTAnIyam sattvam |
   trayy ukta karma sthānīyaṃ brahma | tataś ca trayy ukta karma yathāgnāv	trayI ukta karma sTAnIyam brahma | tatas ca trayI  ukta karma yaTAgnO= 
   eva sākṣāt pravartate nānyayos tadvat para brahma bhūto bhagavān api	eva sAkzAt pravartate na anyayoH tadvat para  brahma BUtaH BagavAn api
   sattva	sattva
   evety arthaḥ |	eva iti arTaH |
   devatāntara parityāgenāpi bhagavad bhaktau sad ācāraṃ pramāṇayati   	devatA antara  parityAgena api Bagavat  BaktO sat  AcAram pramANayati   
   bhejire munayo'thāgre bhagavantam adhokṣajam |	Bejire munayaH aTa agre Bagavantam aDokzajam |
   sattvaṃ viśuddhaṃ kṣemāya kalpante ye'nu tān iha || [BhP 1.2.25]	sattvam viSudDam kzemAya kalpante ye anu tAn iha || [Bhj 1.2.25]
   atha ato hetoḥ | agre purā | sattvaṃ viśuddhaṃ viśuddha sattvātmaka mūrtiṃ	aTa atas hetoH | agre purA | sattvam viSudDam viSudDa  sattva Atmaka  mUrtim
   bhagavantam | prakṛta sattvātītatvaṃ ca tasya vivṛtaṃ bhagavat sandarbhe |	Bagavantam | prakRta  sattva atIta tvam ca tasya vivRtam Bagavat  sandarBe |
   ato	atas 
   ye tām anuvartante ta iha saṃsāre kṣemāya kalpante |	ye tAm anuvartante te iha saMsAre kzemAya kalpante |
   nanv anyān bhairavādīn devān api kecid bhajanto dṛśyante | satyaṃ yatas te	nanu anyAn BErava AdIn devAn api kecid BajantaH dRSyante | satyam yatas te
   sakāmāḥ | kintu mumukṣavo'py anyān na bhajante | kim uta tad bhaktiyika 	sa kAmAH | kintu mumukzavaH api anyAn na Bajante | kim uta tad  Baktiyika 
   puruṣārthā ity āha  	puruza arTAH iti Aha  
   mumukṣavo ghora rūpān hitvā bhūta patīn atha |	mumukzavaH Gora  rUpAn hitvA BUta patIn aTa |
   nārāyaṇa kalāḥ śāntā bhajanti hy anasūyavaḥ || [BhP 1.2.26]	nArAyaNa kalAH SAntAH Bajanti hi anasUyavaH || [Bhj 1.2.26]
   bhūta patīn iti pitṛ prajeśādīnām upalakṣaṇam | anasūyavo devatāntara 	BUta patIn iti pitR prajA ISa AdInAm upalakzaNam | anasUyavaH devatA antara 
   nindakāḥ santaḥ |	nindakAH santaH |
   nanu kāma lobho'pi lakṣmī pati bhajane bhavaty eva tarhi katham anyāṃs te	nanu kAma  loBaH api lakzmI  pati  Bajane Bavati eva tarhi kaTam anyAn te
   bhajante ?	Bajante ?
   rajas tamaḥ prakṛtayaḥ sama śīlā bhajanti vai |	rajas tamaH prakRtayaH sama SIlAH Bajanti vE |
   pitṛ bhūta prajeśādīn śriyaiśvarya prajepsavaḥ || [BhP 1.2.27]	pitR BUta  prajA ISa AdIn SriyA ESvarya  prajA IpsavaH || [Bhj 1.2.27]
   tatrāha, rajas tamaḥ prakṛtitvenaiva pitrādibhiḥ samaṃ śīlaṃ yeṣāṃ, sama 	tatra aha, rajas tamaH prakRti tvena eva pitR AdiBiH samam SIlam yezAM, sama 
   śīlatvād evaṃ tad bhajane pravṛttir ity arthaḥ |	SIla tvAt evam tat  Bajane pravRttiH iti arTaH |
   tato vāsudeva eva bhajanīya ity uktam | sarva śāstra tātparyaṃ ca	tatas vAsudevaH eva BajanIyaH iti uktam | sarva SAstra tAtparyam ca
   tatraivety	tatra eva iti 
   āha dvābhyām |	Aha dvAByAm |
   vāsudeva parā vedā vāsudeva parā makhāḥ |	vAsudeva  parAH vedAH vAsudeva  parAH maKAH |
   vāsudeva parā yoga vāsudeva parāḥ kriyāḥ ||	vAsudeva  parAH yoga vAsudeva  parAH kriyAH ||
   vāsudeva paraṃ jñānaṃ vāsudeva paraṃ tapaḥ |	vAsudeva  param jQAnam vAsudeva  param tapaH |
   vāsudeva paro dharmo vāsudeva parā gatiḥ || [BhP 1.2.28 9]	vAsudeva  paraH DarmaH vAsudeva  parA gatiH || [Bhj 1.2.28 9]
   (page 9)	(page 9)
   ṭīkā ca   vāsudeva paras tātparya gocaro yeṣāṃ te | nanu vedā makha parā	wIkA ca  vAsudeva  paraH tAtparya  gocaraH yezAm te | nanu vedA maKa parA
   dṛśyante ity āśaṅkya te'pi tad ārādhanārthatvāt tat parā evety uktam |	dRSyante iti ASaFkya te api tad  ArADana arTa tvAt tat  parA eva iti uktam |
   yogā	yogA
   yoga śāstrāṇi | teṣām apy āsana prāṇāyāmādi kriyā paratvam āśaṅkya	yoga SAstrANi | tezAm api Asana  prANAyAma Adi kriyA  paratvam ASaFkya
   tāsām api tat prāpty upāyatvāt tat paratvam uktam | jñānaṃ jñāna śāstram |	tAsAm api tat  prApti  upAya tvAt tat  paratvam uktam | jQAnam jQAna SAstram |
   nanu taj jñāna param evety āśaṅkya jñānasyāpi tat paratvam uktam |	nanu taj  jQAna  param eva iti ASaFkya jQAnasya api tat  paratvam uktam |
   tapo'tra	tapaH atra
   jñānam | dharmo dharma śāstraṃ dāna vratādi viṣayam |	jQAnam | DarmaH Darma SAstram dAna vrata Adi vizayam |
   nanu tat svargādi param ity āśaṅkya gamyate iti gatiḥ svargādi phalam |	nanu tat  svarga Adi param iti ASaFkya gamyate iti gatiH svarga Adi Palam |
   sāpi	sA api
   tadānandāṃśa rūpatvāt tat paraivety uktam | yad vā vedā ity anenaiva tan 	tad Ananda aMSa rUpa tvAt tat parA eva iti uktam | yat vA vedAH iti anena eva tan 
   mūlatvāt sarva śāstrāṇi vāsudeva parāṇīty uktam |	mUla tvAt sarva  SAstrANi vAsudeva  parANi iti uktam |
   nanu teṣāṃ makha yoga kriyādi nānārtha paratvān na tad eka paratvam ity	nanu tezAm maKa  yoga  kriyA Adi  nAna arTa  paratvAt na tat  eka paratvam iti 
   āśaṅkya makhādīnām api tat paratvam uktam iti draṣṭavyam ity eṣā |	ASaFkya maKa AdInAm api tat  paratvam uktam iti drazwavyam iti ezA |
   atra yogādīnāṃ kathañcid bhakti sacivatvenaiva tat paratvaṃ mukhyaṃ	atra yoga AdInAm kaTaQcid Bakti saciva tvena eva tat  para tvam muKyam
   draṣṭavyam |	drazwavyam |
   vedāś ca karma kāṇḍa parā eva jñeyāḥ keṣāñcit sākṣād bhakti paratvam api	vedAH ca karma  kANxa  parAH eva jQeyAH kezAQcid sAkzAt  Bakti para tvam api
   dṛśyata iti  	dRSyate iti  
   yasya deve parā bhaktiḥ yathā deve tathā gurau |	yasya deve parA BaktiH yaTA deve taTA gurO |
   tasyaite kathitā hyarthāḥ prakāśante mahātmanaḥ || [ŚvetU 6.23] ity ādeḥ |	tasya ete kaTitAH hi arTAH prakASante mahAtmanaH || [ŚvetU 6.23] iti  AdeH |
   tad evaṃ dvātriṃśyā tad bhajanasyaivābhidheyatvaṃ darśayitvā pūrvoktaṃ	tat evam dvAtriMSyA tad  Bajanasya eva aBiDeya tvam darSayitvA pUrva uktam
   sarva śāstra samanvayam eva sthāpayati  	sarva SAstra  samanvayam eva sTApayati  
   sa evedaṃ sasarjāgre bhagavān ātma māyayā |	saH eva idam sasarja agre BagavAn Atma mAyayA |
   sad asad rūpayā cāsau guṇa mayy aguṇo vibhuḥ || [BhP 1.2.30]	sat  asat  rUpayA ca asO guNa mayI aguNaH viBuH || [Bhj 1.2.30]
   ṭīkā ca   nanu jagat sarga praveśa niyamanādi līlā yukte vastuni sarva 	wIkA ca  nanu jagat  sarga  praveSa  niyamana Adi  lIlA yukte vastuni sarva 
   śāstra samanvayo dṛśyate, kathaṃ vāsudeva paratvaṃ sarvasya | tatrāha sa	SAstra  samanvayaH dRSyate, kaTam vAsudeva  paratvam sarvasya | tatra Aha sa
   eveti	eva iti
   caturbhir ity eṣā | idaṃ mahad ādi viriñci paryantam | evaṃ praveśādikāpy	caturBiH iti ezA | idam mahat  Adi viriQci  paryantam | evam praveSa Adi kA api 
   uttara ślokeṣu draṣṭavyā ||	uttara  Slokezu drazwavyA ||
   ||1.2|| śrī sutaḥ śrī śaunakam ||19 22||	||1.2|| SrI sutaH SrI  SOnakam ||19 22||
   śrī bhāgavatādir bhāva kāraṇe śrī nārada vyāsa saṃvāde'pi   	SrI  BAgavata AdiH BAva  kAraNe SrI  nArada  vyAsa  saMvAde api   
   naiṣkarmyam apy acyuta bhāva varjitaṃ	nEzkarmyam api acyuta BAva  varjitam
   na śobhate jñānam alaṃ nirañjanam	na SoBate jQAnam alam niraQjanam
   kutaḥ punaḥ śaśvad abhadram īśvare	kutas punar SaSvat aBadram ISvare
