   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   tataśca vinivṛttā vāgdevī tatra putramapaśyantī madhyehṛdayaṃ cakranda /	tatas-ca vinivRttA vAgdevI tatra putram-apaSyantI maDyehRdayam cakranda /
   prasaṅgāgataśca vālpīkirmunivṛṣā sapraśrayaṃ tamudantamudāhṛtya	prasaFga-AgataH-ca vA-alpIkiH-muni-vRzA sa-praSrayam tam-udantam-udAhRtya
   bhagavatyai, bhṛgusūterāśramapadamadarśayat /	BagavatyE, BRgusUteH-ASrama-padam-adarSayat /
   sāpi prastutapayodharā putrāyāṅkapālīṃ dadānā śirasi ca cumbantī	sA-api prastuta-payoDarA putrAya-aFkapAlIm dadAnA Sirasi ca cumbantI
   svastimatā cetasā prācetasāyāpi maharṣaye nibhṛtaṃ sacchandāṃsi vacāṃsi	svastimatA cetasA prAcetasAya-api mahA-Rzaye niBRtam sa=-CandAMsi vacAMsi
   prāyacchate /	prAyacCate /
   anupreṣitaśca sa tayā niṣādanihatasahatasahacarīṃ krauñcayuvarti	anuprezitaH-ca sa tayA nizAda-nihata-sahata-sahacarIm krOQca-yuvarti
   karuṇakreṅkārayā girā krandantīmudīkṣya śokavān ślokamujjagāda-	karuNa-kreFkArayA girA krandantIm-udIkzya SokavAn Slokam-ujjagAda-
   'mā niṣāda pratiṣṭhāṃ tvamagamaḥ śāsvatīḥ samāḥ /	amA nizAda pratizWAm tvam-agamaH SAsvatIH samAH /
   yatkrauñcamithunādekamavadhīḥ kāmamohitam //	yad-krOQca-miTunAt-ekam-avaDIH kAma-mohitam //
   'tato divyadṛṣṭirdevī tasmā api ślokāya varamadāt, yadutānyadanadhīyāno	atatas divya-dRzwiH-devI tasmE api SlokAya varam-adAt, yat-uta-anyat-anaDIyAnaH-
   yaḥ prathamamenamadhyeṣyate sa sārasvataḥ kaviḥ saṃpatsyata iti /	yaH praTamam-enam-aDyezyate sa sArasvataH kaviH saMpatsyate iti /
   sa tu mahāmuniḥ pravṛttavacano rāmāyaṇamidihāsaṃ samadṛbhat ;	sa tu mahA-muniH pravRtta-vacanaH rAmAyaNam-idihAsam samadRBat ;
   dvaipāyanastu ślokaprathamādhyāyī tatprabhāveṇa śatasāhasrīṃ saṃhitāṃ	dvEpAyanaH-tu Sloka-praTama-aDyAyI tad-praBAveNa Sata-sAhasrIm saMhitAm
   bhāratam /	BAratam /
   ekadā tu brahmarṣivṛndārakayoḥ śrutivivāde dākṣiṇyavāndevaḥ	ekadA tu brahmarzi-vRndArakayoH Sruti-vivAde dAkziNyavAn-devaH
   svayambhūstāmimāṃ nirṇotrīmuddideśa /	svayamBUH-tAm-imAm nirNotrIm-uddideSa /
   upaśrutavṛttāntaśca mātaraṃ vrajantīṃ so 'nuvavrāja /	upaSruta-vRttAntaH-ca mAtaram vrajantIm saH anuvavrAja /
   vatsa!parameṣṭhinānanumatasya te na brahmalokayātraghā	vatsa!paramezWinA-ananumatasya te na brahma-lokayAtraGA
   niḥśreyasāyetyabhidadhānā haṭhānnyavartayadenamātmanā tu pravartate /	niHSreyasAya-iti-aBidaDAnA haWAt-nyavartayat-enam-AtmanA tu pravartate /
   tataḥ sa kāvyapuruṣo ruṣā niścakrāma /	tatas sa kAvya-puruzaH ruzA niScakrAma /
   priyaṃ mitramasya ca kumāraḥ sākrandaṃ rudannabhyadhīyata gauryā tāta!	priyam mitram-asya ca kumAraH sa-Akrandam rudan=-aByaDIyata gOryA tAta!
   tūṣṇīmāḥsva sāhameṣā niṣedhāmītinigadandī samacintayat /	tUzNImAHsva sA-aham-ezA nizeDa-ami-iti-nigadandI samacintayat /
   prāyaḥ prāṇabhṛtāṃ premāṇamantareṇa nānyadvandhanamasti,	prAyas prANaBRtAm premANam-antareNa na-anyat-vanDanam-asti,
   tadetasyavaśīkaraṇaṃ kāmapi striyaṃ sṛjāmīti vicintayantī	tat-etasya-vaSIkaraNam kAm-api striyam sRjAmi-iti vicintayantI
   sāhityavidyāvadhūmrudapādayadādiśañcaināmeṣa te ruṣā dharmapatiḥ puraḥ	sAhitya-vidyA-vaDUmrudapAdayat-Adi-SaQca-enAm-eza te ruzA Darma-patiH puras-
   pratiṣṭhate tadanuvarttasvainaṃ nivarttaya ca /	pratizWate tad-anuvarttasva-enam nivarttaya ca /
   bhavanto 'pi hanta! munayaḥ!kāvyavidyāsnātakāścaritametayoḥ	BavantaH api hanta! munayaH!kAvyavidyA-snAtakAH-caritam-etayoH
   studhvametaddhi vaḥ kāvyasarvasvaṃ bhaviṣyatītyabhidhāya bhagavatī bhavānī	stuDvam-etat-hi vaH kAvya-sarva-svam Bavizyati-iti-aBiDAya BagavatI BavAnI
   joṣamāsiṣṭa /	jozam-AsizwaH /
   te 'pi tathākarttumavatasthire /	te api taTA-akarttum-avatasTire /
   atha sarve prathamaṃ prācīṃ diśaṃ	aTa sarve praTamam prAcIm diSam
   śiśriyuryatrāṅgavaṅgasuhnabrahmapuṇḍrādyā janapadā;, tatrābhiyujjānā	SiSriyuH-yatra-aFga-vaFga-suhna-brahma-puNxra-AdyAH janapadA;, tatra-aBiyujjAnA
   tamaumeyī yaṃ veṣaṃ yatheṣṭamseviṣṭa, sa tatratyābhiḥ strībhiranvakriyata	tam-OmeyI yam vezam yaTezwam-sevizwa, sa tatratyABiH strIBiH-anvakriyata
   sā pravṛttī raudramāgadhī /	sA pravRttiH rOdra-mAgaDI /
   tāṃ te munayo 'bhituṣṭuvuḥ-	tAm te munayaH aBituzwuvuH-
   'ārdārdracandanakucāpintasūtrahāraḥ sīmantacumbisicayaḥ sphuṭabāhumūlaḥ /	aArda-Ardra-candana-kucApinta-sUtra-hAraH sImanta-cumbisi-cayaH sPuwa-bAhu-mUlaH /
   dūrvāprakāṇḍarucirāsvagurupabhogādva goḍāṅganāsu cirameṣa cakāstu veṣaḥ'	dUrvA-prakANxa-rucirAsu-aguH-upaBogAt-va goxa-aFganAsu ciram-eza cakAH-tu vezaH-a
   yadṛcchayāpi yādṛṅnepathyaḥ sa sārasvateya āsīt tadveṣāśca puruṣā babhūvuḥ	yadRcCayA-api yAdRS-nepaTyaH sa sArasvateyaH AsIt tad-vezAH-ca puruzAH baBUvuH
   sāpi saiva pravṛttiḥ /	sA-api sA-eva pravRttiH /
   yadaparaṃ nṛttavādyādikameṣā cakre sā bhārattī vṛttiḥ /	yat-aparam nRtta-vAdi-Adikam-ezA cakre sA BArattI vRttiH /
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   tathāvidhākalpayāpi tayā yadavaśaṃvadīkṛtaḥ	taTAviDa-AkalpayA-api tayA yat-avaSaMvadIkRtaH
   samāsavadanuprāsavadyogavṛttiparabhparātadgarbhaṃ (vākyaṃ) jagāda sā	samAsavat-anuprAsa-vat-yoga-vRtti-paraBparA-tat-garBam (vAkyan) jagAda sA
   gauḍīyā rītiḥ /	gOxIyA rItiH /
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   vṛttirītisvarupaṃ yathāvasaraṃ vakṣyāmaḥ /	vRtti-rIti-svarupam yaTAvasaram vakzyAmaH /
   tataśca sa, pañcālānpratyuñcacāla /	tatas-ca sa, paQcAlAn-pratyuQcacAla /
   yatra pāñcālaśūrasenahastināpurakāśmīravāhīkabāhlikabāhlaveyādayo	yatra pAQcAla-SUrasena-hastinApura-kASmIra-vAhIka-bAhlika-bAhla-veya-AdayaH-
   janapadāḥ /	janapadAH /
   tatrābhiyuñjānā tamaumeyīti samānaṃ pūrveṇa /	tatra-aBiyuQjAnA tam-OmeyI-iti samAnam pUrveNa /
   sā pāñcālamadhyamāpravṛttiḥ /	sA pAQcAla-maDyama-apravRttiH /
   tāṃ te munayo 'bhituṣṭuvuḥ-	tAm te munayaH aBituzwuvuH-
   'tāṭaṅkavalganataraṅgitagaṇḍalekhamānābhilambidaradolitatārahāram /	atA-waFka-valgana-taraFgita-gaNxa-leKamAna-aBilambi-dara-dolita-tAra-hAram /
   āśroṇigulphaparimaṇḍalitāntarīyaṃ veṣaṃ namasyata mahodayasundarīṇām' //	ASroNi-gulPa-parimaNxalita-AntarIyam vezam namasyata mahA-udaya-sundarINAm-a //
   kiñcidārdramanā yannepathyaḥ sa sārasvateya āsīditi samānaṃ pūrveṇa /	kiQcid-Ardra-manAH yat-nepaTyaH sa sArasvateyaH AsIt-iti samAnam pUrveNa /
   sāpi saiveti samānaṃ pūrveṇa /	sA-api sA-eva-iti samAnam pUrveNa /
   yadīṣannṛttagītavādyavilāsādikameṣā darśayāṃbabhūva sā sātvatī vṛttiḥ /	yat-Izat-nRtta-gIta-vAdya-vilAsa-Adikam-ezA darSayAMbaBUva sA sAtvatI vRttiH /
   āviddhagatimattvātsā cārabhaṭī /	AvidDa-gatimat-tvAt-sA cAraBawI /
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   tathāvidhākalpayāpi tayā yadīṣadūśaṃvadīkṛta	taTAviDa-akalpayA-api tayA yat-Izat-USaMvadIkRta
   īṣadasamāsamīṣadanuprāsamupacāragarbhañca (vākyaṃ) jagāda sā pāñcālī rītiḥ	Izat-asamAsam-Izat-anuprAsam-upacAra-garBaQca (vAkyan) jagAda sA pAQcAlI rItiH
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   tataḥ so 'vantīnpratyuccacāla /	tatas saH avantIn-pratyuccacAla /
   yatrāvantīvaidiśasurāṣṭramālavārbudabhṛgukacchādayo janapadāḥ /	yatra-avantI-vEdiSa-su-rAzwra-mAlava-arbuda-BRgukacCa-AdayaH janapadAH /
   janapadāḥ /	janapadAH /
   tatrābhiyuñjanā tamaumeyīti samānaṃ pūrveṇa /	tatra-aBiyuQjanA tam-OmeyI-iti samAnam pUrveNa /
   sā pravṛttirāvantī /	sA pravRtti-H-AvantI /
   pāñcālamadhyamādākṣiṇātyayorantaracāriṇī hi sā /	pAQcAla-maDyamA-dAkziNA-atyayoH-antara-cAriNI hi sA /
   ata eva sātvatīkaiśikyau tatra vṛttī /	atas eva sAtvatI-kESikyO tatra vRttI /
   tāṃ te munayo 'bhituṣṭuvuḥ-	tAm te munayaH aBituzwuvuH-
   'pāñcālanepathyavidhirnarāṇāṃ strīṇāṃ punarnandatu dākṣiṇātyaḥ /	apAQcAla-nepaTya-viDiH-narANAm strINAm punar-nandatu dAkziNAtyaH /
   yajjalpitaṃ yaccaritādikaṃ tadanyonyasaṃbhinnamavantideśe' //	yat-jalpitam yat-carita-Adikam tad-anyonya-saMBinnam-avanti-deSe-a //
   tataśca sa dakṣiṇāṃ diśamāsasāda /	tatas-ca sa dakziNAm diSam-AsasAda /
   yatra masayamekalapālamañjarāḥ parvatāḥ /	yatra masayam-eka-lapAla-maQjarAH parvatAH /
   kuntalakeralamahārāṣṭragāṅgakaliṅgādayo janapadāḥ /	kuntalakerala-mahArAzwra-gAFga-kaliFga-AdayaH janapadAH /
   tatrābhiyuñjānā tamaumeyīti, samānaṃ pūrveṇa /	tatra-aBiyuQjAnA tam-OmeyI-iti, samAnam pUrveNa /
   sā dākṣiṇātyā pravṛttiḥ /	sA dAkziNAtyA pravRttiH /
   tāṃ te munayo 'bhituṣṭuvuḥ /	tAm te munayaH aBituzwuvuH /
   'āmūlato valitakuntalacārucūḍaścūrṇālakapracayalāñchitabhālabhāgaḥ /	aAmUlataH valita-kuntalacAru-cUxaH-cUrNa-alaka-pracaya-lAQCita-BAla-BAgaH /
   kakṣāniveśanibiḍīkṛtanīvireṣa viṣaściraṃ jayati keralakāminīnām' //	kakzA-niveSa-nibixIkRta-nIviH-eza vizaH-ciram jayati kerala-kAminInAm-a //
   tāmanuraktamanāḥ sa yannepathyaḥ sārasvateya āsīditi samānaṃ pūrveṇa /	tAm-anurakta-manAH sa yat-nepaTyaH sArasvateyaH AsIt-iti samAnam pUrveNa /
   sāpi saiveti masānaṃ pūrveṇa /	sA-api sA-eva-iti masAnam pUrveNa /
   yadvicitranṛttagītavādyavilāsādikameṣāvirbhāvayāmāsa sā kaiśikī vṛttiḥ /	yad-vicitra-nRtta-gIta-vAdya-vilAsa-Adikam-eza-AvirBAvayAmAsa sA kESikI vRttiH /
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   yadatyarthaṃ ca sa tayā vaśaṃvadīkṛtaḥ sthānānuprāsavadasamāsaṃ	yat-atyarTam ca sa tayA vaSaMvadIkRtaH sTAna-anuprAsa-vadasamAsam
   yogavṛttigarbhaṃ ca (vākyaṃ)jagāda sā vaidarbhī rītiḥ /	yoga-vRtti-garBam ca (vAkyaM)jagAda sA vEdarBI rItiH /
   tāṃ te munaya iti samānaṃ pūrveṇa /	tAm te munayaH iti samAnam pUrveNa /
   tatra veṣavinyāsakramaḥ pravṛttiḥ, vilāsavinyāsakramo vṛttiḥ,	tatra veza-vinyAsa-kramaH pravRttiH, vilAsa-vinyAsa-kramaH vRttiH,
   vacanavinyāsakramo rītiḥ /	vacana-vinyAsa-kramaH rItiH /
   'catuṣṭayī gatirvṛttīnāṃ pravṛttināṃ ca deśānāṃ punarānantyaṃ tatkathamiva	acatuzwayI gatiH-vRttInAm pravRttinAm ca deSAnAm punar-Anantyam tat-kaTam-iva
   kārtsnyena parigrahaḥ' ityācāryāḥ /	kArtsnyena parigrahaH-a iti-AcAryAH /
   anantānapi hi deśāścaturdhaivākalpya kalpayanti 'cakravartikṣetraṃ	anantAn-api hi deSAH-caturDA-eva-akalpya kalpayanti acakravarti-kzetram
   sāmānyena tadavāntaraviśeṣaiḥ punaranantā eva'iti yāyāvarīyaḥ /	sAmAnyena tad-avAntara-viSezEH punar-anantA eva-aiti yAyAvarIyaH /
   dakṣiṇātsamudrādudīcīṃ diśaṃ prati yojanasahasraṃ cakravartikṣetraṃ,	dakziNAt-samudrAt-udIcIm diSam prati yojana-sahasram cakravarti-kzetraM,
   tatraiva nepathyavidhiḥ /	tatra-eva nepaTya-viDiH /
   tataḥ paraṃ divyādyā api yaṃ deśamadhivaseyustaddeśyaṃ veṣamāśrayanto	tatas param divya-AdyAH api yam deSam-aDivaseyuH-tad-deSyam vezam-ASrayantaH-
   nibandhanīyāḥ /	nibanDanIyAH /
   svabhūmau tu kāmacāraḥ /	sva-BUmO tu kAma-cAraH /
   dvīpāntarabhavānāṃ tadanusāreṇa vṛttipravṛttī /	dvIpa-antara-BavAnAm tad-anusAreNa vRtti-pravRttI /
   rītayastu tisraghastāstu purastāt /	rItayaH-tu tisra-GastAH-tu purastAt /
   tatrāsti manojanmano devasya krīḍāvāso vidarbheṣu vatsagulmaṃ nāma nagaram	tatra-asti manaH-jan-manaH devasya krIxA-vAsaH vidarBezu vatsa-gulmam nAma nagaram
   tatra sārasvateyastāmaumeyīṃ gandharvavatpariṇināya /	tatra sArasvateyaH-tAm-OmeyIm ganDarva-vat-pariNinAya /
   tatastadūdhūvaraṃ vinivṛttya teṣu pradeśeṣu viharamāṇaṃ	tatas-tad-UDU-varam vinivRttya tezu pradeSezu viharamANam
   tuṣāragirimevājagāma, yatra gaurī sarasvatī ca mithaḥ sambandhinyau	tuzAragirim-eva-AjagAma, yatra gOrI sarasvatI ca miTas sambanDinyO
   tasthatuḥ /	tasTatuH /
   tau ca kṛtavandanau dampatīdattvāśiṣaṃ prabhāvamayena vapuṣā	tO ca kRta-vandanO dampatI-dattva-ASizam praBAva-mayena vapuzA
   kavimānasanivāsinau cakratuḥ /	kavi-mAnasa-nivAsinO cakratuH /
   tayośca taṃ sargaṃ kavibhyaḥ svargalokamakalpatāṃ, yatra kāvyamayena	tayoH-ca tam sargam kaviByaH svarga-lokam-akalpatAM, yatra kAvya-mayena
   śarīreṇa marttyamadhivasanto divyena dehena kavaya ākalpaṃ modante /	SarIreNa marttyam-aDivasantaH divyena dehena kavayaH Akalpam modante /
   ityeṣa kāvyapuruṣaḥ purā sṛṣṭaḥ svayambhuvā /	iti-eza kAvya-puruzaH purA sRzwaH svayamBuvA /
   evaṃ vibhajya jānānaḥ pretya ceha ca nandati //	evam viBajya jAnAnaH pretya ca-iha ca nandati //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   tṛtīyo 'dhyāyaḥ kāvyapuruṣotpattiḥ	tRtIyaH aDyAyaH kAvya-puruza-utpattiH
   ____________________________ Adhyaya 4 _____________________________	____________________________ ADyaya 4 _____________________________
   śiṣyapratibhe caturtho 'dhyāyaḥ	Sizya-pratiBe caturTaH aDyAyaH
   śiṣyapratibhe dvividhaṃ śiṣyamācakṣate yaduta buddhimānāhāryabuddhiśca /	Sizya-pratiBe dviviDam Sizyam-Acakzate yat-uta budDimAn-AhArya-budDiH-ca /
   yasya nisargataḥ śāstramanudhāvati buddhiḥ sa buddhimān /	yasya nisargataH SAstram-anuDAvati budDiH sa budDimAn /
   yasya ca śāstrābhyāsaḥ saṃskurute buddhimasāvāhāryabudhdiḥ /	yasya ca SAstra-aByAsaH saMskurute budDim-asO=-AhArya-buDdiH /
   tridhā ca sā, smṛtirmatiḥ prajñeti /	triDA ca sA, smRtiH-matiH prajQA-iti /
   atikrāntasyārthasya smartrīsmṛtiḥ /	atikrAntasya-arTasya smartrI-smRtiH /
   varttamānasya mantrī matiḥ /	varttamAnasya mantrI matiH /
   anāgatasya prajñātrī prajñeti /	anAgatasya prajQAtrI prajQA-iti /
   sā triprakārāpi kavīnāmupakartrī /	sA tri-prakArA-api kavInAm-upakartrI /
   tayorbuddhimān śuśrūṣate śṛṇoti gṛhṇīte dhārayati vijānātyūhate 'pohati	tayoH-budDimAn SuSrUzate SRNoti gRhNIte DArayati vijAnAti-Uhate apohati
   tattvaṃ cābhiniviśate /	tattvam ca-aBiniviSate /
   āhāryabuddherapyeta eva guṇāḥ kintu praśāstāramapekṣante /	AhArya-budDeH-api-ete eva guNAH kintu praSAstAram-apekzante /
   aharahaḥ sugurupāsanā tayoḥ prakṛṣṭe guṇaḥ /	aharahar su-guru-pAsanA tayoH prakRzwe guNaH /
   sā hi buddhivikāsakāmadhenuḥ /	sA hi budDi-vikAsakAmaDenuH /
   tadāhuḥ-	tat-AhuH-
   'prathayati puraḥ prajñājyotiryathārthaparigrahe tadanu	apraTayati puras prajQA-jyotiH-yaTA-arTa-parigrahe tadanu
   janayatyūhāpohakriyāviśadaṃ manaḥ /	janayati-Uha-apoha-kriyA-viSadam manaH /
   abhainiviśate tasmāttattvaṃ tadekamukhodayaṃ saha paricayo vidyāvṛddhaiḥ	aBEniviSate tasmAt-tattvam tat-eka-muKa-udayam saha paricayaH vidyA-vRdDEH
   kramādamṛtāyate' //	kramAt-amRta-Ayate-a //
   tābhyāmanyathābuddhirdurbuddhiḥ /	tAByAm-anyaTA-budDiH-durbudDiH /
   tatra buddhimataḥ pratipattiḥ /	tatra budDimataH pratipattiH /
   sa khalu sakṛdabhidhānapratipannārthaḥ kavimārgaṃ mṛgayituṃ	sa Kalu sakRt-aBiDAna-pratipanna-arTaH kavi-mArgam mRgayitum
   gurukulamupāsīta /	guru-kulam-upAsIta /
   āhāryabuddhestu dvayamapratipattiḥ sandehaśca /	AhArya-budDeH-tu dvayam-apratipattiH sandehaH-ca /
   sa khalvapratipannamarthaṃ pratipattuṃ sandehaṃ ca	sa Kalvapratipannam-arTam pratipattum sandeham ca
   nirākartumācāryānupatiṣṭheta /	nirAkartum-AcAryAn-upatizWeta /
   durbuddhestu sarvatra mativiparyāsa eva /	durbudDeH-tu sarvatra mati-viparyAsaH eva /
   sa hi nīlīmecakitasicayakalpo 'nādheyaguṇāntaratvāt taṃ yadi sārasvato	sa hi nIlI-mecakita-sicaya-kalpaH anADeya-guNa-antara-tvAt tam yadi sArasvataH-
   'nubhāvaḥ prasādayati tamaupaniṣadike vakṣyāmaḥ /	anuBAvaH prasAdayati tam-Opanizadike vakzyAmaH /
   'kāvyakarmaṇi kaveḥ samādhiḥ paraṃ vyāpriyate iti śyāmadevaḥ /	akAvya-karmaNi kaveH samADiH param vyApriyate iti SyAmadevaH /
   manasa ekāgratā samādhiḥ' /	manasaH ekAgra-tA samADiH-a /
   samāhitaṃ cittamarthānpaśyati, uktañca-	samAhitam cittam-arTAn-paSyati, uktaQca-
   'sārasvataṃ kimapi tatsumahārahasyaṃ dadgocaraṃ ca viduṣāṃ nipuṇaikasevyam	asArasvatam kim-api tad-su-mahA-rahasyam dat-gocaram ca viduzAm nipuNa-eka-sevyam
   tatsiddhaye paramayaṃ paramo 'bhyapāyo yaccetaso viditavedyavidheḥ	tad-sidDaye paramayam paramaH aByapAyaH yat-cetasaH vidita-vedya-viDeH
   samādhiḥ //	samADiH //
   ''abhyāsaḥ' iti maṅgalaḥ /	aaaByAsaHa iti maFgalaH /
   avicchedena śīlanamabhyāsaḥ /	avicCedena SIlanam-aByAsaH /
   sa hi sarvagāmī sarvatra niratiśayaṃ kauśalamādhatte /	sa hi sarva-gAmI sarvatra niratiSayam kOSalam-ADatte /
   samādhirāntaraḥ prayatno bāhyastvabhyāsaḥ /	samADiH-AntaraH prayatnaH bAhyaH-tu-aByAsaH /
   tāvubhāvapi śaktimudbhāsayataḥ /	tO=-uBO=-api Saktim-udBAsayataH /
   'sā kevalaṃ hetuḥ' iti yāyāvarīyaḥ /	asA kevalam hetuHa iti yAyAvarIyaH /
   viprasṛtiśca sā pratibhāvyutpattibhyām /	viprasRtiH-ca sA pratiBAvi-utpattiByAm /
   śaktikartṛkehi pratibhāvyutpattikarmaṇī /	Sakti-kartRkehi pratiBAvi-utpatti-karmaNI /
   śaktasya pratibhāti śaktaśca vyutpadyate /	Saktasya pratiBAti SaktaH-ca vyutpadyate /
   yā śabdagrāmamarthasārthamalaṅkāratantramuktimārgamanyadapi	yA Sabda-grAmam-arTa-sArTam-alaFkAra-tantra-mukti-mArgam-anyat-api
   tathāvidhamadhihṛdayaṃ pratibhāsayati sā pratibhā /	taTAviDam-aDihRdayam pratiBAsayati sA pratiBA /
   apratibhasya padārthasārthaḥ parokṣa iva, pratibhāvataḥ punarapaśyato 'pi	apratiBasya padArTa-sArTaH parokzaH iva, pratiBAvataH punar-apaSyataH api
   pratyakṣa iva /	pratyakzaH iva /
   yato meghāvirudrakumāradāsādayo jātyandhāḥ kavayaḥ śrūyante /	yatas meGa-avirudra-kumAra-dAsa-AdayaH jAti-anDAH kavayaH SrUyante /
   kiñcana mahākavayo 'pi deśadvīpāntarakathāpuruṣādidarśanena tatratyāṃ	kiQcana mahAkavayaH api deSa-dvIpa-antara-kaTA-puruza-Adi-darSanena tatratyAm
   vyavahṛrti nibadhnantisma /	vyavahRrti nibaDnantisma /
   tatra deśāntaravyavahāraḥ-	tatra deSa-antara-vyavahAraH-
   'prāṇānāmanilena vṛttirucitā satkalpavṛkṣe vane toye	aprANAnAm-anilena vRtti-rucitA sat-kalpavRkze vane toye
   kāñcanapadmareṇukapiśe puṇyābhiṣekakriyā /	kAQcana-padma-reNu-kapiSe puNya-aBizeka-kriyA /
   dhyānaṃ ratnaśilāgṛheṣu vibudhastrīsannidhau saṃyamo yatkāṅkṣanti	DyAnam ratna-SilA-gRhezu vibuDa-strI-sanniDO saMyamaH yat-kAFkzanti
   tapobhiranyamunayastarsmistapasyantyamī //	tapoBiH-anya-munayaH-tarsmiH-tapasyanti-amI //
   dvīpāntaravyavahāraḥ-	dvIpa-antara-vyavahAraH-
   anena sārddhaṃ viharāmburāśestīreṣu tāḍīvanamarmareṣu /	anena sArdDam vihara-amburASeH-tIrezu tAxIvana-marmarezu /
   dvīpāntarānītalavaṅgapuṣpairapākṛtasvedalave marudbhiḥ //	dvIpa-antara-AnIta-lavaFga-puzpEH-apAkRta-sveda-lave marudBiH //
   kathāpuruṣavyavahāraḥ-	kaTA-puruza-vyavahAraH-
   haro 'pi tāvatparivṛttadhairyaścandrodayārambha ivāmburāśiḥ /	haraH api tAvat-parivRtta-DEryaH-candra-udaya-AramBaH iva-amburASiH /
   umāmukhe bimbaphalādharoṣṭe vyāpārayāmāsa vilocanāni //	umA-muKe bimba-Pala-aDara-uzwe vyApArayAmAsa vilocanAni //
   ādigrahaṇāt-	Adi-grahaNAt-
   tathāgatāyāṃ parihāsapūrvaṃ sakhyāṃ sakhī vetrabhṛdābabhāṣe /	taTAgatAyAm parihAsa-pUrvam saKyAm saKI vetra-BRt-AbaBAze /
   bāle vrajāmo 'nyata ityathaināṃ vadhūrasūyākuṭilaṃ dadarśa //	bAle vrajAmaH anyatas iti-aTa-enAm vaDUH-asUyA-kuwilam dadarSa //
   sā ca dvidhā kārayitrī bhāvayitrī ca /	sA ca dviDA kArayitrI BAvayitrI ca /
   kaverupakurvāṇā kārayitrī /	kaveH-upakurvANA kArayitrI /
   sāpi trividhā sahajā'hāryaupadeśikī ca /	sA-api triviDA sahajA-ahArya-OpadeSikI ca /
   janmāntarasaṃskārāpekṣiṇī sahajā /	janma-antara-saMskAra-apekziNI sahajAH /
   iha janmasaṃskārayonirāhāryā /	iha janma-saMskAra-yoniH-AhAryAH /
   mantratantrādyupadeśaprabhavā aupadeśikī /	mantra-tantra-Adi-upadeSa-praBavA OpadeSikI /
   aihikena kiyatāpi saṃskāreṇa prathamāṃ tāṃ sahajeti vyapadiśanti /	Ehikena kiyatA-api saMskAreNa praTamAm tAm sahaja-iti vyapadiSanti /
   mahatā punarāhāryā /	mahatA punar-AhAryAH /
   aupadeśikyāḥ punaraihika eva upadeśakālaḥ, aihika eva saṃskārakālaḥ /	OpadeSikyAH punar-EhikaH eva upadeSa-kAlaH, EhikaH eva saMskAra-kAlaH /
   ta ime trayo 'pi kavayaḥ sārasvataḥ, ābhyāsikaḥ, aupadeśikaśca /	te ime trayaH api kavayaH sArasvataH, AByAsikaH, OpadeSikaH-ca /
   janmāntarasaṃskārapravṛttasarasvatīko buddhimānsārasvataḥ /	janma-antara-saMskAra-pravRtta-sarasvatIkaH budDimAn-sArasvataH /
   iha janmābhyāsodbhāsitabhāratīka āhāryabuddhirābhyāsikaḥ /	iha janma-aByAsa-udBAsita-BAratIkaH AhArya-budDiH-AByAsikaH /
   upadeśitadarśitavāgvibhavā durbuddhiraupadeśikaḥ /	upadeSita-darSita-vAc-viBavA durbudDiH-OpadeSikaH /
   tasmānnetarau tantraśeṣamanutiṣṭhatām /	tasmAt-na-itarO tantra-Sezam-anutizWatAm /
   'nahi prakṛtimadhurā drākṣā phāṇitatasaṃskāramapekṣate' ityācāryāḥ /	anahi prakRti-maDurA drAkzA PANitata-saMskAram-apekzate-a iti-AcAryAH /
   'na'iti yāyāvarīyaḥ /	anaH-aiti yAyAvarIyaH /
   ekārthaṃ hi kriyādvayaṃ dvaiguṇyāya sampadyate /	eka-arTam hi kriyA-dvayam dvEguNyAya sampadyate /
   'teṣāṃ pūrvaḥ pūrvaḥ śreyān' iti śyāmadevaḥ /	atezAm pUrvaH pUrvaH SreyAn-a iti SyAmadevaH /
   sārasvataḥ svatantraghaḥ syādbhavedābhyāsiko mitaḥ /	sArasvataH svatantraGaH syAt-Bavet-AByAsikaH mitaH /
   aupadeśakavistvatra valgu phalgu ca jalyapi //	OpadeSakaviH-tu-atra valgu Palgu ca jali-api //
   'utkarṣaḥ śreyān' iti yāyāvarīyaḥ /	autkarzaH SreyAn-a iti yAyAvarIyaH /
   sa cānekaguṇasannipāte bhavati /	sa ca-aneka-guNa-sannipAte Bavati /
   kiñca-	kiQca-
   'buddhimattvaṃ ca kāvyāṅgavidyāsvabhyāsakarma ca /	abudDimat-tvam ca kAvya-aFga-vidyAsu-aByAsa-karma ca /
