   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   skandhabhūtā ṛgādyāste śākhābhūtāstathā mune /	skanDa-BUtAH Rc-a-AdyAH-te SAKABUtAH-taTA mune /
   " ityādivacanāt /	" ityAdi-vacanAt /
   tathā ṛgvedapāṭhe paṭhitam--- "vratametat suduścaram" iti	taTA Rgveda-pAWe paWitam--- "vratam-etat su-duScaram" iti
   saṃvādapradarśanāt, vedaśākhāvyāsadaśāyāṃ niruktaśākhāyā api gaṇitatvāt,	saMvAda-pradarSanAt, veda-SAKA-vyAsa-daSAyAm nirukta-SAKAyAH api gaNita-tva-at,
   bhagavacchāstrasārabhūtasāttvatapauṣkarādiṣu rahasyāmnāyavidhāne	Bagavat-SAstra-sAra-BUta-sAttvata-pOzkara-Adizu rahasya-AmnAya-viDAne
   "ekāyanīyaśākhoktairmantraiḥ paramapāvanaiḥ /	"ekAyanIya-SAKA-uktEH-mantrEH parama-pAvanEH /
   " ityādibhiḥ tacchrutitpratipādanāt /	" ityAdiBiH tad-SrutitpratipAdanAt /
   atra bhagavadyāmunamunibhirevokto grantho likhyate--- "yadapyuktam---	atra Bagavat-yAmuna-muniBiH-eva-uktaH granTaH liKyate-- "yat-api-uktam----
   'garbhādhānādidāhāntasaṃskārāntarasevanāt bhāgavatānāma brāhmaṇyam' iti,	agarBADAna-Adi-dAha-anta-saMskAra-antara-sevanAt BAgavatA-nAma brAhmaNyam-a iti,
   tatrāpyajñānamevāparādhyati, na punarāyuṣmato doṣaḥ; yata ete	tatra-api-ajQAnam-eva-aparADyati, na punar-AyuzmataH dozaH; yatas ete
   vaṃśaparamparayā vājasaneyaśākhāmadhīyānāḥ kātyāyanādigṛhyoktamārgeṇa	vaMSa-paramparayA vAjasaneya-SAKAm-aDIyAnAH kAtyAyana-Adi-gRhya-ukta-mArgeNa
   garbhādhānādisaṃskārān kurvate, ye punaḥ sāvitryanuvacanaprabhṛti	garBADAna-Adi-saMskArAn kurvate, ye punar sAvitrI-anuvacana-praBRti
   trayīdharmātyāgena ekāyanaśrutivihitāneva catvāriṃśatsaṃskārān kurvate,	trayI-DarmA-tyAgena ekAyana-Sruti-vihitAn-eva catvAriMSat-saMskArAn kurvate,
   tepi svaśākhāgṛhyoktadharmaṃ yathāvadanutiṣṭhamānā na	tepi sva-SAKA-gRhya-ukta-Darmam yaTAvat-anutizWamAnA na
   śākhāntarīyakarmānanuṣṭhānāt brāhmaṇyāt pracyavante, anyeṣāmapi	SAKA-antarIya-karma-ananuzWAnAt brAhmaNyAt pracyavante, anyezAm-api
   parasparaśākhāvihitakarmānanuṣṭhānanimittābrāhmaṇyaprasaṅgāt; sarvatra hi	paraspara-SAKA-vihita-karma-ananuzWAna-nimitta-abra-AhmaNya-prasaFga-at; sarvatra hi
   jāticaraṇagotrādhikārādivyavasthitā eva samayācārā upalabhyante /	jAti-caraNa-gotra-aDikAra-Adi-vyavasTitAH eva samaya-AcArAH upalaByante /
   yadyapi sarvaśākhāpratyayamekaṃ karma, tathāpi na	yadi-api sarva-SAKA-pratyayam-ekam karma, taTA-api na
   parasparavilakṣaṇādhikārisambaddhā dharmāḥ kvacit, samuccīyante /	paraspara-vilakzaNa-aDikAri-sambadDAH DarmAH kvacit, samuccIyante /
   vilakṣaṇāstrayīvihitasvargaputrādiviṣayopabhogasādhanaindrāgneyādikarmādhikāribhyo	vilakzaNAH-trayI-vihita-svarga-putra-Adi-vizaya-upaBoga-sADana-Endra-Agneya-Adi-karma-aDikAriByaH-
   dvijebhyastrayyantaikāyanaśrutivihitavijñānābhigamanopādānejyāprabhṛtibhagavatprāptyekopāyakarmādhikāriṇo	dvijeByaH-trayI-anta-ekAyana-Sruti-vihita-vijQAna-aBigamana-upAdAna-ijyA-praBRti-Bagavat-prApti-eka-upAya-karma-aDikAriNaH-
   mumukṣavo brāhmaṇāḥ, iti	mumukzavaH brAhmaNAH, iti
   nobhayeṣāmapyanyonyaśākhāvihitakarmānanuṣṭhānamabrāhmaṇyamāpādayati /	na-uBayezAm-api-anyonya-SAKA-vihita-karma-ananuzWAnam-abrAhmaNyam-ApAdayati /
   yathā ca ekāyanaśākhāyā apauruṣeyatvam, tathā kāśmīrāgamaprāmaṇyaṃ eva	yaTA ca ekAyana-SAKAyAH apOruzeya-tvam, taTA kASmIrAgama-prAmaNyam eva
   prapañcitamiti neha prastūyate /	prapaQcitam-iti na-iha prastUyate /
   prakṛtānāṃ tu bhāgavatānāṃ sāvitryanuvacanāditrayīsambandhasya	prakRtAnAm tu BAgavatAnAm sAvitrI-anuvacana-Adi-trayI-sambanDasya
   sphuṭataramu palabdhirna tattyāganimittavrātyatvādisandehaṃ sahate" iti //	sPuwataramu palabDiH-na tad-tyAga-nimitta-vrAtya-tva-Adi-sandeham sahate" iti //
   nyā. pa. śa. 45 caturvidhaṃ cedaṃ pañcarātram--- āgamasiddhāntaḥ,	nyA. pa. Sa. 45 caturviDam ca-idam paQca-rAtram-- Agama-sidDAntaH,
   divyasiddhāntaḥ, tantrasiddhāntaḥ, tatrāntarasiddhāntaśceti /	divya-sidDAntaH, tantra-sidDAntaH, tatra-antara-sidDAntaH-ca-iti /
   caturvidhaṃ cedaṃ vedamūlabhūtāṃśasya upabṛṃhaṇam; tadabhiprāyeṇa hyuktaṃ	caturviDam ca-idam veda-mUla-BUta-aMSasya upabRMhaNam; tad-aBiprAyeNa hi-uktam
   mahābhārate--- "mahato vedavṛkṣasya mūlabhūto mahānayam /	mahABArate-- "mahataH veda-vRkzasya mUla-BUtaH mahAn-ayam /
   " ityādi /	" ityAdi /
   caturṇāṃ caiṣāṃ lakṣaṇādikaṃ śrīpauṣkarādiṣu bhagavataiva darśitam /	caturNAm ca-ezAm lakzaNa-Adikam SrI-pOzkara-Adizu BagavatA-eva darSitam /
   yacca teṣu caturṣu sādhāraṇyāsādhāraṇyārcopasaṃhāryānupasaṃhāryādikaṃ	yat-ca tezu caturzu sADAraNya-asADa-araNya-arca-upasaMhArya-anupasaMhArya-Adikam
   vaktavyam, tat sarvaṃ śrīpāñcarātrarakṣāsiddhāntavyavasthāyāṃ	vaktavyam, tat sarvam SrI-pAQcarAtra-rakzA-sidDAnta-vyavasTAyAm
   sarvaparāmarśena sādhitamasmābhiriti tatraiva tadvistaraḥ	sarva-parAmarSena sADitam-asmABiH-iti tatra-eva tad-vistaraH
   sāttvatadharmagopturananyairanusandheya iti nātra prabrūmaḥ /	sAttvata-Darma-goptuH-ananyEH-anusanDeyaH iti na-atra prabrUmaH /
   evaṃ sthite kecid bāhlīkaprāyāḥ āgamabāhyāḥ śrīmadvaikhānasaprāmāṇye	evam sTite kecid bAhlIka-prAyAH Agama-bAhyAH SrImat-vEKAnasa-prAmANye
   viśerate /	viSerate /
   tatra tāvat kalpasūtraṃ nāpramāṇam, itaravadeva kalpasūtratvāt,	tatra tAvat kalpasUtram na-apramANam, itara-vat-eva kalpasUtra-tvAt,
   tatkartuśca kalpasūtrakāratvaprasiddheḥ, vedāviruddhatvāt,	tad-kartuH-ca kalpasUtra-kAra-tva-prasidDeH, veda-avirudDa-tvAt,
   vaidikamantraireva sakaladharmavidhānāt, sūtrāntarāṇāmapi	vEdika-mantrEH-eva sakala-Darma-viDAnAt, sUtra-antarANAm-api
   kuṇḍasanniveśalakṣaṇādiṣu kvacit kvacit tadupajīvanāt,	kuNxa-sanniveSa-lakzaNa-Adizu kvacid kvacid tad-upajIvanAt,
   varṇāśramadharmāṇāmanukūlaṃ nārāyaṇaparatvapratipādanāderapi	varNa-ASrama-DarmANAm-anukUlam nArAyaNa-paratva-pratipAdana-AdeH-api
   sattvamūlatvena prāmāṇyaikahetutvāt, "harimeva smarennityaṃ	sattva-mUla-tvena prAmANya-eka-hetu-tva-at, "harim-eva smaret-nityam
   karmapūrvāpareṣvapi /	karma-pUrva-aparezu-api /
   dhyāyennārāyaṇaṃ devaṃ snānādiṣu ca karmasu" //	DyAyet-nArAyaNam devam snAna-Adizu ca karmasu" //
   ityādinā śaunakādibhirapi tathaiva vidhānāt, vaṃśaparamparayā ca	ityAdinA SOnaka-AdiBiH-api taTA-eva viDAnAt, vaMSa-paramparayA ca
   vaikhānasairadhīyamānatayā viplavasyāpyanavakāśatvāt /	vEKAnasEH-aDIyamAna-tayA viplavasya-api-anavakASa-tvAt /
   astu kimapi tat, idaṃ taditi kiṃ niyākamamiti cet, itarānupalamaḥ	astu kim-api tat, idam tat-iti kim niyAkamam-iti cet, itara-anupalamaH
   tadupalambhaśca, anyathā sarvatra śrutismṛtyādīnāṃ tathā tathā	tad-upalamBaH-ca, anyaTA sarvatra Sruti-smRti-AdInAm taTA taTA
   saṃśayaprasaṅgāt /	saMSaya-prasaFgAt /
   astvidameva tat, pramāṇaṃ ca, tathāpi bhārgavādicatuṣkasya kathaṃ	astu-idam-eva tat, pramANam ca, taTA-api BArgava-Adi-catuzkasya kaTam
   prāmāṇyam ? iti cenna, uktottaratvāt, maharṣipraṇītatvavedāviruddhatvādeḥ	prAmANyam ? iti ced-na, ukta-uttara-tvAt, mahA-Rzi-praNIta-tva-veda-avirudDa-tva-AdeH
   samatvāt /	sama-tvAt /
   pañcarātravirodhostīti cenna, tattve tadabhāvāt, kartavyakriyādibhedasyāpi	paQca-rAtra-viroDa-usti-iti ced-na, tattve tad-aBAvAt, kartavya-kriyA-Adi-Bedasya-api
   pratiniyatādhikāriviṣayatvenaivopapatteḥ, kalpasūtraprakriyābhedavat,	pratiniyata-aDikAri-vizaya-tvena-eva-upapatteH, kalpa-sUtra-prakriyA-Bedavat,
   āgamadivyatantratantrāntararūpapañcarātrāvāntaracatuṣkakriyādivibhāgavacca	Agama-divya-tantra-tantra-antara-rUpa-paQcarAtra-avAntara-catuzka-kriyA-Adi-viBAgavat-ca
   āśvamodhike śrīvaiṣṇavadharmaśāstre dvitayamapi samaprāmāṇyatayopāttam /	ASvamoDike SrI-vEzNava-Darma-SAstre dvitayam-api sama-prAmANyatayA-upAttam /
   dvayorapi parasparaprāmāṇyam "viṣṇostantraṃ dvidhā proktam" ityādiṣu	dvayoH-api paraspara-prAmANyam "vizNoH-tantram dviDA proktam" ityAdizu
   vyañjitam /	vyaQjitam /
   parasparākṣepavacanāni tu ikṣubhakṣakṛticikīrṣubhirasahiṣṇubhirupakṣiptāni	paraspara-Akzepa-vacanAni tu ikzu-Bakza-kRti-cikIrzuBiH-asa-hizNuBiH-upakziptAni
   vā svaśāstrapraśaṃsārthavādarūpāṇi veti na tato virodhaḥ //	vA sva-SAstra-praSaMsA-arTa-vAda-rUpANi vA-iti na tatas viroDaH //
   nyā. pa. śa. 46 nanu bhārgavādīni na tāvat kalpasūtrāṇi,	nyA. pa. Sa. 46 nanu BArgava-AdIni na tAvat kalpa-sUtrANi,
   tathānabhyupagamāt, aprasiddheḥ, ayukteśca, /	taTA-anaByupagamAt, aprasidDeH, ayukteH-ca, /
   na smṛtyantarāṇi, manvādiṣvapāṭhāt tadvat tatprasiddhyabhāvāccāna ca	na smRti-antarANi, manu-Adizu-apAWAt tadvat tad-prasidDi-aBAvAt-ca-ana ca
   svatantratantrāntarāṇi, sāṃkhyayogādisahapāṭhādarśanāt,	svatantra-tantra-antarANi, sAMKya-yoga-Adi-saha-pAWA-darSanAt,
   vaikhānasānuvartanācca /	vEKAnasa-anuvartanAt-ca /
   tat katamāṃ vidhāmavalambyāmīṣāṃ prāmāṇyamucyate ? /	tat katamAm viDAma-valambyA-amIzAm prAmANyam-ucyate ? /
   manvatribhārgavādivat nāradīyādivacca dharmaśāstratayaiva teṣāmapi	manu-atri-BArgava-Adi-vat nAradIya-Adi-vat-ca Darma-SAstra-tayA-eva tezAm-api
   prāmāṇyam, aṣṭādaśādiparigaṇanasya upalakṣaṇatāyāḥ prāmāṇikairabhyupagamāt	prAmANyam, azwAdaSa-Adi-parigaNanasya upalakzaNa-tAyAH prAmANikEH-aByupagamAt-
   smṛtyantareṣu devotsavādiprapañcanaṃ nāstīti cet, mā bhūt prapañcanam,	smRti-antarezu deva-utsava-Adi-prapaQcanam na-asti-iti cet, mA BUt prapaQcanam,
   svarūpaṃ tāvadanujñātaṃ tatprapañcaparāṇām /	svarUpam tAvat-anujQAtam tad-prapaQca-parANAm /
   tathāpi jīvānāmantatonyonyavaiṣamyamātrasya ca	taTA-api jIvAnAm-anta-tonyonya-vEzamya-mAtrasya ca
   sārvatrikatvānnikṛṣṭādhikārikāṇi tānīti cenna, teṣvanyeṣu ca	sArvatrika-tvAt-nikRzwa-ADikArikANi tAni-iti ced-na, tezu-anyezu ca
   brāhmaṇyaikapradhānatvavacatāt, tathopalabdheśca /	brAhmaNya-eka-praDAna-tva-vacatAt, taTA-upalabDeH-ca /
   kathaṃ teṣāṃ brāhmaṇyamiti cet, śāntaṃ pāpam /	kaTam tezAm brAhmaNyam-iti cet, SAntam pApam /
   śravasī pidadhīmahi /	SravasI pidaDImahi /
   tathāpi vaktavyam /	taTA-api vaktavyam /
   dṛśyante hyete vaṃśaparamparayā vedamadhīyānā	dRSyante hi-ete vaMSa-paramparayA vedam-aDIyAnA
   vekhānasasūtroktavaidikasakalasaṃskāraśālino varṇāśramadharmakarmaṭhā	veKAnasa-sUtra-ukta-vEdika-sakala-saMskAra-SAlinaH varNa-ASrama-Darma-karmaWA
   bhagavadekāntā brāhmaṇāḥ /	Bagavat-ekAntAH brAhmaNAH /
   nūnamamīṣāṃ brāhmaṇyaikakāraṇena bhāgavatatvenaiva viparītaṃ bambhramīti	nUnam-amIzAm brAhmaNya-eka-kAraNena BAgavata-tvena-eva viparItam bamBrami-iti
   brāhmaṇagardabhaḥ; anyathā vaikhānasakalpasyāpi	brAhmaNa-gardaBaH; anyaTA vEKAnasa-kalpasya-api
   niradhikāritvenāprāmāṇyaprasaṅgaḥ /	niraDikAri-tvena-aprAmANya-prasaFgaH /
   astu tatprāmāṇyam; santu ca deśāntare kālāntare vā tadadhikāriṇaḥ; amī tu	astu tad-prAmANyam; santu ca deSa-antare kAla-antare vA tad-aDikAriNaH; amI tu
   katame ? iti cet, deśāntarādāvapyevaṃ vaktuṃ śakyatvāt; viparītaṃ vā	katame ? iti cet, deSa-antara-AdO=-api-evam vaktum Sakya-tvAt; viparItam vA
   kasmānna syāt ?; evaṃ ca sati sūtrāntarādiṣvapi kaḥ samāśvāsaḥ ? /	kasmAt-na syAt ?; evam ca sati sUtra-antara-Adizu-api kaH samASvAsaH ? /
   vaikhānasānāṃ nikṛṣṭajātitvavacanavivādābhyāṃ sandehaviṣayatvamiticet,	vEKAnasAnAm nikRzwa-jAti-tva-vacana-vivAdAByAm sandeha-vizaya-tvam-iti-cet,
   āptagranthasthatādṛśavacanābhāvāt; bhāvepyeteṣāṃ nikṛṣṭajātitve	Apta-granTa-sTa-tA-dRSa-vacana-aBAva-at; BAvepyetezAm nikRzwa-jAti-tve
   pramāṇābhāvāt; āgamaprāmāṇyoktasātvatādisamākhyānirvāhasamatvāt; na	pramANa-aBAva-at; Agama-prAmANya-ukta-sAtvata-Adi-samAKyA-nirvAha-sama-tvAt; na
   hyanekārthaḥ śabdo nāsti, na ca śabdaikyādarthaikyam,	hi-aneka-arTaH SabdaH na-asti, na ca Sabda-EkyAt-arTa-Ekyam,
   śabdabhedenārthabhedo vā; anyathā vilīnaṃ tṛtīyāśrameṇāpi; vivādasya	Sabda-Bedena-arTa-BedaH vA; anyaTA vilInam tRtIya-ASrameNa-api; vivAdasya
   tubhavādṛśajihvāspandamātrādhīnasya sūtragotrādāvapi suśakatvāt /	tuBavAdRSa-jihvA-spanda-mAtra-aDInasya sUtra-gotra-AdO=-api suSaka-tvAt /
   itaḥ pūrvaṃ tāvannāstīti cenna, asyāpi vivādasyānāditvāyogāt, tataḥ	itas pUrvam tAvat-na-asti-iti ced-na, asya-api vivAdasya-anAdi-tvA-yogAt, tatas-
   pūrvamabhāvāta; tathā ca bhavato bhaviṣyato vā vivādasya vivādatvāviśeṣāt	pUrvam-aBAvAta; taTA ca BavataH BavizyataH vA vivAdasya vivAda-tva-aviSezAt-
   tataḥ paraṃ teṣāmanāśvāsaprasaṅgāt /	tatas param tezAm-anASvAsa-prasaFgAt /
   asmākaṃ tāvat teṣu saṃśayo nāstīti cet, asmākaṃ vā kimastyamīṣu ? /	asmAkam tAvat tezu saMSayaH na-asti-iti cet, asmAkam vA kim-asti-amIzu ? /
   kva tarhi nikṛṣṭajātyantaram ? /	kva tarhi nikRzwa-jAti-antaram ? /
   kimasmāsu tannyāsīkṛtam ?; yenāsmābhiḥ pradarśanīyam /	kim-asmAsu tad-nyAsIkRtam ?; yena-asmABiH pradarSanIyam /
   na cāsmābhiranantā deśā draṣṭuṃ śākyāḥ /	na ca-asmABiH-anantAH deSAH drazwum SAkyAH /
   sambhavati cocchedaḥ, idānīṃ kṣatriyavaiśyamāhiṣyādivat /	samBavati ca-ucCedaH, idAnIm kzatriya-vESya-mAhizya-Adi-vat /
   teṣāṃ keṣāṃ cinnāmasāmyamātrādatrānupraveśaḥ saṃbhavatīti cenna, kasyā api	tezAm kezAm cit-nAma-sAmya-mAtrAt-atra-anupraveSaH saMBavati-iti ced-na, kasyAH api
   śaṅkāyāḥ sarvatra sulabhatvāt; asti ca varṇitvabhikṣutvādīnāṃ	SaFkAyAH sarvatra sulaBa-tvAt; asti ca varNitu-aBikzu-tvA-AdInAm
   sāmyamanyatrāpi /	sAmyam-anyatra-api /
   yaścaivamatiśaṅkayā dūyate, sa tu svamātāpitṛcaritānavadhāraṇena	yaH-ca-evam-atiSaFkayA dUyate, sa tu sva-mAtA-pitR-carita-an-avaDAraNena
   svabrāhmaṇyamapi yathārhamatiśaṅketeti jitaṃ lokāyatena /	sva-brAhmaNyam-api yaTArham-atiSaFketa-iti jitam lokAyatena /
   uktaṃ ca bhagavatā--- "ajñaścāśraddhadhānaśca saṃśayātmā vinaśyati /	uktam ca BagavatA-- "ajQaH-ca-aSradDaDAnaH-ca saMSaya-AtmA vinaSyati /
   nāyaṃ lokosti na paro na sukha saṃśayātmanaḥ" //	na-ayam lokosti na paraH na suKa saMSaya-AtmanaH" //
   iti /	iti /
   tat siddhaṃ viśiṣṭādhikārikaṃ vedāviruddhaṃ vaikhānasādismaraṇaṃ	tat sidDam viSizwa-ADikArikam veda-avirudDam vEKAnasa-Adi-smaraNam
   pramāṇamiti /	pramANam-iti /
   yacca dharmaśāstrādiṣu aṣṭādaśādiparisaṃkhyānam, na	yat-ca Darma-SAstra-Adizu azwAdaSa-Adi-parisaMKyAnam, na
   tadadhikasaṃkhyāvyavacchedaparam, anyeṣāmapi	tad-aDika-saMKyA-vyavacCeda-param, anyezAm-api
   śiṣṭaparigrahāderaviśiṣṭatvāt, anuktāṃśadarśanādinā upajīvyatvācceti /	Sizwa-parigraha-AdeH-aviSizwa-tvAt, anukta-aMSa-darSana-AdinA upajIvya-tvAt-ca-iti /
   evaṃ saparikaro vedaḥ pramāṇamiti siddham //	evam sa-parikaraH vedaH pramANam-iti sidDam //
   "chandaḥ pādau śabdaśāstraṃ na vaktraṃ kalpaḥ pāṇī jyautiṣaṃ cakṣuṣī ca /	"CandaH pAdO Sabda-SAstram na vaktram kalpaH pANI jyOtizam cakzuzI ca /
   śikṣā ghrāṇaṃ śrotramuktaṃ niruktaṃ vedasyāṅgānyāhuretāni ṣaṭ ca //	SikzA GrANam Srotram-uktam niruktam vedasya-aFgAni-AhuH-etAni zaz ca //
   " evaṃ saparikaravedārthatattvanirṇayaviṣayā "athāto dharmajijñāsā"	" evam sa-parikara-veda-arTa-tattva-nirNaya-vizayAH "aTa-atas Darma-jijQAsA"
   ityārabhya "anāvṛttiḥ śabdādanāvṛttiḥ śabdāt ityevamantā viṃśatilakṣaṇī	iti-AraBya "anAvRttiH SabdAt-anAvRttiH SabdAt iti-evam-antA viMSati-lakzaNI
   mīmāṃsā /	mImAMsA /
   "tatra ca saṃhitametaccharīrakaṃ jaiminīyena ṣoḍaśalakṣaṇeneti	"tatra ca saMhitam-etat-SarIrakam jEminIyena zoxaSa-lakzaNena-iti
   śāstraikatvasiddhiḥ" iti bhāṣyopātto vṛttigranthaḥ //	SAstra-ekatva-sidDiH" iti BAzya-upAttaH vRtti-granTaH //
   nyā. pa. śa. 47 tattvaratnākare tvevamuktam--- "karmadevatābrahmagocarā sā	nyA. pa. Sa. 47 tattva-ratna-Akare tu-evam-uktam-- "karma-devatA-brahma-gocarA sA
   tridhodbhabhau sūtrakārataḥ /	triDA-udBaBO sUtrakArataH /
   jaiminermuneḥ kāśakṛtsnato bādārayaṇādityataḥ kramāt" //	jEmineH-muneH kASa-kRt-snataH bAdArayaNAt-ityataH kramAt" //
   iti /	iti /
   anayordevatākāṇḍasya jaiminīyatvakāśakṛtsnīyatvoktī tādadhīnyādivivakṣaya	anayoH-devatA-kANxasya jEminIya-tvakASa-kRt-snIyatva-uktI tAdaDIni-Adi-vivakzaya
   samānārthe gamayitavye /	samAna-arTe gamayitavye /
   tatra karmakāṇḍārthamevaṃ saṃjagṛhuḥ---	tatra karma-kANxa-arTam-evam saMjagRhuH---
   "dharmadhīrmānabhedāṅgaprayuktikramakartṛbhiḥ /	"Darma-DIH-mAna-Beda-aFga-prayukti-krama-kartRBiH /
   sātideśaviśeṣohabādhatantraprasaktibhiḥ" //	sa-ati-deSa-viSezaH-ha-bADa-tantra-prasaktiBiH" //
   iti /	iti /
   "vedārthe nyāyacintye prathamamavasitaṃ karma taddevatā cā- thātaḥ	"veda-arTe nyAya-cintye praTamam-avasitam karma tat-devatA cA TAtar-
   śārīrakāṃśe niravadhikaphalabrahmacintā tvasūtri /	SArIraka-aMSe niravaDika-Pala-brahma-cintA tu-asUtri /
   tatrādhyāye parasmin svayamupaniṣadāmanvayosyāvirodho mokṣopāyotha	tatra-aDyAye parasmin svayam-upanizadAm-anvayosya-aviroDaH mokza-upAyoTa
   muktirviṣayaviṣayiṇau siddhasādhyau dvikārthau //	muktiH-vizaya-vizayiNO sidDa-sADyO dvikA-arTO //
   " "tatrādyetyantagūḍhāviśadaviśadatacchāyajīvādivācaḥ	" "tatra-Adya-iti-anta-gUXa-AviSada-viSada-ta=-CAyajIva-Adi-vAcaH
   paścātsmṛtyādikairakṣatirahitahatiḥ kāryatābhrendriyādeḥ /	paScAt-smRti-AdikEH-akzati-rahita-hatiH kArya-tA-aBra-indriya-AdeH /
   doṣādoṣau tṛtīyepyavaraparagatau bhaktiraṅgāni cātho-	doza-adozO tRtIyepya-vara-para-gatO BaktiH-aFgAni ca-aTo-
   pāsānuṣṭhāprabhāvotkramasaraṇiphalānyantime cintitāni //	pAsa-anuzWA-praBAva-utkrama-saraNi-PalAni-antime cintitAni //
   " vicārāt pūrvamevātra prāptamadhyayanaṃ vidheḥ /	" vicArAt pUrvam-eva-atra prAptam-aDyayanam viDeH /
   atonadhītavedasya vicāraḥ śāstrabādhitaḥ //	atas-naDIta-vedasya vicAraH SAstra-bADitaH //
   kramo viṃśatilakṣaṇyā na vaidhaḥ kintu yauktikaḥ /	kramaH viMSati-lakzaNyAH na vA-eDaH kintu yOktikaH /
   ato vyutkramacintāyāmanaucityaṃ praśiṣyate //	atas vyutkrama-cintAyAm-anOcityam praSizyate //
   nyā. pa. śa. 48 evaṃ viṃśatilakṣaṇīśravaṇamananābhyāṃ	nyA. pa. Sa. 48 evam viMSati-lakzaNI-SravaNa-m-ananAByAm
   supratiṣṭhitasamastaśāstrārthasya mokṣasādhanatayā vidheyaṃ nididhyāsanaṃ	su-pratizWita-samasta-SAstra-arTasya mokza-sADana-tayA viDeyam nidiDi-Asanam
   na vākyārthajñānamātram, tasya rāgaprāptaśravaṇādisiddhatvāt /	na vAkya-arTa-jQAna-mAtram, tasya rAga-prApta-SravaNa-Adi-sidDa-tvAt /
   ata eva ca tasmin viśeṣe vedanādisāmānyaśabdaparyavasānam /	atas eva ca tasmin viSeze vedanA-Adi-sAmAnya-Sabda-paryavasAnam /
   na ca nididhyāsanādikaṃ niṣiddham, varaṇīyatvameva vihitamiti vācyam;	na ca nidiDi-Asana-Adikam nizidDam, varaNIya-tvam-eva vihitam-iti vAcyam;
   svatantrānyakartṛkavaraṇakarmībhāvasyāpuruṣatantretvenāvidheyatvāt /	svatantra-anya-kartRka-varaNa-karmIBAvasya-Apuruza-tantretu-enA-viDeya-tvAt /
   atastaddhetunā prītirūpatvena upāsanameva viśiṣyate;tathā sati "bhaktyā	atas-tat-hetunA prIti-rUpa-tvena upAsanam-eva viSizyate;-taTA sati "BaktyA
   tvananyayā" iti smṛtyavirodhaśca /	tu-ananyayA" iti smRti-aviroDaH-ca /
   tadeva ca nididhyāsanaṃ prītirūpaṃ prakaraṇaviśeṣāt samādhiḥ /	tat-eva ca nidiDi-Asanam prIti-rUpam prakaraNa-viSezAt samADiH /
   ca cāṣṭāṅgaḥ śāstreṣu śiṣyate /	ca ca-azwa-aFgaH SAstrezu Sizyate /
   tāvati ca pātañjalaprāmāṇyamapi /	tAvati ca pAtaQjala-prAmANyam-api /
   āgamaśīlanaṃ ca āphalānmātrayā anuvartanīyam /	Agama-SIlanam ca APalAt-mAtrayA anuvartanIyam /
   smaranti ca--- "svādhyāyādyogamāsīta yogāt svādhyāyamāviśet /	smaranti ca-- "svADyAyAt-yogam-AsIta yogAt svADyAyam-AviSet /
   svādhyāyayogasaṃpattyā paramātmā prakāśate" //	svADyAya-yoga-saMpattyA paramAtmA prakASate" //
   iti /	iti /
   yat punaḥ śrūyate--- "granthamabhyasya medhāvī jñānavijñānatatparaḥ /	yat punar SrUyate-- "granTam-aByasya meDAvI jQAna-vijQAna-tatparaH /
   palālamima dhānyārthī tyajed granthamaśeṣataḥ" //	palAlam-ima DAnya-arTI tyajet granTam-aSezatas-" //
   iti, tat kośatyāgābhiprāyam; na ca	iti, tat koSa-tyAga-aBiprAyam; na ca
   sādarapaṭusaṃskārapracayasaṃsiddhamedhāsaṃpadaḥ puruṣasya kośena kiñcit	sa-Adara-pawu-saMskAra-pracaya-saMsidDa-meDA-saMpadaH puruzasya koSena kiQcid-
   sāddhyam /	sAdDyam /
   medhāvīti ca viśeṣvate /	meDAvI-iti ca viSezvate /
   "dhīrdhāraṇāvatī medhā" iti ca naighaṇṭukāḥ /	"DIH-DAraNAvatI meDA" iti ca nEGaNwukAH /
   adhīmahe ca-- "medhāmanīṣe mā viśatāṃ samīcīna bhūtasya	aDImahe ca- "meDA-manIze mA viSatAm samIcIna BUtasya
   bhavyasyāvaruddhyai" iti /	Bavyasya-avarudDyE" iti /
   yaddhā muktaprāyātyantaniṣpannayogapuruṣaviṣayametat; na hi tasya śāstreṇa	yadhA mukta-prAya-atyanta-nizpanna-yoga-puruza-vizayam-etat; na hi tasya SAstreNa
   jñātavyaṃ tadānīmasti, sākṣātkṛtasamastatattvārthatvāt /	jQAtavyam tadAnImasti, sAkzAtkRta-samasta-tattva-arTa-tvAt /
   yattu smaryate--- śāstrajñānaṃ bahukleśaṃ buddheścalanakāraṇam /	yat-tu smaryate-- SAstra-jQAnam bahu-kleSam budDeH-calana-kAraNam /
   upadeśāddhariṃ buddhvā viramet sarvakarmasu" //	upadeSAt-harim budDvA viramet sarva-karmasu" //
   iti, idaṃ tu tīvrasaṃvegināmalasāstikānāṃ ca grāhmam;	iti, idam tu tIvra-saMveginAmalasAstikAnAm ca grAhmam;
   buddhicalanahetūnāmasacchāstrāṇāṃ tyāgārthaṃ vā; tadā viśeṣaṇasāphalyam;	budDi-calana-hetUnAm-asat-SAstrANAm tyAga-arTam vA; tadA viSezaNa-sAPalyam;
