   namo buddhāya	namaH budDAya
   tvaṅgadgaṅgam udañcadinduśakalaṃ bhraśyatkapālāvali 	tu aFgadgaFgam udaQcat indu Sakalam BraSyat kapAla Avali 
   kroḍabhrāmyadamandamārutarayasphārībhavadbhāṃkṛti /	kroxa BrAmyat amanda mAruta raya sPArIBavat BAMkRti /
   pāyād vo ghanatāṇḍavavyatikaraprāgbhārakhedaskhalad 	pAyAt vaH Gana tANxava vyatikara prAgBAra Keda sKala t  
   bhogīndraślathapiṅgalotkaṭajaṭājūṭaṃ śiro dhūrjaṭeḥ // VidSrk_4.13 *(42)	Bogi indra SlaTa piFgala utkawa jawA jUwam SiraH DUrjaweH // Vit Srj _4.13 *(42)
   nakhadarpaṇasaṃkrānta  pratimādaśakānvitaḥ /	naKa darpaNa saMkrAnta pratimAdaSaka anvitaH /
   gaurīpādānataḥ śambhur jayaty ekādaśaḥ svayam // VidSrk_4.14 *(43) //	gOrIpAdAnataH SamBuH jayati ekAdaSaH svayam // Vit Srj _4.14 *(43) //
   cūḍāpīḍakapālasaṃkulapatanmandākinīvārayo	cUxApIxa kapAla saMkula patan mandAkinI vArayaH 
   vidyutprāyalalāṭalocanapuṭajyotirvimiśratviṣaḥ /	vidyut prAya lalAwa locana puwa jyotiH vimiSra tvizaH /
   pāntu tvām akaṭhoraketakaśikhāsaṃdigdhamugdhendavo bhūteśasya	pAntu tvAm akaWora ketaka SiKA saMdigDa mugDa indavaH BUteSasya
   bhujaṅgavallivalayasraṅnaddhajūṭā jaṭāḥ // VidSrk_4.15 *(44) //.	BujaFga valli valaya sraj nadDa jUwAH jawAH // Vit Srj _4.15 *(44) //.
   bhavabhūteḥ	Bava BUteH
   sa jayati gāṅgajalaughaḥ śambhor uttuṅgamauliviniviṣṭaḥ /*	sa jayati gAFga jala oGaH SamBoH uttuFga mOli vinivizwaH /*
   majjati punar unmajjati candrakalā yatra śapharīva // VidSrk_4.16 *(45)	majjati punar unmajjati candra kalA yatra SaParI iva // Vit Srj _4.16 *(45)
   sa vaḥ pāyād indur navabisalatākoṭikuṭilaḥ smarārer yo mūrdhni	sa vaH pAyAt induH nava bisa latA kowi kuwilaH smara areH yaH mUrDni
   jvalanakapiśe bhāti nihitaḥ /	jvalana kapiSe BAti nihitaH /
   sravanmandākinyāḥ pratidivasasiktena payasā kapālenonmuktaḥ	sravat mandAkinyAH pratidivasa siktena payasA kapAlena unmuktaH
   sphaṭikadhavalenāṅkura iva // VidSrk_4.17 *(46) //.	sPawika Davalena aFkuraH iva // Vit Srj _4.17 *(46) //.
   cyutām indor lekhāṃ ratikalahabhagnaṃ ca valayaṃ dvayaṃ cakrīkṛtya	cyutAm indoH leKAm rati kalaha Bagnam ca valayam dvayam cakrIkRtya
   prahasitamukhī śailatanayā /	prahasita muKI SEla tanayA /
   avocad yaṃ paśyety avatu sa śivaḥ sā ca girijā sa ca krīḍācandro	avocat yam paSya iti avatu sa SivaH sA ca girijA sa ca krIxA candro
   daśanakiraṇāpūritatanuḥ // VidSrk_4.18 *(47) //.	daSana kiraNa ApUrita tanuH // Vit Srj _4.18 *(47) //.
   namas tuṅgaśiraścumbi  candracāmaracārave /	namaH tuFgaSiraH cumbi candra cAmara cArave /
   trailokyanagarārambha  mūlastambhāya śambhave // VidSrk_4.19 *(48) //	trElokya nagara AramBa mUla stamBAya SamBave // Vit Srj _4.19 *(48) //
   kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadānāṃśukāntaṃ gṛhṇan keśeṣv	kziptaH hasta avalagnaH prasaBam aBihataH api AdadAna aMSu ka antam gRhNan keSezu 
   apāstaś caraṇanipatito nekṣitaḥ sambhrameṇa /	apAstaH caraNa nipatitaH na IkzitaH samBrameNa /
   āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ	AliFgan yaH avaDUtaH tripura yuvatiBiH sa aSru netra utpalABiH
   kāmīvārdrāparādhaḥ sa haratu duritaṃ śāmbhavo vaḥ śarāgniḥ // VidSrk_4.20	kAmI iva Ardra aparADaH sa haratu duritam SAmBavaH vaH Sara agniH // Vit Srj _4.20
   bāṇasya	bANasya
   saṃdhyātāṇḍavaḍambaravyasanino bhīmasya caṇḍabhrami 	saMDyA tANxava xambara vyasaninaH BImasya caNxa Brami 
   vyānṛtyadbhujadaṇḍamaṇḍalabhuvo jhaṃjhānilāḥ pāntu vaḥ /	vyAnRtyat Buja daNxa maNxala BuvaH JaMJA anilAH pAntu vaH /
   yeṣām ucchalatāṃ javena jhagiti vyūheṣu bhūmībhṛtām uḍḍīneṣu biḍaujasā	yezAm ucCala tAm javena Jagiti vyUhezu BUmIBRtAm uxxInezu bixa ojasA
   punar asau dambholir ālokitaḥ // VidSrk_4.21 *(50) //.	punar asO damBoliH AlokitaH // Vit Srj _4.21 *(50) //.
   keśeṣu prāk pradīpas tvaci vikaṭacaṭatkārasāro 'timātraṃ māṃse	keSezu prAk pradIpaH tvaci vikawa cawatkAra sAraH atimAtram mAMse
   mandāyamānaḥ kṣaradasṛji sṛjann asthiṣu ṣṭhātkṛtāni /	mandAyamAnaH kzarat asRji sRjan asTizu zWAt kRtAni /
   majjaprāye 'ṅgabhāge jhagiti ratipater jājvalan prajjvalaśrīr aśreyo	majja prAye aFga BAge Jagiti ratipateH jAjvalan prajjvala SrIH aSreyaH 
   vyasyatād vas trinayananayanopāntavānto hutāśaḥ // VidSrk_4.22 *(51) //.	vyasyatAt vaH trinayana nayana upAnta vAntaH hutASaH // Vit Srj _4.22 *(51) //.
   pāyāt pārvaṇasāṃdhyatāṇḍavavidhau yasyollasatkānano hemādriḥ	pAyAt pArvaNa sAMDya tANxava viDO yasya ullasat kAnanaH hemAdriH
   karaṇāṅgahāravalanaiḥ sārdhendur āndolitaḥ /	karaNa aFga hAra valanEH sArDa induH AndolitaH /
   dhatte 'tyadbhutavismayena dharayā dhūtasya kāntatviṣo	Datte ati adButa vismayena DarayA DUtasya kAnta tvizo
   lolatkuntalakuṇḍalasya śirasaḥ śobhāṃ sa vo dhūrjaṭiḥ // VidSrk_4.23 *(52)	lolat kuntala kuNxalasya SirasaH SoBAm sa vaH DUrjawiH // Vit Srj _4.23 *(52)
   % NB Ingalls conjectures sārkenduḥ in b	% NB Ingalls ca unjet tureH sa arka induH id b
   kapāle gambhīraḥ kuhariṇi jaṭāsaṃdhiṣu kṛśaḥ samuttālaś	kapAle gamBIraH kuhariNi jawA saMDizu kRSaH samuttAlaS
   cūḍābhujagaphaṇaratnavyatikare /	cUxA Bujaga PaNa ratna vyatikare /
   mṛdur lekhākoṇe rayavaśavilolasya śaśinaḥ punīyād dīrghaṃ vo dīrghaṃ vo	mRduH leKA koNe raya vaSa vilolasya SaSinaH punIyAt dIrGam vaH dIrGam vaH 
   haraśirasi gaṅgākalakalaḥ // VidSrk_4.24 *(53) //.	hara Sirasi gaFgA kalakalaH // Vit Srj _4.24 *(53) //.
   śāntyai vo 'stu kapāladāma jagatāṃ patyur yadīyāṃ lipiṃ kvāpi kvāpi gaṇāḥ	SAntyE vaH astu kapAla dAma jagatAm patyuH yadIyAm lipim kvApi kvApi gaNAH
   paṭhanti padaśo nātiprasiddhākṣarām /	paWanti padaSaH na ati prasidDa akzarAm /
   viśvaṃ srakṣyati rakṣati kṣitim apām īśiṣyate śiṣyate nāgaī rāgiṣu	viSvam srakzyati rakzati kzitim apAm ISizyate Sizyate nAgaI rAgizu
   raṃsyate syati jagan nirvekṣyati dyām iti // VidSrk_4.25 *(54) //.	raMsyate syati jagat nirvekzyati dyAm iti // Vit Srj _4.25 *(54) //.
   /var{nāti@/lem	/var{na ati@/lem
   /emend/ /Ingalls, neti@ /edKG}	/ema ind/ /Ingalls, na iti@ /edKG}
   % NB Ingalls conjectures vakṣati or rakṣyati for rakṣati	% NB Ingalls ca unjet tureH vakzati oH rakzyati foH rakzati
   % and .aśiṣyate for śiṣyate in c, and .atsyati for syati in d	% and .aSizyate foH Sizyate id c, and .atsyati foH syati id d
   bhojadevasya	Boja devasya
   jvālevordhvavisarpiṇī pariṇatasyāntas tapas tejaso	jvAlA iva UrDva visarpiNI pariNatasya antar tapaH tejasaH 
   gaṅgātuṅgataraṅgasarpavasatir valmīkalakṣmīr iva /	gaFgA tuFga taraFga sarpa vasatiH valmIka lakzmIH iva /
   saṃdhyevārdramṛṇālakomalatanor indoḥ sahasthāyinī pāyād vas	saMDyA iva Ardra mRNAla komala tanoH indoH saha sTAyinI pAyAt vas
   taruṇāruṇāṃśukapiśā śambho jaṭāsaṃhatiḥ // VidSrk_4.26 *(55) //.	taruNa aruNa aMSu kapiSA SamBo jawA saMhatiH // Vit Srj _4.26 *(55) //.
   maulau vegād udañcaty api caraṇabharanyañcadurvītalatvād	mOlO vegAt udaQcati api caraNa Bara nyaQca durvItala tvAt 
   akṣuṇṇasvargalokasthitimuditasurajyeṣṭhagoṣṭhīstutāya /	akzuNNa svarga loka sTiti mudita sura jyezWa gozWI stutAya /
   saṃtrāsān niḥsarantyāpy aviratavisaraddakṣiṇārdhānubandhād	saMtrAsAt niHsarantyA api avirata visarat dakziNa arDa anubanDAt 
   atyaktāyādriputryā tripuraharajagatkleśahantre namas te // VidSrk_4.27	atyaktAya adri putryA tripura hara jagat kleSa hantre namaH te // Vit Srj _4.27
   bāṇasya	bANasya
   paryaṅkāśleṣabandhadviguṇitabhujagagranthisaṃvītajānor antaḥprāṇāvarodhād	paryaFka ASleza banDa dvi guNita Bujaga granTi saMvIta jAnoH antar prANa avaroDAt 
   uparatasakaladhyānaruddhendriyasya /	uparata sakala DyAna rudDa indriyasya /
   ātmany ātmānam eva vyapagatakaraṇaṃ paśyatas tattvadṛṣṭyā śambho vā pātu	Atmani AtmAnam eva vyapagata karaNam paSyataH tattva dRzwyA SamBo vA pAtu
   śūnyekṣaṇaghaṭitalayabrahmalagnaḥ samādhiḥ // VidSrk_4.28 *(57) //.	SUnya IkzaNa Gawita laya brahma lagnaH samADiH // Vit Srj _4.28 *(57) //.
   /var{śūnyekṣ.ana@/lem	/var{ SUnyekz.ana@/lem
   /emend/ /Ingalls, śūṇyakṣaṇa@ /edKG}	/ema ind/ /Ingalls, SUNi akzaNa@ /edKG}
   pāyād bālendumauler anavaratabhujāvṛttivātormivega 	pAyAt bAla indu mOleH anavarata Buja AvRtti vAta Urmi vega 
   bhrāmyadrudrārkatārāgaṇaracitamahālātacakrasya lāsyam /	BrAmyat rudra arka tArA gaNa racita mahAlAta cakrasya lAsyam /
   nyañcadbhūtsarpadagni skhaladakhilagiri tvaṅgaduttālamauli	nyaQcat BUt sarpa dagni sKalat aKila giri tu aFga duttAla mOli
   sphūrjaccandrāṃśu niryannayanaruci rasajjāhnavīnirjharaṃ vaḥ //	sPUrjat candra aMSu niryat nayana ruci rasat jAhnavI nirJaram vaH //
   VidSrk_4.29 *(58) //.	Vit Srj _4.29 *(58) //.
   /var{bālendu@/lem	/var{bAla indu @/lem
   /emend/ /Ingalls, vārendu@ /edKG}	/ema ind/ /Ingalls, vAra indu@ /edKG}
   mātar jīva kim etad añjalipuṭe tātena gopāyitaṃ vatsa svādu phalaṃ	mAtar jIva kim etat aQjali puwe tAtena go pAyitam vatsa svAdu Palam
   prayacchati na me gatvā gṛhāṇa svayam /	prayacCati na me gatvA gRhANa svayam /
   mātraivaṃ prahite guhe vighaṭayaty ākṛṣya saṃdhyāñjaliṃ śambho	mAtrA evam prahite guhe viGawayati AkRzya saMDyA aQjalim SamBo
   bhagnasamādhiruddharabhaso hāsodgamaḥ pātu vaḥ // VidSrk_4.30 *(59) //.	Bagna samADi rudDa raBasaH hAsa udgamaH pAtu vaH // Vit Srj _4.30 *(59) //.
   evaṃ sthāpaya subhru bāhulatikām evaṃ kuru sthānakaṃ nātyuccair nama	evam sTApaya suBru bAhu latikAm evam kuru sTAnakam na ati uccEs nama
   kuñcayāgracaraṇau māṃ paśya tāvat kṣaṇam /	kuQcaya agra caraNO mAm paSya tAvat kzaNam /
   evaṃ nartayataḥ svavaktramurajenāmbhodharadhvāninā śambho vaḥ paripāntu	evam nartayataH sva vaktra murajena amBoDara DvAninA SamBo vaH paripAntu
   nartitalayacchedāhatās tālikāḥ // VidSrk_4.31 *(60) //.	na rti talaya= Ceda AhatAH tAlikAH // Vit Srj _4.31 *(60) //.
   saṃvyānāṃśukapallaveṣu taralaṃ veṇīguṇeṣu sthiraṃ mandaṃ kañcukasandhiṣu	saMvyAna aMSuka pallavezu taralam veNI guNezu sTiram mandam kaQcuka sanDizu
   stanataṭotsaṅgeṣu dīptārciṣam /	stana tawa utsaFgezu dIpta arcizam /
   ālokya tripurāvarodhanavadhūvargasya dhūmadhvajaṃ hastasrastaśarāsano	Alokya tripura avaroDana vaDU vargasya DUma Dvajam hasta srasta SarAsanaH 
   vijayate devo dayārdrekṣaṇaḥ // VidSrk_4.32 *(61) //.	vijayate devaH dayA Ardra IkzaNaH // Vit Srj _4.32 *(61) //.
   mayūrasya	mayUrasya
   jaṭāgulmotsaṅgaṃ praviśati śaśī bhasmagahanaṃ phaṇīndro 'pi skandhād	jawA gulma utsaFgam praviSati SaSI Basma gahanam PaNIndraH api skanDAt 
   avatarati līlāñcitaphaṇaḥ /	avatarati lIlA AQcita PaNaH /
   vṛṣaḥ śāṭhyaṃ kṛtvā vilikhati khurāgreṇa nayanaṃ yadā śambhuś cumbaty	vRzaH SAWyam kRtvA viliKati Kura agreNa nayanam yadA SamBuH cumbati 
   acaladuhitur vaktrakamalam // VidSrk_4.33 *(62) //.	acala duhituH vaktra kamalam // Vit Srj _4.33 *(62) //.
   rājaśekharasya	rAjaSeKarasya
   nānāvegaviniḥsṛtatripathagāvāripravāhākulaḥ śīghrabhrāntivaśāl	nAnA vega viniHsRta tripaTagA vAri pravAha AkulaH SIGra BrAntivaSAl
   lalāṭanayanākālatapād bhīṣaṇaḥ /	lalAwa nayana akAla tapAt BIzaNaH /
   muṇḍālīkuharaprasarpadanilāsphālapramuktadhvaniḥ prāvṛtkāla ivoditaḥ	muNxAlI kuhara prasarpat anila AsPAla pramukta DvaniH prAvRd kAlaH iva uditaH
   śivaśiromeghaḥ śivāyāstu vaḥ // VidSrk_4.34 *(63) //.	Siva SiraH meGaH SivAya aH tu vaH // Vit Srj _4.34 *(63) //.
   sa pātu viśvam adyāpi yasya mūrdhni navaḥ śaśī /	sa pAtu viSvam adya api yasya mUrDni navaH SaSI /
   gaurīmukhatiraskāra  lajjayeva na vardhate // VidSrk_4.35 *(64) //	gOrImuKa tiraskAra lajjayA iva na varDate // Vit Srj _4.35 *(64) //
   dharmapālasya	DarmapAlasya
   digvāsā iti satrapaṃ manasijadveṣīti mugdhasmitaṃ sāścaryaṃ viṣamekṣaṇo	digvAsAH iti sa trapam manasija dvezI iti mugDa smitam sa AScaryam vizama IkzaNaH 
   'yam iti ca trastaṃ kapālīti ca /	ayam iti ca trastam kapAlI iti ca /
   maulisvīkṛtajāhnavīka iti ca prāptābhyasūyaṃ haraḥ pārvatyā sabhayaṃ	mOli svIkRta jAhnavIkaH iti ca prApta aByasUyam haraH pArvatyA sa Bayam
   bhujaṅgavalayīty ālokitaḥ pātu vaḥ // VidSrk_4.36 *(65) //.	BujaFga valayI iti AlokitaH pAtu vaH // Vit Srj _4.36 *(65) //.
   vinayadevasya	vinaya devasya
   phaṇini śikhigrahakupite śikhini ca taddehavalayitākulite /*	PaNini SiKi graha kupite SiKini ca tad deha valayita Akulite /*
   avatād vo haraguhayor ubhayaparitrāṇakātaratā // VidSrk_4.37 *(66) //*	avatAt vaH hara guhayoH uBaya paritrANa kAtaratA // Vit Srj _4.37 *(66) //*
   /var{@bhaya@/lem	/var{@Baya @/lem
   /emend/ /Ingalls, @maya@ /edKG}	/ema ind/ /Ingalls, @maya@ /edKG}
   jātārdhavardhanasya	jAta arDa varDanasya
   sindūraśrīr lalāṭe kanakarasamayaḥ karṇapārśve 'vataṃso vaktre	sindUra SrIH lalAwe kanakara samayaH karNa pArSve avataMsaH vaktre
   tāmbūlarāgaḥ pṛthukucakalaśe kuṅkumasyānulepaḥ /	tAmbUla rAgaH pRTu kuca kalaSe kuFkumasya anulepaH /
   daityādhīśāṅganānāṃ jaghanaparisare lākṣikakṣaumalakṣmīr aśreyāṃsi kṣiṇoti	dEtya aDISa aFganAnAm jaGana parisare lAkzika kzOma lakzmIH aSreyAMsi kziNoti
   tripuraharaśarodgārajanmānalo vaḥ // VidSrk_4.38 *(67) //.	tripura hara Sara udgAra janma analaH vaH // Vit Srj _4.38 *(67) //.
   maṅgalasya	maFgalasya
   pāyād vaḥ surajāhvanījalarayabhrāmyajjaṭāmaṇḍalī 	pAyAt vaH surajAhvanI jala raya BrAmyat jawA maNxalI 
   vegavyākulanāganāyakaphaṇāphūtkāravātocchalat /	vega vyAkula nAga nAyaka PaNA PUtkAra vAta ucCalat /
   saptāmbhonidhijanmacaṇḍalaharīmajjannabhomaṇḍala 	sapta amBaH niDi janma caNxala harImajjannaBaH maNxala 
   trāsatrastasurāṅganākalakalavrīḍāvilakṣo haraḥ // VidSrk_4.39 *(68) //	trAsa trasta sura aFganA kalakala vrIxA vilakzaH haraH // Vit Srj _4.39 *(68) //
   karkarājasya	karkara ajasya
   purastād ānamratridaśapatigārutmatamaṇer vataṃsatrāsārter apasarati	purastAt Anamra tridaSa pati gArutmata maNeH vataMsa trAsa ArteH apasarati
   mauñjīphaṇipatau /	mOQjI PaNi patO /
   purāriḥ saṃvṛṇvan vigaladupasaṃvyānam ajine punītād vaḥ	purAriH saMvRNvan vigalat upasaMvyAnam ajine punItAt vaH
   smerakṣitidharasutāpāṅgaviṣayaḥ // VidSrk_4.40 *(69) //.	smera kziti Dara suta apAFga vizayaH // Vit Srj _4.40 *(69) //.
   dharmāśokasya	Darma aSokasya
   jīrṇe 'py utkaṭakālakūṭakavale dagdhe haṭhān manmathe nīte	jIrNe api utkawa kAlakUwa kavale dagDe haWAt manmaTe nIte
   bhāsurabhālanetratanutāṃ kalpāntadāvānale /	BAsura BAla netra tanu tAm kalpa anta dAva anale /
   yaḥ śaktyā samalaṃkṛto 'pi śaśinaṃ śrīśailajāṃ svardhunīṃ dhatte	yaH SaktyA samalaMkRtaH api SaSinam SrISElajAm svarDunIm Datte
   kautukarājanītinipuṇaḥ pāyāt sa vaḥ śaṃkaraḥ // VidSrk_4.41 *(70) //.	kOtuka rAjanIti nipuNaH pAyAt sa vaH SaMkaraH // Vit Srj _4.41 *(70) //.
   kavirājasya	kavi rAjasya
   /Colo iti śrīmaheśvaravrajyā	/ColaH iti SrI maheSvara vrajyA
   % tatas tadvargavrajyā	% tatas tad varga vrajyA
   devī sūnum asūta nṛtyata gaṇāḥ kiṃ tiṣṭhatety udbhuje harṣād bhṛṅgiriṭāv	devI sUnum asUta nRtyata gaNAH kim tizWata iti udBuje harzAt BRFgiriwO= 
   ayācitagirā cāmuṇḍayāliṅgite /	ayAcita girA cAmuNxayA AliFgite /
   avyād vo hatadevadundubhighanadhvānātiriktas tayor	avyAt vaH hata deva dunduBi Gana DvAna atiriktaH tayoH 
   anyonyapracalāsthipañjararaṇatkaṅkālajanmā ravaḥ // VidSrk_5.1 *(71) //.	anyonya pracala asTi paQjara raNat kaFkAla janmA ravaH // Vit Srj _5.1 *(71) //.
   yogeśvarasya	yogeSvarasya
   rakṣatu vaḥ stanayugalaṃ harikarikumbhānukāri giriduhituḥ /*	rakzatu vaH stana yugalam hari kari kumBa anukAri giri duhituH /*
   śaṃkaradṛḍhakaṇṭhagrahapīḍanabhasmāṅgarāgavicchuritam // VidSrk_5.2 *(72)	SaMkara dRXa kaNWa graha pIxana Basma aFga rAga vicCuritam // Vit Srj _5.2 *(72)
   sāvaṣṭambhaniśumbhasambhramanamadbhūgolaniṣpīḍana 	sa avazwamBa niSumBa samBramana madBU gola nizpIxana 
   nyañcatkarparakūrmakampavicaṭadbrahmāṇḍakhaṇḍasthiti /	nyaQcat karpara kUrma kampa vicawat brahmANxa KaNxa sTiti /
   pātālapratimallagallavivaraprakṣiptasaptārṇavaṃ vande	pAtAla pratimalla galla vivara prakzipta sapta arNavam vande
   nanditanīlakaṇṭhapariṣadvyaktarddhi vaḥ krīḍitam // VidSrk_5.3 *(73) //.	nandita nIla kaNWa parizad vyakta RdDi vaH krIxitam // Vit Srj _5.3 *(73) //.
   bho bho dikpatayaḥ prayāta parataḥ khaṃ muñcatāmbhomucaḥ pātālaṃ vraja	Bo Bo dikpatayaH prayAta paratas Kam muQcatA amBomucaH pAtAlam vraja
   medini praviśata kṣoṇītalaṃ kṣmābhṛtaḥ /	medini praviSata kzoNI talam kzmABRtaH /
   brahmann unnaya dūram ātmasadanaṃ devasya me nṛtyataḥ śambhoḥ saṃkaṭam	brahman unnaya dUram Atma sadanam devasya me nRtyataH SamBoH saMkawam
   etad ity avatu vaḥ protsāraṇā nandinaḥ // VidSrk_5.4 *(74) //.	etat iti avatu vaH protsAraNAH nandinaH // Vit Srj _5.4 *(74) //.
   khedās te katham īdṛśaḥ priyatame tvannetravahner vibho kasmād vepitam	KedAH te kaTam IdRSaH priyatame tvad netra vahneH viBo kasmAt vepitam
   etad induvadane bhogīndrabhīter bhava /	etat indu vadane Bogi indra BIteH Bava /
   romāñcaḥ katham eṣa devi bhagavan gaṅgāmbhasāṃ śīkarair itthaṃ bhartari	romAQcaH kaTam eza devi Bagavan gaFgA amBasAm SIkarEH itTam Bartari
   bhāvagopanaparā gaurī ciraṃ pātu vaḥ // VidSrk_5.5 *(75) //.	BAva gopana parA gOrI ciram pAtu vaH // Vit Srj _5.5 *(75) //.
   lakṣmīdharasya	lakzmIDarasya
   ārdrāṃ kaṇṭhe mukhābjasrajam avanamayaty ambikā jātulambāṃ sthāne	ArdrAm kaNWe muKa abja srajam avanamayati ambikA jAtu lambAm sTAne
   kṛtvendulekhāṃ nibaḍayati jaṭāḥ pannagendreṇa nandī /	kRtvA indu leKAm nibaxayati jawAH pannaga indreNa nandI /
   kālaḥ kṛttiṃ nibadhnāty upanayati kare kālarātriḥ kapālaṃ śambho	kAlaH kRttim nibaDnAti upanayati kare kAlarAtriH kapAlam SamBo
   nṛtyāvatāre pariṣad iti pṛthagvyāpṛtā vaḥ punātu // VidSrk_5.6 *(76) //.	nRtya avatAre parizad iti pRTak vyApRtAH vaH punAtu // Vit Srj _5.6 *(76) //.
   śatānandasya	SatAnandasya
   śṛṅgaṃ bhṛṅgiṃ vimuñca tyaja gajavadana tvaṃ ca lāṅgūlamūlaṃ mandānando	SRFgam BRFgim vimuQca tyaja gaja vadana tvam ca lAFgUla mUlam manda AnandaH 
   'si nandinn alam abala mahākāla kaṇṭhagraheṇa /	asi nandin alam abala mahAkAla kaNWa graheNa /
   ity uktvā nīyamānaḥ sukhayatu vṛṣabhaḥ pārvatīpādamūle paśyann akṣair	iti uktvA nIyamAnaH suKayatu vRzaBaH pArvatI pAda mUle paSyan akzEH 
   vilakṣaṃ valitagalacalatkambalaṃ tryabakaṃ vaḥ // VidSrk_5.7 *(77) //.	vilakzam valita gala calat kambalam tri abakam vaH // Vit Srj _5.7 *(77) //.
   gaurīvibhajyamānārdha  saṃkīrṇe haramūrdhani /	gOrI viBajyamAna arDa saMkIrNe hara mUrDani /
   amba dviguṇagambhīre bhāgīrathi namo 'stu vaḥ // VidSrk_5.8 *(78) //	amba dviguNa gamBIre BAgIraTi namaH astu vaH // Vit Srj _5.8 *(78) //
   devasyāmbujasambhavasya bhavanād ambhodhim āgāmukā seyaṃ maulivibhūṣaṇaṃ	devasya ambuja samBavasya BavanAt amBoDim AgAmukA sA iyam mOli viBUzaNam
   bhagavato bhargasya bhāgīrathī /	BagavataH Bargasya BAgIraTI /
   udyātān apahāya vigraham iha srotaḥpratīpān api srotas tīvrataratvarā	udyAtAn apahAya vigraham iha srotaH pratIpAn api srotaH tIvratara tvarA
   gamayati drāg brahmalokaṃ janān // VidSrk_5.9 *(79) //.	gamayati drAk brahma lokam janAn // Vit Srj _5.9 *(79) //.
   prātaḥ kālāñjanaparicitaṃ vīkṣya jāmātur oṣṭhaṃ kanyāyāś ca stanamukulayor	prAtar kAlAQjana paricitam vIkzya jAmAtuH ozWam kanyAyAH ca stana mukulayoH 
   aṅgulībhasmamudrāḥ /	aFgulI Basma mudrAH /
   premollāsāj jayati madhuraṃ sasmitābhir vadhūbhir gaurīmātuḥ kim api kim	prema ullAsAt jayati maDuram sa smitABiH vaDUBiH gOrImAtuH kim api kim
   api vyāhṛtaṃ karṇamūle // VidSrk_5.10 *(80) //.	api vyAhRtam karNa mUle // Vit Srj _5.10 *(80) //.
   śubhāṅgasya	SuBa aFgasya
   lākṣārāgaṃ harati śikharāj jāhvanīvāri yeṣāṃ ye tanvanti śriyam	lAkzA rAgam harati SiKarAt jAhu anIvAri yezAm ye tanvanti Sriyam
   adhijaṭāmaṇḍalaṃ mālatīnām /	aDijawA maNxalam mAlatInAm /
   yāty utsarpadvimalakiraṇair yais tirodhānam indur devyāḥ sthāṇau	yAti utsarpat vimala kiraNEH yEH tiroDAnam induH devyAH sTANO
   caraṇapatite te nakhāḥ pāntu viśvam // VidSrk_5.11 *(81) //.	caraNa patite te naKAH pAntu viSvam // Vit Srj _5.11 *(81) //.
   dakṣasya	dakzasya
   miśrībhūtāṃ tava tanulatāṃ bibhrato gaurī kāmaṃ devasyāsīd	miSrIBUtAm tava tanulatAm biBrataH gOrI kAmam devasya AsIt 
   aviralaparirambhajanmā pramodaḥ /	avirala pariramBa janmA pramodaH /
   kiṃ tu premastimitamadhurasingdhamugdhā na dṛṣṭir dṛṣṭety antaḥakaraṇam	kim tu prema stimita maDura singDa mugDA na dRzwiH dRzwA iti antaHa karaNam
   asakṛt tāmyati tryambakasya // VidSrk_5.12 *(82) //.	asakRt tAmyati tryambakasya // Vit Srj _5.12 *(82) //.
