   Aśokāvadānaṃ	ASoka-avadAnam
   idānīṃ tu tasya darśanakāla iti / āha ca /	idAnIm tu tasya darSana-kAle iti / Aha ca /
   yadā praśastāmbarasaṃvṛtāṅgī abhūd vicitrābharaṇairvibhūṣitā /	yadA praSasta-ambara-saMvRta-aFgI aBUt vicitra-ABaraNEH-viBUzitA /
   mokṣārthināṃ janmaparāṅmukhāṇāṃ śreyastadāsyāstu na darśanaṃ syāt //	mokza-arTinAm janma-parAFmuKANAm SreyaH-tadA-asyAH-tu na darSanam syAt //
   idānīṃ tu kālo 'yaṃ draṣṭuṃ gatamānarāgaharṣāyāḥ /	idAnIm tu kAlaH ayam drazwum gata-mAna-rAga-harzAyAH /
   niśitāsivikṣatāyāḥ svabhāvaniyatasya rūpasya //	niSita-asi-vikzatAyAH svaBAva-niyatasya rUpasya //
   yāvadekena dārakeṇa upasthāyakena chatramādāya praśānteneryāpathena	yAvat-ekena dArakeNa upasTAyakena Catram-AdAya praSAntena-IryApaTena
   śmaśānamanuprāptaḥ / tasyāśca preṣikā pūrvaguṇānurāgāt samīpe 'vasthitā	SmaSAnam-anuprAptaH / tasyAH-ca prezikA pUrva-guNa-anurAgAt samIpe avasTitA
   kākādīn nivārayati / tayā ca vāsavadattāyā niveditaṃ / (A-av 11)	kAka-AdIn nivArayati / tayA ca vAsavadattAyAH niveditam / (a-a-au 11)
   āryuduhitaryasya tvayāhaṃ sakāśaṃ punaḥ punaranupreṣitā ayaṃ sa upagupto	Aryu-duhitaryasya tvayA-aham sakASam punar punar-anuprezitAH ayam saH upaguptaH-
   'bhyāgataḥ / niyatameṣa kāmarāgārta āgato bhaviṣyati / śrutvā ca	aByAgataH / niyatam-eza kAmarAga-ArtaH AgataH Bavizyati / SrutvA ca
   vāsavadattā kathayati /	vAsavadattA kaTayati /
   pranaṣṭaśobhāṃ duḥkhārtā bhūmau rudhirapiñjarāṃ /	pranazwa-SoBAm duHKa-ArtA BUmO ruDira-piQjarAm /
   māṃ dṛṣṭvā kathametasya kāmarāgo bhaviṣyati //	mAm dRzwvA kaTam-etasya kAma-rAgaH Bavizyati //
   tataḥ preṣikāmuvāca / yau hastapādau karṇānāse ca maccharīrād vikartitau	tatas prezikAm-uvAca / yO hasta-pAdO karNa-AnAse ca mad-SarIrAt vikartitO
   tau śleṣayeti / tayā yāvac chleṣayitvā paṭṭakena pracchāditā /	tO SlezayA-iti / tayA yAvat SlezayitvA pawwakena pracCAditA /
   upaguptaścāgatya vāsavadattāyā agrataḥ sthitaḥ /	upaguptaH-ca-Agatya vAsavadattAyAH agratas sTitaH /
   tato vāsavadattā upaguptamagrataḥ sthitaṃ dṛṣṭvā kathayati / āryaputra,	tatas vAsavadattAH upaguptam-agratas sTitam dRzwvA kaTayati / Arya-putra,
   yadā macchaśarīraṃ svasthabhūtaṃ viṣayaratyanukūlaṃ tadā mayā āryaputrasya	yadA macSa-SarIram svasTa-BUtam vizaya-rati-anukUlam tadA mayA Arya-putrasya
   punaḥ punar dūtī visarjitā / āryaputreṇābhihitaṃ / ākālaste bhagini mama	punar punar dUtI visarjitA / Arya-putreNa-aBihitam / AkAlaH-te Bagini mama
   darśanāyeti / idānīṃ mama hastapādau karṇanāse ca vikartitau /	darSanAya-iti / idAnIm mama hasta-pAdO karNa-nAse ca vikartitO /
   svarudhirakardama evāvasthitā / idānīṃ kimāgato 'si / āha ca /	sva-ruDira-kardamaH eva-avasTitA / idAnIm kim-AgataH asi / Aha ca /
   idaṃ yadā paṅkajagarbhakomalaṃ mahārhavastrābharaṇairvibhūṣitaṃ /	idam yadA paFkaja-garBa-komalam mahArha-vastra-ABaraNEH-viBUzitam /
   babhūva gātraṃ mama darśanakṣamaṃ tadā na dṛṣṭo 'si mayālpabhāgyayā //	baBUva gAtram mama darSana-kzamam tadA na dRzwaH asi mayA-alpaBAgyayA //
   etarhi kiṃ drāṣṭumihāgato 'si me yadā śarīraṃ mama darśanākṣamaṃ /	etarhi kim drAzwum-iha-AgataH asi me yadA SarIram mama darSana-akzamam /
   nivṛttalīlāratiharṣavismayaṃ bhayāvahaṃ śoṇitapaṅkalepanaṃ //	nivRtta-lIlA-arati-harza-vismayam Baya-Avaham SoNita-paFka-lepanam //
   upagupta uvāca /	upaguptaH uvAca /
   nāhaṃ bhagini kāmārtaḥ saṃnidhāvāgatastava /	na-aham Bagini kAma-ArtaH saMniDO=-AgataH-tava /
   kāmānāmaśubhānāṃ tu svabhāvaṃ draṣṭumāgataḥ //	kAmAnAm-aSuBAnAm tu svaBAvam drazwum-AgataH //
   pracchāditā vastravibhūṣaṇādyairvāhyairvicitrairmadanānukūlaiḥ /	pracCAditAH vastra-viBUzaNa-AdyEH-vAhyEH-vicitrEH-madana-anukUlEH /
   nirīkṣyamāṇāpi hi yatnavabhdirnāpyatra dṛṣṭāsi bhavedyathā ca //	nirIkzyamANA-api hi yatnavaBdiH-na-api-atra dRzwA-asi Bavet-yaTA ca //
   (A-av 12)	(a-a-au 12)
   idaṃ tu rūpaṃ tava dṛṣyametat sthitaṃ svabhāve racanād viyuktaṃ /	idam tu rUpam tava dRzyam-etat sTitam svaBAve racanAt viyuktam /
   te 'paṇḍitāste ca vigarhaṇīyā ye prākṛte 'smin kṛṇape ramante //	te apaNxitAH-te ca vigarhaNIyAH ye prAkRte asmin kRNape ramante //
   tvacāvanaddhe rudhirāvasakte carmāvṛte māṃsaghanāvalipte /	tvacA-avanadDe ruDira-avasakte carma-AvRte mAMsa-Gana-avalipte /
   śirāsahasraiśca vṛte samantāt ko nāma rajyeta kutaḥ śarīre //	SirA-sahasrEH-ca vRte samantAt kaH nAma rajyeta kutas SarIre //
   api ca bhagini /	api ca Bagini /
   bahirbhadrāṇi rūpāṇi dṛṣṭvā bālo 'bhirajyate /	bahis-BadrANi rUpANi dRzwvA bAlaH aBirajyate /
   abhyantaraviduṣṭāni jñātvā dhīro virajyate //	aByantara-viduzwAni jQAtvA DIraH virajyate //
   avakṛṣṭāvakṛṣṭasya kuṇapasya hyamedhyatā /	avakRzwa-avakRzwasya kuNapasya hi-ameDya-tA /
   medhyāḥ kāmopasaṃhārāḥ kāminaḥ śubhasaṃjñinaḥ //	meDyAH kAma-upasaMhArAH kAminaH SuBa-saMjQinaH //
   iha hi /	iha hi /
   daurgandhyaṃ prativāryate bahuvidhairgandhairamedhyākaraiḥ	dOrganDyam prativAryate bahuviDEH-ganDEH-ameDyAkarEH
   vaikṛtyaṃ bahirādhriyeta vividhairvastrādibhirbhūṣaṇaiḥ /	vEkRtyam bahirADriyeta viviDEH-vastra-AdiBiH-BUzaNEH /
   svedakledamalādayo 'pyaśucayastān nirharatyambhasā	sveda-kleda-mala-AdayaH api-aSucayaH-tAn nirharati-amBasA
   yenāmedhyakaraṅkametadaśubhaṃ kāmātmabhiḥ sevyate //	yena-ameDya-karaFkam-etat-aSuBam kAma-AtmaBiH sevyate //
   saṃbuddhasya tu te vacaḥ suvacasaḥ śṛṇvanti kurvantyapi	saMbudDasya tu te vacaH su-vacasaH SRNvanti kurvanti-api
   te kāmān śramaśokaduḥkhajananān sabhdiḥ sadā garhitān /	te kAmAn Srama-Soka-duHKa-jananAn saBdiH sadA garhitAn /
   tyaktvā kāmanimittamuktamanasaḥ śānte vane nirgatāḥ	tyaktvA kAma-nimittam-ukta-manasaH SAnte vane nirgatAH
   pāraṃ yānti bhavārṇavasya mahataḥ saṃśritya mārgaplavaṃ //	pAram yAnti Bava-arNavasya mahataH saMSritya mArga-plavam //
   (A-av 13)	(a-a-au 13)
   śrutvā vāsavadattā saṃsārādudvignā buddhaguṇānusmaraṇāc	SrutvA vAsavadattA saMsArAt-udvignA budDa-guNa-anusmaraNAt-
   cāvarjitahṛdayovāca /	ca-Avarjita-hRdaya-uvAca /
   evametat tathā sarvaṃ yathā vadati paṇḍitaḥ /	evam-etat taTA sarvam yaTA vadati paNxitaH /
   me tvāṃ sādhu samasādya buddhasya vacanaṃ śrutaṃ //	me tvAm sADu samasAdya budDasya vacanam Srutam //
   yāvad upaguptena vāsavadattāyā anupūrvikāṃ kathāṃ kṛtvā satyāni	yAvat upaguptena vAsavadattAyAH anupUrvikAm kaTAm kRtvA satyAni
   saṃprakāśitāni / upaguptaśca vāsavadattāyāḥ śarīrasvabhāvamavagamya	saMprakASitAni / upaguptaH-ca vAsavadattAyAH SarIra-svaBAvam-avagamya
   kāmadhātuvairāgyaṃ gataḥ / tena ātmiyayā dharmadeśanayā saha	kAma-DAtu-vErAgyam gataH / tena AtmiyayA Darma-deSanayA saha
   satyābhisamayād anāgāmiphalaṃ vāsavadattayā ca śrotāpattiphalaṃ prāptaṃ /	satya-aBisamayAt anAgAmi-Palam vAsavadattayA ca SrotApatti-Palam prAptam /
   tato vāsavadattā dṛṣṭasatyā upaguptaṃ saṃrāgayantī uvāca /	tatas vAsavadattA dRzwa-satyAH upaguptam saMrAgayantI uvAca /
   tavānubhāvāt pihitaḥ sughoro hyapāyamārgo bahudoṣayuktaḥ /	tava-anuBAvAt pihitaH su-GoraH hi-apAya-mArgaH bahu-doza-yuktaH /
   apāvṛtā svargagatiḥ supuṇyā nirvāṇamārgaśca mayopalabdhaḥ //	apAvRtA svarga-gatiH su-puNyAH nirvANa-mArgaH-ca mayA-upalabDaH //
   (A-av 14)	(a-a-au 14)
   api ca / eṣāhaṃ taṃ bhagavantaṃ tathagatam arhantaṃ samyaksaṃbuddhaṃ	api ca / ezA-aham tam Bagavantam taTagatam arhantam samyaksaMbudDam
   śaraṇaṃ gacchāmi / dharmaṃ ca bhikṣusaṅghaṃ cetyāha /	SaraNam gacCAmi / Darmam ca Bikzu-saFGam ca-iti-Aha /
   eṣa vrajāmi śaraṇāṃ vibuddhanavakamalavimaladhavalanetraṃ /	eza vrajAmi SaraNAm vibudDa-nava-kamala-vimala-Davala-netram /
   tamamarabudhajanasahitaṃ jinaṃ virāgaṃ saṅghaṃ ceti //	tam-amara-buDa-jana-sahitam jinam virAgam saFGam ca-iti //
   yāvad upagupto vāsavadattāṃ dharmyayā kathayā saṃdarśya prakrāntaḥ /	yAvat upaguptaH vAsavadattAm DarmyayA kaTayA saMdarSya prakrAntaH /
   aciraprakrānte copagupte vāsavadattā kālagatā deveṣūpapannā / daivataiśca	acira-prakrAnte ca-upagupte vAsavadattA kAlagatAH devezu-upapannAH / dEvatEH-ca
   mathurāyāmārocitaṃ / vāsavadattayā upaguptasakāśād dharmadeśanāṃ śrutvā	maTurAyAm-Arocitam / vAsavadattayA upagupta-sakASAt Darma-deSanAm SrutvA
   āryasatyāni dṛṣṭāni / sā kālagatā deveṣūpapanneti / śrutvā ca	Arya-satyAni dRzwAni / sA kAlagatA devezu-upapanna-iti / SrutvA ca
   mathurāvāstavyena janakāyena vāsavadattāyāḥ śarire pūjā kṛtā /	maTurA-vAstavyena jana-kAyena vAsavadattAyAH Sarire pUjA kRtA /
   yāvat sthaviraśāṇakavāsī guptaṃ gāndhikam abhigamyovāca / anujānīhi	yAvat sTavira-SANaka-vAsI guptam gAnDikam aBigamya-uvAca / anujAnIhi
   upaguptaṃ pravrājayiṣyāmīti / gupto gāndhika uvāca / ārya eṣa samayaḥ /	upaguptam pravrAjayizyAmi-iti / guptaH gAnDikaH uvAca / AryaH eza samayaH /
   yadā na lābho na chedo bhaviṣyati tadānujñāsyāmīti /	yadA na lABaH na CedaH Bavizyati tadA-anujQAsyAmi-iti /
   yāvat sthaviraśāṇakavāsinā ṛddhyā tathādhiṣṭhitaṃ yathā na lābho na chedaḥ	yAvat sTavira-SANaka-vAsinA RdDyA taTA-aDizWitam yaTA na lABaH na CedaH
   / tato gupto gāndhiko gaṇayati tulayati māpayati / paśyati na lābho na	/ tatas guptaH gAnDikaH gaNayati tulayati mApayati / paSyati na lABaH na
   chedaḥ /	CedaH /
   tataḥ sthaviraśaṇakavāsī guptaṃ gāndhikam uvāca / ayaṃ hi bhagavatā	tatas sTavira-SaNaka-vAsI guptam gAnDikam uvAca / ayam hi BagavatA
   buddhena nirdiṣṭaḥ, mama varṣaśataparinirvṛtasya buddhakāryaṃ kariṣyatīti	budDena nirdizwaH, mama varza-Sata-parinirvRtasya budDa-kAryam karizyati-iti
   / anujānīhi pravrājayiṣyāmīti /	/ anujAnIhi pravrAjayizyAmi-iti /
   yāvad guptena gāndhekena abhyanujñātaḥ / tataḥ sthavireṇa śāṇakavāsinā	yAvat guptena gAnDekena aByanujQAtaH / tatas sTavireNa SANaka-vAsinA
   (A-av 15) upagupto naṭabhaṭikāraṇyāyatanaṃ nītaṃ / upasaṃpāditaśca	(A-au 15) upaguptaH nawa-BawikA-araNya-Ayatanam nItam / upasaMpAditaH-ca
   jñapticaturthaṃ ca karma vyavasitaṃ / upaguptena ca sarvakleśaprahāṇād	jQapti-caturTam ca karma vyavasitam / upaguptena ca sarva-kleSa-prahANAt-
   arhattvaṃ sākṣātkṛtaṃ /	arhat-tvam sAkzAtkRtam /
   tataḥ sthavireṇa śāṇakavāsinābhihitaṃ / vatsa upagupta tvaṃ bhagavatā	tatas sTavireNa SANaka-vAsinA-aBihitam / vatsaH upagupta tvam BagavatA
   nirdiṣṭo varṣaśataparinirvṛtasya mama upagupto nāma bhikṣurbhaviṣyati,	nirdizwaH varza-Sata-parinirvRtasya mama upaguptaH nAma BikzuH-Bavizyati,
   alakṣaṇakto buddhaḥ / yo mama varṣaśataparinirvṛtasya buddhakāryaṃ	alakzaNaktaH budDaH / yaH mama varza-Sata-parinirvRtasya budDa-kAryam
   kariṣyatīti / eṣo 'gro me ānanda śrāvakāṇāmavavādakānāṃ yadutopagupto	karizyati-iti / ezaH agraH me Ananda SrAvakANAm-avavAdakAnAm yat-uta-upaguptaH-
   bhikṣuḥ / idānīṃ vatsa śāsanahitaṃ kuruṣveti / upagupta uvāca /	BikzuH / idAnIm vatsa SAsana-hitam kuruzva-iti / upaguptaH uvAca /
   evamastviti /	evam-astu-iti /
   tataḥ sa dharmaśravaṇe 'dhīṣṭaḥ / mathurāyāṃ ca śabdo visṛtaḥ / upagupto	tatas sa Darma-SravaNe aDIzwaH / maTurAyAm ca SabdaH visRtaH / upaguptaH-
   nāmālakṣaṇako buddho 'dya dharmaṃ deśayiṣyatīti / śrutvā cānekāni	nAma-alakzaNakaH budDaH adya Darmam deSayizyati-iti / SrutvA ca-anekAni
   prāṇiśatasahasrāṇi nirgatāni /	prANi-Sata-sahasrANi nirgatAni /
   yāvat sthaviropaguptaḥ samāpadyāvalokayati / kathaṃ tathāgatasya pariṣan	yAvat sTavira-upaguptaH samApadya-avalokayati / kaTam taTAgatasya parizan
   niṣaṇṇāḥ / paśyati cārdhacandrikākāreṇa parṣad avasthitā / yavad	nizaNNAH / paSyati ca-arDacandrikA-AkAreNa parzad avasTitAH / yavat-
   avalokayati kathaṃ tathāgatena dharmadeśanā kṛtā / paśyati	avalokayati kaTam taTAgatena Darma-deSanA kRtA / paSyati
   pūrvakālakaraṇīyāṃ kathāṃ kṛtvā satyasaṃprakāśanā kṛtā / so 'pi	pUrva-kAla-karaNIyAm kaTAm kRtvA satya-saMprakASanA kRtA / saH api
   pūrvakālakaraṇīyāṃ kathāṃ kṛtvā satyasaṃprakāśanāṃ kartumārabdhaḥ /	pUrva-kAla-karaNIyAm kaTAm kRtvA satya-saMprakASanAm kartum-ArabDaH /
   māreṇa ca tasyāṃ parṣadi muktāhāravarṣamutsṛṣṭaṃ / vaineyānāṃ manāṃsi	mAreNa ca tasyAm parzadi mukta-AhAra-varzam-utsRzwam / vEneyAnAm manAMsi
   vyākulīkṛtāni / ekenāpi satyadarśanaṃ na kṛtaṃ /	vyAkulIkRtAni / ekena-api satya-darSanam na kRtam /
   (A-av 16)	(a-a-au 16)
   yāvat sthaviropagupto vyavalokayati / kenāyaṃ vyākṣepaḥ kṛtaḥ / paśyati	yAvat sTavira-upaguptaH vyavalokayati / kena-ayam vyAkzepaH kRtaH / paSyati
   māreṇa /	mAreNa /
   yāvad dvitīye divase bahutarako janakāyo nirgataḥ / upagupto dharmaṃ	yAvat dvitIye divase bahutarakaH jana-kAyaH nirgataH / upaguptaH Darmam
   deśayati / muktāhāraṃ ca varṣopavarṣitamiti / yāvad dvitīye 'pi divase	deSayati / muktA-hAram ca varza-upavarzitam-iti / yAvat dvitIye api divase
   sthaviropaguptena pūrvakālakaraṇīyāṃ kathāṃ kṛtvā	sTavira-upaguptena pUrva-kAla-karaNIyAm kaTAm kRtvA
   satyasaṃprakāśanāyāmārabdhāyāṃ māreṇa cāsya parṣadi suvarṇavarṣamutsṛṣṭaṃ	satya-saMprakASanAyAm-ArabDAyAm mAreNa ca-asya parzadi suvarNa-varzam-utsRzwam
   / vaineyānāṃ manāṃsi saṃkṣobhotāni / ekenāpi satyadarśanaṃ na kṛtaṃ /	/ vEneyAnAm manAMsi saMkzoBotAni / ekena-api satya-darSanam na kRtam /
   yāvat sthaviropagupto vyavalokayati, kenāyaṃ vyākṣepaḥ kṛtaḥ / paśyati	yAvat sTavira-upaguptaH vyavalokayati, kena-ayam vyAkzepaH kRtaH / paSyati
   māreṇa pāpīyaseti /	mAreNa pApIyasA-iti /
   yāvat tṛtīye divase bahutarako janakāyo nirgataḥ / upagupto dharmaṃ	yAvat tRtIye divase bahutarakaH jana-kAyaH nirgataH / upaguptaH Darmam
   deśayati / muktāvarṣaṃ suvarṇavarṣaṃ ca patatīti / yāvat tṛtīye 'pi divase	deSayati / muktA-varzam suvarNa-varzam ca patati-iti / yAvat tRtIye api divase
   sthaviropaguptaḥ pūrvakālakaraṇīyāṃ kathāṃ kṛtvā satyāni ārabdhaḥ	sTavira-upaguptaH pUrva-kAla-karaNIyAm kaTAm kRtvA satyAni ArabDaH
   saṃprakāśayituṃ / māreṇa ca nātīdūre nāṭakamārabdhaṃ / divyāni ca vādyāni	saMprakASayitum / mAreNa ca na-atIdUre nAwakam-ArabDam / divyAni ca vAdyAni
   saṃpravāditāni / divyāścāpsaraso nāṭayituṃ pravṛttāḥ / yāvad vītarāgo	saMpravAditAni / divyAH-ca-apsarasaH nAwayitum pravRttAH / yAvat vIta-rAgaH-
   janakāyo divyāni rūpāṇi dṛṣṭvā divyāṃśca śabdān śrutvā māreṇākṛṣṭaḥ /	jana-kAyaH divyAni rUpANi dRzwvA divyAn=-ca SabdAn SrutvA mAreNa-AkRzwaH /
   ato māreṇopaguptasya parṣad ākṛṣṭā / prītamanasā māreṇa (A-av 17)	atas mAreNa-upaguptasya parzad AkRzwA / prIta-manasA mAreNa (A-au 17)
   sthaviropaguptasya śirasi mālā baddhā / yāvat sthaviropaguptaḥ	sTavira-upaguptasya Sirasi mAlA badDA / yAvat sTavira-upaguptaH
   samanvāharitumārabdhaḥ / ko 'yaṃ / paśyati māraḥ / tasya buddhirutpannā /	samanvAharitum-ArabDaH / kaH ayam / paSyati mAraH / tasya budDiH-utpannA /
   ayaṃ māro bhagavacchāsane mahāntaṃ vyākṣepaṃ karoti / kimarthamayaṃ	ayam mAraH Bagavat-SAsane mahAntam vyAkzepam karoti / kimarTa-mayam
   bhagavatā na vinītaḥ / paśyati mamāyaṃ vineyaḥ / tasya ca vinayāt	BagavatA na vinItaH / paSyati mama-ayam vineyaH / tasya ca vinayAt-
   sattvānugrahādahaṃ bhagavatā alakṣaṇako buddho nirdiṣṭaḥ /	sattva-anugrahAt-aham BagavatA alakzaNakaH budDaH nirdizwaH /
   yāvat sthaviropaguptaḥ samanvāharati / kimasya vineyakāla upasthita	yAvat sTavira-upaguptaH samanvAharati / kim-asya vineya-kAle upasTita
   āhosvin neti / paśyati vineyakāla upasthitaḥ / tataḥ sthaviropaguptena	Ahosvit na-iti / paSyati vineya-kAle upasTitaH / tatas sTavira-upaguptena
   trayaḥ kuṇapā gṛhītāḥ / ahikuṇapaṃ kurkuskuṇapaṃ manuṣyakuṇapaṃ ca /	trayaH kuNapAH gRhItAH / ahi-kuNapam kurkuskuNapam manuzya-kuNapam ca /
   ṛddhyā ca puṣpamālāmabhinirmāya mārasakāśamabhigataḥ / dṛṣṭvā ca mārasya	RdDyA ca puzpa-mAlAm-aBinirmAya mAra-sakASam-aBigataH / dRzwvA ca mArasya
   prītirutpannā / upagupto 'pi mayākṛṣṭa iti /	prItiH-utpannA / upaguptaH api mayA-AkRzwaH iti /
   tato māreṇa svaśarīramupanāmitaṃ / sthaviropaguptaḥ svayameva badhnāti /	tatas mAreNa sva-SarIram-upanAmitam / sTavira-upaguptaH svayam-eva baDnAti /
   tataḥ sthavireṇopaguptena ahikuṇapaṃ mārasya śirasi baddhaṃ /	tatas sTavireNa-upaguptena ahi-kuNapam mArasya Sirasi badDam /
   kurkurakuṇapaṃ grīvāyāṃ karṇāvasaktaṃ manuṣyakuṇapaṃ ca / tataḥ	kurkura-kuNapam grIvAyAm karNa-avasaktam manuzya-kuNapam ca / tatas-
   samālabhyovāca /	samAlaBya-uvAca /
   bhikṣujanapratikūlā mālā baddhā yathaiva me bhavatā /	Bikzu-jana-pratikUlA mAlA badDAH yaTA-eva me BavatA /
   kāmijanapratikūlaṃ tava kuṇapamidaṃ mayā baddhaṃ //	kAmi-jana-pratikUlam tava kuNapam-idam mayA badDam //
   (A-av 18)	(a-a-au 18)
   yat te balaṃ bhavati tat pratidarśayasva buddhātmajena hi sahādya samāgato	yat te balam Bavati tat pratidarSayasva budDa-Atmajena hi saha-adya samAgataH-
   'si / ugdṛttamapyanilabhinnataraṅgavaktraṃ vyāvartate malayakukṣiṣu	asi / ugdRttam-api-anila-Binna-taraFga-vaktram vyAvartate malaya-kukzizu
   sāgarāmbhaḥ //	sAgara-amBaH //
   atha mārastaṃ kuṇapamapanetumārabdhaḥ / paramapi ca svayamanupraviśya	aTa mAraH-tam kuNapam-apanetum-ArabDaH / param-api ca svayam-anupraviSya
   pipīlika iva adrirājamapanetuṃ na śaśāka / sāmarṣo vaihāyasamutpatya uvāca	pipIlikaH iva adrirAjam-apanetum na SaSAkaH / sa-amarzaH vEhAya-samutpatyaH uvAca
   yadi moktuṃ na śakyāmi kaṇṭhāt svakuṇapaṃ svayaṃ /	yadi moktum na SakyAmi kaNWAt sva-kuNapam svayam /
   anye devā hi mokṣyante mato 'bhyadhikatejasaḥ //	anye devAH hi mokzyante mataH aByaDika-tejasaH //
   sthavira uvāca /	sTaviraH uvAca /
   brahmāṇaṃ vajra śaraṇaṃ śatakratuṃ vā dīptaṃ vā praviśa hutāśamarṇavaṃ vā	brahmANam vajra SaraNam Satakratum vA dIptam vA praviSa hutASam-arNavam vA
   na kledaṃ na ca pariśoṣaṇaṃ na bhedaṃ kaṇṭhasthaṃ kuṇapamidaṃ tu yāsyatīha	na kledam na ca pariSozaNam na Bedam kaNWa-sTam kuNapam-idam tu yAsyati-iha
   sa mahendrarudropendradraviṇeśvarayamavaruṇakuveravasavādīnāṃ	sa mahA-indra-rudra-upendra-draviNa-ISvara-yama-varuNa-kuvera-vasava-AdInAm
   devānāmabhigamya akṛtārtha eva brahmāṇamabhigataḥ /	devAnAm-aBigamya akRtArTaH eva brahmANam-aBigataH /
   tena coktaṃ /	tena ca-uktam /
   (A-av 19)	(a-a-au 19)
   marṣaya vatsa /	marzaya vatsa /
   śiṣyeṇa daśabalasya svayamṛddhyā kṛtāntamaryādā /	SizyeNa daSa-balasya svayam-RdDyA kRtAnta-maryAdA /
   kastāṃ bhettuṃ śakto velāṃ varuṇālayasyeva //	kaH-tAm Bettum SaktaH velAm varuNAlayasya-iva //
   api padmanālasūtrairbaddhavā himavantamuddharet kvacit /	api padma-nAla-sUtrEH-badDavA himavantam-udDaret kvacid /
   na tu tava kaṇṭhāsaktaṃ śvakuṇapamidamuddhareyamahaṃ //	na tu tava kaNWa-Asaktam Sva-kuNapam-idam-udDarA-iyam-aham //
   kāmaṃ mamāpi mahadasti balaṃ tathāpi nāhaṃ tathāgatasutasya balena tulyaḥ	kAmam mama-api mahat-asti balam taTA-api na-aham taTAgata-sutasya balena tulyaH
   tejasvināṃ na khalu na jvalane 'sti kintu nāsau dyutirhutavahe	tejasvinAm na Kalu na jvalane asti kintu na-asO dyutiH-hutavahe
   ravimaṇḍaleyā //	ravi-maNxaleyAH //
   māro 'bravīt / kimidānīmājñāpayasi / kaṃ śaraṇaṃ vrajāmīti /	mAraH abravIt / kim-idAnIm-AjQApayasi / kam SaraNam vrajAmi-iti /
   brahmābravīt /	brahmA-abravIt /
   śīghraṃ tameva śaraṇaṃ vraja yaṃ sametya bhraṣṭastvamṛddhivibhavād yaśasaḥ	SIGram tam-eva SaraNam vraja yam sametya BrazwaH-tvam-RdDi-viBavAt yaSasaH
   sukhācca /	suKAt-ca /
   bhraṣṭo hi yaḥ kṣititale bhavatīha janturuttiṣṭhati kṣitimasāvavalambya	BrazwaH hi yaH kziti-tale Bavati-iha jantuH-uttizWati kzitim-asO=-avalambya
   bhūyaḥ //	BUyas //
   atha mārastathāgataśiṣyasāmarthyamupalabhya cintayāmāsa /	aTa mAraH-taTAgata-Sizya-sAmarTyam-upalaBya cintayAmAsa /
   brahmaṇā pujyate yasya śiṣyāṇāmapi śāsanaṃ /	brahmaNA pujyate yasya SizyANAm-api SAsanam /
   tasya buddhasya sāmarthyaṃ pramātuṃ ko nu śaknuyāt //	tasya budDasya sAmarTyam pramAtum kaH nu SaknuyAt //
   kartukāmo 'bhaviṣyat kāṃ śiṣṭiṃ kṣamo na suvrataḥ /	kartu-kAmaH aBavizyat kAm Sizwim kzamaH na suvrataH /
   yāṃ na'kariṣyat kṣāntyāṃ tu tenāhamanurakṣitaḥ //	yAm na-akarizyat kzAntyAm tu tena-aham-anurakzitaH //
   kiṃ bahunā /	kim bahunA /
   adyāvaimi munermahākaruṇatāṃ tasyātimaitrātmanaḥ	adya-avEmi muneH-mahA-karuNa-tAm tasya-ati-mEtra-AtmanaH
   sarvopadravavipramuktamanasaścāmīkarādridyutiḥ /	sarva-upadrava-vipramukta-manasaH-cAmIkara-adri-dyutiH /
   (A-av 20)	(a-a-au 20)
   mohāndhena hi tatra tatra sa mayā taistairnayaiḥ kheditaḥ	moha-anDena hi tatra tatra sa mayA tEH-tEH-nayEH KeditaH
   tenāhaṃ ca tathāpi nāma balinā naivāpriyaṃ śrāvitaḥ //	tena-aham ca taTA-api nAma balinA na-eva-apriyam SrAvitaH //
