   uttarabhāgaḥ	uttara BAgaH
   brāhmaṇo naiva hantavya ityeṣā vaidikī smṛtiḥ /	brAhmaNaH na eva hantavyaH iti ezA vEdikI smRtiH /
   ekādaśyāṃ na bhoktavyaṃ pakṣayorubhayorapi // NarP_2,3.17 //	ekAdaSyAm na Boktavyam pakzayoH uBayoH api // NA rP_2,3.17 //
   vailakṣyamagamadrājā ravisūnurdvijottamāḥ /	vElakzyam agamat rAjAH ravi sUnuH dvijottamAH /
   lekhyakarmaṇi viśrāntaścitragupto 'bhavattadā // NarP_2,3.18 //	leKya karmaNi viSrAntaH citraguptaH aBavat tadA // NA rP_2,3.18 //
   saṃmārjitāni lekhyāni pūrvakarmodbhavāni ca /	saMmArjitAni leKyAni pUrva karma udBavAni ca /
   gacchanti vaiṣṇavaṃ lokaṃ svadharmairmānavāḥ kṣaṇāt // NarP_2,3.19 //	gacCanti vEzNavam lokam svaDarmEH mAnavAH kzaNAt // NA rP_2,3.19 //
   śūnyā stu nirayāḥ sarve pāpaprāṇivivarjitāḥ /	SUnyA stu nirayAH sarve pApa prANi vivarjitAH /
   bhagno yāmyo 'bhavanmārgo dvādaśādityatāpitaḥ // NarP_2,3.20 //	BagnaH yAmyaH aBavat mArgaH dvAdaSa Aditya tApitaH // NA rP_2,3.20 //
   sarve hi garuḍārūḍhā janā yānti hareḥ padam /	sarve hi garuxa ArUXAH janAH yAnti hareH padam /
   devā nāmapi ye lokāste śūnyā hyabhavaṃstathā // NarP_2,3.21 //	devAH nAm api ye lokAH te SUnyAH hi aBavan= taTA // NA rP_2,3.21 //
   utsannāḥ pitṛdevejyāstīrthadānādisatkriyāḥ /	utsannAH pitR deva ijyAH tIrTa dAna Adi satkriyAH /
   muktvaikāṃ dvādaśīṃ martyā nānyaṃ jānanti te vratam // NarP_2,3.22 //	muktvA ekAm dvAdaSIm martyAH na anyam jAnanti te vratam // NA rP_2,3.22 //
   śūnye triviṣṭape jāte śūnye ca narake tathā /	SUnye trivizwape jAte SUnye ca narake taTA /
   nārado dharmarājānaṃ gatvā cedamuvāca ha // NarP_2,3.23 //	nAradaH DarmarAjAnam gatvA ca idam uvAca ha // NA rP_2,3.23 //
   nārada uvāca	nAradaH uvAca
   nākrandaḥ śrūyate rājan prāṅgaṇe narakeṣvatha /	na AkrandaH SrUyate rAjan prAFgaNe narakezu aTa /
   na cāpi kriyate lekhyaṃ kiñcidduṣkṛtakarmaṇām // NarP_2,3.24 //	na ca api kriyate leKyam kiQcid duzkRta karmaNAm // NA rP_2,3.24 //
   citragupto muniriva sthito 'yaṃ maunasaṃyutaḥ /	citraguptaH muniH iva sTitaH ayam mOna saMyutaH /
   kāraṇaṃ kiṃ na cāyānti pāpino yena te gṛham // NarP_2,3.25 //	kAraNam kim na ca AyAnti pApinaH yena te gRham // NA rP_2,3.25 //
   māyādaṃbhasamākrāntā duṣṭakarmaratāstathā /	mAyA daMBa samAkrAntAH duzwa karma ratAH taTA /
   evamukte tu vacane nāradena mahātmanā // NarP_2,3.26 //	evam ukte tu vacane nAradena mahAtmanA // NA rP_2,3.26 //
   prāha vaivasvato rājā kiñciddainyasamanvitaḥ /	prAha vEvasvataH rAjA kiQcid dEnya samanvitaH /
   yama uvāca	yamaH uvAca
   yo 'yaṃ nārada bhūpālaḥ pṛthivyāṃ sāṃprataṃ sthitaḥ // NarP_2,3.27 //	yaH ayam nArada BUpAlaH pRTivyAm sAMpratam sTitaH // NA rP_2,3.27 //
   sa hi bhakto hṛṣīkeśe purāṇapuruṣottame /	sa hi BaktaH hRzIkeSe purANapuruzottame /
   prabodhayati rājendraḥ sa janaṃ paṭahena hi // NarP_2,3.28 //	praboDayati rAja indraH sa janam pawahena hi // NA rP_2,3.28 //
   na bhoktavyaṃ na bhoktavyaṃ saṃprāpte harivāsare /	na Boktavyam na Boktavyam saMprApte hari vAsare /
   ye kecidbhuñjate martyāste me daṇḍeṣu yānti hi // NarP_2,3.29 //	ye kecid BuQjate martyAH te me daNxezu yAnti hi // NA rP_2,3.29 //
   tadbhayāddhi janāḥ sarve dvādaśīṃ samupāsate /	tad BayAt hi janAH sarve dvAdaSIm samupAsate /
   vyājenāpi munuśreṣṭha dvādaśyāṃ samupoṣitāḥ // NarP_2,3.30 //	vyAjena api munu SrezWa dvAdaSyAm samupozitAH // NA rP_2,3.30 //
   prayānti vaiṣṇavaṃ lokaṃ dāhapralayavarjitam /	prayAnti vEzNavam lokam dAha pralaya varjitam /
   dvādaśīsevanāllokāḥ prāyānti harimandiram // NarP_2,3.31 //	dvAdaSI sevanAt lokAH prAyAnti hari mandiram // NA rP_2,3.31 //
   tena rājñā dvijaśreṣṭha mārgā luptā mamādhunā /	tena rAjQA dvijaSrezWa mArgAH luptA mama aDunA /
   kṛta hi narakāḥ śūnyā lokāścāpi divaukasām // NarP_2,3.32 //	kRta hi narakAH SUnyAH lokAH ca api divOkasAm // NA rP_2,3.32 //
   viśrāntaṃ lekhakerlekhyaṃ likhitaṃ mārjitaṃ janaiḥ /	viSrAntam leKakeH leKyam liKitam mArjitam janEH /
   ekādaśyupavāsasya māhātmyena dvijottama // NarP_2,3.33 //	ekAdaSI upavAsasya mAhAtmyena dvijottamaH // NA rP_2,3.33 //
   brahmahatyādipāpāni abhuktvaiva janā dvija /	brahmahatyA Adi pApAni aBuktvA eva janAH dvija /
   samupoṣya dinaṃ viṣṇoḥ prayānti harimandiram // NarP_2,3.34 //	samupozya dinam vizNoH prayAnti hari mandiram // NA rP_2,3.34 //
   so 'haṃ kāṣāṭamṛgeṇaiva tulyo jāto mahāmune /	saH aham kAzAwa mRgeNa eva tulyaH jAtaH mahA mune /
   netrahīnaḥ karṇahīnaḥ saṃdhyāhīno dvijo yathā // NarP_2,3.35 //	netra hInaH karNa hInaH saMDyA hInaH dvijaH yaTA // NA rP_2,3.35 //
   strījito vā pumānyadvatṣaṇḍho vā pramadāpatiḥ /	strI jitaH vA pumAn yadvat zaNXaH vA pramadA patiH /
   tyaktakāmastvahaṃ brahmaṃllokapālatvamīdṛśam // NarP_2,3.36 //	tyakta kAmaH tu aham brahman= lokapAla tvam IdRSam // NA rP_2,3.36 //
   yāsyāmi brahmaloke vai duḥkhaṃ jñāpayituṃ svakam /	yAsyAmi brahma loke vE duHKam jQApayitum svakam /
   nirvyāpāro niyogī tu niyoge yastu tiṣṭhati // NarP_2,3.37 //	nirvyApAraH niyogI tu niyoge yaH tu tizWati // NA rP_2,3.37 //
   svāmivittaṃ samaśnāti sa yāti narakaṃ dhruvam /	svAmi vittam samaSnAti sa yAti narakam Druvam /
   sautiruvāca	sOtiH uvAca
   evamuktvā yamo viprā nāradena samanvitaḥ // NarP_2,3.38 //	evam uktvA yamaH viprAH nAradena samanvitaH // NA rP_2,3.38 //
   yayau virañcisadanaṃ citracisadanaṃ citraguptena cānvitaḥ /	yayO viraQci sadanam citracisadanam citraguptena ca anvitaH /
   sa dadarśa samāsīnaṃ mūrtāmūratajanāvṛtam // NarP_2,3.39 //	sa dadarSa samAsInam mUrta amUrata jana AvRtam // NA rP_2,3.39 //
   vedāśrayaṃ jagadbījaṃ sarveṣāṃ prapitāmaham /	veda ASrayam jagat bIjam sarvezAm prapitAmaham /
   svabhavaṃ bhūtanilayamoṅkārākhyamakalmaṣam // NarP_2,3.40 //	sva Bavam BUta nilayam oFkAra AKyam akalmazam // NA rP_2,3.40 //
   śuciṃ śucipadaṃ haṃsaṃ brahmāṇaṃ darbhalāñchanam /	Sucim Suci padam haMsam brahmANam darBa lAQCanam /
   upāsyamānaṃ vividhairlokapālairdigīśvaraiḥ // NarP_2,3.41 //	upAsyamAnam viviDEH lokapAlEH digISvarEH // NA rP_2,3.41 //
   itihāsapurāṇaiśca vedaurvegrahasaṃsthitaiḥ /	itihAsa purANEH ca vedOH vegraha saMsTitEH /
   mūrtimadbhiḥ samudraiśya nadībhiśca sarovaraiḥ // NarP_2,3.42 //	mUrtimadBiH samudrESya nadIBiH ca sarovarEH // NA rP_2,3.42 //
   dehadhṛgbhistathā vṛkṣairaśvatthādyairviśeṣataḥ /	deha DRgBiH taTA vRkzEH aSvatTa AdyEH viSezataH /
   vāpīkūpataḍāgādyairmūrtimadbhiśca parvataiḥ // NarP_2,3.43 //	vApI kUpa taxAga AdyEH mUrtimadBiH ca parvatEH // NA rP_2,3.43 //
   ahorātraistathā pakṣairmāsaiḥ saṃvatsarairdvijāḥ /	ahorAtrEH taTA pakzEH mAsEH saMvatsarEH dvijAH /
   kalākāṣṭhānimeṣaiśca ṛtubhiścāyanairyugaiḥ // NarP_2,3.44 //	kalA kAzWA nimezEH ca RtuBiH ca ayanEH yugEH // NA rP_2,3.44 //
   manvantaraistathā kalpairnimeṣairunmiṣairapi /	manvantarEH taTA kalpEH nimezEH unmizEH api /
   ṛkṣairyogaiśca karaṇaiḥ paurṇamāseṃdusaṃkṣayaiḥ // NarP_2,3.45 //	RkzEH yogEH ca karaNEH pOrNamAsa iMdu saMkzayEH // NA rP_2,3.45 //
   sukhairduḥkhaistathā dvandvairlābhālābhairjayājayaiḥ /	suKEH duHKEH taTA dvandvEH lABa alABEH jaya ajayEH /
   satyānṛtaiśca deveśo veṣṭito dharmapāvakaḥ // NarP_2,3.46 //	satya anRtEH ca deveSaH vezwitaH Darma pAvakaH // NA rP_2,3.46 //
   karmavidbhiśca puruṣairanupairupāsyate /	karma vidBiH ca puruzEH anupEH upAsyate /
   sattvena rajasā caiva tamasā ca pitāmahaḥ // NarP_2,3.47 //	sattvena rajasA ca eva tamasA ca pitAmahaH // NA rP_2,3.47 //
   śāntamūḍhātighoraiśca vikāraiḥ prākṛtairvibhuḥ /	SAnta mUXa ati GorEH ca vikArEH prAkRtEH viBuH /
   vāyunā śleṣmapittābhyāṃ mūrtairātaṅkanāmabhiḥ // NarP_2,3.48 //	vAyunA Slezma pittAByAm mUrtEH AtaFka nAmaBiH // NA rP_2,3.48 //
   ānandena ca viśvātmā paradharmaṃ samāśritaḥ /	Anandena ca viSvAtmA para Darmam samASritaH /
   anuktairapi bhūtaiśca saṃvṛto lokakṛtsvayam // NarP_2,3.49 //	anuktEH api BUtEH ca saMvRtaH loka kRt su ayam // NA rP_2,3.49 //
   duruktaiḥ kaṭuvākyādyairmūrtimadbhirupāsyate /	duruktEH kawu vAkya AdyEH mUrtimadBiH upAsyate /
   teṣāṃ madhye 'viśatsauriḥ savrīḍeva vadhūryathā // NarP_2,3.50 //	tezAm maDye aviSat sOriH sa vrIxA iva vaDUH yaTA // NA rP_2,3.50 //
   vilokayannadhobhāgaṃ namravaktro vyadarśayat /	vilokayan= aDoBAgam namra vaktraH vyadarSayat /
   te praviṣṭaṃ yamaṃ dṛṣṭvā sakāyasthaṃ sanāradam // NarP_2,3.51 //	te pravizwam yamam dRzwvA sa kAya sTam sa nAradam // NA rP_2,3.51 //
   vismitākṣā mithaḥ procuḥ kimayaṃ bhāskaristviha /	vismita akzAH miTas procuH kim ayam BAskariH tu iha /
   saṃprāpto hi lokakaraṃ draṣṭuṃ devaṃ pitāmaham // NarP_2,3.52 //	saMprAptaH hi loka karam drazwum devam pitAmaham // NA rP_2,3.52 //
   nirvyāpāraḥ kṣaṇaṃ nāsti yo 'yaṃ vyagro raveḥ sutaḥ /	nirvyApAraH kzaNam na asti yaH ayam vyagraH raveH sutaH /
   so 'yamabhyāgataḥ kasmātkañcitkṣemaṃ divaukasām // NarP_2,3.53 //	saH ayam aByAgataH kasmAt kaQcitkzemam divOkasAm // NA rP_2,3.53 //
   āścaryātiśayaṃ manye yanmārjitapaṭastvayam /	AScarya atiSayam manye yat mArjita pawaH tu ayam /
   lekhakaḥ samanuprāpto dainyena mahatānvitaḥ // NarP_2,3.54 //	leKakaH samanuprAptaH dEnyena mahatA anvitaH // NA rP_2,3.54 //
   na kenacitpaṭo hyasya mārjito 'bhūcca dharmiṇā /	na kenacid pawaH hi asya mArjitaH aBUt ca DarmiNA /
   yanna dṛṣṭaṃ śrunta vāpi tadihaiva pradṛśyate // NarP_2,3.55 //	yat na dRzwam Srunta vA api tat iha eva pradRSyate // NA rP_2,3.55 //
   evamuccaratāṃ teṣāṃ bhūtānāṃ kṛtaśāsanaḥ /	evam uccaratAm tezAm BUtAnAm kRta SAsanaH /
   nipapātāgrato viprā brahmaṇo ravinandanaḥ // NarP_2,3.56 //	nipapAta agratas viprAH brahmaNaH ravinandanaH // NA rP_2,3.56 //
   mūlacchinno yathā śākhī trāhi trāhīti saṃrudan /	mUla= CinnaH yaTA SAKI trAhi trAhi iti saMrudan /
   paribhūto 'smi deveśa yanmārjitapaṭaḥ kṛtaḥ // NarP_2,3.57 //	pariBUtaH asmi deveSa yat mArjita pawaH kRtaH // NA rP_2,3.57 //
   tvayā nāthena vidhuraṃ paśyāmi kamalāsana /	tvayA nATena viDuram paSyAmi kamalAsana /
   evaṃ bruvansa niśceṣṭo babhūva dvijasaṃttamāḥ // NarP_2,3.58 //	evam bruvan sa niScezwaH baBUva dvija saMttamAH // NA rP_2,3.58 //
   tato halahalāśabdaḥ sabhāyāṃ samavartata /	tatas halahalA SabdaH saBAyAm samavartata /
   yor'thaṃ rodayate lokānsarvānsthāvaraja gamān // NarP_2,3.59 //	yor aTam rodayate lokAn sarvAn sTAvara ja gamAn // NA rP_2,3.59 //
   so 'yaṃ roditi duḥkhārtaḥ kasmādvaivasvato yamaḥ /	saH ayam roditi duHKa ArtaH kasmAt vEvasvataH yamaH /
   athavā satyagātheyaṃ laukikī pratibhāti naḥ // NarP_2,3.60 //	aTavA satyagATA iyam lOkikI pratiBAti naH // NA rP_2,3.60 //
   janasantāpakartā yaḥ so 'cireṇopatapyate /	jana santApa kartA yaH saH acireNa upatapyate /
   nahi duṣkṛtakarmā hi naraḥ prāpnoti śobhanam // NarP_2,3.61 //	na hi duzkRta karmA hi naraH prApnoti SoBanam // NA rP_2,3.61 //
   tato nivārayāmāsa vāyusteṣāṃ vacastadā /	tatas nivArayAmAsa vAyuH tezAm vacaH tadA /
   lokānāṃ samacittānāṃ mataṃ jñātvā hi vedhasaḥ // NarP_2,3.62 //	lokAnAm sama cittAnAm matam jQAtvA hi veDasaH // NA rP_2,3.62 //
   nivārya śaṅkāṃ mārtaṇḍiṃ śanairutthāpayan vibhuḥ /	nivArya SaFkAm mArtaNxim SanEs utTApayan viBuH /
   bhujābhyāṃ sādhupīnābhyāṃ lokamūrtirudāradhīḥ // NarP_2,3.63 //	BujAByAm sADu pInAByAm loka mUrtiH udAra DIH // NA rP_2,3.63 //
   vihvalaṃ taṃ palāyantamāsane saṃnyaveśayat /	vihvalam tam palAyantam Asane saMnyaveSayat /
   sakāyasthamuvācedaṃ vyomamūrtiṃ raveḥ sutam // NarP_2,3.64 //	sa kAya sTam uvAca idam vyoma mUrtim raveH sutam // NA rP_2,3.64 //
   kena tvamabhibhūto 'si kena sthānādvivāsitaḥ /	kena tvam aBiBUtaH asi kena sTAnAt vivAsitaH /
   kenāpamārjito devapaṭo lokapaṭastava // NarP_2,3.65 //	kena apamArjitaH devapawaH lokapawaH tava // NA rP_2,3.65 //
   brūhi sarvamaśeṣeṇa kuśaketurvadatvayam /	brUhi sarvam aSezeNa kuSaketuH vadatu ayam /
   yaḥ prabhustāta sarveṣāṃ sa te kartā samunnatim /	yaH praBuH tAta sarvezAm sa te kartA samunnatim /
   apaneṣyati mārtaṇḍe duḥkhaṃ hṛdayasaṃsthitam // NarP_2,3.66 //	apanezyati mArtaNxe duHKam hRdaya saMsTitam // NA rP_2,3.66 //
   sa evamuktastu prabhañjanena dineśasūnustamatho babhāṣe /	saH evam uktaH tu praBaQjanena dineSa sUnuH tam aTo baBAze /
   vilokya vaktraṃ kuśaketusūnoḥ sagadgadaṃ mandamudīrayanvacaḥ //	vilokya vaktram kuSa ketu sUnoH sa gadgadam mandam udIrayan vacaH //
   NarP_2,3.67 //	NA rP_2,3.67 //
   iti śrībṛhannāradīyapurāṇottare bhāge yamasya brahmalokagamanaṃ nāma	iti SrI bRhat nAradIyapurANa uttare BAge yamasya brahma loka gamanam nAma
   tṛtīyo 'dhyāyaḥ	tRtIyaH aDyAyaH
   yama uvāca	yamaH uvAca
   śṛṇu me vacanaṃ nātha pitāmaha pitāmaha /	SRNu me vacanam nATa pitAmaha pitAmaha /
   maraṇādadhikaṃ deva yatpratāpasya khaṇḍanam // NarP_2,4.1 //	maraNAt aDikam deva yat pratApasya KaNxanam // NA rP_2,4.1 //
   nispṛho nācaredyastu niyogaṃ padmasaṃbhava /	nispRhaH na Acaret yaH tu niyogam padmasaMBavaH /
   andhakūpe nipatati sa cāśu narake dhruvam // NarP_2,4.2 //	anDakUpe nipatati sa ca ASu narake Druvam // NA rP_2,4.2 //
   niyogī na niyogaṃ yaḥ karoti kamalāsana /	niyogI na niyogam yaH karoti kamalAsana /
   prabhorvittaṃ samaśnāti sa bhavetkāṣṭhakīṭakaḥ // NarP_2,4.3 //	praBoH vittam samaSnAti sa Bavet kAzWa kIwakaH // NA rP_2,4.3 //
   yo 'śnāti lobhādvittāni prajābhyo vā mahīpateḥ /	yaH aSnAti loBAt vittAni prajAByaH vA mahIpateH /
   niyogī narakaṃ yāti yāvatkalpaśatatrayam // NarP_2,4.4 //	niyogI narakam yAti yAvat kalpa Sata trayam // NA rP_2,4.4 //
   ātmakāryaparo yastu svāminaṃ ca viluṃpati /	Atma kArya paraH yaH tu svAminam ca viluMpati /
   bhavedveśmani mandātmā ākhuḥ kalpaśatatrayam // NarP_2,4.5 //	Bavet veSmani manda AtmA AKuH kalpa Sata trayam // NA rP_2,4.5 //
   niyogī yastu vai bhūtvā ātmaveśmani bhokṣyati /	niyogI yaH tu vE BUtvA Atma veSmani Bokzyati /
   bhṛtyānvai karmakaraṇe rājño mārjāratāṃ vrajet // NarP_2,4.6 //	BRtyAn vE karma karaNe rAjQaH mArjAra tAm vrajet // NA rP_2,4.6 //
   so 'haṃ deva tavādeśāt prajā dharmeṇa śāsayan /	saH aham deva tava AdeSAt prajAH DarmeNa SAsayan /
   puṇyena puṇyakartāraṃ pāpaṃ pāpena karmaṇā // NarP_2,4.7 //	puNyena puNya kartAram pApam pApena karmaNA // NA rP_2,4.7 //
   samyagvicārya munibhirgharmaśāstrādibhirvibho /	samyak vicArya muniBiH Garma SAstra AdiBiH viBo /
   kalpādau vartamānasya yāvadyāvaddinaṃ tava // NarP_2,4.8 //	kalpa AdO vartamAnasya yAvat yAvat dinam tava // NA rP_2,4.8 //
   so 'haṃ tvadīyena vibho niyogenaiva śaknuyām /	saH aham tvadIyena viBo niyogena eva SaknuyAm /
   kartuṃ rukmāṅgadenādya parābhūto hi bhūbhujā // NarP_2,4.9 //	kartum rukma aFgadena adya parABUtaH hi BUBujA // NA rP_2,4.9 //
   bhayādyasya jagannātha pṛthivī sāgarāṃbarā /	BayAt yasya jagannATa pRTivI sAgara aMbarAH /
   na bhuṅkte vāsare viṣṇoḥ sarvapāpapraṇāśane // NarP_2,4.10 //	na BuFkte vAsare vizNoH sarva pApa praNASane // NA rP_2,4.10 //
   vihāya sarvadharmāṃstu vihāya pitṛpūjanam /	vihAya sarva DarmAn= tu vihAya pitR pUjanam /
   vihāya devapūjāṃ ca tīrthasnānādikastriyām // NarP_2,4.11 //	vihAya deva pUjAm ca tIrTa snAna Adika striyAm // NA rP_2,4.11 //
   yogasāṃkhyāvubhau tyaktvā jñānaṃ jñeyaṃ ca mānada /	yoga sAMKyO= uBO tyaktvA jQAnam jQeyam ca mAnada /
   tyaktvā svādhyāyahomāṃśca kṛtvā pāpāni bhūriśaḥ // NarP_2,4.12 //	tyaktvA svADyAya homAn= ca kRtvA pApAni BUriSas // NA rP_2,4.12 //
   prayānti vaiṣṇavaṃ lokamupoṣya harivāsaram /	prayAnti vEzNavam lokam upozya hari vAsaram /
   manujāḥ pitṛbhiḥ sārddhaṃ tathaiva ca pitāmahaiḥ // NarP_2,4.13 //	manujAH pitRBiH sArdDam taTA eva ca pitAmahEH // NA rP_2,4.13 //
   teṣāmapīha pitaraḥ pitṝṇāṃ pitarastathā /	tezAm api iha pitaraH pitLNAm pitaraH taTA /
   tathā mātāmahā yānti māturye janakādayaḥ // NarP_2,4.14 //	taTA mAtAmahAH yAnti mAtuH ye janaka AdayaH // NA rP_2,4.14 //
   teṣāmapi janetāro janitṝṇāṃ hi pūrvajāḥ /	tezAm api janetAraH janitLNAm hi pUrvajAH /
   etadduḥkhaṃ punardeva mama marmavibhedanam // NarP_2,4.15 //	etat duHKam punar deva mama marma viBedanam // NA rP_2,4.15 //
   priyāyāḥ pitaro yānti mārjayitvā lipiṃ mama /	priyAyAH pitaraH yAnti mArjayitvA lipim mama /
   pitṝṇāṃ bījato yasmāddhātryā kukṣau dhṛto yataḥ // NarP_2,4.16 //	pitLNAm bIjataH yasmAt DAtryA kukzO DRtaH yatas // NA rP_2,4.16 //
   yadekaḥ kurute karma tadekenaiva bhujyate /	yat ekaH kurute karma tat ekena eva Bujyate /
   tato 'nyasya kṛtaṃ brahmanbījaṃ dhātrīsamudbhavam // NarP_2,4.17 //	tatas anyasya kRtam brahman bIjam DAtrI samudBavam // NA rP_2,4.17 //
   tārayetsa ubhau pakṣau yatpiṇḍo yasya vigrahaḥ /	tArayet saH uBO pakzO yat piNxaH yasya vigrahaH /
   na bhāryāyā bhavedvījaṃ na bhāryā kukṣidhāriṇī // NarP_2,4.18 //	na BAryAyAH Bavet vIjam na BAryA kukzi DAriNI // NA rP_2,4.18 //
   kathaṃ tasyā jagannātha pakṣo yāti paraṃ padam /	kaTam tasyAH jagannATa pakzaH yAti param padam /
   jāmātuḥ puṇyamāhātmyattina me śiraso rujā // NarP_2,4.19 //	jAmAtuH puNya mAhAtmyat tina me SirasaH rujA // NA rP_2,4.19 //
   na me prayojanaṃ deva niyogenedṛśena vai /	na me prayojanam deva niyogena IdRSena vE /
   ekādaśyupavāsī yaḥ sa māṃ tyaktvā vrajeddharim // NarP_2,4.20 //	ekAdaSI upavAsI yaH sa mAm tyaktvA vrajet harim // NA rP_2,4.20 //
   kulatrayaṃ samuddhṛtya ātmanā saha padmaja /	kula trayam samudDRtya AtmanA saha padmaja /
   tyaktvā tu māmakaṃ mārgaṃ prayāti harimandiram // NarP_2,4.21 //	tyaktvA tu mAmakam mArgam prayAti hari mandiram // NA rP_2,4.21 //
   na yajñaistādṛśairdeva gatiṃ prāpnoti mānavaḥ /	na yajQEH tAdRSEH deva gatim prApnoti mAnavaH /
   na tīrthairnāpi dānairvā na vratairviṣṇuvarjitaiḥ // NarP_2,4.22 //	na tIrTEH na api dAnEH vA na vratEH vizNu varjitEH // NA rP_2,4.22 //
   na jale pāvake vāpi mṛtaḥ prāpnoti tāṃ gatim /	na jale pAvake vA api mRtaH prApnoti tAm gatim /
   yogena saṃpraṇaṣṭo vā bhṛgupātena vā vidhe // NarP_2,4.23 //	yogena saMpraNazwaH vA BRgu pAtena vA viDe // NA rP_2,4.23 //
   tādṛśīṃ na gatiṃ yāti yādṛśīṃ vaiṣṇavavratī /	tAdRSIm na gatim yAti yAdRSIm vEzNava vratI /
   gatiṃ matimatāṃ śreṣṭha satyametadudīritam // NarP_2,4.24 //	gatim matimatAm SrezWa satyam etat udIritam // NA rP_2,4.24 //
   harerdine dhātṛphalāṅgalipto vimuktavāñchārasabhojano naraḥ /	hareH dine DAtR Pala aFga liptaH vimukta vAn CA rasa BojanaH naraH /
   prayāti loke dharaṇīdharasya viduṣṭakarmāpi manuṣyajanmā // NarP_2,4.25 //	prayAti loke DaraNIDarasya viduzwa karma api manuzya janmA // NA rP_2,4.25 //
   so 'haṃ nirāśo bhuvi hīnakarmā tavāgataḥ pādasarojayugmam /	saH aham nirASaH Buvi hIna karmA tava AgataH pAda saroja yugmam /
   vijñapti mātrābhayadāptikālaṃ kuruṣva sargasthitināsahetoḥ // NarP_2,4.26	vijQapti mAtrA aBaya dApti kAlam kuruzva sarga sTiti nAsa hetoH // NA rP_2,4.26
   māsyustadā pāpakṛto vihīnā yanmāmakairbhūtagaṇairmanuṣyāḥ /	mAsyuH tadA pApa kRtaH vihInAH yat mAmakEH BUta gaNEH manuzyAH /
   niyantritāḥ śṛṅkhalarajjubandhanaiḥ samīpagā me vaśagā bhaveyuḥ //	niyantritAH SRFKala rajju banDanEH samIpa gA me vaSagAH BaveyuH //
   NarP_2,4.27 //	NA rP_2,4.27 //
   bhagnastu mārgo ravitāpayukto yadviṣṇusaṃghairatitīvrahastaiḥ /	BagnaH tu mArgaH ravi tApa yuktaH yat vizNu saMGEH ati tIvra hastEH /
   vimucya kuṃbhīṃ sakalo janaughaḥ prayāti taddhāma parātparasya //	vimucya kuMBIm sakalaH jana oGaH prayAti tat DAma parAtparasya //
   NarP_2,4.28 //	NA rP_2,4.28 //
   iti śrībṛhannāradīyapurāṇottarabhāge yamavākyaṃ nāma caturtho 'dhyāyaḥ	iti SrI bRhat nAradIyapurANa uttara BAge yama vAkyam nAma caturTaH aDyAyaH
   yama uvāca	yamaH uvAca
   ghṛṣṭatāṃ samanuprāptaḥ panthā devasya cakriṇaḥ /	GRzwa tAm samanuprAptaH panTAH devasya cakriNaH /
   acchidrairgamyanānaiśca naraistribhuvanārcita // NarP_2,5.1 //	acCidrEH gamya nAnEH ca narEH triBuvana arcitaH // NA rP_2,5.1 //
   apramāṇamahaṃ manye lokaṃ viṣṇorjagatpate /	apramANam aham manye lokam vizNoH jagatpate /
   yo na pūryati lokaighaiḥ sarvasatvasaroruhaiḥ // NarP_2,5.2 //	yaH na pUryati loka eGEH sarva satva saroruhEH // NA rP_2,5.2 //
   mādhavāvasathainaiva samastena pitāmaha /	mADava AvasaTa enA eva samastena pitAmaha /
   svakarmasthā vikarmasthāḥ śucayo 'śucayo 'pi vā // NarP_2,5.3 //	sva karma sTAH vikarma sTAH SucayaH aSucayaH api vA // NA rP_2,5.3 //
   upoṣya vāsaraṃ viṣṇorlokaṃ yānti nṛpājñayā /	upozya vAsaram vizNoH lokam yAnti nRpa AjQayA /
   so 'smākaṃ hi mahān śatrurbhavatāṃ ca viśeṣataḥ // NarP_2,5.4 //	saH asmAkam hi mahAn SatruH BavatAm ca viSezataH // NA rP_2,5.4 //
   nigrāhyo jagatāṃnātha bhavennāstyatra saṃśayaḥ /	nigrAhyaH jagatAMnATa Bavet na asti atra saMSayaH /
   tena varṣasahasreṇa śāsitaṃ kṣitimaṇḍalam // NarP_2,5.5 //	tena varza sahasreNa SAsitam kziti maNxalam // NA rP_2,5.5 //
   aprameyo jano nīto vaiṣṇavaṃ harivallabham /	aprameyaH janaH nItaH vEzNavam harivallaBam /
   āropayitvā garuḍe kṛtvā rūpaṃ caturbhujam // NarP_2,5.6 //	AropayitvA garuxe kRtvA rUpam catur Bujam // NA rP_2,5.6 //
   pītavastrasusaṃvītaṃ sragviṇaṃ cārulopanam /	pIta vastra su saMvItam sragviNam cAru lopanam /
