   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   2.41cd: rūpātītaṃ parā śaktiḥ savyāpārāpy anāmayā	2.41cd: rUpa-atItam parA SaktiH savyA-pArA-api anAmayA
   2.42ab: niṣprapañco nirābhāsaḥ śuddhaḥ svātmany avasthitaḥ	2.42ab: nizprapaQcaH nirABAsaH SudDaH sva-Atmani avasTitaH
   2.42cd: sarvātītaḥ śivo jñeyo yaṃ viditvā vimucyate	2.42cd: sarva-atItaH SivaH jQeyaH yam viditvA vimucyate
   2.43ab: caturvidhaṃ tu piṇḍastham abuddhaṃ buddham eva ca	2.43ab: caturviDam tu piNxa-sTam abudDam budDam eva ca
   2.43cd: prabuddhaṃ suprabuddhaṃ ca padasthaṃ ca caturvidham	2.43cd: prabudDam su-prabudDam ca pada-sTam ca caturviDam
   2.44ab: gatāgataṃ suvikṣiptaṃ saṅgataṃ susamāhitam	2.44ab: gatAgatam su-vikziptam saFgatam su-samAhitam
   2.44cd: caturdhā rūpasaṃsthaṃ tu jñātavyaṃ yogacintakaiḥ	2.44cd: caturDA rUpa-saMsTam tu jQAtavyam yoga-cintakEH
   2.45ab: uditaṃ vipulaṃ śāntaṃ suprasannam athāparam	2.45ab: uditam vipulam SAntam su-prasannam aTa-aparam
   2.45cd: manonmanam anantaṃ ca sarvārthaṃ satatoditam	2.45cd: manonmanam anantam ca sarva-arTam satata-uditam
   2.46ab: pracaye tatra saṃjñeyam ekaṃ tanmahati sthitam	2.46ab: pracaye tatra saMjQA-iyam ekam tat-mahati sTitam
   2.46cd: ity evaṃ pañcadhādhvānaṃ tridhedānīṃ nigadyate	2.46cd: iti evam paQcaDA-aDvAnam triDA-idAnIm nigadyate
   2.47ab: vijñānākalaparyantam ātmatattvam udāhṛtam	2.47ab: vijQAnAkala-paryantam Atma-tattvam udAhRtam
   2.47cd: īśvarāntaṃ ca vidyāhvaṃ śeṣaṃ śivapadaṃ viduḥ	2.47cd: ISvara-antam ca vidyAhvam Sezam Siva-padam viduH
   2.48ab: evaṃ bhedair imair bhinnas tatrādhvā parikīrtitaḥ	2.48ab: evam BedEH imEH BinnaH tatra-aDvA parikIrtitaH
   2.48cd: yugapat sarvamārgāṇāṃ prabhedaḥ procyate 'dhunā	2.48cd: yugapad sarva-mArgANAm praBedaH procyate aDunA
   2.49ab: pārthivaṃ prākṛtaṃ caiva māyīyaṃ śāktam eva ca	2.49ab: pArTivam prAkRtam ca-eva mAyIyam SAktam eva ca
   2.49cd: iti saṅkṣepataḥ proktam etad aṇḍacatuṣṭayam	2.49cd: iti saFkzepataH proktam etat aNxa-catuzwayam
   2.50ab: pṛthag dvayam asaṅkhyātam ekam ekaṃ pṛthak pṛthak	2.50ab: pRTak dvayam asaFKyAtam ekam ekam pRTak pRTak-
   2.50cd: ādyaṃ dhārikayā vyāptaṃ tatraikaṃ tattvam iṣyate	2.50cd: Adyam DArikayA vyAptam tatra-ekam tattvam izyate
   2.51ab: ekam ekaṃ pṛthak kṣārṇaṃ padārṇamanuṣu smaret	2.51ab: ekam ekam pRTak kzArNam pada-arNa-manuzu smaret-
   2.51cd: kālāgnibhuvanād yāvad vīrabhadrapurottamam	2.51cd: kAlAgni-BuvanAt yAvat vIraBadra-pura-uttamam
   2.52ab: puraṣoḍaśakaṃ jñeyaṃ ṣaḍvidho 'dhvā prakīrtitaḥ	2.52ab: pura-zoxaSakam jQeyam zaxviDaH aDvA prakIrtitaH
   2.52cd: āpyāyinyā dvitīyaṃ ca tatra tattvāni lakṣayet	2.52cd: ApyAyinyAH dvitIyam ca tatra tattvAni lakzayet-
   2.53ab: trayoviṃśatyabādīni tadvad dhādyakṣarāṇi ca	2.53ab: trayoviMSati-abAdIni tadvat DAdi-akzarANi ca
   2.53cd: padāni pañca mantrāś ca ṣaṭpañcāśatpurāṇi ca	2.53cd: padAni paQca mantrAH ca zawpaQcASat-purANi ca
   2.54ab: tattvāni sapta bodhinyā tac caturdhā purāṇi ca	2.54ab: tattvAni sapta boDinyA tat caturDA purANi ca
   2.54cd: tṛtīye sapta varṇāḥ syuḥ padamantradvayaṃ dvayam	2.54cd: tRtIye sapta varNAH syuH pada-mantra-dvayam dvayam
   2.55ab: utpūyinyā caturthaṃ tu tatra tattvatrayaṃ viduḥ	2.55ab: utpUyinyA caturTam tu tatra tattva-trayam viduH
   2.55cd: varṇatrayaṃ mantram ekaṃ padam ekaṃ ca lakṣayet	2.55cd: varNa-trayam mantram ekam padam ekam ca lakzayet-
   2.56ab: aṣṭādaśa vijānīyād bhuvanāni samāsataḥ	2.56ab: azwAdaSa vijAnIyAt BuvanAni samAsatas-
   2.56cd: śivatattvaṃ paraṃ śāntaṃ kalā tatrāvakāśadā	2.56cd: Siva-tattvam param SAntam kalA tatra-avakASa-dA
   2.57ab: svaraṣoḍaśakaṃ mantraṃ padaṃ caikaṃ vilakṣayet	2.57ab: svara-zoxaSakam mantram padam ca-ekam vilakzayet-
   2.57cd: ity evaṃ ṣaḍvidho 'py adhvā samāsāt parikīrtitaḥ	2.57cd: iti evam zaxviDaH api aDvA samAsAt parikIrtitaH
   2.58ab: śuddhāśuddhaṃ jagatsarvaṃ brahmāṇḍaprabhavaṃ yataḥ	2.58ab: SudDa-aSudDam jagat-sarvam brahmANxa-praBavam yatas-
   2.58cd: tasmāc chuddham imaiḥ śuddhair brahmāṇḍaiḥ sarvam iṣyate	2.58cd: tasmAt SudDam imEH SudDEH brahmANxEH sarvam izyate
   2.59ab: brahmā viṣṇuś ca rudraś ca īśvaraś ceti suvrate	2.59ab: brahmA vizNuH ca rudraH ca ISvaraH ca-iti suvrate
   2.59cd: pṛthag eteṣu boddhavyaṃ śāntaṃ paticatuṣṭayam	2.59cd: pRTak etezu bodDavyam SAntam pati-catuzwayam
   2.60ab: yo hi yasmād guṇotkṛṣṭaḥ sa tasmād ūrdhva ucyate	2.60ab: yaH hi yasmAt guNa-utkRzwaH sa tasmAt UrDvaH ucyate
   2.60cd: etat te kathitaṃ sarvaṃ kim anyat paripṛcchasi	2.60cd: etat te kaTitam sarvam kim anyat paripRcCasi
   iti śrīmālinīvijayottare tantre vyāptyadhikāro dvitīyaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre vyApti-aDikAraH dvitIyaH samAptaH
   mantroddhārādhikāras tṛtīyaḥ	mantra-udDAra-aDikAraH tRtIyaH
   3.1ab: evam uktā mahādevī jagadānandakāriṇā	3.1ab: evam uktA mahAdevI jagat-Ananda-kAriNA
   3.1cd: praṇipatya punar vākyam idam āha jagatpatim	3.1cd: praNipatya punar vAkyam idam Aha jagatpatim
   3.2ab: evam etan mahādeva nānyathā samudāhṛtam	3.2ab: evam etat mahAdeva na-anyaTA samudAhRtam
   3.2cd: yathākhyātaṃ tathā jñātam āditaḥ samanukramāt	3.2cd: yaTA-AKyAtam taTA jQAtam Aditas samanukramAt-
   3.3ab: śivādivasturūpāṇāṃ vācakān parameśvara	3.3ab: Siva-Adi-vastu-rUpANAm vAcakAn parameSvara
   3.3cd: sāṃprataṃ śrotum icchāmi prasādād vaktum arhasi	3.3cd: sAMpratam Srotum icCAmi prasAdAt vaktum arhasi
   3.4ab: ity uktaḥ sa maheśānyā jagadārtiharo haraḥ	3.4ab: iti uktaH sa maheSAnyAH jagat-Arti-haraH haraH
   3.4cd: vācakān avadan mantrān pāramparyakramāgatān	3.4cd: vAcakAn avadat mantrAn pAramparya-krama-AgatAn
   3.5ab: yā sā śaktir jagaddhātuḥ kathitā samavāyinī	3.5ab: yA sA SaktiH jagadDAtuH kaTitA samavAyinI
   3.5cd: icchātvaṃ tasya sā devi sisṛkṣoḥ pratipadyate	3.5cd: icCA-tvam tasya sA devi sisRkzoH pratipadyate
   3.6ab: saikāpi saty anekatvaṃ yathā gacchati tac chṛṇu	3.6ab: sA-ekA-api sati aneka-tvam yaTA gacCati tat SRNu
   3.6cd: evam etad iti jñeyaṃ nānyatheti suniścitam	3.6cd: evam etat iti jQeyam na-anyaTA-iti su-niScitam
   3.7ab: jñāpayantī jagaty atra jñānaśaktir nigadyate	3.7ab: jQApayantI jagati atra jQAnaSaktiH nigadyate
   3.7cd: evaṃbhūtam idaṃ vastu bhavatv iti yadā punaḥ	3.7cd: evaMBUtam idam vastu Bavatu iti yadA punar-
   3.8ab: jātā tadaiva tat tadvat kurvaty atra kriyocyate	3.8ab: jAtA tadA-eva tat tadvat kurvati atra kriyA-ucyate
   3.8cd: evam eṣā dvirūpāpi punar bhedair anantatām	3.8cd: evam ezA dvi-rUpA-api punar BedEH ananta-tAm
   3.9ab: arthopādhivaśād yāti cintāmaṇir iveśvarī	3.9ab: arTa-upADi-vaSAt yAti cintAmaNiH iva-ISvarI
   3.9cd: tatra tāvat samāpannā mātṛbhāvaṃ vibhidyate	3.9cd: tatra tAvat samApannA mAtR-BAvam viBidyate
   3.10ab: dvidhā ca navadhā caiva pañcāśaddhā ca mālinī	3.10ab: dviDA ca navaDA ca-eva paQcASadDA ca mAlinI
   3.10cd: bījayonyātmakād bhedād dvidhā bījaṃ svarā matāḥ	3.10cd: bIja-yoni-AtmakAt BedAt dviDA bIjam svarAH matAH
   3.11ab: kādibhiś ca smṛtā yonir navadhā vargabhedataḥ	3.11ab: ka-AdiBiH ca smRtAH yoniH navaDA varga-BedataH
   3.11cd: pṛthag varṇavibhedena śatārdhakiraṇojjvalā	3.11cd: pRTak varNa-viBedena Sata-arDa-kiraNa-ujjvalA
   3.12ab: bījam atra śivaḥ śaktir yonir ity abhidhīyate	3.12ab: bIjam atra SivaH SaktiH yoniH iti aBiDIyate
   3.12cd: vācakatvena sarvāpi śaṃbhoḥ śaktiś ca śasyate	3.12cd: vAcaka-tvena sarvA-api SaMBoH SaktiH ca Sasyate
   3.13ab: vargāṣṭakam iha jñeyam aghorādyam anukramāt	3.13ab: varga-azwakam iha jQeyam aGora-Adyam anukramAt-
   3.13cd: tad eva śaktibhedena māheśvaryādi cāṣṭakam	3.13cd: tat eva Sakti-Bedena mAheSvarI-Adi ca-azwakam
   3.14ab: māheśī brāhmaṇī caiva kaumārī vaiṣṇavī tathā	3.14ab: mAheSI brAhmaNI ca-eva kOmArI vEzNavI taTA
   3.14cd: aindrī yāmyā ca cāmuṇḍā yogīśī ceti tā matāḥ	3.14cd: EndrI yAmyA ca cAmuNxA yogi-ISI ca-iti tAH matAH
   3.15ab: śatārdhabhedabhinnānāṃ tatsaṃkhyānāṃ varānane	3.15ab: Sata-arDa-Beda-BinnAnAm tad-saMKyAnAm varAnane
   3.15cd: rudrāṇāṃ vācakatvena kalpitāḥ parameṣṭhinā	3.15cd: rudrANAm vAcaka-tvena kalpitAH paramezWinA
   3.16ab: tadvad eva ca śaktīnāṃ tatsaṃkhyānām anukramāt	3.16ab: tadvat eva ca SaktInAm tad-saMKyAnAm anukramAt-
   3.16cd: sarvaṃ ca kathayiṣyāmi tāsāṃ bhedaṃ yathā śṛṇu	3.16cd: sarvam ca kaTayizyAmi tAsAm Bedam yaTA SRNu
   3.17ab: amṛto 'mṛtapūrṇaś ca amṛtābho 'mṛtadravaḥ	3.17ab: amRtaH amRta-pUrNaH ca amRta-ABaH amRta-dravaH
   3.17cd: amṛtaugho 'mṛtormiś ca amṛtasyandano 'paraḥ	3.17cd: amRta-oGaH amRta-UrmiH ca amRta-syandanaH aparaH
   3.18ab: amṛtāṅgo 'mṛtavapur amṛtodgāra eva ca	3.18ab: amRta-aFgaH amRta-vapuH amRta-udgAraH eva ca
   3.18cd: amṛtāsyo 'mṛtatanus tathā cāmṛtasecanaḥ	3.18cd: amRta-AsyaH amRta-tanuH taTA ca-amRta-secanaH
   3.19ab: tanmūrtir amṛteśaś ca sarvāmṛtadharo 'paraḥ	3.19ab: tad-mUrtiH amRta-ISaH ca sarva-amRta-DaraH aparaH
   3.19cd: ṣoḍaśaite samākhyātā rudrabījasamudbhavāḥ	3.19cd: zoxaSa-ete samAKyAtAH rudra-bIja-samudBavAH
   3.20ab: jayaś ca vijayaś caiva jayantaś cāparājitaḥ	3.20ab: jayaH ca vijayaH ca-eva jayantaH ca-aparAjitaH
   3.20cd: sujayo jayarudraś ca jayakīrtir jayāvahaḥ	3.20cd: sujayaH jayarudraH ca jaya-kIrtiH jaya-AvahaH
   3.21ab: jayamūrtir jayotsāho jayado jayavardhanaḥ	3.21ab: jaya-mUrtiH jaya-utsAhaH jaya-daH jaya-varDanaH
   3.21cd: balaś cātibalaś caiva balabhadro balapradaḥ	3.21cd: balaH ca-atibalaH ca-eva balaBadraH bala-pradaH
   3.22ab: balāvahaś ca balavān baladātā baleśvaraḥ	3.22ab: balAvahaH ca balavAn baladAtA baleSvaraH
   3.22cd: nandanaḥ sarvatobhadro bhadramūrtiḥ śivapradaḥ	3.22cd: nandanaH sarvatoBadraH Badra-mUrtiH Siva-pradaH
   3.23ab: sumanāḥ spṛhaṇo durgo bhadrakālo manonugaḥ	3.23ab: sumanAH spRhaNaH durgaH BadrakAlaH manonugaH
   3.23cd: kauśikaḥ kālaviśveśau suśivaḥ kopavardhanaḥ	3.23cd: kOSikaH kAla-viSveSO suSivaH kopa-varDanaH
   3.24ab: ete yonisamudbhūtāś catustriṃśat prakīrtitāḥ	3.24ab: ete yoni-samudBUtAH catustriMSat prakIrtitAH
   3.24cd: strīpāṭhavaśam āpannā eta evātra śaktayaḥ	3.24cd: strI-pAWa-vaSam ApannAH ete eva-atra SaktayaH
   3.25ab: bījayonisamudbhūtā rudraśaktisamāśrayāḥ	3.25ab: bIja-yoni-samudBUtAH rudra-Sakti-samASrayAH
   3.25cd: vācakānām anantatvāt parisaṃkhyā na vidyate	3.25cd: vAcakAnAm ananta-tvAt parisaMKyA na vidyate
   3.26ab: sarvaśāstrārthagarbhiṇyā ity evaṃvidhayānayā	3.26ab: sarva-SAstra-arTa-garBiNyAH iti evaMviDayA-anayA
   3.26cd: aghoraṃ bodhayām āsa svecchayā parameśvaraḥ	3.26cd: aGoram boDayAm Asa sva-icCayA parameSvaraH
   3.27ab: sa tayā saṃprabuddhaḥ san yoniṃ vikṣobhya śaktibhiḥ	3.27ab: sa tayA saMprabudDaH san yonim vikzoBya SaktiBiH
   3.27cd: tatsamānaśrutīn varṇāṃs tatsaṃkhyān asṛjat prabhuḥ	3.27cd: tad-samAna-SrutIn varNAn tad-saMKyAn asRjat praBuH
   3.28ab: te tair āliṅgitāḥ santaḥ sarvakāmaphalapradāḥ	3.28ab: te tEH AliFgitAH santaH sarva-kAma-Pala-pradAH
   3.28cd: bhavanti sādhakendrāṇāṃ nānyathā vīravandite	3.28cd: Bavanti sADaka-indrANAm na-anyaTA vIra-vandite
   3.29ab: tair idaṃ saṃtataṃ viśvaṃ sadevāsuramānuṣam	3.29ab: tEH idam saMtatam viSvam sa-deva-asura-mAnuzam
   3.29cd: tebhyaḥ śāstrāṇi vedāś ca saṃbhavanti punaḥ punaḥ	3.29cd: teByaH SAstrANi vedAH ca saMBavanti punar punar-
   3.30ab: anantasyāpi bhedasya śivaśakter mahātmanaḥ	3.30ab: anantasya-api Bedasya Siva-SakteH mahAtmanaH
   3.30cd: kāryabhedān mahādevi traividhyaṃ samudāhṛtam	3.30cd: kArya-BedAt mahAdevi trEviDyam samudAhRtam
   3.31ab: viṣayeṣv eva saṃlīnān adho 'dhaḥ pātayanty aṇūn	3.31ab: vizayezu eva saMlInAn aDas aDas pAtayanti aNUn
   3.31cd: rudrāṇūnyāḥ samāliṅgya ghorataryo 'parāḥ smṛtāḥ	3.31cd: rudra-aNUn-yAH samAliFgya GorataryaH aparAH smRtAH
   3.32ab: miśrakarmaphalāsaktiṃ pūrvavaj janayanti yāḥ	3.32ab: miSra-karma-Pala-Asaktim pUrvavat janayanti yAH
   3.32cd: muktimārganirodhinyās tāḥ syur ghorāḥ parāparāḥ	3.32cd: mukti-mArga-niroDinyAH tAH syuH GorAH para-aparAH
   3.33ab: pūrvavaj jantujātasya śivadhāmaphalapradāḥ	3.33ab: pUrvavat jantu-jAtasya Siva-DAma-Pala-pradAH
   3.33cd: parāḥ prakathitās tajjñair aghorāḥ śivaśaktayaḥ	3.33cd: parAH prakaTitAH tad-jQEH aGorAH Siva-SaktayaH
   3.34ab: etāḥ sarvāṇusaṃghātam api niṣṭhā yathā sthitāḥ	3.34ab: etAH sarva-aNu-saMGAtam api nizWAH yaTA sTitAH
   3.34cd: tathā te kathitāḥ śaṃbhoḥ śaktir ekaiva śāṅkarī	3.34cd: taTA te kaTitAH SaMBoH SaktiH ekA-eva SAFkarI
   3.35ab: asyā vācakabhedena bhedo 'nyaḥ saṃpracakṣyate	3.35ab: asyAH vAcaka-Bedena BedaH anyaH saMpracakzyate
   3.35cd: yatheṣṭaphalasaṃsiddhyai mantratantrānuvartinām	3.35cd: yaTezwa-Pala-saMsidDyE mantra-tantra-anuvartinAm
   3.36ab: viśeṣavidhihīneṣu nyāsakarmasu mantravit	3.36ab: viSeza-viDi-hInezu nyAsa-karmasu mantra-vid-
   3.36cd: nyasec chāktaśarīrārthaṃ bhinnayoniṃ tu mālinīm	3.36cd: nyaset SAkta-SarIra-arTam Binna-yonim tu mAlinIm
   3.37ab: na śikhā ṛ.Rḷṭ ca śiromālā tha mastakam	3.37ab: na SiKA R.R?z ca SiraH-mAlA Ta mastakam
   3.37cd: netrāṇi cadha vai nāsā ī samudre ṇuṇū śrutī	3.37cd: netrANi caDa vE nAsA I samudre NuNU SrutI
   3.38ab: bakavarga iā vaktradantajihvāsu vāci ca	3.38ab: baka-vargaH iA vaktra-danta-jihvAsu vAci ca
   3.38cd: vabhayāḥ kaṇṭhadakṣādiskandhayor bhujayor ḍaḍhau	3.38cd: vaBayAH kaNWa-dakza-Adi-skanDayoH BujayoH xaXO
   3.39ab: ṭho hastayor jhañau śākhā jraṭau śūlakapālake	3.39ab: WaH hastayoH JaQO SAKA jrawO SUla-kapAlake
   3.39cd: pa hṛc chalau stanau kṣīram ā sa jīvo visargayuk	3.39cd: pa hRd CalO stanO kzIram A sa jIvaH visarga-yuj-
   3.40ab: tatparaḥ kathitaḥ prāṇaḥ ṣakṣāv udaranābhigau	3.40ab: tad-paraH kaTitaH prANaH zakzO udara-nABi-gO
   3.40cd: maśaṃtāḥ kaṭiguhyoru yugmagā jānunī tathā	3.40cd: maSaMtAH kawi-guhya-uru yugma-gA jAnunI taTA
   3.41ab: eaikārau tathā jaṅghe tatparau caraṇau daphau	3.41ab: eEkArO taTA jaFGe tad-parO caraNO daPO
   3.41cd: ato vidyāś ca mantrāś ca samuddhāryā yathā śṛṇu	3.41cd: atas vidyAH ca mantrAH ca samudDAryAH yaTA SRNu
   3.42ab: sabindukāṃ dakṣajaṅghāṃ tato vācaṃ prakalpayet	3.42ab: sa-bindukAm dakzajaFGAm tatas vAcam prakalpayet-
   3.42cd: tayaiva jaṅghayā yuktaṃ caturthaṃ daśanaṃ tataḥ	3.42cd: tayA-eva jaFGayA yuktam caturTam daSanam tatas-
   3.43ab: dakṣajānuyutaṃ daṇḍaṃ prāṇaṃ daṇḍastham īryutam	3.43ab: dakza-ja-anu-yutam daNxam prANam daNxa-sTam Iryutam
   3.43cd: pṛthag ghṛddaṇḍakaṭigā dvijadaṇḍau ca pūrvavat	3.43cd: pRTak GRd-daNxa-kawi-gA dvija-daNxO ca pUrvavat-
   3.44ab: usthitaṃ binduyukprāṇaṃ pūrvavad daśanaṃ tataḥ	3.44ab: usTitam bindu-yuj-prANam pUrvavat daSanam tatas-
   3.44cd: daṇḍaṃ kevalam uddhṛtya vāmamudrānvitaṃ punaḥ	3.44cd: daNxam kevalam udDRtya vAma-mudrA-anvitam punar-
   3.45ab: dakṣajānuyutaṃ hṛc ca prāṇaṃ jīvātmanā yutam	3.45ab: dakza-ja-anu-yutam hRd ca prANam jIva-AtmanA yutam
   3.45cd: daśanaṃ purvavan nyasya daṇḍaṃ kevalam eva ca	3.45cd: daSanam purvavat nyasya daNxam kevalam eva ca
   3.46ab: nitambaṃ dakṣamudretaṃ dvitīyaṃ jihvayā dvijam	3.46ab: nitambam dakzam-udretam dvitIyam jihvayA dvijam
   3.46cd: sanāsaṃ dakṣaśikharaṃ nitambaṃ kevalaṃ tataḥ	3.46cd: sa-nAsam dakza-SiKaram nitambam kevalam tatas-
   3.47ab: punas tathaiva śikharaṃ jaṭharaṃ kevalaṃ tataḥ	3.47ab: punar taTA-eva SiKaram jaWaram kevalam tatas-
   3.47cd: dakṣajānuyutaṃ karṇaṃ kaṇṭhaṃ kevalam eva ca	3.47cd: dakza-jAnu-yutam karNam kaNWam kevalam eva ca
   3.48ab: nitambaṃ kevalaṃ nyasya hṛdayaṃ jihvayā yutam	3.48ab: nitambam kevalam nyasya hRdayam jihvayA yutam
   3.48cd: vaktraṃ kevalam uddhṛtya prāṇam ādyena jānunā	3.48cd: vaktram kevalam udDRtya prANam Adyena jAnunA
   3.49ab: śūladaṇḍacatuṣkaṃ ca tatrādyaṃ dvayam usthitam	3.49ab: SUla-daNxa-catuzkam ca tatra-Adyam dvayam usTitam
   3.49cd: vāmapādaṃ ca tasyānte kapālaṃ patitaṃ nyaset	3.49cd: vAma-pAdam ca tasya-ante kapAlam patitam nyaset-
   3.50ab: tataḥ paramaghorāntaṃ pādyakādye ca pūrvavat	3.50ab: tatas parama-Gora-antam pAdyaka-Adye ca pUrvavat-
   3.50cd: parāparā samākhyātā aparā ca prakathyate	3.50cd: parAparA samAKyAtA aparA ca prakaTyate
   3.51ab: aghorāntaṃ nyased ādau prāṇaṃ binduyutaṃ punaḥ	3.51ab: aGora-antam nyaset AdO prANam bindu-yutam punar-
   3.51cd: vāmamudrānvitaṃ nyasya pādyaṃ kādyena pūrvavat	3.51cd: vAma-mudrA-anvitam nyasya pAdyam kAdyena pUrvavat-
   3.52ab: apareyaṃ samākhyātā rudraśaktiṃ parāṃ śṛṇu	3.52ab: aparA-iyam samAKyAtAH rudra-Saktim parAm SRNu
   3.52cd: mantrāḥ saṃmukhatāṃ yānti yayoccāritamātrayā	3.52cd: mantrAH saMmuKa-tAm yAnti yayA-uccArita-mAtrayA
   3.53ab: kampate gātrayaṣṭiś ca drutaṃ cotpatanaṃ bhavet	3.53ab: kampate gAtra-yazwiH ca drutam ca-utpatanam Bavet-
   3.53cd: mudrābandhaṃ ca geyaṃ ca śivāruditam eva ca	3.53cd: mudrA-banDam ca geyam ca SivA-ruditam eva ca
   3.54ab: atītānagatārthasya kuryād vā kathanādikam	3.54ab: atItAna-gata-arTasya kuryAt vA kaTana-Adikam
   3.54cd: vāmajaṅghānvito jīvaḥ pāramparyakramāgataḥ	3.54cd: vAma-jaFGA-anvitaH jIvaH pAramparya-krama-AgataH
   3.55ab: pareyam anayā siddhiḥ sarvakāmaphalapradā	3.55ab: parA-iyam anayA sidDiH sarva-kAma-Pala-pradA
   3.55cd: nāśiṣyāya pradeyeyaṃ nābhaktāya kadā cana	3.55cd: na-aSizyAya pradeyA-iyam na-aBaktAya kadA cana
   3.56ab: rudraś ca rudraśaktiś ca guruś ceti trayaṃ samam	3.56ab: rudraH ca rudra-SaktiH ca guruH ca-iti trayam samam
   3.56cd: bhaktyā prapaśyate yas tu tasmai deyā varānane	3.56cd: BaktyA prapaSyate yaH tu tasmE deyA varAnane
   3.57ab: śiṣyenāpi tadā grāhyā yadā saṃtoṣito guruḥ	3.57ab: Sizyena-api tadA grAhyA yadA saMtozitaH guruH
   3.57cd: śarīradravyavijñānaśuddhikarmaguṇādibhiḥ	3.57cd: SarIra-dravya-vijQAna-SudDi-karma-guNa-AdiBiH
   3.58ab: bodhitā tu yadā tena guruṇā hṛṣṭacetasā	3.58ab: boDitA tu yadA tena guruNA hRzwa-cetasA
   3.58cd: tadā siddhipradā jñeyā nānyathā vīravandite	3.58cd: tadA sidDi-pradA jQeyAH na-anyaTA vIra-vandite
   3.59ab: parāparāṅgasaṃbhūtā yoginyo 'ṣṭau mahābalāḥ	3.59ab: para-apara-aFga-saMBUtAH yoginyaH azwO mahA-balAH
   3.59cd: pañca ṣaṭ pañca catvāri dvitridvyarṇāḥ krameṇa tu	3.59cd: paQca zaw paQca catvAri dvi-tri-dvyarNAH krameNa tu
   3.60ab: jñeyāḥ saptaikādaśārṇā ekārdhārṇadvayānvitā	3.60ab: jQeyAH sapta-ekAdaSa-arNA eka-arDa-arNa-dvaya-anvitA
   3.60cd: jīvo dīrghasvaraiḥ ṣaḍbhiḥ pṛthag jātivibheditaḥ	3.60cd: jIvaH dIrGa-svarEH zaxBiH pRTak jAti-viBeditaH
   3.61ab: vidyātrayasya gātrāṇi hrasvair vaktrāṇi pañcabhiḥ	3.61ab: vidyA-trayasya gAtrANi hrasvEH vaktrANi paQcaBiH
   3.61cd: oṃkāraiḥ pañcabhir mantro vidyāṅgahṛdayaṃ bhavet	3.61cd: oMkArEH paQcaBiH mantraH vidyA-aFga-hRdayam Bavet-
   3.62ab: oṃ amṛte tejomālini svāhā padāni bhūṣitam	3.62ab: om amRte tejaH-mAlini svAhA padAni BUzitam
   3.62cd: ekādaśākṣaraṃ proktam etad brahmaśiraḥ priye	3.62cd: ekAdaSa-akzaram proktam etat brahmaSiraH priye
   3.63ab: vedavedini hūṃphaṭ ca ca praṇavādisamanvitā	3.63ab: veda-vedini hUMPaw ca ca praNava-Adi-samanvitA
   3.63cd: rudrāṇy aṣṭākṣarā jñeyā śikhā vidyāgaṇasya tu	3.63cd: rudrANi azwa-akzarA jQeyA SiKA vidyA-gaNasya tu
   3.64ab: vajriṇe vajradharāya svāhāntaṃ praṇavādikam	3.64ab: vajriNe vajraDarAya svAhA-antam praNava-Adikam
   3.64cd: ekādaśākṣaraṃ varma puruṣṭutam iti smṛṭam	3.64cd: ekAdaSa-akzaram varma puruzwutam iti smRwam
   3.65ab: ślīpadaṃ paśuśabdaṃ ca hūṃphaḍantaṃ bhavādikam	3.65ab: SlIpadam paSu-Sabdam ca hUMPaw-antam Bava-Adikam
   3.65cd: etat pāśupataṃ proktam ardhasaptākṣaraṃ param	3.65cd: etat pASupatam proktam arDa-sapta-akzaram param
   3.66ab: laraṭakṣavayair dīrghaiḥ sūmāyuktaiḥ sabindukaiḥ	3.66ab: larawakza-vayEH dIrGEH sUma-ayuktEH sa-bindukEH
   3.66cd: indrādīn kalpayed dhrasvais tadastrāṇi vicakṣaṇaḥ	3.66cd: indra-AdIn kalpayet DrasvEH tad-astrANi vicakzaNaH
   3.67ab: tadvan nāsāpayobhyāṃ tu kalpyau viṣṇuprajāpatī	3.67ab: tadvat nAsA-payoByAm tu kalpyO vizNu-prajApatI
   3.67cd: svarāv ādyatṛtīyau tu vācakau padmacakrayoḥ	3.67cd: svarO Adya-tRtIyO tu vAcakO padma-cakrayoH
   3.68ab: iti mantragaṇaḥ proktaḥ sarvakāmaphalapradaḥ	3.68ab: iti mantra-gaNaH proktaH sarva-kAma-Pala-pradaH
   3.68cd: yogināṃ yogasiddhyarthaṃ kim anyat paripṛcchasi	3.68cd: yoginAm yoga-sidDi-arTam kim anyat paripRcCasi
   iti śrīmālinīvijayottare tantre mantroddhārādhikāras tṛtīyaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre mantra-udDAra-aDikAraH tRtIyaH samAptaH
   yogalakṣaṇadhikāraś caturthaḥ	yoga-lakzaNaDikAraH caturTaH
   4.1ab: athaitad upasaṃśrutya munayo muditekṣaṇāḥ	4.1ab: aTa-etat upasaMSrutya munayaH mudita-IkzaNAH
   4.1cd: praṇamya krauñcahantāraṃ punar ūcur idaṃ vacaḥ	4.1cd: praNamya krOQca-hantAram punar UcuH idam vacaH
   4.2ab: yogamārgavidhiṃ devyā pṛṣṭena parameṣṭhinā	4.2ab: yoga-mArga-viDim devyA pRzwena paramezWinA
