   || śrīḥ ||	|| SrIH ||
   raṇḍayā saha svecchālāpaś ca ṛtvijām | kalpasūtre 'nyad apy akṛtyaṃ bhūri	raNxayA saha svecCA-AlApaH ca RtvijAm | kalpasUtre anyat api akRtyam BUri
   kartavyatayopadiśyate | "brahmaṇe brāhmaṇam ālabheta kṣatrāya rājanyaṃ	kartavyatayA-upadiSyate | "brahmaNe brAhmaNam AlaBeta kzatrAya rAjanyam
   marudbhyo vaiśyaṃ tapase taskaraṃ nārakāya vīrahaṇam"[taittirīyabrāhmaṇa 3	marudByaH vESyam tapase taskaram nArakAya vIra-haNam"[tEttirIya-brAhmaNa 3
   |4 |11, āpastambaśrautasūtra 20 |24 |8] ityādiśravaṇāt |	|4 |11, Apastamba-SrOta-sUtraH 20 |24 |8] ityAdi-SravaNAt |
   kiñ ca ---	kiQ ca ---
   "yathā paṅkena paṅkāmbhaḥ surayā vā surākṛtam /	"yaTA paFkena paFka-amBaH surayA vA surA-kRtam /
   bhūtahatyāṃ tathaivemāṃ na yajñair mārṣṭum arhati" //	BUta-hatyAm taTA-eva-imAm na yajQEH mArzwum arhati" //
   [bhāgavatapurāṇa, 1 |8 |52]	[BAgavata-purANa, 1 |8 |52]
   "na hi hastāv asṛgdigdhau rudhireṇaiva śuddhyataḥ" /	"na hi hastO asRk-digDO ruDireNa-eva SudDi-ataH" /
   "tad yathāsmin loke manuṣyāḥ paśūn aśnanti tathābhibhuñjata evam amuṣmin	"tat yaTA-asmin loke manuzyAH paSUn aSnanti taTA-aBiBuQjate evam amuzmin
   loke paśavo manuṣyān aśnanti" [śāṅkhāyanabrāhmaṇa 11 |2] iti śrutiśravaṇāt	loke paSavaH manuzyAn aSnanti" [SAFKAyana-brAhmaNaH 11 |2] iti Sruti-SravaNAt-
   | anyac ca ---	| anyat ca ---
   "vṛkṣān chitvā paśūn hatvā kṛtvā rudhirakardamam /	"vRkzAn CitvA paSUn hatvA kRtvA ruDira-kardamam /
   yajñaiś ced gamyate svargo narakaḥ kena gamyate" //	yajQEH ced gamyate svargaH narakaH kena gamyate" //
   ity aviśuddhiyuktaḥ sarvathā śrauto duḥkhatrayapratīkārahetuḥ | atha	iti aviSudDi-yuktaH sarvaTA SrOtaH duHKa-traya-pratIkAra-hetuH | aTa
   "apāma somam amṛtā abhūma" iti prāg uktam | tatredaṃ pratyuttaram |	"apAma somam amRtAH aBUma" iti prAk uktam | tatra-idam pratyuttaram |
   somapāyinām api nṛganahuṣendrayayātīnāṃ bedhabandhaparikleśā bahuvidhāḥ |	soma-pAyinAm api nRga-nahuza-indrayayAtInAm beDa-banDa-parikleSAH bahuviDAH |
   karmaṇa upabhogād itareṣāṃ patanaṃ ca | ekāhādīnāṃ satrāṇāṃ	karmaNaH upaBogAt itarezAm patanam ca | ekAha-AdInAm satrANAm
   dinaparimāṇavatāṃ kāraṇānāṃ parimāṇavad eva svargādi kāryaṃ dṛṣṭam |	dina-parimANavatAm kAraNAnAm parimANa-vat eva svarga-Adi kAryam dRzwam |
   kāraṇānugamatvāt kāryasya | parimāṇavanmṛtpiṇḍāt parimāṇavān eva ghaṭaḥ	kAraNa-anugama-tvAt kAryasya | parimANa-vat-mRd-piNxAt parimANavAn eva GawaH
   syāt | evam ānuśravikāṇāṃ phalaparimāṇatvāt punaḥ kṣayaḥ | atiśayayuktaś	syAt | evam AnuSravikANAm Pala-parimANa-tvAt punar kzayaH | atiSaya-yukta-S
   ca | yathā āḍhyam avalokya daridrasya duḥkhaṃ syāt, surūpaṃ ca vīkṣya	ca | yaTA AXyam avalokya daridrasya duHKam syAt, surUpam ca vIkzya
   kurūpasya, prājñaṃ dṛṣṭvā mūrkhasya, tathā śatāpsarasaṃ svargiṇaṃ dṛṣṭvā	kurUpasya, prAjQam dRzwvA mUrKasya, taTA Sata-apsarasam svargiNam dRzwvA
   pañcāpsarasas taṃ dṛṣṭvaikāpsaraso duḥkham utpadyate | evam ayaṃ dṛṣṭavat	paQca-apsarasaH tam dRzwvA-eka-apsarasaH duHKam utpadyate | evam ayam dRzwa-vat-
   | tad evam anyonyātiśayāt svarge 'pi duḥkham avyāvṛttam | tasmāt |	| tat evam anyonya-atiSayAt svarge api duHKam avyAvRttam | tasmAt |
   tadviparītaḥ śreyān | tābhyāṃ dṛṣṭānuśravikābhyāṃ hetubhyāṃ viparīto	tad-viparItaH SreyAn | tAByAm dRzwa-AnuSravikAByAm hetuByAm viparItaH-
   visadṛśa aikāntika ātyantiko viśuddho 'kṣayo 'nantaphalaḥ kaivalyān	visadRSaH EkAntikaH AtyantikaH viSudDaH akzayaH ananta-PalaH kEvalyAn
   niratiśayo hetuḥ sa śreyān praśasyaḥ | kathaṃ punar asau bhavatīty āha ---	niratiSayaH hetuH sa SreyAn praSasyaH | kaTam punar asO Bavati-iti Aha ---
   vyaktāvyaktajñavijñānāt | vyaktaṃ cāvyaktaṃ ca jñaś ca teṣāṃ(p.6) trayāṇāṃ	vyakta-avyakta-jQa-vijQAnAt | vyaktam ca-avyaktam ca jQaH ca tezAn(p.6) trayANAm
   vijñānād anubhavāt | bhavati hy asau avaśyaṃ phaladānād aikāntikaḥ,	vijQAnAt anuBavAt | Bavati hi asO avaSyam Pala-dAnAt EkAntikaH,
   prakṛtijñānād ātyantikaḥ, yamaniyamādimattvāc chuddhaḥ, śarīrabhede punar	prakRti-jQAnAt AtyantikaH, yama-niyama-AdimattvAt SudDaH, SarIra-Bede punar-
   anāveśyatvād akṣayaphalaḥ | kaivalyād anuttaratvāc ca niratiśayaphalam iti	anAveSya-tvAt akzaya-PalaH | kEvalyAt anuttara-tvAt ca niratiSaya-Palam iti
   vākyaśeṣaḥ | tatra vyaktaṃ buddhyahaṅkārendriyatanmātrabhūtabhedāt	vAkya-SezaH | tatra vyaktam budDi-ahaFkAra-indriya-tanmAtra-BUta-BedAt-
   trayoviṃśatikam | avyaktaṃ pradhānam | vyaktotpattikāraṇam | na hy	trayoviMSatikam | avyaktam praDAnam | vyakta-utpatti-kAraNam | na hi-
   akāraṇaṃ kāryam ity asya siddhiḥ | jñaḥ puruṣaḥ | sannidhisattāmātreṇa	akAraNam kAryam iti asya sidDiH | jQaH puruzaH | sanniDi-sattA-mAtreNa
   cumbaka iva lohasya pravṛttikāraṇam | ataḥ pradhānasya jaḍasya	cumbakaH iva lohasya pravRtti-kAraNam | atas praDAnasya jaxasya
   pravṛttihetur ayam astīti siddhiḥ | etāni pañcaviṃśatitattvāni	pravRtti-hetuH ayam asti-iti sidDiH | etAni paQcaviMSati-tattvAni
   vyaktāvyaktajñasaṃjñāni | yadvijñānād avaśyaṃ sarvathā tāpatrayeṇa	vyakta-avyakta-jQa-saMjQAni | yad-vijQAnAt avaSyam sarvaTA tApa-trayeNa
   vimucyate // SkMv_2 //	vimucyate // SkMu-_2 //
   nanv amīṣāṃ katidhā pravibhāga ity atrocyate caturdhā | katham iti cet tad	nanu amIzAm katiDA praviBAgaH iti atra-ucyate caturDA | kaTam iti ced tat-
   ucyate ---	ucyate ---
   mūlaprakṛtir avikṛtir mahadādyāḥ prakṛtivikṛtayaḥ sapta /	mUlaprakRtiH avikRtiH mahat-AdyAH prakRti-vikRtayaH sapta /
   ṣoḍaśakas tu vikāro na prakṛtir na vikṛtiḥ puruṣaḥ // ISk_3 //	zoxaSakaH tu vikAraH na prakRtiH na vikRtiH puruzaH // ISc-_3 //
   mūlaprakṛtiḥ pradhānaṃ mūlabhūtatvāt | mūlaṃ saptānāṃ prakṛtivikṛtīnām	mUlaprakRtiH praDAnam mUla-BUta-tvAt | mUlam saptAnAm prakRti-vikRtInAm
   ādir ity arthaḥ | prakaraṇāt prakṛtiḥ | prasavadharmakatvāt sā prakṛtiḥ |	AdiH iti arTaH | prakaraNAt prakRtiH | prasava-Darmaka-tvAt sA prakRtiH |
   na vikṛtir avikṛtir anyasmād anutpatteḥ | kāraṇam eva sā na kāryam ity	na vikRtiH avikRtiH anyasmAt anutpatteH | kAraNam eva sA na kAryam iti-
   arthaḥ | anutpannatvād utpādakatvāc ca | mahadādyās tu sapta prakṛtayo	arTaH | anutpanna-tvAt utpAdaka-tvAt ca | mahat-AdyAH tu sapta prakRtayo
   vikṛtayaś ca | mahān ahaṅkāraḥ pañcatanmātrāṇi ceti sapta prakṛtayo	vikRtayaH ca | mahAn ahaFkAraH paQca-tanmAtrANi ca-iti sapta prakRtayo
   'nyeṣāṃ kāraṇatayā, vikṛtayaś ca kāryatayā svayam | tatra vyaktim āha ---	anyezAm kAraNa-tayA, vikRtayaH ca kArya-tayA svayam | tatra vyaktim Aha ---
   pradhānād buddhir iti vikṛtiḥ, sā ca ahaṅkāraṃ janayatīti prakṛtiḥ |	praDAnAt budDiH iti vikRtiH, sA ca ahaFkAram janayati-iti prakRtiH |
   ahaṅkāro mahata utpanna iti vikṛtiḥ, tanmātrāṇi janayatīti prakṛtiḥ |	ahaFkAraH mahataH utpannaH iti vikRtiH, tanmAtrANi janayati-iti prakRtiH |
   tanmātrāṇy ahaṅkārād utpannānīti vikṛtayaḥ pañcāpi, tataḥ pañcamahābhūtāni	tanmAtrANi ahaFkArAt utpannAni-iti vikRtayaH paQca-api, tatas paQca-mahABUtAni
   jāyanta iti prakṛtayaḥ | utpannatvād utpādakatvāc ca saptamāḥ prakṛtayo	jAyante iti prakRtayaH | utpanna-tvAt utpAdaka-tvAt ca saptamAH prakRtayo
   vikṛtayaś ca | tanmātrāṇi śabdasparśarūparasagandhākhyāni | ṣoḍaśakas tu	vikRtayaH ca | tanmAtrANi Sabda-sparSa-rUpa-rasa-ganDa-AKyAni | zoxaSakaH tu
   punar vikāra eva kāryatvāt | na tu tasya prakṛtitvam akāraṇatvāt |	punar vikAraH eva kAryatvAt | na tu tasya prakRti-tvam akAraNa-tvAt |
   tadvyaktim āha --- vaikṛtikād ahaṅkārād utpannāny ekādaśendriyāṇi	tad-vyaktim Aha -- vEkRtikAt ahaFkArAt utpannAni ekAdaSa-indriyANi
   tanmātrebhyaḥ pañcamahābhūtānīti ṣoḍaśako 'yaṃ gaṇo vikāro 'nyasmād	tanmAtreByaH paQca-mahABUtAni-iti zoxaSakaH ayam gaNaH vikAraH anyasmAt-
   utpanno na hi tato 'nyad utpadyata ity arthaḥ | utpannatvād anutpādakatvāc	utpannaH na hi tatas anyat utpadyate iti arTaH | utpanna-tvAt anutpAdaka-tvAt-
   ca | puruṣas tu punar na prakṛtir anutpādakatvāt na ca vikṛtir	ca | puruzaH tu punar na prakRtiH anutpAdaka-tvAt na ca vikRtiH-
   anutpannatvāt | naivāsau kāraṇaṃ na ca kāryam ity arthaḥ | evam eṣa	anutpanna-tvAt | na-eva-asO kAraNam na ca kAryam iti arTaH | evam eza
   prakṛtiḥ, prakṛtivikṛtiḥ, vikṛtiḥ, na prakṛtir na ca vikṛtir itibhedāc	prakRtiH, prakRti-vikRtiH, vikRtiH, na prakRtiH na ca vikRtiH iti-BedAt-
   caturdhā prakṛtivikṛtivibhāgo 'bhihitaḥ // SkMv_3 //	caturDA prakRti-vikRti-viBAgaH aBihitaH // SkMu-_3 //
   (p.7)	(p.7)
   eṣāṃ vyaktāvyaktajñānāṃ prameyāṇāṃ sādhanāya pramāṇāny āha |	ezAm vyakta-avyakta-jQAnAm prameyANAm sADanAya pramANAni Aha |
   pramāṇaprameyapramātṛpramitikrameṇa hi sakalasya siddhir dṛṣṭā |	pramANa-prameya-pramAtR-pramiti-krameNa hi sakalasya sidDiH dRzwAH |
   dṛṣṭam anumānam āptavacanaṃ ca sarvapramāṇasiddhatvāt /	dRzwam anumAnam Apta-vacanam ca sarva-pramANa-sidDa-tvAt /
   trividhaṃ pramāṇam iṣṭaṃ prameyasiddhiḥ pramāṇād dhi // ISk_4 //	triviDam pramANam izwam prameya-sidDiH pramANAt Di // ISc-_4 //
   dṛṣṭam iti pratyakṣaparyāyaḥ | akṣam indriyaṃ pratītya yad utpadyate	dRzwam iti pratyakza-paryAyaH | akzam indriyam pratItya yat utpadyate
   jñānaṃ tat pratyakṣaṃ dṛṣṭam ucyate | yathā śrotrādīnāṃ śabdādayaḥ	jQAnam tat pratyakzam dRzwam ucyate | yaTA Srotra-AdInAm Sabda-AdayaH
   pañcendriyārthāḥ pañcānāṃ dṛṣṭaṃ pramāṇam | prathamam idaṃ mukhyaṃ	paQca-indriya-arTAH paQcAnAm dRzwam pramANam | praTamam idam muKyam
   sakalapramāṇānām | yo 'rtho 'munā dṛṣṭena sādhayituṃ na pāryate	sakala-pramANAnAm | yaH arTaH amunA dRzwena sADayitum na pAryate
   tatrānumānasyāvakāśaḥ | tac ca trisādhanaṃ pañcasādhanaṃ vā | tryavayavaṃ	tatra-anumAnasya-avakASaH | tat ca tri-sADanam paQca-sADanam vA | tri-avayavam
   pañcāvayavam ity apare | tac ca trayastriṃśadābhāsarahitaṃ pratyakṣābhāve	paQca-avayavam iti apare | tat ca trayastriMSat-ABAsa-rahitam pratyakza-aBAve
   pratanyate 'numānam | kam api hetum anvīkṣya tasya hetoḥ paścān mīyata ity	pratanyate anumAnam | kam api hetum anvIkzya tasya hetoH paScAt mIyate iti-
   anumānam | yathā dhūmaṃ hetum anvīkṣya mahānasa iva pūrvaṃ vahnidarśanād	anumAnam | yaTA DUmam hetum anvIkzya mahAnasaH iva pUrvam vahni-darSanAt-
   agner astitvaṃ sādhyata ity anumānam | pratyakṣānumānābhyāṃ yo 'rthaḥ	agneH astitvam sADyate iti anumAnam | pratyakza-anumAnAByAm yaH arTaH
   sādhayituṃ na śakyas tatrāptavacanam | yathā svarge 'psarasaḥ santi,	sADayitum na SakyaH tatra-Apta-vacanam | yaTA svarge apsarasaH santi,
   nandanaṃ vanaṃ, tatra viśeṣāḥ śabdādayo viṣayāḥ, vimāne 'dhivāsa iti |	nandanam vanaM, tatra viSezAH Sabda-AdayaH vizayAH, vimAne aDivAsaH iti |
   āptā rāgadveṣādirahitā brahmasanatkumārādayaḥ, śrutir vedaḥ, tābhyāṃ	AptA rAga-dveza-Adi-rahitAH brahma-sanatkumAra-AdayaH, SrutiH vedaH, tAByAm
   upadiṣṭaṃ tathetiśraddheyam āptavacanam |	upadizwam taTA-iti-SradDeyam Apta-vacanam |
   nanv arthāpattiḥ sambhavo 'bhāvaḥ pratibhā aitihyam upamānaṃ	nanu arTApattiH samBavaH aBAvaH pratiBA Etihyam upamAnam
   cetiprabhṛtīni santi bahūni pramāṇāntarāṇi katham atra trividhaṃ pramāṇam	ca-iti-praBRtIni santi bahUni pramANa-antarANi kaTam atra triviDam pramANam
   iti saṅgatiḥ | atrocyate --- sarvapramāṇasiddhatvāt | sarvāṇi hi pramāṇāni	iti saFgatiH | atra-ucyate -- sarva-pramANa-sidDa-tvAt | sarvANi hi pramANAni
   pramāṇatraye 'viruddhāni | tatra pīno devadatto divā na bhuṅkta ity ukte	pramANa-traye avirudDAni | tatra pInaH devadattaH divA na BuFkte iti ukte
   rātrau bhuṅkta ity arthaḥ | sārthāpattir anumānam eva | prastha ity ukte	rAtrO BuFkte iti arTaH | sArTa-ApattiH anumAnam eva | prasTaH iti ukte
   catvāraḥ kuḍavā iti bodhaḥ sambhavaḥ | so 'py anumānam eva | abhāvaś ca	catvAraH kuxavAH iti boDaH samBavaH | saH api anumAnam eva | aBAvaH ca
   prāgitaretarapradhvaṃsātyantābhāvabhedāc caturdhā | yathā	prAk-itaretara-praDvaMsa-atyanta-aBAva-BedAt caturDA | yaTA
   vrīhiśoṣaṇadarśanān na vṛṣṭo deva iti vṛṣṭer abhāvaṃ sādhayati | so 'py	vrIhi-SozaNa-darSanAt na vRzwaH devaH iti vRzweH aBAvam sADayati | saH api-
   anumānabhedaḥ | pratibhā yathā ---	anumAna-BedaH | pratiBA yaTA ---
   dakṣiṇena tu vindhyasya sahyasya tu yad uttaram /	dakziNena tu vinDyasya sahyasya tu yat uttaram /
   pṛthivyām ā samudrāyāṃ sa pradeśo manoramaḥ //	pRTivyAm A samudrAyAm sa pradeSaH manoramaH //
   ity ukte tatra śobhanā guṇāḥ santīti pratibhotpadyate | pratibhā jānatāṃ	iti ukte tatra SoBanAH guNAH santi-iti pratiBA-utpadyate | pratiBA jAnatAm
   jñānam | sāpy anumānam eva | aitihyaṃ yathā --- asmin vaṭe yakṣiṇī	jQAnam | sA-api anumAnam eva | Etihyam yaTA -- asmin vawe yakziNI
   prativasati iti janā vadanti ity ukte, sā vighnaṃ karoti, dhanādi	prativasati iti janAH vadanti iti ukte, sA viGnam karoti, Dana-Adi
   yacchatīti jñānaṃ, tad apy anumānam eva | upamānam --- yathā gaus tathā	yacCati-iti jQAnaM, tat api anumAnam eva | upamAnam -- yaTA gOH taTA
   gavaya ity(p.8) apy anumānam eva | kiṃ ca tṛṣitasyāñjalinā, kṣudhitasya	gavayaH iti-(p.8) api anumAnam eva | kim ca tRzitasya-aQjalinA, kzuDitasya
   pañcāṅguliyāgāt, pṛthulākṣiprabhṛtidarśanāt durbalasya,	paQca-aFguli-yAga-at, pRTula-akzi-praBRti-darSanAt durbalasya,
   tarjanīpaṅkadarśanāt? jñānam ityādyanumānam eva | tasmāt triṣv evānyad	tarjanI-paFka-darSanAt? jQAnam ityAdi-anumAnam eva | tasmAt trizu eva-anyat-
   antarbhavatīti yuktam abhihitaṃ trividhaṃ pramāṇam | iṣṭam iti abhipretam	antarBavati-iti yuktam aBihitam triviDam pramANam | izwam iti aBipretam
   ity arthaḥ | tena pramāṇena kiṃ sādhyam ity āha --- prameyasiddhiḥ	iti arTaH | tena pramANena kim sADyam iti Aha -- prameya-sidDiH
   pramāṇād dhi | yasmāt prameyaṃ sakalaṃ pramāṇena pramīyate yathā tulayā	pramANAt Di | yasmAt prameyam sakalam pramANena pramIyate yaTA tulayA
   candanādi, karṣādinā ghṛtādi, prasthādinā vā vrīhyādītyādivat |	candana-Adi, karza-AdinA GRta-Adi, prasTa-AdinA vA vrIhi-Adi-ityAdi-vat |
   pratyakṣānumānāgamāḥ pramāṇāni | prameyā vyaktāvyaktajñāḥ | pramātā ātmā |	pratyakza-anumAna-AgamAH pramANAni | prameyAH vyakta-avyakta-jQAH | pramAtA AtmA |
   tatra trayoviṃśatikaṃ vyaktam | avyaktaṃ pradhānam | jñaḥ kṣetrajñaḥ | tad	tatra trayoviMSatikam vyaktam | avyaktam praDAnam | jQaH kzetrajQaH | tat-
   amīṣāṃ madhye kiñcit pratyakṣeṇānyad anumānenetarad āptānumānābhyāṃ	amIzAm maDye kiQcid pratyakzeNa-anyat anumAnena-itarat Apta-anumAnAByAm
   pramīyate | tasmād ācāryeṇa bhagavatā yuktam abhihitam --- "prameyasiddhiḥ	pramIyate | tasmAt AcAryeNa BagavatA yuktam aBihitam -- "prameya-sidDiH
   pramāṇād dhi" iti // SkMv_4 //	pramANAt Di" iti // SkMu-_4 //
   tatra trividhasya pramāṇasya pṛthak lakṣaṇam upanyasyate |	tatra triviDasya pramANasya pRTak lakzaNam upanyasyate |
   prativiṣayādhyavasāyo dṛṣṭaṃ trividham anumānam ākhyātam /	prativizaya-aDyavasAyaH dRzwam triviDam anumAnam AKyAtam /
   tal liṅgaliṅgipūrvakam āptaśrutir āptavacanaṃ tu // ISk_5 //	tat liFga-liFgi-pUrvakam Apta-SrutiH Apta-vacanam tu // ISc-_5 //
   viṣayaṃ viṣayaṃ prati yo 'dhyavasāyo netrādīnām indriyāṇāṃ pañcānāṃ	vizayam vizayam prati yaH aDyavasAyaH netra-AdInAm indriyANAm paQcAnAm
   rūpādiṣu pañcasu, tat pratyakṣaṃ pratipattirūpaṃ dṛṣṭākhyam | anumānaṃ	rUpa-Adizu paQcasu, tat pratyakzam pratipatti-rUpam dRzwa-AKyam | anumAnam
   trividham | trisādhanaṃ tryavayavaṃ pañcāvayavam ity apare | tad ākhyātaṃ	triviDam | tri-sADanam tri-avayavam paQca-avayavam iti apare | tat AKyAtam
   kathitam | pakṣahetudṛṣṭāntā iti tryavayavam | pakṣaḥ pratijñāpadam |	kaTitam | pakza-hetu-dRzwAntAH iti tri-avayavam | pakzaH pratijQApadam |
   yathā --- vahnimān ayaṃ pradeśaḥ | sādhyavastūpanyāsaḥ pakṣaḥ | itare	yaTA -- vahnimAn ayam pradeSaH | sADya-vastu-upanyAsaH pakzaH | itare
   pakṣābhāsāḥ pratyakṣaviruddhādayo nava | trirūpo hetuḥ | trairūpyaṃ punaḥ	pakza-ABAsAH pratyakza-virudDa-AdayaH nava | trirUpaH hetuH | trErUpyam punar-
   pakṣadharmatvaṃ sapakṣe sattvaṃ vipakṣe cāsattvam iti | atrodāharaṇaṃ	pakza-Darma-tvam sa-pakze sattvam vipakze ca-asattvam iti | atra-udAharaNam
   yathā --- dhūmavattvād iti | anye hetvābhāsāḥ caturdaśa |	yaTA -- DUmavat-tvAt iti | anye hetvABAsAH caturdaSa |
   asiddhānaikāntikaviruddhādayaḥ | sādharmyavaidharmyābhyāṃ dvividhaṃ	asidDa-anEkAntika-virudDa-AdayaH | sADarmya-vEDarmyAByAm dviviDam
   nidarśanam | yathā mahānasam | itare nidarśanābhāsā daśa | evaṃ	nidarSanam | yaTA mahAnasam | itare nidarSana-ABAsAH daSa | evam
   trayastriṃśadābhāsarahitaṃ tryavayavam anumānam | pañcāvayavam ity apare |	trayastriMSat-ABAsa-rahitam tri-avayavam anumAnam | paQca-avayavam iti apare |
   tad āha --- avayavāḥ punaḥ pratijñāpadeśanidarśanānusandhānapratyāmnāyāḥ |	tat Aha -- avayavAH punar pratijQA-apadeSa-nidarSana-anusanDAna-pratyAmnAyAH |
   evaṃ pañcāvayavena vākyena svaniścitārthapratipādanaṃ parārthapratipādanaṃ	evam paQca-avayavena vAkyena sva-niScita-arTa-pratipAdanam para-arTa-pratipAdanam
   parārtham anumānam | tac ca trividham | pūrvavaccheṣavat sāmānyatodṛṣṭaṃ	para-arTam anumAnam | tat ca triviDam | pUrvavat-Sezavat sAmAnyatodRzwam
   ca | tatra viśiṣṭameghonnatidarśanāt bhavitrīṃ vṛṣṭiṃ sambhāvayati |	ca | tatra viSizwa-meGa-unnati-darSanAt BavitrIm vRzwim samBAvayati |
   pūrvam iyaṃ dṛṣṭeti pūrvavat | nadīpūradarśanād upari vṛṣṭo deva iti vā	pUrvam iyam dRzwA-iti pUrvavat | nadI-pUra-darSanAt upari vRzwaH devaH iti vA
   pratītiḥ | śeṣavad yathā --- samudrodakabinduṃ prāśya, śeṣasya lavaṇabhāvo	pratItiH | Sezavat yaTA -- samudra-udaka-bindum prASya, Sezasya lavaNa-BAvaH-
   'numīyate iti śeṣavat |(p.9) sāmānyatodṛṣṭam --- puṣpitāmradarśanāt |	anumIyate iti Sezavat |(p.9) sAmAnyatodRzwam -- puzpita-Amra-darSanAt |
   anyatra puṣpitā āmrā iti | punar yathā --- bahir udyota iti kenāpy uktaṃ,	anyatra puzpitAH AmrAH iti | punar yaTA -- bahis udyotaH iti kena-api uktaM,
   tatrāpareṇāpy uktam | candra udito bhaviṣyatīty arthasaṅgatiḥ | tal	tatra-apareNa-api uktam | candraH uditaH Bavizyati-iti arTa-saFgatiH | tal
   liṅgaliṅgipūrvakam iti | liṅgena tridaṇḍādidarśanenādṛṣṭo 'pi liṅgī	liFga-liFgi-pUrvakam iti | liFgena tridaNxa-Adi-darSanena-adRzwaH api liFgI
   sādhyate nūnam asau parivrāḍ asti yasyedaṃ tridaṇḍam iti | āptaśrutir	sADyate nUnam asO parivrAj asti yasya-idam tridaNxam iti | Apta-SrutiH-
   āptavacanaṃ tu | tṛtīyaṃ pramāṇam | āptā brahmādaya ācāryāḥ, śrutir vedas	Apta-vacanam tu | tRtIyam pramANam | AptAH brahma-AdayaH AcAryAH, SrutiH vedas
   tad etad ubhayam āptavacanam | āptiḥ sākṣādarthaprāptir yathārthopalambhaḥ	tat etat uBayam Apta-vacanam | AptiH sAkzAt-arTa-prAptiH yaTArTa-upalamBaH
   tayā vartata ity āptaḥ sākṣātkṛtadharmā yathārthāptyā śrutārthagrāhī tad	tayA vartate iti AptaH sAkzAtkRta-DarmA yaTA-arTa-AptyA Sruta-arTa-grAhI tat-
   uktam āptavacanam | tatrāpi prasiddhilakṣaṇāguṇayogāt tisraḥ śabdavṛttayaḥ	uktam Apta-vacanam | tatra-api prasidDi-lakzaNa-aguNa-yogAt tisraH Sabda-vRttayaH
   | tatra lakṣaṇātraividhyam | jahallakṣaṇājahallakṣaṇā jahadajahallakṣaṇā	| tatra lakzaNa-atrEviDyam | jahat-lakzaNa-ajahat-lakzaNA jahat-ajahat-lakzaNA
   cetyādi pramāṇaśāstreṣu bahutaraḥ prapañca āste | tatra prakrāntam eva	ca-ityAdi pramANa-SAstrezu bahutaraH prapaQcaH Aste | tatra prakrAntam eva
   tāvad abhidhīyate bhagavataḥ kapilasya matam |	tAvat aBiDIyate BagavataH kapilasya matam |
   āgamo hy āptavacanam āptaṃ doṣakṣayād viduḥ /	AgamaH hi Apta-vacanam Aptam doza-kzayAt viduH /
   kṣīṇadoṣo 'nṛtaṃ vākyaṃ na brūyād dhetvasambhavāt //	kzINa-dozaH anRtam vAkyam na brUyAt Detu-asamBavAt //
   svakarmaṇy abhiyukto yo rāgadveṣavivarjitaḥ /	sva-karmaNi aBiyuktaH yaH rAga-dveza-vivarjitaH /
   pūjitas tadvidhair nityam āpto jñeyaḥ sa tādṛśaḥ //	pUjitaH tadviDEH nityam AptaH jQeyaH sa tAdRSaH //
   tad evam etat trividhaṃ pramāṇam // SkMv_5 //	tat evam etat triviDam pramANam // SkMu-_5 //
   tad evaṃ vyaktāvyaktajñākhyasya pratyakṣāditrividhapramāṇeṣu kena kasya	tat evam vyakta-avyakta-jQa-AKyasya pratyakza-Adi-triviDa-pramANezu kena kasya
   siddhiḥ syāt iti | atrocyate ---	sidDiH syAt iti | atra-ucyate ---
   sāmānyatas tu dṛṣṭād atīndriyāṇāṃ pratītir anumānāt /	sAmAnyatas tu dRzwAt atIndriyANAm pratItiH anumAnAt /
   tasmād api cāsiddhaṃ parokṣam āptāgamāt sādhyam // ISk_6 //	tasmAt api ca-asidDam parokzam Apta-AgamAt sADyam // ISc-_6 //
