   daśamaḥ paricchedaḥ	daSamaH paricCedaH
   chekaśchekānuprāsaḥ /	CekaH Ceka anuprAsaH /
   anekadheti svarūpataḥ kramataśca /	anekaDA iti svarUpataH kramataH ca /
   rasaḥ sara ityāde kramabhedena sādṛśyaṃ nāsyālaṅkārasya viṣayaḥ /	rasaH saraH ityAde krama Bedena sAdRSyam na asya alaFkArasya vizayaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) anekadheti /	(vi, wa) anekaDA iti /
        varṇānāmānupūrvyāśca sāmyamityanekadhātvam /	varNAnAm AnupUrvyAH ca sAmyam iti aneka DAtvam /
        īdṛśaikadhātvaṃ sāmyānuprāsasya viṣaya ityāha   sarorasa iti /	IdRSa ekaDAtvam sAmya anuprAsasya vizayaH iti Aha   sara urasaH iti /
        na caivaṃ varṇairānupūrvyācca sāmye 'nuprāsād yamakābhedaprasaktiriti	na ca evam varNEH AnupUrvyAt ca sAmye anuprAsAt yamaka aBeda prasaktiH iti
   vācyam; tatra svarasyāpi sāmyena etad bhedāt /	vAcyam; tatra svarasya api sAmyena etat BedAt /
        Locanā:	LocanA:
        (lo, ai) rasa rasa ityatra rasayoḥ svarūpata eva sāmyaṃ, na tu	(lo, E) rasa rasaH iti atra rasayoH svarUpataH eva sAmyaM, na tu
   kamataḥ /	kamatas /
        kauvarau vārītyādau varayoriva kamato 'pi /	kOvarO vAri ityAdO varayoH iva kamataH api /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   udāharaṇaṃ mama tātapādānām  	udAharaNam mama tAta pAdAnAm  
   "ādāya bakulagandhānandhīkurvan pade pade bhramarān /	"AdAya bakula ganDA ananDIkurvan pade pade BramarAn /
   ayameti mandamandaṃ kāverīvāripāvanaḥ pavanaḥ" //	ayam eti manda mandam kAverI vAri pAvanaH pavanaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) ādāyeti   bhramarāṇāmandhīkaraṇaṃ gandhalobhena	(vi, Wa) AdAya iti    BramarANAm anDIkaraNam ganDa loBena
   tadanusaraṇamātreṇa viṣayāntarādarśanam /	tad anusaraNa mAtreNa vizaya antara adarSanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra gandhanandhītisaṃyuktayoḥ, kāverīvārītyasaṃyuktayoḥ, pāvanaḥ pavana	atra ganDananDIti saMyuktayoH, kAverI vArI iti asaMyuktayoH, pAvanaH pavana
   iti vyañjanānāṃ bahūnāṃ sakṛdāvṛttiḥ /	iti vyaQjanAnAm bahUnAm sakRt AvRttiH /
   cheko vidagdhastatprayojyatvādeṣa chekānuprāsaḥ /	CekaH vidagDaH tad prayojya tvAt eza Ceka anuprAsaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) varṇadvayasyāpi saṃghapadārthatvenātra	(vi, xa) varNa dvayasya api saMGa padArTa tvena atra
   vivakṣaṇattyoranekavarṇānāṃ cātra sakṛttvaṃ darśayati   atreti /	vivakzaNattyoH aneka varNAnAm ca atra sakRt tvam darSayati    atra iti /
        tatprayojyatvādeveti /	tad prayojya tvAt eva iti /
        tathā ca chekapadaṃ tatprayojye nirūḍhalākṣaṇikam /	taTA ca Ceka padam tat prayojye nirUXa lAkzaNikam /
        evaṃ ca vṛttyanuprāsasyāpi vidagdhaprayojyatve 'pi tatra rūḍhyabhāvāt	evam ca vRtti anuprAsasya api vidagDa prayojya tve api tatra rUXyaBAvAt 
   na chekapadaprayogaḥ /	na Ceka pada prayogaH /
        Locanā:	LocanA:
        (lo, o) saṃyuktayornakāradhakārayoḥ /	(lo, o) saMyuktayoH nakAraDakArayoH /
        cheka ityādinā pūrvaprasiddhasya nāmnaḥ kathañcinniruktiḥ /	CekaH ityAdinA pUrva prasidDasya nAmnaH kaTaQcid niruktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anekasyaikadhā sāmyamasakṛdvāṣyanekadhā /	anekasya ekaDA sAmyam asakRt vAzi anekaDA /
   ekasya sakṛdaṣyeṇa vṛttyanuprāsa ucyate // VisSd_10.4 //	ekasya sakRt azyeNa vRtti anuprAsaH ucyate // VisSd _10.4 //
   Locanā:	LocanA:
   (lo, au) anekasyeti /	(lo, O) anekasya iti /
   anekasyārthād vyañjanasya ekadhā sāmyam ekaḥ /	anekasya arTAt vyaQjanasya ekaDA sAmyam ekaH /
   anekadhāpi vāsakṛt sāmyaṃ dvitīyaḥ, asakṛdityanena	anekaDA api vA asakRt sAmyam dvitIyaH, asakRt iti anena
   chekānuprāsavyavacchedaḥ /	Ceka anuprAsa vyavacCedaH /
   ekasya vyañjanasya sakṛdasakṛd vā sāmyamiti dvāviti caturddhā	ekasya vyaQjanasya sakRt asakRt vA sAmyam iti dvO= iti caturdDA
   vṛttyanuprāsaḥ /	vRtti anuprAsaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ekadhā svarūpata eva, na tu kramato 'pi /	ekaDA svarUpataH eva, na tu kramatas api /
   anekadhā svarūpataḥ kramataśca /	anekaDA svarUpataH kramataH ca /
   sakṛdapītyapi śabdādasakṛdapi /	sakRt api iti api SabdAt asakRt api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) vṛttyanuprāsamāha   anakasyekadheti /	(vi, Xa) vRtti anuprAsam Aha   anakasya ikaDA iti /
        tatraikadhā padārthaṃ vyācaṣṭe   svarūpata eveti /	tatra ekaDA padArTam vyAcazwe    svarUpataH eva iti /
        vyañjanavarṇasvarūpata ityarthaḥ /	vyaQjana varNa svarUpataH iti arTaH /
        asakṛd vāpyanekadhetyatrānekadhātvaṃ vyācaṣṭe   anekadheti /	asakRt vA api anekaDA iti atra aneka DAtvam vyAcazwe   anekaDA iti /
        aṃtra anekasyetyasyānvayaḥ, tathā cānekasyānekadhā sakṛttve chekaḥ /	aMtra anekasya iti asya anvayaH, taTA ca anekasya anekaDA sakRt tve CekaH /
        asakṛttve tu vṛttyanuprāsaḥ /	asakRt tve tu vRtti anuprAsaH /
        "ekasya sakṛdapi" ityatrāpikārasamucitaṃ	"ekasya sakRt api" iti atra apikAra samucitam
   darśayati   sakṛdapītyapiśabdāditi /	darSayati     sakRt api iti api SabdAt iti /
        ekasya sakṛttve anuprāsastu na kāvyaprakāśasammataḥ /	ekasya sakRt tve anuprAsaH tu na kAvya prakASa sammataH /
        jātacyutetyatra vaicitryānanubhavāt /	jAta cyutA iti atra vEcitryAn anuBavAt /
        svarasādṛśyasattve tu tasyāpi sammato yathā "dhūtacūtaprasūna"	svara sAdRSya sattve tu tasya api sammataH yaTA "DUta cUta prasUna"
   ityatra /	iti atra /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   udāharaṇam  	udAharaNam  
   "unmīlanmadhugandhalubdhamadhupavyādhūtacūtāṅkura 	"unmIlat maDu ganDa lubDa maDu pa vyADUta cUta aFkura 
   krīḍatkokilakākalīkalakalairudrīrṇakarṇajvarāḥ /	krIxat kokilakA kalI kala kalEru drIrNa karNa jvarAH /
   nīyante pathikaiḥ kathaṃ kathamapi dhyānāvadhānakṣaṇa 	nIyante paTikEH kaTam kaTam api DyAna avaDAnakzaNa 
   prāptaprāṇasamāsamāgamarasollāsairamī vāsarāḥ" //	prApta prANa samA samAgama rasa ullAsEH amI vAsarAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) unmīladityādi /	(vi, Na) unmIlat ityAdi /
        "kākalī tu kalau sūkṣme dhvanau tu madhurā sphuṭe" ityamaraḥ /	"kAkalI tu kalO sUkzme DvanO tu maDurA sPuwe" iti amaraH /
        tadrūpaiḥ kalakalaiḥ /	tad rUpEH kalakalEH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra "rasollāsairamī" iti rasayorekadhaiva sāmyam, na tu tenaiva krameṇāpi	atra "rasA ullAsEH amI" iti rasayoH ekaDA eva sAmyam, na tu tena eva krameNa api
   dvitīye pāde, kalayorasakṛttenaiva krameṇa ca /	dvitIye pAde, kalayaH rasakRt tena eva krameNa ca /
   prathame ekasya makārasya sakṛt, dhakārasya cāsakṛt /	praTame ekasya makArasya sakRt, DakArasya ca asakRt /
   rasaviṣayavyāpāravatī varṇaracanāvṛttiḥ, tadanugatatvena prakarṣeṇa	rasa vizaya vyApAravatI varNa racanA vRttiH, tad anugata tvena prakarzeNa
   nyasanādvṛttyanuprāsaḥ /	nyasanAt vRtti anuprAsaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) atra anekasyaikadhāsakṛttvaṃ darśayati   rasollāsairamī iti	(vi, ta) atra anekasya eka DA sakRt tvam darSayati    rasa ullAsEH amI iti
        rasayoriti   raseti rephasakārayorānupūrvorāhityādekadhā /	rasayoH iti   rasa iti rePa sakArayoH AnupUrva urAhityAt ekaDA /
        kalyoriti   kokilakākalīkalavalairityatretyarthaḥ /	kalyoH iti    kokila kAkalIka lavalEH iti atra iti arTaH /
        ekasya sakṛttvamasakṛttvaṃ darśayati   prathame iti /	ekasya sakRt tvam asakRt tvam darSayati     praTame iti /
        dhūtacūtetyatra takārasya /	DUta cUtA iti atra takArasya /
        madhugandhalubdhamadhupetyatra dhakārasyetyarthaḥ /	maDu ganDa lubDa maDupA iti atra DakArasya iti arTaH /
        samāsametyatra tu anekadhānekasya sakṛttvāccheka evetyatastanna	samAsameti atra tu anekaDA anekasya sakRt tvAt SekaH eva iti atas tat na
   darśitam /	darSitam /
        vṛttyanuprāsa ityatra vṛttipadārthaṃ vyācaṣṭe   rasaviṣayeti /	vRtti anuprAse iti atra vRtti padArTam vyAcazwe    rasa vizaya iti /
        rasaviṣayo vāyapāraḥ vyañjanā, tadvatyāṃ vasturacanāyāṃ	rasa vizayaH vAyapAraH vyaQjanA, tadvatyAm vastu racanAyAm
   vastunor'thasya śabdena racanāyāṃ vṛttisaṃjñā ityarthaḥ /	vastunor aTasya Sabdena racanAyAm vRtti saMjQA iti arTaH /
        tatrānuprasaśabdārthaṃ yaujayati  tadanugatatveneti /	tatra anuprasa Sabda arTam yOjayati   tad anugata tvena iti /
        tādṛśaracanāsambandhatvenetyarthaḥ /	tAdRSa racanA sambanDa tvena iti arTaH /
        prakarṣaśca varṇasāmyam /	prakarzaH ca varNa sAmyam /
        Locanā:	LocanA:
        (lo, a) prāṇasamāsamāgametyatra ca yamakatvaṃ vakṣyate /	(lo, a) prANa samAsamAgama iti atra ca yamaka tvam vakzyate /
        yadyapi llāsairamī vāsarā ityatra ca sarayoranekadhā sāmyahetukena	yadi api llAsEH amI vAsarAH iti atra ca sarayoH anekaDA sAmya hetukena
   chekānuprāsenasahaikadhāsāmyabhedasya vṛttyanuprāsabhedasya	Ceka anuprAsena saha ekaDA sAmya Bedasya vRtti anuprAsa Bedasya
   ekavācakānupraveśarūpaḥ saṅkaro vakṣyate; tathāpi vāsaraśabdamagaṇayitvā	eka vAcaka anupraveSa rUpaH saFkaraH vakzyate; taTA api vAsara Sabdam agaNayitvA
   vṛttyanuprāsabhedakathanam /	vRtti anuprAsa Beda kaTanam /
        evamanyatra /	evam anyatra /
        rasaviṣayeti /	rasa vizaya iti /
        rasaviṣayaḥ svādānuprāṇako vyāpāro vṛttiḥ /	rasa vizayaH svAda anuprANakaH vyApAraH vRttiH /
        vṛttyate 'nayā śabdo rasavyañjanayeti vyutpattyā /	vRttyate anayA SabdaH rasa vyaQjanayA iti vyutpattyA /
        tena nadvatī uktarītyā	tena nadvatI ukta rItyA
   śṛṅgārādirasaupayikakomalaparuṣamadhyamavarṇārabdhā vāpi racanā	SRFgAra AdiH asOpayika komala paruza maDyama varNa ArabDAH vA api racanA
   vṛttirupacārāditi bhāvaḥ /	vRttiH upacArAt iti BAvaH /
        tadanugatatvena tayā vṛttyopalakṣitatvena /	tad anugata tvena tayA vRttyA upalakzita tvena /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   uccāryatvādyadekatra sthāne tāluradādike /	uccArya tvAt yat ekatra sTAne tAlurada Adike /
   sādṛśyaṃ vyañjanasyaiva śrutyanuprāsa ucyate // VisSd_10.5 //	sAdRSyam vyaQjanasya eva Sruti anuprAsaH ucyate // VisSd _10.5 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) śrutyanuprāsākhyamanuprāsāntaramāha   uccāryyatvāditi /	(vi, Ta) Sruti anuprAsa AKyam anuprAsa antaram Aha   uccAryya tvAt iti /
        varṇasāmyābhāve 'pi ekasthānoccāryyatvasādṛśyādityarthaḥ /	varNa sAmya aBAve api eka sTAna uccAryya tva sAdRSyAt iti arTaH /
        Locanā:	LocanA:
        (lo, ā) uccāryyatvāditi  dvayorbahūnāṃ vā vyañjanānāṃ tālavyatvena	(lo, A) uccAryya tvAt iti   dvayoH bahUnAm vA vyaQjanAnAm tAlavya tvena
   dantyatvenādiśabdāt kaṇṭhyatvādinā sāmyaṃ śrutyanuprāsa ityarthaḥ /	dantya tvena Adi SabdAt kaNWya tva AdinA sAmyam Sruti anuprAse iti arTaH /
        imaṃ ca śrutyanuprāsaṃ "niveśayati vāgdevī kasyacit pratibhāvataḥ ';	imam ca Sruti anuprAsam "niveSayati vAgdevI kasyacid pratiBAvataH a;
   ityādīnā praśaṃsanti prācyāḥ /	ityAdInA praSaMsanti prAcyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   udāharaṇam  	udAharaNam  
   "dṛśā dagdhaṃ manasijaṃ jīvayanti dṛśaiva yāḥ /	"dRSAH dagDam manasijam jIvayanti dRSA eva yAH /
   virūpākṣasya jayinīstāḥ stumo vāmalocanāḥ" //	virUpAkzasya jayinIH tAH stumaH vAma locanAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) dṛśā dagdhamiti   virūpākṣasya jayinīstā vāmalocanā ahaṃ	(vi, da) dRSA dagDam iti   virUpAkzasya jayinIH tAH vAma locanAH aham
   stuve /	stuve /
        locanasya virūpatvasundaratvātmakavāmatvābhyāṃ jayaparājayāvuktvā	locanasya virUpa tva sundara tva Atmaka vAma tvAByAm jaya parAjayO= uktvA
   kriyābhāyāmapyāha   dṛśā dagdhamiti /	kriyA ABAyAm api Aha   dRSAH dagDam iti /
        hareṇa manasijasya dṛśā dāhastābhistu kaṭākṣarūpayā dṛśā jīvanamato	hareNa manasijasya dRSA dAhaH tABiH tu kawAkza rUpayA dRSA jIvanamatas 
   'pi jayaḥ /	api jayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra "jīvayanti" iti, "yāḥ" iti, "jayinīḥ" ita /	atra "jIvayanti" iti, "yAH" iti, "jayinIH" itas /
   atra jakārayakārayorekatra sthāne tālāvuccāryatvātsādṛśyam /	atra jakAraya kArayoH ekatra sTAne tAlO= uccArya tvAt sAdRSyam /
   evaṃ dantyakaṇṭhyānāmapyudāhāryam /	evam dantya kaNWyAnAm api udAhAryam /
   eṣa ca sahṛdayānāmatīva śrutisukhāvahatvācchratyanuprāsaḥ /	eza ca sahRdayAnAm atIva Sruti suKa Avaha tvAt Srati anuprAsaH /
   vyañjanaṃ cedyathāvasthaṃ sahādyena svareṇa tu /	vyaQjanam ced yaTAvasTam saha Adyena svareNa tu /
   āvartyate 'ntyayojyatvādantyānuprāsa eva tat // VisSd_10.6 //	Avartyate antya yojya tvAt antya anuprAse eva tat // VisSd _10.6 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) antyānuprasākhyamanuprāsāntaramāha   vyañjanaṃ cediti /	(vi, Da) antya anuprasAKyam anuprAsa antaram Aha    vyaQjanam ced iti /
        yathāvasthamiti /	yaTAvasTam iti /
        anusvāreṇa visargeṇa vā viśiṣṭo 'viśiṣṭo vā yaḥ svaraḥ kevalo vā	anusvAreNa visargeNa vA viSizwaH aviSizwaH vA yaH svaraH kevalaH vA
   pūrvapādasya pūrvapadasya vā ante uccaritastādṛśasvaraviśiṣṭāvasthaṃ	pUrva pAdasya pUrva padasya vE ante uccaritaH tAdRSa svara viSizwa avasTam
   vyañjanaṃ cedādyena svareṇa svapūrvabhūtasvareṇa saha āvarttyate	vyaQjanam ced Adyena svareNa sva pUrva BUta svareNa saha Avarttyate
   tadāntyānuprāsa ityarthaḥ /	tadA antya anuprAse iti arTaH /
        tat saṃjñāvyutpattimāha antayojyatvāditi /	tat saMjQA vyutpattim Aha anta yojya tvAt iti /
        yathā ekapādānte dhīraḥ anyapādānte vīraḥ iti, yathā vā ekapādānte	yaTA eka pAda ante DIraH anya pAda ante vIraH iti, yaTA vE eka pAda ante
   sāramanyapādānte hāramiti /	sAram anya pAda ante hAram iti /
        evaṃ kārī hārīti svaramātre /	evam kArI hArI iti svara mAtre /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathāvasthamiti yathāsambhavamanusvāravisargasvarayuktākṣaraviśiṣṭam /	yaTAvasTam iti yaTA samBavam anusvAra visarga svara yukta akzara viSizwam /
   eṣa ca prāyeṇa pādasya padasya cānte prayojyaḥ /	eza ca prAyeNa pAdasya padasya ca ante prayojyaH /
   padāntago yathā mama  	pada anta gaH yaTA mama  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) yathāvasthamiti vyācaṣṭe   yathāsambhavamiti /	(vi, na) yaTAvasTam iti vyAcazwe   yaTA samBavam iti /
        anusvaravisargasvarāṇāmanyatarasambhavo yathāsambhavapadārthaḥ /	anusvara visarga svarANAm anyatara samBavaH yaTA samBava padArTaH /
        akṣaraviśiṣṭamityatra yathāvasthaṃ bodhyam /	akzara viSizwam iti atra yaTAvasTam boDyam /
        antyayojyatvaṃ vyacaṣṭe   eṣa ceti /	antya yojya tvam vyacazwe   eza ca iti /
        prāyeṇa ityanena pajjhaṭikādicchandaḥ svevāsya sambhavo	prAyeNa iti anena pajJawikA AdicCandaH su a iva asya samBavaH 
   nānuṣṭhubādāviti darśatam /	na anuzWu B AdO= iti darSatam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   keśaḥ kāśastavakavikāsaḥ kāyaḥ prakaṭitakarabhavilāsaḥ /	keSaH kASaH tavaka vikAsaH kAyaH prakawita kara Ba vilAsaH /
   cakṣurdagdhavarāṭakakalpaṃ tyajati na cetaḥ kāmamanalpam //	cakzuH dagDa varAwaka kalpam tyajati na cetaH kAmam analpam //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) keśaḥ kāśeti   jarata uktiriyam /	(vi, pa) keSaH kASa iti   jarataH uktiH iyam /
        kāśapuṣpastabakavad dhavalaḥ keśaḥ prakaṭitasya vakrasya kubjasya	kASa puzpa stabaka vat DavalaH keSaH prakawitasya vakrasya kubjasya
   karabhasya kariśāvakasyaiva vilāso yasya kāyastādṛśaḥ /	karaBasya kari SAvakasya eva vilAsaH yasya kAyaH tAdRSaH /
        tathāpi ceto 'nalpaṃ bahu kāmamabhilāṣaṃ na tyajatītyarthaḥ /	taTA api cetaH analpam bahu kAmam aBilAzam na tyajati iti arTaH /
        tathāpītyākāṅkṣābalalabhyam /	taTA api iti AkAFkzA bala laByam /
        atra kāśalāsaśabdau svavisargāntyasvaraviśiṣṭāntyavyañjanau /	atra kASa lAsa SabdO sva visarga antya svara viSizwa antya vyaQjanO /
        kalpānalpaśabdau sānusvārāntyasvaraviśiṣṭantyavyañjanau /	kalpAn alpa SabdO sa anusvAra antya svara viSizwanti avyaQjanO /
        taccāntyavyañjanaṃ tatpūrvasvareṇa sahavṛttam /	tat ca antya vyaQjanam tat pUrva svareNa saha vRttam /
        Locanā:	LocanA:
        (lo, i) vyañjanamiti /	(lo, i) vyaQjanam iti /
        keśa ityatra yathāsambhavamiti vacanāt saṃyuktākṣararahito vikāśa	keSaH iti atra yaTAsamBavam iti vacanAt saMyukta akzara rahitaH vikASa
   ityatra śakāraḥ svaravisargayuktaḥ kakārasthitenā'kāreṇa saha /	iti atra SakAraH svara visarga yuktaH kakAra sTitenA akAreNa saha /
        vilāsa ityatra lakārasthitenā'kāreṇa saha varttate /	vilAsaH iti atra lakAra sTitenA akAreNa saha varttate /
        kalpamityatra lakārarūpaṃ vyañjanaṃ pakāranusvarayuktaṃ,	kalpam iti atra lakAra rUpam vyaQjanam pakAra nusvara yuktaM,
   kakārasthitenākāreṇa saha /	kakAra sTitena AkAreNa saha /
        analpetyatra nakārasthitenākāreṇa sahetyarthaḥ /	analpA iti atra nakAra sTitena AkAreNa saha iti arTaH /
        prāyeṇa iti vacanāt mama tātapadānāṃ lakṣbhīstave yathā   	prAyeNa iti vacanAt mama tAta padAnAm lakzBI stave yaTA   
        "śrutādhītā gītā śrutibhiravigītākhilaguṇā guṇātītā	"SrutA aDItA gItA SrutiBiH avigIta aKila guNA guNa atItA
   bhītābhayakṛdavinītāpacayadā /	BIta aBaya kRt avinIta apacaya dA /
        natiprītā pītāmbarasupariṇītāmaravadhū  dṛśā pītā sphītā	nati prItA pIta ambara su pariNI ta amara vaDU dRSA pItA sPItA
   malaruciparītā vijayatām" //	mala ruci parItA vijayatAm" //
        ityādau kvaciddantyayojyatvābhāve 'pyayamanuprāso dṛśyate /	ityAdO kvacid dantya yojya tva aBAve api ayam anuprAsaH dRSyate /
        asya ca prācīnoktālaṅkārebhyaḥ pṛthaganubhavasiddhaścamatkāraviśeṣa	asya ca prAcIna uktA alaFkAreByaH pRTak anuBava sidDaH camatkAra viSeza
   iti pṛthagalaṅkāratvam /	iti pRTak alaFkAra tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "mandaṃ hasantaḥ palakaṃ vahantaḥ" ityādi /	"mandam hasantaH palakam vahantaH" ityAdi /
   śabdārthayoḥ paunaruktyaṃ bhede tātparyamātrataḥ /	Sabda arTayoH pOnaruktyam Bede tAtparya mAtrataH /
