   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   Kāñcanamāle kasmāt punaś cirayaty adyāpi vīṇācāryaḥ |]	KAQcana-mAle kasmAt punar cirayati adya-api vINA-AcAryaH |]
   Kāñcanamālā - bhaṭṭi-dārie diṭṭho deṇa ekko ummatto | tassa vaaṇaṃ suṇia	KAQcana-mAlA  Bawwi-dArie diwWaH deNaH ekkaH ummattaH | tassa vaaNam suNia
   citteṇa bhāvido ohasanto ciṭṭhai | [bhartṛ-dārike dṛṣṭas tenaika unmattaḥ	citteNa BAvi-daH ohasantaH ciwWE | [BartR-dArike dRzwaH tena-ekaH unmattaH
   | tasya vacanaṃ śrutvā citreṇa bhavito 'pahasaṃs tiṣṭhati |]	| tasya vacanam SrutvA citreNa BavitaH apahasan tizWati |]
   Āraṇyikā - (sa-hasta-tālaṃ vihasya |) hanje suṭṭhu edaṃ pucchadi | sarisā	ĀraNyikA  (sa-hasta-tAlam vihasya |) hanje suwWu edam pucCadi | sarisA
   sarise ranjanti tti duve ettha ummattā | [hañje suṣṭhv etaṃ pṛcchati |	sarise ranjanti tti duve etTaH ummattA | [haQje suzWu etam pRcCati |
   sadṛśāḥ sadṛśe rajanta iti dvāv atronmattau |]	sadRSAH sadRSe rajantaH iti dvO atra-unmattO |]
   Sāṅkṛtyāyanī - rāja-putryāḥ sadṛśam ākāram paśyāmy asyās	SAFkRtyAyanI  rAja--putryAH sadRSam AkAram paSyAmi asya-as
   tādṛśenākāreṇāvaśyaṃ tvadīyāṃ bhūmikāṃ saṃbhāvayiṣyati |	tAdRSena-AkAreNa-avaSyam tvadIyAm BUmikAm saMBAvayizyati |
   kañcukī - (upasṛtya) rāja-putri devas tvām ājñāpayati | śvo 'vaśyam	kaQcukI  (upasRtya) rAja--putri devaH tvAm AjQApayati | Svas avaSyam
   asmābhir vīṇāṃ vādayantī śrotavyā | tat tvayā nava-tantrī-sajjayā	asmABiH vINAm vAdayantI SrotavyA | tat tvayA nava--tantrI--sajjayA
   Ghoṣavatyā stheyam iti |	GhozavatyA sTeyam iti |
   Āraṇyikā - ayya jai evvaṃ lahu vīṇāāriaṃ visajjehi | [ārya yady evaṃ laghu	ĀraNyikA  ayya jEH evvam lahu vINAAriam visajjehi | [Arya yadi evam laGu
   vīṇācāryaṃ visarjaya |]	vINA-AcAryam visarjaya |]
   kañcukī - eṣa Vatsa-rājaṃ preṣayāmi | (iti niṣkrāntaḥ |)	kaQcukI  eza Vatsa-rAjam prezayAmi | (iti nizkrAntaH |)
   Āraṇyikā - Kancaṇamāle uvaṇehi me Ghosavadīṃ jāva se taṃtīo parikkhemi |	ĀraNyikA  KancaNa-mAle uvaNa-ihi me GhosavadIm jAva se taMtIaH parikKemi |
   [Kāñcanamāle upanaya me Ghoṣavatīṃ yāvad asyās tantrīḥ parīkṣe |]	[KAQcana-mAle upanaya me GhozavatIm yAvat asyAH tantrIH parIkze |]
   (Kāñcanamālā vīṇām arpayati | Āraṇyikotsaṅge vīṇāṃ kṛtvā sārayati |)	(KAQcana-mAlA vINAm arpayati | ĀraNyikA-utsaFge vINAm kRtvA sArayati |)
   (tataḥ praviśati gṛhīta-Vatsa-rāja-nepathyā Manoramā |)	(tatas praviSati gRhIta--Vat-sa-rAja--nepaTyA ManoramAH |)
   [p. 34]	[p. 34]
   Manoramā - (sva-gatam |) ciraadi kkhu mahā-rāo kiṃ ṇa kahidaṃ Vasantaeṇa |	ManoramAH  (sva--gatam |) ciraa-di kKu mahA--rAaH kim Na kahidam VasantaeNa |
   ahavā devīe bhāadi | jai dāṇiṃ āacche tado ramaṇijjaṃ have | [cirayati	ahavAH devIe BAadi | jE dANim AacCe tadaH ramaNijjam have | [cirayati
   khalu mahā-rājaḥ | kiṃ na kathitaṃ Vasantakena | athavā devyā bibheti |	Kalu mahA--rAjaH | kim na kaTitam Vasantakena | aTavA devyA biBeti |
   yadīdānīm āgacchet tato ramanīyaṃ bhavet |]	yadi-idAnIm AgacCet tatas ramanIyam Bavet |]
   (tataḥ praviśati rājāvaguṇṭhita-śarīro vidūṣakaś ca |)	(tatas praviSati rAjA-avaguNWita--SarIraH vidUzakaH ca |)
   rājā -	rAjA -
   saṃtāpam prathamaṃ tathā na kurute śītāṃśur adyaiva me	saMtApam praTamam taTA na kurute SItAMSuH adya-eva me
   niśvāsā glapayanty ajasram adhunaivoṣṇās tathā nādharam /	niSvAsAH glapayanti ajasram aDunA-eva-uzNAH taTA na-aDaram /
   saṃpraty eva mano na śūnyam alasāny aṅgāni no pūrvavad	saMprati eva manaH na SUnyam alasAni aFgAni no pUrvavat-
   duḥkhaṃ yāti manoratheṣu tanutāṃ saṃcintyamāneṣv api // HPri_3.5 //	duHKam yAti manoraTezu tanu-tAm saMcintyamAnezu api // HPri_3.5 //
   vayasya satyam evoktam Manoramayā | yathaiṣā mama priya-sakhī mahā-rājasya	vayasya satyam eva-uktam ManoramayAH | yaTA-ezA mama priya--saKI mahA--rAjasya
   devyā darśana-pathād api rakṣyate tad ayaṃ samāgamopāyaḥ | adya rātrāv	devyAH darSana-paTAt api rakzyate tat ayam samAgama-upAyaH | adya rAtrO=-
   asmābhir Udayana-caritaṃ nāma nāṭakaṃ devyāḥ purato nartitavyam | tatra	asmABiH Udayana-caritam nAma nAwakam devyAH puratas nartitavyam | tatra
   Āraṇyikā Vāsavadattā bhaviṣyati | aham api Vatsa-rājaḥ | tac caritenaiva	ĀraNyikA VAsavadattA Bavizyati | aham api Vatsa-rAjaH | tat caritena-eva
   sarvaṃ śikṣitavyam | tad āgatya svayam eva svāṃ bhūmikāṃ kurvāṇaḥ	sarvam Sikzitavyam | tat Agatya svayam eva svAm BUmikAm kurvANaH
   samāgamotsavam anubhavatv iti |	samAgama-utsavam anuBavatu iti |
   vidūṣakaḥ - jai maṃ ṇa pattiāasi esā Maṇoramā tuha vesaṃ dhāraantī ciṭṭhai	vidUzakaH  jE mam Na pattiAasi esA MaNoramA tuha vesam DAraantI ciwWE
   | tā uvasappia saaṃ evva puccha | [yadi māṃ na pratyāyayasy eṣā Manoramā	| tAH uvasappia saam evva pucCa | [yadi mAm na pratyAyayasi ezA ManoramA
   tava veṣaṃ dhārayantī tiṣṭhati | tad upasṛtya svayam eva pṛccha |]	tava vezam DArayantI tizWati | tat upasRtya svayam eva pRcCa |]
   rājā - (Manoramām upasṛtya |) Manorame satyam idaṃ yad Vasantako	rAjA  (ManoramAm upasRtya |) Manorame satyam idam yat VasantakaH-
   'bhidhatte |	aBiDatte |
   Manoramā - bhaṭṭā saccaṃ evva | maṇḍaa edehiṃ ābharaṇehiṃ appāṇaaṃ |	ManoramA  BawwA sat-cam evva | maNxaaH edehim ABaraNa-Ihim appANaam |
   [bhartaḥ satyam eva | maṇḍayaitair ābharaṇair ātmānam |]	[BartaH satyam eva | maNxaya-etEH ABaraNEH AtmAnam |]
   (ity ābharaṇāny aṅgād avatārya rājñe samarpayati |)	(iti ABaraNAni aFgAt avatArya rAjQe samarpayati |)
   (rājā paridadhāti |)	(rAjA paridaDAti |)
   [p. 35]	[p. 35]
   vidūṣakaḥ - ede kkhu rāāṇo dāsīe vi evvaṃ ṇaccāvianti | aho kajjassa	vidUzakaH  ede kKu rAANaH dAsIe vi evvam Nacca-Avianti | aho kajjassa
   garuadā | [ete khalu rājāno dāsyāpi evaṃ nartyante | aho kāryasya gurutā	garua-dA | [ete Kalu rAjAnaH dAsyA-api evam nartyante | aho kAryasya guru-tA
   rājā - (vihasya |) mūrkha naiṣa kālaḥ parihāsasya | nibhṛtena citra-śālām	rAjA  (vihasya |) mUrKa na-eza kAlaH parihAsasya | niBRtena citra--SAlAm
   praviśya Manoramayā sahāsman-nṛttam paśyatā sthīyatām |	praviSya ManoramayA saha-asman--nRttam paSyatA sTIyatAm |
   (ubhau tathā kurutaḥ |)	(uBO taTA kurutaH |)
   Āraṇyikā - Kancaṇamāle ciṭṭhadu vīṇā | puccchissaṃ dāva kiṃ vi |	ĀraNyikA  KancaNa-mAle ciwWa-du vINA | puccCissam dAva kim vi |
   [Kāñcanamāle tiṣṭhatu vīṇā | prakṣyāmi tāvat kim api |]	[KAQcana-mAle tizWatu vINA | prakzyAmi tAvat kim api |]
   rājā - śṛṇomi tāvat katamo 'yam uddeśo vartate |	rAjA  SRNomi tAvat katamaH ayam uddeSaH vartate |
   (ity avahitaḥ śṛṇoti |)	(iti avahitaH SRNoti |)
   Kāñcanamālā - pucchadu bhaṭṭi-dāriā | [pṛcchatu bhartṛ-dārikā |]	KAQcana-mAlA  pucCa-du Bawwi-dAriA | [pRcCatu BartR-dArikA |]
   Āraṇyikā - saccaṃ evva tādo mantedi evvaṃ jahā jai vīṇaṃ vādaanto	ĀraNyikA  sat-cam evva tAdaH mantedi evvam jahA jE vINam vAdaantaH-
   avaharedi maṃ Vaccha-rāo avassaṃ bandhaṇādo muncemi tti | [satyam eva tāto	avaharedi mam VacCa-rAaH avassam banDaNa-AdaH muncemi tti | [satyam eva tAtaH-
   mantrayate evaṃ yathā - yadi vīṇāṃ vādayann apaharati māṃ Vatsa-rājo	mantrayate evam yaTA  yadi vINAm vAdayan apaharati mAm Vatsa-rAjaH-
   'vaśyaṃ bandhanān muñcāmīti |]	avaSyam banDanAt muQcAmi-iti |]
   rājā -(praviśya paṭākṣepeṇa sa-harṣaṃ vastrānte grathitam badhnāti |) evam	rAjA -(-praviSya pawa-AkzepeNa sa-harzam vastra-ante graTitam baDnAti |) evam
   etat | kaḥ saṃdehaḥ |	etat | kaH saMdehaH |
   sa-parijanaṃ Pradyotaṃ vismayam upanīya vādayan vīṇām /	sa--parijanam Pradyotam vismayam upanIya vAdayan vINAm /
   Vāsavadattām apaharāmi na cirād eveti paśyāmy // HPri_3.6 //	VAsavadattAm apaharAmi na cirAt eva-iti paSyAmi // HPri_3.6 //
   yataḥ su-saṃvihitaṃ sarvaṃ Yaugandharāyaṇena |	yatas su--saMvihitam sarvam YOganDarAyaNena |
   Vāsavadattā -(sahasotthāya |) jedu jedu accautto | [jayatu jayatv	Va-AsavadattAH -(-sahasA-utTAya |) jedu jedu at-cOttaH | [jayatu jayatv
   ārya-putraḥ |]	Arya-putraH |]
   rājā - (sva-gatam |) kathaṃ pratyabhijñāto 'smi devyā |	rAjA  (sva--gatam |) kaTam pratyaBijQAtaH asmi devyA |
   Sāṅkṛtyāyanī - (sa-smitam |) rāja-putri alam alaṃ saṃbhrameṇa |	SAFkRtyAyanI  (sa--smitam |) rAja--putri alam alam saMBrameNa |
   prekṣaṇīyakam etat |	prekzaNIyakam etat |
   [p. 36]	[p. 36]
   rājā - (ātma-gataṃ sa-harṣam) idānīm ucchvāsito 'smi |	rAjA  (a-Atma--gatam sa-harzam) idAnIm ucCvAsitaH asmi |
   Vāsavadattā -(sa-vilakṣa-smitam upaviśya |) kahaṃ Maṇoramā esā | mae uṇa	VAsavadattA -(sa--vilakza--smitam upaviSya |) kaham MaNa-uramAH esA | mae uNa
   jāṇidaṃ ajja-utto eso tti | sāhu Maṇorame sāhu | sohaṇaṃ ṇaccidaṃ |	jANidam ajja-uttaH esaH tti | sAhu MaNa-urame sAhu | sohaNam Naccit-am |
   [kathaṃ Manoramaiṣā | mayā punar jñātam ārya-putra eṣa iti | sādhu	[kaTam ManoramA-ezA | mayA punar jQAtam Arya-putraH ezaH iti | sADu
   Manorame sādhu | śobhanaṃ nartitam |]	Manorame sADu | SoBanam nartitam |]
   Sāṅkṛtyāyanī - rāja-putri sthāna eva kṛtā bhrāntis te Manoramayā | paśya |	SAFkRtyAyanI  rAja--putri sTAnaH eva kRtA BrAntiH te ManoramayA | paSya |
   rūpaṃ tan nayanotsavāspadam idaṃ veṣaḥ sa evojjvalaḥ	rUpam tat nayana-utsava-Aspadam idam vezaH saH eva-ujjvalaH
   sā matta-dviradocitā gatir iyaṃ tat sattvam atyūrjitam /	sA matta-dvirada-ucitA gatiH iyam tat sattvam ati-Urjitam /
   līlā saiva sa eva sāndra-jalada-hrādānukārī svaraḥ	lIlA sA-eva saH eva sAndra--jalada-hrAda-anukArI svaraH
   sākṣād darśita eṣa naḥ kuśalayā Vatseśa evānayā // HPri_3.7 //	sAkzAt darSitaH eza naH kuSalayA Vatsa-ISaH eva-anayA // HPri_3.7 //
   Vāsavadattā -hanje Indīvarie | baddheṇa ajja-utteṇa ahaṃ vīṇaṃ sikkhāvidā	VAsavadattA -hanje IndIvarie | badDeNa ajja--utteNa aham vINam sikKa-avidA
   | tā se karehi ṇīl'-uppala-dāmaeṇa ṇialaṇam | [hañje Indīvarike	| tA se karehi NIl-a-uppala-dAmaeNa Nia-laNam | [haQje IndIvarike
   baddhenāryaputreṇāhaṃ vīṇāṃ śikṣitā | tad asya kuru nīlotpaladāmakena	badDena-AryaputreNa-aham vINAm SikzitA | tat asya kuru nIlotpala-dAmakena
   nigaḍanam |]	nigaxanam |]
   (śiraso 'panīya nīlotpala-dāmārpayati |)	(SirasaH apanIya nIlotpala--dAma-arpayati |)
   (Indīvarikā tathā kṛtvā punas tatraivopaviśati |)	(IndIvarikA taTA kRtvA punar tatra-eva-upaviSati |)
   Āraṇyikā - Kancaṇamāle kahehi kahehi | ṇaṃ saccaṃ evva mantedi tādo jai	ĀraNyikA  KancaNa-mAle kahehi kahehi | Nam sat-cam evva mantedi tAdaH jE
   vīṇaṃ vādaanto avaharedi maṃ Vaccha-rāo tado avassaṃ bandhaṇādo muñcemi	vINam vAdaantaH avaharedi mam VacCa-rAo tadaH avassam banDaNa-AdaH muQcemi
   tti | [Kāñcanamāle kathaya kathaya | nanu satyam eva mantrayate tāto yadi	tti | [KAQcana-mAle kaTaya kaTaya | nanu satyam eva mantrayate tAtaH yadi
   vīṇāṃ vādayat apaharati māṃ Vatsa-rājas tato 'vaśyaṃ bandhanān muñcāmīti	vINAm vAdayat apaharati mAm Vatsa-rAjaH tatas avaSyam banDanAt muQcAmi-iti
   Kāñcanamālā - bhaṭṭhi-dārie saccaṃ | taha karehi jaha Vaccha-rāassa	KAQcana-mAlA  BawWi-dArie sat-cam | taha karehi jaha VacCa-rAassa
   avassaṃ bahu-madā hosi | [bhartṛ-dārike satyam | tathā kuru yathā	avassam bahu-madA hosi | [BartR-dArike satyam | taTA kuru yaTA
   Vatsa(rājasyāvaśyaṃ bahu-matā bhavasi |]	Vatsa(rAjasya-avaSyam bahu-matA Bavasi |]
   [p. 37]	[p. 37]
   rājā - niṣpāditam eva Kāñcanamālayā yat tad āsmābhir abhilaṣitam |	rAjA  nizpAditam eva KAQcana-mAlayA yat tat AsmABiH aBilazitam |
   Āraṇyikā - jai evvaṃ tā ādareṇa vādaissaṃ | [yady evaṃ tad ādareṇa	ĀraNyikA  jEH evvam tAH AdareNa vAdEH-sam | [yadi evam tat AdareNa
   vādayiṣyāmi |] (gāyantīvādayati)	vAdayizyAmi |] (gAyantI-vAdayati)
   ghaṇa-bandhaṇa-saṃruddhaṃ gaaṇaṃ daṭṭhūṇa māṇasaṃ eduṃ /	GaNa-banDaNa--saMrudDam gaaNam dawWUNa mANasam edum /
   ahilasai rāa-haṃso daiaṃ gheūṇa appaṇo vasaiṃ // HPri_3.8 //	ahilasEH rAa--haMsaH dEam GeUNa appaNaH vasEm // HPri_3.8 //
   [ghana-bandhana-saṃruddhaṃ gaganaṃ dṛṣṭvā mānasam etum /	[Gana-banDana--saMrudDam gaganam dRzwvA mAnasam etum /
   abhilaṣati rāja-haṃso dayitāṃ gṛhītvātmano vasatim // HPri_3.8 //]	aBilazati rAja--haMsaH dayitAm gRhItvA-AtmanaH vasatim // HPri_3.8 //]
   (vidūṣako nidrāṃ nāṭayati |)	(vidUzakaH nidrAm nAwayati |)
   Manoramā - (hastena cālayantī |) Vasantaa pekkha pekkha pia-sahī me ṇaccai	ManoramAH  (hastena cAlayantI |) Vasantaa pekKa pekKa pia-sahI me Nat-cE
   | [Vasantaka paśya paśya | priya-sakhī me nṛtyati |]	| [Vasantaka paSya paSya | priya--saKI me nRtyati |]
   vidūṣakaḥ - (sa-roṣam |) dāsīe sude tumaṃ vi ṇa desi suviduṃ |	vidUzakaH  (sa-rozam |) dAsIe sude tumam vi Na desi su-vidum |
   jada-ppahudi pia-vaasseṇa Āraṇṇiā diṭṭhā tada-ppahudi teṇa saha mae	jada-ppahudi pia-vaasseNa ĀraNNiA diwWA tad-a-ppahudi teNa saha mae
   rattiṃ-divaṃ ṇiddā ṇa diṭṭhā | tā aṇṇado ṇikkamia suvissaṃ | [dāsyāḥ sute	rattiM-divam NiddA Na diwWAH | tAH aNNadaH Nikkam-ia su-vissam | [dAsyAH sute
   tvam api na dadāsi svaptum | yadā-prabhṛti priya-vayasyenāraṇyikā dṛṣṭā	tvam api na dadAsi svaptum | yadA--praBRti priya--vayasyena-AraNyikA dRzwA
   tadā-prabhṛti tena saha mayā rātraṃ-divaṃ nidrā na dṛṣṭā | tad anyato	tadA--praBRti tena saha mayA rAtraM-divam nidrA na dRzwAH | tat anyatas-
   niṣkramya svapsyāmi |]	nizkramya svapsyAmi |]
   (niṣkramya śete)	(nizkramya Sete)
   (Āraṇyikā punar gāyati |)	(ĀraNyikA punar gAyati |)
   ahiṇava-rāa-kkhittā mahuariā vāmaeṇa kāmeṇa /	ahiNa-va-rAa--kKittAH mahuariAH vAmaeNa kAmeNa /
   uttamai patthantīdaṭṭhuṃ pia-daṃsaṇaṃ daiaṃ // HPri_3.9 //	uttamE patTantI-dawWum pia-daMsaNam dEam // HPri_3.9 //
   [abhinava-rāga-kṣiptā madhu-karikā vāmakena kāmena /	[aBinava--rAga-kziptA maDu-karikA vAmakena kAmena /
   uttāmyati prārthayamānā draṣṭuṃ priya-darśanaṃ dayitam // HPri_3.9 //]	uttAmyati prArTayamAnAH drazwum priya-darSanam dayitam // HPri_3.9 //]
   rājā - (tat-kṣaṇaṃ śrutvā sahasopasṛtya |) sādhu rāja-putri sādhu | aho	rAjA  (tat-kzaNam SrutvA sahasA-upasRtya |) sADu rAja--putri sADu | aho
   gītam aho vāditram | tathā hi |	gItam aho vAditram | taTA hi |
   [p. 38]	[p. 38]
   vyaktir vyañjana-dhātunā daśavidhenāpy atra labdhādhunā	vyaktiH vyaQjana--DAtunA daSaviDena-api atra labDa-aDunA
   vispaṣṭo druta-madhya-lambita-paricchinnas tridhāyaṃ layaḥ /	vispazwaH druta--maDya-lambita--paricCinnaH triDA-ayam layaH /
   gopuccha-pramukhāḥ krameṇa yatayas tisro 'pi saṃpāditās	go-pucCa--pramuKAH krameNa yatayaH tisraH api saMpAditA-as
   tatvaughānugatāś ca vādya-vidhayaḥ samyak trayo darśitāḥ // HPri_3.10 //	tatva-oGa-anugatAH ca vAdya--viDayaH samyak trayaH darSitAH // HPri_3.10 //
   Āraṇyikā - (vīṇāṃ pariṣvajyāsanād utthāya rājānaṃ sābhilāṣaṃ paśyantī |)	ĀraNyikA  (vINAm parizvajya-AsanAt utTAya rAjAnam sa-aBilAzam paSyantI |)
   uvājjhāa paṇamāmi | [upādhyāya praṇamāmi |]	uvAjJAa paNamAmi | [upADyAya praNamAmi |]
   rājā - (sa-smitam |) yad aham icchāmi tat te bhūyāt |	rAjA  (sa--smitam |) yat aham icCAmi tat te BUyAt |
   [p. 39]	[p. 39]
   Kāñcanamālā - (Āraṇyikāyā āsanaṃ nirdiśya |) iha evva uvavisadu uvajjhāo |	KAQcana-mAlA  (ĀraNyikAyAH Asanam nirdiSya |) iha evva uvavisadu uvajJAaH |
   [ihaivopaviśatu upādhyāyaḥ |]	[iha-eva-upaviSatu upADyAyaH |]
   rājā - (upaviśya |) rāja-putrī kvedānīm upaviśatu |	rAjA  (upaviSya |) rAja--putrI kva-idAnIm upaviSatu |
   Kañcanamālā -(sa-smitam) dāṇiṃ evva bhaṭṭi-dāriā vijjāmāṇena paritosidā	KaQcana-mAlA -(sa-smitam) dANim evva Bawwi-dAriA vid-jAmANena paritosidA
   tumhehiṃ | tā aruhadi evva esā uvajjhāa-pīṭhiāe | [idānīm eva	tum-hehim | tAH aruhadi evva esA uvat-JAa--pIWiAe | [idAnIm eva
   bhartṛ-dārikā vidyāmānena paritoṣitā yuṣmābhiḥ | tad arhaty	BartR-dArikA vidyA-mAnena paritozitAH yuzmABiH | tat arhati-
   evaiṣopādhyāya-pīṭhikāyāḥ |]	eva-ezA-upADyAya--pIWikAyAH |]
   rājā - upaviśatv arheyam ardhāsanasya | rāja-putri sthīyatām |	rAjA  upaviSatu arheyam arDAsanasya | rAja--putri sTIyatAm |
   (Āraṇyikā Kāñcanamālāṃ paśyati |)	(ĀraNyikA KAQcana-mAlAm paSyati |)
   Kāñcanamālā - (sa-smitam |) bhaṭṭi-dārie uvavisa | ko ettha doso |	KAQcana-mAlA  (sa--smitam |) Bawwi-dArie uvavisaH | kaH etTa dosaH |
   sissa-visesā khu tumaṃ | [bhartṛ-dārike upaviśa | ko 'tra doṣaḥ |	sissa-visesA Ku tumam | [BartR-dArike upaviSaH | kaH atra dozaH |
   śiṣya-viśeṣā khalu tvam |]	Sizya--viSezA Kalu tvam |]
   (Āraṇyikā sa-lajjam upaviśati |)	(ĀraNyikA sa-lajjam upaviSati |)
   Vāsavadattā -(sa-lajjam |) bhaavadīe (Kale -īye) ahiaṃ kappidaṃ kavvaṃ |	VAsavadattA -(sa-lajjam |) BaavadIe (Kale -Iye) ahiam kappidam kavvam |
   ṇa hu ahaṃ tassiṃ kāle ekkāsaṇe ajja-utteṇa saha uvaviṭṭhā | [bhagavaty	Na hu aham tassim kAle ekkAsaNe ajja-utteNa saha uvaviwWA | [BagavatI-
   ādhikaṃ kalpitaṃ kāvyam | na khalv ahaṃ tasmin kāla ekāsane ārya-putreṇa	ADikam kalpitam kAvyam | na Kalu aham tasmin kAlaH eka-Asane Arya-putreNa
   sahopaviṣṭā |]	saha-upavizwAH |]
   rājā - rāja-putri punaḥ śrotum icchāmi | vādaya vīṇām |	rAjA  rAja--putri punar Srotum icCAmi | vAdaya vINAm |
   Āraṇyikā - (sa-smitam |) Kancaṇamāle ciraṃ khu mama vādaantīe parissamo	ĀraNyikA  (sa--smitam |) KancaNa-mAle ciram Ku mama vAdaantIe parissamaH-
   jādo | dāṇiṃ ṇissahāiṃ aṅgāiṃ | tā ṇa sakkuṇomi vādaiduṃ | [Kāñcanamāle	jAdaH | dANim NissahAim aFgAim | tAH Na sakkuNomi vAdEdum | [KAQcana-mAle
   ciraṃ khalu mama vādayantyāḥ pariśramo jātaḥ | idānīṃ niḥsahāny aṅgāni |	ciram Kalu mama vAdayantyAH pariSramaH jAtaH | idAnIm niHsahAni aFgAni |
   tan na śaknomi vādayitum |]	tat na Saknomi vAdayitum |]
   Kāñcanamālā - uvajjhāa suṭṭhu parissantā bhaṭṭi-dāriā |	KAQcana-mAlA  uvajJAa suwWu parissantA Bawwi-dAriA |
   kavola-tala-baddha-sea-lavāe pekkha se vevanti agga-hatthā | tā samassattā	kavola--tala--badDa--sea-lavAe pekKa se vevanti agga-hatTA | tA samassattA
   hotu muhuttaaṃ | [upādhyāya suṣṭhu pariśrāntā bhartṛ-dārikā |	hotu muhuttaam | [upADyAya suzWu pariSrAntA BartR-dArikA |
   kapola-tala-baddha-sveda-lavāyāḥ paśyāsyā vepete agra-hastau | tat	kapola--tala--badDa--sveda--lavAyAH paSya-asyA vepete agra-hastO | tat-
   samāśvastā bhavatu muhūrtam |]	samASvastA Bavatu muhUrtam |]
   rājā - Kāñcanamāle yuktam abhihitam | (hastena grahītum icchati |)	rAjA  KAQcana-mAle yuktam aBihitam | (hastena grahItum icCati |)
   (Āraṇyikā hastam apasārayati |)	(ĀraNyikA hastam apasArayati |)
   [p. 40]	[p. 40]
   Vāsavadattā - (sāsūyam |) bhaavadi ahiaṃ edaṃ vi tue kidaṃ | ṇa hu ahaṃ	Va-AsavadattA  (sA-asUyam |) Baavadi ahiam edam vi tue kidam | Na hu aham
   (Kale aaṃ) Kancaṇamālā-kavveṇa vancaidavvā | [bhagavati adhikam etad api	(Kale aaM) KancaNam-AlA--kavveNa vancEdavvA | [Bagavati aDikam etat api
   tvayā kṛtam | na khalv ahaṃ Kāñcanamālā kāvyena vañcayitavyā |]	tvayA kRtam | na Kalu aham KAQcana-mAlA kAvyena vaQcayitavyAH |]
   Sāṅkṛtyāyanī - (vihasya |) āyuṣmati īdṛśam eva kāvyaṃ bhaviṣyati |	SAFkRtyAyanI  (vihasya |) Ayuzmati IdRSam eva kAvyam Bavizyati |
   Āraṇyikā - (sa-roṣam iva |) avehi Kancaṇamāle avehi | ṇa me bahu-madāsi |	ĀraNyikA  (sa-rozam iva |) avehi KancaNa-mAle avehi | Na me bahu-madAsi |
   [apehi Kāñcanamāle apehi | na me bahumatāsi |]	[apehi KAQcana-mAle apehi | na me bahu-matA-asi |]
   Kāñcanamālā - (sa-smitam |) jai ahaṃ ciṭṭhantī ṇā bahu-madā tā esā	KAQcana-mAlA  (sa--smitam |) jEH aham ciwWantI NA bahu-madA tAH esA
   gacchamhi | [yady ahaṃ tiṣṭhantī na bahu-matā tad eṣā gacchāmi |]	gacCamhi | [yadi aham tizWantI na bahu-matA tat ezA gacCAmi |]
   (iti niṣkrāntā |)	(iti nizkrAntAH |)
   Āraṇyikā - (sa-sambhraman |) Kancaṇamāle ciṭṭha ciṭṭha | ahaṃ se	ĀraNyikA  (sa--samBraman |) KancaNa-mAle ciwWa ciwWa | aham se
   agga-hattho samappido | [Kāñcanamāle tiṣṭha tiṣṭha | ayam asyāgrahastaḥ	agga-hatTaH samappidaH | [KAQcana-mAle tizWa tizWa | ayam asya-agra-hastaH
   samarpitaḥ |]	samarpitaH |]
   rājā - (Āraṇyikāyā hastaṃ gṛhītvā |)	rAjA  (ĀraNyikAyAH hastam gRhItvA |)
   sadyo 'vaśyāya-bindu-vyatikara-śiśiraḥ kiṃ bhavet padma-kośo	sadyas avaSyAya--bindu--vyatikara--SiSiraH kim Bavet padma-koSaH-
   hlāditvaṃ nāsya manye sadṛśam idam uṣasy eva vītātapasya /	hlAdi-tvam na-asya manye sadRSam idam uzasi eva vIta-Atapasya /
   muñcanty ete himaughaṃ nakha-rajanikarāḥ pañca kiṃ so 'pi dāhī	muQcanti ete hima-oGam naKa--raja-nikarAH paQca kim saH api dAhI
   jñātaṃ svedāpadeśād aviratam amṛtaṃ syandate vyaktam etat // HPri_3.11 //	jQAtam sveda-apadeSAt aviratam amRtam syandate vyaktam etat // HPri_3.11 //
   api ca |	api ca |
   etena bāla-vidruma-pallava-śobhāpahāra-dakṣeṇa /	etena bAla-vidruma--pallava--SoBa-apahAra--dakzeNa /
   hṛdaye mama tvayāyaṃ nyasto rāgaḥ sva-hastena // HPri_3.12 //	hRdaye mama tvayA-ayam nyastaH rAgaH sva-hastena // HPri_3.12 //
   [p. 41]	[p. 41]
   Āraṇyikā - (sparśa-viśeṣaṃ nāṭayantī |) ha ddhi ha ddhi | edaṃ Maṇoramaṃ	ĀraNyikA  (sparSa--viSezam nAwayantI |) ha dDi ha dDi | edam MaNoramam
   parisantīe aṇ-atthaṃ evva me aṅgāiṃ karenti | [hā dhik hā dhik | etāṃ	parisantIe aN-atTam evva me aFgAim karenti | [hA Dik hA Dik | etAm
   Manoramāṃ spṛśantyā an-artham eva me 'ṅgāni kurvanti |]	ManoramAm spRSantyAH an-arTam eva me aFgAni kurvanti |]
   Vāsavadattā -(sahasotthāya |) bhaavadi pekkha tumaṃ | ahaṃ uṇa aliaṃ ṇa	Va-AsavadattAH -(-sahasA-utTAya |) Baavadi pekKa tumam | aham uNa aliam Na
   pāremi pekkhiduṃ | [bhagavati paśya tvam | ahaṃ punar alīkaṃ na pārayāmi	pAremi pekKi-dum | [Bagavati paSya tvam | aham punar alIkam na pArayAmi
   prekṣitum |]	prekzitum |]
