   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   devī haṃtyavidyālakṣaṇaṃ tama iti haṃsaḥ paramātmā |	devI haMti-avidyA-lakzaNam tamaH iti haMsaH paramAtmA |
   tadrūpā tacchaktir iti yāvat |	tad-rUpA tad-SaktiH iti yAvat |
   etādṛśī yā sarasvatī vāgadhiṣṭhātrī devī vāgīśvarītyabhidhā eṣā haṃsarūpā	etAdRSI yA sarasvatI vAc-aDizWAtrI devI vAgISvarI-iti-aBiDA ezA haMsa-rUpA
   sarasvatī |	sarasvatI |
   bheḍākhyaparvato yo 'tiśayena gacchatyā bhṛṅgītyabhidhāyā nadyā	Bexa-AKya-parvataH yaH atiSayena gacCatyA BRFgI-iti-aBiDAyA nadyA
   udbhāvanena pavitrībhūtas tasya parvatasya śṛṅge śirasi sarvair dṛśyate |	udBAvanena pavitrIBUtaH tasya parvatasya SRFge Sirasi sarvEH dRSyate |
   atra parvatasyopari sara ekam asti |	atra parvatasya-upari saraH ekam asti |
   tad eva saro haṃsavāgīśvaryāḥ sthānatām āptatayā vidyamānaṃ sarvathaiva	tat eva saraH haMsavAgISvaryAH sTAna-tAm Apta-tayA vidyamAnam sarvaTA-eva
   vartate |	vartate |
   bhṛṅgākhyapuragaṇe yā nadī vahati sā bhṛṅgītyabhidhāsya pūrvoktasya	BRFga-AKya-pura-gaNe yA nadI vahati sA BRFgI-iti-aBiDA-asya pUrva-uktasya
   parvatasya pāde vahantī bhavati |	parvatasya pAde vahantI Bavati |
   grāmīṇās tu bhṛṅg iti puragaṇasya nāma vadamānāḥ |	grAmINAH tu BRFc iti pura-gaNasya nAma vadamAnAH |
   tasya bheḍaparvatādhastād vartino grāmasya bheḍaśabdenaiva bhiḍar iti	tasya Bexaparvata-aDastAt vartinaH grAmasya Bexa-Sabdena-eva Bixar iti
   nāmāpi vadanti |	nAma-api vadanti |
   ādhunikās tu grāme tasmin vasamānās tasya bheḍaparvatasthasarovarasya	ADunikAH tu grAme tasmin vasamAnAH tasya Bexa-parvata-sTa-sarovarasya
   kātyāyanītaḍāga iti nāma kecana kathayanti |	kAtyAyanI-taxAgaH iti nAma kecana kaTayanti |
   tatra kātyāyanyā devyā arthāt |	tatra kAtyAyanyA devyAH arTAt |
   asyā eva haṃsavāgīśvaryās taḍāgaḥ sarovaram iti yāvat |	asyAH eva haMsa-vAgISvaryAH taxAgaH sarovaram iti yAvat |
   asya kātyāyanītaḍāgasya svabhāṣāyām apabhraṃśadoṣena kāntrāg iti nāma	asya kAtyAyanI-taxAgasya sva-BAzAyAm apaBraMSa-dozena kAntrAk iti nAma
   vadamānāś ca bhavanti |	vadamAnAH ca Bavanti |
   tatra kān iti kātyāyanyāḥ trāg taḍāga iti |	tatra kAn iti kAtyAyanyAH trAk taxAgaH iti |
   paraṃ tu tasmin parvate sarovaraḥ śirasi parvatasya pāde nady api vahantī	param tu tasmin parvate sarovaraH Sirasi parvatasya pAde nadI api vahantI
   vartate |	vartate |
   ato	atas-
        devī bheḍagireḥ śṛṅge gaṅgodbhedaśucau svayam |	devI Bexa-gireH SRFge gaFgA-udBeda-SucO svayam |
        saro 'ntar dṛśyate yatra haṃsarūpā sarasvatīti	saraH antar dRSyate yatra haMsa-rUpA sarasvatI-iti
   paṇḍitakalhaṇoktam api saṃgacchate |	paNxita-kalhaNa-uktam api saMgacCate |
   asmin bhiḍarākhyagrāme ekāśilāmayī devīmūrtir jalamadhye 'syā nadyā	asmin Bixara-AKya-grAme ekASilA-mayI devI-mUrtiH jala-maDye asyAH nadyA
   bhavati |	Bavati |
   tatratyā grāmīṇās tām eva bheḍadevīṃ manyamānā bheḍadevīśabdenākārayantaḥ	tatratyAH grAmINAH tAm eva Bexa-devIm manyamAnAH Bexa-devI-Sabdena-akArayantaH
   pūjayanti |	pUjayanti |
   asya puragaṇasya bhṛṅg iti khyātasya madhye yeyaṃ nadī vahaty asyā nadyā	asya pura-gaNasya BRFc iti KyAtasya maDye yA-iyam nadI vahati asyAH nadyA
   bhṛṅgśabdavyapadiṣṭatayaiva bhṛṅgīti nāma yasyāḥ kalhaṇena svapustake	BRFgSabda-vyapadizwa-tayA-eva BRFgI-iti nAma yasyAH kalhaNena sva-pustake
   gaṅgāśabdena nāmoktam |	gaFgA-Sabdena nAma-uktam |
   anyac ca bheḍādevīśabdenaiva grāmasyāpi bhiḍar iti nāma sampannam |	anyat ca BexA-devI-Sabdena-eva grAmasya-api Bixar iti nAma sampannam |
   vastutas tu parvate bhiḍargrāmasthite yat sarovaraṃ tat haṃsavāgīśvaryāḥ	vastutas tu parvate BixargrAma-sTite yat sarovaram tat haMsa-vAgISvaryAH
   sthānam |	sTAnam |
   yā parvatasyādhastān nadī bhṛṅgīti vahamānā sāpi parvatād evodgacchati |	yA parvatasya-aDastAt nadI BRFgI-iti vahamAnA sA-api parvatAt eva-udgacCati |
   tajjalamadhye yā yā śilāmūrtiḥ sā bheḍādevīti grāmīṇamatenāsti |	tad-jala-maDye yA yA SilA-mUrtiH sA BexAt-evI-iti grAmINa-matena-asti |
   asya sarovarasya jalaṃ sarvadaivaikākāraṃ bhavati |	asya sarovarasya jalam sarva-dA-eva-eka-AkAram Bavati |
   na tu kadāpy adhikaṃ kadāpi vā nyūnaṃ bhavati |	na tu kadA-api aDikam kadApi vA nyUnam Bavati |
   asya jalaṃ atipācakaṃ śītalaṃ madhuraṃ ca bhavati ||	asya jalam atipAcakam SItalam maDuram ca Bavati ||
   8. Nandikṣetram	8. Nandi-kzetram
   śloka 36 nambara 8 nandikṣetre |	SlokaH 36 nambara 8 nandi-kzetre |
   nandayati ānandayati sarvān svabhaktān yaḥ so nandī śivaḥ |	nandayati Anandayati sarvAn sva-BaktAn yaH saH nandI SivaH |
   tasya yat kṣetraṃ tīrthaṃ tat nandikṣetraṃ |	tasya yat kzetram tIrTam tat nandi-kzetram |
   atha vā nandīnāmā śivasyānucaro yo gaṇas tatprasādārthaṃ tīrthībhūtaṃ yat	aTa vA nandInAmA Sivasya-anucaraH yaH gaNaH tad-prasAda-arTam tIrTIBUtam yat-
   sthānaṃ tad eva nandikṣetraṃ |	sTAnam tat eva nandi-kzetram |
   purā kila haramukuṭākhye parvate pārvatyā rahaḥsthitayā tasya	purA kila hara-mukuwa-AKye parvate pArvatyA rahaH-sTitayA tasya
   parvatasyādhastād dhārapradeśe nandīnāmā svānucaro gaṇamukhyaḥ sthāpitas |	parvatasya-aDastAt DAra-pradeSe nandI-nAmA sva-anucaraH gaNamuKyaH sTApitaH |
   tasmāt kālād ārabhyaiva tatra nandikṣetraṃ sampannam |	tasmAt kAlAt AraBya-eva tatra nandi-kzetram sampannam |
   tathā ca bhṛṅgīśasaṃhitāyāṃ haramukuṭagaṅgāyātrāmāhātmyavarṇane kadācit	taTA ca BRFgISa-saMhitAyAm hara-mukuwa-gaFgAyAtrA-mAhAtmya-varNane kadAcid-
   pārvatyā śivasya śiraḥsthite kapardākhye jaṭāmukuṭe procchalaṃtī gaṅgā	pArvatyA Sivasya SiraH-sTite kaparda-AKye jawA-mukuwe procCalaMtI gaFgA
   dṛṣṭā |	dRzwA |
   atha tāṃ svasapatnībhūtāṃ śivasya dayitāṃ dṛṣṭvā sapatnīrṣyayā	aTa tAm sva-sapatnIBUtAm Sivasya dayitAm dRzwvA sapatnI-rzyayA
   krodhāndhakuṭiladṛśā ca tayā pārvatyā śivaṃ prati muñcaināṃ matsapatnīm	kroDa-anDa-kuwila-dRSA ca tayA pArvatyA Sivam prati muQca-enAm mad-sapatnIm
   ity uktam |	iti uktam |
   atha śivena bahuśo 'nunāthyamānāpi sā pārvatī yady ahaṃ bhavataḥ priyatamā	aTa Sivena bahuSas anunATyamAnA-api sA pArvatI yadi aham BavataH priyatamA
   tadāvaśyam eva tyajaitām ityākārakam āgraham eva dhārayām āsa |	tadA-avaSyam eva tyaja-etAm iti-AkArakam Agraham eva DArayAm Asa |
   punaś ca pārvatībhaktiparavaśena śivena sā gaṅgā svajaṭāmukuṭād yasmin	punar ca pArvatI-Bakti-para-vaSena Sivena sA gaFgA sva-jawA-mukuwAt yasmin
   kāle tyaktā tasminn eva kāle haramukuṭagaṅgā iti nāma tasyā gaṅgāyāḥ	kAle tyaktA tasmin eva kAle hara-mukuwagaFgA iti nAma tasyAH gaFgAyAH
   sajjātam |	sat-jAtam |
   yato harasya śivasya mukuṭād yā gaṅgā nirgatā sā haramukuṭagaṅgeti |	yatas harasya Sivasya mukuwAt yA gaFgA nirgatA sA hara-mukuwa-gaFgA-iti |
   atha vā harasya mukuṭād vibhraṣṭā satī bhūmau yato 'ticañcalatayā gatā	aTa vA harasya mukuwAt viBrazwA satI BUmO yatas ati-caQcala-tayA gatA
   tato 'pi mukuṭagaṅgeti |	tatas api mukuwagaFgA-iti |
   atha ca śivena pārvatīṃ prati bahusammānapuraḥsaram iti prārthanā kṛtā he	aTa ca Sivena pArvatIm prati bahu-sammAna-puraHsaram iti prArTanA kRtA he
   devī yaiṣā gaṅgā mayā tvadājñayā śirastas tyaktā enāṃ punar api	devI yA-ezA gaFgA mayA tvad-AjQayA SirastaH tyaktAH enAm punar api
   dhārayiṣyāmītīdṛśaṃ śivasya vākyaṃ śrutvaivātikrodhayutā devī śivam	DArayizyAmi-iti-IdRSam Sivasya vAkyam SrutvA-eva-atikroDa-yutA devI Sivam
   apahāya svamānadarśanāya svanivasanāspadībhūtaṃ haramukuṭākhyaṃ parvatam	apahAya sva-mAna-darSanAya sva-nivasana-AspadIBUtam haramukuwa-AKyam parvatam
   āruroha |	Aruroha |
   ārohaṇakāle tatparvatapālakaṃ śivasya mukhyānucaraṃ nandinam ityādideśa he	ArohaNa-kAle tat-parvata-pAlakam Sivasya muKya-anucaram nandinam iti-AdideSa he
   nandin atra parvataśikhare rahasyam ekākinī kiṃcit kālaṃ sthāsyāmi |	nandin atra parvata-SiKare rahasyam ekAkinI kiMcid kAlam sTAsyAmi |
   ato dvāradeśe 'sya parvatasyādhastāt sthitena bhavatā tathā vidheyaṃ yathā	atas dvAra-deSe asya parvatasya-aDastAt sTitena BavatA taTA viDeyam yaTA
   rahaḥsthāyinī māṃ ko 'py anyo na paśyet |	rahaH-sTAyinI mAm kaH api anyaH na paSyet |
   punaś ca yadi matsamīpe praviṣṭakāmaḥ kaścanāgacchet asmai kasmā api	punar ca yadi mad-samIpe pravizwa-kAmaH kaScana-AgacCet asmE kasmE api
   praveśe 'tra na dātavyaḥ |	praveSe atra na dAtavyaH |
   athaitādṛśīṃ śivasyājñāṃ labdhvā śilāvan niścalatayā yāvat nandī praveṣaṃ	aTa-etAdRSIm Sivasya-AjQAm labDvA SilA-vat niScala-tayA yAvat nandI pravezam
   vārayamāṇas tiṣṭhati tāvad eva devīṃ sarvatra mṛgayamāṇaḥ śivo 'pi	vArayamANaH tizWati tAvat eva devIm sarvatra mRgayamANaH SivaH api
   haramukuṭasya pādaṃ prāpa |	hara-mukuwasya pAdam prApa |
   tatra śivaḥ śilāvat sthiratayā sthitaṃ nandinaṃ svānucaraṃ dṛṣṭvāpi	tatra SivaH SilA-vat sTira-tayA sTitam nandinam sva-anucaram dRzwvA-api
   devīsamīpaṃ praveśakāmo yāvat parvatārohaṇonmukho babhūva tāvad eva	devI-samIpam praveSa-kAmaH yAvat parvata-ArohaNa-unmuKaH baBUva tAvat eva
   nandinātrārohaṇe rahaḥsthitāyā devyā ājñā na vartate |	nandi-nAtra-ArohaNe rahaH-sTitAyAH devyAH AjQA na vartate |
   ato nārohavyam ity uktvā ruddho niṣiddhaś ca tato yāvac chivaḥ svayaṃ taṃ	atas na-Arohavyam iti uktvA rudDaH nizidDaH ca tatas yAvat SivaH svayam tam
   nandinaṃ bahuśaḥ sambodhayann api svasmād evāgrahāt muhur muhur	nandinam bahuSas samboDayan api svasmAt eva-agrahAt muhur muhur-
   apracalantaṃ paśyati tāvad evātikrodhakuṭiladṛk sa devas tam iti śaśāpa re	apracalantam paSyati tAvat eva-ati-kroDa-kuwila-dRS sa devaH tam iti SaSApa re
   mūrkha yasmān māṃ parvatasyāsya parvatasthāyā devyāś ca svāminam apy	mUrKa yasmAt mAm parvatasya-asya parvata-sTAyAH devyAH ca svAminam api-
   avajānāsy ato 'tra parvatasyādhastane bhāge tvaṃ macchāyenātikaṭhinena	avajAnAsi atas atra parvatasya-aDastane BAge tvam mad-CAyena-ati-kaWinena
   jaḍabuddhir jaṭarūpo 'dyaprabhṛti bhaviṣyasi |	jaxa-budDiH jawa-rUpaH adyapraBRti Bavizyasi |
   atra saṃskṛtavāṇyāṃ lakāraḍakārayor ekatayā samānārthāt |	atra saMskRta-vANyAm lakAraxakArayoH ekatayA samAna-arTAt |
   tvaṃ jalarūpo bhaviṣyasi |	tvam jala-rUpaH Bavizyasi |
   etac chivamukhapaṅkajāt nirgataṃ śāpavahniṃ śrutvā so nandy api aho	etat Siva-muKa-paFkajAt nirgatam SApa-vahnim SrutvA saH nandI api aho
   śivārdhāyāḥ śivāyā ājñāṃ paripālayate katham ivānena śivenāvicārya	Siva-arDAyAH SivAyAH AjQAm paripAlayate kaTam iva-anena Sivena-avicArya
   vṛthaiva śāpām asyāṃ datta iti svamanasi vicārya taṃ svasvāminaṃ	vRTA-eva SApAm asyAm dattaH iti sva-manasi vicArya tam sva-svAminam
   pratiśaptuṃ samudyatamanā ity uvāca |	pratiSaptum samudyata-manAH iti uvAca |
   yasmād bhavatā paravaśasyāpi mamāvicāryaiva śāpo datto 'to bhavān api	yasmAt BavatA para-vaSasya-api mama-avicArya-eva SApaH dattaH atas BavAn api
   macchāpenādyaprabhṛti kālarūpo 'traiva majjalāśayasamīpe bhaviṣyasi |	mad-SApena-adya-praBRti kAla-rUpaH atra-eva majjala-ASaya-samIpe Bavizyasi |
   arthāt tvaṃ kālarūpajalavān jalāśayo 'traiva bhaviṣyasi |	arTAt tvam kAla-rUpa-jalavAn jalASayaH atra-eva Bavizyasi |
   atas tasmāt kālād ārabhyaiva haramukuṭaparvate 'sya nikaṭavarti	atas tasmAt kAlAt AraBya-eva hara-mukuwa-parvate asya nikawa-varti
   jalāśayadvayaṃ śivasya varapradānena pāvakatīrthībhūtaṃ ca sampannam |	jalASaya-dvayam Sivasya vara-pradAnena pAvakatIrTIBUtam ca sampannam |
   tatraikasya nandikṣetraṃ nāma anyasya kālakṣetraṃ nāma vartate |	tatra-ekasya nandikzetram nAma anyasya kAlakzetram nAma vartate |
   ādhunike kāle 'pi uktam etaj jalāśayadvayam |	ADunike kAle api uktam etat jalASaya-dvayam |
   ābhyām eva nāmabhyāṃ nirdiśyamānaṃ śvetajalaṃ kṛṣṇajalaṃ ca	AByAm eva nAmaByAm nirdiSyamAnam Sveta-jalam kRzNa-jalam ca
   yātrikadṛggocaraṃ bhavati |	yAtrika-dRS-gocaram Bavati |
   kiṃ tu	kim tu
        nandikṣetre surāvāsaprāsāde dyucarārpitāḥ |	nandi-kzetre surA-vAsa-prAsAde dyucara-arpitAH |
        adyāpi yatra vyajyante pūjācandanabindavaḥ ||	adya-api yatra vyajyante pUjA-candana-bindavaH ||
   iti yat paṇḍitakalhaṇena svapustake likhitaṃ |	iti yat paNxita-kalhaNena sva-pustake liKitam |
   tadādhunike kāle prāsādādīnām abhāvena candanabindūnāṃ darśanādi kim api	tadA-aDunike kAle prAsAda-AdInAm aBAvena candana-bindUnAm darSana-Adi kim api
   na saṃgacchate |	na saMgacCate |
   ato jñāyate puratāne kāle tat sarvam abhaviṣyad eva	atas jQAyate puratAne kAle tat sarvam aBavizyat eva
   asyoktajalāśayadvayasya kāśmīrikagrāmīṇabhāṣayā nund kol iti nāmadvayaṃ	asya-ukta-jala-ASaya-dvayasya kASmIrika-grAmINa-BAzayA nund kol iti nAma-dvayam
   sarvajanakathyamāṇaṃ bhavati |	sarva-jana-kaTyamANam Bavati |
   etat tīrthadvayaṃ laharābhidhapuragaṇasya paryantabhūmau	etat tIrTa-dvayam lahara-aBiDa-pura-gaNasya paryanta-BUmO
   haramukuṭagaṅgānikaṭe vartate |	hara-mukuwa-gaFgA-nikawe vartate |
   haramukuṭagaṅgāyātrāmārge pūrvam asyaiva tīrthadvayasya darśanaṃ bhavati |	hara-mukuwa-gaFgAyAtrA-mArge pUrvam asya-eva tIrTa-dvayasya darSanam Bavati |
   tadanu mukuṭagaṅgātīraṃ pratiyātrikāḥ samāgacchanti |	tadanu mukuwa-gaFgA-tIram pratiyAtrikAH samAgacCanti |
   asya puragaṇasya grāmīṇabhāṣāyāṃ lārpargaṇa iti mukuṭagaṅgāyāś ca gaṅgabal	asya pura-gaNasya grAmINa-BAzAyAm lArpargaNaH iti mukuwagaFgAyAH ca gaFga-bal
   iti nāma vartate |	iti nAma vartate |
   yato bal iti kaśmīrabhāṣāyāṃ sthānasya nāma bhavati |	yatas bal iti kaSmIra-BAzAyAm sTAnasya nAma Bavati |
   ato gaṅgabal iti gaṅgāsthānam iti yāvat |	atas gaFgabal iti gaFgA-sTAnam iti yAvat |
   asyāṃ haramukuṭagaṅgāyā yātrāyāṃ nunargrāmo yaḥ kaśmīranagarāt saptabhiḥ	asyAm hara-mukuwagaFgAyAH yAtrAyAm nunargrAmaH yaH kaSmIra-nagarAt saptaBiH
   krośair dūre vartate |	kroSEH dUre vartate |
   tatra yātrikāḥ pūrvasmin dine samāgatya dvitīyasmin dine karaṅkanadī iti	tatra yAtrikAH pUrvasmin dine samAgatya dvitIyasmin dine karaFka-nadI iti
   nāmnākhyātāṃ nadīm āśritya tanmārgenaiva rāmarādhan iti grāmaṃ	nAmnA-AKyAtAm nadIm ASritya tad-mArgena-eva rAma-rADan iti grAmam
   samāgacchanti |	samAgacCanti |
   amuṃ rāmarādhangrāmaṃ yāvat sasyādikṣetrāṇi grāmavartino vṛkṣāś ca	amum rAma-rADan-grAmam yAvat sasya-Adi-kzetrANi grAma-vartinaH vRkzAH ca
   sarvathā dṛśyante |	sarvaTA dRSyante |
   asmāt sthānād ārabhya parvatā eva sarvatra bhavati |	asmAt sTAnAt AraBya parvatAH eva sarvatra Bavati |
   tadagragaṇyatāyāṃ bharatābhidho parvato yasya grāmīṇamatena bharuth iti	tad-agra-gaNya-tAyAm Barata-aBiDaH parvataH yasya grAmINa-matena BaruT iti
   nāmāsti |	nAma-asti |
   tam āruhya yātrikāṇāṃ gamanaṃ bhavati |	tam Aruhya yAtrikANAm gamanam Bavati |
   asmād eva sthānād ārabhya grāmādikaṃ kim api haramukuṭagaṅgāṃ yāvan na	asmAt eva sTAnAt AraBya grAma-Adikam kim api hara-mukuwa-gaFgAm yAvat na
   labhyate |	laByate |
   atratyā vṛkṣā api vanyavṛkṣā eva sarvatra darīdṛśyante |	atratyAH vRkzAH api vanya-vRkzAH eva sarvatra darIdRSyante |
   bharataparvatād ārabhya haramukuṭaṃ yāvat kvāpi tādṛśā vṛkṣā naiva	Barata-parvatAt AraBya hara-mukuwam yAvat kvApi tAdRSAH vRkzAH na-eva
   labhyante yebhyo 'nnapacanādyarthe indhanaṃ gṛhyeta |	laByante yeByaH anna-pacana-Adi-arTe inDanam gRhyeta |
   kiṃ tu ekaṃ latākṛti kāṣṭhaṃ tādṛśaṃ vartate yad ārdram eva tasminn eva	kim tu ekam latA-AkRti kAzWam tAdRSam vartate yat Ardram eva tasmin eva
   kāle samunmūlitaṃ sad dahati |	kAle samunmUlitam sat dahati |
   tasya kāṣṭhasya saṃskṛte vānarendhanam iti nāsti |	tasya kAzWasya saMskRte vAnara-inDanam iti na-asti |
   tathā ca kalhaṇaḥ na jvalaty agnisaṃge 'pi nivīryaṃ vānarendhanam |	taTA ca kalhaNaH na jvalati agni-saMge api nivIryam vAnara-inDanam |
   ayaṃ kāṣṭhabhedo jvālārahito 'pi pākādikriyaṃ sampādayaty eva asya	ayam kAzWa-BedaH jvAlA-rahitaH api pAka-Adi-kriyam sampAdayati eva asya
   grāmīṇānāṃ bhāṣaṇe viṭhur vā viṭhar kāṭh nāma bhavatīti ||	grAmINAnAm BAzaNe viWuH vA viWar kAW nAma Bavati-iti ||
   9. Śāradā Devī	9. ŚAradA DevI
   śloka 37 nambara 9 śāradā devī tatra śāradāpadaniruktiḥ |	SlokaH 37 nambara 9 SAradA devI tatra SArada-Apada-niruktiH |
   śarāṇāṃ bāṇānāṃ samūhaḥ śāraṃ daityāsu jālaṃ dyati khaṇḍayati yā sā śāradā	SarANAm bANAnAm samUhaH SAram dEtyAsu jAlam dyati KaNxayati yA sA SAradA
   atha vā śāro vāyau sa tu triṣu karbure iti kośamatena |	aTa vA SAraH vAyO sa tu trizu karbure iti koSa-matena |
   śāraṃ māyārūpaṃ vāyuṃ dyati nāśayati yā sā |	SAram mAyA-rUpam vAyum dyati nASayati yA sA |
   anyac ca |	anyat ca |
   śāraṃ śavalaṃ nānāvidhaṃ śāstrīyaṃ śilpādikaṃ ca jñānaṃ dadāti yā sā |	SAram Savalam nAnAviDam SAstrI-iyam Silpa-Adikam ca jQAnam dadAti yA sA |
   atha ca śakārasakārayor aikyena śāradā sāradā ca |	aTa ca SakArasa-kArayoH Ekyena SAradA sAradA ca |
   tatra sāraṃ balaṃ yogyaṃ jñānaṃ varādikam uttamaṃ ca yā dadāti sā sāradā |	tatra sAram balam yogyam jQAnam vara-Adikam uttamam ca yA dadAti sA sAradAH |
   etādṛśīṃ śāradāṃ devīṃ dyotanaśīlāṃ ye paśyaṃti |	etAdRSIm SAradAm devIm dyotana-SIlAm ye paSyaMti |
   arthāt śāradātīrthayātrāṃ ye janāḥ kurvanti |	arTAt SAradA-tIrTa-yAtrAm ye janAH kurvanti |
   te 'vaśyam eva tasyāḥ prasādena kavisevitā |	te avaSyam eva tasyAH prasAdena kavi-sevitAH |
   kavibhir api sadā pūjyamānā |	kaviBiH api sadA pUjyamAnAH |
   vaikharīrūpāyā saṃskṛtavāṇītāṃ vāṇīṃ prāpnuvanti |	vEKarI-rUpAyAH saMskRta-vANItAm vANIm prApnuvanti |
   śāradāvaraprasādāt kavikarmanipuṇāḥ kāvyaśaktibhājaḥ kavayo bhavanti |	SArada-avara-prasAdAt kavi-karma-nipuNAH kAvya-Sakti-BAjaH kavayaH Bavanti |
   anyac ca |	anyat ca |
   ye tattīrthayātrāsamudyatās tatra gacchanti te 'vaśyaṃ madhumatīnāmanadīm	ye tad-tIrTa-yAtrA-samudyatAH tatra gacCanti te avaSyam maDumatI-nAm-anadIm
   api samprāpnuvanti |	api samprApnuvanti |
   arthāt tadyātrāmārgamadhyasthitā madhumatī nāmnā prakhyātaikā nady api	arTAt tad-yAtrA-mArga-maDya-sTitA maDumatI nAmnA praKyAta-ekA nadI api
   vartate |	vartate |
   ato madhye mārgaṃ tām api te labhante |	atas maDye mArgam tAm api te laBante |
   atas	atas
        taraṅgiṇī madhumatī vāṇī ca kavisevitā	taraFgiNI maDumatI vANI ca kavi-sevitA
   ityādi kalhaṇoktaṃ yuktatamaṃ bhavati |	ityAdi kalhaNa-uktam yuktatamam Bavati |
   asyā eva śāradādevyāḥ samāśrayaṇenāsya kaśmīradeśasyāpi kecana janāḥ	asyAH eva SAradA-devyAH samASrayaNena-asya kaSmIra-deSasya-api kecana janAH
   śāradāpīṭham iti nāma vadanti |	SAradA-pIWam iti nAma vadanti |
   tatra śāradāyāḥ pīṭham āsanam iti vyutpattyā śāradāyā adhiṣṭhānībhūto 'yaṃ	tatra SAradAyAH pIWam Asanam iti vyutpattyA SAradAyAH aDizWAnIBUtaH ayam
   deśaḥ śāradāpīṭhapadavācya ity api samīcīnam eva |	deSaH SAradA-pIWa-pada-vAcyaH iti api samIcInam eva |
   atra śāradādevīsthāna eko jalāśayaḥ kuṇḍākṛtir asti |	atra SAradA-devI-sTAnaH ekaH jalASayaH kuNxa-AkRtiH asti |
   yasyopari tādṛśy ekā bṛhacchilā vartate |	yasya-upari tAdRSI ekA bRhat-SilA vartate |
   yayā tat kuṇḍaṃ sarvam antarhitaṃ darīdṛśyamānaṃ sarvathaivāsti |	yayA tat kuNxam sarvam antarhitam darI-dRSyamAnam sarvaTA-eva-asti |
   atra bhādrapadamāsaśuklāṣṭamyāṃ yātrā yātrikaiḥ kriyate |	atra BAdrapada-mAsa-Sukla-azwamyAm yAtrA yAtrikEH kriyate |
   tathā ca vapanapūrvakaṃ śrāddhahomādikriyākalāpasya niṣpattir apy atra	taTA ca vapana-pUrvakam SrAdDa-homa-Adi-kriyA-kalApasya nizpattiH api atra
   bhavati |	Bavati |
   kaśmīranagarād aṣṭabhiḥ prayāṇakaiḥ paḍāv iti khyātaiḥ śāradātīrthaprāptir	kaSmIra-nagarAt azwaBiH prayANakEH paxO iti KyAtEH SAradA-tIrTa-prAptiH-
   asti |	asti |
   mārge durgamo 'tiśayena jalaprāyaś ca sarvathā yātrikair ullaṅghyate |	mArge durgamaH atiSayena jalaprAyas ca sarvaTA yAtrikEH ullaFGyate |
   etac chāradāsthānaṃ sarvam eva kramarājyamaṇḍalam ullaṅghyāgravartini	etat SArada-AsTAnam sarvam eva krama-rAjya-maNxalam ullaFGya-agra-vartini
   drauv iti khyāte sthāne vartate |	drO iti KyAte sTAne vartate |
   kaśmīrabhāṣāyāṃ asya śāradāsthānasya śārad iti nāmā kārayaṃti |	kaSmIra-BAzAyAm asya SArada-AsTAnasya SArat iti nAmA kArayaMti |
   asya drauvpuragaṇasya karaṇāv mujapharābād gilgith ityādy anekaiḥ	asya drOvpura-gaNasya karaNO mujaPara-AbAt gilgiT ityAdi anekEH
   kaśmīraparyantabhūsthitapradeśais saha sambandho bhūmair bhavati |	kaSmIra-paryanta-BU-sTita-pradeSEH saha sambanDaH BUmEH Bavati |
   etatsthānanivasamānā janā gujjer iti nāmnā khyātā bhavanti |	etat-sTAna-nivasamAnAH janAH gujjeH iti nAmnA KyAtAH Bavanti |
   ete pañcanadadeśīyabhāṣyamāṇāṃ bhāṣāṃ vadanto darīdṛśyante |	ete paQcanada-deSIya-BAzyamANAm BAzAm vadantaH darIdRSyante |
