   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   tvaṃ hi trāṇa layanaṃ parāyaṇa agracaryamamalaṃ vadādya me // 40 //	tvam hi trANa layanam parAyaNa agra-caryam-amalam vada-adya me // 40 //
   jñānalotu(pu ?) bhavate kṣayaḥ kathaṃ dhāraṇī amṛta bodhi udgatam /	jQAna-lotu(pu ?) Bavate kzayaH kaTam DAraNI amRta boDi udgatam /
   prajñāsāgara kathaṃ viśudhyate yena chindati jane 'sya saṃśayam // 41 //	prajQA-sAgara kaTam viSuDyate yena Cindati jane asya saMSayam // 41 //
   saṃsaran subahukalpakoṭiyaḥ khedabuddhi na ca jātu jāyate /	saMsaran su-bahu-kalpa-kowiyaH Keda-budDi na ca jAtu jAyate /
   vīkṣya lokamapi duḥkhapīḍitaṃ teṣamarthakuśalaṃ niṣevate // 42 //	vIkzya lokam-api duHKa-pIxitam tezam-arTa-kuSalam nizevate // 42 //
   kṣetraśuddhiparivārasaṃpadaṃ āyuragryamatha kṣetrasaṃpadam /	kzetra-SudDi-parivAra-saMpadam AyuH-agryam-aTa kzetra-saMpadam /
   sattvakāraṇakathā niruttarā bodhicaryamamalāṃ prakāśaya // 43 //	sattva-kAraNa-kaTA niruttarA boDi-caryam-amalAm prakASaya // 43 //
   mārabhañjana kudṛṣṭiśodhanā tṛṣṇaśoṣaṇa vimuktisparśanā /	mAraBaQjana kudRzwi-SoDanA tRzNa-SozaNa vimukti-sparSanAH /
   dharmanetri rayina pramuhyata sattvaratna nigadottamāṃ carim // 44 //	Darmanetri rayina pramuhyata sattva-ratna nigada-uttamAm carim // 44 //
   rūpa bhoga pratibhānasaṃpadaṃ snigdhavākparṣadaśca toṣaṇī /	rUpa Boga pratiBAna-saMpadam snigDa-vAc-parza-daH-ca tozaNI /
   meghavatsugata tarpayañjagat deśayasyapi ca buddhagocaram // 45 //	meGa-vat-sugata tarpayan-jagat deSayasI-api ca budDa-gocaram // 45 //
   mañjughoṣa kalaviṅkususvarā brahmaghoṣa kumatipraṇāśanā /	maQjuGoza kalaviFkusu-svarAH brahmaGoza kumati-praNASanA /
   dharmakāma parṣatsamāgatā tarpayāmṛtarasena tāṃ prabho // 46 //	Darma-kAma parzad-samAgatA tarpaya-amRta-rasena tAm praBo // 46 //
   asti chanda pravarāgrabodhaye dharmachanda vihito na yujyate /	asti Canda pravara-agra-boDaye Darma-Canda vihitaH na yujyate /
   deśanāsamaya eṣa nāyakā kāla eṣa vararatnaśrāvaṇe // 47 //	deSanA-samayaH eza nAyakA kAlaH eza vara-ratna-SrAvaNe // 47 //
   bodhikāṅkṣu mama vidyate mune āśayaṃ mama jina prajānase /	boDi-kAFkzu mama vidyate mune ASayam mama jina prajAnase /
   prārthayāmi na jinasya heṭhanāṃ sādhu uttamacariṃ prakāśaya // 48 //	prArTayAmi na jinasya heWanAm sADu uttama-carim prakASaya // 48 //
   (Vaidya, RP 125)	(VEdya, RS 125)
   evamukte bhagavānāyuṣmāntaṃ rāṣṭrapālametadavocat - sādhu sādhu rāṣṭrapāla	evam-ukte BagavAn-Ayuzma-antam rAzwrapAlam-etat-avocat  sADu sADu rAzwrapAla
   / sādhu sādhu punastvaṃ rāṣṭrapāla yastvaṃ tathāgatametamarthaṃ	/ sADu sADu punar-tvam rAzwrapAla yaH-tvam taTAgatam-etam-arTam
   paripraṣṭavyaṃ manyase / bahujanahitāya tvaṃ rāṣṭrapāla pratipanno	pariprazwavyam manyase / bahu-jana-hitAya tvam rAzwrapAla pratipannaH-
   bahujanasukhāya arthāya hitāya devānāṃ ca manuṣyāṇāṃ ca, etarhi	bahu-jana-suKAya arTAya hitAya devAnAm ca manuzyANAm ca, etarhi
   cānāgatānāṃ ca bodhisattvānāṃ mahāsattvānāṃ saṃparigrahāya / tena hi	ca-anAgatAnAm ca boDisattvAnAm mahAsattvAnAm saMparigrahAya / tena hi
   rāṣṭrapāla śṝṇu, sādhu ca suṣṭhu ca manasi kuru / bhāṣiṣye / sādhu	rAzwrapAla SLNu, sADu ca suzWu ca manasi kuru / BAzizye / sADu
   bhagavannityāyuṣmān rāṣṭrapālo bhagavataḥ pratyaśroṣīt /	Bagavan=-iti-AyuzmAn rAzwrapAlaH BagavataH pratyaSrozIt /
   bhagavāṃstasyaitadavocat -	BagavAn=-tasya-etat-avocat -
   caturbhī rāṣṭrapāla dharmaiḥ samanvāgato bodhisattvo mahāsattva etāṃ	caturBiH rAzwrapAla DarmEH samanvAgataH boDisattvaH mahAsattvaH etAm
   pariśuddhiṃ pratilabhate / katamaiścaturbhiḥ ? yaduta	pariSudDim pratilaBate / katamEH-caturBiH ? yat-uta
   ārāgādhyāśayapratipattyā sarvasattvasamacittatayā śūnyatābhāvanatayā	ArAga-aDyASaya-pratipattyA sarva-sattva-sama-citta-tayA SUnyatA-BAvana-tayA
   yathāvāditathākāritayā / ebhī rāṣṭrapāla catirbhirdharmaiḥ samanvāgato	yaTA-vAdi-taTA-kAritayA / eBiH rAzwrapAla catirBiH-DarmEH samanvAgataH-
   bodhisattvo mahāsattva etāṃ pariśuddhiṃ pratilabhate / iyamatra dharmatā	boDisattvaH mahAsattvaH etAm pariSudDim pratilaBate / iyam-atra DarmatA
   tatredamucyate -	tatra-idam-ucyate -
   āśayena hi sadābhiyuktakā bodhimārga avivartyamānasāḥ /	ASayena hi sadA-aBiyuktakAH boDimArga avivartya-mAnasAH /
   no ca śāṭhya na khilaṃ na māyatā teṣu vidyati anantajñāninām // 49 //	no ca SAWya na Kilam na mAyatA tezu vidyati ananta-jQAninAm // 49 //
   dṛṣṭva sattva dukhitānanāyakān jātivyādhijaramṛtyumarditān /	dRzwva sattva duKitAnanAyakAn jAti-vyADi-jara-mRtyu-marditAn /
   tāraṇārtha bhavato * * jagat dharmanāva samudānayanti te // 50 //	tAraNa-arTa BavataH * * jagat DarmanAva samudAnayanti te // 50 //
   sarvasattvasamacitta sūratā ekaputrakavadīkṣate jagat /	sarva-sattva-samacitta sUratA eka-putra-kavat-Ikzate jagat /
   sarvametadapi mocayāmyaham evamāśaya tathāgrapudgalāḥ // 51 //	sarvam-etat-api mocayAmi-aham evam-ASaya taTA-agra-pudgalAH // 51 //
   śūnyatāsu satataṃ gatiṃ gata naiva cātma na ca sattva vidyate /	SUnyatAsu satatam gatim gata na-eva ca-Atma na ca sattva vidyate /
   svapnamāyasadṛśaṃ hi saṃskṛtam atra bāla abudho vimohitā // 52 //	svapna-mAya-sadRSam hi saMskRtam atra bAla abuDaH vimohitAH // 52 //
   vācayā yatha vadanti te budhāstatra caiva pratipattiyā sthitāḥ /	vAcayA yaTa vadanti te buDAH-tatra ca-eva pratipattiyA sTitAH /
   dānta śānta sada doṣavarjitā bodhisattvamārganiratā jinātmajāḥ // 53 //	dAnta SAnta sada doza-varjitAH boDisattva-mArga-niratAH jina-AtmajAH // 53 //
   catvāra ime rāṣṭrapāla bodhisattvānāmāśvāsapratilābhā dharmāḥ / katame	catvAraH ime rAzwrapAla boDisattvAnAm-ASvAsa-pratilABAH DarmAH / katame
   catvāraḥ ? dhāraṇī pratilābhaḥ kalyāṇamitrapratilābhaḥ	catvAraH ? DAraNI pratilABaH kalyANa-mitra-pratilABaH
   gambhīradharmakṣāntipratilābhaḥ pariśuddhaśīlasamācāratā / ime rāṣṭrapāla	gamBIra-Darma-kzAnti-pratilABaH pariSudDa-SIla-samAcAra-tA / ime rAzwrapAla
   catvāri bodhisattvānāmāśvāsapratilābhā dharmāḥ / iyamatra dharmatā //	catvAri boDisattvAnAm-ASvAsa-pratilABAH DarmAH / iyam-atra DarmatA //
   tatredamucyate -	tatra-idam-ucyate -
   lābhino bhavanti dhāraṇīṣu te sadā mahāyaśā	lABinaH Bavanti DAraNIzu te sadA mahA-yaSA
   dhārayanti yena dharma śreṣṭha sarvabuddhabhāṣitam /	DArayanti yena Darma SrezWa sarva-budDa-BAzitam /
   na ca praṇāśayanti jātu bhūyu vardhate rati	na ca praNASayanti jAtu BUyu varDate rati
   asaṅgameva teṣu jñāna sarvadharmapāragāḥ // 54 //	asaFgam-eva tezu jQAna sarva-Darma-pAragAH // 54 //
   kalyāṇamitramāpnuvanti bodhi aṅgavardhakā	kalyANa-mitram-Apnuvanti boDi aFga-varDakA
   deśayanti śreṣṭha mārga tasya yena yānti nāyakāḥ /	deSayanti SrezWa mArga tasya yena yAnti nAyakAH /
   na kvacicca te bhavanti pāpamitrasevakā	na kvacid-ca te Bavanti pApa-mitra-sevakA
   dūrato vivarjayanti te 'gnivacca dāhanātmakān // 55 //	dUratas vivarjayanti te agni-vat-ca dAhana-AtmakAn // 55 //
   (Vaidya, RP 126)	(VEdya, RS 126)
   gambhīra dharma śrutva dhīra śūnyatopasaṃhitaṃ	gamBIra Darma Srutva DIra SUnyatA-upasaMhitam
   na cātmasattvajīvadṛṣṭi teṣu bhonti sarvaśaḥ /	na ca-Atma-sattva-jIva-dRzwi tezu Bonti sarvaSas /
   acchidraśīla te bhavanti śāntadāntamānasā	acCidra-SIla te Bavanti SAnta-dAnta-mAnasA
   anuttare ca buddhaśīli sa tva tāṃ niyojayet // 56 //	anuttare ca budDa-SIli sa tva tAm niyojayet // 56 //
   catvāra ime rāṣṭrapāla bodhisattvānāṃ saṃsāraprāptānāṃ prītikaraṇā dharmāḥ	catvAraH ime rAzwrapAla boDisattvAnAm saMsAra-prAptAnAm prIti-karaNAH DarmAH
   / katame catvāraḥ ? buddhadarśanaṃ rāṣṭrapāla bodhisattvānāṃ prītikaraṇo	/ katame catvAraH ? budDa-darSanam rAzwrapAla boDisattvAnAm prIti-karaNaH-
   dharmaḥ / anulomadharmaśravaṇaṃ rāṣṭrapāla bodhisattvānāṃ prītikaraṇo	DarmaH / anuloma-Darma-SravaNam rAzwrapAla boDisattvAnAm prIti-karaNaH-
   dharmaḥ / sarvasvaparityāgaḥ / anupalambhadharmakṣāntiḥ / ime rāṣṭrapāla	DarmaH / sarva-sva-parityAgaH / anupalamBa-Darma-kzAntiH / ime rAzwrapAla
   bodhisattvānāṃ saṃsāraprāptānāṃ catvāraḥ prītikaraṇā dharmāḥ / iyamatra	boDisattvAnAm saMsAra-prAptAnAm catvAraH prIti-karaNAH DarmAH / iyam-atra
   dharmatā //	DarmatA //
   tatredamucyate -	tatra-idam-ucyate -
   paśyanti te narottamaṃ saṃbuddhaṃ sarvajātiṣu	paSyanti te narottamam saMbudDam sarva-jAtizu
   sarvaloka bhāsayanta tejasā samantataḥ /	sarva-loka BAsayanta tejasA samantataH /
   pūjayaṃstathā narendrarāja premagauravasthitā	pUjayan=-taTA narendra-rAja prema-gOrava-sTitA
   varāgrabodhimeṣamāṇa sattvamokṣakāraṇāt // 57 //	vara-agra-boDim-ezamANa sattva-mokza-kAraNAt // 57 //
   śṛṇoti dharma nāyakāna śāntamānulomikam	SRNoti Darma nAyakAna SAntam-Anulomikam
   āśayena śrutva dhīra yoniśaḥ prayujyate /	ASayena Srutva DIra yoniSas prayujyate /
   anopalambhadharma śrutva kāṅkṣa nāsya jāyate	anopalamBa-Darma Srutva kAFkza na-asya jAyate
   niḥsattva iti sattvadharma nātra ātma vidyate // 58 //	niHsattvaH iti sattva-Darma na-atra Atma vidyate // 58 //
   sarvasvaparityāgi so bhaveta ityamagraho	sarva-sva-parityAgi saH Baveta iti-amagrahaH-
   prahṛṣṭacitta dṛṣṭva caiva yācakamupāgatam /	prahRzwa-citta dRzwva ca-eva yAcakam-upAgatam /
   grāmarāṣṭramedinīṃ ca putra dāra jīvitaṃ	grAma-rAzwra-medinIm ca putra dAra jIvitam
   saṃtyajanti sarva nāsya jāyate ca cittaiñjanā // 59 //	saMtyajanti sarva na-asya jAyate ca cittEQjanAH // 59 //
   caturṣu rāṣṭrapāla dharmeṣu bodhisattvenānapekṣeṇa bhavitavyam / katameṣu	caturzu rAzwrapAla Darmezu boDisattvena-anapekzeNa Bavitavyam / katamezu
   caturṣu ? gṛhavāsādrāṣṭrapāla bodhisattvenānapekṣeṇa bhavitavyam /	caturzu ? gRha-vAsAt-rAzwrapAla boDisattvena-anapekzeNa Bavitavyam /
   pravrajitvā rāṣṭrapāla bodhisattvena lābhasatkārādanapekṣeṇa bhavitavyam /	pravrajitvA rAzwrapAla boDisattvena lABa-satkArAt-anapekzeNa Bavitavyam /
   kulasaṃstavādrāṣṭrapāla bodhisattvenānapekṣeṇa bhavitavyam /	kula-saMstavAt-rAzwra-pAla boDisattvena-anapekzeNa Bavitavyam /
   kāyajīvitādrāṣṭrapāla bodhisattvenānapekṣeṇa bhavitavyam / eṣu caturṣu	kAya-jIvitAt-rAzwrapAla boDisattvena-anapekzeNa Bavitavyam / ezu caturzu
   rāṣṭrapāla dharmeṣu bodhisattvenānapekṣeṇa bhavitavyam / iyamatra dharmatā	rAzwrapAla Darmezu boDisattvena-anapekzeNa Bavitavyam / iyam-atra Darma-tA
   tatredamucyate -	tatra-idam-ucyate -
   tyaktvā gehamanantadoṣagahanaṃ cintānapekṣā sadā	tyaktvA geham-ananta-doza-gahanam cintA-anapekzA sadA
   te 'raṇye ratimāpnuvanti guṇinaḥ śāntendriyāḥ sūratāḥ /	te araNye ratim-Apnuvanti guNinaH SAnta-indriyAH sUratAH /
   na strīsaṃstavu naiva cāpi purusaisteṣāṃ kvacidvidyate	na strIsaMstavu na-eva ca-api purusEH-tezAm kvacid-vidyate
   ekākī viharanti khaḍgavimalāḥ śuddāśayā nirmalāḥ // 60 //	ekAkI viharanti Kaxga-vimalAH SuddASayA nirmalAH // 60 //
   (Vaidya, RP 127)	(VEdya, RS 127)
   lābhairnāpi ca teṣu harṣita mano līyantyalārbhairna ca	lABEH-na-api ca tezu harzita manaH lIyanti-alArBEH-na ca
   alpecchā itaretarairabhiratā māyākuhāvarjitāḥ /	alpa-icCAH itaretarEH-aBiratAH mAyA-kuha-AvarjitAH /
   sattvārthāya ca vīryayuktamanaso dāne dame 'vasthitā	sattva-arTAya ca vIrya-yukta-manasaH dAne dame avasTitA
   dhyāne vīryaguṇe ca pāramigatāḥ saṃbuddhajñānārthinaḥ // 61 //	DyAne vIrya-guNe ca pAramigatAH saMbudDa-jQAna-arTinaH // 61 //
   kāye cāpyanapekṣya jīvita tathā tyaktvā priyān bāndhavām	kAye ca-api-anapekzya jIvita taTA tyaktvA priyAn bAnDavAm
   yujyante sada bodhimārga sudṛḍhā vajropamādhyāśayāḥ /	yujyante sada boDimArga su-dRXAH vajra-upama-aDyASayAH /
   kāyaśchidyati khaṇḍaśaśca na bhavetteṣāṃ ca citteñjanā	kAyaH-Cidyati KaNxaSas-ca na Bavet-tezAm ca citta-iQjanA
   bhūyo vīryamihārabhanti sudṛḍhaṃ sarvajñatākāṅkṣiṇaḥ // 62 //	BUyas vIryam-iha-AraBanti su-dRXam sarvajQa-tA-kAFkziNaH // 62 //
   catvāra ime rāṣṭrapāla bodhisattvānāmananutāpakaraṇā dharmāḥ / katame	catvAraH ime rAzwrapAla boDisattvAnAm-ananu-tApa-karaNAH DarmAH / katame
   catvāraḥ ? śīlākhaṇḍanatā rāṣṭrapāla bodhisattvānāmananutāpakaraṇo	catvAraH ? SIlA-KaNxanatA rAzwrapAla boDisattvAnAm-ananu-tApa-karaNaH-
   dharmaḥ, araṇyavāsākutsyajanatā, catuṇāmāryavaṃśānāmanuvartanatā,	DarmaH, araNya-vAsA-kutsya-jana-tA, catuNAm-Arya-vaMSAnAm-anuvartana-tA,
   bāhuśrutyapratilābho rāṣṭrapāla bodhisattvānāmananutāpakaraṇo dharmaḥ /	bAhu-Srutya-pratilABaH rAzwrapAla boDisattvAnAm-ananu-tApa-karaNaH DarmaH /
   ime rāṣṭrapāla catvāro bodhisattvānāmananutāpakaraṇā dharmāḥ / iyamatra	ime rAzwrapAla catvAraH boDisattvAnAm-ananutApa-karaNAH DarmAH / iyam-atra
   dharmatā //	DarmatA //
   tatredamucyate -	tatra-idam-ucyate -
   rakṣanti śīlamamalaṃ maṇiratnatulyaṃ na ca teṣu bhoti anuśīla susaṃyato vā	rakzanti SIlam-amalam maNi-ratna-tulyam na ca tezu Boti anuSIla su-saMyataH vA
   tatreva śīli sada sattva niyojayanti / ākāṅkṣamāṇamimamuttamabuddhaśīlam	tatra-iva SIli sada sattva niyojayanti / AkAFkzamANam-imam-uttama-budDa-SIlam
   śūnye ca te hi nivasanti śubhe araṇye naivātmasaṃjña bhavate 'pi na	SUnye ca te hi nivasanti SuBe araNye na-eva-Atma-saMjQa Bavate api na
   jīvasaṃjñā /	jIva-saMjQA /
   tṛṇakāṣṭhakothasama paśayati sattvarūpaṃ strī neha nāsti ca pumānna ca	tRNa-kAzWa-koTa-sama paSayati sattva-rUpam strI na-iha na-asti ca pumAn-na ca
   ātmanīyam // 64 //	AtmanIyam // 64 //
   caturāryavaṃśaniratā akuhā āśāṭhyā adhyāśayena ca prayujyati so 'pramattaḥ	catur-Arya-vaMSa-niratAH akuhAH ASAWyAH aDyASayena ca prayujyati saH apramattaH
   kurvanti ca śrutiguṇeṣu sadābhiyogaṃ saṃprārthayan sugatajñānamahānubhāvam	kurvanti ca Sruti-guNezu sadA-aBiyogam saMprArTayan sugata-jQAna-mahA-anuBAvam
   bhavacārake jagadavekṣya idaṃ hyanāthaṃ jātījarāmaraṇaśokahataṃ rujārtam /	Bava-cArake jagat-avekzya idam hi-anATam jAtI-jarA-maraNa-Soka-hatam rujA-Artam /
   samudānayitva pravarāṃ śivadharmanāvaṃ saṃtārayanti janatāṃ	samudAnayitva pravarAm Siva-Darma-nAvam saMtArayanti janatAm
   bhavasāgaraughāt // 66 //	Bava-sAgara-oGAt // 66 //
   na trāṇamanya śaraṇaṃ hi parāyaṇaṃ vā lokasya saṃskṛtagatau bhramato 'sti	na trANam-anye SaraNam hi parAyaNam vA lokasya saMskRta-gatO BramataH asti
   kaścit /	kaScid /
   mayi sarva eva parimocayitavya sattvā ityarthameva praṇidhirmama	mayi sarve eva parimocayitavya sattvAH iti-arTam-eva praNiDiH-mama
   agrabodhau // 67 //	agra-boDO // 67 //
   (Vaidya, RP 128)	(VEdya, RS 128)
   catasra imā rāṣṭrapāla ājāneyagatayo bodhisattvenānugantavyāḥ /	catasraH imAH rAzwrapAle AjAneya-gatayaH boDisattvena-anugantavyAH /
   katamāścatasraḥ ? sugatipratilābhaḥ, sa ca buddhotpādasamavadhānatayā /	katamAH-catasraH ? sugati-pratilABaH, sa ca budDa-utpAda-samavaDAna-tayA /
   guruśuśrūṣaṇā, sā ca nirāmiṣasevanatayā / prāntaśayyāsanābhiratiḥ, sā ca	guru-SuSrUzaNA, sA ca nirAmiza-sevana-tayA / prAnta-SayyA-Asana-aBiratiH, sA ca
   lābhasatkārānapekṣatayā / pratibhānapratilābhaḥ, sa ca	lABa-satkAra-anapekza-tayA / pratiBAna-pratilABaH, sa ca
   gambhīradharmakṣantisamanvāgatatayā / imā rāṣṭrapāla catasra ājāneyagatayo	gamBIra-Darma-kzanti-samanvAgata-tayA / imAH rAzwrapAla catasraH AjAneya-gatayo
   'nugantavyāḥ / iyamatra dharmatā //	anugantavyAH / iyam-atra DarmatA //
   tatredamucyate -	tatra-idam-ucyate -
   vanakandareṣu satataṃ nivasanti dhīrā lābhena te sada anarthika bhonti	vana-kandarezu satatam nivasanti DIrAH lABena te sadaH anarTika Bonti
   nityam /	nityam /
   pratibhānavān sada bhavanti asaṅgabuddhī gambhīradharmakuśalā	pratiBAnavAn sada Bavanti asaFga-budDI gamBIra-Darma-kuSalA
   vigataprapañcāḥ // 68 //	vigata-prapaQcAH // 68 //
   śuśrūṣakāḥ sada bhavanti guruṣu nityaṃ yatha te vadanti hi tathaiva ca te	SuSrUzakAH sada Bavanti guruzu nityam yaTa te vadanti hi taTA-eva ca te
   prayuktāḥ /	prayuktAH /
   ārāgayanti sugatān bahāvo 'prameyān kurvanti pūja vipulāṃ jinajñānahetoḥ	ArAgayanti sugatAn bahAvaH aprameyAn kurvanti pUja vipulAm jina-jQAna-hetoH
   śreṣṭhā gatirbhavati cāpi mahāśayānāṃ deveṣu caiva manujeṣu ca	SrezWA gatiH-Bavati ca-api mahA-ASayAnAm devezu ca-eva manujezu ca
   mūrdhnaprāptāḥ /	mUrDna-prAptAH /
   sambodhimārga sada sattva samādayanti saṃyojayanti kuśaleṣu daśasvathāpi	samboDimArga sada sattva samAdayanti saMyojayanti kuSalezu daSasu-aTApi
   śrutvā ca buddhaguṇa te ca bhavanti tuṣṭā āsanna te tu nacirādbhavitā hi	SrutvA ca budDaguNa te ca Bavanti tuzwAH Asan-na te tu nacirAt-BavitA hi
   mahyam /	mahyam /
   saṃbudhyate 'pi ca śivāṃ virajāgrabodhiṃ mociṣya sattvaniyutāni	saMbuDyate api ca SivAm viraja-agra-boDim mocizya sattva-niyutAni
   anantaduḥkhāt // 71 //	ananta-duHKAt // 71 //
   catvāra ime rāṣṭrapāla bodhisattvānāṃ bodhicaryāpariśodhakā dharmāḥ /	catvAraH ime rAzwrapAla boDisattvAnAm boDi-caryA-pariSoDakAH DarmAH /
   katame catvāraḥ ? apratihatavijñānavirahitasya bodhisattvacaryā,	katame catvAraH ? apratihata-vijQAna-virahitasya boDisattva-caryA,
   kuhanalapananiṣpeṣaṇaparivarjitasyāraṇyavāsaḥ, sarvasvaparityāgino	kuhana-lapana-nizpezaNa-parivarjitasya-araNya-vAsaH, sarva-sva-parityAginaH-
   vipākāpratikāṅkṣatā, rātriṃdivaṃ dharmakāmatā dharmabhāṇakānāṃ ca	vipAka-apratikAFkzatA, rAtriMdivam Darma-kAma-tA Darma-BANakAnAm ca
   skhalitāgaveṣaṇatā / ime rāṣṭrapāla bodhisattvānāṃ catvāro	sKalita-AgavezaNa-tA / ime rAzwrapAla boDisattvAnAm catvAraH-
   bodhisattvacaryāpariśodhakā dharmāḥ //	boDisattva-caryA-pariSoDakAH DarmAH //
   atha khalu bhagavaṃstasyāṃ vilāyāmimā gāthā abhāṣata -	aTa Kalu Bagavan=-tasyAm vilAyAm-imAH gATAH aBAzata -
   na khila mala na cāpi roṣacittaṃ na ca punareṣati kasyacit sadoṣam /	na Kila mala na ca-api roza-cittam na ca punar-ezati kasyacid sa-dozam /
   aśaṭha akuha niṣprapañcacitto bhavati anuttarabodhimīpsamānaḥ // 72 //	aSaWa akuha nizprapaQca-cittaH Bavati anuttara-boDim-IpsamAnaH // 72 //
   (Vaidya, RP 129)	(VEdya, RS 129)
   gṛhamativiṣamaṃ ca śokamūlaṃ kujanasamāgamayonimasya dūram /	gRham-ati-vizamam ca Soka-mUlam ku-jana-samAgamayonim-asya dUram /
   tyajati tadanapekṣya pravrajitvā girigahane vicaranti mokṣakāmāḥ // 73 //	tyajati tat-anapekzya pravrajitvA giri-gahane vicaranti mokza-kAmAH // 73 //
   araṇya vividha sevamāno bhavati aniśrita sarvajñātralābhe /	araNya viviDa sevamAnaH Bavati aniSrita sarva-jQAtra-lABe /
   kāya api ca jīvite 'napekṣo viharati siṃha ivottrasan jitārim // 74 //	kAya api ca jIvite anapekzaH viharati siMhaH iva-uttrasan jita-arim // 74 //
   bhavati ca itaretareṇa tuṣṭaḥ śakunisamaḥ sada saṃcayaṃ vihāya /	Bavati ca itaretareNa tuzwaH Sakuni-samaH sada saMcayam vihAya /
   na ca bhavati niketu sarvaloke jñāna gaveṣati nitya bodhimārge // 75 //	na ca Bavati niketu sarva-loke jQAna gavezati nitya boDi-mArge // 75 //
   eka viharati yathaiva khaḍgo na ca puna sa trasate yathaiva siṃhaḥ /	eka viharati yaTA-eva KaxgaH na ca puna sa trasate yaTA-eva siMhaH /
   na ca bhuvi viśvasate mṛgeva trasto na ca punarunnamate sa pūjanena // 76	na ca Buvi viSvasate mRgeva trastaH na ca punar-unnamate sa pUjanena // 76
   jagadidamabhivīkṣya ca prapāte prapatitamudyate pramokṣahetoḥ /	jagat-idam-aBivIkzya ca prapAte prapatitam-udyate pramokza-hetoH /
   ahamapi jagato 'sya trāṇabhūto yadi kuśaleṣu careyamapramattaḥ // 77 //	aham-api jagataH asya trANa-BUtaH yadi kuSalezu careyam-apramattaH // 77 //
   sumadhuravacanaḥ smitābhilāṣī akaluṣacitta priyāpriyeṣu nityam /	su-maDura-vacanaH smita-aBilAzI akaluza-citta priya-apriyezu nityam /
   viharati na ca sajjate 'nilo vā naravaracaryāmimābhīpsamānaḥ // 78 //	viharati na ca sajjate anilaH vA nara-vara-caryAm-ima-aBI-psamAnaH // 78 //
   śūnyatamadhimuktamānimittaṃ vicarati saṃskṛta sarvamāyabhūtam /	SUnyatama-Dimuktam-Ani-mittam vicarati saMskRta sarva-mAya-BUtam /
   śamadamanirato viśālabuddhiḥ amṛtarasena ca sarvadā sa tuṣṭaḥ // 79 //	Sama-dama-nirataH viSAla-budDiH amRta-rasena ca sarvadA sa tuzwaH // 79 //
   prativadasi yathā (vasapathā ?) ca bodhimārge sa tu pariśodhayate	prativadasi yaTA (vasa-paTA ?) ca boDi-mArge sa tu pariSoDayate
   sadāśayaṃ ca /	sadASayam ca /
   dhāraṇīpratilābhameṣamāṇaḥ sahati ca duḥkha satāṃ guṇābhikāṅkṣī // 80 //	DAraNI-pratilABam-ezamANaH sahati ca duHKa satAm guNa-aBikAFkzI // 80 //
   (Vaidya, RP 130)	(VEdya, RS 130)
   imu carimabhivīkṣya bodhisattvo yo bhavate 'rthiku śo bhaveta tuṣṭaḥ /	imu carim-aBivIkzya boDisattvaH yaH Bavate arTiku SaH Baveta tuzwaH /
   ya iha bhavati bodhaye asakto janayati doṣaśatāni so 'lpabuddhiḥ // 81 //	yaH iha Bavati boDaye asaktaH janayati doza-SatAni saH alpabudDiH // 81 //
   catvāra ime rāṣṭrapāla bodhisattvānāṃ prapātāḥ / katame catvāraḥ ?	catvAraH ime rAzwrapAla boDisattvAnAm prapAtAH / katame catvAraH ?
   agauravatā rāṣṭrapāla bodhisattvānāṃ prapātaḥ / akṛtajñatā śāṭhyasevanatā	agOrava-tA rAzwrapAla boDisattvAnAm prapAtaH / akRtajQa-tA SAWya-sevana-tA
