   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   hutvopatiṣṭhata ehi bhagaihi bhagaihi bhageti madhyamāyāṃ gāṃ	hutvA-upatizWate ehi Baga-Ehi Baga-Ehi Baga-iti maDyamAyAm gAm
   kārayettāmaṣṭakāyai prokṣettasyāstrīṇi savyānyupoddharati pārśvamapaghanīṃ	kArayet-tAm-azwakAyE prokzet-tasyAH-trINi savyAni-upodDarati pArSvam-apaGanIm
   śroṇīmiti śvobhūte śrāddhamanvaṣṭakyaṃ tadaharvā	SroNIm-iti SvoBUte SrAdDam-anvazwakyam tat-ahar-vA
   brāhmaṇānhavirarhānupaveśya tāṃstarpayitvā tasmādagrerdakṣiṇataḥ	brAhmaNAn-haviH-arhAn-upaveSya tAn=-tarpayitvA tasmAt-agreH-dakziNatas-
   ṣaḍagrīnpraṇīya teṣāmekaikasminnekaikāṃ karṣūkhānayedāyāmena prādeśamātrīṃ	zaz-agrIn-praNIya tezAm-ekEkasmin=-ekEkAm karzU-KAnayet-AyAmena prAdeSa-mAtrIm
   pārthivena tryaṅgulāmavāgvaikāṅgulāmiti tāsu	pArTivena tri-aFgula-Am-avAc-vEka-aFgulAm-iti tAsu
   piṇḍānnidadhātyanunāmāpahastena mañjāḥ pitṛbhya upakarṣati pārśvāni	piNxAn-nidaDa-atyanunAma-apahastena maQjAH pitRByaH upakarzati pArSvAni
   strīṇāṃ tatrādhvaryavaḥ kecidadhīyate madhyamaṃ piṇḍaṃ patnī	strINAm tatra-aDvaryavaH kecid-aDIyate maDyamam piNxam patnI
   prāśnīyātprajākāmasya tathā śrāddhasya sthālīpākaṃ vā śrāddhasya	prASnIyAt-prajA-kAmasya taTA SrAdDasya sTAlIpAkam vA SrAdDasya
   sthālīpākaṃ vā // JaimGS_2.3 //	sTAlI-pAkam vA // JEmGS_2.3 //
   JaimGS 2.4:	JEmGS 2.4:
   āhitāgneḥ śarīranāśe trīṇi ṣaṣṭiśatāni palāśatsarūṇāmāhṛtya taiḥ	AhitAgneH SarIra-nASe trINi zazwi-SatAni palASat-sarUNAm-AhRtya tEH
   pratikṛtiṃ kuryātkṛṣṇājine 'śītyardhaṃ śirasi dadhyādgrīvāyāṃ tu daśaiva	pratikRtim kuryAt-kRzNa-ajine aSIti-arDam Sirasi daDyAt-grIvAyAm tu daSa-eva
   tu bāhvoścaiva śataṃ dadhyātaṅguliṣu punardaśā urasi triṃśataṃ	tu bAhvoH-ca-eva Satam daDyAtaFgulizu punar-daSAH urasi triMSatam
   dadhyājjaṭhare viṃśatīṃ tathorvoścaiva śataṃ dadhyāt meḍhre cāpi daśaiva	daDyAt-jaWare viMSatIm taTA-urvoH-ca-eva Satam daDyAt meXre ca-api daSa-eva
   tu jānujaṃghayostriṃśata dadhyāt daśa pādāṅgulīṣvapi ityetāvantīha	tu jAnu-jaMGayoH-triMSata daDyAt daSa pAda-aFgulIzu-api iti-etAvanti-iha
   puruṣasya śarīrāṇi bhavantīti vijñāyate madhye śarīraṃ	puruzasya SarIrANi Bavanti-iti vijQAyate maDye SarIram
   satīśarīramuptakeśaṃ nikṛttanakhaṃ prakṣālitaṃ citāmāropayantyatra	satI-SarIra-mupta-keSam nikRtta-naKam prakzAlitam citAm-Aropayanti-atra
   pātrāṇyapi cinoti tasyāmenamādadhati tasya nāsikayoḥ sruvau	pAtrANi-api cinoti tasyAm-enam-AdaDati tasya nAsikayoH sruvO
   nidadhyādityetenānuvākena ya evaṃvitsyātsa yadopatāpī syāditi pūrvameva	nidaDyAt-iti-etena-anuvAkena yaH evaMvitsyAt-sa yadA-upatApI syAt-iti pUrvam-eva
   caturgṛhītaṃ gṛhītvānyaṃ yathāsaṃbhavamāsye	catur-gRhItam gRhItvA-anyam yaTAsaMBavam-Asye
   hiraṇyaśakalamamādhāyāgnīnupohya sāmabhirupatiṣṭhate nāke suparṇamiti	hiraNya-Sakalam-amADAya-agnIn-upohya sAmaBiH-upatizWate nAke suparNam-iti
   grāmyaṃ geyamudite dhūme tveṣaste dhūma ṛṇvatītyagnau samārūḍhe 'gne mṛḍa	grAmyam geya-mudite DUme tu-ezaH-te DUmaH RNvatI-iti-agnO samArUXe agne mRxa
   mahaṃ asītyetayoranyatareṇa parāk parāgvā asau loka iti brāhmaṇam //	maham asi-iti-etayoH-anyatareNa parAk parAk-vA asO lokaH iti brAhmaNam //
   JaimGS_2.4 //	JEmGS_2.4 //
   JaimGS 2.5:	JEmGS 2.5:
   āhitāgneśvetpūrvaṃ jāyā mriyeta tāṃ nirmanthyena dahetsāṃtapanena vā	AhitAgna-ISvet-pUrvam jAyA mriyeta tAm nirmanTyena dahet-sAMtapanena vA
   śmaśānakṛtaṃ svakṛtamaniriṇamapasalavakrodakaṃ kṛtvā yatra vauṣadhayo	SmaSAna-kRtam sva-kRtam-aniriNam-apasala-vakrodakam kRtvA yatra vOzaDayaH-
   jāyante tatra śarīraṃ dagdhvodakakaraṇāya yāntyanavekṣamāṇā na vāhinīṣu	jAyante tatra SarIram dagDvA-udaka-karaNAya yAnti-anavekzamANAH na vAhinIzu
   kurvanti teṣāṃ yoyaḥ paścāñjātaḥ saso 'graṃ kuryādupakūlamakūle kūpaṃ	kurvanti tezAm yoyaH paScAn-jAtaH sasaH agram kuryAt-upakUla-makUle kUpam
   khātvā savyahastasyānāmikayā sakṛdudakaṃ prohati pretasya nāmakaraṇena	KAtvA savya-hastasya-anAmikayA sakRt-udakam prohati pretasya nAmakaraNena
   vāhinīṣu cedudgrathya keśānnimajyaikāñjaliṃ dattvopasaṃgṛhya	vAhinIzu ced-udgraTya keSAn-nimajya-eka-aQjalim dattvA-upasaMgRhya
   keśānulmukasyāgnimārabhetāgre śūkāhe pāpaṃ me 'pahateti śamīmārabheta	keSAnulmukasya-agnimAra-Beta-agre SUka-ahe pApam me apahata-iti SamIm-AraBeta
   śamyasi śamaya me pāpamityaśmānamārabhetāśmāsi sthiro 'syahaṃ sthiro	Samyasi Samaya me pApam-iti-aSmAnam-AraBeta-aSmA-asi sTiraH asi-aham sTiraH-
   bhūyāsamiti tūṣṇīṃ gomayaṃ kṛtodakaṃ dakṣiṇāmukhamāsīnaṃ tamanugantāra	BUyAsam-iti tUzNIm gomayam kRta-udakam dakziNAmuKam-AsInam tam-anugantAra
   upaviśanti tānitaraḥ kalyāṇībhirvāgbhiḥ pratyāhopāstamanavelāyāṃ grāmaṃ	upaviSanti tAn-itaraH kalyANIBiH-vAgBiH pratyAha-upAsta-mana-velAyAm grAmam
   praviśanti tāṃ rātrimekamāṣeṇa vasanti śāntyā vā śvo bhūte kṣīrodake	praviSanti tAm rAtrim-eka-mAzeNa vasanti SAntyA vA Svas BUte kzIrodake
   saṃsṛjya śarīrāṇyavasiñcatyajaśṛṅgeṇa gośṛṅgena mṛṇamayena kośena vā	saMsRjya SarIrANi-avasiQcati-aja-SRFgeNa go-SRFgena mRNa-mayena koSena vA
   tṛtīyāyāṃ gandhauṣadhībhiḥ saṃsṛjya śamīśākhayā palāśaśākhayā	tRtIyAyAm ganDa-ozaDIBiH saMsRjya SamI-SAKayA palASa-SAKayA
   vāsaṃhlādayankumbhyāmavadadhyātstrī cedvaṭa eva dadhyāccatuṣpathamatītya	vA-asaMhlAdayan-kumByAm-avadaDyAt-strI ced-vawaH eva daDyAt-catuzpaTam-atItya
   mahāvṛkṣaṃ nadīṃ vā tīrtheṣu nikhanet pretasya tṛtīyāyāṃ	mahA-vRkzam nadIm vA tIrTezu niKanet pretasya tRtIyAyAm
   snāpayantyapāmārgeṇa mṛdā gomayena ca vāsāṃsi prakṣālya daśarātramāsate	snApayanti-apAmArgeNa mRdA gomayena ca vAsAMsi prakzAlya daSa-rAtram-Asate
   caturthyāṃ bhikṣāmāvartayerantasya siddhamagnaukaraṇaṃ kālaṃ ca	caturTyAm BikzAm-AvartayeH-antasya sidDam-agnOkaraNam kAlam ca
   yāvadākāṃkṣeyurbhikṣayānusaṃtareyurūrdhvaṃ daśarātrācchrāddhaṃ dadyurna	yAvat-AkAMkzeyuH-BikzayA-anusaMtareyuH-UrDvam daSa-rAtrAt-SrAdDam dadyuH-na
   dadyurā śrāddhasya pradānānnakṣatreṣu niyamo madhāsvekatāreṣu bharaṇīṣu ca	dadyurA SrAdDasya pradAnAt-nakzatrezu niyamaH maDAsu-eka-tArezu BaraNIzu ca
   pūrvasamayeṣu na rehiṇayamuttareṣu dhruveṣu brāhmaṇānhavirarhānupaveśya	pUrva-samayezu na rehiNayam-uttarezu Druvezu brAhmaNAn-haviH-arhAn-upaveSya
   tāṃstarpayitvaikavatpiṇḍaṃ dadyānna cānviti brūyātsarvaiḥ	tAn=-tarpayitvA-eka-vat-piNxam dadyAt-na ca-anu-iti brUyAt-sarvEH
   karmaistarpayedanugamanaṃ kṛtvā śeṣamanujñāpya pratyetya śeṣaṃ na	karmEH-tarpayet-anugamanam kRtvA Sezam-anujQApya pratyetya Sezam na
   prāśnīyādbrāhmaṇānsvasti vācya prāśnīyāt // JaimGS_2.5 //	prASnIyAt-brAhmaNAn-svasti vAcya prASnIyAt // JEmGS_2.5 //
   JaimGS 2.6:	JEmGS 2.6:
   athāto gṛhakarmaṇo gṛhavṛddhimicchanmāsimāsyūtāvṛtau saṃvatsare saṃvatsare	aTa-atas gRha-karmaNaH gRha-vRdDim-icCat-mAsi-mAsyUtO=-RtO saMvatsare saMvatsare
   vā pūrvapakṣe puṇye nakṣatre	vA pUrva-pakze puNye nakzatre
   gṛhaśāntimārabhetāpāmārgapalāśaśirīpākāraidumbaralasadābhadrāmṛtatṛṇamindravallībhirbaddhvā	gRha-SAntimAra-Beta-apAmArga-palASa-SirI-pAkAra-edumbara-lasadA-BadrA-amRta-tRNam-indra-vallIBiH-badDvA
   gṛhānparimārjya parisamūhyāpo 'bhyukṣya pañcagavyairdarbhamuṣṭinā	gRhAn-parimArjya parisamUhya-apaH aByukzya paQcagavyEH-darBa-muzwinA
   saṃprokṣya siddhārthakānsaṃprakīrya vāstubaliṃ kṛtvā vāstormadhye	saMprokzya sidDArTakAn-saMprakIrya vAstu-balim kRtvA vAstoH-maDye
   vāstoṣpattiṃ hutvā sāvitryā sahasraṃ juhuyāttato dakṣiṇapurastāttato	vAstozpattim hutvA sAvitryA sahasram juhuyAt-tatas dakziNa-purastAt-tatas-
   dakṣiṇāpaścāttata uttarapurastāttata uttarapaścānmadhye vā gaurvāso	dakziNA-paScAt-tatas uttara-purastAt-tatas uttara-paScAt-maDye vA gOH-vAsaH-
   hiraṇyaṃ dakṣiṇā brāhmaṇānannena pariviṣyaṃ puṇyāhaṃ svastyuddhimiti	hiraNyam dakziNA brAhmaNAn-annena parivizyam puNya-aham svasti-udDim-iti
   vācayitvaivaṃ prayuñjāno 'nantaṃ mahāntaṃ poṣaṃ puṣyati bahavaḥ putrā	vAcayitvA-evam prayuQjAnaH anantam mahAntam pozam puzyati bahavaH putrA
   bhavanti na ca bālāḥ pramīyante nāgnirdahati na daṃṣṭriṇaḥ khādayeyurna	Bavanti na ca bAlAH pramIyante na-agniH-dahati na daMzwriNaH KAdayeyuH-na
   taskarāḥ sapatnā rakṣāṃsi piśācā api bādhante yadi gāvaḥ pratapyerangavāṃ	taskarAH sapatnAH rakzAMsi piSAcAH api bADante yadi gAvaH pratapya-iran-gavAn
   madhya āhutisahasraṃ juhuyādityetenaiva	maDye Ahuti-sahasram juhuyAt-iti-etena-eva
   kalpenāścoṣṭrakharājāvikamahiṣahastikulamanyataraddvipadāṃ catuṣpadāṃ ca	kalpenAH-ca-uzwra-Ka-rAja-Avika-mahiza-hasti-kulam-anyatarat-dvipadAm catuzpadAm ca
   vyākhyātam // JaimGS_2.6 //	vyAKyAtam // JEmGS_2.6 //
   JaimGS 2.7:	JEmGS 2.7:
   athāto 'dbhutaśāntiṃ vyākhyāsyāmo 'tha yadyagāre sthūṇā virohet kapoto	aTa-atas adButa-SAntim vyAKyAsyAmaH aTa yadi-agAre sTUNA virohet kapotaH-
   vāgāraṃ gacchedgaurvā gāṃ dhayedanahvānvā divamullikhedanagnau vā dhūmo	vAgAram gacCet-gOrvAH gAm Dayet-anahvAn-vA divam-ulliKet-anagnO vA DUmaH-
   jāyetānagnau vā dīpyeta madhu vā jāyeta valmīkaṃ vopajāyeta maṇḍūko	jAyeta-anagnO vA dIpyeta maDu vA jAyeta valmIkam vA-upajAyeta maNxUkaH-
   vāmbhṛṇe vāśyecchvāno vā gṛhe paryaṭeyurityetānanyāṃśca yata indra	vAmBRNe vASyet-SvAnaH vA gRhe paryaweyuH-iti-etAn-anyAn=-ca yatas indra
   bhayāmahe /	BayAmahe /
   sadasaspatimadbhutam /	sadasaspatim-adButam /
   adhāyāmutesumudasya /	aDAya-amutesu-mudasya /
   sanādagre /	sanAt-agre /
   yadvā u viśpatiḥ śitaḥ /	yat-vA u viSpatiH SitaH /
   pratyagre /	pratyagre /
   yaṃ rakṣanti /	yam rakzanti /
   prajāpatyayarcā purastāccopariṣṭācca mahāvyāhṛtibhirjuhoti etānyṛksāmāni	prajApati-ayA-RcA purastAt-ca-uparizwAt-ca mahAvyAhRtiBiH-juhoti etAni-Rc-sAmAni
   gāyeti // JaimGS_2.7 //	gAyA-iti // JEmGS_2.7 //
   JaimGS 2.8:	JEmGS 2.8:
   athāto 'naśnatsaṃhitāyāḥ kalpaṃ vyākhyāsyāmaḥ śucivāsāḥ syāccīravāsā vā	aTa-atas anaSnatsaMhitAyAH kalpam vyAKyAsyAmaH Suci-vAsAH syAt-cIra-vAsAH vA
   haviṣyamannamaśanamicchedapaḥ phalāni vā brāhmaṇastveva pratyāharetprāṅ	havizyam-annam-aSanam-icCet-apaH PalAni vA brAhmaNaH-tu-eva pratyAharet-prAF
   vodaṅ vā grāmānniṣkramya śucau deśa udakānte vā gomayena gocarmamātraṃ	vA-udaF vA grAmAt-nizkramya SucO deSaH udaka-ante vA gomayena gocarma-mAtram
   sthaṇḍilamupalipya prokṣya	sTaNxilam-upalipya prokzya
   lakṣaṇamullikhyādbhirabhyukṣyāgnimupasamādhāyāghārāvājyabhāgau	lakzaNam-ulliKya-adBiH-aByukzya-agnim-upasamADAya-AGAra-a=-Ajya-BAgO
   hutvājyāhutīrjuhotyagnaye somāya rudrāyendrāya brahmaṇe prajāpataye	hutvA-Ajya-AhutIH-juhoti-agnaye somAya rudrAya-indrAya brahmaNe prajApataye
   bṛhaspataye viśvebhyo devebhya ṛṣibhya ṛgbhyo yajurbhyaḥ sāmabhyaḥ	bRhaspataye viSveByaH deveByaH RziByaH RgByaH yajurByaH sAmaByaH
   śraddhāyai prajñāyai medhāyai sāvitryai sadasaspataye 'numataye ca hutvā	SradDAyE prajQAyE meDAyE sAvitryE sadasaspataye anumataye ca hutvA
   durbheṣvāsīnaḥ prāktūleṣūdaktūleṣu vā dakṣiṇena pāṇinā	durBezu-AsInaH prAc-tUlezu-udaktUlezu vA dakziNena pANinA
   darbhāndhārayannopūrvā vyāhṛtīḥ sāvitrīṃ ca caturanudrutya manasā	darBAn-DArayat-nopUrvAH vyAhRtIH sAvitrIm ca catur-anudrutya manasA
   sāmasāvitrīṃ ca somaṃ rājānaṃ brahmajajñānīye cobhe vedādimārabheta	sAma-sAvitrIm ca somam rAjAnam brahma-jajQAnIye ca-uBe veda-Adim-AraBeta
   saṃtatamadhīyīta maunī na cāntarā viramet athāntaraḥ vyāharedathāntarā	saMtatam-aDIyIta mOnI na ca-antarA viramet aTa-antaraH vyAharet-aTa-antarA
   viramet trīnprāṇānāyamyatamyācamya vṛttāntādevārabhetāpratibhāyāṃ yāvatā	viramet trIn-prANAn-Ayamyatamya-Acamya vRttAntAt-eva-Ara-BetA-pratiBAyAm yAvatA
   kālena vedamadhīyīta tāvatkālamadhīyīta yajjānīyādṛkto yajuṣṭaḥ	kAlena vedam-aDIyIta tAvatkAlam-aDIyIta yat-jAnIyAt-RktaH yajuzwaH
   sāmatastadavāpnuyāttadbrāhmaṇaṃ tacchāndasaṃ taddaivataṃ sāma vā	sAmataH-tad-avApnuyAt-tat-brAhmaNam tad-CAndasam tat-dEvatam sAma vA
   akānityetadeva vābhyasyettiṣṭhānnāsīnaḥ śayānaścaṅkramyamāṇo vā saṃhitāṃ	akAn-iti-etat-eva vA-aByasyet-tizWAn-=-a-AsInaH SayAnaH-caFkramyamANaH vA saMhitAm
   prayuñjyātsamṛddhirevāsya bhavatyādyaṃ trivargaṃ vā sahasrakṛtva iti	prayuQjyAt-samRdDiH-eva-asya Bavati-Adyam trivargam vA sahasra-kRtvas iti
   jaiminiśca vāryamantaṃ vā yathākāmī vā dvādaśa saṃhitā adhītya	jEminiH-ca vAryam-antam vA yaTAkAmI vA dvAdaSa saMhitAH aDItya
   yadanenānadhyāyeṣvadhītaṃ yadguravaḥ kopitā yānyakāryāṇi kṛtāni tābhiḥ	yat-anena-anaDyAyezu-aDItam yat-guravaH kopitAH yAni-akAryANi kRtAni tABiH
   pavate śuddhamasya pūtaṃ brahma bhavatyathāparā dvādaśa saṃhitā adhītya	pavate SudDam-asya pUtam brahma Bavati-aTa-aparAH dvAdaSa saMhitAH aDItya
   tābhiḥ prajāpaterlokamavāpnotyanaśnatsaṃhitāsahasramadhītya brahmabhūto	tABiH prajApateH-lokam-avApnoti-anaSnatsaMhita-asahasram-aDItya brahma-BUtaH-
   virajo bhavati kāmacārī sarvānkāmānavāpnoti saṃvatsaraṃ bhaikṣabhakṣaḥ	virajaH Bavati kAma-cArI sarvAn-kAmAn-avApnoti saMvatsaram BEkza-BakzaH
   prayuñjānaścakṣurlabhate ṣaṇmāsānyāvakabhakṣaścaturo māsānudakasaktubhakṣo	prayuQjAnaH-cakzuH-laBate zaz-mAsAnyAvaka-BakzaH-caturaH mAsAn-udaka-saktu-BakzaH-
   dvau māsau phalabhakṣo māsamabbhakṣo dvādaśarātraṃ vānaśnan	dvO mAsO PalaBakzaH mAsam-abBakzaH dvAdaSa-rAtram vAn-aSnan
   kṣipramantardhīyate jñātīnpunāti saptātītānsaptānāgatānātmānaṃ ca	kzipram-antarDIyate jQAtIn-punAti sapta-atItAn-sapta-anAgatAn-AtmAnam ca
   pañcadaśaṃ tārayate tāmetāṃ devaniśreṇītyācakṣata etayā vai devā	paQcadaSam tArayate tAm-etAm deva-niSreNI-iti-Acakzate etayA vE devA
   devatvamagacchannṛṣaya ṛṣitvaṃ tasya ha vā etasyā brahmasatrasya trividha	deva-tvam-agacCat-=-RzayaH Rzi-tvam tasya ha vE etasyAH brahma-satrasya triviDa
   evārabhyo bhavati prātaḥsavane mādhyaṃdine savane brāhme vāpararātre tasya	eva-AraByaH Bavati prAtaHsavane mADyaMdine savane brAhme vA-apararAtre tasya
   ha vai etasya dvāvevānadhyāyau yadātmāśuciryaddeśastadvā etatprajāpatiḥ	ha vE etasya dvO=-eva-anaDyAyO yad-Atma-aSuciH-yat-deSaH-tat-vA etat-prajApatiH
   saptaṛṣibhyaḥ provāca saptaṛṣayo mahājahnave mahājahnurbrāhmaṇebhyo	sapta-RziByaH provAca sapta-RzayaH mahA-jahnave mahA-jahnuH-brAhmaNeByaH-
   brāhmaṇebhyaḥ // JaimGS_2.8 //	brAhmaNeByaH // JEmGS_2.8 //
   JaimGS 2.9:	JEmGS 2.9:
   atha grahāṇamātithyaṃ balikarmopurataṃ vyākhyāsyāmaḥ	aTa grahANam-AtiTyam balikarmopuratam vyAKyAsyAmaH
   aśraddadhānamaśucikaraṇamajāpyaṃ tyaktamaṅgalaṃ /	aSraddaDAnam-aSuci-karaNam-ajApyam tyakta-maFgalam /
   suvyaktaṃ grahā nayanti /	su-vyaktam grahAH nayanti /
   puruṣaṃ yamasādanam /	puruzam yama-sAdanam /
   grahāṇāṃ dīpraceṣṭānāṃ nakṣatrapathacāriṇām /	grahANAm dIpra-cezwAnAm nakzatra-paTa-cAriNAm /
   grahātithyaṃ pravakṣyāmi śāntikarmaṇi kārayet /	graha-AtiTyam pravakzyAmi SAnti-karmaNi kArayet /
   bhāskarāṅgārakau raktau śvetau śukaniśākarau /	BAskara-aFgArakO raktO SvetO Suka-niSAkarO /
   somaputro guruścaiva tāvubhau pītako smṛtau /	somaputraH guruH-ca-eva tO=-uBO pItakaH smRtO /
   kṛṣṇaṃ śanaiśvaraṃ vidyādrāhuṃ kretuṃ tathaiva ca /	kRzNam Sana-ESvaram vidyAt-rAhum kretum taTA-eva ca /
   grahavarṇāni puṣpāṇi prājñastatropakalpayet /	graha-varNAni puzpANi prAjQaH-tatra-upakalpayet /
   gomayena gocarmamātraṃ sthaṇḍilamupalipya prokṣya	gomayena gocarma-mAtram sTaNxilam-upalipya prokzya
   lakṣaṇamullikhyādbhirabhyukṣyāgnimupasamādhāyāṅārāvājyabhāgau hutvā	lakzaNam-ulliKya-adBiH-aByukzya-agnim-upasamADAya-aFArOvAjya-BAgO hutvA
   grahānāvāhantyādityaṃ madhye lohitaṃ pūrvadakṣiṇataḥ somam /	grahAn-AvAhanti-Adityam maDye lohitam pUrva-dakziNatas somam /
   pūrvottarato budhamuttareṇa guruṃ pūrveṇa bhārgavam /	pUrva-uttaratas buDam-uttareNa gurum pUrveNa BArgavam /
   paścime śanaiścaraṃ vidyādrāhuṃ dakṣiṇapaścime paścimottarataḥ ketuṃ	paScime SanEScaram vidyAt-rAhum dakziNa-paScime paScima-uttarataH ketum
   vṛttamādityāya trikoṇamaṅgārakasya caturaśraṃ somāya bāṇaṃ budhāya	vRttam-AdityAya trikoNam-aFgArakasya caturaSram somAya bANam buDAya
   dīrghacaturaśraṃ bṛhaspataye pañcakoṇaṃ śukrāya dhanuḥ śanaiścarāya rāhoḥ	dIrGa-caturaSram bRhaspataye paQcakoNam SukrAya DanuH SanEScarAya rAhoH
   śūrpaṃ ketordhvajamiti īśvaraṃ bhāskaraṃ vidyāta umāṃ somaṃ tathaiva ca /	SUrpam keta-UrDvajam-iti ISvaram BAskaram vidyAtaH umAm somam taTA-eva ca /
   skandamaṅgārakaṃ caiva budho nārāyaṇaḥ sthitaḥ /	skandam-aFgArakam ca-eva buDaH nArAyaNaH sTitaH /
   bṛhaspatiḥ svayaṃ brahma śukraḥ śakrastathaiva ca /	bRhaspatiH svayam brahma SukraH SakraH-taTA-eva ca /
   yamaṃ śanaiścaraṃ vidyādrāhoḥ kāladūtinaḥ ketościtraguptaścetyete	yamam SanEScaram vidyAt-rAhoH kAladUtinaH ketoH-citraguptaH-ca-iti-ete
   grahadevatāḥ agnirāpo bhūmirviṣṇurindrāṇī prajāpatiḥ sarpo brahmetyete	graha-devatAH agniH-ApaH BUmiH-vizNuH-indrANI prajApatiH sarpaH brahma-iti-ete
   pratyadhidevatāḥ jātamarka kaliṅgeṣu yāmuneṣu ca candramāḥ /	pratyaDidevatAH jAtam-arka kaliFgezu yAmunezu ca candramAH /
   vindhya aṅgārakadeśo madhyadeśo budhaḥ smṛtaḥ /	vinDya aFgAraka-deSaH maDyadeSaH buDaH smRtaH /
   bṛhaspatiḥ sindhudeśaḥ śakradeśo ghaṭeṣu ca /	bRhaspatiH sinDu-deSaH Sakra-deSaH Gawezu ca /
   śanaiścarastu saurāṣṭro rāhustu pūrvadeśikaḥ ketuḥ parvata ityete deśānāṃ	SanEScaraH-tu sOrAzwraH rAhuH-tu pUrva-deSikaH ketuH parvataH iti-ete deSAnAm
   grahajāta iti arkasamidhamādityāya	graha-jAtaH iti arka-samiDam-AdityAya
   prādeśamātrābhidhāritānāmyādibhirjuhuyāt khādiramaṅgārakāya pālāśaṃ	prAdeSa-mAtra-aBiDAritAnAmi-AdiBiH-juhuyAt KAdiram-aFgArakAya pAlASam
   somāyāpāmārgaṃ budhāyāśvatthaṃ bṛhaspataya audumbaraṃ śukrāya śamīṃ	somAya-apAmArgam buDAya-aSvatTam bRhaspatayaH Odumbaram SukrAya SamIm
   śanaiścarāya rāhordūrvāḥ ketoḥ	SanEScarAya rAhoH-dUrvAH ketoH
   kuśāgramityaṣṭāviṃśatimājyāhutīrjuhotyetābhiḥ pakvāgnerjuhotyādityāya	kuSAgram-iti-azwAviMSatim-Ajya-AhutIH-juhoti-etABiH pakva-agneH-juhoti-AdityAya
   ilodanaṃ haviṣyamannamaṅgārakāya somāya ghṛtapāyasaṃ payodanaṃ bṛhaspataye	ilodanam havizyam-annam-aFgArakAya somAya GRta-pAyasam payodanam bRhaspataye
   kṣīrodanaṃ śukrāya dadhyodanaṃ budhāya tilapiṣṭamāṣodanaṃ śanaiścarāya	kzIrodanam SukrAya daDi-odanam buDAya tila-pizwam-Azodanam SanEScarAya
   rāhormāṃsodanaṃ ketościtrodanamiti ā satyenetyādityāya agnirmūrdhā diva	rAhoH-mAMsodanam ketoH-citrodanam-iti A satyena-ityAdityAya agniH-mUrDA diva
   ityaṅgārakāya āpyāyasva sametu iti somāya brahma jajñānamiti budhāya	iti-aFgArakAya ApyAyasva sametu iti somAya brahma jajQAnam-iti buDAya
   bṛhaspate ati yadarya iti bṛhaspataye asya pratnāmanu dyutamiti śukrāya	bRhaspate ati yat-aryaH iti bRhaspataye asya pratnAm-anu dyutam-iti SukrAya
   śaṃ no devīrabhiṣṭaya iti śanaiścarāya kayā naścitra ābhuvaditi rāhoḥ	Sam naH devIH-aBizwayaH iti SanEScarAya kayA naH-citraH ABuvat-iti rAhoH
   ketuṃ kṛṇavannaketava ithi ketoḥ raktaṃ dhenumādityāya	ketum kRNavanna-ketavaH iTi ketoH raktam Denum-AdityAya
   raktamanaḍvāhamaṅgārakāya somāya śaṅkhaṃ budhāya kāñcanaṃ bṛhaspataye	raktam-anaxvAham-aFgArakAya somAya SaFKam buDAya kAQcanam bRhaspataye
   vāsaḥ śukrāya hayaṃ nīlāṃ gāṃ śanaiścarāya rāhoḥ kṛṣṇāyasaṃ ketoḥ	vAsaH SukrAya hayam nIlAm gAm SanEScarAya rAhoH kRzNAyasam ketoH
   kuñjaramiti sarveṣāmapi hiraṇyaṃ vā yena vā tuṣyatyācāryastaddadāti yathā	kuQjaram-iti sarvezAm-api hiraNyam vA yena vA tuzyati-AcAryaH-tat-dadAti yaTA
   samutthitaṃ yantraṃ yantreṇa pratihanyate /	samutTitam yantram yantreNa pratihanyate /
   tathā grahopaspṛṣṭānāṃ śāntirbhavati dāruṇam //	taTA graha-upaspRzwAnAm SAntiH-Bavati dAruNam //
   nādiśettapasā yuktaṃ nādiśeddivamāśritam /	na-AdiSet-tapasA yuktam na-adiSet-divam-ASritam /
   na ca vedāntakaṃ vipraṃ vṛttāntāṃ nārīṃ parivṛtām //	na ca vedAntakam vipram vRttAntAm nArIm parivRtAm //
   ahiṃsakasya dāntasya dharmajighanasya ca /	ahiMsakasya dAntasya Darma-jiGanasya ca /
   nityaṃ ca niyamasthasya sadānugrahā grahāḥ //	nityam ca niyama-sTasya sadA-anugrahAH grahAH //
   grahā gāvo narendrāśca brāhmaṇāśca viśeṣataḥ /	grahAH gAvaH narendrAH-ca brAhmaNAH-ca viSezataH /
   pūjitāḥ pūjayantyete nirdahantyavamānitā // JaimGS_2.9 //	pUjitAH pUjayanti-ete nirdahanti-avamAnitAH // JEmGS_2.9 //
   // iti jaiminisūtraṃ samāptam //	// iti jEmini-sUtram samAptam //
