   sphuṭārthā	sPuwa arTA
   paṅko hi loke avasādātmakatvāt āsaṅgasya sthānam. ata eva ca duruttaraḥ.	paFkaH hi loke avasAda Atmaka tvAt AsaFgasya sTAnam. atas eva ca duruttaraH.
   caṃcalatvād vā parāśrayottaraṇīyatvād (Abhidh k vy 6) vā duruttaraḥ.	caMcala tvAt vA para ASraya uttaraNIya tvAt (a aBiD k vI 6) vA duruttaraH.
   saṃsāro 'pi hi tṛṣṇābhiṣyanditatvād āsaṅgasthānam. duruttaraś ca tasmād	saMsAraH api hi tRzNA aBizyandita tvAt AsaFga sTAnam. duruttaraH ca tasmAt 
   eva dṛṣṭivicikitsāvispanditena. buddhāpāśrayottaraṇīyatvena vā duruttaraḥ.	eva dRzwi vicikitsA vispanditena. budDa apASraya uttaraNIya tvena vA duruttaraH.
   tatrāvamagnaṃ tādātmyanupraveśataḥ samudāyāvayavarūpato vā. jagat	tatra avamagnam tAdAtmi anupraveSataH samudAya avayava rUpataH vA. jagat 
   sattvalokam atrāṇam anākrandam anukampamānaḥ karuṇāyamāno bhagavān	sattva lokam atrANam anAkrandam anukampamAnaH karuNAyamAnaH BagavAn
   saddharmadeśanāhastapradānaiḥ. saddharmadeśanā eva hastāḥ. teṣāṃ	sadDarma deSanA hasta pradAnEH. sat Darma deSanAH eva hastAH. tezAm
   pradānāni. uttāraṇīyabahutvād bahuvacanaṃ. tair yathābhavyaṃ	pradAna ani. uttAraNIya bahu tvAt bahuvacanan. tEH yaTABavyam
   abhyuddhṛtavān. yathābhavyam iti anucyamānam api gamyate loke tathā	aByudDRtavAn. yaTA aBavyam iti anucyamAnam api gamyate loke taTA
   dṛṣṭatvāt. tadyathā brāhmaṇān ānīya bhojayāmāsety ukte. ye tatra	dRzwa tva at. tat yaTA brAhmaNAn AnIya BojayAmAsa iti ukte. ye tatra
   bhojayituṃ śaktā grāme nagare vā saṃnihitāh. tān eva bhojayāmāseti	Bojayitum SaktA grAme nagare vA saMnihitA ah. tAn eva BojayAmAsa iti
   gamyate. sarvalokabrāhmaṇānāṃ bhojayitum aśakyatvāt. evam ihāpi yo jano	gamyate. sarva loka brAhmaNAnAm Bojayitum aSakya tva at. evam iha api yaH jano
   bhavyo 'bhyuddhartum. tam evabhyuddhṛtavān iti. ato yathābhavyam iti	BavyaH aByudDartum. tam eva ByudDRtavAn iti. atas yaTA aBavyam iti
   vyācaṣṭe.	vyAcazwe.
   tasmai namaskṛtyeti	tasmE namaskRtya iti
   śirasā praṇipatya kriyāspadībhūtatvān namaḥśabdasya praṇipatyārtho	SirasA praNipatya kriyA AspadIBUta tvAt namaH Sabdasya praNipatya arTaH 
   namaskṛtyaśabdo bhavati. praṇipātaś ca loke śirasā pratīta iti śirasety	namaskRtya SabdaH Bavati. praNipAtaH ca loke SirasA pratItaH iti SirasA iti 
   āha. vāṅmanonamaskāro 'pi atranuktasiddho guṇākhyānapūrvakatvāt	Aha. vAc manaH namaskAraH api atra nukta sidDaH guNa AKyAna pUrvaka tvAt
   manaskarmapūrvakatvāc ca kāyakarmaṇaḥ. tasmai iti kiṃlakṣaṇeyaṃ caturthī.	manaskarma pUrvaka tvAt ca kAya karmaNaH. tasmE iti kiMlakzaNeyam caturTI.
   atra bahavo vyākhyānakārā muhyanti. ācāryaguṇamatis tacchiṣyaś	atra bahavaH vyAKyAna kArA muhyanti. AcArya guNa matiH tad SizyaH 
   cācāryavasumitra āhatuḥ. namaḥśabdayoge caturthī.	ca AcAryavasumitraH AhatuH. namaH Sabda yoge caturTI.
   namaḥsvastisvāhāsvadhālaṃvaṣaḍyogāc ceti. tad etad ayuktam. svatantrasya	namaH svasti svAhA svaDAlaMva zaz yogAt ca iti. tat etat ayuktam. svatantrasya
   namaḥśabdasya yoge sā caturthī bhavati. asvatantraś cāyaṃ namaḥśabdaḥ	namaH Sabdasya yoge sA caturTI Bavati. asvatantraH ca ayam namaH SabdaH
   kriyāspadībhūtatvāt. ata eva cānenaivācāryeṇa vyākhyāyuktau	kriyA AspadIBUta tva at. atas eva ca anena eva AcAryeNa vyAKyA yuktO
   namaskṛtya muniṃ mūrdhneti	namaskRtya munim mUrDnA iti
   karmalakṣaṇā dvitīyā prayuktā. tasmān na namaḥśabdayoge caturthīti.	karma lakzaNA dvitIyA prayuktA. tasmAt na namaH Sabda yoge caturTI iti.
   dvitīyāyāḥ sthāne caturthī prayuktety apare. tad idam eṣām icchāmātram. na	dvitIyAyAH sTAne caturTI prayuktA iti apare. tat idam ezAm icCA mAtram. na
   hi lakṣaṇam asyāstīti. kena tarhīyaṃ caturthī. saṃpradānalakṣaṇeyaṃ	hi lakzaNam asya asti iti. kena tarhi iyam caturTI. saMpradAna lakzaNA iyam
   caturthīti vyācakṣmahe. kathaṃ saṃpradānasaṃjñā. karmaṇā yam abhipraiti.	caturTI iti vyAcakzmahe. kaTam saMpradAna saMjQA. karmaNA yam aBiprEti.
   sa saṃpradānam iti. cūrṇikāreṇa karmaśabda ubhayathā varṇyate.	sa saMpradAnam iti. cUrNikAreNa karma SabdaH uBayaTA varNyate.
   pāribhāṣikaṃ karma laukikaṃ ceti. tatra yadā kartur īpsitatamaṃ karmeti	pAriBAzikam karma lOkikam ceti. tatra yadA kartuH Ipsitatamam karma iti
   pāribhāṣikaṃ karmāśrīyate. tadā kartur īpsitatamena yam abhipraiti. sa	pAriBAzikam karma ASrIyate. tadA kartuH Ipsitatamena yam aBiprEti. sa
   saṃpradānasaṃjño bhavati. brāhmaṇāya gāṃ prayacchatīti. etat siddhaṃ	saMpradAna saMjQaH Bavati. brAhmaNAya gAm prayacCati iti. etat sidDam
   bhavati. yadā tu karma kriyeti laukikaṃ karmāśrīyate. tadā kriyayā yam	Bavati. yadA tu karma kriyA iti lOkikam karma ASrIyate. tadA kriyayA yam
   abhipraiti. sa saṃpradānasaṃjño bhavatīti. tad etat siddhaṃ bhavati.	aBiprEti. sa saMpradAna saMjQaH Bavati iti. tat etat sidDam Bavati.
   yuddhāya saṃnahyati. patye śeta iti. saṃnahanakriyayā yuddham abhipraiti	yudDAya saMnahyati. patye SetaH iti. saMnahana kriyayA yudDam aBiprEti
   kartā. śayanakriyayā patim iti. (Abhidh k vy 7) yuddhādīnām	kartA. Sayana kriyayA patim iti. (a aBiD k vi 7) yudDa AdInAm
   sampradānasaṃjñā siddhā bhavati. tathehapi namaskārakriyayā śāstāram	sampradAna saMjQA sidDA Bavati. taTA ihapi namaskAra kriyayA SAstAram
   abhipraiti ācāryaḥ. tasmāc chāstari saṃpradānasaṃjñā. saṃpradānasaṃjñāyāṃ	aBiprEti AcAryaH. tasmAt SAstari saMpradAna saMjQA. saMpradAna saMjQAyAm
   satyāṃ saṃpradāne caturthī 'ti caturthī bhavati. evaṃ ca kṛtvā	satyAm saMpradAne caturTI ati caturTI Bavati. evam ca kRtvA
   pūrvaṃ praṇamya vadatāṃ pravarāya śāstre. |	pUrvam praNamya vadatAm pravarAya SAstre. |
   pramāṇabhūtāya jagaddhitaiṣiṇe	pramANa BUtAya jagat hita eziNe
   praṇamya śāstre sugatāya tāyina. |	praNamya SAstre sugatAya tAyina. |
   ityevamādīni kāvyaśāstrāntaroktāni śabdarūpāṇi sunītāni bhavanti. yadi	iti evamAdIni kAvya SAstra antara uktAni Sabda rUpANi su nItAni Bavanti. yadi
   tarhi saṃpradānasaṃjñaiveṣyate.	tarhi saMpradAna saMjQA eva izyate.
   namaskṛtya muniṃ mūrdhneti.	namaskRtya munim mUrDnA iti.
   atra dvitīyā na prāpnoti. naiṣa doṣaḥ. vivakṣātaḥ kārakāṇi bhavanti. yadā	atra dvitIyA na prApnoti. na eza dozaH. vivakzAtaH kArakANi Bavanti. yadA
   karmavivakṣā. tadā dvitīyā. yadā saṃpradānavivakṣā. tadā caturthī 'ti	karma vivakzA. tadA dvitIyA. yadA saMpradAna vivakzA. tadA caturTI ati
   ubhayam api siddhaṃ bhavati.	uBayam api sidDam Bavati.
   [Tib. 5b] yathārthaśāstra	[Tib. 5b] yaTArTa SAstra
   iti. śāstr iti auṇādikaḥ śabdaḥ. tṛntṛcau śaṃsikṣādibhyaḥ saṃjñāyāṃ	iti. SAstr iti ONAdikaH SabdaH. tRntRcO SaMsikza AdiByaH saMjQAyAm
   cāniṭāv iti tṛnpratyayānto 'niṭ śāsteti bhavati. nanu ca saṃjñāyāṃ śāsteti	ca aniwO iti tRd pratyaya antaH aniw SAstA iti Bavati. nanu ca saMjQAyAm SAstA iti
   bhavati. na ceyaṃ saṃjñā. saṃjñaiveyam. dvividhā hi saṃjñā viśeṣasaṃjñā	Bavati. na ca iyam saMjQA. saMjQA eva iyam. dviviDA hi saMjQA viSeza saMjQA
   sāmānyasaṃjñā ca. viśeṣasanjñā evadatto yajñadatta iti. sāmānyasaṃjñā	sAmAnya saMjQA ca. viSeza sanjQA evadattaH yajQadattaH iti. sAmAnya saMjQA
   mātāpitetyevamādikā. mātrādayo 'pi hi tatra saṃjñāyām eva nipātyante.	mAtA pitA iti evam AdikA. mAtrA AdayaH api hi tatra saMjQAyAm eva nipAtyante.
   naptṛneṣṭṛtvaṣṭṛhotṛpotṛbhrātṛjāmātṛmātṛpitṛduhitṛ iti. tena yathā	naptR nezwR tvazwR hotR potR BrAtR jA mAtR mAtR pitR duhitR iti. tena yaTA
   sarvāsāṃ mātṝṇām iyaṃ saṃjñā māteti. sarveṣāṃ ca pitṝṇāṃ piteti. evaṃ	sarvAsAm mAtLNAm iyam saMjQA mAtA iti. sarvezAm ca pitLNAm pitA iti. evam
   sarveṣāṃ ca śāstṝṇām iyaṃ saṃjñā śāsteti. sa tu śāstā dvividho bhavati.	sarvezAm ca SAstLNAm iyam saMjQA SAstA iti. sa tu SAstA dviviDaH Bavati.
   ayathārtho yathārthaś ca. [Tib. 6a] ayathārthaś ca pūraṇādiḥ. yathārthaś	ayaTArTaH yaTArTaH ca. [Tib. 6a] ayaTArTaH ca pUraNa AdiH. yaTArTaH 
   ca tathāgata iti. ato viśinaṣṭi yathārtham aviparītaṃ śāstīti	ca taTAgataH iti. atas viSinazwi yaTArTam aviparItam SAsti iti
   yathārthaśāstā. etac ca viśeṣaṇaṃ parahitapratipattyupāyasūcanārtham. ata	yaTArTaSAstA. etat ca viSezaNam para hita pratipatti upAya sUcana arTam. ata
   evāha. parahitapratipattyupāyam asyāviṣkarotītyevamādi. na tv	eva aha. para hita pratipatti upAyam asya Avizkaroti iti evamAdi. na tu 
   ṛddhivarapradānaprabhāveneti prabhāvaśabdaḥ pratyekam abhisaṃbadhyate.	RdDi vara pradAna praBAvena iti praBAva SabdaH pratyekam aBisaMbaDyate.
   ṛddhiprabhāvena varapradānaprabhāveneti. ṛddhiprabhāvas tadyathā viṣṇor	RdDi praBAvena vara pradAna praBAvena iti. RdDi praBAvaH tat yaTA vizNoH 
   viśvarūpasaṃdarśanam. varapradānaprabhāvas tadyathā maheśvaro varaṃ	viSva rUpa saMdarSanam. vara pradAna praBAvaH tat yaTA maheSvaraH varam
   prayacchatīti pravādaḥ. atha vā tripado dvaṃdvaḥ. ṛddhiś ca varapradānaṃ	prayacCati iti pravAdaH. aTa vA tripadaH dvaMdvaH. RdDiH ca vara pradAnam
   ca prabhāvaś ceti. prabhāvaḥ śaktiviśeṣaḥ. nanu ca buddhā api kadācit	ca praBAvaH ceti. praBAvaH Sakti viSezaH. nanu ca budDAH api kadAcid 
   ṛddhiprātihāryaṃ vineyānām upadarśayanti. asty etad evam. api tv	RdDi prAtihAryam vineyAnAm upadarSayanti. asti etat evam. api tu 
   āvarjanamātraṃ tu teṣāṃ. anuśāsanīprātihāryeṇa tu	Avarjana mAtram tu tezAn. anuSAsanI prAtihAryeNa tu
   rāgādipratipakṣabhāvanākrameṇa saṃsārottaraṇaṃ bhavati. kiṃ kariṣyatīti	rAga Adi pratipakza BAvanA krameNa saMsAra uttaraNam Bavati. kim karizyati iti
   praśnaḥ.	praSnaH.
   namaskṛtyeti.	namaskRtya iti.
   (Abhidh k vy 8) ktvāvidheḥ kriyāntarapekṣatvāt. samānakartṛkayor hi	(a aBiD k vi 8) ktvAviDeH kriyA antarapekza tvAt. samAna kartRkayoH hi
   pūrvakāle ktvāvidhir bhavati.	pUrva kAle ktvA viDiH Bavati.
   śāstraṃ pravakṣyāmīti.	SAstram pravakzyAmi iti.
   arthaviśeṣābhidyotako nāmasamūhaḥ śāstraṃ. kṣaṇikatvāt samuhānupapattir	arTa viSeza aBidyotakaH nAma samUhaH SAstraM. kzaNika tvAt samuha anupapattiH 
   iti cet. na. tadgrāhakabuddhirūpasamūhakalpanāt. śiṣyaśāsanāc chāstram	iti cet. na. tad grAhaka budDi rUpa samUha kalpanAt. Sizya SAsanAt SAstram
   iti. [Tib. 6b] kiṃ śāstram iti kiṃ nāmadheyam ity abhiprāyaḥ.	iti. [Ti b. 6b] kim SAstram iti kim nAmaDeyam iti aBiprAyaH.
   (I.2ab) abhidharmakośam	(I.2ab) aBiDarma koSam
   ity asya nirvacanaṃ vakṣyate. āstāṃ tāvad etat.	iti asya nirvacanam vakzyate. AstAm tAvat etat .
   avayavārthāvabodhapūrvakaḥ samudāyārthāvabodhaḥ ity avayavārthaṃ tāvat	avayava arTa avaboDa pUrvakaH samudAya arTa avaboDaH iti avayava arTam tAvat 
   pṛcchati. ko 'yam abhidharmo nāmeti. 1.	pRcCati. kaH ayam aBiDarmaH na ama iti. 1.
   prajñāmalā sānucarābhidharma	prajQA amalA sa anucara aBiDarma
   iti. dharmapravicayakāle prajñā pradhānam iti mukhyavṛttyā prajñāgrahaṇam.	iti. Darma pravicaya kAle prajQA praDAnam iti muKya vRttyA prajQA grahaNam.
   amalety	amala iti 
   anāsravā. malānām āsravaparyāyatvāt.	anAsravA. malAnAm Asrava paryAya tvAt.
   sānucareti	sa anucara iti
   saparivārā. rājñā samaṃ carann api bhṛtyo rājānucara ity ucyate.	sa parivArA. rAjQA samam caran api BRtyaH rAja anucaraH iti ucyate.
   tadanuvṛttikāritvāt. tathehāpi samakālaṃ caranto 'pi tatsahabhuvo dharmā	tad anuvRtti kAritvA at. taTA iha api sama kAlam carantaH api tad sahaBuvaH DarmA
   anucarā evocyante. ke punas te. cittacaittāḥ anāsravasaṃvaro jātyādayaś ca	anucarAH eva ucyante. ke punar te. citta cEttAH anAsrava saMvaraH jAti AdayaH ca
   cittaviprayuktā iti. nanu ca cittaṃ caittebhyaḥ pradhānam. tathā hi	citta viprayuktAH iti. nanu ca cittam cEtteByaH praDAnam. taTA hi
   cittasya ime citte vā bhavāś caittā iti. tena prajñaiva cittasya parivāro	cittasya ime citte vA BavAH cEttAH iti. tena prajQA eva cittasya parivAraH 
   'rhati. na tu cittaṃ prajñāyāḥ caitasikatvāt asty etat. api tu	arhati. na tu cittam prajQAyAH cEtasika tvAt asti etat. api tu
   dharmapravicayakāle prajñā caittasyāpi sarvasya kalāpasya rājāyate. kvacit	Darma pravicaya kAle prajQA cEttasya api sarvasya kalApasya rAjAyate. kvacid 
   kaścid dharmaḥ prādhānyam āskandati. tadyathā abhisaṃpratyayakāle	kaScid DarmaH prADAnyam Askandati. tat yaTA aBisaMpratyaya kAle
   śraddhetyevamādi. anāsravaḥ pañcaskandhaka iti. anāsravasaṃvaras tasmin	SradDA iti evamAdi. anAsravaH paQca skanDakaH iti. anAsrava saMvaraH tasmin
   kalāpe rūpaskandhaḥ. yā vedanā. sa vedanāskandhaḥ. yā saṃjñā. sa	kalApe rUpa skanDaH. yA vedanA. sa vedanA skanDaH. yA saMjQA. sa
   saṃjñāskandhaḥ. cetanādijātyādayaḥ saṃskāraskandhaḥ. [Tib. 7a] vijñānaṃ	saMjQA skanDaH. cetanA Adi jAti AdayaH saMskAra skanDaH. [Ti b. 7a] vijQAnam
   cātra vijñānaskandhaḥ. eṣa tāvad iti. tāvacchabdaḥ kramārthaḥ.	ca atra vijQAna skanDaH. eza tAvat iti. tAvat SabdaH krama arTaH.
   pāramārthika iti. paramārtha eva pāramārthikaḥ. paramārthe vā bhavaḥ	pAramArTikaH iti. parama arTaH eva pAramArTikaH. parama arTe vA BavaH
   pāramārthikaḥ. paramārthena vā dīvyati caratīti vā pāramārthikaḥ.	pAramArTikaH. parama arTena vA dIvyati carati iti vA pAramArTikaH.
   sāṃketikas tu sāṃvyavahārikaḥ.	sAMketikaH tu sAMvyavahArikaH.
   tadprāptaye yāpi ceti	tad prAptaye yA api ca iti
   prajñā sānucarā so 'bhidharma iti cātrādhikṛtam. tasyā anāsravāyāḥ	prajQA sa anucarA saH aBiDarmaH iti ca atra aDikRtam. tasyAH anAsravAyAH
   prajñāyāḥ prāptyarthaṃ sākṣāt pāraṃparyeṇa vā yā śrutamayī cintāmayī ca	prajQAyAH prApti arTam sAkzAt pAraMparyeNa vA yA Sruta mayI cintA mayI ca
   bhāvanāmayī ca prajñā sāsravā yā copapattipratilambhikā sānucarā. sāpi	BAvanA mayI ca prajQA sa AsravA yA ca upapatti pratilamBikA sa anucarA. sA api
   sāṃketiko 'bhidharmaḥ. tatra śrutaprayogajā śrutamayī.	sAMketikaH aBiDarmaH. tatra Sruta prayoga jA Sruta mayI.
   yuktinidhyānaprayogajā cintāmayī. (Abhidh k vy 9) bhāvanāprayogajā	yukti niDyAna prayoga jA cintA mayI. (a aBiD k vI 9) BAvanA prayoga jA
   bhāvanāmayī. upapattipratilambhajā upapattipratilambhikā.	BAvanA mayI. upapatti pratilamBa jAH upapatti pratilamBikA.
   upapattipratilambho 'syāstīti. ata iniṭhanāv iti ṭhanvidhānān na vṛddhiḥ.	upapatti pratilamBaH asya asti iti. atas iniWanO iti Wan viDAnAt na vRdDiH.
   śrutacintāmayy upapattipratilambhikā bhāvanāmayī cārūpyāvacarī	Sruta cintA mayI upapatti pratilamBikA BAvanA mayI cArUpya avacarI
   catuḥskandhako 'bhidharmaḥ anuparivartakarūpabhāvāt. rūpāvacarī tu	catur skanDakaH aBiDarmaH anuparivartaka rUpa BAvAt. rUpAvacarI tu
   dhyānasaṃvarasadbhāvāt paṃcaskandhako 'bhidharmaḥ.	DyAna saMvara sadBAvAt paMcaskanDakaH aBiDarmaH.
   yac ca śāstram	yat ca SAstram
   iti abhidharmaśāstram abhipretaṃ. tat tu sānucaraṃ na sānucaram iti	iti aBiDarma SAstram aBipretan. tat tu sa anucaram na sa anucaram iti
   vyākhyābhedaḥ. kecit tāvat acittacaitasikakalāparūpatvāt.	vyAKyA BedaH. kecid tAvat acitta cEtasika kalApa rUpa tvAt.
   sānucaram.	sa anucaram.
   iti nānuvartayanti. jātyādisaṃbhavāt kecid anuvartayanti. ekaskandhako hy	iti na anuvartayanti. jAti Adi saMBavAt kecid anuvartayanti. eka skanDakaH hi 
   asāv abhidharmaḥ. dviskandhako vā. tasya ca jātyādayaḥ santīti. anye tu	asO aBiDarmaH. dvi skanDakaH vA. tasya ca jAti AdayaH santi iti. anye tu
   vyācakṣate śāstram iti [Tib. 7b] jñānaprasthānaṃ. tasya śarīrabhūtasya ṣaṭ	vyAcakzate SAstram iti [Ti b. 7b] jQAna prasTAnan. tasya SarIra BUtasya zax 
   pādāḥ. prakaraṇapādaḥ vijñānakāyaḥ harmaskandhaḥ prajñaptiśāstraṃ	pAdAH. prakaraNa pAdaH vijQAna kAyaH harma skanDaH prajQapti SAstram
   hātukāyaḥ saṃgītiparyāya ity atas tad api śāstraṃ sānucaram eva	hAtu kAyaH saMgIti paryAyaH iti atas tat api SAstram sa anucaram eva
   pāraṃparyeṇa pāramārthikābhidharmaprāptaye sāṃketiko 'bhidharma ity	pAraMparyeNa pAramArTika aBiDarma prAptaye sAMketikaH aBiDarmaH iti 
   ucyate. upapattipratilambhikā hi prajñā śāstraśravaṇāt tadartham	ucyate. upapatti pratilamBikA hi prajQA SAstra SravaNAt tad arTam
   anusarati. tasyāḥ śrutamayī śrutamayyāś cintāmayī cintāmayyāḥ sāsravā	anusarati. tasyAH Sruta mayI Sruta mayyAH cintA mayI cintA mayyAH sa AsravA
   bhāvanāmayī tasyā anāsravā prajñā jāyata iti anukramaḥ. tad ayam iti. tad	BAvanA mayI tasyAH anAsravA prajQA jAyate iti anukramaH. tat ayam iti. tat 
   iti vākyopanyāse. ayam iti svalakṣaṇadhāraṇatvena niruktaḥ pāramārthikaḥ	iti vAkya upanyAse. ayam iti sva lakzaNa DAraNa tvena niruktaH pAramArTikaH
   sāṃketiko 'bhidharmaḥ. praramārthadharmam iti. paramasya jñānasyārthaḥ	sAMketikaH aBiDarmaH. prarama arTa Darmam iti. paramasya jQAnasya arTaH
   paramārthaḥ. paramo vārthaḥ paramārthaḥ sarvadharmāgratvāt paramārthaḥ.	parama arTaH. paramaH vA arTaH parama arTaH sarva Darma agra tvAt parama arTaH.
   paramārthaś cāsau dharmaś ca paramārthadharmaḥ. dharmalakṣaṇaṃ veti.	parama arTaH ca asO DarmaH ca parama arTa DarmaH. Darma lakzaNam vA iti.
   svasāmānyalakṣaṇaṃ khakkhaṭalakṣaṇaḥ pṛthivīdhātur anityaṃ duḥkham	sva sAmAnya lakzaNam KakKawa lakzaNaH pRTivI DAtuH anityam duHKam
   ityevamādi. tat pratyabhimukhaḥ pratilambhāya prativedhāya avabodhāya vā	iti evamAdi. tat pratyaBimuKaH pratilamBAya prativeDAya avaboDAya vA
   abhimukho dharmaḥ abhidharmaḥ. kugatiprādaya iti tatpuruṣasamāsaḥ. nanu ca	aBimuKaH DarmaH aBiDarmaH. kugati prAdayaH iti tatpuruza samAsaH. nanu ca
   lakṣaṇenābhipratī ābhimukhya iti avyayībhāvaḥ prāpnoti. yadā hy abhir	lakzaNena aBipratI ABimuKyaH iti avyayIBAvaH prApnoti. yadA hi aBiH 
   lakṣaṇena saha samasyate. tadāvyayībhāvaḥ. tadyathā abhyagni śalabhāḥ	lakzaNena saha samasyate. tadA avyayIBAvaH. tat yaTA aByagni SalaBAH
   patanti. śalabhapatanaṃ agninā lakṣyate. so 'gnir asya lakṣaṇaṃ. na tv	patanti. SalaBa patanam agninA lakzyate. saH agniH asya lakzaNan. na tu 
   ayaṃ dharmo 'nyasya lakṣaṇam. kiṃ tarhi. lakṣyaḥ. svayam evābhimukhyāt.	ayam DarmaH anyasya lakzaNam. kim tarhi. lakzyaH. svayam eva aBimuKyAt.
   śāstrākhyo 'pi sāṃketiko 'bhidharmaḥ prāpaṇāyābhidyotanāya vā nirvāṇaṃ	SAstra AKyaH api sAMketikaH aBiDarmaH prApaNAya aBidyotanAya vA nirvANam
   dharmalakṣaṇaṃ vā praty upaniṣadbhāvenābhimukhaḥ. kimaṃga pāramārthika ity	Darma lakzaNam vA prati upanizad BAvena aBimuKaH. kim aMga pAramArTikaH iti 
   atas tatpuruṣasamāsenābhidharma iti siddhaṃ bhavati.	atas tad puruza samAsena aBiDarmaH iti sidDam Bavati.
   (I.2cd) ukto 'bhidharma iti. svabhāvaprabhedanirvacanato avayavārtho	(I.2cd) uktaH aBiDarmaH iti. svaBAva praBeda nirvacanataH avayava arTaH 
   'vabuddhaḥ. (Abhidh k vy 10) samudāyārthas tu na tāvad ity ataḥ	avabudDaH. (a aBiD k vI 10) samudAya arTaH tu na tAvat iti atas 
   samudāyārthaṃ pṛcchati. idaṃ tu śāstraṃ katham abhidharmakośam iti.	samudAya arTam pRcCati. idam tu SAstram kaTam aBiDarma koSam iti.
   tasyārthato 'sminn.	tasya arTataH asmin= .
   iti. tasyābhidharmasaṃjñakasya śāstrasyānantaroktatvāt grahaṇaṃ.	iti. tasya aBiDarma saMjQakasya SAstrasya anantara ukta tvAt grahaNaM.
   arthata	arTata
   iti na vyañjanata iti. arthato 'yam	iti na vyaQjanate iti. arTataH ayam
   anupraveśo	anupraveSaH 
   [Tib. 8a] na sākalyena. tasmād yathāpradhānam ity avyayībhāvaḥ.	[Tib. 8a] na sAkalyena. tasmAt yaTApraDAnam iti avyayIBAvaH.
   antarbhūtaḥ praviṣṭa iti. etac chāstraṃ madīyaṃ tasyārthasya kośasthānīyaṃ	antarBUtaH pravizwaH iti. etat SAstram madIyam tasya arTasya koSa sTAnIyam
   bhavati. kośasadṛśaṃ. etasminn arthe ṣaṣṭhītatpuruṣasamāsaḥ. abhidharmasya	Bavati. koSa sadRSan. etasmin arTe zazWI tatpuruza samAsaH. aBiDarmasya
   kośo 'bhidharmakośa iti. yatra hy asiḥ praviśati. sa tasya kośaḥ. atha vā	koSaH aBiDarma koSaH iti. yatra hi asiH praviSati. sa tasya koSaH. aTa vA
   so 'bhidharmo jñānaprasthānādir etasya madīyasya śāstrasyāśrayabhūtaḥ.	saH aBiDarmaH jQAna prasTAnAdiH etasya madIyasya SAstrasya ASraya BUtaH.
   tato hy ārṣād abhidharmād etan madīyaṃ śāstraṃ nirākṛṣṭam. arthata ity	tatas hi ArzAt aBiDarmAt etat madIyam SAstram nirAkRzwam. arTataH iti 
   adhikṛtam. ataḥ sa evāsyābhidharmaḥ kośa iti. etasminn arthe	aDikRtam. atas saH eva asya aBiDarmaH koSaH iti. etasmin arTe
   bahuvrīhisamāsaḥ. abhidharmaḥ kośo 'syeti abhidarmakośaḥ. yato hy asir	bahu vrIhi samAsaH. aBiDarmaH koSaH asya iti aBidarma koSaH. yatas hi asiH 
   nirākṛṣyate. sa tasya kośa iti. etac chāstram abhidharmakośam iti.	nirAkRzyate. sa tasya koSaH iti. etat SAstram aBiDarmakoSam iti.
