   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   sarvalokadhātuṣu sarvasatvândhakāreṣu bandhane kruddhaḥ	sarva-loka-DAtuzu sarva-satvânDakArezu banDane krudDaH
   praveśayet |	praveSayet |
   yaś cânyaḥ kulaputro vā kuladuhitā vā bodhisatve kruddhaḥ	yaH cânyaH kula-putraH vA kula-duhitA vA boDisatve krudDaH
   parāṅmukhaṃ tiṣṭhet |	parAFmuKam tizWet |
   nâinaṃ durātmānaṃ paśyāmîty ayaṃ tato 'saṃkhyeyataraṃ pāpaṃ pravasati ||	nâinam durAtmAnam paSyAmîti ayam tatas asaMKyeyataram pApam pravasati ||
   atrâivôktaṃ |	atrâivôktam |
   yaḥ kaścin mañjuśrīḥ sarvajāmbūdvīpakānāṃ satvānāṃ sarvasvaṃ hared yaś	yaH kaScid maQjuSrIH sarva-jAmbUdvIpakAnAm satvAnAm sarva-svam haret yaH-
   cânyo yādṛśaṃ tādṛśaṃ bodhisatvaṃ garhed tato 'saṃkhyeyataraṃ pāpaṃ	cânyaH yAdRSam tAdRSam boDisatvam garhet tatas asaMKyeyataram pApam
   prasavati ||	prasavati ||
   atrâivôktaṃ |	atrâivôktam |
   yaḥ kaścin mañjuśrīḥ kulaputro vā kuladuhitā vā	yaH kaScid maQjuSrIH kula-putraH vA kula-duhitA vA
   gaṅgānadīvālikāsamān stūpān vinipātayed daheta vā |	gaFgA-nadI-vAlikA-samAn stUpAn vinipAtayet daheta vA |
   yaś cânyaḥ kulaputro vā kuladuhitā vā mahā-	yaH cânyaH kula-putraH vA kula-duhitA vA mahA-
   [ Cambridge MS f48b ---> ]	[ Cambridge M f48B ---> ]
   yānâdhimuktasya	yAn-âDimuktasya
   bodhisatvasya vyāpādakhilakrodhacittam utpādya krośayet	boDisatvasya vyApAt-aKila-kroDa-cittam utpAdya kroSayet-
   paribhāṣayed ayaṃ tato 'saṃkhyeyataraṃ pāpaṃ prasavati |	pariBAzayet ayam tatas asaMKyeyataram pApam prasavati |
   tat kasmād dhetoḥ |	tat kasmAt DetoH |
   bodhisatvaniryātā hi buddhā bhagavanto buddhaniryātāś ca	boDisatva-niryAtAH hi budDAH BagavantaH budDa-niryAtAH ca
   stūpāḥ sarvasukhôpadhānāni ca sarvadevanikāyāś ca |	stUpAH sarva-suKôpaDAnAni ca sarva-deva-nikAyAH ca |
   bodhisatvam asatkṛtya sarvabuddhâsatkṛtā bhavanti |	boDisatvam asatkRtya sarva-budDâ-satkRtAH Bavanti |
   bodhisatvaṃ satkṛtya sarvabuddhāḥ satkṛtā bhavanti |	boDisatvam satkRtya sarva-budDAH satkRtAH Bavanti |
   sarvabuddhān anuttarayā pūjayā pūjayitukāmena bodhisatvāḥ	sarva-budDAn anuttarayA pUjayA pUjayitu-kAmena boDisatvAH
   pūjayitavyāḥ ||	pUjayitavyAH ||
   etat pūjāvipākaś ca praśāntaviniścayaprātihāryasūtre 'bhihitaḥ ||	etat pUjA-vipAkaH ca praSAnta-viniScaya-prAtihArya-sUtre aBihitaH ||
   yas tv eṣāṃ kurute rakṣāṃ dhārmikīṃ dharmavādināṃ |	yaH tu ezAm kurute rakzAm DArmikIm Darma-vAdinAm |
   hitvā sudurgatīḥ sarvāḥ śakro bhavati devarāṭ ||	hitvA su-durgatIH sarvAH SakraH Bavati devarAj ||
   brahmâpi yāmas tuṣito vaśavarttī punaḥ punaḥ |	brahmâpi yAmaH tuzitaH vaSavarttI punar punar |
   manuṣyeṣûpapannaś ca cakravarttī sa jāyate ||	manuzyezûpapannaH ca cakravarttI sa jAyate ||
   [ Bendall ed p87 ---> ]	[ Bet-dalt ed p87 ---> ]
   śreṣṭhī gṛhapatiś câpi bhavaty āḍhyo mahādhanaḥ |	SrezWI gRhapatiH câpi Bavati AXyaH mahADanaH |
   prajñāsmṛtibhyāṃ saṃyuktaḥ sukhito nirupadrava |	prajQA-smRtiByAm saMyuktaH suKitaH nirupadrava |
   iti ||	iti ||
   atha katamaṃ bodhisatvam adhikṛtyêyaṃ kārâpakāracintā |	aTa katamam boDisatvam aDikRtyêyam kArâpakAra-cintA |
   pṛthagjanam eva ||	pRTagjanam eva ||
   yathôktaṃ śraddhābalâdhānâvatāramudrāsūtre |	yaTôktam SradDA-balâDAnâvatAramudrA-sUtre |
   yaḥ ka-	yaH ka-
   [ Cambridge MS f49a ---> ]	[ Cambridge M f49aH ---> ]
   ścin mañjuśrīḥ kulaputro vā kuladuhitā vā	Scit maQjuSrIH kula-putraH vA kula-duhitA vA
   sarvalokadhāturajoupamānāṃ satvānāṃ divase divase divyaṃ śatarasam āhāraṃ	sarva-loka-DAtu-rajaH-upamAnAm satvAnAm divase divase divyam Sata-rasam AhAram
   dadyād divyāni ca vastrāṇy evaṃ dadaṅ gaṅgānadīvālikāsamān kalpasamudrān	dadyAt divyAni ca vastrANi evam dadaF gaFgA-nadI-vAlikA-samAn kalpa-samudrAn
   dānaṃ dadyāt |	dAnam dadyAt |
   yaś cânyaḥ kulaputro vā kuladuhitā vâikasyôpāsakasyânanyaśāstur	yaH cânyaH kula-putraH vA kula-duhitA vâikasyôpAsakasyânanyaSAstuH-
   daśakuśalakarmapathasamanvāgatasyâikadivasam	daSa-kuSala-karma-paTa-samanvAgata-syâika-divasam
   ekam āhāraṃ dadyād buddhasyâyaṃ bhagavataḥ śikṣāyāṃ śikṣitêti samāropaṃ	ekam AhAram dadyAt budDasyâyam BagavataH SikzAyAm Sikzitêti samAropam
   kṛtvā |	kRtvA |
   ayaṃ tato 'saṃkhyeyataraṃ puṇyaṃ prasavati ||	ayam tatas asaMKyeyataram puNyam prasavati ||
   yaḥ kaścin mañjuśrīḥ kulaputro vā kuladuhitā vā	yaH kaScid maQjuSrIH kula-putraH vA kula-duhitA vA
   sarvalokadhāturajoupamānāṃ daśakuśalakarmapathasamanvāgatānāṃ upāsakānāṃ	sarva-loka-DAtu-rajaH-upamAnAm daSa-kuSala-karma-paTa-samanvAgatAnAm upAsakAnAm
   divase divase divyaṃ śatarasam	divase divase divyam Sata-rasam
   āhāraṃ dadyād divyāni ca vastrāṇy evaṃ dadaṅ gaṅgānadīvālikāsamān kalpān	AhAram dadyAt divyAni ca vastrANi evam dadaF gaFgA-nadI-vAlikA-samAn kalpAn
   dadyāt |	dadyAt |
   yaś cânyaḥ	yaH cânyaH
   kulaputro vā kuladuhitā vâikasya bhikṣor ekadivasam āhāraṃ dadyād |	kula-putraH vA kula-duhitA vâikasya BikzoH eka-divasam AhAram dadyAt |
   ayaṃ tato 'saṃkhyeyataraṃ puṇyaṃ prasavatîti ||	ayam tatas asaMKyeyataram puNyam prasavatîti ||
   niyatâniyatâvatāramudrāsūtre 'py āha |	niyatâ-niyatâ-vatAramudrA-sUtre api Aha |
   sacen mañjuśrīr daśasu dikṣu sarvalokadhātuṣu sarvasatvôtpāṭitâkṣā	saced maQjuSrIH daSasu dikzu sarva-loka-DAtuzu sarva-satvôt-pAwitâ-kzA
   bhaveyuḥ parikalpam upādāya |	BaveyuH parikalpam upAdAya |
   atha kaścid eva kulaputro vā kuladuhitā vā teṣāṃ sarvasatvānāṃ	aTa kaScid eva kula-putraH vA kula-duhitA vA tezAm sarva-satvAnAm
   maitracittas tāny akṣīṇi janayet parikalpam	mEtra-cittaH tAni akzINi janayet parikalpam
   upādāya |	upAdAya |
   yo vânyo mañjuśrīḥ kulaputro vā kuladuhitā vā	yaH vânyaH maQjuSrIH kula-putraH vA kula-duhitA vA
   mahāyānâdhimuktaṃ bodhisatvaṃ prasannacittaḥ paśyed |	mahAyAnâ-Dimuktam boDisatvam prasanna-cittaH paSyet |
   ayaṃ tato 'saṃkhyeyataraṃ puṇyaṃ prasavati ||	ayam tatas asaMKyeyataram puNyam prasavati ||
   yaḥ kaścin mañjuśrīḥ kulaputro vā kuladuhitā vā daśasu dikṣu	yaH kaScid maQjuSrIH kula-putraH vA kula-duhitA vA daSasu dikzu
   sarvasatvān bandhanâgārapraviviṣṭān bandhanâgārān mocayitvā	sarva-satvAn banDanâgAra-pravivizwAn banDanâgArAn mocayitvA
   cakravartisukhe sthāpayed brahmatvasukhe vā |	cakravarti-suKe sTApayet brahma-tva-suKe vA |
   yo vânyo mañjuśrīḥ kulaputro vā kuladuhitā vā	yaH vânyaH maQjuSrIH kula-putraH vA kula-duhitA vA
   mahāyānâdhimuktasya prasannacitto darśanâbhilāṣī bhaved varṇaṃ	mahAyAnâDimuktasya prasanna-cittaH darSanâBilAzI Bavet varNam
   câsyôdāhared |	câsyôdAharet |
   ayaṃ tato 'saṃkhyeyataraṃ puṇyaṃ prasavatîti ||	ayam tatas asaMKyeyataram puNyam prasavatîti ||
   [ Bendall ed p88 ---> ]	[ Bet-dalt ed p88 ---> ]
   tathā kṣitigarbhasūtre 'py āha |	taTA kziti-garBa-sUtre api Aha |
   yaḥ punar bhadanta bhagavan kṣatriyakalyāṇo vâmātyakalyāṇo vā	yaH punar Badanta Bagavan kzatriya-kalyANaH vâmAtya-kalyANaH vA
   bhaṭṭakalyāṇo vā śramaṇakalyāṇo vā brāhmaṇakalyāṇo vā paraṃ rakṣaty	Bawwa-kalyANaH vA SramaNa-kalyANaH vA brAhmaNa-kalyANaH vA param rakzati-
   ātmānaṃ rakṣati paralokaṃ rakṣati |	AtmAnam rakzati para-lokam rakzati |
   bhagavacchāsane pātrabhūtam apātrabhūtaṃ vā yāvan muṇḍaṃ kāṣāyakhaṇḍa-	Bagavat-SAsane pAtra-BUtam apAtra-BUtam vA yAvat muNxam kAzAya-KaNxa-
   [ Cambridge MS f49b ---> ]	[ Cambridge M f49B ---> ]
   prāvṛtaṃ parirakṣati śroṣyati pūjayiṣyati	prAvRtam parirakzati Srozyati pUjayizyati
   śrāvakakathāṃ evaṃ pratyekabuddhakathāṃ śroṣyati	SrAvaka-kaTAm evam pratyekabudDa-kaTAm Srozyati
   pūjayiṣyati |	pUjayizyati |
   mahāyānakathāṃ ca mahāyānasaṃprasthitān pudgalān śīlavato guṇâḍhyān	mahAyAna-kaTAm ca mahAyAna-saMprasTitAn pudgalAn SIlavataH guNâXyAn
   yuktamuktapratibhānān taiḥ sārddhaṃ ramati krīḍati	yukta-mukta-pratiBAnAn tEH sArdDam ramati krIxati
   paripṛcchati paripraśnayati teṣāṃ śrotavyaṃ kartavyaṃ manyate ||	paripRcCati paripraSnayati tezAm Srotavyam kartavyam manyate ||
   pe ||	pe ||
   kiyantaṃ bhagavan pāpaṃ kṣapayiṣyati ||	kiyantam Bagavan pApam kzapayizyati ||
   bhagavān āha ||	BagavAn Aha ||
   tad yathâpi nāma kulaputra kaścit puruṣôtpadyate |	tat yaTâpi nAma kula-putra kaScid puruzôt-padyate |
   yaḥ sarvaṃ jambūdvīpaṃ saptaratnaparipūrṇaṃ kṛtvā	yaH sarvam jambUdvIpam sapta-ratna-paripUrNam kRtvA
   tiṣṭhatāṃ buddhānāṃ bhagavatāṃ dānaṃ dadyāt tathâiva	tizWatAm budDAnAm BagavatAm dAnam dadyAt taTâiva
   madhyâhnasamaye tathâiva sāyâhnasamaye dānaṃ dadyād anena	maDyâhna-samaye taTâiva sAyâhna-samaye dAnam dadyAt anena
   paryāyeṇa varṣaśatasahasram evaṃrūpaṃ dānaṃ dadyāt |	paryAyeNa varza-Sata-sahasram evaMrUpam dAnam dadyAt |
   tat kiṃ manyase kulaputrâpi nu sa puruṣo bahu puṇyaṃ prasavet ||	tat kim manyase kula-putrâpi nu sa puruzaH bahu puNyam prasavet ||
   āha ||	Aha ||
   bahu bhadanta bhagavan sa puruṣaḥ puṇyaskandhaṃ prasaved aprameyam	bahu Badanta Bagavan sa puruzaH puNya-skanDam prasavet aprameyam
   asaṃkhyeyaṃ |	asaMKyeyam |
   na tasya puṇyaskandhasya kenacic chakyaṃ pramāṇam udgrahītuṃ anyatra	na tasya puNya-skanDasya kenacid Sakyam pramANam udgrahItum anyatra
   tathāgatena ||	taTAgatena ||
   bhagavān āha ||	BagavAn Aha ||
   yas tu kulaputra kṣatriyakalyāṇo vā yāvad yathā pūrvôktaṃ |	yaH tu kula-putra kzatriya-kalyANaH vA yAvat yaTA pUrvôktam |
   pe |	pe |
   sa bahutaraṃ puṇyaṃ prasavati |	sa bahutaram puNyam prasavati |
   yāvad vipulataram apramāṇataram asaṃkhyeyataraṃ puṇyaskandhaṃ prasavati |	yAvat vipulataram apramANataram asaMKyeyataram puNya-skanDam prasavati |
   yo mama paścimāyāṃ pañcaśatyāṃ vartamānāyāṃ saddharmanetrī rakṣati sa	yaH mama paScimAyAm paQcaSatyAm vartamAnAyAm sadDarmanetrI rakzati sa
   rakṣaty ātmānaṃ |	rakzati AtmAnam |
   rakṣati parāṃś ca rakṣati paralokaṃ rakṣati mama śāsanaṃ śrāvakān	rakzati parAn ca rakzati para-lokam rakzati mama SAsanam SrAvakAn
   pātrabhūtān apātrabhūtān vā yāva-	pAtra-BUtAn apAtra-BUtAn vA yAva-
   [ Bendall ed p89 ---> ]	[ Bet-dalt ed p89 ---> ]
   n muṇḍān	n muNxAn
   kāṣāyavastraprāvṛtān api rakṣati |	kAzAya-vastra-prAvRtAn api rakzati |
   na viheṭhayati |	na viheWayati |
   yāvat svakaṃ rāṣṭraṃ pararāṣṭraṃ ca vardhayati |	yAvat svakam rAzwram para-rAzwram ca varDayati |
   apāyān kṣapayati |	apAyAn kzapayati |
   surâlayaṃ ca prāpayati ciraṃ câyuḥ pālayati |	surâlayam ca prApayati ciram câyuH pAlayati |
   svakleśāṃś ca parakleśāṃś ca jhāṣayati |	sva-kleSAn ca para-kleSAn ca JAzayati |
   saṃbodhimārgaṃ ṣaṭpāramitā-	saMboDi-mArgam zaz-pAramitA-
   [ Cambridge MS f50a ---> ]	[ Cambridge M f50aH ---> ]
   ś côpastambhayati |	S côpastamBayati |
   sarvâpāyāñ jahāti |	sarvâ-pAyAn jahAti |
   na ciraṃ saṃsāre saṃsarati |	na ciram saMsAre saMsarati |
   nityaṃ kalyāṇamitrair buddhaiś ca bhagavadbhir bodhisatvaiś ca	nityam kalyANa-mitrEH budDEH ca BagavadBiH boDisatvEH ca
   mahāsatvaiś ca sārddhaṃ samavadhānagato bhavati |	mahAsatvEH ca sArdDam samavaDAna-gataH Bavati |
   satataṃ kalyāṇamitrâvirahito na cireṇa yathâbhiprāyeṣu	satatam kalyANa-mitrâ-virahitaH na cireNa yaTâBiprAyezu
   buddhakṣetreṣv anuttarāṃ samyaksaṃbodhim abhisaṃbhotsyate ||	budDa-kzetrezu anuttarAm samyaksaMboDim aBisaMBotsyate ||
   atha tāvad eva sarvadevêndrāḥ saparivārā |	aTa tAvat eva sarva-devêndrAH sa-parivArAH |
   yāvat piśācêndrāḥ saparivārôtthāyâsanād yena bhagavān	yAvat piSAcêndrAH sa-parivArôtTa-AyâsanAt yena BagavAn
   tenâñjaliṃ praṇamyâivam āhuḥ |	tenâQjalim praNamyâivam AhuH |
   ye te bhadanta bhagavan etarhy anāgate 'dhvani yāvat paścimāyāṃ	ye te Badanta Bagavan etarhi anAgate aDvani yAvat paScimAyAm
   pañcaśatyāṃ kṣatriyakalyāṇā bhavanti yāvad gahapatikalyāṇāḥ |	paQcaSatyAm kzatriya-kalyANAH Bavanti yAvat gahapati-kalyANAH |
   pe |	pe |
   evaṃ saddharmarakṣakâivaṃ triratnavaṃśajvālayitāraḥ |	evam sadDarma-rakzakâivam tri-ratna-vaMSa-jvAlayitAraH |
   pe |	pe |
   vayam api sarve saparivārās taṃ kṣatriyakalyāṇaṃ yāvad gahapatikalyāṇaṃ	vayam api sarve sa-parivArAH tam kzatriya-kalyANam yAvat gahapati-kalyANam
   daśabhir ākārai rakṣiṣyāmaḥ	daSaBiH AkArEH rakzizyAmaH
   paripālayiṣyāmo vardhayiṣyāmaḥ ||	paripAlayizyAmaH varDayizyAmaH ||
   katamair daśabhiḥ |	katamEH daSaBiH |
   āyuś câsya vardhayiṣyāmaḥ āyurantarāyaṃ ca dharmeṇa	AyuH ca-asya varDayizyAmaH AyuH-antarAyam ca DarmeNa
   nivārayiṣyāmaḥ |	nivArayizyAmaH |
   ārogyaṃ ca parivāraṃ ca dhanaskandhaṃ côpabhogaparibhogaṃ câiśvaryaṃ ca	Arogyam ca parivAram ca Dana-skanDam côpaBoga-pariBogam câiSvaryam ca
   yaśaḥ kalyāṇamitrāṇi prajñāsampadaṃ ca	yaSaH kalyANa-mitrANi prajQA-sampadam ca
   vardhāpayiṣyāmaḥ |	varDApayizyAmaH |
   ebhir daśabhir iti vistaraḥ ||	eBiH daSaBiH iti vistaraH ||
   evam abhūmipraviṣṭeṣv evâyaṃ vipākavistaro draṣṭavyaḥ ||	evam aBUmi-pravizwezu evâyam vipAka-vistaraH drazwavyaH ||
   avalokanāsūtre 'pi |	avalokanA-sUtre api |
   saṃbodhau cittam utpādya hitârthaṃ sarvaprāṇināṃ |	saMboDO cittam utpAdya hitârTam sarva-prANinAm |
   yaḥ stūpaṃ lokanāthasya karotîha pradakṣiṇaṃ ||	yaH stUpam loka-nATasya karotîha pradakziNam ||
   [ Bendall ed p90 ---> ]	[ Bet-dalt ed p90 ---> ]
   ity ādy anuśaṃsavistaram uktvâha |	iti Adi anuSaMsa-vistaram uktvA-iha |
   yas tv eṣāṃ buddhaputrāṇāṃ naraḥ kurvītâpriyaṃ |	yaH tu ezAm budDa-putrANAm naraH kurvItâ-priyam |
   devān manuṣyān varjitvā narakaṃ tasya gocaraṃ ||	devAn manuzyAn varjitvA narakam tasya gocaram ||
   iti vistaraḥ pūrvavat ||	iti vistaraH pUrvavat ||
   na câtra viśeṣahetuḥ kaścid upadarśayituṃ śakyatae ity alaṃ vikalpena ||	na câtra viSeza-hetuH kaScid upadarSayitum Sakyatae iti alam vikalpena ||
   karmâvaraṇaviśuddhisūtre 'py āvaraṇaśabdenâna-	karmâ-varaNa-viSudDi-sUtre api AvaraNa-Sabdenâna-
   [ Cambridge MS f50b ---> ]	[ Cambridge M f50B ---> ]
   rthôktaḥ |	rTôktaH |
   āvaraṇaṃ mañjuśrīr ucyate rāgâvaraṇaṃ dveṣâvaraṇaṃ mohâvaraṇaṃ dānam	AvaraNam maQjuSrIH ucyate rAgâvaraNam dvezâvaraNam mohâvaraNam dAnam
   āvaraṇaṃ śīlakṣāntivīryadhyānaprajñâvaraṇaṃ |	AvaraNam SIla-kzAnti-vIrya-DyAna-prajQâ-varaNam |
   pe |	pe |
   tat kasya hetoḥ bālapṛthagjanā mañjuśrīr dānaṃ dadānā matsariṇām antike	tat kasya hetoH bAla-pRTagjanAH maQjuSrIH dAnam dadAnAH matsariNAm antike
   'prasādaṃ kurvanti |	aprasAdam kurvanti |
   te tenâprasādena pratighacittam utpādayanti |	te tenâ-prasAdena pratiGa-cittam utpAdayanti |
   pratighakhiladoṣeṇa mahānarakeṣûpapadyante |	pratiGa-Kila-dozeNa mahAnarakezûpapadyante |
   śīlaṃ rakṣanto duḥśīlān kutsayanti paribhāṣanti |	SIlam rakzantaH duHSIlAn kutsayanti pariBAzanti |
   te teṣām avarṇaṃ ca bhāṣanti |	te tezAm avarNam ca BAzanti |
   te teṣāṃ doṣaṃ śrutvā bahujanasyâprasādaṃ kurvanti |	te tezAm dozam SrutvA bahu-janasyâprasAdam kurvanti |
   te tenâprasādena durgatigāmino bhavanti |	te tenâ-prasAdena durgati-gAminaH Bavanti |
   te kṣāntiṃ bhāvayantaḥ kṣāntimadenâtmānam utkarṣayanti	te kzAntim BAvayantaH kzAnti-madenâtmAnam utkarzayanti
   pramādyanti |	pramAdyanti |
   vayaṃ kṣāntivādinaḥ |	vayam kzAnti-vAdinaH |
   ime punar anye vyāpannacittāḥ |	ime punar anye vyApanna-cittAH |
   teṣāṃ kṣāntimadanamattānāṃ pramādamūlakāni duḥkhāny utpadyante |	tezAm kzAnti-madana-mattAnAm pramAda-mUlakAni duHKAni utpadyante |
   te vīryam ārabhamāṇâtmānam utkarṣayanti parān paṃsayanti |	te vIryam AraBamANâtmAnam utkarzayanti parAn paMsayanti |
   kusīdême bhikṣavo viharanty anabhiyuktāḥ śraddhādeyaṃ paribhuñjānāḥ |	kusIdême BikzavaH viharanti anaBiyuktAH SradDA-deyam pariBuQjAnAH |
   nâite 'rhanti pānīyasthālakam api |	nâite arhanti pAnIya-sTAlakam api |
   te tena vīryârambheṇâtmānam utkarṣayanti paraṃ ca paṃsayanti |	te tena vIryâ-ramBeNâtmAnam utkarzayanti param ca paMsayanti |
   tān ahaṃ bālān iti vadāmi |	tAn aham bAlAn iti vadAmi |
   te dhyānaṃ samāpadyamānās tatra dhyānasamāpattau spṛhām	te DyAnam samApadyamAnAH tatra DyAna-samApattO spRhAm
   utpādayanti |	utpAdayanti |
   teṣām evaṃ bhavati |	tezAm evam Bavati |
   vayaṃ samādhivihāriṇa |	vayam samADi-vihAriNaH |
   ime 'nye bhikṣavo vikṣiptacittā viharanti |	ime anye BikzavaH vikzipta-cittAH viharanti |
   kutas te buddhā bhaviṣyantîti vistaraḥ ||	kutas te budDAH Bavizyantîti vistaraH ||
   sarvadharmâpravṛttinirdeśe 'py āha |	sarva-Darmâ-pravRtti-nirdeSe api Aha |
   bodhisatvâpattyā codayati |	boDisatvâpattyA codayati |
   dūrībhavati bodhiḥ |	dUrIBavati boDiH |
   ka-	ka-
   [ Bendall ed p91 ---> ]	[ Bet-dalt ed p91 ---> ]
   rmâvaraṇaṃ ca parigṛhṇāti |	rmâvaraNam ca parigRhNAti |
   īryayā codayati |	IryayA codayati |
   dūrībhavati bodhiḥ |	dUrIBavati boDiH |
   īryāpathena codayati dūrībhavati bodhiḥ |	IryA-paTena codayati dUrIBavati boDiH |
   saced bodhisatvasyântike hīnasaṃjñām utpādayati ātmani côdārasaṃjñāṃ	saced boDisatvasi-ântike hIna-saMjQAm utpAdayati Atmani côdAra-saMjQAm
   kṣiṇoty ātmānaṃ-	kziNoti AtmAnaM-
   [ Cambridge MS f51a ---> ]	[ Cambridge M f51aH ---> ]
   karmâvaraṇaṃ ca gṛhṇāti |	karmâ-varaNam ca gRhNAti |
   iha bodhisatvena bodhisatvam avavadatânuśāsatā vā	iha boDisatvena boDisatvam avavadat-ânuSAsa-tA vA
   śāstṛsaṃjñām upasthāpyâvavaditavyo 'nuśāsitavyaḥ |	SAstR-saMjQAm upasTApi-âvavaditavyaH anuSAsitavyaH |
   bodhisatvena bodhisatvasyântike na paribhavacittam utpādayitavyaṃ |	boDisatvena boDisatvasi-ântike na pariBava-cittam utpAdayitavyam |
   saced asyâparityaktā bodhiḥ |	saced asyâparityaktA boDiH |
   na devaputra bodhisatvaḥ kvacid eva kuśalamūlāni samucchinatti |	na deva-putra boDisatvaH kvacid eva kuSala-mUlAni samucCinatti |
   yathâdvitīyabodhisatvam āgamyêti |	yaTâ-dvitIya-boDisatvam Agamyêti |
   anutpāditabodhicitte 'pi tāvad bodhir bhavye satve 'vamanyanā	anutpAdita-boDi-citte api tAvat boDiH Bavye satve avamanyanA
   pratiṣiddhā |	pratizidDA |
   kiṃ punar uditabodhicitte ||	kim punar udita-boDi-citte ||
   yathôktaṃ śūraṅgamasamādhisūtre |	yaTôktam SUraFgam-asamADi-sUtre |
   tatra dṛḍhamate katamad anutpāditabodhicittavyākaraṇaṃ ||	tatra dRXa-mate katamat anutpAdita-boDi-citta-vyAkaraNam ||
   iha dṛḍhamate sa pudgalaḥ pāñcagatike saṃsāre upapanno bhavati |	iha dRXa-mate sa pudgalaH pAQcagatike saMsAre upapannaH Bavati |
   yadi vā nirayeṣu yadi vā tiryagyonau yadi vā yamaloke yadi vā deveṣu	yadi vA nirayezu yadi vA tiryagyonO yadi vA yama-loke yadi vA devezu
   yadi vā manuṣyeṣu |	yadi vA manuzyezu |
   sa ca pudgalas tīkṣṇêndriyo bhavati |	sa ca pudgalaH tIkzNêndriyaH Bavati |
   udārâdhimuktikaḥ |	udArâDi-muktikaH |
   tam enaṃ tathāgataḥ prajānāti |	tam enam taTAgataH prajAnAti |
   ayaṃ puruṣapudgalo yāvad iyadbhiḥ	ayam puruza-pudgalaH yAvat iyadBiH
   kalpakoṭīniyutaśatasahasrair anuttarāyāṃ samyaksaṃbodhau cittam	kalpa-kowI-niyuta-Sata-sahasrEH anuttarAyAm samyaksaMboDO cittam
   utpādayiṣyati ||	utpAdayizyati ||
   pe ||	pe ||
   iyadbhiś câsaṃkhyeyakalpaśatasahasrair bodhim abhisaṃbhotsyate ||	iyadBiH câ-saMKyeya-kalpa-Sata-sahasrEH boDim aBisaMBotsyate ||
   pe ||	pe ||
   idaṃ dṛḍhamate ucyate |	idam dRXa-mate ucyate |
   bodhisatvasyânutpāditabodhicittavyākaraṇaṃ |	boDisatvasyânutpAdita-boDi-citta-vyAkaraNam |
   atha khalv āyuṣmān mahākāśyapo bhagavantam etad avocat |	aTa Kalu AyuzmAn mahAkASyapaH Bagavantam etat avocat |
   adyâgreṇâsmābhir bhagavan sarvasatvānām antike	adyâgreNâsmABiH Bagavan sarva-satvAnAm antike
   śāstṛsaṃjñôtpādayitavyā |	SAstR-saMjQôt-pAdayitavyA |
   tat kasya hetoḥ |	tat kasya hetoH |
   na hy asmākam etaj jñānaṃ pravarttate |	na hi asmAkam etat jQAnam pravarttate |
   katamasya bodhisatvasya bodhiparipācakānîndriyāṇi saṃvidyante |	katamasya boDisatvasya boDi-paripAcakAn-îndriyANi saMvidyante |
   katamasya na saṃvidyante |	katamasya na saMvidyante |
   tato vayaṃ bhagavann ajānānās tathārūpeṣu hīnasaṃjñām	tatas vayam Bagavan ajAnAnAH taTArUpezu hIna-saMjQAm
   utpādayema |	utpAdayema |
   tena	tena
   [ Bendall ed p92 ---> ]	[ Bet-dalt ed p92 ---> ]
   vayaṃ kṣaṇyema ||	vayam kzaNyema ||
   bhagavān āha |	BagavAn Aha |
   sādhu sādhu kāśyapa subhāṣitā te iyaṃ vāk |	sADu sADu kASyapa su-BAzitA te iyam vAc |
   idaṃ ca mayā kāśyapârthavaśaṃ sa-	idam ca mayA kASya-pârTa-vaSam sa-
   [ Cambridge MS f51b ---> ]	[ Cambridge M f51B ---> ]
   mpaśyamānena yuṣmākam	mpaSyamAnena yuzmAkam
   evaṃ dharmo deśito |	evam DarmaH deSitaH |
   mā bhikṣavaḥ pudgalena pudgalaṃ pravicetavyaṃ |	mA BikzavaH pudgalena pudgalam pravicetavyam |
   yac chīghraṃ kṣaṇyati hi bhikṣavaḥ pudgalaḥ pudgalaṃ pravicinvan |	yat SIGram kzaNyati hi BikzavaH pudgalaH pudgalam pravicinvan |
   ahaṃ vā pudgalaṃ pramiṇuyāṃ yo vā syān mādṛśaḥ |	aham vA pudgalam pramiNuyAm yaH vA syAt mAdRSaH |
   etena kāśyapa nirdeśena bodhisatvena vā śrāvakeṇa vā	etena kASyapa nirdeSena boDisatvena vA SrAvakeNa vA
   sarvasatvānām antike śāstṛsaṃjñôtpādayitavyā |	sarva-satvAnAm antike SAstR-saMjQôt-pAdayitavyA |
   mâtra kaścid bodhisatvayānikaḥ pudgalo bhavet tena tatrâtmā rakṣitavyêti |	mâtra kaScid boDisatva-yAnikaH pudgalaH Bavet tena tatrâtmA rakzitavyêti |
   yasya tu niyatam eva bodhiprāpticihnam asti tatra sutarām avamanyanā	yasya tu niyatam eva boDi-prApti-cihnam asti tatra sutarAm avamanyanA
   rakṣitavyā ||	rakzitavyAH ||
   yathôktam āryasaddharmapuṇḍarīkasūtre |	yaTôktam Arya-sat-Darma-puNxarIka-sUtre |
   iṣṭāmayān mṛttikasaṃcitān vā prītāś ca kurvanti jinasya	izwa-AmayAn mRttika-saMcitAn vA prItAH ca kurvanti jinasya
   stūpān |	stUpAn |
