   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsaḥ / so 'haṃ pārivāsika eva saṃghāvaśeṣām āpattim āpanno	parivAsaH / saH aham pArivAsikaH eva saMGO=-aSezAm Apattim ApannaH-
   'ntarāpattiṃ pūrvāpattipratirūpāṃ praticchannāṃ / kiṃ mayā karaṇīyam ity /	antarApattim pUrva-Apatti-pratirUpAm praticCannAm / kim mayA karaNIyam iti /
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / dadata	etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / dadata
   yūyaṃ bhikṣava udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ	yUyam BikzavaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsam iti / yo vā punar anyo	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsam iti / yaH vA punar anyaH-
   'py evaṃjātīyaḥ /	api evaMjAtIyaH /
   Pāṇḍ-v § 7.2.2 evaṃ ca punar dātavyaḥ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u § 7.2.2 evam ca punar dAtavyaH / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite udāyinā bhikṣuṇā vṛddhānte utkuṭukena sthitvā aṃjaliṃ pragṛhya	saMnipatite udAyinA BikzuNA vRdDAnte utkuwukena sTitvA aMjalim pragRhya
   idaṃ syād vacanīyam* /	idam syAt vacanIyam* /
   Pāṇḍ-v § 7.2.3 śṛṇotu bhadantāḥ saṃghaḥ / aham udāyī bhikṣuḥ saṃghāvaśeṣām	PANx-u § 7.2.3 SRNotu BadantAH saMGaH / aham udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / so 'ham udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / saH aham udAyI BikzuH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāsaṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsam
   yāce / dadātu me bhadantāḥ saṃghaḥ mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā	yAce / dadAtu me BadantAH saMGaH mama-udAyinaH BikzoH asyAH saMGa-avaSezAyA
   āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsam	ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsam
   anukaṃpako 'nukaṃpām upādāya / evaṃ dvir api trir api //	anukaMpakaH anukaMpAm upAdAya / evam dvis api tris api //
   Pāṇḍ-v § 7.2.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	PANx-u § 7.2.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam /
   śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī bhikṣuḥ saṃghāvaśeṣām āpattim	SRNotu BadantAH saMGaH / ayam udAyI BikzuH saMGa-a=-aSezAm Apattim
   āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tenānena	ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena-anena
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena asyodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena asya-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / so 'yam udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā (296v1 = GBM	praticCannAm / saH ayam udAyI BikzuH asyAH saMGa-avaSezAyAH (296v1  GBm
   905) āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān	905) ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn
   mūlaparivāsaṃ yācate / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho	mUla-parivAsam yAcate / saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH-
   yat saṃgha udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ	yat saMGaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsam dadyād ity eṣā jñaptiḥ	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsam dadyAt iti ezA jQaptiH
   Pāṇḍ-v § 7.2.5 karma kartavyaṃ / śṛṇotu bhadantaḥ saṃghaḥ / ayam udāyī	PANx-u § 7.2.5 karma kartavyam / SRNotu BadantaH saMGaH / ayam udAyI
   bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām	BikzuH saMGa-a=-aSezAm Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm
   ardhamāsapraticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā	arDa-mAsa-praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghenāsya udāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena-asya udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / so 'yam udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / saH ayam udAyI BikzuH asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāsaṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsam
   yācate / tat saṃgha udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	yAcate / tat saMGaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsam dadāti /	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsam dadAti /
   yeṣām āyuṣmatāṃ kṣamate udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	yezAm AyuzmatAm kzamate udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsam dātuṃ te	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsam dAtum te
   tūṣṇīṃ na kṣamate bhāṣantām* / iyaṃ prathamā karmavācanā evaṃ dvitīyā	tUzNIm na kzamate BAzantAm* / iyam praTamA karma-vAcanA evam dvitIyA
   tṛtīyā karmavācanā vaktavyā // dattaḥ saṃghena udāyino bhikṣor asyāḥ	tRtIyA karma-vAcanA vaktavyAH // dattaH saMGena udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaḥ / kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīm evam etad	mUla-parivAsaH / kzAntam anujQAtam saMGena yasmAt tUzNIm evam etat-
   dhārayāmi // //	DArayAmi // //
   Pāṇḍ-v § 7.3.1 sa mūlapārivāsika eva saṃghāvaśeṣām āpattim āpannaḥ	PANx-u § 7.3.1 sa mUla-pArivAsikaH eva saMGa-a=-aSezAm Apattim ApannaH
   pratyantarāpattim antarāpattipratirūpāṃ praticchannāṃ / sa etat prakaraṇaṃ	pratyantara-Apattim antarApatti-pratirUpAm praticCannAm / saH etat prakaraNam
   bhikṣūṇām ārocayati / aham asmy āyuṣmanta udāyī bhikṣuḥ saṃghāvaśeṣām	BikzUNAm Arocayati / aham asmi AyuzmantaH udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyāḥ	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpannaḥ antarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā (297r1 = GBM 906) udāyinā bhikṣuṇā asyāḥ	praticCannAm / tena mayA (297r1  GBm 906) udAyinA BikzuNA asyAH
   saṃghāvaśeṣāyā āpatteḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ	saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH
   saṃghān mūlaparivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	saMGAn mUla-parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaḥ / so 'haṃ mūlapārivāsika eva saṃghāvaśeṣām āpattim āpannaḥ	mUla-parivAsaH / saH aham mUla-pArivAsikaH eva saMGa-a=-aSezAm Apattim ApannaH
   pratyantarāpattiṃ antarāpattipratirūpāṃ praticchannāṃ / kiṃ mayā karaṇīyam	pratyantarApattim antarApatti-pratirUpAm praticCannAm / kim mayA karaNIyam
   ity / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha /	iti / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha /
   dadata yūyaṃ bhikṣava udāyino bhikṣor asyāḥ saṃghāvaśeṣāyāḥ	dadata yUyam BikzavaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā mūlāpakarṣam iti	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH mUla-apakarzam iti
   / yo vā punar anyo 'py evaṃjātīyaḥ /	/ yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 7.3.2 evaṃ ca punar dātavyaḥ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u § 7.3.2 evam ca punar dAtavyaH / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite udāyinā bhikṣuṇā vṛddhānte utkuṭukena sthitvā aṃjaliṃ pragṛhya	saMnipatite udAyinA BikzuNA vRdDAnte utkuwukena sTitvA aMjalim pragRhya
   idaṃ syād vacanīyam* /	idam syAt vacanIyam* /
   Pāṇḍ-v § 7.3.3 śṛṇotu bhadantāḥ saṃghaḥ / aham udāyī bhikṣuḥ saṃghāvaśeṣām	PANx-u § 7.3.3 SRNotu BadantAH saMGaH / aham udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'haṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH aham
   mūlapārivāsika eva saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / so 'ham asyāḥ saṃghāvaśeṣāyā	antarApatti-pratirUpAm praticCannAm / saH aham asyAH saMGa-avaSezAyA
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH saMGAn
   mūlāpakarṣaṃ yāce / dadātu bhadantāḥ saṃgho mamodāyino bhikṣor asyāḥ	mUla-apakarzam yAce / dadAtu BadantAH saMGaH mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣam anukaṃpaka anukampām upādāya / evaṃ dvir api trir api /	mUla-apakarzam anukaMpaka anukampAm upAdAya / evam dvis api tris api /
   Pāṇḍ-v § 7.3.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	PANx-u § 7.3.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam /
   śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī (297v1 = GBM 907) bhikṣuḥ	SRNotu BadantAH saMGaH / ayam udAyI (297v1  GBm 907) BikzuH
   saṃghāvaśeṣām āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām	saMGO=-aSezAm Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm
   ardhamāsapraticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā	arDa-mAsa-praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyA
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghenāsyodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena-Asya-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / datto 'sya saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH asya saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'yaṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH ayam
   mūlapārivāsika eva san* saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / so 'yam asyāḥ saṃghāvaśeṣāyāḥ	antarApatti-pratirUpAm praticCannAm / saH ayam asyAH saMGa-avaSezAyAH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH saMGAn
   mūlāpakarṣaṃ yācate / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho	mUla-apakarzam yAcate / saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH-
   yat saṃgha udāyino bhikṣor asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter	yat saMGaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH pratyantara-ApatteH-
   antarāpattipratirūpāyāḥ praticchannāyā mūlāpakarṣaṃ dadyād ity eṣā jñaptiḥ	antarApatti-pratirUpAyAH praticCannAyAH mUla-apakarzam dadyAt iti ezA jQaptiH
   Pāṇḍ-v § 7.3.5 karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī	PANx-u § 7.3.5 karma kartavyam / SRNotu BadantAH saMGaH / ayam udAyI
   bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām	BikzuH saMGa-a=-aSezAm Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm
   ardhamāsapraticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā	arDa-mAsa-praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghenāsya udāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena-asya udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tenānenodāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena-anena-udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / dattaḥ saṃghenāsya udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH saMGena-asya udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'yaṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH ayam
   mūlapārivāsika eva saṃ saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva sam saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / so 'yam asyāḥ saṃghāvaśeṣāyāḥ	antarApatti-pratirUpAm praticCannAm / saH ayam asyAH saMGa-avaSezAyAH
   pratyantarāpatter (298r1 = GBM 908) antarāpattipratirūpāyāḥ	pratyantara-ApatteH (298r1  GBm 908) antarApatti-pratirUpAyAH
   praticchannāyāḥ saṃghān mūlāpakarṣaṃ yācate / tat saṃgha udāyino bhikṣor	praticCannAyAH saMGAn mUla-apakarzam yAcate / tat saMGaH udAyinaH BikzoH-
   asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ	asyAH saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣam dadāti / yeṣām āyuṣmatāṃ kṣamate udāyino	praticCannAyAH mUla-apakarzam dadAti / yezAm AyuzmatAm kzamate udAyinaH-
   bhikṣor asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ	BikzoH asyAH saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣam dātuṃ te tūṣṇīṃ na kṣamate bhāṣantāṃ / iyaṃ	praticCannAyAH mUla-apakarzam dAtum te tUzNIm na kzamate BAzantAm / iyam
   prathamā karmavācanā / evaṃ dvitīyā tṛtīyā karmavācanā kartavyā Ś dattaḥ	praTamA karma-vAcanA / evam dvitIyA tRtIyA karma-vAcanA kartavyA Ś dattaH
   saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter	saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH pratyantara-ApatteH-
   antarāpattipratirūpāyāḥ praticchannāyā mūlāpakarṣaḥ / kṣāntam anujñātaṃ	antarApatti-pratirUpAyAH praticCannAyAH mUla-apakarzaH / kzAntam anujQAtam
   saṃghena yasmāt tūṣṇīm evam etad dhārayāmi // //	saMGena yasmAt tUzNIm evam etat DArayAmi // //
   Pāṇḍ-v § 7.4.1 so 'pareṇa samayena saṃghāvaśeṣāyā āpatteḥ	PANx-u § 7.4.1 saH apareNa samayena saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
