   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   manuṣyamāraṇe steye paradārābhimarśane /	manuzya-mAraNe steye para-dAra-aBimarSane /
   abhakṣyabhakṣaṇe caiva kanyāharaṇadūṣaṇe // K_094 //	aBakzya-BakzaNe ca-eva kanyA-haraNa-dUzaNe // K_094 //
   pāruṣye kūṭakaraṇe nṛpadrohe tathaiva ca /	pAruzye kUwa-karaNe nRpa-drohe taTA-eva ca /
   prativādī na dātavyaḥ kartā tu vivadet svayam // K_095 //	prativAdI na dAtavyaH kartA tu vivadet svayam // K_095 //
   [āhvānaṃ]	[a-AhvAnaM]
   dharmotsukān abhyudaye rogiṇo 'tha jaḍān api /	Darma-utsukAn aByudaye rogiNaH aTa jaxAn api /
   asvasthamattonmattārta- striyo nāhvānayen nṛpaḥ // K_096 //	asvasTa-matta-unmatta-Arta striyaH na-AhvA-Anayet nRpaH // K_096 //
   na hīnapakṣāṃ yuvatiṃ kule jātāṃ prasūtikām /	na hIna-pakzAm yuvatim kule jAtAm prasUtikAm /
   sarvavarṇottamāṃ kanyāṃ tā jñātiprabhukāḥ smṛtāḥ // K_097 //	sarva-varNa-uttamAm kanyAm tAH jQAti-praBukAH smRtAH // K_097 //
   tadadhīnakuṭumbinyaḥ svairiṇyo gaṇikāś ca yāḥ /	tad-aDIna-kuwumbinyaH svEriNyaH gaNikAH ca yAH /
   niṣkulā yāś ca patitās tāsām āhvānam iṣyate // K_098 //	nizkulAH yAH ca patitAH tAsAm AhvAnam izyate // K_098 //
   saśastro 'nuttarīyo vā muktakeśaḥ sahāsanaḥ /	sa-SastraH anuttarIyaH vA muktakeSaH saha-AsanaH /
   vāmahas tena vā vādaṃ vadan daṇḍam avāpnuyāt // K_099 //	vAma-har tena vA vAdam vadan daNxam avApnuyAt // K_099 //
   āhūtas tv avamanyeta yaḥ śakto rājaśāsanam /	AhUtaH tu avamanyeta yaH SaktaH rAja-SAsanam /
   tasya kuryān nṛpo daṇḍaṃ vidhidṛṣṭena karmaṇā // K_100 //	tasya kuryAt nRpaH daNxam viDi-dRzwena karmaNA // K_100 //
   hīne karmāṇi pañcāśan- madhyame dviśatāvaraḥ /	hIne karmANi paQcASan maDyame dvi-Sata-avaraH /
   gurukāryeṣu daṇḍaḥ syān nityaṃ pañcaśatāvaraḥ // K_101 //	guru-kAryezu daNxaH syAt nityam paQca-Sata-avaraH // K_101 //
   kalpito yasya yo daṇḍas tv aparādhasya yatnataḥ /	kalpitaH yasya yaH daNxaH tu aparADasya yatnatas /
   paṇānāṃ grahaṇaṃ tu syāt tanmūlyaṃ vātha rājani // K_102 //	paNAnAm grahaNam tu syAt tad-mUlyam vA-aTa rAjani // K_102 //
   [āsedhaḥ]	[AseDaH]
   utpādayati yo hiṃsāṃ deyaṃ vā na prayacchati /	utpAdayati yaH hiMsAm deyam vA na prayacCati /
   yācam ānāya dauḥśīlyād ākṛṣyo 'sau nṛpājñayā // K_103 //	yAcam AnAya dOHSIlyAt AkRzyaH asO nRpa-AjQayA // K_103 //
   āvedya tu nṛpe kāryam asaṃdigdhe pratiśrute /	Avedya tu nRpe kAryam asaMdigDe pratiSrute /
   tadāsedhaṃ prayuñjīta yāvad āhvānadarśanam // K_104 //	tad-AseDam prayuQjIta yAvat AhvAna-darSanam // K_104 //
   āsedhayogya āsiddha utkrāman daṇḍam arhati // K_105 //	AseDa-yogyaH AsidDaH utkrAman daNxam arhati // K_105 //
   [anāsedhyāḥ]	[anA-seDyAH]
   yas tv indriyanirodhena vyāhārocchvasanādibhiḥ /	yaH tu indriya-niroDena vyAhAra-ucCvasana-AdiBiH /
   āsedhayed anāsedhyaṃ sa daṇḍyo na tv atikramī // K_106 //	AseDayet anAseDyam sa daNxyaH na tu atikramI // K_106 //
   vṛkṣaparvatam ārūḍhā hastyaśvarathanausthitāḥ /	vRkza-parvatam ArUXAH hasti-aSva-raTa-nOsTitAH /
   viṣamasthāś ca te sarve nāsedhyāḥ kāryasādhakaiḥ // K_107 //	vizama-sTAH ca te sarve na-AseDyAH kArya-sADakEH // K_107 //
   vyādhyārtā vyasanasthāś ca yajamānās tathaiva ca /	vyADi-ArtAH vyasana-sTAH ca yajamAnAH taTA-eva ca /
   anuttīrṇāś ca nāsedhyā mattonmattajaḍās tathā // K_108 //	anuttIrNAH ca na-AseDyAH matta-unmatta-jaxAH taTA // K_108 //
   na karṣako bījakāle senākāle tu sainikaḥ /	na karzakaH bIja-kAle senA-kAle tu sEnikaH /
   pratijñāya prayātaś ca kṛtakālaś ca nāntarā // K_109 //	pratijQAya prayAtaH ca kRta-kAlaH ca na-antarA // K_109 //
   udyuktaḥ karṣakaḥ sasye toyasyāgamane tathā /	udyuktaH karzakaH sasye toyasya-Agamane taTA /
   ārambhāt saṃgrahaṃ yāvat tatkālaṃ na vivādayet /	AramBAt saMgraham yAvat tad-kAlam na vivAdayet /
   āsedhayaṃs tv anāsedhyaṃ rajñā śāsya iti sthitiḥ // K_110 //	AseDayan tu anAseDyam rajQA SAsyaH iti sTitiH // K_110 //
   abhiyuktaś ca ruddhaś ca tiṣṭheyuś ca nṛpājñayā /	aBiyuktaH ca rudDaH ca tizWeyuH ca nRpa-AjQayA /
   na tasyānyena kartavyam abhiyuktaṃ vidur budhāḥ // K_111 //	na tasya-anyena kartavyam aBiyuktam viduH buDAH // K_111 //
   ekāhadvyāhādyapekṣaṃ deśakālādyapekṣayā /	ekAhat-vyAha-Adi-apekzam deSa-kAla-Adi-apekzayA /
   dūtāya sādhite kārye tena bhaktaṃ pradāpayet // K_112 //	dUtAya sADite kArye tena Baktam pradApayet // K_112 //
   deśakālavayaḥśaktyādy- apekṣaṃ bhojanaṃ smṛtam /	deSa-kAla-vayaH-Sakti-Ady apekzam Bojanam smRtam /
   ākārakasya sarvatra iti tattvavido viduḥ // K_113 //	AkArakasya sarvatra iti tattva-vidaH viduH // K_113 //
   [pratibhūtvenāgrāhyāḥ]	[pratiBU-tvena-agrAhyAH]
   na svāmī na ca vai śatruḥ svāminādhikṛtas tathā /	na svAmI na ca vE SatruH svAminA-aDikRtaH taTA /
   niruddho daṇḍitaś caiva saṃśayasthāś ca na kvacit // K_114 //	nirudDaH daNxitaH ca-eva saMSaya-sTAH ca na kvacid // K_114 //
   naiva rikthī na riktaś ca na caivātyantavāsinaḥ /	na-eva rikTI na riktaH ca na ca-eva-atyanta-vAsinaH /
   rājakāryaniyuktaś ca ye ca pravrajitā narāḥ // K_115 //	rAja-kArya-niyuktaH ca ye ca pravrajitAH narAH // K_115 //
   nāśakto dhanine dātuṃ daṇḍaṃ rājñe ca tatsamam /	na-aSaktaH Danine dAtum daNxam rAjQe ca tad-samam /
   jīvan vāpi pitā yasya tathaivecchāpravartakaḥ /	jIvan vA-api pitA yasya taTA-eva-icCA-pravartakaH /
   nāvijñāto grahītavyaḥ pratibhūtvakriyāṃ prati // K_116 //	na-avijQAtaH grahItavyaH pratiBU-tva-kriyAm prati // K_116 //
   atha cet pratibhūr nāsti vādayogyasya vādinaḥ /	aTa ced pratiBUH na-asti vAda-yogyasya vAdinaH /
   sa rakṣito dinasyānte dadyād dūtāya vetanam // K_117 //	sa rakzitaH dinasya-ante dadyAt dUtAya vetanam // K_117 //
   dvijātiḥ pratibhūhīno rakṣyaḥ syād bāhyacāribhiḥ /	dvijAtiH pratiBU-hInaH rakzyaH syAt bAhya-cAriBiH /
   śūdrādīn pratibhūhīnān bandhayen nigaḍena tu // K_118 //	SUdra-AdIn pratiBU-hInAn banDayet nigaxena tu // K_118 //
   atikrame 'payāte ca daṇḍayet taṃ paṇāṣṭakam /	atikrame apayAte ca daNxayet tam paNAzwakam /
   nityakarmāparodhas tu kāryaḥ sarvavarṇinām // K_119 //	nityakarma-aparoDaH tu kAryaH sarva-varNinAm // K_119 //
   grahītagrahaṇo nyāye na pravartyo mahībhṛtā /	grahIta-grahaNaH nyAye na pravartyaH mahIBRtA /
   tasya vā tatsamarpyaṃ syāt sthāpayed vā parasya tat // K_120 //	tasya vA tat-samarpyam syAt sTApayet vA parasya tat // K_120 //
   [abhiyoktrādīnām uktikramaḥ]	[aBiyoktra-AdInAm ukti-kramaH]
   tatrābhiyoktā prāg brūyād abhiyuktas tv anantaram /	tatra-aBiyoktA prAk brUyAt aBiyuktaH tu anantaram /
   tayor ante sadasyāstu prāḍvivākas tataḥ param // K_121 //	tayoH ante sadasyAH-tu prAxvivAkaH tatas param // K_121 //
   yasya syād adhikā pīḍā kāryaṃ vāpy adhikaṃ bhavet /	yasya syAt aDikA pIxA kAryam vA-api aDikam Bavet /
   pūrvapakṣo bhavet tasya na yaḥ pūrvaṃ nivedayet // K_122 //	pUrva-pakzaH Bavet tasya na yaH pUrvam nivedayet // K_122 //
   yasya vārthagatā pīḍā śārīrī vādhikā bhavet /	yasya vA-arTa-gatA pIxA SArIrI vA-aDikA Bavet /
   tasyārthivādo dātavyo na yaḥ pūrvaṃ nivedayet // K_123 //	tasya-arTi-vAdaH dAtavyaH na yaH pUrvam nivedayet // K_123 //
   [pratijñāsvarūpam]	[pratijQA-svarUpam]
   niveśya kālaṃ varṣaṃ ca māsaṃ pakṣaṃ tirthi tathā /	niveSya kAlam varzam ca mAsam pakzam tirTi taTA /
   velāṃ pradeśaṃ viṣayaṃ sthānaṃ jātyākṛtī vayaḥ // K_124 //	velAm pradeSam vizayam sTAnam jAti-AkRtI vayaH // K_124 //
   sādhyapramāṇaṃ dravyaṃ ca saṃkhyāṃ nāma tathātmanaḥ /	sADya-pramANam dravyam ca saMKyAm nAma taTA-AtmanaH /
   rājñāṃ ca kramaśo nāma nivāsaṃ sādhyanāma ca // K_125 //	rAjQAm ca kramaSas nAma nivAsam sADya-nAma ca // K_125 //
   kramāt pitṝṇāṃ nāmāni pīḍāṃ cāhartṛdāyakau /	kramAt pitLNAm nAmAni pIxAm ca-AhartR-dAyakO /
   kṣamāliṅgāni cānyāni pakṣaṃ saṃkīrtya kalpayet // K_126 //	kzamA-liFgAni ca-anyAni pakzam saMkIrtya kalpayet // K_126 //
   deśaś caiva tathā sthānaṃ saṃniveśas tathaiva ca /	deSaH ca-eva taTA sTAnam saMniveSaH taTA-eva ca /
   jātiḥ saṃjñā nivāsaś ca pramāṇaṃ kṣetranāma ca // K_127 //	jAtiH saMjQA nivAsaH ca pramANam kzetra-nAma ca // K_127 //
   pitṛpaitāmahaṃ caiva pūrvarājānukīrtanam /	pitRpEtAmaham ca-eva pUrva-rAja-anukIrtanam /
   sthāvareṣu vivādeṣu daśaitāni niveśayet // K_128 //	sTAvarezu vivAdezu daSa-etAni niveSayet // K_128 //
   rāgādīnāṃ yad ekena kopitaḥ karaṇe vadet /	rAga-AdInAm yat ekena kopitaH karaNe vadet /
   tad om iti likhet sarvaṃ vādinaḥ phalakādiṣu // K_129 //	tat om iti liKet sarvam vAdinaH Palaka-Adizu // K_129 //
   adhikān śodhayed arthān nyūnāṃś ca pratipūrayet /	aDikAn SoDayet arTAn nyUnAn ca pratipUrayet /
   bhūmau niveśayet tāvad yāvat pakṣaḥ pratiṣṭhitaḥ // K_130 //	BUmO niveSayet tAvat yAvat pakzaH pratizWitaH // K_130 //
   pūrvapakṣaṃ svabhāvoktaṃ prāḍvivāko 'bhilekhayet /	pUrva-pakzam svaBAva-uktam prAxvivAkaH aBileKayet /
   pāṇḍulekhena phalake tataḥ patre viśodhitam // K_131 //	pANxu-leKena Palake tatas patre viSoDitam // K_131 //
   anyad uktaṃ likhed anyad yo 'rthipratyarthināṃ vacaḥ /	anyat uktam liKet anyat yaH arTi-pratyarTinAm vacaH /
   cauravac chāsayet taṃ tu dhārmikaḥ pṛthivīpatiḥ // K_132 //	cOra-vat SAsayet tam tu DArmikaH pRTivIpatiH // K_132 //
   sollekhanaṃ vā labhate try ahaṃ saptāham eva vā /	sa-ulleKanam vA laBate tri aham sapta-aham eva vA /
   matir utpadyate yāvad vivāde vaktum icchataḥ // K_133 //	matiH utpadyate yAvat vivAde vaktum icCataH // K_133 //
   yasmāt kāryasamārambhāc cirāt tena viniścayaḥ /	yasmAt kArya-samAramBAt cirAt tena viniScayaH /
   tasmāt na labhate kālam abhiyuktas tu kālabhāk // K_134 //	tasmAt na laBate kAlam aBiyuktaH tu kAla-BAj // K_134 //
   matir notsahate yatra vivāde kāryam icchatoḥ /	matiH na-utsahate yatra vivAde kAryam icCatoH /
   dātavyas tatra kālaḥ syād arthipratyarthinor api // K_135 //	dAtavyaH tatra kAlaH syAt arTi-pratyarTinoH api // K_135 //
   [pratijñādoṣāḥ : pūrvapakṣadoṣāḥ]	[pratijQA-dozAH : pUrva-pakza-dozAH]
   yaś ca rāṣṭraviruddhaś ca yaś ca rājñā vivarjitaḥ /	yaH ca rAzwra-virudDaH ca yaH ca rAjQA vivarjitaH /
   anekapadasaṃkīrṇaḥ pūrvapakṣo na siddhyati // K_136 //	aneka-pada-saMkIrNaH pUrva-pakzaH na sidDyati // K_136 //
   bahupratijñaṃ yat kāryaṃ vyavahāreṣu niścitam /	bahu-pratijQam yat kAryam vyavahArezu niScitam /
   kāmaṃ tad api gṛhṇīyād rājā tattvabubhutsayā // K_137 //	kAmam tat api gRhNIyAt rAjA tattva-buButsayA // K_137 //
   deśakālavihīnaś ca dravyasaṃkhyāvivarjitaḥ /	deSa-kAla-vihInaH ca dravya-saMKyA-vivarjitaH /
   sādhyapramāṇahīnaś ca pakṣo 'nādeya iṣyate // K_138 //	sADya-pramANa-hInaH ca pakzaH anAdeyaH izyate // K_138 //
   nyāyasthaṃ necchate kartum anyāyaṃ vā karoty ayam /	nyAya-sTam na-icCate kartum anyAyam vA karoti ayam /
   na lekhayati yat tv evaṃ tasya pakṣo na sidhyati // K_139 //	na leKayati yat tu evam tasya pakzaH na siDyati // K_139 //
   aprasiddhaṃ nirābādhaṃ nirarthaṃ niṣprayojanam /	aprasidDam nirAbADam nirarTam nizprayojanam /
   asādhyaṃ vā viruddhaṃ vā pakṣābhāsaṃ vivarjayet // K_140 //	asADyam vA virudDam vA pakza-ABAsam vivarjayet // K_140 //
   pratijñādoṣanirmuktaṃ sādhyaṃ satkāraṇānvitam /	pratijQA-doza-nirmuktam sADyam sat-kAraNa-anvitam /
   niścitaṃ lokasiddhaṃ ca pakṣaṃ pakṣavido viduḥ // K_141 //	niScitam loka-sidDam ca pakzam pakza-vidaH viduH // K_141 //
   svalpākṣaraḥ prabhūtārtho niḥsaṃdigdho nirākulaḥ /	su-alpa-akzaraH praBUta-arTaH niHsaMdigDaH nirAkulaH /
   virodhikāraṇair mukto virodhipratiṣedhakaḥ // K_142 //	viroDi-kAraNEH muktaH viroDi-pratizeDakaH // K_142 //
   yadā tv evaṃ vidhaḥ pakṣaḥ kalpitaḥ pūrvavādinā /	yadA tu evam viDaH pakzaH kalpitaH pUrvavAdinA /
   dadyāt tatpakṣasaṃbaddhaṃ prativādī tadottaram // K_143 //	dadyAt tad-pakza-saMbadDam prativAdI tadA-uttaram // K_143 //
   śrāvyamāṇo 'rthinā yatra yo hy artho na vighātitaḥ /	SrAvyamANaH arTinA yatra yaH hi arTaH na viGAtitaH /
   dānakāle 'thavā tūṣṇīṃ sthitaḥ so 'rtho 'numoditaḥ // K_144 //	dAna-kAle aTavA tUzNIm sTitaH saH arTaH anumoditaH // K_144 //
   [uttaraṃ sadyo dātavyaṃ kālāntareṇa vā dātavyam]	[uttaram sadyas dAtavyam kAla-antareNa vA dAtavyam]
   śrutvā lekhyagataṃ tv arthaṃ pratyarthī kāraṇād yadi /	SrutvA leKya-gatam tu arTam pratyarTI kAraNAt yadi /
   kālaṃ vivāde yāceta tasya deyo na saṃśayaḥ // K_145 //	kAlam vivAde yAceta tasya deyaH na saMSayaH // K_145 //
   sadyo vaikāhapañcāha- tryahaṃ vā gurulāghavāt /	sadyas vA-ekAhapaQca-aha tri-aham vA gurulAGavAt /
   labhetāsau tripakṣaṃ vā saptāhaṃ vā ṛṇādiṣu // K_146 //	laBeta-asO tri-pakzam vA sapta-aham vE RNa-Adizu // K_146 //
   kālaṃ śaktiṃ viditvā tu kāryāṇāṃ ca balābalam /	kAlam Saktim viditvA tu kAryANAm ca balAbalam /
   alpaṃ vā bahu vā kālaṃ dadyāt pratyarthine prabhuḥ // K_147 //	alpam vA bahu vA kAlam dadyAt pratyarTine praBuH // K_147 //
   dinaṃ māsārdhamāsau vā ṛtuḥ saṃvatsaro 'pi vā /	dinam mAsa-arDa-mAsO vE RtuH saMvatsaraH api vA /
   kriyāsthityanurūpas tu deyaṃ kālaḥ pareṇa tu // K_148 //	kriyA-sTiti-anurUpaH tu deyam kAlaH pareNa tu // K_148 //
   vyapaiti gauravaṃ yatra vināśas tyāga eva vā /	vyapEti gOravam yatra vinASaH tyAgaH eva vA /
   kālaṃ tatra na kurvīta kāryam ātyayikaṃ hi tat // K_149 //	kAlam tatra na kurvIta kAryam Atyayikam hi tat // K_149 //
   dhenāv anaḍuhi kṣetre strīṣu prajanane tathā /	DenO anaxuhi kzetre strIzu prajanane taTA /
   nyāse yācitake datte tathaiva krayavikraye // K_150 //	nyAse yAcitake datte taTA-eva kraya-vikraye // K_150 //
   kanyāyā dūṣaṇe steye kalahe sāhase nidhau /	kanyAyAH dUzaNe steye kalahe sAhase niDO /
   upadhau kauṭasākṣye ca sadya eva vivādayet // K_151 //	upaDO kOwa-sAkzye ca sadyas eva vivAdayet // K_151 //
   sāhasasteyapāruṣya- go'bhiśāpe tathātyaye /	sAhasa-steya-pAruzya go-aBiSApe taTA-atyaye /
   bhūmau vivādayet kṣipram akāle 'pi bṛhaspatiḥ // K_152 //	BUmO vivAdayet kzipram akAle api bRhaspatiH // K_152 //
   sadyaḥ kṛteṣu kāryeṣu sadya eva vivādayet /	sadyas kRtezu kAryezu sadyas eva vivAdayet /
   kālātīteṣu vā kālaṃ dadyāt pratyarthine prabhuḥ // K_153 //	kAla-atItezu vA kAlam dadyAt pratyarTine praBuH // K_153 //
   sadyaḥ kṛte sadya eva māsātīte dinaṃ bhavet /	sadyas kRte sadyas eva mAsa-atIte dinam Bavet /
   ṣaḍābdike trirātraṃ syāt saptāhaṃ dvādaśābdike // K_154 //	zaz-Abdike tri-rAtram syAt sapta-aham dvAdaSa-Abdike // K_154 //
   viṃśatyabde daśāhaṃ tu māsārdhaṃ vā labheta saḥ /	viMSati-abde daSa-aham tu mAsa-arDam vA laBeta saH /
   māsaṃ triṃśatsamātīte tripakṣaṃ parato bhavet // K_155 //	mAsam triMSat-samA-atIte tri-pakzam paratas Bavet // K_155 //
   kālaṃ saṃvatsarād arvāk svayam eva yathepsitam /	kAlam saMvatsarAt arvAk svayam eva yaTA-Ipsitam /
   saṃvatsaraṃ jaḍonmatta- manaske vyādhipīḍite // K_156 //	saMvatsaram jaxa-unmatta manaske vyADi-pIxite // K_156 //
   digantaraprapanne vā ajñātārthe ca vastuni /	digantara-prapanne vA ajQAta-arTe ca vastuni /
   mūlaṃ vā sākṣiṇo vātha paradeśe sthitā yadā // K_157 //	mUlam vA sAkziNaH vA-aTa para-deSe sTitAH yadA // K_157 //
   tatra kālo bhavet puṃsām ā svadeśasamāgamāt /	tatra kAlaH Bavet puMsAm A sva-deSa-samAgamAt /
   datte 'pi kāle deyaṃ syāt punaḥ kāryasya gauravāt // K_158 //	datte api kAle deyam syAt punar kAryasya gOravAt // K_158 //
   pūrvapakṣaśrutārthas tu pratyarthī tadanantaram /	pUrva-pakza-Sruta-arTaH tu pratyarTI tad-anantaram /
   pūrvapakṣārthasaṃbandhaṃ pratipakṣaṃ nivedayet // K_159 //	pUrva-pakza-arTa-saMbanDam pratipakzam nivedayet // K_159 //
   ācāradravyadāneṣṭa- kṛtyopasthānanirṇaye /	AcAra-dravya-dAna-izwa kRtya-upasTAna-nirNaye /
   nopasthito yadā kaścic chalaṃ tatra na kārayet // K_160 //	na-upasTitaH yadA kaScid Calam tatra na kArayet // K_160 //
   daivarājakṛto doṣas tasmin kāle yadā bhavet /	dEva-rAja-kRtaH dozaH tasmin kAle yadA Bavet /
   abādhatyāgamātreṇa na bhavet sa parājitaḥ // K_161 //	abADa-tyAga-mAtreNa na Bavet sa parAjitaH // K_161 //
   daivarājakṛtaṃ doṣaṃ sākṣibhiḥ pratipādayet /	dEva-rAja-kRtam dozam sAkziBiH pratipAdayet /
   jaihmyena vartamānasya daṇḍo dāpyas tu taddhanam // K_162 //	jEhmyena vartamAnasya daNxaH dApyaH tu tad-Danam // K_162 //
   abhiyukto 'bhiyoktāram abhiyuñjīta karhicit /	aBiyuktaH aBiyoktAram aBiyuQjIta karhicit /
   anyatra daṇḍapāruṣya- steyasaṃgrahaṇātyayāt // K_163 //	anyatra daNxa-pAruzya steya-saMgrahaNa-atyayAt // K_163 //
   yāvan yasmin samācāraḥ pāraṃparyakramāgataḥ /	yAvan yasmin samAcAraH pAraMparya-krama-AgataH /
   taṃ pratīkṣya yathānyāyam uttaraṃ dāpayen nṛpaḥ // K_164 //	tam pratIkzya yaTAnyAyam uttaram dApayet nRpaH // K_164 //
   [caturvidham uttaram]	[caturviDam uttaram]
   satyaṃ mithyottaraṃ caiva pratyavaskandanaṃ tathā /	satyam miTyA-uttaram ca-eva pratyavaskandanam taTA /
   pūrvanyāyavidhiś caivam uttaraṃ syāc caturvidham // K_165 //	pUrva-nyAya-viDiH ca-evam uttaram syAt caturviDam // K_165 //
   śrutvā bhāṣārtham anyas tu yadā taṃ pratiṣedhati /	SrutvA BAzA-arTam anyaH tu yadA tam pratizeDati /
   arthataḥ śabdato vāpi mithyā tajjñeyam uttaraṃ // K_166 //	arTataH SabdataH vA-api miTyA tat-jQeyam uttaram // K_166 //
   abhiyukto 'bhiyogasya yadi kuryāt tu nihnavam /	aBiyuktaH aBiyogasya yadi kuryAt tu nihnavam /
   mithyā tat tu vijānīyād uttaraṃ vyavahārataḥ // K_167 //	miTyA tat tu vijAnIyAt uttaram vyavahArataH // K_167 //
   sādhyasya satyavacanaṃ pratipattir udāhṛtā // K_168 //	sADyasya satya-vacanam pratipattiH udAhRtA // K_168 //
   mithyaitan nābhijānāmi tadā tatra na saṃnidhiḥ /	miTyA-etat na-aBijAnAmi tadA tatra na saMniDiH /
   ajātaś cāsmi tatkāla iti mithyā caturvidham // K_169 //	ajAtaH ca-asmi tad-kAle iti miTyA caturviDam // K_169 //
   yo 'rthinārthaḥ samuddiṣṭaḥ pratyarthī yadi taṃ tathā /	yaH arTinA-arTaH samuddizwaH pratyarTI yadi tam taTA /
   prapadya kāraṇaṃ brūyād ādharyaṃ gurur abravīt // K_170 //	prapadya kAraNam brUyAt ADaryam guruH abravIt // K_170 //
   ācāreṇāvasanno 'pi punar lekhayate yadi /	AcAreNa-avasannaH api punar leKayate yadi /
   so 'bhidheyo jitaḥ pūrvaṃ prāṅnyāyas tu sa ucyate // K_171 //	saH aBiDeyaH jitaH pUrvam prAFnyAyaH tu saH ucyate // K_171 //
   vibhāvayāmi kulikaiḥ sākṣibhir likhitena vā /	viBAvayAmi kulikEH sAkziBiH liKitena vA /
   jitaś caiva mayāyaṃ prāk prāṅnyāyastriprakārakaḥ // K_172 //	jitaH ca-eva mayA-ayam prAk prAFnyAyaH-tri-prakArakaH // K_172 //
   [uttarābhāsā uttaradoṣā vā]	[uttara-ABAsAH uttara-dozAH vA]
   aprasiddhaṃ viruddhaṃ yad atyalpam atibhūri ca /	aprasidDam virudDam yat ati-alpam ati-BUri ca /
   saṃdigdhāsaṃbhavāvyaktam anyārthaṃ cātidoṣavat // K_173 //	saMdigDa-asaMBava-avyaktam anya-arTam ca-ati-dozavat // K_173 //
   avyāpakaṃ vyastapadaṃ nigūḍhārthaṃ tathākulam /	avyApakam vyasta-padam nigUXa-arTam taTA-Akulam /
   vyākhyāgamyam asāraṃ ca nottaraṃ śasyate budhaiḥ // K_174 //	vyAKyA-agamyam asAram ca na-uttaram Sasyate buDEH // K_174 //
   yadvyastapadam avyāpi nigūḍhārthaṃ tathākulam /	yat-vyasta-padam avyApi nigUXa-arTam taTA-Akulam /
   vyākhyāgamyam asāraṃ ca nottaraṃ svārthasiddhaye // K_175 //	vyAKyA-agamyam asAram ca na-uttaram sva-arTa-sidDaye // K_175 //
   cihnākārasahasraṃ tu samayaṃ cāvijānatā /	cihna-AkAra-sahasram tu samayam ca-avijAnatA /
   bhāṣāntareṇa vā proktam aprasiddhaṃ tad uttaram // K_176 //	BAzA-antareNa vA proktam aprasidDam tat uttaram // K_176 //
   pratidattaṃ mayā bālye pratidattaṃ mayā na hi /	pratidattam mayA bAlye pratidattam mayA na hi /
   yad evam āha vijñeyaṃ viruddhaṃ tad ihottaraṃ // K_177 //	yat evam Aha vijQeyam virudDam tat iha-uttaram // K_177 //
   jitaḥ purā mayāyaṃ ca tv arthe 'sminn iti bhāṣitum /	jitaH purA mayA-ayam ca tu arTe asmin iti BAzitum /
   purā mayāyam iti yat tad ūnaṃ cottaraṃ smṛtam // K_178 //	purA mayA-ayam iti yat tat Unam ca-uttaram smRtam // K_178 //
   gṛhītam iti vācye tu kāryaṃ tena kṛtaṃ mayā /	gRhItam iti vAcye tu kAryam tena kRtam mayA /
   purā gṛhītaṃ yad dravyam iti yac cātibhūri tat // K_179 //	purA gRhItam yat dravyam iti yat ca-ati-BUri tat // K_179 //
   deyaṃ mayeti vaktavye mayādeyam itīdṛśam /	deyam mayA-iti vaktavye mayA-Adeyam iti-IdRSam /
   saṃdigdham uttaraṃ jñeyaṃ vyavahāre budhais tadā // K_180 //	saMdigDam uttaram jQeyam vyavahAre buDEH tadA // K_180 //
   balābalena caitena sāhasaṃ sthāpitaṃ purā /	bala-abalena ca-etena sAhasam sTApitam purA /
   anuktam etan manyante tad anyārtham itīritam // K_181 //	anuktam etat manyante tat anya-arTam iti-Iritam // K_181 //
   asmai dattaṃ mayā sārdhaṃ sahasram iti bhāṣite /	asmE dattam mayA sArDam sahasram iti BAzite /
   pratidattaṃ tadardhaṃ yat tad ihāvyāpakaṃ smṛtam // K_182 //	pratidattam tad-arDam yat tat iha-avyApakam smRtam // K_182 //
