   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   saṃrakṣaitā matimatā ratnavatī vasumatī tena // 5.47 //	saMrakzA-etA matimatA ratnavatI vasumatI tena // 5.47 //
   sargaḥ 6: madavarṇanam	sargaH 6: mada-varNanam
   ekaḥ sakalajanānāṃ hṛdayeṣu kṛtāspado madaḥ śatruḥ &	ekaH sakala-janAnAm hRdayezu kRta-AspadaH madaH SatruH &
   yenāviṣṭaśarīro na śṛṇoti na paśyati stabdhaḥ // 6.1 //	yena-Avizwa-SarIraH na SRNoti na paSyati stabDaH // 6.1 //
   vijitātmanāṃ janānām abhavadyaḥ kṛtayuge damo nāma &	vijita-AtmanAm janAnAm aBavat-yaH kRta-yuge damaH nAma &
   so'yaṃ viparītatayā madaḥ sthitaḥ kaliyuge puṃsām // 6.2 //	saH-ayam viparIta-tayA madaH sTitaH kali-yuge puMsAm // 6.2 //
   maunaṃ vadananikūṇanam ūrdhvekṣaṇamanyalakṣyatā cākṣṇoḥ &	mOnam vadana-nikUNanam UrDva-IkzaNam-anya-lakzya-tA ca-akzNoH &
   gātravilepanaveṣṭanam agryaṃ rūpaṃ madasyaitat // 6.3 //	gAtra-vilepana-vezwanam agryam rUpam madasya-etat // 6.3 //
   śauryamado rūpamadaḥ śṛṅgāramadaḥ kulonnatimadaśca &	SOrya-madaH rUpa-madaH SRFgAra-madaH kula-unnati-madaH-ca &
   vibhavamadamūlajātā madavṛkṣā dehināmante // 6.4 //	viBava-mada-mUla-jAtAH mada-vRkzAH dehinAm-ante // 6.4 //
   śūlārūḍhasamāno vātastabdhopamo'tha bhūtasamaḥ &	SUla-ArUXa-samAnaH vAta-stabDa-upamaH-aTa BUta-samaH &
   bahubhoge vibhavamadaḥ praśamajvarasaṃnipātasamaḥ // 6.5 //	bahu-Boge viBava-madaH praSama-jvara-saMnipAta-samaH // 6.5 //
   śauryamado bhujadarśī rūpamado darpaṇādidarśī ca &	SOrya-madaH Buja-darSI rUpa-madaH darpaNa-Adi-darSI ca &
   kāmamadaḥ strīdarśī vibhavamadastveṣa jātyandhaḥ // 6.6 //	kAma-madaH strI-darSI viBavam-adaH-tu-eza jAti-anDaH // 6.6 //
   antaḥsukharasamūrcchāmīlitanayanaḥ samāhitadhyānaḥ &	antar-suKa-rasa-mUrcCA-mIlita-nayanaH samAhita-DyAnaH &
   dhanamada eṣa narāṇām ātmārāmopamaḥ ko'pi // 6.7 //	Dana-madaH eza narANAm Atma-ArAma-upamaH kaH-api // 6.7 //
   unmādayatyaviṣaye vividhavikāraḥ samastaguṇahīnaḥ &	unmAdayati-avizaye viviDa-vikAraH samasta-guNa-hInaH &
   mūḍhamadastvanyo'yaṃ jayati vicitro nirālambaḥ // 6.8 //	mUXam-adaH-tu-anyaH-ayam jayati vicitraH nirAlambaH // 6.8 //
   stambhānna paśyati bhuvaṃ khecaradarśī sadā tapasvimadaḥ &	stamBAt-na paSyati Buvam Kecara-darSI sadA tapasvi-madaH &
   bhaktimado'dbhutakārī vismṛtadehaścalaḥ prakṛtyaiva // 6.9 //	BaktimadaH-adButa-kArI vismRta-dehaH-calaH prakRtyA-eva // 6.9 //
   ākoparaktanayanaḥ paravāṅmātrāsahaḥ pralāpī ca &	Akopa-rakta-nayanaH para-vAc-mAtra-asahaH pralApI ca &
   viṣamaḥ śrutamadanāmā dhātukṣobho nṛṇāṃ mūrtaḥ // 6.10 //	vizamaH Sruta-mada-nAmA DAtu-kzoBaH nRNAm mUrtaH // 6.10 //
   satatabhrukuṭikarālaḥ paruṣākrośī haṭhābhighātaparaḥ &	satata-Brukuwi-karAlaH paruza-AkroSI haWa-aBiGAta-paraH &
   adhikāramadaḥ puṃsāṃ sarvāśī rākṣasaḥ krūraḥ // 6.11 //	aDikAra-madaH puMsAm sarva-ASI rAkzasaH krUraH // 6.11 //
   pūrvapuruṣapratāpaprathitakathāvismṛtānyanijakṛtyaḥ &	pUrva-puruza-pratApa-praTita-kaTA-vismRta-anya-nija-kRtyaH &
   kulamada ekaḥ puṃsāṃ sudīrghadarśī mahājñānaḥ // 6.12 //	kula-madaH ekaH puMsAm su-dIrGa-darSI mahA-jQAnaH // 6.12 //
   varjitasakalasparśaḥ sarvāśucibhāvanānnirālambaḥ &	varjita-sakala-sparSaH sarva-aSuci-BAvanAt-nirAlambaH &
   ākāśe'pi salepaḥ śaucamado nityasaṃkocaḥ // 6.13 //	AkASe-api sa-lepaH SOca-madaH nitya-saMkocaH // 6.13 //
   sāvadhayaḥ sarvamadā nijanijamūlakṣaye vinaśyanti &	sa-avaDayaH sarva-madAH nija-nija-mUla-kzaye vinaSyanti &
   varamada ekaḥ kuṭilo vijṛmbhate niravadhirbhogī // 6.14 //	vara-madaH ekaH kuwilaH vijRmBate niravaDiH-BogI // 6.14 //
   pānamadastu jaghanyaḥ sarvajugupsāspadaṃ mahāmohaḥ &	pAna-madaH-tu jaGanyaH sarva-jugupsA-Aspadam mahA-mohaH &
   kṣaṇiko'pi harati sahasā varṣasahasrārjitaṃ śīlam // 6.15 //	kzaNikaH-api harati sahasA varza-sahasra-arjitam SIlam // 6.15 //
   vidyāvati vipravare gavi hastini bhūpatau śvapāke ca &	vidyAvati vipra-vare gavi hastini BUpatO SvapAke ca &
   madyamadaḥ samadarśī svaparavibhāgaṃ na jānāti // 6.16 //	madya-madaH sama-darSI sva-para-viBAgam na jAnAti // 6.16 //
   vigalitasadasadbhedaḥ samakāñcanaloṣṭapāṣāṇaḥ &	vigalita-sat-asat-BedaH sama-kAQcana-lozwa-pAzANaH &
   prāpto yogidaśāmapi narake kṣībaḥ svayaṃ patati // 6.17 //	prAptaH yogi-daSAm-api narake kzIbaH svayam patati // 6.17 //
   roditi gāyati vihasati gāyati vilapaty uccair upaiti saṃmoham &	roditi gAyati vihasati gAyati vilapati uccEs upEti saMmoham &
   bhajate vividhavikārān saṃsārādarśamaṇḍalaḥ kṣībaḥ // 6.18 //	Bajate viviDa-vikArAn saMsAra-AdarSa-maNxalaH kzIbaH // 6.18 //
   parapaticumbanasaktāṃ paśyati dayitāṃ na yāti saṃtāpam &	para-pati-cumbana-saktAm paSyati dayitAm na yAti saMtApam &
   kṣībo'tigāḍharāgaṃ pītvā madhu vītarāgaḥ kim // 6.19 //	kzIbaH-atigAXa-rAgam pItvA maDu vIta-rAgaH kim // 6.19 //
   visṛjati vasanaṃ dūre vyasanaṃ gṛhṇāti duḥsahaṃ kṣībaḥ &	visRjati vasanam dUre vyasanam gRhNAti duHsaham kzIbaH &
   añjalipātre pibati ca nijamūtravijṛmbhitaṃ candram // 6.20 //	aQjali-pAtre pibati ca nija-mUtra-vijRmBitam candram // 6.20 //
   cyavanaḥ purā maharṣiḥ yauvanamaśviprayogato labdhvā &	cyavanaH purA mahA-RziH yOvanam-aSvi-prayogataH labDvA &
   yajñe svayaṃ kṛtajñaḥ tau cakre somapānārhau // 6.21 //	yajQe svayam kRtajQaH tO cakre soma-pAna-arhO // 6.21 //
   kruddhastametya śakraḥ provāca mune na vetsi kimapi tvam &	krudDaH-tam-etya SakraH provAca mune na vetsi kim-api tvam &
   bhiṣajāvapaṅktiyogyo somārhāvaśvinau yasya // 6.22 //	BizajA-avapaFkti-yogyaH soma-arhO=-aSvinO yasya // 6.22 //
   iti bahuśaḥ surapatinā pratiṣiddho'pi svatejasā cyavanaḥ &	iti bahuSas surapatinA pratizidDaH-api sva-tejasA cyavanaH &
   na cacāla niścitātmā nijakṛtyādaśvinoḥ prītyā // 6.23 //	na cacAla niScita-AtmA nija-kRtyAt-aSvinoH prItyA // 6.23 //
   tatkopodyatavajraṃ jambhārerāyataṃ bhujastambham &	tat-kopa-udyata-vajram jamBAreH-Ayatam Buja-stamBam &
   astambhayanmunīndraḥ prabhāvasaṃbhāvanāpātram // 6.24 //	astamBayan-muni-indraH praBAva-saMBAvanA-pAtram // 6.24 //
   asṛjacca tadvadhāya pralambakāyopamaṃ caturdaṃṣṭram &	asRjat-ca tad-vaDAya pralamba-kAya-upamam catur-daMzwram &
   yojanasahasravipulaṃ kṛtyārūpaṃ mahāsuraṃ ghoram // 6.25 //	yojana-sahasra-vipulam kRtyA-rUpam mahA-asuram Goram // 6.25 //
   tenāviṣṭaḥ sahasā bhīto vajrī tamāyayau śaraṇam &	tena-AvizwaH sahasA BItaH vajrI tam-AyayO SaraNam &
   somo'stu devabhiṣajoḥ iti covāca praṇaṣṭadhṛtiḥ // 6.26 //	somaH-astu devaBizajoH iti ca-uvAca praNazwa-DRtiH // 6.26 //
   munirapi karuṇāsindhuḥ bhītaṃ praṇataṃ mahendramāśvāsya &	muniH-api karuNA-sinDuH BItam praNatam mahA-indram-ASvAsya &
   madamutsasarja ghoraṃ dyūtastrīpānamṛgayāsu // 6.27 //	madam-utsasarja Goram dyUta-strI-pAna-mRgayAsu // 6.27 //
   so'yamasuraḥ pramāthī muninā kruddhena nirmito hṛdaye &	saH-ayam-asuraH pramATI muninA krudDena nirmitaH hRdaye &
   nivasati śarīrabhājāṃ stambhākāro guṇairbaddhaḥ // 6.28 //	nivasati SarIra-BAjAm stamBa-AkAraH guNEH-badDaH // 6.28 //
   maune śrīmattānāṃ niḥspandadṛśi pravṛddhavibhavānām &	mOne SrImattAnAm niHspanda-dRSi pravRdDa-viBavAnAm &
   bhrūbhaṅgamukhavikāre dhanikānāṃ bhrūyuge viṭādīnām // 6.29 //	BrU-BaFga-muKa-vikAre DanikAnAm BrU-yuge viwa-AdInAm // 6.29 //
   jihvāsu dūtaviduṣāṃ rūpavatāṃ daśanavasanakeśeṣu &	jihvAsu dUta-viduzAm rUpavatAm daSana-vasana-keSezu &
   vaidyānāmoṣṭhapuṭe grīvāyāṃ guṇiniyogigaṇakānām // 6.30 //	vEdyAnAm-ozWa-puwe grIvAyAm guNi-niyogi-gaNakAnAm // 6.30 //
   skandhataṭe subhaṭānāṃ hṛdaye vaṇijāṃ kareṣu śilpavatām &	skanDa-tawe su-BawAnAm hRdaye vaNijAm karezu SilpavatAm &
   galapatrāṅgulibhaṅge chātrāṇāṃ stanataṭeṣu taruṇīnām // 6.31 //	gala-patra-aFguli-BaFge CAtrANAm stana-tawezu taruNInAm // 6.31 //
   udare śrāddhārhāṇāṃ jaṅghāsu ca lekhahārapuruṣāṇām &	udare SrAdDa-arhANAm jaFGAsu ca leKa-hAra-puruzANAm &
   gaṇḍeṣu kuñjarāṇāṃ barhe śikhināṃ gateṣu haṃsānām // 6.32 //	gaNxezu kuQjarANAm barhe SiKinAm gatezu haMsAnAm // 6.32 //
   ityevaṃ madanāmā madāgraho bahuvikāradṛḍhamohaḥ &	iti-evam mada-nAmA mad-AgrahaH bahu-vikAra-dRXa-mohaH &
   aṅge kāṣṭhībhūto vasati sadā sarvabhūtānām // 6.33 //	aFge kAzWIBUtaH vasati sadA sarva-BUtAnAm // 6.33 //
   iti mahākaviśrīkṣemendraviracite kalāvilāse madavarṇananāma ṣaṣṭhaḥ sargaḥ	iti mahAkavi-SrIkzema-indra-viracite kalA-vilAse madavarNana-nAma zazWaH sargaH
   sargaḥ 7: gāyanavarṇanam	sargaH 7: gAyana-varNanam
   artho nāma janānāṃ jīvitamakhilakriyākalāpasya &	arTaH nAma janAnAm jIvitam-aKila-kriyA-kalApasya &
   tamapi haranty atidhūrtāḥ ślakṣṇagalā gāyanā loke // 7.1 //	tam-api haranti ati-DUrtAH SlakzNa-galAH gAyanAH loke // 7.1 //
   niḥśeṣaṃ kamalākarakoṣaṃ jagdhvāpi kumudamāsvādya &	niHSezam kamala-Akara-kozam jagDvA-api kumudam-AsvAdya &
   kṣīṇā gāyanabhṛṅgā mātaṅgapraṇayatāṃ yānti // 7.2 //	kzINAH gAyana-BRFgAH mAtaFga-praNaya-tAm yAnti // 7.2 //
   ghaṭapaṭaśakaṭaskandhā bahuḍimbhā muktakeśakakalāpāḥ &	Gawa-pawa-Sa-kawa-skanDAH bahuximBAH muktakeSaka-kalApAH &
   ete yonipisācā bhūpabhujo gāyanā loke // 7.3 //	ete yoni-pisAcAH BUpa-BujaH gAyanAH loke // 7.3 //
   tamasi varākaś cauro hāhākāreṇa yāti saṃtrastaḥ &	tamasi varAkaH cOraH hAhAkAreNa yAti saMtrastaH &
   gāyanacauraḥ prakaṭaṃ hāhākṛtvaiva harati sarvasvam // 7.4 //	gAyana-cOraH prakawam hAhAkRtvA-eva harati sarva-svam // 7.4 //
   pā pā dha dha ni ni ga ma sā dhā dhā mā mā sa mā sa gā dhā mā &	pA pAH Da Da ni ni ga me sA DA DA mA mA sa mA sa gAH DA mA &
   kṛtvā svarapadapālīṃ gāyanadhūrtāś caranty ete // 7.5 //	kRtvA svara-pada-pAlIm gAyana-DUrtAH caranti ete // 7.5 //
   kuṭilāvartabhrāntaiḥ veṣavikāraiś ca mukhavikāraiś ca &	kuwila-Avarta-BrAntEH veza-vikArEH ca muKa-vikArEH ca &
   gāyati gāyanasaṃgho mardalahastaś ciraṃ maunī // 7.6 //	gAyati gAyana-saMGaH mardala-hastaH ciram mOnI // 7.6 //
   āmantraṇajayaśabdaiḥ pratipadahuṃkāraghargharārāvaiḥ &	AmantraNa-jaya-SabdEH pratipada-huMkAra-GarGara-ArAvEH &
   svayamuktasādhuvādaiḥ antarayati gāyano gītam // 7.7 //	svayamukta-sADu-vAdEH antarayati gAyanaH gItam // 7.7 //
   jalapatite saktukaṇe matsyairbhukte'sti kāpi dharmāptiḥ &	jala-patite saktu-kaNe matsyEH-Bukte-asti kA-api Darma-AptiH &
   gāyanadattāsu paraṃ koṭiṣvapi nāsti phalaleśaḥ // 7.8 //	gAyana-dattAsu param kowizu-api na-asti Pala-leSaH // 7.8 //
   mugdhadhanānāṃ vidhinā ruddhānāmandhakūpakoṣeṣu &	mugDa-DanAnAm viDinA rudDAnAm-anDa-kUpa-kozezu &
   vihito vivṛtamahāsyo gāyananāmā praṇālaughaḥ // 7.9 //	vihitaH vivRta-mahAsyaH gAyana-nAmA praNAla-oGaH // 7.9 //
   naitat prakaṭitadaśanā gāyanadhūrtāḥ sadaiva gāyanti &	na-etat prakawita-daSanAH gAyana-DUrtAH sadA-eva gAyanti &
   ete gatānugatikān hasanti dhūrtā gṛhītārthān // 7.10 //	ete gata-anugatikAn hasanti DUrtAH gRhIta-arTAn // 7.10 //
   prātargāyanadhūrtā bhavanti dhīrāḥ sahārakeyūrāḥ &	prAtar-gAyana-DUrtAH Bavanti DIrAH sa-hAra-keyUrAH &
   madhyāhne dyūtajitā nagnā bhagnā nirādhārāḥ // 7.11 //	maDyAhne dyUta-jitAH nagnAH BagnAH nirADArAH // 7.11 //
   stutivāgurānibaddhaiḥ vacanaśaraiḥ kapaṭakūṭaracanābhiḥ &	stuti-vAgurA-nibadDEH vacana-SarEH kapawa-kUwa-racanABiH &
   gītairgāyanalubdhā mugdhamṛgāṇāṃ haranti sarvasvam // 7.12 //	gItEH-gAyana-lubDAH mugDa-mRgANAm haranti sarva-svam // 7.12 //
   naṣṭasvarapadagītaiḥ kṣaṇena lakṣāni gāyano labdhvā &	nazwa-svara-pada-gItEH kzaNena lakzAni gAyanaH labDvA &
   dāsyāḥ sutena dattaṃ kimiti vadarduḥkhito yāti // 7.13 //	dAsyAH sutena dattam kim-iti vadarduHKitaH yAti // 7.13 //
   varjitasādhudvijavaravṛddhāyāḥ sakalaśokakalitāyāḥ &	varjita-sADu-dvija-vara-vRdDAyAH sakala-Soka-kalitAyAH &
   śāpo'yameva lakṣmyā gāyanabhojyaiva yat satatam // 7.14 //	SApaH-ayam-eva lakzmyA gAyana-Bojya-eva yat satatam // 7.14 //
   devaḥ purā surāṇām adhinātho nāradaṃ cirāyātam &	devaH purA surANAm aDinATaH nAradam cira-AyAtam &
   papraccha lokavṛttaṃ mahītale bhūmipālānām // 7.15 //	papracCa loka-vRttam mahI-tale BUmipAlAnAm // 7.15 //
   so'vadaravanipatīnāṃ jayināṃ bahudānadharmayajñānām &	saH-avadara-vanipatInAm jayinAm bahu-dAna-Darma-yajQAnAm &
   caratā mayā nṛloke surapatiyogyāḥ śriyo dṛṣṭāḥ // 7.16 //	caratA mayA nR-loke surapati-yogyAH SriyaH dRzwAH // 7.16 //
   te tu tvāṃ spardhante vibhavairvaruṇaṃ dhanādhināthaṃ ca &	te tu tvAm sparDante viBavEH-varuNam DanADinATam ca &
   śatamakhasaṃjñāmasakṛd bahutarayajñā hasanty eva // 7.17 //	Sata-maKa-saMjQAm-asakRt bahutara-yajQAH hasanti eva // 7.17 //
   śrutvā tarmunivacanaṃ jātadveṣaḥ śatakratuḥ kopāt &	SrutvA tarmunivacanam jAta-dvezaH SatakratuH kopAt &
   hartuṃ dhanaṃ piśācān visasarja bhuvaṃ narendrāṇām // 7.18 //	hartum Danam piSAcAn visasarja Buvam narendrANAm // 7.18 //
   te gītanāmamantrāḥ surapatidiṣṭāḥ piśācasaṃghātāḥ &	te gIta-nAma-mantrAH surapati-dizwAH piSAca-saMGAtAH &
   hartuṃ sakalanṛpāṇāṃ dhanamakhilaṃ bhūtalaṃ prayayuḥ // 7.19 //	hartum sakala-nRpANAm Danam-aKilam BU-talam prayayuH // 7.19 //
   māyādāsaḥ prathamaṃ ḍambaradāsaś ca vajradāsaś ca &	mAyA-dAsaH praTamam xambara-dAsaH ca vajradAsaH ca &
   jh[kṣ?]ayadāsaluṇṭhadāsau kharaharadāsaḥ prasiddhadāsaś ca // 7.20 //	J[kz?]aya-dAsa-luNWa-dAsO Kara-hara-dAsaH prasidDa-dAsaH ca // 7.20 //
   vāḍavadāsaś cāṣṭau te gatvā martyalokamatibhayadāḥ &	vAxava-dAsaH ca-azwO te gatvA martya-lokam-atiBaya-dAH &
   vivṛtāsyaghorakuharā gāyanasṛṣṭiṃ sasarjurativikaṭām // 7.21 //	vivRta-Asya-Gora-kuharA gAyana-sRzwim sasarjurati-vikawAm // 7.21 //
   yairetairhṛtavibhavā diśi diśi hṛta[?]sakalalokasarvasvāḥ &	yEH-etEH-hRta-viBavAH diSi diSi hRta-[?]-sakala-loka-sarvasvAH &
   yajñādiṣu bhūpatayo jātāḥ śithilodyamāḥ sarve // 7.22 //	yajQa-Adizu BUpatayaH jAtAH SiTila-udyamAH sarve // 7.22 //
   ete hi karṇavivaraiḥ praviśya gītacchalena bhūpānām &	ete hi karNa-vivarEH praviSya gIta=-Calena BUpAnAm &
   sahasā haranti hṛdayaṃ karṇapiśācā mahāghorāḥ // 7.23 //	sahasA haranti hRdayam karNa-piSAcAH mahA-GorAH // 7.23 //
   tasmāreṣāṃ rāṣṭre na dadāti vikāriṇāṃ praveśaṃ yaḥ &	tasmArezAm rAzwre na dadAti vikAriNAm praveSam yaH &
   tasya sakalārthasaṃpadyajñavatī bhūmirādhīnā // 7.24 //	tasya sakala-arTa-saMpad-yajQavatI BUmiH-ADInA // 7.24 //
   naṭanartakacakracarāḥ kuśīlavāścāraṇā viṭāścaiva &	nawa-nartaka-cakra-carAH kuSIlavAH-cAraNAH viwAH-ca-eva &
   aiśvaryaśāliśalabhāḥ caranti tebhyaḥ śriyaṃ rakṣet // 7.25 //	ESvarya-SAli-SalaBAH caranti teByaH Sriyam rakzet // 7.25 //
   gāyanasaṃghasyaikyād uttiṣṭhati gītaniḥsvanaḥ sumahān &	gAyana-saMGasya-EkyAt uttizWati gIta-niHsvanaH su-mahAn &
   asthāne dattāyā lakṣmyā iva saṃbhramākrandaḥ // 7.26 //	asTAne dattAyAH lakzmyAH iva saMBrama-AkrandaH // 7.26 //
   sargaḥ 8	sargaH 8
   tatrāpi hemakārā haraṇakalāyoginaḥ pṛthudhyānāḥ &	tatra-api hemakArAH haraNa-kalA-yoginaH pRTuDyAnAH &
   ye dhāmni bahulalakṣmyāḥ śūnyatvaṃ darśayanty eva // 8.1 //	ye DAmni bahula-lakzmyAH SUnya-tvam darSayanti eva // 8.1 //
   sāraṃ sakaladhanānāṃ saṃpatsu vibhūṣaṇaṃ vipadi rakṣā &	sAram sakala-DanAnAm saMpatsu viBUzaNam vipadi rakzA &
   ete haranti pāpāḥḷ satataṃ tejaḥ paraṃ hema // 8.2 //	ete haranti pApAH? satatam tejaH param hema // 8.2 //
   sahasaiva dūṣayanti sparśena suvarṇamupahatacchāyām &	sahasA-eva dUzayanti sparSena suvarNam-upahata=-CAyAm &
   nityāśucayaḥ pāpāḥ caṇḍālā hemakārāś ca // 8.3 //	nitya-aSucayaH pApAH caNxAlAH hemakArAH ca // 8.3 //
   masṛṇakaṣāśmani nikaṣo mandarucikramagatā kalā teṣām &	masRNa-kaza-aSmani nikazaH manda-ruci-krama-gatA kalA tezAm &
   yeṣāṃ paruṣakaṣāśmani vikrayakāle'pi lābhakalā // 8.4 //	yezAm paruza-kaza-aSmani vikraya-kAle-api lABa-kalA // 8.4 //
   sopasnehaḥ svedyaḥ sikthakamudro'pi bālukāprāyaḥ &	sa-upasnehaH svedyaH sikTakamudraH-api bAlukA-prAyaH &
   soṣmā ca yuktibhedāt tulopalānāṃ kalāḥ pañca // 8.5 //	sa-UzmA ca yukti-BedAt tulA-upalAnAm kalAH paQca // 8.5 //
   dvipuṭā sphoṭavipākā suvarṇarasapāyinī sutāmrakalā &	dvi-puwA sPowa-vipAkA suvarNa-rasa-pAyinI su-tAmra-kalA &
   sīsamalakācacūrṇagrahaṇaparā ṣaṭkalā mūṣā // 8.6 //	sIsa-mala-kAca-cUrNa-grahaNa-parA zaz-kalA mUzA // 8.6 //
   vakramukhī viṣamapuṭā suṣiratalā nyastapāradā mṛdvī &	vakra-muKI vizamapuwA suzira-talA nyasta-pAradA mRdvI &
   pakṣakaṭā granthimatī sikthakalā bahuguṇā puronamrā // 8.7 //	pakzakawA granTimatI sikTa-kalA bahu-guNA puronamrAH // 8.7 //
   vātabhrāntā tanvī gurvī vā paruṣavātadhṛtacūrṇā &	vAta-BrAntA tanvI gurvI vA paruza-vAta-DRta-cUrNAH &
   nirjīvanā sajīvā ṣoḍaśa hemnastulāsu kalāḥ // 8.8 //	nirjIvanA sa-jIvA zoxaSa hemnaH-tulAsu kalAH // 8.8 //
   mandaḥ sāvego vā madhyacchinnaḥ saśabdlphūtkāraḥ &	mandaH sa-AvegaH vA maDya=-CinnaH sa-SabdlPUtkAraH &
   pātī śīkarakārī phūtkāraḥ ṣaṭkalāsteṣām // 8.9 //	pAtI SIkara-kArI PUtkAraH zaz-kalAH-tezAm // 8.9 //
   jvālāvalayī dhūmo visphoṭī mandakaḥ sphuliṅgī ca &	jvAlA-valayI DUmaH visPowI mandakaH sPuliFgI ca &
   pūrvadhṛtatāmracūrṇas teṣāṃ api ṣaṭkalo vahniḥ // 8.10 //	pUrva-DRta-tAmra-cUrNaH tezAm api zaz-kalaH vahniH // 8.10 //
   praśnaḥ kathā vicitrā kaṇḍūyanamaṃśukāntarākṛṣṭiḥ &	praSnaH kaTA vicitrA kaNxUyanam-aMSuka-antara-AkRzwiH &
   dinavelārkanirīkṣaṇamatihāso makṣikākṣepaḥ // 8.11 //	dina-vela-arka-nirIkzaNam-atihAsaH makzikAkzepaH // 8.11 //
   kautukadarśanamasakṛtsvajanakaliḥ salilapātrabhaṅgaśca &	kOtuka-darSanam-asakRt-sva-jana-kaliH salila-pAtra-BaFgaH-ca &
   bahirapi gamanaṃ bahuśo dvādaśa ceṣṭākalās teṣām // 8.12 //	bahis-api gamanam bahuSas dvAdaSa cezwAkalAH tezAm // 8.12 //
   ghaṭitasyopari pākaḥ kṛtrimavarṇaprakāśanotkarṣī &	Gawitasya-upari pAkaH kRtrima-varNa-prakASana-utkarzI &
   tanugomayāgnimadhye lavaṇakṣārānulepena // 8.13 //	tanu-gomaya-agni-maDye lavaNa-kzAra-anulepena // 8.13 //
   sāmānyalohapātrādbhūminyaste'pi kāntalohatale &	sAmAnya-loha-pAtrAt-BUmi-nyaste-api kAnta-loha-tale &
   dhāvati vadanena tulā riktāpi muhuḥ supūrṇeva // 8.14 //	DAvati vadanena tulA riktA-api muhur su-pUrNA-iva // 8.14 //
   pratibaddhe jatuyogye prakṣiptanighūḍhakanakakaṇam &	pratibadDe jatu-yogye prakzipta-niGUXa-kanaka-kaNam &
   tulitaṃ pūraṇakāle sukhena hartuṃ samāyāti // 8.15 //	tulitam pUraNa-kAle suKena hartum samAyAti // 8.15 //
   ujjvalane'pi ca teṣāṃ pātanamatisukaramaśmakāle ca &	ujjvalane-api ca tezAm pAtanam-ati-sukaram-aSma-kAle ca &
   sadṛśavicitrābharaṇe parivartanalāghavaprasāraśca // 8.16 //	sadRSa-vicitra-ABaraNe parivartana-lAGava-prasAraH-ca // 8.16 //
   pūrṇādāne ghaṭane nekṣā māṣārpaṇaṃ prabhāyogaḥ &	pUrNa-AdAne Gawane na-IkzAH mAza-arpaNam praBA-yogaH &
   kālāharaṇavināśaḥ pratipūraṇayācanaṃ bahuśleṣaḥ // 8.17 //	kAla-AharaNa-vinASaH pratipUraNa-yAcanam bahu-SlezaH // 8.17 //
   ekādaśa yuktikālasteṣāmetāḥ samāsena &	ekAdaSa yukti-kAlaH-tezAm-etAH samAsena &
   ekaiva kalā mahatī niśi gamanaṃ sarvamādāya // 8.18 //	ekA-eva kalA mahatI niSi gamanam sarvam-AdAya // 8.18 //
   etā hemakārāṇāṃ vicāralabhyāḥ kalāścatuḥṣaṣṭiḥ &	etAH hemakArANAm vicAra-laByAH kalAH-catuHzazwiH &
   anyā gūḍhāśca kalāḥ sahasranetro'pi no vetti // 8.19 //	anyAH gUXAH-ca kalAH sahasra-netraH-api naH vetti // 8.19 //
   meruḥ sthito'tidūre manuṣyabhūmiṃ cirātparityajya &	meruH sTitaH-ati-dUre manuzya-BUmim cirAt-parityajya &
   bhīto'vaśyaṃ cauryādghorāṇāṃ hemakārāṇām // 8.20 //	BItaH-avaSyam cOryAt-GorANAm hemakArANAm // 8.20 //
   kanakaśilāśatasaṃdhiprasṛtamahāvivarakoṭisaṃghātaiḥ &	kanaka-SilA-Sata-saMDi-prasRta-mahA-vivara-kowi-saMGAtEH &
   utkīrṇanikhilaśikharaḥ purā kṛto mūṣakairmeruḥ // 8.21 //	utkIrNa-niKila-SiKaraH purA kRtaH mUzakEH-meruH // 8.21 //
   tatrākhilākhusenānikhātanakharāvalekhanotkhātaiḥ &	tatra-aKila-AKu-senA-niKAta-naKara-ava-leKana-utKAtEH &
   śithilitamūlaḥ sahasā babhūva meruḥ purā niyatam // 8.22 //	SiTilita-mUlaH sahasA baBUva meruH purA niyatam // 8.22 //
   mūṣakanakharotkhātaḥ sumeruruccaistarāṃ śuśubhe &	mUzaka-naKara-utKAtaH sumeruH-uccEstarAm SuSuBe &
   uddhatasuvarṇadhūlīpaṭalaiḥ kapilā bahuḥ kakubhaḥ // 8.23 //	udData-suvarNa-DUlI-pawalEH kapilAH bahuH kakuBaH // 8.23 //
   tasmiñjarjaraśikhare vivarodaradalitakanakakūṭataṭe &	tasmin-jarjara-SiKare vivara-udara-dalita-kanaka-kUwa-tawe &
   kalpāntāgamaśaṅkābhayamāvirabhūdamartyānām // 8.24 //	kalpa-anta-Agama-SaFkA-Bayam-AviraBUt-amartyAnAm // 8.24 //
   āha ca divyadṛśā tadvilokya sarvaṃ surānāthāgastyaḥ &	Aha ca divya-dRSA tad-vilokya sarvam surAnATa-agastyaH &
   ete te brahmaghnā niśācārāstridaśasaṃgare nihatāḥ // 8.25 //	ete te brahma-GnAH niSAcArAH-tridaSa-saMgare nihatAH // 8.25 //
   jātā mūṣakarūpā merunipāte kṛtārambhāḥ &	jAtAH mUzaka-rUpAH meru-nipAte kRta-AramBAH &
   vadhyāḥ punarapi bhavatāmāśramabhaṅgān munīnāṃ ca // 8.26 //	vaDyAH punar-api BavatAm-ASrama-BaFgAt munInAm ca // 8.26 //
