   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   āmrateva sahakāratāṃ yayau Ks_8.78d	Amra-tA-iva sahakAra-tAm yayO KH-_8.78d
   ā rasātalamūlāt tvam Ks_6.68c	A rasAtala-mUlAt tvam KH-_6.68c
   ārādhanāyāsya sakhīsametāṃ Ks_1.58c	ArADanAya-asya saKI-sametAm KH-_1.58c
   āruhya kailāsam iva pratasthe Ks_7.37d	Aruhya kElAsam iva pratasTe KH-_7.37d
   ārecitabhrūcaturaiḥ kaṭākṣaiḥ Ks_3.5d	Arecita-BrU-caturEH kawAkzEH KH-_3.5d
   āropitaṃ yad giriśena paścād Ks_1.37c	Aropitam yat giriSena paScAt Ks_1.37c
   ārohaṇārthaṃ navayauvanena Ks_1.39c	ArohaNa-arTam nava-yOvanena Ks_1.39c
   ārdrakesarasugandhi te mukhaṃ Ks_8.76a	Ardra-kesara-suganDi te muKam KH-_8.76a
   ārdrākṣatāropaṇam anvabhūtām Ks_7.88d	Ardra-akza-ta-AropaNam anvaBUtAm KH-_7.88d
   āryāpy arundhatī tatra Ks_6.32a	AryA-api arunDatI tatra KH-_6.32a
   ālalāpa vijayām ahetukam Ks_8.49d	AlalApa vijayAm ahetukam KH-_8.49d
   ālokamātreṇa surān aśeṣān Ks_7.46c	Aloka-mAtreNa surAn aSezAn KH-_7.46c
   ālokamārgaṃ sahasā vrajantyā Ks_7.57a	Aloka-mArgam sahasA vrajantyA KH-_7.57a
   ālocanāntaṃ śravaṇe vitatya Ks_7.84a	Alocana-antam SravaNe vitatya KH-_7.84a
   āvarjitajaṭāmauli- Ks_2.26a	Avarjita-jawA-mOli KH-_2.26a
   āvarjitaṃ nātmaśiro viveda Ks_7.54d	Avarjitam na-Atma-SiraH viveda KH-_7.54d
   āvarjitā kiṃ cid iva stanābhyāṃ Ks_3.54a	AvarjitA kim cit iva stanAByAm KH-_3.54a
   āvarjitāṣṭāpadakumbhatoyāḥ Ks_7.10c	Avarjita-azwApada-kumBa-toyAH KH-_7.10c
   āvibhātacaraṇāya gṛhṇāte Ks_8.33c	AviBAta-caraNAya gRhNAte Ks_8.33c
   āviśadbhir uṭajāṅgaṇaṃ mṛgair Ks_8.38a	AviSadBiH uwaja-aFgaNam mRgEH KH-_8.38a
   āśaṃsatā bāṇagatiṃ vṛṣāṅke Ks_3.14a	ASaMsatA bANa-gatim vRzAFke KH-_3.14a
   āśāsya cintāstimito babhūva Ks_7.87d	ASAsya cintA-stimitaH baBUva KH-_7.87d
   āśīrbhir edhayām āsuḥ Ks_6.90c	ASIrBiH eDayAm AsuH KH-_6.90c
   āśyānakāleyakṛtāṅgarāgām Ks_7.9b	ASyAna-kAleya-kRta-aFgarAgAm KH-_7.9b
   āśramāḥ praviśadagnidhenavo Ks_8.38c	ASramAH praviSat-agni-DenavaH KH-_8.38c
   āśvāsayat sucaritārthapadair vacobhiḥ Ks_4.45d	ASvAsayat su-carita-arTa-padEH vacoBiH KH-_4.45d
   āsaktabāhulatayā Ks_6.8a	Asakta-bAhu-latayA KH-_6.8a
   āsannapāṇigrahaṇeti pitror Ks_7.4c	Asanna-pANigrahaNa-iti pitroH KH-_7.4c
   āsannabhūpṛṣṭham iyāya devaḥ Ks_7.51d	Asanna-BU-pRzWam iyAya devaH KH-_7.51d
   āsannalāvaṇyaphalo 'dhraroṣṭhaḥ Ks_7.18d	Asanna-lAvaNya-PalaH aDra-rozWaH KH-_7.18d
   āsav anukto 'pi sahāya eva Ks_3.21b	AsaU anuktaH api sahAyaH eva KH-_3.21b
   āsīt puraṃ sānumato 'nurāgād Ks_7.2c	AsIt puram sAnumataH anurAgAt Ks_7.2c
   āsīnam āsannaśarīrapātas Ks_3.44c	AsInam Asanna-SarIra-pAtaH Ks_3.44c
   āsedur oṣadhiprasthaṃ Ks_6.36c	AseduH ozaDi-prasTam Ks_6.36c
   āsevyate bhinnaśikhaṇḍibarhaḥ Ks_1.15d	Asevyate Binna-SiKaNxi-barhaH KH-_1.15d
   icchāmi saṃvardhitam ājñayā te Ks_3.3d	icCAmi saMvarDitam AjQayA te KH-_3.3d
   icchāvibhūtyor anurūpam adris Ks_7.29a	icCA-viBUtyoH anurUpam adriH KH-_7.29a
   itas tataś candramarīcigauraiḥ Ks_1.13b	itas tatas candra-marIci-gOrEH KH-_1.13b
   itaḥ sa daityaḥ prāptaśrīr Ks_2.55a	itas sa dEtyaH prApta-SrIH KH-_2.55a
   iti cāpi vidhāya dīyatāṃ Ks_4.37a	iti ca-api viDAya dIyatAm KH-_4.37a
   iti cāha sa dharmayācitaḥ Ks_4.43a	iti ca-Aha sa Darma-yAcitaH KH-_4.43a
   iti cainam uvāca duḥkhitā Ks_4.27a	iti ca-enam uvAca duHKitA KH-_4.27a
   iti tebhyaḥ stutīḥ śrutvā Ks_2.16a	iti teByaH stutIH SrutvA KH-_2.16a
   iti devavimuktaye sthitāṃ Ks_4.39a	iti deva-vimuktaye sTitAm KH-_4.39a
   iti dvijātau pratikūlavādini Ks_5.74a	iti dvijAtO pratikUla-vAdini KH-_5.74a
   iti dhruvecchām anuśāsatī sutāṃ Ks_5.5a	iti Druva-icCAm anuSAsatI sutAm KH-_5.5a
   iti praviśyābhihitā dvijanmanā Ks_5.51a	iti praviSya-aBihitA dvijanmanA KH-_5.51a
   iti buddhyā vimṛśya saḥ Ks_6.87b	iti budDyA vimRSya saH KH-_6.87b
   iti vo nopadiśyate Ks_6.31b	iti vaH na-upadiSyate KH-_6.31b
   iti vyāhṛtya vibudhān Ks_2.62a	iti vyAhRtya vibuDAn Ks_2.62a
   iti svahastāllikhitaś ca mugdhayā Ks_5.58c	iti sva-hastAt-liKitaH ca mugDayA KH-_5.58c
   ito gamiśyāmy athaveti vādinī Ks_5.84a	itas gamiSyAmi aTavA-iti vAdinI KH-_5.84a
   ito niṣīdeti visṛṣṭabhūmiḥ Ks_3.2b	itas nizIda-iti visRzwa-BUmiH KH-_3.2b
   ittham ārādhyamāno 'pi Ks_2.40a	itTam ArADyamAnaH api KH-_2.40a
   itthaṃbhūto 'smi sūcitaḥ Ks_6.26d	itTaMBUtaH asmi sUcitaH KH-_6.26d
   itthaṃ rateḥ kim api bhūtam adṛśyarūpaṃ Ks_4.45a	itTam rateH kim api BUtam adRSya-rUpam Ks_4.45a
   itthaṃ vidhijñena purohitena Ks_7.86a	itTam viDi-jQena purohitena KH-_7.86a
   ity adbhutaikaprabhavaḥ prabhāvāt Ks_7.36a	iti adButa-eka-praBavaH praBAvAt Ks_7.36a
   ity abhaumam anubhūya śaṅkaraḥ Ks_8.28a	iti aBOmam anuBUya SaFkaraH KH-_8.28a
   ity ucyate tābhir umā sma namrā Ks_7.28b	iti ucyate tABiH umA sma namrA KH-_7.28b
   ity udāram abhidhāya śaṅkaras Ks_8.77c	iti udAram aBiDAya SaFkaraH Ks_8.77c
   ity uvāceśvarān vācaṃ Ks_6.53c	iti uvAca-ISvarAn vAcam KH-_6.53c
   ity ūcivāṃs tam evārthaṃ Ks_6.64a	iti UcivAn tam eva-arTam KH-_6.64a
   ity oṣadhiprasthavilāsinīnāṃ Ks_7.69a	iti ozaDi-prasTa-vilAsinInAm KH-_7.69a
   idam atrottaraṃ nyāyyam Ks_6.87a	idam atra-uttaram nyAyyam KH-_6.87a
   idam ūcur anūcānāḥ Ks_6.15c	idam UcuH anUcAnAH KH-_6.15c
   idaṃ tu bhaktinamraṃ te Ks_6.73c	idam tu Bakti-namram te Ks_6.73c
   indracāpapariveṣaśūnyatāṃ Ks_8.31c	indracApa-pariveza-SUnyatAm KH-_8.31c
   imāṃ hṛdi vyāyatapātam akṣaṇod Ks_5.54c	imAm hRdi vyAyata-pAtam akzaNot KH-_5.54c
   iyaṃ ca te 'nyā purato viḍambanā Ks_5.70a	iyam ca te anyA puratas vixambanA KH-_5.70a
   iyaṃ namati vaḥ sarvāṃs Ks_6.89c	iyam namati vaH sarvAn Ks_6.89c
   iyaṃ prapannā tapase tapovanam Ks_5.59d	iyam prapannA tapase tapaH-vanam KH-_5.59d
   iyaṃ mahendraprabhṛtīn adhiśriyaś Ks_5.53a	iyam mahA-indra-praBRtIn aDiSriyaH KH-_5.53a
   iyeṣa sā kartum avandhyarūpatāṃ Ks_5.2a	iyeza sA kartum avanDya-rUpa-tAm KH-_5.2a
   īpsitārthakriyodāraṃ Ks_6.90a	Ipsita-arTa-kriyA-udAram KH-_6.90a
   īśānasaṃdarśanalālasānām Ks_7.56b	ISAna-saMdarSana-lAlasAnAm KH-_7.56b
   īśo hi jagataḥ pitā Ks_6.80d	ISaH hi jagataH pitA KH-_6.80d
   īśvaro 'pi divasātyayocitaṃ Ks_8.50a	ISvaraH api divasAtyaya-ucitam KH-_8.50a
   uccair uccaiḥśravās tena Ks_2.47a	uccEs uccEHSravAH tena Ks_2.47a
   uccairdviṣām īpsitam etad eva Ks_3.14d	uccEs-dvizAm Ipsitam etat eva KH-_3.14d
   uccair hiraṇmayaṃ śṛṅgaṃ Ks_6.72c	uccEs hiraNmayam SRFgam Ks_6.72c
   uccaistarāṃ vakṣyati śailarājaḥ Ks_7.68d	uccEstarAm vakzyati SElarAjaH KH-_7.68d
   ucchvasatkamalagandhaye dadau Ks_8.19c	ucCvasat-kamala-ganDaye dadO Ks_8.19c
   ucchvāsikālāñjanarāgam akṣṇoḥ Ks_7.82b	ucCvAsi-kAla-aQjana-rAgam akzNoH KH-_7.82b
   uta gotraskhaliteṣu bandhanam Ks_4.8b	uta gotra-sKalitezu banDanam KH-_4.8b
   uta yena bibharṣi tat Ks_6.23b	uta yena biBarzi tat Ks_6.23b
   uttaranti vinikīrya palvalaṃ Ks_8.35a	uttaranti vinikIrya palvalam KH-_8.35a
   uttānapāṇidvayasaṃniveśāt Ks_3.45c	uttAna-pANi-dvaya-saMniveSAt Ks_3.45c
   uttoraṇaṃ rājapathaṃ prapede Ks_7.63b	uttoraNam rAja-paTam prapede KH-_7.63b
   utpattaye havirbhoktur Ks_6.28c	utpattaye haviH-BoktuH KH-_6.28c
   utpatya paramarṣayaḥ Ks_6.36b	utpatya parama-RzayaH KH-_6.36b
   utpāṭya meruśṛṅgāṇi Ks_2.43a	utpAwya meru-SRFgANi KH-_2.43a
   utsṛṣṭalīlāgatir āgavākṣād Ks_7.58c	utsRzwa-lIlA-gatiH AgavAkzAt Ks_7.58c
   udarciṣas tan mithunaṃ cakāse Ks_7.79b	udarcizaH tat miTunam cakAse KH-_7.79b
   udāharaṇavastuṣu Ks_6.65b	udAharaNa-vastuzu KH-_6.65b
   udīrito maṅgalatūryaghoṣaḥ Ks_7.40b	udIritaH maFgala-tUrya-GozaH KH-_7.40b
   udgāsyatām icchati kiṃnarāṇāṃ Ks_1.8c	udgAsyatAm icCati kiMnarANAm KH-_1.8c
   udghātaḥ praṇavo yāsāṃ Ks_2.12a	udGAtaH praNavaH yAsAm KH-_2.12a
   udbhinnayā ratnaśalākayeva Ks_1.24d	udBinnayA ratna-SalAkayA-iva KH-_1.24d
   udyataṃ prasaheta kaḥ Ks_2.57b	udyatam prasaheta kaH KH-_2.57b
   udyānapālasāmānyam Ks_2.36c	udyAna-pAla-sAmAnyam KH-_2.36c
   udvahañ jaghanabhāradurvahām Ks_8.81b	udvahan jaGana-BAra-durvahAm KH-_8.81b
   udvejayaty aṅgulipārṣṇibhāgān Ks_1.11a	udvejayati aFguli-pArzNi-BAgAn KH-_1.11a
   udvejitā vṛṣṭibhir āśrayante Ks_1.5c	udvejitAH vRzwiBiH ASrayante Ks_1.5c
   unnatāvanatabhāvavattayā Ks_8.69a	unnata-avanata-BAvavat-tayA KH-_8.69a
   unnatena sthitimatā Ks_6.30a	unnatena sTitimatA KH-_6.30a
   unnateṣu śaśinaḥ prabhā sthitā Ks_8.66a	unnatezu SaSinaH praBA sTitA KH-_8.66a
   unmīlitaṃ tūlikayeva citraṃ Ks_1.32a	unmIlitam tUlikayA-iva citram KH-_1.32a
   unmukhadvāḥsthavīkṣitāḥ Ks_6.48b	unmuKa-dvAr-sTa-vIkzitAH KH-_6.48b
   upagūḍhāni savepathūni ca Ks_4.17b	upagUXAni sa-vepaTUni ca KH-_4.17b
   upacārapadaṃ na ced idaṃ Ks_4.9c	upacAra-padam na ced idam Ks_4.9c
   upacinvan prabhāṃ tanvīṃ Ks_6.25c	upacinvan praBAm tanvIm KH-_6.25c
   upapannam idaṃ sarvam Ks_6.66a	upapannam idam sarvam KH-_6.66a
   upaplavāya lokānāṃ Ks_2.32c	upaplavAya lokAnAm KH-_2.32c
   upamānam abhūd vilāsināṃ Ks_4.5a	upamAnam aBUt vilAsinAm KH-_4.5a
   upalabdhasukhas tadā smaraṃ Ks_4.42c	upalabDa-suKaH tadA smaram Ks_4.42c
   upāttavarṇe carite pinākinaḥ Ks_5.56a	upAtta-varNe carite pinAkinaH KH-_5.56a
   upādade tasya sahasraraśmis Ks_7.41a	upAdade tasya sahasraraSmiH KH-_7.41a
   upāntabhāgeṣu ca rocanāṅko Ks_7.32c	upAnta-BAgezu ca rocanA-aFkaH KH-_7.32c
   upekṣate yaḥ ślathalambinīr jaṭāḥ Ks_5.47c	upekzate yaH SlaTa-lambinIH jawAH KH-_5.47c
   uptaṃ bījam aja tvayā Ks_2.5b	uptam bIjam aja tvayA KH-_2.5b
   ubhayor vīryam āhitam Ks_2.60b	uBayoH vIryam Ahitam KH-_2.60b
   ubhe eva kṣame voḍhum Ks_2.60a	uBe eva kzame voXum Ks_2.60a
   ubhe mamāstre kuliśaṃ bhavāṃś ca Ks_3.12b	uBe mama-astre kuliSam BavAn ca KH-_3.12b
   umātanau gūḍhatanoḥ smarasya Ks_7.76c	umA-tanO gUXa-tanoH smarasya Ks_7.76c
   umāpi nīlālakamadhyaśobhi Ks_3.62a	umA-api nIla-alaka-maDya-SoBi KH-_3.62a
   umāmukhaṃ tu pratipadya lolā Ks_1.43c	umA-muKam tu pratipadya lolA KH-_1.43c
   umāmukhe bimbaphalādharoṣṭhe Ks_3.67c	umA-muKe bimba-Pala-aDara-uzWe KH-_3.67c
   umārūpeṇa te yūyaṃ Ks_2.59a	umA-rUpeNa te yUyam KH-_2.59a
   umā vadhūr bhavān dātā Ks_6.82a	umA vaDUH BavAn dAtA KH-_6.82a
   umā viśeṣocchvasitaṃ babhūva Ks_7.4d	umA viSeza-ucCvasitam baBUva KH-_7.4d
   umāsamakṣaṃ harabaddhalakṣyaḥ Ks_3.64c	umA-samakzam hara-badDa-lakzyaH KH-_3.64c
   umāstanodbhedam anupravṛddho Ks_7.24a	umA-stana-udBedam anupravRdDaH KH-_7.24a
   umāṃ sa paśyann ṛjunaiva cakṣuṣā Ks_5.32c	umAm sa paSyan RjunA-eva cakzuzA KH-_5.32c
   u meti mātrā tapaso niṣiddhā Ks_1.26c	u mA-iti mAtrA tapasaH nizidDA KH-_1.26c
   ullasatpratikṛtiprasannayoḥ Ks_8.74b	ullasat-pratikRti-prasannayoH KH-_8.74b
   uvāca cainaṃ paramārthato haraṃ Ks_5.75a	uvAca ca-enam paramArTataH haram KH-_5.75a
   uvāca menā parirabhya vakṣasā Ks_5.3c	uvAca menA pariraBya vakzasA KH-_5.3c
   ūrumūlanakhamārgarājibhis Ks_8.87a	Uru-mUla-naKa-mArga-rAjiBiH KH-_8.87a
   ūrṇamayaṃ kautukahastasūtram Ks_7.25d	UrNa-mayam kOtuka-hasta-sUtram KH-_7.25d
   ṛjutāṃ nayataḥ smarāmi te Ks_4.23a	Rju-tAm nayataH smarAmi te KH-_4.23a
   ṛjvāyataṃ saṃnamitobhayāṃsam Ks_3.45b	Rju-Ayatam saMnamita-uBayAMsam KH-_3.45b
   ṛtavas tam upāsate Ks_2.36d	RtavaH tam upAsate KH-_2.36d
   ṛte kṛśānor na hi mantrapūtam Ks_1.51c	Rte kRSAnoH na hi mantra-pUtam Ks_1.51c
   ṛṣayaś codayām āsuḥ Ks_6.65c	RzayaH codayAm AsuH KH-_6.65c
   ṛṣīñ jyotirmayān sapta Ks_6.3c	RzIn jyotiH-mayAn sapta Ks_6.3c
   ṛṣīn āha mahīdharaḥ Ks_6.89b	RzIn Aha mahIDaraH KH-_6.89b
   ekatas taṭatamālamālinīṃ Ks_8.53c	ekatas tawa-tamAla-mAlinIm KH-_8.53c
   ekapiṅgalagirau jagadgurur Ks_8.24c	eka-piFgala-girO jagadguruH KH-_8.24c
   ekasthasaundaryadidṛkṣayeva Ks_1.49d	ekasTa-sOndarya-didRkzayA-iva KH-_1.49d
   ekaḥ kāraṇatāṃ gataḥ Ks_2.6d	ekaH kAraNa-tAm gataH KH-_2.6d
   ekāntaśaityāt kadalīviśeṣāḥ Ks_1.36b	ekAnta-SEtyAt kadalI-viSezAH KH-_1.36b
   ekaiva mūrtir bibhide tridhā sā Ks_7.44a	ekA-eva mUrtiH biBide triDA sA KH-_7.44a
   ekaiva satyām api putrapaṅktau Ks_7.4a	ekA-eva satyAm api putra-paFktO Ks_7.4a
   eko hi doṣo guṇasaṃnipāte Ks_1.3c	ekaH hi dozaH guNa-saMnipAte Ks_1.3c
   etad andhatamasaṃ niraṅkuśaṃ Ks_8.55c	etat anDatamasam niraFkuSam Ks_8.55c
   etad ucchvasitapītam aindavaṃ Ks_8.70a	etat ucCvasita-pItam Endavam KH-_8.70a
   etad udgirati candramaṇḍalaṃ Ks_8.60c	etat udgirati candra-maNxalam Ks_8.60c
   etāvatā nanv anumeyaśobhaṃ Ks_1.37a	etAvatA nanu anumeya-SoBam KH-_1.37a
   etāvad uktvā tanayām Ks_6.89a	etAvat uktvA tanayAm KH-_6.89a
   ete vayam amī dārāḥ Ks_6.63a	ete vayam amI dArAH KH-_6.63a
   ebhir utkacayituṃ tavālakān Ks_8.72d	eBiH utkacayitum tava-alakAn KH-_8.72d
   evam āli nigṛhītasādhvasaṃ Ks_8.5a	evam Ali nigRhIta-sADvasam KH-_8.5a
   evam indriyasukhasya vartmanaḥ Ks_8.20a	evam indriya-suKasya vartmanaH KH-_8.20a
   evaṃ yad āttha bhagavann Ks_2.31a	evam yat AtTa Bagavan Ks_2.31a
   evaṃ vācyaḥ sa kanyārtham Ks_6.31a	evam vAcyaH sa kanyA-arTam KH-_6.31a
   evaṃ vādini devarṣau Ks_6.84a	evam vAdini deva-RzO KH-_6.84a
   eṣa cārumukhi yogatārayā Ks_8.73a	eza cAru-muKi yoga-tArayA KH-_8.73a
   eṣa vṛkṣaśikhare kṛtāspado Ks_8.36a	eza vRkza-SiKare kRta-AspadaH KH-_8.36a
   ehi viśvātmane vatse Ks_6.88a	ehi viSvAtmane vatse KH-_6.88a
   airāvatāsphālanakarkaśena Ks_3.22c	ErAvata-AsPAlana-karkaSena KH-_3.22c
   ka īpsitārthasthiraniścayaṃ manaḥ Ks_5.5c	kaH Ipsita-arTa-sTira-niScayam manaH Ks_5.5c
   kakṣyāntarāṇy adripater viveśa Ks_7.70d	kakzyA-antarANi adripateH viveSa KH-_7.70d
   kaṇṭḥe svayaṃgrāhaniṣaktabāhum Ks_3.7d	kaNwHe svayaMgrAha-nizakta-bAhum KH-_3.7d
   kaṇṭhaprabhāsaṅgaviśeṣanīlāṃ Ks_3.46c	kaNWa-praBA-saFga-viSeza-nIlAm KH-_3.46c
   kaṇṭhasaktaghanabāhubandhanaḥ Ks_8.24b	kaNWa-sakta-Gana-bAhu-banDanaH KH-_8.24b
   kaṇṭhasya tasyāḥ stanabandhurasya Ks_1.42a	kaNWasya tasyAH stana-banDurasya KH-_1.42a
   kaṇṭhe niṣka ivārpitaḥ Ks_2.49d	kaNWe nizkaH iva-arpitaH KH-_2.49d
   katham apy ambhasām antar Ks_2.37c	kaTam api amBasAm antar Ks_2.37c
   kathaṃ cid adres tanayā mitākṣaraṃ Ks_5.63c	kaTam cit adreH tanayA mita-akzaram Ks_5.63c
   kathaṃ cid īśā manasāṃ babhūvuḥ Ks_3.34d	kaTam cit ISAH manasAm baBUvuH KH-_3.34d
   kathaṃ na jñāsyasi prabho Ks_2.31d	kaTam na jQAsyasi praBo KH-_2.31d
   kathaṃ sa lakṣyaprabhavo bhaviṣyati Ks_5.81d	kaTam sa lakzya-praBavaH Bavizyati KH-_5.81d
   kadā cid āsannasakhīmukhena sā Ks_5.6a	kadA cit Asanna-saKI-muKena sA KH-_5.6a
   kadā cid ete yadi yogam arhataḥ Ks_5.67b	kadA cit ete yadi yogam arhataH KH-_5.67b
   kanakakalaśarakśābhaktiśobhāsanāthaṃ Ks_7.94c	kanaka-kalaSa-rakSA-Bakti-SoBAsanATam KH-_7.94c
   kanyayeva navadīkṣayā varaḥ Ks_8.73d	kanyayA-iva nava-dIkzayA varaH KH-_8.73d
   kanyārthe hi kuṭumbinaḥ Ks_6.85d	kanyA-arTe hi kuwumbinaH KH-_6.85d
   kanyāṃ kila prekṣya pituḥ samīpe Ks_1.50b	kanyAm kila prekzya pituH samIpe KH-_1.50b
   kanyāṃ kulasya sthitaye sthitijñaḥ Ks_1.18b	kanyAm kulasya sTitaye sTiti-jQaH KH-_1.18b
   kanyeyaṃ kulajīvitam Ks_6.63b	kanyA-iyam kula-jIvitam KH-_6.63b
   kapālanetrāntaralabdhamārgair Ks_3.49a	kapAla-netra-antara-labDa-mArgEH KH-_3.49a
   kapālam evāmalaśekharaśrīḥ Ks_7.32b	kapAlam eva-amala-SeKara-SrIH KH-_7.32b
   kapāli vā syād atha venduśekharaṃ Ks_5.78c	kapAli vA syAt aTa vA-indu-SeKaram Ks_5.78c
   kapolakaṇḍūḥ karibhir vinetuṃ Ks_1.9a	kapola-kaNxUH kariBiH vinetum KH-_1.9a
   kapoladeśe kalamāgrapiṅgalāḥ Ks_5.47d	kapola-deSe kalama-agra-piFgalAH KH-_5.47d
   kapolasaṃsarpiśikhaḥ sa tasyā Ks_7.81c	kapola-saMsarpi-SiKaH sa tasyAH KH-_7.81c
   kam aparam avaśaṃ na viprakuryur Ks_6.95c	kam aparam avaSam na viprakuryuH KH-_6.95c
   kamalākaraśobhinā Ks_2.29b	kamala-Akara-SoBinA KH-_2.29b
   kampena mūrdhnaḥ śatapatrayoniṃ Ks_7.46a	kampena mUrDnaH Satapatra-yonim KH-_7.46a
   kayācid udveṣṭanavāntamālyaḥ Ks_7.57b	kayAcid udvezwana-vAnta-mAlyaH KH-_7.57b
   kayāsi kāmin suratāparādhāt Ks_3.8a	kayA-asi kAmin surata-aparADAt KH-_3.8a
   karaṇaṃ yat tava kāntimattayā Ks_4.5b	karaNam yat tava kAntimat-tayA KH-_4.5b
   karaṇair murajasvanāḥ Ks_6.40d	karaNEH muraja-svanAH KH-_6.40d
   karasthadarbhapraṇayāpahāriṣu Ks_5.35b	kara-sTa-darBa-praNaya-apahArizu KH-_5.35b
   karāgrasaṃsparśanimīlitākṣīm Ks_7.80b	kara-agra-saMsparSa-nimIlita-akzIm KH-_7.80b
   kariśyatām ābharaṇāntaratvam Ks_7.34b	kariSyatAm ABaraNa-antara-tvam KH-_7.34b
   kareṇa bhānor bahulāvasāne Ks_7.8c	kareNa BAnoH bahula-avasAne Ks_7.8c
   kareṇa ruddho 'pi na keśapāśaḥ Ks_7.57d	kareNa rudDaH api na keSa-pASaH KH-_7.57d
   kareṇa śaṃbhor valayīkṛtāhinā Ks_5.66c	kareNa SaMBoH valayIkRta-ahinA KH-_5.66c
   karoti pādāv upagamya maulinā Ks_5.80c	karoti pAdO upagamya mOlinA KH-_5.80c
   karoti lakṣyaṃ ciram asya cakṣuṣo Ks_5.49c	karoti lakzyam ciram asya cakzuzaH KH-_5.49c
   karo 'yam āmuktavivāhakautukaḥ Ks_5.66b	karaH ayam Amukta-vivAha-kOtukaH KH-_5.66b
   karṇacāmaravighaṭṭitekṣaṇaiḥ Ks_8.42b	karNa-cAmara-viGawwita-IkzaNEH KH-_8.42b
   karṇapūraracanākṛte tava Ks_8.62b	karNapUra-racanA-kRte tava KH-_8.62b
   karṇārpito lodhrakaṣāyarūkṣe Ks_7.17a	karNa-arpitaH loDra-kazAya-rUkze KH-_7.17a
   karṇāvasaktadviguṇākṣasūtram Ks_3.46b	karNa-avasakta-dviguNa-akza-sUtram KH-_3.46b
   karṇāvasaktāmaladantapatraṃ Ks_7.23c	karNa-avasakta-amala-danta-patram KH-_7.23c
   kartavyaṃ vo na paśyāmi Ks_6.61a	kartavyam vaH na paSyAmi KH-_6.61a
   kartum āgatakutūhalaḥ śaśī Ks_8.68d	kartum Agata-kutUhalaH SaSI KH-_8.68d
   karmabandhacchidaṃ dharmaṃ Ks_2.51c	karma-banDa=-Cidam Darmam KH-_2.51c
   karma yajñaḥ phalaṃ svargas Ks_2.12c	karma yajQaH Palam svargaH Ks_2.12c
   kalapuṃskokilaśabdasūcitaḥ Ks_4.14b	kala-puMskokila-Sabda-sUcitaH KH-_4.14b
   kalā ca sā kāntimatī kalāvatas Ks_5.71c	kalA ca sA kAntimatI kalAvataH Ks_5.71c
   kalpadrumavibhūṣaṇaiḥ Ks_2.39d	kalpadruma-viBUzaNEH KH-_2.39d
   kalpavṛkṣamadhu bibhratī svayam Ks_8.75b	kalpavRkza-maDu biBratI svayam KH-_8.75b
   kalpavṛkṣaśikhareṣu saṃprati Ks_8.68a	kalpavRkza-SiKarezu saMprati KH-_8.68a
   kalpavṛkṣā ivāśritāḥ Ks_6.6d	kalpavRkzAH iva-ASritAH KH-_6.6d
   kalpitānyonyasāmarthyaiḥ Ks_6.76a	kalpita-anyonya-sAmarTyEH KH-_6.76a
   kalpitāḥ sveṣu veśmasu Ks_2.43d	kalpitAH svezu veSmasu KH-_2.43d
   kalyāṇi vīraprasavā bhaveti Ks_7.87b	kalyANi vIra-prasavA Bava-iti KH-_7.87b
   kasyārthadharmau vada pīḍayāmi Ks_3.6c	kasya-arTa-DarmO vada pIxayAmi Ks_3.6c
   kasyāścid āsīd raśanā tadānīm Ks_7.61c	kasyAScid AsIt raSanA tadAnIm Ks_7.61c
   kāñcīguṇasthānam aninditāyāḥ Ks_1.37b	kAQcI-guNa-sTAnam aninditAyAH KH-_1.37b
   kāṭhinyaṃ sthāvare kāye Ks_6.73a	kAWinyam sTAvare kAye KH-_6.73a
   kāni kāni na cakāra lajjayā Ks_8.11d	kAni kAni na cakAra lajjayA KH-_8.11d
   kāntir bhruvor ānatalekhayor yā Ks_1.47b	kAntiH BruvoH Anata-leKayoH yA KH-_1.47b
   kāmadohadamanoharaṃ vapuḥ Ks_8.1d	kAma-dohada-manoharam vapuH KH-_8.1d
   kām apy abhikhyāṃ sphuritair apuṣyad Ks_7.18c	kAm api aBiKyAm sPuritEH apuzyat Ks_7.18c
   kāmas tu bāṇāvasaraṃ pratīkṣya Ks_3.64a	kAmaH tu bANa-avasaram pratIkzya KH-_3.64a
   kāmasya puṣpavyatiriktam astraṃ Ks_1.31c	kAmasya puzpa-vyatiriktam astram Ks_1.31c
   kāmasya sopānam iva prayuktam Ks_1.39d	kAmasya sopAnam iva prayuktam KH-_1.39d
   kāmasyocchvāsitaṃ manaḥ Ks_6.14d	kAmasya-ucCvAsitam manaH KH-_6.14d
   kāmaḥ puraḥśukram iva prayāṇe Ks_3.43b	kAmaH puras-Sukram iva prayANe KH-_3.43b
   kām ekapatnīvrataduḥkhaśīlāṃ Ks_3.7a	kAm eka-patnI-vrata-duHKa-SIlAm KH-_3.7a
   kārite pārvatīṃ prati Ks_6.14b	kArite pArvatIm prati KH-_6.14b
   kāryaṃ trayāṇām api viṣṭapānām Ks_3.20b	kAryam trayANAm api vizwapAnAm KH-_3.20b
   kāryaṃ tvayā naḥ pratipannakalpam Ks_3.14b	kAryam tvayA naH pratipanna-kalpam KH-_3.14b
   kāryā tvayā muktavicārayeti Ks_7.83d	kAryA tvayA mukta-vicArayA-iti KH-_7.83d
