   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   saṃvejayitavyas tasya te āyuṣmann alābho na lābhaḥ durlabdho na sulabdhaḥ	saMvejayitavyaH tasya te Ayuzman alABaH na lABaH durlabDaH na su-labDaH
   yo hi nāma tvam anvardhamāsaṃ prātimokṣasūtroddiśyamāne na	yaH hi nAma tvam anvarDa-mAsam prAtimokza-sUtra-uddiSyamAne na
   satkṛtyārthīkṛtvā na gurukṛtvā na manasīkṛtvā naikāgracitto nāvahitaśrotro	satkRtya-arTIkRtvA na gurukRtvA na manasIkRtvA na-ekAgra-cittaH na-avahita-SrotraH-
   na sarvacetasā samanvāhṛtya śṛṇoṣi iyaṃ tasya saṃvejanāt pātayantikā (8)3	na sarva-cetasA samanvAhRtya SRNozi iyam tasya saMvejanAt pAtayantikAH (8)3
   PrMoSū_Pāt.84:	PrMoSU_PAt.84:
   yaḥ punar bhikṣur asthimayaṃ dantamayaṃ viṣāṇamayaṃ vā sūcīgharakaṃ	yaH punar BikzuH asTi-mayam dantamayam vizANa-mayam vA sUcI-Garakam
   kārayet pātaya(n)tikā (8)4	kArayet pAtaya(n)tikA (8)4
   PrMoSū_Pāt.85:	PrMoSU_PAt.85:
   pīṭhaṃ vā bhikṣuṇā mañcaṃ vā kārayatā sugatāṣṭāṅgulipramāṇāḥ pādāḥ	pIWam vA BikzuNA maQcam vA kArayatA sugata-azwa-aFguli-pramANAH pAdAH
   kārayitavyā anyatrāraṇyās tata uttaraṃ kārayet p(ātayantikā 8)5	kArayitavyAH anyatra-AraNyAH tatas uttaram kArayet p(AtayantikA 8)5
   PrMoSū_Pāt.86:	PrMoSU_PAt.86:
   yaḥ punar bhikṣus tūlasaṃstṛtāṃ śayyām avanahed avanāhayed vā pātayantikā	yaH punar BikzuH tUla-saMstRtAm SayyAm avanahet avanAhayet vA pAtayantikA
   PrMoSū_Pāt.87:	PrMoSU_PAt.87:
   varṣāśāṭīcīvaraṃ bhikṣuṇā kārayatā prāmāṇikaṃ kārayitavyaṃ tatredaṃ	varzA-SAwI-cIvaram BikzuNA kArayatA prAmANikam kArayitavyam tatra-idam
   pramāṇaṃ dīrghataḥ ṣaḍ vitastayaḥ sugatavitastyā tīryak sārdhe dve tata	pramANam dIrGataH zaw vitastayaH sugata-vitastyA tIryak sArDe dve tata
   uttaraṃ kārayet pātayantikā (8)7	uttaram kArayet pAtayantikAH (8)7
   PrMoSū_Pāt.88:	PrMoSU_PAt.88:
   kaṇḍupraticchādanaṃ bhikṣuṇā kārayatā prāmāṇikaṃ kārayitavyaṃ tatredaṃ	kaNxu-praticCAdanam BikzuNA kArayatA prAmANikam kArayitavyam tatra-idam
   pramāṇaṃ dīrghataś catasro vitastayaḥ sugatavitastyā tīryag dve tata	pramANam dIrGatas catasraH vitastayaH sugata-vitastyA tIryak dve tata
   uttaraṃ kārayet pātayantikā (8)8	uttaram kArayet pAtayantikAH (8)8
   PrMoSū_Pāt.89:	PrMoSU_PAt.89:
   niṣīdanaṃ bhikṣuṇā kārayatā prāmāṇikaṃ kārayitavyaṃ tatredaṃ pramāṇaṃ	nizIdanam BikzuNA kArayatA prAmANikam kArayitavyam tatra-idam pramANam
   dīrghato vitastī dve sugatavitastyā tīryak sārdhavitastir daśānāṃ ca	dIrGatas vitastI dve sugata-vitastyA tIryak sArDa-vitastiH daSAnAm ca
   vitastis tata uttaraṃ kārayet pātayantikā 89	vitastiH tatas uttaram kArayet pAtayantikAH 89
   PrMoSū_Pāt.90:	PrMoSU_PAt.90:
   yaḥ punar bhikṣuḥ sugatacīvarapramāṇena cīvaraṃ kārayed uttaraṃ vā	yaH punar BikzuH sugata-cIvara-pramANena cIvaram kArayet uttaram vA
   sugatacīvarāt pātayantikā / tatredaṃ sugatacīvarapramāṇaṃ dīrghato nava	sugata-cIvarAt pAtayantikA / tatra-idam sugata-cIvara-pramANam dIrGatas nava
   vitastayaḥ sugatavitastyā tīryak ṣaḍ idaṃ tatra sugatacīvarapramāṇaṃ 90 //	vitastayaH sugata-vitastyA tIryak zaw idam tatra sugata-cIvara-pramANam 90 //
   uddiṣṭā mayāyuṣmanto navati pātayantikā dharmās tatrāham āyuṣmataḥ	uddizwAH mayA-AyuzmantaH navati pAtayantikAH DarmAH tatra-aham AyuzmataH
   pṛcchāmi kaccit sthātra pariśuddhā dvir api trir api pṛcchāmi kaccit	pRcCAmi kaccit sTA-atra pariSudDAH dvis api tris api pRcCAmi kaccit-
   sthātra par(i)ś(uddhā pariśu)ddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad	sTA-atra par(i)S(udDA pariSu)dDAH atra-AyuzmantaH yasmAt tUzNIm evam etat-
   dhārayāmi //	DArayAmi //
   VI. pratideśanīyā dharmāḥ	VI. pratideSanIyAH DarmAH
   PrMoSū_Pratid.0:	PrMA-uSU_Prati-d.0:
   ime punar āyuṣmantaś catvāraḥ pratideśanīyā dharmā anvardhamāsaṃ	ime punar AyuzmantaH catvAraH pratideSanIyAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti //	prAtimokza-sUtra-uddeSam AgacCanti //
   PrMoSū_Pratid.1:	PrMA-uSU_Prati-d.1:
   yaḥ punar bhikṣur aglāno 'ntargṛhaṃ piṇḍāya carantyā ajñātyā bhikṣuṇyāḥ	yaH punar BikzuH aglAnaH antar-gRham piNxAya carantyAH ajQAtyAH BikzuNyAH
   santikāt svahastaṃ khādanīyabhojanīyaṃ pratigṛhṇīyāt tena bhikṣuṇā	santikAt sva-hastam KAdanIya-BojanIyam pratigRhNIyAt tena BikzuNA
   bhikṣ(ū)ṇām antike pratideśayitavyaṃ garhaṇīyam āyuṣmantaḥ sthānam āpanno	Bikz(U)NAm antike pratideSayitavyam garhaNIyam AyuzmantaH sTAnam ApannaH-
   'smi asāṃpreyaṃ pratideśanīyaṃ taṃ dharmaṃ pratideśayāmi ayaṃ dharmaḥ	asmi asAMpreyam pratideSanIyam tam Darmam pratideSayAmi ayam DarmaH
   pratideśanīyaḥ 1	pratideSanIyaH 1
   PrMoSū_Pratid.2:	PrMA-uSU_Prati-d.2:
   bhikṣavaḥ punaḥ saṃbahulāḥ kuleṣūpanimantritā bhuṃjīraṃs tatra ced	BikzavaH punar saMbahulAH kulezu-upanimantritAH BuMjIran tatra ced-
   bhikṣuṇī vyapadiśamānā sthitā syād ihaudanaṃ dehi iha sūpaṃ dehi iha bhūyo	BikzuNI vyapadiSamAnA sTitA syAt iha-odanam dehi iha sUpam dehi iha BUyo
   dehīti sā bhikṣuṇī bhikṣubhir evaṃ syād vacanīyā āgamaya tāva(t) tvaṃ	dehi-iti sA BikzuNI BikzuBiH evam syAt vacanIyAH Agamaya tAva(t) tvam
   (bh)aginī yāvad ime bhikṣavo bhuṃjantām ity ekabhikṣor api ce(n) na	(B)aginI yAvat ime BikzavaH BuMjantAm iti eka-BikzoH api ce(n) na
   pratibhāyāt tāṃ bhikṣuṇī(m) evaṃ vaktum āgamaya tāva(t) tvaṃ (bha)ginī	pratiBAyAt tAm BikzuNI(m) evam vaktum Agamaya tAva(t) tvam (Ba)ginI
   yā(vad i)me bhikṣ(avo bhuṃjantām iti) sarvais tair bhikṣ(u)bhir	yA(vat i)me Bikz(avaH BuMjantAm iti) sarvEH tEH Bikz(u)BiH-
   bhik(ṣū)ṇām antike pratideśayitavyaṃ garh(a)ṇ(īyam) āyuṣmantaḥ sthānam	Bik(zU)NAm antike pratideSayitavyam garh(a)N(Iyam) AyuzmantaH sTAnam
   āpannā(ḥ) sma asāṃpreyaṃ pratideśanīyaṃ taṃ dharmaṃ pratide(śa)y(āma aya)ṃ	ApannA(H) sma asAMpreyam pratideSanIyam tam Darmam pratide(Sa)I-(Ama aya)m
   dharma(ḥ) prati(d)eśanīyaḥ 2	Darma(H) prati(d)eSanIyaH 2
   PrMoSū_Pratid.3:	PrMA-uSU_Prati-d.3:
   yāni punas tāni saṃghasya śaikṣasaṃmatāni kulāni bhavanti	yAni punar tAni saMGasya SEkza-saMmatAni kulAni Bavanti
   śaikṣasaṃvṛtisaṃmatāni yaḥ punar bhikṣus tathārūpebhyaḥ kulebhyaḥ	SEkza-saMvRti-saMmatAni yaH punar BikzuH taTArUpeByaH kuleByaH
   (śai)kṣasaṃ(vṛti)s(aṃma)tebhyaḥ pūrvam animantritaḥ samānaḥ	(SE)kza-saM(vRti)-s(aMma)teByaH pUrvam animantritaH samAnaH
   khādanīyabhojanīyaṃ pratigṛhṇīyāt tena bhikṣuṇā bhikṣūṇām antike	KAdanIya-BojanIyam pratigRhNIyAt tena BikzuNA BikzUNAm antike
   pratideśayitavyaṃ garhaṇīyam āyuṣmantaḥ sthānam āpanno 'smi asāṃpreyaṃ	pratideSayitavyam garhaNIyam AyuzmantaH sTAnam ApannaH asmi asAMpreyam
   pratideśanīyaṃ taṃ dharmaṃ pratideśayāmi ayaṃ dharmaḥ pratideśanīyaḥ 3	pratideSanIyam tam Darmam pratideSayAmi ayam DarmaH pratideSanIyaH 3
   PrMoSū_Pratid.4:	PrMA-uSU_Prati-d.4:
   yāni punas tāni saṃghasyāraṇyakāni śayyāsanāni bhavanti sāśaṃkasaṃmatāni	yAni punar tAni saMGasya-AraNyakAni SayyA-AsanAni Bavanti sa-aSaMka-saMmatAni
   sabhayasaṃmatāni sapratibhayabhairavasaṃmatāni / yaḥ punar bhikṣus	sa-Baya-saMmatAni sa-pratiBaya-BErava-saMmatAni / yaH punar BikzuH-
   tathārūpeṣu saṃghasyāraṇyakeṣu śayyāsaneṣu pūrvapratisaṃvedakaḥ asaṃmataḥ	taTArUpezu saMGasya-AraNyakezu SayyA-Asanezu pUrva-pratisaMvedakaH asaMmataH
   saṃghena bahir ārāmasya svahastaṃ khādanīyabhojanīyaṃ apratigṛhya antar	saMGena bahis ArAmasya sva-hastam KAdanIya-BojanIyam apratigRhya antar
   ārāme pratigṛhṇīyāt tena bhikṣuṇā bhikṣ(ū)ṇām antike pratideśayitavyaṃ	ArAme pratigRhNIyAt tena BikzuNA Bikz(U)NAm antike pratideSayitavyam
   garhaṇīyam āyuṣmantaḥ sthānam āpanno 'smi asāṃpreyaṃ pratideśanīyaṃ ta(ṃ)	garhaNIyam AyuzmantaH sTAnam ApannaH asmi asAMpreyam pratideSanIyam ta(M)
   dharmaṃ pratideśayāmi ayam api dharmaḥ pratideśanīyaḥ 4 //	Darmam pratideSayAmi ayam api DarmaH pratideSanIyaH 4 //
   uddiṣṭā mayāyuṣmantaś catvāraḥ pratideśanīyā dharmās tatrāham āyuṣmataḥ	uddizwAH mayA-AyuzmantaH catvAraH pratideSanIyAH DarmAH tatra-aham AyuzmataH
   pṛcchāmi kaccid sthātra pariśuddhā dvir api t(ri)r api pṛcchāmi kaccit	pRcCAmi kaccit sTA-atra pariSudDAH dvis api t(ri)H api pRcCAmi kaccit-
   sthātra pariśuddhā(ḥ) pariśuddhā (a)trāyuṣmanto yasmāt tūṣṇīm evam etad	sTA-atra pariSudDA(H) pariSudDAH (a)tra-AyuzmantaH yasmAt tUzNIm evam etat-
   dhārayāmi //	DArayAmi //
   VII. śaikṣā dharmāḥ	VII. SEkzAH DarmAH
   ime punar āyuṣmantaḥ saṃbahulāḥ śaikṣā dharmā anvardhamāsaṃ	ime punar AyuzmantaH saMbahulAH SEkzAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti //	prAtimokza-sUtra-uddeSam AgacCanti //
   A	A
   PrMoSū_Śai.A.1:	PrMA-uSU_ŚE.A.1:
   nātyutkṛṣṭaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 1	na-ati-utkRzwam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 1
   PrMoSū_Śai.A.2:	PrMA-uSU_ŚE.A.2:
   nātyavakṛṣṭaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 2	na-ati-avakRzwam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 2
   PrMoSū_Śai.A.3:	PrMA-uSU_ŚE.A.3:
   na vikīrṇaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 3	na vikIrNam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 3
   PrMoSū_Śai.A.4:	PrMA-uSU_ŚE.A.4:
   na vāsijhaḍakaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 4	na vAsi-Jaxakam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 4
   PrMoSū_Śai.A.5:	PrMA-uSU_ŚE.A.5:
   na tālapatraṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 5	na tAla-patram cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 5
   PrMoSū_Śai.A.6:	PrMA-uSU_ŚE.A.6:
   na hastiśuṇḍaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 6	na hastiSuNxam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 6
   PrMoSū_Śai.A.7:	PrMA-uSU_ŚE.A.7:
   na kunmāṃsapiṇḍaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 7	na kunmAMsa-piNxam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 7
   PrMoSū_Śai.A.8:	PrMA-uSU_ŚE.A.8:
   na kalāpakaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 8	na kalApakam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 8
   PrMoSū_Śai.A.9:	PrMA-uSU_ŚE.A.9:
   na dundumaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā karaṇīyā 9	na dundumam cIvaram nivAsayizyAmaH iti SikzA karaNIyAH 9
   PrMoSū_Śai.A.10:	PrMA-uSU_ŚE.A.10:
   na milimaṃ cīvaraṃ nivasayiṣyāma iti śi(kṣā karaṇīyā) 10	na milimam cIvaram nivasayizyAmaH iti Si(kzA karaNIyA) 10
   PrMoSū_Śai.A.11:	PrMA-uSU_ŚE.A.11:
   na cūrṇasūtraṃ cī(varaṃ nivāsayiṣyāma iti śikṣā kara)ṇīyā 11	na cUrNa-sUtram cI(varam nivAsayizyAmaH iti SikzA kara)NIyAH 11
   PrMoSū_Śai.A.12:	PrMA-uSU_ŚE.A.12:
   parimaṇḍalaṃ cīvaraṃ nivāsay(i)ṣyāma iti śikṣā karaṇīyā 12	parimaNxalam cIvaram nivAsay(i)zyAmaH iti SikzA karaNIyAH 12
   PrMoSū_Śai.A.13:	PrMA-uSU_ŚE.A.13:
   nātyutkṛṣṭaṃ cīvaraṃ prāvariṣyāma iti śikṣā karaṇīyā 13	na-ati-utkRzwam cIvaram prAvarizyAmaH iti SikzA karaNIyAH 13
   PrMoSū_Śai.A.14:	PrMA-uSU_ŚE.A.14:
   nātyavakṛṣṭaṃ cīvaraṃ (prā)variṣyāma iti śikṣā karaṇīyā 14	na-ati-avakRzwam cIvaram (prA)varizyAmaH iti SikzA karaNIyAH 14
   PrMoSū_Śai.A.15:	PrMA-uSU_ŚE.A.15:
   na vikīrṇaṃ cīvaraṃ prāvariṣyāma iti śikṣā karaṇ(ī)y(ā) 15	na vikIrNam cIvaram prAvarizyAmaH iti SikzA karaN(I)y(A) 15
   PrMoSū_Śai.A.16:	PrMA-uSU_ŚE.A.16:
   parimaṇḍalaṃ cīvaraṃ prāvariṣyāma iti śikṣā karaṇīy(ā) 16 //	parimaNxalam cIvaram prAvarizyAmaH iti SikzA karaNIy(A) 16 //
   B	B
   PrMoSū_Śai.B.1:	PrMoSU_ŚE.B.1:
   susaṃvṛtā antargṛhaṃ pravekṣyām(a iti śikṣā) karaṇīy(ā) 1	su-saMvRtAH antargRham pravekzyAm(aH iti SikzA) karaNIy(A) 1
   PrMoSū_Śai.B.2:	PrMoSU_ŚE.B.2:
   (susa)ṃvṛtā (a)ntargṛhe niṣatsyāma iti (śikṣā karaṇīyā) 2	(su-sa)MvRtA (a)ntargRhe nizatsyAmaH iti (SikzA karaNIyA) 2
   PrMoSū_Śai.B.3:	PrMoSU_ŚE.B.3:
   supraticchannā antargṛhaṃ pra(vekṣyā)ma i(ti śikṣā karaṇīyā 3)	su-praticCannA antargRham pra(vekzya-a)me i(ti SikzA karaNIyAH 3)
   PrMoSū_Śai.B.4:	PrMoSU_ŚE.B.4:
   (su)prati(c)channā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 4	(su)prati(c)CannAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 4
   PrMoSū_Śai.B.5:	PrMoSU_ŚE.B.5:
   notkṣiptacakṣuṣo 'ntargṛ(haṃ) pravekṣyāma iti śikṣ(ā) karaṇīyā 5	na-utkzipta-cakzuzaH antar-gR(han) pravekzyAmaH iti Sikz(A) karaNIyAH 5
   PrMoSū_Śai.B.6:	PrMoSU_ŚE.B.6:
   notkṣiptacakṣuṣo 'ntargṛhe niṣatsy(ā)ma iti śikṣā karaṇīyā 6	na-utkzipta-cakzuzaH antargRhe nizatsy(A-a)me iti SikzA karaNIyAH 6
   PrMoSū_Śai.B.7:	PrMoSU_ŚE.B.7:
   alpaśabdā (a)ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīy(ā) 7	alpa-SabdAH (a)ntargRham pravekzyAmaH iti SikzA karaNIy(A) 7
   PrMoSū_Śai.B.8:	PrMoSU_ŚE.B.8:
   alpaśabdā (a)ntarg(ṛ)he niṣatsyāma iti śikṣā karaṇīy(ā) 8	alpa-SabdAH (a)ntarg(R)he nizatsyAmaH iti SikzA karaNIy(A) 8
   PrMoSū_Śai.B.9:	PrMoSU_ŚE.B.9:
   noccagghikayā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 9	na-uccaghikayA antargRham pravekzyAmaH iti SikzA karaNIyAH 9
   PrMoSū_Śai.B.10:	PrMoSU_ŚE.B.10:
   noccagghikay(ā a)ntargṛhe niṣatsyāma iti śikṣā karaṇīy(ā) 10	na-uccaghikay(A a)ntargRhe nizatsyAmaH iti SikzA karaNIy(A) 10
   PrMoSū_Śai.B.11:	PrMoSU_ŚE.B.11:
   notkuṭukā (a)ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 11	na-utkuwukA (a)ntargRham pravekzyAmaH iti SikzA karaNIyAH 11
   PrMoSū_Śai.B.12:	PrMoSU_ŚE.B.12:
   notkuṭukā (a)ntargṛhe niṣatsyāma iti śikṣā karaṇīy(ā) 12	na-utkuwukA (a)ntargRhe nizatsyAmaH iti SikzA karaNIy(A) 12
   PrMoSū_Śai.B.13:	PrMoSU_ŚE.B.13:
   na veṣṭitaśiraso 'ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā (13)	na vezwita-SirasaH antargRham pravekzyAmaH iti SikzA karaNIyAH (13)
   PrMoSū_Śai.B.14:	PrMoSU_ŚE.B.14:
   na veṣṭitaśiraso 'ntargṛhe niṣatsyāma iti śikṣā karaṇīyā 14	na vezwita-SirasaH antar-gRhe nizatsyAmaH iti SikzA karaNIyAH 14
   PrMoSū_Śai.B.15:	PrMoSU_ŚE.B.15:
   nāva(gu)ṇḍikākṛtā antargṛhaṃ (prav)ekṣyāma iti śikṣā karaṇīy(ā)15	na-ava(gu)NxikA-kRtAH antargRham (prav)ekzyAmaH iti SikzA karaNIy(A)15
   PrMoSū_Śai.B.16:	PrMoSU_ŚE.B.16:
   nāvaguṇḍikākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 16	na-avaguNxikA-kRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 16
   PrMoSū_Śai.B.17:	PrMoSU_ŚE.B.17:
   na kambhākṛtā (a)ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīy(ā) 17	na kamBA-kRtA (a)ntargRham pravekzyAmaH iti SikzA karaNIy(A) 17
   PrMoSū_Śai.B.18:	PrMoSU_ŚE.B.18:
   na kambhākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 18	na kamBA-kRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 18
   PrMoSū_Śai.B.19:	PrMoSU_ŚE.B.19:
   notkṛṣṭikākṛtā (a)ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 19	na-utkRzwikA-kRtAH (a)ntargRham pravekzyAmaH iti SikzA karaNIyAH 19
   PrMoSū_Śai.B.20:	PrMoSU_ŚE.B.20:
   notkṛṣṭikākṛtā (a)ntargṛhe niṣatsyāma iti śikṣā karaṇīyā 20	na-utkRzwikA-kRtA (a)ntargRhe nizatsyAmaH iti SikzA karaNIyAH 20
   PrMoSū_Śai.B.21:	PrMoSU_ŚE.B.21:
   nātyastikākṛtā (a)ntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 21	na-atyastika-akRtAH (a)ntargRham pravekzyAmaH iti SikzA karaNIyAH 21
   PrMoSū_Śai.B.22:	PrMoSU_ŚE.B.22:
   nātyastikākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 22	na-atyastika-akRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 22
   PrMoSū_Śai.B.23:	PrMoSU_ŚE.B.23:
   na vinyastikākṛtā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 23	na vinyastikA-kRtAH antargRham pravekzyAmaH iti SikzA karaNIyAH 23
   PrMoSū_Śai.B.24:	PrMoSU_ŚE.B.24:
   na vinyastikākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 24	na vinyastikA-kRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 24
   PrMoSū_Śai.B.25:	PrMoSU_ŚE.B.25:
   na vikṣiptikākṛtā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 25	na vikziptikA-kRtAH antargRham pravekzyAmaH iti SikzA karaNIyAH 25
   PrMoSū_Śai.B.26:	PrMoSU_ŚE.B.26:
   na vikṣiptikākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 26	na vikziptikA-kRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 26
   PrMoSū_Śai.B.27:	PrMoSU_ŚE.B.27:
   na pallatthikākṛtā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 27	na pallatTikA-kRtAH antargRham pravekzyAmaH iti SikzA karaNIyAH 27
   PrMoSū_Śai.B.28:	PrMoSU_ŚE.B.28:
   na pallatthikākṛtā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 28	na pallatTikA-kRtAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 28
   PrMoSū_Śai.B.29:	PrMoSU_ŚE.B.29:
   na bāhupracālakā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā (29)	na bAhu-pracAlakAH antargRham pravekzyAmaH iti SikzA karaNIyAH (29)
   PrMoSū_Śai.B.30:	PrMoSU_ŚE.B.30:
   na bāhupracālakā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 30	na bAhu-pracAlakAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 30
   PrMoSū_Śai.B.31:	PrMoSU_ŚE.B.31:
   na cāṃsapracālakā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 31	na ca-aMsa-pracAlakAH antargRham pravekzyAmaH iti SikzA karaNIyAH 31
   PrMoSū_Śai.B.32:	PrMoSU_ŚE.B.32:
   na cāṃsapracālakā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 3(2)	na ca-aMsa-pracAlakAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 3(2)
   PrMoSū_Śai.B.33:	PrMoSU_ŚE.B.33:
   na śīrṣapracālakā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā 3(3)	na SIrza-pracAlakAH antargRham pravekzyAmaH iti SikzA karaNIyAH 3(3)
   PrMoSū_Śai.B.34:	PrMoSU_ŚE.B.34:
   na śīrṣapracālakā antargṛhe niṣatsyāma iti śikṣā karaṇīyā (34)	na SIrza-pracAlakAH antargRhe nizatsyAmaH iti SikzA karaNIyAH (34)
   PrMoSū_Śai.B.35:	PrMoSU_ŚE.B.35:
   na kāyapracālakā antargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā (35)	na kAya-pracAlakAH antargRham pravekzyAmaH iti SikzA karaNIyAH (35)
   PrMoSū_Śai.B.36:	PrMoSU_ŚE.B.36:
   na kāyapracālakā antargṛhe niṣatsyāma iti śikṣā karaṇīyā 36	na kAya-pracAlakAH antargRhe nizatsyAmaH iti SikzA karaNIyAH 36
   PrMoSū_Śai.B.37:	PrMoSU_ŚE.B.37:
   na hastasaṃlagnikayāntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā (37)	na hasta-saMlagnikayA-antar-gRham pravekzyAmaH iti SikzA karaNIyAH (37)
   PrMoSū_Śai.B.38:	PrMoSU_ŚE.B.38:
   na hastasaṃlagnikayāntargṛhe niṣatsyāma iti śikṣā karaṇīyā 38	na hasta-saMlagnikayA-antar-gRhe nizatsyAmaH iti SikzA karaNIyAH 38
   PrMoSū_Śai.B.39:	PrMoSU_ŚE.B.39:
   na viḍaṅgikayāntargṛhaṃ pravekṣyāma iti śikṣā karaṇīyā (39)	na vixaFgikayA-antar-gRham pravekzyAmaH iti SikzA karaNIyAH (39)
   PrMoSū_Śai.B.40:	PrMoSU_ŚE.B.40:
   na viḍaṅgikayāntargṛhe niṣatsyāma iti śikṣā karaṇīyā (40)	na vixaFgikayA-antar-gRhe nizatsyAmaH iti SikzA karaNIyAH (40)
   PrMoSū_Śai.B.41:	PrMoSU_ŚE.B.41:
   na pāde pādam ādhāyāntargṛhe niṣatsyāma iti śikṣā karaṇīyā 41	na pAde pAdam ADAya-antar-gRhe nizatsyAmaH iti SikzA karaNIyAH 41
   PrMoSū_Śai.B.42:	PrMoSU_ŚE.B.42:
   na sakthni sakthy āropyāntargṛhe niṣatsyāma iti śikṣā karaṇīyā 42	na sakTni sakTi Aropya-antar-gRhe nizatsyAmaH iti SikzA karaNIyAH 42
   PrMoSū_Śai.B.43:	PrMoSU_ŚE.B.43:
   na pāṇau hanum upādāyāntargṛhe niṣatsyāmo gṛhiṇo hāsyaprekṣiṇa iti śikṣā	na pANO hanum upAdAya-antar-gRhe nizatsyAmaH gRhiNaH hAsya-prekziNaH iti SikzA
   karaṇīyā 43 //	karaNIyAH 43 //
   C	C
   PrMoSū_Śai.C.1:	PrMA-uSU_ŚE.C.1:
   satkṛtyaudanaṃ pratigṛhīṣyāma iti śikṣā karaṇīyā 1	satkRtya-odanam pratigRhIzyAmaH iti SikzA karaNIyAH 1
   PrMoSū_Śai.C.2:	PrMA-uSU_ŚE.C.2:
   satkṛtya sūpaṃ pratigṛhīṣyāma iti śikṣā karaṇīyā 2	satkRtya sUpam pratigRhIzyAmaH iti SikzA karaNIyAH 2
   PrMoSū_Śai.C.3:	PrMA-uSU_ŚE.C.3:
   na stūpākāraṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 3	na stu-upAkAram piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 3
   PrMoSū_Śai.C.4:	PrMA-uSU_ŚE.C.4:
   samatittik(aṃ pi)ṇḍapātaṃ paribhokṣyāma it(i śikṣā kara)ṇīy(ā) 4	sama-tittik(am pi)NxapAtam pariBokzyAmaH it(i SikzA kara)NIy(A) 4
   PrMoSū_Śai.C.5:	PrMA-uSU_ŚE.C.5:
   samasūpikaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīy(ā) 5	sama-sUpikam piNxapAtam pariBokzyAmaH iti SikzA karaNIy(A) 5
   PrMoSū_Śai.C.6:	PrMA-uSU_ŚE.C.6:
   na stūpyavaguṇṭhīkṛtaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 6	na stUpyavaguNWIkRtam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 6
