   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   agnīṣomāśrayasthasya pūrvaṃ pitṛgaṇasya ca /	agnIzoma ASraya sTasya pUrvam pitR gaNasya ca /
   pitṝṇāṃ bījabhūtasya jñasvabhāvasya tattvataḥ // Paus_27.95 //	pitLNAm bIja BUtasya jQa svaBAvasya tattvataH // POH _27.95 //
   daghāt piṇḍadvayaṃ cai va tvagnīṣomasamudbhavam /	daGAt piNxa dvayam cE va tu agnIzoma samudBavam /
   nāḍīsvarūpau tau darbhau piṇḍena saha tatra vai // Paus_27.96 //	nAxI svarUpO tO darBO piNxena saha tatra vE // POH _27.96 //
   layaṃ nītvā dvitīyena vyavahāradhiyāṃ ( ?yā )tataḥ /	layam nItvA dvitIyena vyavahAra DiyAm ( ?yA )tataH /
   pitṝṇāṃ kalpayet tena piṇḍānyanye ( ? tne )na sāṃpratam // Paus_27.97 //	pitLNAm kalpayet tena piNxAni anye ( ? tne )na sAMpratam // POH _27.97 //
   krameṇa prāgadṛṣṭānāṃ hradā saṃjñāpadena tu /	krameNa prAc adRzwAnAm hradA saMjQA padena tu /
   evaṃ dṛṣṭasvarūpaṃ ca jñātvā teṣāṃ sthitiṃ sphuram // Paus_27.98 //	evam dRzwa svarUpam ca jQAtvA tezAm sTitim sPuram // POH _27.98 //
   prāgvat svadhāvasānāghairmantrair oṃkārapūrvakaiḥ /	prAgvat svaDA avasAnAGEH mantrEH oMkAra pUrvakEH /
   hranmantrālaṅkṛnairvipra tadā saṃjñāpadānvitaiḥ // Paus_27.99 //	hranmantra alaFkRnEH vipra tadA saMjQA pada anvitEH // POH _27.99 //
   piṇḍaṃ prakalpayāmīti tataḥ pūrvavadācaret /	piNxam prakalpayAmi iti tatas pUrvavat Acaret /
   añjanābhyañjanādyaistu hyupacāraiḥ prapūjanam // Paus_27.100 //	aQjana aByaQjana AdyEH tu hi upacArEH prapUjanam // POH _27.100 //
   krameṇa tarpaṇaṃ kuryāt satilaiścā mbhasā tataḥ /	krameNa tarpaNam kuryAt sa tilEH cA mBasA tatas /
   śirasā vanate (? tau )kṛtvā jānupādau kṣitau gatau // Paus_27.101 //	SirasA vanate (? tO )kRtvA jAnu pAdO kzitO gatO // POH _27.101 //
   pāṇiyugme lālārasthe ekacintaḥ paḍhed imam /	pANi yugme lAlAra sTe ekacintaH paXet imam /
   oṃ namo vaḥ pitaro namo vāḥ (? vai )puruṣottama // Paus_27.102 //	om namaH vaH pitaraH namaH vAH (? vE )puruzottamaH // POH _27.102 //
   namo viṣṇupadasthebhyaḥ svadhā vaḥ pitaro namaḥ /	namaH vizNu pada sTeByaH svaDA vaH pitaraH namaH /
   haraye pitṛnāthāya hyagnīṣomātmane namaḥ // Paus_27.103 //	haraye pitR nATAya hi agnIzoma Atmane namaH // POH _27.103 //
   satsomapātmane viṣṇo namo barhiṣadātmane /	satsomapa Atmane vizNo namaH barhizat Atmane /
   āsaṃsārābhijanakā agniṣvāttā athācyuta // Paus_27.104 //	AsaMsAra aBijanakAH agnizvAttAH aTa acyuta // POH _27.104 //
   pitāmahāḥ somapāstvaṃ tvamanye pratitāmahāḥ /	pitAmahAH somapAH tvam tvam anye pratitAmahAH /
   tubhyaṃ namo bhagavate pitṛmūrte 'nyutāya ca // Paus_27.105 //	tuByam namaH Bagavate pitR mUrte anyutAya ca // POH _27.105 //
   nārāyaṇāya haṃsāya viṣṇo tripuruṣātmane /	nArAyaNAya haMsAya vizNo tripuruza Atmane /
   muttavā tvāmeva bhagavan na namāmi arcayāmi ca // Paus_27.106 //	muttavA tvAm eva Bagavat na namAmi arcayAmi ca // POH _27.106 //
   na tarpayāmi sarveśa nānyam āvāhayāmyaham /	na tarpayAmi sarva ISa na anyam AvAhayAmi aham /
   stutvā evaṃ hi pitṛvyūhaṃ bhaktayā paramayā punaḥ // Paus_27.107 //	stutvA evam hi pitR vyUham BaktayA paramayA punar // POH _27.107 //
   saṃbhave sati sandhānaṃ piṇḍamūrteḥ samācaret /	saMBave sati sanDAnam piNxa mUrteH samAcaret /
   tadagratopaviṣṭasya kramāt pitṛgaṇasya ca // Paus_27.108 //	tad agrata upavizwasya kramAt pitR gaNasya ca // POH _27.108 //
   anusandhāya vai dvābhyām ekasmin vā dvijottama /	anusanDAya vE dvAByAm ekasmin vA dvijottamaH /
   ūṣmāgrāvasthitaṃ dhyātvā pitrayaṃ pitṛgaṇaṃ kramāt // Paus_27.109 //	UzmA agra avasTitam DyAtvA pitR ayam pitR gaNam kramAt // POH _27.109 //
   praṇavena svarūpaṃ tu samutthāya tataḥ svayam /	praNavena svarUpam tu samutTAya tatas svayam /
   madhyatiryaksthitau sthitvā hyadūraṃ nā nyadṛksthinaiḥ // Paus_27.110 //	maDya tiryak sTitO sTitvA hi adUram nA nyadRS sTinEH // POH _27.110 //
   uttarābhimukhaiśca eva dakṣiṇasyāthavā dvija /	uttara aBimuKEH ca eva dakziNasya aTavA dvija /
   taduttarānanavaśād hranmantraṃ hradayān nyaset // Paus_27.111 //	tad uttara Anana vaSAt hranmantram hradayAn nyaset // POH _27.111 //
   namo 'ntaṃ praṇavādyaṃ tu marudambaravigraham /	namaH antam praNava Adyam tu marut ambara vigraham /
   piṇḍāgre hyupaviṣṭasya prāṇaśakti ( ? ktera )dvijasya vā // Paus_27.112 //	piNxa agre hi upavizwasya prANa Sakti ( ? kteraH )dvijasya vA // POH _27.112 //
   bahūnāṃ vā prayatnena svātantrān nirgato bahiḥ /	bahUnAm vA prayatnena svAtantrAt nirgataH bahis /
   dhyātvā tayā saha kṣipramekībhūtatvamāgatam // Paus_27.113 //	DyAtvA tayA saha kzipram ekIBUta tvam Agatam // POH _27.113 //
   ātmaśaktau layaṃ nītvā yadi hyūṣmākhyalakṣaṇā /	Atma SaktO layam nItvA yadi hi Uzma AKya lakzaNA /
   kṛtvaivaṃ prāṇasaṅghaṃ ca pitṝṇāṃ vipravigrahe // Paus_27.114 //	kRtvA evam prANa saFGam ca pitLNAm vipra vigrahe // POH _27.114 //
   prāgvadāsanasaṃruddha bhojayet pūrvavat tataḥ /	prAk vat Asana saMrudDa Bojayet pUrvavat tatas /
   oṃ namatvamṛtāyānnamidaṃ viṣṇupuraḥsarāḥ // Paus_27.115 //	om namatu amRtAya annam idam vizNu puraHsarAH // POH _27.115 //
   devā nadyastathā gāvaḥ sūryaḥ somo vanaspatiḥ /	devAH nadyaH taTA gAvaH sUryaH somaH vanaspatiH /
   oṃ mādhavo 'tha bhagavān mantramūrtimayo mahān // Paus_27.116 //	om mADavaH aTa BagavAn mantra mUrti mayaH mahAn // POH _27.116 //
   madhubhāvena vo 'nyasmin sthitvā tṛptiṃ karotu vai /	maDu BAvena vaH anyasmin sTitvA tRptim karotu vE /
   anujjhitāsanaṃ kuryāt pitṝṇāṃ prīṇanāya ca // Paus_27.117 //	anujJita Asanam kuryAt pitLNAm prINanAya ca // POH _27.117 //
   tasminnevāsmi ( ?n )bhūbhāge vastvā tatpiṇḍavikṣitau ( ? vīkṣite ) /	tasmin= eva asmi ( ?n )BU BAge vastvA tad piNxa vikzitO ( ? vIkzite ) /
   sthitiḥ sarvaṃ pitṝṇāṃ ca sāṃprataṃ kamalāsana // Paus_27.118 //	sTitiH sarvam pitLNAm ca sAMpratam kamalAsana // POH _27.118 //
   yāvat prāṇavimuktānāṃ piṇḍānāṃ nopasaṃhṛtiḥ /	yAvat prANa vimuktAnAm piNxAnAm na upasaMhRtiH /
   socchiṣṭānāṃ kṛtā samyak tadante saṃvrajanti te // Paus_27.119 //	sa ucCizwAnAm kRtA samyak tad ante saMvrajanti te // POH _27.119 //
   svasthānāmāśiṣaṃ datvā śrāddhakarturdhiyā dvija /	svasTAnAm ASizam datvA SrAdDa kartuH DiyA dvija /
   sāmṛtaṃ sodakaṃ sthāne satilaṃ mantratejasā // Paus_27.120 //	sa amRtam sa udakam sTAne sa tilam mantra tejasA // POH _27.120 //
   viviktaṃ vivṛtaṃ mārgaṃ punarāgamanāya ca /	viviktam vivRtam mArgam punar AgamanAya ca /
   nārāyaṇākhyasanmantrakarma brahmajavīkṛte // Paus_27.121 //	nArAyaNa AKya sat mantra karma brahma javIkRte // POH _27.121 //
   sve svondriyarathe kṛtvā tṛptā yātācyutāspadam /	sve sva undriya raTe kRtvA tRptAH yAta acyuta Aspadam /
   prājāpatyamidaṃ proktaṃ saṃpradāyasamanvitam // Paus_27.122 //	prAjApatyam idam proktam saMpradAya samanvitam // POH _27.122 //
   saṃpradānaṃ pitṝṇāṃ ca pūrvoktaphalavardhanam /	saMpradAnam pitLNAm ca pUrva ukta Pala varDanam /
   samācaret sadā vyūhya mantrāṇāṃ mantrakarmaṇā // Paus_27.123 //	samAcaret sadA vyUhya mantrANAm mantra karmaNA // POH _27.123 //
   nityaṃ bahutve dvitve vā prayogaṃ kamalodbhava /	nityam bahu tve dvi tve vA prayogam kamalodBavaH /
   yadyetadapyanaṅgaṃ ca tadā vai pratikarmaṇi // Paus_27.124 //	yadi etat api anaFgam ca tadA vE pratikarmaNi // POH _27.124 //
   hradādyaṅgāṅgato yojyamaṅgi pūrvavadabjaja /	hrada Adi aFga aFgataH yojyam aFgi pUrvavat abja ja /
   ārādhyānāmamunetrāṇām oṃṅkāraḥ tatkriyāntare // Paus_27.125 //	ArADya anAmamunetrANAm oMFkAraH tad kriyA antare // POH _27.125 //
   asminnarthe vikārastu ya ukto mantrapūrvakaḥ /	asmin= arTe vikAraH tu yaH uktaH mantra pUrvakaH /
   samayaḥ putrakādīnāmanyeṣāṃ bhāvitātmanām // Paus_27.126 //	samayaH putraka AdInAm anyezAm BAvitAtmanAm // POH _27.126 //
   gurośca sādhakendrasya mantro mama mahāmate /	guroH ca sADaka indrasya mantraH mama mahAmate /
   pradāne sa viruddhaśca tvato 'nyastvaviruddhakṛt // Paus_27.127 //	pradAne sa virudDaH ca tu atas anyaH tu avirudDa kRt // POH _27.127 //
   samayī putrakādīnāṃ vaiṣṇavānāmapi dvija /	samayI putraka AdInAm vEzNavAnAm api dvija /
   caturṇāṃ maugdalāntānāṃ tathaivāśramiṇā tu vai // Paus_27.128 //	caturNAm mOgdala antAnAm taTA eva ASramiNA tu vE // POH _27.128 //
   dīkṣayā saṃskṛtānāṃ ca dīkṣitānāṃ mahāmune /	dIkzayA saMskRtAnAm ca dIkzitAnAm mahA mune /
   sāmānyastvatha sarvatra sāṅgaḥ siddhaḥ supūjitaḥ // Paus_27.129 //	sAmAnyaH tu aTa sarvatra sa aFgaH sidDaH su pUjitaH // POH _27.129 //
   teṣāṃ yaścopadeṣṭavyo mantravyūho hi taṃ śṛṇu /	tezAm yaH ca upadezwavyaH mantra vyUhaH hi tam SRNu /
   sadvādaśākṣaro mantraḥ kavacaṃ brahmaṇe namaḥ // Paus_27.130 //	sa dvAdaSa akzaraH mantraH kavacam brahmaNe namaH // POH _27.130 //
   evaṃ viśvātmane netramastraṃ ca paramātmane /	evam viSvAtmane netram astram ca paramAtmane /
   ete sapraṇavāḥ sarve śūdrāṇāṃ yogyatāvaśāt // Paus_27.131 //	ete sa praNavAH sarve SUdrANAm yogyatA vaSAt // POH _27.131 //
   samyagvā dīkṣitānāṃ ca teṣāṃ vai praṇavojjhitāḥ /	samyak vA dIkzitAnAm ca tezAm vE praNava ujJitAH /
   vihitāca ( ? śca )yathā strīṇāṃ sadācāravaśāt tu vai // Paus_27.132 //	vihitAca ( ? Sca )yaTA strINAm sat AcAra vaSAt tu vE // POH _27.132 //
   asamyak pratipannānāṃ śūdrāṇāṃ tu mahāmate /	asamyak pratipannAnAm SUdrANAm tu mahAmate /
   na khaṇḍayet tu mantrāṇāṃ namaskāro bhavet punaḥ // Paus_27.133 //	na KaNxayet tu mantrANAm namaskAraH Bavet punar // POH _27.133 //
   sajāterdvādaśārṇasya tadvadaṣṭākṣarasya ca /	sajAteH dvAdaSa arNasya tadvat azwa akzarasya ca /
   ṣaḍakṣarasya vai pūrvaṃ prayojyaṃ pūraṇārthataḥ // Paus_27.134 //	zaz akzarasya vE pUrvam prayojyam pUraNa arTataH // POH _27.134 //
   yadā tvabhihito 'ṣṭārṇe tvaṣṭārṇena avatāritaḥ /	yadA tu aBihitaH azwa arNe tu azwArNena avatAritaH /
   mukhyatā dvādaśārṇasya mantrasya vihitā tadā // Paus_27.135 //	muKya tA dvAdaSa arNasya mantrasya vihitA tadA // POH _27.135 //
   ṣaḍakṣarasya mukhyatvaṃ bhavedubhāvavaśād api /	zaz akzarasya muKya tvam Bavet uBAva vaSAt api /
   yojyasvaṣṭākṣaro mantro nityameva śikhāvadhau // Paus_27.136 //	yojyasu azwa akzaraH mantraH nityam eva SiKA vaDO // POH _27.136 //
   praṇavasya ca mukhyatvaṃ dviṣaḍaṣṭaṣaḍakṣarāḥ /	praNavasya ca muKya tvam dvi zaz azwa zaz akzarAH /
   mantrā hṛdayapūrvāstu parijñeyāstataḥ kramāt // Paus_27.137 //	mantrAH hRdaya pUrvAH tu parijQeyAH tatas kramAt // POH _27.137 //
   mantrāṇāṃ varmapūrvāṇāṃ vācyatvaṃ yadi kalpyate /	mantrANAm varma pUrvANAm vAcya tvam yadi kalpyate /
   tadātmatā ca vihitā tatsthāne praṇavasya ca // Paus_27.138 //	tad Atma tA ca vihitA tad sTAne praNavasya ca // POH _27.138 //
   devo jitaṃtāmantreṇa cittasthaḥ sannidhīkṛtaḥ /	devaH jitaMtA mantreNa citta sTaH sanniDIkRtaH /
   yoktavyaṃ tatra ca aṅgānāṃ mantraṣaṭkaṃ yathā sthitam // Paus_27.139 //	yoktavyam tatra ca aFgAnAm mantra zawkam yaTA sTitam // POH _27.139 //
   dvādaśākṣarapūrvaṃ tu tṛtīyaṃ yat prakīrtitam /	dvAdaSa akzara pUrvam tu tRtIyam yat prakIrtitam /
   tṛtīyaṃ brahmapūrvaṃ tu dharmādīnāṃ hi vācakam // Paus_27.140 //	tRtIyam brahma pUrvam tu Darma AdInAm hi vAcakam // POH _27.140 //
   praṇavaḥ sarvamantrāṇāmitaśca āsanakarmaṇi /	praNavaH sarva mantrANAm itaH ca Asana karmaNi /
   dvādaśākṣarapūrvāṇāṃ mantrasāmānyakarmaṇām // Paus_27.141 //	dvAdaSa akzara pUrvANAm mantra sAmAnya karmaNAm // POH _27.141 //
   darbhātilodakādīnāṃ dravyāṇāṃ pratikarmaṇi /	darBa atilodaka AdInAm dravyANAm pratikarmaNi /
   jāyate ca visṛṣṭānāmvupaśāntiśca taijasī // Paus_27.142 //	jAyate ca visRzwAnAm u upaSAntiH ca tEjasI // POH _27.142 //
   ata evopayuktānāṃ bhogānāṃ kamalodbhava /	atas eva upayuktAnAm BogAnAm kamala udBavaH /
   viruddhasaṃgraho bhūyastvanyāsmin hi kriyāntare // Paus_27.143 //	virudDa saMgrahaH BUyas tu anyA asmin hi kriyA antare // POH _27.143 //
   gauṇī vyaktiḥ yatasteṣāmāmūlāccidādhiṣṭhitā /	gONI vyaktiH yatas tezAm AmUlAt cit A aDizWitA /
   vartate paramāśritya tat kartuḥ phalasiddhaye // Paus_27.144 //	vartate parama ASritya tat kartuH Pala sidDaye // POH _27.144 //
   citsāmānyavinirmuktā hyayomyāste śarīravat /	cit sAmAnya vinirmuktAH hi ayomi AH te SarIra vat /
   mantrāṇāṃ sthāyino bhāgā yānti vai yogyatāṃ punaḥ // Paus_27.145 //	mantrANAm sTAyinaH BAgAH yAnti vE yogyatAm punar // POH _27.145 //
   kadācinmantrasāmarthyāt jñānabhāvanayā dvija /	kadAcid mantra sAmarTyAt jQAna BAvanayA dvija /
   (iti nityaśrāddhavidhiḥ )	(iti nitya SrAdDa viDiH )
     atha naimittikaśrāddhavidhiḥ  	 aTa nEmittika SrAdDa viDiH  
   naimittakamataḥ śrāddhavidhānamavadhāraya /	nEmittakam atas SrAdDa viDAnam avaDAraya /
   gatipradaṃ pitṝṇāṃ yat karmaṇāṃ siddhibhūridam // Paus_27.146 //	gati pradam pitLNAm yat karmaNAm sidDi BUH i dam // POH _27.146 //
   sadyaḥ satpātrasaṃprāptiṃ vinā naiva samācaret /	sadyas sat pAtra saMprAptim vinA na eva samAcaret /
   evamādyairvinirmuktaṃ śrāddhamabjasamudbhava // Paus_27.147 //	evamAdyEH vinirmuktam SrAdDam abja samudBava // POH _27.147 //
   tiṣṭhatyanugrahārthaṃ ca yadi saṃprārthitaṃ hi yat /	tizWati anugraha arTam ca yadi saMprArTitam hi yat /
   tadā niyamamātiṣṭhe[dagni]kāṣṭhād anādikam // Paus_27.158 //	tadA niyamam AtizWe[t agni]kAzWAt anAdikam // POH _27.158 //
   mānamātsaryakārpavyakrodhalobhādayo 'khilāḥ /	mAna mAtsarya kArpavya kroDa loBa AdayaH aKilAH /
   doṣā dūratare tyājyā hyāniṣpattidināvadhi // Paus_27.149 //	dozAH dUratare tyAjyA hi Anizpatti dina avaDi // POH _27.149 //
   śuddhipūrveṇa vidhinā suprayatnena cetasā /	SudDi pUrveNa viDinA su prayatnena cetasA /
   pradattaṃ phalamūlādyaṃ bhavet tadamṛtādhikam // Paus_27.150 //	pradattam Pala mUla Adyam Bavet tad amRta aDikam // POH _27.150 //
   deśapātravaśenaiva saṃpatto sati padmaja /	deSa pAtra vaSena eva saMpattaH sati padmaja /
   ekāhāt saptarātraṃ tu śraddhayā tat samācaret // Paus_27.151 //	eka ahAt sapta rAtram tu SradDayA tat samAcaret // POH _27.151 //
   samāśritya śubhaṃ kālamekāhaṃ kamalodbhava /	samASritya SuBam kAlam ekA aham kamalodBavaH /
   nirvartya parayā prītyā naiti kālaṃ yathānyathā // Paus_27.152 //	nirvartya parayA prItyA na eti kAlam yaTA anyaTA // POH _27.152 //
   trayamāśritya te śrāddhaṃ sānukampena cetasā /	trayam ASritya te SrAdDam sa anukampena cetasA /
   satvasthena kṛtaṃ śaktyā śuddhena draviṇena ca // Paus_27.153 //	satva sTena kRtam SaktyA SudDena draviNena ca // POH _27.153 //
   nayatyavaśyamacirāt satyalokaṃ tadarthitam /	nayati avaSyam acirAt satya lokam tat arTitam /
   deśakālakṛtaṃ tvetat tapolokaṃ dadāti ca // Paus_27.154 //	deSa kAla kRtam tu etat tapolokam dadAti ca // POH _27.154 //
   deśapātrāśritu śrāddhaṃ jana ( no )lokaṃ dadāti ca /	deSa pAtra aSritu SrAdDam janaH ( naH )lokam dadAti ca /
   phalaṃ maharlokagati kālapātravaśāt kṛtam // Paus_27.155 //	Palam mahar loka gati kAla pAtra vaSAt kRtam // POH _27.155 //
   kevalaṃ deśamāsādya dattaṃ svargaṃ prayacchati /	kevalam deSam AsAdya dattam svargam prayacCati /
   kṛtaṃ yat kālamaśritya bhuvarlokaṃ (? kā )dvijayāte? // Paus_27.156 //	kRtam yat kAlam aSritya Buvarlokam (? kA )dvija yAte? // POH _27.156 //
   saumyapātrāśritaṃ śrāddhaṃ tadbhūlokagatipradam /	sOmya pAtra ASritam SrAdDam tad BU loka gati pradam /
   sāmānyasya ca deśādestritayasya phalaṃ tvidam // Paus_27.157 //	sAmAnyasya ca deSa AdeH tritayasya Palam tu idam // POH _27.157 //
   tatra puṣkara puṣṭiṃ hi prasiddhaṃ dehamabjaja /	tatra puzkara puzwim hi prasidDam deham abja jaH /
   kālaṃ grāhyoparāgādyaṃ pātraṃ tanmayamabjaja // Paus_27.158 //	kAlam grAhyA uparAga Adyam pAtram tad mayam abja jaH // POH _27.158 //
   tathā niyamavān samyak śrāddhahetorna cānyathā /	taTA niyamavAn samyak SrAdDa hetoH na ca anyaTA /
   yaduktaṃ tritayaṃ śrāddhe saviśeṣaṃ hi tat punaḥ // Paus_27.159 //	yat uktam tritayam SrAdDe sa viSezam hi tat punar // POH _27.159 //
   bhavatyutārakaṃ nṝṇāṃ savijñānena janmanā /	Bavati utArakam nLNAm sa vijQAnena janmanA /
   prasiddhayā vaiṣṇavaṃ deśaṃ pātrastradbhgavanmayā (? yaḥ ) // Paus_27.160	prasidDayA vEzNavam deSam pAtra stradBgavat mayA (? yaH ) // POH _27.160
   dvādaśyākhyo bṛhatkālaḥ saṅkāntyādyaiḥ pariṣkṛtaḥ /	dvAdaSI AKyaH bRhatkAlaH saFkAnti AdyEH parizkRtaH /
   trayametanmahābuddhe saviśeṣataraṃ yadi // Paus_27.161 //	trayam etat mahAbudDe sa viSezataram yadi // POH _27.161 //
   bhavatyuttārakaṃ nūnaṃ dehāntaranivāsinām /	Bavati uttArakam nUnam deha antara nivAsinAm /
   svayaṃvyaktena vibhunā tvekamūrtyādinābjaja // Paus_27.162 //	svayaMvyaktena viBunA tu eka mUrti AdinA abja jaH // POH _27.162 //
   adhiṣṭhitaṃ hi sargādāvekadeśāt sahāmbunā /	aDizWitam hi sarga AdO= eka deSAt saha ambunA /
   tadviśeṣāntaraṃ deśaṃ siddhikṛt sarvakarmaṇām // Paus_27.163 //	tad viSeza antaram deSam sidDi kRt sarva karmaNAm // POH _27.163 //
   tasmin dvijocite kāle dvādaśyākhye bhavedyadi /	tasmin dvija ucite kAle dvAdaSI a AKye Bavet yadi /
   samuhūrtaṃ sanakṣatraṃ vaiṣṇavaṃ tena tadbhavet // Paus_27.164 //	sa muhUrtam sa nakzatram vEzNavam tena tat Bavet // POH _27.164 //
   prottārakaṃ pitṝṇāṃ ca savyabāhusamanvitam /	prottArakam pitLNAm ca savyabAhu samanvitam /
   samyaksiddhitrayopetaṃ pañcakālaparāyaṇam // Paus_27.165 //	samyak sidDi traya upetam paQca kAla parAyaNam // POH _27.165 //
   labdhalakṣaṃ pare tattve pātramekāyanaṃ dvija ( ? jaṃ ) /	labDa lakzam pare tattve pAtram ekAyanam dvija ( ? jam ) /
   saṃyamādyairupetaṃ ca tanmahārthāyanāttu vai // Paus_27.166 //	saMyama AdyEH upetam ca tat mahArTAyanAt tu vE // POH _27.166 //
   pitṛṇāṃ sugatiprāptiḥ śaśvadeva hi jāyate /	pitRNAm sugati prAptiH SaSvat eva hi jAyate /
   vetaṃ ( ?gaṃ ) ca taṃ mahāvegāt[tulyavegaṃ hi]jāyate // Paus_27.167 //	vetam ( ?gam ) ca tam mahA vegAt[ tulya vegam hi]jAyate // POH _27.167 //
   deśe śubhe śubhaṃ janma jñānasatkarmaṇā saha /	deSe SuBe SuBam janma jQAna sat karmaNA saha /
   phalaṃ śubhatarān bhinnān pitṝṇāṃ tritayāt kramāt // Paus_27.168 //	Palam SuBatarAn BinnAn pitLNAm tritayAt kramAt // POH _27.168 //
   jñātvaivaṃ śrāddhadāne tu deśakālādayo guṇāḥ /	jQAtvA evam SrAdDa dAne tu deSa kAla AdayaH guNAH /
   cittaśuddhisametāśca samāsannāḥ prasannataḥ // Paus_27.169 //	citta SudDi sametAH ca samAsannAH prasannataH // POH _27.169 //
   etadastrādinā sarvamupakāraṃ hi karmaṇām /	etad astra AdinA sarvam upakAram hi karmaNAm /
   kevalaṃ bhaktipūtānāṃ lokadharmaratātmanām // Paus_27.170 //	kevalam Bakti pUtAnAm loka Darma rata AtmanAm // POH _27.170 //
   jñānakarmaratānāṃ ca dvijānāmadhikāriṇām /	jQAna karma ratAnAm ca dvijAnAm aDikAriNAm /
   pañcakālaratānāṃ ca svakarmavyabjasaṃbhava // Paus_27.171 //	paQca kAla ratAnAm ca sva karma vyabja saMBavaH // POH _27.171 //
   yānti ?vyāghāramantreṇa parikrāmyena vai tataḥ ? /	yAnti ?vyAGAra mantreNa parikrAmyena vE tatas ? /
   prabandhabrahmavarṇatvaṃ ?teṣāṃ tadbhagavān hariḥ // Paus_27.172 //	prabanDa brahma varNa tvam ?tezAm tat BagavAn hariH // POH _27.172 //
   ṣāḍguṇyavigraho devaḥ prabhavāpyayakṛt svayam /	zAxguNya vigrahaH devaH praBava apyayakRt svayam /
   guṇamuktasamūhena svarūpādacyutena ca // Paus_27.173 //	guNa mukta samUhena svarUpAt acyutena ca // POH _27.173 //
   kālādīnāṃ samutthānaṃ ṣāḍguvyād ata eva hi /	kAla AdInAm samutTAnam zAxguvyAt atas eva hi /
   na vindanti paratvena te cānyasyācyutaṃ vinā // Paus_27.174 //	na vindanti paratvena te ca anyasya acyutam vinA // POH _27.174 //
   kālādeḥ sūkṣmabhūtasya tvāśrayasyāmalasya ca /	kAla AdeH sUkzma BUtasya tu ASrayasya amalasya ca /
   ato 'nayadbhagavadbhaktāstanmantrajñānatatparāḥ // Paus_27.175 //	atas anayat Bagavat BaktAH tad mantra jQAna tatparAH // POH _27.175 //
   teṣāṃ kamalasaṃbhūta kālādyamakhilaṃ hi yat /	tezAm kamala saMBUta kAla Adyam aKilam hi yat /
   sarvam antaḥsthitaṃ bhāti tatprabhāvavaśāt sphuṭam // Paus_27.176 //	sarvam antar sTitam BAti tad praBAva vaSAt sPuwam // POH _27.176 //
   bahirantaravaścāpi yasmādetadadhīśva[rāt] /	bahis antaravaH ca api yasmAt etat aDI Sva [rAt] /
