   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   bhagavānsamanantaraṃ pratipāditaścidānandaikaghanaḥ svātantryasvabhāvaḥ	BagavAn-samanantaram pratipAditaH-cit-Ananda-eka-GanaH svAtantrya-svaBAvaH
   śivaḥ sa eva svarūpagopanāsatattvaḥ sansvecchayā naṭa iva	SivaH saH eva sva-rUpa-gopa-nAsa-tattvaH san-sva-icCayA nawaH iva
   dehapramātṛbhūmikāṃ samāpannaḥ pālyatvātpaśutvātpaśusattālakṣaṇaśca	deha-pramAtR-BUmikAm samApannaH pAlya-tvAt-paSu-tvAt-paSu-sattA-lakzaNaH-ca
   sukhaduḥkhādimaye svayaṃnirmite 'sminbhogye bhoktā dehīti kathyate na	suKa-duHKa-Adi-maye svayaMnirmite asmin-Bogye BoktA dehi-iti kaTyate na
   punaḥ śivavyatiriktaṃ kiñcitpadārthajātamasti / eṣa eva ca bhagavāñśivaḥ	punar Siva-vyatiriktam kiQcid-padArTa-jAtam-asti / ezaH eva ca BagavAn-SivaH
   svātantryādbhoktṛbhogyalakṣaṇaṃ pramātṛprameyayugalakaṃ krīḍanakamiva	svAtantryAt-BoktR-Bogya-lakzaNam pramAtR-prameya-yugalakam krIxanakam-iva
   samutthāpayati yadapekṣayāyaṃ bhedapradhāno vyavahāraḥ / tasmādetadeva	samutTApayati yat-apekzayA-ayam Beda-praDAnaH vyavahAraH / tasmAt-etat-eva
   parameśvarasya svātantryaṃ niratiśayaṃ yatpūrṇasvarūpatāparityāgena	parameSvarasya svAtantryam niratiSayam yat-pUrNa-svarUpa-tA-parityAgena
   bhoktṛbhogyasvabhāvaṃ paśubhāvamāpanno 'pi sarvapramātṝṇāmanubhavitṛtayā	BoktR-Bogya-svaBAvam paSu-BAvam-ApannaH api sarva-pramAtLNAm-anuBavitRtayA
   svātmani prasphurañcidānandaikaghanaḥ śiva eva // 5 //	sva-Atmani prasPuraQcit-Ananda-eka-GanaH SivaH eva // 5 //
   evamapyekaścitsvabhāvaḥ pramātā sa yadi māyādipramātṛprameyavaicitryeṇa	evam-api-ekaH-cit-svaBAvaH pramAtA sa yadi mAyA-Adi-pramAtR-prameya-vEcitryeNa
   nānātvādaneka iti kathaṃ viruddhayaikatayā vyavahriyata ekaścetkimiti	nAnA-tvAt-anekaH iti kaTam virudDayA-eka-tayA vyavahriyate ekaH-ced-kim-iti
   nānārūpa iti cchāyātapavadvirodhādviruddhadharmādhyāsaḥ samāpatati na	nAnA-rUpaH iti cCAyA-Atapa-vat-viroDAt-virudDa-Darma-aDyAsaH samApatati na
   punaranekarūpa ekaśca padārthaḥ syāt / yaduktam	punar-aneka-rUpaH ekaH-ca padArTaH syAt / yat-uktam
   ayameva bhedo bhedaheturbhāvānāṃ yadviruddhadharmādhyāsaḥ kāraṇabhedo vā /	ayam-eva BedaH Beda-hetuH-BAvAnAm yat-virudDa-Darma-aDyAsaH kAraNa-BedaH vA /
   iti / laukikamatra dṛṣṭāntaṃ pradarśayandārṣṭāntike codyaṃ samarthayate	iti / lOkikam-atra dRzwAntam pradarSayan-dArzwa-antike codyam samarTayate
   nānāvidhavarṇānāṃ rūpaṃ dhatte yathāmalaḥ sphaṭikaḥ /	nAnAviDa-varNAnAm rUpam Datte yaTA-amalaH sPawikaH /
   suramānuṣapaśupādaparūpatvaṃ tadvadīśo 'pi // 6 //	sura-mAnuza-paSu-pAdapa-rUpa-tvam tadvat-ISaH api // 6 //
   yathā eko 'pi sphaṭikamaṇiḥ tattallākṣānīlādyupādhivaicitryasahasreṇa	yaTA ekaH api sPawika-maNiH tad-tad-lAkzA-nIla-Adi-upADi-vEcitrya-sahasreNa
   tattadvaicitryaṃ svātmani dhārayaṃstathā vicitrito bhavati na punastasya	tat-tat-vEcitryam sva-Atmani DArayan=-taTA vicitritaH Bavati na punar-tasya
   sphaṭikatāhāniretāvatā samutpadyate / etadeva sphaṭikamaṇermaṇitvaṃ	sPawika-tA-hAniretAvatA samutpadyate / etat-eva sPawika-maNeH-maNi-tvam
   yattattadviśeṣeṇācchurite 'pi tasminsphaṭikamaṇirayamityabādhitā sarvasya	yat-tat-tad-viSezeNa-AcCurite api tasmin-sPawika-maNiH-ayam-iti-abADitA sarvasya
   sarvadaiva pratītiḥ / kevalamatrāmī lākṣādayaḥ sphurantīti vyavahriyate na	sarvadA-eva pratItiH / kevalam-atra-amI lAkzA-AdayaH sPuranti-iti vyavahriyate na
   punarlākṣādyupādhiḥ paṭamiva taṃ viśinaṣṭi yena svarūpavipralopo 'sya syāt	punar-lAkzA-Adi-upADiH pawam-iva tam viSinazwi yena sva-rUpa-vipralopaH asya syAt-
   / tasmādetadevāmalatvaṃ maṇeryadupādhirūpānākārānbibharti svasvarūpatayā	/ tasmAt-etat-eva-amala-tvam maNeH-yat-upADi-rUpAn-a-AkArAn-biBarti sva-svarUpa-tayA
   ca prathate / tathaivāyamīśvaraḥ svatantraścidekaghana ekako 'pi svacche	ca praTate / taTA-eva-ayam-ISvaraH svatantraScit-eka-GanaH ekakaH api svacCe
   svātmadarpaṇe devamanuṣyapaśupakṣisthāvarāntānāṃ	sva-Atma-darpaNe deva-manuzya-paSu-pakzi-sTAvara-antAnAm
   rudrakṣetrajñādipadārtharūpāṇāṃ viśeṣāṇāṃ svayaṃ nirmitānāṃ ca rūpatvam	rudra-kzetrajQa-Adi-padArTa-rUpANAm viSezANAm svayam nirmitAnAm ca rUpa-tvam
   varṇavaicitryaṃ sphaṭikamaṇivatsvātmābhedena dhārayaṃstato 'pi	varNa-vEcitryam sPawika-maNi-vatsvAtma-aBedena DArayan=-tatas api
   samuttīrṇatvādahamityevamakhaṇḍacamatkāropabṛṃhitaṃ nānārūpamapyekaṃ	samuttIrNa-tvAt-aham-iti-evam-aKaNxa-camatkAra-upabRMhitam nAnA-rUpam-api-ekam
   svātmānaṃ pratyavamṛśati / itthamapyasyaikatākhaṇḍanāmayo bhinnarūpo deśaḥ	sva-AtmAnam pratyavamRSati / itTam-api-asya-eka-tA-KaNxanAmayaH Binna-rUpaH deSaH
   kālo vā na kaścidvidyate yadapekṣayaitasya svātmamaheśvarasya	kAlaH vA na kaScid-vidyate yat-apekzayA-etasya sva-Atma-maheSvarasya
   viruddhadharmādhyāsādidūṣaṇamucyetāpi / sākṣātkāralakṣaṇaṃ citrajñānaṃ	virudDa-Darma-aDyAsa-Adi-dUzaNa-mucyeta-api / sAkzAtkAra-lakzaNam citra-jQAnam
   nānābhedasaṃbhinnamapi parairapyekameva tadabhyupagatam / yathā	nAnA-Beda-saMBinnam-api parEH-api-ekam-eva tad-aByupagatam / yaTA
   nīlādiścitravijñāne jñānopādhirananyabhāk /	nIla-AdiH-citra-vijQAne jQAna-upADiH-ananya-BAj /
   aśakyadarśanastaṃ hi patatyarthe vivecayan //	aSakya-darSanaH-tam hi patati-arTe vivecayan //
   iti pramāṇavārtike / kiṃ punaḥ sarvataḥ pūrṇasya jñātuścidekavapuṣaḥ	iti pramANa-vArtike / kim punar sarvatas pUrNasya jQAtuH-cid-eka-vapuzaH
   svatantrasya yāvimau deśakālau bhedakatayābhimatau	svatantrasya yO=-imO deSa-kAlO Bedaka-tayA-aBimatO
   mūrtivaicitryakriyāvaicitryābhyāṃ yasya samullāsakatayā sthitau kathaṃ	mUrti-vEcitrya-kriyA-vEcitryAByAm yasya samullAsaka-tayA sTitO kaTam
   tasyaiva bhagavato vyavacchedakau syātām / yadi nāma deśakālayoḥ	tasya-eva BagavataH vyavacCedakO syAtAm / yadi nAma deSa-kAlayoH
   kadācitsaṃvido bhedena sthitirabhaviṣyattadā tatkṛto 'pi	kadAcid-saMvidaH Bedena sTitiH-aBavizyat-tadA tad-kRtaH api
   viruddhadharmādhyāsa udapatsyateti tatra saṃbhāvanā syāt / yāvatā tayoḥ	virudDa-Darma-aDyAse udapatsyata-iti tatra saMBAvanA syAt / yAvatA tayoH
   saṃvitprakāśenaiva svātmasattāsiddhiriti siddha evānekasvabhāvo 'pyeka eva	saMvid-prakASena-eva sva-Atma-sattA-sidDiH-iti sidDaH eva-aneka-svaBAvaH api-ekaH eva
   maheśvaraścinmūrtirbhedadharme punarviruddhadharmādhyāso duruddhara eveti	maheSvaraScit-mUrtiH-Beda-Darme punar-virudDa-Darma-aDyAsaH durudDaraH eva-iti
   nanveka eva saṃvitsatattvaḥ pramātābhyupagatastanukaraṇabhuvanatāṃ	nanu-ekaH eva saMvid-sa-tattvaH pramAta-aByupagataH-tanu-karaNa-Buvana-tAm
   samāpannaḥ sansa evānekatāṃ yāta iti cettarhi tanvādivināśe sa eva	samApannaH san-saH eva-aneka-tAm yAtaH iti ced-tarhi tanu-Adi-vinASe saH eva
   vinaṣṭaḥ syāttadutpattau vaiṣa eva tadotpadyeta / evaṃ pratipramātṛ sa eva	vinazwaH syAt-tad-utpattO vA-ezaH eva tadA-utpadyeta / evam pratipramAtR saH eva
   jāyate 'stītyādiṣaḍbhāvavikāratayā vyavacchidyate	jAyate asti-iti-Adi-zaz-BAva-vikAra-tayA vyavacCidyate
   puṇyapāpasvabhāvakarmavaicitryeṇaitasyaiva bhagavataḥ svarganarakādibhogaḥ	puNya-pApa-svaBAva-karma-vEcitryeNa-etasya-eva BagavataH svarga-naraka-Adi-BogaH
   prāpta iti kathamucyate svasvarūpa eva śiva iti / dṛṣṭāntadvāreṇaitadapi	prAptaH iti kaTam-ucyate sva-svarUpaH eva SivaH iti / dRzwAnta-dvAreNa-etat-api
   samarthayate	samarTayate
   gacchati gacchati jala iva himakarabimbaṃ sthite sthitiṃ yāti /	gacCati gacCati jalaH iva himakara-bimbam sTite sTitim yAti /
   tanukaraṇabhuvanavarge tathāyamātmā maheśānaḥ // 7 //	tanu-karaNa-Buvana-varge taTA-ayam-AtmA maheSAnaH // 7 //
   yathā jalapravāhe yāti sati himakarabimbam	yaTA jala-pravAhe yAti sati himakara-bimbam
   candravapurvastuvṛttenākāśasthaṃ svayamacalattātmakaṃ	candra-vapuH-vastu-vRttena-AkASa-sTam svayam-acalattA-Atmakam
   jalapravāhāntaḥpatitamapi tat gacchati prayāti iva tathā tasminneva kṣaṇe	jala-pravAha-antaHpatitam-api tat gacCati prayAti iva taTA tasmin=-eva kzaNe
   'nyatra jalāśaye niḥstimite sati tadeva himakarabimbaṃ sthitim	anyatra jalASaye niHstimite sati tat-eva himakara-bimbam sTitim
   gacchatīvetyubhayathā sarvapramātṛbhiretatsaṃbhāvyate na punaḥ	gacCati-iva-iti-uBayaTA sarva-pramAtRBiH-etat-saMBAvyate na punar-
   paramārthena tattathaiva syāt / nāpi jalagatau deśakālau bhedakatayā	parama-arTena tat-taTA-eva syAt / na-api jala-gatO deSa-kAlO Bedaka-tayA
   candramasaḥ svarūpaṃ gaganasthaṃ parāmṛśataḥ kevalaṃ jalameva tādṛśamatha	candramasaH svarUpam gagana-sTam parAmRSataH kevalam jalam-eva tAdRSam-aTa
   ca tatpratibimbitasya candrabimbasya jalagatacalattācalattādiko bhedo	ca tad-pratibimbitasya candra-bimbasya jala-gata-calat-tAcalattA-AdikaH BedaH-
   vyavahriyata ityetāvatā gaṅgājalagatasya kardamapatitasya vā śaśinaḥ	vyavahriyate iti-etAvatA gaFgA-jala-gatasya kardama-patitasya vA SaSinaH
   svasvarūpatāyāṃ na kācitkṣatiḥ / tathaivāyamātmā caitanyasvabhāvaḥ svayaṃ	sva-svarUpa-tAyAm na kAcid-kzatiH / taTA-eva-ayam-AtmA cEtanya-svaBAvaH svayam
   nirmite tanukaraṇabhuvanasamūhe parikṣīṇe sati samutpanne vā prakṣīṇaḥ	nirmite tanu-karaNa-Buvana-samUhe parikzINe sati samutpanne vA prakzINaH
   samutpannaśceti māyāvyāmohitānāṃ vyavahāramātrametajjalagatacandravanna	samutpannaH-ca-iti mAyA-vyAmohitAnAm vyavahAra-mAtram-etat-jala-gata-candra-vat-na
   punaḥ svātmā jāyate mriyate veti / gītāsvevamevoktam	punar sva-AtmA jAyate mriyate vA-iti / gItAsu-evam-eva-uktam
   na jāyate mriyate vā kadacinnāyaṃ bhūtvā bhavitā vā na bhūyaḥ /	na jAyate mriyate vA kadacid-na-ayam BUtvA BavitA vA na BUyas /
   ajo nityaḥ śāśvato 'yaṃ purāṇo na hanyate hanyamāne śarīre //	ajaH nityaH SASvataH ayam purANaH na hanyate hanyamAne SarIre //
   iti / tasmādayamātmā maheśānaḥ svatantraḥ	iti / tasmAt-ayam-AtmA maheSAnaH svatantraH
   sarvasvātmapratyavamarśasvabhāvaḥ sarvapramātṝṇāmanubhavitṛtayā	sarva-sva-Atma-pratyavamarSa-svaBAvaH sarva-pramAtLNAm-anuBavitRtayA
   prathamānastatastattadavasthāvipralope samutpattau vā svasvarūpa eva /	praTamAnaH-tatas-tad-tad-avasTA-vipralope samutpattO vA sva-svarUpaH eva /
   etadeva ca durghaṭakāri maheśānatvaṃ saṃvittattvasya yattathā tathā	etat-eva ca durGawa-kAri maheSAna-tvam saMvid-tattvasya yat-taTA taTA
   paśupramātṛtayā svarganarakādibhogabhoktāpi sarvānubhavitṛtayā	paSu-pramAtR-tayA svarga-naraka-Adi-Boga-BoktA-api sarva-anuBavitRtayA
   saṃvitsvarūpa eva / pratyuta puṇyapāpasvarganarakakṣutpipāsādiko yo 'yaṃ	saMvid-svarUpaH eva / pratyuta puNya-pApa-svarga-naraka-kzuD-pipAsA-AdikaH yaH ayam
   paśubhāvo bandhakatayā niyataḥ sa yadi bhagavatā svātmaprakāśena	paSu-BAvaH banDaka-tayA niyataH sa yadi BagavatA sva-Atma-prakASena
   prakāśitaḥ parāmṛṣṭaśca syāttadā yathoktāṃ svātmani sattāṃ labhate 'nyathā	prakASitaH parAmRzwaH-ca syAt-tadA yaTA-uktAm sva-Atmani sattAm laBate anyaTA
   niḥsvabhāva evaiṣa iti kathaṃ svātmanaḥ tasyaiva maheśasya	niHsvaBAvaH eva-ezaH iti kaTam sva-AtmanaH tasya-eva maheSasya
   svarūpavipralopāyocyate / sarvathā nirmitameva vastu saṃhāryaṃ samutpādyaṃ	sva-rUpa-vipralopAya-ucyate / sarvaTA nirmitam-eva vastu saMhAryam samutpAdyam
   vā dehādirūpaṃ syānna punaḥ nitye bhagavati caitanye samutpattivināśau	vA deha-Adi-rUpam syAt-na punar nitye Bagavati cEtanye samutpatti-vinASO
   kadācidbhavetām / tasmādeka evātmā grāhyagrāhakatayā nānārūpasvabhāvaḥ	kadAcid-BavetAm / tasmAt-ekaH eva-AtmA grAhya-grAhaka-tayA nAnA-rUpa-svaBAvaH
   sanpunarapi sarvānubhavitṛtayā sarvasyaikatayā prathata iti na	san-punar-api sarva-anuBavitRtayA sarvasya-ekatayA praTate iti na
   kācidadvayavādakṣatiḥ // 7 //	kAcid-advaya-vAda-kzatiH // 7 //
   itthamapi sarveṣāmayamātmā viśvaprapañcasvabhāva eva	itTam-api sarvezAm-ayam-AtmA viSva-prapaQca-svaBAvaH eva
   saṃvinmātraparamārthaḥ sarvāvabhāsaḥ sarvatra saṃvidanugamāditi	saMvid-mAtra-parama-arTaH sarva-avaBAsaH sarvatra saMvid-anugamAt-iti
   yuktyāgamābhyāṃ pratipāditaścetkimiti loṣṭādāvapyaviśeṣātsvātmatayā sa na	yukti-AgamAByAm pratipAditaH-ced-kim-iti lozwa-AdO=-api-aviSezAt-sva-Atma-tayA sa na
   pratīyate 'bhyupagame vā jaḍājaḍavyavastheyaṃ bhāsamānā na saṃgacchate	pratIyate aByupagame vA jaxa-ajaxa-vyavasTA-iyam BAsamAnA na saMgacCate
   lokavyavahāraśca jaḍājaḍarūpa iti kathametatsyādityāha	loka-vyavahAraH-ca jaxa-ajaxa-rUpaH iti kaTam-etat-syAt-iti-Aha
   rāhuradṛśyo 'pi yathā śaśibimbasthaḥ prakāśate tadvat /	rAhuH-adRSyaH api yaTA SaSi-bimba-sTaH prakASate tadvat /
   sarvagato 'pyayamātmā viṣayāśrayaṇena dhīmukure // 8 //	sarva-gataH api-ayam-AtmA vizaya-ASrayaNena DImukure // 8 //
   ākāśadeśe rāhuḥ sarvatra paribhramannapi nopalabhyate sa eva	AkASa-deSe rAhuH sarvatra pariBraman=-api na-upalaByate saH eva
   punargrahoparāgakāle candramūrtisthaḥ prathamāno 'yaṃ rāhuriti parīkṣyate	punar-graha-uparAga-kAle candra-mUrti-sTaH praTamAnaH ayam rAhuH-iti parIkzyate
   'nyathā sthito 'pi bhacakre 'sthita iva / tathaivehāpi sarvāntaratamatvena	anyaTA sTitaH api Bacakre asTitaH iva / taTA-eva-iha-api sarva-antaratama-tvena
   sthito 'pi ayamātmā svānubhavaikasvarūpatayā pratyakṣaparidṛśyamānaḥ	sTitaH api ayam-AtmA sva-anuBava-eka-svarUpa-tayA pratyakza-paridRSyamAnaH
   sarvasya tathā nopalakṣyate / yadā punaḥ puryaṣṭakapramātṝṇāṃ	sarvasya taTA na-upalakzyate / yadA punar puryazwaka-pramAtLNAm
   buddhidarpaṇe pratibhāmukure grāhyavyavasthākāle śabdādiviṣayasvīkāreṇa	budDi-darpaNe pratiBA-mukure grAhya-vyavasTA-kAle Sabda-Adi-vizaya-svIkAreNa
   śṛṇomītyevamahaṃpratītiviṣayo bhavati tadā grāhakasvabhāvatayā loṣṭādāvapi	SRNomi-iti-evam-ahaMpratIti-vizayaH Bavati tadA grAhaka-svaBAva-tayA lozwa-AdO=-api
   sthitaḥ sansphuṭarūpastatraiva svātmā prakāśate sarvaiśca	sTitaH san-sPuwa-rUpaH-tatra-eva sva-AtmA prakASate sarvEH-ca
   svānubhavaikarūpaḥ pratīyate loṣṭādāvatyantatamomayatvātsthito	sva-anuBava-eka-rUpaH pratIyate lozwa-AdO=-atyanta-tamaH-maya-tvAt-sTitaH-
   'pyasthitakalpo 'sau prathate rāhurākāśe yathā / evamayaṃ	api-asTita-kalpaH asO praTate rAhuH-AkASe yaTA / evam-ayam
   bhagavānmāyāśaktyā svātmakalpe 'pi bhāvavarge	BagavAn-mAyA-SaktyA sva-Atma-kalpe api BAva-varge
   kāṃścitpuryaṣṭakasvarūpānvedyakhaṇḍānapyahantāvyavasthārasābhiṣiktānvedakīkaroti	kAMScid-puryazwaka-svarUpAn-vedya-KaNxAn-api-ahanta-avyavasTA-rasA-aBiziktAn-vedakIkaroti
   kāṃścidvedyīkaroti yadapekṣayāyaṃ jaḍājaḍavyavasthāsvarūpo bhedavyavahāraḥ	kAMScid-vedyIkaroti yat-apekzayA-ayam jaxa-ajaxa-vyavasTA-svarUpaH Beda-vyavahAraH
   susthita evopapadyate / tena loṣṭādirvedyatvājjaḍo	susTitaH eva-upapadyate / tena lozwa-AdiH-vedya-tvAt-jaxaH-
   vedakatvātpuryaṣṭakapramātāpyajaḍaḥ / na punaḥ paramārthena	vedaka-tvAt-puryazwaka-pramAtA-api-ajaxaH / na punar parama-arTena
   parameśvarāpekṣayā jaḍājaḍavyavahāra iti // 8 //	parameSvara-apekzayA jaxa-ajaxa-vyavahAraH iti // 8 //
   nanu sarvapramātṝṇāṃ buddhau cetsvātmano 'pyaviśeṣeṇa prasphuraṇaṃ tarhi	nanu sarva-pramAtLNAm budDO ced-sva-AtmanaH api-aviSezeNa prasPuraNam tarhi
   te sarve kimiti svātmavido na syustajjñānavanto mā vā bhūvanviśeṣābhāvāt /	te sarve kim-iti sva-Atma-vidaH na syuH-tad-jQAnavantaH mA vA BUvan-viSeza-aBAvAt /
   yatpunaḥ saṃsārāvasthāyāmapi kecana svātmajñānājjīvanmuktāḥ	yat-punar saMsAra-avasTAyAm-api kecana sva-Atma-jQAnAt-jIvanmuktAH
   sarvajñatvasarvakartṛtvaśālinaḥ kecana svātmajñānayogyā ārurukṣavaśca	sarvajQa-tva-sarva-kartR-tva-SAlinaH kecana sva-Atma-jQAna-yogyAH ArurukzavaH-ca
   dṛśyante 'pare svātmajñānarahitāḥ santo	dRSyante apare sva-Atma-jQAna-rahitAH santaH-
   dharmādharmanimittaśubhāśubhakarmanigaḍaprabandhabaddhāḥ saṃsāriṇa eveti	Darma-aDarma-nimitta-SuBa-aSuBa-karma-nigaxa-prabanDa-badDAH saMsAriNaH eva-iti
   kathametatsaṃgacchata itthamantaḥ sarvaṃ kṛtvā pārameśvaraḥ śaktipāto	kaTam-etat-saMgacCate itTam-antar sarvam kRtvA pArameSvaraH SaktipAtaH-
   viśṛṅkhala iti pratipādayati	viSRFKalaH iti pratipAdayati
   ādarśe malarahite yadvadvadanaṃ vibhāti tadvadayam /	AdarSe mala-rahite yadvat-vadanam viBAti tadvat-ayam /
   śivaśaktipātavimale dhītattve bhāti bhārūpaḥ // 9 //	Siva-SaktipAta-vimale DI-tattve BAti BA-rUpaH // 9 //
   darpaṇe mālinyarahite yathā nirviśeṣarūpādiguṇagaṇayuktaṃ mukhaṃ cakāsti /	darpaNe mAlinya-rahite yaTA nirviSeza-rUpa-Adi-guNa-gaNa-yuktam muKam cakAsti /
   na sa deśo 'sti yaṃ vinivṛttamala ādarśo na svīkurute / samale darpaṇe tu	na sa deSaH asti yam vinivRtta-malaH AdarSaH na svIkurute / sa-male darpaNe tu
   mukhamananyātiśayamapi dhyāmalatvādvaiparītyena prakāśate / nāpi	muKam-ananyA-atiSayam-api DyAmala-tvAt-vEparItyena prakASate / na-api
   malinastadīyānguṇānsvīkartumalam / pratyuta tannyastamukhaḥ	malinaH-tadIyAn-guNAn-svIkartum-alam / pratyuta tad-nyasta-muKaH
   pumānmukhamanyathaiva dhyāmalatvādyupetamavalokya svātmano lajjāmāvahati	pumAn-muKam-anyaTA-eva DyAmala-tva-Adi-upetam-avalokya sva-AtmanaH lajjAm-Avahati
   vikṛtaṃ madvadanamiti / tathaiva śivasya svātmano yāsāvanugrahākhyā śaktiḥ	vikRtam mad-vadanam-iti / taTA-eva Sivasya sva-AtmanaH yA-asO=-anugraha-AKyA SaktiH
   tasyāḥ pātaḥ svakiraṇavisphārastena saṃmārjite pratibhāmukura	tasyAH pAtaH sva-kiraNa-visPAraH-tena saMmArjite pratiBA-mukura
   āṇavamāyīyakārmamalavāsanāprakṣayādviśadīkṛte keṣāñcidapaścimajanmanāṃ	ANava-mAyIya-kArma-mala-vAsanA-prakzayAt-viSadIkRte kezAQcid-apaScima-janmanAm
   pramātṝṇām bhāḥ prakāśaḥ rūpam yasyeti saḥ bhārūpaḥ svātmā	pramAtLNAm BAs prakASaH rUpam yasya-iti saH BA-rUpaH sva-AtmA
   yāvatsarvajñatvādiguṇagaṇayuktastāvānapyavabhāsate yena kecanaiva te	yAvat-sarvajQa-tva-Adi-guNa-gaNa-yuktaH-tAvAn-api-avaBAsate yena kecana-eva te
   svātmasvarūpaprathanātsaṃsāramadhyapatitā api muktakalpāḥ sātiśayāśca /	sva-Atma-svarUpa-praTanAt-saMsAra-maDya-patitAH api mukta-kalpAH sa-atiSayAH-ca /
   keṣāñcideva parameśvaratirodhānaśaktyāṇavamāyīyakārmamalasamācchādite	kezAQcid-eva parameSvara-tiroDAna-SaktyA-aNava-mAyIya-kArma-mala-samAcCAdite
   buddhitattve bhārūpo 'pyātmā mālinyādbhāto 'pyabhātakalpo yena te	budDi-tattve BArUpaH api-AtmA mAlinyAt-BAtaH api-aBAta-kalpaH yena te
   sāṃsārikāḥ paśava ityabhidhīyante 'nye 'pyubhayaśaktiyogātpramātāra	sAMsArikAH paSavaH iti-aBiDIyante anye api-uBaya-Sakti-yogAt-pramAtAra
   ārurukṣava iti / itthaṃ tīvramandamandatarādibhedena śaktipātavaicitryaṃ	ArurukzavaH iti / itTam tIvra-manda-mandatara-Adi-Bedena SaktipAta-vEcitryam
   sarvatrāpyūhyam / atra na māyāntaḥpātiniyatiśaktisamutthamaśvamedhādikaṃ	sarvatra-api-Uhyam / atra na mAyA-antar-pAti-niyati-Sakti-samutTam-aSvameDa-Adikam
   japadhyānādi vānyadyatkiñcitkarma mocanaheturātmanastasya hi māyātaḥ	japa-DyAna-Adi vAnyat-yat-kiQcitkarma mocana-hetuH-AtmanaH-tasya hi mA-AyAtaH
   samuttīrṇatvādbhedapradhānaṃ vastu tatsādhanāya na prakalpate / yadgītam	samuttIrNa-tvAt-Beda-praDAnam vastu tad-sADanAya na prakalpate / yat-gItam
   nāhaṃ vedairna tapasā na dānena na cejyayā /	na-aham vedEH-na tapasA na dAnena na ca-ijyayA /
   iti / tasmādekamevātra parameśvarānugrahaḥ kāraṇamakṛtrimaṃ	iti / tasmAt-ekam-eva-atra parameSvara-anugrahaH kAraNam-akRtrimam
   bhavyabuddhīnām / yaduktam	Bavya-budDInAm / yat-uktam
   īśituḥ śaktipātāṃśe khyāpayitrī svatantratām /	ISituH SaktipAta-aMSe KyApayitrI svatantra-tAm /
   dhīḥ kāraṇakalāghrātā naiva kiñcidapekṣate //	DIH kAraNa-kalA-AGrAtA na-eva kiQcid-apekzate //
   iti / paśupramātṝṇāṃ tu parameśvaratirodhānaśaktiḥ saṃsaraṇahetureva	iti / paSu-pramAtLNAm tu parameSvara-tiroDAna-SaktiH saMsaraNa-hetuH-eva
   yenaite svasvarūpāprathanācchubhāśubhakarmaniratāḥ	yena-ete sva-svarUpa-apraTanAt-SuBa-aSuBa-karma-niratAH
   sukhaduḥkhādibhogabhājaḥ punaḥ punarasminsaṃsaranti / tasmātpramātṝṇāṃ	suKa-duHKa-Adi-Boga-BAjaH punar punar-asmin-saMsaranti / tasmAt-pramAtLNAm
   sādhāraṇe 'pi svātmani prakāśāprakāśarūpe anugrahatirodhānaśaktī dve eva	sADAraNe api sva-Atmani prakASa-aprakASa-rUpe anugraha-tiroDAna-SaktI dve eva
   te mokṣabandhapravibhāgahetū / yaduktam	te mokza-banDa-praviBAga-hetU / yat-uktam
   badhnāti kācidapi śaktiranantaśakteḥ kṣetrajñamapratihatā bhavapāśajālaiḥ	baDnAti kAcid-api SaktiH-ananta-SakteH kzetrajQam-apratihatAH Bava-pASa-jAlEH
   jñānāsinā ca vinikṛtya guṇānaśeṣānanyā karotyabhimukhaṃ puruṣaṃ vimuktau	jQAna-asinA ca vinikRtya guNAn-aSezAn-anyA karoti-aBimuKam puruzam vimuktO
   iti // 9 //	iti // 9 //
   evamidaṃ sarvamāgamānubhavayuktiyuktaṃ pratipādya	evam-idam sarvam-Agama-anuBava-yukti-yuktam pratipAdya
   yatprākśaktyādyaṇḍacatuṣṭayaṃ pratipāditaṃ tadantarālavarti	yad-prAk-Sakti-Adi-aNxa-catuzwayam pratipAditam tad-antarAla-varti
   samutpattikrameṇa ṣaṭtriṃśattattvātmakaṃ jagadyallagnaṃ bhāti	samutpatti-krameNa zawtriMSat-tattva-Atmakam jagat-yat-lagnam BAti
   tatprathamataḥ kāraṇakāraṇaṃ paramaśivasvarūpaṃ kārikādvayenāha	tat-praTamatas kAraNa-kAraNam parama-Siva-svarUpam kArikA-dvayena-Aha
   bhārūpaṃ paripūrṇaṃ svātmani viśrāntito mahānandam /	BA-rUpam paripUrNam sva-Atmani viSrAntitaH mahA-Anandam /
   icchāsaṃvitkaraṇairnirbharitamanantaśaktiparipūrṇam // 10 //	icCA-saMvid-karaNEH-nirBaritam-ananta-Sakti-paripUrNam // 10 //
   sarvavikalpavihīnaṃ śuddhaṃ śāntaṃ layodayavihīnam /	sarva-vikalpa-vihInam SudDam SAntam laya-udaya-vihInam /
   yatparatattvaṃ tasminvibhāti ṣaṭtriṃśadātma jagat // 11 //	yat-para-tattvam tasmin-viBAti zawtriMSat-Atma jagat // 11 //
