   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   BhP_05.02.010/3 labdhā kadamba-rucir aṅka-viṭaṅka-bimbe	Bha-a_05.02.010/3 labDA kadamba-ruciH aFka-viwaFka--bimbe
   BhP_05.02.010/4 yasyām alāta-paridhiḥ kva ca valkalaṃ te	Bhu-_05.02.010/4 yasyAm alAta--pariDiH kva ca valkalam te
   BhP_05.02.011/1 kiṃ sambhṛtaṃ rucirayor dvija śṛṅgayos te	Bhu-_05.02.011/1 kim samBRtam rucirayoH dvija SRFgayoH te
   BhP_05.02.011/2 madhye kṛśo vahasi yatra dṛśiḥ śritā me	Bhu-_05.02.011/2 maDye kRSaH vahasi yatra dRSiH SritA me
   BhP_05.02.011/3 paṅko 'ruṇaḥ surabhir ātma-viṣāṇa īdṛg	Bhu-_05.02.011/3 paFkaH aruNaH suraBiH Atma--vizANaH IdRS-
   BhP_05.02.011/4 yenāśramaṃ subhaga me surabhī-karoṣi	Bhu-_05.02.011/4 yena-ASramam suBaga me suraBI--karozi
   BhP_05.02.012/1 lokaṃ pradarśaya suhṛttama tāvakaṃ me	Bhu-_05.02.012/1 lokam pradarSaya suhRttama tAvakam me
   BhP_05.02.012/2 yatratya ittham urasāvayavāv apūrvau	Bhu-_05.02.012/2 yatratyaH itTam urasA-avayavO apUrvO
   BhP_05.02.012/3 asmad-vidhasya mana-unnayanau bibharti	Bhu-_05.02.012/3 asmad-viDasya mana--unnayanO biBarti
   BhP_05.02.012/4 bahv adbhutaṃ sarasa-rāsa-sudhādi vaktre	Bhu-_05.02.012/4 bahu adButam sarasa--rAsa--suDA-Adi vaktre
   BhP_05.02.013/1 kā vātma-vṛttir adanād dhavir aṅga vāti	BhP_05.02.013/1 kA vA-Atma-vRttiH adanAt DaviH aFga vAti
   BhP_05.02.013/2 viṣṇoḥ kalāsy animiṣonmakarau ca karṇau	Bhu-_05.02.013/2 vizNoH kalA-asi animiza-unmakarO ca karNO
   BhP_05.02.013/3 udvigna-mīna-yugalaṃ dvija-paṅkti-śocir	Bhu-_05.02.013/3 udvigna---mIna--yugalam dvija--paFkti--SociH-
   BhP_05.02.013/4 āsanna-bhṛṅga-nikaraṃ sara in mukhaṃ te	Bhu-_05.02.013/4 Asanna--BRFga-nikaram saraH id muKam te
   BhP_05.02.014/1 yo 'sau tvayā kara-saroja-hataḥ pataṅgo	Bhu-_05.02.014/1 yaH asO tvayA kara-saroja--hataH pataFgaH-
   BhP_05.02.014/2 dikṣu bhraman bhramata ejayate 'kṣiṇī me	Bhu-_05.02.014/2 dikzu Braman BramataH ejayate akziNI me
   BhP_05.02.014/3 muktaṃ na te smarasi vakra-jaṭā-varūthaṃ	Bhu-_05.02.014/3 muktam na te smarasi vakra--jawA--varUTam
   BhP_05.02.014/4 kaṣṭo 'nilo harati lampaṭa eṣa nīvīm	Bhu-_05.02.014/4 kazwaH anilaH harati lampawaH eza nIvIm
   BhP_05.02.015/1 rūpaṃ tapodhana tapaś caratāṃ tapoghnaṃ	Bhu-_05.02.015/1 rUpam tapoDana tapaH caratAm tapaH-Gnam
   BhP_05.02.015/2 hy etat tu kena tapasā bhavatopalabdham	Bhu-_05.02.015/2 hi etat tu kena tapasA BavatA-upalabDam
   BhP_05.02.015/3 cartuṃ tapo 'rhasi mayā saha mitra mahyaṃ	Bhu-_05.02.015/3 cartum tapaH arhasi mayA saha mitra mahyam
   BhP_05.02.015/4 kiṃ vā prasīdati sa vai bhava-bhāvano me	Bhu-_05.02.015/4 kim vA prasIdati sa vE Bava--BAvanaH me
   BhP_05.02.016/1 na tvāṃ tyajāmi dayitaṃ dvija-deva-dattaṃ	Bhu-_05.02.016/1 na tvAm tyajAmi dayitam dvija--deva--dattam
   BhP_05.02.016/2 yasmin mano dṛg api no na viyāti lagnam	Bhu-_05.02.016/2 yasmin manaH dRS api naH na viyAti lagnam
   BhP_05.02.016/3 māṃ cāru-śṛṅgy arhasi netum anuvrataṃ te	Bhu-_05.02.016/3 mAm cAru--SRFgI arhasi netum anuvratam te
   BhP_05.02.016/4 cittaṃ yataḥ pratisarantu śivāḥ sacivyaḥ	Bhu-_05.02.016/4 cittam yatas pratisarantu SivAH sacivyaH
   BhP_05.02.017/0 śrī-śuka uvāca	BhP_05.02.017/0 SrI-SukaH uvAca
   BhP_05.02.017/1 iti lalanānunayāti-viśārado grāmya-vaidagdhyayā	Bhu-_05.02.017/1 iti lalanA-anunayAti-viSAradaH grAmya--vEdagDyayA
   paribhāṣayā tāṃ vibudha-vadhūṃ vibudha-matir adhisabhājayām āsa	pariBAzayA tAm vibuDa--vaDUm vibuDa-matiH aDisaBA-jayAm Asa
   BhP_05.02.018/1 sā ca tatas tasya vīra-yūtha-pater	BhP_05.02.018/1 sA ca tatas tasya vIra-yUTa--pateH-
   buddhi-śīla-rūpa-vayaḥ-śriyaudāryeṇa parākṣipta-manās tena	budDi--SIla-rUpa--vayaH--SriyA-OdAryeNa parAkzipta-manAH tena
   sahāyutāyuta-parivatsaropalakṣaṇaṃ kālaṃ jambūdvīpa-patinā	saha-ayuta-ayuta--parivatsara-upalakzaNam kAlam jambUdvIpa-patinA
   bhauma-svarga-bhogān bubhuje	BOma-svarga--BogAn buBuje
   BhP_05.02.019/1 tasyām u ha vā ātmajān sa rāja-vara āgnīdhro	Bhu-_05.02.019/1 tasyAm u ha vA AtmajAn sa rAja-varaH AgnIDro
   nābhi-kimpuruṣa-harivarṣelāvṛta-ramyaka-hiraṇmaya-kuru-bhadrāśva-ketumāla-saṃjñān	nABi-kimpuruza--hari-varzA-ilA-vRta--ramya-ka-hiraNmaya--kuru-Badra-aSva--ketumAla--saMjQAn
   nava putrān ajanayat	nava putrAn ajanayat-
   BhP_05.02.020/1 sā sūtvātha sutān navānuvatsaraṃ gṛha evāpahāya	Bhu-_05.02.020/1 sA sUtvA-aTa sutAn nava-anuvatsaram gRhaH eva-apahAya
   pūrvacittir bhūya evājaṃ devam upatasthe	pUrvacittiH BUyas eva-Ajam devam upatasTe
   BhP_05.02.021/1 āgnīdhra-sutās te mātur anugrahād autpattikenaiva	Bhu-_05.02.021/1 AgnIDra--sutAH te mAtuH anugrahAt Otpattikena-eva
   saṃhanana-balopetāḥ pitrā vibhaktā ātma-tulya-nāmāni yathā-bhāgaṃ	saMhanana--bala-upetAH pitrA viBaktA Atma--tulya--nAmAni yaTA-BAgam
   jambūdvīpa-varṣāṇi bubhujuḥ	jambUdvIpa--varzANi buBujuH
   BhP_05.02.022/1 āgnīdhro rājātṛptaḥ kāmānām apsarasam evānudinam	Bhu-_05.02.022/1 AgnIDraH rAja-atRptaH kAmAnAm apsarasam eva-anudinam
   adhi-manyamānas tasyāḥ salokatāṃ śrutibhir avārundha yatra pitaro	aDi-manyamAnaH tasyAH salokatAm SrutiBiH avArunDa yatra pitaraH-
   mādayante	mAdayante
   BhP_05.02.023/1 samparete pitari nava bhrātaro meru-duhit-r merudevīṃ	Bhu-_05.02.023/1 samparete pitari nava BrAtaraH meru--duhit-H merudevIm
   pratirūpām ugradaṃṣṭrīṃ latāṃ ramyāṃ śyāmāṃ nārīṃ bhadrāṃ devavītim iti	pratirUpAm ugra-daMzwrIm latAm ramyAm SyAmAm nArIm BadrAm devavItim iti
   saṃjñā navodavahan	saMjQA nava-udavahan
   BhP_05.03.001/0 śrī-śuka uvāca	BhP_05.03.001/0 SrI-SukaH uvAca
   BhP_05.03.001/1 nābhir apatya-kāmo 'prajayā merudevyā bhagavantaṃ	Bhu-_05.03.001/1 nABiH apatya-kAmaH aprajayA merudevyAH Bagavantam
   yajña-puruṣam avahitātmāyajata	yajQa-puruzam avahita-AtmA-ayajata
   BhP_05.03.002/1 tasya ha vāva śraddhayā viśuddha-bhāvena yajataḥ	Bhu-_05.03.002/1 tasya ha vAva SradDayA viSudDa-BAvena yajataH
   pravargyeṣu pracaratsu	pravargyezu pracaratsu
   dravya-deśa-kāla-mantrartvig-dakṣiṇā-vidhāna-yogopapattyā duradhigamo 'pi	dravya-deSa--kAla-mantra-Rtvig--dakziNA--viDAna--yoga-upapattyA duraDigamaH api
   bhagavān bhāgavata-vātsalyatayā supratīka ātmānam aparājitaṃ	BagavAn BAgavata--vAtsalyatayA supratIkaH AtmAnam aparAjitam
   nija-janābhipretārtha-vidhitsayā gṛhīta-hṛdayo hṛdayaṅgamaṃ	nija-jana-aBipreta-arTa--viDitsayA gRhIta--hRdayaH hRdayaFgamam
   mano-nayanānandanāvayavābhirāmam āviścakāra	manaH--nayana-Anandana-avayava-aBirAmam AviScakAra
   BhP_05.03.003/1 atha ha tam āviṣkṛta-bhuja-yugala-dvayaṃ hiraṇmayaṃ	Bhu-_05.03.003/1 aTa ha tam AvizkRta---Buja--yugala--dvayam hiraNmayam
   puruṣa-viśeṣaṃ kapiśa-kauśeyāmbara-dharam urasi vilasac-chrīvatsa-lalāmaṃ	puruza--viSezam kapi-Sa--kOSeya-ambara--Daram urasi vilasac-SrIvat-sa-lalAmam
   daravara-vanaruha-vana-mālācchūry-amṛta-maṇi-gadādibhir upalakṣitaṃ	dara-vara--vanaruha--vana--mAlAt-SUry-amRta-maNi--gada-AdiBiH upalakzitam
   sphuṭa-kiraṇa-pravara-mukuṭa-kuṇḍala-kaṭaka-kaṭi-sūtra-hāra-keyūra-nūpurādy-aṅga-bhūṣaṇa-vibhūṣitam	sPuwa--kiraNa--pravara--mukuwa--kuNxala-kawa-ka-kawi-sUtra--hAra--keyUra-nUpura-Adi--aFga-BUzaNa--viBUzitam
   ṛtvik-sadasya-gṛha-patayo 'dhanā ivottama-dhanam upalabhya sabahu-mānam	Rtvik--sadasya-gRha-patayaH aDanAH iva-uttama-Danam upalaBya sa-bahu--mAnam
   arhaṇenāvanata-śīrṣāṇa upatasthuḥ	arhaNena-avanata--SIrzANaH upatasTuH
   BhP_05.03.004/0 ṛtvija ūcuḥ	Bhu-_05.03.004/0 RtvijaH UcuH
   BhP_05.03.004/1 arhasi muhur arhattamārhaṇam asmākam anupathānāṃ namo nama	Bhu-_05.03.004/1 arhasi muhur arhattama-arhaNam asmAkam anupaTAnAm namaH nama
   ity etāvat sad-upaśikṣitaṃ ko 'rhati pumān prakṛti-guṇa-vyatikara-matir	iti etAvat sad-upaSikzitam kaH arhati pumAn prakRti-guNa--vyatikara-matiH-
   anīśa īśvarasya parasya prakṛti-puruṣayor arvāktanābhir nāma-rūpākṛtibhī	anISaH ISvarasya parasya prakRti-puruzayoH arvAktanABiH nAma--rUpa-AkRtiBI
   rūpa-nirūpaṇam	rUpa--nirUpaNam
   sakala-jana-nikāya-vṛjina-nirasana-śivatama-pravara-guṇa-gaṇaika-deśa-kathanād	sakala--jana--nikAya-vRjina--nirasana--Sivatama--pravara--guNa--gaNa-eka-deSa--kaTanAt-
   ṛte	Rte
   BhP_05.03.005/1	Bhu-_05.03.005/1
   parijanānurāga-viracita-śabala-saṃśabda-salila-sita-kisalaya-tulasikā-dūrvāṅkurair	parijana-anurAga--viracita-Sabala--saMSabda---salila-sita-kisalaya--tulasikA-dUrva-aFkurEH-
   api sambhṛtayā saparyayā kila parama parituṣyasi	api samBRtayA sa-paryayA kila parama parituzyasi
   BhP_05.03.006/1 athānayāpi na bhavata ijyayoru-bhāra-bharayā samucitam	Bhu-_05.03.006/1 aTa-anayA-api na BavataH ijyayA-Uru-BAra--BarayA samucitam
   artham ihopalabhāmahe	arTam iha-upalaBAmahe
   BhP_05.03.007/1 ātmana evānusavanam añjasāvyatirekeṇa	Bhu-_05.03.007/1 AtmanaH eva-anusavanam aQjasA-vyatirekeNa
   bobhūyamānāśeṣa-puruṣārtha-svarūpasya kintu nāthāśiṣa āśāsānānām etad	boBUyamAna-aSeza--puruza-arTa--svarUpasya kintu nATa-ASizaH ASAsAnAnAm etat-
   abhisaṃrādhana-mātraṃ bhavitum arhati	aBisaMrADana--mAtram Bavitum arhati
   BhP_05.03.008/1 tad yathā bāliśānāṃ svayam ātmanaḥ śreyaḥ param aviduṣāṃ	Bhu-_05.03.008/1 tat yaTA bAliSAnAm svayam AtmanaH SreyaH param aviduzAm
   parama-parama-puruṣa prakarṣa-karuṇayā sva-mahimānaṃ cāpavargākhyam	parama-parama--puruza prakarza-karuNayA sva--mahimAnam ca-apavarga-AKyam
   upakalpayiṣyan svayaṃ nāpacita evetaravad ihopalakṣitaḥ	upakalpayizyan svayam na-apacitaH eva-itara-vat iha-upalakzitaH
   BhP_05.03.009/1 athāyam eva varo hy arhattama yarhi barhiṣi rājarṣer	Bhu-_05.03.009/1 aTa-ayam eva varaH hi arhattama yarhi barhizi rAjarzeH-
   varadarṣabho bhavān nija-puruṣekṣaṇa-viṣaya āsīt	vara-da-RzaBaH BavAn nija--puruza-IkzaNa--vizayaH AsIt-
   BhP_05.03.010/1 asaṅga-niśita-jñānānala-vidhūtāśeṣa-malānāṃ	Bhu-_05.03.010/1 asaFga--niSita--jQAna-anala--viDUta-aSeza--malAnAm
   bhavat-svabhāvānām ātmārāmāṇāṃ munīnām anavarata-pariguṇita-guṇa-gaṇa	Bavat--svaBAvAnAm Atma-ArAmANAm munInAm anavarata--pariguNita--guNa--gaNa
   parama-maṅgalāyana-guṇa-gaṇa-kathano 'si	parama--maFgalAyana--guNa--gaNa--kaTanaH asi
   BhP_05.03.011/1 atha kathañcit	Bhu-_05.03.011/1 aTa kaTaQcid-
   skhalana-kṣut-patana-jṛmbhaṇa-duravasthānādiṣu vivaśānāṃ naḥ smaraṇāya	sKalana--kzut--patana--jRmBaNa--duravasTAna-Adizu vivaSAnAm naH smaraNAya
   jvara-maraṇa-daśāyām api sakala-kaśmala-nirasanāni tava	jvara-maraNa-daSAyAm api sakala--kaSmala--nirasanAni tava
   guṇa-kṛta-nāmadheyāni vacana-gocarāṇi bhavantu	guNa-kRta-nAmaDeyAni vacana--gocarANi Bavantu
   BhP_05.03.012/1 kiñcāyaṃ rājarṣir apatya-kāmaḥ prajāṃ bhavādṛśīm āśāsāna	Bhu-_05.03.012/1 kiQca-ayam rAjarziH apatya-kAmaH prajAm BavAdRSIm ASAsAna
   īśvaram āśiṣāṃ svargāpavargayor api bhavantam upadhāvati prajāyām	ISvaram ASizAm svarga-apavargayoH api Bavantam upaDAvati prajAyAm
   artha-pratyayo dhanadam ivādhanaḥ phalīkaraṇam	arTa--pratyayaH Danadam iva-aDanaH PalIkaraNam
   BhP_05.03.013/1 ko vā iha te 'parājito 'parājitayā	Bhu-_05.03.013/1 kaH vA iha te aparAjitaH aparAjitayA
   māyayānavasita-padavyānāvṛta-matir viṣaya-viṣa-rayānāvṛta-prakṛtir	mAyayA-anavasita--pada-vyAnOvRta-matiH vizaya--viza-rayAna-AvRta--prakRtiH-
   anupāsita-mahac-caraṇaḥ	anupAsita--mahac-caraNaH
   BhP_05.03.014/1 yad u ha vāva tava punar adabhra-kartar iha samāhūtas	Bhu-_05.03.014/1 yat u ha vAva tava punar adaBra-kartar iha samAhUta-s
   tatrārtha-dhiyāṃ mandānāṃ nas tad yad deva-helanaṃ deva-devārhasi sāmyena	tatra-arTa-DiyAm mandAnAm naH tat yat deva--helanam deva-deva-arhasi sAmyena
   sarvān prativoḍhum aviduṣām	sarvAn prativoXum aviduzAm
   BhP_05.03.015/0 śrī-śuka uvāca	BhP_05.03.015/0 SrI-SukaH uvAca
   BhP_05.03.015/1 iti nigadenābhiṣṭūyamāno bhagavān animiṣarṣabho	BhP_05.03.015/1 iti nigadena-aBizwUyamAnaH BagavAn animiza-RzaBaH-
   varṣa-dharābhivāditābhivandita-caraṇaḥ sadayam idam āha	varza--Dara-aBivAdita-aBivandita--caraNaH sa-dayam idam Aha
   BhP_05.03.016/0 śrī-bhagavān uvāca	Bhu-_05.03.016/0 SrI--BagavAn uvAca
   BhP_05.03.016/1 aho batāham ṛṣayo bhavadbhir avitatha-gīrbhir varam	Bhu-_05.03.016/1 aho bata-aham RzayaH BavadBiH avitaTa--gIrBiH varam
   asulabham abhiyācito yad amuṣyātmajo mayā sadṛśo bhūyād iti mamāham	asulaBam aBiyAcitaH yat amuzya-AtmajaH mayA sadRSaH BUyAt iti mama-aham
   evābhirūpaḥ kaivalyād athāpi brahma-vādo na mṛṣā bhavitum arhati mamaiva	eva-aBirUpaH kEvalyAt aTa-api brahma-vAdaH na mRzA Bavitum arhati mama-eva
   hi mukhaṃ yad dvija-deva-kulam	hi muKam yat dvija--deva--kulam
   BhP_05.03.017/1 tata āgnīdhrīye 'ṃśa-kalayāvatariṣyāmy ātma-tulyam	Bhu-_05.03.017/1 tatas AgnIDrIye aMSa--kalayA-avatarizyAmi Atma--tulyam
   anupalabhamānaḥ	anupalaBamAnaH
   BhP_05.03.018/0 śrī-śuka uvāca	BhP_05.03.018/0 SrI-SukaH uvAca
   BhP_05.03.018/1 iti niśāmayantyā merudevyāḥ patim abhidhāyāntardadhe	Bhu-_05.03.018/1 iti niSAmayantyAH merudevyAH patim aBiDAya-antardaDe
   bhagavān	BagavAn
   BhP_05.04.001/0 śrī-śuka uvāca	BhP_05.04.001/0 SrI-SukaH uvAca
   BhP_05.04.001/1 atha ha tam utpattyaivābhivyajyamāna-bhagaval-lakṣaṇaṃ	Bhu-_05.04.001/1 aTa ha tam utpattyA-eva-aBivyajyamAna--Baga-val--lakzaNam
   sāmyopaśama-vairāgyaiśvarya-mahā-vibhūtibhir anudinam edhamānānubhāvaṃ	sAmya-upaSama-vErAgya-ESvarya--mahA--viBUtiBiH anudinam eDamAna-anuBAvam
   prakṛtayaḥ prajā brāhmaṇā devatāś cāvani-tala-samavanāyātitarāṃ jagṛdhuḥ	prakRtayaH prajAH brAhmaNAH devatAH ca-avani-tala--samavanAya-atitarAm jagRDuH
   BhP_05.04.002/1 tasya ha vā itthaṃ varṣmaṇā varīyasā bṛhac-chlokena	Bhu-_05.04.002/1 tasya ha vE itTam varzmaNA varIyasA bRhac-Slokena
   caujasā balena śriyā yaśasā vīrya-śauryābhyāṃ ca pitā ṛṣabha itīdaṃ nāma	ca-ojasA balena SriyA yaSasA vIrya--SOryAByAm ca pitA RzaBaH iti-idam nAma
   cakāra	cakAra
   BhP_05.04.003/1 yasya hīndraḥ spardhamāno bhagavān varṣe na vavarṣa tad	Bhu-_05.04.003/1 yasya hi-indraH sparDamAnaH BagavAn varze na vavarza tat-
   avadhārya bhagavān ṛṣabhadevo yogeśvaraḥ prahasyātma-yogamāyayā sva-varṣam	avaDArya BagavAn RzaBadevaH yogeSvaraH prahasya-Atma--yoga-mAyayA sva--varzam
   ajanābhaṃ nāmābhyavarṣat	ajana-ABam nAma-aByavarzat
   BhP_05.04.004/1 nābhis tu yathābhilaṣitaṃ suprajastvam	Bhu-_05.04.004/1 nABiH tu yaTA-aBilazitam su-prajaH-tvam
   avarudhyāti-pramoda-bhara-vihvalo gadgadākṣarayā girā svairaṃ	avaruDya-ati-pramoda--Bara--vihvalaH gadgada-akzarayA girA svEram
   gṛhīta-naraloka-sadharmaṃ bhagavantaṃ purāṇa-puruṣaṃ māyā-vilasita-matir	gRhIta-nara-loka--saDarmam Bagavantam purANa-puruzam mAyA--vilasita-matiH-
   vatsa tāteti sānurāgam upalālayan parāṃ nirvṛtim upagataḥ	vatsa tAta-iti sa-anurAgam upalAlayan parAm nirvRtim upagataH
   BhP_05.04.005/1 viditānurāgam āpaura-prakṛti jana-pado rājā nābhir ātmajaṃ	Bhu-_05.04.005/1 vidita-anurAgam ApOra--prakRti jana-padaH rAjA nABiH Atmajam
   samaya-setu-rakṣāyām abhiṣicya brāhmaṇeṣūpanidhāya saha merudevyā	samaya-setu--rakzAyAm aBizicya brAhmaNezu-upaniDAya saha merudevyA
   viśālāyāṃ prasanna-nipuṇena tapasā samādhi-yogena nara-nārāyaṇākhyaṃ	viSAlAyAm prasanna--nipuNena tapasA samADi--yogena nara-nArAyaNa-AKyam
   bhagavantaṃ vāsudevam upāsīnaḥ kālena tan-mahimānam avāpa	Bagavantam vAsudevam upAsInaH kAlena tan--mahimAnam avApa
   BhP_05.04.006/0 yasya ha pāṇḍaveya ślokāv udāharanti----	Bhu-_05.04.006/0 yasya ha pANxaveya SlokO udAharanti----
   BhP_05.04.006/1 ko nu tat karma rājarṣer nābher anv ācaret pumān	Bhu-_05.04.006/1 kaH nu tat karma rAjarzeH nABeH anu Acaret pumAn
   BhP_05.04.006/2 apatyatām agād yasya hariḥ śuddhena karmaṇā	Bhu-_05.04.006/2 apatya-tAm agAt yasya hariH SudDena karmaNA
   BhP_05.04.007/1 brahmaṇyo 'nyaḥ kuto nābher viprā maṅgala-pūjitāḥ	Bhu-_05.04.007/1 brahmaNyaH anyaH kutas nABeH viprAH maFgala--pUjitAH
   BhP_05.04.007/2 yasya barhiṣi yajñeśaṃ darśayām āsur ojasā	Bhu-_05.04.007/2 yasya barhizi yajQeSam darSayAm AsuH ojasA
   BhP_05.04.008/1 atha ha bhagavān ṛṣabhadevaḥ sva-varṣaṃ karma-kṣetram	Bhu-_05.04.008/1 aTa ha BagavAn RzaBadevaH sva--varzam karma--kzetram
   anumanyamānaḥ pradarśita-gurukula-vāso labdha-varair gurubhir anujñāto	anumanyamAnaH pradarSita--guru-kula-vAsaH labDa---varEH guruBiH anujQAtaH-
   gṛhamedhināṃ dharmān anuśikṣamāṇo jayantyām indra-dattāyām ubhaya-lakṣaṇaṃ	gRhameDinAm DarmAn anuSikzamANaH jayantyAm indra-dattAyAm uBaya--lakzaNam
   karma samāmnāyāmnātam abhiyuñjann ātmajānām ātma-samānānāṃ śataṃ janayām	karma samAmnAya-AmnAtam aBiyuQjan AtmajAnAm Atma--samAnAnAm Satam janayAm
   āsa	Asa
   BhP_05.04.009/1 yeṣāṃ khalu mahā-yogī bharato jyeṣṭhaḥ śreṣṭha-guṇa āsīd	Bhu-_05.04.009/1 yezAm Kalu mahA-yogI BarataH jyezWaH SrezWa-guNaH AsIt-
   yenedaṃ varṣaṃ bhāratam iti vyapadiśanti	yena-idam varzam BAratam iti vyapadiSanti
   BhP_05.04.010/1 tam anu kuśāvarta ilāvarto brahmāvarto malayaḥ ketur	Bhu-_05.04.010/1 tam anu kuSAvartaH ilAvartaH brahmAvartaH malayaH ketuH-
   bhadrasena indraspṛg vidarbhaḥ kīkaṭa iti nava navati pradhānāḥ	Badrasena indra-spRS vidarBaH kIkawaH iti nava navati praDAnAH
   BhP_05.04.011/1 kavir havir antarikṣaḥ prabuddhaḥ pippalāyanaḥ	BhP_05.04.011/1 kaviH haviH antarikzaH prabudDaH pippalAyanaH
   BhP_05.04.011/2 āvirhotro 'tha drumilaś camasaḥ karabhājanaḥ	Bhu-_05.04.011/2 AvirhotraH aTa drumilaH camasaH karaBAjanaH
   BhP_05.04.012/1 iti bhāgavata-dharma-darśanā nava mahā-bhāgavatās teṣāṃ	BhP_05.04.012/1 iti BAgavata--Darma--darSanAH nava mahA--BAgavatAH tezAm
   sucaritaṃ bhagavan-mahimopabṛṃhitaṃ vasudeva-nārada-saṃvādam upaśamāyanam	su-caritam Bagavan-mahima-upabRMhitam vasudeva--nArada--saMvAdam upaSamAyanam
   upariṣṭād varṇayiṣyāmaḥ	uparizwAt varNayizyAmaH
   BhP_05.04.013/1 yavīyāṃsa ekāśītir jāyanteyāḥ pitur ādeśakarā mahā-śālīnā	Bhu-_05.04.013/1 yavIyAMsaH ekASItiH jAyanteyAH pituH AdeSa-karA mahA-SAlInA
   mahā-śrotriyā yajña-śīlāḥ karma-viśuddhā brāhmaṇā babhūvuḥ	mahA--SrotriyAH yajQa--SIlAH karma--viSudDAH brAhmaNAH baBUvuH
   BhP_05.04.014/1 bhagavān ṛṣabha-saṃjña ātma-tantraḥ svayaṃ	Bhu-_05.04.014/1 BagavAn RzaBa--saMjQaH Atma-tantraH svayam
   nitya-nivṛttānartha-paramparaḥ kevalānandānubhava īśvara eva viparītavat	nitya--nivRtta-anarTa-paramparaH kevala-Ananda-anuBavaH ISvaraH eva viparIta-vat-
   karmāṇy ārabhamāṇaḥ kālenānugataṃ dharmam ācaraṇenopaśikṣayann atad-vidāṃ	karmANi AraBamANaH kAlena-anugatam Darmam AcaraNena-upaSikzayan atad-vidAn
   sama upaśānto maitraḥ kāruṇiko dharmārtha-yaśaḥ-prajānandāmṛtāvarodhena	samaH upaSAntaH mEtraH kAruNikaH Darma-arTa--yaSaH--prajA-Ananda-amRta-avaroDena
   gṛheṣu lokaṃ niyamayat	gRhezu lokam niyamayat-
   BhP_05.04.015/1 yad yac chīrṣaṇyācaritaṃ tat tad anuvartate lokaḥ	Bhu-_05.04.015/1 yat yat SIrzaNyAcaritam tat tat anuvartate lokaH
   BhP_05.04.016/1 yadyapi sva-viditaṃ sakala-dharmaṃ brāhmaṃ guhyaṃ	Bhu-_05.04.016/1 yadi-api sva--viditam sakala--Darmam brAhmam guhyam
   brāhmaṇair darśita-mārgeṇa sāmādibhir upāyair janatām anuśaśāsa	brAhmaNEH darSita--mArgeNa sAma-AdiBiH upAyEH janatAm anuSaSAsa
   BhP_05.04.017/1 dravya-deśa-kāla-vayaḥ-śraddhartvig-vividhoddeśopacitaiḥ	Bhu-_05.04.017/1 dravya-deSa--kAla--vayaH-SradDaRtvij--viviDa-uddeSa-upacitEH
   sarvair api kratubhir yathopadeśaṃ śata-kṛtva iyāja	sarvEH api kratuBiH yaTopadeSam Sata-kRtvas iyAja
   BhP_05.04.018/1 bhagavatarṣabheṇa parirakṣyamāṇa etasmin varṣe na kaścana	Bhu-_05.04.018/1 BagavatA-RzaBeNa parirakzyamANaH etasmin varze na kaScana
   puruṣo vāñchaty avidyamānam ivātmano 'nyasmāt kathañcana kimapi karhicid	puruzaH vAQCati avidyamAnam iva-AtmanaH anyasmAt kaTaQcana kim-api karhicit-
   avekṣate bhartary anusavanaṃ vijṛmbhita-snehātiśayam antareṇa	avekzate Bartari anusavanam vijRmBita--sneha-atiSayam antareNa
   BhP_05.04.019/1 sa kadācid aṭamāno bhagavān ṛṣabho brahmāvarta-gato	BhP_05.04.019/1 sa kadAcid awamAnaH BagavAn RzaBaH brahmAvarta--gataH-
   brahmarṣi-pravara-sabhāyāṃ prajānāṃ niśāmayantīnām ātmajān avahitātmanaḥ	brahmarzi--pravara--saBAyAm prajAnAm niSAmayantInAm AtmajAn avahita-AtmanaH
   praśraya-praṇaya-bhara-suyantritān apy upaśikṣayann iti hovāca	praSraya--praNaya--Bara--su-yantritAn api upaSikzayan iti ha-uvAca
   BhP_05.05.001/0 ṛṣabha uvāca	BhP_05.05.001/0 RzaBaH uvAca
   BhP_05.05.001/1 nāyaṃ deho deha-bhājāṃ nṛloke kaṣṭān kāmān arhate	Bhu-_05.05.001/1 na-ayam dehaH deha-BAjAm nR-loke kazwAn kAmAn arhate
   viḍ-bhujāṃ ye	vix-BujAm ye
   BhP_05.05.001/2 tapo divyaṃ putrakā yena sattvaṃ śuddhyed yasmād	Bhu-_05.05.001/2 tapaH divyam putrakAH yena sattvam SudDyet yasmAt-
   brahma-saukhyaṃ tv anantam	brahma--sOKyam tu anantam
   BhP_05.05.002/1 mahat-sevāṃ dvāram āhur vimuktes tamo-dvāraṃ yoṣitāṃ	Bhu-_05.05.002/1 mahat--sevAm dvAram AhuH vimukteH tamaH--dvAram yozitAm
   saṅgi-saṅgam	saFgi-saFgam
   BhP_05.05.002/2 mahāntas te sama-cittāḥ praśāntā vimanyavaḥ suhṛdaḥ	Bhu-_05.05.002/2 mahAntaH te sama-cittAH praSAntAH vimanyavaH suhRdaH
   sādhavo ye	sADavaH ye
   BhP_05.05.003/1 ye vā mayīśe kṛta-sauhṛdārthā janeṣu dehambhara-vārtikeṣu	Bhu-_05.05.003/1 ye vA mayi-ISe kRta-sOhRdArTAH janezu dehamBara-vArtikezu
