   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   bhadrasenasyābhavanmṛtyave kāliṅgasya vīrasenaḥ /	Badrasenasya-aBavat-mRtyave kAliFgasya vIrasenaH /
   mātṛśayanīyatūlikātalaniṣaṇṇaśca tanayo 'nyaṃ tanayamabhiṣektukāmasya	mAtR-SayanIya-tUlikA-tala-nizaNNaH-ca tanayaH anyam tanayam-aBizektu-kAmasya
   dadhrasya karūṣādhipaterabhavanmṛtyave /	daDrasya karUza-aDipateH-aBavat-mRtyave /
   utsārakaruciṃ carahasi sasacivameva dūrīcakāra cakoranāthaṃ	utsAraka-rucim carahasi sa-sacivam-eva dUrIcakAra cakora-nATam
   śūdrakadūtaścandraketuṃ jīvitāt /	SUdraka-dUtaH-candraketum jIvitAt /
   mṛgayāsaktasya ca mathnato gaṇḍakānuddaṇḍanaḍvalanalavananilīnāsca	mRgayA-Asaktasya ca maTnataH gaNxakAn-uddaNxa-naxvalana-lavana-nilInAH-ca
   campādhipacamūcarabhaṭāscāmuṇḍīpaterācemuḥ prāṇān puṣkarasya /	campA-aDipa-camU-cara-BawAH-cAmuNxI-pateH-AcemuH prANAn puzkarasya /
   bandirāgaparaṃ ca paraprayuktā jayaśabdamukharamukhā maṅkhā maukhariṃ	bandi-rAga-param ca para-prayuktA jaya-Sabda-muKara-muKAH maFKAH mOKarim
   mūrkhaṃ kṣatravarmāṇamudakhanan /	mUrKam kzatravarmANam-udaKanan /
   aripure ca parakalatrakāmukaṃ kāminīveśaguptaśca candraguptaḥ	ari-pure ca para-kalatra-kAmukam kAminIva-ISaguptaH-ca candraguptaH
   śakapatimaśātayaditi /	Sakapatim-aSAtayat-iti /
   pramattānāṃ ca pramadākṛtā api pramādāḥ śrutiviṣayamāgatā eva devasya /	pramattAnAm ca pramadA-kRtAH api pramAdAH Sruti-vizayam-AgatAH eva devasya /
   yathā madhumoditaṃ madhurakasaṃliptairlājaiḥ suprabhā putrarājyārthaṃ	yaTA maDumoditam maDuraka-saMliptEH-lAjEH supraBA putra-rAjya-arTam
   mahāsena kāśirājaṃ jaghāna /	mahAsena kASi-rAjam jaGAna /
   vyājajanitakandarpadarpā ca darpaṇena kṣuradhārāparyantenāyodhyādhipatiṃ	vyAja-janita-kandarpa-darpA ca darpaNena kzura-DArA-paryantena-ayoDya-aDipatim
   parantapaṃ ratnavatī jārūthyam, viṣacūrṇacumbitamakarandena ca	parantapam ratnavatI jArUTyam, viza-cUrNa-cumbita-makarandena ca
   karṇendīvareṇa devakī devarānuruktā devasenaṃ sauhnyam,	karNa-indIvareNa devakI devarAnuH-uktAH devasenam sOhnyam,
   yogaparāgavirasavarṣiṇā ca maṇinūpureṇa vallabhā sapatnīruṣā vairantyaṃ	yoga-parAga-virasa-varziNA ca maNi-nUpureNa vallaBA sapatnIruzA vErantyam
   rantidevam, veṇīvinigūḍhena ca śastreṇa bindumatīṃ vṛṣṇiṃ vindūratham,	rantidevam, veNI-vinigUXena ca SastreNa bindumatIm vRzNim vindUraTam,
   rasadigdhamadyena ca mekhalāmaṇinā hasavatī sauvīraṃ vorasenam,	rasa-digDa-madyena ca meKalA-maNinA hasavatI sOvIram vA-urasenam,
   adṛśyāgadaviliptavadanā ca viṣavāruṇīgaṇḍūṣapāyanena pauravī pauraveśvaraṃ	adRSya-agada-vilipta-vadanA ca vizavAruNI-gaNxUza-pAyanena pOravI pOrava-ISvaram
   somakam' /	somakam-a /
   ityuktvā virarāma svāmyādeśasaṃpādanāya ca nirjagāma /	iti-uktvA virarAma svAmyAdeSa-saMpAdanAya ca nirjagAma /
   devo 'pi haṣaḥ sakalarājyasthitīścakāra /	devaH api hazaH sakala-rAjya-sTitIH-cakAra /
   tataśca tathā kṛtapratijñe prayāṇaṃ vijayāya diśāṃ samādiśati deve harṣe	tatas-ca taTA kRta-pratijQe prayANam vijayAya diSAm samAdiSati deve harze
   gatāyuṣāṃ pratisāmantānāmudavasiteṣu bahurūpāṇyupaliṅgāni vitenire /	gata-AyuzAm pratisAmantAnAm-udavasitezu bahu-rUpANi-upaliFgAni vitenire /
   tathā hyaviprakṛṣṭāḥ kāladūtadṛṣṭaya ivetastataścaṭulāḥ kṛṣṇaśāraśreṇayaḥ	taTA hi-aviprakRzwAH kAla-dUta-dRzwaye iva-itas-tatas-cawulAH kRzNa-SAra-SreNayaH
   pracalitalakṣmīnūpurapraṇādapratimā madhusaraghāsaṃghātajhaṅkārā jahrādire	pracalita-lakzmI-nUpura-praNAda-pratimA maDu-saraGA-saMGAta-JaFkArAH jahrAdire
   ciraṃ vivṛtavikṛtavadanaviva raviniḥsṛtavahnivisarā vāsare 'pi virasaṃ	ciram vivRta-vikRta-vadana-viva ravi-niHsRta-vahni-visarAH vAsare api virasam
   viresuściramaśivārthamaśivāḥ śivāḥ /	viresuH-ciram-aSiva-arTam-aSivAH SivAH /
   śavapiśitaprarūḍhaprasarā iva kapipotakapolakapilapakṣatayaḥ kānanakapotāḥ	Sava-piSita-prarUXa-prasarAH iva kapipota-kapola-kapila-pakzatayaH kAnana-kapotAH
   petuḥ /	petuH /
   āmantrayamāṇā iva dadhurakālakusumāni samamupavanataravaḥ /	AmantrayamANAH iva daDura-kAla-kusumAni samam-upavana-taravaH /
   taralakaratalaprahāraprahatapayodharā ruruduḥ prasabhaṃ sabhāśālabhañjikāḥ	tarala-kara-tala-prahAra-prahata-payoDarAH ruruduH prasaBam saBA-SAla-BaQjikAH
   dadṛśurāsannakacagrahabhayodbhrāntottamāṅgamivātmānaṃ	dadRSuH-Asanna-kaca-graha-Baya-udBrAnta-uttamAFgam-iva-AtmAnam
   kabandhamādarśodareṣu yodhāḥ /	kabanDam-AdarSa-udarezu yoDAH /
   cūḍāmaṇiṣu cakraśahkhakamalalakṣmāṇaḥ prādurabhavanpādanyāsā rājamahiṣīṇām	cUxAmaNizu cakra-SahKa-kamala-lakzmANaH prAduraBavan-pAda-nyAsAH rAja-mahizINAm
   ceṭīcāmarāṇyakasmādadhāvanta pāṇipallavāt /	cewI-cAmarANi-akasmAt-aDAvanta pANi-pallavAt /
   praṇayakalahe 'pi dattapṛṣṭhāściramabhavanbhaṭāḥ parāṅmukhā māninīnām /	praNaya-kalahe api datta-pRzWAH-ciram-aBavan-BawAH parAFmuKAH mAninInAm /
   karikapoleṣu vyaghaṭanta madhulihāṃ madhumadirāpānagoṣṭhyaḥ /	kari-kapolezu vyaGawanta maDu-lihAm maDu-madirA-pAna-gozWyaH /
   samāghrātayamamahiṣagandhā iva tāmyantaḥ stambakarimapi harayo haritaṃ	samAGrAta-yama-mahiza-ganDAH iva tAmyantaH stamba-karim-api harayaH haritam
   navayavasaṃ na ceruḥ /	nava-yavasam na ceruH /
   calavalayāvalīvācālabālikātālikātodyalālitā api na nṛturmandā	cala-valaya-AvalI-vAcAla-bAlikA-tAlikA-todya-lAlitAH api na nRtuH-mandA
   mandiramayūrāḥ /	mandira-mayUrAH /
   niśi niśi rajanikarahariṇanihitanayana	niSi niSi rajani-kara-hariNa-nihita-nayana
   ivonmukhastāramupatoraṇamakāraṇamakāṇītkauleyakagaṇaḥ /	iva-unmuKaH-tAram-upatoraNam-akAraNam-akANIt-kOleyaka-gaNaH /
   gaṇayantīvagatāyuṣastarjanataralayā tarjanyā divasamāṭa vāṭakeṣu koṭavī /	gaNayantI-iva-gata-AyuzaH-tarjana-taralayA tarjanyA diva-sam-Awa vAwakezu kowavI /
   kuṭṭimeṣu kuṭilahariṇakhuraveṇītaraṅgiṇyaśca śaṣparājayo 'jāyanta /	kuwwimezu kuwila-hariNa-Kura-veNI-taraFgiNyaH-ca SazparAjayaH ajAyanta /
   janitaveṇībandhāni nirañjanarocanārocīṃṣi caṣakamadhuni	janita-veNI-banDAni niraQjana-rocanA-rocIMzi cazaka-maDuni
   mukhakalapratibimbānyadṛśyanta bhaṭīnām /	muKa-kala-pratibimbAni-adRSyanta BawInAm /
   samāsannātmāpahāracakitā iva cakampire bhūmayaḥ /	samAsanna-Atma-apahAra-cakitAH iva cakampire BUmayaH /
   vadhyālaṅkāraraktacandanarasacchaṭā ivālakṣyanta śūrāṇāṃ patitāḥ śarīreṣu	vaDya-alaFkAra-rakta-candana-rasa=-CawAH iva-Alakzyanta SUrANAm patitAH SarIrezu
   vikasitabandhūkakusumaśoṇitaśociṣaḥ śoṇitavṛṣṭayaḥ /	vikasita-banDUka-kusuma-SoNita-SocizaH SoNita-vRzwayaH /
   paryagnīkurvāṇā iva vinaśvarīṃ	paryagnIkurvANAH iva vinaSvarIm
   śriyamaviralasphuratsphuliṅgāhgārodgāradagdhatārāgaṇā gaṇaśaḥ patantaḥ	Sriyama-virala-sPurat-sPuliFga-AhgAra-udgAra-dagDa-tArA-gaNAH gaNaSas patantaH
   prajvalanto na vyaraṃsiṣurulkādaṇḍāḥ /	prajvalantaH na vyaraMsizuH-ulkA-daNxAH /
   prathamameva pratihārīvāpaharantī pratibhavanaṃ cāmarātapatravyajanāni	praTamam-eva pratihAri-iva-apaharantI pratiBavanam cAmara-Atapatra-vyajanAni
   paruṣā babhrāma vātyeti /	paruzA baBrAma vAtyA-iti /
   iti śrībāṇamaṭṭakṛtau harṣacarite rājapratijñāvarṇanaṃ nāma ṣaṣṭha	iti SrI-bANam-awwa-kRtO harza-carite rAjapratijQAvarNanam nAma zazWa
   ucchvāsaḥ/	ucCvAsaH/
