   Bhk_1	Bhj-_1
   cā''naśe'bdaiḥ.	cA-aanaSe-abdEH.
   Bhk_2.31-1 adhiŌjya-cāpaḥ sthira-bāhu-muṣṭi-	Bhc-_2.31-1 aDiŌjya-cApaH sTira-bAhu--muzwi-
   rudañcitā'kṣo'ñcita-dakṣiṇoruḥ	rudaQcitA-akzaH-aQcita-dakziNa-UruH
   Bhk_2.31-2 tān lakṣmaṇaḥ sannata-vāma-jaṅgho jaghāna	Bhc-_2.31-2 tAn lakzmaNaH sannata-vAma--jaFGaH jaGAna
   śuddheṣura-manda-karṣī.	SudDa-izura-manda-karzI.
   Bhk_2.32-1 gādheya-diṣṭaṃ viŌrasaṃ rasantaṃ rāmo 'pi	Bhc-_2.32-1 gADeya-dizwam viŌrasam rasantam rAmaH api
   māyāŌcaṇamastraŌcuñcuḥ	mAyAŌcaNam-astraŌcuQcuH
   Bhk_2.32-2 sthāsnuṃ raṇe smera-mukho jagāda mārīcamuccair vacanaṃ	Bhc-_2.32-2 sTAsnum raNe smera-muKaH jagAda mArIcam-uccEs vacanam
   mahā'rtham.	mahA-arTam.
   Bhk_2.33-1 ātmaṃŌbharis tvaṃpiśitair narāṇāṃ phaleŌgrahīn haṃsi	Bhc-_2.33-1 AtmaMŌBariH tvaMpiSitEH narANAm PaleŌgrahIn haMsi
   vanasŌpatīnām,	vanasŌpatInAm,
   Bhk_2.33-2 śauvastikaŌtvaṃ vibhavā na yeṣāṃ vrajanti, teṣāṃ dayase na	Bhc-_2.33-2 SOvastikaŌtvam viBavAH na yezAm vrajanti, tezAm dayase na
   kasmāt.	kasmAt-.
   Bhk_2.34-1 admo dvijān, devayajīn nihanmaḥ, kurmaḥ puraṃ	Bhc-_2.34-1 admaH dvijAn, deva-yajIt nihanmaH, kurmaH puram
   preta-narā'dhivāsam,	preta-narA-aDivAsam,
   Bhk_2.34-2 dharmo hyayaṃ dāśarathe ! nijo no, naivā'dhyakāriṣmahi	Bhc-_2.34-2 DarmaH hi-ayam dASaraTe ! nijaH no, na-evA-aDyakArizmahi
   veda-vṛtte.	veda--vRtte.
   Bhk_2.35-1 dharmo'sti satyaṃ tava rākṣasā'ya- manyo vyatiste tu mamā'pi	Bhc-_2.35-1 DarmaH-asti satyam tava rAkzasA-aya manyo vyatiH-te tu mamA-api
   dharmaḥ,	DarmaH,
   Bhk_2.35-2 brahma-dviṣas te praṇihanmi yena, rājanya-vṛttir	Bhc-_2.35-2 brahma-dvizaH te praNihanmi yena, rAjan-ya-vRttiH-
   dhṛta-kārmukeṣuḥ.	DRta-kArmuka-izuH.
   Bhk_2.36-1 itthaṃ-pravādaṃ yudhi saṃprahāraṃ pracakratū rāma-niśā-vihārau,	Bhk-_2.36-1 itTaM--pravAdam yuDi saMprahAram pracakratuH rAma--niSA--vihArO,
   Bhk_2.36-2 tṛṇāya matvā raghu-nandano 'tha bāṇena rakṣaḥ pradhanān	Bhc-_2.36-2 tRNAya matvA raGu-nandanaH aTa bANena rakzaH praDanAn
   nirāsthat.	nirAsTat.
   Bhk_2.37-1 jagmuḥ prasādaṃ dvija-mānasāni, dyaur varṣukā puṣpa-cayaṃ	Bhc-_2.37-1 jagmuH prasAdam dvija--mAnasAni, dyOH varzukA puzpa-cayam
   babhūva,	baBUva,
   Bhk_2.37-2 nir-vyājamijyā vavṛte. vacaś ca bhūyo babhāṣe muninā kumāraḥŌ	Bhc-_2.37-2 nir-vyAjam-ijyA vavRte. vacaH ca BUyas baBAze muninA kumAraHŌ
   Bhk_2.38-1 mahīyyamānā bhavatā 'timātraṃ surā'dhvare ghasmara-jitvareṇa	Bhc-_2.38-1 mahIyyamAnA BavatA atimAtram surA-aDvare Gasmara--jitvareNa
   Bhk_2.38-2 divo'pi vajrā''yudha-bhūṣaṇāyā hriṇīyate vīra-vatī na bhūmiḥ.	Bhc-_2.38-2 divaH-api vajrA-aayuDa-BUzaNAyAH hriNIyate vIra-vatI na BUmiH.
   Bhk_2.39-1 balir babandhe, jaladhir mamanthe, jahre'mṛtaṃ, daitya-kulaṃ	Bhc-_2.39-1 baliH babanDe, jalaDiH mamanTe, jahre-amRtan, dEtya--kulam
   vijigyo,	vijigyo,
   Bhk_2.39-2 kalpā'nta-duḥsthā vasudhā tathohe yenaiṣa bhāro'ti-gurur na	Bhc-_2.39-2 kalpA-anta--duHsTA vasuDA taTA-Uhe yena-eza BAraH-ati-guruH na
   tasya.	tasya.
   Bhk_2.40-1 iti bruvāṇo madhuraṃ hitaṃ ca tamāñjihan maithila-yajña-bhūmim	Bhc-_2.40-1 iti bruvANaH maDuram hitam ca tamAQjihat mETila-yajQa--BUmim
   Bhk_2.40-2 rāmaṃ muniḥ prīta-manā makhā'nte yaśāṃsi rājñāṃ	Bhc-_2.40-2 rAmam muniH prIta-manAH maKA-ante yaSAMsi rAjQAm
   nijighṛkṣayiṣyan.	nijiGRkzayizyan.
   Bhk_2.41-1 etau sma mitrā-varuṇau kimetau, kimaśvinau soma-rasaṃ pipāsū,	Bhc-_2.41-1 etO sma mitrA-varuNO kim-etO, kim-aSvinO soma--rasam pipAsU,
   Bhk_2.41-2 janaṃ samastaṃ janakā''śrama-sthaṃ rūpeṇa tāvaujihatāṃ	Bhc-_2.41-2 janam samastam janakA-aaSrama--sTam rUpeNa tO=-OjihatAm
   nṛ-siṃhau.	nR-siMhO.
   Bhk_2.42-1 ajigrahat taṃ janako dhanus tad "yenā'rdidad daitya-puraṃ	Bhc-_2.42-1 ajigrahat tam janakaH DanuH tat "yenA-ardidat dEtya-puram
   pinākī",	pinAkI",
   Bhk_2.42-2 jijñāsamāno balamasya bāhvor. hasannabhāṅkṣvīd raghu-nandanas	Bhk-_2.42-2 jijQAsamAnaH balam-asya bAhvor. hasan=-a-BAFkzvIt raGu-nandana-s
   tat.	tat.
   Bhk_2.43-1 tato nadī-ṣṇān pathikān giri-jñā- nāhvāyakān	Bhk-_2.43-1 tatas nadI-zNAn paTikAn giri--jQA na-AhvAyakAn
   bhūmi-paterayodhyām	BUmi-pateH-ayoDyAm
   Bhk_2.43-2 ditsuḥ sutāṃ yodha-harais turaṅgair vyasarjayan	Bhc-_2.43-2 ditsuH sutAm yoDa--harEH turaFgEH vyasarjayan
   maithila-martya-mukhyaḥ.	mETila-martya-muKyaH.
   Bhk_2.44-1 kṣipraṃ tato 'dhvanya-turaṅga-yāyī yaviṣṭha-vad vṛddha-tamo 'pi	Bhc-_2.44-1 kzipram tatas aDvanya-turaFga-yAyI yavizWa--vat vRdDa-tamaH api
   rājā	rAjA
   Bhk_2.44-2 ākhyāyakebhyaḥ śruta-sūnu-vṛtti- ra-glāna-yāno	Bhc-_2.44-2 AKyAyakeByaH Sruta--sUnu-vRtti ra-glAna-yAnaH-
   mithilāmagacchat.	miTilAm-agacCat.
   Bhk_2.45-1 vṛndiṣṭhamārcīd vasudhā-dhipānāṃ taṃ preṣṭhametaṃ guru-vad	Bhc-_2.45-1 vRndizWa-mArcIt vasuDA-a-DipAnAm tam prezWam-etam guru-vat-
   gariṣṭham	garizWam
   Bhk_2.45-2 sadṛṅ-mahāntaṃ sukṛtā'dhivāsaṃ baṃhiṣṭha-kīrtiṃ yaśasā	Bhc-_2.45-2 sadRF-mahAntam su-kRtA-aDivAsam baMhizWa--kIrtim yaSasA
   variṣṭham.	varizWam.
   Bhk_2.46-1 tri-varga-pārīṇamasau bhavanta- madhyāsayannāsanamekamindraḥ	Bhc-_2.46-1 tri-varga--pArINam-asO Bavanta maDyAsayan=-Asanam-ekam-indraH
   Bhk_2.46-2 viveka-dṛśva-tvamagāt surāṇāṃ, taṃ maithilo vākyamidaṃ babhāṣe.	Bhc-_2.46-2 viveka-dRSva--tvam-agAt surANAn, tam mETilaH vAkyam-idam baBAze.
   Bhk_2.47-1 hiraṇmayī sāla-lateva jaṅgamā cyutā divaḥ	Bhc-_2.47-1 hiraNmayI sAla-latA-iva jaFgamA cyutAH divaH
   sthāsnurivā'cira-prabhā	sTAsnuH-ivA-acira-praBA
   Bhk_2.47-2 śaśāṅkaṃ-kānteradhidevatā''kṛtiḥ sutā dade tasya sutāya	Bhc-_2.47-2 SaSAFkaM-kAnteH-aDidevatA-aakRtiH sutAH dade tasya sutAya
   maithilī.	mETilI.
   Bhk_2.48-1 labdhā tato viśvajanīna-vṛttis- tāmātmanīnāmudavoḍha rāmaḥ	Bhc-_2.48-1 labDA tatas viSva-janIna--vRtti-s tAm-AtmanInAm-udavoXa rAmaH
   Bhk_2.48-2 sad-ratna-muktā-phala-bharma-śobhāṃ saṃbaṃhayantīm	Bhc-_2.48-2 sad-ratna-muktA--Pala--Barma--SoBAm saMbaMhayantIm
   raghu-vargya-lakṣmīm.	raGu-vargya--lakzmIm.
   Bhk_2.49-1 su-prātamāsādita-saṃmadaṃ tad vandārubhiḥ saṃstutamabhyayodhyam	Bhk-_2.49-1 su-prAtam-AsAdita--saMmadam tat vandAruBiH saMstutam-aByayoDyam
   Bhk_2.49-2 aśvīya-rājanyaka-hāstikā''ḍhya- magāt sa-rājaṃ balamadhvanīnam.	Bhc-_2.49-2 aSvIya-rAjanyaka-hAstikA-aaXya magAt sa-rAjam balam-aDvanInam.
   Bhk_2.50-1 viśaṅkaṭo vakṣasi bāṇa-pāṇiḥ saṃpanna-tāla-dvayasaḥ purastāt	Bhc-_2.50-1 viSaFkawaH vakzasi bANa--pANiH saMpanna-tAla--dvayasaH purastAt-
   Bhk_2.50-2 bhīṣmo dhanuṣmānupajānvaratni- raiti sma rāmaḥ pathi	Bhc-_2.50-2 BIzmaH DanuzmAn-upajAnvaratni rEti sma rAmaH paTi
   jāmadagnyaḥ.	jAmadagnyaH.
   Bhk_2.51-1 uccairasau rāghavamāhvatedaṃ dhanuḥ sa-bāṇaṃ kuru, sā'tiyāsīḥ.	Bhc-_2.51-1 uccEs-asO rAGavam-Ahvata-idam DanuH sa-bANam kuru, sA-atiyAsIH.
   Bhk_2.51-2 parākrama-jñaḥ priya-santatis taṃ namraḥ kṣitīndro	Bhc-_2.51-2 parAkrama-jQaH priya-santatiH tam namraH kziti-indraH-
   'nuninīṣurūce.	anuninIzuH-Uce.
   Bhk_2.52-1 aneka-śo nirjita-rājakas tvaṃ, pit natārpsīr nṛpa-rakta-toyaiḥ,	Bhc-_2.52-1 aneka-SaH nirjita-rAjakaH tvaM, pid natArpsIH nRpa--rakta--toyEH,
   Bhk_2.52-2 saṃkṣipya saṃrambhama-sadū-vipakṣaṃ, kā ''sthā 'rbhake	Bhk-_2.52-2 saMkzipya saMramBam-a-sa-dU-vipakzaM, kA aasTA arBake
   'smiṃstava rāma ! rāme.	asmin=-tava rAma ! rAme.
   Bhk_2.53-1 ajīgaṇad daśarathaṃ na vākyaṃ yadā sa darpeṇa, tadā kumāraḥ	Bhc-_2.53-1 ajIgaNat daSaraTam na vAkyam yadA sa darpeNa, tadA kumAraH
   Bhk_2.53-2 dhanur vyakārkṣīd guru-bāṇa-garbhaṃ, lokānalāvīd vijitāṃśca	Bhk-_2.53-2 DanuH vyakArkzIt guru--bANa--garBaM, lokAnalAvIt vijitAn=-ca
   tasya.	tasya.
   Bhk_2.54-1 jite nṛpā'rau, sumanībhavanti śabdāyamānānya-śanair-śaṅkam	Bhk-_2.54-1 jite nRpA-arO, sumanIBavanti SabdAyamAnAnya--SanEs--SaFkam
   Bhk_2.54-2 vṛddhasya rājño 'numate balāni jagāhire 'neka-mukhāni mārgān.	Bhc-_2.54-2 vRdDasya rAjQaH anumate balAni jagAhire aneka--muKAni mArgAn-.
   Bhk_2.55-1 atha puru-java-yogān nedayad dūra-saṃsthaṃ davayadati-rayeṇa	Bhc-_2.55-1 aTa puru-ja-va--yogAt nedayat dUra-saMsTam davayat-ati--rayeNa
   prāptamurvī-vibhāgam	prApta-murvI--viBAgam
   Bhk_2.55-2 klama-rahitamacetan nīrajīkārita-kṣmāṃ, balamupahita-śobhāṃ	Bhc-_2.55-2 klama-rahitam-acetat nIrajIkArita---kzmAM, balam-upahita--SoBAm
   tūrṇamāyādayodhyām.	tUrNamAyAt-ayoDyAm.
   Bhk_3	Bhj-_3
   Bhk_3.1-1 vadhena saṃkhye piśitā'śanānāṃ kṣatrā'ntakasyā 'bhibhavena caiva	Bhc-_3.1-1 vaDena saMKye piSitA-aSanAnAm kzatrA-antakasyAH aBiBavena ca-eva
   Bhk_3.1-2 āḍhyaṃbhaviṣṇur yaśasā kumāraḥ priyaṃbhaviṣṇur na sa yasya	Bhk-_3.1-2 AXyaMBa-vizNuH yaSasA kumAraH priyaMBavizNuH na sa yasya
   nā''sīt.	nA-aasIt.
   Bhk_3.2-1 tataḥ sucetīkṛta-paura-bhṛtyo "rājye 'bhiṣekṣye sutamitya-nīcaiḥ	Bhk-_3.2-1 tatas su-cetI-kRta-pOra-BRtyaH "rAjye aBizekzye sutam-iti-a-nIcEs-
   Bhk_3.2-2 āghoṣayan bhūmi-patiḥ samastaṃ bhūyo'pi lokaṃ sumanīcakāra.	Bhc-_3.2-2 AGozayan BUmi-patiH samastam BUyas-api lokam sumanIca-kAra.
   Bhk_3.3-1 ādikṣadādīpta-kṛśānu-kalpaṃ siṃhāsanaṃ tasya sa-pāda-pīṭham	Bhc-_3.3-1 Adikzada-AdIpta--kRSa-anu--kalpam siMhAsanam tasya sa-pAda--pIWam
   Bhk_3.3-2 santapta-cāmīkara-valgu-vajraṃ vibhāga-vinyasta-mahārgha-ratnam.	Bhk-_3.3-2 santapta--cAmIkara-valgu--vajram viBAga--vinyasta--mahArGa--ratnam.
   Bhk_3.4-1 prāsthāpayat pūga-kṛtān sva-poṣaṃ pṛṣṭān prayatnād	Bhk-_3.4-1 prAsTApayat pUga-kRtAn sva--pozam pRzwAn prayatnAt-
   dṛḍha-gātra-bandhān	dRXa--gAtra-banDAn
   Bhk_3.4-2 sa-bharma-kumbhān puruṣān samantāt patkāṣiṇas	Bhk-_3.4-2 sa-Barma--kumBAn puruzAn samantAt pad-kAziNas
   tīrtha-jalā'rthamāśu.	tIrTa-jalA-arTam-ASu.
   Bhk_3.5-1 ukṣān pracakrur nagarasya mārgān, dhvajān babandhur, mumucuḥ	Bhk-_3.5-1 ukzAn pracakruH nagarasya mArgAn, DvajAn babanDur, mumucuH
   kha-dhūpān,	Ka-DUpAn,
   Bhk_3.5-2 diśaśca puṣpaiścakarur vicitrai- rartheṣu rājñā nipuṇā niyuktāḥ	Bhc-_3.5-2 diSaH-ca puzpEH-cakaruH vicitrE rarTezu rAjQA nipuNAH niyuktAH
   Bhk_3.6-1 mātāmahā''vāsamupeyivāṃsaṃ mohāda-pṛṣṭvā bharataṃ tadānīm	Bhc-_3.6-1 mAtAmahA-aavAsam-upeyivAMsam mohAt-a--pRzwvA Baratam tadAnIm
   Bhk_3.6-2 tat kekayī soḍhuma-śaknuvānā vavāra rāmasya vana-prayāṇam.	Bhc-_3.6-2 tat kekayI soXuma--SaknuvAnAH vavAra rAmasya vana--prayANam.
   Bhk_3.7-1 karṇe-japairāhita-rājya-lobhā straiṇena nītā vikṛtiṃ laghimnā	Bhc-_3.7-1 karNe-japEH-Ahita-rAjya--loBA strENena nItA vikRtim laGimnA
   Bhk_3.7-2 rāma-pravāse vyamṛśan na doṣaṃ janā'pavādaṃ sa-narendra-mṛtyum	Bhc-_3.7-2 rAma--pravAse vyamRSan na dozam janA-apavAdam sa-narendra--mRtyum
   Bhk_3.8-1 vasūni deśāṃśca nivartayiṣyan rāmaṃ nṛpaḥ saṃgiramāṇa eva	Bhc-_3.8-1 vasUni deSAn=-ca nivartayizyan rAmam nRpaH saMgiramANaH eva
   Bhk_3.8-2 tayā 'vajajñe, bharatā'bhiśeko viṣāda-śaṅkuśca matau nicakhne.	Bhc-_3.8-2 tayA avajajQe, BaratA-aBiSekaH vizAda-SaFkuH-ca matO nicaKne.
   Bhk_3.9-1 tataḥ pravivrājayiṣuḥ kumāra- mādikṣadasyā 'bhigamaṃ vanāya	Bhk-_3.9-1 tatas pravivrAjayizuH kumAra mA-Adikza-dasyAH aBigamam vanAya
   Bhk_3.9-2 saumitri-sītā'nucarasya rājā sumantra-netreṇa rathena śocan.	Bhc-_3.9-2 sOmitri-sItA-anucarasya rAjA sumantra--netreNa raTena Socan.
   Bhk_3.10-1 kecin ninindur nṛpama-praśāntaṃ, vicukruśuḥ kecana	Bhk-_3.10-1 kecid nininduH nRpama--praSAntaM, vicukruSuH kecana
   sā'sramuccaiḥ,	sA-asram-uccEs-,
   Bhk_3.10-2 ūcus tathā 'nye bharatasya māyāṃ, dhik kekayīmityaparo jagāda.	Bhk-_3.10-2 UcuH taTA anye Baratasya mAyAM, Dik kekayIm-iti-aparaH jagAda.
   Bhk_3.11-1 "gato vanaṃ śvo bhaviteti rāmaḥ," śokena dehe janatā 'timātram,	Bhc-_3.11-1 "gataH vanam Svas BavitA-iti rAmaH," Sokena dehe janatA atimAtram,
   Bhk_3.11-2 dhīrās tu tatra cyuta-manyavo 'nye dadhuḥ kumārā'nugame	Bhk-_3.11-2 DIrAH tu tatra cyuta--manyavaH anye daDuH kumArA-anugame
   manāṃsi.	manAMsi.
   Bhk_3.12-1 prasthāsyamānāvupaseduṣas tau śośucyamānānidamūcatus tān,	Bhk-_3.12-1 prasTAsyamAnO=-upaseduzaH tO SoSucyamAnAn-idam-UcatuH tAn-,
   Bhk_3.12-2 "kiṃ śocatehā 'bhyudaye batā 'smān niyoga-lābhena pituḥ	Bhk-_3.12-2 "kim Socata-ihAH aByudaye batAH asmAn niyoga--lABena pituH
   kṛtā'rthān,	kRtA-arTAn,
   Bhk_3.13-1 asṛṣṭa yo, yaśca bhayeṣvarakṣīd, yaḥ sarvadā 'smānapuṣat	Bhc-_3.13-1 asRzwa yo, yaH-ca Bayezu-arakzId, yaH sarvadA asmAn-apuzat-
   sva-poṣam,	sva--pozam,
   Bhk_3.13-2 mahopakārasya kimasti tasya tucchena yānena vanasya mokṣaḥ,	Bhc-_3.13-2 mahA-upakArasya kim-asti tasya tucCena yAnena vanasya mokzaH,
   Bhk_3.14-1 vidyut-praṇāśaṃ sa varaṃ pranaṣṭo, yadvordhva-śoṣaṃ tṛṇa-vad	Bhc-_3.14-1 vidyut--praNASam sa varam pranazwo, yat-vA-UrDva--Sozam tRNa-vat-
   viśuṣkaḥ,	viSuzkaH,
   Bhk_3.14-2 arthe durāpe kimuta pravāse na śāsane 'vāsthita yo gurūṇām.	Bhc-_3.14-2 arTe durApe kim-uta pravAse na SAsane avAsTita yaH gurUNAm-.
   Bhk_3.15-1 paurā ! nivartadhvamiti nyagādīt, "tātasya śokā'panudā bhaveta,	Bhk-_3.15-1 pOrAH ! nivartaDvam-iti nyagAdIt, "tAtasya SokA-apanudA Baveta,
   Bhk_3.15-2 mā darśatā'nyaṃ bharataṃ ca matto," nivartayetyāha rathaṃ sma	Bhc-_3.15-2 mA darSatA-anyam Baratam ca mattaH-," nivartaya-iti-Aha raTam sma
   sūtam	sUtam
   Bhk_3.16-1 jñātveṅgitair gatvaratāṃ janānā- mekāṃ śayitvā rajanīṃ	Bhc-_3.16-1 jQAtvA-iFgitEH gatvara-tAm janAnA mekAm SayitvA rajanIm
   sa-pauraḥ	sa-pOraH
   Bhk_3.16-2 rakṣan vane-vāsa-kṛtād bhayāt tān prātaś chalenā 'pajagāma	Bhc-_3.16-2 rakzan vane--vAsa--kRtAt BayAt tAn prAtar CalenA apajagAma
   rāmaḥ	rAmaH
   Bhk_3.17-1 asrākṣurasraṃ karuṇaṃ ruvanto, muhurmuhur nyaśvasiṣuḥ kapoṣṇam,	Bhc-_3.17-1 asrAkzuH-asram karuNam ruvanto, muhur-muhur nyaSvasizuH kapa-uzNam,
   Bhk_3.17-2 hā rāma ! hā kaṣṭamiti brunvataḥ parāṅ-mukhais te nyavṛtan	Bhc-_3.17-2 hA rAma ! hA kazwam-iti brunvataH parAF-muKEH te nyavRtan
   manobhiḥ	manoBiH
   Bhk_3.18-1 sūto 'pi gaṅgā-salilaiḥ pavitvā sahā''śvamātmānamanalpa-manyuḥ	Bhk-_3.18-1 sUtaH api gaFgA--salilEH pavitvA sahA-aaSvam-AtmAnam-analpa--manyuH
   Bhk_3.18-2 sa-sītayo rāghavayoradhīyan śvasan kaduṣṇaṃ puramāviveśa.	Bhk-_3.18-2 sa-sItayoH rAGavayoH-aDIyan Svasan kaduzNam puram-AviveSa.
   Bhk_3.19-1 pratīya sā pūr dadṛśe janena dyaur bhānu-śītāṃśu-vinākṛteva	Bhc-_3.19-1 pratIya sA pUH dadRSe janena dyOH BAnu--SItAMSu-vinAkRtA-iva
   Bhk_3.19-2 rājanya-nakṣatra-samanvitā 'pi śokā'ndhakāra-kṣata-sarva-ceṣṭā.	Bhc-_3.19-2 rAjan-ya-nakzatra--samanvitA api SokA-anDakAra-Rkzata--sarva--cezwA.
   Bhk_3.20-1 vilokya rāmeṇa vinā sumantra- macyoṣṭa satvān nṛ-patiś	Bhc-_3.20-1 vilokya rAmeNa vinA sumantra macya-uzwa satvAt nR-patiH-
   cyutā''śaḥ	cyutA-aaSaH
   Bhk_3.20-2 madhūni naiṣīd vyalipan na gandhair, mano-rame na vyavasiṣṭa	Bhc-_3.20-2 maDUni nEzIt vyalipan na ganDEr, mano-rame na vyavasizwa
   vastre.	vastre.
   Bhk_3.21-1 āsiṣṭa naikatra śucā, vyaraṃsīt kṛtā'kṛtebhyaḥ	Bhc-_3.21-1 Asizwa na-ekatra SucA, vyaraMsIt kRtA-akRteByaH
   kṣiti-pāla-bhāg-bhyaḥ,	kziti-pAla-BAg-ByaH,
   Bhk_3.21-2 sa candanośīra-mṛṇāla-digdhaḥ śokā-gninā 'gād	Bhk-_3.21-2 sa candana-uSIra--mRNAla--digDaH SokA-gninA agAt-
   dyu-nivāsa-bhūyam.	dyu--nivAsa-BUyam.
   Bhk_3.22-1 vicukruśur bhūmi-pater mahiṣyaḥ, keśāṃl luluñcuḥ, sva-vapūṃṣi	Bhk-_3.22-1 vicukruSuH BUmi-pateH mahizyaH, keSAn luluQcuH, sva--vapUMzi
   jaghnuḥ,	jaGnuH,
   Bhk_3.22-2 vibhūṣaṇānyunmumucuḥ, kṣamāyā petur, babhañjur valayāni caiva.	Bhc-_3.22-2 viBUzaNAni-unmumucuH, kzamAyAH petur, baBaQjuH valayAni ca-eva.
   Bhk_3.23-1 tāḥ sāntvayantī bharata-pratīkṣā taṃ bandhu-tā nyakṣipadāśu	Bhc-_3.23-1 tAH sAntvayantI Barata--pratIkzA tam banDu-tA nyakzipat-ASu
   taile,	tEle,
   Bhk_3.23-2 dūtāṃśca rājā''tmajamāninīṣūn prāsthāpayan mantri-matena yūnaḥ.	Bhk-_3.23-2 dUtAn=-ca rAjA-aatmaja-mAninIzUn prAsTApayan mantri-matena yUnaH.
   Bhk_3.24-1 "supto nabhastaḥ patitaṃ nirīkṣāṃ- cakre vivasvantamadhaḥ	Bhk-_3.24-1 "suptaH naBastaH patitam nirIkzAM cakre vivasvantam-aDas-
   sphurantam,"	sPurantam,"
   Bhk_3.24-2 ākhyad vasan mātṛ-kule sakhibhyaḥ paśyan pramādaṃ bharato 'pi	Bhc-_3.24-2 AKyat vasan mAtR-kule saKiByaH paSyan pramAdam BarataH api
   rājñaḥ.	rAjQaH.
   Bhk_3.25-1 aśiśravannātyayikaṃ tametya dūtā yadā 'rthaṃ prayiyāsayantaḥ,	Bhc-_3.25-1 aSiSravan=-Atyayikam tam-etya dUtAH yadA arTam prayiyAsayantaH,
   Bhk_3.25-2 āṃhiṣṭa jātā'ñjihiṣas tadā 'sā- vutkaṇṭhamāno bharato gurūṇām.	Bhc-_3.25-2 AMhizwa jAtA-aQjihizaH tadA asA vutkaNWa-mAnaH BarataH gurUNAm-.
   Bhk_3.26-1 bandhūnaśāṅkiṣṭa samākulutvā- dāseduṣaḥ sneha-vaśādapāyam,	Bhc-_3.26-1 banDUn-aSAFkizwa samAkulutvA dAseduzaH sneha--vaSAt-apAyam,
   Bhk_3.26-2 gomāyu-sāraṅga-gaṇāś ca samyaṅ nā 'yāsiṣur, bhīmamarāsiṣuśca.	Bhj-_3.26-2 gomAyu--sAraFga--gaNAH ca samyak nA ayAsizur, BIma-marAsizuH-ca.
   Bhk_3.27-1 sa proṣivānetya puraṃ pravekṣyan śuśrāva ghoṣaṃ na	Bhk-_3.27-1 sa prozivAn-etya puram pravekzyan SuSrAva Gozam na
   janaugha-janyam,	jana-oGa--janyam,
   Bhk_3.27-2 ākarṇayāmāsa na veda-nādān, na copalebhe vaṇijāṃ paṇā'yān.	Bhc-_3.27-2 AkarNayAmAsa na veda-nAdAn, na ca-upaleBe vaNijAm paNA-ayAn.
   Bhk_3.28-1 cakranduruccair nṛ-patiṃ sametya taṃ mātaro	Bhc-_3.28-1 cakranduruccEH nR-patim sametya tam mAtaraH-
   'bhyarṇamupāgatā'srāḥ,	aByarNam-upAgatA-asrAH,
   Bhk_3.28-2 purohitā'mātya-mukhāś ca yodhā vivṛddha-manyu-pratipūrṇa-manyā.	Bhk-_3.28-2 purohitA-amAtya--muKAH ca yoDAH vivRdDa--manyu-pratipUrNa-manyA.
   Bhk_3.29-1 didṛkṣamāṇaḥ paritaḥ sa-sītaṃ rāmaṃ yadā naikṣata lakṣmaṇaṃ ca,	Bhc-_3.29-1 didRkzamANaH paritas sa-sItam rAmam yadA na-Ekzata lakzmaNam ca,
   Bhk_3.29-2 rorudyamānaḥ sa tadā'bhyapṛcchad, yathāvadākhyannatha	Bhc-_3.29-2 roH-udyamAnaH sa tadA-aByapRcCad, yaTAvat-AKyan=-aTa
   vṛttamasmai.	vRttam-asmE.
   Bhk_3.30-1 ābaddha-bhīma-bhrukuṭī-vibhaṅgaḥ śeśvīyamānā'ruṇa-raudra-netraḥ	Bhc-_3.30-1 AbadDa-BIma--BrukuwI--viBaFgaH SeSvIyamAnA-aruNa-rOdra--netraH
   Bhk_3.30-2 uccairupālabdha sa kekayīṃ ca, śoke muhuś cāvirataṃ nyamāṅkṣīt.	Bhc-_3.30-2 uccEs-upAlabDa sa kekayIm ca, Soke muhur ca-aviratam nyamAFkzIt-.
   Bhk_3.31-1 nṛpā''tmajau cikliśatuḥ sa-sītau, mamāra rājā, vi-dhavā	Bhc-_3.31-1 nRpA-aatma-jO cikliSatuH sa-sItO, mamAra rAjA, vi-DavA
   bhavatyaḥ,	BavatyaH,
   Bhk_3.31-2 śocyā vayaṃ, bhūra-nṛpā, laghutvaṃ kekayyupajñaṃ bata	Bhc-_3.31-2 SocyAH vayan, BUra-nRpA, laGu-tvam kekayI-upajQam bata
   bahvanartham.	bahu-anarTam.
   Bhk_3.32-1 naitan mataṃ matkamiti bruvāṇaḥ sahasra-śo 'sau śapathānaśapyat	Bhc-_3.32-1 na-etat matam matkam-iti bruvANaH sahasra-Sas asO SapaTAn-aSapyat
   Bhk_3.32-2 udvāśyamānaḥ pitaraṃ sa-rāmaṃ luṭhyan sa-śoko bhuvi rorudā-vān.	Bhc-_3.32-2 udvASyamAnaH pitaram sa-rAmam luWyan sa-SokaH Buvi roH-udA-vAn.
   Bhk_3.33-1 taṃ susthayantaḥ sacivā narendraṃ didhakṣayantaḥ samudūhurārāt	Bhk-_3.33-1 tam susTayantaH sacivAH narendram diDakzayantaH samudUhuH-ArAt-
   Bhk_3.33-2 antyā''hutiṃ hāvayituṃ sa-viprāś	Bhj-_3.33-2 antyA-aahutim hAvayitum sa-viprAH-
   cicīṣayanto'dhvara-pātra-jātam.	cicIzayantaH-aDvara--pAtra--jAtam.
   Bhk_3.34-1 udakṣipan paṭṭa-dukūla-ketū- navādayan veṇu-mṛdaṅga-kāṃsyam,	Bhc-_3.34-1 udakzipan pawwa--dukUla-ketU navAdayan veNu--mRdaFga--kAMsyam,
