   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   śarīradhātuṃ yo muktvā dhātuṣvanyeṣu rajyate /	SarIra DAtum yaH muktvA DAtuzu anyezu rajyate /
   sa dhātukatvaśikṣāto duḥkhenaiva pramucyate // Dhs_3.15 //	sa DAtuka tva SikzAtaH duHKena eva pramucyate // DhH _3.15 //
   hiraṇyadhāturna tathā duḥkhaśāntyai hi vartate /	hiraNyaDAtuH na taTA duHKa SAntyE hi vartate /
   śarīradhātutattvajño yathā duḥkhāt pramucyate // Dhs_3.16 //	SarIra DAtu tattva jQaH yaTA duHKAt pramucyate // DhH _3.16 //
   duḥkhād duḥkhodayastena duḥkhī na parirakṣyate /	duHKAt duHKa udayaH tena duHKI na parirakzyate /
   pravīṇo rājacaurādibhayaiḥ sarvairūpadrutam // Dhs_3.17 //	pravINaH rAja cOra Adi BayEH sarvErUpa drutam // DhH _3.17 //
   tasmādanarthakaṃ nityaṃ dūratastaṃ vivarjayet /	tasmAt anarTakam nityam dUratas tam vivarjayet /
   varjanāt sukhito duṣṭasaṅgrahād duḥkhitaḥ pumān // Dhs_3.18 //	varjanAt suKitaH duzwa saFgrahAt duHKitaH pumAn // DhH _3.18 //
   śarīradhātutattvajño dhātulakṣaṇatattvavit /	SarIra DAtu tattva jQaH DAtu lakzaNa tattva vid /
   dhyānādhyayanasaṃsakto dahati kleśaparvatān // Dhs_3.19 //	DyAna aDyayana saMsaktaH dahati kleSa parvatAn // DhH _3.19 //
   tasmāccharīrajān dhātūn paṇḍitaḥ pratyavekṣate /	tasmAt SarIra jAn DAtUn paNxitaH pratyavekzate /
   teṣāṃ svalakṣaṇaṃ jñātvā mokṣo bhavati dehinām // Dhs_3.20 //	tezAm sva lakzaNam jQAtvA mokzaH Bavati dehinAm // DhH _3.20 //
   // iti kāyajugupsāvargastṛtīyaḥ //	// iti kAyajugupsA vargaH tRtIyaH //
   (4) parivartavargaḥ	(4) parivartavargaH
   kasya kālaḥ parivartate	kasya kAlaH parivartate
   kāmairevāvitṛṣṇasya tṛṣṇayā tṛṣitasya ca /	kAmEH eva avitRzNasya tRzNayA tRzitasya ca /
   cañcalendriyacittasya kālo 'yaṃ parivartate // Dhs_4.1 //	caQcala indriya cittasya kAlaH ayam parivartate // DhH _4.1 //
   anityadhyeyatā yasya sukhasaktasya dehinaḥ /	anitya Dyeya tA yasya suKa saktasya dehinaH /
   strīdarśanena mattasya kālo 'yaṃ parivartate // Dhs_4.2 //	strI darSanena mattasya kAlaH ayam parivartate // DhH _4.2 //
   jātimaraṇavaśyasya mohitasya ca tṛṣṇayā /	jAti maraNa vaSyasya mohitasya ca tRzNayA /
   bālasya tu janasyāsya kālo 'yaṃ parivartate // Dhs_4.3 //	bAlasya tu janasya asya kAlaH ayam parivartate // DhH _4.3 //
   gaticārakabaddhasya udvegavaśagasya ca /	gati cAraka badDasya udvega vaSagasya ca /
   pramādaviṣamūḍhasya kālo 'yaṃ parivartate // Dhs_4.4 //	pramAda viza mUXasya kAlaH ayam parivartate // DhH _4.4 //
   auddhatyādiprasaktasya gātraśobhāratasya ca /	OdDatyAdi prasaktasya gAtra SoBA ratasya ca /
   lābhairatṛptamanasaḥ kālo 'yaṃ parivartate // Dhs_4.5 //	lABEH atRpta manasaH kAlaH ayam parivartate // DhH _4.5 //
   pañcabandhanabaddhasya ṣaḍbhirvyāmohitasya ca /	paQca banDana badDasya zaxBiH vyAmohitasya ca /
   trailokyavidhimūḍhasya kālo 'yaṃ parivartate // Dhs_4.6 //	trElokya viDi mUXasya kAlaH ayam parivartate // DhH _4.6 //
   vinipātānabhijñasya vitarkopahatasya ca /	vinipAta anaBijQasya vitarka upahatasya ca /
   janasya saktamanasaḥ kālo 'yaṃ parivartate // Dhs_4.7 //	janasya sakta manasaH kAlaH ayam parivartate // DhH _4.7 //
   tatkālaramaṇīyeṣu pariṇāmahiteṣu ca /	tad kAla ramaNIyezu pariNAma hitezu ca /
   kāmeṣu saktamanasaḥ kālo 'yaṃ parivartate // Dhs_4.8 //	kAmezu sakta manasaH kAlaH ayam parivartate // DhH _4.8 //
   pūrvaduḥkhānabhijñasya divyasaukhyaratasya ca /	pUrva duHKa anaBijQasya divya sOKya ratasya ca /
   viprayogānabhijñasya kālo 'yaṃ parivartate // Dhs_4.9 //	viprayoga anaBijQasya kAlaH ayam parivartate // DhH _4.9 //
   karmajālena baddhasya manasyeva viceṣṭinaḥ /	karma jAlena badDasya manasi eva vicezwinaH /
   satpathāt paribhraṣṭasya kālo 'yaṃ parivartate // Dhs_4.10 //	sat paTAt pariBrazwasya kAlaH ayam parivartate // DhH _4.10 //
   bhavadoṣānabhijñasya tṛṣṇayā mūḍhacetasaḥ /	Bava doza anaBijQasya tRzNayA mUXa cetasaH /
   mohāndhakāramagnasya kālo 'yaṃ parivartate // Dhs_4.11 //	moha anDakAram agnasya kAlaH ayam parivartate // DhH _4.11 //
   kāmaikapāśabaddhasya niḥsahāyasya dehinaḥ /	kAma eka pASa badDasya niHsahAyasya dehinaH /
   devīgaṇavimūḍhasyaṃ kālo 'yaṃ parivartate // Dhs_4.12 //	devI gaNa vimUXasyam kAlaH ayam parivartate // DhH _4.12 //
   indriyād vyapakṛṣṭasya satpathabhrāmitasya ca /	indriyAt vyapakRzwasya sat paTa BrAmitasya ca /
   traidhātukarasajñasya kālo 'yaṃ parivartate // Dhs_4.13 //	trEDAtuka rasa jQasya kAlaH ayam parivartate // DhH _4.13 //
   saṃvarāsaṃvarajñasya vyāpādabahulasya ca /	saMvarA saMvara jQasya vyApAda bahulasya ca /
   naṣṭasambuddhamārgasya kālo 'yaṃ parivartate // Dhs_4.14 //	nazwa sambudDa mArgasya kAlaH ayam parivartate // DhH _4.14 //
   hitāhitavahirgasya kāryākāryajaḍasya ca /	hita ahita vahiH gasya kArya akArya jaxasya ca /
   krīḍābāla sadṛśasya kālo 'yaṃ parivartate // Dhs_4.15 //	krIxA bAla sadRSasya kAlaH ayam parivartate // DhH _4.15 //
   nadīprastravaṇocceṣu vanopavanabhūmiṣu /	nadI prastravaNa uccezu vana upavana BUmizu /
   (saṃ)krīḍātatparasyāsya kālo 'yaṃ parivartate // Dhs_4.16 //	(saM)krIxA tatparasya asya kAlaH ayam parivartate // DhH _4.16 //
   vimānagiripṛṣṭheṣu dharmākaravaneṣu ca /	vimAna giri pRzWezu Darma Akara vanezu ca /
   ramataḥ kāmabhogeṣu kālo 'yaṃ parivartate // Dhs_4.17 //	ramataH kAma Bogezu kAlaH ayam parivartate // DhH _4.17 //
   karmadharma vipākeṣu nirāsaktasya dehinaḥ /	karma Darma vipAkezu nirAsaktasya dehinaH /
   kevalāhārasaktasya kālo 'yaṃ parivartate // Dhs_4.18 //	kevala AhAra saktasya kAlaH ayam parivartate // DhH _4.18 //
   śarīrasthitasyāpi śarīrānabhijñatā	SarIra sTitasya api SarIra anaBijQa tA
   karmaṇāyuḥ pariśrāntaṃ traidhātukamidaṃ sadā /	karmaNA AyuH pariSrAntam trEDAtukam idam sadA /
   bhramanti cakravannityaṃ na ca vindanti bāliśāḥ // Dhs_4.19 //	Bramanti cakra vat nityam na ca vindanti bAliSAH // DhH _4.19 //
   jagataḥ doṣānabhijñatā	jagataH doza anaBijQa tA
   vinipātocchru yamayaṃ yo nāmārohate jagat /	vinipAta ucCru yamayam yaH nAma Arohate jagat /
   na ca doṣāvadheyatvaṃ prakurvanti vimohitāḥ // Dhs_4.20 //	na ca doza avaDeya tvam prakurvanti vimohitAH // DhH _4.20 //
   dhīrasya kāmaparivarjanaṃ saukhyahetuḥ	DIrasya kAma parivarjanam sOKya hetuH
   etat (tu) paramaṃ saukhyaṃ yat kāmaparivarjanam /	etat (tu) paramam sOKyam yat kAma parivarjanam /
   vītakāṃkṣasya dhīrasya gataśokasya tāpinaḥ // Dhs_4.21 //	vIta kAMkzasya DIrasya gata Sokasya tApinaH // DhH _4.21 //
   munīnāṃ caramapadaprāptiphalam	munInAm carama pada prApti Palam
   tadādimadhyanidhane kalyāṇaṃ kṣemamuttamam /	tad Adi maDya niDane kalyANam kzemam uttamam /
   yad prāpyamunayaḥ śrāntāścaranti vigatajvarāḥ // Dhs_4.22 //	yat prApya munayaH SrAntAH caranti vigata jvarAH // DhH _4.22 //
   duḥkhahetavaḥ kāmāḥ	duHKa hetavaH kAmAH
   satkāmajaṃ bhavet saukhyaṃ vinipātagataṃ tu tat /	satkAma jam Bavet sOKyam vinipAta gatam tu tat /
   na hi kāmaviśeṣaṃ ca kiñcid duḥkhavipākajam // Dhs_4.23 //	na hi kAma viSezam ca kiQcid duHKa vipAka jam // DhH _4.23 //
   tasmāt kāmeṣu matimān na lubhyet kathañcana /	tasmAt kAmezu matimAn na luByet kaTaQcana /
   te hi saṃsāraduḥkhānāṃ hetubhūtāḥ sudāruṇāḥ // Dhs_4.24 //	te hi saMsAra duHKAnAm hetu BUtAH su dAruNAH // DhH _4.24 //
   vanopavanaśaileṣu padmākaravaneṣu ca /	vana upavana SElezu padma Akara vanezu ca /
   vibhrāntāstṛṣṇayā bālāḥ patanti saha daivataiḥ // Dhs_4.25 //	viBrAntAH tRzNayA bAlAH patanti saha dEvatEH // DhH _4.25 //
   śubhakarmāsakteḥ upadeśaḥ	SuBa karma AsakteH upadeSaH
   kāñcaneṣu (ca) śaileṣu vaidūryaśikhareṣu ca /	kAQcanezu (ca) SElezu vEdUrya SiKarezu ca /
   kṣīyate hi śubhaṃ karma yatasva saha daivataiḥ // Dhs_4.26 //	kzIyate hi SuBam karma yatasva saha dEvatEH // DhH _4.26 //
   kalpavṛkṣeṣu ramyeṣu nadīprastravaṇeṣu ca /	kalpavRkzezu ramyezu nadI prastravaNezu ca /
   caratastaiḥ śubhaṃ kṣīṇaṃ yatasva saha daivataiḥ // Dhs_4.27 //	carataH tEH SuBam kzINam yatasva saha dEvatEH // DhH _4.27 //
   bhūmibhāgeṣu ramyeṣu ratnākaravaneṣu ca /	BUmi BAgezu ramyezu ratna Akara vanezu ca /
   na śubhaṃ te sadā cīrṇa yatasva saha daivataiḥ // Dhs_4.28 //	na SuBam te sadA cIrNa yatasva saha dEvatEH // DhH _4.28 //
   pañcātmakena vīryeṇa manaḥprahalādakāriṇā /	paQca Atmakena vIryeNa manaH prahalAt a kAriNA /
   hatasya gatakālasya yatasva saha daivataiḥ // Dhs_4.29 //	hatasya gata kAlasya yatasva saha dEvatEH // DhH _4.29 //
   devānāṃ hitānabhijñatā	devAnAm hita anaBijQa tA
   kāmaṃ saṃsakta manasairnityaṃ viṣayatatparaiḥ /	kAmam saMsakta manasEH nityam vizaya tatparEH /
   na jñāyate hitaṃ devairyadamantrāhitaṃ bhavet // Dhs_4.30 //	na jQAyate hitam devEH yat amantra ahitam Bavet // DhH _4.30 //
   devanindā	deva nindA
   alpaśiṣṭamidaṃ puṇyaṃ cyavanaṃ samupasthitam /	alpa Sizwam idam puNyam cyavanam samupasTitam /
   gantavyamanyatra suraiḥ sukarmaphalabhojibhiḥ // Dhs_4.31 //	gantavyam anyatra surEH su karma Pala BojiBiH // DhH _4.31 //
   ye nityaṃ śubhasaṃsaktāḥ kurvanti vā śubhaṃ sadā /	ye nityam SuBa saMsaktAH kurvanti vA SuBam sadA /
   teṣāṃ visadṛśo heturmūrkhāṇāṃ hi vivartate // Dhs_4.32 //	tezAm visadRSaH hetuH mUrKANAm hi vivartate // DhH _4.32 //
   ke mṛtyuṃ pratīkṣante	ke mRtyum pratIkzante
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   śubhaśīlatamo 'jñānāḥ sarvadā na parāyaṇāḥ // Dhs_4.33 //	SuBa SIlatamaH ajQAnAH sarvadA na parAyaNAH // DhH _4.33 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   ye na karmavipākasya jñānaṃ roṣavadhe ratāḥ // Dhs_4.34 //	ye na karma vipAkasya jQAnam roza vaDe ratAH // DhH _4.34 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   prajñāpayanti na samā stṛṣṇāgniparivāritāḥ // Dhs_4.35 //	prajQApayanti na samAH stRzNA agni parivAritAH // DhH _4.35 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   viprayogakṛtaṃ duḥkhaṃ ye na paśyanti dāruṇam // Dhs_4.36 //	viprayoga kRtam duHKam ye na paSyanti dAruNam // DhH _4.36 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   strījanāsaktahṛdayā na vindanti punarbhavam // Dhs_4.37 //	strI jana Asakta hRdayAH na vindanti punarBavam // DhH _4.37 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   vipattivyādhiśokebhyo nodvijanti kathañcana // Dhs_4.38 //	vipatti vyADi SokeByaH na udvijanti kaTaQcana // DhH _4.38 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   ye pāpamitrasaṃsarga prakurvanti mahārūṣam // Dhs_4.39 //	ye pApa mitra saMsarga prakurvanti mahArUzam // DhH _4.39 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   bhāvitaṃ cetasā yairna na ca tattvapraveśitā // Dhs_4.40 //	BAvitam cetasA yEH na na ca tattva praveSitAH // DhH _4.40 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   yena sarvāsvavasthāsu saṃsārabhayabhīravaḥ // Dhs_4.41 //	yena sarvAsu avasTAsu saMsAra Baya BIravaH // DhH _4.41 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   kāryākāryeṣu ye nityaṃ na subhāṣitacetasaḥ // Dhs_4.42 //	kArya akAryezu ye nityam na su BAzita cetasaH // DhH _4.42 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   ye na tattvadhiyo nityaṃ sarvabhūtahite ratāḥ // Dhs_4.43 //	ye na tattva DiyaH nityam sarva BUta hite ratAH // DhH _4.43 //
   bhuktvā mṛtyuṃ pratīkṣante te janāḥ kāmamohitāḥ /	BuktvA mRtyum pratIkzante te janAH kAma mohitAH /
   ye śarīra sukhārthena dharma hiṃsanti mohitāḥ // Dhs_4.44 //	ye SarIra suKa arTena Darma hiMsanti mohitAH // DhH _4.44 //
   paṇḍitalakṣaṇam	paNxita lakzaNam
   ekāntamanasā nityaṃ śubhaṃ kāryaṃ prayatnataḥ /	ekAnta manasA nityam SuBam kAryam prayatnataH /
   aśubhaṃ ca sadā varjyametat paṇḍitalakṣaṇam // Dhs_4.45 //	aSuBam ca sadA varjyam etat paNxita lakzaNam // DhH _4.45 //
   vinipātasādhanāni	vinipAta sADanAni
   kṣayaṃ yātaṃ ca yat śīlaṃ spṛṣṭvā yaḥ samupāgataḥ /	kzayam yAtam ca yat SIlam spRzwvA yaH samupAgataH /
   pramādāvañcito 'vaśyaṃ vinipāto bhaviṣyati // Dhs_4.46 //	pramAda avaQcitaH avaSyam vinipAtaH Bavizyati // DhH _4.46 //
   viṣayiṇaḥ parivartanaśīlatā na tu viṣayāṇām	vizayiNaH parivartana SIla tA na tu vizayANAm
   gatā gacchanti yāsyanti deveśāścaiva sarvataḥ /	gatAH gacCanti yAsyanti deveSAH ca eva sarvatas /
   tiṣṭhanti śikhare ramye nānāratnavibhūṣite // Dhs_4.47 //	tizWanti SiKare ramye nAnA ratna viBUzite // DhH _4.47 //
   vaidūryaśikharā ramyāstathānye vanamālinaḥ /	vEdUrya SiKarAH ramyAH taTA anye vanamAlinaH /
   viṣayāstādṛśā eva janastu parivartate // Dhs_4.48 //	vizayAH tAdRSAH eva janaH tu parivartate // DhH _4.48 //
   vanopavanaramyāṇi bhūmibhāgāni sarvaśaḥ /	vana upavana ramyANi BUmi BAgAni sarvaSas /
   tiṣṭhantyavikalānyeva janastu parivartate // Dhs_4.49 //	tizWanti avikalAni eva janaH tu parivartate // DhH _4.49 //
   vaidūryamayanālāni kāñcanāni viśeṣataḥ /	vEdUrya maya nAlAni kAQcanAni viSezataH /
   padmākarāṇi tānyeva janastu parivartate // Dhs_4.50 //	padma AkarANi tAni eva janaH tu parivartate // DhH _4.50 //
   sarāṃsi sarito ramyāḥ pakṣisaṅghairnirantaram /	sarAMsi saritaH ramyAH pakzi saFGEH nirantaram /
   tathaivāvikalā hyete janastu parivartate // Dhs_4.51 //	taTA eva avikalAH hi ete janaH tu parivartate // DhH _4.51 //
   vimānāni rathāścaiva harmyāṇi ca tathaiva ca /	vimAnAni raTAH ca eva harmyANi ca taTA eva ca /
   tiṣṭhantyavikalā hyete janastu parivartate // Dhs_4.52 //	tizWanti avikalAH hi ete janaH tu parivartate // DhH _4.52 //
   parivartanaṃ lokasya viṣayairvañcitasya ca /	parivartanam lokasya vizayEH vaQcitasya ca /
   tathāpi nāmalokasya nodvego hṛdi jāyate // Dhs_4.53 //	taTA api nAma lokasya na udvegaH hRdi jAyate // DhH _4.53 //
   abhyāsena kharī bhūtaṃ cittaṃ saṃsāracāriṇam /	aByAsena KarI BUtam cittam saMsAra cAriNam /
   yena manye mahad duḥkhaṃ hṛdaye naiva vartate // Dhs_4.54 //	yena manye mahat duHKam hRdaye na eva vartate // DhH _4.54 //
   śūlikena yathā baddhāḥ paśavo gṛhapañjare /	SUlikena yaTA badDAH paSavaH gRha paQjare /
   ekaikaśo vinaśyanti śeṣāṇāṃ nāsti sambhramaḥ // Dhs_4.55 //	ekEkaSas vinaSyanti SezANAm na asti samBramaH // DhH _4.55 //
   sukhāya kāmināmeva iyaṃ bhūmiravasthitā /	suKAya kAminAm eva iyam BUmiH avasTitA /
   cyutāścaivopapannāśca tathāmī bāliśāḥ surāḥ // Dhs_4.56 //	cyutAH ca eva upapannAH ca taTA amI bAliSAH surAH // DhH _4.56 //
   viṣayonmukhānāṃ maraṇānabhijñatvam	vizaya unmuKAnAm maraNa anaBijQa tvam
   pramādāya hatāḥ sattvā mṛtyuḥ kṣaṇikaduḥkhadaḥ /	pramAdAya hatAH sattvAH mRtyuH kzaNika duHKa daH /
   nāvabuddhayanti maraṇaṃ paśuvad vītasambhramāḥ // Dhs_4.57 //	na avabudDayanti maraNam paSu vat vIta samBramAH // DhH _4.57 //
   te paścād dīrghamanasaḥ kālasya vaśamāgatāḥ /	te paScAt dIrGa manasaH kAlasya vaSam AgatAH /
   paścāttāpamayo vahnirdhakṣyate niṣpratikṣayaḥ // Dhs_4.58 //	paScAttApa mayaH vahniH Dakzyate nizpratikzayaH // DhH _4.58 //
   dāruṇaṃ niṣpratīkāramavaśyaṃ rūpadehinām /	dAruNam nizpratIkAram avaSyam rUpa dehinAm /
   maraṇaṃ kālavaśagaṃ tad viditvāgamaṃ caret // Dhs_4.59 //	maraNam kAla vaSagam tat viditvA Agamam caret // DhH _4.59 //
   viprayogāntāḥ sarve saṃyogāḥ	viprayoga antAH sarve saMyogAH
   samāgamāḥ priyāloke viyogāścāpriyāḥ sadā /	samAgamAH priya Aloke viyogAH ca apriyAH sadA /
   saṃyogo viprayogānto dharmateyaṃ sanātanā // Dhs_4.60 //	saMyogaH viprayoga antaH DarmatA iyam sanAtanAH // DhH _4.60 //
   kṣaṇe lave muhūrte ca divārātrau tathādhvani /	kzaNe lave muhUrte ca divArAtrO taTA aDvani /
   maraṇaṃ cintayed dhīrastasya nāsti pratikriyā // Dhs_4.61 //	maraNam cintayet DIraH tasya na asti pratikriyA // DhH _4.61 //
   gatakalmaṣā eva śāntimadhigacchanti	gata kalmazAH eva SAntim aDigacCanti
   smṛtimagnyāṃ praśaṃsanti yeṣāṃ maraṇasaṃbhavā /	smRtim agnyAm praSaMsanti yezAm maraNa saMBavAH /
   śreyasaikaparāṃ śānti prayāntiṃ gatakalmaṣāḥ // Dhs_4.62 //	Sreyasa eka parAm SAnti prayAntim gata kalmazAH // DhH _4.62 //
   mṛtyorarthamanusmṛtya doṣo 'yaṃ kasya sammataḥ /	mRtyoH arTam anusmRtya dozaH ayam kasya sammataH /
   nirdoṣaṃ hi manaḥ sarvaṃ śāntaṃ bhavati nityaśaḥ // Dhs_4.63 //	nirdozam hi manaH sarvam SAntam Bavati nityaSas // DhH _4.63 //
   tathāgataiḥ apramādaparaṃ śreṣṭhamuktam	taTAgatEH apramAda param SrezWamuktam
   apramādaparaṃ śreṣṭhamidamuktaṃ tathāgataiḥ /	apramAda param SrezWam idam uktam taTAgatEH /
   yanmṛtyoḥ smaraṇaṃ nityamaśubhānāṃ ca varjanam // Dhs_4.64 //	yat mRtyoH smaraNam nityam aSuBAnAm ca varjanam // DhH _4.64 //
   // iti parivartavargaścaturthaḥ //	// iti parivartavargaH caturTaH //
   (5) anityatāvargaḥ	(5) anitya tA vargaH
   sukhaṃ kṣayāntam	suKam kzaya antam
   kṣayāntaṃ hi sukhaṃ sarva na sukhaṃ vidyate dhruvam /	kzaya antam hi suKam sarva na suKam vidyate Druvam /
   saṃsṛjenna sukhaṃ tasmāt yadīcchet sukhamātmanaḥ // Dhs_5.1 //	saMsRjet na suKam tasmAt yadi icCet suKam AtmanaH // DhH _5.1 //
   mṛtyuḥ sarvānapi ākarṣati	mRtyuH sarvAn api Akarzati
   gacchatāṃ tiṣṭhatāṃ caiva hasatāṃ krīḍatāmapi /	gacCatAm tizWatAm ca eva hasatAm krIxatAm api /
   avisahyo mahāvego mṛtyurnaśyati dāruṇaḥ // Dhs_5.2 //	avisahyaH mahA vegaH mRtyuH naSyati dAruNaH // DhH _5.2 //
   na tatstha mihāmutra yatrāsau pratipadyate /	na tad sTa miha amutra yatra asO pratipadyate /
   tathāpi nāma saṃmūḍhā janayitvā vaśaṃgataḥ // Dhs_5.3 //	taTA api nAma saMmUXAH janayitvA vaSaMgataH // DhH _5.3 //
   (na bālaṃ na yuvānaṃ vā) na sthavirameva vā /	(na bAlam na yuvAnam vA) na sTaviram eva vA /
   gṛhasthamagṛhasthaṃ vā yadāsau nāpakarṣati // Dhs_5.4 //	gRhasTam agRha sTam vA yadA asO na apakarzati // DhH _5.4 //
   sukhitaṃ duḥkhitaṃ vāpi guṇavantaṃ tathaiva ca /	suKitam duHKitam vA api guNavantam taTA eva ca /
   vratasthamavratasthaṃ vā yadāsau nāpakarṣati // Dhs_5.5 //	vrata sTam avrata sTam vA yadA asO na apakarzati // DhH _5.5 //
   duḥśīlaṃ śīlavantaṃ ca (dāninaṃ ca tathottamam) /	duHSIlam SIlavantam ca (dAninam ca taTA uttamam) /
   rājānaṃ cottamaṃ cāpi yadāsau nāpakarṣati // Dhs_5.6 //	rAjAnam ca uttamam ca api yadA asO na apakarzati // DhH _5.6 //
   daivaṃ vā nārakaṃ vāpi tiryañca pratajaṃ tathā /	dEvam vA nArakam vA api tiryaQca pratajam taTA /
   pramattamapramattaṃ vā yadāsau nāpakarṣati // Dhs_5.7 //	pramattam apramattam vA yadA asO na apakarzati // DhH _5.7 //
   kāmadhātūpapannaṃ vā rūpadhātau sthitañca yaḥ /	kAmaDAtu upapannam vA rUpa DAtO sTitaQca yaH /
   ārupyadhātūpapannaṃ vā yadāsau nāpakarṣati // Dhs_5.8 //	Arupya DAtu upapannam vA yadA asO na apakarzati // DhH _5.8 //
   karmapāśo jarādaṇḍo vyādhidaṇḍo mahāvanam /	karma pASaH jarA daNxaH vyADi daNxaH mahA vanam /
   raktopamo mṛtyurayaṃ sattvānādāya gacchati // Dhs_5.9 //	rakta upamaH mRtyuH ayam sattva an AdAya gacCati // DhH _5.9 //
   evaṃvidhe pratibhaye mṛtyau paramadāruṇe /	evaMviDe pratiBaye mRtyO parama dAruNe /
   (upasthite pravartante) surāḥ kāmavimohitāḥ // Dhs_5.10 //	(upasTite pravartante) surAH kAma vimohitAH // DhH _5.10 //
   patanāntaṃ sarvasukhaṃ santyajet	patana antam sarva suKam santyajet 
   yad duḥkhaṃ cyavamānasya devalokāt surasya ca /	yat duHKam cyavamAnasya deva lokAt surasya ca /
   narake yadbhavaṃ duḥkhaṃ viprayogapuraḥsaram // Dhs_5.11 //	narake yat Bavam duHKam viprayoga puraHsaram // DhH _5.11 //
   viṣamākṣikasaṃyuktaṃ yathānnaṃ cāpi (śobhanam) /	viza mAkzika saMyuktam yaTA annam ca api (SoBanam) /
   (tato) devagataṃ saukhyaṃ patanāntaṃ visarjayet // Dhs_5.12 //	(tato) deva gatam sOKyam patana antam visarjayet // DhH _5.12 //
   kṣīṇapuṇyasya dīnasya svadārairvarjitasya ca /	kzINa puNyasya dInasya sva dArEH varjitasya ca /
   yad duḥkhaṃ cyavamānasya tasyaupamyaṃ na vidyate // Dhs_5.13 //	yat duHKam cyavamAnasya tasya Opamyam na vidyate // DhH _5.13 //
   sukṛtakṣīṇamandasya dvipasyeva gatattviṣaḥ /	sukRta kzINa mandasya dvipasya iva gatat tvizaH /
   śāmyati devasya yadduḥkhaṃ mahadduḥkhaṃ prajāyate // Dhs_5.14 //	SAmyati devasya yat duHKam mahat duHKam prajAyate // DhH _5.14 //
