   Pramāṇavārtikam	PramANa-vArtikam
   aviśeṣādaṇutvācca na gatiścenna sidhyati // Pramāṇav_1.88 //	aviSezAt-aNu-tvAt-ca na gatiH-ced-na siDyati // PramANa=-_1.88 //
   aviśeṣo viśiṣṭānāmaindriyatvamato 'naṇuḥ /	aviSezaH viSizwAnAm-Endriya-tvam-atas anaNuH /
   etenāvaraṇādīnāmabhāvaśca nirākṛtaḥ // Pramāṇav_1.89 //	etena-AvaraNa-AdInAm-aBAvaH-ca nirAkRtaH // PramANa=-_1.89 //
   kathaṃ vā sūtahemādimiśraṃ taptopalādi vā /	kaTam vA sUta-hema-Adi-miSram tapta-upala-Adi vA /
   dṛśyaṃ pṛthagaśaktānāmakṣādīnāṃ gatiḥ katham // Pramāṇav_1.90 //	dRSyam pRTak-aSaktAnAm-akza-AdInAm gatiH kaTam // PramANa=-_1.90 //
   saṃyogāccet samāno 'tra prasaṅgo hemasūtayoḥ /	saMyogAt-ced samAnaH atra prasaFgaH hema-sUtayoH /
   dṛśyaḥ saṃyoga iti cet kuto 'dṛśyāśraye gatiḥ // Pramāṇav_1.91 //	dRSyaH saMyogaH iti ced kutas adRSya-ASraye gatiH // PramANa=-_1.91 //
   rasarūpādiyogaśca saṃyoga upacārataḥ /	rasa-rUpa-Adi-yogaH-ca saMyogaH upacArataH /
   iṣṭaśced buddhibhedo 'stu paṃktirdirgheti vā katham // Pramāṇav_1.92 //	izwaH-ced budDi-BedaH astu paMktiH-dirGa-iti vA kaTam // PramANa=-_1.92 //
   saṃkhyāsaṃyogakarmāderapi tadvat svarūpataḥ /	saMKyA-saMyoga-karma-AdeH-api tadvat svarUpataH /
   abhilāpācca bhedena rūpaṃ buddhau na bhāsate // Pramāṇav_1.93 //	aBilApAt-ca Bedena rUpam budDO na BAsate // PramANa=-_1.93 //
   śabdajñāne vikalpena vastubhedānusāriṇā /	Sabda-jQAne vikalpena vastu-Beda-anusAriNA /
   guṇādiṣviva kalpyārthe naṣṭājāteṣu vā yathā // Pramāṇav_1.94 //	guNa-Adizu-iva kalpya-arTe nazwa-ajAtezu vA yaTA // PramANa=-_1.94 //
   mato yadyupacāro 'tra sa iṣṭo yannibandhanaḥ /	mataH yadi-upacAraH atra saH izwaH yat-nibanDanaH /
   sa eva sarvabhāveṣu hetuḥ ki neṣyate tayoḥ // Pramāṇav_1.95 //	saH eva sarva-BAvezu hetuH ki na-izyate tayoH // PramANa=-_1.95 //
   upacāro na sarvatra yadi bhinnaviśeṣaṇam /	upacAraH na sarvatra yadi Binna-viSezaNam /
   mukhyamityeva ca kuto 'bhinne bhinnārthateti cet // Pramāṇav_1.96 //	muKyam-iti-eva ca kutas aBinne Binna-arTa-tA-iti ced // PramANa=-_1.96 //
   anarthāntarahetutve 'pyaparyāyaḥ sitādiṣu /	anarTa-antara-hetu-tve api-aparyAyaH sita-Adizu /
   saṃkhyādiyoginaḥ śabdāstatrāpyarthāntaraṃ yadi // Pramāṇav_1.97 //	saMKyA-Adi-yoginaH SabdAH-tatra-api-arTa-antaram yadi // PramANa=-_1.97 //
   guṇadravyāviśeṣaḥ syād bhinno vyāvṛttibhedataḥ /	guNa-dravya-aviSezaH syAt BinnaH vyAvRtti-BedataH /
   syādanarthāntarārthatve 'pyakarmādravyaśabdavat // Pramāṇav_1.98 //	syAt-anarTa-antara-arTa-tve api-akarma-adravya-Sabda-vat // PramANa=-_1.98 //
   vyatirekīva yaccāpi sūcyate bhāvavācibhiḥ /	vyatirekI-iva yat-ca-api sUcyate BAva-vAciBiH /
   saṃkhyāditadvataḥ śabdaistaddharmāntarabhedakam // Pramāṇav_1.99 //	saMKyA-Adi-tadvataH SabdEH-tad-Darma-antara-Bedakam // PramANa=-_1.99 //
   śrutistanmātrajijñāsoranākṣiptākhilāparā /	SrutiH-tanmAtra-jijQA-soranAkzipta-aKila-aparAH /
   bhinnaṃ dharmamivācaṣṭe yogo 'ṅgulyā iti kvacit // Pramāṇav_1.100 //	Binnam Darmam-iva-Acazwe yogaH aFgulyA iti kvacid // PramANa=-_1.100 //
   yuktāṅ gulīti sarveṣāmākṣepād dharmivācinī /	yuktAF gulI-iti sarvezAm-AkzepAt Darmi-vAcinI /
   khyātaikārthābhidhāne 'pi tathā bihitasaṃsthitiḥ // Pramāṇav_1.101 //	KyAta-eka-arTa-aBiDAne api taTA bihita-saMsTitiH // PramANa=-_1.101 //
   rūpādiśaktibhedānāmanākṣepeṇa vartate /	rUpa-Adi-Sakti-Beda-anAm-anAkzepeNa vartate /
   tatsamānaphalāhetuvyavacchede ghaṭaśrutiḥ // Pramāṇav_1.102 //	tad-samAna-PalA-hetu-vyavacCede Gawa-SrutiH // PramANa=-_1.102 //
   ato na rūpaṃ ghaṭa ityekādhikararaṇa śrutiḥ /	atas na rUpam GawaH iti-eka-aDikararaNa SrutiH /
   bhedo 'yamīdṛśo jātisamudāyābhidhāyinoḥ // Pramāṇav_1.103 //	BedaH ayam-IdRSaH jAti-samudAya-aBiDAyinoH // PramANa=-_1.103 //
   rūpādayo ghaṭasyeti tatsāmānyopasarjanāḥ /	rUpa-AdayaH Gawasya-iti tad-sAmAnya-upasarjanAH /
   tacchaktibhedāḥ khyāpyante vācyo 'nyo 'pi diśānayā // Pramāṇav_1.104 //	tad-Sakti-BedAH KyApyante vAcyaH anyaH api diSA-anayA // PramANa=-_1.104 //
   hetutve ca samastānāmekāṅgavikale 'pi na /	hetu-tve ca samastAnAm-ekAFga-vikale api na /
   pratyekamapi sāmarthye yugapad bahusambhavaḥ // Pramāṇav_1.105 //	pratyekam-api sAmarTye yugapad bahu-samBavaH // PramANa=-_1.105 //
   nānekatvasya tulyatvāt prāṇāpānau niyāmakau /	na-aneka-tvasya tulya-tvAt prANa-apAnO niyAmakO /
   ekatve 'pi bahuvyaktistaddhetornityasannidheḥ // Pramāṇav_1.106 //	eka-tve api bahu-vyaktiH-tad-hetoH-nitya-sanniDeH // PramANa=-_1.106 //
   nānekaheturiti cennāviśeṣāt kramādapi /	na-aneka-hetuH-iti ca-id-na-aviSezAt kramAt-api /
   naikaprāṇe 'pyanekārthagrahaṇanniyamastataḥ // Pramāṇav_1.107 //	na-eka-prANe api-aneka-arTa-grahaNat-niyamaH-tatas // PramANa=-_1.107 //
   ekayānekavijñāne buddhyāstu sakṛdeva tat /	ekayA-aneka-vijQAne budDyAH-tu sakRt-eva tat /
   avirodhāt krameṇāpi mābhūt tadaviśeṣataḥ // Pramāṇav_1.108 //	aviroDAt krameNa-api mA-aBUt tad-aviSezatas // PramANa=-_1.108 //
   bahavaḥ kṣaṇikāḥ prāṇā asvajātīyakālikāḥ /	bahavaH kzaNikAH prANAH asvajAtIya-kAlikAH /
   tādṛśāmeva cittānāṃ kalpyante yadi kāraṇam // Pramāṇav_1.109 //	tAdRSAm-eva cittAnAm kalpyante yadi kAraNam // PramANa=-_1.109 //
   kramavantaḥ kathaṃ te syuḥ kramavaddhetunā vinā /	kramavantaH kaTam te syuH krama-vat-hetunA vinA /
   pūrvasvajātihetutve na syādādyasya sambhavaḥ // Pramāṇav_1.110 //	pUrva-sva-jAti-hetu-tve na syAt-Adyasya samBavaH // PramANa=-_1.110 //
   taddhetustādṛśo nāsti sati vānekatā dhruvam /	tad-hetuH-tAdRSaH na-asti sati vA-aneka-tA Druvam /
   prāṇānāṃ bhinnadeśatvāt sakṛjjanma dhiyāmataḥ // Pramāṇav_1.111 //	prANAnAm Binna-deSa-tvAt sakRt-janma DiyAm-ataH // PramANa=-_1.111 //
   yadyekakāliko 'neko 'pyekacaitanyakāraṇam /	yadi-ekakAlikaH anekaH api-ekacEtanya-kAraNam /
   ekasyāpi va vaikalye syānmandaśvasitādiṣu // Pramāṇav_1.112 //	ekasya-api va vEkalye syAt-manda-Svasita-Adizu // PramANav_1.112 //
   atha heturyathābhāvaṃ jñāne 'pi syād viśiṣṭatā /	aTa hetuH-yaTABAvam jQAne api syAt viSizwa-tA /
   na hi tat tasya kārya yad yasya bhedānnna bhidyate // Pramāṇav_1.113 //	na hi tat tasya kArya yat yasya BedAt-nna Bidyate // PramANa=-_1.113 //
   vijñānaṃ śaktiniyamādekamekasya kāraṇam /	vijQAnam Sakti-niyamAt-ekam-ekasya kAraNam /
   anyārthāsaktiviguṇe jñāne cārthāntarāgrahāt // Pramāṇav_1.114 //	anya-arTa-Asakti-viguNe jQAne ca-arTa-antara-agrahAt // PramANa=-_1.114 //
   śarīrāt sakṛdutpannā dhīḥ svajātyā niyamyate /	SarIrAt sakRt-utpannA DIH sva-jAtyA niyamyate /
   parataścet samarthasya dehasya viratiḥ kutaḥ // Pramāṇav_1.115 //	paratas-ced samarTasya dehasya viratiH kutas // PramANa=-_1.115 //
   anāśrayānnivṛtte syāccharīre cetasaḥ sthitiḥ /	anASrayAt-nivRtte syAt-SarIre cetasaH sTitiH /
   kevalasyeti ceccittasantānasthitikāraṇam // Pramāṇav_1.116 //	kevalasya-iti ced-citta-santAna-sTiti-kAraNam // PramANa=-_1.116 //
   taddhetuvṛttilābhāya nāṅgatāṃ yadi gacchati /	tad-hetu-vRtti-lABAya na-aFga-tAm yadi gacCati /
   heturdehāntarotpattau pañcāyatanamaihikam // Pramāṇav_1.117 //	hetuH-deha-antara-utpattO paQcAyatanam-Ehikam // PramANa=-_1.117 //
   tadaṅgabhāvahetutvaniṣedhe 'nupalambhanam /	tad-aFga-BAva-hetutva-nizeDe anupalamBanam /
   aniścayakaraṃ proktaṃ indriyādyapi śeṣavat // Pramāṇav_1.118 //	aniScaya-karam proktam indriya-Adi-api Sezavat // PramANa=-_1.118 //
   dṛṣṭā ca saktiḥ pūrveṣāmindriyāṇāṃ svajātiṣu /	dRzwA ca saktiH pUrvezAm-indriyANAm sva-jAtizu /
   vikāradarśanāt siddhamaparāparajanma ca // Pramāṇav_1.119 //	vikAra-darSanAt sidDam-apara-apara-janma ca // PramANa=-_1.119 //
   śarīrād yadi tajjanma prasaṅgaḥ pūrvavad bhavet /	SarIrAt yadi tad-janma prasaFgaH pUrvavat Bavet /
   cittāccet tata evāstu janma dehāntarasya ca // Pramāṇav_1.120 //	cittAt-ced tatas eva-astu janma deha-antarasya ca // PramANa=-_1.120 //
   tasmānna hetuvaikalyāt sarveṣāmantyacetasām /	tasmAt-na hetu-vEkalyAt sarvezAm-antya-cetasAm /
   asandhirīdṛśaṃ tena śeṣavat sādhanaṃ matam // Pramāṇav_1.121 //	asanDiH-IdRSam tena Sezavat sADanam matam // PramANa=-_1.121 //
   abhyāsena viśeṣe 'pi laṅghanodakatāpavat /	aByAsena viSeze api laFGana-udaka-tApa-vat /
   svabhāvātikramo mā bhūditi ced āhitaḥ sa cet // Pramāṇav_1.122 //	svaBAva-atikramaH mA BUt-iti ced AhitaH sa ced // PramANav_1.122 //
   punaryatnamapekṣeta yadi syāccāsthitāśrayaḥ /	punar-yatnam-apekzeta yadi syAt-ca-AsTita-ASrayaH /
   viśeṣo naiva vardheta svabhāvaśca na tādṛśaḥ // Pramāṇav_1.123 //	viSezaH na-eva varDeta svaBAvaH-ca na tAdRSaH // PramANa=-_1.123 //
   tatropayuktaśaktīnāṃ viśeṣānuttarān prati /	tatra-upayukta-SaktInAm viSeza-anuttarAn prati /
   sādhanānāmasāmārthyānnityaṃ cānāśrayasthiteḥ // Pramāṇav_1.124 //	sADanAnAm-asAmArTyAt-nityam ca-anASraya-sTiteH // PramANav_1.124 //
   viśeṣasyāsvabhāvatvād vṛddhāvapyāhito yadā /	viSezasya-asvaBAva-tvAt vRdDO=-api-AhitaH yadA /
   nāpekṣeta punaryatnaṃ yatno 'nyaḥ syād viśeṣakṛt // Pramāṇav_1.125 //	na-apekzeta punar-yatnam yatnaH anyaH syAt viSeza-kRt // PramANa=-_1.125 //
   kāṣṭhapāradahemāderagnyāderiva cettasaḥ /	kAzWa-pArada-hema-AdeH-agni-AdeH-iva ced-tasaH /
   abhyāsajāḥ pravarttante svarasena kṛpādayaḥ // Pramāṇav_1.126 //	aByAsa-jAH pravarttante svarasena kRpA-AdayaH // PramANa=-_1.126 //
   tasmāt sa teṣāmutpannaḥ svabhāvo jāyate guṇaḥ /	tasmAt sa tezAm-utpannaH svaBAvaH jAyate guNaH /
   taduttarottaro yatno viśeṣasya vidhāyakaḥ // Pramāṇav_1.127 //	tat-uttarottaraH yatnaH viSezasya viDAyakaH // PramANa=-_1.127 //
   yasmācca tulyajātīyapūrvabījapravṛddhayaḥ /	yasmAt-ca tulya-jAtIya-pUrva-bIja-pravRdDayaH /
   kṛpādibuddhayastāsāṃ satyabhyāse kutaḥ sthitiḥ // Pramāṇav_1.128 //	kRpA-Adi-budDayaH-tAsAm sati-aByAse kutas sTitiH // PramANa=-_1.128 //
   na caivaṃ laṅghanādeva laṅghanaṃ balayatnayoḥ /	na ca-evam laFGanAt-eva laFGanam bala-yatnayoH /
   taddhetvoḥ sthitaśaktitvāllaṅ ghanasya sthitātmatā // Pramāṇav_1.129 //	tad-hetvoH sTita-Sakti-tvAt-laF Ganasya sTita-Atma-tA // PramANa=-_1.129 //
   tasyādau dehavaiguṇyāt paścādvadavilaṅghanam /	tasya-AdO deha-vEguNyAt paScAt-vada-vilaFGanam /
   śanairyatnena vaiguṇye niraste svabale sthitiḥ // Pramāṇav_1.130 //	SanEs-yatnena vEguNye niraste sva-bale sTitiH // PramANa=-_1.130 //
   kṛpā svabījaprabhavā svabījaprabhavairna cet /	kRpA sva-bIja-praBavA sva-bIja-praBavEH-na ced /
   vipakṣairbādhyate citte prayātyatyantasātmatām // Pramāṇav_1.131 //	vipakzEH-bADyate citte prayAti-atyanta-sAtma-tAm // PramANa=-_1.131 //
   tathā hi mūlamabhyāsaḥ pūrvaḥ pūrvaḥ parasya tu /	taTA hi mUlam-aByAsaH pUrvaH pUrvaH parasya tu /
   kṛpāvairāgyabodhādeścittadharmasya pāṭave // Pramāṇav_1.132 //	kRpA-vErAgya-boDa-AdeH-citta-Darmasya pAwave // PramANa=-_1.132 //
   kṛpātmakatvamabhyāsād ghṛṇāvairāgyarāgavṛt /	kRpA-Atmaka-tvam-aByAsAt GRNOvErAgya-rAga-vRt /
   niṣpannaḥ karuṇotkarṣaḥ paraduḥkhākṣameritaḥ // Pramāṇav_1.133 //	nizpannaH karuNA-utkarzaH para-duHKa-akzamA-IritaH // PramANa=-_1.133 //
   dayāvān duḥkhahānārthamupāyeṣvabhiyujyate /	dayAvAn duHKa-hAna-arTam-upAyezu-aBiyujyate /
   parokṣopeyataddhetostadākhyānaṃ hi duṣkaram // Pramāṇav_1.134 //	parokza-upeya-tad-hetoH-tat-AKyAnam hi duzkaram // PramANa=-_1.134 //
   yuktyāgamābhyāṃ vimṛśan duḥkhahetu parīkṣate /	yukti-AgamAByAm vimRSan duHKa-hetu parIkzate /
   tasyānityādirūpaṃ ca duḥkhasyaiva viśeṣaṇaiḥ // Pramāṇav_1.135 //	tasyAnitya-Adi-rUpam ca duHKasya-eva viSezaNEH // PramANa=-_1.135 //
   yatastathā sthite hetau nivṛttirne ti paśyati /	yatas-taTA sTite hetO nivRttiH-ne ti paSyati /
   phalasya hetorhānārtha tadvipakṣaṃ parīkṣate // Pramāṇav_1.136 //	Palasya hetoH-hAna-arTa tad-vipakzam parIkzate // PramANa=-_1.136 //
   sādhyate tadvipakṣo 'po heto rūpāvabodhataḥ /	sADyate tad-vipakzaH apaH hetoH rUpa-avaboDataH /
   ātmātmīyagrahakṛtaḥ snehaḥ saṃskāragocaraḥ // Pramāṇav_1.137 //	Atma-AtmIya-graha-kRtaH snehaH saMskAra-gocaraH // PramANa=-_1.137 //
   heturvirodhi nairātmdarśanaṃ tasya bādhakam /	hetuH-viroDi nErAtmdarSanam tasya bADakam /
   bahuśo bahudhopāyaṃ kālena bahunāsya ca // Pramāṇav_1.138 //	bahuSas bahuDA-upAyam kAlena bahunA-asya ca // PramANa=-_1.138 //
   gacchantyabhyasyatastatra guṇadoṣāḥ prakāśatām /	gacCanti-aByasyataH-tatra guNa-dozAH prakASatAm /
   buddheśca pāṭavāddhetorvāsanātaḥ prahīyate // Pramāṇav_1.139 //	budDeH-ca pAwavAt-hetoH-vAsanAtaH prahIyate // PramANa=-_1.139 //
   parārthavṛttaiḥ khaḍgāderviśeṣo 'yaṃ mahāmuneḥ /	para-arTa-vRttEH Kaxga-AdeH-viSezaH ayam mahA-muneH /
   upāyābhyāsa evāyaṃ tādarthyācchāsanaṃ matam // Pramāṇav_1.140 //	upAya-aByAsaH eva-ayam tAdarTyAt-SAsanam matam // PramANa=-_1.140 //
   niṣpatteḥ prathamaṃ bhāvāddheturuktamidaṃ dvayam /	nizpatteH praTamam BAvAt-hetuH-uktam-idam dvayam /
   hetoḥ prahāṇaṃ triguṇaṃ sugatatvamaniḥśrayāt // Pramāṇav_1.149 //	hetoH prahANam triguNam sugata-tvam-aniHSrayAt // PramANa=-_1.149 //
   duḥkhasya śastaṃ nairātmyadṛṣṭeśca yuktito 'pi vā /	duHKasya Sastam nErAtmya-dRzweH-ca yuktitaH api vA /
   punarāvṛttirityuktau janmadoṣasamudbhavau // Pramāṇav_1.142 //	punarAvRttiH-iti-uktO janma-doza-samudBavO // PramANa=-_1.142 //
   ātmadarśanabījasya hānādapunarāgamaḥ /	Atma-darSana-bIjasya hAnAda-punar-AgamaH /
   tad bhūtabhinnātmatayā śeṣamakleśanirjvaram // Pramāṇav_1.143 //	tat BUta-Binna-Atma-tayA Sezam-akleSa-nirjvaram // PramANa=-_1.143 //
   kāyavāgbuddhivaiguṇyaṃ mārgoktyapaṭutāpi vā /	kAya-vAc-budDi-vEguNyam mArga-ukti-apawu-tA-api vA /
   aśeṣahānamabhyāsād uktyāderdoṣasaṃkṣayaḥ // Pramāṇav_1.144 //	aSeza-hAnam-aByAsAt ukti-AdeH-doza-saMkzayaH // PramANa=-_1.144 //
   netyeke vyatireko 'sya sandigdho vyabhicāryataḥ /	na-iti-eke vyatirekaH asya sandigDaH vyaBicAryataH /
   akṣayitvaṃ ca doṣāṇāṃ nityatvādanupāyataḥ // Pramāṇav_1.145 //	akzayitvam ca dozANAm nitya-tvAt-anupAyataH // PramANa=-_1.145 //
   upāyasyāparijñānādapi vā parikalpayet /	upAyasya-aparijQAnAt-api vA parikalpayet /
   hetumattvād viruddhasya hetorabhyāsataḥ kṣayāt // Pramāṇav_1.146 //	hetumat-tvAt virudDasya hetoH-aByAsataH kzayAt // PramANa=-_1.146 //
   hetusvabhāvajñānena tajjñānamapi sādhyate /	hetu-svaBAva-jQAnena tat-jQAnam-api sADyate /
   tāyaḥ svadṛṣṭamārgoktiḥ vaiphalyād vakti nānṛtam // Pramāṇav_1.147 //	tAyaH sva-dRzwa-mArga-uktiH vEPalyAt vakti na-anRtam // PramANa=-_1.147 //
   dayālutvāt parārthañca sarvārambhābhiyogataḥ /	dayAlu-tvAt parArTaQca sarva-AramBa-aBiyogataH /
   tasmāt pramāṇam tāyo vā catuḥsatyaprakāśanam // Pramāṇav_1.148 //	tasmAt pramANam tAyaH vA catur-satya-prakASanam // PramANa=-_1.148 //
   duḥkhaṃ saṃsāriṇaḥ skandhāḥ rāgādeḥ pāṭavekṣaṇāt /	duHKam saMsAriNaH skanDAH rAga-AdeH pAwava-IkzaNAt /
   abhyāsānna yadṛcchāto 'hetorjanmavirodhataḥ // Pramāṇav_1.149 //	aByAsAt-na yadRcCAtaH ahetoH-janma-viroDataH // PramANa=-_1.149 //
   vyabhicārānna vātādidhirmaḥ prakṛtisaṅkarāt /	vyaBicArAt-na vAta-Adi-DirmaH prakRti-saFkarAt /
   adoṣaścettadanyo 'pi dharmaḥ kiṃ tasya nekṣyate // Pramāṇav_1.150 //	adozaH-ced-tat-anyaH api DarmaH kim tasya na-Ikzyate // PramANa=-_1.150 //
   na sarvadharmaḥ sarveṣāṃ samarāgaprasaṅgatā /	na sarva-DarmaH sarvezAm sama-rAga-prasaFga-tA /
   rūpādivadadoṣaścet tulyaṃ tatrāpi codanam // Pramāṇav_1.151 //	rUpa-Adi-vat-adozaH-ced tulyam tatra-api codanam // PramANa=-_1.151 //
   ādhipatyaṃ viśiṣṭānāṃ yadi tatra na karmaṇām /	ADipatyam viSizwAnAm yadi tatra na karmaNAm /
   viśeṣe 'pi ca doṣāṇāmaviśeṣād asiddhatā // Pramāṇav_1.152 //	viSeze api ca dozANAm-aviSezAt asidDa-tA // PramANa=-_1.152 //
   na vikārād vikāreṇa sarveṣām na ca sarvajāḥ /	na vikArAt vikAreNa sarvezAm na ca sarvajAH /
   kāraṇe vardhamāne ca kāryahānirna yujyate // Pramāṇav_1.153 //	kAraNe varDamAne ca kArya-hAniH-na yujyate // PramANa=-_1.153 //
   tāpādiṣviva rāgādervikāro 'poi sukhādijaḥ /	tApa-Adizu-iva rAga-AdeH-vikAraH apoi suKa-Adi-jaH /
   vaiṣamyajena duḥkhena rāgasyānudbhavo yadi // Pramāṇav_1.154 //	vEzamya-jena duHKena rAgasya-anudBavaH yadi // PramANa=-_1.154 //
   vācyaṃ kenodbhavaḥ sāmyānmadavṛddhiḥ smarastataḥ /	vAcyam kena-udBavaH sAmyAt-mada-vRdDiH smaraH-tatas /
   rāgī viṣamadoṣo 'pi dṛṣṭaḥ sāmye 'pi nāparaḥ // Pramāṇav_1.155 //	rAgI vizama-dozaH api dRzwaH sAmye api na-aparaH // PramANa=-_1.155 //
   kṣayādasṛksru to 'pyanye naikastrīniyato madaḥ /	kzayAt-asRk-sru taH api-anye na-eka-strI-niyataH madaH /
   tenaikasyāṃ na tīvraḥ syād aṅga rūpādyapīti cet // Pramāṇav_1.156 //	tena-ekasyAm na tIvraH syAt aFga rUpa-Adi-api-iti ced // PramANa=-_1.156 //
   na sarveṣāmanekāntānna cāpyaniyato bhavet /	na sarvezAm-anekAntAn-na ca-api-aniyataH Bavet /
   aguṇagrāhiṇo 'pi syāt aṅgaṃ so 'pi guṇagrahaḥ // Pramāṇav_1.157 //	aguNa-grAhiNaH api syAt aFgam saH api guNa-grahaH // PramANa=-_1.157 //
   yadi sarvo guṇagrāhī syād hetoraviśeṣataḥ /	yadi sarvaH guNa-grAhI syAt hetoH-aviSezatas /
   yadavastho mato rāgī na dveṣī syācca tādṛśaḥ // Pramāṇav_1.158 //	yad-avasTaH mataH rAgI na dvezI syAt-ca tAdRSaH // PramANa=-_1.158 //
   tayorasamarūpatvānniyamaścātra nekṣyate /	tayoH-asama-rUpa-tvAt-niyamaH-ca-atra na-Ikzyate /
   sajātivāsanābhedapratibaddhapravṛttayaḥ // Pramāṇav_1.159 //	sa-jAti-vAsanA-Beda-pratibadDa-pravRttayaH // PramANa=-_1.159 //
   yasya rāgādayastasya naite doṣāḥ prasaṅginaḥ /	yasya rAga-AdayaH-tasya na-ete dozAH prasaFginaH /
   etena bhūtadharmatvaṃ niṣiddham niḥśrayasya ca // Pramāṇav_1.160 //	etena BUta-Darma-tvam nizidDam niHSrayasya ca // PramANa=-_1.160 //
   niṣedhānna pṛthivyādiniḥśritā dhavalādayaḥ /	nizeDAt-na pRTivI-Adi-niHSritA Davala-AdayaH /
   tadupādāyaśabdaśca hetvarthaḥ svāśrayeṇa ca // Pramāṇav_1.161 //	tad-upAdAya-SabdaH-ca hetu-arTaH sva-ASrayeNa ca // PramANa=-_1.161 //
   avinirbhāgavartitvād rūpāderāśrayo 'pi vā /	avinirBAga-varti-tvAt rUpa-AdeH-ASrayaH api vA /
   madādiśakteriva ced vinirbhāgaḥ na vastunaḥ // Pramāṇav_1.162 //	mad-Adi-SakteH-iva ced vinirBAgaH na vastunaH // PramANa=-_1.162 //
   śaktirarthāntaraṃ vastu naśyennāśritāmāśraye /	SaktiH-arTa-antaram vastu naSyet-na-ASritAm-ASraye /
   tiṣṭhatyavikale yāti tattulyaṃ cenna bhedataḥ // Pramāṇav_1.163 //	tizWati-avikale yAti tad-tulyam ced-na BedataH // PramANa=-_1.163 //
   bhūtacetanayoḥ bhinnapratibhāsāvabodhataḥ /	BUta-cetanayoH Binna-pratiBAsA-avaboDataH /
   āvikārañca kāyasya tulyarūpaṃ bhavenmanaḥ // Pramāṇav_1.164 //	AvikAraQca kAyasya tulya-rUpam Bavet-manaH // PramANa=-_1.164 //
   rūpādivat vikalpasya kaivārthaparatantratā /	rUpa-Adi-vat vikalpasya kA-eva-arTa-paratantra-tA /
   anapekṣya yadā kāyaṃ vāsanābodhakāraṇam // Pramāṇav_1.165 //	anapekzya yadA kAyam vAsanA-boDa-kAraNam // PramANa=-_1.165 //
   jñānaṃ syāt kasyacit kiñcit kutaścit tena kiñcina /	jQAnam syAt kasyacid kiQcid kutaScid tena kiQcinaH /
   avijñānasya vijñānānupādānācca sidhyati // Pramāṇav_1.166 //	avijQAnasya vijQAna-anupAdAnAt-ca siDyati // PramANav_1.166 //
   vijñānaśaktisambandhādiṣṭaṃ cet sarvavastunaḥ /	vijQAna-Sakti-sambanDa-Adizwam ced sarva-vastunaH /
   etat sāṃkhyapaśoḥ ko 'nyaḥ salajjo vaktumīhate 167 //	etat sAMKya-paSoH kaH anyaH sa-lajjaH vaktum-Ihate 167 //
   adṛṣṭapūrvamastīti tṛṇāgre kariṇāṃ śatam /	adRzwa-pUrvam-asti-iti tRNa-agre kariNAm Satam /
   yad rūpaṃ dṛśyatāṃ yātaṃ tad rūpaṃ prāṅ na dṛśyate // Pramāṇav_1.168 //	yat rUpam dRSyatAm yAtam tat rUpam prAk na dRSyate // PramANa=-_1.168 //
   śatadhā viprakīrṇe 'pi hetau tad vidyate katham /	SataDA viprakIrNe api hetO tat vidyate kaTam /
   rāgādyaniyamo 'pūrvaprādurbhāve prasajyate // Pramāṇav_1.169 //	rAga-Adi-aniyamaH apUrva-prAdurBAve prasajyate // PramANa=-_1.169 //
   bhūtātmatānatikrāntaḥ sarvo rāgādimān yadi /	BUtAtma-tAn-atikrAntaH sarvaH rAga-AdimAn yadi /
   sarvaḥ samānarāgaḥ syād bhūtātiśayato na cet // Pramāṇav_1.170 //	sarvaH samAna-rAgaH syAt BUta-atiSayataH na ced // PramANa=-_1.170 //
   bhūtānāṃ prāṇatābhede 'pyayaṃ bhedo yadāśrayaḥ /	BUtAnAm prANa-tA-Bede api-ayam BedaH yad-ASrayaH /
   tannirhrāsātiśayavat tadbhāvāt tāni hāpayet // Pramāṇav_1.171 //	tad-nirhrAsa-atiSaya-vat tad-BAvAt tAni hApayet // PramANa=-_1.171 //
   na ced bhede 'pi rāgādihetutulyātmatākṣayaḥ /	na ced Bede api rAga-Adi-hetu-tulya-Atma-tA-kzayaH /
   sarvatra rāgaḥ sadṛśaḥ syāddhetossadṛśātmanaḥ // Pramāṇav_1.172 //	sarvatra rAgaH sadRSaH syAt-hetoH-sadRSa-AtmanaH // PramANa=-_1.172 //
   na hi gopratyayasyāsti samānātmabhuvaḥ kvacit /	na hi go-pratyayasya-asti samAna-Atma-BuvaH kvacid /
   tāratabhyaṃ pṛthivyādau prāṇitāderihāpi vā // Pramāṇav_1.173 //	tArataByam pRTivI-AdO prANita-AdeH-iha-api vA // PramANa=-_1.173 //
   auṣṇyasya tāratamye 'pi nānuṣṇo 'gniḥ kadācana /	OzNyasya tAratamye api na-anuzNaH agniH kadAcana /
   tathehāpīti cennāgnerauṣṇyād bhedaniṣedhataḥ // Pramāṇav_1.174 //	taTA-iha-api-iti ced-na-agneH-OzNyAt Beda-nizeDataH // PramANa=-_1.174 //
   tāratamyānubhavino yasyānyasya sato guṇāḥ /	tAratamya-anuBavinaH yasya-anyasya sataH guNAH /
