   vīṇāśikhatantra	vINA-SiKa-tantra
   dahanaṃ cāgninā kāryaṃ $ hūṃkāreṇa prabodhayet &	dahanam ca-agninA kAryam $ hUMkAreNa praboDayet &
   dīpanaṃ tu śikhāmadhye % mantrāṇāṃ mantravādinām // VT_371 //	dIpanam tu SiKA-maDye % mantrANAm mantra-vAdinAm // VT_371 //
   amalīkurutesūryaś $ candreṇāpyāyanaṃ smṛtam &	amalIkurutesUryaH $ candreNa-ApyAyanam smRtam &
   śivīkurvīta bindusthaṃ % mantrī mantraṃ tu yogavit // VT_372 //	SivIkurvIta bindu-sTam % mantrI mantram tu yoga-vid // VT_372 //
   evaṃ mantraviśuddhas tu $ candrasūryasamanvitam &	evam mantra-viSudDaH tu $ candra-sUrya-samanvitam &
   dīpanaṃ śaktinā nityaṃ % japen mantrī samāhitaḥ // VT_373 //	dIpanam SaktinA nityam % japet mantrI samAhitaH // VT_373 //
   amṛtodbhavakāle tu $ mantrī yatnena niścayāt &	amRta-udBava-kAle tu $ mantrI yatnena niScayAt &
   vaśam ānayate kṣipraṃ % viśvaṃ manata ? saṃśayaḥ // VT_374 //	vaSam Anayate kzipram % viSvam manataH ? saMSayaH // VT_374 //
   yāvatī māyā mantrāṇāṃ $ sarveṣāṃ kathitā mayā &	yAvatI mAyA mantrANAm $ sarvezAm kaTitAH mayA &
   vidhir atra krame cāyaṃ % paścād vakṣye jape vidhim // VT_375 //	viDiH atra krame ca-ayam % paScAt vakzye jape viDim // VT_375 //
   yajanakāle samprāpte $ ekacittaḥ samāhitaḥ &	yajana-kAle samprApte $ ekacittaH samAhitaH &
   hṛtpadme karṇikāsīna- % devatārpitamānasaḥ // VT_376 //	hRd-padme karNikA-AsIna % devatA-arpita-mAnasaH // VT_376 //
   śikhābinduṃ vinirdhārya $ tanmantraṃ hṛdi saṃsthitam &	SiKAbindum vinirDArya $ tad-mantram hRdi saMsTitam &
   putavarṇavidhānaṃ syād % akṛtoccāranisvanam // VT_377 //	puta-varNa-viDAnam syAt % akRta-uccAra-nisvanam // VT_377 //
   svasthacitto hy asammūḍha $ alākūrdhvasthitātmanaḥ &	svasTa-cittaH hi asammUXa $ alAku-UrDva-sTita-AtmanaH &
   avicchinnaṃ drutaṃ caiva % avilambitam eva ca // VT_378 //	avicCinnam drutam ca-eva % avilambitam eva ca // VT_378 //
   tāvan mantrī japen mantraṃ $ yāvac cittaṃ na khidyate &	tAvat mantrI japet mantram $ yAvat cittam na Kidyate &
   alabhya mama mantraṃ syād % drutaṃ kālasya sidhyati // VT_379 //	alaBya mama mantram syAt % drutam kAlasya siDyati // VT_379 //
   japaṃ kṛtvā tu medhāvī $ nānyam etat samarpayet &	japam kRtvA tu meDAvI $ na-anyam etat samarpayet &
   mantrī kurvīta yatnena % yathārthatvaṃ nibodhata // VT_380 //	mantrI kurvIta yatnena % yaTArTa-tvam niboData // VT_380 //
   prathame vāyavī proktā $ dvitīyā tv analā smṛtā &	praTame vAyavI proktA $ dvitIyA tu analA smRtA &
   tṛtīyā caiva māhendrī % vāruṇī tu tathāpare // VT_381 //	tRtIyA ca-eva mAhendrI % vAruNI tu taTA-apare // VT_381 //
   oṃkārapūrvato mantraṃ $ namaskārāntayojitam &	oMkAra-pUrvatas mantram $ namaskAra-anta-yojitam &
   bījapiṇḍaṃ tu madhyasthaṃ % mudrāyuktaṃ sadā yajet // VT_382 //	bIja-piNxam tu maDya-sTam % mudrA-yuktam sadA yajet // VT_382 //
   kṣipram arthas tathā karma $ bhuktibhogaṃ sudurlabham &	kzipram arTaH taTA karma $ Bukti-Bogam su-durlaBam &
   sādhayen manasā sarvaṃ % bījamudrāprayogataḥ // VT_383 //	sADayet manasA sarvam % bIja-mudrA-prayogataH // VT_383 //
   hūṃkāram adito nyastam $ namaskārāntavyavasthitam &	hUMkAram aditaH nyastam $ namaskAra-anta-vyavasTitam &
   uccātayet sarvaduṣtān % daityabhūtagrahāṃs tathā // VT_384 //	uccAtayet sarva-duztAn % dEtya-BUta-grahAn taTA // VT_384 //
   oṃkārayojitasyādau $ svāhākārāvasānataḥ &	oMkAra-yojitasya-AdO $ svAhAkAra-avasAnataH &
   agnikāryaprayogo 'yaṃ % kṣipram arthaṃ prasādhayet // VT_385 //	agni-kArya-prayogaH ayam % kzipram arTam prasADayet // VT_385 //
   oṃkārasamputaṃ piṇḍaṃ $ rakāreṇa tu dīpakam &	oMkAra-samputam piNxam $ rakAreNa tu dIpakam &
   sādhayen manasā dhyātvā % kāmārthaś ca yathepsitam // VT_386 //	sADayet manasA DyAtvA % kAma-arTaH ca yaTA-Ipsitam // VT_386 //
   suptaṃ bodhayate mantrī $ śīghraṃ siddhim avāpnuyāt &	suptam boDayate mantrI $ SIGram sidDim avApnuyAt &
   oṃkāraś ca rakāraś ca % phaṭkāraś caiva madhyataḥ // VT_387 //	oMkAraH ca rakAraH ca % PawkAraH ca-eva maDyatas // VT_387 //
   madhye vargāntapiṇḍas tu $ karma kuryād yathepsitam &	maDye varga-anta-piNxaH tu $ karma kuryAt yaTA-Ipsitam &
   hūṃkāram ādau ante ca % hakāraś cādimadhyataḥ // VT_388 //	hUMkAram AdO ante ca % hakAraH ca-Adi-maDyataH // VT_388 //
   japan tu bodhayen mantrī $ api suptam acetanam &	japan tu boDayet mantrI $ api suptam acetanam &
   hūṃkāraś ca rakāraś ca % phaṭkāram ādimadhyataḥ // VT_389 //	hUMkAraH ca rakAraH ca % PawkAram Adi-maDyatas // VT_389 //
   kruddhas tu jāpayen mantrī $ yadākarma na kurvati &	krudDaH tu jApayet mantrI $ yadA-akarma na kurvati &
   oṃkārasamputaṃ kṛtvā % namaskārāntayojitam // VT_390 //	oMkAra-samputam kRtvA % namaskAra-anta-yojitam // VT_390 //
   japet piṇḍākṣaraṃ mantrī $ sarvasiddhikaraṃ param &	japet piNxa-akzaram mantrI $ sarva-sidDi-karam param &
   śāntikapauṣtikaṃ karma % śubheṣu aśubheṣu ca // VT_391 //	SAntika-pOztikam karma % SuBezu aSuBezu ca // VT_391 //
   kṣipram āvāhane siddhir $ homabījaprayogataḥ &	kzipram AvAhane sidDiH $ homa-bIja-prayogataH &
   homayet phalabījāni % dhānyabījatṛṇāni ca // VT_392 //	homayet Pala-bIjAni % DAnya-bIja-tRNAni ca // VT_392 //
   payasā vāpi śuddhena $ homakarma hy udāhṛtam &	payasA vA-api SudDena $ homa-karma hi udAhRtam &
   madhunā ghṛtasaṃyuktaṃ % tilaṃ juhyād vicakṣaṇi // VT_393 //	maDunA GRta-saMyuktam % tilam juhyAt vicakzaNi // VT_393 //
   sādhayet sarvakarmāṇi $ vaṣatkṛtaṃ japiṣyati &	sADayet sarva-karmANi $ vazat-kRtam japizyati &
   sarveṣāṃ guhyamantrāṇāṃ % bījamudrāṃ prayojayet // VT_394 //	sarvezAm guhya-mantrANAm % bIja-mudrAm prayojayet // VT_394 //
   aprakāśyam idaṃ guhyaṃ $ śivavaktrād viniḥsṛtam &	aprakASyam idam guhyam $ Siva-vaktrAt viniHsRtam &
   yas tv idaṃ dhyāyate nityaṃ % pūjayen manasā japet // VT_395 //	yaH tu idam DyAyate nityam % pUjayet manasA japet // VT_395 //
   sa bhuṅkte vipulān bhogān $ īśānāntapadaṃ labhet // VT_396 //	sa BuFkte vipulAn BogAn $ ISAna-anta-padam laBet // VT_396 //
   vīṇāśikhā sārdhaśatatrayaṃ yāmalatantraṃ samāptam iti	vINA-SiKA sArDa-Sata-trayam yAmalatantram samAptam iti
   (Verse 375 in Ed. has only 2 pādas)	(VeH-se 375 id Ed. has onlI 2 pAdas)
   Appendices :	AppendiceH :
   A:	A:
   hūṃkārādau svāhānte ākarṣaṇe	hUMkAra-AdO svAhA-ante AkarzaNe
   oṃkārādau vauṣat ante śāntike	oMkAra-AdO vOzat ante SAntike
   oṃkārādau su vaṣaḍ ante pauṣtike	oMkAra-AdO su vazaw ante pOztike
   oṃkārādau vaṣaḍante 'mṛtīkaraṇe	oMkAra-AdO vazaw-ante amRtIkaraNe
   phat phat māraṇe	Pat Pat mAraNe
   oṃ kṣraṃ saṃhārāstra	om kzram saMhAra-astra
   B:	B:
   kṣa puruṣa/prakṛti buddhi/ahaṅkāra manaḥ	kza puruza/-prakRti budDi-/ahaFkAra manaH
   ja śabdasparśarasarūpagandha tanmātraṃ	ja Sabda-sparSa-rasa-rUpa-ganDa tanmAtram
   bha pṛthivī āpa teja vāyu ākāśa pañcamahābhūta	Ba pRTivI Apa teja vAyu AkASa paQca-mahABUta-
   /ma/śrotratvaccakṣurjihvāghrāṇa buddhīndriya	/ma/-Srotra-tvad-cakzuH-jihvA-GrANa budDIndriya
   ha/vākpāṇipādapāyūpastha karmendriya	ha/vAc-pANi-pAda-pAyu-upasTa karmendriya
   C:	C:
   jaya brāhmani bhūmi	jaya brAhmani BUmi
   vijaya kṣatrāṇi / āpa	vijaya kzatrANi / Apa
   ajita / vaisani / teja	ajitaH / vEsani / teja
   aparājita sūdrani / vāyu	aparAjita sUdrani / vAyu
   tumburu akāśa śūnya nirguṇa	tumburu akASa SUnya nirguNa
   D:	D:
   kṣakāraḥ puruṣaḥ sākṣāt makāraḥ prakṛtiḥ smṛtā	kzakAraH puruzaH sAkzAt makAraH prakRtiH smRtA
   mahān hakāram ity āhur ahaṃkāras tu ya smṛtaḥ	mahAn hakAram iti AhuH ahaMkAraH tu ye smRtaH
   oṃkāras tu manaḥ proktaṃ kathitaṃ devi te kramāt	oMkAraH tu manaH proktam kaTitam devi te kramAt-
   Colophon :	ColoPon :
   vīṇāśikhaṃ vāmatantraṃ sampūrṇam śubham astu	vINA-SiKam vAmatantram sampUrNam SuBam astu
