   (Gv 1)	(Gu 1)
   jetavanamacintyadivyavimānameghagaganatalālaṃkāraṃ saṃsthitamabhūt /	jetavanam acintya divya vimAna meGa gagana tala alaMkAram saMsTitam aBUt /
   asaṃkhyeyasarvagandhavṛkṣameghasaṃchannālaṃkāram,	asaMKyeya sarva ganDa vRkza meGa saMCanna alaMkAram,
   anabhilāpyasarvavyūhasumerusaṃchannālaṃkāram,	anaBilApya sarva vyUha sumeru saMCanna alaMkAram,
   anabhilāpyavādyatūryameghasarvatathāgatastutisaṃgītimadhuranirghoṣālaṃkāram,	anaBilApya vAdya tUrya meGa sarva taTAgata stuti saMgIti maDura nirGoza alaMkAram,
   anabhilāpyaratnapadmameghasaṃchannālaṃkāram,	anaBilApya ratna padma meGa saMCanna alaMkAram,
   anabhilāpyaratnasiṃhāsanadivyamaṇiratnavastraprajñaptabodhisattvaniṣaṇṇatathāgatastutimeghamadhuranirghoṣālaṃkāram,	anaBilApya ratna siMhAsana divya maNi ratna vastra prajQapta boDisattva nizaNNa taTA gata stuti meGa maDura nirGoza alaMkAram,
   anabhilāpyadevendrabimbasadṛśābhimukhamaṇivigrahameghālaṃkāram,	anaBilApya deva indra bimba sadRSa aBimuKa maNi vigraha meGa alaMkAram,
   anabhilāpyaśvetamuktijālameghālaṃkāram,	anaBilApya Sveta mukti jAla meGa alaMkAram,
   anabhilāpyalohitamuktākūṭāgārameghasaṃchannālaṃkāram,	anaBilApya lohita muktA kUwa AgAra meGa saMCanna alaMkAram,
   anabhilāpyavajrasāramuktāmeghapravarṣaṇālaṃkāraṃ saṃsthitamabhūt /	anaBilApya vajra sAra muktA meGa pravarzaNa alaMkAram saMsTitam aBUt /
   tatkasya hetoḥ? tathā hi tadacintyaṃ tathāgatakuśalamūlam,	tat kasya hetoH? taTA hi tat acintyam taTAgata kuSala mUlam,
   acintyastathāgataśukladharmopacayaḥ, acintyaṃ	acintyaH taTAgata Sukla Darma upacayaH, acintyam
   tathāgatabuddhavṛṣabhitādhiṣṭhānam, acintyaṃ	taTAgata budDa vRzaBita aDizWAnam, acintyam
   tathāgatasarvalokadhātvekakāyaspharaṇavikurvitam, acintyaṃ	taTAgata sarva loka DAtu eka kAya sParaNa vikurvitam, acintyam
   sarvatathāgataikakāyapraveśasarvabuddhakṣetravyūhasamavasaraṇādhiṣṭhānasaṃdarśanam	sarva taTAgata eka kAya praveSa sarva budDa kzetra vyUha samavasaraNa aDizWAna saMdarSanam
   acintyaṃ tathāgatānāmekaparamāaṇurajasi	acintyam taTAgatAnAm eka paramAaNu H ajasi
   sarvadharmadhātupratibhāsavijñaptisaṃdarśanam, acintyaṃ	sarva DarmaDAtu pratiBAsa vijQapti saMdarSanam, acintyam
   tathāgatānāmekaromakūpe (Gv 6)	taTAgatAnAm eka romakUpe (Gu 6)
   pūrvāntakoṭīgatasarvatathāgataparaṃparāsaṃdarśan, acintyaṃ	pUrva anta kowI gata sarva taTAgata paraMpara asaMdarSan, acintyam
   tathāgatāmekaraśmimukhasarvalokadhātuparamāṇurajaḥprasarāvabhāsanam,	taTAgatAm eka raSmi muKa sarva loka DAtu paramANu rajaH prasara avaBAsanam,
   acintyaṃ tathāgatānāmekaromamukhasarvalokadhātuparamāṇurajaḥsamaṃ	acintyam taTAgatAnAm eka roma muKa sarva loka DAtu paramANu rajaH samam
   nirmitameghasarvabuddhakṣetraspharaṇam, acintyaṃ	nirmita meGa sarva budDa kzetra sParaNam, acintyam
   tathāgatānāmekaromamukhasarvalokadhātusaṃvartavivartakalpasaṃdarśanaṃ ca /	taTAgatAnAm eka roma muKa sarva loka DAtu saMvarta vivarta kalpa saMdarSanam ca /
   yathā ca jetavanamevaṃrūpayā buddhakṣetrapariśuddhyā pariśuddhaṃ	yaTA ca jetavanam evaMrUpayA budDa kzetra pariSudDyA pariSudDam
   saṃsthitam, evaṃ daśasu dikṣu dharmadhātuparamākāśadhātuparyavasānāḥ	saMsTitam, evam daSasu dikzu DarmaDAtu parama AkASa DAtu paryavasAnAH
   sarvalokadhātavaḥ pariśuddhāḥ saṃsthitā alaṃkṛtāḥ pratimaṇḍitāḥ	sarva loka DAtavaH pariSudDAH saMsTitAH alaMkRtAH pratimaNxitAH
   tathāgatakāyaparisphuṭā jetavanasamavasaraṇā bodhisattvaparipūrṇāḥ	taTAgata kAya parisPuwAH jetavana samavasaraNAH boDisattva paripUrNAH
   tathāgataparṣanmaṇḍalasamudrasuvyavasthitāḥ sarvavyūhameghabhipravarṣaṇāḥ,	taTAgata parzat maNxala samudrasu vyavasTitAH sarva vyUha meGa BipravarzaNAH,
   sarvaratnaprabhāvabhāsitāḥ sarvamaṇiratnameghapravarṣitālaṃkārāḥ,	sarva ratna praBAva BAsitAH sarva maNi ratna meGa pravarzita alaMkArAH,
   sarvakṣetravyūhameghasaṃchannālaṃkārāḥ,	sarva kzetra vyUha meGa saMCanna alaMkArAH,
   sarvadivyātmabhāvameghapravarṣitālaṃkārāḥ	sarva divya Atma BAva meGa pravarzita alaMkArAH
   sarvapuṣpameghapravarṣitālaṃkārāḥ, supuṣpitakośaspharaṇālaṃkārāḥ,	sarva puzpa meGa pravarzita alaMkArAH, su puzpita koSa sParaNa alaMkArAH,
   sarvavastrameghanānāraṅgaruciracīvaravarṣapramuktakośāḥ,	sarva vastra meGanAnA raFga rucira cIvara varza pramukta koSAH,
   sarvamālyadāmahāravyūhameghācchannadhārābhipravarṣaṇālaṃkārāḥ	sarva mAlya dAma hAra vyUha meGAt Canna DArA aBipravarzaNa alaMkArAH
   sarvadiksamutthitanānāgandhadhūpameghapaṭalasarvajagaccharīrasadṛśasaṃsthānapravarṣāṇālaṃkārāḥ	sarva diS samutTita nAnA ganDa DUpa meGa pawala sarva jagat SarIra sadRSa saMsTAna pravarzANa alaMkArAH
   sarvaratnakusumajālameghācchannaratnajālasūkṣmacūrṇapravarṣaṇālaṃkārāḥ	sarva ratna kusuma jAla meGAt Canna ratna jAla sUkzma cUrNa pravarzaNa alaMkArAH
   sarvaratnadhvajapatākāmeghadivyakanyāpāṇiparigṛhītagaganatalāvartanaparivartanālaṃkārāḥ	sarva ratna Dvaja patAkA meGa divya kanyA pANi parigRhIta gagana tala Avartana parivartana alaMkArAH
   sarvaratnapadmavicitraratnapatramaṇḍalordhvadaṇḍādhaḥkesaranibaddhatūryasaṃghaṭṭitamadhuranirghoṣālaṃkārāḥ	sarva ratna padma vicitra ratna patra maNxala UrDva daNxa aDas kesara nibadDa tUrya saMGawwita maDura nirGoza alaMkArAH
   sarvaratnabimbajālasiṃhapañjaranānāratnacitrahāramālyālaṃkārāḥ saṃsthitāḥ	sarva ratna bimba jAla siMha paQjara nAnA ratna citra hAra mAlya alaMkArAH saMsTitAH
   saṃdṛśyante sma //	saMdRSyante sma //
   samanantarasamāpannasya bhagavata evaṃ siṃhavijṛmbhitaṃ tathāgatasamādhim,	samanantara samApannasya BagavataH evam siMha vijRmBitam taTAgata samADim,
   atha tāvadeva pūrvasyāṃ diśi anabhilāpyabuddhakṣetraparamāṇurajaḥsamānāṃ	aTa tAvat eva pUrvasyAm diSi anaBilApya budDa kzetra paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa kanakameghapradīpadhvajāyā	lokaDAtu samudrANAm pareNa kanaka meGa pradIpa DvajAyA
   lokadhātorvairocanaśrītejorājasya tathāgatasya	lokaDAtoH vErocana SrItejaH rAjasya taTAgatasya
   buddhakṣetrādvairocanapraṇidhānanābhiraśmiprabho nāma bodhisattvo	budDa kzetrAt vErocana praNiDAna nABiH aSmipraBaH nAma boDisattvaH 
   mahāsattvaḥ	mahAsattvaH
   sārdhamanabhilāpyabuddhakṣetraparamāṇurajaḥsamairbodhisattvaistena	sArDam anaBilApya budDa kzetra paramANu rajaH samEH boDisattvEH tena
   bhagavatā anujñātaḥ tataḥ parṣanmaṇḍalasamudrāduccalitvā yena	BagavatA anujQAtaH tatas parzad maNxala samudrAt uccalitvA yena
   sahālokadhātustenopasaṃkrānto nānāvyūhameghairgaganatalamalaṃkurvan /	saha AlokaDAtuH tena upasaMkrAntaH nAnA vyUha meGEH gagana talam alaMkurvan /
   yaduta divyapuṣpameghavarṣamabhipravarṣan, divyagandhameghavarṣaṃ	yat uta divya puzpa meGa varzam aBipravarzan, divya ganDa meGa varzam
   pramuñcan, divyaratnapadmameghavarṣamabhiprakiran,	pramuQcan, divya ratna padma meGa varzam aBiprakiran,
   divyamālyameghavarṣamavarsṛjan, divyaratnameghavarṣamabhipravarṣan,	divya mAlya meGa varzam avarsRjan, divya ratna meGa varzam aBipravarzan,
   divyābharaṇameghavarṣamabhipravarṣan, divyaratnacchatrameghānabhinirharan,	divya ABaraNa meGa varzam aBipravarzan, divya ratna= Catra meGa anaBinirharan,
   vicitranānāraṅgasūkṣmadivyavastrameghavarṣamabhipravarṣan,	vicitra nAnA raFga sUkzma divya vastra meGa varzam aBipravarzan,
   divyaratnadhvajapatākāmeghān gaganatale 'dhitiṣṭhan, ruciraiḥ	divya ratna Dvaja patAkA meGAn gagana tale aDitizWan, rucirEH
   sarvaratnameghavyūhairgaganatalaṃ spharan, yena bhagavāṃstenopasaṃkramya	sarva ratna meGa vyUhEH gagana talam sParan, yena BagavAn= tena upasaMkramya
   sārdhaṃ parivāreṇa bhagavantaṃ namaskṛtya pūrvāṃ diśamupaniśritya	sArDam parivAreNa Bagavantam namaskRtya pUrvAm diSam upaniSritya
   samantavyūhamaṇiratnajālasaṃchannāni kūṭāgārāṇi	samantavyUha maNi ratna jAla saMCannAni kUwAgArANi
   dikprabhāsamaṇirājapadmagarbhāṇi ca siṃhāsanānyabhinirmāya	diS praBAsa maNi rAja padma garBANi ca siMhAsanAni aBinirmAya
   nyaṣidatparyaṅkamābhujya cintārājamaṇiratnajālālaṃkārasaṃchannāni	nyazidat paryaFkam ABujya cintA rAja maNi ratna jAlA alaMkAra saMCannAni
   bodhisattvaśarīrāṇyadhiṣṭhāya //	boDisattva SarIrANi aDizWAya //
   dakṣiṇāyāṃ diśi anabhilāpyabuddhakṣetraparamāṇurajaḥsamānāṃ	dakziNAyAm diSi anaBilApya budDa kzetra paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa vajrasāgaragarbhāyā lokadhātoḥ	lokaDAtu samudrANAm pareNa vajra sAgara garBAyAH lokaDAtoH
   samantāvabhāsaśrīgarbharājasya tathāgatasya buddhakṣetrād	samanta avaBAsa SrI garBa rAjasya taTAgatasya budDa kzetrAd
   duryodhanavīryavegarājo nāma bodhisattvo mahāsattvaḥ	duryoDana vIrya vega rAjaH nAma boDisattvaH mahAsattvaH
   sārdhamanabhilāpyabuddhakṣetraparamāṇurajaḥsamairbodhisattvaiḥ tena ca	sArDam anaBilApya budDa kzetra paramANu rajaH samEH boDisattvEH tena ca
   bhagavatā anujñātaḥ tataḥ parṣanmaṇḍalasamudrāduccalitvā yena	BagavatA anujQAtaH tatas parzad maNxala samudrAt uccalitvA yena
   sahālokadhātustenopasaṃkrāntaḥ (Gv 7) sarvagandhadāmajālāvanaddhān	saha AlokaDAtuH tena upasaMkrAntaH (Gu 7) sarva ganDa dAma jAla avanadDAn
   sarvalokasamudrānadhitiṣṭhan, sarvaratnahāradāmajālāvanaddhān	sarva loka samudrAn aDi tizWan, sarva ratna hAra dAma jAla avanadDAn
   sarvabuddhakṣetraprasarānadhitiṣṭhan, sarvapuṣpadāmahārajālāvanaddhān	sarva budDa kzetra prasara an aDitizWan, sarva puzpa dAmahAra jAla avanadDAn
   sarvabuddhakṣetravaṃśānadhitiṣṭhan, sarvamālyadāmahārajālāvanaddhān	sarva budDa kzetra vaMSAn aDitizWan, sarva mAlya dAma hAra jAla avanadDAn
   sarvabuddhakṣetraparivartānadhitiṣṭhan,	sarva budDa kzetra parivartAn aDitizWan,
   sarvavajrahārādhastalapratiṣṭhānasaṃgṛhītāni	sarva vajra hArADaH tala pratizWAna saMgRhItAni
   sarvabuddhakṣetraparṣanmaṇḍalānyadhitiṣṭhan, sarvamaṇiratnajālāvanaddhān	sarva budDa kzetra parzad maNxalAni aDitizWan, sarva maNi ratna jAla avanadDAn
   sarvabuddhakṣetranayānadhitiṣṭhan,	sarva budDa kzetra nayAn aDitizWan,
   sarvavastradāmasamantaparigrahaparigṛhītān sarvalokadhātūnadhitiṣṭhan	sarva vastra dAma samanta parigraha parigRhItAn sarva loka DAtUn aDitizWan
   sarvaratnabimbahāradāmakalāpajālāvanaddhāni	sarva ratna bimba hAradAma kalApa jAla avanadDAni
   sarvabuddhakṣetrāṇyabhinirharan, śrīraśmimaṇiratnahāradāmajālāvanaddhāni	sarva budDa kzetrANi aBinirharan, SrI raSmi maNi ratna hAra dAma jAla avanadDAni
   sarvakṣetrāṇyadhitiṣṭhan,	sarva kzetrANi aDitizWan,
   sarvavyūharaśmyavabhāsavairocanamaṇirājadāmajālāvanaddhāni	sarva vyUha raSmi avaBAsa vErocana maNi rAja dAma jAla avanadDAni
   sarvabuddhakṣetrāṇyadhitiṣṭhan,	sarva budDa kzetrANi aDitizWan,
   siṃhakāntamaṇiratnahāradāmajālapratiṣṭhānasaṃgṛhītān	siMhakAnta maNi ratna hAra da Ama jAla pratizWAna saMgRhItAn
   sarvalokadhātūnadhitiṣṭhan yena bhagavāstenopasaṃkramya sārdhaṃ parivāreṇa	sarva loka DAtUn aDitizWan yena BagavAH tena upasaMkramya sArDam parivAreNa
   bhagavantaṃ namaskṛtya dakṣiṇāṃ diśamupaniśritya	Bagavantam namaskRtya dakziNAm diSam upaniSritya
   jagadvirocanamaṇikūṭāgārāṇi samantadigvirocanamaṇiratnapadmagarbhāṇi ca	jagat virocana maNi kUwa AgArANi samantadiS virocana maNi ratna padma garBANi ca
   siṃhāsanānyabhinirmāya nyaṣīdat paryaṅkamābhujya	siMhAsanAni aBinirmAya nyazIdat paryaFkam ABujya
   sarvaratnakusumajālālaṃkārasaṃchannāni bodhisattvaśarīrāṇyadhiṣṭhāya //	sarva ratna kusuma jAla alaMkAra saMCannAni boDisattva SarIrANi aDizWAya //
   paścimāyāṃ diśi anabhilāpyabuddhakṣetraparamāṇurajaḥsamānāṃ	paScimAyAm diSi anaBilApya budDa kzetra paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa maṇisumerūvirocanadhvajapradīpāyā	lokaDAtu samudrANAm pareNa maNi sumerU virocana Dvaja pradIpAyA
   lokadhātordharmadhātujñānapradīpasya tathāgatasya	lokaDAtoH Darma DAtu jQAna pradIpasya taTAgatasya
   buddhakṣetrātsamantaśrīsamudgatarājo nāma bodhisattvaḥ	budDa kzetrAt samanta SrI samudgata rAjaH nAma boDisattvaH
   sārdhamanabhilāpyalokadhātusamudraparamāṇurajaḥsamairbodhisattvaistena	sArDam anaBilApya loka DAtu samudra paramANu rajaH samEH boDisattvEH tena
   bhagavatā anujñātaḥ tataḥ parṣanmaṇḍalāduccalitvā yena	BagavatA anujQAtaH tatas parzad maNxalAt uccalitvA yena
   sahālokadhātustenopasaṃkrānto	saha AlokaDAtuH tena upasaMkrAntaH 
   'nabhilāpyabuddhakṣetraparamāṇurajaḥsamairnānāvarṇagandhadhvajasumerumeghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH nAnA varNa ganDa Dvaja sumeru meGEH
   sarvadharmadhātuṃ spharan,	sarva DarmaDAtum sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamairvividhagandhakusumameghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH viviDa ganDa kusuma meGEH
   sarvadharmadhātuṃ spharan,	sarva DarmaDAtum sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamairanekavarṇagandhasumerudhūpameghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH aneka varNa ganDa sumeru DUpa meGEH
   sarvadharmadhātuṃ spharan,	sarva DarmaDAtum sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamairvicitravarṇagandhameghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH vicitra varNa ganDa meGEH
   sarvadharmadhātuṃ spharan, anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	sarva DarmaDAtum sParan, anaBilApya budDa kzetra paramANu rajaH samEH
   sarvapariṣkārasadṛśavarṇaiḥ romatejaḥsaṃbhavamaṇirājasumerumeghaiḥ	sarva parizkAra sadRSa varNEH roma tejaH saMBava maNi rAja sumeru meGEH
   sarvadharmadhātuṃ spharan,	sarva DarmaDAtum sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamairnānāprabhāmaṇḍalavyūhajyotirdhvajamaṇiratnasumerumeghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH nAnA praBA maNxala vyUha jyotiH Dvaja maNi ratna sumeru meGEH
   sarvadharmadhātuṃ spharan,	sarva DarmaDAtum sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamairnānāvarṇavajragarbhamaṇirājanānāvyūhaviṣayasumerumeghaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH nAnA varNa vajra garBa maNi rAjanAnA vyUha vizaya sumeru meGEH
   sarvadharmadhātuṃ spharan, anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	sarva DarmaDAtum sParan, anaBilApya budDa kzetra paramANu rajaH samEH
   sarvalokadhātupratibhāsaviṣayairjāmbūnadamaṇiratnasumerumeghai	sarva loka DAtu pratiBAsa vizayEH jAmbUnada maNi ratna sumeru meGE
   sarvadharmadhātuṃ spharan, anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	sarva DarmaDAtum sParan, anaBilApya budDa kzetra paramANu rajaH samEH
   sarvaparvatadharmadhātupratibhāsamaṇirājasumerumeghaiḥ saṃchannaṃ	sarva parvata Darma DAtu pratiBAsa maNi rAja sumeru meGEH saMCannam
   gaganatalamadhitiṣṭhan, anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	gagana talam aDitizWan, anaBilApya budDa kzetra paramANu rajaH samEH
   sarvatathāgatalakṣaṇapratibhāsamaṇirājasumerumeghaiḥ	sarva taTAgata lakzaNa pratiBAsa maNi rAja sumeru meGEH
   sarvadharmadhātuviṣayaṃ spharan,	sarva DarmaDAtu vizayam sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH
   sarvatathāgatapūrvayogapratibhāsasaṃdarśanabodhisattvacaryānirghoṣasvaramaṇirājasumerumeghaiḥ	sarva taTAgata pUrva yoga pratiBAsa saMdarSana boDisattva caryA nirGoza svara maNi rAja sumeru meGEH
   sarvadharmadhātugaganaṃ spharan,	sarva Darma DAtu gaganam sParan,
   anabhilāpyabuddhakṣetraparamāṇurajaḥsamaiḥ	anaBilApya budDa kzetra paramANu rajaH samEH
   sarvatathāgatabodhimaṇḍapratibhāsamaṇirājasumerumeghairdaśa diśaḥ spharan	sarva taTAgata boDimaNxa pratiBAsa maNi rAja sumeru meGEH daSa diSaH sParan
   yena bhagavāṃstenopasaṃkramya sārdhaṃ parivāreṇa bhagavantaṃ namaskṛtya	yena BagavAn= tena upasaMkramya sArDam parivAreNa Bagavantam namaskRtya
   paścimāṃ diśamupaniśritya (Gv 8) sarvagandharājaśarīramuktājālasaṃchāditān	paScimAm diSam upaniSritya (Gu 8) sarva ganDa rAja SarIra muktA jAla saMCAditAn
   kūṭāgārān devendrapratibhāsadhvajamaṇiratnapadmagarbhāṇi ca	kUwAgArAn deva indra pratiBAsa Dvaja maNi ratna padma garBANi ca
   siṃhāsanānyabhinirmāya nyaṣīdat paryaṅkamābhujya	siMhAsanAni aBinirmAya nyazIdat paryaFkam ABujya
   suvarṇamaṇirājasaṃchāditāni cintārājamakuṭāvabaddhāni	suvarNa maNi rAja saMCAditAni cintA rAja makuwa avabadDAni
   bodhisattvaśarīrāṇyadhiṣṭhāya //	boDisattva SarIrANi aDizWAya //
   uttarāyāṃ diśi anabhilāpyabuddhakṣetraparamāṇurajaḥsamānāṃ	uttarAyAm diSi anaBilApya budDa kzetra paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa ratnavastrāvabhāsadhvajāyāṃ lokadhātau	lokaDAtu samudrANAm pareNa ratna vastra avaBAsa DvajAyAm lokaDAtO
   dharmadhātugaganaśrīvairocanasya tathāgatasya buddhakṣetrādasaṅgaśrīrājo	DarmaDAtu gagana SrI vErocanasya taTAgatasya budDa kzetrAt asaFga SrI rAjaH 
   nāma bodhisattvo mahāsattvaḥ	nAma boDisattvaH mahAsattvaH
   sārdhamanabhilāpyalokadhātusamudraparamāṇurajaḥsamairbodhisattvaistena	sArDam anaBilApya loka DAtu samudra paramANu rajaH samEH boDisattvEH tena
   bhagavatā anujñātaḥ tataḥ parṣanmaṇḍalasamudrāduccalitvā yena	BagavatA anujQAtaH tatas parzad maNxala samudrAt uccalitvA yena
   sahālokadhātustenopasaṃkrāntaḥ / sarvaratnapaṭṭameghālaṃkāram	saha AlokaDAtuH tena upasaMkrAntaH / sarva ratna pawwa meGa alaMkAram
   gaganatalamadhitiṣṭhan, pītavarṇapītanirbhāsaratnavastrameghālaṃkāraṃ	gagana talam aDitizWan, pIta varNa pIta nirBAsa ratna vastra meGa alaMkAram
   gaganatalamadhitiṣṭhan,	gagana talam aDitizWan,
   nānāgandhaparivāsitamaṇivastrameghapravarṣitālaṃkāraṃ	nAnA ganDa parivAsita maNi vastra meGa pravarzita alaMkAram
   gananatalamadhitiṣṭhan, ādityadhvajamaṇirājavastrameghālaṃkāraṃ	ganana talam aDitizWan, Aditya Dvaja maNi rAja vastra meGa alaMkAram
   gaganatalamadhitiṣṭhan, kanakaśrījvalanamaṇiratnavastrameghālaṃkāraṃ	gagana talam aDitizWan, kanaka SrI jvalana maNi ratna vastra meGa alaMkAram
   gaganatalamadhitiṣṭhan, ratnajvalanamaṇirājavastrameghālaṃkāraṃ	gagana talam aDitizWan, ratna jvalana maNi rAja vastra meGa alaMkAram
   gaganatalamadhitiṣṭhan,	gagana talam aDitizWan,
   sarvajyotiḥpratibimbavicitramaṇivastrameghālaṃkāraṃ	sarva jyotiH pratibimba vicitra maNi vastra meGa alaMkAram
   gaganatalamadhitiṣṭhan,	gagana talam aDitizWan,
   pāṇḍukambalaśilāvabhāsamaṇiratnavastrameghadaśadikparisphuṭaṃ	pANxu kambala SilA avaBAsa maNi ratna vastra meGa daSa diS pari sPuwam
   gaganatalamadhitiṣṭhan,	gagana talam aDitizWan,
   vairocanaśrījvalanāvabhāsamaṇirājavastrameghadaśadikparisphuṭaṃ	vErocana SrI jvalana avaBAsa maNi rAja vastra meGa daSa diS pari sPuwam
   gaganatalamadhitiṣṭhan,	gagana talam aDitizWan,
   avabhāsottaptavaddikkulavairocanamaṇirājavastrameghadaśadikparisphuṭaṃ	avaBAsa uttapta vat dikkula vErocana maNi rAja vastra meGa daSa diS pari sPuwam
   gaganatalamadhitiṣṭhan, sāgaravyūhamaṇirājavastrameghasaṃchannaṃ	gagana talam aDitizWan, sAgara vyUha maNi rAja vastra meGa saMCannam
   gaganatalamadhitiṣṭhan yen bhagavāṃstenopasaṃkramya sārdhaṃ parivāreṇa	gagana talam aDitizWan yet BagavAn= tena upasaMkramya sArDam parivAreNa
   bhagavantaṃ namaskṛtya uttarāṃ diśamupaniśritya	Bagavantam namaskRtyaH uttarAm diSam upaniSritya
   sāgarasaṃbhavamaṇirājakūṭāgāravaiḍūryapadmagarbhasiṃhāsanāni ca	sAgara saMBava maNi rAja kUwa AgAra vExUrya padma garBa siMhAsanAni ca
   abhinirmāya nyaṣīdat paryaṅkamābhujya siṃhakrāntamaṇirājajālasaṃchāditāni	aBinirmAya nyazIdat paryaFkam ABujya siMha krAnta maNi rAja jAla saMCAditAni
   jyotirdhvajamaṇicūḍāvabaddhāni bodhisattvaśarīrāṇyadhiṣṭhāya //	jyotiH Dvaja maNi cUxa avabadDAni boDisattva SarIrANi aDizWAya //
   uttarapūrvasyāṃ diśi anabhilāpyabuddhakṣetraparamāṇurajaḥsamānāṃ	uttara pUrvasyAm diSi anaBilApya budDa kzetra paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa sarvamahāpṛthivīrājamaṇiraśmijālapramuktāyā	lokaDAtu samudrANAm pareNa sarva mahA pRTivI rAja maNi raSmi jAla pramuktAyAH 
