   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   sthasya dvitīyasya puruṣasya vyūhasya nānāvatāritvaṃ vivṛṇoti    [end Vṛ.	sTasya dvitIyasya puruzasya vyUhasya nAnA avatAri tvam vivRNoti   [end VR.
   reading.]	reading.]
   etan nānāvatārāṇāṃ nidhānaṃ bījam avyayam |	etat nAnA avatArANAm niDAnam bIjam avyayam |
   yasyāṃśāṃśena sṛjyante deva tiryaṅ narādayaḥ || [BhP 1.3.5]	yasya aMSa aMSena sRjyante deva tiryaF nara AdayaH || [Bhj 1.3.5]
   etad iti brahmāṇḍastham | nidhānaṃ sarovarāṇāṃ samudra iva sva rāśmīn	etat iti brahmANxa sTam | niDAnam sarovarANAm samudraH iva sva rASmIn
   sūrya iva sadaivāśrayaḥ | ataevāvyayam anapakṣayam | bījam udgama 	sUryaH iva sadA eva ASrayaH | ataeva avyayam anapakzayam | bIjam udgama 
   sthānam | na kevalam avatārāṇāṃ bījaṃ jagato'pīty āha yasyeti |	sTAnam | na kevalam avatArANAm bIjam jagataH api iti Aha yasya iti |
   atha prācuryeṇa tad avatārān kathayaṃs tad aikya vivakṣayā tad aṃśāṃśinor	aTa prAcuryeNa tad  avatArAn kaTayan tad  Ekya  vivakzayA tad  aMSAMSinoH 
   apy avirbhāva mātraṃ gaṇayati viṃśatyā  	api avirBAva  mAtram gaNayati viMSatyA  
   sa eva prathamaṃ devaḥ kaumāraṃ sargam āśritaḥ |	saH eva praTamam devaH kOmAram sargam ASritaH |
   cacāra duścaraṃ brahmā brahmacaryam akhaṇḍitam || [BhP 1.3.6]	cacAra duScaram brahmA brahmacaryam aKaNxitam || [Bhj 1.3.6]
   yo'mbhasi śayāno yaś ca sahasra pādādi rūpaḥ sa eva puruṣākhyo devaḥ | ete	yaH amBasi SayAnaH yaH ca sahasra pAda Adi rUpaH saH eva puruza AKyaH devaH | ete
   cāṃśa kalāḥ puṃsaḥ [BhP 1.3.28] ity upasaṃhārasyāpi saṃvādāt | kaumāraṃ	ca aMSa kalAH puMsaH [Bhu 1.3.28] iti upasaMhArasya api saMvAdAt | kOmAram
   catuḥsana rūpam | brahmā brahmaṇo bhūtvā |	catuHsana  rUpam | brahmA brahmaNaH BUtvA |
   dvitīyaṃ tu bhavāyāsya rasātala gatāṃ mahīm |	dvitIyam tu BavAya asya rasAtala  gatAm mahIm |
   uddhariṣyann upādatta yajñeśaḥ saukaraṃ vapuḥ || [BhP 1.3.7]	udDarizyan upAdatta yajQeSaH sOkaram vapuH || [Bhj 1.3.7]
   asya viśvasya udbhavāya |	asya viSvasya udBavAya |
   tṛtīyam ṛṣi sargaṃ vai devarṣitvam upetya saḥ |	tRtIyam Rzi  sargam vE devaRzi tvam upetya saH |
   tantraṃ sātvatam ācaṣṭa naiṣkarmyaṃ karmaṇāṃ yataḥ || [BhP 1.3.8]	tantram sAtvatam Acazwa nEzkarmyam karmaNAm yatas || [Bhj 1.3.8]
   ṛṣi sargam upetya tatrāpi devarṣitvaṃ nāradatvam upetya | sātvataṃ	Rzi  sargam upetya tatra api devaRzi tvam nArada tvam upetya | sAtvatam
   vaiṣṇavam | tantraṃ pañcarātrāgamam | karmaṇā karmākāreṇāpi satāṃ śrī 	vEzNavam | tantram paQca rAtra Agamam | karmaNA karma AkAreNa api satAm SrI 
   bhagavad dharmāṇāṃ yatas tantrān naiṣkarmyaṃ karma bandha mocakatvena	Bagavat  DarmANAm yatas tantrAt nEzkarmyam karma  banDa  mocaka tvena
   karmabhyo nirgatatvaṃ tebhyo bhinnatvaṃ pratīyate iti śeṣaḥ |	karmaByaH nirgata tvam teByaH Binna tvam pratIyate iti SezaH |
   turye dharma kalā sarge nara nārāyaṇāv ṛṣī |	turye Darma  kalA  sarge nara  nArAyaNO RzI |
   bhūtvātmopaśamopetam akarod duścaraṃ tapaḥ || [BhP 1.3.9]	BUtvA Atma upaSama upetam akarot duScaram tapaH || [Bhj 1.3.9]
   spaṣṭam |	spazwam |
   pañcamaḥ kapilo nāma siddheśaḥ kāla viplutam |	paQcamaH kapilaH nAma sidDa ISaH kAla  viplutam |
   provācāsuraye sāṅkhyaṃ tattva grāma vinirṇayam || [BhP 1.3.10]	provAca asuraye sAFKyam tattva  grAma  vinirNayam || [Bhj 1.3.10]
   āsuri nāmne viprāya |	Asuri nAmne viprAya |
   ṣaṣṭham atrer apatyatvaṃ vṛtaḥ prāpto 'nasūyayā |	zazWam atreH apatya tvam vRtaH prAptaH anasUyayA |
   ānvīkṣikīm alarkāya prahlādādibhya ūcivān || [BhP 1.3.11]	AnvIkzikIm alarkAya prahlAda AdiByaH UcivAn || [Bhj 1.3.11]
   atriṇā tat sadṛśa putrotpatti mātraṃ prakaṭaṃ yācitam iti caturthādy 	atriNA tat  sadRSa  putra utpatti  mAtram prakawam yAcitam iti caturTa Adi  
   abhiprāyaḥ | etad vākyenānasūyayā tu kadācit sākṣād eva śrīmad 	aBiprAyaH | etat  vAkyena anasUyayA tu kadAcid sAkzAt eva SrImat  
   īśvarasyaiva putra bhāvo vṛto'stīti labhyate | uktaṃ ca brahmāṇḍa purāṇe	ISvarasya eva putra BAvaH vRtaH asti iti laByate | uktam ca brahmANxa purANe
   pativratopākhyāne  	pativrata upAKyAne  
   anasūyābravīn natvā devān brahmeśa keśavān | (page 6)	anasUyA bravIt natvA devAn brahma ISa  keSavAn | (page 6)
   yūyaṃ yadi prasannā me varārhā yadi vāpy aham |	yUyam yadi prasannA me vara arhA yadi vA api aham |
   prasādābhimukho bhūtvā mama putratvam eṣyatha || iti |	prasAda aBimuKaH BUtvA mama putra tvam ezyaTa || iti |
   ānvīkṣikīm ātma vidyām | śrī viṣṇor evāvatāro'yam |	AnvIkzikIm Atma vidyAm | SrI vizNoH eva avatAraH ayam |
   tataḥ saptama ākūtyāṃ rucer yajño 'bhyajāyata |	tatas saptamaH AkUtyAm ruceH yajQaH aByajAyata |
   sa yāmādyaiḥ sura gaṇair apāt svāyambhuvāntaram || [BhP 1.3.12]	sa yAma AdyEH sura  gaNEH apAt svAyamBuva antaram || [Bhj 1.3.12]
   sa yajñas tadā svayam indro'bhūd ity arthaḥ |	sa yajQaH tadA svayam indraH aBUt iti arTaH |
   aṣṭame merudevyāṃ tu nābher jāta urukramaḥ |	azwame merudevyAm tu nABeH jAtaH urukramaH |
   darśayan vartma dhīrāṇāṃ sarvāśrama namaskṛtam || [BhP 1.3.13]	darSayan vartma DIrANAm sarva ASrama  namaskRtam || [Bhj 1.3.13]
   urukrama ṛṣabho jātaḥ |	urukramaH RzaBaH jAtaH |
   ṛṣibhir yācito bheje navamaṃ pārthivaṃ vapuḥ |	RziBiH yAcitaH Beje navamam pArTivam vapuH |
   dugdhemām oṣadhīr viprās tenāyaṃ sa uśattamaḥ || [BhP 1.3.14]	dugDa imAm ozaDIH viprAH tena ayam saH uSattamaH || [Bhj 1.3.14]
   pārthivaṃ rāja dehaṃ pṛthu rūpam | uśattamaḥ kamanīyatamaḥ ||	pArTivam rAja  deham pRTu  rUpam | uSattamaH kamanIyatamaH ||
   rūpaṃ sa jagṛhe mātsyaṃ cākṣuṣodadhi samplave |	rUpam sa jagRhe mAtsyam cAkzuza udaDi  samplave |
   nāvy āropya mahī mayyām apād vaivasvataṃ manum || [BhP 1.3.15]	nAvi Aropya mahI  mayyAm apAt vEvasvatam manum || [Bhj 1.3.15]
   cākṣuṣa manvantare ya udadhi samplavas tasmin | vaivasvatam iti bhāvinī	cAkzuza manvantare yaH udaDi samplavaH tasmin | vEvasvatam iti BAvinI
   saṃjñā satyavratasya | pratimanvantarāvasāne'pi pralayaḥ śrūyate |	saMjQA satyavratasya | pratimanvantara avasAne api pralayaH SrUyate |
   śrī viṣṇu 	SrI  vizNu 
   dharmottare prathama kāṇḍe   manvantare parikṣīṇe kīdṛśī dvija jāyate	Darma uttare praTama kANxe  manvantare parikzINe kIdRSI dvija jAyate
   [1.75.1] iti śrī vajra praśnasya manvantare parikṣīṇe ity ādi mārkaṇḍeya 	[1.75.1] iti SrI  vajra praSnasya manvantare parikzINe iti Adi mArkaNxeya 
   dattottare  	datta uttare  
   ūrmi mālī mahā vegaḥ sarvam āvṛtya tiṣṭhati |	Urmi mAlI mahA vegaH sarvam AvRtya tizWati |
   bhūrlokam āśritaṃ sarvaṃ tadā naśyati yādava ||	BUrlokam ASritam sarvam tadA naSyati yAdava ||
   na vinaśyanti rājendra viśrutāḥ kula parvatāḥ |	na vinaSyanti rAja indra viSrutAH kula parvatAH |
   naur bhūtvā tu mahā devī ity ādi ca | [1.75.5 6, 9]	nOH BUtvA tu mahA  devI iti Adi ca | [1.75.5 6, 9]
   evam eva manvantareṣu saṃhāra ity ādi prakaraṇaṃ śrī hari vaṃśe tadīya 	evam eva manvantarezu saMhAraH iti Adi prakaraNam SrI  hari vaMSe tadIya 
   ṭīkāsu ca spaṣṭam eva | ataś cākṣuṣe vaivasvatam ity upalakṣaṇam |	wIkAsu ca spazwam eva | atas cAkzuze vEvasvatam iti upalakzaNam |
   surāsurāṇām udadhiṃ mathnatāṃ mandarācalam |	sura asurANAm udaDim maTnatAm mandara acalam |
   dadhre kamaṭha rūpeṇa pṛṣṭha ekādaśe vibhuḥ || [BhP 1.3.16]	daDre kamaWa  rUpeNa pRzWe ekAdaSe viBuH || [Bhj 1.3.16]
   spaṣṭam |	spazwam |
   dhānvantaraṃ dvādaśamaṃ trayodaśamam eva ca |	DAnvantaram dvAdaSamam trayodaSamam eva ca |
   apāyayat surān anyān mohinyā mohayan striyā || [BhP 1.3.17]	apAyayat surAn anyAn mohinyAH mohayan striyAH || [Bhj 1.3.17]
   bibhrad ity uttareṇānvayaḥ | dvādaśamaṃ dhānvantaraṃ rūpaṃ bibhrat |	biBrat iti uttareNa anvayaH | dvAdaSamam DAnvantaram rUpam biBrat |
   trayodaśaṃ mohinī rūpaṃ bibhrat | surān apāyayat sudhām iti śeṣaḥ | kena	trayodaSam mohinI  rUpam biBrat | surAn apAyayat suDAm iti SezaH | kena
   rūpeṇa ? mohinyā striyā tad rūpeṇety arthaḥ | kiṃ kurvan ? anyān surān	rUpeNa ? mohinyA striyA tad  rUpeNa iti arTaH | kim kurvan ? anyAn surAn
   mohayan, dhanvantari rūpeṇa sudhāṃ copaharann iti śeṣaḥ | ajitasyāvatārā	mohayan, Danvantari  rUpeNa suDAm ca upaharan iti SezaH | ajitasya avatArA
   ete trayaḥ |	ete trayaH |
   caturdaśaṃ nārasiṃhaṃ bibhrad daityendram ūrjitam |	caturdaSam nArasiMham biBrat dEtya indram Urjitam |
   dadāra karajair ūrāv erakāṃ kaṭa kṛd yathā || [BhP 1.3.18]	dadAra karajEH UrO erakAm kawa kRt yaTA || [Bhj 1.3.18]
   nārasiṃhaṃ rūpaṃ bibhrat |	nArasiMham rUpam biBrat |
   pañcadaśaṃ vāmanakaṃ kṛtvāgād adhvaraṃ baleḥ |	paQcadaSam vAmanakam kRtvA agAt aDvaram baleH |
   pada trayaṃ yācamānaḥ pratyāditsus tri piṣṭapam || [BhP 1.3.19]	pada  trayam yAcamAnaH pratyAditsuH tri pizwapam || [Bhj 1.3.19]
   kṛtvā prakaṭayya |	kRtvA prakawayya |
   avatāre ṣoḍaśame paśyan brahma druho nṛpān |	avatAre zoxaSame paSyan brahma druhaH nRpAn |
   triḥ sapta kṛtvaḥ kupito niḥ kṣatrām akaron mahīm || [BhP 1.3.20]	tris  sapta kRtvas kupitaH niH kzatrAm akarot mahIm || [Bhj 1.3.20]
   avatāre śrī paraśurāmābhidhe | spaṣṭam |	avatAre SrI  paraSurAma aBiDe | spazwam |
   tataḥ saptadaśe jātaḥ satyavatyāṃ parāśarāt |	tatas saptadaSe jAtaH satyavatyAm parASarAt |
   cakre veda taroḥ śākhā dṛṣṭvā puṃso 'lpa medhasaḥ || [BhP 1.3.21]	cakre veda taroH SAKAH dRzwvA puMsaH alpa meDasaH || [Bhj 1.3.21]
   nara devatvam āpannaḥ sura kārya cikīrṣayā |	nara  deva tvam ApannaH sura  kArya  cikIrzayA |
   samudra nigrahādīni cakre vīryāṇy ataḥ param || [BhP 1.3.22]	samudra  nigraha AdIni cakre vIryANi atas param || [Bhj 1.3.22]
   naradevatvaṃ śrī rāghava rūpeṇa | ataḥ param aṣṭādaśe | ayaṃ sākṣāt	naradeva tvam SrI rAGava  rUpeNa | atas param azwAdaSe | ayam sAkzAt 
   puruṣa eva | skānde śrī rāma gītāyāṃ viśva rūpaṃ darśayatas tasya brahma 	puruzaH eva | skAnde SrI rAma gItAyAm viSva rUpam darSayataH tasya brahma 
   viṣṇu rudra kṛta stuteḥ śravaṇāt | (page 7)	vizNu  rudra kRta stuteH SravaNAt | (page 7)
   ekonaviṃśe viṃśatime vṛṣṇiṣu prāpya janmanī |	ekonaviMSe viMSatime vRzNizu prApya janmanI |
   rāma kṛṣṇāv iti bhuvo bhagavān aharad bharam || [BhP 1.3.23]	rAma  kRzNO iti BuvaH BagavAn aharat Baram || [Bhj 1.3.23]
   bhagavān iti sākṣād bhagavata evāvirbhāvo'yaṃ na tu puruṣa 	BagavAn iti sAkzAt BagavataH eva AvirBAvaH ayam na tu puruza 
   saṃjñasyāniruddhasyeti viśeṣa pratipatty artham | tatra tasya	saMjQasya anirudDasya iti viSeza  pratipatti  arTam | tatra tasya
   sākṣād rūpatvāt	sAkzAt  rUpa tvAt
   śrī kṛṣṇa rūpeṇa nijāṃśa rūpatvād rāma rūpeṇāpi bhārahāritvaṃ bhagavata	SrI  kRzNa  rUpeNa nija aMSa rUpa tvAt rAma  rUpeNa api BAra hAri tvam Bagavata
   evety ubhayatrāpi bhagavān aharad bharam iti śliṣṭam eva | ato rāmasyāpy	eva iti uBayatra api BagavAn aharat Baram iti Slizwam eva | atas rAmasya api 
   aniruddhāvatāratvaṃ svayaṃ pratyākhyātam | śrī kṛṣṇasya vāsudevatvāc	anirudDa avatAra tvam svayam pratyAKyAtam | SrI  kRzNasya vAsudeva tvAt 
   chrī rāmasya ca saṅkarṣaṇatvād yuktam eva ca tad iti |	CrI rAmasya ca saFkarzaNa tvAt yuktam eva ca tat iti |
   tataḥ kalau sampravṛtte sammohāya sura dviṣām |	tatas kalO sampravRtte sammohAya sura  dvizAm |
   buddho nāmnāñjana sutaḥ kīkaṭeṣu bhaviṣyati || [BhP 1.3.24]	budDaH nAmnA aQjana  sutaH kIkawezu Bavizyati || [Bhj 1.3.24]
   kīkaṭeṣu gayā pradeśeṣu |	kIkawezu gayA  pradeSezu |
   athāsau yuga sandhyāyāṃ dasyu prāyeṣu rājasu |	aTa asO yuga sanDyAyAm dasyu  prAyezu rAjasu |
   janitā viṣṇu yaśaso nāmnā kalkir jagat patiḥ || [BhP 1.3.25]	janitA vizNu yaSasaH nAmnA kalkiH jagat patiH || [Bhj 1.3.25]
   yuga sandhyāyāṃ kaler ante |	yuga sanDyAyAm kaleH ante |
   atha śrī hayagrīva hari haṃsa pṛśnigarbha vibhu satyasena vaikuṇṭhājita 	aTa SrI hayagrIva  hari  haMsa  pRSni garBa  viBu  satya sena  vEkuNWa ajita 
   sārvabhauma viśvaksena dharmasetu sudhāma yogeśvara bṛhadbhānv 	sArvaBOma  viSvaksena  Darma setu  suDA ma yoga ISvara  bRhadBAnv 
   ādīnāṃ śuklādīnāṃ cānuktānāṃ saṅgrahārtham āha  	AdInAm Sukla AdInAm ca anuktAnAm saFgraha arTam Aha  
   avatārā hy asaṅkhyeyā hareḥ sattva nidher dvijāḥ |	avatArAH hi asaFKyeyAH hareH sattva  niDeH dvijAH |
   yathāvidāsinaḥ kulyāḥ sarasaḥ syuḥ sahasraśaḥ || [BhP 1.3.26]	yaTA vidAsinaH kulyAH sarasaH syuH sahasraSas || [Bhj 1.3.26]
   asaṅkhyeyatve hetuḥ sattva nidheḥ sattvasya tat prādurbhāva śakteḥ	asaFKyeya tve hetuH sattva  niDeH sattvasya tat  prAdurBAva  SakteH
   sevadhi 	sevaDi 
   rūpasya | tatraiva dṛṣṭāntaḥ yatheti | avidāsina upakṣaya śūnyāt sarasaḥ	rUpasya | tatra eva dRzwAntaH yaTA iti | avidAsinaH upakzaya  SUnyAt sarasaH
   sakāśāt | [Vṛ. adds: kulyās tat svabhāva kṛtā nirjharā avidāsinyaḥ	sakASAt | [VR. adds: kulyAH tat  svaBAva kRtAH nirJarAH avidAsinyaH
   sahasraśaḥ	sahasraSas 
   sambhavantīti | Vṛ. addition ends.] atra ye'ṃśāvatārās teṣu caiṣa viśeṣo	samBavanti iti | VR. addition ends.] atra ye aMSa avatArAH tezu ca eza viSezaH 
   jñeyaḥ | śrī kumāra nāradādiṣv ādhikārikeṣu jñāna bhakti 	jQeyaH | SrI kumAra  nArada Adizu ADi kArikezu jQAna  Bakti 
   śaktyāṃśāveśaḥ | śrī pṛthv ādiṣu kriyā śakty aṃśāveśaḥ | kvacit svayam	SaktyA aMSa AveSaH | SrI  pRTv Adizu kriyA  Sakti  aMSa AveSaH | kvacid svayam
   āveśas teṣāṃ bhagavān evāham iti vacanāt | atha śrī matsya devādiṣu	AveSaH tezAm BagavAn eva aham iti vacanAt | aTa SrI  matsya  deva Adizu
   sākṣād aṃśatvam eva | tatra cāṃśatvaṃ nāma sākṣād bhagavattve'py	sAkzAt  aMSa tvam eva | tatra ca aMSa tvam nAma sAkzAt  Bagavat tve api 
   avyabhicāri tādṛśa tad icchā vaśāt sarvadaika deśatayaivābhivyakta śakty 	avyaBicAri tA dRSa  tad  icCA  vaSAt sarvadA eka deSa tayA eva aBivyakta Sakti  
   ādikatvam iti jñeyam | tahtaivodāhariṣyate rāmādi mūrtiṣu kalā niyamena	Adika tvam iti jQeyam | tahtA eva udAharizyate rAma Adi mUrtizu kalA  niyamena
   tiṣṭhan [BrahmaS 5.50] iti |	tizWan [BrahmaH 5.50] iti |
   atha vibhūtīr āha  	aTa viBUtIH Aha  
   ṛṣayo manavo devā manu putrā mahaujasaḥ |	RzayaH manavaH devAH manu  putrAH mahA ojasaH |
   kalāḥ sarve harer eva saprajāpatayaḥ smṛtāḥ || [BhP 1.3.27]	kalAH sarve hareH eva sa prajApatayaH smRtAH || [Bhj 1.3.27]
   kalā vibhūtayaḥ | alpa śakteḥ prakāśād vibhūtitvaṃ mahā śaktes tv	kalA viBUtayaH | alpa  SakteH prakASAt viBUti tvam mahA  SakteH tu 
   āveśatvam iti bhedaḥ |	AveSa tvam iti BedaH |
   tad evaṃ paramātmānaṃ sāṅgam eva nirdhāryaṃ proktānuvāda pūrvakaṃ	tat evam paramAtmAnam sAFgam eva nirDAryam prokta anuvAda  pUrvakam
   śrī bhagavantam apy ākāreṇa nirdhārayati  	SrI  Bagavantam api AkAreNa nirDArayati  
   ete cāṃśa kalāḥ puṃsaḥ kṛṣṇas tu bhagavān svayam | iti [BhP 1.3.28]	ete ca aMSa kalAH puMsaH kRzNaH tu BagavAn svayam | iti [Bhj 1.3.28]
   (page 8)	(page 8)
   ete pūrvoktāḥ | ca śabdād anuktāś ca prathamam uddiṣṭasya puṃsaḥ	ete pUrva uktAH | ca  SabdAt anuktAH ca praTamam uddizwasya puMsaH
   puruṣasyāṃśa kalāḥ | kecid aṃśāḥ svayam evāṃśāḥ sākṣād 	puruzasya aMSa kalAH | kecid aMSAH svayam eva aMSAH sAkzAt  
   aṃśatvenāṃśāṃśatvena ca dvividhāḥ | kecid aṃśāviṣṭatvād aṃśāḥ, kecit tu	aMSatvena aMSa aMSa tvena ca dviviDAH | kecid aMSa Avizwa tvAt aMSAH, kecid tu
   kalā vibhūtayaḥ | iha yo viṃśatitamāvatāratvena kathitaḥ sa kṛṣṇas tu	kalA  viBUtayaH | iha yaH viMSatitamA avatAra tvena kaTitaH sa kRzNaH tu
   bhagavān | puruṣasyāpy avatārī yo bhagavān sa eṣa evety arthaḥ | atra	BagavAn | puruzasya api avatArI yaH BagavAn saH ezaH eva iti arTaH | atra
   anuvādam anuktvaiva na vidheyam udīrayed iti vacanāt kṛṣṇasyaiva	anuvAdam anuktvA eva na viDeyam udIrayet iti vacanAt kRzNasya eva
   bhagavattva lakṣaṇa dharmitve siddhe mūlāvatāritvam eva sidhyati na tu	Bagavat tva  lakzaNa  Darmi tve sidDe mUla avatAri tvam eva siDyati na tu
   tataḥ	tatas 
   prādurbhūtatvam | etad eva vyanakti svayam iti | tatra ca svayam eva	prAdurBUta tvam | etat eva vyanakti svayam iti | tatra ca svayam eva
   bhagavān, na tu bhagavataḥ prādurbhūtatayā na tu vā bhagavattvādhyāsenety	BagavAn , na tu BagavataH prAdurBUta tayA na tu vA Bagavat tva aDyAsena iti 
   arthaḥ | na cāvatāra prakaraṇe'pi paṭhita iti saṃśayaḥ | paurvāparye	arTaH | na ca avatAra  prakaraNe api paWitaH iti saMSayaH | pOrvAparye
   pūrva 	pUrva 
   daurbalyaṃ prakṛtivad iti nyāyāt | yathāgniṣṭome yady udgātā vicchidyād	dOrbalyam prakRti vat iti nyAyAt | yaTA agnizwome yadi udgAtA vicCidyAt 
   adakṣiṇena yajeta yadi pratihartā sarvasva dakṣiṇeneti śruteḥ | tayoś ca	adakziNena yajeta yadi pratihartA sarva sva  dakziNena iti SruteH | tayoH ca
   kadācid dvayor api vicchede prāpte viruddhayoḥ prāyaścittayoḥ	kadAcid dvayoH api vicCede prApte virudDayoH prAyaScittayoH
   samuccayāsambhave ca param eva prāyaścittaṃ siddhāntitaṃ tadvad ihāpi iti	samuccaya asamBave ca param eva prAyaScittam sidDAntitam tadvat iha api iti
   athavā kṛṣṇas tv iti śrutyā prakaraṇasya bādhāt | yathā śaṅkara śārīrike	aTavA kRzNaH tu iti SrutyA prakaraNasya bADAt | yaTA SaFkara  SArIrike
   bhāṣye śruty ādi balīyastvāc ca na bādhaḥ [Vs 3.3.50] iti sūtre, te haite	BAzye Sruti  Adi balIyaH tvAt ca na bADaH [VH 3.3.50] iti sUtre, te ha ete
   vidyācita eva iti śrutir manaś cid ādīnām agnīnāṃ prakaraṇa prāptaṃ	vidyA citaH eva iti SrutiH manaH cid A AdInAm agnInAm prakaraNa  prAptam
   kriyānupraveśa prakaraṇe'py anyatra kvacid api bhagavac chabdam akṛtvā	kriyA anupraveSa  prakaraNe api anyatra kvacid api Bagavac  Sabdam akRtvA
   tatraiva bhagavān aharad bharam [BhP 1.3.23] ity anena kṛtavān |	tatra eva BagavAn aharat Baram [Bhu 1.3.23] iti anena kRtavAn |
   tataś cāsyāvatāreṣu gaṇanāt tu svayaṃ bhagavān apy asau svarūpa stha eva	tatas ca asya avatArezu gaNanAt tu svayam BagavAn api asO svarUpa  sTaH eva
   nija parijana vṛndānām ānanda viśeṣa camatkārāya kim api mādhuryaṃ	nija  parijana  vRndAnAm Ananda  viSeza  camatkArAya kim api mADuryam
   nija janmādi līlayā puṣṇan kadācit sakala loka dṛśyo bhavatīty	nija  janma Adi lIlayA puzNan kadAcid sakala  loka dRSyaH Bavati iti 
   apekṣayaivety āyātam | yathoktaṃ brahma saṃhitāyām  	apekzayA eva iti AyAtam | yaToktam brahma saMhitAyAm  
   rāmādi mūrtiṣu kalā niyamena tiṣṭhan	rAma Adi mUrtizu kalA  niyamena tizWan
   nānāvatāram akarod bhuvaneṣu kintu |	nAnA avatAram akarot Buvanezu kintu |
   kṛṣṇaḥ svayaṃ samabhavat paramaḥ pumān yo	kRzNaH svayam samaBavat paramaH pumAn yaH 
   govindam ādi puruṣaṃ tam ahaṃ bhajāmi || [BS 5.39]	govindam Adi puruzam tam aham BajAmi || [BH 5.39]
   avatārāś ca prākṛta vaibhave'vataraṇam iti | śrī kṛṣṇa sāhacaryeṇa śrī 	avatArAH ca prAkRta  vEBave avataraNam iti | SrI  kRzNa  sAhacaryeNa SrI 
   rāmasyāpi puruṣāṃśatvātyayo jñeyaḥ | atra tu śabdo'ṃśa kalābhyaḥ puṃsaś	rAmasya api puruza aMSa tva atyayaH jQeyaH | atra tu SabdaH aMSa kalAByaH puMsaH 
   ca sakāśād bhagavato vailakṣaṇyaṃ bodhayati | yad vānena tu śabdena	ca sakASAt BagavataH vElakzaNyam boDayati | yat vA anena tu  Sabdena
   sāvadhāraṇā śrutir iyaṃ pratīyate | tataḥ sāvadhāraṇā śrutir balavatīti	sa avaDAraNA SrutiH iyam pratIyate | tatas sa avaDAraNA SrutiH balavatI iti
   nyāyena śrutyaiva śrutam apy anyeṣāṃ mahā nārāyaṇādīnāṃ svayaṃ	nyAyena SrutyA eva Srutam api anyezAm mahA  nArAyaNa AdInAm svayam
   bhagavattvaṃ guṇībhūtam āpadyate |	Bagavat tvam guNIBUtam Apadyate |
   evaṃ puṃsa iti bhagavān iti ca prathamam upakramoddiṣṭasya śabda dvayasya	evam puMsaH iti BagavAn iti ca praTamam upakrama uddizwasya Sabda  dvayasya
   tat sahodareṇa tenaiva śabdena ca pratinirdeśāt tāv eva khalv etāv iti	tat  sahodareNa tena eva Sabdena ca pratinirdeSAt tO eva Kalu etO iti
   smārayati | uddeśa pratinirdeśayoḥ pratīti (page 9) sthagitatā nirasanāya	smArayati | uddeSa  pratinirdeSayoH pratIti  (page 9) sTa gita tA  nirasanAya
   vidvadbhir eka eva śabdaḥ prayujyate tat sama varṇo vā | yathā	vidvadBiH ekaH eva SabdaH prayujyate tat sama varNaH vA | yaTA
   jyotiṣṭomādhikaraṇe vasante vasante ca jyotiṣā yajeta ity atra	jyotizwoma aDikaraNe vasante vasante ca jyotizA yajeta iti atra
   jyotiḥ śabdo	jyotiH  SabdaH 
   jyotiṣṭhoma viṣayo bhavatīti |	jyotizWaH ma  vizayaH Bavati iti |
