   namas+buddhāya	namas+budDAya
   śreyāṃsi vas+diśatu tāṇḍavitasya	SreyAMsi vas+diSatu tANxavitasya
   śambhos+ambhodharāvalighanadhvanis+aṭṭahāsas+ // VidSrk_4.12 *(41) //	SamBos+amBoDarA vali Gana Dvani s+awwahAsa s+ // Vit Srj _4.12 *(41) //
   rājagurusaṃghaśriyas+	rAja guru saMGa Sriyas+
   tvaṅgadgaṅgam+udañcadinduśakalam+bhraśyatkapālāvalikroḍabhrāmyadamandamārutarayasphārībhavadbhāṃkṛti	tu aFgat gaFgam+u daQcat indu Sakalam+BraSyat kapAla Avali kroxa BrAmyat a manda mAruta raya sPArIBavat BAMkRti
   pāyāt+vas+ghanatāṇḍavavyatikaraprāgbhārakhedaskhaladbhogīndraślathapiṅgalotkaṭajaṭājūṭam+śiras+dhūrjaṭes+	pAyAt+ vas+Gana tANxava vyatikara prAgBAra Keda sKalat Bogi indra SlaTa piFgala utkawa jawA jUwam+Sira s+DUrjawes+
   // VidSrk_4.13 *(42) //	// Vit Srj _4.13 *(42) //
   nakhadarpaṇasaṃkrāntapratimādaśakānvitas+ /	naKa darpaNa saMkrAnta pratimA daSaka anvitas+ /
   gaurīpādānatas+śambhus+jayati+ekādaśas+svayam // VidSrk_4.14 *(43) //	gOrIpAdAna tas+SamBu H +jayati +ekAdaSa s+svayam // Vit Srj _4.14 *(43) //
   cūḍāpīḍakapālasaṃkulapatanmandākinīvārayas+	cUxApIxa kapAla saMkula patan mandAkinI vArayas+
   vidyutprāyalalāṭalocanapuṭajyotirvimiśratviṣas+ /	vidyut prAya lalAwa locana puwa jyotiH vimiSra tvizas+ /
   pāntu tvām+akaṭhoraketakaśikhāsaṃdigdhamugdhendavas+	pAntu tu Am+a kaWora ketaka SiKA saMdigDa mugDa indavas+
   bhūteśasya bhujaṅgavallivalayasraṅnaddhajūṭās+jaṭās+ // VidSrk_4.15 *(44)	BUteSasya BujaFga valli valaya sraj nadDa jUwA s+ jawAs+ // Vit Srj _4.15 *(44)
   bhavabhūtes+	Bava BUtes+
   sa jayati gāṅgajalaughas+śambhos+uttuṅgamauliviniviṣṭas+ /	sa jayati gAFga jala oGa s+ SamBaH s+ut tuFga mOli vinivizwas+ /
   majjati punar+unmajjati candrakalā yatra śapharī+iva // VidSrk_4.16 *(45)	majjati punar +unmajjati candra kalA yatra SaParI+iva // Vit Srj _4.16 *(45)
   sa vas+pāyāt+indus+navabisalatākoṭikuṭilas+	sa vas+pAyAt+indu s+nava bisa latA kowi kuwilas+
   smarāres+yas+mūrdhni jvalanakapiśe bhāti nihitas+ /	smara ares+yas+ mUrDni jvalana kapiSe BAti nihitas+ /
   sravanmandākinyās+pratidivasasiktena payasā	sravat mandAki nyAs+ pratidivasa siktena payasA
   kapālena+unmuktas+sphaṭikadhavalena+aṅkuras+iva // VidSrk_4.17 *(46) //	kapAlena+unmukta s+ sPawika Davalena +aFkura s+ivaH // Vit Srj _4.17 *(46) //
   cyutām+indos+lekhām+ratikalahabhagnam+ca valayam+	cyuta am+inda Us+leKAm+rati kalaha Bagnam +ca valayam+
   dvayam+cakrīkṛtya prahasitamukhī śailatanayā /	dvayam +cakrIkRtya prahasita muKI SEla tanayA /
   avocat+yam+paśya+iti+avatu sa śivas+sā ca girijā	avocat+yam +paSya+iti+avatu sa Sivas+sA ca girijA
   sa ca krīḍācandras+daśanakiraṇāpūritatanus+ // VidSrk_4.18 *(47) //	sa ca krIxA candra s+daSana kiraNa ApUrita tanus+ // Vit Srj _4.18 *(47) //
   namas+tuṅgaśiraścumbicandracāmaracārave /	namas+ tuFga SiraH cumbi candra cAmara cArave /
   trailokyanagarārambhamūlastambhāya śambhave // VidSrk_4.19 *(48) //	trElokya nagara AramBa mUla stamBAya SamBave // Vit Srj _4.19 *(48) //
   kṣiptas+hastāvalagnas+prasabham+abhihatas+api+ādadāna+aṃśukāntam+	kzipta s+hasta avalagnas+prasaBam +aBihata s+api+Ada dAna +aMSuka antam+
   gṛhṇan+keśeṣu+apāstas+caraṇanipatitas+na+īkṣitas+sambhrameṇa /	gRhNan+ keSa izu+apAstas+caraNa nipatita s+na+Ikzita s+ samBrameNa /
   āliṅgan+yas+avadhūtas+tripurayuvatibhis+sāśrunetrotpalābhis+	AliFga n+ya s+ava DUta s+tripura yuvati Bis+sa aSru netra utpala aBis+
   kāmī+iva+ārdrāparādhas+sa haratu duritam+śāmbhavas+vas+śarāgnis+ //	kAmI+iva+Ardra aparADas+sa haratu duritam+SAmBa vas+ vas+ Sara agni s+ //
   VidSrk_4.20 *(49) //	Vit Srj _4.20 *(49) //
   bāṇasya	bANasya
   saṃdhyātāṇḍavaḍambaravyasaninas+bhīmasya	saMDyA tANxava xambara vyasani na s+BImasya
   caṇḍabhramivyānṛtyadbhujadaṇḍamaṇḍalabhuvas+jhaṃjhānilās+pāntu vas+ /	caNxa Brami vyAnRtyat Buja daNxa maNxala Buvas+JaMJa anila as+pAntu vas+ /
   yeṣām+ucchalatām+javena jhagiti vyūheṣu bhūmībhṛtām+	yezAm +ucCala tAm +javena Jagiti vyUhezu BUmIBRtAm+
   uḍḍīneṣu biḍaujasā punar+asau dambholis+ālokitas+ // VidSrk_4.21 *(50) //	uxxInezu bixa ojasA punar+asO damBa uli s+A Alokitas+ // Vit Srj _4.21 *(50) //
   keśeṣu prāk+pradīpas+tvaci vikaṭacaṭatkārasāras+atimātram+	keSezu prAk+ pradIpa s+tvaci vikawa cawatkAra sAra s+atimAtram+
   māṃse mandāyamānas+kṣaradasṛji sṛjan+asthiṣu ṣṭhātkṛtāni /	mAMse mandAyamAna s+kzara da sRji sRjan+asTizu zWAt kRtAni /
   majjaprāye+aṅgabhāge jhagiti ratipates+jājvalan+prajjvalaśrīs+	majja prAye+aFga BAge Jagiti rati pates+ jA jvalan+ prajjvala SrI s+
   aśreyas+vyasyatāt+vas+trinayananayanopāntavāntas+hutāśas+ // VidSrk_4.22	aSreyas+ vyasya tAt+vas+ trinayana nayana upAnta vAnta s+hutASas+ // Vit Srj _4.22
   pāyāt+pārvaṇasāṃdhyatāṇḍavavidhau yasya+ullasatkānanas+	pAyAt+ pArvaNa sAMDya tANxava viDO yasya+ulla sat kAnanas+
   hemādris+karaṇāṅgahāravalanais+sārdhendus+āndolitas+ /	hema adri s+karaNa aFga hAra vala nEs+sa arDa indu s+An dolitas+ /
   dhatte+atyadbhutavismayena dharayā dhūtasya kāntatviṣas+	Datte+ati adButa vismayena DarayA DUtasya kAnta tvizas+
   lolatkuntalakuṇḍalasya śirasas+śobhām+sa vas+dhūrjaṭis+ // VidSrk_4.23	lolat kuntala kuNxalasya Sirasa s+ SoBAm+sa vas+ DUrjawis+ // Vit Srj _4.23
   % NB Ingalls conjectures sārkendus+ in b	% NB Ingalls ca unjet tureH sa arka indus+ id b
   kapāle gambhīras+kuhariṇi jaṭāsaṃdhiṣu kṛśas+	kapAle gamBIra s+kuhariNi jawA saMDizu kRSas+
   samuttālas+cūḍābhujagaphaṇaratnavyatikare /	samuttAla s+cUxA Bujaga PaNa ratna vyatikare /
   mṛdus+lekhākoṇe rayavaśavilolasya śaśinas+	mRdu s+leKA koNe raya vaSa vilolasya SaSinas+
   punīyāt+dīrgham+vas+dīrgham+vas+haraśirasi gaṅgākalakalas+ // VidSrk_4.24	punIyAt+ dIrGam+vas+ dIrGam+vas+ hara Sirasi gaFgA kala kalas+ // Vit Srj _4.24
   śāntyai vas+astu kapāladāma jagatām+patyus+yadīyām+lipim+	SAntyE vas+aH tu kapAla dAma jagatAm +patyu s+yadIyAm+lipim+
   kva+api kva+api gaṇās+paṭhanti padaśas+nātiprasiddhākṣarām /	kva+api kva+api gaNAs+paWanti padaSas+nA ati prasidDa akzarAm /
   viśvam+srakṣyati rakṣati kṣitim+apām+īśiṣyate śiṣyate	viSvam +srakzyati rakzati kzitim +apAm+ISizyate Sizyate
   nāgais+rāgiṣu raṃsyate syati jagat+nirvekṣyati dyām+iti // VidSrk_4.25	nAgEs+rAgizu raMsyate syati jagat+ nirvekzyati dyAm+iti // Vit Srj _4.25
   \var{nāti@\lem	\var{na ati@\lem
   \emend\ \Ingalls, neti@ \edKG}	\ema ind\ \Ingalls, na iti@ \edKG}
   % NB Ingalls conjectures vakṣati or rakṣyati for rakṣati	% NB Ingalls ca unjet tureH vakzati oH rakzyati foH rakzati
   % and .aśiṣyate for śiṣyate in c, and .atsyati for syati in d	% and .aSizyate foH Sizyate id c, and .atsyati foH syati id d
   bhojadevasya	Boja devasya
   jvālā+iva+ūrdhvavisarpiṇī pariṇatasya+antas+tapas+tejasas+	jvAlA a+iva+UrDva visarpiNI pariNatasya+anta s+tapas+ tejasas+
   gaṅgātuṅgataraṅgasarpavasatis+valmīkalakṣmīs+iva /	gaFgA tuFga taraFga sarpa vasati s+valmIka lakzmI s+iva /
   saṃdhyā+iva+ārdramṛṇālakomalatanos+indos+sahasthāyinī	saMDyA a+iva+Ardra mRNAla komala tanos+indos+ saha sTAyinI
   pāyāt+vas+taruṇāruṇāṃśukapiśā śambhos+jaṭāsaṃhatis+ // VidSrk_4.26 *(55)	pAyAt+vas+ taruNa aruNa aMSu kapiSA SamBos+jawA saMhati s+ // Vit Srj _4.26 *(55)
   maulau vegāt+udañcati+api caraṇabharanyañcadurvītalatvāt+	mOlO vega at+udaQcati+api caraNa Bara nyaQca durvItalatvAt+
   akṣuṇṇasvargalokasthitimuditasurajyeṣṭhagoṣṭhīstutāya /	akzuNNa svarga loka sTiti mudita sura jyezWa gozWI stutAya /
   saṃtrāsāt+niḥsarantyā+api+aviratavisaraddakṣiṇārdhānubandhāt+	saMtrAsAt+ niHsarantyA+api +a virata visarat dakziNa arDa anubanDAt+
   atyaktāya+adriputryā tripuraharajagatkleśahantre namas+te // VidSrk_4.27	atyakta aya+adri putryA tripura hara jagat kleSa hantre namas+te // Vit Srj _4.27
   bāṇasya	bANasya
   paryaṅkāśleṣabandhadviguṇitabhujagagranthisaṃvītajānos+	paryaFka ASleza banDa dvi guNita Bujaga granTi saMvIta jAnos+
   antaḥprāṇāvarodhāt+uparatasakaladhyānaruddhendriyasya /	antar prANa avaroDAt+uparata sakala DyAna rudDa indriyasya /
   ātmani+ātmānam+eva vyapagatakaraṇam+paśyatas+tattvadṛṣṭyā	Atma ni+a AtmAnam +eva vyapagata karaNam +paSyata s+ tattva dRzwyA
   śambhos+vā pātu śūnyekṣaṇaghaṭitalayabrahmalagnas+samādhis+ // VidSrk_4.28	SamBos+vA pAtu SUnya IkzaNa Gawita laya brahma lagna s+ samADis+ // Vit Srj _4.28
   \var{śūnyekṣ.ana@\lem	\var{ SUnyekz.ana@\lem
   \emend\ \Ingalls, śūṇyakṣaṇa@ \edKG}	\ema ind\ \Ingalls, SUNi akzaNa@ \edKG}
   pāyāt+bālendumaules+anavaratabhujāvṛttivātormivegabhrāmyadrudrārkatārāgaṇaracitamahālātacakrasya	pAyAt+bAla indu mOles+ana varata BujA vRtti vAta Urmi vega BrAmyat rudra arka tArA gaNa racita mahAlAta cakrasya
   lāsyam /	lAsyam /
   nyañcadbhūtsarpadagni skhaladakhilagiri tvaṅgaduttālamauli	nyaQcat BUt sarpa dagni sKalat aKila giri tu aFga duttAla mOli
   sphūrjaccandrāṃśu niryannayanaruci rasajjāhnavīnirjharam+vas+ //	sPUrjat candra aMSu niryat nayana ruci rasat jAhnavI nirJara m+vas+ //
   VidSrk_4.29 *(58) //	Vit Srj _4.29 *(58) //
   \var{bālendu@\lem	\var{bAla indu @\lem
   \emend\ \Ingalls, vārendu@ \edKG}	\ema ind\ \Ingalls, vAra indu@ \edKG}
   mātar+jīva kim+etat+añjalipuṭe tātena gopāyitam+	mAtar+jI iva kim +etat+aQjali puwe tAtena gopAyitam+
   vatsa svādu phalam+prayacchati na me gatvā gṛhāṇa svayam /	vatsa svAdu Palam +prayacCati na me gatvA gRhANa svayam /
   mātrā+evam+prahite guhe vighaṭayati+ākṛṣya saṃdhyāñjalim+	mAtrA+evam +prahite guhe viGawayati+AkRzya saMDyA aQjalim+
   śambhos+bhagnasamādhiruddharabhasas+hāsodgamas+pātu vas+ // VidSrk_4.30	SamBos+Bagna samADi rudDa raBasa s+hAsa udgama s+pAtu vas+ // Vit Srj _4.30
   evam+sthāpaya subhru bāhulatikām+evam+kuru sthānakam+	evam +sTApaya suBru bAhu latikAm +evam +kuru sTAnakam+
   na+atyuccais+nama kuñcaya+agracaraṇau mām+paśya tāvat+kṣaṇam /	na+ati uccEs+nama kuQcaya+ agra caraNO mAm +paSya tAvat +kzaNam /
   evam+nartayatas+svavaktramurajena+ambhodharadhvāninā	evam +nartayata s+sva vaktra murajena+amBoDara DvAninA
   śambhos+vas+paripāntu nartitalayacchedāhatās+tālikās+ // VidSrk_4.31 *(60)	SamBo s+vas+ paripAntu narti talaya= Ceda AhatAs+tAlikAs+ // Vit Srj _4.31 *(60)
   saṃvyānāṃśukapallaveṣu taralam+veṇīguṇeṣu sthiram+	saMvyAna aMSuka pallavezu taralam +veNI guNezu sTiram+
   mandam+kañcukasandhiṣu stanataṭotsaṅgeṣu dīptārciṣam /	mandam+kaQcuka sanDizu stana tawa utsaFgezu dIpta arcizam /
   ālokya tripurāvarodhanavadhūvargasya dhūmadhvajam+	Alokya tripura avaroDana vaDU vargasya DUmaDvajam+
   hastasrastaśarāsanas+vijayate devas+dayārdrekṣaṇas+ // VidSrk_4.32 *(61)	hasta srasta SarAsana s+vijayate devas+dayArdra IkzaNas+ // Vit Srj _4.32 *(61)
   mayūrasya	mayUrasya
   jaṭāgulmotsaṅgam+praviśati śaśī bhasmagahanam+	jawA gulma utsaFgam+praviSati SaSI Basma gahanam+
   phaṇīndras+api skandhāt+avatarati līlāñcitaphaṇas+ /	PaNIndras+api skanDAt+avatarati lIlA AQcita PaNas+ /
   vṛṣas+śāṭhyam+kṛtvā vilikhati khurāgreṇa nayanam+	vRzas+SAWyam +kRtvA viliKati Kura agreNa nayanam+
   yadā śambhus+cumbati+acaladuhitus+vaktrakamalam // VidSrk_4.33 *(62) //	yadA SamBu s+cumbati+acala duhitu s+vaktra kamalam // Vit Srj _4.33 *(62) //
   rājaśekharasya	rAjaSeKarasya
   nānāvegaviniḥsṛtatripathagāvāripravāhākulas+	nAnA vega viniHsRta tripaTagA vAri pravAha Akulas+
   śīghrabhrāntivaśāt+lalāṭanayanākālatapāt+bhīṣaṇas+ /	SIGra BrAnti vaSAt+ lalAwa nayanA kAlata pAt+ BIzaNas+ /
   muṇḍālīkuharaprasarpadanilāsphālapramuktadhvanis+	muNxAlI kuhara prasarpat anila AsPAla pramukta Dvani s+
   prāvṛtkālas+iva+uditas+śivaśiromeghas+śivāya+astu vas+ // VidSrk_4.34	prAvRd kAla s+iva +udita s+Siva SiraH meGas+SivAya+aH tu vas+ // Vit Srj _4.34
   sa pātu viśvam+adya+api yasya mūrdhni navas+śaśī /	sa pAtu viSvam+adya+api yasya mUrDni navas+SaSI /
   gaurīmukhatiraskāralajjayā+iva na vardhate // VidSrk_4.35 *(64) //	gOrImuKa tiraskAra lajjayA a+iva na varDate // Vit Srj _4.35 *(64) //
   dharmapālasya	DarmapAlasya
   digvāsās+iti satrapam+manasijadveṣī+iti mugdhasmitam+	digvAsAs+iti satrapam+manasija dvezI+ iti mugDa smitam+
   sāścaryam+viṣamekṣaṇas+ayam+iti ca trastam+kapālī+iti ca /	sa AScaryam +vizama IkzaNa s+ayam +iti ca trastam+kapAlI+ iti ca /
   maulisvīkṛtajāhnavīkas+iti ca prāptābhyasūyam+haras+	mOli svIkRta jAhnavIkas+iti ca prApta aByasUyam+haras+
   pārvatyā sabhayam+bhujaṅgavalayī+iti+ālokitas+pātu vas+ // VidSrk_4.36	pArvatyA sa Bayam+BujaFga valayI+iti+Alokita s+pAtu vas+ // Vit Srj _4.36
   vinayadevasya	vinaya devasya
   phaṇini śikhigrahakupite śikhini ca taddehavalayitākulite /	PaNini SiKi graha kupite SiKini ca tad deha valayita Akulite /
   avatāt+vas+haraguhayos+ubhayaparitrāṇakātaratā // VidSrk_4.37 *(66) //	avatAt+vas+ hara guhayos+u Baya paritrANa kAtaratA // Vit Srj _4.37 *(66) //
   \var{@bhaya@\lem	\var{@Baya @\lem
   \emend\ \Ingalls, @maya@ \edKG}	\ema ind\ \Ingalls, @maya@ \edKG}
   jātārdhavardhanasya	jAta arDa varDanasya
   sindūraśrīs+lalāṭe kanakarasamayas+karṇapārśve+avataṃsas+	sindUra SrI s+lalAwe kanakara samaya s+karNa pArSve+avataMsas+
   vaktre tāmbūlarāgas+pṛthukucakalaśe kuṅkumasya+anulepas+ /	vaktre tAmbUla rAga s+pRTu kuca kalaSe kuFkumasya+anulepas+ /
   daityādhīśāṅganānām+jaghanaparisare lākṣikakṣaumalakṣmīs+	dEtya aDISa aFganAnAm +jaGana parisare lAkzika kzOma lakzmI s+
   aśreyāṃsi kṣiṇoti tripuraharaśarodgārajanmānalas+vas+ // VidSrk_4.38 *(67)	aSreyAMsi kziNoti tripura hara Sara udgAra janma anala s+vas+ // Vit Srj _4.38 *(67)
   maṅgalasya	maFgalasya
   pāyāt+vas+surajāhvanījalarayabhrāmyajjaṭāmaṇḍalīvegavyākulanāganāyakaphaṇāphūtkāravātocchalat 	pAyAt+vas+ surajA AhvanI jala raya BrAmyat jawA maNxalI vega vyAkula nAga nAyaka PaNA PUtkAra vAta ucCalat 
   saptāmbhonidhijanmacaṇḍalaharīmajjannabhomaṇḍalatrāsatrastasurāṅganākalakalavrīḍāvilakṣas+haras+	sapta amBaH niDi janma caNxala harImajjannaBaH maNxala trAsa trasta surAFganA kalakala vrIxA vilakza s+haras+
   // VidSrk_4.39 *(68) //	// Vit Srj _4.39 *(68) //
   karkarājasya	karkara ajasya
   purastāt+ānamratridaśapatigārutmatamaṇes+	purastAt+a Anamra tridaSa pati gArutmata maNes+
   vataṃsatrāsārtes+apasarati mauñjīphaṇipatau /	vataMsa trAsa Arte s+apasarati mOQjI PaNi patO /
   purāris+saṃvṛṇvan+vigaladupasaṃvyānam+ajine	purAri s+ saMvRNvan+ vigalat upasaMvyAnam+ajine
   punītāt+vas+smerakṣitidharasutāpāṅgaviṣayas+ // VidSrk_4.40 *(69) //	punItAt+vas+ smera kziti Dara suta apAFga vizayas+ // Vit Srj _4.40 *(69) //
   dharmāśokasya	Darma aSokasya
   jīrṇe+api+utkaṭakālakūṭakavale dagdhe haṭhāt+manmathe	jIrNe+api+utkawa kAlakUwa kavale dagDe haWAt+manmaTe
   nīte bhāsurabhālanetratanutām+kalpāntadāvānale /	nIte BAsura BAla netra tanu tAm +kalpa anta dAva anale /
   yas+śaktyā samalaṃkṛtas+api śaśinam+śrīśailajām+svardhunīm+	yas+SaktyA samalaMkRta s+api SaSinam +SrISEla jAm+su arDunIm+
   dhatte kautukarājanītinipuṇas+pāyāt+sa vas+śaṃkaras+ // VidSrk_4.41 *(70)	Datte kOtuka rAjanIti nipuNa s+pAyAt+sa vas+ SaMkaras+ // Vit Srj _4.41 *(70)
   kavirājasya	kavi rAjasya
   \Colo iti śrīmaheśvaravrajyā	\ColaH iti SrI maheSvara vrajyA
   % tatas+tadvargavrajyā	% tatas + tad varga vrajyA
   devī sūnum+asūta nṛtyata gaṇās+kim+tiṣṭhata+iti+udbhuje	devI sUnum+a sUta nRtyata gaNAs+kim +tizWata +iti+udBuje
   harṣāt+bhṛṅgiriṭau+ayācitagirā cāmuṇḍayā+āliṅgite /	harza at+BRFgiriwO+a yAcita girA cAmuNxayA+AliFgite /
   avyāt+vas+hatadevadundubhighanadhvānātiriktas+tayos+	avyAt+vas+ hata deva dunduBi Gana DvAna atirikta s+tayos+
   anyonyapracalāsthipañjararaṇatkaṅkālajanmā ravas+ // VidSrk_5.1 *(71) //	anyonya pracala asTi paQjara raNat kaFkAla janmA ravas+ // Vit Srj _5.1 *(71) //
   yogeśvarasya	yogeSvarasya
   rakṣatu vas+stanayugalam+harikarikumbhānukāri giriduhitus+ /	rakzatu vas+ stana yugala m+hari kari kumBa anukAri giri duhitus+ /
   śaṃkaradṛḍhakaṇṭhagrahapīḍanabhasmāṅgarāgavicchuritam // VidSrk_5.2 *(72)	SaMkara dRXa kaNWa graha pIxana Basma aFga rAga vicCuritam // Vit Srj _5.2 *(72)
   sāvaṣṭambhaniśumbhasambhramanamadbhūgolaniṣpīḍananyañcatkarparakūrmakampavicaṭadbrahmāṇḍakhaṇḍasthiti	sa avazwamBa niSumBa samBramana madBU gola nizpIxana nyaQcat karpara kUrma kampa vicawat brahmANxa KaNxa sTiti
   pātālapratimallagallavivaraprakṣiptasaptārṇavam+	pAtAla pratimalla galla vivara prakzipta sapta arNavam+
   vande nanditanīlakaṇṭhapariṣadvyaktarddhi vas+krīḍitam // VidSrk_5.3 *(73)	vande nandita nIla kaNWa parizad vyakta RdDi vas+ krIxitam // Vit Srj _5.3 *(73)
   bho bho dikpatayas+prayāta paratas+kham+muñcata+ambhomucas+	Bo Bo diS patayas+ prayAta paratas+Ka m+muQcata +amBomucas+
   pātālam+vraja medini praviśata kṣoṇītalam+kṣmābhṛtas+ /	pAtAlam +vraja medini praviSata kzoNI talam +kzmABRtas+ /
   brahman+unnaya dūram+ātmasadanam+devasya me nṛtyatas+	brahman+unnaya dUram+a Atma sadanam +devasya me nRtyatas+
   śambhos+saṃkaṭam+etat+iti+avatu vas+protsāraṇās+nandinas+ // VidSrk_5.4	SamBos+ saMkawam +etat+iti+avatu vas+ protsAraNA s+ nandinas+ // Vit Srj _5.4
   khedās+te katham+īdṛśas+priyatame tvannetravahnes+vibho	Keda as+te kaTam +IdRSas+ priyatame tvad netra vahnes+ viBo
   kasmāt+vepitam+etat+induvadane bhogīndrabhītes+bhava /	kasmAt +vepitam +etat +indu vadane Bogi indra BItes+Bava /
   romāñcas+katham+eṣa devi bhagavan+gaṅgāmbhasām+śīkarais+	romAQcas+ kaTam +eza devi Bagavan+gaFgA amBa sAm+ SIkarEs+
   ittham+bhartari bhāvagopanaparā gaurī ciram+pātu vas+ // VidSrk_5.5 *(75)	itTam +Bartari BAva gopana parA gOrI ciram +pAtu vas+ // Vit Srj _5.5 *(75)
   lakṣmīdharasya	lakzmIDarasya
   ārdrām+kaṇṭhe mukhābjasrajam+avanamayati+ambikā jātulambām+	ArdrAm+kaNWe muKa abja srajam+avanam ayati+ambikA jAtu lambAm+
   sthāne kṛtvā+indulekhām+nibaḍayati jaṭās+pannagendreṇa nandī /	sTAne kRtvA a+indu leKAm +nibaxayati jawAs+pannaga indreNa nandI /
   kālas+kṛttim+nibadhnāti+upanayati kare kālarātris+kapālam+	kAla s+kRtti m+nibaDnAti+upanayati kare kAlarAtri s+kapAlam+
   śambhos+nṛtyāvatāre pariṣat+iti pṛthagvyāpṛtā vas+punātu // VidSrk_5.6	SamBos+nRtya avatAre parizat+iti pRTak vyApRtAH vas+punAtu // Vit Srj _5.6
   śatānandasya	SatAnandasya
   śṛṅgam+bhṛṅgim+vimuñca tyaja gajavadana tvam+ca lāṅgūlamūlam+	SRFgam+BRFgim +vimuQca tyaja gaja vadana tvam+ca lAFgUla mUlam+
   mandānandas+asi nandin+alam+abala mahākāla kaṇṭhagraheṇa /	manda Ananda s+asi nandin+alam+abala mahAkAla kaNWa graheNa /
   iti+uktvā nīyamānas+sukhayatu vṛṣabhas+pārvatīpādamūle	iti+uktvA nIya mAnas+ suKayatu vRzaBa s+ pArvatI pAda mUle
   paśyan+akṣais+vilakṣam+valitagalacalatkambalam+tryabakam+vas+ //	paSyan +akzEs+ vilakza m+valita gala calat kambalam+trI abaka m+vas+ //
   VidSrk_5.7 *(77) //	Vit Srj _5.7 *(77) //
   gaurīvibhajyamānārdhasaṃkīrṇe haramūrdhani /	gOrI viBajyamAna arDa saMkIrNe hara mUrDani /
   amba dviguṇagambhīre bhāgīrathi namas+astu vas+ // VidSrk_5.8 *(78) //	amba dviguNa gamBIre BAgIraTi namas+aH tu vas+ // Vit Srj _5.8 *(78) //
   devasya+ambujasambhavasya bhavanāt+ambhodhim+āgāmukā	devasya+ambuja samBavasya Bavana at+amBoDim+A gAmukA
   sā+iyam+maulivibhūṣaṇam+bhagavatas+bhargasya bhāgīrathī /	sA+iyam+ mOli viBUzaNam +Bagavata s+Bargasya BAgIraTI /
   udyātān+apahāya vigraham+iha srotaḥpratīpān+api	udyAta an +apahAya vigraham +iha srotaH pratIpAn+api
   srotas+tīvrataratvarā gamayati drāk+brahmalokam+janān // VidSrk_5.9 *(79)	srotas+tIvratara tvarA gamayati drAk+ brahma lokam +janAn // Vit Srj _5.9 *(79)
   prātas+kālāñjanaparicitam+vīkṣya jāmātus+oṣṭham+	prAtas+kAla aQjana paricitam +vIkzya jAmAtu s+ozWam+
   kanyāyās+ca stanamukulayos+aṅgulībhasmamudrās+ /	kanyA AyAs+ ca stana mukulayos+aFgulI Basma mudrAs+ /
   premollāsāt+jayati madhuram+sasmitābhis+vadhūbhis+	prema ullAsa at +jayati maDuram +sa smita aBis+vaDUBiH +
   gaurīmātus+kim+api kim+api vyāhṛtam+karṇamūle // VidSrk_5.10 *(80) //	gOrI mAtu s+kim +api kim +api vyAhRtam+karNa mUle // Vit Srj _5.10 *(80) //
   śubhāṅgasya	SuBa aFgasya
   lākṣārāgam+harati śikharāt+jāhvanīvāri yeṣām+	lAkzA rAgam +harati SiKarAt+jAhvanI vAri yezAm +
   ye tanvanti śriyam+adhijaṭāmaṇḍalam+mālatīnām /	ye tanvanti Sriyam +aDijawA maNxalam +mAlatInAm /
   yāti+utsarpadvimalakiraṇais+yais+tirodhānam+indus+	yAti +utsarpadvi mala kiraNa es+yEs+ti roDAnam +indus+
   devyās+sthāṇau caraṇapatite te nakhās+pāntu viśvam // VidSrk_5.11 *(81) //	devI As+sTANO caraNa patite te naKa as+pAntu viSvam // Vit Srj _5.11 *(81) //
   dakṣasya	dakzasya
   miśrībhūtām+tava tanulatām+bibhratas+gaurī kāmam+	miSrIBUta am+tava tanula tAm+biBrata s+gOrI kAmam+
   devasya+āsīt+aviralaparirambhajanmā pramodas+ /	devasya+A AsIt+a virala pariramBa janmA pramodas+ /
   kim+tu premastimitamadhurasingdhamugdhā na dṛṣṭis+	kim +tu prema stimita maDura singDa mugDA na dRzwi s+
   dṛṣṭā+iti+antaḥakaraṇam+asakṛt+tāmyati tryambakasya // VidSrk_5.12 *(82)	dRzwa a+iti+antaHa karaNam +asakRt+tAmyati tryambakasya // Vit Srj _5.12 *(82)
   avyāt+vas+valikāṅghripātavicaladbhūgolahelonmukhabhrāmyaddikkarikalpitānukaraṇas+nṛtyan+gaṇagrāmaṇīs+	avyAt+vas+valikA aFGri pAta vicaladBU gola helA unmuKa BrAmyat dikkari kalpita anukaraNa s+nRtyan+ gaNa grAmaNI s+
