   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   eva sthūlaśarīrābhimānarahita upādhidvayopahitaḥ svapnābhimānī taijasaḥ /	eva sTUla-SarIra-aBimAna-rahitaH upADi-dvaya-upahitaH svapna-aBimAnI tEjasaH /
   śarīrāntaḥkaraṇopādhidvayarahito	SarIra-antaHkaraNa-upADi-dvaya-rahitaH-
   'ntaḥkaraṇasaṃskārāvacchinnāvidyāmātropahitaḥ suṣuptyabhimānī prājñaḥ /	antaHkaraNa-saMskAra-avacCinna-avidyA-mAtra-upahitaH suzupti-aBimAnI prAjQaH /
   eteṣāṃ ca svatantropādhibhedābhāvena svatantrabhedābhāve 'py	etezAm ca svatantra-upADi-Beda-aBAvena svatantra-Beda-aBAve api-
   avāntaropādhibhedād ekatve 'py avāntarabhedo vyahahriyate / sākṣī tu	avAntara-upADi-BedAt eka-tve api avAntara-BedaH vyahahriyate / sAkzI tu
   sarvānusandhātā sarvānugatas turīyākhya ekavidha eva / tatropādhibhedenāpi	sarva-anusanDAtA sarva-anugataH turIya-AKyaH ekaviDaH eva / tatra-upADi-Bedena-api
   na kvacid bhedas tadupādher ekarūpatvāt / avidyātadvyāpyatatkāryātmakaḥ	na kvacid BedaH tad-upADeH eka-rUpa-tvAt / avidyA-tat-vyApya-tad-kArya-AtmakaH
   prapañco dṛṣyapadārthaḥ / tasya cāpāramārthikatve 'pi	prapaQcaH dRzya-padArTaH / tasya ca-apAram-ArTika-tve api
   vyāvahārikasattvābhyupagamāt na svāpnikapadārthavan nirūpaṇaṃ vyartham,	vyAvahArika-sattva-aByupagamAt na svApnika-padArTa-vat nirUpaNam vyarTam,
   upāsanādāv upayogād iti / so 'pi trividhaḥ avyākṛtāmūrtamūrtabhedāt /	upAsana-AdO upayogAt iti / saH api triviDaH avyAkRta-amUrta-mUrta-BedAt /
   tatra sābhāsāvidyā mūrtāmūrtaprapañcabījaśaktirūpā tadajanyatve 'pi	tatra sa-ABAsa-avidyA mUrta-amUrta-prapaQca-bIja-Sakti-rUpA tad-ajanya-tve api
   tannivṛttau nirvartamānatvena tadvyāpyaiś	tad-nivRttO nirvartamAna-tvena tad-vyApya-EH-
   caitanyatatsambandhajīveśvaravibhāgacidābhāsaiḥ sahānāditvād avyākṛtam ity	cEtanya-tad-sambanDa-jIva-ISvara-viBAga-cit-ABAsEH saha-anAdi-tvAt avyAkRtam iti-
   ucyate / sā ca svayaṃ jaḍāpy ajaḍena	ucyate / sA ca svayam jaxA-api ajaxena
   cidābhāsenojjvalitapūrvapūrvasaṃskārajīvakarmaprayuktā satī	cit-ABAsena-ujjvalita-pUrva-pUrva-saMskAra-jIva-karma-prayuktA satI
   śabdasparśarūparasagandhātmakāny ākāśavāyutejojalapṛthivyākhyāni	Sabda-sparSa-rUpa-rasa-ganDa-AtmakAni AkASa-vAyu-tejaH-jala-pRTivI-AKyAni
   pañcamahābhūtāni janayati / tatra pūrvapūrvabhūtabhāvāpannāyā avidyāyā	paQca-mahABUtAni janayati / tatra pUrva-pUrva-BUta-BAva-ApannAyAH avidyAyAH-
   uttarottaraṃ prati kāraṇatvāt pūrvapūrvabhūtaguṇānām uttarottarabhuteṣv	uttarottaram prati kAraNa-tvAt pUrva-pUrva-BUta-guNAnAm uttara-uttara-Butezu-
   anupreveśaḥ / evam avidyāta evāndhakāro 'pi bhāvarūpa evāvaṇātmā	anupreveSaH / evam avidyAtaH eva-anDakAraH api BAva-rUpaH eva-avaNa-AtmA
   cākṣuṣajñānavirodhī ālokanāśyaś ca jhaṭiti mahāvidyudādivad āvirbhavati	cAkzuza-jQAna-viroDI Aloka-nASyaH ca Jawiti mahAvidyut-Adi-vat AvirBavati
   tirobhavati ceti siddhāntaḥ / saṃsārahetudehopādanatvābhāvāc ca śrutiṣu	tiroBavati ca-iti sidDAntaH / saMsAra-hetu-deha-upAdana-tva-aBAvAt ca Srutizu
   sṛṣṭiprakriyāyām āmnāyata ity avirodhaḥ / dikkālau tv aprāmāṇikatvān	sRzwi-prakriyAyAm AmnAyate iti aviroDaH / diS-kAlO tu aprAmANika-tvAt-
   noktau, ākāśasyaiva digvyavahārajanakatvavyavasthāsambhavāt "diśaḥ	na-uktO, AkASasya-eva diS-vyavahAra-janaka-tva-vyavasTA-samBavAt "diSaH
   śrotram" (BAU III.2.13.) iti śruteś ca / kālas tv avidyaiva tasyā eva	Srotram" (BAU III.2.13.) iti SruteH ca / kAlaH tu avidyA-eva tasyAH eva
   sarvādhāratvād iti / ayaṃ cāvyākṛtapadārtha īśvaropādhiḥ /	sarva-ADAra-tvAt iti / ayam ca-avyAkRta-padArTaH ISvara-upADiH /
   tāni ca sūkṣmāṇy apy apañcīkṛtāni pañcamahābhūtāny amūrtākhyāni	tAni ca sUkzmANi api apaQcIkRtAni paQca-mahABUtAni amUrta-AKyAni
   kāraṇaikyāt sattvarajastamoguṇātmakāni sattvāṃśaprādhānyena	kAraNa-EkyAt sattva-rajaH-tamaH-guNa-AtmakAni sattva-aMSa-prADAnyena
   jñānakriyāśaktipradhānāṃśaḥ prāṇaḥ / sa ca pañcadhā, prāṇo 'pāṇo vyāna	jQAna-kriyA-Sakti-praDAna-aMSaH prANaH / sa ca paQcaDA, prANaH apANaH vyAna
   udānaḥ samāna iti / evam ekaikabhutebhyo jñānakriyāśaktibhedāt pratyekam	udAnaH samAnaH iti / evam ekEka-ButeByaH jQAna-kriyA-Sakti-BedAt pratyekam
   indriyadvayaṃ jāyate / ākāśāc chrotravācau, vāyos tvakpāṇī, tejasaś	indriya-dvayam jAyate / AkASAt Srotra-vAcO, vAyoH tvac-pANI, tejasaH-
   cakṣuḥpādau, adbhyo rasanapāyū, pṛthivyā ghrāṇopasthau ceti / atra	cakzuH-pAdO, adByaH rasana-pAyU, pRTivyAH GrANa-upasTO ca-iti / atra
   "tajomayī vāk" (ChU VI.5.4.) iti śrutes taijasī vāk, pādas tu nābhasa iti	"tajaH-mayI vAk" (ShU VI.5.4.) iti SruteH tEjasI vAk, pAdaH tu nABasaH iti
   kecit / śabdavyañjakendriyatvena tu śrotravadvāco nābhasatvam,	kecid / Sabda-vyaQjaka-indriya-tvena tu Srotra-vat-vAcaH nABa-satvam,
   pādacikitsayā ca cakṣuṣaḥ svāsthyadarśanāc cakṣurvat pādasyāpi taijasatvam	pAda-cikitsayA ca cakzuzaH svAsTya-darSanAt cakzuH-vat pAdasya-api tEjasa-tvam
   iti tu yuktam utpaśyāmaḥ / tejomayatvaśrutis tu manasaḥ	iti tu yuktam utpaSyAmaH / tejaH-maya-tva-SrutiH tu manasaH
   pañcabhūtakāryasyāpi annamayatvaśrutir iva tadupakāryatayā vyākhyeyā /	paQcaBUta-kAryasya-api anna-maya-tva-SrutiH iva tad-upakArya-tayA vyAKyeyAH /
   manasaś ca pañcabhūtaguṇagrāhakatvena tadvattvaniścayāt	manasaH ca paQcaBUta-guNa-grAhaka-tvena tadvat-tva-niScayAt
   pañcabhūtātmakatvam ity anyad etat / eteṣām adhiṣṭhātāro devā api	paQcaBUta-Atmaka-tvam iti anyat etat / etezAm aDizWAtAraH devAH api
   jñānakriyāśaktipradhānāḥ, digagnī, vātendrau, ādityaviṣṇū, varunamitrau,	jQAna-kriyA-Sakti-praDAnAH, diS-agnI, vAta-indrO, Aditya-vizNU, varuna-mitrO,
   aśviprajāpatī / tatra jñānaśaktisamaṣṭir antaḥkaraṇaṃ, kriyāśaktisamaṣṭiḥ	aSvi-prajApatI / tatra jQAna-Sakti-samazwiH antaHkaraNaM, kriyASakti-samazwiH
   prāṇaḥ / śabdasparśarūpasaragandhagrāhakāṇi	prANaH / Sabda-sparSa-rUpa-sara-ganDa-grAhakANi
   śrotratvakcakṣūrasanaghrāṇākhyāni pañcajñānendriyāṇi / tvakcakṣuṣī	Srotra-tvac-cakzU-rasana-GrANa-AKyAni paQca-jQAna-indriyANi / tvac-cakzuzI
   svahrāhyaguṇāśrayadravyam api gṛhṇītaḥ / śrotram api cakṣurvat gattvā	sva-hrAhya-guNa-ASraya-dravyam api gRhNItaH / Srotram api cakzuH-vat gattvA
   śabdagrāhakam dūre śabda iti pratyayāt /	Sabda-grAhakam dUre SabdaH iti pratyayAt /
   vacanādanāgativisargānandajanakāni vākyāṇipādapāyūpasthākhyāni	vacanAt-anAgati-visarga-Ananda-janakAni vAkya-aNi-pAda-pAyu-upasTa-AKyAni
   pañcakarmendriyāṇi / etac ca sarvaṃ militvā saptadaśakaṃ liṅgaṃ	paQcakarmendriyANi / etat ca sarvam militvA saptadaSakam liFgam
   jñānaśaktiprādhānyena hiraṇyagarbha iti kriyāśaktiprādhānyena sūtram iti	jQAna-Sakti-prADAnyena hiraNyagarBaH iti kriyASakti-prADAnyena sUtram iti
   cocyate / ayam amūrtapadārthaḥ kāryatvāt vyaṣṭau samaṣṭau ca jīvopādhir	ca-ucyate / ayam amUrta-padArTaH kAryatvAt vyazwO samazwO ca jIva-upADiH-
   eva /	eva /
   tāni ca tathābhūtāni bhūtāni bhogāyatanaṃ śarīraṃ bhogyaṃ ca viṣayam	tAni ca taTABUtAni BUtAni Boga-Ayatanam SarIram Bogyam ca vizayam
   antareṇa bhogaṃ janayitum aśaknuvanti jīvakarmaprayuktatvāt sthaulyāya	antareNa Bogam janayitum aSaknuvanti jIva-karma-prayukta-tvAt sTOlyAya
   pañcīkṛtāni bhavanti / tatra ca pratyekaṃ pañcabhūtāni dvidhā vibhajyate /	paQcIkRtAni Bavanti / tatra ca pratyekam paQcaBUtAni dviDA viBajyate /
   tatra ekaiko bhāgaś caturdhā vibhajyate / tadbhāgacatuṣṭayaṃ ca svabhāvaṃ	tatra ekEkaH BAgaH caturDA viBajyate / tad-BAga-catuzwayam ca svaBAvam
   vihāya itarabhūtacatuṣṭayārdhabhāgeṣu praviśati iti	vihAyaH itara-BUta-catuzwaya-arDa-BAgezu praviSati iti
   svasyārdhabhāgenetareṣām aṣṭmabhāgena ca pañcīkaraṇān melane 'py ādhikyād	svasya-arDa-BAgena-itarezAm azwma-BAgena ca paQcIkaraNAt melane api ADikyAt-
   ākāśādiśabdaprayogaḥ /	AkASa-Adi-Sabda-prayogaH /
   atra "trivṛtaṃ trivṛtam ekaikāṃ karavāṇi" (ChU VI.3.3.) iti śruteḥ	atra "trivRtam trivRtam ekEkAm karavANi" (ShU VI.3.3.) iti SruteH
   "trivṛtkurvata upadeśāt" (BS II.4.20.) iti sūtrāc ca trayāṇām eva	"trivRt-kurvataH upadeSa-at" (BH II.4.20.) iti sUtrAt ca trayANAm eva
   melanapratīteś ca trivṛtkaraṇam eva kecin manyante te	melana-pratIteH ca trivRt-karaNam eva kecid manyante te
   viyadadhikaraṇānyāyenaiva nirākṛtāḥ / tathā hi taittirīyake "tasmād vā	viyat-aDikaraNa-anyAyena-eva nirAkRtAH / taTA hi tEttirIyake "tasmAt vA
   etasmād ātmana ākāśaḥ sambhūtaḥ, ākāśād vāyuḥ" (TU II.1.1.) ityādiśruteḥ	etasmAt AtmanaH AkASaH samBUtaH, AkASAt vAyuH" (TU II.1.1.) ityAdi-SruteH
   chāndogye ca trayāṇāṃ tejobannānāṃ sṛṣṭiśravaṇe 'pi dvayor upasaṃhāraḥ,	CAndogye ca trayANAm tejaH-bannAnAm sRzwi-SravaNe api dvayoH upasaMhAraH,
   tejasaḥ prāthamyapadārthadharmāpekṣayā ākāśavāyupadārthayor balīyastvāt,	tejasaH prATamya-padArTa-Darma-apekzayA AkASa-vAyu-padArTayoH balIyaH-tvAt,
   chāndogye caikavijñānena sarvavijñānapratijñānāt, ākāśavāyvor acetanayor	CAndogye ca-eka-vijQAnena sarva-vijQAna-pratijQAna-at, AkASa-vAyvoH acetanayoH-
   brahmakāryatvasyāvaśyaṃ vācyatvāt / tatra pañcānām eva melane 'py	brahma-kArya-tvasya-avaSyam vAcya-tvAt / tatra paQcAnAm eva melane api-
   avayutyānuvādena trivṛtkaraṇopapattiḥ / trivṛtam eveti tu kalpanāyāṃ	avayutya-anuvAdena trivRt-karaNa-upapattiH / trivRtam eva-iti tu kalpanAyAm
   vākyabhedaprasaṅgaḥ / "trivṛtkurvata upadeśāt" (BS II.4.20.) iti sūtraṃ tv	vAkya-Beda-prasaFgaH / "trivRt-kurvataH upadeSa-at" (BH II.4.20.) iti sUtram tu-
   anuvādakatvān na pañcīkaraṇaṃ nyāyasiddhaṃ bādhitum utsahate /	anuvAdaka-tvAt na paQcIkaraNam nyAya-sidDam bADitum utsahate /
   melanapratītiś ca śarīrādau pañcānām aviśiṣṭaiva,	melana-pratItiH ca SarIra-AdO paQcAnAm aviSizwA-eva,
   pañcīkṛtapañcamahābhūtānīti ca bhāṣyakāravacanam / tasmād akam	paQcIkRta-paQca-mahABUtAni-iti ca BAzya-kAra-vacanam / tasmAt akam
   anenānātmacintaneneti dik /	anena-anAtma-cintanena-iti diS /
   tāni ca pañcīkṛtāni pañcamahābhūtāni mūrtākhyāni militvā ekaṃ kāryam	tAni ca paQcIkRtAni paQca-mahABUtAni mUrta-AKyAni militvA ekam kAryam
   indriyāṇām adhiṣṭhānaṃ bhogāyatanam utpādayanti / tad eva śarīram ity	indriyANAm aDizWAnam Boga-Ayatanam utpAdayanti / tat eva SarIram iti-
   ucyate / tatra sattvapradhānaṃ devaśarīraṃ, rajaḥpradhānaṃ manuṣyaśarīraṃ,	ucyate / tatra sattva-praDAnam deva-SarIraM, rajaH-praDAnam manuzya-SarIraM,
   tamaḥpradhānaṃ tiryagādisthāvarāntaṃ śarīram / tasya ca śarīrasya	tamaH-praDAnam tiryak-Adi-sTAvara-antam SarIram / tasya ca SarIrasya
   pāñcabhautikasyāpi citrarūpasyeva kvacin nyūnādhikabhāvo bhūtānāṃ na	pAQcaBOtikasya-api citra-rUpasya-iva kvacid nyUna-aDika-BAvaH BUtAnAm na
   virudhyate / evaṃ viṣayā api pañcīkṛtaikaikabhūtajanyāś	viruDyate / evam vizayAH api paQcIkRta-ekEka-BUta-janyAH-
   caturdaśabhuvanākhyā ūrdhvamadhyādhobhāvena sattvarajastamoṃśapradhānāḥ	caturdaSa-Buvana-AKyAH UrDva-maDya-aDas-BAvena sattva-rajaH-tamoMSa-praDAnAH
   ghaṭādayaś ca / etat sarvaṃ brahmāṇḍākhyaṃ virāḍ iti mūrtam iti cocyate /	Gawa-AdayaH ca / etat sarvam brahmANxa-AKyam virAj iti mUrtam iti ca-ucyate /
   ayam aupaniṣadaḥ sṛṣṭikramaḥ / tadviparīto layakramaḥ /	ayam OpanizadaH sRzwi-kramaH / tad-viparItaH laya-kramaH /
   pañcīkṛtapañcamahābhūtatatkāryātmakaṃ virāḍākhyaṃ mūrtaṃ	paQcIkRta-paQca-mahABUta-tad-kArya-Atmakam virAj-a-AKyam mUrtam
   pṛthivyādhyekaikabhūtalayenāmūrte 'pañcīkṛtapañcamahābhūtātmake	pRTivI-ADi-ekEka-BUta-layena-amUrte apaQcIkRta-paQca-mahABUta-Atmake
   hiraṇyagarbhākhye svakāraṇe līyate / sa eva dainandinaḥ pralayaḥ / amūrtaṃ	hiraNyagarBa-AKye sva-kAraNe lIyate / saH eva dEnandinaH pralayaH / amUrtam
   cāvyākṛte parameśvaropādhau / avyākṛtasya tv anāditvena kāraṇābhāvān na	ca-avyAkRte parameSvara-upADO / avyAkRtasya tu anAdi-tvena kAraNa-aBAvAt na
   layaḥ, svakāraṇe sūkṣmarūpeṇāvasthānaṃ laya iti tallakṣaṇāt / ayam eva	layaH, sva-kAraNe sUkzma-rUpeNa-avasTAnam layaH iti tad-lakzaNAt / ayam eva
   prākṛtaḥ pralayaḥ / brahmajñānād ātyantika ucchedas tu ātyantikaḥ pralayaḥ	prAkRtaH pralayaH / brahma-jQAnAt AtyantikaH ucCedaH tu AtyantikaH pralayaH
   / sa ca kāraṇakrameṇaiva, kāraṇocchedād eva kāryocchedāt / sarvaṃ ca	/ sa ca kAraNa-krameNa-eva, kAraNa-ucCedAt eva kArya-ucCedAt / sarvam ca
   sṛṣṭipralayādikaṃ svapnasṛṣṭipralayavad apāramārthikam api vāsanādārḍhyāt	sRzwi-pralaya-Adikam svapna-sRzwi-pralaya-vat apAramArTikam api vAsanA-dArXyAt
   vyavahārakṣamam iti na māyikatve 'pi tucchatvaprasaṅgaḥ / yathā caitat	vyavahAra-kzamam iti na mAyika-tve api tucCatva-prasaFgaH / yaTA ca-etat-
   tathā vyaktam ākare /	taTA vyaktam Akare /
   evaṃ sthite jāgaraṇādivyavasthocyate / indriyavṛttikālīnārthopalambho	evam sTite jAgaraNa-Adi-vyavasTA-ucyate / indriya-vRtti-kAlIna-arTa-upalamBaH-
   jāgaraṇam / tatra ca mūrtaṃ virāḍākhyaṃ bhogyaṃ pratyakṣādipramāṇaṣaṭkena	jAgaraNam / tatra ca mUrtam virAj-a-AKyam Bogyam pratyakza-Adi-pramANa-zawkena
   vyavahriyamāṇatvāt vyāvahārikaṃ viśvākhyena jīvenopabhujyate / sa ca	vyavahriyamANa-tvAt vyAvahArikam viSva-AKyena jIvena-upaBujyate / sa ca
   dehendriyādiṣu praveśāt vyāpanād vā viśva ity ucyate, viśa praveśane viṣ.l	deha-indriya-Adizu praveSAt vyApanAt vA viSvaH iti ucyate, viSa praveSane viz.l
   vyāptāv iti ca smaraṇāt / atra yady api viśvenāmūrtam avyākṛtaṃ	vyAptO iti ca smaraNAt / atra yadi api viSvena-amUrtam avyAkRtam
   cānumānādinānubhūyate, tathāpi vyāvahārikaṃ sarvaṃ viśvenaiva jñāyata iti	ca-anumAna-AdinA-anuBUyate, taTA-api vyAvahArikam sarvam viSvena-eva jQAyate iti
   niyamāt sthūlaśarīropādhyabhimānitvāc ca na tasya avasthāntaravyāpakatvam	niyamAt sTUla-SarIra-upADi-aBimAni-tvAt ca na tasya avasTA-antara-vyApaka-tvam
   / śuktirajatādijñānānām aprāmāṇikatvāt tadviṣayasyāvyāvahārikatve 'pi	/ Sukti-rajata-Adi-jQAnAnAm aprAmANika-tvAt tad-vizayasya-avyAvahArika-tve api
   indriyavyāpārakālīnatvāj jāgaraṇopapattiḥ / jñānotpattyādiprakriyā	indriya-vyApAra-ka-AlIna-tvAt jAgaraNa-upapattiH / jQAna-utpatti-Adi-prakriyA
   cādhastād uktaiva /	ca-aDastAt uktA-eva /
   evaṃ jāgrabhogajanakakarmakṣaye svāpnabhogajanakakarmodaye ca sati	evam jAgra-Boga-janaka-karma-kzaye svApna-Boga-janaka-karma-udaye ca sati
   nirākhyayā tāmasyā vṛttyā sthūladehābhimāne dūrīkṛtte sarvendriyeṣu	nirAKyayA tAm-asyAH vRttyA sTUla-deha-aBimAne dUrIkRtte sarva-indriyezu
   devatānugrahābhāvān nirvyāpāratayā līneṣu viśvo 'pi līna ity ucyate / tadā	devatA-anugraha-aBAvAt nirvyApAra-tayA lInezu viSvaH api lInaH iti ucyate / tadA
   ca svapnāvasthā / tatrāntaḥkaraṇavāsanānimitta indriyavṛttyabhāvakālīno	ca svapna-avasTA / tatra-antaHkaraNa-vAsanA-nimittaH indriya-vRtti-aBAva-kAlInaH-
   'rthopalambhaḥ svapnaḥ / tatra ca mana eva gajaturagādyarthākāreṇa	arTa-upalamBaH svapnaH / tatra ca manaH eva gaja-turaga-Adi-arTa-AkAreNa
   vivartate avidyāvṛttyā ca jñāyata iti kecit / avidyaiva śuktirajatādivat	vivartate avidyA-AvRttyA ca jQAyate iti kecid / avidyA-eva Sukti-rajata-Adi-vat-
   svapnārthakāreṇa pariṇamate jñāyate cāvidyāvṛttyety anye / kaḥ pakṣaḥ	svapna-arTa-kAreNa pariNamate jQAyate ca-avidyA-AvRttyA-iti anye / kaH pakzaH
   śreyān? uttaraḥ / avidyāyā eva sarvatrārthādhyāsajñānādhyāsopādānatvena	SreyAn? uttaraH / avidyAyAH eva sarvatra-arTa-aDyAsa-jQAna-aDyAsa-upAdAna-tvena
   kalpitatvān manogatavāsanānimittatvena ca kvacin	kalpita-tvAt manaH-gata-vAsanA-nimitta-tvena ca kvacid-
   manaḥpariṇāmatvavyapadeśāt / nanu, tadā manaso	manaH-pariNAma-tva-vyapadeSAt / nanu, tadA manasaH-
   dṛśyākārapariṇāmānabhyupagame dṛṣṭṛtvasambhavenātmanaḥ	dRSya-AkAra-pariNAma-anaByupagame dRzwR-tva-samBavena-AtmanaH
   svayaṃjyotiṣṭ.vāsiddhir iti cet, na, bahirindriyajanyavṛttyabhāvena	svayaMjyotizw.va-asidDiH iti cet, na, bahis-indriya-janya-vRtti-aBAvena
   tadānīṃ manaso'grāhakatvāt tatsahakāreṇaiva tasya grāhakatvaniyamāt,	tadAnIm manasaH-agrAhaka-tvAt tad-sahakAreNa-eva tasya grAhaka-tva-niyamAt,
   savṛttikāntaḥkaraṇāvacchinnasyaiva caitanyasya pramātṛtvaniyamāt	sa-vRttika-antaHkaraNa-avacCinnasya-eva cEtanyasya pramAtR-tva-niyamAt-
   tadāntaḥkaranasattve 'pi pramātrabhāvaḥ /	tadA-antaHkarana-sattve api pramAtra-BAvaH /
   kimadhiṣṭhānaṃ svapnādhyāsasya manovacchinnaṃ jīvacaitanyam ity eke,	kim-aDizWAnam svapna-aDyAsasya manaH-vacCinnam jIva-cEtanyam iti eke,
   mūlājñānāvacchinnaṃ brahmacaitanyam ity apare / kiṃ śreyaḥ?	mUla-ajQAna-avacCinnam brahmacEtanyam iti apare / kim SreyaH?
   matabhedenobhayam api / tathā hi -- jāgradbodhena	mata-Bedena-uBayam api / taTA hi - jAgrat-boDena
   svapnabhramanivṛttyabhyupagamād adhiṣṭhānajñānād eva ca bhramanivṛtteḥ,	svapna-Brama-nivRtti-aByupagamAt aDizWAna-jQAnAt eva ca Brama-nivRtteH,
   brahmacaitanyasya cādhiṣṭhānatve saṃsāradaśāyāṃ tajjñānatvābhāvāt jñānena	brahmacEtanyasya ca-aDizWAna-tve saMsAra-daSAyAm tad-jQAna-tva-aBAvAt jQAnena
   ca sarvadvaitanivṛtteḥ na jāgradbodhāt svapnanivṛttiḥ syāt / "sa hi kartā"	ca sarva-dvEta-nivRtteH na jAgrat-boDAt svapna-nivRttiH syAt / "sa hi kartA"
   (BAU IV.3.10.) iti ca jīvakartṛtvaśruteḥ ākāśādiprapañcavat	(BAU IV.3.10.) iti ca jIva-kartR-tva-SruteH AkASa-Adi-prapaQca-vat-
   sarvasādhāraṇyāpatteś ca na mūlājñānāvacchinnaṃ brahmacaitanyam	sarva-sADAraNya-ApatteH ca na mUla-ajQAna-avacCinnam brahmacEtanyam
   adhiṣṭhānam /	aDizWAnam /
   nanu, jīvacaitanyasyānāvṛtttatvena sarvadābhāsamānatvāt katham	nanu, jIva-cEtanyasya-anAvRttta-tvena sarva-dABAsamAna-tvAt kaTam
   adhiṣṭhānatvam? satyaṃ, tatrāpi	aDizWAna-tvam? satyan, tatra-api
   svapnādhyāsānukūlavyāvahārikasaṃghātabhānavirodhyavasthājñānābhyupagamāt,	svapna-aDyAsa-anukUla-vyAvahArika-saMGAta-BAna-viroDi-avasTA-jQAna-aByupagamAt,
   svapnadaśāyāṃ cāhaṃ manuṣya ityādipratītikasaṃghātāntarabhānābhyupagamāt	svapna-daSAyAm ca-aham manuzyaH ityAdi-pratItika-saMGAta-antara-BAna-aByupagamAt
   śayyāyāṃ svapimīti śayyāntaravat / bhānasāmagryabhāvaś ca tulya eva /	SayyAyAm svapimi-iti SayyA-antara-vat / BAnasAm-agrya-BAvaH ca tulyaH eva /
   nanu, ahaṃ manuṣya ityādivyāvahārikasaṃghātajñānasya pramāṇājanyatvāt	nanu, aham manuzyaH iti-Adi-vyAvahArika-saMGAta-jQAnasya pramANa-ajanya-tvAt-
   katham ajñānanivartakatā / avasthāntarānyathānupapattyā tatkalpane	kaTam ajQAna-nivartaka-tA / avasTA-antarAni-aTA-anupapattyA tad-kalpane
   suṣuptāv api svapnabādhakajñānam āsthīyeta, tac cāniṣṭaṃ jāgrattvāpatter	suzuptO api svapna-bADaka-jQAnam AsTIyeta, tat ca-anizwam jAgrat-tvApatteH-
   iti cet, sādhv avocaḥ, svapnāvasthājñānasyaivāntaḥkaraṇalayasahitasya	iti cet, sADu avocaH, svapna-avasTA-jQAnasya-eva-antaHkaraNa-laya-sahitasya
   suṣuptirūpatvān na tatra tadbādhaḥ / jāgaraṇe tu mithyaiva svapno 'bhād	suzupti-rUpa-tvAt na tatra tad-bADaH / jAgaraNe tu miTyA-eva svapnaH aBAd
   ity anubhavād aham iti jñānasya pramāṇājanyatve 'pi yathārthatvāt	iti anuBavAt aham iti jQAnasya pramANa-ajanya-tve api yaTArTa-tvAt-
   śarīrādijñānasya ca pramāṇajanyatvād avasthājñānavirodhitvam	SarIra-Adi-jQAnasya ca pramANa-janya-tvAt avasTA-jQAna-viroDi-tvam
   anubhavasiddham / viśeṣājñānaṃ tu na pramāṇajanyavṛttim antareṇa nivartate	anuBava-sidDam / viSeza-ajQAnam tu na pramANa-janya-vRttim antareNa nivartate
   / sākṣiṇaś cāvidyānivartakatvābhāvo 'vidyāsādhakatvenaiva	/ sAkziNaH ca-avidyA-nivartaka-tva-aBAvaH avidyA-sADaka-tvena-eva
   dharmigrāhakamānasiddha iti na kiñcid avadyam / yāvanti jñānāni tāvanty	Darmi-grAhaka-mAna-sidDaH iti na kiQcid avadyam / yAvanti jQAnAni tAvanti-
   ajñānānīti cābhyupagamāt śuktijñāneneva	ajQAnAni-iti ca-aByupagamAt Sukti-jQAnena-iva
   vyāvahārikasaṃghātajñānenājñānanivṛttāv api punar api kadācid	vyAvahArika-saMGAta-jQAnena-ajQAna-nivRttO api punar api kadAcid-
   rajatabhramavan na svapnādhyāsānupapattir iti jīvacaitanyam evādhiṣṭhānam	rajata-Brama-vat na svapna-aDyAsa-anupapattiH iti jIva-cEtanyam eva-aDizWAnam
   iti pakṣe na ko 'pi doṣaḥ /	iti pakze na kaH api dozaH /
   yadā punar brahmajñānād evājñānanivṛttyabhyupagamas tadā rajjvāṃ	yadA punar brahma-jQAnAt eva-ajQAna-nivRtti-aByupagamaH tadA rajjvAm
   daṇḍabhrameṇa sarpabhramatirodhānavad adhiṣṭhānajñānābhāve 'pi	daNxa-BrameNa sarpa-Brama-tiroDAna-vat aDizWAna-jQAna-aBAve api
   jāgradbhrameṇa svapnabhramatirobhāvopapatteḥ brahmacaitanyam eva	jAgrat-BrameNa svapna-Brama-tiroBAva-upapatteH brahmacEtanyam eva
   svapnādhyāsādhiṣṭhānam iti pakṣe 'pi na kaścid doṣaḥ / pratijīvaṃ	svapna-aDyAsa-aDizWAnam iti pakze api na kaScid dozaH / pratijIvam
   svapnādhyāsāsādhāraṇyaṃ tu manogatavāsanānām asādhāraṇyād eva /	svapna-aDyAsa-asADa-araNyam tu manaH-gata-vAsanAnAm asADa-araNyAt eva /
   manovacchinnaṃ brahmacaitanyam evādhiṣṭhānam etasminn api pakṣe	manaH-vacCinnam brahmacEtanyam eva-aDizWAnam etasmin api pakze
   'vasthājñānasyāvarakatvāṅgīkārān na kāpy anupapattiḥ / ata eva śāstreṣu	avasTA-jQAnasya-Avaraka-tva-aFgIkArAt na kA-api anupapattiH / atas eva SAstrezu
   kvacit kvacit tathā vyapadeśaḥ / nanu,	kvacid kvacid taTA vyapadeSaH / nanu,
   manovacchinnacaitanyasyādhiṣṭhānatve ahaṃ gaja ity	manaH-vacCinna-cEtanyasya-aDizWAna-tve aham gajaH iti-
   āhaṅkārasāmānādhikaraṇyena gajapratītiḥ syāt idaṃ rajatam iti	AhaFkA-rasAmAna-aDikaraNyena gaja-pratItiH syAt idam rajatam iti
   śuktisāmānādhikaraṇyena rajatapratītivat natv ayaṃ gaja iti /	Sukti-sAmAna-aDikaraNyena rajata-pratIti-vat na-tu ayam gajaH iti /
