   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   avasādam avāpnuyāt Brh_1,27.5b	avasAdam avApnuyAt Br=-_1,27.5b
   avasādam avāpnuyāt Brh_1,28.2b	avasAdam avApnuyAt Br=-_1,28.2b
   avācyasāraṃ saṃdigdhaṃ Brh_1,3.28c	avAcya-sAram saMdigDam Brh_1,3.28c
   avācyā baḍabā smṛtā Brh_1,16.13d	avAcyA baxabA smRtAH Br=-_1,16.13d
   avicchinnā cirantanī Brh_1,7.60b	avicCinnA cirantanI Br=-_1,7.60b
   avijñātakrayo doṣas Brh_1,12.12a	avijQAta-krayaH dozaH Brh_1,12.12a
   avijñātaviśeṣatvād yatra Brh_1,12.15c	avijQAta-viSeza-tvAt yatra Br=-_1,12.15c
   avijñātaṃ tu yat krītaṃ Brh_1,18.8a	avijQAtam tu yat krItam Brh_1,18.8a
   avijñātāśrayāt krītaṃ Brh_1,12.10c	avijQAta-ASrayAt krItam Brh_1,12.10c
   aviditvā tu ye nṛṇām Brh_1,22.15b	aviditvA tu ye nRNAm Br=-_1,22.15b
   avibhaktavibhaktānāṃ Brh_1,26.68a	aviBakta-viBaktAnAm Brh_1,26.68a
   avibhaktaiś ca kartavyā Brh_1,26.145a	aviBaktEH ca kartavyA Brh_1,26.145a
   avirodhena pārthivaḥ Brh_1,1.111b	aviroDena pArTivaH Brh_1,1.111b
   aviśeṣeṇa sarveṣāṃ Brh_1,7.9c	aviSezeNa sarvezAm Br=-_1,7.9c
   avyākhyānagamyam etad Brh_1,3.5c	avyAKyAna-gamyam etat Br=-_1,3.5c
   avyāyacchann avikrośan Brh_1,16.15a	avyAyacCan avikroSan Brh_1,16.15a
   avyāhataṃ lekhabhogaṃ Brh_1,7.35c	avyAhatam leKa-Bogam Brh_1,7.35c
   avyāhatā tripuruṣī Brh_1,7.34c	avyAhatA tripuruzI Br=-_1,7.34c
   aśaktālasarogārta- Brh_1,7.47a	aSakta-alasa-roga-Arta Brh_1,7.47a
   aśaktālasarogārta- Brh_1,13.3a	aSakta-alasa-roga-Arta Brh_1,13.3a
   aśāntalābhe ca ṛṇe Brh_1,10.39c	aSAnta-lABe ca RNe Br=-_1,10.39c
   aśāstravihitaṃ yac ca Brh_1,29.15c	aSAstra-vihitam yat ca Br=-_1,29.15c
   aśītibhāgo vardheta Brh_1,10.22a	aSIti-BAgaH varDeta Brh_1,10.22a
   aśītibhāgo vṛddhiḥ syān Brh_1,10.4a	aSIti-BAgaH vRdDiH syAt Brh_1,10.4a
   aśuddho vadham arhati Brh_1,23.26b	aSudDaH vaDam arhati Br=-_1,23.26b
   aśubhaṃ karma vijñeyaṃ Brh_1,15.18c	aSuBam karma vijQeyam Brh_1,15.18c
   aśubhaṃ dāsakarmoktaṃ Brh_1,15.16c	aSuBam dAsa-karma-uktam Brh_1,15.16c
   aśubhaṃ śubham eva ca Brh_1,15.16b	aSuBam SuBam eva ca Br=-_1,15.16b
   aśuśrūṣābhyupetyaitad Brh_1,15.2c	aSuSrUzA-aByupetya-etat Br=-_1,15.2c
   aśeṣamānuṣābhāve Brh_1,8.47a	aSeza-mAnuza-aBAve Brh_1,8.47a
   aśeṣaṃ pratibhāvayet Brh_1,5.51b	aSezam pratiBAvayet Br=-_1,5.51b
   aśvarūpyahiraṇyānāṃ Brh_1,18.10a	aSva-rUpya-hiraNyAnAm Brh_1,18.10a
   aṣṭamaṃ kālam ity uktaṃ Brh_1,8.4a	azwamam kAlam iti uktam Brh_1,8.4a
   aṣṭāṅgulaṃ bhaved dīrghaṃ Brh_1,8.80a	azwa-aFgulam Bavet dIrGam Brh_1,8.80a
   aṣṭādaśapado vādo Brh_1,2.26a	azwAdaSa-padaH vAdaH Br=-_1,2.26a
   asakṛdvādināṃ nṛpaḥ Brh_1,1.169b	asakRt-vAdinAm nRpaH Brh_1,1.169b
   asatyāḥ satyasadṛśāḥ Brh_1,1.117a	asatyAH satya-sadRSAH Brh_1,1.117a
   asatsaṅge viśeṣeṇa Brh_1,25.9c	asat-saFge viSezeNa Br=-_1,25.9c
   asat sad iva dṛśyate Brh_1,6.33b	asat sat iva dRSyate Br=-_1,6.33b
   asambhūya sutān sarvān Brh_1,26.38c	asamBUya sutAn sarvAn Br=-_1,26.38c
   asaṃkareṇa vaktavye Brh_1,2.16c	asaMkareNa vaktavye Br=-_1,2.16c
   asaṃkhyātam adarśitam Brh_1,11.2b	asaMKyAtam adarSitam Br=-_1,11.2b
   asaṃdigdham anākulam Brh_1,3.5b	asaMdigDam anAkulam Br=-_1,3.5b
   asaṃbandhakṛtaś caiva Brh_1,1.123c	asaMbanDa-kRtaH ca-eva Br=-_1,1.123c
   asaṃbhāvyam asādhyaṃ taṃ Brh_1,2.12c	asaMBAvyam asADyam tam Br=-_1,2.12c
   asaṃsṛṣṭy api cādadyāt Brh_1,26.117c	asaMsRzwI api ca-AdadyAt Br=-_1,26.117c
   asaṃskṛtā bhrātaras tu Brh_1,26.27a	asaMskRtA BrAtaraH tu Br=-_1,26.27a
   asaṃskṛtās tu yās tatra Brh_1,26.26a	asaMskRtAH tu yAH tatra Brh_1,26.26a
   asākṣike cirakṛte Brh_1,7.68a	asAkzike cira-kRte Br=-_1,7.68a
   asādhyaṃ vā viruddhaṃ vā Brh_1,2.8c	asADyam vA virudDam vA Br=-_1,2.8c
   asādhyādyartham ākulam Brh_1,2.20b	asADya-Adi-arTam Akulam Br=-_1,2.20b
   asutasya pramītasya Brh_1,26.94c	asutasya pramItasya Br=-_1,26.94c
   asṭamaṃ sarva[sūrya?]daivatam Brh_1,8.55d	aswamam sarva[sUrya-?]dEvatam Br=-_1,8.55d
   asvatantrakṛtaś caiva Brh_1,1.122c	asvatantra-kRtaH ca-eva Br=-_1,1.122c
   asvatantreṇa mūḍhena Brh_1,18.4c	asvatantreNa mUXena Br=-_1,18.4c
   asvāminā kṛto yas tu Brh_1,10.60a	asvAminA kRtaH yaH tu Br=-_1,10.60a
   asvāminā tu yad bhuktaṃ Brh_1,7.44a	asvAminA tu yat Buktam Brh_1,7.44a
   asvāmī so 'bhidhīyate Brh_1,12.2d	asvAmI saH aBiDIyate Br=-_1,12.2d
   ahatvā bhrūṇahā sa syān Brh_1,23.19c	ahatvA BrUNa-hA sa syAt Br=-_1,23.19c
   aham uddeśatāṃ vacmi Brh_1,8.5c	aham uddeSa-tAm vacmi Br=-_1,8.5c
   ahaṃpūurvikayā yātāv Brh_1,3.25a	ahaMpUuH-vikayA yAtO Br=-_1,3.25a
   ahaṃ pūrvikayā yātāv Brh_1,1.172a	aham pUrvikayA yAtO Br=-_1,1.172a
   ākruṣṭas tu samākrośaṃs Brh_1,21.19a	AkruzwaH tu samAkroSan Brh_1,21.19a
   ākrośakas tu viprāṇāṃ Brh_1,20.18c	AkroSakaH tu viprANAm Brh_1,20.18c
   āgatānāṃ vivadatām Brh_1,1.169a	AgatAnAm vivadatAm Br=-_1,1.169a
   āgantas tu śaragrāhī Brh_1,8.60a	AgantaH tu Sara-grAhI Brh_1,8.60a
   āgantukāḥ kramāyātās Brh_1,13.21a	AgantukAH krama-AyAtAH Br=-_1,13.21a
   āgamaṃ ca pramāṇaṃ ca Brh_1,19.28a	Agamam ca pramANam ca Br=-_1,19.28a
   āgamaṃ vāpi saṃsadi Brh_1,7.39b	Agamam vA-api saMsadi Br=-_1,7.39b
   āgamenāpi śuddhena Brh_1,7.30c	Agamena-api SudDena Br=-_1,7.30c
   āgamair mūlyakalpanā Brh_1,18.11b	AgamEH mUlya-kalpanA Br=-_1,18.11b
   āgamo 'pi balaṃ naiva Brh_1,7.33c	AgamaH api balam na-eva Br=-_1,7.33c
   āgneyaṃ maṇḍalaṃ tv ādyaṃ Brh_1,8.54a	Agneyam maNxalam tu Adyam Br=-_1,8.54a
   ācaturthād iti sthitiḥ Brh_1,26.68d	AcaturTAt iti sTitiH Br=-_1,26.68d
   ācārakaraṇe divye Brh_1,3.40a	AcAra-karaNe divye Br=-_1,3.40a
   ācārahīnaḥ putras tu Brh_1,26.37c	AcAra-hInaH putraH tu Br=-_1,26.37c
   ācāreṇāvasanno 'pi Brh_1,3.21a	AcAreNa-avasannaH api Brh_1,3.21a
   ācāryaḥ śiṣya eva vā Brh_1,26.124b	AcAryaH SizyaH eva vA Br=-_1,26.124b
   ācāryāś ceti śilpinaḥ Brh_1,13.35b	AcAryAH ca-iti SilpinaH Brh_1,13.35b
   ācārye triguṇaṃ jñeyam Brh_1,14.11c	AcArye triguNam jQeyam Br=-_1,14.11c
   ā janmanaś cā maraṇāt Brh_1,5.33a	A janmanaH cA maraNAt Br=-_1,5.33a
   ājñāsedhavyatikramaḥ Brh_1,29.13b	AjQA-seDa-vyatikramaH Br=-_1,29.13b
   ājyaṃ vinā yathā tailaṃ Brh_1,26.78a	Ajyam vinA yaTA tElam Brh_1,26.78a
   āḍhyasya nikaṭasthasya Brh_1,6.51a	AXyasya nikawa-sTasya Br=-_1,6.51a
   ātatāyidvijāgyāṇāṃ Brh_1,23.4a	AtatAyi-dvijAgyANAm Brh_1,23.4a
   ātatāyinam utkṛṣṭaṃ Brh_1,23.18a	AtatAyinam utkRzwam Brh_1,23.18a
   ātiṣṭhed balam uttamam Brh_1,1.38d	AtizWet balam uttamam Br=-_1,1.38d
   ātmadārārthalokānāṃ Brh_1,1.28a	Atma-dAra-arTa-lokAnAm Br=-_1,1.28a
   ātmānaṃ darśayanti ye Brh_1,22.16b	AtmAnam darSayanti ye Br=-_1,22.16b
   ātmike jñātasāhasram Brh_1,14.12a	Atmike jQAta-sAhasram Br=-_1,14.12a
   ādāya dāpayec chrāddhaṃ Brh_1,26.97c	AdAya dApayet SrAdDam Brh_1,26.97c
   ādityacandradevādi Brh_1,1.87a	Aditya-candra-deva-Adi Br=-_1,1.87a
   ādityānāṃ tathāyanam Brh_1,8.20b	AdityAnAm taTA-ayanam Br=-_1,8.20b
   ādyau tu vitathe dāpyau Brh_1,10.78a	AdyO tu vitaTe dApyO Br=-_1,10.78a
   ādharyaṃ manur abravīt Brh_1,3.20d	ADaryam manuH abravIt Br=-_1,3.20d
   ādhānaṃ phalasaṃgrahāt Brh_1,6.44b	ADAnam Pala-saMgrahAt Br=-_1,6.44b
   ādhānaṃ vikrayo dānaṃ Brh_1,10.46a	ADAnam vikrayaH dAnam Brh_1,10.46a
   ādhir bandhaḥ samākhyātaḥ Brh_1,10.38a	ADiH banDaH samAKyAtaH Brh_1,10.38a
   ādhilekhyaṃ tataḥ param Brh_1,6.7d	ADi-leKyam tatas param Br=-_1,6.7d
   ādhilekhyaṃ tu tat smṛtam Brh_1,6.14d	ADi-leKyam tu tat smRtam Br=-_1,6.14d
   ādhis tu bhujyate tāvad Brh_1,10.37a	ADiH tu Bujyate tAvat Brh_1,10.37a
   ādhis tu sodaye dravye Brh_1,10.69a	ADiH tu sa-udaye dravye Brh_1,10.69a
   ādhyartham ādhilekhyaṃ syād Brh_1,6.9a	ADyarTam ADi-leKyam syAt Br=-_1,6.9a
   ādhyādividhisaṃsmṛtam Brh_1,26.99b	ADi-Adi-viDi-saMsmRtam Br=-_1,26.99b
   ānīte madhyame bāṇe Brh_1,8.61a	AnIte maDyame bANe Br=-_1,8.61a
   ānīya ṛṇikād dhanī Brh_1,10.90b	AnIya RNikAt DanI Br=-_1,10.90b
   āpatkālakṛtā nityaṃ Brh_1,10.12c	Apad-kAla-kRtA nityam Brh_1,10.12c
   āpatsv anantarāvṛttir Brh_1,7.14a	Apatsu anantarAvRttiH Brh_1,7.14a
   āpadaṃ brāhmaṇas tīrtvā Brh_1,7.17a	Apadam brAhmaNaH tIrtvA Brh_1,7.17a
   āpaś caivānilo 'nalaḥ Brh_1,8.19b	ApaH ca-eva-anilaH analaH Br=-_1,8.19b
   āmantritā ca nāgacchet Brh_1,16.13c	AmantritA ca na-AgacCet Br=-_1,16.13c
   āmantrya pūjayed gandhaiḥ Brh_1,8.83a	Amantrya pUjayet ganDEH Brh_1,8.83a
   āmnāye smṛtitantre ca Brh_1,26.92a	AmnAye smRti-tantre ca Br=-_1,26.92a
   āyacchec chaktitaḥ krośot- Brh_1,16.16c	AyacCet SaktitaH kroSa-ut Br=-_1,16.16c
   āyavyayajñaiḥ śucibhiḥ Brh_1,13.1c	Aya-vyaya-jQEH SuciBiH Br=-_1,13.1c
   āyavyaye 'nnasaṃskāre Brh_1,25.6a	Aya-vyaye anna-saMskAre Brh_1,25.6a
   āyasaṃ dvādaśapalaṃ Brh_1,8.79a	Ayasam dvAdaSa-palam Brh_1,8.79a
   āyasīṃ vā suśobhanām Brh_1,8.74b	AyasIm vA su-SoBanAm Br=-_1,8.74b
   āyase mṛṇmaye 'pi vā Brh_1,8.73b	Ayase mRNmaye api vA Br=-_1,8.73b
   āyudhī tūttamaḥ prokto Brh_1,15.13a	AyuDI tu-uttamaH proktaH Brh_1,15.13a
   āyudhīyāś ca vigrahe Brh_1,1.165d	AyuDIyAH ca vigrahe Br=-_1,1.165d
   āyudhaiś ca praharaṇair Brh_1,21.1c	AyuDEH ca praharaNEH Br=-_1,21.1c
   āyuṣaḥ kṣapaṇārthaṃ tu Brh_1,26.100e	AyuzaH kzapaNa-arTam tu Brh_1,26.100e
   ārambhakṛtsahāyaś ca Brh_1,23.15c	AramBa-kRt-sahAyaH ca Br=-_1,23.15c
   ārambhakṛtsahāyaś ca Brh_1,23.22c	AramBa-kRt-sahAyaH ca Br=-_1,23.22c
   ārambhako 'nubandhī ca Brh_1,21.3c	AramBakaH anubanDI ca Br=-_1,21.3c
   ārtānāṃ tu gadair nṛṇām Brh_1,8.69b	ArtAnAm tu gadEH nRNAm Br=-_1,8.69b
   ārtārte mudite hṛṣṭā Brh_1,25.12a	Arta-Arte mudite hRzwAH Brh_1,25.12a
   ārdravāsasam āgatam Brh_1,8.77d	Ardra-vAsasam Agatam Br=-_1,8.77d
   ālocya ca suniścitaḥ Brh_1,2.18b	Alocya ca su-niScitaH Br=-_1,2.18b
   āvidyāgrahaṇāc śiṣyaḥ Brh_1,15.20a	AvidyAgrahaNAt SizyaH Brh_1,15.20a
   āvedayati ced rājñe Brh_1,1.121c	Avedayati ced rAjQe Br=-_1,1.121c
   āvedya tu gṛhīte 'rthe Brh_1,2.31a	Avedya tu gRhIte arTe Brh_1,2.31a
   āśrayaḥ śastradātā ca Brh_1,23.15e	ASrayaH Sastra-dAtA ca Brh_1,23.15e
   āsanne sainikaḥ saṃkhye Brh_1,1.137a	Asanne sEnikaH saMKye Brh_1,1.137a
   āsiddhaś ca na laṅghayet Brh_1,1.162d	AsidDaH ca na laFGayet Br=-_1,1.162d
   āsiddhas taṃ na laṅghayet Brh_1,1.159d	AsidDaH tam na laFGayet Br=-_1,1.159d
   āsiddhas tu parāsedham Brh_1,1.163c	AsidDaH tu parAseDam Br=-_1,1.163c
   āsīnaḥ sthita eva vā Brh_1,1.27d	AsInaH sTitaH eva vA Br=-_1,1.27d
   āseddhā tu svam āsedhaṃ Brh_1,1.161a	AsedDA tu svam AseDam Brh_1,1.161a
   āseddhā notsṛjed svayam Brh_1,1.162b	Asa-idDA na-utsRjet svayam Br=-_1,1.162b
   āsedhayaṃs tu nāsedhyaṃ Brh_1,1.168c	AseDayan tu na-aseDyam Br=-_1,1.168c
   āsedhayaṃs tv anāsedhyaṃ Brh_1,10.97c	AseDayan tu anAseDyam Br=-_1,10.97c
   āsedhayed anāsedhaiḥ Brh_1,1.167c	AseDayet anAseDEH Br=-_1,1.167c
   āsedhayed vivādārthī Brh_1,1.158c	AseDayet vivAda-arTI Brh_1,1.158c
   āsedhayogya āsedham Brh_1,1.168a	AseDa-yogyaH AseDam Br=-_1,1.168a
   āsedhavyāni vādinām Brh_1,1.160d	AseDavyAni vAdinAm Br=-_1,1.160d
   āsedhājñāvyatikramaḥ Brh_1,2.27d	AseDa-AjQA-vyatikramaH Br=-_1,2.27d
   āhartā śodhayed bhuktim Brh_1,7.39a	AhartA SoDayet Buktim Brh_1,7.39a
   āhartrā tatsutena vā Brh_1,7.31d	AhartrA tad-sutena vA Br=-_1,7.31d
   āhārocchvasanādibhiḥ Brh_1,1.167b	AhAra-ucCvasana-AdiBiH Br=-_1,1.167b
   āhitāgniṣu tad dvayam Brh_1,14.11d	AhitAgnizu tat dvayam Br=-_1,14.11d
   āhutaḥ prapalāyī ca Brh_1,3.10c	AhutaH prapalAyI ca Br=-_1,3.10c
   āhūtaprapalāyī ca Brh_1,3.34a	AhUta-prapalAyI ca Br=-_1,3.34a
   āhūtas tv avamanyeta Brh_1,1.147c	AhUtaH tu avamanyeta Br=-_1,1.147c
   āhūto yatra nāgacchet Brh_1,5.45a	AhUtaH yatra na-AgacCet Brh_1,5.45a
   āhūto yas tu nāgacched Brh_1,1.144a	AhUtaH yaH tu na-AgacCet Br=-_1,1.144a
   āhūya yaḥ kṛtaḥ sākṣī Brh_1,5.9a	AhUya yaH kRtaH sAkzI Brh_1,5.9a
   āhṛtya sthāpayet tatra Brh_1,1.30c	AhRtya sTApayet tatra Brh_1,1.30c
   āhṛtya sthāpayet tatra Brh_1,17.2c	AhRtya sTApayet tatra Brh_1,17.2c
   āhaiko darśayāmīti Brh_1,10.74a	Aha-ekaH darSayAmi-iti Br=-_1,10.74a
   āhvānārtham ataḥ param Brh_1,1.146d	AhvAna-arTam atas param Br=-_1,1.146d
   itareṣām pradīyate Brh_1,6.29b	itarezAm pradIyate Br=-_1,6.29b
   itaraiḥ śvaśure mrte Brh_1,26.104d	itarEH SvaSure mrte Br=-_1,26.104d
   itaro vartayec chiraḥ Brh_1,8.17d	itaraH vartayet SiraH Br=-_1,8.17d
   iti kātyāyano 'bravīt Brh_1,10.47d	iti kAtyAyanaH abravIt Br=-_1,10.47d
   iti tasya vidhikramaḥ Brh_1,7.1d	iti tasya viDi-kramaH Br=-_1,7.1d
   iti dharmo vyavasthitaḥ Brh_1,7.32b	iti DarmaH vyavasTitaH Br=-_1,7.32b
   iti dharmo vyavasthitaḥ Brh_1,26.43d	iti DarmaH vyavasTitaH Br=-_1,26.43d
   iti dharmo vyavasthitaḥ Brh_1,26.122d	iti DarmaH vyavasTitaH Br=-_1,26.122d
   iti nirdoṣa uttare Brh_1,4.1b	iti nirdozaH uttare Br=-_1,4.1b
   ity ete dvādaśādityā Brh_1,8.22a	iti ete dvAdaSa-AdityAH Br=-_1,8.22a
   ity eṣa trividho bhṛtaḥ Brh_1,15.12d	iti eza triviDaH BRtaH Br=-_1,15.12d
   indro vivasvān pūṣā ca Brh_1,8.21a	indraH vivasvAn pUzA ca Br=-_1,8.21a
   imān apy anuyuñjīta Brh_1,19.12c	imAn api anuyuQjIta Brh_1,19.12c
   imān dharmān kaliyuge Brh_1,23.4c	imAn DarmAn kali-yuge Br=-_1,23.4c
   iṣūun na nikṣiped vidvān Brh_1,8.62c	izUut na nikzipet vidvAn Br=-_1,8.62c
   iṣṭakopalakāṣṭhaiś ca Brh_1,21.10a	izwakA-upala-kAzWEH ca Br=-_1,21.10a
   iṣṭāpūrtaṃ tathaiva ca Brh_1,26.91b	izwApUrtam taTA-eva ca Br=-_1,26.91b
   iha kīrtiṃ rājapūjāṃ Brh_1,1.97c	iha kIrtim rAja-pUjAm Br=-_1,1.97c
   ihaiva tasya devatvaṃ Brh_1,1.54c	iha-eva tasya deva-tvam Brh_1,1.54c
   uktapañcaguṇā śāke Brh_1,10.18a	ukta-paQcaguNA SAke Brh_1,10.18a
   uktaprakāro vijñeyaḥ Brh_1,26.49a	ukta-prakAraH vijQeyaH Brh_1,26.49a
   uktaṃ tair na vicāritam Brh_1,26.47b	uktam tEH na vicAritam Br=-_1,26.47b
   ukte tu sākṣiṇo rājñā Brh_1,8.43c	ukte tu sAkziNaH rAjQA Br=-_1,8.43c
   ukte 'rthe sākṣiṇo yas tu Brh_1,5.28a	ukte arTe sAkziNaH yaH tu Br=-_1,5.28a
   ukto yādṛcchikas tu saḥ Brh_1,5.12d	uktaH yAdRcCikaH tu saH Br=-_1,5.12d
   uktyā vibhajanīyaṃ tad Brh_1,26.49c	uktyA viBajanIyam tat Br=-_1,26.49c
   uktvā niyogo manunā Brh_1,25.16a	uktvA niyogaH manunA Brh_1,25.16a
   ujjāmādikam ādāya Brh_1,10.123a	ujjAma-Adikam AdAya Brh_1,10.123a
   utkṛtya liṅgavṛṣaṇau Brh_1,24.13c	utkRtya liFga-vRzaNO Br=-_1,24.13c
   utkṛṣṭaṃ cāpakṛṣṭaṃ Brh_1,7.16a	utkRzwam ca-apakRzwam Brh_1,7.16a
   utkrāmantaṃ ca tadvacaḥ Brh_1,1.158b	utkrAmantam ca tad-vacaH Br=-_1,1.158b
   utkrāman daṇḍam arhati Brh_1,1.168b	utkrAman daNxam arhati Br=-_1,1.168b
   utkrāman nāparādhnuyāt Brh_1,1.163d	utkrAman na-aparADnuyAt Br=-_1,1.163d
   utkṣepakas tu saṃdaṃśair Brh_1,22.6a	utkzepakaH tu saMdaMSEH Br=-_1,22.6a
   utkṣepakāḥ sasyaharāḥ Brh_1,22.4c	utkzepakAH sasya-harAH Br=-_1,22.4c
   uttamarṇādhamarṇebhyaḥ Brh_1,26.35a	uttamarNa-aDamarNeByaH Brh_1,26.35a
   uttamarṇena vāditaḥ Brh_1,10.127b	uttamarNena vAditaH Br=-_1,10.127b
   uttamas tv asthibhede syād Brh_1,21.11c	uttamaH tu asTi-Bede syAt Br=-_1,21.11c
   uttamas tv āyudhīyo 'tra Brh_1,15.12a	uttamaH tu AyuDIyaH atra Brh_1,15.12a
   uttamasyādhikaḥ prokto Brh_1,20.8c	uttamasya-aDikaH proktaH Br=-_1,20.8c
   uttamaṃ śāstravedibhiḥ Brh_1,24.8d	uttamam SAstra-vediBiH Br=-_1,24.8d
   uttamādhamamadhyānāṃ Brh_1,1.95c	uttama-aDama-maDyAnAm Br=-_1,1.95c
   uttamo madhyamo 'dhamaḥ Brh_1,15.11b	uttamaH maDyamaH aDamaH Brh_1,15.11b
   uttaraṃ kāraṇottaraṃ ceti Brh_1,3.6d	uttaram kAraNa-uttaram ca-iti Br=-_1,3.6d
   uttaraṃ caturvidhaṃ Brh_1,3.6a	uttaram caturviDam Brh_1,3.6a
   uttaraṃ tadvido viduḥ Brh_1,3.5d	uttaram tad-vidaH viduH Br=-_1,3.5d
   uttaraṃ vyavahārataḥ Brh_1,3.17d	uttaram vyavahArataH Br=-_1,3.17d
   uttarāntargataṃ vāpi Brh_1,2.17c	uttara-antargatam vA-api Br=-_1,2.17c
   uttarārthaṃ pratijñārthaṃ Brh_1,4.11c	uttara-arTam pratijQA-arTam Brh_1,4.11c
   uttare madyapā nāryaḥ Brh_1,1.129c	uttare madyapAH nAryaH Br=-_1,1.129c
   uttare syāc caturthe tu Brh_1,4.10a	uttare syAt caturTe tu Br=-_1,4.10a
   uttarottarabandhena Brh_1,10.61a	uttara-uttara-banDena Brh_1,10.61a
   uttarau tu visaṃvāde Brh_1,10.78c	uttarO tu visaMvAde Br=-_1,10.78c
   utpannam adhikaṃ tataḥ Brh_1,10.67b	utpannam aDikam tatas Br=-_1,10.67b
   utpannāś cātyāsannā ye Brh_1,7.50a	utpannAH ca-ati-AsannAH ye Br=-_1,7.50a
   utpādako yadi svāmī Brh_1,15.25c	utpAdakaH yadi svAmI Brh_1,15.25c
   utsave tu pitṛbhrātṛ- Brh_1,25.7c	utsave tu pitR-BrAtR Br=-_1,25.7c
   utsṛjec ced damo dāpya Brh_1,1.162c	utsRjet ced damaH dApya Br=-_1,1.162c
   utsṛjet kṣetravṛttiṃ tāṃ Brh_1,7.17c	utsRjet kzetra-vRttim tAm Br=-_1,7.17c
   uduhyate dākṣiṇātyair Brh_1,1.128a	uduhyate dAkziNAtyEH Brh_1,1.128a
   udgātā cāpyanaḥ kraye Brh_1,13.19d	udgAtA ca-api-anaH kraye Br=-_1,13.19d
   uddharel lekhyam āhartā Brh_1,6.39a	udDaret leKyam AhartA Brh_1,6.39a
   uddhārapatraṃ tat proktam Brh_1,6.17c	udDAra-patram tat proktam Brh_1,6.17c
   uddhāraṃ jyāyase dattvā Brh_1,26.11c	udDAram jyAyase dattvA Br=-_1,26.11c
   uddhṛtya kūpavāpyambhas tv Brh_1,26.3a	udDRtya kUpa-vApi-amBaH tu Br=-_1,26.3a
   udyate 'śmaśilākāṣṭhe Brh_1,21.8a	udyate aSma-SilA-kAzWe Brh_1,21.8a
   udyāmam udayādānād Brh_1,6.44a	udyAmam udaya-AdAnAt Brh_1,6.44a
   unmattakruddhalubdhārtā Brh_1,1.64c	unmatta-krudDa-lubDa-ArtA Br=-_1,1.64c
   unmattajaḍabalānāṃ Brh_1,6.52a	unmatta-jaxa-balAnAm Brh_1,6.52a
   unmattamattanirdhūtā Brh_1,1.173a	unmatta-matta-nirDUtA Brh_1,1.173a
   unmattārtāḥ sāhasikā Brh_1,5.40c	unmatta-ArtAH sAhasikA Br=-_1,5.40c
   unmātavyasanāturaiḥ Brh_1,6.30b	unmAta-vyasana-AturEH Br=-_1,6.30b
   upacchatrāni cānyāni Brh_1,19.17c	upacCatrAni ca-anyAni Br=-_1,19.17c
   upajīvya matāni tu Brh_1,1.56b	upajIvya matAni tu Br=-_1,1.56b
   upadhāṃ vā prayojayet Brh_1,7.68d	upaDAm vA prayojayet Br=-_1,7.68d
   upadhau kūṭasākṣye ca Brh_1,3.11c	upaDO kUwa-sAkzye ca Br=-_1,3.11c
   upapātakaśaṃsanam Brh_1,20.3b	upapAtaka-SaMsanam Br=-_1,20.3b
   uparyupari buddhīnāṃ Brh_1,1.96a	upari-upari budDInAm Brh_1,1.96a
   upary upari bhāṣatām Brh_1,5.14b	upari upari BAzatAm Br=-_1,5.14b
   upalipte śucau deśe Brh_1,8.89a	upalipte SucO deSe Brh_1,8.89a
   upasthānam athāntataḥ Brh_1,15.18b	upasTAnam aTa-antatas Brh_1,15.18b
   upasthitāḥ parīkṣyāḥ syuḥ Brh_1,5.43a	upasTitAH parIkzyAH syuH Br=-_1,5.43a
   upasthite tatas tasmin Brh_1,2.5a	upasTite tatas tasmin Br=-_1,2.5a
   upādhyāye tu tad dvayam Brh_1,14.11b	upADyAye tu tat dvayam Br=-_1,14.11b
   upāyaiś codyamānas tu Brh_1,2.4a	upAyEH codyamAnaH tu Br=-_1,2.4a
   upāyaiḥ śamayen nṛpaḥ Brh_1,1.40b	upAyEH Samayet nRpaH Brh_1,1.40b
   upāṃśujanavikrītam Brh_1,12.2c	upAMSu-jana-vikrItam Br=-_1,12.2c
   upekṣamāṇās te bhūpā Brh_1,1.99c	upekzamANAH te BUpAH Br=-_1,1.99c
   upekṣayā vinaśyanti Brh_1,10.54c	upekzayA vinaSyanti Br=-_1,10.54c
   upekṣī kāryayuktaś ca Brh_1,23.16c	upekzI kArya-yuktaH ca Br=-_1,23.16c
   upoṣitaṃ tataḥ snātam Brh_1,8.77c	upozitam tatas snAtam Br=-_1,8.77c
   ubhayor api ca smṛtam Brh_1,11.15d	uBayoH api ca smRtam Br=-_1,11.15d
   ubhayor api ca smṛtaḥ Brh_1,18.2d	uBayoH api ca smRtaH Br=-_1,18.2d
   ubhayor api śasyate Brh_1,3.45d	uBayoH api Sasyate Br=-_1,3.45d
   ubhayor api saṃdigdhaṃ Brh_1,27.9c	uBayoH api saMdigDam Brh_1,27.9c
   ubhayo hy asya tadvidhaḥ Brh_1,7.3d	uBayaH hi asya tadviDaH Br=-_1,7.3d
   ubhayoḥ parikīrtitam Brh_1,10.71b	uBayoH parikIrtitam Br=-_1,10.71b
   ubhayoḥ pratibhūr grāhyaḥ Brh_1,1.156a	uBayoH pratiBUH grAhyaH Brh_1,1.156a
   ubhayoḥ saṃmataḥ sādhuḥ Brh_1,5.11c	uBayoH saMmataH sADuH Br=-_1,5.11c
