   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   svāhā yajñaṃ manasaḥ svāhā divaḥ svāhā pṛthivyāḥ svāhoror antarikṣāt svāhā	svAhA yajQam manasaH svAhA divaH svAhA pRTivyAH svAhA UroH antarikzAt svAhA
   vātāt parigṛhṇāmi svāhā //MS_1,2.2//	vAtAt parigRhNAmi svAhA //n= _1,2.2//
   nakṣatrāṇāṃ sakāśān mā yauṣam, vrataṃ carata //	nakzatrANAm sakASAt mA yOzam, vratam carataH //
        daivīṃ dhiyaṃ manāmahe sumṛḍīkām abhiṣṭaye /	dEvIm Diyam manAmahe su mRxIkAm aBizwaye /
        varcodhāṃ yajñavāhasaṃ sutīrthā no asad vaśe //	varcaH DAm yajQa vAhasam sutIrTAH naH asat vaSe //
   ye devā manujātā manoyujaḥ sudakṣā dakṣapitaras te no 'vantu te naḥ pāntu	ye devAH manu jAtA manaH yujaH sudakzAH dakza pitaraH te naH avantu te naH pAntu
   tebhyaḥ svāhā //	teByaH svAhA //
   [Page I,12]	[Pa ge I,12]
        śivāḥ pītā bhavata yūyam āpo asmākaṃ yonā udare suśevāḥ /	SivAH pItA Bavata yUyam ApaH asmAkam yonAH udare su SevAH /
        irāvatīr anamīvā anāgasaḥ śivā no bhavata jīvase //	irAvatIH anamIvAH anAgasaH SivAH naH BavataH jIvase //
        kāmo haviṣāṃ mandiṣṭho 'gne tvaṃ su jāgṛhi vayaṃ su mandiṣīmahi /	kAmaH havizAm mandizWaH agne tvam su jAgRhi vayam su mandizImahi /
        gopāya naḥ svastaye prabudhe naḥ punas kṛdhi //	gopAya naH svastaye prabuDe naH punar kRDi //
        punar manaḥ punar āyur nā āgāt punaḥ prāṇaḥ punar ākūtam āgāt /	punar manaH punar AyuH nA AgAt punar prANaH punar AkUtam AgAt /
        vaiśvānaro 'dabdhas tanūpā apabādhatāṃ duritāni viśvā //	vESvAnaraH adabDaH tanUpAH apabADatAm duritAni viSvA //
        tvam agne vratapā asi deva ā martyeṣv ā /	tvam agne vratapAH asi deva A martyezu A /
        tvaṃ yajñeṣv īḍyo vratam asmāsu dhāraya //	tvam yajQezu IxyaH vratam asmAsu DAraya //
   pūṣā sanīnām, somo rādhasām, mā pṛṇan pūrtyā virādhiṣṭa mā vayam āyuṣā	pUzA sanInAm, somaH rADasAm, mA pRNan pUrtyA virADizwa mA vayam AyuzA
   varcasā ca rāsveyat soma, ā bhūyo bhara devaḥ savitā vasor vasudāvā vāyur	varcasA ca rAsveyat soma, A BUyas Bara devaH savitA vasoH vasudAvAH vAyuH 
   gopās tvaṣṭādhipatiḥ puṣā pratigrahītā devīr āpo apāṃ napād ya ūrmir	gopAH tu azwA aDipatiH puzA pratigrahItAH devIH ApaH apAm napAt yaH UrmiH 
   haviṣya indriyāvān madintamas taṃ vo mā kramiṣam, yāḥ paśūnām ṛṣabhe vācas	havizye indriyAvAn madintamaH tam vaH mA kramizam, yAH paSUnAm RzaBe vAcas
   tāḥ sūryo agre śukro agre tāḥ prahiṇomi yathābhāgaṃ vo atra śivā naḥ punar	tAH sUryaH agre SukraH agre tAH prahiNomi yaTABAgam vaH atra SivAH naH punar 
   āyantu vācas, vāyave tvā varuṇāya tvā rudrāya tvā nirṛtyai tvā, indrāya	Ayantu vAcas, vAyave tvA varuNAya tvA rudrAya tvA nirRtyE tvA, indrAya
   tvā marudbhyas tvā //MS_1,2.3//	tvA marudByaH tvA //n= _1,2.3//
   [Page I,13]	[Pa ge I,13]
   iyaṃ te śukra tanūr idaṃ varcas tayā saṃbhava bhrājaṃ gacha jūr asi dhṛtā	iyam te Sukra tanUH idam varcaH tayA saMBava BrAjam gaCa jUH asi DRtA
   manasā juṣṭā viṣṇave tasyās te satyasavasaḥ prasave tanvo yantram aśīya	manasA juzwAH vizNave tasyAH te satya savasaH prasave tanvaH yantram aSIya
   svāhā śukram asi candram asi, amṛtam asi vaiśvadevam asi cid asi manāsi	svAhA Sukram asi candram asi, amRtam asi vESvadevam asi cit asi manAsi
   dhīr asi dakṣiṇāsi yajñiyāsi kṣatriyāsi, aditir asy ubhayataḥśīrṣṇī sā naḥ	DIH asi dakziNA asi yajQiyA asi kzatriyA asi, aditiH asi uBayatas SIrzNI sA naH
   suprācī supratīcī bhava mitras tvā padi badhnātu pūṣādhvanaḥ pātu,	suprAcI supratIcI Bava mitraH tvA padi baDnAtu pUzA DvanaH pAtu,
   indrāyādhyakṣāya, anu tvā mātā manyatām anu pitā, anu bhrātā sagarbhyas,	indrAya aDyakzAya, anu tvA mAtA manyatAm anu pitA, anu BrAtA sa garByas,
   anu sakhā sayūthyaḥ sā devi devam achehi, indrāya somam, rudras	anu saKA sa yUTyaH sA devi devam aCehi, indrAya somam, rudras
   tvāvartayatu svasti somasakhā punar ehi vasvy asi rudrāsi, aditir asi,	tu Avartayatu svasti soma saKA punar ehi vasvI asi rudra asi, aditiH asi,
   ādityāsi candrāsi rudrāsi bṛhaspatiṣ ṭvā sumne ramṇātu rudro vasubhir	Aditya asi candrA asi rudrA asi bRhaspatiH wvA sumne ramNAtu rudraH vasuBiH 
   ācake pṛthivyās tvā mūrdhann ājigharmi yajñiyā iḍāyās pade ghṛtavati	Acake pRTivyAH tvA mUrDan Aji Garmi yajQiyAH ixAyAH pade GRtavati
   svāhā, asme ramasva, asme te rāyas tava rāyas tavatava rāyas, mā	svAhA, asme ramasva, asme te rAyaH tava rAyaH tavatava rAyas, mA
   rāyaspoṣeṇa viyauṣma tvaṣṭrimantas tvā sapema //MS_1,2.4//	rAyaspozeNa viyOzma tvazwrimantar tvA sa pema //n= _1,2.4//
        sūryasya cakṣur āruham agner akṣṇaḥ kanīnikām /	sUryasya cakzuH Aruham agneH akzNaH kanInikAm /
        yad etaśebhir īyase bhrājamāno vipaścitā //	yat etaSeBiH Iyase BrAjamAnaH vipaScitAH //
   [Page I,14]	[Pa ge I,14]
        api panthām aganmahi svastigām anehasam /	api panTAm aganmahi svasti gAm anehasam /
        yena viśvāḥ pari dviṣo vṛṇakti vindate vasu //	yena viSvAH pari dvizaH vRNakti vindate vasu //
   āsmāko 'si śukras te grahaḥ svāhā tvā vicidbhyaḥ //	AsmAkaH asi SukraH te grahaH svAhA tvA vicidByaH //
        abhi tyaṃ devaṃ savitāramoṇyoḥ kavikratum arcāmi satyasavasaṃ	aBi tyam devam savitAra moNyoH kavi kratum arcAmi satya savasaM
   ratnadhām abhi priyaṃ matim /	ratnaDAm aBi priyam matim /
        ūrdhvā yasyāmatir bhā adidyutat savīmani hiraṇyapāṇir amimīta	UrDvA yasya amatiH BAs adidyutat savImani hiraNya pANiH amimIta
   sukratuḥ kṛpā svaḥ //	sukratuH kRpA svar //
   prajābhyas tvā prajās tvānuprāṇantu prajāḥ pāhi śukraṃ te śukra śukreṇa	prajAByaH tvA prajAH tvA anuprANantu prajAH pAhi Sukram te Sukra SukreNa
   candraṃ candreṇāmṛtam amṛtena krīṇāmi deva soma śakma yat te gos, asme te	candram candreNa amRtam amRtena krINAmi deva soma Sakma yat te gos, asme te
   candrāṇi tapasas tanūr asi prajāpater varṇaḥ sahasrapoṣaṃ puṣyantī	candrANi tapasaH tanUH asi prajApateH varNaH sahasra pozam puzyantI
   parameṇa paśunā krīyasva, asme te bandhuḥ suvāṅ nabhrāḍ aṅghāre bambhāre	parameNa paSunA krIyasva, asme te banDuH su vAc naBrAj aFGAre bamBAre
   'star ahasta kṛśāno, ete vaḥ somakrayaṇās tān rakṣadhvam, mā vo dabhan	astar ahasta kRSAno, ete vaH soma krayaNAH tAn rakzaDvam, mA vaH daBan
   duścakṣā vo māvakśat //MS_1,2.5//	duScakzAH vaH mA avakSat //n= _1,2.5//
   somakrayaṇās : FN Correcturen und Conjecturen zu dem ganzen Werk.	soma krayaNAH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   [Page I,15]	[Pa ge I,15]
   svajā asi svabhūr asi, asme karmaṇe jātas, ṛtena tvā gṛhṇāmi, ṛtena naḥ	sva jAH asi svaBUH asi, asme karmaNe jAtas, Rtena tvA gRhNAmi, Rtena naH
   pāhi mitro nā ehi sumitradhaḥ saha rāyaspoṣeṇa, indrasyorum āviśa dakṣiṇam	pAhi mitraH nA ehi sumitraDas saha rAyaspozeNa, indrasya Urum AviSa dakziNam
   uśann uśantaṃ syonaḥ syonam //	uSan uSantam syonaH syonam //
        ud āyuṣā svāyuṣod oṣadhīnāṃ rasena /	ud AyuzA sva Ayuzod ozaDInAm rasena /
        ut parjanyasya dhāmnodasthām amṛtaṃ anu //	ud parjanyasya DAmnoda sTAm amRtam anu //
   urv antarikṣaṃ vīhi, adityāḥ sadā āsīda //	uru antarikzam vIhi, adityAH sadA AsIda //
        astabhnād dyām ṛṣabho antarikṣam amimīta varimāṇaṃ pṛthivyāḥ /	astaBnAt dyAm RzaBaH antarikzam amimIta varimANam pRTivyAH /
        āsīdad viśvā bhuvanāni samrāḍ viśvet tāni varuṇasya vratāni //	AsIdat viSvA BuvanAni samrAj viSvet tAni varuNasya vratAni //
        vaneṣu vy antarikṣaṃ tatāna vājam arvatsu payo aghnyāsu /	vanezu vi antarikzam tatAna vAjam arvatsu payaH aGnyAsu /
        hṛtsu kratuṃ varuṇaṃ dikṣv agniṃ divi sūryam adadhāt somam adrau //	hRtsu kratum varuNam dikzu agnim divi sUryam adaDAt somam adrO //
   dhūr asi dhvara dhvarantaṃ yo asmān dhvarāt, yaṃ vayaṃ dhvarāma taṃ dhvara	DUH asi Dvara Dvarantam yaH asmAn DvarAt, yam vayam DvarAma tam Dvara
   vāruṇam asi varuṇas tvottabhnātu varuṇasya skambho 'si //	vAruNam asi varuNaH tvA uttaBnAtu varuNasya skamBaH asi //
        pracyavasva bhuvanaspate viśvāny abhi dhāmāni /	pracyavasva Buvanaspate viSvAni aBi DAmAni /
        mā tvā paripariṇo mā paripanthino mā tvā vṛkā aghāyavo vidan //	mA tvA paripariNaH mA paripanTinaH mA tvA vRkAH aGAyavaH vidan //
        śyeno bhūtvā parāpata yajamānasya no gṛhe saṃskṛtam /	SyenaH BUtvA parApata yajamAnasya naH gRhe saMskRtam /
        devebhyaḥ sutyāyai //	deveByaH sutyAyE //
        namo mitrasya varuṇasya cakṣase maho devāya tad ṛtaṃ saparyata /	namaH mitrasya varuNasya cakzase mahaH devAya tat Rtam sa paryata /
        dūredṛśe devajātāya ketave divas putrāya sūryāya śaṃsata //	dUra IdRSe deva jAtAya ketave divaH putrAya sUryAya SaMsate //
   [Page I,16]	[Pa ge I,16]
   vāruṇam asi varuṇas tvottabhnātu varuṇasya skambhasarjanam asi //	vAruNam asi varuNaH tvA uttaBnAtu varuNasya skamBa sarjanam asi //
   vicṛtto varuṇasya pāśaḥ pratyasto varuṇasya pāśas, namo varuṇasya pāśāya,	vicRttaH varuNasya pASaH pratyastaH varuNasya pASas, namaH varuNasya pASAya,
   agnes tanūr asi viṣṇave tvā somasya tanūr asi viṣṇave tvā, atither	agneH tanUH asi vizNave tvA somasya tanUH asi vizNave tvA, atiTeH 
   ātithyam asi viṣṇave tvā, agnaye tvā rāyaspoṣade viṣṇave tvā śyenāya tvā	AtiTyam asi vizNave tvA, agnaye tvA rAyaspoza de vizNave tvA SyenAya tvA
   somabhṛte viṣṇave tvā vāruṇam asi varuṇo 'si dhṛtavratas, varuṇasya	somaBRte vizNave tvA vAruNam asi varuNaH asi DRta vratas, varuNasya
   ṛtasadanam āsīda varuṇāya tvā //MS_1,2.6//	Rta sadanam AsIda varuNAya tvA //n= _1,2.6//
   agner janitram asi vṛṣaṇau sthas, urvaśy asi, āyur asi purūravā asi	agneH janitram asi vRzaNO sTas, urvaSI asi, AyuH asi purUravAH asi
   gāyatram asi triṣṭub asi jagad asi //	gAyatram asi trizwuB asi jagat asi //
   bhavataṃ naḥ samanasau samokasau sacetasā arepasau //	Bavatam naH sa manasO samokasO sacetasA arepasO //
   mā yajñaṃ hiṃsiṣṭaṃ mā yajñapatiṃ jātavedasau śivau bhavatam adya naḥ //	mA yajQam hiMsizwam mA yajQapatim jAtavedasO SivO Bavatam adya naH //
   agnā agniś carati praviṣṭā ṛṣīṇāṃ putro adhirāja eṣaḥ //	agnA agniH carati pravizwAH RzINAm putraH aDirAjaH ezaH //
   tasmai vidhema haviṣā vayaṃ mā devānāṃ yūyupāma bhāgadheyam //	tasmE viDema havizA vayam mA devAnAm yUyu pAma BAgaDeyam //
   āpataye tvā gṛhṇāmi paripataye tvā gṛhṇāmi tanūnaptre śakmane śakvarāya	Apataye tvA gRhNAmi paripataye tvA gRhNAmi tanUnaptre Sakmane SakvarAya
   śakmanā ojiṣṭhāya, anādhṛṣṭam asy anādhṛṣyaṃ devānām ojaḥ // abhiśastipā	SakmanA ojizWA aya, anADRzwam asi anADRzyam devAnAm ojaH // aBiSasti pAH 
   anabhiśastenyam //	anaBiSasta inyam //
   anu ma idaṃ vrataṃ vratapatir manyatām anu dīkṣāṃ dīkṣāpatis, añjasā	anu me idam vratam vrata patiH manyatAm anu dIkzAm dIkzA patis, aQjasA
   satyam upāgām, suvite mā dhās, agne vratapate yā mama tanūr eṣā sā tvayi,	satyam upAgAm, suvite mA DAs, agne vratapate yA mama tanUH ezA sA tvayi,
   agne vratapate yā tava tanūr iyaṃ sā mayi saha nau vratapate vratinor	agne vratapate yA tava tanUH iyam sA mayi saha nO vratapate vratinA UH 
   vratāni, aṃśuraṃśuṣ ṭe deva somāpyāyatām indrāyaikadhanavide, ā tvam	vratAni, aMSuH aMSuH we deva soma ApyAyatAm indrAya eka Dana vide, A tvam
   indrāya pyāyasva, ā tubhyam indraḥ pyāyatām āpyāyaya sakhīnt sanyā medhayā	indrAya pyAya sva, A tuByam indraH pyAyatAm ApyAyaya saKInt sanyA meDayA
   svasti te deva soma sutyām aśīya svasty udṛcam eṣṭā rāyā eṣṭā vāmāni preṣe	svasti te deva soma sutyAm aSIya svasti udRcam ezwA rAyA ezwA vAmAni preze
   bhagāya ṛtam ṛtavādibhyas, namo dive namaḥ pṛthivyai //	BagAya Rtam RtavAdiByas, namaH dive namaH pRTivyE //
        yā te agne 'yāśayā tanūr varṣiṣṭhā gahenaṣṭhā /	yA te agne ayASayA tanUH varzizWA gahenazWAH /
        tveṣaṃ vaco apāvadhīr ugraṃ vaco apāvadhīḥ // svāhā //	tvezam vacaH apAvaDIH ugram vacaH apAvaDIH // svAhA //
   yā te agne rajāśayā yā te agne harāśayā yā te agne rudriyā tanūs tayā naḥ	yA te agne raja ASayA yA te agne harASayA yA te agne rudriyA tanUH tayA naH
   pāhi tasyai te svāhā //MS_1,2.7//	pAhi tasyE te svAhA //n= _1,2.7//
   taptāyanī me 'si vittāyanī me 'si, avatān mā nāthitam avatād vyathitam	taptAyanI me asi vittAyanI me asi, avatAt mA nATitam avatAt vyaTitam
   agne aṅgiro yo 'syāṃ pṛthivyām adhy asy āyunā nāmnehi vasavas tvā harantu	agne aFgiraH yaH asyAm pRTivyAm aDi asi AyunA nAmnA ihi vasavaH tvA harantu
   gāyatreṇa chandasā vitsva yajñapates, yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ	gAyatreNa CandasA vitsva yajQapates, yat te anADRzwam DAmAnADRzyam
   tena tvādadhe, agne aṅgiro yo dvitīyasyāṃ pṛthivyām adhy asy āyunā nāmnehi	tena tvAdaDe, agne aFgiraH yaH dvitIyasyAm pRTivyAm aDi asi AyunA nAmnA ihi
   rudrās tvā harantu traiṣṭubhena chandasā vitsva yajñapates, yat te	rudrAH tvA harantu trEzwuBena CandasA vitsva yajQapates, yat te
   'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe, agne aṅgiro yas tṛtīyasyāṃ	anADRzwam DAmAnADRzyam tena tvAdaDe, agne aFgiraH yaH tRtIyasyAm
   pṛthivyām adhy asy āyunā nāmnehi, ādityās tvā harantu jāgatena chandasā	pRTivyAm aDi asi AyunA nAmnA ihi, AdityAH tvA harantu jAgatena CandasA
   vitsva yajñapates, yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe vider	vitsva yajQapates, yat te anADRzwam DAmAnADRzyam tena tvAdaDe vider
   agne nabho nāma yat te siṃhīr asi mahiṣīr asi devebhyaḥ śundhasva	agne naBaH nAma yat te siMhIH asi mahizIH asi deveByaH SunDasva
   devebhyaḥ śumbhasva, indraghoṣās tvā purastād vasubhiḥ pāntu pitaras tvā	deveByaH SumBa sva, indra GozAH tvA purastAt vasuBiH pAntu pitaraH tvA
   manojavā dakṣiṇataḥ pāntu rudrās tvā pracetasaḥ paścāt pāntu viśvakarmā	manojavAH dakziNatas pAntu rudrAH tvA pracetasaH paScAt pAntu viSvakarmA
   tvādityair uttarāt pātu siṃhīr asi sapatnasāhī svāhā siṃhīr asi	tvAdityEH uttarAt pAtu siMhIH asi sapatna sAhI svAhA siMhIH asi
   rāyaspoṣavaniḥ svāhā siṃhīr asi suprajāvaniḥ svāhā siṃhīr asy ādityavaniḥ	rAyaspoza vaniH svAhA siMhIH asi su prajA avaniH svAhA siMhIH asi Aditya vaniH
   sajātavaniḥ svāhā siṃhīr asi, āvaha devān devāyate yajamānāya svāhā	sajAta vaniH svAhA siMhIH asi, Avaha devAn devAyate yajamAnAya svAhA
   bhūtebhyas tvā viśvāyur asi pṛthivīṃ dṛṃha dhruvakṣitir asi, antarikṣaṃ	BUteByaH tvA viSvAyuH asi pRTivIm dRMhaH Druva kzitiH asi, antarikzam
   dṛṃha, acyutakṣid asi divaṃ dṛṃha, agner bhasmāsi, agneḥ purīṣam asi,	dRMha, acyuta kzit asi divam dRMha, agneH Basma asi, agneH purIzam asi,
   agneḥ kulāyam asi //	agneH kulAyam asi //
        vibhrāḍ bṛhat pibatu somyaṃ madhv āyur dadhad yajñapatā avihrutam /	viBrAj bRhat pibatu somyam maDu AyuH daDat yajQapatAH avihrutam /
        vātajūto yo abhirakṣati tmanā prajāḥ piparti bahudhā virājati	vAta jUtaH yaH aBirakzati tmanA prajAH piparti bahuDA virAjati
   //MS_1,2.8//	//n= _1,2.8//
   devaśrutau deveṣv āghoṣethām //	deva SrutO devezu AGozeTAm //
        yuñjate mana uta yuñjate dhiyo viprā viprasya bṛhato vipaścitaḥ /	yuQjate manaH uta yuQjate DiyaH viprAH viprasya bRhataH vipaScitaH /
        vi hotrā dadhe vayunāvid ekā in mahī devasya savituḥ pariṣṭutiḥ //	vi hotrA daDe vayunA vid ekA id mahI devasya savituH parizwutiH //
        apa janyaṃ bhayaṃ nuda mā cakrā āvṛtsata /	apa janyam Bayam nuda mA cakrAH AvRtsata /
        gṛhaṃ somasya gachataṃ gachad indrasya niṣkṛtam //	gRham somasya gaCatam gaCat indrasya nizkRtam //
        idaṃ viṣṇur vicakrame tredhā nidadhe padā /	idam vizNuH vicakrame treDA nidaDe padA /
        samūḍham asya pāṃsure //	samUXam asya pAMsure //
        irāvatī dhenumatī hi bhūtaṃ sūyavasinī manave yaśasye /	irAvatI DenumatI hi BUtam sUya vasinI manave yaSasye /
        vyaṣkabhnā rodasī viṣṇa ete dādhartha pṛthivīm abhito mayūkhaiḥ //	vyazkaBnA rodasI vizNe ete dADarTa pRTivIm aBitas mayUKEH //
   suvāg āvada deva duryaṃ ariṣyann ariṣyataḥ //	suvAc Avada deva duryam arizyan arizyataH //
        ā no vīro jāyatāṃ karmaṇyo 'bhiśastipā anabhiśastenyaḥ /	A naH vIraH jAyatAm karmaNyaH aBiSasti pAH anaBiSastenyaH /
        yaṃ bahavo 'nujīvān yo bahūnām asad vaśī //	yam bahavaH anujIvAn yaH bahUnAm asat vaSI //
   vaiṣṇavam asi viṣṇus tvottabhnātu //	vEzNavam asi vizNuH tvA uttaBnAtu //
        divo viṣṇa uta vā pṛthivyā uror vā viṣṇo bṛhato antarikṣāt /	divaH vizNaH uta vA pRTivyAH uroH vA vizNo bRhataH antarikzAt /
        hastau pṛṇasva bahubhir vasavyair ā prayacha dakṣiṇād ota savyāt //	hastO pRNasva bahuBiH vasavyEH A prayaCa dakziNAt ota savyAt //
        viṣṇor nu kaṃ vīryāṇi pravocaṃ yaḥ pārthivāni vimame rajāṃsi /	vizNoH nu kam vIryANi pravocam yaH pArTivAni vimame rajAMsi /
        yo askabhāyad uttaraṃ sadhasthaṃ vicakramāṇas tredhorugāyaḥ //	yaH askaBAyat uttaram saDasTam vicakramANaH treDA uru gAyaH //
   viṣṇoḥ pṛṣṭham asi viṣṇo rarāṭam asi viṣṇoḥ śipre sthas, viṣṇoḥ syūr asi	vizNoH pRzWam asi vizNo rarAwam asi vizNoH Sipre sTas, vizNoH syUH asi
   viṣṇor dhruvo 'si vaiṣṇavam asi viṣṇave tvā //	vizNoH DruvaH asi vEzNavam asi vizNave tvA //
        pra tad viṣṇuḥ stavate vīryeṇa mṛgo na bhīmaḥ kucaro giriṣṭhāḥ /	pra tat vizNuH stavate vIryeNa mRgaH na BImaH kucaraH girizWAH /
        yasyoruṣu triṣu vikramaṇeṣv adhikṣiyanti bhuvanāni viśvā //MS_1,2.9//	yasya uruzu trizu vikramaNezu aDikziyanti BuvanAni viSvA //n= _1,2.9//
   devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade,	devasya tvA savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm Adade,
   abhrir asi nārir asi, idam ahaṃ rakṣaso grīvā apikṛntāmi, idam ahaṃ yo me	aBriH asi na ariH asi, idam aham rakzasaH grIvAH apikRntAmi, idam aham yaH me
   samāno yo 'samāno 'rātīyati tasya grīvā apikṛntāmi bṛhann asi bṛhadrāyās,	samAnaH yaH asamAnaH arAtIyati tasya grIvAH apikRntAmi bRhan asi bRhadrAyAs,
   bṛhatīm indrāya vācaṃ vada rakṣohaṇaṃ valagahanaṃ vaiṣṇavīm, samrāḍ asi	bRhatIm indrAya vAcam vada rakzaH haNam vala gahanam vEzNavIm, samrAj asi
   sapatnahā, idam ahaṃ tān valagān udvapāmi yān me samāno yān asamāno	sapatna hA, idam aham tAn vala gAn udvapAmi yAn me samAnaH yAn asamAnaH 
   nicakhāna ye kulphadaghne nirasto valagaḥ svarāḍ asy abhimātihā, idam ahaṃ	nicaKAna ye kulPa da Gne nirastaH vala gaH svarAj asi aBimAti hA, idam aham
   tān valagān udvapāmi yān me sajāto yān asajāto nicakhāna ye jānudaghne	tAn vala gAn udvapAmi yAn me sajAtaH yAn asajAtaH nicaKAna ye jAnu daGne
   nirasto valagas, virāḍ asi rakṣohā, idam ahaṃ tān valagān udvapāmi yān me	nirastaH vala gas, virAj asi rakzaH hA, idam aham tAn vala gAn udvapAmi yAn me
   sabandhur yān asabandhur nicakhāna ye nābhidaghne nirasto valagaḥ satrarāḍ	sa banDuH yAn asabanDuH nicaKAna ye nABi daGne nirastaH vala gaH satra rAj 
   asy aśastihā, idam ahaṃ tān valagān udvapāmi yān me bhrātṛvyo yān	asi aSasti hA, idam aham tAn vala gAn udvapAmi yAn me BrAtRvyaH yAn
   abhrātṛvyo nicakhāna ye aṃsadaghne nirasto valagaḥ sarvarāḍ asy arātīyato	aBrAtRvyaH nicaKAna ye aMsadaGne nirastaH vala gaH sarva rAj asi arAtIyataH 
   hantā, idam ahaṃ tān valagān udvapāmi yān me sajanyo yān asajanyo	hantA, idam aham tAn vala gAn udvapAmi yAn me sa janyaH yAn asajanyaH 
   nicakhāna ye śīrṣadaghne nirasto valagaḥ //	nicaKAna ye SIrzadaGne nirastaH vala gaH //
        saṃmṛśa imān āyuṣe varcase ca devānāṃ nidhir asi dveṣoyavanaḥ /	saMmRSaH imAn Ayuze varcase ca devAnAm niDiH asi dvezaH yavanaH /
        yuyodhy asmad dveṣāṃsi yāni kāni ca cakṛma //	yuyoDi asmat dvezAMsi yAni kAni ca cakRma //
        devānām idaṃ nihitaṃ yad asty athābhāhi pradiśaś catasraḥ /	devAnAm idam nihitam yat asti aTa ABAhi pradiSaH catasraH /
        kṛṇvāno anyaṃ adharānt sapatnān //MS_1,2.10//	kRNvAnaH anyam aDarAnt sapatnAn //n= _1,2.10//
   pṛthivyai tvā, antarikṣāya tvā dive tvā śundhantāṃ lokāḥ pitṛṣadanās, yavo	pRTivyE tvA, antarikzAya tvA dive tvA SunDantAm lokAH pitRzadanAs, yavaH 
   'si yavaya dveṣo asmat, yavayārātim, pitṛṣadanaṃ tvā lokam avastṛṇāmi //	asi yavaya dvezaH asmat, yavaya arAtim, pitR zadanam tvA lokam avastRNAmi //
        uñśrayasva vanaspate sajūr devena barhiṣā /	uQSrayasva vanaspate sajUs devena barhizA /
