   {MV S_1}	{MV H _1}
   daśamīnirṇayaḥ paścādekādaśyā vinirṇayaḥ /	daSamI nirNayaH paScAt ekAdaSyAH vinirNayaH /
   dvādaśīnirṇayasyānte trayodaśyā viniscayaḥ //	dvAdaSI nirNayasya ante trayodaSyAH viniscayaH //
   sāmānyataścaturdaśyā nirṇayo 'tha prakīrttitaḥ /	sAmAnyatas caturdaSyA nirNayaH aTa prakIrttitaH /
   narasiṃhacaturdaśyā nirṇayo 'tra prakīrttitaḥ //	narasiMha caturdaSyA nirNayaH atra prakIrttitaH //
   athātraiva prasaṅgena jayantīnāṃ viniścayaḥ /	aTa atra eva prasaFgena jayantInAm viniScayaH /
   jyeṣṭhakārtikamāgheṣu caturdaśryā vinirṇayaḥ //	jyezWa kArtika mAGezu caturdaSryAH vinirNayaH //
   śivarātriḥ pāraṇā ca tatrātha parikīrtitā /	SivarAtriH pAraNA ca tatra aTa parikIrtitA /
   atha pañcadaśīkṛtye śrāvaṇīkṛtyanirṇayaḥ /	aTa paQcadaSIkRtye SrAvaNIkRtya nirNayaH /
   uṣākarma prasaṅgena utsargasamayāstridhā //	uzA akarma prasaFgena utsarga samayAH triDA //
   kārttike pañcadaśyāstu nirṇayastadanantaram /	kArttike paQcadaSyAH tu nirNayaH tad anantaram /
   holikānirṇayaḥ parvanirṇayastadanantaram //	holikA nirNayaH parva nirNayaH tad anantaram //
   grahaṇecaikabhakte ca nakte kālasya nirṇayaḥ /	grahaNeca eka Bakte ca nakte kAlasya nirNayaH /
   naktaikabhaktathoḥ prāptau nirṇayastadanantaram //	nakta eka BaktaToH prAptO nirNayaH tad anantaram //
   ayācitasya nakṣatropavāsasyātha niścayaḥ /	ayAcitasya nakzatra upavAsasya aTa niScayaH /
   saṅkrāntinirṇayātpaścānmalamāso nirūpitaḥ //	saFkrAnti nirNayAt paScAt mala mAsaH nirUpitaH //
   malamāse 'tha kṛtyānāmakṛtyānāṃ ca nirṇayaḥ /	mala mAse aTa kRtyAnAm akRtyAnAm ca nirNayaH /
   guruśukrādibālyādau kāryākāryavivecanam //	guru Sukra Adi bAlya AdO kArya akArya vivecanam //
   śrāddhakāleṣvamāvāsyā aṣṭakānvaṣṭakā tathā /	SrAdDa kAlezu amAvAsyA azwakA anvazwakA taTA /
   aṣṭakāpūrvadivaso vṛddhiḥ pakṣo 'sitastataḥ //	azwakA pUrva divasaH vRdDiH pakzaH asitaH tatas //
   āśvayukkṛṣṇapakṣaśca tatraiva bharaṇī tathā /	ASvayuj kRzNa pakzaH ca tatra eva BaraNI taTA /
   trayodaśīcaturdaśyau krameṇeha nirūpite //	trayodaSI caturdaSyO krameNa iha nirUpite //
   prakīrṇakaśrāddhakālāḥ kāmyaśrāddhadinaṃ tataḥ /	prakIrNaka SrAdDa kAlAH kAmya SrAdDa dinam tatas /
   yugādyāśca yugāntāśca tato manvantarādayaḥ //	yuga AdyAH ca yuga antAH ca tatas manvantara AdayaH //
   kalpādyā vyatipātaśca vaidhṛtiścāvamaṃ dinam /	kalpa AdyAH vyatipAtaH ca vEDRtiH ca avamam dinam /
   navānnaśrāddhakālaśca navaśrāddhadinaṃ tataḥ /	nava anna SrAdDa kAlaH ca navaSrAdDa dinam tatas /
   pretapiṇḍasya kālaśca tadante parikīrttitaḥ	preta piNxasya kAlaH ca tad ante parikIrttitaH
   pātheyaśrāddhakālaśca prāyaṇottaramīritaḥ //	pATeya SrAdDa kAlaH ca prAyaNa uttaram IritaH //
   asthisañcaṃyane kālo dāne pretodakasya ca	asTi saQcaMyane kAlaH dAne preta udakasya ca
   daśādamadhye darśasya pāte pretakriyā tataḥ //	daSAda maDye darSasya pAte preta kriyA tatas //
   ṣoḍaśaśrāddhakālāśca tadanantaramīritāḥ /	zoxaSa SrAdDa kAlAH ca tad anantaram IritAH /
   tithidvaiye pārvaṇādiśrāddhanirṇaya īritaḥ //	tiTi dvEye pArvaNa Adi SrAdDa nirNayaH IritaH //
   {MV S_8}	{MV H _8}
   lakṣaṇaṃ cāparāhṇādeḥ kutapasya nirūpaṇam /	lakzaNam ca aparAhNa AdeH kutapasya nirUpaNam /
   śrāddhavelāpiṇḍadānaniṣiddhasamayāstataḥ //	SrAdDa velA piNxa dAna nizidDa samayAH tatas //
   prakīrṇakālāḥ pratipadādyā puṇyatithistataḥ /	prakIrNa kAlAH pratipad A AdyA puNyatiTiH tatas /
   nakṣatravārādivaśātpuṇyāśca tithayastataḥ //	nakzatra vAra Adi vaSAt puNyAH ca tiTayaH tatas //
   ataḥ paraṃ niśāyāṃ tu kṛtyākṛtyavivecanam /	atas param niSAyAm tu kRtyA kRtya vivecanam /
   catuṣpathasya sevāyā niṣedhastadanantaram //	catuzpaTasya sevAyAH nizeDaH tad anantaram //
   varjjanīyāni coktāni tithikālviśeṣayoḥ /	varjjanIyAni ca uktAni tiTikAlvi SezayoH /
   parvakṛtyaṃ yugadharmā yugavarjvāni cāpyatha //	parva kRtyam yuga DarmAH yuga varjvAni ca api aTa //
   kalidharmāḥ kalivarjyānyathoktāni viśeṣataḥ /	kali DarmAH kali varjyAni aTA uktAni viSezataH /
   dīkṣākālastatastasyāpavādaḥ parikīrttitaḥ //	dIkzA kAlaH tatas tasya apavAdaH parikIrttitaH //
   nāmakī ttanakālaścādhānakālāstataḥ param /	nAmakI ttana kAlaH ca ADAna kAlAH tatas param /
   paśoḥ kālastataḥ kālaścāturmāsyeṣṭisāmayoḥ //	paSoH kAlaH tatas kAlaH cAturmAsya izwi sAmayoH //
   evamatra viśeṣeṇa mitramiśreṇa sūriṇā /	evam atra viSezeNa mitra miSreNa sUriNA /
   smṛtīḥ sarvāḥ samālokya samayo 'tra nirūpitaḥ //	smRtIH sarvAH samAlokya samayaH atra nirUpitaH //
   tatra tāvatkālasadbhāve pramāṇāni śrutyādīni /	tatra tAvat kAla sadBAve pramANAni Sruti AdIni /
   tathāhi /	taTA hi /
   tasmātkāla eva dadyātkāle na dadyāditi ṛgvedaśrutiḥ /	tasmAt kAlaH eva dadyAt kAle na dadyAt iti Rgveda SrutiH /
   atra kāla ityatra yathākramaṃ vihite pratiṣiddhe ityadhyāhāraḥ /	atra kAlaH iti atra yaTAkramam vihite pratizidDe iti aDyAhAraH /
   "taṃ kāle kāla āgate yajata"iti yajuḥ /	"tam kAle kAle Agate yajata"iti yajuH /
   tathā, "samvatsaramāsādikāla āgate 'vijāyata"iti ca /	taTA, "samvatsara mAsAdi kAle Agate avijAyata" iti ca /
   "ahameva kālo nāhaṃ kālasya"iti ca /	"aham eva kAlaH na aham kAlasya"iti ca /
   "kāca sandhyā kaścasandhyāyāḥ kāla"iti sāmavedaḥ /	"kAca sanDyA kaScasanDyAyAH kAla" iti sAmavedaH /
   "kālaṃ kāla vibhaktiṃ ca"iti manusmṛtiḥ /	"kAlam kAla viBaktim ca"iti manu smRtiH /
   "śrāddhakālāḥ prakīrttatā"iti yājñavalkyaḥ /	"SrAdDa kAlAH prakIrttatA" iti yAjQavalkyaH /
   tathā dhāraṇādhyānasamādhitrayarūpātsaṃyamaviśeṣādyogino 'tītādikālaṃ	taTA DAraNA DyAna samADi traya rUpAt saMyama viSezAt yoginaH atIta Adi kAlam
   pratyakṣataḥ paśryantīti yogaśāstre pratyakṣamapi mānamuktam /	pratyakzataH paSryanti iti yoga SAstre pratyakzam api mAnam uktam /
   sukhamahamasvāpsaṃ na kiñcidavediṣamiti suptotthitasmaraṇānyathānu	suKam aham asvApsam na kiQcid avedizam iti supta utTita smaraNAni aTa anu
   papattikalpitaṃ sākṣipratyakṣamapi pramāṇamityaupaniṣadāḥ /	papatti kalpitam sAkzi pratyakzam api pramANam iti OpanizadAH /
   sarvendriyavedya iti jaiminīyāḥ /	sarva indriya vedyaH iti jEminIyAH /
   anādireṣa bhagavān kālo 'nanto 'jaraḥ paraḥ /	anAdiH eza BagavAn kAlaH anantaH ajaraH paraH /
   iti purāṇamapi mānam /	iti purANam api mAnam /
   tasmādasti kālaḥ /	tasmAt asti kAlaH /
   sa dvividhaḥ akhaṇḍaḥ sakhaṇḍaśca /	sa dviviDaH aKaNxaH sa KaNxaH ca /
   ādya īśvarādbhinna iti tārkikāḥ /	AdyaH ISvarAt BinnaH iti tArkikAH /
   abhinna iti vedāntino navī natārkikāśca /	aBinnaH iti vedAntinaH navI natArkikAH ca /
   īśvārabhede  	ISvAra Bede  
   śrutiḥ, sa viśvakṛdviśvavidātmayonirjñaḥ kālakālo guṇī sarvavidyaḥ /	SrutiH, sa viSva kRt viSva vidAtmayoniH jQaH kAla kAlaH guNI sarva vidyaH /
   pradhānakṣetrajñapāterguṇeśaḥ sesāramohasthitibandhahetuḥ //	praDAna kzetrajQa pAteH guNa ISaH sesAra moha sTiti banDa hetuH //
   iti /	iti /
   kālakālaḥ = janyasya samvatsarādirūpasya kālasyākalanāt /	kAla kAlaH  janyasya samvatsara Adi rUpasya kAlasya akalanAt /
   {MV S_9}	{MV H _9}
   viṣṇudharmottare 'pi  	vizNuDarmottare api  
   anādinidhanaḥ kālo rudraḥ saṅkarṣaṇaḥ smṛtaḥ /	anAdiniDanaH kAlaH rudraH saFkarzaNaH smRtaH /
   kalanātsarvabhūtānāṃ sa kālaḥ parikīrttitaḥ //	kalanAt sarva BUtAnAm sa kAlaH parikIrttitaH //
   karṣaṇātsarvabhūtānāṃ sa tu saṅkarṣaṇaḥ smṛtaḥ /	karzaNAt sarva BUtAnAm sa tu saFkarzaNaH smRtaH /
   sarvabhūtaśamitvācca sa tu rudraḥ prakīrttitaḥ //	sarva BUta Sami tvAt ca sa tu rudraH prakIrttitaH //
   anādinidhanatvena sa mahānparameśvaraḥ /	anAdi niDana tvena sa mahAn parameSvaraH /
   iti /	iti /
   [saṃvatsaranirṇaya]	[saMvatsara nirNaya]
   etena paratvāparatvābhyāmanumāne ākāśādau	etena paratva aparatvAByAm anumAne AkASa AdO
   vinigamakābhāvādatiriktakālasiddhirityapāstaṃ śrutereva vinigamakatvāt /	vinigamaka aBAvAt atirikta kAla sidDiH iti apAstam SruteH eva vinigamaka tvAt /
   etacca yathātathāstu /	etat ca yaTAtaTA astu /
   nāsya kālasyādṛṣṭārthasmaraṇādanyaḥ karmaṇyupayoga iti na nirūpyate /	na asya kAlasya adRzwa arTa smaraNAt anyaH karmaNi upayogaH iti na nirUpyate /
   saṃvatsarādirūpastu sūryādigatyavacchinnaḥ karmaṇi"porṇamāsyāṃ paurṇamāsyā	saMvatsara Adi rUpaH tu sUrya Adi gati avacCinnaH karmaNi" porNamAsyAm pOrNamAsyA
   yajet" "deśe kāla upāyena"ityādiśrutismṛtibhiradhikaraṇatvena	yajet" "deSe kAle upAyena"iti Adi Sruti smRtiBiH aDikaraNa tvena
   viniyuktatvādvicāryate /	viniyukta tvAt vicAryate /
   sūryādigatiparicchedyatvaṃ coktam  viṣṇudharmottare tasya	sUrya Adi gati paricCedya tvam ca uktam   vizNuDarmottare tasya
   sūkṣmātisūkṣmasya tathātimahato dvijāḥ! /	sUkzma ati sUkzmasya taTA atimahataH dvijAH! /
   mānasaṅkhyā budhairjñeyā grahagatyanusārataḥ //	mAna saFKyA buDEH jQeyAH graha gati anusArataH //
   iti /	iti /
   pratyakṣopalabhyamānanimeṣādikriyāparicchedaśca tatraiva  	pratyakza upalaByamAna nimeza Adi kriyA paricCedaH ca tatra eva  
   labvakṣarasamā mātrā nimeṣaḥ parikīrttitaḥ /	labu akzara samA mAtrA nimezaH parikIrttitaH /
   ataḥ sūkṣmataraḥ kālo nopalabhyo bhṛgūttama! //	atas sUkzmataraH kAlaH na upalaByaH BRgu uttama! //
   nopalabhyaṃ yathā dravyaṃ susūkṣmaṃ paramāṇutaḥ /	na upalaByam yaTA dravyam su sUkzmam paramANutaH /
   dvau nimeṣau truṭirjñeyā prāṇo daśa truṭiḥ smṛtaḥ //	dvO nimezO truwiH jQeyA prANaH daSa truwiH smRtaH //
   vināḍikā tu ṣaṭ prāṇāstatṣaṣṭayā nāḍikā smṛtā /	vinAxikA tu zaw prANAH tad zazwayA nAxikA smRtA /
   ahorātraṃ tu tatśaṭayā nityameva prakīrttitam //	ahorAtram tu tad SawayA nityam eva prakIrttitam //
   triṃśanmuhūrtāsca tathā ahorātreṇa kīrttitāḥ /	triMSat muhUrtAH ca taTA ahorAtreNa kIrttitAH /
   tatra pañcadaśa proktā rāma! nityaṃ divācarāḥ //	tatra paQcadaSa proktAH rAma! nityam divAcarAH //
   tathā pañcadaśa proktā rāma! nityaṃ niśācarāḥ /	taTA paQcadaSa proktAH rAma! nityam niSAcarAH /
   uttarāṃ tu yadā kāṣṭhāṃ kramādākramate raviḥ //	uttarAm tu yadA kAzWAm kramAt Akramate raviH //
   tathā tathā bhavedvṛddhirdivasasya mahābhuja! /	taTA taTA Bavet vRdDiH divasasya mahA Buja! /
   divasaśca yathā rāma! vṛddhiṃ samadhigacchati //	divasaH ca yaTA rAma! vRdDim samaDigacCati //
   tadāśritamuhūrtānāṃ tathā vṛddhiḥ prakīrttitā /	tad ASrita muhUrtAnAm taTA vRdDiH prakIrttitA /
   ityādi /	ityAdi /
   tatra śrutau nimeṣādikālānāṃ saṃvatsarāvayavatvenoktatvādavayavirūpaḥ	tatra SrutO nimeza Adi kAlAnAm saMvatsara avayava tvena ukta tvAt avayavi rUpaH
   saṃvatsaraḥ pradhānatvādvicāryate /	saMvatsaraH praDAna tvAt vicAryate /
   saṃvatsaro nāma samyagvasantyayanartumāsapakṣatithyādayo 'sminniti	saMvatsaraH nAma samyak vasanti ayana Rtu mAsa pakza tiTi AdayaH asmin= iti
   vyutpattyā"dvādaśa	vyutpattyA"dvAdaSa
   māsāḥ saṃvatsara"itiśruteśca dvādaśamāsātmakaḥ kālaviśeṣaḥ /	mAsAH saMvatsara "iti SruteH ca dvAdaSa mAsa AtmakaH kAla viSezaH /
   sa pañcavidhaḥ /	sa paQcaviDaH /
   {MV S_10}	{MV H _10}
   saurabārhaspatyasāvanacāndranākṣatrabhedāt /	sOra bArhaspatya sAvana cAndra nAkzatra BedAt /
   tathā ca jyotiḥśāstre  	taTA ca jyotiHSAstre  
   saurabṛhaspatisāvanaśaśadharanākṣatrikāḥ krameṇa syuḥ /	sOra bRhaspati sAvana SaSaDara nAkzatrikAH krameNa syuH /
   mātulapātālātulavimalavarāṅgāni vatsarāḥ kramaśaḥ //	mAtula pAtAla atula vimala vara aFgAni vatsarAH kramaSas //
   iti /	iti /
   asyārthaḥ /	asya arTaH /
   gaṇakaprasiddhyā kaṭapayā vargāḥ /	gaNaka prasidDyA kawapayA vargAH /
   śuddhasvaraḥ śūnyārthaḥ /	SudDa svaraH SUnya arTaH /
   tatra vargākṣarasahkhayayāṅkasaṅgrahaḥ /	tatra varga akzara sahKayayA aFka saFgrahaH /
   tena mātuletyatra pavargātpañcamena makāreṇa pañcasaṅkhyā labhyate	tena mAtula iti atra pavargAt paQcamena makAreNa paQca saFKyA laByate
   ṭabargaṣaṣṭhena takāreṇa ṣaṭsaṅkhayā /	wabarga zazWena takAreNa zaz saFKayA /
   yavargatṛtīyena lakāreṇa tritvasaṅkhayā /	yavarga tRtIyena lakAreNa tri tva saFKayA /
   evaṃ cāṅkānāṃ vāmato gatiriti prakāreṇa melane sāvanadinānāṃ	evam ca aFkAnAm vAmatas gatiH iti prakAreNa melane sAvana dinAnAm
   pañcaṣaṣṭayadhikaśatatrayaṃ saurasaṃvatsaro bhavati /	paQca zazwayaDika Sata trayam sOra saMvatsaraH Bavati /
   evaṃ pātālaśabda ekaṣaṣṭayadhikaśatatrayasaṅkhyāmācaṣṭe /	evam pAtAla SabdaH eka zazwayaDika Sata traya saFKyAm Acazwe /
   tāvatsūryodayaparimito bahispatyaḥ saṃvatsaraḥ /	tAvat sUrya udaya parimitaH bahispatyaH saMvatsaraH /
   evamatulaśabdaḥ ṣaṣṭhyadhikaśatatrayasaṅkhayāmāha /	evam atula SabdaH zazWI aDika Sata traya saFKayAm Aha /
   tāvatsūryodayaparimitassāvanaḥ savatsaraḥ /	tAvat sUrya udaya parimita ssAvanaH sa vatsaraH /
   eve vimalaśabdaḥ catuṣpañcāśadadhikaśatatrayasaṅkhyāmācaṣṭe /	eve vimala SabdaH catuzpaQcASat aDika Sata traya saFKyAm Acazwe /
   tāvatsūryodayaparimitaścāndraḥ /	tAvat sUrya udaya parimitaH cAndraH /
   eva varāṅgaśabdaścaturviṃśatyadhikaśatatrayasaṅkhyāmāha	eva varAFga SabdaH caturviMSati aDika Sata traya saFKyAm Aha
   tāvatsūryodayaparimito nākṣatraḥ saṃvatsara iti /	tAvat sUrya udaya parimitaH nAkzatraH saMvatsaraH iti /
   nanvadhikamāsavānsaṃvatsaraḥ kathaṃ dvādaśamāsātmako 'dhimāsasya	nanu aDika mAsavAn saMvatsaraH kaTam dvAdaSa mAsa AtmakaH aDimAsasya
   trayodaśatvāditi cet, na /	trayodaSa tvAt iti cet, na /
   "ṣaṣṭayā tu divasairmāsaḥ kathito bādarāyaṇaiḥ /	"zazwayA tu divasEH mAsaH kaTitaH bAdarAyaNEH /
   itivacanāt ṣaṣṭidivasātmakasyaikamāsatvena dvādaśasaṅkhyānapāyāt /	iti vacanAt zazwi divasa Atmakasya ekamAsa tvena dvAdaSa saFKyAna pAyAt /
   "asti trayodaśo māsa"iti śrutistu trayodaśadarśāntatvenetyadoṣaḥ /	"asti trayodaSaH mAsa"iti SrutiH tu trayodaSa darSa anta tvena iti adozaH /
   ye tu prabhavādiṣaṣṭisaṃvatsarāḥ te bārhaspatyasyaiva bhedāḥ /	ye tu praBava Adi zazwi saMvatsarAH te bArhaspatyasya eva BedAH /
   māghaśuklaṃ samārabhya candrākārai vāsavarkṣagau /	mAGa Suklam samAraBya candra AkArEH vAsava Rkza gO /
   jīvayuktau yadā syātāṃ ṣaṣṭyabdādistadā smṛtaḥ //	jIva yuktO yadA syAtAm zazwi abda AdiH tadA smRtaH //
   iti viṣṇudharmokteḥ /	iti vizNuDarma ukteH /
   te ca  	te ca  
   prabhavo vibhavaḥ śuklaḥ pramodo 'tha prajāpatiḥ /	praBavaH viBavaH SuklaH pramodaH aTa prajApatiH /
   aṅgirāḥ śrīmukho bhāvo yuvā dhāteśvarastathā //	aFgirAH SrImuKaH BAvaH yuvA DAtA ISvaraH taTA //
   bahudhānyaḥ pramāthī ca vikramo 'tha vṛṣastathā /	bahuDAnyaH pramATI ca vikramaH aTa vRzaH taTA /
   citrabhānuḥ subhānuśca tāraṇaḥ pārthivo vyayaḥ //	citraBAnuH suBAnuH ca tAraNaH pArTivaH vyayaH //
   sarvajitsarvadhārī ca virodhī vikṛtiḥ kharaḥ /	sarvajit sarva DArI ca viroDI vikRtiH KaraH /
   nandano vijayaścaiva jayo manmathadurmukhau //	nandanaH vijayaH ca eva jayaH manmaTa durmuKO //
   hemalambo vilambaśca vikārī śārvarī plavaḥ /	hemalambaH vilambaH ca vikArI SArvarI plavaH /
   śubhakṛcchobhanaḥ krodhī viśvāvasuparābhavau //	SuBa kRt SoBanaH kroDI viSvAvasu parABavO //
   plavaṅgaḥ kīlakaḥ saumyaḥ sādhāraṇavirodhakṛt /	plavaFgaH kIlakaH sOmyaH sADAraNa viroDa kRt /
   paridhāvī pramādī ca ānando rākṣaso 'nalaḥ //	pariDAvI pramAdI ca AnandaH rAkzasaH analaH //
   piṅgalaḥ kālayuktaśca siddhārtho raudradurmatī /	piFgalaH kAla yuktaH ca sidDArTaH rOdra durmatI /
   {MV S_11}	{MV H _11}
   dundubhī rūdhirodgārī raktākṣī krodhanaḥ kṣayaḥ //	dunduBiH rUDira udgArI rakta akzI kroDanaH kzayaH //
   iti /	iti /
   ete prabhavādayaścāndrā apīti mādhavaḥ /	ete praBava AdayaH cAndrAH api iti mADavaH /
   mīnādisthe meṣādisthe vā sūrye saurasaṃvatsarārambhaḥ /	mIna Adi sTe meza Adi sTe vA sUrye sOra saMvatsara AramBaH /
   bṛhaspatimadhyamarāśibhogena bārhaspatyārambhaḥ /	bRhaspati maDyama rASi Bogena bArhaspati AramBaH /
   yatkiñciddivasamārabhya yatkiñcithimārabhya vā cāndrārambhaḥ /	yat kiQcid divasam AraBya yat kiQciTim AraBya vA cAndra AramBaH /
   yatkiñcinnakṣatrādimārabhya sāvanārambhaḥ /	yat kiQcit nakzatra Adim AraBya sA= anAramBaH /
   athaiṣāṃ viniyogaḥ /	aTa ezAm viniyogaH /
   tatra cāndrasya tilakavratābdikaśrāddhādāvupayogaḥ /	tatra cAndrasya tilaka vrata Abdika SrAdDa AdO= upayogaH /
   tilakavratamuktam  	tilaka vrata m uktam   
   bhaviṣyapurāṇe:	BavizyapurANe:
   vasante kiṃśukāśokaśobhite pratipattithiḥ /	vasante kiMSuka aSoka SoBite pratipad tiTiH /
   śuklā tasyāṃ prakurvīta snānaṃ niyamamāsthitaḥ //	SuklA tasyAm prakurvIta snAnam niyamam AsTitaH //
   lalāṭapaṭṭe tilakaṃ kuryāccandanapaṅkajam /	lalAwa pawwe tilakam kuryAt candana paFkajam /
   tataḥ prabhṛtyanudinaṃ tilakālaṅkṛtaṃ mukham //	tatas praBRti anudinam tilaka alaFkRtam muKam //
   vidhāryaṃ vatsaraṃ yāvacchaśineva nabhastalam /	viDAryam vatsaram yAvat SaSinA iva naBastalam /
   iti /	iti /
   atra pratipattithāvupakramavidhānādasya vratasya	atra pratipad tiTO= upakrama viDAnAt asya vratasya
   cāndrasaṃvatsarasādhyatvāvagatiḥ /	cAndra saMvatsara sADya tva avagatiH /
   ābdike tu brahmasiddhānte  	Abdike tu brahma sidDAnte  
   pratisaṃvatsaraśrāddhe māsaścāndramasaḥ smṛtaḥ /	pratisaMvatsara SrAdDe mAsaH cAndramasaH smRtaH /
   iti /	iti /
   sujanmādivrate sauraḥ /	su janma Adi vrate sOraH /
   viṣṇudharmottare  	vizNuDarmottare  
   bhagavankarmaṇā kena tiryagyonau na jāyate /	Bagavan karmaNA kena tiryagyonO na jAyate /
   ityupakramya  	iti upakramya  
   meṣasaṅgakramaṇe bhānoḥ sopavāso narottamaḥ //	meza saFga kramaNe BAnoH sa upavAsaH nara uttamaH //
   ityādinā vratasvarūpamabhidhāya  	ityAdinA vrata svarUpam aBiDAya  
   vrataṃ caran vatsarametadiṣṭaṃ mleccheṣu tiryakṣu na cāpi janma /	vratam caran vatsaram etat izwam mlecCezu tiryakzu na ca api janma /
   ityupasaṃhārāt /	iti upasaMhArAt /
   evaṃ yatra saṅkrāntipuraskāreṇa karmāṇyuktvā"saṃvatsaraṃ	evam yatra saFkrAnti puraskAreNa karmANi uktvA" saMvatsaram
   prakurvīta"ityuktistatra saṃvatsaraḥ sauro grāhyaḥ /	prakurvIta "iti uktiH tatra saMvatsaraH sOraH grAhyaH /
   "brahmahā dvādaśābdaṃ caret"ityādiprāyaścittādau sāvanaḥ /	"brahma hA dvAdaSa abdam caret "iti Adi prAyaScitta AdO sAvanaH /
   āyurdāyavibhāgaśca prāyaścittakriyā tathā /	AyuH dAya viBAgaH ca prAyaScitta kriyA taTA /
   sāvanenaiva kartavyā śatrūṇāṃ cāpyupāsanā //	sAvanena eva kartavyA SatrUNAm ca api upAsanAH //
   itijyotirgargokteḥ /	iti jyotiH garga ukteH /
   bārhaspatyasya tu yavadānādau  	bArhaspatyasya tu yava dAna AdO  
   saṃvatsare tu dādṝṇāṃ tiladānaṃ mahāphalam /	saMvatsare tu dAdLNAm tila dAnam mahA Palam /
   paripūrve tathā dānaṃ yavānāṃ dvijasattama! //	paripUrve taTA dAnam yavAnAm dvijasattama! //
   idāpūrve ca vasrāṇāṃ dhānyānāṃ cānupūrvake /	idA pUrve ca vasrANAm DAnyAnAm ca anupUrvake /
   itpūrve rajatasyāpi dānaṃ proktaṃ mahāphalam //	id pUrve rajatasya api dAnam proktam mahA Palam //
   iti viṣṇudharmokteḥ /	iti vizNuDarma ukteH /
   atra samparītyādi vatsaraśabdasyādiḥ /	atra sampari ityAdi vatsara Sabdasya AdiH /
   {MV S_12}	{MV H _12}
   tena saṃvatsaraparivatsaretyādipañcanāmakā vatsarā uktā bhavanti /	tena saMvatsara parivatsara iti Adi paQca nAmakAH vatsarAH uktAH Bavanti /
   eteṣāṃ pañcakasya yugamiti saṃjñā /	etezAm paQcakasya yugam iti saMjQA /
   tathā ca prabhavādi prakṛtya  	taTA ca praBava Adi prakRtya  
   brahmavaivarta,  	brahmavEvarta,  
   saṃvatsarastu prathamo dvitīyaḥ parivatsaraḥ /	saMvatsaraH tu praTamaH dvitIyaH parivatsaraH /
   idāvatsarastṛtīyaścaturthaścānuvatsaraḥ //	idAvatsaraH tRtIyaH caturTaH ca anuvatsaraH //
   idvatsaraḥ pañcamastu kālastu yugasaṃjñakaḥ /	id vatsaraH paQcamaH tu kAlaH tu yuga saMjQakaH /
   iti /	iti /
   bārhaspatya eva kadācilluptasaṃvatsara ityabhidhīyate /	bArhaspatyaH eva kadAcid lupta saMvatsaraH iti aBiDIyate /
   tathāca  	taTA ca  
   vasiṣṭhaḥ:	vasizWaH:
   sahajāṃ gatimāsādya yadyatīcārago guruḥ /	sahajAm gatim AsAdya yat yatIcAra gaH guruH /
   avaśiṣṭaṃ pūrvarāśiṃ nāyāsyatyupabhuktaye //	avaSizwam pUrva rASim na AyAsyati upaBuktaye //
   antarbhāvyopabhuktāṃśaṃ vakrānantaritaṃ tadā /	antar BAvya upaBukta aMSam vakra anantaritam tadA /
   māsairdvādaśabhirluptasaṃvatsara itīritaḥ //	mAsEH dvAdaSaBiH lupta saMvatsaraH iti IritaH //
   sahajāṃ = vakrātīcārabhinnām /	sahajAm  vakrAtIcAra BinnAm /
   tathācāyamarthaḥ /	taTA Aca ayam arTaH /
   yadyatīcārago guruḥ pūrvarāśyavaśiṣṭāṃśānāṃ bhogārthaṃ	yat i atIcAra gaH guruH pUrva rASi avaSizwa aMSAnAm Boga arTam
