   bhikṣuṇī vinaya	BikzuNI  vinaya
   yāvajjīvaṃ kāmeṣu mithyācārāt prativiratā [3]	yAvajjIvam kAmezu miTyA AcArAt prativiratAH [3]
   yāvajjīvaṃ mṛṣāvādāto prativiratā [4]	yAvajjIvam mRzO= AdAtaH prativiratAH [4]
   yāvajjīvaṃ surāmaireyamadyapānāto prativiratā || [5]	yAvajjIvam surA mEreya madya pAnAtaH prativiratAH || [5]
   tathāgataṃ hy ānandāgamya mahāprajāpatī gautamī śraddhayā vardhati |	taTAgatam hi Ananda Agamya mahA prajApatI gOtamI SradDayA varDati |
   śīlena vardhati śrutena vardhati tyāgena vardhati | prajñayā vardhati |	SIlena varDati Srutena varDati tyAgena varDati | prajQayA varDati |
   tathāgataṃ hy ānandāgamya mahāprajāpatī gautamī duḥkhaṃ jānāti samudayaṃ	taTAgatam hi Ananda Agamya mahA prajApatI gOtamI duHKam jAnAti samudayam
   jānāti | nirodhaṃ jānāti | mārgaṃ jānāti ||	jAnAti | niroDam jAnAti | mArgam jAnAti ||
   11. yaṃ ānanda pudgalo pudgalam āgamya buddhaṃ śaraṇaṃ gacchati | dharmaṃ	11. yam Ananda pudgalaH pudgalam Agamya budDam SaraNam gacCati | Darmam
   śaraṇaṃ gacchati | saṃghaṃ śaraṇaṃ gacchati | iminā ānanda pudgalena	SaraNam gacCati | saMGam SaraNam gacCati | iminA Ananda pudgalena
   imasya pudgalasya na supratikaraṇaṃ bhavati yāvajjīvaṃ pi na upasthiheya	imasya pudgalasya na su pratikaraNam Bavati yAvajjIvam pi naH upasTiheya
   yad uta cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārehi | evaṃ	yat uta cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkAra ihi | evam
   pi na supratikaraṃ bhavati | yaṃ ānanda pudgalo pudgalam āgamya yāvajjīvaṃ	pi na su pratikaram Bavati | yam Ananda pudgalaH pudgalam Agamya yAvat jIvam
   prāṇātipātāto prativiramati | yāvajjīvaṃ adattādānāto prativiramati |	prANa atipAtAtaH prativiramati | yAvajjIvam adatta AdAnAtaH prativiramati |
   yāvajjīvaṃ kāmeṣu mithyācārāt prativiramati | yāvajjīvaṃ mṛṣāvādāto	yAvajjIvam kAmezu miTyA AcArAt prativiramati | yAvajjIvam mRzO= AdAtaH 
   prativiramati | yāvajjīvaṃ surāmaireyamadyapānāto prativiramati | iminā	prativiramati | yAvajjIvam surA mEreya madya pAnAtaH prativiramati | iminA
   pudgalena imasya pudgalasya na supratikaraṃ bhavati | yāvajjīvaṃ api na	pudgalena imasya pudgalasya na su pratikaram Bavati | yAvajjIvam api na
   upasthiheyā | yad uta	upasTiheyAH | yat uta
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārehi | evaṃ pi na	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkAra ihi | evam pi na
   supratikaraṃ bhavati | yaṃ ānanda pudgalo pudgalam āgamya śraddhayā	su pratikaram Bavati | yam Ananda pudgalaH pudgalam Agamya SradDayA
   vardhati śīlena śrutena tyāgena prajñayā vardhati | iminānanda pudgalena	varDati SIlena Srutena tyAgena prajQayA varDati | iminA Ananda pudgalena
   imasya pudgalasya na supratikaraṃ bhavati | yāvajjīvaṃ pi na upasthiheya	imasya pudgalasya na su pratikaram Bavati | yAvajjIvam pi naH upasTiheya
   yad uta cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārehi | evaṃ	yat uta cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkAra ihi | evam
   pi se na supratikāram bhavati | yaṃ ānanda pudgalo pudgalam āgamya duḥkhaṃ	pi se na su pratikAram Bavati | yam Ananda pudgalaH pudgalam Agamya duHKam
   jānāti samudayaṃ jānāti nirodhañ jānāti mārgañ ca jānāti | iminā ānanda	jAnAti samudayam jAnAti niroDan jAnAti mArgan ca jAnAti | iminA Ananda
   pudgalena imasya pudgalasya na supratikāram bhavati | yāvajjīvaṃ pi na	pudgalena imasya pudgalasya na su pratikAram Bavati | yAvajjIvam pi na
   upasthiheya yad uta	upasTiheya yat uta
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārehi | evaṃ pi se na	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkAra ihi | evam pi se na
   supratikaram bhavati ||	su pratikaram Bavati ||
   12. atha khalu bhagavato etad abhūṣi | sace khalu aham ānandasya	12. aTa Kalu BagavataH etat aBUzi | sace Kalu aham Anandasya
   gautamasya putrasya yāvattṛtīyakaṃ api prativahiṣyāmi bhaviṣyati ca se	gOtamasya putrasya yAvat tRtIyakam api prativahizyAmi Bavizyati ca se
   cittasyānyathātvaṃ | śrutā pi se dharmā sammohaṃ gamiṣyanti | kāmaṃ	cittasya anyaTAtvam | SrutA pi se DarmAH sammoham gamizyanti | kAmam
   varṣasahasraṃ pi me saddharmo sthāsyati | mā haivānandasya gautamīputrasya	varza sahasram pi me sadDarmaH sTAsyati | mA ha eva Anandasya gOtamIputrasya
   bhavatu cittasyānyathātvaṃ mā pi se śrutā dharmā sammoṣaṅ gacchantu |	Bavatu cittasya anyaTAtvam mA pi se SrutAH DarmA sammozaF gacCantu |
   kāmaṃ pañcāpi me varṣaśatāni saddharmo sthāsyati | atha khalu bhagavān	kAmam paQca api me varza SatAni sadDarmaH sTAsyati | aTa Kalu BagavAn
   āyuṣmantam ānandam āmantrayati sma | sayyathāpi nāmānanda iha puruṣo	Ayuzmantam Anandam Amantrayati sma | sayyaTA api nAma AnandaH iha puruzaH 
   parvatasaṃkṣepe setuṃ bandheya yāvad eva vārisya anatikramaṇāya evam	parvata saMkzepe setum banDeya yAvat eva vArisya anatikramaNAya evam
   evānanda tathāgato bhikṣuṇīnām aṣṭa gurudharmān prajñāpeti ye bhikṣunīhi	eva Ananda taTAgataH BikzuNInAm azwa guru DarmAn prajQA apa iti ye BikzunIhi
   yāvajjīvaṃ satkartavyā gurukartavyā mānayitavyā pūjayitavyā anatikramaṇīyā	yAvajjIvam satkartavyA guru kartavyA mAnayitavyA pUjayitavyA anatikramaNIyA
   velāmiva mahāsamudreṇa || katame aṣṭau |	velAm iva mahA samudreNa || katame azwO |
   aṣṭau gurudharmā	azwO guru DarmA
   gurudharma 1	guru Darma 1
   13. varṣaśato pasampannāye ānanda bhikṣuṇīye tadahopasampannasya bhikṣusya	13. varza SataH pasampannAye Ananda BikzuNIye tat ahA upasampannasya Bikzusya
   śirasā pādā vanditavyā | ayam ānanda bhikṣuṇīnāṃ prathamo gurudharmo yo	SirasA pAdAH vanditavyA | ayam Ananda BikzuNInAm praTamaH guru DarmaH yaH 
   bhikṣūṇīhi yāvajjīvaṃ satkartavyo yāva anatikramaṇīyo velāmiva	BikzUNIhi yAvajjIvam satkartavyaH yAva anatikramaNIyaH velAm iva
   mahāsamudreṇa ||	mahA samudreNa ||
   gurudharma 2	guru Darma 2
   aṣṭādaśavarṣāye kumārībhūtāye dve varṣāṇī deśitāśikṣāye paripūrṇaśikṣāye	azwAdaSa varzAye kumArI BUtAye dve varzANI deSita aSikzAye paripUrNa SikzAye
   ubhayato saṃghe upasampadā pratyāśaṃsitavyā | ayam ānanda dvitīyo	uBayatas saMGe upasampadA pratyASaMsitavyAH | ayam Ananda dvitIyaH 
   gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo gurukartavyo yāva velā iva	guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH guru kartavyaH yAva velAH iva
   samudreṇa ||	samudreNa ||
   gurudharma 3	guru Darma 3
   āvaḍḍo ānanda bhikṣuṇīnāṃ bhikṣuṣu vacanapatho bhūtena vā abhūtena vā	AvaxxaH Ananda BikzuNInAm Bikzuzu vacana paTaH BUtena vA aBUtena vA
   anāvaḍḍo bhikṣusya bhikṣuṇīṣu vacanapatho bhūtena no abhūtena | ayam	anAvaxxaH Bikzusya BikzuNIzu vacana paTaH BUtena naH aBUtena | ayam
   ānanda bhikṣuṇīnāṃ tṛtīyo gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo	Ananda BikzuNInAm tRtIyaH guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH 
   vistareṇa ||	vistareNa ||
   gurudharma 4	guru Darma 4
   bhaktāgraṃ śayyāsanaṃ vihāro ca bhikṣuṇīhi bhikṣuto sādayitavyo | ayam	Bakta agram SayyA Asanam vihAraH ca BikzuNIhi BikzutaH sAdayitavyaH | ayam
   ānanda caturtho gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo	Ananda caturTaH guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH 
   gurukartavyo vistareṇa ||	guru kartavyaH vistareNa ||
   gurudharma 5	guru Darma 5
   gurudharmāpannāye ānanda bhikṣuṇīye ardhamāsam bhikṣuṇīsaṃghe mānatvaṃ	guru Darma ApannAye Ananda BikzuNIye arDa mAsam BikzuNI saMGe mAna tvam
   yācitavyaṃ ubhayato saṃghe ca āhvayanaṃ | ayam ānanda paṇcamo bhikṣuṇīnāṃ	yAcitavyam uBayatas saMGe ca Ahvayanam | ayam Ananda paNcamaH BikzuNInAm
   gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo vistareṇa ||	guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH vistareNa ||
   gurudharma 6	guru Darma 6
   anvārdhamāsaṃ bhikṣuṇīhi bhikṣusaṃghāt uvādopasaṃkramaṇaṃ	anvArDa mAsam BikzuNIhi Bikzu saMGAt uvAda upasaMkramaNam
   pratyāśaṃsitavyaṃ | ayam ānanda bhikṣuṇīnām ṣaṣṭho gurudharmo yo	pratyASaMsitavyam | ayam Ananda BikzuNInAm zazWaH guru DarmaH yaH 
   bhikṣuṇīhi yāvajjīvaṃ satkartavyo vistareṇa |	BikzuNIhi yAvajjIvam satkartavyaH vistareNa |
   gurudharma 7	guru Darma 7
   na kṣamati bhikṣuṇīhi abhikṣuke āvāse varṣām upagantuṃ | ayam ānanda	na kzamati BikzuNIhi aBikzuke AvAse varzAm upagantum | ayam Ananda
   bhikṣuṇīnāṃ saptamo gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo	BikzuNInAm saptamaH guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH 
   vistareṇa ||	vistareNa ||
   gurudharma 8	guru Darma 8
   varṣoṣitāhi ānanda bhikṣuṇīhi ubhayatosaṃghe pravāraṇā pratyāśaṃsitavyā |	varza uzitAhi Ananda BikzuNIhi uBayatas saMGe pravAraNA pratyASaMsitavyAH |
   ayam ānanda bhikṣuṇīnāṃ aṣṭamo gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ	ayam Ananda BikzuNInAm azwamaH guru DarmaH yaH BikzuNIhi yAvat jIvam
   satkartavyo gurukartavyo mānayitavyo pūjayitavyo anatikramaṇīyo velā iva	satkartavyaH guru kartavyaH mAnayitavyaH pUjayitavyaH anatikramaNIyaH velAH iva
   samudreṇa |	samudreNa |
   ime ānanda bhikṣuṇīnām aṣṭau gurudharmā ye bhikṣuṇīhi yāvajjīvaṃ	ime Ananda BikzuNInAm azwO guru DarmA ye BikzuNIhi yAvat jIvam
   satkartavyā gurukartavyā mānayitavyā pūjayitavyā anatikramaṇīyā velā iva	satkartavyA guru kartavyA mAnayitavyA pUjayitavyAH anatikramaNIyAH velAH iva
   samudreṇa ||	samudreNa ||
   14. sace nāmānanda mahāprajāpatī gautamī imān aṣṭa gurudharmān pratīcchati	14. sace nAma Ananda mahA prajApatI gOtamI imAn azwa guru DarmAn pratIcCati
   catuhi ca patanīyehi dharmehi anadhyācārāya śikṣāṃ śikṣati | eṣā se	catuhi ca patanIya ihi Darma ihi anaDyAcArAya SikzAm Sikzati | ezA se
   adyadagreṇa pravrajyā | eṣā upasaṃpadā eṣa bhikṣuṇībhāvo | sādhu bhagavann	adyat agreNa pravrajyA | ezA upasaMpadAH eza BikzuNIBAvaH | sADu Bagavat = 
   iti āyuṣmān ānando bhagavataḥ pādau śirasā vanditvā yena mahāprajāpatī	iti AyuzmAn AnandaH BagavataH pAdO SirasA vanditvA yena mahA prajApatI
   gautamī tenopasaṃkramitvā mahāprajāpatīṃ gautamīṃ etad avocat | śṛṇu	gOtamI tena upasaMkramitvA mahA prajApatIm gOtamIm etat avocat | SRNu
   gautamī bhagavato vacanaṃ | sayyathāpi nāma gautamī iha puruṣa	gOtamI BagavataH vacanam | sayyaTA api nAma gOtamI iha puruza
   parvatasaṃkṣepe setuṃ bandheya yāvad eva vāriṣya anatikramaṇāya evam eva	parvata saMkzepe setum banDeya yAvat eva vArizya anatikramaNAya evam eva
   gautamī bhagavān bhikṣuṇīnāṃ aṣṭagurudharmān prajñāpeti ye bhikṣuṇīhi	gOtamI BagavAn BikzuNInAm azwa guru DarmAn prajQApa iti ye BikzuNIhi
   yāvajjīvaṃ satkartavyā gurukartavyā mānayitavyā pūjayitavyā anatikramaṇīyā	yAvajjIvam satkartavyA guru kartavyA mAnayitavyA pUjayitavyA anatikramaNIyA
   velāmiva samudreṇa |	velAm iva samudreNa |
   15. katame 'ṣṭa | varṣaśatopasampannāya gautamī bhikṣuṇīya	15. katame azwa | varza Sata upasampannAya gOtamI BikzuNIya
   tadahopasampannasya bhikṣusya pādā śirasā vanditavyā | ayaṃ gautamī	tat ahA upasampannasya Bikzusya pAdA SirasA vanditavyA | ayam gOtamI
   bhikṣuṇīnām prathamo gurudharmo yo bhikṣuṇīhi yāvajjīvaṃ satkartavyo yo	BikzuNInAm praTamaH guru DarmaH yaH BikzuNIhi yAvajjIvam satkartavyaH yaH 
   anatikramaṇīyo velāmiva samudreṇa | evaṃ sarve aṣṭa gurudharmān | tad eva	anatikramaNIyaH velAm iva samudreNa | evam sarve azwa guru DarmAn | tat eva
   mahāprajāpatīya gautamīya pratyārociti | yāva sace khu tvaṃ gautamī imān	mahA prajApatIya gOtamIya pratyArociti | yAva sace Ku tvam gOtamI imAn
   aṣṭa gurudharmān pratīcchasi catuhi ca patanīyehi dharmehi anadhyācārāya	azwa guru DarmAn pratIcCasi catuhi ca patanIya ihi Darma ihi anaDyAcArAya
   śikṣāṃ śikṣasi | eṣā eva te adyadagreṇa pravrajyā eṣā upasampadā eṣa	SikzAm Sikzasi | ezA eva te adyat agreNa pravrajyA ezA upasampadA eza
   bhikṣuṇībhāvo ||	BikzuNI BAvaH ||
   16. evam ukte mahāprajāpatī gautamī āyuṣmantam ānandam etad avocat |	16. evam ukte mahA prajApatI gOtamI Ayuzmantam Anandam etat avocat |
   sayyathāpi nāmānanda iha syāt yuvā puruṣo maṇḍanajātīyo śīrṣasnāto	sayyaTA api nAma AnandaH iha syAt yuvA puruzaH maNxana jAtIyaH SIrza snAtaH 
   āhatavastranivastro utpalamālām vā campakamālām vā kumudamālām vā	Ahata vastra nivastraH utpala mAlAm vA campaka mAlAm vA kumudamAlAm vA
   tṛṇamolikamālām vā śirasā pratīccheya evam evāham āryānanda imān	tRNamolika mAlAm vA SirasA pratIcCeyaH evam eva aham Arya AnandaH imAn
   aṣṭagurudharmān śirasā pratīcchāmi catuhi ca patanīyehi dharmehi	azwa guru DarmAn SirasA pratIcCAmi catuhi ca patanIya ihi Darma ihi
   anadhyacārāya śikṣāṃ śikṣāṃ śikṣiṣyaṃ ||	anaDyacArAya SikzAm SikzAm Sikzizyam ||
   17. atha khalu mahāprajāpatī gautamī sārdhaṃ cchandāyi cchandakapālāye	17. aTa Kalu mahA prajApatI gOtamI sArDam cCandAyi cCandakapAlAye
   dāsacchandāye cchandakamātare ca pañcahi ca śākiyāniśatehi sārdhaṃ yena	dAsa= CandAye cCandaka mAtare ca paQca hi ca SAkiyAniSata ihi sArDam yena
   bhagavān tenopasaṃkramitvā bhagavataḥ pādau śirasā vanditvā ekānte	BagavAn tena upasaMkramitvA BagavataH pAdO SirasA vanditvA ekAnte
   asthāsuḥ |	asTAsuH |
   18. ekāntasthitāyo bhikṣuṇīyo bhagavān etad avocat | tasmād iha bhave	18. ekAnta sTitAyaH BikzuNIyaH BagavAn etat avocat | tasmAt iha Bave
   bhikṣuṇīyo adydagreṇa mahāprajāpatīṃ gautamīṃ saṃghasthavirāṃ	BikzuNIyaH adyt agreNa mahA prajApatIm gOtamIm saMGa sTavirAm
   saṃghamahattarīṃ saṃghathaviriṇā vikandhāvetha | atha khalu mahāprajāpatī	saMGa mahattarIm saMGaTa viriNA vikanDa AveTaH | aTa Kalu mahA prajApatI
   gautamī yena bhagavān tenāñjaliṃ praṇāmayitvā bhagavantam etad avocat | ye	gOtamI yena BagavAn tena aQjalim praNAmayitvA Bagavantam etat avocat | ye
   ime bhagavan bhikṣuṇīnāṃ aṣṭagurudharmā bhagavatā saṃkṣiptena bhāṣitā	ime Bagavan BikzuNInAm azwa guru DarmA BagavatA saMkziptena BAzitA
   vistareṇa vibhaktā labhyā te 'smābhir vistareṇa śrotuṃ ||	vistareNa viBaktA laByA te asmABiH vistareNa Srotum ||
   19. bhagavān āha | labhyā | āha | kinti dānī gautamī varṣaśatopasampannāye	19. BagavAn Aha | laByAH | Aha | kinti dAnI gOtamI varza Sata upasampannAye
   bhikṣuṇīye tadahopasampannasya bhikṣusya	BikzuNIye tat ahA upasampannasya Bikzusya
   abhivādanavandanapratyutthānāñjalīkarma samīcīkarma kartavyaṃ | na dāniṃ	aBivAdana vandana pratyutTAna aQjalI karma samIcIkarma kartavyam | na dAnim
   bhikṣuṇīye āgamitavyaṃ | yadāhaṃ varsaśatopasampannā bhaviṣyaṃ bhikṣu ca	BikzuNIye Agamitavyam | yadA aham varsa Sata upasampannA Bavizyam Bikzu ca
   tad ahopasampanno bhaviṣyati tadāham	tat ahopasampannaH Bavizyati tadA aham
   abhivādanavandanapratyutthānamañjalīkarma sāmīcikarma kariṣyaṃ |	aBivAdana vandana pratyutTAnam aQjalI karma sAmIcikarma karizyam |
   20. atha khalu sarvāhi bhikṣuṇīhi sthavirīhi vā navāhi vā madhyamāhi vā	20. aTa Kalu sarvAhi BikzuNIhi sTavirIhi vA navAhi vA maDyamAhi vA
   sarveṣāṃ bhikṣūṇām stherāṇāṃ navānāṃ madhyamānāṃ	sarvezAm BikzUNAm sTerANAm navAnAm maDyamAnAm
   abhivādanavandanapratyutthānāñjalīkarma sāmīcikarma kartavyaṃ || ete dāni	aBivAdana vandana pratyutTAna aQjalI karma sAmIcikarma kartavyam || ete dAni
   bhikṣū bhikṣūṇīupāśrayaṃ praviṣṭā bhavanti | sarvāhi bhikṣuṇīhi stherīhi	BikzU BikzUNI upASrayam pravizwAH Bavanti | sarvAhi BikzuNIhi sTerIhi
   vā navāhi vā madhyamāhi vā sarveṣāṃ bhikṣūṇāṃ stherāṇāṃ navānāñ ca	vA navAhi vA maDyamAhi vA sarvezAm BikzUNAm sTerANAm navAnAn ca
   madhyamānām abhivādanavandanapratyutthānāñjalīkarma sāmīcīkarma kartavyaṃ	maDyamAnAm aBivAdana vandana pratyutTAna aQjalIkarma sAmIcIkarma kartavyam
   21. atha dāni bhikṣuṇī jarādurbalā vā bhavati vyādhidurbalā vā yattakānāṃ	21. aTa dAni BikzuNI jarA durbalA vA Bavati vyADi durbalAH vA yattakAnAm
   abhisaṃbhuṇoti tattakānāṃ pādā śirasā vanditavyā | śiṣṭhakānāṃ mūrdhni	aBisaMBuNoti tattakAnAm pAdA SirasA vanditavyA | SizWakAnAm mUrDni
   añjaliṃ kṛtvā vaktavyaṃ | sarveṣāṃ āryamiśrāṇāṃ pādāṃ vandāmi | etāyo	aQjalim kRtvA vaktavyam | sarvezAm Arya miSrANAm pAdAm vandAmi | etAyaH 
   bhikṣuṇīyo bhikṣuvihāraṃ nirdhāvanti sarvāhi bhikṣuṇīhi stherīhi vā navāhi	BikzuNIyaH Bikzu vihAram nirDAvanti sarvAhi BikzuNIhi sTerIhi vA navAhi
   vā madhyamāhi vā sarveṣāṃ bhikṣūṇāṃ therāṇāṃ navānāṃ madhyamānāṃ pādā	vA maDyamAhi vA sarvezAm BikzUNAm TerANAm navAnAm maDyamAnAm pAdA
   śirasā vanditavyā | atha dāni bhikṣuṇī jarādurbalā bhavati vyādhidurbalā	SirasA vanditavyA | aTa dAni BikzuNI jarA durbalA Bavati vyADi durbalA
   vā yattakānām abhisaṃbhuṇoti tattakānāṃ pādā śirasā vanditavyā śiṣṭakānāṃ	vA yattakAnAm aBisaMBuNoti tattakAnAm pAdA SirasA vanditavyA SizwakAnAm
   mūrdhni añjalīṃ kṛtvā vaktavyaṃ | sarveṣāṃ āryamiśrāṇāṃ pādā śirasā	mUrDni aQjalIm kRtvA vaktavyam | sarvezAm Arya miSrANAm pAdA SirasA
   vandāmi |	vandAmi |
   22. sā eṣā bhikṣuṇī avajñāya paribhavanena koṇṭabhikṣū ti vā kṛtvā	22. sA ezA BikzuNI avajQAya pariBavanena koNwaBikzU ti vA kRtvA
   ḍhossabhikṣū ti vā kṛtvā vaidyabhikṣū ti vā kṛtvā akhallamahalle ti vā	Xossa BikzU ti vA kRtvA vEdya BikzU ti vA kRtvA aKallam ahat le ti vA
   akuśalo ti vā apratikṛtijño ti vā kṛtvā na śirasā pādān vandati	akuSalaH ti vA apratikRti jQaH ti vA kRtvA na SirasA pAdAn vandati
   gurudharmam atikrāmati | evaṃ gautamī varṣaśatopasampannāye bhikṣuṇīye	guru Darmam atikrAmati | evam gOtamI varza Sata upasampannAye BikzuNIye
   tadahopasampannasya bhikṣusya śirasā vanditavyaṃ | ayaṃ gautamī	tat ahA upasampannasya Bikzusya SirasA vanditavyam | ayam gOtamI
   bhikṣuṇīnāṃ prathamo gurudharmo yāvajjīvaṃ satkartavyo gurukartavyo	BikzuNInAm praTamaH guru DarmaH yAvajjIvam satkartavyaH guru kartavyaH 
   mānayitavyo pūjayitavyo anatikramaṇīyo velāmiva samudreṇa ||	mAnayitavyaH pUjayitavyaH anatikramaNIyaH velAm iva samudreNa ||
   gurudharma 2	guru Darma 2
   23. kinti dāni gautamī aṣṭādaśavarṣāye kumārībhūtāye dvevarṣāṇi	23. kinti dAni gOtamI azwAdaSa varzAye kumArIBUtAye dvevarzANi
   śikṣitaśikṣāye paripūrṇaśikṣāye ubhayatosaṃghe upasampadā pratyāsaṃsitavyā	Sikzita SikzAye paripUrNa SikzAye uBayatas saMGe upasampadA pratyAsaMsitavyA
   yā dāni eṣā aṣṭādaśavarṣā kumārībhūtā bhavati tāye bhikṣuṇīsaṃghe	yA dAni ezA azwAdaSa varzA kumArIBUtA Bavati tAye BikzuNI saMGe
   dvevarṣāṇī śikṣādeśanāsaṃmuti yācitavyā | karmakārikāya karma kartavyam |	dvevarzANI SikzA deSana asaMmuti yAcitavyA | karma kArikAya karma kartavyam |
   śṛṇotu me āryasaṃgho | iyam itthannāmā nāma aṣṭādaśavarṣā kumārībhūtā	SRNotu me Arya saMGaH | iyam itTat nAmA nAma azwAdaSa varzA kumArI BUtA
   ākāṅkṣati tathāgatapravedite dharmavinaye pravrajyām upasampadāṃ	AkAFkzati taTAgata pravedite Darma vinaye pravrajyAm upasampadAm
   bhikṣuṇībhāvaṃ | yadi saṃghasya prāptakālaṃ iyamnāmā aṣṭādaśavarṣā	BikzuNI BAvam | yadi saMGasya prApta kAlam iyam nAmA azwAdaSa varzA
   kumārībhūtā saṃghaṃ dvevarṣāṇi śikṣādeśanāsaṃmutiṃ yāceyā | yāciṣyati	kumArIBUtA saMGam dvevarzANi SikzA deSanA saMmutim yAceyAH | yAcizyati
   āryamiśrikāyo saṃgho iyam itthannāmā aṣṭādaśavarṣā kumārībhūtā dvevarṣāṇi	Arya miSrikAyaH saMGaH iyam itTat nAmA azwAdaSa varzA kumArI BUtAH dvevarzANi
   śikṣādeśanāsaṃmutiṃ | kṣamate taṃ saṃghasya yasmāt tūṣṇīm evam etaṃ	SikzA deSanA saMmutim | kzamate tam saMGasya yasmAt tUzNIm evam etam
   dhārayāmi |	DArayAmi |
