   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   anena vṛttayaḥ śeṣā Ragh_10.30c	anena vRttayaH SezAH RaG_10.30c
   anena sārdhaṃ viharāmburāśes Ragh_6.57a	anena sArDam vihara amburASeH RaG_6.57a
   anokahākamptapuṣpagandhī Ragh_2.13b	anokahA kampta puzpa ganDI RaG_2.13b
   antarā śakalīkṛtaḥ Ragh_15.20b	antarA SakalIkRtaH RaG_15.20b
   antare ca viharan divāniśaṃ Ragh_19.6c	antare ca viharan divAniSam RaG_19.6c
   antargataphalārambhāḥ Ragh_10.60c	antargata Pala AramBAH Rau _10.60c
   antargataṃ prāṇabhṛtāṃ hi veda Ragh_2.43c	antargatam prANaBRtAm hi vedaH RaG_2.43c
   antargūḍhaṃ kṣitir iva babhau bījamuṣṭiṃ dadhānā Ragh_19.57b	antar gUXam kzitiH iva baBO bIja muzwim daDAnA RaG_19.57b
   antarniviṣṭapadam ātmavināśahetuṃ Ragh_9.82c	antar nivizwa padam Atma vinASa hetum RaG_9.82c
   antarmadāvastha iva dvipendraḥ Ragh_2.7d	antar mada avasTaH iva dvipa indraH Rau _2.7d
   antarvatnī prajāvatī Ragh_15.13b	antarvatnI prajAvatI RaG_15.13b
   antaḥśarīreṣv api yaḥ prajānāṃ Ragh_6.39c	antar SarIrezu api yaH prajAnAm RaG_6.39c
   ante kāmyasya karmaṇaḥ Ragh_10.51b	ante kAmyasya karmaNaH RaG_10.51b
   ante vayasy aham iveti tam uktavantam Ragh_9.79b	ante vayasi aham iva iti tam uktavantam RaG_9.79b
   antyāṃ kalāṃ darśa ivauṣadhīṣu Ragh_14.80d	antyAm kalAm darSaH iva OzaDIzu Rau _14.80d
   annaṃ pratyagrahīn nṛpaḥ Ragh_10.53b	annam pratyagrahIt nRpaH RaG_10.53b
   anyakāryavimukhaḥ sa pārthivaḥ Ragh_19.47b	anya kArya vimuKaH sa pArTivaH RaG_19.47b
   anyatra mālā sitapaṅkajānām Ragh_13.54c	anyatra mAlA sita paFkajAnAm RaG_13.54c
   anyatra rakṣobhavanoṣitāyāḥ Ragh_14.32c	anyatra rakzaH Bavana uzitAyAH RaG_14.32c
   anyatra śubhrā śaradabhralekhā Ragh_13.55c	anyatra SuBrA Sarad aBra leKA RaG_13.55c
   anyatra śubhrā śaradabhralekhā Ragh_13.56c	anyatra SuBrA Sarad aBra leKA RaG_13.56c
   anyadā jagati rāma ity ayaṃ Ragh_11.73a	anyadA jagati rAmaH iti ayam RaG_11.73a
   anyān uparurodha yaiḥ Ragh_4.83d	anyAn uparuroDa yEH Rau _4.83d
   anyedyur atha kākutsthaḥ Ragh_15.75a	anyedyus aTa kAkutsTaH RaG_15.75a
   anyedyur ātmānucarasya bhāvaṃ Ragh_2.26a	anyedyus Atma anucarasya BAvam RaG_2.26a
   anyonyakeyūravighaṭṭinībhiḥ Ragh_16.56b	anyonya keyUra viGawwinIBiH RaG_16.56b
   anyonyajayasaṃrambho Ragh_12.92c	anyonya jaya saMramBaH Rau _12.92c
   anyonyadattotpalakesarāṇi Ragh_13.31b	anyonya datta utpala kesarANi RaG_13.31b
   anyonyadarśanaprāpta Ragh_12.87a	anyonya darSana prAptaH RaG_12.87a
   anyonyadeśapravibhāgasīmāṃ Ragh_16.2c	anyonya deSa praviBAga si imAm RaG_16.2c
   anyonyapāvanam abhūd ubhayaṃ sametya Ragh_13.78d	anyonya pAvanam aBUt uBayam sametya Rau _13.78d
   anyonyalolāni vilocanāni Ragh_7.23d	anyonya lolAni vilocanAni RaG_7.23d
   anyonyaśobhāparivṛddhaye vāṃ Ragh_6.65c	anyonya SoBA parivRdDaye vAm RaG_6.65c
   anyonyasaṃsaktam ahastriyāmam Ragh_7.24d	anyonya saMsaktam ahar triyAmam Rau _7.24d
   anyonyasūtonmathanād abhūtāṃ Ragh_7.52a	anyonya sUta unmaTanAt aBUtAm RaG_7.52a
   anvagāt kumudānandaṃ Ragh_17.6c	anvagAt kumuda Anandam RaG_17.6c
   anvagād iva hi svargo Ragh_10.73c	anvagAt iva hi svargaH Rau _10.73c
   anvag yayau madhyamalokapālaḥ Ragh_2.16b	anvak yayO maDyama lokapAlaH RaG_2.16b
   anvagrahīt praṇamataḥ śubhadṛṣṭipātair Ragh_13.71c	anvagrahIt praNamataH SuBa dRzwi pAtEH RaG_13.71c
   anvanaiṣur avadhūtavigrahās Ragh_19.43c	anvanEzuH avaDUta vigrahAH RaG_19.43c
   anvabhuṅkta surataśramāpahāṃ Ragh_19.39c	anvaBuFkta surata Srama apahAm RaG_19.39c
   anvabhūt parijanāṅganārataṃ Ragh_19.23c	anvaBUt parijana aFganA ratam RaG_19.23c
   anvamīyata kalyāṇaṃ Ragh_17.11c	anvamIyata kalyANam RaG_17.11c
   anvayuṅkta gurum īśvaraḥ kṣiteḥ Ragh_11.62c	anvayuFkta gurum ISvaraH kziteH Rau _11.62c
   anvayuḥ paurayoṣitaḥ Ragh_17.35b	anvayuH pOra yozitaH RaG_17.35b
   anvāsitam arundhatyā Ragh_1.56c	anvAsitam arunDatyAH Rau _1.56c
   anvāsya goptā gṛhiṇīsahāyaḥ Ragh_2.24b	anvAsya goptA gRhiNI sahAyaH RaG_2.24b
   anvitaḥ pativātsalyād Ragh_15.98c	anvitaH pati vAtsalyAt RaG_15.98c
   anviyeṣa sadṛśīṃ sa ca snuṣāṃ Ragh_11.50a	anviyeza sadRSIm sa ca snuzAm RaG_11.50a
   anveṣṭuṃ bhartṛcoditāḥ Ragh_12.59b	anvezwum BartR coditAH RaG_12.59b
   apacāraḥ pravartate Ragh_15.47b	apacAraH pravartate RaG_15.47b
   apatuṣāratayā viśadaprabhaiḥ Ragh_9.39a	apatuzAra tayA viSada praBEH RaG_9.39a
   apatyasaṃskāramayo vidhis te Ragh_14.75d	apatya saMskAra mayaH viDiH te Rau _14.75d
   apatyair iva nīvāra Ragh_1.50c	apatyEH iva nIvAraH RaG_1.50c
   apathena pravavṛte Ragh_17.54a	apaTena pravavRte RaG_17.54a
   apathe padam arpayanti hi Ragh_9.74c	apaTe padam arpayanti hi RaG_9.74c
   apanītaśirastrāṇāḥ Ragh_4.64a	apanIta SirastrANAH RaG_4.64a
   apayodharasaṃsargaṃ Ragh_12.65c	apayoDara saMsargam RaG_12.65c
   aparaḥ praṇidhānayogyayā Ragh_8.19c	aparaH praNiDAna yogyayA RaG_8.19c
   aparaḥ śuciviṣṭarasthitaḥ Ragh_8.18*c	aparaH Suci vizwara sTitaH RaG_8.18*c
   aparādhhe 'pi yadā ciraṃ mayi Ragh_8.48b	aparADhe api yadA ciram mayi RaG_8.48b
   aparāntajayodyataiḥ Ragh_4.53b	aparAnta jaya udyatEH RaG_4.53b
   aparāntamahīpāla Ragh_4.58c	apara anta mahIpAle RaG_4.58c
   aparā vīram ajījanat sutam Ragh_8.28d	aparA vIram ajIjanat sutam RaG_8.28d
   aparityāgam ayācatātmanaḥ Ragh_8.12d	aparityAgam ayAcata AtmanaH Rau _8.12d
   aparuṣā paruṣākṣaram īritā Ragh_9.8d	aparuzA paruza akzaram IritAH Rau _9.8d
   aparo dahane svakarmaṇāṃ Ragh_8.20c	aparaH dahane sva karmaNAm RaG_8.20c
   apavargamahodayārthayor Ragh_8.16c	apavarga mahA udaya arTayoH RaG_8.16c
   apavāda ivotsargaṃ Ragh_15.7c	apavAdaH iva utsargam RaG_15.7c
   apaviddhaśucāv iva Ragh_10.75d	apavidDa SucO iva RaG_10.75d
   apaśulaṃ tam āsādya Ragh_15.17a	apaSulam tam AsAdya RaG_15.17a
   apaśokamanāḥ kuṭumbinīm Ragh_8.86a	apaSoka manAH kuwumbinIm RaG_8.86a
   apaśyatāṃ dāśarathī jananyau Ragh_14.1c	apaSyatAm dASaraTI jananyO RaG_14.1c
   apaśyatāṃ dāśarathī jananyau Ragh_14.1*b	apaSyatAm dASaraTI jananyO RaG_14.1*b
   apākṛtasvedalavā marudbhiḥ Ragh_6.57d	apAkRta sveda lavAH marudBiH Rau _6.57d
   apārthyakālāgurupattralekham Vt Ragh_13.49d	apArTya kAlAguru pattra leKam Vt Rau _13.49d
   apāṃ taraṅgeṣv iva tailabindum Ragh_14.38b	apAm taraFgezu iva tEla bindum RaG_14.38b
   apāṃsulānāṃ dhuri kīrtanīyā Ragh_2.2b	apAMsulAnAm Duri kIrtanIyA RaG_2.2b
   api turagasamīpād utpatantaṃ mayūraṃ Ragh_9.67a	api turaga samIpAt utpatantam mayUram RaG_9.67a
   api prabhuḥ sānuśayo 'dhunā syāt Ragh_14.83a	api praBuH sa anuSayaH aDunA syAt RaG_14.83a
   api prasannena maharṣiṇā tvaṃ Ragh_5.10a	api prasannena mahA RziNA tvam RaG_5.10a
   api svadehāt kim utendriyārthād Ragh_14.35c	api sva dehAt kim uta indriya arTAt RaG_14.35c
   apīpsitaṃ kṣatrakulāṅganānāṃ Ragh_14.4c	api Ipsitam kzatra kula aFganAnAm RaG_14.4c
   apunarjananopattaye Ragh_8.17*c	apunarjanana upattaye RaG_8.17*c
   apunāt savitevobhau Ragh_17.2c	apunAt savitA iva uBO RaG_17.2c
   apuṣpaliṅgāt phalabandhivṛkṣam Ragh_13.50b	apuzpa liFgAt Pala banDi vRkzam RaG_13.50b
   apūrṇam ekena śatakratūpamaḥ Ragh_3.38c	apUrNam ekena Satakratu upamaH RaG_3.38c
   apy agraṇīr mantrakṛtām ṛṣīṇāṃ Ragh_5.4a	api agraNIH mantra kRtAm RzINAm RaG_5.4a
   apy arthakāmau tasyāstāṃ Ragh_1.25c	api arTa kAmO tasya AstAm RaG_1.25c
   apy ardhamārge parabāṇalūnā Ragh_7.45a	api arDa mArge para bANa lUnA RaG_7.45a
   apy asupraṇayināṃ raghoḥ kule Ragh_11.2c	api asu praNayinAm raGoH kule RaG_11.2c
   apy ājñayā śāsitur ātmanā vā Ragh_5.11c	api AjQayA SAsituH AtmanA vE RaG_5.11c
   aprabodhāya suṣvāpa Ragh_12.50c	apraboDAya suzvApaH RaG_12.50c
   apraviṣṭaviṣayasya rakṣasāṃ Ragh_11.18c	apravizwa vizayasya rakzasAm RaG_11.18c
   abaddhamaurvīkiṇalāñchanena Ragh_18.48b	abadDa mOrvIkiNa lAQCanena RaG_18.48b
   abindhanaṃ vahnim asau bibharti Ragh_13.4c	ap inDanam vahnim asO biBarti RaG_13.4c
   abravīc ca bhagavan mataṅgajair Ragh_11.39a	abravIt ca Bagavat mataFga jEH RaG_11.39a
   abhaktibhedena vadhūr vavande Ragh_14.5d	aBakti Bedena vaDUH vavande Rau _14.5d
   abhagnakāmā munibhiḥ kuśeṣu Ragh_5.7b	aBagna kAmAH muniBiH kuSezu RaG_5.7b
   abhavad asya tato guṇavattaraṃ Ragh_9.2c	aBavat asya tatas guNavattaram RaG_9.2c
   abhavan nāsya vimānanā kvacit Ragh_8.8d	aBavat na asya vimAnanA kvacid Rau _8.8d
   abhijagmur nidāghārtāś Ragh_10.5c	aBijagmuH nidAGa ArtAH RaG_10.5c
   abhijagmur maharṣayaḥ Ragh_15.59b	aBijagmuH mahA RzayaH RaG_15.59b
   abhitaptam ayo 'pi mārdavaṃ Ragh_8.43c	aBitaptam ayaH api mArdavam RaG_8.43c
   abhinayān paricetum ivodyatā Ragh_9.29a	aBinayAn paricetum iva udyatA RaG_9.29a
   abhinavā iva pattraviśeṣakāḥ Ragh_9.32b	aBinavAH iva pattra viSezakAH RaG_9.32b
   abhipede nidāghārtā Ragh_12.32c	aBipede nidAGa ArtAH RaG_12.32c
   abhibhavaḥ kuta eva sapatnajaḥ Ragh_9.4b	aBiBavaH kutas eva sapatna jaH RaG_9.4b
   abhibhūya vibhūtim ārtavīṃ Ragh_8.36a	aBiBUya viBUtim ArtavIm RaG_8.36a
   abhiyayuḥ saraso madhusaṃbhṛtāṃ Ragh_9.30c	aBiyayuH sarasaH maDu saMBRtAm RaG_9.30c
   abhivṛṣṭaṃ prajāśrubhiḥ Ragh_15.99d	aBivRzwam prajA aSruBiH Rau _15.99d
   abhivṛṣya marutsasyaṃ Ragh_10.49c	aBivRzya marut sasyam RaG_10.49c
   abhiṣaṅgajaḍaṃ vijajñivān Ragh_8.75c	aBizaFga jaxam vijajQivAn RaG_8.75c
   abhiṣicyābhiṣekārhau Ragh_15.89c	aBizicya aBizeka arhO RaG_15.89c
   abhiṣekajalāplutā Ragh_17.37b	aBizeka jala AplutA RaG_17.37b
   abhiṣekāya śilpibhiḥ Ragh_17.9b	aBizekAya SilpiBiH RaG_17.9b
   abhiṣektuṃ dvijātayaḥ Ragh_17.13d	aBizektum dvijAtayaH Rau _17.13d
   abhūc ca namraḥ praṇipātaśikṣayā Ragh_3.25c	aBUt ca namraH praNipAta SikzayA RaG_3.25c
   abhūd anāsādyam adhijyadhanvanaḥ Ragh_3.6d	aBUt anAsAdyam aDijya DanvanaH Rau _3.6d
   abhūyaḥsaṃnivṛttaye Ragh_10.28d	aBUyas saMnivRttaye Rau _10.28d
   abhyapadyata sa vāsitāsakhaḥ Ragh_19.11c	aByapadyata sa vAsitA saKaH RaG_19.11c
   abhyabhāvi bharatāgrajas tayā Ragh_11.16c	aByaBAvi BaratAgrajaH tayA Rau _11.16c
   abhyabhūyata vāhānāṃ Ragh_4.56a	aByaBUyata vAhAnAm RaG_4.56a
   abhyarṇam āgaskṛtam aspṛśadbhiḥ Ragh_2.32b	aByarNam AgaskRtam aspRSadBiH RaG_2.32b
   abhyarthyo 'smi na vajriṇā Ragh_10.41b	aByarTyaH asmi na vajriNA RaG_10.41b
   abhyavarṣann upāyanaiḥ Ragh_15.58d	aByavarzan upAyanEH Rau _15.58d
   abhyasyatīva vratam āsidhāram Ragh_13.67d	aByasyati iva vratam Asi DAram RaG_13.67d
   abhyāsanigṛhītena Ragh_10.24a	aByAsa nigRhItena RaG_10.24a
   abhyāhataṃ kīrtiviparyayeṇa Ragh_14.33b	aByAhatam kIrti viparyayeNa RaG_14.33b
   abhyucchritaṃ na mamṛṣe na tu dīrgham āyuḥ Ragh_9.62d	aByucCritam na mamRze na tu dIrGam AyuH Rau _9.62d
   abhyucchritāḥ karmabhir apy avandhyaiḥ Ragh_16.2b	aByucCritAH karmaBiH api avanDyEH RaG_16.2b
   abhyutthitāgnipiśunair Ragh_1.53a	aByutTita agni piSunEH RaG_1.53a
   abhyutsahe saṃprati noparoddhum Ragh_5.22c	aByutsahe saMprati na uparodDum RaG_5.22c
   amadayat sahakāralatā manaḥ Ragh_9.29c	amadayat sahakAralatA manaH RaG_9.29c
   amadayan madghugandhasanāthayā Ragh_9.42a	amadayan madGu ganDa sanATayA RaG_9.42a
   amanyataikam ātmānam Ragh_17.4c	amanyata ekam AtmAnam RaG_17.4c
   amartyabhāve 'pi kayościd āsīd Ragh_7.53c	amartya BAve api kayoScid AsIt RaG_7.53c
   amarṣaṇaḥ śoṇitakāṅkṣayā kiṃ Ragh_14.41c	amarzaNaH SoNita kAFkzayA kim RaG_14.41c
   amaṃsta kaṇṭhārpitabāhupāśāṃ Ragh_6.84c	amaMsta kaNWa arpita bAhu pASAm RaG_6.84c
   amātyaputraiḥ savayobhir anvitaḥ Ragh_3.28b	amAtya putrEH sa vayoBiH anvitaH RaG_3.28b
   amātyavargaḥ kulatantum ekam Ragh_18.36b	amAtya vargaH kula tantum ekam RaG_18.36b
   amī janasthānam apoḍhavighnaṃ Ragh_13.22a	amI janasTAnam apoXa viGnam RaG_13.22a
   amī jalāpūritasūtramārgā Ragh_16.65c	amI jala ApUrita sUtra mArgAH RaG_16.65c
   amī śirīṣaprasavāvataṃsāḥ Ragh_16.61a	amI SirIza prasava avataMsAH RaG_16.61a
   amī śirobhis timayaḥ sarandhrair Ragh_13.10c	amI SiroBiH timayaH sa ranDrEH RaG_13.10c
   amī samādhyāsitavedimadhyāḥ Ragh_13.52b	amI samADyAsita vedi maDyAH RaG_13.52b
   amunā kusumāśruvarṣiṇā Ragh_8.63c	amunA kusuma aSru varziNA RaG_8.63c
   amuṃ turaṃgaṃ pratimoktum arhasi Ragh_3.46b	amum turaMgam pratimoktum arhasi RaG_3.46b
   amuṃ puraḥ paśyasi devadāruṃ Ragh_2.36a	amum puras paSyasi devadArum RaG_2.36a
   amuṃ yugāntocitayogandiraḥ Ragh_13.6c	amum yuga anta ucita yogandiraH RaG_13.6c
   amuṃ sahāsaprahitekṣaṇāni Ragh_13.42a	amum sahAsa prahita IkzaNAni RaG_13.42a
   amūni pampāsalilāni dṛṣṭiḥ Ragh_13.30d	amUni pampA salilAni dRzwiH Rau _13.30d
   amūr vimānāntaralambinīnāṃ Ragh_13.33a	amUH vimAna antara lambinInAm RaG_13.33a
   amṛtaṃ vā viṣam īśvarecchayā Ragh_8.46d	amRtam vA vizam ISvara icCayA Rau _8.46d
   amṛtākhyābhir ammayaḥ Ragh_10.59d	amRta AKyABiH ap mayaH Rau _10.59d
   ameyo mitalokas tvam Ragh_10.18a	ameyaH mita lokaH tvam RaG_10.18a
   amoghaṃ saṃdadhe cāsmai Ragh_12.97a	amoGam saMdaDe ca asmE RaG_12.97a
   amoghāḥ pratigṛhṇantāv Ragh_1.44c	amoGAH pratigRhNantO Rau _1.44c
   amocyam aśvaṃ yadi manyase prabho Ragh_3.65a	amocyam aSvam yadi manyase praBo RaG_3.65a
   ambugarbho hi jīmūtaś Ragh_17.60c	ambu garBaH hi jImUtaH RaG_17.60c
   ambhovihārākulito 'pi veṣaḥ Ragh_16.67d	amBaH vihAra AkulitaH api vezaH Rau _16.67d
   ayatnapaṭavāsatām Ragh_4.55d	ayatna pawa vAsa tAm RaG_4.55d
   ayatnavālagvyajanībabhūvur Ragh_16.33c	ayatna vAlagvyajanI baBUvuH RaG_16.33c
   ayam api ca giraṃ nas tvatprabodhaprayuktām Ragh_5.74c	ayam api ca giram naH tvad praboDa prayuktAm RaG_5.74c
   ayaskānta ivāyasam Ragh_17.63d	ayaskAntaH iva Ayasam Rau _17.63d
   ayaṃ sujāto 'nugiraṃ tamālaḥ Ragh_13.49a	ayam sujAtaH anugiram tamAlaH RaG_13.49a
   ayaḥśaṅkucitāṃ rakṣaḥ Ragh_12.95a	ayaH SaFku citAm rakzaH RaG_12.95a
   ayoghanenāya ivābhitaptaṃ Ragh_14.33c	ayaH Ganena ayaH iva aBitaptam RaG_14.33c
   ayodhyādevatāś cainaṃ Ragh_17.36a	ayoDyA devatAH ca enam RaG_17.36a
   ayodhyā sṛṣṭalokeva Ragh_15.60c	ayoDyA sRzwa lokA iva RaG_15.60c
   aramata madhurāṇi tatra śṛṇvan Ragh_9.71c	aramata maDurANi tatra SRNvan RaG_9.71c
   arātiṃ bahv amanyata Ragh_12.89d	arAtim bahu amanyate RaG_12.89d
   arāvaṇam arāmaṃ vā Ragh_12.83c	arAvaNam arAmam vE RaG_12.83c
   ariṣṭaśayyāṃ parito visāriṇā Ragh_3.15a	arizwa SayyAm paritas visAriNA RaG_3.15a
   arīṇāṃ tasya durlabhaḥ Ragh_17.70b	arINAm tasya durlaBaH RaG_17.70b
   aruṇarāganiṣedhibhir aṃśukaiḥ Ragh_9.43a	aruNa rAga nizeDiBiH aMSukEH RaG_9.43a
   aruṃtudam ivālānam Ragh_1.71c	aruMtudam iva AlAnam RaG_1.71c
   arghyam arghyam iti vādinaṃ nṛpaṃ Ragh_11.69a	arGyam arGyam iti vAdinam nRpam RaG_11.69a
   arghyānupadam āśiṣaḥ Ragh_1.44d	arGya anupadam ASizaH Rau _1.44d
   arcitā tasya kausalyā Ragh_10.56a	arcitA tasya kOsalyA RaG_10.56a
   arcitām ā tapovanāt Ragh_1.91b	arcitAm A tapaH vanAt RaG_1.91b
   arthakāmasahitaṃ saparyayā Ragh_11.35c	arTa kAma sahitam sa paryayAH Rau _11.35c
   artham arthavidāṃ varaḥ Ragh_17.3b	arTam arTa vidAm varaH RaG_17.3b
   arthipratyarthināṃ svayam Ragh_17.39b	arTi pratyarTinAm svayam RaG_17.39b
   arthyām arthapatir vācam Ragh_1.59c	arTyAm arTapatiH vAcam RaG_1.59c
   ardhacandramukhair bāṇaiś Ragh_12.96c	arDacandra muKEH bANEH RaG_12.96c
   ardhācitā satvaram utthitāyāḥ Ragh_7.10a	arDa AcitA sa tvaram utTitAyAH RaG_7.10a
   ardhāsanaṃ gotrabhido 'dhitaṣṭhau Ragh_6.73d	arDAsanam gotra BidaH aDi tazWO Rau _6.73d
   arpitaprakṛtikāntibhir mukhaiḥ Ragh_19.10d	arpita prakRti kAntiBiH muKEH RaG_19.10d
   arpitastimitadīpadṛṣṭayo Ragh_19.42a	arpita stimita dIpa dRzwayaH RaG_19.42a
   arhaṇām arhate cakrur Ragh_1.55c	arhaNAm arhate cakruH RaG_1.55c
   alakābharaṇaṃ kathaṃ nu tat Ragh_8.62c	alaka ABaraNam kaTam nu tat RaG_8.62c
   alakeṣu camūreṇuś Ragh_4.54c	alakezu camU reNuH RaG_4.54c
   alakṣitābhyutpatano nṛpeṇa Ragh_2.27c	alakzita aByutpatanaH nRpeNa RaG_2.27c
   alakṣyata sa bandibhiḥ Ragh_17.15b	alakzyata sa bandiBiH RaG_17.15b
   alam uddyotayām āsur Ragh_10.81c	alam uddyotayAm AsuH RaG_10.81c
   alaṃ prayatnena tavātra mā nidhāḥ Ragh_3.50c	alam prayatnena tava atra mA niDAH RaG_3.50c
   alaṃ mahīpāla tava śrameṇa Ragh_2.34a	alam mahIpAla tava SrameNa RaG_2.34a
   alaṃ syātāṃ na śṛṇvatām Ragh_15.64d	alam syAtAm na SRNvatAm RaG_15.64d
   alaṃ hriyā māṃ prati yan muhūrtaṃ Ragh_5.58a	alam hriyA mAm prati yat muhUrtam RaG_5.58a
   alikadambakayogam upeyuṣī Ragh_9.44b	alika dambaka yogam upeyuzI RaG_9.44b
   alibhir añjanabindumaoharaiḥ Ragh_9.41a	aliBiH aQjana bindu maoharEH RaG_9.41a
   alpapramāṇe 'pi yathā na mithyā Ragh_18.42b	alpa pramANe api yaTA na miTyA RaG_18.42b
   alpasya hetor bahu hātum icchan Ragh_2.47c	alpasya hetoH bahu hAtum icCan RaG_2.47c
   alpetaratvāc chrutaniṣkrayasya Ragh_5.22d	alpa itara tvAt Sruta nizkrayasya RaG_5.22d
   avakāśaṃ kilodanvān Ragh_4.58a	avakASam kila udanvAn RaG_4.58a
   avagacchati mūḍhacetanaḥ Ragh_8.88a	avagacCati mUXa cetanaH RaG_8.88a
   avagacchati mūḍhacetanaḥ Ragh_8.89a	avagacCati mUXa cetanaH RaG_8.89a
   avagraha ivāntare Ragh_12.29d	avagrahaH iva antare Rau _12.29d
   avagrahaviśoṣiṇām Ragh_1.62d	avagraha viSoziNAm Rau _1.62d
   avajānāsi māṃ yasmād Ragh_1.77a	avajAnAsi mAm yasmAt RaG_1.77a
   avatāra ivāṅgabhāk Ragh_10.85d	avatAraH iva aFga BAj Rau _10.85d
   avatāry' āṅkaśayyāsthaṃ Ragh_15.42c	avatArya AFka SayyA sTam RaG_15.42c
   avanim ekarathena varūthinā Ragh_9.11a	avanim eka raTena varUTinA RaG_9.11a
   avantinātho 'yam udagrabāhur Ragh_6.32a	avantinATaH ayam udagra bAhuH RaG_6.32a
   avandhyayatnāś ca babhūvur arbhake Ragh_3.29c	avanDya yatnAH ca baBUvuH arBake RaG_3.29c
   avabhṛtaprayato niyatendriyaḥ Ragh_9.18a	avaBRta prayataH niyata indriyaH RaG_9.18a
   avarodhe mahaty api Ragh_1.32b	avaroDe mahati api RaG_1.32b
   avasthās tvam avikriyaḥ Ragh_10.17d	avasTAH tvam avikriyaH Rau _10.17d
   avasthāṃ pratipadyase Ragh_10.19b	avasTAm pratipadyase RaG_10.19b
   avākiran bālalatāḥ prasūnair Ragh_2.10c	avAkiran bAla latAH prasUnEH RaG_2.10c
   avākiran vayovṛddhās Ragh_4.27a	avAkiran vayaH vRdDAH RaG_4.27a
   avāṅmanasagocaram Ragh_10.15d	avAFmanasa gocaram Rau _10.15d
   avāṅmukhasy'opari puṣpavṛṣṭiḥ Ragh_2.60c	avAFmuKasi aa upari puzpa vRzwiH RaG_2.60c
   avāptavān asmi mataṅgajatvam Ragh_5.53b	avAptavAn asmi mataFga ja tvam RaG_5.53b
   avāpya yaḥ kṣatriyakālarātrim Ragh_6.42b	avApya yaH kzatriya kAla rAtrim RaG_6.42b
   avāryatevotthitavīcihastair Ragh_14.51c	avAryatA iva utTita vIci hastEH RaG_14.51c
   avighnam astu te stheyāḥ Ragh_1.90c	aviGnam astu te sTeyAH Rau _1.90c
   avijñātaparasparaiḥ Ragh_17.51b	avijQAta parasparEH RaG_17.51b
   avidhāya vivāhasatkriyām Ragh_8.61c	aviDAya vivAha satkriyAm RaG_8.61c
   avekṣya dhātor gamanārtham arthavic Ragh_3.21c	avekzya DAtoH gamana arTam arTa vid RaG_3.21c
   avekṣya rāmaṃ te tasmin Ragh_15.3a	avekzya rAmam te tasmin RaG_15.3a
   avehi gandharvapates tanūjaṃ Ragh_5.53c	avehi ganDarva pateH tanUjam RaG_5.53c
   avehi māṃ kāmadughāṃ prasannām Ragh_2.63d	avehi mAm kAmaduGAm prasannAm RaG_2.63d
   avehi māṃ kiṃkaram aṣṭamūrteḥ Ragh_2.35c	avehi mAm kiMkaram azwamUrteH Rau _2.35c
   avehi māṃ prītam ṛte turaṃgamāt Ragh_3.63c	avehi mAm prItam Rte turaMgamAt RaG_3.63c
   avaimi kāryāntaramānuṣasya Ragh_16.82a	avEmi kArya antara mAnuzasya RaG_16.82a
   avaimi cainām anagheti kiṃ tu Ragh_14.40a	avEmi ca enAm anaGA iti kim tu RaG_14.40a
   avocad enaṃ gangaspṛśā raghuḥ Ragh_3.43c	avocat enam ganga spRSAH raGuH RaG_3.43c
   avyakto vyaktakāraṇam Ragh_10.18d	avyaktaH vyakta kAraNam RaG_10.18d
   avyākṣepo bhaviṣyantyāḥ Ragh_10.6c	avyAkzepaH BavizyantyAH RaG_10.6c
   avyāhataiḥ svairagataiḥ sa tasyāḥ Ragh_2.5c	avyAhatEH svEra gatEH sa tasyAH RaG_2.5c
   aśaniḥ kalpita eṣa vedhasā Ragh_8.47b	aSaniH kalpitaH eza veDasA RaG_8.47b
   aśapad bhava mānuṣīti tāṃ Ragh_8.80c	aSapat Bava mAnuzi iti tAm RaG_8.80c
   aśikṣatāstraṃ pitur eva mantravat Ragh_3.31b	aSikzata astram pituH eva mantravat RaG_3.31b
   aśūnyatīrāṃ munisaṃniveśais Ragh_14.76a	aSUnya tIrAm muni saMniveSEH RaG_14.76a
   aṣṭadāsadvīpanikhātayūpaḥ Ragh_6.38b	azwa dAsa dvIpa niKAta yUpaH RaG_6.38b
   aṣṭamaṃ kulabhūbhṛtām Ragh_17.78d	azwamam kula BUBRtAm Rau _17.78d
   asakṛd ekarathena tarasvinā Ragh_9.21a	asakRt eka raTena tarasvinA RaG_9.21a
   asaktaḥ sukham anvabhūt Ragh_1.21d	asaktaH suKam anvaBUt Rau _1.21d
   asaṅgam adriṣv api sāravattayā Ragh_3.63a	asaFgam adrizu api sAravat tayA RaG_3.63a
   asajjanena kākutsthaḥ Ragh_12.46a	asat janena kAkutsTaH RaG_12.46a
   asamaśokam aśokalatā 'karot Ragh_9.42*d	asamaSokam aSoka latA akarot Rau _9.42*d
   asamāptavidhir yato munis Ragh_8.76a	asamApta viDiH yatas muniH RaG_8.76a
   asamāpya vilāsamekhalāṃ Ragh_8.64c	asamApya vilAsa meKalAm RaG_8.64c
   asambhāsam abhāsayad īśvaraḥ Ragh_9.17d	asamBAsam aBAsayat ISvaraH Rau _9.17d
   asahyapīḍaṃ bhagavann Ragh_1.71a	asahya pIxam Bagavan RaG_1.71a
