   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   vanyadhānyabījadhānīnāṃ dhūmena dhūsarimāṇamādadhānaiḥ	vanya-DAnya-bIja-DAnInAm DUmena DUsarimANam-AdaDAnEH
   śuṣkaśākhāsaṃcayaracitagovāṭaveṣṭitavikaṭavaṭaiḥ,	Suzka-SAKA-saMcaya-racita-go-vAwa-vezwita-vikawa-vawEH,
   vyāpāditavatsarūpakaroṣāviṣṭagopālakalpitavyāgramantraiḥ,	vyApAdita-vat-sa-rUpaka-roza-Avizwa-gopAla-kalpitavyAgra-mantrEH,
   ayantritavanapālahaṭhahriyamāṇaparagrāmīṇakāṣṭhikakuṭhāraiḥ,	ayantrita-vana-pAla-haWa-hriyamANa-para-grAmINa-kAzWika-kuWArEH,
   gahanatarukhaṇḍanirmitacāmuṇḍāmaṇḍapairvanapradeśaiḥ,	gahana-taru-KaNxa-nirmitacAmuNxAmaNxapEH-vana-pradeSEH,
   prakāsyamānamaṭavīprāyaprāntatayā kuṭumbabharaṇākulaiḥ	prakAsyamAnam-awavI-prAya-prAnta-tayA kuwumba-BaraNa-AkulEH
   kuddālaprāyakṛṣibhiḥ kṛṣīvalairabalavadbhiruccabhāgabāṣitena	kuddAla-prAya-kRziBiH kRzI-valEH-abalavadBiH-ucca-BAga-bAzitena
   bhajyamānabhūriśālikhalakṣetrakhaṇḍalakamalpāvakāśaiśca kāpitaiḥ,	BajyamAna-BUriSAli-Kala-kzetra-KaNxalakam-alpa-avakASEH-ca kApitEH,
   kālāyasairiva kṛṣṇamṛttikākaṭhinaiḥ,	kAlAyasEH-iva kRzNamRttikA-kaWinEH,
   sthānasthānaskathāpitasthāṇūtthitasthūlapallavaiḥ	sTAna-sTAna-skaTA-pita-sTANu-utTita-sTUla-pallavEH
   durupagamaśyāmākaprarūḍhibhiralambusabahulaiḥ,	durupagama-SyAmAka-prarUXiBiH-alambu-sa-bahulEH,
   avirahitakokilākṣakṣupairviralaviralaiḥ kedāraiḥ,	avirahita-kokilAkza-kzupEH-virala-viralEH kedArEH,
   kṛcchrātkṛṣyamāṇairnātiprabhūtapravṛttagatāgatāprahatabhuvamupakṣetramuparacitairuccairmañcaiśca	kRcCrAt-kRzyamANEH-na-ati-praBUta-pravRtta-gata-AgatA-prahata-Buvam-upakzetram-uparacitEH-uccEs-maQcEH-ca
   sūcyamānaśvāpadopadravaṃ, diśi diśi ca pratimārgadrumakṛtānāṃ	sUcyamAna-SvApada-upadravan, diSi diSi ca pratimArga-druma-kRtAnAm
   pathikapādaprasphoṭanadhūlidhūsarairnavapallavairlāñjhitacchāyānām,	paTika-pAda-prasPowana-DUli-DUsarEH-nava-pallavEH-lAQJita=-CAyAnAm,
   aṭavīsulabhasālakusumastabakāñcitanavakhātakūpikopakaṇṭhapratiṣṭhitanāśasphuṭānāmacchidrakaṭakalpitakuṭīrakāṇām,	awavI-sulaBa-sAla-kusuma-staba-ka-AQcita-nava-KAta-kUpikA-upakaNWa-pratizWita-nASa-sPuwAnAm-acCidra-kawa-kalpita-kuwIrakANAm-,
   kuṭilakīṭaveṇīveṣṭyamānasaktuśāraśarāvaśreṇīśritānām,	kuwila-kIwa-veNI-vezwyamAna-saktu-SAra-Sara-ava-SreNI-SritAnAm-,
   adhvagajanajagdhajambūphalāsthiśabalasamīpabhuvām,	aDva-gajana-jagDa-jambU-Pala-asTi-Sabala-samIpa-BuvAm,
   uddhūlitadhūlīkadambastabakaprakarapulakinīnām,	udDUlita-DUlI-kadamba-stabaka-prakara-pulakinInAm,
   kaṇṭakitakarkarīcakrākrāntakāṣṭhamañcikāmuṣitatṛṣām,	kaNwakita-karkarI-cakra-AkrAnta-kAzWa-maQcikA-muzita-tRzAm,
   timyattalaśītalasikatilakalaśīśamitaśramāṇām,	timyat-tala-SIta-lasika-tila-kalaSI-Samita-SramANAm-,
   āśyānaśaivalaśyāmalitāliñjarajāyamānajalajaḍimnām,	ASyAna-SEvala-SyAmalita-AliQjara-jAyamAna-jala-jaximnAm,
   udakumbhākṛṣṭapāṭalaśarkarāśakalaśiśirīkṛtadiśām,	uda-kumBa-AkRzwa-pAwala-SarkarA-Sakala-SiSirIkRta-diSAm,
   ghaṭamukhaghaṭitakaṭahārapāṭalapuṣpapuṭānām,	Gawa-muKa-Gawita-kawa-hAra-pAwala-puzpa-puwAnAm-,
   śīkarapulakitapallavapūlīpālyamānaśoṣyasarasaśiśusahakāraphalajūṭījaṭilasthāṇūnām,	SIkara-pulakita-pallava-pUlI-pAlyamAna-Sozya-sarasa-SiSu-sahakAra-Pala-jUwI-jawila-sTANUnAm,
   viśrāmyatkārpaṭikapeṭakaparipāṭīpīyamānapayasāmaṭavīpraveśaprapāṇāṃ	viSrAmyat-kArpawika-pewaka-paripAwI-pIyamAna-payasAm-awavI-praveSa-prapANAm
   śaityena tyājayantamiva graiṣmamūṣmaṇāṃ vkacidanyatra	SEtyena tyAjayantam-iva grEzmam-UzmaNAm vkacid-anyatra
   grāhayantamivāṅgārīyadārusaṃgrahadāhibhiḥ vyokāraiḥ, sarvataśca	grAhayantam-iva-aFgArIya-dAru-saMgraha-dAhiBiH vyokArEH, sarvatas-ca
   prātiveśyaviṣayavāsinā	prAtiveSya-vizaya-vAsinA
   samāsannagrāmagṛhasthagṛhasthāpitasthaviraparipālyamānapātheyasthagitena	samAsanna-grAma-gRhasTa-gRha-sTApita-sTavira-paripAlyamAna-pATeya-sTagitena
   kṛtadāruṇadāruvyāyāmayogyāṅgābyaṅgena	kRta-dAruNa-dAru-vyAyAma-yogya-aFga-abyaFgena
   skandhādyāsitakaṭhorakuṭhārakaṇṭhalambamānaprātarāśapuṭena	skanDa-AdyAsita-kaWora-kuWAra-kaNWa-lambamAna-prAtarASa-puwena
   pāṭaccarapratyavāyapratipannapaṭaccareṇa	pAwaccara-pratyavAya-pratipanna-pawaccareNa
   kālavetrakatriguṇavratativalayapāśagrathitagrīvāgrathitaiḥ	kAla-vetraka-triguNa-vrata-ti-valaya-pASa-graTita-grIvA-graTitEH
   patravīṭāvṛtamukhaiḥ, boṭakūṭairūḍhavāriṇā	patra-vIwa-AvRta-muKEH, bowakUwa-erUXa-vAriNA
   puraḥsarabaladbalīvardayugasareṇa naikaṭikakuṭumbikalokena	puraHsara-balat-balIvarda-yuga-sareNa nEkawika-kuwumbika-lokena
   kāṣṭhasaṃgrahārthamaṭavīṃ praviśatā	kAzWa-saMgraha-arTam-awavIm praviSatA
   svāpadavyadhanavyavadhānabahalīsamāropitakuṭīkṛtakūṭapāśaiśca	svApadavyaDana-vyavaDAna-bahalI-samAropita-kuwIkRta-kUwa-pASEH-ca
   gṛhītamṛgatantutantrījālavalayavāguraiḥ,	gRhIta-mRga-tantu-tantrI-jAla-valaya-vAgurEH,
   bahirvyādairvicaradbhiraṃsāvasaktavītaṃsavyālambamānabālapāśikaiśca	bahis-vyAdEH-vicaradBiH-aMsa-avasakta-vItaMsa-vyAlambamAna-bAla-pASikEH-ca
   saṃgṛhītagrāhakakrakarakapiñjalādipañjarakaiḥ śākunikaiḥ,	saMgRhIta-grAha-ka-kra-kara-kapiQjala-Adi-paQjarakEH SAkunikEH,
   saṃcaradbhiścyutalāsakaleśalipralatāvadhūlaṭvālampaṭānāṃ capeṭakaiḥ,	saMcaradBiH-cyuta-lAsa-ka-leSali-pralatA-vaDU-lawvA-lampawAnAm capewakEH,
   pāśakaśiśūnāmaṭadbhiḥ	pASaka-SiSUnAm-awadBiH
   tṛṇastambāntaritatittiritaralāyamānakauleyakakulacāṭukāraiścaladviṃhagamṛgayāṃ	tRNa-stamba-antarita-tittiri-taralAyamAna-kOleyaka-kula-cAwu-kArEH-calat-viMha-ga-mRgayAm
   mṛgayuyuvabhiḥ krīḍadbhiḥ, puriṇatacakravākakaṇṭhakaṣāyarucāṃ śīdhavyānāṃ	mRgayu-yuvaBiH krIxadBiH, puriNata-cakravAka-kaNWa-kazAya-rucAm SIDavyAnAm
   valkalānāṃ kalāpān, nāticiroddhṛtānāṃ ca dhātutviṣāṃ dhātakīkusumānāṃ	valkalAnAm kalApAn, na-ati-cira-udDRtAnAm ca DAtu-tvizAm DAtakI-kusumAnAm
   goṇīragaṇitāḥ picavyānāṃ cātasīgaṇapaṭṭamūlakānāṃ puṣkalānsaṃbārān,	goNIra-gaNitAH picavyAnAm ca-atasI-gaNa-pawwamUlakAnAm puzkalAn-saMbArAn-,
   bhārāṃśca madhuno mākṣikasya mayūrāṅgajasyākliṣṭamadhūcchiṣṭacakramālānāṃ	BArAn=-ca maDunaH mAkzikasya mayUra-aFga-jasya-aklizwa-maDUcCizwa-cakra-mAlAnAm
   lambamānalāmajjakamuñjajūṭajaṭānāmapatvacāṃ khadirakāṣṭhānāṃ kuṣṭhasya	lambamAnalA-majjakamuQja-jUwa-jawAnAm-apatvacAm Kadira-kAzWAnAm kuzWasya
   kaṭhorakesarisaṭābhārababhruṇaśca rodhrasya bhūyaso bhārakān, lokenādāya	kaWora-kesari-sawA-BAra-baBruNaH-ca roDrasya BUyasaH BArakAn, lokena-AdAya
   vrajatā	vrajatA
   pravicitavividhavanaphalapūritapiṭakamastakābhiścābhyarṇagrāmagatvarībhistvaramāṇābhirvikrayacintāvyagrābhirgrāmeyakābhirvyāptadigantaramitastataśca	pravicita-viviDa-vana-Pala-pUrita-piwaka-mastakABiH-ca-aByarNa-grAma-ga-tvarIBiH-tvaramANABiH-vikraya-cintA-vyagrABiH-grAmeyakABiH-vyApta-diS-antar
   yuktaśūraśakuraśāvkarāṇāṃ purāṇapāṃsūtkirakarīṣakūṭavāhinīnāṃ	yukta-SUra-SakuraSAvkarANAm purANa-pAMsu-utkira-karIza-kUwa-vAhinInAm
   dhūrgatadhūlidhūsarasairibhasaroṣasvarasāryamāṇānāṃ	DUrgata-DUli-DUsara-sEriBasa-roza-svara-sAryamANAnAm
   saṃkrīḍaccaṭulacakracītkāriṇīnāṃ śakaṭaśreṇīnāṃ saṃpātaiḥ,	saMkrIxat-cawula-cakra-cIt-kAriNInAm Sakawa-SreNInAm saMpAtEH,
   saṃpādyamānadurbalorvīvirūkṣakṣetrasaṃskāramārakṣakṣiptadāntavāhakadaṇḍoḍḍīyamānahariṇahelālaṅghitatuṅgavaiṇavavṛtibhiśca	saMpAdyamAna-durbala-urvI-virUkza-kzetra-saMskAram-Arakza-kzipta-dAnta-vAha-kadaNxa-uxxIyamAna-hariNa-helA-alaFGita-tuFga-vENava-vRtiBiH-ca
   nikātagaurakaraṅkaśaṅkhuśaṅkitaśaśakaśakalitatuṅgaśuṅgaiḥ,	nikAta-gOra-karaFka-SaFKu-SaFkita-SaSaka-Sakalita-tuFga-SuFgEH,
   prayatnaprabhṛtaviśaṅkaṭavicapairvācairaikṣavaiḥ,	prayatna-praBRta-viSaFkawa-vicapEH-vAcEH-EkzavEH,
   kārmukakarmaṇyavaṃśaviṭapasaṃkaṭaiḥ, kaṇṭakitakarañjarājiduṣpraveśyaiḥ,	kArmuka-karmaNi-a-vaMSa-viwapa-saMkawEH, kaNwakita-karaQja-rAji-duzpraveSyEH,
   urubūkavacāvaṅgakasurasasūraṇaśigrugranthiparṇagavedhukāgarmudgulmagahanagṛhavāṭikaiḥ,	urubUka-vacA-vaFgaka-surasa-sUraNa-Sigru-granTi-parNa-gaveDukA-garmut-gulma-gahana-gRha-vAwikEH,
   nikhātoccakāṣṭhāropitakāṣṭhālukalatāpratānavihitacchāyaiḥ,	niKAta-ucca-kAzWA-Aropita-kAzWa-aluka-latA-pratAna-vihita=-CAyEH,
   parimaṇḍalabadarīmaṇḍapakatalanikhātakhādirakīlabaddhavatsarūpaiḥ,	parimaNxala-badarI-maNxapaka-tala-niKAta-KAdira-kIla-badDa-vat-sarUpEH,
   kathamapi	kaTam-api
   kukkuṭaraṭitānumīyamānasaṃniveśairahganāgastistambhatalaviracitapakṣi	kukkuwa-rawita-anumIyamAna-saMniveSEH-ahgana-agasti-stamBa-tala-viracita-pakzi
   pūpikāvāpikairvikīrṇabadarapāṭalapaṭalaiḥ,	pUpikA-vApikEH-vikIrNa-badara-pAwala-pawalEH,
   veṇupoṭadalanalakalitaśaramayavṛtivihitabhittibhiḥ,	veNu-powa-dala-nala-kalita-Sara-maya-vRti-vihita-BittiBiH,
   kiṃśukagorocanāracitamaṇḍalamaṇḍapabalvajabaddhāṅgārarāśibhiḥ,	kiMSuka-gorocanA-racita-maNxala-maNxapa-balvaja-badDa-aFgAra-rASiBiH,
   śālmalīphalatūlasaṃcayabahulaiḥ,	SAlmalI-Pala-tUla-saMcaya-bahulEH,
   saṃnihitanalaśāliśālūkakhaṇḍakumudabījaveṇutaṇḍulaiḥ,	saMnihita-nala-SAli-SAlUka-KaNxa-kumuda-bIja-veNu-taNxulEH,
   saṃgṛhītatamālabījaiḥ,	saMgRhIta-tamAla-bIjEH,
   bhasmamalinamlānakāśmaryakūṭvayādhṛtakaṭairāśyānarājādanamadanaphalasphītairmadhūkāsavamadyaprāyaiḥ,	Basma-malina-mlAna-kASmarya-kUwvayA-DRta-kawEH-ASyAna-rAjAdana-madana-Pala-sPItEH-maDUka-Asava-madya-prAyEH,
   kusumbhakumbhagaṇḍakusūlairavirahitarājamāṣatrapuṣakarkaṭikākūṣmāṃṇḍālābubījaiḥ,	kusumBa-kumBa-gaNxa-kusUlEH-avirahita-rAjamAzatra-puza-karkawikA-kUzmAMNxa-alAbu-bIjEH,
   poṣyamāṇavanabiḍālamāludhānanakulaśālijātajātakādibhiraṭavīkuṭumbināṃ	pozyamANa-vana-bixAla-mAlu-DAna-nakula-SAli-jAta-jAtaka-AdiBiH-awavI-kuwumbinAm
   gṛhairupetaṃ vanagrāmakaṃ dadarśa /	gRhEH-upetam vana-grAmakam dadarSa /
   tatraiva ca taṃ divasamatyavāhayaditi /	tatra-eva ca tam divasam-atyavAhayat-iti /
   iti śrīmahākavibāṇabhaṭṭakṛtau harṣacarite chatralabdhirnāma saptama	iti SrI-mahAkavi-bANa-Bawwa-kRtO harza-carite CatralabDiH-nAma saptama
   ucchvāsa	ucCvAsa
