   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   tenāpi te dravyādidānena sānukūlāḥ kṛtāḥ /	tena-api te dravya-Adi-dAnena sa-anukUlAH kRtAH /
   taṃ dhanadāyakaṃ gṛhe dṛṣṭvā jano vadati-"svāminvimalo gṛhe vidyate /	tam Dana-dAyakam gRhe dRzwvA janaH vadati-"svAmin-vimalaH gRhe vidyate /
   ayaṃ ca dhūrtarāṭ dvārasthaḥ' /	ayam ca DUrta-rAj dvAra-sTaH-a /
   tato nṛpeṇa dvāvapyekatra kṛtau /	tatas nRpeNa dvO=-api-ekatra kRtO /
   tato dvayormadhyānna ko 'pi dhūrtetarayorvyaktiṃ jānāti /	tatas dvayoH-maDyAt-na kaH api DUrta-itarayoH-vyaktim jAnAti /
   jātaḥ kolāhalo 'khilalokavyavahāranāśakaro rājñaścapavādaḥ /	jAtaH kolAhalaH aKila-loka-vyavahAra-nASa-karaH rAjQaH-capavAdaH /
   yato rājñāṃ duṣṭanigrahaḥ śiṣṭapālanaṃ ca svargāya /	yatas rAjQAm duzwa-nigrahaH Sizwa-pAlanam ca svargAya /
   uktañca-	uktaQca-
   prajāpīḍanasantāpātsamudbhūto hutāśanaḥ /	prajA-pIxana-santApAt-samudBUtaH hutASanaH /
   rājñaḥ kulaṃ śriyaṃ prāṇānnādagdhvā vinivartate // Suk_3.2 (=21) //	rAjQaH kulam Sriyam prANAn-nAt-agDvA vinivartate // Suc-_3.2 (=21) //
   tato rājā ekānte tayornirṇayamacintayat /	tatas rAjA ekAnte tayoH-nirNayam-acintayat /
   tatkathaya kathaṃ niścayaḥ syāditi praśnaḥ /	tat-kaTaya kaTam niScayaH syAt-iti praSnaH /
   śukaḥ-sa rājā labdhopāyastadvimalabhāryādvayaṃ pṛthakpṛthaksaṃsthāpya	SukaH-sa rAjA labDa-upAyaH-tad-vimala-BAryA-dvayam pRTak-pRTak-saMsTApya
   pṛṣṭavān-"kiṃ yuvayoḥ pāṇigrahaṇe bhartrā vibhūṣaṇaṃ pradattaṃ dhanaṃ ca /	pRzwavAn--"kim yuvayoH pANigrahaNe BartrA viBUzaNam pradattam Danam ca /
   paścātkiṃ jalpitaṃ prathamasaṅgena ca kā vārttā bhartrā sahābhūt /	paScAt-kim jalpitam praTama-saFgena ca kA vArttA BartrA saha-aBUt /
   kā mātā kaśca pitā /	kA mAtA kaH-ca pitA /
   kiṃ kulam /	kim kulam /
   kā jātiḥ' /	kA jAtiH-a /
   ityevaṃ pṛṣṭābhyāṃ yathālabdhaṃ yathāvṛttaṃ yathāproktaṃ yathāsuptaṃ	iti-evam pRzwAByAm yaTAlabDam yaTAvRttam yaTA-proktam yaTA-suptam
   sarvaṃ tābhyāṃ kathitam /	sarvam tAByAm kaTitam /
   paścātu tau puruṣau pṛṣṭau parasparaṃ visaṃvadantau /	paScAtu tO puruzO pRzwO parasparam visaMvadantO /
   tato bhāryādvayasya rukmiṇīsundarīnāmadheyasya yaḥ saṃvādaṃ vadati sa	tatas BAryA-dvayasya rukmiNI-sundarI-nAmaDeyasya yaH saMvAdam vadati sa
   satyaḥ /	satyaH /
   itarastu dhūrto rājñā nirvāsitaḥ /	itaraH-tu DUrtaH rAjQA nirvAsitaH /
   satyastu rājñā sabhāryaḥ saskṛtaḥ svagṛhaṃ gataḥ /	satyaH-tu rAjQA sa-BAryaH saskRtaH sva-gRham gataH /
   iti mahārājabuddhiḥ /	iti mahA-rAja-budDiH /
   iti kathāṃ śrutvā prabhāvatī suptā //	iti kaTAm SrutvA praBAvatI suptA //
   iti śukasaptatau tṛtīyā kathā //	iti Suka-saptatO tRtIyA kaTA //
   START Suk 4 :	START Suc 4 :
   athānyadā prabhāvatī śukaṃ pṛcchati /	aTa-anyadA praBAvatI Sukam pRcCati /
   śukaḥ-"māṃ kṛtāvajñaṃ kṛtvā mā gaccha /	SukaH-"mAm kRta-avajQam kRtvA mA gacCa /
   yato bālakādapi hitaṃ vākyaṃ grāhyam /	yatas bAlakAt-api hitam vAkyam grAhyam /
   kṛtāvajñaḥ purā devi vṛddhavākyaparāṅmukhaḥ /	kRta-avajQaH purA devi vRdDa-vAkya-parAFmuKaH /
   patito brāhmaṇo 'narthe viṣakanyāvivāhane // Suk_4.1 (=22) //	patitaH brAhmaNaH anarTe viza-kanyA-vivAhane // Suc-_4.1 (=22) //
   prabhāvatī pṛcchati-"kathametat" /	praBAvatI pRcCati--"kaTam-etat" /
   śukaḥ-asti somaprabhaṃ nāma dvijasthānam /	SukaH-asti somapraBam nAma dvija-sTAnam /
   tatra vidvāndhārmikaḥ somaśarmā nāma vipraḥ /	tatra vidvAn-DArmikaH somaSarmA nAma vipraH /
   tatputrī rūpaudāryaguṇopetā viṣakanyeti vijñātābhūt /	tad-putrI rUpa-OdArya-guNa-upetA vizakanyA-iti vijQAtA-aBUt /
   tena tāṃ bhayena ko 'pi na vivāhayati /	tena tAm Bayena kaH api na vivAhayati /
   tataḥ somaśarmā varārthaṃ bhuvaṃ paryaṭan samprāpto dvijasthānaṃ	tatas somaSarmA vara-arTam Buvam paryawan samprAptaH dvija-sTAnam
   janasthāna nāma /	janasTAna nAma /
   tatra govindanāmā brāhmaṇo jaḍo nirdhanaśca /	tatra govinda-nAmA brAhmaNaH jaxaH nirDanaH-ca /
   tasmai kanyā pradattā /	tasmE kanyA pradattA /
   tena suhṛdāṃ nivārayatāmapi kṛtāvajñenoḍhā sarvarūpalāvaṇyaguṇopetā mohinī	tena suhRdAm nivArayatAm-api kRta-avajQena-UXA sarva-rUpa-lAvaNya-guNa-upetA mohinI
   viṣakanyā /	viza-kanyA /
   sā vidagdhā govindastu mūrkhaḥ laghuvayāśca /	sA vidagDAH govindaH-tu mUrKaH laGu-vayAH-ca /
   tataśca sā ātmano rūpalāvaṇyayauvanaṃ śuśoca /	tatas-ca sA AtmanaH rUpa-lAvaNya-yOvanam SuSoca /
   avidagdhaḥ patiḥ strīṇāṃ, prauḍhānāṃ nāyako 'guṇī /	avidagDaH patiH strINAn, prOXAnAm nAyakaH aguNI /
   guṇināṃ tyāgināṃ stoko vibhavaśceti duḥkhakṛt // Suk_4.2 (=23) //	guNinAm tyAginAm stokaH viBavaH-ca-iti duHKa-kRt // Suc-_4.2 (=23) //
   pāusasamaapavāso jovvaṇadiahe tahā a dāliddaṃ /	pAusa-samaapavAsaH jovvaNa-diahe tahA a dAliddam /
   paḍhamasiṇehavioo tiṇi vi garuāidukkhāiṃ // Suk_4.3 (=24) //	paXamasiNA-iha-vioaH tiNi vi garuAi-dukKAim // Suc-_4.3 (=24) //
   [pravṛṭsamayapravāso yauvanadivase tathā ca dāridryam /	[pravRz-samaya-pravAsaH yOvana-divase taTA ca dAridryam /
   prathamasnehaviyogastrīṇyapi gurukāṇi duḥkhāni] // Suk_4.24* (=24*) //	praTama-sneha-viyogaH-trINi-api gurukANi duHKAni] // Suc-_4.24* (=24*) //
   appatthāve paḍhiaṃ kaṇṭhavihūṇaṃ ca gāiaṃ gīaṃ /	appatTAve paXiam kaNWa-vihUNam ca gAiam gIam /
   mā mā bhaṇanti suraaṃ tiṇi vi garuāi dukkhāiṃ // Suk_4.4 (=25) //	mA mA BaNanti suraam tiNi vi garuAi dukKAim // Suc-_4.4 (=25) //
   [aprastāve paṭhitaṃ kaṇṭhavihīnaṃ ca gāyanaṃ gītam /	[a-prastAve paWitam kaNWa-vihInam ca gAyanam gItam /
   mā mā bhaṇantyāṃ surataṃ trīṇyapi gurukāṇi duḥkhāni] // Suk_4.4* (=25*) //	mA mA BaNantyAm suratam trINi-api gurukANi duHKAni] // Suc-_4.4* (=25*) //
   sānyadā govindaṃ patimityabravīt-"mama piturgehātsamāgatāyā bahūni dināni	sa-anyadA govindam patim-iti-abravIt-"mama pituH-gehAt-samAgatAyAH bahUni dinAni
   sañjātāni /	san-jAtAni /
   tato 'haṃ tvayaiva saha gamiṣye nānyathā' /	tatas aham tvayA-eva saha gamizye na-anyaTA-a /
   tataḥ śakaṭaṃ mārgayitvā sabhāryakaḥ sa calitaḥ /	tatas Sakawam mArgayitvA sa-BAryakaH sa calitaH /
   yāvatprayāti tāvatpathi eko yuvā vāggmī surūpaḥ śūraśca viṣṇunāmā brāhmaṇo	yAvat-prayAti tAvat-paTi ekaH yuvA vA-aggmI surUpaH SUraH-ca vizNu-nAmA brAhmaNaH-
   militaḥ /	militaH /
   tasya brāhmaṇasya tasyāścānyonmanurāgaḥ sañjātaḥ /	tasya brAhmaNasya tasyAH-ca-anyonmanu-rAgaH san-jAtaH /
   uktañca- prītiḥ syāddarśanādyaiḥ prathamamatha manaḥsaṅgasaṅkalpabhāvo,	uktaQca prItiH syAt-darSana-AdyEH praTamam-aTa manaH-saFga-saFkalpa-BAvaH-,
   nidrāchedastanutvaṃ vapuṣi kaluṣatā cendriyāṇāṃ nivṛttiḥ /	nidrA-CedaH-tanu-tvam vapuzi kaluza-tA ca-indriyANAm nivRttiH /
   hrīnāśonmādamūrcchāmaraṇamiti jagadyātyavasthā deśaitāḥ,	hrI-nASa-unmAda-mUrcCA-maraNam-iti jagat-yAti-avasTAH deSa-etAH,
   lagnairyatpuṣpabāṇaiḥ sa jayati madanaḥ sannirastānyadhanvī // Suk_4.5	lagnEH-yat-puzpa-bANEH sa jayati madanaH sat-nirasta-anya-DanvI // Suc-_4.5
   sa pathiko dampatyoḥ pūgapatroccayaṃ dadāti /	sa paTikaH dampatyoH pUga-patra-uccayam dadAti /
   ityevaṃ grāmyabrāhmaṇorohaviṣṇorviśvastaḥ ātmano nirodhasaṅgabhayāduttīrya	iti-evam grAmya-brAhmaNaH-roha-vizNoH-viSvastaH AtmanaH niroDa-saFga-BayAt-uttIrya
   ta gantrīvāhamārohayati /	te gantrIvAham-Arohayati /
   viṣṇunā ca patyau vṛkṣāntaragate sā mohino bhuktā ātmavaśīkṛtā /	vizNunA ca patyO vRkza-antara-gate sA mohinaH BuktA Atma-vaSIkRtA /
   tayā cātmīyaṃ nāma gotraṃ kulakramaṃ cājñāpitaḥ /	tayA ca-AtmIyam nAma gotram kula-kramam ca-AjQApitaH /
   patyuśca samāgatasya "tvaṃ coro 'sīti' gantryārohaṇaṃ kuvato niṣedhaḥ	patyuH-ca samAgatasya "tvam coraH asi-iti-a gantrI-ArohaNam kuvataH nizeDaH
   kṛtaḥ /	kRtaH /
   viṣṇurapi tāṃ kṛhītvā govindaṃ dharṣitavān /	vizNuH-api tAm kRhItvA govindam DarzitavAn /
   tatastayoḥ keśākeśi saṃvṛttam /	tatas-tayoH keSAkeSi saMvRttam /
   govindastu viṣṇunā viṣakanyāprabhāveṇa nirjitaḥ /	govindaH-tu vizNunA viza-kanyA-praBAveNa nirjitaH /
   tatastāṃ gṛhītvā viṣṇuḥ svagṛhaṃ praticalitaḥ /	tatas-tAm gRhItvA vizNuH sva-gRham praticalitaH /
   govindaḥ pṛṣṭhastho mārgāsanne grāme gatvā phūtkṛtavān-"yadanena caureṇa	govindaH pRzWa-sTaH mArga-Asanne grAme gatvA PUtkRtavAn--"yadanena cOreNa
   mama bhāryā gṛhītā /	mama BAryA gRhItA /
   trāyatāṃ tām /	trAyatAm tAm /
   mama śaraṇaṃ bho janāḥ' /	mama SaraNam Bo janAH-a /
   atha grāmādhipena viṣṇurmohinīyuto dhṛtaḥ /	aTa grAma-aDipena vizNuH-mohinI-yutaH DRtaH /
   pṛṣṭenottaraṃ dattaṃ viṣṇunā yatheyaṃ mayā pariṇītā /	pRzwena-uttaram dattam vizNunA yaTA-iyam mayA pariNItA /
   madīyāṃ ca bhāryāmeṣa pathiko mārge dṛṣṭvā grahilo babhūva /	madIyAm ca BAryAm-eza paTikaH mArge dRzwvA grahilaH baBUva /
   govindenāpi pṛṣṭena idamevottaritam /	govindena-api pRzwena idam-eva-uttaritam /
   tato mantrī tayorekamevottaraṃ śratvā jātyādikaṃ pṛṣṭavān /	tatas mantrI tayoH-ekam-eva-uttaram SratvA jAti-Adikam pRzwavAn /
   trayamapi tu saṃvadati tataḥ kathaṃ niścayaḥ" /	trayam-api tu saMvadati tatas kaTam niScayaH" /
   iti śukapraśnaḥ /	iti Suka-praSnaH /
   tatastayā pṛṣṭaḥ śuka āha-mantriṇoktam, "kiyanti dināni saṅgamasya	tatas-tayA pRzwaH SukaH Aha--mantriNA-uktam, "kiyanti dinAni saFgamasya
   yuṣmākaṃ prayāṇe" /	yuzmAkam prayANe" /
   tairuktam-"kalye bhojanāntaraṃ saṃvṛttaḥ samāgamaḥ' /	tEH-uktam--"kalye Bojana-antaram saMvRttaH samAgamaH-a /
   tato mantriṇā brāhmaṇau pṛthakpṛthakpṛṣṭau-"kimanayā kalye bhojanavelāyāṃ	tatas mantriNA brAhmaNO pRTak-pRTak-pRzwO-"kim-anayA kalye Bojana-velAyAm
   bhuktam' /	Buktam-a /
   yacca tayā bhuktaṃ tadgovindo jānāti itarastu na /	yat-ca tayA Buktam tat-govindaH jAnAti itaraH-tu na /
   tataḥ sa viḍambitaḥ sacivena /	tatas sa vixambitaH sacivena /
   gonindaḥ śikṣitaḥ /	gonindaH SikzitaH /
   dhigimāṃ brāhmaṇīṃ paratreha ca duḥkhadāṃ muñca śīghram /	Dik-imAm brAhmaNIm paratra-iha ca duHKa-dAm muQca SIGram /
   uktañca-	uktaQca-
   vaidyaṃ pānarataṃ naṭaṃ kupaṭhitaṃ mūrkhaṃ parivrājakaṃ yodhaṃ kāpuruṣaṃ	vEdyam pAna-ratam nawam ku-paWitam mUrKam parivrAjakam yoDam kApuruzam
   viṭaṃ vivayasaṃ svādhyāyahīnaṃ dvijam /	viwam vivayasam svADyAya-hInam dvijam /
   rājyaṃ bālanarendramantrirahitaṃ mitraṃ chalānveṣi ca bhāryāṃ	rAjyam bAla-narendra-mantri-rahitam mitram Cala-anvezi ca BAryAm
   yauvanagarvitāṃ pararatāṃ muñcanti ye paṇḍitāḥ // Suk_4.6 (=27) //	yOvana-garvitAm para-ratAm muQcanti ye paNxitAH // Suc-_4.6 (=27) //
   tathāpi kāminīlubdho dhikkṛtaḥ sādhubhistadā /	taTA-api kAminI-lubDaH DikkRtaH sADuBiH-tadA /
   tāmevādāya calitastatkṛte nihataḥ pathi // Suk_4.7 (=28) //	tAm-eva-AdAya calitaH-tad-kRte nihataH paTi // Suc-_4.7 (=28) //
   taddevi yaḥ karotyevamavajñāṃ vṛddhaśikṣitaḥ /	tat-devi yaH karoti-evam-avajQAm vRdDa-SikzitaH /
   sa parābhavamāpnoti govindo brāhmaṇo yathā // Suk_4.8 (=29) //	sa parABavam-Apnoti govindaH brAhmaNaH yaTA // Suc-_4.8 (=29) //
   iti kathāṃ śrutvā prabhāvatī suptā //	iti kaTAm SrutvA praBAvatI suptA //
   iti śukasaptatau caturtho kathā //	iti Suka-saptatO caturTaH kaTA //
   START Suk 5:	START Suc 5:
   punaranyadine sā gamanāya śukaṃ pṛcchati /	punar-anya-dine sA gamanAya Sukam pRcCati /
   śukaḥ-	SukaH-
   gaccha devi vijānāsi yadi kartuṃ tvamuttaram /	gacCa devi vijAnAsi yadi kartum tvam-uttaram /
   sabhāyāṃ nṛpateryadvadviṣame bālapaṇḍitā // Suk_5.1 (=30) //	saBAyAm nRpateH-yadvat-vizame bAla-paNxitAH // Suc-_5.1 (=30) //
   prabhāvatīpṛṣṭaḥ śukaḥ kathāṃ prāha-asti ujjayinī nāma nagarī /	praBAvatI-pRzwaH SukaH kaTAm prAha-asti ujjayinI nAma nagarI /
   tatra vikramādityo rājā /	tatra vikramAdityaH rAjA /
   tasya rājño kāmalīlā nāma uttamakule jātā /	tasya rAjQaH kAmalIlA nAma uttama-kule jAtAH /
   sā ca rājño 'tīva vallabhā /	sA ca rAjQaH atIva vallaBAH /
   ekadā nṛpastayā sārdhaṃ bhojanaṃ kurvanbhṛṣṭamatsyāṃstasyai dāpayāmāsa /	ekadA nRpaH-tayA sArDam Bojanam kurvan-BRzwa-matsyAn=-tasyE dApayAmAsa /
   sā āha-svāmin! nāhametānpuruṣānavalokayitumapi samarthā kiṃ punaḥ	sA Aha-svAmin! na-aham-etAn-puruzAn-avalokayitum-api samarTA kim punar-
   sparśanam /	sparSanam /
   iti śṛtvā matsyā aṭṭahāsena tathā jahasuryathā nāgarikaloke śrutam /	iti SRtvA matsyAH awwahAsena taTA jahasuH-yaTA nAgarika-loke Srutam /
   rājā ca tanmatsyahāsyakāraṇaṃ mantrijyotirvicchākunikakovidānpṛcachati /	rAjA ca tad-matsya-hAsya-kAraNam mantri-jyotiH-vid-SAkunika-kovidAn-pRcaCati /
   yadā na ko 'pi jānāti tadā sarvadvijāgresaraṃ purohitaṃ prāha-yathā	yadA na kaH api jAnAti tadA sarva-dvija-agresaram purohitam prAha-yaTA
   tvayaiva matsyahāsyakāraṇaṃ kathanīyamanyathātvaṃ deśānnirvāsaṃ prāpnoṣi /	tvayA-eva matsya-hAsya-kAraNam kaTanIyam-anyaTAtvam deSAt-nirvAsam prApnozi /
   purodhā apyetadvacaḥ śrutvā dinapañcakaṃ vyavadhāne yācayitvā saviṣādo	puroDAH api-etat-vacaH SrutvA dina-paQcakam vyavaDAne yAcayitvA sa-vizAdaH-
   gṛhamagamat /	gRham-agamat /
   sa purohitaḥ taduttaramajānanpurastādrājñā nirvāsyate /	sa purohitaH tad-uttaram-ajAnan-purastAt-rAjQA nirvAsyate /
   sa kathaṃ bhavatviti praśnaḥ /	sa kaTam Bavatu-iti praSnaH /
   uttaramapyāha śukaḥ-sa brāhmaṇo viṣādāpannaḥ putryā bālapaṇḍitayā babhāṣe,	uttaram-api-Aha SukaH-sa brAhmaNaH vizAda-ApannaH putryA bAla-paNxitayA baBAze,
   tāta! kathamudvignacitta iva lakṣyase /	tAta! kaTam-udvigna-cittaH iva lakzyase /
   kathaya viṣādasya kāraṇam /	kaTaya vizAdasya kAraNam /
   vidvadbhirvipadyapyuccaiḥ sthātavyam /	vidvadBiH-vipadi-api-uccEs sTAtavyam /
   uktañca-	uktaQca-
   sampadi yasya na harṣo vipadi viṣādo raṇe ca bhīrutvam /	sampadi yasya na harzaH vipadi vizAdaH raNe ca BIru-tvam /
   taṃ bhuvanatrayatilakaṃ jananī janayati sutaṃ viralam // Suk_5.2 (=31) //	tam Buvanatraya-tilakam jananI janayati sutam viralam // Suc-_5.2 (=31) //
   tato brāhmaṇo 'viralaṃ vṛttāntamācaṣṭe anena kāraṇena rājā māṃ	tatas brAhmaNaH aviralam vRttAntam-Acazwe anena kAraNena rAjA mAm
   nāgarānnirvāsayati /	nAgarAt-nirvAsayati /
   yataḥ-	yatas--
   na sauhṛdaṃ na viśvāso na sneho na ca bandhutā /	na sOhRdam na viSvAsaH na snehaH na ca banDu-tA /
   kenāpi saha saṃsāre kuto rājñā chalārthinā // Suk_5.3 (=32) //	kena-api saha saMsAre kutas rAjQA Cala-arTinA // Suc-_5.3 (=32) //
   uktañca-	uktaQca-
   kāke śaucaṃ dyūtakāre ca satyaṃ sarpe kṣāntiḥ strīṣu kāmopaśāntiḥ /	kAke SOcam dyUtakAre ca satyam sarpe kzAntiH strIzu kAma-upaSAntiH /
   klībe dhairyaṃ madyape tattvacintā rājā mitraṃ kena dṛṣṭaṃ śrutaṃ vā //	klIbe DEryam madyape tattva-cintA rAjA mitram kena dRzwam Srutam vA //
   Suk_5.4 (=33) //	Suc-_5.4 (=33) //
   kiñca- nadīnāṃ nakhināñcaiva śṛṅgiṇāṃ śastrapāṇinām /	kiQca nadInAm naKinAQcA-eva SRFgiNAm Sastra-pANinAm /
   viśvāso naiva kartavyaḥ śtrīṣu rājakuleṣu ca // Suk_5.5 (=34) //	viSvAsaH na-eva kartavyaH StrIzu rAja-kulezu ca // Suc-_5.5 (=34) //
   bhoginaḥ kañcukāsaktāḥ krūrāḥ kuṭilagaminaḥ /	BoginaH kaQcuka-AsaktAH krUrAH kuwila-gaminaH /
   duḥkhopasarpaṇīyāśca rājāno bhujagā iva // Suk_5.6 (=35) //	duHKa-upasarpaNIyAH-ca rAjAnaH BujagAH iva // Suc-_5.6 (=35) //
   hasannapi nṛpo hanti mānayannapi durjanaḥ /	hasan=-api nRpaH hanti mAnayan=-api durjanaH /
   spṛśannapi gajo hanti jighrannapi bhujaṅgamaḥ // Suk_5.7 (=36) //	spRSan=-api gajaH hanti jiGran=-api BujaFgamaH // Suc-_5.7 (=36) //
   eṣa rājā ā bālyātsevito 'pi mayi viparīto babhūva /	eza rAjA A bAlyAt-sevitaH api mayi viparItaH baBUva /
   tasmānmayā jīvitumicchatā dvijaiḥ saha paradeśaṃ gantavyam /	tasmAt-mayA jIvitum-icCatA dvijEH saha para-deSam gantavyam /
   uktañca-	uktaQca-
   tyajedekaṃ kulasyārthe grāmasyārthe kulaṃ tyajet /	tyajet-ekam kulasya-arTe grAmasya-arTe kulam tyajet /
   grāmaṃ janapadasyārthe ātmārthe pṛthivīṃ tyajet // Suk_5.8 (=37) //	grAmam janapadasya-arTe Atma-arTe pRTivIm tyajet // Suc-_5.8 (=37) //
   tataḥ sā bālikā tātavacanaṃ śrutvā prāha-tāta! tvayā yuktamuktam /	tatas sA bAlikA tAta-vacanam SrutvA prAha-tAta! tvayA yuktam-uktam /
   paraṃ svāmirahitānāṃ na kvāpi pūjā /	param svAmi-rahitAnAm na kvApi pUjA /
   yata uktam-	yatas uktam-
   apradhānaḥ pradhānaḥ syādyadi seveta pārthivam /	apraDAnaH praDAnaH syAt-yadi seveta pArTivam /
   pradhāno 'pyapradhānaḥ syādyadi sevāvivarjitaḥ // Suk_5.9 (=38) //	praDAnaH api-apraDAnaH syAt-yadi sevA-vivarjitaH // Suc-_5.9 (=38) //
   āsannameva nṛpatirbhajate manuṣyaṃ vidyāvihīnamakulīnamasaṃstutaṃ vā /	Asannam-eva nRpatiH-Bajate manuzyam vidyA-vihInam-akulInam-asaMstutam vA /
   prāyeṇa bhūmipatayaḥ pramadā latāśca yaḥ pārśvato bhavati taṃ	prAyeNa BUmipatayaH pramadAH latAH-ca yaH pArSvatas Bavati tam
   pariveṣṭayanti // Suk_5.10 (=39) //	parivezwayanti // Suc-_5.10 (=39) //
   ārohanti śanairmṛtyā dhunvantamapi pārthivam /	Arohanti SanEs-mRtyA Dunvantam-api pArTivam /
   kopaprasādavastūnāṃ vicinvanti samīpagāḥ // Suk_5.11 (=40) //	kopa-prasAda-vastUnAm vicinvanti samIpa-gAH // Suc-_5.11 (=40) //
   tathā ca-	taTA ca-
   vidyāvatāṃ mahecchānāṃ śilpavikramaśālinām /	vidyAvatAm mahA-icCAnAm Silpa-vikrama-SAlinAm /
   sevāvṛttividāñcaiva nāśrayaḥ pārthivaṃ vinā // Suk_5.12 (=41) //	sevA-vRtti-vidAQca-eva na-ASrayaH pArTivam vinA // Suc-_5.12 (=41) //
   ye jātyādimahotsāhā nopagacchanti pārthivam /	ye jAti-Adi-mahA-utsAhAH na-upagacCanti pArTivam /
   teṣāmāmaraṇaṃ bhikṣā prāyāścittaṃ vinirmitam // Suk_5.13 (=42) //	tezAm-AmaraNam BikzA prAyAH-cittam vinirmitam // Suc-_5.13 (=42) //
   rogairgrahairnṛpargraisto yo na vetti jaḍakriyaḥ /	rogEH-grahEH-nRpargrEstaH yaH na vetti jaxa-kriyaH /
   madhyamantramupāyaṃ ca so 'vaśyaṃ tāta na sthiraḥ // Suk_5.14 (=43) //	maDya-mantram-upAyam ca saH avaSyam tAta na sTiraH // Suc-_5.14 (=43) //
   uktañca-	uktaQca-
   sarpānvyāghrān gajānsiṃhāndṛṣṭvopāyairvaśīkṛtān /	sarpAn-vyAGrAn gajAn-siMhAn-dRzwvA-upAyEH-vaSIkRtAn /
   rājeti kiyatī mātrā dhīmatāmapramādinām // Suk_5.15 (=44) //	rAjA-iti kiyatI mAtrA DImatAm-apramAdinAm // Suc-_5.15 (=44) //
   tathā ca-	taTA ca-
   rājānameva saṃśritya vidvānyāti paronnatim /	rAjAnam-eva saMSritya vidvAn-yAti para-unnatim /
   vinā malayamanyatra candanaṃ na vivardhate // Suk_5.16 (=45) //	vinA malayam-anyatra candanam na vivarDate // Suc-_5.16 (=45) //
   dhavalānyātapatrāṇi vājinaśca manoramāḥ /	DavalAni-AtapatrANi vAjinaH-ca manoramAH /
   sadā mattāśca mātaṅgāḥ prasanne sati bhūpatau // Suk_5.17 (=46) //	sadA mattAH-ca mAtaFgAH prasanne sati BUpatO // Suc-_5.17 (=46) //
   tasmāttāt, tvaṃ rājñā mānyaḥ prasādapātrañca /	tasmAt-tAt, tvam rAjQA mAnyaH prasAda-pAtraQca /
   tataḥ sandehe 'sminmā viṣādībhava /	tatas sandehe asmin-mA vizAdIBava /
   yataḥ-	yatas--
   rājagrahe samāyāte viṣame kāryasaṃśaye /	rAja-grahe samAyAte vizame kArya-saMSaye /
   sandigdhamanasāṃ rājñāṃ pradhānāḥ saṃśayacchidaḥ // Suk_5.18 (=47) //	sandigDa-manasAm rAjQAm praDAnAH saMSaya=-CidaH // Suc-_5.18 (=47) //
   tato he tāta! sthirībhava /	tatas he tAta! sTirIBavaH /
   matsyahasanottaraṃ rājñaḥ purato mayābhidheyamiti /	matsya-hasana-uttaram rAjQaH puratas mayA-aBiDeyam-iti /
   snāhi bhuṅkṣva /	snAhi BuFkzva /
   tataḥ sa evaṃ kṛtvā rājño 'grato gatvā sarvaṃ nivedayāmāsa /	tatas saH evam kRtvA rAjQaH agratas gatvA sarvam nivedayAmAsa /
   nṛpo 'pi tuṣṭastāmājuhāva /	nRpaH api tuzwaH-tAm-AjuhAva /
   sā āśīrvādaṃ dattvā rājānamabravīt-rājanmā mudhā viprānviḍambaya /	sA ASIrvAdam dattvA rAjAnam-abravIt-rAjan-mA muDA viprAn-vixambaya /
   kiṃ tvayā evaṃvidhaṃ matsyānāṃ hāsyaṃ dṛṣṭaṃ śrutaṃ vā /	kim tvayA evaMviDam matsyAnAm hAsyam dRzwam Srutam vA /
   kathaṃ māmabalājana pṛcchanna vilajjase /	kaTam mAm-abalA-jana pRcCan-na vilajjase /
   yataḥ- itaro 'pi na sāmānyo nṛpatirdivyarūpabhṛt /	yatas- itaraH api na sAmAnyaH nRpatiH-divya-rUpa-BRt /
   tvaṃ punarvikramādityo yathārtho 'si parantapa // Suk_5.19 (=48) //	tvam punar-vikrama-AdityaH yaTArTaH asi parantapaH // Suc-_5.19 (=48) //
   uktañca-	uktaQca-
   indrātprabhutvaṃ jvalanātpratāpaṃ krodhaṃ yamādvaiśravaṇācca vittam /	indrAt-praBu-tvam jvalanAt-pratApam kroDam yamAt-vESravaNAt-ca vittam /
   sattvasthite rāmajanārdanābhyāmādāya rājñaḥ kriyate śarīram // Suk_5.20	sattva-sTite rAma-janArdanAByAm-AdAya rAjQaH kriyate SarIram // Suc-_5.20
   tathā ca bhārate-	taTA ca BArate-
   mā vṛkodara pādena ekādaśacamūpatim /	mA vRkodara pAdena ekAdaSa-camUpatim /
   pañcanāmapi yo bharttā nāsāprakṛtimānavī <1> <1. `māninā' iti pā-> //	paQcanAm-api yaH BarttA nAsA-prakRti-mAnavI <1> <1. `mAninAa iti pA-> //
   Suk_5.21 (=50) //	Suc-_5.21 (=50) //
   svāminkathaṃ na tvaṃ svayameva vicārayasi /	svAmin-kaTam na tvam svayam-eva vicArayasi /
   yatastvameva sarvasaṃśayacchettā /	yatas-tvam-eva sarva-saMSaya=-CettA /
   athānyebhyaścet śrotuṃ kautukaṃ tarhi śṛṇu /	aTa-anyeByaH-ced Srotum kOtukam tarhi SRNu /
   iyaṃ rājñī na spṛśati hyasmānmatsyānmahāsatī /	iyam rAjQI na spRSati hi-asmAn-matsyAn-mahAsatI /
