   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   kathaṃ bhīṣmam ahaṃ saṃkhye droṇaṃ ca madhusūdana |	kaTam BIzmam aham saMKye droNam ca maDusUdana |
   iṣubhiḥ pratiyotsyāmi pūjārhāv arisūdana || BhG_2.4 ||	izuBiH pratiyotsyAmi pUjA arhO ari sUdanaH || Bhu _2.4 ||
   gurūn ahatvā hi mahānubhāvān śreyaś cartuṃ bhaikṣam apīha loke |	gurUn ahatvA hi mahA anuBAvAn SreyaH cartum BEkzam api iha loke |
   hatvārthakāmāṃs tu gurūn ihaiva bhuñjīya bhogān rudhirapradigdhān ||	hatvA arTa kAmAn tu gurUn iha eva BuQjIya BogAn ruDira pradigDAn ||
   BhG_2.5 ||	Bhu _2.5 ||
   punar api pārthaḥ snehakāruṇyadharmādharmabhayākulo bhagavaduktaṃ	punar api pArTaH sneha kAruNya Darma aDarma Baya AkulaH Bagavat uktam
   hitatamam ajānann idam uvāca bhīṣmadroṇādikān gurūn bahumantavyān katham	hitatamam ajAnan idam uvAca BIzma droNa AdikAn gurUn bahu mantavyAn kaTam
   ahaṃ haniṣyāmi? kathaṃtarāṃ bhogeṣv atimātrasaktān tān hatvā tair	aham hanizyAmi? kaTaMtarAm Bogezu atimAtra saktAn tAn hatvA tEH 
   bhujyamānāṃs tān eva bhogān tadrudhireṇopasicya teṣv āsaneṣūpaviśya	BujyamAnAn tAn eva BogAn tad ruDireNa upasicya tezu Asanezu upaviSya
   bhuñjīya? // BhGR_2.45 //	BuQjIya? // BhGR_2.45 //
   na caitad vidmaḥ kataran no garīyo yad vā jayema yadi vā no jayeyuḥ |	na ca etat vidmaH kataran naH garIyaH yat vA jayema yadi vA naH jayeyuH |
   yān eva hatvā na jijīviṣāmas te 'vasthitāḥ pramukhe dhārtarāṣṭrāḥ ||	yAn eva hatvA na jijIvizAmaH te avasTitAH pramuKe DArtarAzwrAH ||
   BhG_2.6 ||	Bhu _2.6 ||
   kārpaṇyadoṣopahatasvabhāvaḥ pṛcchāmi tvā dharmasaṃmūḍhacetāḥ |	kArpaNya doza upahata svaBAvaH pRcCAmi tvA Darma saMmUXa cetAH |
   yac chreyaḥ syān niścitaṃ brūhi tan me śiṣyas te 'haṃ śādhi māṃ tvāṃ	yat SreyaH syAt niScitam brUhi tat me SizyaH te aham SADi mAm tvAm
   prapannam || BhG_2.7 ||	prapannam || Bhu _2.7 ||
   na hi prapaśyāmi mamāpanudyād yac chokam ucchoṣaṇam indriyāṇām |	na hi prapaSyAmi mama apanudyAt yat Sokam ucCozaNam indriyANAm |
   avāpya bhūmāv asapatnam ṛddhaṃ rājyaṃ surāṇām api cādhipatyam || BhG_2.8	avApya BUmO asapatnam RdDam rAjyam surANAm api ca ADipatyam || Bhu _2.8
   evaṃ yuddham ārabhya nivṛttavyāpārān bhavato dhārtarāṣṭrāḥ prasahya hanyur	evam yudDam AraBya nivRtta vyApArAn BavataH DArtarAzwrAH prasahya hanyuH 
   iti cet, astu / tadvadhalabdhavijayād adharmyād asmākaṃ dharmādharmāv	iti cet, astu / tad vaDa labDa vijayAt aDarmyAt asmAkam Darma aDarmO= 
   ajānadbhiḥ tair hananam eva garīya iti me pratibhātīty uktvā, yan mahyaṃ	ajAnadBiH tEH hananam eva garIyaH iti me pratiBAti iti uktvA, yat mahyam
   śreya iti niścitam, tac śaraṇāgatāya tava śiṣyāya me brūhīty	SreyaH iti niScitam, tat SaraNa AgatAya tava SizyAya me brUhi iti 
   atimātrakṛpaṇo bhagavatpādāv upasasāda // BhGR_2.68 //	atimAtra kRpaNaH Bagavat pAdO upasasAda // BhGR_2.68 //
   sañjaya uvāca	saQjayaH uvAca
   evam uktvā hṛśīkeśaṃ guḍākeśaḥ parantapaḥ |	evam uktvA hRSIkeSam guxAkeSaH parantapaH |
   na yotsya iti govindam uktvā tūṣṇīṃ babhūva ha || BhG_2.9 ||	na yotsyaH iti govindam uktvA tUzNIm baBUva ha || Bhu _2.9 ||
   "evam asthāne samupasthitasnehakāruṇyābhyām aprakṛtiṃ gatam, kṣatriyāṇāṃ	"evam asTAne samupasTita sneha kAruNyAByAm aprakRtim gatam, kzatriyANAm
   yuddhaṃ paramadharmam apy adharmaṃ manvānaṃ dharmabubhutsayā ca	yudDam parama Darmam api aDarmam manvAnam Darma buButsayA ca
   śaraṇāgataṃ pārtham uddiśya, ātmayāthātmyajñānena yuddhasya	SaraNa Agatam pArTam uddiSya, AtmayATAtmya jQAnena yudDasya
   phalābhisandhirahitasyātmaprāptyupāyatājñānena ca vinā asya moho na	Pala aBisanDirahitasya Atma prApti upAyatA jQAnena ca vinA asya mohaH na
   śāmyati" iti matvā, bhagavatā paramapuruṣeṇa adhyātmaśāstrāvataraṇaṃ kṛtam	SAmyati" iti matvA, BagavatA parama puruzeNa aDyAtma SAstra avataraNam kRtam
   / taduktam   "asthānasnehakāruṇyadharmādharmadhiyākulam / pārthaṃ	/ tat uktam  "a sTAna sneha kAruNya Darma aDarma DiyA Akulam / pArTam
   prapannam uddiśya śāstrāvataraṇaṃ kṛtam" // iti // BhGR_2.9 //	prapannam uddiSya SAstra avataraNam kRtam" // iti // BhGR_2.9 //
   tam uvāca hṛśīkeśaḥ prahasann iva bhārata |	tam uvAca hRSIkeSaH prahasan iva BArata |
   senayor ubhayor madhye sīdamānam idaṃ vacaḥ || BhG_2.10 ||	senayoH uBayoH maDye sIdamAnam idam vacaH || Bhu _2.10 ||
   evaṃ dehātmanor yāthātmyājñānanimittaśokāviṣṭam,	evam deha AtmanoH yATAtmya ajQAna nimitta Soka Avizwam,
   dehātiriktātmajñānanimittaṃ ca dharmaṃ bhāṣamāṇam,	deha atirikta Atma jQAna nimittam ca Darmam BAzamANam,
   parasparaviruddhaguṇānvitam, ubhayos senayor yuddhāyodyuktayor madhye	paraspara virudDa guNa anvitam, uBayoH senayoH yudDAya udyuktayoH maDye
   akasmān nirudyogaṃ pārtham ālokya paramapuruṣaḥ prahasann ivedam uvāca	akasmAt nirudyogam pArTam Alokya parama puruzaH prahasan iva idam uvAca
   parihāsavākyaṃ vadann iva	parihAsa vAkyam vadan iva
   ātmaparamātmayāthātmyatatprāptyupāyabhūtakarmayogajñānayogabhaktiyogagocaraṃ	Atma paramAtma yATAtmya tad prApti upAya BUta karma yoga jQAna yoga Bakti yoga gocaram
   "na tv evāhaṃ jātu nāsam" ityārabhya "ahaṃ tvā sarvapāpebhyo mokṣayiṣyāmi	"na tu eva aham jAtu na asam" iti AraBya "aham tvA sarva pApeByaH mokzayizyAmi
   mā śucaḥ" ityetadantaṃ vacanam uvācetyarthaḥ // BhGR_2.10 //	mA SucaH" iti etat antam vacanam uvAca iti arTaH // BhGR_2.10 //
   śrībhagavān uvāca	SrI BagavAn uvAca
   aśocyān anvaśocas tvaṃ prajñāvādāṃś ca bhāṣase |	aSocyAn anvaSocaH tvam prajQA vAdAn ca BAzase |
   gatāsūn agatāsūṃś ca nānuśocanti paṇḍitāḥ || BhG_2.11 ||	gatAsUn agatAsUn ca na anuSocanti paNxitAH || Bhu _2.11 ||
   aśocyān prati anuśocasi / "patanti pitaro hy eṣāṃ luptapiṇḍodakakriyāḥ"	aSocyAn prati anuSocasi / "patanti pitaraH hi ezAm lupta piNxa udaka kriyAH"
   ityādikān dehātmasvabhāvaprajñānimittavādāṃś ca bhāṣase /	iti AdikAn deha Atma svaBAva prajQA nimitta vAdAn ca BAzase /
   dehātmasvabhāvajñānavatāṃ nātra kiṃcic chokanimittam asti / gatāsūn dehān	deha Atma svaBAva jQAnavatAm na atra kiMcid Soka nimittam asti / gatAsUn dehAn
   agatāsūn; ātmanaś ca prati tatsvabhāvayāthātmyavido na śocanti / atas	agatAsUn; AtmanaH ca prati tad svaBAva yATAtmya vidaH na Socanti / atas 
   tvayi vipratiṣiddham idam upalabhyate, yad etān haniṣyāmīty anuśocanam,	tvayi vipratizidDam idam upalaByate, yat etAn hanizyAmi iti anuSocanam,
   yac ca dehātiriktātmajñānakṛtaṃ dharmādharmabhāṣaṇam / ato dehasvabhāvaṃ	yat ca deha atirikta Atma jQAna kRtam Darma aDarma BAzaNam / atas deha svaBAvam
   ca na jānāsi, tadatiriktam ātmānaṃ ca nityam, tatprāptyupāyabhūtaṃ	ca na jAnAsi, tat atiriktam AtmAnam ca nityam, tad prApti upAya BUtam
   yuddhādikaṃ dharmaṃ ca / idaṃ ca yuddhaṃ phalābhisandhirahitam	yudDa Adikam Darmam ca / idam ca yudDam Pala aBisanDi rahitam
   ātmayāthātmyāvāptyupāyabhūtam / ātmā hi na janmādhīnasadbhāvaḥ; na	AtmayATAtmya avApti upAya BUtam / AtmA hi na janma aDIna sadBAvaH; na
   maraṇādhīnavināśaś ca, tasya janmamaraṇayor abhāvāt / ataḥ sa na	maraNa aDIna vinASaH ca, tasya janma maraNayoH aBAvAt / atas sa na
   śokasthānam / dehas tv acetanaḥ pariṇāmasvabhāvaḥ; tasyotpattivināśayogaḥ	Soka sTAnam / dehaH tu acetanaH pariNAma svaBAvaH; tasya utpatti vinASa yogaH
   svābhāvika iti so 'pi na śokasthānam ityabhiprāyaḥ // BhGR_2.11 //	svABAvikaH iti saH api na Soka sTAnam iti aBiprAyaH // BhGR_2.11 //
   prathamaṃ tāvad ātmanāṃ svabhāvam śṛṇu	praTamam tAvat AtmanAm svaBAvam SRNu
   na tv evāhaṃ jātu nāsaṃ na tvaṃ neme janādhipāḥ |	na tu eva aham jAtu nAsam na tvam na ime janADipAH |
   na caiva na bhaviṣyāmaḥ sarve vayam ataḥ param || BhG_2.12 ||	na ca eva na BavizyAmaH sarve vayam atas param || Bhu _2.12 ||
   ahaṃ sarveśvaras tāvat, ataḥ vartamānāt pūrvasmin anādau kāle, na nāsam	aham sarva ISvaraH tAvat, atas vartamAnAt pUrvasmin anAdO kAle, na nAsam
   api tv āsam / tvanmukhāś caite īśitavyāḥ kṣetrajñāḥ na nāsam; api tv āsan	api tu Asam / tvad muKAH ca ete ISitavyAH kzetrajQAH na na asam; api tu Asan
   / ahaṃ ca yūyaṃ ca sarve vayam, ataḥ parasmin anante kāle, na caiva na	/ aham ca yUyam ca sarve vayam, atas parasmin anante kAle, na ca eva na
   bhaviṣyāmaḥ; api tu bhaviṣyāma eva / yathāhaṃ sarveśvaraḥ paramātmā nitya	BavizyAmaH; api tu BavizyAmaH eva / yaTA aham sarva ISvaraH paramAtmA nitya
   iti nātra saṃśayaḥ, tathaiva bhavantaḥ kṣetrajñā ātmāno 'pi nityā eveti	iti na atra saMSayaH, taTA eva BavantaH kzetrajQAH AtmAnaH api nityAH eva iti
   mantavyāḥ // BhGR_2.12 //	mantavyAH // BhGR_2.12 //
   evaṃ bhagavataḥ sarveśvarād atmanām, parasparaṃ ca, bhedaḥ pāramārthika	evam BagavataH sarva ISvarAt atma nAm, parasparam ca, BedaH pAramArTika
   iti bhagavataivoktam iti pratīyate; ajñānamohitaṃ prati tannivṛttaye	iti BagavatA eva uktam iti pratIyate; ajQAna mohitam prati tad nivRttaye
   pārmārthikanityatvopadeśasamaye aham, tvam, ime, sarve, vayam iti	pArma arTika nitya tva upadeSa samaye aham, tvam, ime, sarve, vayam iti
   vyapadeśāt / aupacārikātmabhedavāde hi ātmabhedasyātāttvikatvena	vyapadeSAt / OpacArika Atma Beda vAde hi Atma Bedasya atAttvika tvena
   tattvopadeśasamaye bhedanirdeśo na saṃgacchate / bhagavaduktātmabhedaḥ	tattva upadeSa samaye Beda nirdeSaH na saMgacCate / Bagavat ukta Atma BedaH
   svābhāvika iti śrutir apy āha, "nityo nityānāṃ cetanaś cetanānām eko	svABAvikaH iti SrutiH api Aha, "nityaH nityAnAm cetanaH cetanAnAm ekaH 
   bahūnāṃ yo vidadhāti kāmān" iti / nityānāṃ bahūnāṃ cetanānāṃ ya eko nityaś	bahUnAm yaH vidaDAti kAmAn" iti / nityAnAm bahUnAm cetanAnAm yaH ekaH nityaS
   cetanas san kāmān vidadhātītyarthaḥ / ajñānakṛtabhedadṛṣṭivāde tu	cetanaH san kAmAn vidaDAti iti arTaH / ajQAna kRta Beda dRzwi vAde tu
   paramapuruṣasya paramārthadṛṣter	parama puruzasya parama arTa dRzteH 
   nirviśeṣakūṭasthanityacaitanyātmayāthātmyasākṣātkārān	nirviSeza kUwa sTa nitya cEtanya Atma yATAtmya sAkzAtkArAn
   nivṛttājñānatatkāryatayā ajñānakṛtabhedadarśanaṃ tanmūlopadeśādivyavahārāś	nivRtta ajQAna tad kArya tayA ajQAna kRta Beda darSanam tad mUla upadeSa Adi vyavahArAH 
   ca na saṃgacchante /	ca na saMgacCante /
   atha paramapuruṣasyādhigatādvaitajñānasya bādhitānuvṛttirūpam idaṃ	aTa parama puruzasya aDigatAdvEta jQAnasya bADita anuvRtti rUpam idam
   bhedajñānaṃ dagdhapaṭādivan na bandhakam ity ucyate naitad upapadyate;	Beda jQAnam dagDa pawa Adi vat na banDakam iti ucyate na etat upapadyate;
   marīcikājalajñānādikaṃ hi bādhitam anuvartamānaṃ na	marIcikA jala jQAna Adikam hi bADitam anuvartamAnam na
   jalāharaṇādipravṛttihetuḥ / evam atrāpy advaitajñānena bādhitaṃ	jala AharaNa Adi pravRtti hetuH / evam atra api advEta jQAnena bADitam
   bhedajñānam anuvartamānam api mithyārthaviṣayatvaniścayān	Beda jQAnam anuvartamAnam api miTyA arTa vizaya tva niScayAn
   nopadeśādipravṛttihetur bhavati / na ceśvarasya pūrvam ajñasya	na upadeSa Adi pravRtti hetuH Bavati / na ca ISvarasya pUrvam ajQasya
   śāstrādhigatatattvajñānatayā bādhitānuvṛttiḥ śakyate vaktum; "yaḥ	SAstra aDigata tattva jQAna tayA bADita anuvRttiH Sakyate vaktum; "yaH
   sarvajñaḥ sarvavit", "parāsya śaktir vividhaiva śrūyate svābhāvikī	sarvajQaH sarva vit", "parA asya SaktiH viviDA eva SrUyate svABAvikI
   jñānabalakriyā ca", "vedāhaṃ samatītāni vartamānāni cārjuna / bhaviṣyāṇi	jQAna bala kriyA ca", "veda aham samatItAni vartamAnAni ca arjuna / BavizyANi
   ca bhūtāni māṃ tu veda na kaścana" iti śrutismṛtivirodhāt / kiṃ ca	ca BUtAni mAm tu veda na kaScana" iti Sruti smRti viroDAt / kim ca
   paramapuruṣaś ca idānīṃtanaguruparamparā ca, advitīyātmasvarūpaniścaye	parama puruzaH ca idAnIMtana guru paramparA ca, advitIya Atma svarUpa niScaye
   sati anuvartamāne 'pi bhedajñāne, svaniścayānurūpam advitīyātmajñānaṃ	sati anuvartamAne api Beda jQAne, sva niScaya anurUpam advitIya Atma jQAnam
   kasmā upadiśatīti vaktavyam // pratibimbavatpratīyamānebhyo 'rjunādibhya	kasmE upadiSati iti vaktavyam // pratibimba vat pratIyamAneByaH arjuna AdiBya
   iti cet naitad upapadyate; na hy anunmattaḥ ko 'pi maṇikṛpāṇadarpaṇādiṣu	iti ced na etat upapadyate; na hi anunmattaH kaH api maNi kRpANa darpaNa Adizu
   pratīyamāneṣu svātmapratibimbeṣu, teṣāṃ svātmano 'nanyatvaṃ jānan, tebhyaḥ	pratIyamAnezu sva Atma pratibimba izu, tezAm sva AtmanaH ananya tvam jAnan, teByaH
   kim apy upadiśati / bādhitānuvṛttir api tair na śakyate vaktum;	kim api upadiSati / bADita anuvRttiH api tEH na Sakyate vaktum;
   bādhakenādvitīyātmajñānenātmavyatiriktabhedajñānakāraṇasyānāder	bADakena advitIya Atma jQAnena Atma vyatirikta Beda jQAna kAraNasya anAdeH 
   vinaṣṭatvāt / dvicandrajñānādau tu candraikatvajñānena	vinazwa tvAt / dvi candra jQAna AdO tu candra eka tva jQAnena
   pāramārthikatimirādidoṣasya dvicandrajñānahetor avinaṣṭatvād	pAramArTika timira Adi dozasya dvi candra jQAna hetoH avinazwa tvAt 
   bādhitānuvṛttir yuktā; anuvartamānam api	bADita anuvRttiH yuktA; anuvartamAnam api
   prabalapramāṇabādhitatvenākiṃcitkaram / iha tu bhedajñānasya saviṣayasya	prabala pramANa bADita tvena akiMcid karam / iha tu Beda jQAnasya sa vizayasya
   sakāraṇasyāpāramārthikatvena vastuyāthātmyajñānavinaṣṭatvān na kathañcid	sa kAraNasya apAramArTika tvena vastu yATAtmya jQAna vinazwa tvAt na kaTaQcid 
   api bādhitānuvṛttiḥ saṃbhavati / ataḥ	api bADita anuvRttiH saMBavati / atas 
   sarveśvarasyedānīṃtanaguruparamparāyāś ca tattvajñānam asti cet,	sarva ISvarasya idAnIMtana guru paramparAyAH ca tattva jQAnam asti ced ,
   bhedadarśanatatkāryopadeśādyasaṃbhavaḥ / nāsti cet, ajñānasya taddhetoḥ	Beda darSana tad kArya upadeSa Adi asaMBavaH / na asti cet, ajQAnasya tad hetoH
   sthitatvenājñatvād eva sutarām upadeśo na saṃbhavati //	sTita tvena ajQa tvAt eva sutarAm upadeSaH na saMBavati //
   kiṃ ca guror advitīyātmavijñānād eva brahmājñānasya sakāryasya vinaṣṭatvāc	kim ca guroH advitIya Atma vijQAnAt eva brahma ajQAnasya sa kAryasya vinazwa tvAt 
   śiṣyaṃ praty upadeśo niṣprayojanaḥ / gurus tajjñānaṃ ca kalpitam iti cet,	Sizyam prati upadeSaH nizprayojanaH / guruH tat jQAnam ca kalpitam iti ced ,
   śiṣyatajjñānayor api kalpitatvāt tad apy anivartakam / kalpitatve 'pi	Sizya tad jQAnayoH api kalpita tvAt tat api anivartakam / kalpita tve api
   pūrvavirodhitvena nivartakam iti cet, tad acāryajñāne 'pi samānam iti tad	pUrva viroDi tvena nivartakam iti cet, tat acArya jQAne api samAnam iti tat 
   eva nivartakaṃ bhavatīty upadeśānarthakyam eva iti kṛtam asamīcīnavādaiḥ	eva nivartakam Bavati iti upadeSa AnarTakyam eva iti kRtam asamIcIna vAdEH
   // BhGR_2.12 //	// BhGR_2.12 //
   dehino 'smin yathā dehe kaumāraṃ yauvanaṃ jarā |	dehinaH asmin yaTA dehe kOmAram yOvanam jarA |
   tathā dehāntaraprāptir dhīras tatra na muhyati || BhG_2.13 ||	taTA deha antara prAptiH DIraH tatra na muhyati || Bhu _2.13 ||
   ekasmin dehe vartamānasya dehinaḥ kaumārāvasthāṃ vihāya	ekasmin dehe vartamAnasya dehinaH kOmAra avasTAm vihAya
   yauvanādyavasthāprāptau ātmanaḥ sthiratvabuddhyā yathā ātmā naṣṭa iti na	yOvana Adi avasTA prAptO AtmanaH sTira tva budDyA yaTA AtmA nazwaH iti na
   śocati, dehād dehāntaraprāptāv api tathaiva sthira ātmeti buddhimān na	Socati, dehAt deha antara prAptO api taTA eva sTiraH AtmA iti budDimAn na
   śocati / ata ātmanāṃ nityatvād ātmano na śokasthānam // BhGR_2.13 //	Socati / atas AtmanAm nitya tvAt AtmanaH na Soka sTAnam // BhGR_2.13 //
   etāvad atra kartavyam ātmanāṃ nityānām evānādikarmavaśyatayā	etAvat atra kartavyam AtmanAm nityAnAm eva anAdi karma vaSya tayA
   tattatkarmocitadehasaṃsṛṣṭānāṃ tair eva dehair bandhanivṛttaye śāstrīyaṃ	tad tad karma ucita deha saMsRzwAnAm tEH eva dehEH banDa nivRttaye SAstrI iyam
   svavarṇocitaṃ yuddhādikam anabhisaṃhitaphalaṃ karma kurvatām	sva varNa ucitam yudDa Adikam anaBisaMhita Palam karma kurvatAm
   avarjanīyatayā indriyair indriyārthasparśāḥ śītoṣṇādiprayuktasukhaduḥkhadā	avarjanIya tayA indriyEH indriya arTa sparSAH SIta uzNa Adi prayukta suKa duHKa dA
   bhavanti, te tu yāvacchāstrīyakarmasamāpti kṣantavyā iti / imam artham	Bavanti, te tu yAvat SAstrIya karma samApti kzantavyAH iti / imam arTam
   anantaram evāha	anantaram eva Aha
   mātrāsparśās tu kaunteya śītoṣṇasukhaduḥkhadāḥ |	mAtrA sparSAH tu kOnteya SIta uzNa suKa duHKa dAH |
   āgamāpāyino 'nityās tāṃs titikṣasva bhārata || BhG_2.14 ||	Agama apAyinaH anityAH tAn titikzasva BArata || Bhu _2.14 ||
   śabdasparśarūparasagandhāḥ sāśrayāḥ tanmātrākāryatvān mātrā ity ucyante /	Sabda sparSa rUpa rasa ganDAH sa ASrayAH tanmAtrA kArya tvAt mAtrAH iti ucyante /
   śrotrādibhis teṣāṃ sparśāḥ śītoṣṇamṛduparuṣādirūpasukhaduḥkhadāḥ bhavanti	Srotra AdiBiH tezAm sparSAH SIta uzNa mRdu paruza Adi rUpa suKa duHKa dAH Bavanti
   / śītoṣṇaśabdaḥ pradarśanārthaḥ / tān dhairyeṇa	/ SIta uzNa SabdaH pradarSana arTaH / tAn DEryeNa
   yāvadyuddhādiśāstrīyakarmasamāpti titikṣasva / te cāgamāpāyitvād	yAvat yudDa Adi SAstrIya karma samApti titikzasva / te ca Agama apAyi tvAt 
   dhairyavatām kṣantuṃ yogyāḥ / anityāś ca te / bandhahetubhūtakarmanāśe	DEryavatAm kzantum yogyAH / anityAH ca te / banDa hetu BUta karma nASe
   sati āgamāpāyitvenāpi na vartante ityarthaḥ // BhGR_2.14 //	sati Agama apAyi tvena api na vartante iti arTaH // BhGR_2.14 //
   tatkṣamā kimarthety atrāha	tat kzamA kimarTa iti atra Aha
   yaṃ hi na vyathayanty ete puruṣaṃ puruṣarṣabha |	yam hi na vyaTayanti ete puruzam puruza RzaBaH |
   samaduḥkhasukhaṃ dhīraṃ so 'mṛtatvāya kalpate || BhG_2.15 ||	sama duHKa suKam DIram saH amRta tvAya kalpate || Bhu _2.15 ||
   yaṃ puruṣaṃ dhairyayuktam avarjanīyaduḥkhaṃ sukhavan manyamānam,	yam puruzam DErya yuktam avarjanIya duHKam suKavat manyamAnam,
   amṛtatvasādhanatayā svavarṇocitaṃ yuddhādikarma anabhisaṃhitaphalaṃ	amRta tva sADana tayA sva varNa ucitam yudDa Adi karma anaBisaMhita Palam
   kurvāṇaṃ tadantargatāḥ śastrapātādimṛdukrūrasparśāḥ na vyathayanti; sa	kurvANam tad antargatAH Sastra pAta Adi mRdu krUra sparSAH na vyaTayanti; sa
   evāmṛtatvaṃ sādhayati / na tvādṛśo duḥkhāsahiṣṇur ityarthaḥ / ātmanāṃ	eva amRta tvam sADayati / na tvAdRSaH duHKa asahizNuH iti arTaH / AtmanAm
   nityatvād etāvad atra kartavyam ityarthaḥ // BhGR_2.15 //	nitya tvAt etAvat atra kartavyam iti arTaH // BhGR_2.15 //
   yat tu ātmanāṃ nityatvaṃ dehānāṃ svābhāvikaṃ nāśitvaṃ ca śokānimittam	yat tu AtmanAm nitya tvam dehAnAm svABAvikam nASi tvam ca Soka animittam
   uktam, "gatāsūn agatāsūṃś ca nānuśocanti paṇḍitāḥ" iti, tad upapādayitum	uktam, "gata asUn agatAsUn ca na anuSocanti paNxitAH" iti, tat upapAdayitum
   ārabhate	AraBate
   nāsato vidyate bhāvo nābhāvo vidyate sataḥ |	na asataH vidyate BAvaH na aBAvaH vidyate sataH |
   ubhayor api dṛṣṭo 'ntas tv anayos tattvadarśibhiḥ || BhG_2.16 ||	uBayoH api dRzwaH antar tu anayoH tattva darSiBiH || Bhu _2.16 ||
   asataḥ dehasya sadbhāvo na vidyate / sataś cātmano nāsadbhāvaḥ / ubhayoḥ	asataH dehasya sadBAvaH na vidyate / sataH ca AtmanaH na asadBAvaH / uBayoH
   dehātmanor upalabhyamānayor yathopalabdhi tattvadarśibhir anto dṛṣṭaḥ	deha AtmanoH upalaByamAnayoH yaTA upalabDi tattva darSiBiH antaH dRzwaH
   nirṇayāntatvān nirūpaṇasya nirṇaya iha antaśabdenocyate /	nirNaya anta tvAt nirUpaNasya nirNayaH iha anta Sabdena ucyate /
   dehasyācidvastuno 'sattvam eva svarūpam; ātmanaś cetanasya sattvam eva	dehasya acid vastunaH asattvam eva sva rUpam; AtmanaH cetanasya sattvam eva
   svarūpam iti nirṇayo dṛṣṭa ityarthaḥ / vināśasvabhāvo hy asattvam /	svarUpam iti nirNayaH dRzwaH iti arTaH / vinASa svaBAvaH hi asattvam /
   avināśasvabhāvaś ca sattvam / yathā uktaṃ bhagavatā parāśareṇa, "tasmān na	avinASa svaBAvaH ca sattvam / yaTA uktam BagavatA parASareNa, "tasmAt na
   vijñānam ṛte 'sti kiṃcit kvacit kadācid dvija vastujātam", "sadbhāva evaṃ	vijQAnam Rte asti kiMcid kvacid kadAcid dvija vastu jAtam", "sadBAvaH evam
   bhavato mayokto jñānaṃ yathā satyam asatyam anyat", "anāśī paramārthaś ca	BavataH mayA uktaH jQAnam yaTA satyam asatyam anyat", "anASI parama arTaH ca
   prājñair abhyupagamyate / tat tu nāśi na saṃdeho nāśidravyopapāditam",	prAjQEH aByupagamyate / tat tu nASi na saMdehaH nASidravya upapAditam",
   "yat tu kālāntareṇāpi nānyasaṃjñām upaiti vai / pariṇāmādisaṃbhūtāṃ tad	"yat tu kAla antareNa api na anya saMjQAm upEti vE / pariNAma Adi saMBUtAm tat 
   vastu nṛpa tac ca kim" iti / atrāpi "antavanta ime dehāḥ", "avināśi tu tad	vastu nRpa tat ca kim" iti / atra api "antavantaH ime dehAH", "avinASi tu tat 
   viddhi" iti hy ucyate / tad eva sattvāsattvavyapadeśahetur iti gamyate //	vidDi" iti hi ucyate / tat eva sattva asattva vyapadeSa hetuH iti gamyate //
   atra tu satkāryavādasyāprastutatvān na tatparo 'yaṃ ślokaḥ;	atra tu satkArya vAdasya aprastuta tvAt na tatparaH ayam SlokaH;
   dehātmasvabhāvājñānamohitasya tanmohaśāntaye hy ubhayor	deha Atma svaBAva ajQAna mohitasya tat moha SAntaye hi uBayoH 
