   Devīgītā	DevI-gItA
   brahmaivedam amṛtaṃ purastādbrahma paścādbrahma dakṣiṇataścottareṇa /	brahma-eva-idam amRtam purastAt-brahma paScAt-brahma dakziNatas-ca-uttareNa /
   adhaścordhvaṃ ca prasṛtaṃ brahmaivedaṃ viśvaṃ variṣṭham // Dg_6.14 =	aDas-ca-UrDvam ca prasRtam brahma-eva-idam viSvam varizWam // Dk-_6.14 =
   DbhP_7,36.14 //	DBu-_7,36.14 //
   etādṛganubhavo yasya sa kṛtārtho narottamaḥ /	etAdRS-anuBavaH yasya sa kRtArTaH narottamaH /
   brahmabhūtaḥ prasannātmā na śocati na kāṅkṣati // Dg_6.15 = DbhP_7,36.15	brahma-BUtaH prasanna-AtmA na Socati na kAFkzati // Dk-_6.15  DBP_7,36.15
   dvitīyādvai bhayaṃ rājaṃstadabhāvādbibheti na /	dvitIyAt-vE Bayam rAjan=-tad-aBAvAt-biBeti na /
   na tadviyogo me 'pyasti madviyogo 'pi tasya na // Dg_6.16 = DbhP_7,36.16	na tad-viyogaH me api-asti mad-viyogaH api tasya na // Dk-_6.16  DBP_7,36.16
   aham eva sa so 'haṃ vai niścitaṃ viddhi parvata /	aham eva sa saH aham vE niScitam vidDi parvataH /
   maddarśanaṃ tu tatra syādyatra jñānī sthito mama // Dg_6.17 = DbhP_7,36.17	mad-darSanam tu tatra syAt-yatra jQAnI sTitaH mama // Dk-_6.17  DBP_7,36.17
   nāhaṃ tīrthe na kailāse vaikuṇṭhe vā na karhicit /	na-aham tIrTe na kElAse vEkuNWe vA na karhicit /
   vasāmi kintu majjñānihṛdayāmbhojamadhyame // Dg_6.18 = DbhP_7,36.18 //	vasAmi kintu mad-jQAni-hRdaya-amBoja-maDyame // Dk-_6.18  DBP_7,36.18 //
   matpūjākoṭiphaladaṃ sakṛnmajjñānino 'rcanam /	mad-pUjA-kowi-Pala-dam sakRt-mad-jQAninaH arcanam /
   kulaṃ pavitraṃ tasyāsti jananī kṛtakṛtyakā // Dg_6.19 = DbhP_7,36.19 //	kulam pavitram tasya-asti jananI kRtakRtyakAH // Dk-_6.19  DBP_7,36.19 //
   viśvambharā puṇyavatī cillayo yasya cetasaḥ /	viSvamBarA puNyavatI cillayaH yasya cetasaH /
   brahmajñānaṃ tu yatpṛṣṭaṃ tvayā parvata sattama // Dg_6.20 = DbhP_7,36.20	brahma-jQAnam tu yat-pRzwam tvayA parvata sattamaH // Dk-_6.20  DBP_7,36.20
   kathitaṃ tanmayā sarvaṃ nāto vaktavyam asti hi /	kaTitam tat-mayA sarvam na-atas vaktavyam asti hi /
   idaṃ jyeṣṭhāya putrāya bhaktiyuktāya śīline // Dg_6.21 = DbhP_7,36.21 //	idam jyezWAya putrAya Bakti-yuktAya SIline // Dk-_6.21  DBP_7,36.21 //
   śiṣyāya ca yathoktāya vaktavyaṃ nānyathā kvacit /	SizyAya ca yaTA-uktAya vaktavyam na-anyaTA kvacid /
   yasya deve parā bhaktiryathā deve tathā gurau // Dg_6.22 = DbhP_7,36.22 //	yasya deve parA BaktiH-yaTA deve taTA gurO // Dk-_6.22  DBP_7,36.22 //
   tasyaite kathitā hyarthāḥ prakāśante mahātmanaḥ /	tasya-ete kaTitAH hi-arTAH prakASante mahAtmanaH /
   yenopadiṣṭāvidyeyaṃ sa eva parameśvaraḥ // Dg_6.23 = DbhP_7,36.23 //	yena-upadizwa-avidyA-iyam saH eva parameSvaraH // Dk-_6.23  DBP_7,36.23 //
   yasyāyaṃ sukṛtaṃ kartum asamarthastato ṛṇī /	yasya-ayam sukRtam kartum asamarTaH-tatas RNI /
   pitrorapyadhikaḥ prokto brahmajanmapradāyakaḥ // Dg_6.24 = DbhP_7,36.24 //	pitroH-api-aDikaH proktaH brahma-janma-pradAyakaH // Dk-_6.24  DBP_7,36.24 //
   pitṛjātaṃ janma naṣṭaṃ netthaṃ jātaṃ kadācana /	pitR-jAtam janma nazwam na-itTam jAtam kadAcana /
   tasmai na druhyedityādi nigamo 'pyavadannaga // Dg_6.25 = DbhP_7,36.25 //	tasmE na druhyet-ityAdi nigamaH api-avadat-naga // Dk-_6.25  DBP_7,36.25 //
   tasmācchāstrasya siddhānto brahmadātā guruḥ paraḥ /	tasmAt-SAstrasya sidDAntaH brahmadAtA guruH paraH /
   śive ruṣṭe gurustrātā gurau ruṣṭe na śaṅkaraḥ // Dg_6.26 = DbhP_7,36.26 //	Sive ruzwe guruH-trAtA gurO ruzwe na SaFkaraH // Dk-_6.26  DBP_7,36.26 //
   tasmāt sarvaprayatnena śrīguruṃ toṣayennaga /	tasmAt sarva-prayatnena SrI-gurum tozayet-naga /
   kāyena manasā vācā sarvadā tatparo bhavet // Dg_6.27 = DbhP_7,36.27 //	kAyena manasA vAcA sarvadA tad-paraH Bavet // Dk-_6.27  DBP_7,36.27 //
   anyathā tu kṛtaghnaḥ syāt kṛtaghne nāsti niṣkṛtiḥ /	anyaTA tu kRtaGnaH syAt kRtaGne na-asti nizkRtiH /
   indreṇātharvaṇāyoktā śiraścheda pratijñayā // Dg_6.28 = DbhP_7,36.28 //	indreNa-ATarvaNAya-uktA SiraH-Ceda pratijQayA // Dk-_6.28  DBP_7,36.28 //
   aśvibhyāṃ kathane tasya śiraśchinnaṃ ca vajriṇā /	aSviByAm kaTane tasya SiraH-Cinnam ca vajriNA /
   aśvīyaṃ tacchiro naṣṭaṃ dṛṣṭvā vaidyau surottamau // Dg_6.29 =	aSvIyam tat-SiraH nazwam dRzwvA vEdyO sura-uttamO // Dk-_6.29 =
   DbhP_7,36.29 //	DBu-_7,36.29 //
   punaḥ saṃyojitaṃ svīyaṃ tābhyāṃ muniśirastadā /	punar saMyojitam svIyam tAByAm muni-SiraH-tadA /
   iti saṅkaṭasampādyā brahmavidyā nagādhipa // Dg_6.30 = DbhP_7,36.30 //	iti saFkawa-sampAdyAH brahma-vidyA naga-aDipa // Dk-_6.30  DBP_7,36.30 //
   lābdhā yena sa dhanyaḥ syāt kṛtakṛtyaśca bhūdhara	lAbDAH yena sa DanyaH syAt kRtakRtyaH-ca BUDara
   iti devīgītāyāṃ ṣaṣṭo 'dhyāyaḥ	iti devI-gItAyAm zazwaH aDyAyaH
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ ṣaṭtriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm zawtriMSaH-
   'dhyāyaḥ	aDyAyaH
   atha saptamo 'dhyāyaḥ -	aTa saptamaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha saptatriṃśo 'dhyāyaḥ	aTa saptatriMSaH aDyAyaH
   himālaya uvāca	himAlayaH uvAca
   svīyāṃ bhaktiṃ vadasvāmba yena jñānaṃ sukhena hi /	svIyAm Baktim vadasva-amba yena jQAnam suKena hi /
   jāyeta manujasyāsya madhyamasyāvirāgiṇaḥ // Dg_7.1 = DbhP_7,37.1 //	jAyeta manujasya-asya maDyamasya-avirAgiNaH // Dk-_7.1  DBP_7,37.1 //
   devyuvāca	devI-uvAca
   mārgāstrayo me vikhyātā mokṣaprāptau nagādhipa /	mArgAH-trayaH me viKyAtA mokza-prAptO naga-aDipa /
   karmayogo jñānayogo bhaktiyogaśca sattama // Dg_7.2 = DbhP_7,37.2 //	karma-yogaH jQAna-yogaH Bakti-yogaH-ca sattamaH // Dk-_7.2  DBP_7,37.2 //
   trayāṇāmapyayaṃ yogyaḥ kartuṃ śakyo 'sti sarvathā /	trayANAm-api-ayam yogyaH kartum SakyaH asti sarvaTA /
   sulabhatvānmānasatvāt kāyacittādyapīḍanāt // Dg_7.3 = DbhP_7,37.3 //	sulaBa-tvAt-mAnasa-tvAt kAya-citta-Adya-pIxanAt // Dk-_7.3  DBP_7,37.3 //
   guṇabhedānmanuṣyāṇāṃ sā bhaktistrividhā matā /	guNa-BedAt-manuzyANAm sA BaktiH-triviDA matA /
   parapīḍāṃ samuddiśya dambhaṃ kṛtvā puraḥsaram // Dg_7.4 = DbhP_7,37.4 //	para-pIxAm samuddiSya damBam kRtvA puraHsaram // Dk-_7.4  DBP_7,37.4 //
   mātsaryakrodhayukto yastasya bhaktis tu tāmasī /	mAtsarya-kroDa-yuktaH yaH-tasya BaktiH tu tAmasI /
   parapīḍādirahitaḥ svakalyāṇārtham eva ca // Dg_7.5 = DbhP_7,37.5 //	para-pIxA-Adi-rahitaH sva-kalyANa-arTam eva ca // Dk-_7.5  DBP_7,37.5 //
   nityaṃ sakāmo hṛdayaṃ yaśorthī bhogalolupaḥ /	nityam sa-kAmaH hRdayam yaSorTI Boga-lolupaH /
   tattatphalasamāvāptyai māmupāste 'tibhaktitaḥ // Dg_7.6 = DbhP_7,37.6 //	tad-tad-Pala-sama-avAptyE mAm-upAste ati-BaktitaH // Dk-_7.6  DBP_7,37.6 //
   bhedabuddhyā tu māṃ svasmādanyāṃ jānāti pāmaraḥ /	Beda-budDyA tu mAm svasmAt-anyAm jAnAti pAmaraH /
   tasya bhaktiḥ samākhyātā nagādhipa tu rājasī // Dg_7.7 = DbhP_7,37.7 //	tasya BaktiH samAKyAtA naga-aDipa tu rAjasI // Dk-_7.7  DBP_7,37.7 //
   parameśārpaṇaṃ karma pāpasaṅkṣālanāya ca /	parameSa-arpaNam karma pApa-saFkzAlanAya ca /
   vedoktatvādavaśyaṃ tatkartavyaṃ tu mayāniśam // Dg_7.8 = DbhP_7,37.8 //	veda-ukta-tvAt-avaSyam tat-kartavyam tu mayA-aniSam // Dk-_7.8  DBP_7,37.8 //
   iti niścitabuddhistu bhedabuddhim upāśritaḥ /	iti niScita-budDiH-tu Beda-budDim upASritaH /
   karoti prītaye karma bhaktiḥ sā naga sattvikī // Dg_7.9 = DbhP_7,37.9 //	karoti prItaye karma BaktiH sA naga sattvikI // Dk-_7.9  DBP_7,37.9 //
   parabhakteḥ prāpikeyaṃ bhedabuddhyavalambanāt /	para-BakteH prApikA-iyam Beda-budDi-avalambanAt /
   pūrvaprokte hyubhe bhaktī na paraprāpike mate // Dg_7.10 = DbhP_7,37.10 //	pUrva-prokte hi-uBe BaktI na para-prApike mate // Dk-_7.10  DBP_7,37.10 //
   adhunā parabhaktiṃ tu procyamānāṃ nibodha me /	aDunA para-Baktim tu procyamAnAm niboDa me /
   madguṇaśravaṇaṃ nityaṃ mama nāmānukīrtanam // Dg_7.11 = DbhP_7,37.11 //	mad-guNa-SravaNam nityam mama nAma-anukIrtanam // Dk-_7.11  DBP_7,37.11 //
   kalyāṇaguṇaratnānāmākarāyāṃ mayi sthiram /	kalyANa-guNa-ratnAnAm-AkarAyAm mayi sTiram /
   cetaso vartanaṃ caiva tailadhārāsamaṃ sadā // Dg_7.12 = DbhP_7,37.12 //	cetasaH vartanam ca-eva tEla-DArA-samam sadA // Dk-_7.12  DBP_7,37.12 //
   hetustu tatra ko vāpi na kadācidbhavedapi /	hetuH-tu tatra kaH vA-api na kadAcid-Bavet-api /
   sāmīpyasārṣṭisāyujyasālokyānāṃ na caiṣaṇā // Dg_7.13 = DbhP_7,37.13 //	sAmIpya-sArzwi-sAyujya-sAlokyAnAm na ca-ezaNA // Dk-_7.13  DBP_7,37.13 //
   matsevāto 'dhikaṃ kiñcinnaiva jānāti karhicit /	mad-sevA-ataH aDikam kiQcid-na-eva jAnAti karhicit /
   sevyasevakatābhāvāt tatra mokṣaṃ na vāñchati // Dg_7.14 = DbhP_7,37.14 //	sevya-sevaka-tA-BAvAt tatra mokzam na vAQCati // Dk-_7.14  DBP_7,37.14 //
   parānuraktyā mām eva cintayedyo hyatandritaḥ /	para-anuraktyA mAm eva cintayet-yaH hi-atandritaH /
   svābhedenaiva māṃ nityaṃ jānāti na vibhedataḥ // Dg_7.15 = DbhP_7,37.15 //	sva-aBedena-eva mAm nityam jAnAti na viBedataH // Dk-_7.15  DBP_7,37.15 //
   madrūpatvena jīvānāṃ cintanaṃ kurute tu yaḥ /	mad-rUpa-tvena jIvAnAm cintanam kurute tu yaH /
   yathā svasyātmani prītistathaiva ca parātmani // Dg_7.16 = DbhP_7,37.16 //	yaTA svasya-Atmani prItiH-taTA-eva ca para-Atmani // Dk-_7.16  DBP_7,37.16 //
   caitanyasya samānatvānna bhedaṃ kurute tu yaḥ /	cEtanyasya samAna-tvAt-na Bedam kurute tu yaH /
   sarvatra vartamānānāṃ sarvarūpāṃ ca sarvadā // Dg_7.17 = DbhP_7,37.17 //	sarvatra vartamAnAnAm sarva-rUpAm ca sarvadA // Dk-_7.17  DBP_7,37.17 //
   namate yajate caivāpyācāṇḍālāntam īśvara /	namate yajate ca-eva-api-AcANxAla-antam ISvara /
   na kutrāpi drohabuddhiṃ kurute bhedavarjanāt // Dg_7.18 = DbhP_7,37.18 //	na kutra-api droha-budDim kurute Beda-varjanAt // Dk-_7.18  DBP_7,37.18 //
   matsthānadarśane śraddhā madbhaktadarśane tathā /	mad-sTAna-darSane SradDA mad-Bakta-darSane taTA /
   macchāstraśravaṇe śraddhā mantratantrādiṣu prabho // Dg_7.19 =	mad-SAstra-SravaNe SradDA mantra-tantra-Adizu praBo // Dk-_7.19 =
   DbhP_7,37.19 //	DBu-_7,37.19 //
   māyi premākulamatī romāñcitatanuḥ sadā /	mAyi prema-Akula-matI roma-AQcita-tanuH sadA /
   premāśrujalapūrṇākṣaḥ kaṇṭhagadnadanisvanaḥ // Dg_7.20 = DbhP_7,37.20 //	prema-aSru-jala-pUrNa-akzaH kaNWa-gadnada-nisvanaH // Dk-_7.20  DBP_7,37.20 //
   ananyenaiva bhāvena pūjayedyo nagādhipa /	ananyena-eva BAvena pUjayet-yaH naga-aDipa /
   māmīśvarīṃ jagadyoniṃ sarvakāraṇakāraṇam // Dg_7.21 = DbhP_7,37.21 //	mAm-ISvarIm jagadyonim sarva-kAraNa-kAraNam // Dk-_7.21  DBP_7,37.21 //
   vratāni mama divyāni nityanaimittikānyapi /	vratAni mama divyAni nitya-nEmittikAni-api /
   nityaṃ yaḥ kurute bhaktyā vittaśāṭhyavivarjitaḥ // Dg_7.22 = DbhP_7,37.22	nityam yaH kurute BaktyA vitta-SAWya-vivarjitaH // Dk-_7.22  DBP_7,37.22
   madutsavadidṛkṣā ca madutsavakṛtistathā /	mad-utsava-didRkzA ca mad-utsava-kRtiH-taTA /
   jāyate yasya niyataṃ svabhāvadeva bhūdhara // Dg_7.23 = DbhP_7,37.23 //	jAyate yasya niyatam svaBAvadeva BUDara // Dk-_7.23  DBP_7,37.23 //
   uccairgāyaṃśca nāmāni mamaiva khalu nṛtyati /	uccEs-gAyan=-ca nAmAni mama-eva Kalu nRtyati /
   ahaṅkārādirahito dehatādātmyavarjitaḥ // Dg_7.24 = DbhP_7,37.24 //	ahaFkAra-Adi-rahitaH deha-tAdAtmya-varjitaH // Dk-_7.24  DBP_7,37.24 //
   prārabdhena yathā yacca kriyate tattathā bahvet /	prArabDena yaTA yat-ca kriyate tat-taTA bahvet /
   na me cintāsti tatrāpi dehasaṃrakṣaṇādiṣu // Dg_7.25 = DbhP_7,37.25 //	na me cintA-asti tatra-api deha-saMrakzaNa-Adizu // Dk-_7.25  DBP_7,37.25 //
   iti bhaktistu yā proktā parabhaktistu sā smṛtā /	iti BaktiH-tu yA proktA para-BaktiH-tu sA smRtA /
   yasyāṃ devyatiriktaṃ tu na kiñcidapi bhāvyate // Dg_7.26 = DbhP_7,37.26 //	yasyAm devI-atiriktam tu na kiQcid-api BAvyate // Dk-_7.26  DBP_7,37.26 //
   itthaṃ jātā parā bhaktiryasya bhūdhara tattvataḥ /	itTam jAtA parA BaktiH-yasya BUDara tattvataH /
   tadaiva tasya cinmātre madrūpe vilayo bhavet // Dg_7.27 = DbhP_7,37.27 //	tadA-eva tasya cit-mAtre mad-rUpe vilayaH Bavet // Dk-_7.27  DBP_7,37.27 //
   bhaktestu yā parā kāṣṭhā saiva jñānaṃ prakīrtitam /	BakteH-tu yA parA kAzWA sA-eva jQAnam prakIrtitam /
   vairāgyasya ca sīmā sā jñāne tadubhayaṃ yataḥ // Dg_7.28 = DbhP_7,37.28 //	vErAgyasya ca sImA sA jQAne tat-uBayam yatas // Dk-_7.28  DBP_7,37.28 //
   bhaktau kṛtāyāṃ yasyāpi prārabdhavaśato naga /	BaktO kRtAyAm yasya-api prArabDa-vaSataH naga /
   na jāyate mama jñānaṃ maṇidvīpaṃ sa gacchati // Dg_7.29 = DbhP_7,37.29 //	na jAyate mama jQAnam maNidvIpam sa gacCati // Dk-_7.29  DBP_7,37.29 //
   tatra gatvākhilānbhogānanicchannapi carcchati /	tatra gatvA-aKilAn-BogAn-anicCan=-api ca-RcCati /
   tadante mama cidrūpajñānaṃ samyagbhavennaga // Dg_7.30 = DbhP_7,37.30 //	tad-ante mama cit-rUpa-jQAnam samyak-Bavet-nagaH // Dk-_7.30  DBP_7,37.30 //
   tena muktaḥ sadaiva syājjñānānmuktirna cānyathā /	tena muktaH sadA-eva syAt-jQAnAt-muktiH-na ca-anyaTA /
   ihaiva yasya jñānaṃ syāddhṛdgatapratyagātmanaḥ // Dg_7.31 = DbhP_7,37.31	iha-eva yasya jQAnam syAt-hRdgata-pratyak-AtmanaH // Dk-_7.31  DBP_7,37.31
   mama saṃvitparatanostasya prāṇā vrajanti na /	mama saMvid-paratanoH-tasya prANAH vrajanti na /
   brahmaiva saṃstadāpnoti brahmaiva brahma veda yaḥ // Dg_7.32 =	brahma-eva san=-tat-Apnoti brahma-eva brahma veda yaH // Dk-_7.32 =
   DbhP_7,37.32 //	DBu-_7,37.32 //
   kaṇṭhacāmīkarasamam ajñānāttu tirohitam /	kaNWa-cAmIkara-samam ajQAnAt-tu tirohitam /
   jñānādajñānanāśena labdhameva hi labhyate // Dg_7.33 = DbhP_7,37.33 //	jQAnAt-ajQAna-nASena labDam-eva hi laByate // Dk-_7.33  DBP_7,37.33 //
   viditāviditādanyannagottama vapurmama /	vidita-aviditAt-anyat-naga-uttama vapuH-mama /
   yathādarśe tathātmani yathā jale tathā pitṛloke // Dg_7.34 = DbhP_7,37.34	yaTA-AdarSe taTA-Atmani yaTA jale taTA pitR-loke // Dk-_7.34  DBP_7,37.34
   chāyātapau yathā svacchau viviktau tadvadeva hi /	CAyA-AtapO yaTA svacCO viviktO tadvat-eva hi /
   mama loke bhavejjñānaṃ dvaitabhāvavivarjitam // Dg_7.35 = DbhP_7,37.35 //	mama loke Bavet-jQAnam dvEta-BAva-vivarjitam // Dk-_7.35  DBP_7,37.35 //
   yastu vairāgyavāneva jñānahīno mriyeta cet /	yaH-tu vErAgyavAn-eva jQAna-hInaH mriyeta ced /
   brahmaloke vasennityaṃ yāvatkalpaṃ tataḥ param // Dg_7.36 = DbhP_7,37.36	brahma-loke vaset-nityam yAvat-kalpam tatas param // Dk-_7.36  DBP_7,37.36
   śucīnāṃ śrīmatāṃ gehe bhavettasya janiḥ punaḥ /	SucInAm SrImatAm gehe Bavet-tasya janiH punar /
   karoti sādhanaṃ paścāttato jñānaṃ hi jāyate // Dg_7.37 = DbhP_7,37.37 //	karoti sADanam paScAt-tatas jQAnam hi jAyate // Dk-_7.37  DBP_7,37.37 //
   anekajanmabhī rājañjñānaṃ syānnaikajanmanā /	aneka-janmaBiH rAjan-jQAnam syAt-na-eka-janmanA /
   tataḥ sarvaprayatnena jñānārthaṃ yatnamāśrayet // Dg_7.38 = DbhP_7,37.38	tatas sarva-prayatnena jQAna-arTam yatnam-ASrayet // Dk-_7.38  DBP_7,37.38
   nocenmahānvināśaḥ syājjanmaitaddurlabhaṃ punaḥ /	noced-mahAn-vinASaH syAt-janma-etat-durlaBam punar /
   tatrāpi prathame varṇe vedaprāptiśca durlabhā // Dg_7.39 = DbhP_7,37.39 //	tatra-api praTame varNe veda-prAptiH-ca durlaBAH // Dk-_7.39  DBP_7,37.39 //
   śamādiṣaṭkasampattiryogasiddhistathaiva ca /	Sama-Adi-zawka-sampattiH-yoga-sidDiH-taTA-eva ca /
   tathottamaguruprāptiḥ sarvamevātra durlabham // Dg_7.40 = DbhP_7,37.40 //	taTA-uttama-guru-prAptiH sarvam-eva-atra durlaBam // Dk-_7.40  DBP_7,37.40 //
   tathendriyāṇāṃ paṭutā saṃskṛtatvaṃ tanostathā /	taTA-indriyANAm pawu-tA saMskRta-tvam tanoH-taTA /
   anekajanmapuṇyaistu mokṣecchā jāyate tataḥ // Dg_7.41 = DbhP_7,37.41 //	aneka-janma-puNyEH-tu mokza-icCA jAyate tatas // Dk-_7.41  DBP_7,37.41 //
   sādhane saphale 'pyevaṃ jāyamāne 'pi yo naraḥ /	sADane sa-Pale api-evam jAyamAne api yaH naraH /
   jñānārthaṃ naiva yatate tasya janma nirarthakam // Dg_7.42 = DbhP_7,37.42	jQAna-arTam na-eva yatate tasya janma nirarTakam // Dk-_7.42  DBP_7,37.42
   tasmādrājanyathāśaktyā jñānārthaṃ yatnamāśrayet /	tasmAt-rAjan-yaTASaktyA jQAna-arTam yatnam-ASrayet /
   padepade 'śvamedhasya phalamāpnoti niścitam // Dg_7.43 = DbhP_7,37.43 //	padepade aSvameDasya Palam-Apnoti niScitam // Dk-_7.43  DBP_7,37.43 //
   ghṛtamiva payasi nigūḍhaṃ bhūte bhūte ca vasati vijñānam /	GRtam-iva payasi nigUXam BUte BUte ca vasati vijQAnam /
   satataṃ manthayitavyaṃ manasā manthānabhūtena // Dg_7.44 = DbhP_7,37.44 //	satatam manTayitavyam manasA manTAna-BUtena // Dk-_7.44  DBP_7,37.44 //
   jñānaṃ labdhvā kṛtārthaḥ syāditi vedāntaḍiṇḍimaḥ /	jQAnam labDvA kRtArTaH syAt-iti vedAnta-xiNximaH /
   sarvamuktaṃ samāsena kiṃ bhūyaḥ śrotumicchasi // Dg_7.45 = DbhP_7,37.45 //	sarvam-uktam samAsena kim BUyas Srotum-icCasi // Dk-_7.45  DBP_7,37.45 //
   iti devīgītāyāṃ saptamo 'dhyāyaḥ -	iti devI-gItAyAm saptamaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ saptatriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm saptatriMSaH-
   'dhyāyaḥ	aDyAyaH
   aṣṭamo 'dhyāyaḥ	azwamaH aDyAyaH
   saptamaḥ skandhaḥ	saptamaH skanDaH
   athāṣṭatriṃśo 'dhyāyaḥ	aTa-azwatriMSaH aDyAyaH
   himālaya uvāca	himAlayaH uvAca
   kati sthānāni deveśi draṣṭavyāni mahītale /	kati sTAnAni deveSi drazwavyAni mahI-tale /
   mukhyāni ca pavitrāṇi devīpriyatamāni ca // Dg_8.1 = DbhP_7,38.1 //	muKyAni ca pavitrANi devI-priyatamAni ca // Dk-_8.1  DBP_7,38.1 //
   vratānyapi tathā yāni tuṣṭidānyutsavā api /	vratAni-api taTA yAni tuzwi-dAni-utsavAH api /
   tatsarvaṃ deva me mātaḥ kṛtakṛtyo yato naraḥ // Dg_8.2 = DbhP_7,38.2 //	tat-sarvam deva me mAtar kRtakRtyaH yatas naraH // Dk-_8.2  DBP_7,38.2 //
   śrīdevyuvāca	SrI-devI-uvAca
   sarvaṃ dṛśyaṃ mama sthānaṃ sarve kālā vratātmakāḥ /	sarvam dRSyam mama sTAnam sarve kAlAH vrata-AtmakAH /
   utsavāḥ sarvakāleṣu yato 'haṃ sarvarūpiṇī // Dg_8.3 = DbhP_7,38.3 //	utsavAH sarva-kAlezu yatas aham sarva-rUpiNI // Dk-_8.3  DBP_7,38.3 //
   tathāpi bhaktavātsalyāt kiñcitkiñcidathocyate /	taTA-api Bakta-vAtsalyAt kiQcid-kiQcit-aTA-ucyate /
   śṛṇuṣvāvahito bhūtvā nagarāja vaco mama // Dg_8.4 = DbhP_7,38.4 //	SRNuzva-avahitaH BUtvA naga-rAja vacaH mama // Dk-_8.4  DBP_7,38.4 //
   kolāpuraṃ mahāsthānaṃ yatra lakṣmīḥ sadā sthitā /	kolApuram mahA-sTAnam yatra lakzmIH sadA sTitA /
   mātuḥ puraṃ dvitīyaṃ ca reṇukādhiṣṭhitaṃ param // Dg_8.5 = DbhP_7,38.5 //	mAtuH puram dvitIyam ca reNukA-aDizWitam param // Dk-_8.5  DBP_7,38.5 //
   tulajāpuraṃ tṛtīyaṃ syātsaptaśṛṅgaṃ tathaiva ca /	tulajA-puram tRtIyam syAt-sapta-SRFgam taTA-eva ca /
   hiṅgulāyā mahāsthānaṃ jvālāmukhyāstathaiva ca // Dg_8.6 = DbhP_7,38.6 //	hiFgulAyAH mahA-sTAnam jvAlAmuKyAH-taTA-eva ca // Dk-_8.6  DBP_7,38.6 //
   śakambharyāḥ paraṃ sthānaṃ bhrāmaryāḥ sthānamuttamam /	SakamBaryAH param sTAnam BrAmaryAH sTAnam-uttamam /
   śrīraktadantikāsthānaṃ durgāsthānaṃ tathaiva ca // Dg_8.7 = DbhP_7,38.7 //	SrI-rakta-dantikA-sTAnam durga-AsTAnam taTA-eva ca // Dk-_8.7  DBP_7,38.7 //
   vindhyācalanivāsinyāḥ sthānaṃ sarvottamottamam /	vinDya-acala-nivAsinyAH sTAnam sarva-uttama-uttamam /
   annapūrṇamahāsthānaṃ kāñcīpuramanuttamam // Dg_8.8 = DbhP_7,38.8 //	anna-pUrNa-mahA-sTAnam kAQcI-puram-anuttamam // Dk-_8.8  DBP_7,38.8 //
   bhīmādevyāḥ paraṃ sthānaṃ vimalāsthānameva ca /	BImAdevyAH param sTAnam vimalA-sTAnam-eva ca /
   śrīcandralāmahāsthānaṃ kauśikīsthānameva // Dg_8.9 = DbhP_7,38.9 //	SrI-candralA-mahA-sTAnam kOSikI-sTAnam-eva // Dk-_8.9  DBP_7,38.9 //
   nīlāmbāyāḥ paraṃ sthānaṃ nīlaparvatamastake /	nIla-ambAyAH param sTAnam nIla-parvata-mastake /
   jāmbūnadeśvarīsthānaṃ tathā śrīnagaraṃ śubham // Dg_8.10 = DbhP_7,38.10 //	jAmbUnada-ISvarI-sTAnam taTA SrI-nagaram SuBam // Dk-_8.10  DBP_7,38.10 //
   guhyakālyā mahāsthānaṃ nepāle yatpratiṣṭhitam /	guhya-kAlyAH mahA-sTAnam nepAle yat-pratizWitam /
   mīnākṣyāḥ paraṃ sthānaṃ yacca proktaṃ cidambare // Dg_8.11 = DbhP_7,38.11	mIna-akzyAH param sTAnam yat-ca proktam cit-ambare // Dk-_8.11  DBP_7,38.11
   vedāraṇyaṃ mahāsthānaṃ sundaryāḥ samadhiṣṭhitam /	veda-araNyam mahA-sTAnam sundaryAH samaDizWitam /
   ekāmbaraṃ mahāsthānaṃ paraśaktyā pratiṣṭhitam // Dg_8.12 = DbhP_7,38.12 //	eka-ambaram mahA-sTAnam para-SaktyA pratizWitam // Dk-_8.12  DBP_7,38.12 //
   mahālasāparaṃ sthānaṃ yogeśvaryāstathaiva ca /	mahAlasa-aparam sTAnam yogeSvaryAH-taTA-eva ca /
   tathā nīlasarasvatyāḥ sthānaṃ cīneṣu viśrutam // Dg_8.13 = DbhP_7,38.13 //	taTA nIla-sarasvatyAH sTAnam cInezu viSrutam // Dk-_8.13  DBP_7,38.13 //
   vaidyanāthe tu bagalāsthānaṃ sarvottamaṃ matam /	vEdyanATe tu bagala-AsTAnam sarva-uttamam matam /
   śrīmacchrībhuvaneśvaryā maṇidvīpaṃ mama smṛtam // Dg_8.14 = DbhP_7,38.14	SrImat-SrI-BuvaneSvaryAH maNidvIpam mama smRtam // Dk-_8.14  DBP_7,38.14
   śrīmattripurabhairavyāḥ kāmākhyāyonimaṇḍalam /	SrImat-tripuraBEravyAH kAma-AKyA-yoni-maNxalam /
