   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   śakye darśayituṃ / tatkāryatāniyamaḥ kāryaliṅgasya ca svabhāvavyāptiḥ /	Sakye darSayitum / tad-kAryatA-niyamaH kArya-liFgasya ca svaBAva-vyAptiH /
   tasyāgnyādeḥ kāryaṃ tatkāryaṃ tasya bhāvas tatkāryatā / na hy anyathā	tasya-agni-AdeH kAryam tat-kAryam tasya BAvaH tad-kAryatA / na hi anyaTA
   śakyo darśayitum iti liṅgavacanavipariṇāmena sambandhanīyam //	SakyaH darSayitum iti liFga-vacana-vipariNAmena sambanDanIyam //
   19. asmiṃś cārthe darśite darśita eva dṛṣṭānto bhavati / etāvanmātratvāt	19. asmin ca-arTe darSite darSitaH eva dRzwAntaH Bavati / etAvat-mAtra-tvAt-
   tasyeti / etenaiva dṛṣṭāntadoṣā api nirastā bhavanti / etenaiveti	tasya-iti / etena-eva dRzwAnta-dozAH api nirastAH Bavanti / etena-eva-iti
   hetulakṣaṇābhidhānenaiva dṛṣṭāntasyāpi sāmarthyād gatārthatvena	hetu-lakzaNa-aBiDAnena-eva dRzwAntasya-api sAmarTyAt gata-arTa-tvena
   dṛṣṭāntadoṣā (Ts 307) api sādhanatvena pratyākhyātā bhavanti / yena hetoḥ	dRzwAnta-dozAH (TH 307) api sADana-tvena pratyAKyAtAH Bavanti / yena hetoH
   sāmānyaviśeṣalakṣaṇaṃ yathoktaṃ pradarśyate sa saṃyagdṛṣṭāntaḥ / yena	sAmAnya-viSeza-lakzaNam yaToktam pradarSyate sa saMyak-dRzwAntaH / yena
   punas tasya lakṣaṇadvayaṃ na pradarśyate so dṛṣṭāntābhāsa ity uktaṃ	punar tasya lakzaNa-dvayam na pradarSyate saH dRzwAnta-ABAsaH iti uktam
   bhavati / yathā nityaḥ śabdaḥ / amūrtatvāt / karmavad iti	Bavati / yaTA nityaH SabdaH / amUrta-tvAt / karma-vat iti
   sādhyadharmavikalo dṛṣṭāntābhāsaḥ / atra hi karmaṇi nityatvaṃ sādhyadharmo	sADya-Darma-vikalaH dRzwAnta-ABAsaH / atra hi karmaNi nitya-tvam sADya-DarmaH-
   nāsti / anityatvāt karmanaḥ / amūrtatvaṃ hi sādhanadharmo 'sti /	na-asti / anitya-tvAt karmanaH / amUrta-tvam hi sADana-DarmaH asti /
   amūrtatvād asya / nityaḥ śabdaḥ / amūrtatvāt paramāṇuvad iti /	amUrta-tvAt asya / nityaH SabdaH / amUrta-tvAt paramANu-vat iti /
   sādhanadharmavikalaḥ / sādhyadharmo 'tra nityatvam asti nityatvāt	sADana-Darma-vikalaH / sADya-DarmaH atra nitya-tvam asti nitya-tvAt-
   paramāṇoḥ / nityaḥ śabdo 'mūrtatvād ghaṭavad iti / ubhayadharmavikalo	paramANoH / nityaH SabdaH amUrta-tvAt Gawa-vat iti / uBaya-Darma-vikalaH-
   'nityatvān mūrtatvād ghaṭasya / rāgādimān ayaṃ puruṣo vacanāt /	anitya-tvAt mUrta-tvAt Gawasya / rAga-AdimAn ayam puruzaH vacanAt /
   rathyāpuruṣavat / saṃdigdhasādhyadharmo 'yaṃ dṛṣṭāntābhāsaḥ / rathyāpuruṣe	raTyA-puruza-vat / saMdigDa-sADya-DarmaH ayam dRzwAnta-ABAsaH / raTyA-puruze
   vacanaṃ pratyakṣeṇaiva niścitam iti sādhanadharmas tatra siddhaḥ /	vacanam pratyakzeNa-eva niScitam iti sADana-DarmaH tatra sidDaH /
   sādhyadharmas tu rāgādimatvaṃ saṃdigdham / maraṇadharmā 'yaṃ puruṣaḥ /	sADya-DarmaH tu rAga-Adima-tvam saMdigDam / maraNa-DarmA ayam puruzaH /
   rāgādimatvād rathyāpuruṣavat / rathyāpuruṣe maraṇadharmatvaṃ sādhyadharma	rAga-Adima-tvAt raTyA-puruza-vat / raTyA-puruze maraNa-Darma-tvam sADya-Darma
   utpattimattvādinā liṅgena niścitaṃ rāgādimattvaṃ tv aniścitam iti	utpattimat-tva-AdinA liFgena niScitam rAga-Adimattvam tu aniScitam iti
   saṃdigdhasādhanadharmā / asarvajño 'yaṃ puruṣo rāgādīmattvād	saMdigDa-sADana-DarmA / asarva-jQaH ayam puruzaH rAga-AdImat-tvAt-
   rathyāpuruṣavat / saṃdigdhobhayadharmā /	raTyA-puruza-vat / saMdigDa-uBaya-DarmAH /
   sādhyadharmasādhanadharmavyāvṛtter rathyāpuruṣe niścetum aśakyatvād anvayo	sADya-Darma-sADana-Darma-vyAvRtteH raTyA-puruze niScetum aSakya-tvAt anvayaH-
   / yatra sādhyena hetor vyāptir nāsti so 'nanvayaḥ / yo vaktā sa rāgādimān	/ yatra sADyena hetoH vyAptiH na-asti saH ananvayaH / yaH vaktA sa rAga-AdimAn
   iṣṭapuruṣavat / atrānvayo nāsti / na hi rāgādīnāṃ vacanasya	izwa-puruza-vat / atra-anvayaH na-asti / na hi rAga-AdInAm vacanasya
   tādātmyalakṣaṇas tadutpattilakṣano vā pratibandho 'sti yenātrānvayaḥ (Ts	tAdAtmya-lakzaNaH tad-utpatti-lakzanaH vA pratibanDaH asti yena-atra-anvayaH (Ts
   308) syāt / apratidarśitānvayaḥ / yathānityaḥ śabdaḥ kṛtakatvād ghaṭavad /	308) syAt / apratidarSita-anvayaH / yaTA-anityaH SabdaH kRtaka-tvAt Gawa-vat /
   atra yady api kṛtakatvasyānityatvenānvayo 'sti / na tu vacanenākhyāta ity	atra yadi api kRtaka-tvasya-anitya-tvena-anvayaH asti / na tu vacanena-AKyAtaH iti-
   avidyamāna ivāsau / vyāpyavyāpakabhāvasya vacanenāpradarśitatvād iti /	avidyamAnaH iva-asO / vyApya-vyApaka-BAvasya vacanena-apradarSita-tvAt iti /
   viparītānvayaḥ / yathā yad anityaṃ tat kṛtakam / atra hi yat kṛtakaṃ tad	viparIta-anvayaH / yaTA yat anityam tat kRtakam / atra hi yat kRtakam tat-
   anityam ity anvaye vaktavye yad anityaṃ tat kṛtakam iti viparītam anvayaṃ	anityam iti anvaye vaktavye yat anityam tat kRtakam iti viparItam anvayam
   karoti sarva ete dṛṣṭāntadoṣāḥ sādharmyeṇa //	karoti sarve ete dRzwAnta-dozAH sADarmyeNa //
   20. tathā vaidharmyeṇāpi / yathā nityaḥ śabdaḥ / amūrtatvāt / paramāṇuvad	20. taTA vEDarmyeNa-api / yaTA nityaH SabdaH / amUrta-tvAt / paramANu-vat-
   iti sādhyāvyatirekī / nityatvāt paramāṇoḥ sādhyaṃ na vyāvṛttam / atraiva	iti sADyAvyatirekI / nitya-tvAt paramANoH sADyam na vyAvRttam / atra-eva
   karmavad iti dṛṣṭānte sādhanāvyatirekī / amūrtatvāt karmaṇaḥ / sādhanam	karma-vat iti dRzwAnte sADana-avyatirekI / amUrta-tvAt karmaNaH / sADanam
   atrāvyāvṛttam / ākāśavad iti kṛta ubhayāvyatirekī / ato hy ubhayaṃ na	atra-avyAvRttam / AkASa-vat iti kRtaH uBayA-vyatirekI / atas hi uBayam na
   vyāvṛttaṃ / nityatvād amūrtatvād ākāśasya / tathā	vyAvRttam / nitya-tvAt amUrta-tvAt AkASasya / taTA
   saṃdigdhasādhyavyatirekaḥ / yathā 'sarvajñāḥ kapilādayaḥ /	saMdigDa-sADya-vyatirekaH / yaTA asarva-jQAH kapila-AdayaH /
   avidyamānasarvajñatāliṅgabhūtapramāṇātiśayaśāsanatvāt / atra	avidyamAna-sarvajQa-tA-liFga-BUta-pramANa-atiSaya-SAsana-tvAt / atra
   vaidharmyodāharaṇam / yaḥ sarvajñaḥ sa jyotirjñānādikam upadiṣṭavān /	vEDarmya-udAharaNam / yaH sarvajQaH sa jyotiH-jQAna-Adikam upadizwavAn /
   yathā vardhamānādiḥ / vardhamānāder asarvajñatāyāḥ sādhyadharmasya	yaTA varDamAna-AdiH / varDamAna-AdeH asarvajQa-tAyAH sADya-Darmasya
   saṃdigdho ubhayavyatirekaḥ / saṃdigaha vyatirekaḥ /	saMdigDaH uBaya-vyatirekaH / saMdigaha vyatirekaH /
   saṃdigdhasādhanvyatirekaḥ yathā na trayīvidā brāhmaṇena grāhyavacanaḥ	saMdigDa-sADan-vyatirekaH yaTA na trayI-vidA brAhmaNena grAhya-vacanaH
   kaścid vivakṣitaḥ puruṣo rāgādimattvāt / atra vaidharmyodāharaṇam / ye	kaScid vivakzitaH puruzaH rAga-AdimattvAt / atra vEDarmya-udAharaNam / ye
   grāhyavacanā na te rāgādimantas tad yathā gautamādayo dharmaśāstrāṇāṃ	grAhya-vacanAH na te rAga-AdimantaH tat yaTA gOtama-AdayaH Darma-SAstrANAm
   praṇetāraḥ / gautamādibhyo ragādimattvasya sādhanadharmasya vyāvṛttiḥ	praNetAraH / gOtama-AdiByaH raj-a-Adimattvasya sADana-Darmasya vyAvRttiH
   saṃdigdhā / saṃdigdhobhayavyatirekaḥ / yathāvītarāgāḥ kapilādayaḥ /	saMdigDAH / saMdigDa-uBaya-vyatirekaH / yaTA-vIta-rAgAH kapila-AdayaH /
   parigrahāgrahayogāt / parigraho jīvitapariṣkārāṇaṃ svīkāraḥ / āgrahas teṣv	parigraha-agraha-yogAt / parigrahaH jIvita-parizkArANam svIkAraH / AgrahaH tezu-
   (Ts 309) evābhiṣvaṅgaḥ / atra vaidharmyād udāharaṇam / yo vītarāgo na	(TH 309) eva-aBizu-aFgaH / atra vEDarmyAt udAharaNam / yaH vIta-rAgaH na
   tasya parigrahāgrahau / yathā ṛṣabhādeḥ / ṛṣabhāder	tasya parigraha-AgrahO / yaTA RzaBa-AdeH / RzaBa-AdeH-
   avītarāgatvaparigrahāgrahayoḥ sādhyasādhanadharmayor vyatirekaḥ saṃdigdhaḥ	avIta-rAga-tva-parigraha-AgrahayoH sADya-sADana-DarmayoH vyatirekaH saMdigDaH
   / avyatireko yathāvītarāgo vaktṛtvāt / yatra vītarāgatvaṃ nāsti na sa	/ avyatirekaH yaTA-vIta-rAgaH vaktR-tvAt / yatra vIta-rAga-tvam na-asti na sa
   vaktā yathopalakhaṇḍa iti / yady api upalakhaṇḍād ubhayaṃ vyāvṛttaṃ /	vaktA yaTA-upalaKaNxaH iti / yadi api upala-KaNxAt uBayam vyAvRttam /
   tathāpi sarvo vītarāgo na vakteti vyāptyā vyatirekāsiddher avyatirekaḥ /	taTA-api sarvaH vIta-rAgaH na vaktA-iti vyAptyA vyatireka-asidDeH avyatirekaH /
   apradarśitavyatirekaḥ / yathānityaḥ śabdaḥ kṛtakatvād ākāśavad iti	apradarSita-vyatirekaH / yaTA-anityaH SabdaH kRtaka-tvAt AkASa-vat iti
   vaidharmyeṇa / yo hy anityaḥ śabdaḥ kṛtakatvād iti prayoge	vEDarmyeNa / yaH hi anityaH SabdaH kRtaka-tvAt iti prayoge
   vaidharmyeṇākāśavad iti brūyāt tena vidyamāno 'pi vyatireko na pradarśitaḥ	vEDarmyeNa-AkASa-vat iti brUyAt tena vidyamAnaH api vyatirekaH na pradarSitaH
   tathā / yadāśeṣapadārthopasaṃhāreṇānityatvābhāve kṛtakatvābhāvo	taTA / yadA-aSeza-padArTa-upasaMhAreNa-anitya-tva-aBAve kRtaka-tva-aBAvaH-
   yathākāśavad iti karoti tadā vyatireko darśito bhavati / na punar	yaTA-AkASa-vat iti karoti tadA vyatirekaH darSitaH Bavati / na punar-
   upamānamātreṇa / viparītavyatirekaḥ / yathā yad akṛtakaṃ tan nityam / atra	upamAna-mAtreNa / viparIta-vyatirekaH / yaTA yat akRtakam tat nityam / atra
   hi yan nityaṃ tad akṛtakam iti vaktavye / yad akṛtakaṃ tan nityam iti	hi yat nityam tat akRtakam iti vaktavye / yat akRtakam tat nityam iti
   vadati //	vadati //
   21. na hy ebhir dṛṣṭāntābhāsair hetoḥ sāmānyalakṣaṇaṃ sapakṣa eva sattvam	21. na hi eBiH dRzwAnta-ABAsEH hetoH sAmAnya-lakzaNam sa-pakzaH eva sattvam
   asapakṣe cāsattvam eva niścayena śakyaṃ darśayituṃ viśeṣalakṣaṇaṃ vā /	asapakze ca-asattvam eva niScayena Sakyam darSayitum viSeza-lakzaNam vA /
   ebhiḥ sādhyavikalair dṛṣṭāntābhāsair hetoḥ sāmānyalakṣaṇaṃ niścayena na	eBiH sADya-vikalEH dRzwAnta-ABAsEH hetoH sAmAnya-lakzaNam niScayena na
   śakyaṃ darśayituṃ viśeṣalakṣaṇaṃ veti saṃbandhanīyaṃ tadarthāpattyaiṣāṃ	Sakyam darSayitum viSeza-lakzaNam vA-iti saMbanDanIyam tad-arTa-apattyA-ezAm
   nirāso veditavyaḥ / yasmād ebhir dṛṣṭāntābhāsair dvividham api lakṣaṇaṃ na	nirAsaH veditavyaH / yasmAt eBiH dRzwAnta-ABAsEH dviviDam api lakzaNam na
   śakyaṃ darśayitum / tasmād arthāpattyaiṣāṃ nirāso draṣṭavyaḥ //	Sakyam darSayitum / tasmAt arTApattyA-ezAm nirAsaH drazwavyaH //
   22. dūṣaṇā nyūnatādyuktiḥ / dūṣyate 'nayeti dūṣaṇā / (Ts 310) ṇyāsaśrantho	22. dUzaNA nyUna-tAdi-uktiH / dUzyate anayA-iti dUzaNAH / (TH 310) NyAsa-SranTaH-
   yuc / ādiśabdenāsiddhaviruddhānaikāntikāḥ / dṛṣṭāntadoṣāś ca gṛhyante ye	yut / Adi-Sabdena-asidDa-virudDa-anEkAntikAH / dRzwAnta-dozAH ca gRhyante ye
   pūrvaṃ nyūnatādayaḥ sādhanadoṣā uktās teṣām udbhāvanaṃ tena	pUrvam nyUna-tA-AdayaH sADana-dozAH uktAH tezAm udBAvanam tena
   pareṣṭārthasiddhipratibandhāt / anena ca yad ahrīkeṇoktaṃ	parezwa-arTa-sidDi-pratibanDAt / anena ca yat ahrIkeNa-uktam
   viparyayasādhanam eva dūṣaṇaṃ nānyad iti tad api parāstaṃ draṣṭavyaṃ / na	viparyaya-sADanam eva dUzaNam na-anyat iti tat api parAH-tam drazwavyam / na
   hi viparyayasādhanād eva dūṣaṇaṃ / viruddhavat / api tu	hi viparyaya-sADanAt eva dUzaNam / virudDa-vat / api tu
   parasyābhipretaniścayapratibandhāt / niścayābhāvo vā bhavati	parasya-aBipreta-niScaya-pratibanDAt / niScaya-aBAvaH vA Bavati
   niścayaviparyaya ity asty eva viparyayasiddhiḥ / dūṣaṇābhāsās tu jātayaḥ /	niScaya-viparyayaH iti asti eva viparyaya-sidDiH / dUzaNa-ABAsAH tu jAtayaH /
   abhūtadoṣodbhāvanāni jātyuttarāṇi / jātyā sadṛśyenottarāṇi /	aBUta-doza-udBAvanAni jAti-uttarANi / jAtyA sadRSyena-uttarANi /
   uttarasthānaprayuktatvād //	uttara-sTAna-prayukta-tvAt //
   iti tarkasopāne parārthānumānaparicchedas tṛtīyaḥ /	iti tarka-sopAne para-arTa-anumAna-paricCedaH tRtIyaH /
   yat tarkasopānam idaṃ vidhāya puṇyaṃ mayāptaṃ śaradinduśubhram /	yat tarka-sopAnam idam viDAya puNyam mayA-Aptam Sarad-indu-SuBram /
   tenottamāṃ bodhim ahaṃ labheya lokaś ca niryātu bhavād aśeṣaḥ //	tena-uttamAm boDim aham laBeya lokaH ca niryAtu BavAt aSezaH //
   kṛtir iyaṃ paṇḍitavidyākaraśāntipādānām // //	kRtiH iyam paNxita-vidyA-kara-SAnti-pAdAnAm // //
