   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   ityādinā viracitaḥ sītāsvayaṃvaro nāma garbhāṅkaḥ /	ityAdinA viracitaH sItAsvayaMvaraH nAma garBa aFkaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) taṃ gārbhāṅkaṃ darśayati   yathā bālarāmāyaṇa	(vi, Xa) tam gArBa aFkam darSayati    yaTA bAla rAmAyaNa
   ityādi   tatra hi kenāpi kavinā nibaddhaṃ śravaṇairityādiguṇayuktaṃ	ityAdi    tatra hi kena api kavinA nibadDam SravaNEH ityAdi guNa yuktam
   sītasvayamvaraṃ nāma nāṭyaṃ kañcukinā rāvaṇe niveditam /	sItasvayam varam nAma nAwyam kaQcukinA rAvaNe niveditam /
        tacchavaṇaāt sītāharaṇakanakamṛgarāmakrodharūpabījasya	tat SavaNaAt sItA haraNa kanaka mRgarAma kroDa rUpa bIjasya
   sītāharaṇarūpakasya ca sūcanāt taddvayavat /	sItA AharaNa rUpakasya ca sUcanAt tad dvaya vat /
        ityādinā viracita iti /	ityAdinA viracitaH iti /
        ityādinā darśitaḥ kenāpi viracita ityarthaḥ /	ityAdinA darSitaH kena api viracitaH iti arTaH /
        kañcukivākyena tadviracanābhāvāt /	kaQcuki vAkyena tad viracana aBAvAt /
        Locanā:	LocanA:
        (lo, ai) nṛtyapātrabhūto 'pi rāvaṇo 'sya garbhāṅkasya	(lo, E) nRtya pAtra BUtaH api rAvaNaH asya garBa aFkasya
   naṭāntarairabhineyasya draṣṭā /	nawa antarEH aBineyasya drazwA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra pūrvaṃ pūrvaraṅgaḥ sabhāpūjā tataḥ param /	tatra pUrvam pUrva raFgaH saBA pUjA tatas param /
   kathanaṃ kavisaṃjñādernāṭakasyāpyathāmukham // VisSd_6.21 //	kaTanam kavi saMjQA AdeH nAwakasya api aTAmuKam // VisSd _6.21 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) prasaṅgato garbhāṅkamuktvā prakṛtanāṭake yadyadabhinetavyaṃ	(vi, Na) prasaFgataH garBa aFkam uktvA prakRta nAwake yat yat aBinetavyam
   tadāha   tatrapūrvamiti   pūrvaraṅgaśca	tadA aha    tatra pUrvam iti    pUrva raFgaH ca
   naṭābhinayarūparaṅgadvārādisūtradhāraniṣkāmaṇāntaḥ kriyākalāpaḥ	nawa aBinaya rUpa raFga dvAra Adi sUtra DAra nizkAmaNa antar kriyA kalApaH
   nāṭakasyeti   nāṭakasaṃjñāyā api kathanamityarthaḥ /	nAwakasya iti    nAwaka saMjQAyAH api kaTanam iti arTaH /
        Locanā:	LocanA:
        (lo, o) saṃjñādīti  ādiśabdāt gotrādiḥ /	(lo, o) saMjQA di iti  Adi SabdAt gotra AdiH /
        nāṭakasyāpi saṃjñāsvarūpādikathanamiti sambandhaḥ /	nAwakasya api saMjQA svarUpa Adi kaTanam iti sambanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatreti nāṭake /	tatra iti nAwake /
   yannāṭyavastunaḥ pūrvaṃ raṅgavighnopaśāntaye /	yat nAwya vastunaH pUrvam raFga viGna upaSAntaye /
   kuśīlavāḥ prakurvanti pūrvaraṅgaḥ sa ucyate // VisSd_6.22 //	kuSIlavAH prakurvanti pUrva raFgaH saH ucyate // VisSd _6.22 //
   pratyāhārādikānyaṅgānyasya bhūyāṃsi yadyapi /	pratyAhAra AdikAni aFgAni asya BUyAMsi yadi api /
   tathāpyavaśyaṃ kartavyā nāndī vinghopaśāntaye // VisSd_6.23 //	taTA api avaSyam kartavyA nAndI vinGa upaSAntaye // VisSd _6.23 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) asya pūrvaraṅgarūpasaṃjñāvyutpattimāha   yannāṭyeti /	(vi, ta) asya pUrva raFga rUpa saMjQA vyutpattim Aha   yat nAwyA iti /
        nāṭyavastuno abhinetavyeti vṛttarūpavastuno rāmāyaṇādeḥ /	nAwya vastunaH aBinetavyA iti vRtta rUpa vastunaH rAmAyaNa AdeH /
        kuśīlavāśca sūtradhārādinaṭāḥ /	kuSIlavAH ca sUtra DArA Adi nawAH /
        pratyahārādīti  sūtradhāranaṭādīnāṃ kriyāviśeṣāḥ pratyāhārādayaḥ /	pratyahAra Adi iti   sUtra DAra nawa AdInAm kriyA viSezAH pratyAhAra AdayaH /
        Locanā:	LocanA:
        (lo, au) pratyāhārādikānyaṅgāni raṅgavighnaśāntyarthaṃ	(lo, O) pratyAhAra AdikAni aFgAni raFga viGna SAnti arTam
   naṭamātrakarttavyānyākareṣu boddhavyāni /	nawa mAtra karttavyAni Akarezu bodDavyAni /
        kavikarttavyatvābhāvāt neha lakṣyante /	kavi karttavya tva aBAvAt na iha lakzyante /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tasyāḥ svarūpamāha  	tasyAH svarUpam Aha  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, a) asyā nāndyāḥ /	(lo, a) asyAH nAndyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśīrvacanasaṃyuktā stutiryasmātprayujyate /	ASIrvacana saMyuktA stutiH yasmAt prayujyate /
   devadvijanṛpādīnāṃ tasmānnāndīti saṃjñitā // VisSd_6.24 //	deva dvija nRpa AdInAm tasmAt nAndi iti saMjQitAH // VisSd _6.24 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ā) āśīriti /	(lo, A) ASIH iti /
        devadvijanṛpādīnāmāśīrāśaṃsā tatpratipādakenavacanena yuktā /	deva dvija nRpa AdInAm ASIra ASaMsA tad pratipAdakena vacanena yuktAH /
        nāṭakādiṣu nityamavaśyaṃ prayujyate, natvasyāḥ kadācitkatvasthitiḥ /	nAwaka Adizu nityam avaSyam prayujyate, na tu asyAH kadAcid katva sTitiH /
        nāndīti nādidhātoḥ siddhā /	nAndi iti na Adi DAtoH sidDAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   māṅgalyaśaṅkhacandrābjakokakairavaśaṃsinī /	mAFgalya SaFKa candra abja kokakEH ava SaMsinI /
   padairyuktādūdaśabhiraṣṭābhirvā padairuta // VisSd_6.25 //	padEH yuktA du udaSaBiH azwABiH vA padEH uta // VisSd _6.25 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) nāndīsaṃjñāvyutpattimāha   āśīrvacaneti /	(vi, Ta) nAndI saMjQA vyutpatti mAha   ASIrvacanA iti /
        āśaṃsānurūpā samṛddhirnāndī /	ASaMsa anurUpA samRdDiH nAndI /
        nāndisvarūpapadavyutpattau nāndī samṛddhiriti cocyate iti	nAndi svarUpa pada vyutpattO nAndI samRdDiH iti ca ucyate iti
   stutivacanasaṃyuktā nāndī yasmāt pravarttate sabhāsatsu śrāvyate /	stuti vacana saMyuktA nAndI yasmAt pravarttate saBAsatsu SrAvyate /
        atastad vacanameva tatsambandhānnāndī /	atas tat vacanam eva tad sambanDa anna andI /
        devadvijanṛpādīnāmāśīrvacanetyanvayaḥ /	deva dvija nRpa AdInAm ASIrvacana iti anvayaH /
        etādṛśanāndīkathanañca na mumeḥ tanmate raṅgadvārameva nāndī /	etAdRSanAndIkaTanaQca na mumeH tad mate raFga dvAram eva nAndI /
        kintu munibhinnānāṃ kārikākṛtāmevedṛśanāndīkathanamityagre	kintu muni BinnAnAm kArikA kRtAm eva IdRSanAndI kaTanam iti agre
   vyaktībhaviṣyati /	vyaktIBavizyati /
        yad yad vastvātmikā sā tattadāha   maṅgalyeti /	yat yat vastu AtmikA sA tat tadAha   maFgalyA iti /
        eṣāmanyataradeva śaṃsanīyamityarthaḥ /	ezAm anyataradeva SaMsanIyam iti arTaH /
        padaiḥ dvādaśabhiriti /	padEH dvAdaSaBiH iti /
        atra capadaṃ ślokapādo vibhaktyantaṃ padañca /	atra capadam Sloka pAdaH viBakti antam padaQca /
        yathāsambhavaṃ vivakṣyate /	yaTAsamBavam vivakzyate /
        tadanyetarairyuktetyarthaḥ /	tad anyetarEH yuktA iti arTaH /
        Locanā:	LocanA:
        (lo, i) utetyanena kvacit padairaṣṭabhirdvādaśabhirvā yutā /	(lo, i) uta iti anena kvacid padEH azwaBiH dvAdaSaBiH vA yutAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aṣṭapadā yathā anargharāghave  "niṣpratyūhama" ityādi /	azwa padAH yaTA anarGa rAGave  "nizpratyUham a" ityAdi /
   dvādaśapadā yathā mama tātapādānāṃ puṣpamālāyām   	dvAdaSa padAH yaTA mama tAta pAdAnAm puzpa mAlAyAm   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) aṣṭapadā anargharāghave iti /	(vi, da) azwa padAH anarGa rAGave iti /
        atra niṣpratyūha ityādi viramati mahākalpa ityādi	atra nizpratyUhaH ityAdi viramati mahA kalpaH ityAdi
   ślokaddhayāṣṭapādairaṣṭapadatvam /	SlokadDayA azwa pAdEH azwa pada tvam /
        naca niṣpratyūhamupāsmahe bhagavataḥ kaumaudakīlakṣaṇaḥ	na ca nizpratyUham upAsmahe BagavataH kOma OdakI lakzaNaH
   kokaprīticakorapāraṇapaṭujyotiṣmatī locane /	koka prIti cakora pAraNa pawu jyotizmatI locane /
        yābhyāmarddhavibodhamugdhamadhuraśrīrarddhanidrāyito	yAByAm ardDa viboDa mugDa maDura SrIH ardDa nidrAyitaH 
   nābhipallavapuṇḍarīkamukulaḥ kamboḥ sapatnīkṛtaḥ //	nABi pallava puNxarIka mukulaH kamboH sapatnIkRtaH //
        ityatra vibhaktyantapadānāṃ dvādaśatvapyasti, tatkathamaṣṭapadatvaṃ	iti atra viBakti antapadAnAm dvAdaSa tu api asti, tat kaTam azwa pada tvam
   darśitamiti vācyam /	darSitam iti vAcyam /
        ubhayasattve 'pi aṣṭapadatvānapāyāt taddarśanaucityāt vyākhyātam /	uBaya sattve api azwa pada tvAnapAyAt tad darSana OcityAt vyAKyAtam /
        aṣṭapadatvāsambhave vibhaktyantapadarūpadvādaśapadavatīṃ	azwa padatva asamBave viBakti anta pada rUpa dvAdaSa padavatIm
   nāndīmudāharati /	nAndIm udAharati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   śirasi dhṛtasurāpage smarārāvaruṇamukhendurucirgirīndraputrī /	Sirasi DRta surApage smara ArAvaruNa muKa indu ruciH giri indra putrI /
   atha caraṇayugānate svakānte smitasarasā bhavato 'stu bhūtihetuḥ //	aTa caraNa yuga Anate sva kAnte smita sarasA BavataH astu BUti hetuH //
   evamanyatra /	evam anyatra /
   etannāndīti kasyacinmatānusāreṇoktam /	etat nAndi iti kasyacid mata anusAreNa uktam /
   vastutastu "pūrvaraṅgasya raṅgadvārābhidhānamaṅgam" ityanye /	vastutas tu "pUrva raFgasya raFga dvAra aBiDAnam aFgam" iti anye /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) etannāndīti /	(vi, Da) etat nAndi iti /
        āśīrvacanarūpā nāndītyarthaḥ /	ASIrvacana rUpA nAndi iti arTaH /
        raṅgavighnopaśāntaye ityanena pūrvaṅgasya	raFga viGna upaSAntaye iti anena pUrvaFgasya
   raṅgavighnopaśāntaphalatvasyoktatvāt tathāpyavaśyaṃ kartavyā nāndī	raFga viGna upaSAnta Pala tvasya ukta tvAt taTA api avaSyam kartavyA nAndI
   vidhnopaśāntaye iti tadarthānmunītaranāṭyākārikākṛtaḥ kasyacin	viDna upaSAntaye iti tad arTAn muni itara nAwyA kArikA kRtaH kasyacid 
   matābhiprāyeṇoktam /	mata aBiprAyeNa uktam /
        vastutastu pūrvaraṅgasya raṅgadvāramevāṅgaṃ natu nāndītyanye	vastutas tu pUrva raFgasya raFga dvAram eva aFgam na tu nAndi iti anye
   āhurityarthaḥ /	AhuH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yaduktam   	yat uktam    
   "yasmādabhinayo hyatra prāthamyādavatāryate /	"yasmAt aBinayaH hi atra prATamyAt avatAryate /
   raṅgadvāramato jñeyaṃ vāgaṅgābhinayātmakam" //	raFgadvAram atas jQeyam vAc aFga aBinaya Atmakam" //
   iti /	iti /
   uktaprakārāyāśca nāndyā raṅgadvārātprathamaṃ naṭaireva kartavyatayā na	ukta prakArAyAH ca nAndyAH raFga dvArAt praTamam nawEH eva kartavya tayA na
   maharṣiṇā nirdeśaḥ kṛtaḥ /	mahA RziNA nirdeSaH kRtaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) raṅgadvārasyāṅgadarśikāṃ kārikāṃ darśayati  yasmādabhinayo	(vi, na) raFga dvArasya aFga darSikAm kArikAm darSayati   yasmAt aBinayaH 
   hyatreti /	hi atra iti /
        prāthamyādityāśīrvacanato 'pi prāthamyādityarthaḥ /	prATami At iti ASIrvacanataH api prATamyAt iti arTaH /
        vāgaṅgeti /	vAc aFgA iti /
        vāgabhinayātmakamaṅgābhinayātmakamityarthaḥ /	vAc aBinaya Atmakam aFga aBinaya Atmakam iti arTaH /
        atra prāthamyādityanena pūrvaraṅgāṅgatvaṃ raṅgadvārasya darśitam /	atra prATamyAt iti anena pUrva raFga aFga tvam raFga dvArasya darSitam /
        natu nāndyāiti bhāvaḥ /	na tu nAndya aiti BAvaH /
        tasyāḥ pūrvaraṅgānaṅgatve maharṣestathātvāpradarśanamapi	tasyAH pUrva raFga anaFga tve mahA RzeH taTA tva apradarSanam api
   sādhakamityāha /	sADakam iti Aha /
        uktaprakārayā iti /	ukta prakArayA iti /
        dvādaśapadāṣṭapadaprakārāyā ityarthaḥ /	dvAdaSa pada azwa pada prakArAyAH iti arTaH /
        maharṣiṇā nāndīmāṃtrasyaivānirddiṣṭatvāt /	mahA RziNA nAndI mAMtrasya eva anirddizwa tvAt /
        uktakārāyā api tasyā anirddeśaḥ naṭaireveti /	ukta kArAyAH api tasyAH anirddeSaH nawEH eva iti /
        nāṭye 'vaśyaṃ nāndī karttavyā iti maharṣibhinnānāṃ	nAwye avaSyam nAndI karttavyAH iti mahA Rzi BinnAnAm
   matānusāribhirnaṭairevetyarthaḥ /	mata anusAriBiH nawEH eva iti arTaH /
        natu maharṣimatānusāribhirityarthaḥ /	na tu mahA Rzi matA anusAriBiH iti arTaH /
        maharṣiṇā tadanirddeśāttadāha  na maharṣiṇeti /	mahA RziNA tad anirddeSAt tadA aha  na mahA RziNA iti /
        maharṣiṇa tadanirdeśe tasyā dvādaśapadatvādiviśeṣaṇavyabhicāre	mahA RziNa tad anirdeSe tasyAH dvAdaSa pada tva Adi viSezaNa vyaBicAre
   heturityāha   kālidāsādīti /	hetuH iti Aha    kAlidAsa Adi iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kālidāsādimahākaviprabandheṣu ca   	kAli dAsa Adi mahAkavi prabanDezu ca   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ī) etaditi /	(lo, I) etat iti /
        etannāṭakādeḥ prathamaṃ pādam /	etat nAwaka AdeH praTamam pAdam /
        kasyacit kolāhalādeḥ /	kasyacid kolAhala AdeH /
        naṭaireva narttakaireva kāvyatvāntaḥ pātitvābhāvāt ityarthaḥ /	nawEH eva naRttakEH eva kAvya tva antar pAti tva aBAvAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vedānteṣu yamāhurekapuruṣaṃ vyāpya sthitaṃ rodasī yasminnīśvara	vedAntezu yam AhuH eka puruzam vyApya sTitam rodasI yasmin= i ISvara
   ityananyaviṣayaḥ śabdo yathārthākṣaraḥ /	iti ananya vizayaH SabdaH yaTArTa akzaraH /
   antaryaśca mumukṣubhiniyamitaprāṇādibhirmṛgyate sa sthāṇuḥ	antaryaH ca mumukzuBi niyamita prANa AdiBiH mRgyate sa sTANuH
   sthirabhaktiyogasulabho niḥ śreyasāyāstu vaḥ //	sTira Bakti yoga sulaBaH niH SreyasAyAH tu vaH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, u) vedānteti /	(lo, u) veda anta iti /
        yathārthākṣara īśvaraśabda īśidhāteḥ	yaTArTa akzaraH ISvara SabdaH ISi DAteH
   siddhatvādaiśvaryyayogarūḍharūpor'thastasmin eva tāttvika ityarthaḥ /	sidDa tvAt ESvaryya yoga rUXa rUpor aTaH tasmin eva tAttvikaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamādiṣu nāndīlakṣaṇāyogāt /	evamAdizu nAndI lakzaNa ayogAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) vedānteṣu iti /	(vi, pa) vedAntezu iti /
        sa sthāṇurmaheśo vā yuṣmākaṃ śreyase 'stu iti anvayaḥ /	sa sTANuH maheSaH vA yuzmAkam Sreyase astu iti anvayaH /
        ekapuruṣaṃ pradhānaṃ puruṣam /	eka puruzam praDAnam puruzam /
        rodasī dyāvāpṛthivyau /	rodasI dyAvApRTivyO /
        abhinnaviṣayo 'nyatrāpravṛttiḥ /	aBinna vizayaH anyatra apravRttiH /
        ananyaviṣaya iti kvacit pāṭhaḥ /	ananya vizayaH iti kvacid pAWaH /
        akṣaramatra padam /	akzaram atra padam /
        varṇasyārthābhāvena yathārthābhāvāt /	varNasya arTa aBAvena yaTArTa aBAvAt /
        arthaśca īśaaiśvaryye iti karttṛvihitavarapratyayāntaḥ dhātvarthaḥ /	arTaH ca ISaa ESvaryye iti karttR vihita vara pratyaya antaH DAtu arTaH /
        prāṇadayaḥ prāṇapānādayaḥ pañcavāyava ityarthaḥ /	prANa dayaH prANa pAna AdayaH paQca vAyavaH iti arTaH /
        antarniyamitoktau mumukṣubhiryo mṛgyate dhyāyate /	antar niyamita uktO mumukzuBiH yaH mRgyate DyAyate /
        nāndīlakṣaṇekati /	nAndIla kzaNekati /
        dvādaśatvāṣṭapadatvābhāvena tallakṣaṇabhāvādityarthaḥ /	dvAdaSa tva azwa pada tva aBAvena tad lakzaNa BAvAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   uktaṃ ca   "raṅgadvāramārabhya kaviḥ kuryāt 'ityādi /	uktam ca   "raFga dvAram AraBya kaviH kuryAt   aityAdi /
   ata eva prāktanapustakeṣu "nāndyante sūtradhāraḥ" ityanantarameva	atas eva prAktana pustakezu "nAndyante sUtraDAraH" iti anantaram eva
   "vedānteṣu " ityādi ślokale(li) khanaṃ dṛśyate /	"vedAnta izu " ityAdi Sloka le(li) Kanam dRSyate /
   yacca paścāt "nāndyante sūtradhāraḥ" iti le (li) khanaṃ	yat ca paScAt "nAndyante sUtraDAraH" iti le (li) Kanam
   tasyāyamabhiprāyaḥ   nāndyante sūtradhāra idaṃ prayojitavān, itaḥ prabhṛti	tasya ayam aBiprAyaH   nAndyante sUtra DAraH idam prayojitavAn, itas praBRti
   mayā nāṭakamupādīyata iti kaverabhiprāyaḥ sūcita" iti /	mayA nAwakam upAdIyate iti kaveH aBiprAyaH sUcita" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) tathā ca raṅgadvārameva nāndī /	(vi, Pa) taTA ca raFga dvAram eva nAndI /
        saivāvaśyaṃ karttavyeti darśayatiuktañceti /	sA eva avaSyam karttavyA iti darSayatiuktaQca iti /
        uktamatra maharṣiṇeti bodhyam /	uktam atra mahA RziNA iti boDyam /
        ata eva tatra raṅgadvārarūpaiva nāndī maharṣerabhimatā /	atas eva tatra raFga dvAra rUpA eva nAndI mahA RzeH aBimatA /
        tasyā evādau sūtradhāreṇa karttavyatvādevetyarthaḥ /	tasyAH eva AdO sUtra DAreNa karttavya tvAt eva iti arTaH /
        atra ca nandyante raṅgadvārarūpanāndyanta ityarthaḥ /	atra ca nandyante raFga dvAra rUpa nAndyante iti arTaH /
        yacca paścāditi /	yat ca paScAt iti /
        vedānteṣu ityādiślekasya paścādityarthaḥ /	vedAntezu iti Adi Slekasya paScAt iti arTaH /
        nāndyante raṅgadvārarūpanāndyante sūtradhāra idaṃ vedānteṣu ityādi	nAndyante raFga dvAra rUpanAndyante sUtra DAraH idam vedAntezu ityAdi
   prayojitavān /	prayojitavAn /
        itaḥ paraṃ mayā kavinā nāṭakamupādīyate /	itas param mayA kavinA nAwakam upAdIyate /
        ityevaṃ kaverabhiprāyo nāndyanta ityādinā kavinaiva sūcita ityarthaḥ	iti evam kaveH aBiprAyaH nAndyante ityAdinA kavinA eva sUcitaH iti arTaH
        Locanā:	LocanA:
        (lo, ū) nāndīlakṣaṇaṃ samanantaroktaprakāram /	(lo, U) nAndI lakzaNam samanantara ukta prakAram /
        yañca paścāditi /	yaQca paScAt iti /
        vedānteṣu ityādi padānantaraṃ tataḥ ślokāt /	vedAntezu ityAdi pada anantaram tatas SlokAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   pūrvaraṅgaṃ vidhāyaiva sūtradhārā nivartate /	pUrva raFgam viDAya eva sUtra DArA nivartate /
   praviśya sthāpakastadvatkāvyamāsthāpayettataḥ // VisSd_6.26 //	praviSya sTApakaH tadvat kAvyam AsTApayet tatas // VisSd _6.26 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) pūrvaraṅgānantarakṛtyamāha   pūrvaraṅgamiti /	(vi, ba) pUrva raFga anantara kRtyam Aha    pUrva raFgam iti /
        sthāpakaḥ sūtradhārasadṛśaṃ naṭāntaram /	sTApakaH sUtra DAra sadRSam nawa antaram /
