   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   gorocanāgauraruciścakāśe sa ṣaṭpadaśyāmalakeśapāśā /	gorocanA-gOra-ruciH-cakASe sa zawpada-SyAmala-keSa-pASAH /
   dhūmodgamairdhūsaritāgrabhāgā mānyodayā maṅgaladīpikeva // 1.75 //	DUma-udgamEH-DU-sarita-agra-BAgAH mAnya-udayAH maFgala-dIpikA-iva // 1.75 //
   ardhāsikāṃ bharturananyalabhyāṃ bhadrāsane saiva paraṃ prapede //	arDAsikAm BartuH-ananya-laByAm BadrAsane sA-eva param prapede //
   anyāḥ kimarhantyapahāya lakṣmīṃ vakṣonivāsaṃ madhusūdanasya // 1.76 //	anyAH kim-arhanti-apahAya lakzmIm vakzaH-nivAsam maDusUdanasya // 1.76 //
   mahīpatirmānyaguṇojjvalāyāṃ tasyāṃ mahiṣyāṃ tanayābhilāṣī /	mahIpatiH-mAnya-guNa-ujjvalAyAm tasyAm mahizyAm tanaya-aBilAzI /
   pradīpadhūpapramukhaiḥ padārthaiḥ sa devatārādhanatatparo 'bhūt // 1.77 //	pradIpa-DUpa-pramuKEH padArTEH sa devatA-ArADana-tatparaH aBUt // 1.77 //
   mamajja tīrtheṣu jajāpa mantraṃ tatāna dānāni tapaścakāra /	mamajja tIrTezu jajApa mantram tatAna dAnAni tapaH-cakAra /
   śuśrāva dharmaṃ sujanaṃ siṣeve sa putrahetoḥ saha dharmapatnyā // 1.78 //	SuSrAva Darmam su-janam sizeve sa putra-hetoH saha Darma-patnyAH // 1.78 //
   iti gatavati puṇyairdīrghadīrghe 'pi kāle, patiravanipatīnāṃ putraratnaṃ	iti gatavati puNyEH-dIrGa-dIrGe api kAle, patiH-avanipatInAm putra-ratnam
   na bheje /	na Beje /
   tadapi ca vavṛdhe tatprārthanā tasya puṃsāṃ viramati na hi yatnaḥ	tat-api ca vavRDe tad-prArTanA tasya puMsAm viramati na hi yatnaH
   kāryasiddheḥ purastāt // 1.79 //	kArya-sidDeH purastAt // 1.79 //
   iti buddhaghoṣācāryaviracite padyacūḍāmaṇināmni mahākāvye siddhārthacarite	iti budDa-Goza-AcArya-viracite padya-cUxAmaNi-nAmni mahAkAvye sidDArTa-carite
   prathamaḥ sargaḥ //	praTamaH sargaH //
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   devānāṃ tuṣitapurīgamanam	devAnAm tuzita-purI-gamanam
   tatrāntare jagati pūrvanimittamāsīd dṛṣṭvā tadadbhutamamartyagaṇāḥ sametāḥ	tatra-antare jagati pUrva-nimittam-AsIt dRzwvA tad-adButam-amartya-gaNAH sametAH
   sarvajñatāvasara eṣa taveti vaktuṃ jagmuḥ purīṃ suragurostuṣitāabhidhānam	sarvajQa-tA-avasaraH eza tava-iti vaktum jagmuH purIm sura-guroH-tuzitAaBiDAnam
   uttuṅganīlamaṇimandirajṛmbhamāṇarociśchaṭācchuraṇaśādvalitāntarikṣām /	uttuFga-nIla-maNi-mandira-jRmBamANa-rociH-CawAt-CuraNa-SAdvalita-antarikzAm /
   prakrīḍamānamṛgaśāvaviloladṛṣṭicchāyāsamuccalanacandrakilopakaṇṭhām // 2.2	prakrIxamAna-mRga-SAva-vilola-dRzwi=-CAyA-samuccalana-candra-kilopa-kaNWAm // 2.2
   līlācakorarasanāñcalalihyamānaprāsādadantavalabhīkiraṇaprarohām /	lIlA-cakora-rasa-nAQcala-lihyamAna-prAsAda-danta-valaBI-kiraNa-prarohAm /
   tiryakpravṛttamaṇitoraṇadīrgharaśmimālāvalīguṇitavandanamālikābhām // 2.3	tiryak-pravRtta-maNi-toraNa-dIrGa-raSmi-mAlA-valI-guNita-vandana-mAlika-ABAm // 2.3
   śiñjānapañcaśaracakritakārmukajyājhaṅkāravegacalitādhvagavāmanetrām /	SiQjAnapaQca-Sara-cakrita-kArmuka-jyA-JaFkAra-vega-calita-aDvagavAma-netrAm /
   darpāndhadiggajakapolamadapravāhakallolinīsalilakardamitapratolīm // 2.4	darpa-anDa-diggaja-kapola-mada-pravAha-kallolinI-salila-kart-amita-pratolIm // 2.4
   śampāsahasracaturasrasaroruhākṣīdehaprabhāpunarudīritadīpamālām /	SampA-sahasra-catur-asra-saroruha-akzI-deha-praBA-punar-udIrita-dIpa-mAlAm /
   saudhasthaloparisamucchritavaijayantīcīnāṃśukākalitadigvanitāvaguṇṭhām //	sODa-sTala-upari-samucCrita-vEjayantI-cIna-aMSukA-kalita-diS-vanitA-avaguNWAm //
   puṣpāvacāyavalamānapurandhrivargapīnastanonnativikalpitakeliśailām /	puzpa-avacAya-vala-mAna-puranDri-varga-pIna-stana-unnati-vikalpita-keli-SElAm /
   mākandakorakagalanmakarandapūradhārānubaddhapunaruktataṭākatoyām // 2.6 //	mAkanda-koraka-galat-makaranda-pUra-DArA-anubadDa-punarukta-tawAka-toyAm // 2.6 //
   śrṛṅgāramaṇḍapaśironavaratnatejaḥsañcārasañcitaśatakratucāpaśobhām /	SrRFgAra-maNxapa-SiraH-nava-ratna-tejaH-saQcAra-saQcita-Satakratu-cApa-SoBAm /
   mandārakalpaharicandanapārijātasantānasaṃhṛtadaridrakathāprasaṅgām // 2.7	mandAra-kalpa-hari-candana-pArijAta-santAna-saMhRta-daridra-kaTA-prasaFgAm // 2.7
   tatra sthitaṃ suragaṇā dadṛśastamenaṃ siṃhāsane vividharatnaśilānibaddhe /	tatra sTitam sura-gaNAH dadRSaH-tam-enam siMhAsane viviDa-ratna-SilA-nibadDe /
   vibhrājamānabahudhātuvicitravarṇe merormṛgendramiva sānutaṭapradeśe // 2.8	viBrAjamAna-bahu-DAtu-vicitra-varNe meroH-mRgendram-iva sa-anutawa-pradeSe // 2.8
   māṇikyamaulivalabhīsavidhasthitena mānyena maṅgalasitātapavāraṇena /	mANikya-mOli-vala-BI-saviDa-sTitena mAnyena maFgala-sita-Atapa-vAraNena /
   pūrvācalasya suṣamāṃ maṇituṅgaśrṛṅgasaṃlakṣyapūrṇaśaśinaḥ pratipakṣayantam	pUrva-acalasya suzamAm maNi-tuFga-SrRFga-saMlakzya-pUrNa-SaSinaH pratipakzayantam
   pratyagrahāṭakaśilāphalakāyatasya phālasthalasya paritaḥ prasṛtairmakhaiḥ	pratyagrahAwaka-SilA-Pala-ka-Ayatasya PAla-sTalasya paritas prasRtEH-maKEH
   āśāviśālanayanānanamaṇḍanānāmākalpayantamiva kāntisudhāvibhāgam // 2.10 //	ASA-viSAla-nayana-Anana-maNxanAnAm-Akalpayantam-iva kAnti-suDA-viBAgam // 2.10 //
   āyāmaśālibhiramandadayāsamudravelājaleṣu viharadbhirapāṅgapātaiḥ /	AyAma-SAliBiH-amanda-dayAsa-mudra-velA-jalezu viharadBiH-apAFga-pAtEH /
   āpādayantamamarādhiparājyalakṣmyāḥ krīḍāsaroruhatatīriva diṅmukheṣu //	ApAdayantam-amara-aDipa-rAjya-lakzmyAH krIxA-saroruhata-tIH-iva diFmuKezu //
   ākāśakandaradarīṣu vitāyamānairānandamandahasitairadhikaprasannaiḥ /	AkASa-kandaradarIzu vitAyamAnEH-Ananda-manda-hasitEH-aDika-prasannEH /
   sandhukṣaṇāya nijakīrttipayaḥpayodheḥ sampādayantamiva śāśvatamindulokam	sanDukzaNAya nija-kIrtti-payaH-payoDeH sampAdayantam-iva SASvatam-indu-lokam
   abhyarṇavarttibhirakṛtrimabhaktiśobhairātmīyabimbasadṛśaiḥ saha	aByarNa-varttiBiH-akRtrima-Bakti-SoBEH-AtmIya-bimba-sadRSEH saha
   mitravargaiḥ /	mitra-vargEH /
   ābhāṣaṇeṣvadharavidrumarāgalakṣyādantaḥsphurantamanurāgamivodgirantam //	ABAzaNezu-aDara-vidruma-rAga-lakzyAt-antar-sPurantam-anurAgam-iva-udgirantam //
   ānandavāṣpajalajarjaradṛṣṭipātamabhyullasatpulakabhūṣitagaṇḍarekham /	Ananda-vAzpa-jala-jarjara-dRzwi-pAtam-aByullasat-pulaka-BUzita-gaNxa-reKam /
   ākarṇayantamabhijātanijāpadānamagre kuśīlavagaṇairabhigīyamānam // 2.14 //	AkarNayantam-aBijAta-nija-apadAnam-agre kuSIlava-gaNEH-aBigIyamAnam // 2.14 //
   kalpadrumaprasavakalpitakarṇapūrariccholikāvigalitairmakarandapūraiḥ /	kalpadruma-prasava-kalpita-karNa-pUra-ricColikA-vigalitEH-makarandapUrEH /
   bāhudvayasya mahanīyaparākramasya vīrābhiṣekamahimānamivācarantam // 2.15	bAhu-dvayasya mahanIya-parAkramasya vIra-aBizeka-mahimAnam-iva-Acarantam // 2.15
   uttuṅgabāhuyugalodayaśailajātatejodivākarayaśohimaraśmiśaṅkām /	uttuFga-bAhu-yugala-udaya-SEla-jAta-tejaH-divAkara-yaSaH-him-a-raSmi-SaFkAm /
   ātanvatāruṇasitopalanirmitena maṅgalyakuṇḍalayugena manojñagaṇḍam // 2.16	AtanvatA-aruNa-sita-upala-nirmitena maFgalya-kuNxala-yugena manojQa-gaNxam // 2.16
   mandārapuṣpakalikāparikalpitena mālyena mānyabhujamadhyavilambitena /	mandAra-puzpa-kalikA-parikalpitena mAlyena mAnya-Buja-maDya-vilambitena /
   kaṇṭhapraṇālimukhagatvararaktadhāramādarśayantamiva maitrabalāvatāram //	kaNWa-praNAli-muKa-gatvara-rakta-DAram-AdarSayantam-iva mEtra-bala-avatAram //
   abhyudgatairaruṇarāgamano 'bhirāmairāmuktaratnavalayāṃkuraraśmijālaiḥ /	aByudgatEH-aruNa-rAga-manaH aBirAmEH-Amukta-ratna-valaya-aMkura-raSmi-jAlEH /
   nirbhidyamānanijaśauryamahaḥpravālasañchāditāviva bhujau viṭapau dadhānam	nirBidyamAna-nija-SOrya-mahar-pravAla-saQCAditO=-iva BujO viwapO daDAnam
   aṅgairamandaharicandanapaṅkaliptairabhyantareṣu kutakuṃkumapatralekhaiḥ /	aFgEH-amanda-hari-candana-paFka-liptEH-aByantarezu kutakuMkuma-patra-leKEH /
   pakṣīndracañcupuṭapāṭanajarjarāṅgāṃ jīmūtavāhanadaśāmiva darśayantam //	pakzi-indra-caQcu-puwa-pAwana-jarjara-aFgAm jImUtavAhanadaSAm-iva darSayantam //
   nānāvidhābharaṇaratnamarīcidaṇḍaidiṅmaṇḍaleṣu paritaḥ parijṛmbhamāṇaiḥ /	nAnAviDa-ABaraNa-ratna-marIci-daNxa-EdiS-maNxalezu paritas parijRmBamANEH /
   āgāmibodhipadavaibhavacihnabhūtāmṛddhipadarśanadhurāmiva śikṣayantam //	AgAmi-boDi-pada-vEBava-cihna-BUtAmRdDi-padarSana-DurAm-iva Sikzayantam //
   āpādapadmamabhitaḥ pravijṛmbhitābhi	ApAdapadmam-aBitas pravijRmBita-aBi
   rambhojarāgapatapatakābharaṇaprabhābhiḥ /	ramBoja-rAga-pata-pataka-ABaraNa-praBABiH /
   tasmāt prabhṛtyuparibhāvimunitvamudrāṃ kāṣāyadhāraṇakalāmiva śīlayantam //	tasmAt praBRti-upariBAvi-muni-tva-mudrAm kAzAya-DAraNa-kalAm-iva SIlayantam //
   saṃkrāntasaudhavalabhīmaṇiputrakeṇa vakṣaḥ kavāṭaphalakena manohareṇa /	saMkrAnta-sODava-laBI-maNi-putrakeNa vakzaH kavAwa-Palakena manohareNa /
   sākṣāduraḥsthalavihārisamudrarāja kanyasya kaiṭabharipoḥ kalayantamābhām	sAkzAt-uraHsTala-vihAri-samudra-rAja kanyasya kEwaBaripoH kalayantam-ABAm
   niṣyandamānamakarandanirantareṇa raktotpalena karapaṅkajalālitena /	nizyandamAna-makaranda-nirantareNa rakta-utpalena kara-paFkaja-lAlitena /
   sadyo vipāṭanagaladrudhirāruṇena netrotpalena śivirājamivopalakṣyam //	sadyas vipAwa-na-galadruDira-aruNena netra-utpalena Sivi-rAjam-iva-upalakzyam //
   ālepacandanavisṛtvaragandhalobhā dālīyamānamalināmabhito nikāyam /	Alepa-candana-visRtvara-ganDa-loBA dAlIyamAna-malinAm-aBitas nikAyam /
   ajñānagāḍhatimiraudhamivāntarasthaṃ tenaiva dikṣu nitarāmapasārayantam //	ajQAna-gAXa-timirODam-iva-antara-sTam tena-eva dikzu nitarAm-apasArayantam //
   āśāmukhaprasṛmarairarabhinandanīyairāścaryasaṃhananakāntisudhāpravāhaiḥ /	ASA-muKa-prasRmarEH-araBinandanIyEH-AScarya-saMhanana-kAnti-suDA-pravAhEH /
   āplāvayantamiva nirjararājalokamātmapratāpatapanāturamantikastham // 2.25	AplAvayantam-iva nirjara-rAja-lokam-Atma-pratApa-tapana-Aturam-antika-sTam // 2.25
   ālokabāhuvalayaskhalanāravāravācālitākhilaharinmukhamaṇḍalībhiḥ /	Aloka-bAhu-valayasKala-nAravAravAcAlita-aKila-harinmuKa-maNxalIBiH /
   ārādamartyapuravāravilāsinībhirādhūyamānasitacāmaracakravālam // 2.26 //	ArAda-martya-pura-vAra-vilAsinIBiH-ADUyamAna-sita-cAmara-cakra-vAlam // 2.26 //
   vakṣaḥsthalena valamānamanojñahāratārāvalīvalayinā gaganopamena /	vakzaH-sTalena vala-mAna-manojQa-hAra-tArA-valI-va-layinA gagana-upamena /
   ākāśasindhulaharīparirabhyamāṇamābhāsayantamamarādritaṭāvalepam // 2.27 //	AkASa-sinDu-la-harI-pariH-aByamANam-ABAsayantam-amara-adri-tawa-avalepam // 2.27 //
   ambhoruhākṛtimabhaṅgarapadmarāgabhaṅgībhirāracitamadbhutapādapīṭham /	amBoruha-AkRtim-aBaFgara-padmarAga-BaFgIBiH-Aracitam-adButa-pAda-pIWam /
   dānābhibhūtanatapadmanidhiprakāśaṃ savyetareṇa caraṇena parāmṛśantam //	dAna-aBiBUta-nata-padma-niDi-prakASam savya-itareNa caraNena parAmRSantam //
   aṃghreraktalakarasadyutihāriṇībhirabhyudgatābhiraruṇāṃgulidīdhitībhiḥ /	aMGreraktalaka-rasa-dyuti-hAriNIBiH-aByudgatABiH-aruNa-aMguli-dIDitIBiH /
   vandārudevavadanāmbujabodhanāya bālātapaprasaravarṣamivācarantam // 2.29	vandAru-deva-vadana-ambuja-boDanAya bAla-Atapa-prasara-varzam-iva-Acarantam // 2.29
   nakṣatranāthakarakandalamāṃsalena navyena pādanakhadīdhitijālakena /	nakzatra-nATa-kara-kandala-mAMsalena navyena pAda-naKa-dIDiti-jAlakena /
   niṣyandamānasuranirjhariṇīmarandadhārābhirāmacaraṇābjamivābjanābham //	nizyandamAna-sura-nirJariNI-maranda-DArABiH-Ama-caraNa-abjam-iva-abjanABam //
   saṃsāreghoraparitāpajuṣāṃ janānāṃ saṃrakṣaṇāya kimayaṃ samayo na veti /	saMsAra-iGora-paritApa-juzAm janAnAm saMrakzaNAya kim-ayam samayaH na vA-iti /
   jijñāsayā kṣaṇamivāvatarītukāmaṃ māṇikyakuṭṭimatalapratimānibhena // 2.31	jijQAsayA kzaNam-iva-avatarItu-kAmam mANikya-kuwwima-tala-pratimA-niBena // 2.31
   dṛṣṭvā jagattrayaguruṃ śirasā praṇemurdūrānatena tuṣitālayapārijātam /	dRzwvA jagattraya-gurum SirasA praNemuH-dUra-Anatena tuzita-Alaya-pArijAtam /
   vācāmatītya padavīmabhivartamānamārebhire stutibhirarcayituṃ ca devāḥ //	vAcAm-atItya padavIm-aBivartamAnam-AreBire stutiBiH-arcayitum ca devAH //
   dīnāvalokanadaśāntarajṛmbhamāṇakāruṇyapūraparivāhamahāpraṇālaiḥ /	dIna-avalokanadaSAntara-jRmBamANa-kAruNya-pUra-parivAha-mahA-praNAlEH /
   asmānapāṅgaya vinidrasarojamudrākarṇejapaistava surendra! kaṭākṣapātaiḥ //	asmAn-apAFgaya vinidra-saroja-mudrA-karNejapEH-tava sura-indra! kawAkza-pAtEH //
   svairojjihānasuṣamābharadugdhasindhukallolakandalakarambitagātrayaṣṭe /	svEra-ujjihAna-suzam-ABara-dugDa-sinDu-kallola-kandala-karambita-gAtra-yazwe /
   cūḍāvataṃsa! tuṣitālayadevatānāṃ tubhyaṃ namaḥ paramakāruṇikavratāya //	cUxA-avataMsa! tuzita-Alaya-devatAnAm tuByam namaH parama-kAruNika-vratAya //
   prajñāpradhānamahiṣīpadapaṭṭabandhasambhāvanātiśayasambhṛtanirvṛtāya /	prajQA-praDAna-mahizI-pada-pawwa-banDa-samBAvana-atiSaya-samBRta-nirvRtAya /
   sarvottarāśramakathāmṛtapānalīlāgoṣṭhīparāya guṇavāridhaye namaste // 2.35	sarva-uttara-ASrama-kaTA-amRta-pAna-lIlA-gozWI-parAya guNa-vAriDaye namaH-te // 2.35
   maitrīkalatrakucabhārapaṭīrapaṅkapatrāvalīmakarikāṅkaramaṇḍitāya /	mEtrI-kalatra-kuca-BAra-pawIra-paFka-patra-avalIm-akarikA-aFkara-maNxitAya /
   tejastaraṅgitadigantarakandarāya, trailokyabhāgyaparipākabhuve namaste //	tejaH-taraFgita-digantara-kandarAya, trElokya-BAgya-paripAka-Buve namaH-te //
   mārapratāpabaḍavānalakīlajālajājvalyamānajananārṇavadharmanāve /	mAra-pratApa-baxavAnala-kIla-jAlajA-jvalya-mAna-janana-arNava-Darma-nAve /
   divapālaśekharitaśāsanapatrikāya dikyānubhāva! jagadekaguro! namaste //	divapAla-SeKarita-SAsanapatrikAya dikya-anuBAva! jagat-eka-guro! namaH-te //
   niṣyandamānanirapāyakṛpāpravāhavīcīviṭaṅkavalamānaviśāladṛṣṭe /	nizyandamAna-nirapAya-kRpA-pravAha-vIcI-viwaFka-vala-mAna-viSAla-dRzwe /
   dhyānāmṛtadravataraṅgitacittavṛtte! devādideva! jagadekadṛśe namaste //	DyAna-amRta-drava-taraFgita-citta-vRtte! deva-Adideva! jagat-eka-dRSe namaH-te //
   nirvyājakṛttagalanirgaladasradhārānirvāpitakṣudhitarākṣasajāṭharāgne /	nirvyAja-kRt-tagala-nirgalat-asra-DArA-nirvApita-kzuDita-rAkzasa-jAWara-agne /
   nirvāṇakelikṛtinirmitisūtradhāra! netrābhirāma! surarāja! namo namaste //	nirvANa-keli-kRti-nirmiti-sUtra-DAra! netra-aBirAma! surarAja! namaH namaH-te //
   gandharvarājamahilājanagīyamānakīrttipravāhaparivāhitadiṅmukhāya /	ganDarva-rAja-mahilA-jana-gIyamAna-kIrtti-pravAha-parivAhita-diFmuKAya /
   bhavyānurakṣaṇaparāya phalonmukhīnabhāgyādhikāya bhagavan! bhavate	Bavya-anurakzaNa-parAya Pala-unmuKIna-BAgya-aDikAya Bagavan! Bavate
   praṇāmaḥ // 2.40 //	praNAmaH // 2.40 //
   nityapravṛttaniravadyamahāpradānaśobhāparājitasuradruimakāmadheno /	nitya-pravRtta-niravadya-mahA-pradAna-SoBA-aparAjita-suradruima-kAm-a-DenaH /
   śuddhāśayāya sucaritravibhūṣaṇāya tubhyaṃ namastuṣitalokadhurandharāya //	SudDa-ASayAya su-caritra-viBUzaNAya tuByam namaH-tuzita-lokaDuranDarAya //
   rākāsudhākiraṇabimbamano 'bhirāmavaktrāvadhūtavaravārijavaibhavāya /	rAkA-suDA-kiraNa-bimba-manaH aBirAma-vaktra-avaDUta-vara-vAri-ja-vEBavAya /
   śāntāśayāya śapharadhvajabāhuvīryamuṣṭindhayāya munimānyadhiye namaste //	SAnta-ASayAya SaPara-Dvaja-bAhu-vIrya-muzwinDayAya muni-mAnya-Diye namaH-te //
   śṛṅgāritāyatadigantamadāvalendraśuṇḍārakāṇḍaparibhāvukabāhudaṇḍam /	SRFgArita-Ayata-diS-anta-madAvala-indra-SuNxAra-kANxa-pariBAvuka-bAhu-daNxam /
   saundaryakandalitacārumukhāravindaṃ vandāmahe varadarāja! bhavantameva //	sOndarya-kandalita-cAru-muKa-aravindam vandAmahe varada-rAja! Bavantam-eva //
   vīra! tvameva vijitākhiladiṅmukhasya mīnadhvajasya vinipātavidhau	vIra! tvam-eva vijita-aKila-diFmuKasya mIna-Dvajasya vinipAta-viDO
   vidagghaḥ /	vidagGaH /
   siṃhād ṛte jagati kaḥ khalu dhīracetā dantāvalaṃ jayati jarjaritādrikūṭam	siMhAt Rte jagati kaH Kalu DIra-cetAH dantA=-alam jayati jarjarita-adri-kUwam
   vidveṣatāpamakhilaṃ jagatāṃ vinetuṃ śaktastvameva śaraṇāgatapuṇyarāśe /	vidveza-tApam-aKilam jagatAm vinetum SaktaH-tvam-eva SaraNa-Agata-puNya-rASe /
   dhārādharaṃ taralavidyutamantareṇa dāvānalaṃ śamayituṃ bhuviḥ kaḥ kṣameta!	DArADaram tarala-vidyutam-antareNa dAva-analam Samayitum BuviH kaH kzameta!
   mohāndhakāramuṣitāni jagattrayāṇi puṇyādhika! tvamasi bodhayituṃ pravīṇaḥ	moha-anDakAra-muzitAni jagattrayANi puNya-aDika! tvam-asi boDayitum pravINaH
   ko vā vikāsayitumarhati kokabandhuṃ bhānuṃ vinā śaradi paṅkajakānanāni //	kaH vA vikAsayitum-arhati kokabanDum BAnum vinA Saradi paFkaja-kAnanAni //
   tṛṣṇāpravāhamavaśoṣayituṃ janānāṃ tejasvināmadhipa! dakṣatarastvameva /	tRzNA-pravAham-avaSozayitum janAnAm tejasvinAm-aDipa! dakzataraH-tvam-eva /
   kalpāvasānabaḍavānalamantareṇa kaḥ pārayejjagati pātumapāmadhīśam // 2.47	kalpa-avasAna-baxavAn-alam-antareNa kaH pArayet-jagati pAtum-apAm-aDISam // 2.47
   dhīra! tvameva jananāmbunidhestrilokīṃ pāraṃ paraṃ gamayituṃ paṭutāmupaiṣi	DIra! tvam-eva janana-ambuniDeH-trilokIm pAram param gamayitum pawu-tAm-upEzi
   ko vā vihāya bhuvena kuhanāvarāhaṃ kṣoṇīsamuddhṛtividhau kuśalaḥ payodheḥ	kaH vA vihAya Buvena kuhana-avarAham kzoNI-samudDRti-viDO kuSalaH payoDeH
   itthaṃ suparvavihitāṃ stutimādareṇa śrutvā prasannahṛdayastuṣitādhirājaḥ /	itTam su-parva-vihitAm stutim-AdareNa SrutvA prasanna-hRdayaH-tuzita-aDirAjaH /
   gambhīravāridharagarjitamandareṇa tān pratyuvāca vacasā madhurākṣareṇa //	gamBIra-vAri-Dara-garjita-mandareNa tAn pratyuvAca vacasA maDura-akzareNa //
   bho bhoḥpurandaramukhā haridantapālāḥ sambhūya yūyamiha sādaramāgatāḥ kim	Bo BoH-purandara-muKAH hari-dantapAlAH samBUya yUyam-iha sAdaram-AgatAH kim
   kārya mayā kimapi ced bhavatāmabhīṣṭa māvedyatāmalamiha stutisampadeti //	kArya mayA kim-api ced BavatAm-aBIzwa mA-vedya-tAm-alam-iha stuti-sampadA-iti //
   te 'pi prasannamanasaḥ praṇipatya tasmai vyajñāpayan	te api prasanna-manasaH praNipatya tasmE vyajQApayan
   vinayanamritapūrvakāyāḥ /	vinaya-namrita-pUrva-kAyAH /
   devādhideva! jagatāmavabodhanāya, santiṣṭhate samucito 'vasarastaveti //	deva-aDideva! jagatAm-avaboDanAya, santizWate samucitaH avasaraH-tava-iti //
   ākarṇya tadvacanamaśrutapūrvameṣāṃ kālādicintanaparaḥ kṣaṇameṣa bhūtvā /	AkarNya tad-vacanam-aSruta-pUrvam-ezAm kAla-Adi-cintana-paraH kzaNam-eza BUtvA /
   niścitya tat sakalameva nidhirguṇānāṃ pratyabravīt punaramūn	niScitya tat sakalam-eva niDiH-guNAnAm pratyabravIt punar-amUn
   prathitāpadānaḥ // 2.52 //	praTita-apadAnaH // 2.52 //
   śuddhodanasya sutatāmahametya satyaṃ sambodhanaṃ trijagatāṃ niyataṃ	SudDodanasya suta-tAm-aham-etya satyam samboDanam trijagatAm niyatam
   kariṣye /	karizye /
   aṅgairdhanairasubhirapyahametadeva samprārthya puṇyanicayaṃ kṛtavān pureti	aFgEH-Da-nEH-asuBiH-api-aham-etat-eva samprArTya puNya-nicayam kRtavAn purA-iti
   iti kṛtavati tasmin satyasandhe pratijñāṃ parahitaparabhāve	iti kRtavati tasmin satya-sanDe pratijQAm para-hita-para-BAve
   pāramīpāraniṣṭhe /	pAramIpa-AranizWe /
   pramuditamanasaste sphītaromāñcadaṇḍapracayaniculitāṅgāḥ pratyagacchan	pramudita-manasaH-te sPIta-romAQca-daNxa-pracaya-niculita-aFgAH pratyagacCan
   yatheccham // 2.54 //	yaTecCam // 2.54 //
   atha kānicideva vāsarāṇi kṣapayitvā tridive sa devarājaḥ /	aTa kAnicid-eva vAsarANi kzapayitvA tridive sa devarAjaH /
   vidadhe vividhavratojjvalāyāṃ pratisandhiṃ pṛthivīpatermahiṣyām // 2.55 //	vidaDe viviDa-vrata-ujjvalAyAm pratisanDim pRTivIpateH-mahizyAm // 2.55 //
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye dvitīyaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye dvitIyaH sargaH //
   tṛtīyaḥ sargaḥ	tRtIyaH sargaH
   dauhṛdaliṅgādhānam	dOhRda-liFga-ADAnam
   athodayaṃ śākyamahīpatīnāmānandamālījanalocanānām /	aTa-udayam SAkya-mahIpatI-nAm-Ananda-mAlI-jana-locanAnAm /
   āśvāsanaṃ sajjanamānasānāmādhatta sā dauhṛdaliṅgamāryā // 3.1 //	ASvAsanam sat-jana-mAnasAnAm-ADatta sA dOhRda-liFgam-AryAH // 3.1 //
   vivardhamānena ca madhyamena śyāmāyamānena ca cūcukena /	vivarDamAnena ca maDyamena SyAmAyamAnena ca cUcukena /
   garbhodayo 'bhūdalasekṣaṇāyāstasyāḥ sakhonāmanumānagamyaḥ // 3.2 //	garBa-udayaH aBUt-alasa-IkzaNAyAH-tasyAH saKonAm-anumAna-gamyaH // 3.2 //
   mahāmunīnāmapi mānanīye garbhatvamātasthuṣi bodhisattve /	mahA-munInAm-api mAnanIye garBa-tvam-AtasTuzi boDisattve /
   madhyastadīyo manaso 'pi sūkṣmaḥ priyādiva sphītataro babhūva // 3.3 //	maDyaH-tadIyaH manasaH api sUkzmaH priyAt-iva sPItataraH baBUva // 3.3 //
   yathā yathā vṛddhimavāpa tasyā madhyaṃ mahiṣyā mahanīyamūrtteḥ /	yaTA yaTA vRdDim-avApa tasyAH maDyam mahizyAH mahanIya-mUrtteH /
   tathā tathā vṛddhimavāpa gātramaputratāśokakṛśasya bharttuḥ // 3.4 //	taTA taTA vRdDim-avApa gAtram-aputra-tA-Soka-kRSasya BarttuH // 3.4 //
   stanadvayasyāgramabhūd vivarṇaṃ sākaṃ sapatnīvadanena tasyāḥ /	stana-dvayasya-agram-aBUt vivarNam sAkam sapatnI-vadanena tasyAH /
   kiñcānanaṃ garbhabharālasāyāḥ kīrttyā samaṃ pāṇḍuramāsa bharttuḥ // 3.5 //	kiQcAnanam garBa-Bara-alasAyAH kIrttyA samam pANxuram-Asa BarttuH // 3.5 //
   antargatasyādbhutavikramasya viśvatrayīvismayanīyamūrtte /	antargatasya-adButa-vikramasya viSva-trayI-vismayanIya-mUrtte /
   pratāpavahneriva dhūpajālaistasyāḥ stanaḥ śyāmamukho babhūva // 3.6 //	pratApa-vahneH-iva DUpa-jAlEH-tasyAH stanaH SyAma-muKaH baBUva // 3.6 //
   tasyāḥ stanadvandvamaninditāṅgyāḥ śyāmaṃ śikhāyāmavaśeṣapāṇḍu /	tasyAH stana-dvandvam-anindita-aFgyAH SyAmam SiKAyAm-avaSeza-pANxu /
   taṭābhighātāhitapaṅkamudrāmādhatta nāgādhipakumbhalakṣmīm // 3.7 //	tawa-aBiGAta-Ahita-paFkamudrAm-ADatta nAga-aDipa-kumBa-lakzmIm // 3.7 //
