   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   asvātantryadoṣaprasaṅgāt / na tebhyo 'nyatrātmā, nirdehatādoṣāt / na hi	asvAtantrya doza prasaFgAt / na teByaH anyatra AtmA, nirdeha tA dozAt / na hi
   vinā dehenā tmaparikalpa upalabhyata iti / asvātantryatādoṣaḥ	vinA dehenA tma parikalpe upalaByate iti / asvAtantryatA dozaH
   teṣvavaśavartanāt / athaivaṃvidhamātmānaṃ (Abhidh s bh 7)	tezu avaSa vartanAt / aTa evaMviDam AtmAnam (a aBiD s B 7)
   kaścitparikalpayet tathāpi nopapadyate 'rūpādika ātmā, ayatnato mokṣadoṣāt	kaScid parikalpayet taTA api na upapadyate arUpAdikaH AtmA, ayatnatas mokza dozAt 
   / dehādibandhanābhāve hi svarasenaiva mokṣaḥ syāditi //	/ deha Adi banDana aBAve hi svarasena eva mokzaH syAt iti //
   rūpāmātmeti samanupaśyati vedanāṃ saṃjñāṃ saṃskārān vijñānamātmeti	rUpAm AtmA iti samanupaSyati vedanAm saMjQAm saMskArAn vijQAnam AtmA iti
   samanupaśyatītyetāḥ pañcātmadṛṣṭayaḥ / śeṣāḥ pañcadaśātmīyadṛṣṭayaḥ //	samanupaSyati iti etAH paQca Atma dRzwayaH / SezAH paQcadaSa AtmIya dRzwayaH //
   rūpavān yāvadvijñānavāniti saṃbandhenātmīyatā, sā hi tatsaṃvandhāttadvān	rUpavAn yAvat vijQAnavAn iti saMbanDena AtmIyatA, sA hi tad saMvanDAt tadvAn
   bhavatīti / ātmīyaṃ rūpaṃ yāvadvijñānamiti vaśavarttyātmīyatāmupādāya,	Bavati iti / AtmIyam rUpam yAvat vijQAnam iti vaSa vartti AtmIya tAm upAdAya,
   yasya hi yadvaśena vartate dāne viniyoge vā tasya tadātmīyamityucyate /	yasya hi yad vaSena vartate dAne viniyoge vA tasya tat A AtmIyam iti ucyate /
   rūpe yāvadvijñāne ātmetyavinirbhāgavṛttyātmīyatā, ayamātmāeṣvanusṛto	rUpe yAvat vijQAne AtmA iti avinirBAga vRtti AtmIyatA, ayam AtmAezu anusRtaH 
   vistṛtaḥ prakṣipto 'ṅgāṅgānusārigata iti parikalpanāt //	vistRtaH prakziptaH aFga aFga anusAri gataH iti parikalpanAt //
   anirūpitavastukatvaṃ punā rūpamityevamādilakṣaṇaṃ nirūpayata	anirUpita vastuka tvam punA rUpam iti evamAdi lakzaNam nirUpayata
   ātmadṛṣṭeranavakāśāt / tadyathā rajjuṃ sarpato gṛhṇāti kaścit sahasā, na	Atma dRzweH anavakASAt / tat yaTA rajjum sarpataH gRhNAti kaScid sahasA, na
   punā rajjuriti nirūpayaṃstāṃ sarpato gṛhṇīyāditi //	punA rajjuH iti nirUpayan= tAm sarpataH gRhNIyAt iti //
   krodhādayaḥ prajñaptisanto veditavyāḥ, pratighātādivyatirekeṇābhāvāt //	kroDa AdayaH prajQaptisantaH veditavyAH, pratiGAta Adi vyatirekeNa aBAvAt //
   tadūrdhvamiti krodhādūrdhvam / akṣāntirapakārāmarṣaṇam / dharmataiṣā	tad UrDvam iti kroDAt UrDvam / akzAntiH apakAra amarzaNam / Darma tA ezA
   yadavadyaṃ praticchādayataḥ kaukṛtyam, ataścāsparśavihāra iti /	yat avadyam praticCAdayataH kOkRtyam, atas ca asparSa vihAraH iti /
   uccapragāḍhapāruṣyavacanaṃ paramarmaghaṭṭanayogena pratyakṣaravāditā /	ucca pragAXa pAruzya vacanam para marma Gawwana yogena pratyakzaravAdi tA /
   asaṃlekho mātsaryeṇānupayujyamānānāmapyupakaraṇānāṃ saṃnicayādveditavyaḥ /	asaMleKaH mAtsaryeNa anupayujyamAnAnAm api upakaraNAnAm saMnicayAt veditavyaH /
   bhūtadoṣavimālanā anyenānyasya pratisaraṇaṃ veditavyam /	BUta doza vimAlanAH anyena anyasya pratisaraNam veditavyam /
   samyagavavādalābhaparipanthakarmakatvaṃ	samyak avavAda lABa paripanTa karmaka tvam
   yathābhūtamātmānamanāviṣkṛtyāvavādāyogyatvāt / dīrghāyuṣkalakṣaṇagrahaṇaṃ	yaTABUtam AtmAnam anAvizkRtyO= avAda ayogya tvAt / dIrGa Ayuzka lakzaNa grahaNam
   tadvikalpanādamaravitarkapūrvakaṃ jīvitamadotpatteḥ / anyatamānyatamā	tad vikalpanAt amara vitarka pUrvakam jIvita mada utpatteH / anyatama anyatamA
   sāsravā saṃpattiḥ kulavalarūpamedhābuddhibhogaiśvaryādikā veditavyā /	sa asravA saMpattiH kula vala rUpa meDA budDi Boga ESvarya AdikAH veditavyA /
   rāgāṃśikaṃ nāndīsaumanasyaṃ saṃkliṣṭo harṣaviśeṣaḥ /	rAga aMSikam nAndI sOmanasyam saMklizwaH harza viSezaH /
   śubhanimittamanusarato rāgānukūlaṃ pūrvahasitaramitakrīḍitānusmaraṇāt	SuBa nimittam anusarataH rAga anukUlam pUrva hasita ramita krIxita anusmaraNAt
   cittasyānupaśamo veditavyaḥ	cittasya anupaSamaH veditavyaH
   kausīdyasaṃniśrayadānakarmakatvamaśraddadhānasya (Abhidh s bh 8)	kOsIdya saMniSraya dAna karmaka tvam aSraddaDAnasya (a aBiD s B 8)
   prayogacchandābhāvāt / asaṃviditā kāyavākcittacaryābhikramapratikramādiṣu	prayoga= Canda aBAvAt / asaMviditA kAya vAc citta caryA aBikrama pratikrama Adizu
   samyagapratyavekṣitatayā veditavyā / evaṃ hyasya karaṇīyākaraṇīyājñānā	samyak apratyavekzita tayA veditavyA / evam hi asya karaNIya AkaraNIyA jQAnA
   dāpattayo bhavantīti //	dApattayaH Bavanti iti //
   svabhāvavikṣepaḥ pañcavijñānakāyāḥ, prakṛtyaivādhyātmaṃ	svaBAva vikzepaH paQca vijQAna kAyAH, prakRtyA eva aDyAtmam
   samādhātumaśakyatvāt / bahirdhāvikṣepaḥ śrutādikuśale prayuktasya	samADAtum aSakya tvAt / bahirDAvikzepaH Sruta Adi kuSale prayuktasya
   tadālaṃbanādbahiḥ kāmaguṇeṣu cittagamanaṃ veditavyam / adhyātmavikṣepaḥ	tad AlaMbanAt bahis kAma guNezu citta gamanam veditavyam / aDyAtma vikzepaH
   samādhiprayuktasyaiva taccyutikarau layauddhatyamāsvādanā ca /	samADi prayuktasya eva tad cyuti karO laya OdDatyam AsvAdanA ca /
   nimittavikṣepaḥ pare māṃ guṇavattayā	nimitta vikzepaH pare mAm guNavat tayA
   saṃbhāvayiṣyantītyetannimittametadartha kuśalaprayuktasya śanaiḥ	saMBAvayizyanti iti etat nimittam etat arTa kuSala prayuktasya SanEs 
   tatparihāṇito veditavyaḥ / dauṣṭhulya vikṣepo	tad parihANitaH veditavyaH / dOzWulya vikzepaH 
   'haṃkārādidauṣṭhulyavaśādutpannotpanneṣu sukhādiṣu vediteṣvahaṃ mama	ahaMkAra Adi dOzWulya vaSAt utpanna utpannezu suKa Adizu veditezu aham mama
   asmīti vā karaṇāt kuśalapakṣāpariśuddhito veditavyaḥ /	asmi iti vA karaNAt kuSala pakza apariSudDitaH veditavyaH /
   āditastathodgrahaṇamudgrahaḥ / vyavakiraṇā tadūrdhvaṃ tena cittasaṃtānasya	Aditas taTA udgrahaNam udgrahaH / vyavakiraNA tad UrDvam tena citta saMtAnasya
   miśrībhāvaḥ / nimittīkāraḥ tasyaiva veditasya punaḥ punaścitrīkāro	miSrIBAvaH / nimittIkAraH tasya eva veditasya punar punar citrIkAraH 
   veditavyaḥ / manaskāravikṣepaḥ samāpattyantaraṃ vā samāpadyamānasya	veditavyaH / manaskAra vikzepaH samApatti antaram vA samApadyamAnasya
   dhyānāntaraṃ vā saṃśrayataḥ pūrvasmāddhyutthānato veditavyaḥ /	DyAna antaram vA saMSrayataH pUrvasmAt hi utTAnataH veditavyaH /
   vairāgyaparipanthakarmaka ityupakleśātmakaṃ vikṣepamadhikṛtya //	vErAgya paripanTa karmakaH iti upakleSa Atmakam vikzepam aDikRtya //
   middhanimittaṃ tadyathā daurbalyam, śramaḥ, kāyagauravaḥ,	midDa nimittam tat yaTA dOrbalyam, SramaH, kAya gOravaH,
   andhakāranimittasya manasikaraṇam, sarvārambhāṇāmadhyupekṣaṇam punaḥ	anDakAra nimittasya manasi karaNam, sarva AramBANAm aDyupekzaNam punar 
   punastatkālanidrābhyāsaḥ, mantrabalena parainidropasaṃhārastathā	punar tad kAla nidrA aByAsaH, mantra balena parEnidrA upasaMhAraH taTA
   saṃvāhanādibhirveti / mohāṃśika iti samādhito viśeṣaṇārtham /	saMvAhana AdiBiH vA iti / moha aMSikaH iti samADitaH viSezaNa arTam /
   kuśalā(di)bhāvavacanaṃ na tvavaśyaṃ mohātmaka iti kṛtvā / kāla iti rātryā	kuSala A(di)BAva vacanam na tu avaSyam moha AtmakaH iti kRtvA / kAlaH iti rAtryA
   madhyame yāme / akālastato 'nyaḥ / yuktaṃ kāle yathānujñam, akāle 'pi	maDyame yAme / akAlaH tatas anyaH / yuktam kAle yaTA anujQam, akAle api
   glānasya karmaṇyatārtha vā / ayuktastato 'nyaḥ /	glAnasya karmaNya ta arTa vA / ayuktaH tatas anyaH /
   kṛtyātipattisaṃniśrayadānamupakleśātmakasya middhasya veditavyaḥ /	kRtyA atipatti saMniSraya dAnam upakleSa Atmakasya midDasya veditavyaH /
   anabhipretaṃ karaṇamabhipretapūrvikā sucaritaduścaritakriyā, anabhipretaṃ	anaBipretam karaNam aBipreta pUrvikA su carita duScarita kriyA, anaBipretam
   karaṇaṃ parairbalādavaṣṭabhya kāryamāṇasya kleśābhibhavādvā yathāyogaṃ	karaNam parEH balAt avazwaBya kAryamANasya kleSa aBiBavAt vA yaTAyogam
   veditavyam / mohāṃśika ityupakleśasaṃgṛhītaḥ / kāle yāvanna prativiramati,	veditavyam / moha aMSikaH iti upakleSa saMgRhItaH / kAle yAvat na prativiramati,
   akāle tadūrdhvam / yuktaṃ sthāne, ayuktamasthāne / cetanāṃ vā niśritya	akAle tad UrDvam / yuktam sTAne, ayuktam asTAne / cetanAm vA niSritya
   prajñāṃ vetyanabhyūhābhyūhāvasthāyāṃ yathākramam / (Abhidh s bh 9)	prajQAm vA iti anaByUha aByUha avasTAyAm yaTAkramam / (a aBiD s B 9)
   paryeṣaṇākārā manaso 'bhijalpanā vitarkaḥ pratyavekṣaṇākārā manaso	paryezaNa AkArAH manasaH aBijalpanA vitarkaH pratyavekzaNa AkArAH manasaH 
   'bhijalpanānuvicāra iti // tāveva vitarkavicārau saṃvadhyete,	aBijalpana anuvicAraH iti // tO= eva vitarka vicArO saMvaDyete,
   audārikasūkṣmavyavasthānādanayoḥ //	OdArika sUkzma vyavasTAnAt anayoH //
   tadyathālobhasya lobhaprahāṇam, śraddhāyā āśraddhayaprahāṇam /	tat yaTA loBasya loBa prahANam, SradDAyAH ASradDaya prahANam /
   rāgapratipakṣo vairāgyam, tasya paripanthakaraṇam, tasya tena	rAga pratipakzaH vErAgyam, tasya paripanTa karaNam, tasya tena
   tadutpattāvantarāyakaraṇāt / evaṃ krodhādīnāmapyupakleśānāṃ	tad utpattO= antarAya karaNAt / evam kroDa AdInAm api upakleSAnAm
   maitryādyātmīyaratipakṣāntarāyakaraṇaṃ veditavyam //	mEtrI Adi AtmIya rati pakza antarAya karaNam veditavyam //
   cittaviprayuktānāṃ saṃskārāṇāmadhiṣṭhānataḥ svabhāvataḥ prajñaptitaśca	citta viprayuktAnAm saMskArANAm aDizWAnataH svaBAvataH prajQaptitaH ca
   nirdeśo veditavyaḥ / asaṃjñisamāpattinirodhasamāpattī bhūmito 'pi	nirdeSaH veditavyaH / asaMjQi samApatti niroDa samApattI BUmitaH api
   niḥsaraṇavihārasaṃjñāpūrvakābhyāṃ manaskārābhyāmapi nirdiṣṭe / āsaṃjñikaṃ	niHsaraNa vihAra saMjQA pUrvakAByAm manaskArAByAm api nirdizwe / AsaMjQikam
   manaskāravarjyairebhireva / śeṣā adhiṣṭhānādibhistribhireva /	manaskAra varjyEH eBiH eva / SezAH aDizWAna AdiBiH triBiH eva /
   tatra kuśalākuśalānāṃ dharmāṇāmityadhiṣṭhānanirdeśaḥ / ācayāpacaya iti	tatra kuSala akuSalAnAm DarmANAm iti aDizWAna nirdeSaH / Acaya apacayaH iti
   svabhāvanirdeśaḥ / tathāhyācaye 'dhimātraiḥ śraddhādibhiḥ samanvāgata	svaBAva nirdeSaH / taTA hi Acaye aDimAtrEH SradDA AdiBiH samanvAgata
   ityucyate / apacaye sati mṛdubhiriti / prāptiḥ pratilambhaḥ samāgama iti	iti ucyate / apacaye sati mRduBiH iti / prAptiH pratilamBaH samAgamaH iti
   prajñaptiriti prajñaptinirdeśaḥ / evamanyeṣvapi yathāyogaṃ yojayitavyam //	prajQaptiH iti prajQapti nirdeSaH / evam anyezu api yaTAyogam yojayitavyam //
   śubhakṛtsnavītarāgasyeti tṛtīyadhyānavītarāgasya / uparyavītarāgasyeti	SuBa kRtsna vIta rAgasya iti tRtIya DyAna vIta rAgasya / upari avIta rAgasya iti
   caturthadhyānāvītarāgasya / niḥsaraṇasaṃjñāpūrvakeṇeti	caturTa DyAna avIta rAgasya / niHsaraNa saMjQA pUrvakeNa iti
   mokṣasaṃjñāpūrvakeṇa / asthāvarāṇāmiti pravṛttivijñānasaṅgṛhītānām /	mokza saMjQA pUrvakeNa / asTAvarANAm iti pravRtti vijQAna saFgRhItAnAm /
   nirodha iti samāpatticittakṛtaḥ	niroDaH iti samApatti citta kRtaH
   kālāntaramasthāvaracittacaittasamudācāranirodho āśrayasyāvasthāviśeṣo	kAla antaram asTAvara citta cEtta samudAcAra niroDaH ASrayasya avasTA viSezaH 
   nirudhyate 'neneti kṛtvā / nirodhasamāpattāvuparyavītarāgasyetyavacanai	niruDyate anena iti kRtvA / niroDa samApattO= uparyavIta rAgasya iti avacanE
   bhavāgravīta rāgasyārhato 'pi tatsaṃbhavāt / tadekatyānāṃ ca	Bava agravIta rAgasya arhataH api tad saMBavAt / tad ekatyAnAm ca
   sthāvarāṇāmiti kliṣṭamanaḥsaṃgṛhītānām / ete ca samāpattī bhūmitaḥ	sTAvarANAm iti klizwa manaH saMgRhItAnAm / ete ca samApattI BUmitaH
   manaskārato 'dhiṣṭhānataḥ svabhāvataḥ prajñaptitaśca nirdeṣṭe āsaṃjñikaṃ	manaskArataH aDizWAnataH svaBAvataH prajQaptitaH ca nirdezwe AsaMjQikam
   manaskāravarjairebhireva / śeṣā adhiṣṭhānādibhistribhireva //	manaskAra varjEH eBiH eva / SezAH aDizWAna AdiBiH triBiH eva //
   nikāyasabhāga ekajanmikaḥ skandhasaṃtānaḥ / sthitikālaniyama iyantaṃ	nikAya sa BAgaH eka janmikaH skanDa saMtAnaH / sTiti kAla niyamaH iyantam
   kālamanenāsmin nikāyasabhāge 'vasthātavyaṃ varṣaśataṃ varṣasahasraṃ veti	kAlam anena asmin nikAya sa BAge avasTAtavyam varza Satam varza sahasram vA iti
   karmakṛtaḥ sāmarthyaviśeṣaḥ /	karma kRtaH sAmarTya viSezaH /
   (Abhidh s bh 10)	(a aBiD s B 10)
   tasmistasmin sattvanikāya iti devamanuṣyādiṣu sattvajātiṣu /	tasmiH tasmin sattva nikAyaH iti deva manuzya Adizu sattva jAtizu /
   ātmabhāvasadṛśatāyāmityekajātīyatāyām /	Atma BAva sadRSa tAyAm iti eka jAtIyatAyAm /
   bāhyasyāpi rūpasya jātimattve nikāyasabhāgamātragrahaṇaṃ sattvasaṃtāne	bAhyasya api rUpasya jAtimat tve nikAya sa BAga mAtra grahaNam sattva saMtAne
   lakṣaṇaprajñaptijñāpanārtham / bāhyaṃ hi rūpaṃ	lakzaNa prajQapti jQApana arTam / bAhyam hi rUpam
   saṃvarttavivarttaprabhāvitamā dhyātmikāstu jātijarādiprabhāvitā iti /	saMvartta vivartta praBOvitamAH DyAtmikAH tu jAti jarA Adi praBAvitAH iti /
   prabandhavināśo maraṇaṃ veditavyam / ete ca jātyādayo na pratikṣaṇaṃ	prabanDa vinASaH maraNam veditavyam / ete ca jAti AdayaH na pratikzaNam
   veditavyāḥ kiṃtarhi prabandhāvasthāsviti /	veditavyAH kiMtarhi prabanDa avasTAsu iti /
   svabhāvādhivacanaṃ cakṣuḥ śrotraṃ devo manuṣya ityevamādi /	svaBAva aDivacanam cakzuH Srotram devaH manuzyaH iti evamAdi /
   viśeṣādhivacanaṃ sarvasaṃskārā anityāḥ sarvasattvā mariṣyantītyevamādi /	viSeza aDivacanam sarva saMskArAH anityAH sarva sattvAH marizyanti iti evamAdi /
   tadubhayāśrayeṣvi ti svabhāvaviśeṣādhivacanāśrayeṣvakṣareṣu a i u	tad uBaya ASrayezvi ti svaBAva viSeza aDi vacana ASrayezu akzarezu a i u
   ityevamādiṣu / etāvacca sarvaṃ yaduta svabhāvo	iti evamAdizu / etAvat ca sarvam yat uta svaBAvaH 
   viśeṣastadubhayavyavahāraśca, tatsarvamebhiranuvyavahriyata iti / ata ete	viSezaH tad uBaya vyavahAraH ca, tat sarvam eBiH anuvyavahriyate iti / atas ete
   nāmapadavyañjanakāyā vyavasthāpitāḥ / paryāyākṣaraṇatāmupādāyeti yathā	nAma pada vyaQjana kAyAH vyavasTApitAH / paryAya akzaraNa tAm upAdAya iti yaTA
   cakṣuścakṣurityetasmātparyāyādanyeṣvapi netrākṣinayanalocanādiṣu	cakzuH cakzuH iti etasmAt paryAyAt anyezu api netra akzi nayana locana Adizu
   paryāyāntareṣu kṣarati, tairapi tatsaṃjñānāt / naivaṃ a ityetadakṣaraṃ a	paryAya antarezu kzarati, tEH api tad saMjQAnAt / na evam aH iti etat akzaram a
   ityetaṃ paryāyaṃ mukttvā paryāyāntareṇa śakyate jñāpayitum, ataḥ	iti etam paryAyam mukttvA paryAya antareNa Sakyate jQApayitum, atas 
   paryāyākṣaraṇādakṣarāaṇi / kṣaraṇaṃ punargamanaṃ veditavyam //	paryAya akzaraNAt akzarAaNi / kzaraNam punar gamanam veditavyam //
   prabandhānupacchede pravṛttivyavasthānamekasmin kṣaṇe vyavacchinne vā	prabanDa an upacCede pravRtti vyavasTAnam ekasmin kzaNe vyavacCinne vA
   tadupacārābhāvāt hetuphalanānātvamiṣṭasya phalasya sucaritamaniṣṭasya	tad upacAra aBAvAt hetu Pala nAnA tvam izwasya Palasya su caritam anizwasya
   duścaritamityevamādi / phalānāṃ pṛthak pṛthaganyonyahetukatvam /	duScaritam iti evamAdi / PalAnAm pRTak pRTak anyonya hetuka tvam /
   hetuphalasārūpyamanyatve 'pi yadyasya phalaṃ yujyate / tadyathā dānasya	hetu Pala sArUpyam anya tve api yadi asya Palam yujyate / tat yaTA dAnasya
   bhogasaṃpadityevamādi / ekaikasyaiva pravṛttirayugapatpravṛttirveditavyā /	Boga saMpad iti evamAdi / ekEkasya eva pravRttiH ayugapad pravRttiH veditavyA /
   hetuphalasya prabandhena pravṛttau satyāṃ yattatra	hetu Palasya prabanDena pravRttO satyAm yat tatra
   hetuphalamutpannaniruddhaṃ so 'tītaḥ kāla iti prajñapyate, yadanutpannaṃ	hetu Palam utpanna nirudDam saH atItaH kAlaH iti prajQapyate, yat anutpannam
   so 'nāgataḥ kālaḥ, yadutpannāniruddhaṃ sa pratyutpannaḥ kāla iti /	saH anAgataH kAlaH, yat utpanna anirudDam sa pratyutpannaH kAlaH iti /
   hetuphalasya digvyāptau deśopacāraḥ / rūpasaṃgṛhītaṃ cātra hetuphalaṃ	hetu Palasya diS vyAptO deSa upacAraH / rUpa saMgRhItam ca atra hetu Palam
   veditavyamarūpiṇāṃ digvyāpanasāmarthyābhāvāt / pratyekaśo bhede	vedita vyama rUpiNAm diS vyApana sAmarTya aBAvAt / pratyekaSaH Bede
   saṃkhyetyabhinnaikātmakatve dvitrisaṃkhyādyanupapatteḥ /	saMKyA iti aBinna eka Atmaka tve dvi tri saMKyA Adi anupapatteH /
   hetuphalapratyayānāṃ (Abhidh s bh 11) samavadhānaṃ tadyathā vijñānākhyasya	hetu Pala pratyayAnAm (a aBiD s B 11) samavaDAnam tat yaTA vijQAna AKyasya
   hi hetuphalasyendriyāparibhedo vipayābhāsagamanaṃ tajjñānaṃ	hi hetu Palasya indriya apariBedaH vipaya ABAsa gamanam tat jQAnam
   manaskārapratyupasthānaṃ ceti / evamanyatrāpi yojitavyam //	manaskAra pratyupasTAnam ca iti / evam anyatra api yojitavyam //
   ityevamete cittaviprayuktāḥ saṃskārāṇāṃ dharmāṇāmavasthāsu	iti evam ete citta viprayuktAH saMskArANAm DarmANAm avasTAsu
   prajñapanātsarve prajñaptisanto veditavyāḥ / tatra	prajQapanAt sarve prajQaptisantaH veditavyAH / tatra
   kuśalākuśalādyācayāpacayāvasthāyāmekaḥ / cittacaitasikāpravṛttyavasthāyāṃ	kuSala akuSala AdyAcaya apacaya avasTAyAm ekaH / citta cEtasikA pravRtti avasTAyAm
   trayaḥ / sthityavasthāyāmekaḥ / sādṛśyāvasthāyāmekaḥ / lakṣaṇāvasthāyāṃ	trayaH / sTiti avasTAyAm ekaH / sAdRSya avasTAyAm ekaH / lakzaNa avasTAyAm
   catvāraḥ / vyavahārāvasthāyāṃ trayaḥ / alābhāvasthāyāmekaḥ /	catvAraH / vyavahAra avasTAyAm trayaH / alABa avasTAyAm ekaH /
   hetuphalāvasthāyāṃ śeṣā iti / hetuphalaṃ punaratra sarva saṃskṛtaṃ	hetu Pala avasTAyAm SezAH iti / hetu Palam punar atra sarve saMskRtam
   veditavyam / tato 'nyasyotpādāddhetuḥ / anyatastadutpādāt phalamiti //	veditavyam / tatas anyasya utpAdAt hetuH / anyatas tad utpAdAt Palam iti //
   skandhādīnāṃ samudācāre tadbījaparipuṣṭirvāsanetyucyate / sarvabījakaṃ	skanDa AdInAm samudAcAre tad bIja paripuzwiH vAsanA iti ucyate / sarva bIjakam
   teṣāmeva skandhādīnāmutpattibījairyuktatvāt / ālīyante tasmin dharmā	tezAm eva skanDa AdInAm utpatti bIjEH yukta tvAt / AlIyante tasmin DarmA
   bījataḥ, sattvā vātmagrāheṇetyālayavijñānam / pūrvakarmanirmitatvāt	bIjataH, sattvAH vA Atma grAheNa iti Alaya vijQAnam / pUrva karma nirmita tvAt 
   vipākavijñānam / punaḥ punaḥ pratisaṃdhibandhe ātmabhāvopādānā	vipAka vijQAnam / punar punar pratisaMDi banDe Atma BAva upAdAnA
   dādānavijñānam / tatpunaretaccittamityucyate, sarvadharmavāsanācittatvāt	dAdAna vijQAnam / tat punar etat cittam iti ucyate, sarva Darma vAsanA citta tvAt
   tadetadālayavijñānamastīti kathaṃ vijñāyate / yasmāttena vinā	tat etat Alaya vijQAnam asti iti kaTam vijQAyate / yasmAt tena vinA
   upāttamādi spaṣṭatvaṃ bījaṃ karma na yujyate /	upAttam Adi spazwa tvam bIjam karma na yujyate /
   kāyiko 'nubhavo 'citte samāpattī cyutistathā //	kAyikaH anuBavaH acitte samApattI cyutiH taTA //
   etasyāścoddānagāthāyā vibhāgastadyathā viniścayasaṃgrahaṇyāma	etasyAH ca uddAna gATAyAH viBAgaH tat yaTA viniScaya saMgrahaNyAma
   ṣṭābhirākārairālayavijñānasyāstitā pratyetavyā /	zwABiH AkArEH Alaya vijQAnasya astitA pratyetavyAH /
   tadyathāntareṇālayavijñānaṃ āśrayopādānāsaṃbhavataḥ ādipravṛtyasaṃbhavataḥ	tat yaTA antareNa Alaya vijQAnam ASraya upAdAna asaMBavataH Adi pravRti asaMBavataH
   spaṣṭapravṛttyasaṃbhavato bījatvāsaṃbhavataḥ karmāsaṃbhavataḥ	spazwa pravRtti asaMBavataH bIja tva asaMBavataH karma asaMBavataH
   kāyikānubhavāsaṃbhavatācittakasamāpattyasaṃbhavato	kAyika anuBava asaMBavatA cittaka samApatti asaMBavataH 
   vijñānacyutyasaṃbhavataśca //	vijQAna cyuti asaMBavataH ca //
   (Abhidh s bh 12)	(a aBiD s B 12)
   kena kāraṇenāśrayopādānaṃ na yujyate / āha pañcabhiḥ kāraṇaiḥ / tathāhi	kena kAraNena ASraya upAdAnam na yujyate / Aha paQcaBiH kAraNEH / taTA hi
   ālayavijñānaṃ pūrvasaṃskārahetukam / cakṣurādipravṛttivijñānaṃ	AlayavijQAnam pUrva saMskAra hetukam / cakzuH Adi pravRtti vijQAnam
   punarvartamānapratyayahetukam / yathoktam	punar vartamAna pratyaya hetukam / yaTA uktam
   indriyaviṣayamanaskāravaśādvijñānānāṃ pravṛttirbhavatīti vistareṇa / idaṃ	indriya vizaya manaskAra vaSAt vijQAnAnAm pravRttiH Bavati iti vistareNa / idam
   prathamaṃ kāraṇam / api ca kuśalākuśalāḥ ṣaḍvijñānakāyā upalabhyante /	praTamam kAraNam / api ca kuSala akuSalAH zaz vijQAna kAyAH upalaByante /
   idaṃ dvitīyaṃ kāraṇam / api ca ṣaṇṇāṃ vijñānakāyānāṃ sā jātirnopalabhyate	idam dvitIyam kAraNam / api ca zaNNAm vijQAna kAyAnAm sA jAtiH na upalaByate
