   abhidharmadīpaḥ	aBiDarma dIpaH
   rūpaskandhaikadeśena saṃgṛhītāni | yeṣāṃ punarnāmasvabhāvaṃ teṣāṃ	rUpa skanDa eka deSena saMgRhItAni | yezAm punar nAma svaBAvam tezAm
   saṃskāraskandhasaṃgṛhītāni | ayaṃ tvāgamaḥ  "jīvato bhagavato vāṅnāma	saMskAra skanDa saMgRhItAni | ayam tu AgamaH "jIvataH BagavataH vAc nAma
   svabhāvaṃ buddhavacanaṃ gauṇamukhyanyāyena | parinirvṛtasya tu	svaBAvam budDa vacanam gONa muKya nyAyena | parinirvRtasya tu
   nāmasvabhāvameva, na vāksvabhāvam, brahmasvaratvānmunīndrasya, lokavācāṃ	nAma svaBAvam eva, na vAc svaBAvam, brahma svara tvAt muni indrasya, loka vAcAm
   tatsādṛśyānupapatteḥ ||"	tat sAdRSya anupapatteH ||"
   kasmātpunarete ṣaḍ dhātavaḥ pṛthagucyante ? yasmādete	kasmAt punar ete zaw DAtavaH pRTak ucyante ? yasmAt ete
   (Jaini_12)	(JEni_12)
   sattvaprajñaptyupādānaṃ maulaṃ ṣaḍdhātavo matāḥ /	sattva prajQapti upAdAnam mOlam zaz DAtavaH matAH /
   proktāstadbhedato yasmādasmimāno nivartate // Abhidh d_13 //	proktAH tad BedataH yasmAt asmimAnaH nivartate // ABiD t _13 //
   ete hi ṣaḍdhātavo garbhāvakrāntikāle maulaṃ sattvadravyaprajñaptyupādānam	ete hi zaz DAtavaH garBAvakrAnti kAle mOlam sattva dravya prajQapti upAdAnam
   | katham ? yasmādayaṃ kāyākhyaḥ samucchrāyaḥ pṛthivīdhātunā	| kaTam ? yasmAt ayam kAya AKyaH samucCrAyaH pRTivI DAtunA
   khakkhaṭalakṣaṇena sandhārito bhūtāntaravṛttyudreko	KakKawa lakzaNena sanDAritaH BUta antara vRtti udrekaH 
   'sthisnāyunakhadantaromādisaṃcayaḥ | abdhātunā dravasnehalakṣaṇena	asTi snAyu naKa danta roma Adi saMcayaH | abDAtunA drava sneha lakzaNena
   śleṣmarudhirādimayenābhiṣyanditasaṃśleṣitabhūtāntaraḥ |	Slezma ruDira Adi mayena aBizyandita saMSlezita BUta antaraH |
   tejodhātunoṣṇasvabhāvena paripācitakledadaurgandhaḥ | vāyunā ca	tejaH DAtunA uzNa svaBAvena paripAcita kleda dOrganDaH | vAyunA ca
   preraṇātmakena saṃcāritabhojanarasadhātuviṇmūtraśleṣmapittasaṃcayaḥ |	preraNa Atmakena saMcArita Bojana rasa DAtu viz mUtra Slezma pitta saMcayaH |
   nabhodhātunā ca	naBaH DAtunA ca
   mukhanāsikākarṇādicchidrajanitabhojanapānādipraveśaniṣkramaṇakriyaḥ |	muKa nAsikA karNa Adi= Cidra janita Bojana pAna Adi praveSa nizkramaNa kriyaH |
   vijñānadhātunā vastūpalabdhilakṣaṇena	vijQAna DAtunA vastu upalabDi lakzaNena
   vāyudhātukriyādhyāsinotpāditasaṃjanitāṅgapratyaṅgaceṣṭo maulaṃ	vAyu DAtu kriyA DyAsina utpAdita saMjanita aFga pratyaFga cezwaH mOlam
   sattvadravyamityupacaryate | indriyāṇi cakṣurādīni khalvatra	sattva dravyam iti upacaryate | indriyANi cakzuH AdIni Kalu atra
   bhūtagrahaṇena gṛhyante, caitasikā vijñānagrahaṇeneti prādhānyād	BUta grahaNena gRhyante, cEtasikA vijQAna grahaNena iti prADAnyAt 
   bhūtacittagrahaṇam |	BUta citta grahaNam |
   kimarthaṃ punareta eva dhātuṣaṭkamupadiṣṭam ? yasmādasya bhedāt 'asmimāno	kimarTam punar ete eva DAtu zawkam upadizwam ? yasmAt asya BedAt aasmimAnaH 
   nivartate'; | katham ? ṣaḍdhātuprabhedādātmadṛṣṭinirāsaḥ |	nivartate a; | kaTam ? zaz DAtu praBedAt Atma dRzwi nirAsaH |
   tannirāsādasmimānasamuddhātaḥ ||	tad nirAsAt a smi mAna samudDAtaH ||
   'satkāyadṛṣṭipuṣṭatvāt'	asat kAya dRzwi puzwa tvAt a
   ityatra punaḥ	iti atra punar 
   kliṣṭameva hi vijñānaṃ	klizwam eva hi vijQAnam
   vijñānadhāturabhipretam | kasmāt ?	vijQAna DAtuH aBipretam | kasmAt ?
   draṣṭavyaṃ janmani śrayāt /	drazwavyam janmani SrayAt /
   yasmādete ṣaḍdhātavo janmano niśrayabhūtāstasmāt | 'kliṣṭameva vijñānaṃ';	yasmAt ete zaz DAtavaH janmanaH niSraya BUtAH tasmAt | aklizwam eva vijQAna M a;
   atra draṣṭavyam |	atra drazwavyam |
   (Jaini_13)	(JEni_13)
   kaḥ punarayamākāśadhāturanyaḥ punaḥ pṛthagākāśāt ? taducyate |	kaH punar ayam AkASa DAtuH anyaH punar pRTak AkASAt ? tat ucyate |
   khadhātuḥ pṛthagākāśādrūpāyatanasaṃgrahāt // Abhidh d_14 //	KaDAtuH pRTak AkASAt rUpa Ayatana saMgrahAt // ABiD t _14 //
   ākāśaṃ hi dharmāyatanasaṃgṛhītaṃ nityaṃ ca | ākāśadhātustu cākṣuṣo	AkASam hi Darma Ayatana saMgRhItam nityam ca | AkASa DAtuH tu cAkzuzaH 
   rūpāyatanasaṃgṛhītaḥ, ālokatamaḥsvabhāvo varṇaviśeṣo	rUpa Ayatana saMgRhItaH, AlokatamaH svaBAvaH varNa viSezaH 
   vātāyanacchidrādyabhivyaktarūpaḥ | tatpunaḥ	vAtAyana= Cidra Adi aBivyakta rUpaH | tat punar 
   nabhaḥ khalu nabho dhātorāsanno hetureṣa tu /	naBaH Kalu naBaH DAtoH AsannaH hetuH eza tu /
   bhūtānāṃ tāni tajjasya rūpasyaitattu cetasaḥ // Abhidh d_15 //	BUtAnAm tAni tad jasya rUpasya etat tu cetasaH // ABiD t _15 //
   uktaṃ hi bhagavatā  "pṛthivyapsu niśritā | āpo vāyau | vāyurākāśe | ākāśaṃ	uktam hi BagavatA "pRTivI apsu niSritA | ApaH vAyO | vAyuH AkASe | AkASam
   tu nityatvātsvapratiṣṭhitam" iti |	tu nitya tvAt sva pratizWitam" iti |
   yadi khalu svapratiṣṭhamākāśaṃ kasmāttarhyuṃktam  ākāśamāloke sati	yadi Kalu sva pratizWam AkASam kasmAt tarhi uMktam AkASam Aloke sati
   prajñāyate |" brūmaḥ | naiṣa doṣaḥ | ādheyenādhāraprajñāpanāt | sarvasya	prajQAyate |" brUmaH | na eza dozaH | ADeyena ADAra prajQApanAt | sarvasya
   khalu saṃskṛtasya mūrtikriyāpratilambhe gaganamādhāraḥ |	Kalu saMskRtasya mUrti kriyA pratilamBe gaganam ADAraH |
   athavākāśadhāturatrākāśaśabdenoktaḥ | sa hi brāhmaṇaḥ praṣṭā	aTavA AkASa DAtuH atra AkASa Sabdena uktaH | sa hi brAhmaNaH prazwA
   tasminnākāśadhātāvākāśasaṃjñītyata evoktamāloke sati prajñāyate | na	tasmin= AkASa DAtO= AkASa saMjQI iti atas eva uktam Aloke sati prajQAyate | na
   cākāśamāloke sati prajñāyate, (Jaini_14) anidarśanatvāt | eṣa	ca AkASam Aloke sati prajQAyate, (JEni_14) anidarSana tvAt | eza
   akāśadhāturbhūtānāmāsanno niśrayaḥ | tāni tu tajjasyopādāyarūpasya |	akASa DAtuH BUtAnAm AsannaH niSrayaH | tAni tu tad jasyA upAdAya rUpasya |
   tadapi vijñānasya | vijñānamadhicaitasikānāṃ viprayuktānāṃ ca dharmāṇām |	tat api vijQAnasya | vijQAnam aDicEtasikAnAm viprayuktAnAm ca DarmANAm |
   ata ākāśaṃ trailokyapratiṣṭhā | tadabhāve	atas AkASam trElokya pratizWA | tad aBAve
   trailokyamapratiṣṭhitamanādhāraṃ, na prajñāyeta | tasmādākāśaṃ	trElokyam apratizWitam anADAran, na prajQAyeta | tasmAt AkASam
   jagadutpattipralayanimittaṃ na nārāyaṇa iti siddham | gatametat ||	jagat utpatti pralaya nimittam na nArAyaNaH iti sidDam | gatam etat ||
   idānīṃ vaktavyam | ṣaṇṇāmadhyātmikānāṃ dhātūnāṃ ko 'nukramaḥ ? brūmaḥ |	idAnIm vaktavyam | zaNNAm aDyAtmikAnAm DAtUnAm kaH anukramaH ? brUmaH |
   pratyakṣavṛttiryattatprāgaprāptagrāhyato 'pi yat /	pratyakza vRttiH yat tat prAc aprApta grAhyataH api yat /
   tato 'pi yaddavīyo 'rthaṃ paṭiṣṭhamitarādapi // Abhidh d_16 //	tatas api yat davIyaH arTam pawizWam itarAt api // ABiD t _16 //
   pratyakṣavṛttīni khalu cakṣurādīni pañca prāguktāni | tebhyo	pratyakza vRttIni Kalu cakzuH AdIni paQca prAk uktAni | teByaH 
   'pyaprāptagrāhiṇī dve prāgukte | tayorapi yadya(dda)vīyo 'rthaṃ	api aprApta grAhiNI dve prAk ukte | tayoH api yat ya(t da)vIyaH arTam
   tatprāguktam | prāptagrāhiṇāṃ tu 'paṭiṣṭhamitarādapi'; yatpaṭutaraṃ	tad prAc uktam | prApta grAhiNAm tu apawizWam itarAt api a; yat pawutaram
   tatprāguktamiti ||	tad prAk uktam iti ||
   abhidharmadīpe vimāṣāprabhāyāṃ vṛttau prathamādhyāsya dvitīyaḥ pādaḥ ||	aBiDarma dIpe vimAzA praBAyAm vRttO praTama aDyAsya dvitIyaH pAdaH ||
   (Jaini_15)	(JEni_15)
   prathamādhyāye	praTama aDyAye
   tṛtīyapādaḥ |	tRtIya pAdaH |
   idamidānīṃ vaktavyam | ya ete 'ṣṭādaśadhātavaḥ, eṣāṃ kati sanidarśanāḥ	idam idAnIm vaktavyam | ye ete azwAdaSa DAtavaH, ezAm kati sa nidarSanAH
   katyanidarśanāḥ ? kati sapratighāḥ katya pratidhāḥ ? kati vyākṛtāḥ	kati anidarSanAH ? kati sa pratiGAH katya pratiDAH ? kati vyAkRtAH
   katyavyākṛtā iti ? ata idaṃ pratāyate ||	kati avyAkRtAH iti ? atas idam pratAyate ||
   sanidarśana ādyārthaḥ	sa nidarSanaH Adya arTaH
   ādyasya cakṣurdhātoryortho rūpadhātvākhyaḥ sa sanidarśanaḥ | saha	Adyasya cakzuH DAtoH yorTaH rUpa DAtu AKyaH sa sa nidarSanaH | saha
   nidarśanena nirdiṣṭa iti kṛtvā | nidarśanaṃ vāsya saṃbandhi vidyata iti	nidarSanena nirdizwaH iti kRtvA | nidarSanam vA asya saMbanDi vidyate iti
   sanidarśanaḥ ||	sa nidarSanaH ||
   mūrtāḥ sapratighā daśa /	mUrtAH sa pratiGAH daSa /
   saptacittadhātūndharmadhātuṃ ca hitvā daśānye mūrtā dhātavaḥ 'sapratighā	sapta citta DAtUn Darma DAtum ca hitvA daSa anye mUrtA DAtavaH asa pratiGA
   daśa'; |	daSa a; |
   pratigho nāma pratighātaḥ | sa ca trividhaḥ |	pratiGaH nAma pratiGAtaH | sa ca triviDaH |
   āvaraṇaviṣayālambanapratighātaḥ | tatrāvaraṇapratighātaḥ svedeśe	AvaraNa vizaya Alambana pratiGAtaH | tatra AvaraNa pratiGAtaH sveda ISe
   parasyotpattipratibandhaḥ | sa tu mūrtānāmeva saṃsthānavatāṃ paramāṇūnāṃ	parasya utpatti pratibanDaH | sa tu mUrtAnAm eva saMsTAnavatAm paramANUnAm
   digdeśanirdeśyānāṃ dharmāṇām | yathā hastohastena pratihanyate upalo	diS deSa nirdeSyAnAm DarmANAm | yaTA hastaH haH tena pratihanyate upalo
   vopalena | viṣayapratighātaścakṣurādīnāṃ viṣayiṇāṃ rūpādiṣu sveṣu viṣayeṣu	vA upalena | vizaya pratiGAtaH cakzuH AdInAm vizayiNAm rUpa Adizu svezu vizayezu
   pratighātaḥ | yasya yasmin vṛttiḥ sannipātalakṣaṇā kāritrākhyā ca sa	pratiGAtaH | yasya yasmin vRttiH sannipAta lakzaNA kAritra AKyA ca sa
   tasmin pratihanyate tato 'nyatrāvṛtteḥ | ālambanapratighātaścittacaittānāṃ	tasmin pratihanyate tatas anyatra AvRtteH | Alambana pratiGAtaH citta cEttAnAm
   sveṣvālambaneṣu pratighātaḥ ||	svezu Alambanezu pratiGAtaH ||
   kaḥ punarviṣayālambanayorviśeṣaḥ ? yasminyasya kāritraṃ sa tasya viṣayaḥ |	kaH punar vizaya AlambanayoH viSezaH ? yasmin yasya kAritram sa tasya vizayaH |
   yaccittacaittairgṛhyate tadālambanam | tadihāvaraṇapratighātena daśānāṃ	yat citta cEttEH gRhyate tad Alambanam | tad iha AvaraNa pratiGAtena daSAnAm
   sapratighatvamanyonyāvaraṇāt |	sa pratiGa tvam anyonya AvaraNAt |
   (Jaini_16)	(JEni_16)
   'ye dharmā viṣayapratighātena sapratighā āvaraṇapratighātenāpi te'; iti ?	aye DarmAH vizaya pratiGAtena sa pratiGAH AvaraNa pratiGAtena api te a; iti ?
   catuṣkoṭikaḥ | prathamā koṭiḥ  saptacittadhātavodharmadhātupradeśaśca yaḥ	catuzkowikaH | praTamA kowiH sapta citta DAtavoDarma DAtu pradeSaH ca yaH
   saṃprayuktaḥ | dvitīyā  pañca viṣayāḥ | tṛtīyā  pañcendriyāṇi | caturthī 	saMprayuktaH | dvitIyA paQca vizayAH | tRtIyA paQca indriyANi | caturTI 
   dharmadhātupradeśaḥ saṃprayuktakavarjaḥ |	DarmaDAtu pradeSaH saMprayuktaka varjaH |
   'ye viṣayapratighātena sapratighā ālambanapratighātenāpi te'; iti	aye vizaya pratiGAtena sa pratiGAH Alambana pratiGAtena api te a; iti
   paścātpādakaḥ  ye tāvadālambanapratighātena viṣayapratighātenāpi te syuḥ |	paScAt pAdakaH ye tAvat Alambana pratiGAtena vizaya pratiGAtena api te syuH |
   viṣayapratighātena, nālambanapratighātena pañcendriyāṇi |	vizaya pratiGAtena, na Alambana pratiGAtena paQca indriyANi |
   "yatrotpitsormanasaḥ pratighātaḥ śakyate paraiḥ kartum |	"yatra utpitsoH manasaH pratiGAtaH Sakyate parEH kartum |
   tatsapratighaṃ jñeyaṃ viparyayādapratighamiṣṭam ||"	tat sa pratiGam jQeyam viparyayAt apratiGam izwam ||"
   iti bhadantakumāralātaḥ |	iti Badanta kumAra lAtaH |
   uktāḥ sapratighāḥ ||	uktAH sa pratiGAH ||
   kuśalādayo 'bhidhīyante |	kuSala AdayaH aBiDIyante |
   anyatra rūpaśabdābhyāṃ ta evāvyākṛtā matāḥ // Abhidh d_17 //	anyatra rUpa SabdAByAm te eva avyAkRtAH matAH // ABiD t _17 //
   ta eva daśāvyākṛtā rūpaśabdadhātuvarjāḥ | tau hi triprakārau	te eva daSa avyAkRtAH rUpa Sabda DAtu varjAH | tO hi tri prakArO
   kuśalākuśalāvyākṛtau ||	kuSala akuSala avya AkRtO ||
   śeṣāstridhā	SezAH triDA
   (Jaini_17)	(JEni_17)
   saptacittadhātavo hi triprakārāḥ | dharmadhātuśca |	sapta citta DAtavaH hi tri prakArAH | DarmaDAtuH ca |
   saṃprayuktastriprakāraḥ, viprayukto 'saṃskṛtaśca | yathāśāstraṃ kaścit	saMprayuktaH tri prakAraH, viprayuktaH asaMskRtaH ca | yaTASAstram kaScid 
   triprakāraḥ kaścidekaprakāraḥ saṃbhavato draṣṭavyaḥ |	tri prakAraH kaScid eka prakAraH saMBavataH drazwavyaH |
   kaḥ punaḥ kuśalārthaḥ ? śikṣitārthaḥ kuśalārthaḥ pravīṇavat |	kaH punar kuSala arTaH ? Sikzita arTaH kuSala arTaH pravINa vat |
   vipākahetāvaupamiko draṣṭavyaḥ | evamakuśalo 'pi	vipAka hetO= OpamikaH drazwavyaH | evam akuSalaH api
   avyākṛtastūbhayapakṣāvyākaraṇādavyākṛta ityabhiprāyaḥ ||	avyAkRtaH tu uBaya pakza avyAkaraNAt avyAkRtaH iti aBiprAyaH ||
   kati kāmadhātupratisaṃyuktāḥ kati yāvadapratisaṃyuktā iti |	kati kAmaDAtu pratisaMyuktAH kati yAvat apratisaMyuktAH iti |
   tadidamārabhyate |	tat idam AraByate |
   iha sarve 'pi	iha sarve api
   kāmadhātau sarve 'pyaṣṭādaśa vidyante |	kAmaDAtO sarve api azwAdaSa vidyante |
   rūpadhātau caturdaśa /	rUpa DAtO caturdaSa /
   rasagandhau savijñānau dhātū hitvā	rasa ganDO sa vijQAnO DAtU hitvA
   gandharasadhātū tadvijñānadhātū ca hitvā | ārūpye	ganDa rasa DAtU tad vijQAna DAtU ca hitvA | ArUpye
   trayontimāḥ // Abhidh d_18 //	trayontimAH // ABiD t _18 //
   (Jaini_18)	(JEni_18)
   agrapaścāntimaḥ smṛtaḥ | antāścetyupasaṃkhyānam | paścimā	agrapaH ca antimaH smRtaH | antAH ca iti upasaMKyAnam | paScimA
   manodhātumanovijñānadhātudharmadhātava evamārūpyadhātau santi ||	manaH DAtu manaH vijQAna DAtu Darma DAtavaH evam ArUpya DAtO santi ||
   kati sāsravāḥ katyanāsravāḥ	kati sa AsravAH kati anAsravAH
   sāsravānāstravā antyāstrayaḥ	sa AsravAna astravAH antyAH trayaH
   anantaroktāstatra sāsravāḥ duḥkhasamudayasatyasaṃgṛhītāḥ | anāsravāstu	anantara uktAH tatra sa AsravAH duHKa samudaya satya saMgRhItAH | anAsravAH tu
   mārgasatyāsaṃskṛtasaṃgṛhītāḥ ||	mArga satya asaMskRta saMgRhItAH ||
   śeṣāstu sāsravāḥ /	SezAH tu sa AsravAH /
   pañcadaśadhātavaḥ sāsravāḥ, āsravasaṃyogitvavyavakīrṇatvāṅgabhāvebhyaḥ |	paQcadaSa DAtavaH sa AsravAH, Asrava saMyogi tva vyavakIrNa tva aFga BAveByaH |
   kośakārastvāha  "anuśayānuśayanātsāsravāḥ |" tadetadabrahma | na |	koSakAraH tu Aha "anuSaya anuSayanAt sa AsravAH |" tat etat abrahma | na |
   niruktānuśayārthāparijñānāt | niruktāparijñānaṃ tāvat | anuśayānuśayanāt	nirukta anuSaya arTa aparijQAnAt | niruktA parijQAnam tAvat | anuSaya anuSayanAt
   sānuśayāḥ |	sa anuSayAH |
   na sāsravā na yāvadoghāḥ | āsravā hi ābhavāgrādyāvadavīcimupādāya	na sa AsravAH na yAvat oGAH | AsravAH hi ABava agrAdyAvat avIcim upAdAya
   cittasantatiṃ strāvayanti svayaṃ ca sravantītyāsravāḥ |	citta santatim strAvayanti svayam ca sravanti iti AsravAH |
   anuśayāstvanuśerate | kleśāḥ kliśnanti | granthā grathnanti | saṃyojanāni	anuSayAH tu anuSerate | kleSAH kliSnanti | granTAH graTnanti | saMyojanAni
   saṃyojayanti | oghāḥ apaharanti | iti svakriyādvāreṇaiteṣu vargeṣvetā	saMyojayanti | oGAH apaharanti | iti sva kriyAdvAreNa etezu vargezu etAH 
   nairuktyasaṃjñā niviśanta ityeṣā vyākhyānītirjyāyasī |	nEruktyasaMjQAH niviSantaH iti ezA vyAKyAnItiH jyAyasI |
   (Jaini_19)	(JEni_19)
   anuśayārtho 'pi yadi puṣṭyarthastena mārganirvāṇālambaneṣu	anuSaya arTaH api yadi puzwi arTaH tena mArga nirvANa Alambanezu
   mithyādṛṣṭyādiṣu poṣotkarṣadarśanāt, nirvāṇamārgayorapi rūpādivat	miTyA dRzwi Adizu poza utkarza darSanAt, nirvANa mArgayoH api rUpa Adi vat 
   sāsravatvaprasaṅga iti | gatametat ||	sa asrava tva prasaFgaH iti | gatam etat ||
   kati savitarkāḥ kati savicārā iti vistaraḥ |	kati sa vitarkAH kati sa vicArAH iti vistaraH |
   sālambaprathamāḥ pañca sopacārāstrayastridhā // Abhidh d_19 //	sa Alamba praTamAH paQca sa upacArAH trayaH triDA // ABiD t _19 //
   sālambanānāṃ dhātūnāṃ ye prathamāḥ pañca te savitarkāḥ savicārāḥ |	sa AlambanAnAm DAtUnAm ye praTamAH paQca te sa vitarkAH sa vicArAH |
   'trayastridhā'; | ye tvantyāstrayaste tredhā | savitarkāḥ savicārāḥ |	atrayaH triDA a; | ye tu antyAH trayaH te treDA | sa vitarkAH sa vicArAH |
   vicāramātrāścāvitarkāḥ | avicārāśca | kāmadhātau prathame ca dhyāne	vicAra mAtrAH ca avitarkAH | avicArAH ca | kAmaDAtO praTame ca DyAne
   vitarko naiṣu triṣu prakāreṣu praviśati | sa khalvavitarko vicāramātraśca	vitarkaH na ezu trizu prakArezu praviSati | sa Kalu avitarkaH vicAra mAtraH ca
   atrāha  yadi pañcavijñānakāyāḥ savitarkāḥ savicārāḥ kathaṃ tarhi avikalpā	atra aha yadi paQca vijQAna kAyAH sa vitarkAH sa vicArAH kaTam tarhi avikalpA
   ityucyante ? brūmaḥ	iti ucyante ? brUmaH
   nirvikalpaguṇasvārthāḥ	nirvikalpa guNa sva arTAH
   guṇaḥ svārtho yeṣāṃ te bhavanti 'guṇasvārthāḥ'; | ete hi	guNaH sva arTaH yezAm te Bavanti aguNa sva arTAH a; | ete hi
   asmārādanirūpaṇāt /	asmArAt anirUpaNAt /
   avikalpā ityucyante | etau hi pradhānau vikalpau traiyadhvikadharmaviṣayau	avikalpAH iti ucyante | etO hi praDAnO vikalpO trEyaDvika Darma vizayO
   | (Jaini_20) yogināṃ kṛtākṛtakarmāntapratyavekṣaṇā cittarakṣaṇe smṛtiḥ	| (JEni_20) yoginAm kRta akRta karmAnta pratyavekzaNA citta rakzaNe smRtiH
   pradhānī bhavati | dharmasvasāmānyalakṣaṇahetuphalasaṃbandhādiṣu	praDAnI Bavati | Darma sva sAmAnya lakzaNa hetu Pala saMbanDa Adizu
   pravicayākhyaḥ prajñāsvabhāvaḥ prādhānyamanubhavati | atra tu	pravicaya AKyaH prajQA svaBAvaH prADAnyam anuBavati | atra tu
   manobhaumī smṛtiḥ pūrvo dvitīyo dhīrnirūpikā // Abhidh d_20 //	manaH BOmI smRtiH pUrvaH dvitIyaH DIH nirUpikA // ABiD t _20 //
   'manobhaumī'ti vartate | pañcānāṃ vijñānakāyānāṃ	amanoBOmI ati vartate | paQcAnAm vijQAna kAyAnAm
   jātibadhirapuruṣarūpadarśanavadvṛttiḥ | tatrāpi ca smṛtiḥ samāhitā	jAti baDira puruza rUpa darSana vat vRttiH | tatra api ca smRtiH samAhitA
   cāsamāhitā ca anusmṛtivikalpaḥ, ālambanābhilapanatulyatvāt | prajñā	ca asamAhitA ca anusmRti vikalpaH, Alambana aBilapana tulya tvAt | prajQA
   tvasamāhitaivābhinirūpaṇā vikalpaḥ, samāhitāyāḥ	tu asamAhitA eva aBinirUpaNAH vikalpaH, samAhitAyAH
   prakāraviśeṣanirūpaṇābhāvāt, pūrvanirūpitopalakṣaṇamātravṛttitvācca ||	prakAra viSeza nirUpaNa aBAva at, pUrva nirUpita upalakzaNa mAtra vRtti tvAt ca ||
   athaiṣāṃ ṣaṇṇāṃ vijñānakāyānāṃ kataradvijñānaṃ kiyadbhiḥ savikalpakam ?	aTa ezAm zaNNAm vijQAna kAyAnAm katara t vijQAnam kiyadBiH sa vikalpakam ?
   tadidamāviṣkriyate |	tat idam Avizkriyate |
   vijñānapañcakaṃ kāmeṣvekena savikalpakam /	vijQAna paQcakam kAmezu ekena sa vikalpakam /
   svabhāvavikalpena |	svaBAva vikalpena |
   tasmādanyat tribhiḥ	tasmAt anyat triBiH
   manovijñānaṃ kāmeṣu tribhiḥ savikalpakam |	manaH vijQAnam kAmezu triBiH sa vikalpakam |
   dhyāne prathame cāsamāhitam // Abhidh d_21 //	DyAne praTame ca asamAhitam // ABiD t _21 //
   prathame hi dhyāne yadasamāhitaṃ manovijñānaṃ tat tribhireva |	praTame hi DyAne yat asamAhitam manaH vijQAnam tat triBiH eva |
   dvābhyāmavyagraṃ	dvAByAm avyagram
   yatpunaḥ samāhitaṃtaddvābhyāmevābhinirūpaṇavikalpamapāsya |	yat punar samAhitaMtad dvAByAm eva aBinirUpaNa vikalpam apAsya |
   ekena cakṣuḥśrotratvagāśrayam /	ekena cakzuH Srotra tvac ASrayam /
   yatpunaścakṣuḥśrotratvagāśrayaṃ vijñānaṃ prathame dhyāne tadekenaiva |	yat punar cakzuH Srotra tvac ASrayam vijQAnam praTame DyAne tat ekena eva |
   dvābhyāṃ taduparivyagraṃ	dvAByAm tad upari vyagram
   dvitīyādiṣu dhyāneṣu dvābhyāṃ vyagramiti vartate |	dvitIya Adizu DyAnezu dvAByAm vyagram iti vartate |
   (Jaini_21)	(JEni_21)
   ekenaiva samāhitam // Abhidh d_22 //	ekena eva samAhitam // ABiD t _22 //
   anusmṛtivikalpenaiva | evaṃ yāvadbhavāgram ||	anusmRti vikalpena eva | evam yAvat Bava agram ||
   idamidānīṃ vaktavyam | kutra kasya ṣaṭprakāraṃ vijñānaṃ kuśalādivikalpakaṃ	idam idAnIm vaktavyam | kutra kasya zaz prakAram vijQAnam kuSala Adi vikalpakam
   bhavati ? tadidamabhidharmagahvaraṃ prastūyate |	Bavati ? tat idam aBiDarma gahvaram prastUyate |
   ucchinnaśubhabījasya darśanaṃ savikalpakam /	ucCinna SuBa bIjasya darSanam sa vikalpakam /
   kuśalaṃ nāsti vijñānamanyatra pratisandhitaḥ // Abhidh d_23 //	kuSalam na asti vijQAnam anyatra pratisanDitaH // ABiD t _23 //
   iha tāvaducchinnakuśalamūlasya pañca rūpondriyāśrayabalotpannaṃ darśakaṃ	iha tAvat ucCinna kuSala mUlasya paQca rUpa undriya ASraya bala utpannam darSakam
   vijñānaṃ kuśalaṃ na vidyate, anyatra kuśalamūlapratisandhānāt |	vijQAnam kuSalam na vidyate, anyatra kuSala mUla pratisanDAnAt |
   kāmebhyo vītarāgasya bālasyāhānidharmiṇaḥ /	kAmeByaH vIta rAgasya bAlasya aha aniDarmiNaH /
