   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   sadā ca bhūteṣu samo 'ham īśvaraḥ kṣarākṣarābhyāṃ paramo hy athottamaḥ /	sadA ca BUtezu samaH aham ISvaraH kzara-akzarAByAm paramaH hi aTa-uttamaH /
   parātmatattvaś ca tathādvayo 'pi san viparyayeṇābhivṛtas tv avidyayā //	para-Atma-tattvaH ca taTA-dvayaH api san viparyayeNa-aBivRtaH tu avidyayA //
   SamUpad_I,10.8 //	SamUpat-_I,10.8 //
   avidyayā bhāvanayā ca karmabhir vivikta ātmāvyavadhiḥ sunirmalaḥ /	avidyayA BAvanayA ca karmaBiH vivikte AtmAvyavaDiH su-nirmalaH /
   dṛgādiśaktipracito 'ham advayaḥ sthitaḥ svarūpe gaganaṃ yathācalam //	dRS-Adi-Sakti-pracitaH aham advayaH sTitaH svarUpe gaganam yaTA-acalam //
   SamUpad_I,10.9 //	SamUpat-_I,10.9 //
   ahaṃ paraṃ brahma viniścayātmadṛṅ na jāyate bhūya iti śruter vacaḥ /	aham param brahma viniScaya-Atma-dRS na jAyate BUyas iti SruteH vacaH /
   na caiva bīje tv asati prajāyate phalaṃ na janmāsti tato hy amohatā //	na ca-eva bIje tu asati prajAyate Palam na janma-asti tatas hi amohatA //
   SamUpad_I,10.10 //	SamUpat-_I,10.10 //
   mamedam itthaṃ ca tavāda īdṛśaṃ tathāham evaṃ na paro 'pi cānyathā /	mama-idam itTam ca tava-AdaH IdRSam taTA-aham evam na paraH api ca-anyaTA /
   vimūḍhataivāsya janasya kalpanā sadā same brahmaṇi vādvaye śive //	vimUXa-tA-eva-asya janasya kalpanA sadA same brahmaNi vA-advaye Sive //
   SamUpad_I,10.11 //	SamUpat-_I,10.11 //
   yad advayaṃ jñānam atīva nirmalaṃ mahātmanāṃ tatra na śokamohatā /	yat advayam jQAnam atIva nirmalam mahAtmanAm tatra na Soka-moha-tA /
   tayor abhāve na hi karma janma vā bhaved ayaṃ vedavidāṃ viniścayaḥ //	tayoH aBAve na hi karma janma vA Bavet ayam veda-vidAm viniScayaH //
   SamUpad_I,10.12 //	SamUpat-_I,10.12 //
   suṣuptavaj jāgrati yo na paśyati dvayaṃ tu paśyann api cādvayatvataḥ /	suzupta-vat jAgrati yaH na paSyati dvayam tu paSyan api ca-advayatvataH /
   tathā ca kurvann api niṣkriyaś ca yaḥ sa ātmavin nānya itīha niścayaḥ //	taTA ca kurvan api nizkriyaH ca yaH saH Atma-vid na-anyaH iti-iha niScayaH //
   SamUpad_I,10.13 //	SamUpat-_I,10.13 //
   itīdam uktaṃ paramārthadarśanaṃ mayā hi vedāntaviniścitaṃ param /	iti-idam uktam parama-arTa-darSanam mayA hi vedAnta-viniScitam param /
   vimucyate 'smin yadi niścito bhaven na lipyate vyomavad eva karmabhiḥ //	vimucyate asmin yadi niScitaH Bavet na lipyate vyoma-vat eva karmaBiH //
   SamUpad_I,10.14 //	SamUpat-_I,10.14 //
   iti dṛśiprakaraṇam // SamUpad_I,10 //	iti dRSi-prakaraNam // SamUpat-_I,10 //
   īkṣitṛtvaṃ svataḥsiddhaṃ jantūnāṃ ca tato 'nyatā /	IkzitR-tvam svatas-sidDam jantUnAm ca tatas anya-tA /
   ajñānād ity ato 'nyatvaṃ sad asīti nivartyate // SamUpad_I,11.1 //	ajQAnAt iti atas anya-tvam sat asi-iti nivartyate // SamUpat-_I,11.1 //
   etāvad dhy amṛtatvaṃ na kiṃcid anyat sahāyakam /	etAvat Di amRta-tvam na kiMcid anyat sahAyakam /
   jñānasyeti bruvac chāstraṃ saliṅgaṃ karma bādhate // SamUpad_I,11.2 //	jQAnasya-iti bruvat SAstram sa-liFgam karma bADate // SamUpat-_I,11.2 //
   sarveṣāṃ manaso vṛttam aviśeṣeṇa paśyataḥ /	sarvezAm manasaH vRttam aviSezeNa paSyataH /
   tasya me nirvikārasya viśeṣaḥ syāt kathaṃcana // SamUpad_I,11.3 //	tasya me nirvikArasya viSezaH syAt kaTaMcana // SamUpat-_I,11.3 //
   manovṛttaṃ manaś caiva svapnavaj jāgratīkṣituḥ /	manaH-vRttam manaH ca-eva svapna-vat jAgrati-ikzituH /
   saṃprasāde dvayāsattvāc cinmātraḥ sarvago 'dvayaḥ // SamUpad_I,11.4 //	saMprasAde dvaya-asattvAt cit-mAtraH sarva-gaH advayaH // SamUpat-_I,11.4 //
   svapnaḥ satyo yathābodhād dehātmatvaṃ tathaiva ca /	svapnaH satyaH yaTA-boDAt deha-Atma-tvam taTA-eva ca /
   pratyakṣādeḥ pramāṇatvaṃ jāgrat syād ātmavedanāt // SamUpad_I,11.5 //	pratyakza-AdeH pramANa-tvam jAgrat syAt Atma-vedanAt // SamUpat-_I,11.5 //
   vyomavat sarvabhūtastho bhūtadoṣair vivarjitaḥ /	vyoma-vat sarva-BUta-sTaH BUta-dozEH vivarjitaH /
   sākṣī cetāguṇaḥ śuddho brahmaivāsmīti kevalaḥ // SamUpad_I,11.6 //	sAkzI cetA-guNaH SudDaH brahma-eva-asmi-iti kevalaH // SamUpat-_I,11.6 //
   nāmarūpakriyābhyo 'nyo nityamuktasvarūpavān /	nAma-rUpa-kriyAByaH anyaH nitya-mukta-svarUpavAn /
   aham ātmā paraṃ brahma cinmātro 'haṃ sadādvayaḥ // SamUpad_I,11.7 //	aham AtmA param brahma cit-mAtraH aham sadA-dvayaH // SamUpat-_I,11.7 //
   ahaṃ brahmāsmi kartā ca bhoktā cāsmīti ye viduḥ /	aham brahmA-asmi kartA ca BoktA ca-asmi-iti ye viduH /
   te naṣṭā jñanakarmabhyāṃ nāstikāḥ syur na saṃśayaḥ // SamUpad_I,11.8 //	te nazwAH jQana-karmaByAm nAstikAH syuH na saMSayaH // SamUpat-_I,11.8 //
   dharmādharmaphalair yoga iṣṭo 'dṛṣṭo yathātmanaḥ /	Darma-aDarma-PalEH yogaH izwaH adRzwaH yaTA-AtmanaH /
   śāstrād brahmatvam apy asya mokṣo jñānāt tatheṣyatām // SamUpad_I,11.9 //	SAstrAt brahma-tvam api asya mokzaH jQAnAt taTA-izyatAm // SamUpat-_I,11.9 //
   yā māhārajanādyās tā vāsanāḥ svapnadarśibhiḥ /	yAH mAhArajana-AdyAH tAH vAsanAH svapna-darSiBiH /
   anubhūyanta eveha tato 'nyaḥ kevalo dṛśiḥ // SamUpad_I,11.10 //	anuBUyante eva-iha tatas anyaH kevalaH dRSiH // SamUpat-_I,11.10 //
   kośād iva viniṣkṛṣṭaḥ kāryakāraṇavarjitaḥ /	koSAt iva vinizkRzwaH kArya-kAraNa-varjitaH /
   yathāsir dṛśyate svapne tadvad boddhā svayaṃprabhaḥ // SamUpad_I,11.11 //	yaTA-asiH dRSyate svapne tadvat bodDA svayaMpraBaH // SamUpat-_I,11.11 //
   āpeṣāt pratibuddhasya jñasya svābhāvikaṃ padam /	ApezAt pratibudDasya jQasya svABAvikam padam /
   uktaṃ netyādivākyena kalpitasyāpanetṛṇā // SamUpad_I,11.12 //	uktam na-ityAdi-vAkyena kalpitasya-apanetRNAH // SamUpat-_I,11.12 //
   mahārājādayo lokā mayi yadvat prakalpitāḥ /	mahA-rAja-AdayaH lokAH mayi yadvat prakalpitAH /
   svapne tadvad dvayaṃ vidyād rūpaṃ vāsanayā saha // SamUpad_I,11.13 //	svapne tadvat dvayam vidyAt rUpam vAsanayA saha // SamUpat-_I,11.13 //
   dehaliṅgātmanā kāryā vāsanārūpiṇā kriyā /	deha-liFga-AtmanA kAryA vAsanA-rUpiNA kriyA /
   netinetyātmarūpatvān na me kāryā kriyā kvacit // SamUpad_I,11.14 //	netinA-iti-Atma-rUpa-tvAt na me kAryA kriyA kvacid // SamUpat-_I,11.14 //
   na tato 'mṛtatāśāsti karmaṇo 'jñānahetutaḥ /	na tatas amRta-tASa-asti karmaNaH ajQAna-hetutaH /
   mokṣasya jñānahetutvān na tadanyad apekṣate // SamUpad_I,11.15 //	mokzasya jQAna-hetu-tvAt na tat-anyat apekzate // SamUpat-_I,11.15 //
   amṛtaṃ cābhayaṃ nārtaṃ netītyātmā priyo mama /	amRtam ca-aBayam na-Artam na-iti-iti-AtmA priyaH mama /
   viparītam ato 'nyad yat tyajet tat sakriyaṃ tataḥ // SamUpad_I,11.16 //	viparItam atas anyat yat tyajet tat sa-kriyam tatas // SamUpat-_I,11.16 //
   itīkṣitṛtvaprakaraṇam // SamUpad_I,11 //	iti-IkzitR-tva-prakaraNam // SamUpat-_I,11 //
   prakāśasthaṃ yathā dehaṃ sālokam abhimanyate /	prakASa-sTam yaTA deham sa-Alokam aBimanyate /
   draṣṭrābhāsaṃ tathā cittaṃ draṣṭāham iti manyate // SamUpad_I,12.1 //	drazwR-ABAsam taTA cittam drazwA-aham iti manyate // SamUpat-_I,12.1 //
   yad eva dṛṣyate loke tenābhinnatvam ātmanaḥ /	yat eva dRzyate loke tena-aBinna-tvam AtmanaH /
   prapadyate tato mūḍhas tenātmānaṃ na vindati // SamUpad_I,12.2 //	prapadyate tatas mUXaH tena-AtmAnam na vindati // SamUpat-_I,12.2 //
   daśamasya navātmatvapratipattivad ātmanaḥ /	daSamasya nava-Atma-tva-pratipatti-vat AtmanaH /
   dṛśyeṣu tadvad evāyaṃ mūḍho loko na cānyathā // SamUpad_I,12.3 //	dRSyezu tadvat eva-ayam mUXaH lokaH na ca-anyaTA // SamUpat-_I,12.3 //
   tvaṃ kuru tvaṃ tad eveti pratyayāv ekakālikau /	tvam kuru tvam tat eva-iti pratyayO eka-kAlikO /
   ekanīḍau kathaṃ syātāṃ viruddhau nyāyato vada // SamUpad_I,12.4 //	eka-nIxO kaTam syAtAm virudDO nyAyataH vada // SamUpat-_I,12.4 //
   dehābhimānino duḥkhaṃ nādehasya svabhāvataḥ /	deha-aBimAninaH duHKam na-adehasya svaBAvataH /
   svāpavat tatprahāṇāya tat tvam ity ucyate dṛśeḥ // SamUpad_I,12.5 //	svApa-vat tad-prahANAya tat tvam iti ucyate dRSeH // SamUpat-_I,12.5 //
   dṛśeś chāyā yadārūḍhā mukhacchāyeva darśane /	dRSeH CAyA yat-ArUXA muKa=-CAyA-iva darSane /
   paśyaṃs taṃ pratyayaṃ yogī dṛṣṭa atmeti manyate // SamUpad_I,12.6 //	paSyan tam pratyayam yogI dRzwaH atmA-iti manyate // SamUpat-_I,12.6 //
   taṃ ca mūḍhaṃ ca yady anyaṃ pratyayaṃ vetti no dṛśeḥ /	tam ca mUXam ca yadi anyam pratyayam vetti naH dRSeH /
   sa eva yogināṃ śreṣṭho netaraḥ syān na saṃśayaḥ // SamUpad_I,12.7 //	saH eva yoginAm SrezWaH na-itaraH syAt na saMSayaH // SamUpat-_I,12.7 //
   vijñāter yas tu vijñātā sa tvam ity ucyate yataḥ /	vijQAteH yaH tu vijQAtA sa tvam iti ucyate yatas /
   sa syād anubhavas tasya tato 'nyo 'nubhavo mṛṣā // SamUpad_I,12.8 //	sa syAt anuBavaH tasya tatas anyaH anuBavaH mRzA // SamUpat-_I,12.8 //
   dṛśirūpe sadā nitye darśanādarśane mayi /	dRSi-rUpe sadA nitye darSana-adarSane mayi /
   kathaṃ syātāṃ tato nānya iṣyate 'nubhavas tataḥ // SamUpad_I,12.9 //	kaTam syAtAm tatas na-anyaH izyate anuBavaH tatas // SamUpat-_I,12.9 //
   yatsthas tāpo raver dehe dṛśeḥ sa viṣayo yathā /	yat-sTaH tApaH raveH dehe dRSeH sa vizayaH yaTA /
   sattvasthas tadvad eveha dṛśeḥ sa viṣayas tathā // SamUpad_I,12.10 //	sattva-sTaH tadvat eva-iha dRSeH sa vizayaH taTA // SamUpat-_I,12.10 //
   pratiṣiddhedamaṃśo jñaḥ kham ivaikaraso 'dvayaḥ /	pratizidDA-idam-aMSaH jQaH Kam iva-ekarasaH advayaH /
   nityamuktas tathā śuddhaḥ so 'haṃ brahmāsmi kevalaḥ // SamUpad_I,12.11 //	nitya-muktaH taTA SudDaH saH aham brahma-asmi kevalaH // SamUpat-_I,12.11 //
   vijñātur naiva vijñātā paro 'nyaḥ saṃbhavaty ataḥ /	vijQAtuH na-eva vijQAtA paraH anyaH saMBavati atas /
   vijñātāhaṃ paro muktaḥ sarvabhūteṣu sarvadā // SamUpad_I,12.12 //	vijQAtA-aham paraH muktaH sarva-BUtezu sarvadA // SamUpat-_I,12.12 //
   yo vedāluptadṛṣṭitvam ātmano 'kartṛtāṃ tathā /	yaH veda-Alupta-dRzwi-tvam AtmanaH akartR-tAm taTA /
   brahmavittvaṃ tathā muktvā sa ātmajño na cetaraḥ // SamUpad_I,12.13 //	brahma-vid-tvam taTA muktvA saH Atma-jQaH na ca-itaraH // SamUpat-_I,12.13 //
   jñātaivāham avijñeyaḥ śuddho muktaḥ sadety api /	jQAtA-eva-aham avijQeyaH SudDaH muktaH sadA-iti api /
   vivekī pratyayo buddher dṛśyatvān nāśavattvataḥ // SamUpad_I,12.14 //	vivekI pratyayaH budDeH dRSya-tvAt nASavat-tvataH // SamUpat-_I,12.14 //
   aluptā tv ātmano dṛṣṭir notpādyā kārakair yataḥ /	aluptA tu AtmanaH dRzwiH na-utpAdyA kArakEH yatas /
   dṛśyayā cānyayā dṛṣṭyā janyatāsyāḥ prakalpitā // SamUpad_I,12.15 //	dRSyayA ca-anyayA dRzwyA janyatA-asyAH prakalpitAH // SamUpat-_I,12.15 //
   dehātmabuddhyapekṣatvād ātmanaḥ kartṛtā mṛṣā /	deha-Atma-budDi-apekza-tvAt AtmanaH kartR-tA mRzA /
   naiva kiṃcit karomīti satyā buddhiḥ pramāṇajā // SamUpad_I,12.16 //	na-eva kiMcid karomi-iti satyA budDiH pramANa-jAH // SamUpat-_I,12.16 //
   kartṛtvaṃ kārakāpekṣam akartṛtvaṃ svabhāvataḥ /	kartR-tvam kAraka-apekzam akartR-tvam svaBAvataH /
   kartā bhokteti vijñānaṃ mṛṣaiveti suniścitam // SamUpad_I,12.17 //	kartA BoktA-iti vijQAnam mRzA-eva-iti su-niScitam // SamUpat-_I,12.17 //
   evaṃ śāstrānumānābhyāṃ svarūpe 'vagate sati /	evam SAstra-anumAnAByAm svarUpe avagate sati /
   niyojyo 'ham iti hy eṣā satyā buddhiḥ kathaṃ bhavet // SamUpad_I,12.18 //	niyojyaH aham iti hi ezA satyA budDiH kaTam Bavet // SamUpat-_I,12.18 //
   yathā sarvāntaraṃ vyoma vyomno 'py abhyantaro hy aham /	yaTA sarva-antaram vyoma vyomnaH api aByantaraH hi aham /
   nirvikāro 'calaḥ śuddho 'jaro muktaḥ sadādvayaḥ // SamUpad_I,12.19 //	nirvikAraH acalaH SudDaH ajaraH muktaH sadA-dvayaH // SamUpat-_I,12.19 //
   iti prakāśasthaprakaraṇam // SamUpad_I,12 //	iti prakASa-sTa-prakaraNam // SamUpat-_I,12 //
   acakṣuṣṭvān na dṛṣṭir me tathāśrotrasya kā śrutiḥ /	acakzuzwvAt na dRzwiH me taTA-ASrotrasya kA SrutiH /
   avāktvān na tu vaktiḥ syād amanastvān matiḥ kutaḥ // SamUpad_I,13.1 //	avAktvAt na tu vaktiH syAt amanaH-tvAt matiH kutas // SamUpat-_I,13.1 //
   aprāṇasya na karmāsti buddhyabhāve na veditā /	aprANasya na karma-asti budDi-aBAve na veditA /
   vidyāvidye tato na staś cinmātrajyotiṣo mama // SamUpad_I,13.2 //	vidyA-vidye tatas na staH cit-mAtra-jyotizaH mama // SamUpat-_I,13.2 //
   nityamuktasya śuddhasya kūṭasthasyāvicālinaḥ /	nityam-uktasya SudDasya kUwasTasya-avicAlinaH /
   amṛtasyākṣarasyaivam aśarīrasya sarvadā // SamUpad_I,13.3 //	amRtasya-akzarasya-evam aSarIrasya sarvadA // SamUpat-_I,13.3 //
   jighatsā vā pipāsā vā śokamohau jarāmṛtī /	jiGatsA vA pipAsA vA Soka-mohO jarA-amRtI /
   na vidyante 'śarīratvād vyomavad vyāpino mama // SamUpad_I,13.4 //	na vidyante aSarIra-tvAt vyoma-vat vyApinaH mama // SamUpat-_I,13.4 //
   asparśatvān na me spṛṣṭir nājihvatvād rasajñatā /	asparSa-tvAt na me spRzwiH na-ajihva-tvAt rasajQa-tA /
   nityavijñānarūpasya jñānājñāne na me sadā // SamUpad_I,13.5 //	nitya-vijQAna-rUpasya jQAna-ajQAne na me sadA // SamUpat-_I,13.5 //
   yā tu syān mānasī vṛttiś cākṣuṣkā rūparañjanā /	yA tu syAt mAnasI vRttiH cAkzuzkAH rUpa-raQjanAH /
   nityam evātmano dṛṣṭyā nityayā dṛśyate hi sā // SamUpad_I,13.6 //	nityam eva-AtmanaH dRzwyA nityayA dRSyate hi sA // SamUpat-_I,13.6 //
   tathānyendriyayuktā yā vṛttayo viṣayāñjanāḥ /	taTA-anya-indriya-yuktAH yAH vRttayaH vizaya-aQjanAH /
   smṛtī rāgādirūpa ca kevalāntar manasy api // SamUpad_I,13.7 //	smRtiH rAga-Adi-rUpa ca kevala-antar manasi api // SamUpat-_I,13.7 //
   mānasyas tadvad anyasya dṛśyante svapnavṛttayaḥ /	mAnasyaH tadvat anyasya dRSyante svapna-vRttayaH /
   draṣṭur dṛṣṭis tato nityā śuddhānantā ca kevalā // SamUpad_I,13.8 //	drazwuH dRzwiH tatas nityA SudDa-anantA ca kevalAH // SamUpat-_I,13.8 //
   anityā sāviśuddheti gṛhyate 'trāvivekataḥ /	anityA sA-aviSudDa-iti gRhyate atra-avivekatas /
   sukhī duḥkhī tathā cāhaṃ dṛśyayopādhibhūtayā // SamUpad_I,13.9 //	suKI duHKI taTA ca-aham dRSyayA-upADi-BUtayA // SamUpat-_I,13.9 //
   mūḍhayā mūḍha ity evaṃ śuddhayā śuddha ity api /	mUXayA mUXaH iti evam SudDayA SudDaH iti api /
   manyate sarvaloko 'yaṃ yena saṃsāram ṛcchati // SamUpad_I,13.10 //	manyate sarva-lokaH ayam yena saMsAram RcCati // SamUpat-_I,13.10 //
   acakṣuṣṭvādiśāstroktaṃ sabāhyābhyantaraṃ hy ajam /	acakzuzwvA-Adi-SAstra-uktam sa-bAhya-aByantaram hi ajam /
   nityamuktam ihātmānaṃ mumukṣuś cet sadā smaret // SamUpad_I,13.11 //	nityam-uktam iha-AtmAnam mumukzuH ced sadA smaret // SamUpat-_I,13.11 //
   acakṣuṣṭvādiśāstrāc ca nendriyāṇi sadā mama /	acakzuzwvA-Adi-SAstrAt ca na-indriyANi sadA mama /
   aprāṇo hy amanāḥ śubhra iti cātharvaṇe vacaḥ // SamUpad_I,13.12 //	aprANaH hi amanAH SuBraH iti ca-ATarvaNe vacaH // SamUpat-_I,13.12 //
   śabdādīnām abhāvaś ca śrūyate mama kāṭhake /	Sabda-AdInAm aBAvaH ca SrUyate mama kAWake /
   aprāṇo hy amanā yasmād avikārī sadā hy aham // SamUpad_I,13.13 //	aprANaH hi amanAH yasmAt avikArI sadA hi aham // SamUpat-_I,13.13 //
   vikṣepo nāsti tasmān me na samādhis tato mama /	vikzepaH na-asti tasmAt me na samADiH tatas mama /
   vikṣepo vā samādhir vā manasaḥ syād vikāriṇaḥ // SamUpad_I,13.14 //	vikzepaH vA samADiH vA manasaH syAt vikAriNaH // SamUpat-_I,13.14 //
   amanaskasya śuddhasya kathaṃ tat syād dvayaṃ mama /	amanaskasya SudDasya kaTam tat syAt dvayam mama /
   amanastvāvikāritve videhavyāpino mama // SamUpad_I,13.15 //	amanaH-tvA-avikAri-tve videha-vyApinaH mama // SamUpat-_I,13.15 //
   ity etad yāvad ajñānaṃ tāvat kāryaṃ mamābhavat /	iti etat yAvat ajQAnam tAvat kAryam mama-aBavat /
   nityamuktasya śuddhasya buddhasya ca sadā mama // SamUpad_I,13.16 //	nityam-uktasya SudDasya budDasya ca sadA mama // SamUpat-_I,13.16 //
   samādhir vāsamādhir vā kāryaṃ vānyat kuto bhavet /	samADiH vA-asam-ADiH vA kAryam vA-anyat kutas Bavet /
   maṃ hi dhyātvā ca buddhvā ca manyante kṛtakṛtyatām // SamUpad_I,13.17 //	mam hi DyAtvA ca budDvA ca manyante kRtakRtya-tAm // SamUpat-_I,13.17 //
   ahaṃ brahmāsmi sarvo 'smi śuddho buddho 'sitaḥ sadā /	aham brahmA-asmi sarvaH asmi SudDaH budDaH asitaH sadA /
   ajaḥ sarvaga evāham ajaraś cāmṛto 'kṣayaḥ // SamUpad_I,13.18 //	ajaH sarvagaH eva-aham ajaraH ca-amRtaH akzayaH // SamUpat-_I,13.18 //
   madanyaḥ sarvabhūteṣu boddhā kaścin na vidyate /	mad-anyaH sarva-BUtezu bodDA kaScid na vidyate /
   karmādhyakṣaś ca sākṣī ca cetā nityo 'guṇo 'dvayaḥ // SamUpad_I,13.19 //	karma-aDyakzaH ca sAkzI ca cetAH nityaH aguNaH advayaH // SamUpat-_I,13.19 //
   na sac cāhaṃ na cāsac ca nobhayaṃ kevalaḥ śivaḥ /	na sat ca-aham na ca-asat ca na-uBayam kevalaH SivaH /
   na me saṃdhyā na rātrir vā nāhar vā sarvadā dṛśeḥ // SamUpad_I,13.20 //	na me saMDyA na rAtriH vA na-ahar vA sarvadA dRSeH // SamUpat-_I,13.20 //
   sarvamūrtiviyuktaṃ yad yathā khaṃ sūkṣmam advayam /	sarva-mUrti-viyuktam yat yaTA Kam sUkzmam advayam /
   tenāpy asmi vinābhūtaṃ brahmaivāhaṃ tathādvayam // SamUpad_I,13.21 //	tena-api asmi vinABUtam brahma-eva-aham taTA-advayam // SamUpat-_I,13.21 //
   mamātmāsya ta ātmeti bhedo vyomno yathā bhavet /	mama-AtmA-asya te AtmA-iti BedaH vyomnaH yaTA Bavet /
   ekasya suṣibhedena tathā mama vikalpitaḥ // SamUpad_I,13.22 //	ekasya suziBedena taTA mama vikalpitaH // SamUpat-_I,13.22 //
   bhedo 'bhedas tathā caiko nānā ceti vikalpitam /	BedaH aBedaH taTA ca-ekaH nAnA ca-iti vikalpitam /
   jñeyaṃ jñātā gatir gantā mayy ekasmin kuto bhavet // SamUpad_I,13.23 //	jQeyam jQAtA gatiH gantA mayi ekasmin kutas Bavet // SamUpat-_I,13.23 //
   na me heyaṃ na cādeyam avikārī yato hy aham /	na me heyam na ca-Adeyam avikArI yatas hi aham /
   sadā muktas tathā śuddhaḥ sadā buddho 'guṇo 'dvayaḥ // SamUpad_I,13.24 //	sadA muktaH taTA SudDaH sadA budDaH aguNaH advayaH // SamUpat-_I,13.24 //
   ity evaṃ sarvadātmānaṃ vidyāt sarvaṃ samāhitaḥ /	iti evam sarvadA-AtmAnam vidyAt sarvam samAhitaH /
   viditvā māṃ svadehastham ṛṣir mukto dhruvo bhavet // SamUpad_I,13.25 //	viditvA mAm sva-deha-sTam RziH muktaH DruvaH Bavet // SamUpat-_I,13.25 //
   kṛtakṛtyaś ca siddhaś ca yogī brāhmaṇa eva ca /	kRtakRtyaH ca sidDaH ca yogI brAhmaNaH eva ca /
   yadaivaṃ veda tattvārtham anyathā hy ātmahā bhavet // SamUpad_I,13.26 //	yadA-evam veda tattva-arTam anyaTA hi Atma-hA Bavet // SamUpat-_I,13.26 //
   vedārtho niścito hy eṣa samāsena mayoditaḥ /	veda-arTaH niScitaH hi eza samAsena mayA-uditaH /
   saṃnyāsibhyaḥ pravaktavyaḥ śāntebhyaḥ śiṣṭabuddhinā // SamUpad_I,13.27 //	saMnyAsiByaH pravaktavyaH SAnteByaH Sizwa-budDinA // SamUpat-_I,13.27 //
   ity acakṣuṣṭvaprakaraṇam // SamUpad_I,13 //	iti acakzuzwva-prakaraNam // SamUpat-_I,13 //
   svapnasmṛtyor ghaṭāder hi rūpābhāsaḥ pradṛśyate /	svapna-smRtyoH Gawa-AdeH hi rUpa-ABAsaH pradRSyate /
   purā nūnaṃ tadākarā dhīr dṛṣṭety anumīyate // SamUpad_I,14.1 //	purA nUnam tad-AkarA DIH dRzwA-iti anumIyate // SamUpat-_I,14.1 //
   bhikṣām aṭan yathā svapne dṛṣṭo deho na sa svayam /	BikzAm awan yaTA svapne dRzwaH dehaH na sa svayam /
   jāgraddṛśyāt tathā dehād draṣṭṛtvād anya eva saḥ // SamUpad_I,14.2 //	jAgrat-dRSyAt taTA dehAt drazwR-tvAt anyaH eva saH // SamUpat-_I,14.2 //
   mūṣāsiktaṃ yathā tāmraṃ tannibhaṃ jāyate tathā /	mUzA-siktam yaTA tAmram tad-niBam jAyate taTA /
   rūpādīn vyāpnuvac cittaṃ tannibhaṃ dṛśyate dhruvam // SamUpad_I,14.3 //	rUpa-AdIn vyApnuvat cittam tad-niBam dRSyate Druvam // SamUpat-_I,14.3 //
   vyañjako vā yathāloko vyaṅgyasyākāratām iyāt /	vyaQjakaH vA yaTAlokaH vyaFgyasya-AkAra-tAm iyAt /
   sarvārthavyañjakatvād dhīr arthākarā pradṛśyate // SamUpad_I,14.4 //	sarva-arTa-vyaQjaka-tvAt DIH arTa-AkarA pradRSyate // SamUpat-_I,14.4 //
   dhir evārthasvarūpā hi puṃsā dṛṣṭā purāpi ca /	Dis eva-arTa-svarUpA hi puMsA dRzwA purA-api ca /
   na cet svapne kathaṃ paśyet smarato vākṛtiḥ kutaḥ // SamUpad_I,14.5 //	na ced svapne kaTam paSyet smarataH vA-AkRtiH kutas // SamUpat-_I,14.5 //
   vyañjakatvaṃ tad evāsya rūpādyākāradṛśyatā /	vyaQjaka-tvam tat eva-asya rUpa-Adi-AkAra-dRSya-tA /
   draṣṭṛtvaṃ ca dṛśes tadvad vyāptiḥ syād dhiya udbhave // SamUpad_I,14.6 //	drazwR-tvam ca dRSeH tadvat vyAptiH syAt DiyaH udBave // SamUpat-_I,14.6 //
   cinmātrajyotiṣā sarvaḥ sarvadeheṣu buddhayaḥ /	cit-mAtra-jyotizA sarvaH sarva-dehezu budDayaH /
   mayā yasmāt prakāśyante sarvasyātmā tato hy aham // SamUpad_I,14.7 //	mayA yasmAt prakASyante sarvasya-AtmA tatas hi aham // SamUpat-_I,14.7 //
   karaṇaṃ karma kartā ca kriyā svapne phalaṃ ca dhīḥ /	karaNam karma kartA ca kriyA svapne Palam ca DIH /
   jāgraty evaṃ yato dṛṣṭā draṣṭā tasmāt tato 'nyathā // SamUpad_I,14.8 //	jAgrati evam yatas dRzwA drazwA tasmAt tatas anyaTA // SamUpat-_I,14.8 //
   buddhyādīnām anātmatvaṃ heyopādeyarūpataḥ /	budDi-AdInAm anAtma-tvam heya-upAdeya-rUpataH /
   hānopādānakartātmā na tyājyo na ca gṛhyate // SamUpad_I,14.9 //	hAna-upAdAna-kartAtmA na tyAjyaH na ca gRhyate // SamUpat-_I,14.9 //
   sabāhyābhyantare śuddhe prajñānaikarase ghane /	sa-bAhya-aByantare SudDe prajQAna-eka-rase Gane /
   bāhyam ābhyantaraṃ cānyat kathaṃ heyaṃ prakalpyate // SamUpad_I,14.10 //	bAhyam AByantaram ca-anyat kaTam heyam prakalpyate // SamUpat-_I,14.10 //
   ya ātmā neti netīti parāpohena śeṣitaḥ /	yaH AtmA na-iti na-iti-iti para-apohena SezitaH /
   sa ced brahmavidātmeṣṭo yatetātaḥ paraṃ katham // SamUpad_I,14.11 //	sa ced brahma-vid-AtmA-izwaH yateta-atas param kaTam // SamUpat-_I,14.11 //
   aśanāyādyatikrāntaṃ brahmaivāsmi nirantaram /	aSanAya-Adi-atikrAntam brahma-eva-asmi nirantaram /
   kāryavān syāṃ kathaṃ cāhaṃ vimṛśed evam añjasā // SamUpad_I,14.12 //	kAryavAn syAm kaTam ca-aham vimRSet evam aQjasA // SamUpat-_I,14.12 //
