   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   ādau tu kāraṇaṃ madhye K_322a	AdO tu kAraNam maDye K_322a
   ādyād ahno 'ṣṭabhāgād yad K_062a	AdyAt ahnaH azwa-BAgAt yat K_062a
   ādyau tu vitathe dāpyau K_536a	AdyO tu vitaTe dApyO K_536a
   ādharyaṃ gurur abravīt K_170d	ADaryam guruH abravIt K_170d
   ādhātā cādhim āpnuyāt K_527d	ADAtA ca-ADim ApnuyAt K_527d
   ādhātā yatra na syāt tu K_529a	ADAtA yatra na syAt tu K_529a
   ādhānasahitaṃ yatra K_302a	ADAna-sahitam yatra K_302a
   ādhānaṃ vikrayo dānaṃ K_518a	ADAnam vikrayaH dAnam K_518a
   ādhikekhyaṃ vināśayet K_528d	ADikeKyam vinASayet K_528d
   ādhikyaṃ nyūnatā cāṃśe K_732a	ADikyam nyUna-tA ca-aMSe K_732a
   ādhibhogas tv aśeṣo yo K_501a	ADi-BogaH tu aSezaH yaH K_501a
   ādhibhogaḥ sa ucyate K_501d	ADiBogaH saH ucyate K_501d
   ādhim anyaṃ sa dāpyaḥ syād K_524c	ADim anyam sa dApyaH syAt K_524c
   ādhim ekaṃ dvayor yas tu K_517a	ADim ekam dvayoH yaH tu K_517a
   ādhir bhuktaḥ suniścitam K_300b	ADiH BuktaH su-niScitam K_300b
   ādhiṃ ca vinivartayet K_612b	ADim ca vinivartayet K_612b
   ādhiṃ duṣṭena lekhyena K_528a	ADim duzwena leKyena K_528a
   ādhīkṛtaṃ tu yat kiṃcid K_523a	ADIkRtam tu yat kiMcid K_523a
   āpatkālakṛtā nityaṃ K_498c	Apad-kAla-kRtA nityam K_498c
   āpatkāle tu kartavyaṃ K_639a	Apad-kAle tu kartavyam K_639a
   āpatkṛtād ṛte puṃsāṃ K_569c	Apad-kRtAt Rte puMsAm K_569c
   āpādyaḥ sa caturguṇaḥ K_784b	ApAdyaH sa caturguNaH K_784b
   āptās te tu na sākṣiṇaḥ K_361d	AptAH te tu na sAkziNaH K_361d
   āptāḥ śuddhā viśiṣṭā ye K_347c	AptAH SudDAH viSizwAH ye K_347c
   ābhīṣaṇena daṇḍena K_780a	ABIzaNena daNxena K_780a
   āmṛtyor iti kauśikaḥ K_825d	AmRtyoH iti kOSikaH K_825d
   āyas tatkretur eva ca K_685b	AyaH tad-kretuH eva ca K_685b
   āyurbījaharī rājñāṃ K_044c	AyuH-bIja-harI rAjQAm K_044c
   ārakṣakāṃś ca dikpālān K_813c	ArakzakAn ca dikpAlAn K_813c
   ārambhakṛtsahāyaś ca K_832a	AramBa-kRt-sahAyaH ca K_832a
   ārambhāt saṃgrahaṃ yāvat K_110c	AramBAt saMgraham yAvat K_110c
   ārambhe pradhamaṃ dadyāt K_960c	AramBe praDamam dadyAt K_960c
   āruhya saṃśayaṃ yatra K_876a	Aruhya saMSayam yatra K_876a
   āryaḥ prātyayikaḥ śuciḥ K_584b	AryaH prAtyayikaH SuciH K_584b
   ārhatasaugatānāṃ tu K_681a	Arhata-sOgatAnAm tu K_681a
   āvedayati yaḥ pūrvaṃ K_033c	Avedayati yaH pUrvam K_033c
   āvedya tu nṛpe kāryam K_104a	Avedya tu nRpe kAryam K_104a
   āvedya pragṛhītārthāḥ K_210a	Avedya pragRhIta-arTAH K_210a
   āśrayaḥ śastradātā ca K_832c	ASrayaH Sastra-dAtA ca K_832c
   āśritas tadṛṇaṃ dadyād K_574c	ASritaH tat-RNam dadyAt K_574c
   āsapakṣādivṛddhimat K_268b	Asapakza-Adi-vRdDimat K_268b
   āsidhyeta hriyeta vā K_661b	AsiDyeta hriyeta vA K_661b
   āsīnaḥ prāṅmukhaḥ sthitvā K_055c	AsInaH prAFmuKaH sTitvA K_055c
   āsurādiṣu yal labdhaṃ K_920a	Asura-Adizu yat labDam K_920a
   āsedhayaṃs tv anāsedhyaṃ K_110e	AseDayan tu anAseDyam K_110e
   āsedhayed anāsedhyaṃ K_106c	AseDayet anAseDyam K_106c
   āsedhayogya āsiddha K_105a	AseDa-yogyaH AsidDa K_105a
   ā svadeśasamāgamāt K_158b	A sva-deSa-samAgamAt K_158b
   āharen mūlam evāsau K_617c	Aharet mUlam eva-asO K_617c
   āhartā bhuktiyukto 'pi K_323a	AhartA Bukti-yuktaH api K_323a
   āhartā labhate tat tu K_319c	AhartA laBate tat tu K_319c
   āhartrā tatsutena vā K_316b	AhartrA tad-sutena vA K_316b
   āhārakāle rātrau ca K_582c	AhAra-kAle rAtrO ca K_582c
   āhur gārgīyamānavāḥ K_649d	AhuH gArgIya-mAnavAH K_649d
   āhur dharmārthahārakān K_804b	AhuH Darma-arTa-hArakAn K_804b
   āhūtaprapalāyinam K_203b	AhUta-prapalAyinam K_203b
   āhūtaprapalāyī ca K_202e	AhUta-prapalAyI ca K_202e
   āhūtas tv avamanyeta K_100a	AhUtaH tu avamanyeta K_100a
   āhūya sākṣiṇaḥ pṛcchen K_345a	AhUya sAkziNaH pRcCet K_345a
   āhṛtya paratantrārhta- K_944c	AhRtya paratantra-arhta K_944c
   āhṛtya strīdhanaṃ tatra K_573c	AhRtya strIDanam tatra K_573c
   āhvānād anupasthānāt K_199a	AhvAnAt anupasTAnAt K_199a
   āhvānārtham ataḥ param K_088b	AhvAna-arTam atas param K_088b
   icchanti pitaraḥ sutān K_551d	icCanti pitaraH sutAn K_551d
   itareṣāṃ pradīyate K_265b	itarezAm pradIyate K_265b
   itaro 'py abhiyuktena K_090c	itaraH api aBiyuktena K_090c
   iti kātyāyano 'bravīt K_519d	iti kAtyAyanaH abravIt K_519d
   iti tattvavido viduḥ K_113d	iti tattva-vidaH viduH K_113d
   iti dharmo vyavasthitaḥ K_316d	iti DarmaH vyavasTitaH K_316d
   iti nirdoṣa uttare K_212b	iti nirdozaH uttare K_212b
   iti mithyā caturvidham K_169d	iti miTyA caturviDam K_169d
   iti yac cātibhūri tat K_179d	iti yat ca-ati-BUri tat K_179d
   iti śāstraviniścayaḥ K_639d	iti SAstra-viniScayaH K_639d
   indrasthāne 'bhiśastānāṃ K_434a	indra-sTAne aBiSastAnAm K_434a
   uktadaṇḍaviniścayaḥ K_492d	ukta-daNxa-viniScayaH K_492d
   uktalābho daśādhikaḥ K_711b	ukta-lABaH daSa-aDikaH K_711b
   uktaṃ tuṣṭikaraṃ yat tu K_565c	uktam tuzwi-karam yat tu K_565c
   uktād alpatare hīne K_709c	uktAt alpatare hIne K_709c
   ukte tu sākṣiṇo rājñā K_392c	ukte tu sAkziNaH rAjQA K_392c
   ukte 'pi na tathā bhavet K_646d	ukte api na taTA Bavet K_646d
   ukter arthe sākṣiṇo K_379a	ukteH arTe sAkziNaH K_379a
   uktvānyathā bruvāṇāś ca K_406a	uktvA-anyaTA bruvANAH ca K_406a
   ucchedyāḥ sarva evaite K_672c	ucCedyAH sarve eva-ete K_672c
   utkṛṣṭajātiśīlānāṃ K_084c	utkRzwa-jAti-SIlAnAm K_084c
   utkocaṃ yam avāpnuyāt K_653b	utkocam yam avApnuyAt K_653b
   utkocā syāt pratiśrutā K_648b	utkocA syAt pratiSrutA K_648b
   utkrāman daṇḍam arhati K_105b	utkrAman daNxam arhati K_105b
   uttameṣu ca sarveṣu K_231a	uttamezu ca sarvezu K_231a
   uttameṣu samasteṣu K_256a	uttamezu samastezu K_256a
   uttaratvaṃ prapadyate K_211b	uttara-tvam prapadyate K_211b
   uttaraṃ tadvido viduḥ K_185d	uttaram tad-vidaH viduH K_185d
   uttaraṃ dāpayen nṛpaḥ K_164d	uttaram dApayet nRpaH K_164d
   uttaraṃ vyavahārataḥ K_167d	uttaram vyavahArataH K_167d
   uttaraṃ vyavahārataḥ K_184d	uttaram vyavahArataH K_184d
   uttaraṃ syāc caturvidham K_165d	uttaram syAt caturviDam K_165d
   uttarāntargataṃ cāpi K_193c	uttara-antargatam ca-api K_193c
   uttarau tu visaṃvāde K_536c	uttarO tu visaMvAde K_536c
   utthānadvayam ucyate K_030d	utTAna-dvayam ucyate K_030d
   utpattijātisaṃjñāṃ ca K_251a	utpatti-jAti-saMjQAm ca K_251a
   utpanne caurase putre K_857a	utpanne ca-Orase putre K_857a
   utpādayati yo hiṃsāṃ K_028a	utpAdayati yaH hiMsAm K_028a
   utpādayati yo hiṃsāṃ K_103a	utpAdayati yaH hiMsAm K_103a
   utsāhavān alubdhaś ca K_065c	utsAhavAn alubDaH ca K_065c
   udakaṃ caiva dāsaś ca K_882c	udakam ca-eva dAsaH ca K_882c
   udaṅmukhān prāṅmukhān vā K_344c	udaFmuKAn prAFmuKAn vA K_344c
   uditaṃ brāhmaṇaṃ hitam K_024b	uditam brAhmaNam hitam K_024b
   uditaḥ syāt sa tenaiva K_884:2c	uditaH syAt sa tena-eva K_884:2c
   udgūraṇe tu hastasya K_785a	udgUraNe tu hastasya K_785a
   uddharanti tato yasmād K_745c	udDaranti tatas yasmAt K_745c
   uddhārādikam ādāya K_591a	udDAra-Adikam AdAya K_591a
   uddhāro nātra saṃśayaḥ K_739d	udDAraH na-atra saMSayaH K_739d
   uddhṛtās te tataḥ smṛtaḥ K_745d	udDRtAH te tatas smRtaH K_745d
   udyatānāṃ tu pāpānāṃ K_800a	udyatAnAm tu pApAnAm K_800a
   udyatāsiviṣāgniś ca K_802a	udyata-asi-viza-agniH ca K_802a
   udyuktaṃ krodhavarjitam K_064d	udyuktam kroDa-varjitam K_064d
   udyuktaḥ karṣakaḥ sasye K_110a	udyuktaH karzakaH sasye K_110a
   unmattenaiva mattena K_464a	unmattena-eva mattena K_464a
   upadhau kauṭasākṣye ca K_151c	upaDO kOwa-sAkzye ca K_151c
   upanyaste tu yal labdhaṃ K_868a	upanyaste tu yat labDam K_868a
   upaplavanimitte ca K_542c	upaplava-nimitte ca K_542c
   upabhogo yathā yathā K_793b	upaBogaH yaTA yaTA K_793b
   uparyupari bhāṣate K_375b	upari-upari BAzate K_375b
   upalabdhikriyālabdhaṃ K_644c	upalabDi-kriyA-labDam K_644c
   upalabdhe labheraṃs te K_821c	upalabDe laBeran te K_821c
   upaśravaṇasaṃbhoga- K_745a	upaSravaNa-saMBoga K_745a
   upasthitān parīkṣeta K_340a	upasTitAn parIkzeta K_340a
   upahanyeta vā paṇyaṃ K_690a	upahanyeta vA paNyam K_690a
   upāyaiś codyamānas tu K_194a	upAyEH codyamAnaH tu K_194a
   upāyaiḥ sāmabhedād yair K_952c	upAyEH sAma-BedAt yEH K_952c
   upekṣamāṇāḥ sanṛpā K_074c	upekzamANAH sa-nRpA K_074c
   upekṣākāryayuktaś ca K_833c	upekzA-kArya-yuktaH ca K_833c
   ubhayor īpsitaḥ kvacit K_747b	uBayoH IpsitaH kvacid K_747b
   ubhayor likhite vācye K_206c	uBayoH liKite vAcye K_206c
   ullapyaṃ yasya viśrambhāt K_376a	ullapyam yasya viSramBAt K_376a
   ūḍhayā kanyayā vāpi K_901a	UXayA kanyayA vA-api K_901a
   ūnam abhyadhikaṃ vārthaṃ K_401a	Unam aByaDikam vA-arTam K_401a
   ūnādhikaṃ tu yatra syāt K_398a	Una-aDikam tu yatra syAt K_398a
   ūne vāpy adhike vārthe K_396c	Une vA-api aDike vA-arTe K_396c
   ūrdhvaṃ bhāgatrayaṃ bhavet K_062b	UrDvam BAga-trayam Bavet K_062b
   ūrdhvaṃ māsatrayāt tasya K_503c	UrDvam mAsa-trayAt tasya K_503c
   ūrdhvaṃ labdhaṃ tu yat kiṃcit K_900a	UrDvam labDam tu yat kiMcid K_900a
   ūrdhvaṃ saṃvatsarāt tasya K_502c	UrDvam saMvatsarAt tasya K_502c
   ṛṇam evaṃvidhaṃ deyaṃ K_546c	RNam evaMviDam deyam K_546c
   ṛṇam evaṃvidhaṃ putrāñ K_549c	RNam evaMviDam putrAn K_549c
   ṛṇam evaṃvidhaṃ śodhyaṃ K_849c	RNam evaMviDam SoDyam K_849c
   ṛṇavat strīdhanaṃ sutaiḥ K_916b	RNa-vat strIDanam sutEH K_916b
   ṛṇaṃ ca kārayed vāpi K_627c	RNam ca kArayet vA-api K_627c
   ṛṇaṃ tu dāpayet putraṃ K_557a	RNam tu dApayet putram K_557a
   ṛṇaṃ dāpyo damaṃ ca saḥ K_457d	RNam dApyaH damam ca saH K_457d
   ṛṇaṃ deyaṃ vibhāvitam K_550b	RNam deyam viBAvitam K_550b
   ṛṇaṃ deyaṃ sabandhakam K_628b	RNam deyam sa-banDakam K_628b
   ṛṇaṃ pitṛkṛtaṃ sutaiḥ K_548d	RNam pitR-kRtam sutEH K_548d
   ṛṇaṃ putrakṛtaṃ pitrā K_544a	RNam putra-kRtam pitrA K_544a
   ṛṇaṃ pautreṇa yatnataḥ K_560b	RNam pOtreNa yatnatas K_560b
   ṛṇaṃ prītipradānaṃ ca K_850a	RNam prIti-pradAnam ca K_850a
   ṛṇaṃ lekhye niveśitam K_302b	RNam leKye niveSitam K_302b
   ṛṇaṃ sarvatra paitṛkam K_561d	RNam sarvatra pEtRkam K_561d
   ṛṇādivādeṣu dhanaṃ K_403c	RNa-Adi-vAdezu Danam K_403c
   ṛṇādiṣu parīkṣeta K_365a	RNa-Adizu parIkzeta K_365a
   ṛṇādiṣu vivādeṣu K_396a	RNa-Adizu vivAdezu K_396a
   ṛṇān mucyeta carṇikaḥ K_590d	RNAt mucyeta ca-RNikaH K_590d
   ṛṇān mucyeta narṇikaḥ K_524d	RNAt mucyeta na-RNikaH K_524d
   ṛṇārtham āharet tantuṃ K_572a	RNa-arTam Aharet tantum K_572a
   ṛṇikaṃ nyāyavādinam K_589b	RNikam nyAya-vAdinam K_589b
   ṛṇikena tu yā vṛddhir K_498a	RNikena tu yA vRdDiH K_498a
   ṛṇiko yadi nihnate K_282b	RNikaH yadi nihnate K_282b
   ṛṇisākṣilekhakānām K_268c	RNi-sAkzi-leKakAnAm K_268c
   ṛṇisākṣilekhakānāṃ K_284c	RNi-sAkzi-leKakAnAm K_284c
   ṛṇisvahastasaṃdehe K_286a	RNi-sva-hasta-saMdehe K_286a
   ṛṇe lekhyaṃ sākṣiṇo vā K_233a	RNe leKyam sAkziNaH vA K_233a
   ṛtutrayasyāpariṣṭāt K_507c	Rtu-trayasya-aparizwAt K_507c
   ṛtuḥ saṃvatsaro 'pi vā K_148b	RtuH saMvatsaraH api vA K_148b
   ṛtviṅnyāyena yal labdham K_872c	Rtvij-nyAyena yat labDam K_872c
   ṛṣibhiḥ saṃprakīrtitāḥ K_743d	RziBiH saMprakIrtitAH K_743d
   eka eva pramāṇaṃ sa K_354c	ekaH eva pramANam sa K_354c
   ekakriyāviruddhaṃ tu K_518c	eka-kriyA-virudDam tu K_518c
   ekacchāyāpraviṣṭānāṃ K_538a	eka=-CAyA-pravizwAnAm K_538a
   ekacchāyāśrite sarvaṃ K_537a	ekacCAyA-ASrite sarvam K_537a
   ekatra ca vilekhitam K_519b	ekatra ca vileKitam K_519b
   ekadeśe ca kāraṇam K_189b	eka-deSe ca kAraNam K_189b
   ekadvitricaturbhāgān K_632c	eka-dvi-tri-catur-BAgAn K_632c
   ekapātre ca vā paṅktyāṃ K_673a	eka-pAtre ca vA paFktyAm K_673a
   ekabhāgātiriktaṃ vā K_706c	eka-BAga-atiriktam vA K_706c
   ekarūpā dvirūpā vā K_938a	eka-rUpA dvi-rUpA vA K_938a
   ekaśāstram adhīyāno K_066a	eka-SAstram aDIyAnaH K_066a
   ekasthānāsanāhārāḥ K_829e	eka-sTAna-Asana-AhArAH K_829e
   ekaṃ ced vahavo hanyuḥ K_798a	ekam ced vahavaH hanyuH K_798a
   ekaṃ yatra prabhedayet K_204b	ekam yatra praBedayet K_204b
   ekāntenaiva vṛddhiṃ tu K_499a	ekAntena-eva vRdDim tu K_499a
   ekāhadvyāhādyapekṣaṃ K_112a	ekAhat-vyAha-Adi-apekzam K_112a
   ekāhaṃ lohavāsasām K_694d	eka-aham loha-vAsasAm K_694d
   ekāhe likhitaṃ yat tu K_513a	eka-ahe liKitam yat tu K_513a
   ekaikaṃ vādayet tatra K_395c	ekEkam vAdayet tatra K_395c
   eko yadvan nayet sīmām K_747a	ekaH yadvat nayet sImAm K_747a
   eko hy anīśaḥ sarvatra K_854c	ekaH hi anISaH sarvatra K_854c
   etat sarvaṃ pitā putrair K_866c	etat sarvam pitA putrEH K_866c
   etat sarvaṃ pradātavyaṃ K_543c	etat sarvam pradAtavyam K_543c
   etat sarvaṃ vibhāge tu K_877c	etat sarvam viBAge tu K_877c
   etad akulam ity uktam K_185c	etat akulam iti uktam K_185c
   etad arthaṃ kṛto nṛpaḥ K_015d	etat arTam kRtaH nRpaH K_015d
   etad dvayaṃ samākhyātaṃ K_623c	etat dvayam samAKyAtam K_623c
   etad yathākṣaraṃ lekhye K_260a	etat yaTAkzaram leKye K_260a
   etad vidyādhanaṃ prāhuḥ K_873c	etat vidyA-Danam prAhuH K_873c
   etad vidyādhanaṃ bhṛguḥ K_872d	etat vidyA-Danam BRguH K_872d
   etāni vādinor arthasya K_205c	etAni vAdinoH arTasya K_205c
   etāni śamaye nṛpaḥ K_952d	etAni Samaye nRpaH K_952d
   etān daśāparādhāṃs tu K_948c	etAn daSa-aparADAn tu K_948c
   etāṃś cāraiḥ suviditān K_950c	etAn cArEH su-viditAn K_950c
   eteṣām aparādheṣu K_481c	etezAm aparADezu K_481c
   eteṣāṃ tu pravartayet K_013b	etezAm tu pravartayet K_013b
   eteṣv evābhiyogaś cen K_367c	etezu eva-aBiyogaH ced K_367c
   eteṣv evābhiyogeṣu K_429a	etezu eva-aBiyogezu K_429a
   ete sanābhayas tūktāḥ K_362c	ete sanABayaH tu-uktAH K_362c
   etair eva guṇair yuktam K_011a	etEH eva guNEH yuktam K_011a
   etair eva niyuktānāṃ K_430a	etEH eva niyuktAnAm K_430a
   etaiḥ samāparādhānāṃ K_969a	etEH samAparADAnAm K_969a
   evam ādyān vijānīyāt K_803c	evam AdyAn vijAnIyAt K_803c
   evaṃ caret sadā yukto K_973a	evam caret sadA yuktaH K_973a
   evaṃ tatra nirasyeta K_042c	evam tatra nirasyeta K_042c
   evaṃ duṣṭaṃ nṛpasthāne K_279a	evam duzwam nRpa-sTAne K_279a
   evaṃ doṣo na vidyate K_939d	evam dozaH na vidyate K_939d
   evaṃ dharmavido viduḥ K_742d	evam Darma-vidaH viduH K_742d
   evaṃ dharmāsanasthena K_475a	evam Darma-Asana-sTena K_475a
   evaṃ dharmo daśāhāt tu K_684c	evam DarmaH daSa-ahAt tu K_684c
   evaṃ pṛṣṭaḥ sa yad brūyāt K_087c	evam pRzwaH sa yat brUyAt K_087c
   evaṃ pratyarthinokte tu K_277c	evam pratyarTinA-ukte tu K_277c
   evaṃ pravartate yas tu K_018a	evam pravartate yaH tu K_018a
   evaṃ vicārayan rājā K_421c	evam vicArayan rAjA K_421c
   eṣa eva vidhir jñeyo K_310c	ezaH eva viDiH jQeyaH K_310c
   eṣa daṇḍo hi dāsasya K_963c	eza daNxaH hi dAsasya K_963c
   eṣa dharmo bhṛgusmṛtaḥ K_482d	eza DarmaH BRgu-smRtaH K_482d
   eṣa sākṣiviniścayaḥ K_401d	eza sAkzi-viniScayaH K_401d
   eṣām anyatamo yatra K_338a	ezAm anyatamaH yatra K_338a
   eṣu vādeṣu divyāni K_432a	ezu vAdezu divyAni K_432a
   oṣṭhaśoṣābhimarśane K_386b	ozWa-Soza-aBimarSane K_386b
   kaṭinaṃ caiva tallakṣaṇāt K_447b	kawinam ca-eva tad-lakzaNAt K_447b
   kaṇṭakānāṃ ca śodhanam K_015b	kaNwakAnAm ca SoDanam K_015b
   katam apy akṛtaṃ prāhur K_710c	katam api akRtam prAhuH K_710c
   kathaṃcit patyur ābhavet K_569b	kaTaMcid patyuH ABavet K_569b
   kaniṣṭho vāvibhaktasvo K_466c	kanizWaH vA-aviBakta-svo K_466c
   kanyakānāṃ tv adattānāṃ K_858a	kanyakAnAm tu adattAnAm K_858a
   kanyāgataṃ tu tad vittaṃ K_879c	kanyA-gatam tu tat vittam K_879c
   kanyāyā dūṣaṇe steye K_151a	kanyAyAH dUzaNe steye K_151a
   kanyāyās tad dhanaṃ sarvam K_881c	kanyAyAH tat Danam sarvam K_881c
   kanyāvaivāhikaṃ caiva K_543a	kanyA-vEvAhikam ca-eva K_543a
   kanyāharaṇadūṣaṇe K_094d	kanyA-haraNa-dUzaNe K_094d
   kampaḥ svedo 'tha vaikalyam K_386a	kampaH svedaH aTa vEkalyam K_386a
   karaṇe kūṭadevinām K_942b	karaNe kUwa-devinAm K_942b
   karapratibhuvā saha K_704b	kara-pratiBuvA saha K_704b
   karaṃ daṇḍaṃ ca pārthivaḥ K_019b	karam daNxam ca pArTivaH K_019b
   karārthaṃ karadakṣetraṃ K_704c	kara-arTam karada-kzetram K_704c
   karoty aṅgena taskaraḥ K_822:1b	karoti aFgena taskaraH K_822:1b
   karṇanāsākarādiṣu K_829d	karNa-nAsA-kara-Adizu K_829d
   karṇauṣṭhaghrāṇapādākṣi- K_781a	karNa-ozWa-GrANa-pAda-akzi K_781a
   kartavyaṃ tu nṛpājñayā K_669d	kartavyam tu nRpa-AjQayA K_669d
   kartavyaṃ tena tan nityaṃ K_008c	kartavyam tena tat nityam K_008c
   kartavyā na praduṣṭās tu K_740c	kartavyAH na praduzwAH tu K_740c
   kartavyā nyāyadarśinaḥ K_059b	kartavyA nyAya-darSinaH K_059b
   kartā tu vivadet svayam K_095d	kartA tu vivadet svayam K_095d
   kartur aṅgaṃ na tūcyate K_462b	kartuH aFgam na tu-ucyate K_462b
   karmaṇā kṣatraviśśūdrān K_586c	karmaNA kzatra-viS-SUdrAn K_586c
   karmaṇā vyavahāreṇa K_585c	karmaNA vyavahAreNa K_585c
   karmaṇāṃ pāragaḥ karaḥ K_462d	karmaNAm pAragaH karaH K_462d
   karmāṇy anyāni kārayet K_713b	karmANi anyAni kArayet K_713b
   karmārambhaṃ tu yaḥ kṛtvā K_657a	karma-AramBam tu yaH kRtvA K_657a
   karṣakaḥ phalam āpnuyāt K_764d	karzakaH Palam ApnuyAt K_764d
   karṣakān kṣatraviśśūdrān K_480a	karzakAn kzatra-viS-SUdrAn K_480a
   kalahe sāhase nidhau K_151b	kalahe sAhase niDO K_151b
   kalpakoṭiśataṃ martyas K_643c	kalpa-kowi-Satam martyaH K_643c
   kalpayet tu kadācana K_414b	kalpayet tu kadAcana K_414b
   kalpārdhaṃ tu na saṃśayaḥ K_010d	kalpa-arDam tu na saMSayaH K_010d
   kalpitaṃ mūlyam ity āhur K_706a	kalpitam mUlyam iti AhuH K_706a
   kalpitaḥ pūrvavādinā K_143b	kalpitaH pUrvavAdinA K_143b
   kalpito yasya yo daṇḍas tv K_102a	kalpitaH yasya yaH daNxaH tu K_102a
   kalpito yasya yo daṇḍas tv K_490a	kalpitaH yasya yaH daNxaH tu K_490a
   kākaṇī tu caturbhāgā K_493c	kAkaNI tu catur-BAgA K_493c
   kākasya dantā no santi K_186a	kAkasya dantAH no santi K_186a
   kāmakrodhāsvatantrārta- K_647a	kAma-kroDa-asvatantra-Arta K_647a
   kāmato na vivādayet K_207b	kAmataH na vivAdayet K_207b
   kāmaṃ tad api gṛhṇīyād K_137c	kAmam tat api gRhNIyAt K_137c
   kāmāt tu saṃśritāṃ yas tu K_727a	kAmAt tu saMSritAm yaH tu K_727a
   kāmāt purīṣaṃ kuryāc ca K_757c	kAmAt purIzam kuryAt ca K_757c
   kāmārtā svairiṇī yā tu K_831a	kAma-ArtA svEriNI yA tu K_831a
   kāmyayā bhartṛbhaktayā K_835d	kAmyayA BartR-BaktayA K_835d
   kāraṇaṃ bhuktir evaikā K_322c	kAraNam BuktiH eva-ekA K_322c
   kāraṇāt pūrvapakṣo 'pi hy K_211a	kAraNAt pUrva-pakzaH api hi K_211a
   kārayet tat karapadam K_935d	kArayet tat kara-padam K_935d
   kārayet sajjanais tāni K_432c	kArayet sat-janEH tAni K_432c
   kārayed dāsakarmāṇi K_718c	kArayet dAsa-karmANi K_718c
   kāryam adhyagatas tathā K_376d	kAryam aDyagataH taTA K_376d
   kāryam ātyayikaṃ hi tat K_149d	kAryam Atyayikam hi tat K_149d
   kāryasya nirṇayaṃ samyag K_080a	kAryasya nirNayam samyak K_080a
   kāryaṃ tu kāryiṇām eva K_081c	kAryam tu kAryiNAm eva K_081c
   kāryaṃ tu sādhayed yo vai K_954c	kAryam tu sADayet yaH vE K_954c
   kāryaṃ tena kṛtaṃ mayā K_179b	kAryam tena kRtam mayA K_179b
   kāryaṃ vāpy adhikaṃ bhavet K_122b	kAryam vA-api aDikam Bavet K_122b
   kāryaṃ vā viniveditam K_376b	kAryam vA viniveditam K_376b
   kāryaṃ hi sādhyam ity uktaṃ K_216a	kAryam hi sADyam iti uktam K_216a
   kāryaḥ sarvavarṇinām K_119d	kAryaH sarva-varNinAm K_119d
   kāryākhyānopacihnitāḥ K_745b	kArya-AKyAna-upacihnitAH K_745b
   kāryāṇāṃ ca balābalam K_147b	kAryANAm ca balAbalam K_147b
   kāryāṇāṃ nirṇayaṃ nṛpaḥ K_060b	kAryANAm nirNayam nRpaH K_060b
   kāryāṇāṃ nirṇayārthe tu K_036c	kAryANAm nirNaya-arTe tu K_036c
   kāryāṇāṃ nirṇayo dṛśyo K_475c	kAryANAm nirNayaH dRSyaH K_475c
   kāryātikramaṇaṃ hi tat K_830d	kArya-atikramaNam hi tat K_830d
   kāryārthe kāryanāśaḥ syād K_971c	kArya-arTe kArya-nASaH syAt K_971c
   kāryeṣv abhyantaro yaś ca K_357a	kAryezu aByantaraH yaH ca K_357a
   kārye 'smiṃś ceṣṭitaṃ mithaḥ K_343b	kArye asmin cezwitam miTas K_343b
   kāryo dvādaśako damaḥ K_785b	kAryaH dvAdaSakaH damaH K_785b
   kārṣāpaṇoṇḍikā jñeyās K_494c	kArzApaNa-uNxikAH jQeyAH K_494c
   kāladeśavirodhe tu K_436a	kAla-deSa-viroDe tu K_436a
   kālahīnaṃ tu varjayet K_601b	kAla-hInam tu varjayet K_601b
   kālahīnaṃ dadaddaṇḍaṃ K_601c	kAla-hInam dadat-daNxam K_601c
   kālaṃ tatra na kurvīta K_149c	kAlam tatra na kurvIta K_149c
   kālaṃ pariniyamya vā K_606b	kAlam pariniyamya vA K_606b
   kālaṃ vivāde yāceta K_145c	kAlam vivAde yAceta K_145c
   kālaṃ śaktiṃ viditvā tu K_147a	kAlam Saktim viditvA tu K_147a
   kālaṃ saṃvatsarād arvāk K_156a	kAlam saMvatsarAt arvAk K_156a
   kālaḥ pramāṇaṃ dānaṃ ca K_320c	kAlaH pramANam dAnam ca K_320c
   kālātīteṣu vā kālaṃ K_153c	kAla-atItezu vA kAlam K_153c
   kāle kāryārthinaṃ pṛcchet K_086a	kAle kArya-arTinam pRcCet K_086a
   kāle ced anyathā na tu K_688d	kAle ced anyaTA na tu K_688d
   kāle tu vidhinā deyaṃ K_552c	kAle tu viDinA deyam K_552c
   kālena hīyate lekhyaṃ K_224a	kAlena hIyate leKyam K_224a
   kāle vyatīte pratibhūr K_533a	kAle vyatIte pratiBUH K_533a
   kāle śāstrapradarśanāt K_275d	kAle SAstra-pradarSanAt K_275d
   kālo vidyārthināṃ smṛtaḥ K_333b	kAlaH vidyA-arTinAm smRtaH K_333b
   kitavānāṃ tathaiva ca K_426b	kitavAnAm taTA-eva ca K_426b
