   Āryabhaṭakṛtam	Ārya Bawa kRtam
   vargāvargayoḥ sthānayoḥ sthāpyate | athavā, yā daśādikā saṅkhyā sā	vargAvargayoH sTAnayoH sTApyate | aTavA, yA daSa AdikA saFKyA sA
   dvisthānāvagāhinī, tasyāḥ dvisthānāvagāhanaśīlatvāt dvayoḥ api sthānayoḥ	dvi sTAna avagAhinI, tasyAH dvi sTAna avagAhana SIla tvAt dvayoH api sTAnayoH
   sthāpyate | anyathā daśādisaṅkhyāyāḥ abhāvaḥ eva syāt | tad	sTApyate | anyaTA daSa Adi saFKyAyAH aBAvaH eva syAt | tat 
   ekādinavāntasaṅkhyayā eva vyavahāraḥ syāt |	eka Adi nava anta saFKyayA eva vyavahAraH syAt |
   athavā "ṅmau" iti atra makāragrahaṇam kurvan ācāryaḥ jñāpayati ã yā	aTavA "c mO" iti atra makAra grahaNam kurvan AcAryaH jQApayati ã yA
   daśottaravargākṣarasaṅkhyā sā varge vā avarge ca bhavati | anyathā "go	daSa uttara varga akzara saFKyA sA varge vA avarge ca Bavati | anyaTA "go
   yaḥ" iti evam brūyāt | evam avargākṣarasaṅkhyā api vargashāne yojyā |	yaH" iti evam brUyAt | evam avarga akzara saFKyAH api varga shAne yojyA |
   vargākṣarāṇām saṅkhyā vargasthāne kakārād upacīyate | etat uktam bhavati ã	varga akzarANAm saFKyA varga sTAne kakArAt upacIyate | etat uktam Bavati ã
   yāni vargākṣarāṇi śrūyate tāni kakārāt prabhṛti paṭhitāni bhavanti iti |	yAni varga akzarANi SrUyate tAni kakArAt praBRti paWitAni Bavanti iti |
   anyathā hi "svam rūpam śabdasya aśabdasaṃjñā" [aṣṭādhyāyī, 1.2.68] iti |	anyaTA hi "svam rUpam Sabdasya aSabda saMjQA" [azwa aDyAyI, 1.2.68] iti |
   yat yat akṣaram	yat yat akzaram
   uccāritam tat tasya eva rūpasya pratipādakam syāt, na kādisaṅkhyāyāḥ |	uccAritam tat tasya eva rUpasya pratipAdakam syAt, na kAdi saFKyAyAH |
   ataḥ uktam "kāt" iti |	atas uktam "kAt" iti |
   ṅmau, ṅaḥ ca maḥ ca ṅmau | anackau eva ṅakāramakārau, tayoḥ	FmO, FaH ca maH ca FmO | anackO eva FakAram akArO, tayoH
   dvi[vaca]nanirdeśaḥ ṅmau | ṅakāramakārayoḥ yā saṅkhyā sā ekatra saṃvṛttā	dvi [vaca]nanirdeSaH FmO | FakAram akArayoH yA saFKyA sA ekatra saMvRttA
   yakārasaṅkhyā bhavati | ṅakāraḥ pañca, makāraḥ pañcaviṃśatiḥ, ete saṅkhye	yakAra saFKyA Bavati | FakAraH paQca, makAraH paQcaviMSatiH, ete saFKye
   ekatra triṃśat, tena triṃśatsaṃkhyo yakāraḥ | rephādīnām avargākṣaratvāt	ekatra triMSat, tena triMSat saMKyaH yakAraH | rePa AdInAm avarga akzara tvAt 
   yakārasaṅkhyā eva kevalam prāpnoti, anirdeśāt anyatsaṅkhyāyāḥ | na	yakAra saFKyA eva kevalam prApnoti, anirdeSAt anyat saFKyAyAH | na
   rephādīnām yakārasaṅkhyā | kutaḥ? yadi rephādīnām api yakārasaṅkhyā eva	rePa AdInAm yakAra saFKyA | kutas ? yadi rePa AdInAm api yakAra saFKyA eva
   syāt tadā yakāram	syAt tadA yakAram
   eva sarvatra brūyāt, na rephādīni | "navarāṣahaḥ gatvāṃśakān	eva sarvatra brUyAt, na rePa AdIni | "navarAzahaH gatvA aMSakAn
   prathamapātāḥ" iti atra [rā]ṣaheṣu ekam eva avargākṣaram brūyāt | tasmāt	praTama pAtAH" iti atra [rA]zahezu ekam eva avarga akzaram brUyAt | tasmAt 
   na rephādīnām yakārasaṅkhyā | kā tarhi? kecit āhuḥ ã ekaikavṛddhyā	na rePa AdInAm yakAra saFKyA | kA tarhi? kecid AhuH ã ekEka vRdDyA
   rephādīnām saṅkhyā, yakāratriṃśat, rakāraḥ ekatriṃśat, lakāraḥ dvātriṃśat	rePa AdInAm saFKyA, yakAratriMSat, rakAraH ekatriMSat, lakAraH dvAtriMSat 
   iti ādi | etat na | kutaḥ? ekatriṃśadādisaṅkhyāyāḥ anyena eva prakāreṇa	iti Adi | etat na | kutas ? ekatriMSat Adi saFKyAyAH anyena eva prakAreNa
   siddhatvāt | yakāraḥ triṃśat, sa eva yadā yakāraḥ kakārasaṃyuktaḥ tadā hi	sidDa tvAt | yakAraH triMSat, saH eva yadA yakAraH kakAra saMyuktaH tadA hi
   ekatriṃśat, khakārādibhiḥ dvātriṃśat,	ekatriMSat, KakAra AdiBiH dvAtriMSat,
   trayaḥ triṃśat ādiḥ iti saṅkhyā |	trayaH triMSat AdiH iti saFKyA |
   anye āhuḥ ã rephādayaḥ daśottaravṛddhyā vardhante iti, rephaḥ catvāriṃśat,	anye AhuH ã rePa AdayaH daSa uttara vRdDyA varDante iti, rePaH catvAriMSat,
   lakāraḥ pañcāśat | evam avargākṣarābhāvāt na śakyate pratipattum | yathā	lakAraH paQcASat | evam avarga akzara aBAvAt na Sakyate pratipattum | yaTA
   kāt iti ācāryeṇa abhihitatvāt ekādyekottaritā saṅkhyā vargākṣarāṇām	kAt iti AcAryeNa aBihita tvAt eka Adi eka uttaritA saFKyA varga akzarANAm
   pratipadyate, evam avargākṣarāṇām api yāt iti yadā ucyate tadā daśottaritā	pratipadyate, evam avarga akzarANAm api yAt iti yadA ucyate tadA daSa uttaritA
   saṅkhyā pratipattum śakyate | anyathā "yāt" iti api ucyamāne katham	saFKyA pratipattum Sakyate | anyaTA "yAt" iti api ucyamAne kaTam
   daśottaritā saṅkhyā, nanu ca ekottaritā syāt | na iti āha ã yasmāt kāt iti	daSa uttaritA saFKyA, nanu ca eka uttaritA syAt | naH iti Aha ã yasmAt kAt iti
   [vargākṣarāṇi]	[varga akzarANi]
   vargasthāne upacīyante tasmāt teṣām ekottaritā saṅkhyā, yāni punar	varga sTAne upacIyante tasmAt tezAm eka uttaritA saFKyA, yAni punar 
   avargākṣarāṇi yādīni ekottaropacayāni avargasthāne tasmāt daśottaritā eva	avarga akzarANi yAdIni eka uttara upacayAni avarga sTAne tasmAt daSa uttaritAH eva
   vṛddhiḥ bhavati, avargasthānasya daśakasaṅkhyādhāratvāt | evam tarhi	vRdDiH Bavati, avarga sTAnasya daSaka saFKya ADAra tvAt | evam tarhi
   yādgrahaṇam kartavyam | na kartavyam | katham? akriyamāṇe ayam arthaḥ	yAt grahaNam kartavyam | na kartavyam | kaTam? akriyamANe ayam arTaH
   avagamyate | akṛtam eva yadi kṛtam eva, kim iti na paṭhyate? paṭhyate eva	avagamyate | akRtam eva yadi kRtam eva, kim iti na paWyate? paWyate eva
   "ṅmau yaḥ" | atra ayam yakāraḥ anackaḥ ṅmau yaḥ, aparaḥ yakāraḥ api	"FmO yaH" | atra ayam yakAraH anackaH FmO yaH, aparaH yakAraH api
   anackaḥ evam pañcamīvibhaktyantaḥ	anackaH evam paQcamI viBakti antar 
   ṅmau yaḥ | atra ekaḥ yakāraḥ luptanirdiṣṭaḥ pratipattavyaḥ | yathā "kṅiti	FmO yaH | atra ekaH yakAraH lupta nirdizwaH pratipattavyaH | yaTA "kFiti
   ca" [aṣṭādhyāyī, 1.1.5] iti atra luptanirdiṣṭaḥ gakāraḥ, kiti giti ṅiti	ca" [azwA aDyAyI, 1.1.5] iti atra lupta nirdizwaH gakAraH, kiti giti Fiti
   iti, evam atra api | athavā dviyakāroccāraṇe api viśeṣaḥ na asti eva |	iti, evam atra api | aTavA dvi yakAra uccAraNe api viSezaH na asti eva |
   evam yād iti asya ayam arthaḥ siddhaḥ | yadi ekottarāṇi	evam yAt iti asya ayam arTaH sidDaH | yadi eka uttarANi
   avargashānasthitatvāt daśottarāṇi eva bhavanti tadā kim iti ācāryeṇa "ṅmau	avarga shAna sTita tvAt daSa uttarANi eva Bavanti tadA kim iti AcAryeNa "j mO
   yaḥ" iti mahāprayāsaḥ kṛtaḥ | katham tarhi vaktavyaḥ? "gaḥ yaḥ" iti	yaH" iti mahA prayAsaH kRtaH | kaTam tarhi vaktavyaH? "gaH yaH" iti
   gakāraḥ trisaṅkhyaḥ, avargasthānasthitatvāt eva ayam triṃśatkaḥ	gakAraH tri saFKyaH, avarga sTAna sTita tvAt eva ayam triMSat kaH
   bhaviṣyati | na, ṅakāramakārasaṅkhyāvat eva śeṣāṇi api rephādīni	Bavizyati | na, FakAra makAra saFKyA vat eva SezANi api rePa AdIni
   catvāriṃśadādisaṅkhāni bhavanti iti avargasthānāśrayāt eva siddhe sati	catvAriMSat Adi saFKAni Bavanti iti avarga sTAna ASrayAt eva sidDe sati
   ṅmakāragrahaṇam kurvan ācāryaḥ jñāpayati iti uktam ã yāvanti vargasthānāni	FmakAra grahaNam kurvan AcAryaH jQApayati iti uktam ã yAvanti varga sTAnAni
   teṣu sarveṣu eva sā saṅkhyā yugapat prāptā, avargākṣarāṇām ca yā saṅkhyā	tezu sarvezu eva sA saFKyA yugapad prAptA, avarga akzarANAm ca yA saFKyA
   yāvanti avargasthānāni teṣu sarveṣu eva |	yAvanti avarga sTAnAni tezu sarvezu eva |
   ataḥ tatsaṅkhyānirūpaṇārtham āha ã khadvinavake svarāḥ nava varge avarge |	atas tad saFKyAni rUpaNa arTam Aha ã Ka t vinavake svarAH nava varge avarge |
   khāni śanyāni, khānam dvinavakam khadvinavakam, tasmin khadvinavake,	KAni SanyAni, KAnam dvi navakam Kat vinavakam, tasmin Kat vinavake,
   aṣṭādaśasu śūnyopalakṣiteṣu [sthāneṣu] | svarāḥ nava varge avarge | varge	azwAdaSasu SUnya upalakzitezu [sTAna izu] | svarAH nava varge avarge | varge
   vargasthāne nava svarāḥ | aṣṭādaśasu ca sthāneṣu nava vargasthānāni, tatra	varga sTAne nava svarAH | azwAdaSasu ca sTAnezu nava varga sTAnAni, tatra
   navasu vargasthāneṣu nava svarāḥ | ke punar te nava svarāḥ grāhyāḥ? yadi	navasu varga sTAnezu nava svarAH | ke punar te nava svarAH grAhyAH? yadi
   hrasvāḥ eva kevalam parigṛhyante tadā na pūryante | atha dīrghāḥ eva	hrasvAH eva kevalam parigRhyante tadA na pUryante | aTa dIrGAH eva
   kevalam	kevalam
   parigṛhyante tadā api aṣṭau svarāḥ bhavanti, nanu lṛvarṇasya dīrghābhāvāt	parigRhyante tadA api azwO svarAH Bavanti, nanu lRvarNasya dIrGa aBAvAt 
   | atha hrasvāḥ dīrghaḥ ca parigṛhyante tadā atiricyante, aniṣṭam prāpnoti	| aTa hrasvAH dIrGaH ca parigRhyante tadA atiricyante, anizwam prApnoti
   | "jhā gḍa glā rdha dḍa" [gītikāí, 10] iti atra ākārasya dvitīye ca	| "JA gxa glAH rDa dxa" [gItikAí, 10] iti atra AkArasya dvitIye ca
   pratipāditatvāt dvitīyavargasthāne jhakārasaṅkhyā sthāpyamānā navaśatāni	pratipAdita tvAt dvitIya varga sTAne JakAra saFKyA sTApyamAnAH nava SatAni
   syuḥ, na nava | abhīṣyate ca navasaṅkhyā, navasaṅkhyākaḥ jhakāraḥ | tatra	syuH, na nava | aBIzyate ca nava saFKyA, nava saFKyAkaH JakAraH | tatra
   hrasvaḥ eva jhakāraḥ paṭhyate iti cet "nṛṣi yojanam ñilā bhūvyāsaḥ"	hrasvaH eva JakAraH paWyate iti ced "nRzi yojanam QilAH BUvyAsaH"
   [gītikāí, 6] iti atra lakāre pañcasahasrāṇi	[gItikAí, 6] iti atra lakAre paQca sahasrANi
   syuḥ, na pañcāśat | tatra ca avaśyam dīrghaḥ lakāraḥ paṭhitavyaḥ, anyathā	syuH, na paQcASat | tatra ca avaSyam dIrGaH lakAraH paWitavyaH, anyaTA
   gītiḥ eva bhidyeta | ataḥ na kevalam hrasvāḥ na kevalam dīrghāḥ, na api	gItiH eva Bidyeta | atas na kevalam hrasvAH na kevalam dIrGAH, na api
   hrasvadīrghāḥ, na svarāḥ mātṛkāpaṭhitāt parigṛhyante | kasmāt tarhi svarāḥ	hrasva dIrGAH, na svarAH mAtRkA paWitAt parigRhyante | kasmAt tarhi svarAH
   parigṛhītavyāḥ? ucyate ã yatra nava eva kevalāḥ svarāḥ paṭhyante, tasmāt	parigRhItavyAH? ucyate ã yatra navaH eva kevalAH svarAH paWyante, tasmAt 
   parigṛhītavyāḥ | kasmin nava eva kevalāḥ paṭhyante? āha ã pāṇinīye	parigRhItavyAH | kasmin navaH eva kevalAH paWyante? Aha ã pANinIye
   vyākaraṇe pratyāhāre a i u ṛ ḷ e o ai au iti ete nava svarāḥ | tatra	vyAkaraNe pratyAhAre a i u R ? e aH E O iti ete nava svarAH | tatra
   prathame vargasthāne akāraḥ, dvitīye	praTame varga sTAne akAraH, dvitIye
   ikāraḥ, tṛtīye ukāraḥ, iti ādi | evam svaropalakṣiteṣu vargasthāneṣu	ikAraH, tRtIye ukAraH, iti Adi | evam svara upalakzitezu varga sTAnezu
   vargākṣarasaṅkhyā | avargākṣarasaṅkhyā ca svaropalakṣitavargasthānottare	varga akzara saFKyA | avarga akzara saFKyA ca svara upalakzita varga sTAna uttare
   avargasthāne |	avarga sTAne |
   athavā varge avarge iti ayam vīpsā, varge avarge ca, vargasthāne	aTavA varge avarge iti ayam vIpsA, varge avarge ca, varga sTAne
   avargasthāne ca te eva nava svarāḥ | tad yathā ã akāraḥ prathame	avarga sTAne ca te eva nava svarAH | tat yaTA ã akAraH praTame
   vargasthāne tadanantarāvargasthāne ca | tad yadi vargākṣarasaṃyuktaḥ	varga sTAne tad anantara Avarga sTAne ca | tat yadi varga akzara saMyuktaH
   akāraḥ prathamavargasthāne "bhṛgubudha" iti ādiṣu, sa eva yadā	akAraH praTama varga sTAne "BRgu buDa" iti Adizu, saH eva yadA
   avargākṣarasaṃyuktaḥ tadā tatprathamavargasthānānantarāvargasthāne	avarga akzara saMyuktaH tadA tad praTama varga sTAna anantara Avarga sTAne
   "navarāṣaha" iti ādiṣu | evam ikārādiṣu api sveṣu vargāvargasthāneṣu	"navarAzaha" iti Adizu | evam ikAra Adizu api svezu varga Avarga sTAnezu
   yojyam | atha dīrgheṣu akārādiṣu katham karaṇīyam?	yojyam | aTa dIrGezu akAra Adizu kaTam karaNIyam?
   ucyate ã yathā te vyākaraṇe akārādayaḥ svarāḥ aṣṭādaśaprabhedāḥ, dvādaśa	ucyate ã yaTA te vyAkaraNe akAra AdayaH svarAH azwAdaSa praBedAH, dvAdaSa
   bhedāḥ ca lṛvarṇasandhisvarāḥ parigṛhyante, evam atra api | tena "ñilā	BedAH ca lRvarNa sanDi svarAH parigRhyante, evam atra api | tena "QilA
   bhūvyāsa" iti ādiṣu ākāraḥ prathamaḥ eva vargasthāneṣu | aṣṭādaśasthāneṣu	BU vyAsa" iti Adizu AkAraH praTamaH eva varga sTAnezu | azwAdaSa sTAnezu
   yāni vargasthānāni avargasthānāni ca teṣu vargākṣarāvargākṣarasaṅkhyā	yAni varga sTAnAni avarga sTAnAni ca tezu varga akzara Avarga akzara saFKyA
   nirūpitā |	nirUpitA |
   yadā punar aṣṭādaśavyatirikteṣu sthāneṣu saṅkhyā kasyacit vivakṣitā	yadA punar azwAdaSa vyatiriktezu sTAnezu saFKyA kasyacid vivakzitA
   bhavati tadā katham karaṇīyam iti? atra āha ã navāntyavarge vā | navānām	Bavati tadA kaTam karaNIyam iti? atra Aha ã nava antya varge vA | navAnAm
   antaḥ navāntaḥ | navānte bhavam navāntyam | navāntyaḥ ca asau vargaḥ ca	antar nava antaH | nava ante Bavam nava antyam | nava antyaH ca asO vargaH ca
   navāntyavargaḥ | tasmin navāntyavarge vā svarāḥ bhavanti, vikalpitāḥ	nava antya vargaH | tasmin navAntya varge vA svarAH Bavanti, vikalpitAH
   svarāḥ bhavanti | vikalpaḥ ca kasmiṃśit katham upalakṣyate? yathā	svarAH Bavanti | vikalpaH ca kasmiMSit kaTam upalakzyate? yaTA
   "putracchedyavikalpā apatyacchedyaprakārāḥ", evam atra api kenacit	"putra= Cedya vikalpAH apatya= Cedya prakArAH", evam atra api kenacid 
   prakāreṇa vikalpitāḥ navātyavarge	prakAreNa vikalpitAH navAtyavarge
   daśame vargasthāne svarāḥ bhavanti | yadi prathame vargasthāne akāraḥ	daSame varga sTAne svarAH Bavanti | yadi praTame varga sTAne akAraH
   śuddhaḥ vikalpitaḥ sa eva tasmāt vargasthānāt daśame vargasthāne	SudDaH vikalpitaH saH eva tasmAt varga sTAnAt daSame varga sTAne
   anusvārādinā vikalpyate, evam ikārādayaḥ svasmāt vargasthānāt daśame	anusvAra AdinA vikalpyate, evam ikAra AdayaH svasmAt varga sTAnAt daSame
   vargasthāne, punar api ca yāvat abhīṣṭam bhavati tāvat tena api	varga sTAne, punar api ca yAvat aBIzwam Bavati tAvat tena api
   anubandhena svarān vikalpya saṅkhyopadeṣṭavyā | etat paribhāṣābījam	anubanDena svarAn vikalpya saFKyA upadezwavyA | etat pariBAzA bIjam
   ācāryeṇa saṅkhyāvivakṣūṇām anugrahāya upadiṣṭam | svaśāstravyavahāraḥ tu	AcAryeNa saFKyA vivakzUNAm anugrahAya upadizwam | sva SAstra vyavahAraH tu
   lṛvarṇavargasthānāt na atiricyate |	lRvarNa varga sTAnAt na atiricyate |
   vargākṣarāṇām avargākṣarāṇām ca [yā] saṅkhyā sā akṣarābhihitatvāt yāvanti	varga akzarANAm avarga akzarANAm ca [yA] saFKyA sA akzara aBihita tvAt yAvanti
   vakṣyamāṇāni gītikāsūtreṣu akṣarāṇi teṣām sarveṣām eva prāpnoti tat ca	vakzyamANAni gItikA sUtrezu akzarANi tezAm sarvezAm eva prApnoti tat ca
   aniṣṭam prasajyeta, tena atra arthavanti yāni akṣarāṇi teṣām saṅkhyā na	anizwam prasajya ita, tena atra arTavanti yAni akzarANi tezAm saFKyA na
   bhavet iti etat vaktavyam | yathā ã "yugaravibhagaṇāḥ khyughṛ" [gītikā í,	Bavet iti etat vaktavyam | yaTA ã "yugara viBagaNAH KyuGR" [gItikAH í,
   3] iti atra khyughṛ śabdasya saṅkhyā iṣyate na yugaravibhagaṇaśabdasya |	3] iti atra KyuGR  Sabdasya saFKyA izyate na yugaraviBagaNa Sabdasya |
   yadi pratiṣedhaḥ na ucate tadā khyughṛ śabdasya yathā saṅkhyā evam	yadi pratizeDaH naH ucate tadA KyuGR  Sabdasya yaTA saFKyA evam
   yugaravibhagaṇaśabdasya	yugaraviBagaNa Sabdasya
   api prāpnoti | sa tarhi pratiṣedhaḥ avaśyam vaktavyaḥ | na vaktavyaḥ |	api prApnoti | sa tarhi pratizeDaH avaSyam vaktavyaH | na vaktavyaH |
   yadi sarveṣām eva akṣarāṇām gītikāsūtrapratibaddhānām saṅkhyā syāt tadā	yadi sarvezAm eva akzarANAm gItikA sUtra pratibadDAnAm saFKyA syAt tadA
   sarvam eva etat śāstram anarthakam syāt |	sarvam eva etat SAstram anarTakam syAt |
   [ jyotiṣaśāstraprādurbhāve vyākhyākāramatam ]	[ jyotiza SAstra prAdurBAve vyAKyA AkAra matam ]
   atha katham asya atīndriyāṇām sphuṭagrahagatyarthānām prādurbhāvaḥ?	aTa kaTam asya atIndriyANAm sPuwa graha gati arTAnAm prAdurBAvaH?
   brahmaṇaḥ prasādena iti | evam anuśrūyate ã anena ācāryeṇa mahadbhiḥ	brahmaNaH prasAdena iti | evam anuSrUyate ã anena AcAryeNa mahadBiH
   tapobhiḥ brahmā ārādhitaḥ | ataḥ asya tatprasādena sphuṭagrahagatyarthānām	tapoBiH brahmA ArADitaH | atas asya tad prasAdena sPuwa graha gati arTAnAm
   prādurbhāvaḥ iti | āha ca ã	prAdurBAvaH iti | Aha ca ã
   atīndriyārthāvagateḥ tapobhiḥ paropakārakṣamakāvyadṛṣṭeḥ |	atIndriya arTa avagateH tapoBiH para upakAra kzama kAvya dRzweH |
   yaḥ alaṅkṛteḥ avyayam anvayasya parāśarasya anukṛtim cakāra ||	yaH alaFkRteH avyayam anvayasya parASarasya anukRtim cakAra ||
   iti | brahmaṇaḥ kutaḥ? brahmā svayaṃbhūḥ jñānarāśiḥ | tataḥ sarvāsām	iti | brahmaNaH kutas ? brahmA svayaMBUH jQAna rASiH | tatas sarvAsAm
   vidyānām prādurbhāvaḥ | ataḥ anena lokānugrahāya	vidyAnAm prAdurBAvaH | atas anena loka anugrahAya
   sphuṭagrahagatyarthavācakāni daśa gītikāsūtrāṇi	sPuwa graha gati arTa vAcakAni daSa gItikA sUtrANi
   gaṇitakālakriyāgolārthavācakam āryāṣṭaśatam ca vinibaddham |	gaNita kAla kriyA gola arTa vAcakam Arya azwaSatam ca vinibadDam |
   sphuṭagrahagatyarthahetavaḥ arthāḥ, tasmāt sarvadā eva nityāḥ, teṣām	sPuwa graha gati arTa hetavaH arTAH, tasmAt sarvadA eva nityAH, tezAm
   śabdebhyaḥ avagatiḥ iti śabdabaddhāḥ, yathā suvarṇikāraḥ suvarṇam ādāya	SabdeByaH avagatiH iti Sabda badDAH, yaTA suvarNikAraH suvarNam AdAya
   kaṭakakeyūrakuṇḍalādyalaṅkāram niṣpādya niṣpannam api alaṅkāram bhaṅktvā	kawaka keyUra kuNxala Adi alaFkAram nizpAdya nizpannam api alaFkAram BaFktvA
   anyatvam āpādayati | atha ca suvarṇasya tāpacchedanikaṣādiparīkṣaṇena	anya tvam ApAdayati | aTa ca suvarNasya tApa= Ceda nikaza Adi parIkzaNena
   anyatvam manāg api na bhavati iti arthānām api	anya tvam manAk api na Bavati iti arTAnAm api
   sādhuśabdālaṅkāranānāvṛttabandhaiḥ viracyamānānām ananyatvam iti | śrutau	sADu Sabda alaFkAra nAnA vRtta banDEH viracyamAnAnAm ananya tvam iti | SrutO
   api śatapathe bṛhadāraṇyake paṭhyate; tad yathā ã "peśaskārī peśasaḥ	api SatapaTe bRhadAraNyake paWyate; tat yaTA ã "peSaskArI peSasaH
   mātrām apādayānyannavataram kalyāṇataram rūpam tanute"	mAtrAm apAdaya anyat navataram kalyANataram rUpam tanute"
   [bṛhadāraṇyakopaniṣat, 4.4.4] iti | evam ayam āgamārthaḥ brahmaṇaḥ sakāśāt	[bRhat AraNyaka upanizat, 4.4.4] iti | evam ayam Agama arTaH brahmaNaH sakASAt 
   ācāryeṇa adhigataḥ |	AcAryeNa aDigataH |
   atha anye manyante ã "jyotiṣām udayamadhyāstamayaprāptīn dṛṣṭvā	aTa anye manyante ã "jyotizAm udaya maDya astamaya prAptIn dRzwvA
   pratyakṣānumānābhyām paricchidya svadhīviracitam" iti | etat ca na |	pratyakza anumAnAByAm paricCidya sva DI viracitam" iti | etat ca na |
   jyotīṃṣi kṣititalam bhitvā pūrvasyām diśi udgatāni krameṇa ambaramadhyam	jyotIMzi kziti talam BitvA pUrvasyAm diSi udgatAni krameNa ambara maDyam
   atītya parasyām diśi kṣititalam bhitvā eva praviśantaḥ lakṣyante | etāvati	atItya parasyAm diSi kziti talam BitvA eva praviSantaH lakzyante | etAvati
   udayāstamayāntare viyatyupalakṣaṇābhāvāt jyotiṣām gatipramāṇaparicchedaḥ	udaya astamaya antare viyati upalakzaNa aBAvAt jyotizAm gati pramANa paricCedaH
   duḥsampādyaḥ, gateḥ ceyattāparijñānābhāvāt "etāvatā kālena iyatī gatiḥ	duHsampa At yaH, gateH ceyat tA pari jQAna aBAvAt "etAvatA kAlena iyatI gatiH
   etāvatā kālena	etAvatA kAlena
   kiyatī" iti gaṇitakarma na pravartate | pramāṇaphalarāśyoḥ aparijñānāt	kiyatI" iti gaNita karma na pravartate | pramANa Pala rASyoH aparijQAnAt 
   apravatteḥ ca gaṇitakarmaṇaḥ grahāṇām yugabhagaṇāparijñānam,	apravatteH ca gaNita karmaNaH grahANAm yugaBagaNa aparijQAnam,
   yugabhagaṇāparijñānāt grahagatiparijñānābhāvaḥ | yathā atra aśvādīnām	yugaBagaNa aparijQAnAt graha gati parijQAna aBAvaH | yaTA atra aSva AdInAm
   gatiḥ pratyakṣeṇa deśakālābhyām saha upapadyate iti ataḥ gaṇitakarma	gatiH pratyakzeNa deSa kAlAByAm saha upapadyate iti atas gaNita karma
