   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   yadi na syāt pratikriyā VMv_1.47d	yadi na syAt pratikriyA VMu-_1.47d
   yadi brahmasamo bhavet VMv_1.48d	yadi brahma-samaH Bavet VMu-_1.48d
   yadi bhrāntyā na kalpitaḥ VMv_1.86d	yadi BrAntyA na kalpitaH VMu-_1.86d
   yadi mantrādi nācaret VMv_1.60d	yadi mantra-Adi na-Acaret VMu-_1.60d
   yadi vajrasamo 'py asau VMv_2.20d	yadi vajra-samaH api asO VMu-_2.20d
   yadi vedho 'pratīkāro VMv_1.50c	yadi veDaH apratIkAraH VMu-_1.50c
   yadi śakrasamo bhavet VMv_1.46d	yadi Sakra-samaH Bavet VMu-_1.46d
   yad yad vibhāvyate 'bhīkṣṇam VMv_4.83a	yat yat viBAvyate aBIkzNam VMu-_4.83a
   yad vā khaṭvāṅgabhāvakam VMv_4.42b	yat vA KawvAFga-BAvakam VMu-_4.42b
   yan na mantraiḥ prasidhyati VMv_3.66b	yat na mantrEH prasiDyati VMu-_3.66b
   yaś cāpi vānarārūḍhaḥ VMv_1.125a	yaH ca-api vAnara-ArUXaH VMu-_1.125a
   yas tasya mṛtyur varṣeṇa VMv_1.61c	yaH tasya mRtyuH varzeNa VMu-_1.61c
   yasya mastakam āruhya VMv_1.82a	yasya mastakam Aruhya VMu-_1.82a
   yasyānubhūyate tasya VMv_1.80c	yasya-anuBUyate tasya VMu-_1.80c
   yasyārdhapraharaṃ vahet VMv_2.17b	yasya-arDa-praharam vahet VMu-_2.17b
   yaḥ paśyet tasya mṛtyuḥ syāt VMv_1.69c	yaH paSyet tasya mRtyuH syAt VMu-_1.69c
   yaḥ satataṃ kurute hitayogam VMv_3.73b	yaH satatam kurute hita-yogam VMu-_3.73b
   yaḥ svapne labhate tasya VMv_1.137c	yaH svapne laBate tasya VMu-_1.137c
   yā tu badhnāti bandhanaiḥ VMv_1.127b	yA tu baDnAti banDanEH VMu-_1.127b
   yāty asau yamamaṇḍalam VMv_1.128d	yAti asO yama-maNxalam VMu-_1.128d
   yāni ṣaṭ ṣaḍ dināny atra VMv_1.34c	yAni zax zaw dinAni atra VMu-_1.34c
   yāvaj jīvati saṃsāre VMv_1.6a	yAvat jIvati saMsAre VMu-_1.6a
   yāvat kaṇṭhaṃ śiro 'thavā VMv_1.52b	yAvat kaNWam SiraH aTavA VMu-_1.52b
   yāvat pañcadaśītarā VMv_2.10d	yAvat paQcadaSI-itarAH VMu-_2.10d
   yāvat pañcadaśī sitā VMv_2.9d	yAvat paQcadaSI sitA VMu-_2.9d
   yāvat pañcadinaṃ mṛtyuḥ VMv_1.113c	yAvat paQca-dinam mRtyuH VMu-_1.113c
   yāvad ādhyātmikaṃ samyag VMv_2.2c	yAvat ADyAtmikam samyak VMu-_2.2c
   yugapatpañcadhāraṃ vā VMv_1.115a	yugapad-paQca-DAram vA VMu-_1.115a
   yugapan nirgamo bāhu- VMv_1.84a	yugapad nirgamaH bAhu VMu-_1.84a
   yeṣāṃ sattveṣu saṃtatam VMv_3.10b	yezAm sattvezu saMtatam VMu-_3.10b
   yaiḥ syād āyuṣo vṛddhis VMv_3.64c	yEH syAt AyuzaH vRdDiH VMu-_3.64c
   yogatantrādivācanāt VMv_3.26b	yoga-tantra-Adi-vAcanAt VMu-_3.26b
   yogo 'yaṃ bahusaṃmataḥ VMv_3.77d	yogaH ayam bahu-saMmataH VMu-_3.77d
   yo na paśyati tasya syān VMv_1.102c	yaH na paSyati tasya syAt VMu-_1.102c
   yo na paśyati darpaṇe VMv_1.47b	yaH na paSyati darpaNe VMu-_1.47b
   yo nirodhena tiṣṭhati VMv_4.69b	yaH niroDena tizWati VMu-_4.69b
   yo 'bhirohati mānavaḥ VMv_1.123b	yaH aBirohati mAnavaH VMu-_1.123b
   yo 'bhirohati svapnānte VMv_1.122c	yaH aBirohati svapna-ante VMu-_1.122c
   yo vānararathārūḍho VMv_1.131a	yaH vAnara-raTa-ArUXaH VMu-_1.131a
   raktagandhapraliptāṅgaṃ VMv_1.135a	rakta-ganDa-pralipta-aFgam VMu-_1.135a
   raktamālyavibhūṣitam VMv_1.135b	rakta-mAlya-viBUzitam VMu-_1.135b
   raktamālyāni gandhāṃś ca VMv_1.137a	rakta-mAlyAni ganDAn ca VMu-_1.137a
   raktavarṇāmitābhākhya- VMv_4.23a	rakta-varNA-amita-ABa-AKya VMu-_4.23a
   raktāmbaram athāpi vā VMv_1.137b	rakta-ambaram aTa-api vA VMu-_1.137b
   rakṣaḥpretapiśācakaiḥ VMv_1.132b	rakzaH-preta-piSAcakEH VMu-_1.132b
   ratnalakṣaṇaśāstrokta- VMv_3.36a	ratna-lakzaNa-SAstra-ukta VMu-_3.36a
   ratnolkāyāś ca jāpataḥ VMv_3.28d	ratna-ulkAyAH ca jApataH VMu-_3.28d
   rambhāphalanibhāṃ chāyāṃ VMv_1.96c	ramBA-Pala-niBAm CAyAm VMu-_1.96c
   rasāyanabalāt svayam VMv_3.35b	rasAyana-balAt svayam VMu-_3.35b
   rasāyanasvabhāvakāt VMv_3.70d	rasAyana-svaBAvakAt VMu-_3.70d
   rājacauramahāmāra- VMv_4.2a	rAja-cOra-mahAmAra VMu-_4.2a
   rātrāv apaśyato 'kasmāt VMv_1.72c	rAtrO apaSyataH akasmAt VMu-_1.72c
   rātrāv indradhanuḥ paśyed VMv_1.64a	rAtrO indraDanuH paSyet VMu-_1.64a
   rātrir eṣā mamāntimā VMv_1.131d	rAtriH ezA mama-antimAH VMu-_1.131d
   rātrau sūryaṃ divā candraṃ VMv_1.74a	rAtrO sUryam divA candram VMu-_1.74a
   rāśau tatraiva candraś cej VMv_2.31a	rASO tatra-eva candraH ced VMu-_2.31a
   rudradikpālamanmathaiḥ VMv_4.34b	rudra-dikpAla-manmaTEH VMu-_4.34b
   rogāder api saṃskṛteḥ VMv_2.3d	roga-AdeH api saMskRteH VMu-_2.3d
   romakūpaiḥ samantataḥ VMv_4.43d	romakUpEH samantataH VMu-_4.43d
   ryaśatākṣarasaṃjñinaḥ VMv_3.49b	rya-Sata-akzara-saMjQinaH VMu-_3.49b
   lakṣaṇaṃ kathyate sphuṭam VMv_2.1b	lakzaNam kaTyate sPuwam VMu-_2.1b
   lakṣaṇaṃ naiva niścitam VMv_2.2d	lakzaNam na-eva niScitam VMu-_2.2d
   lakṣaṇād dūrato mṛtyuṃ VMv_1.9a	lakzaNAt dUratas mRtyum VMu-_1.9a
   lakṣaṇānāṃ pariccheda- VMv_1.23a	lakzaNAnAm paricCeda VMu-_1.23a
   lakṣaṇāny upalakṣayet VMv_1.22d	lakzaNAni upalakzayet VMu-_1.22d
   lakṣaṇīyam ataḥ pṛthak VMv_1.25d	lakzaNIyam atas pRTak VMu-_1.25d
   lakṣaṇīyam idaṃ trayam VMv_1.98b	lakzaNIyam idam trayam VMu-_1.98b
   lakṣaṇe jvala jvalana- VMv_3.54c	lakzaNe jvala jvalana VMu-_3.54c
   lakṣayet prātarāditaḥ VMv_2.4d	lakzayet prAtarAditaH VMu-_2.4d
   lakṣayen madhyatas tayoḥ VMv_1.96d	lakzayet maDyatas tayoH VMu-_1.96d
   lakṣayen maraṇaṃ tadā VMv_2.34d	lakzayet maraNam tadA VMu-_2.34d
   lakṣaśaḥ koṭiśo vāpi VMv_3.47a	lakzaSas kowiSas vA-api VMu-_3.47a
   lalāṭasthatrirekhāṇāṃ VMv_1.112c	lalAwa-sTa-tri-reKANAm VMu-_1.112c
   lālājihvām adhomukhīm VMv_4.48b	lAlA-jihvAm aDomuKIm VMu-_4.48b
   likhitaś candanadravaiḥ VMv_3.46d	liKitaH candana-dravEH VMu-_3.46d
   liṅgāni bāhyāni yathoditāni VMv_1.139b	liFgAni bAhyAni yaTA-uditAni VMu-_1.139b
   liṅgāny ariṣṭam iti cāparanāmakāni VMv_2.55b	liFgAni arizwam iti ca-apara-nAmakAni VMu-_2.55b
   liṅgināṃ prātar ādarāt VMv_3.18b	liFginAm prAtar AdarAt VMu-_3.18b
   liptvā śayyāṃ mṛtā vayam VMv_4.94d	liptvA SayyAm mRtAH vayam VMu-_4.94d
   lekhakānāṃ tapasvinām VMv_4.102b	leKakAnAm tapasvinAm VMu-_4.102b
   lokeśagatacetasaṃ VMv_4.26d	lokeSa-gata-cetasam VMu-_4.26d
   lokeśam aparaṃ tathā VMv_4.25b	lokeSam aparam taTA VMu-_4.25b
   lokeśvaraguroḥ puraḥ VMv_3.61b	loka-ISvara-guroH puras VMu-_3.61b
   lokeśvaram anaśvaram VMv_4.22b	lokeSvaram anaSvaram VMu-_4.22b
   locanāṃ māmakīṃ cundāṃ VMv_4.38a	locanAm mAmakIm cundAm VMu-_4.38a
   locaneti padatrayam VMv_3.45d	locanA-iti pada-trayam VMu-_3.45d
   lohadaṇḍadharaṃ kṛṣṇaṃ VMv_1.134a	loha-daNxa-Daram kRzNam VMu-_1.134a
   lohitaṃ vyādhisūcakam VMv_1.49d	lohitam vyADi-sUcakam VMu-_1.49d
   vaktuṃ varṣaśatair api VMv_1.138d	vaktum varza-SatEH api VMu-_1.138d
   vakṣyamāṇārthadarśikā VMv_4.63b	vakzyamANa-arTa-darSikA VMu-_4.63b
   vajrakāyaḥ svarūpavān VMv_3.79b	vajra-kAyaH sva-rUpavAn VMu-_3.79b
   vajrakāyo bhaved dhruvam VMv_4.21d	vajra-kAyaH Bavet Druvam VMu-_4.21d
   vajraḍākaṃ catuṣpīṭhaṃ VMv_4.99a	vajra-xAkam catuzpIWam VMu-_4.99a
   vajraparyaṅkasaṃśliṣṭaṃ VMv_4.23c	vajra-paryaFka-saMSlizwam VMu-_4.23c
   vajrapātādilakṣaṇaḥ VMv_1.15d	vajra-pAta-Adi-lakzaNaH VMu-_1.15d
   vajrāṇāṃ ca namo vajra- VMv_4.10c	vajrANAm ca namaH vajra VMu-_4.10c
   vañcakaḥ syān na saṃśayaḥ VMv_3.37d	vaQcakaH syAt na saMSayaH VMu-_3.37d
   vañcanāni mṛter iha VMv_4.94b	vaQcanAni mRteH iha VMu-_4.94b
   vañcyate mṛtyur udyataiḥ VMv_3.27d	vaQcyate mRtyuH udyatEH VMu-_3.27d
   vañcyate mṛtyur udyataiḥ VMv_4.1d	vaQcyate mRtyuH udyatEH VMu-_4.1d
   vatsarair manusaṃkhyātair VMv_2.34c	vatsarEH manu-saMKyAtEH VMu-_2.34c
   varadotpaladhāriṇīm VMv_4.28d	vara-da-utpala-DAriNIm VMu-_4.28d
   varṇaṃ padmopamaṃ mukhe VMv_1.75b	varNam padma-upamam muKe VMu-_1.75b
   varṣatrayātyayān mṛtyur VMv_1.86c	varza-traya-atyayAt mRtyuH VMu-_1.86c
   varṣatrayātyayān mṛtyur VMv_2.25c	varza-traya-atyayAt mRtyuH VMu-_2.25c
   varṣasyaiva caturthāṃśaiḥ VMv_1.101c	varzasya-eva caturTa-aMSEH VMu-_1.101c
   varṣān mṛtyur udīritaḥ VMv_2.47d	varzAt mRtyuH udIritaH VMu-_2.47d
   varṣān mṛtyur bhavet tatra VMv_1.78c	varzAt mRtyuH Bavet tatra VMu-_1.78c
   varṣair mṛtyur yathākramam VMv_1.100d	varzEH mRtyuH yaTAkramam VMu-_1.100d
   valīpalitadaurbhāgya- VMv_4.35a	valI-palita-dOrBAgya VMu-_4.35a
   valīpalitanirmukto VMv_3.79a	valI-palita-nirmuktaH VMu-_3.79a
   vahec cet tridvyekavarṣair VMv_2.36c	vahet ced tri-dvi-eka-varzEH VMu-_2.36c
   vahec ced arkadikśaila- VMv_2.35c	vahet ced arka-diS-SEla VMu-_2.35c
   vahet saptadaśāhaṃ ced VMv_2.47a	vahet saptadaSa-aham ced VMu-_2.47a
   vahed ātmīyanāsāgra- VMv_3.76c	vahet AtmIya-nAsA-agra VMu-_3.76c
   vahed ekādaśāhaṃ cen VMv_2.44a	vahet ekAdaSa-aham ced VMu-_2.44a
   vahed yasya daśāhāni VMv_2.15c	vahet yasya daSa-ahAni VMu-_2.15c
   vahed vāyur yadi tadā VMv_2.13c	vahet vAyuH yadi tadA VMu-_2.13c
   vahnitoyādyupadravaḥ VMv_1.16d	vahni-toya-Adi-upadravaH VMu-_1.16d
   vāñchā cet kasya cid bhavet VMv_1.11b	vAQCA ced kasya cit Bavet VMu-_1.11b
   vāñchitārthaprasādhakāt VMv_4.39d	vAQCita-arTa-prasADakAt VMu-_4.39d
   vātaśītādisaṅgāc ca VMv_1.25c	vAta-SIta-Adi-saFgAt ca VMu-_1.25c
   vāmanāsāpuṭe vāyuḥ VMv_2.19a	vAma-nAsA-puwe vAyuH VMu-_2.19a
   vāmapāṇer adarśanāt VMv_1.95b	vAma-pANeH adarSanAt VMu-_1.95b
   vāmākṣiputtalīcchāyāṃ VMv_1.47a	vAma-akzi-puttalI=-CAyAm VMu-_1.47a
   vāmāvartaṃ vigandhi ca VMv_1.115b	vAmAvartam viganDi ca VMu-_1.115b
   vāyujāpaparo bhavet VMv_4.55d	vAyu-jApa-paraH Bavet VMu-_4.55d
   vāyur ghrāṇāsyagocaraḥ VMv_2.1d	vAyuH GrANa-Asya-gocaraH VMu-_2.1d
   vāyur vahati yāmārdhaṃ VMv_2.7a	vAyuH vahati yAma-arDam VMu-_2.7a
   vāyuś ced divasān vahet VMv_2.26b	vAyuH ced divasAn vahet VMu-_2.26b
   vāyuś cen mṛtyuvarjitāḥ VMv_2.27b	vAyuH ced mRtyu-varjitAH VMu-_2.27b
   vāyusaṃcāratatparaḥ VMv_4.58b	vAyu-saMcAra-tatparaH VMu-_4.58b
   vāyus tasya vijānīyāt VMv_2.17c	vAyuH tasya vijAnIyAt VMu-_2.17c
   vāyus tasyārthanāśaḥ syād VMv_2.18c	vAyuH tasya-arTa-nASaH syAt VMu-_2.18c
   vāyuḥ sūryaikagocaraḥ VMv_2.47b	vAyuH sUrya-eka-gocaraH VMu-_2.47b
   vāyūdayavaśāj jñeyo VMv_2.51c	vAyu-udaya-vaSAt jQeyaH VMu-_2.51c
   vālukācaityakaraṇāt VMv_3.22a	vAlukA-cEtya-karaNAt VMu-_3.22a
   vālukābhasmarāśiṃ vā VMv_1.123c	vAlukA-Basma-rASim vA VMu-_1.123c
   vālmīkaṃ pāṃśurāśiṃ vā VMv_1.126c	vAlmIkam pAMSu-rASim vA VMu-_1.126c
   vāsaraiḥ syāt tribhir nṛṇām VMv_1.40d	vAsarEH syAt triBiH nRNAm VMu-_1.40d
   vāhayed anulomena VMv_4.58a	vAhayet anulomena VMu-_4.58a
   vikalpamātrasaṃbhūtaṃ VMv_4.80a	vikalpa-mAtra-saMBUtam VMu-_4.80a
   vikalpaṃ hānayet tasmān VMv_4.82c	vikalpam hAnayet tasmAt VMu-_4.82c
   vikalpaḥ sarvaduḥkhāni VMv_4.82a	vikalpaH sarva-duHKAni VMu-_4.82a
   vikalpo mṛtyur ucyate VMv_4.82b	vikalpaH mRtyuH ucyate VMu-_4.82b
   vikāraḥ śukramūtrāṇāṃ VMv_1.114c	vikAraH Sukra-mUtrANAm VMu-_1.114c
   vikāsi parilakṣyate VMv_1.97b	vikAsi parilakzyate VMu-_1.97b
   vigatāśeṣasaṃdeho VMv_4.8c	vigata-aSeza-saMdehaH VMu-_4.8c
   vighnārer mantralakṣakam VMv_4.9b	viGnAreH mantra-lakzakam VMu-_4.9b
   vicchedād api pakṣataḥ VMv_1.57d	vicCedAt api pakzataH VMu-_1.57d
   vijñāya tāni tvaritaṃ vidheyo VMv_1.139c	vijQAya tAni tvaritam viDeyaH VMu-_1.139c
   vijñāya tāni sapadi tvaritair vidheyo VMv_2.55c	vijQAya tAni sapadi tvaritEH viDeyaH VMu-_2.55c
   vijñeyaḥ sa tu yatnataḥ VMv_1.23d	vijQeyaH sa tu yatnatas VMu-_1.23d
   vitatya bāhū svacchāyāṃ VMv_1.93c	vitatya bAhU sva=-CAyAm VMu-_1.93c
   viduṣāṃ saṃmato dharmaḥ VMv_3.9a	viduzAm saMmataH DarmaH VMu-_3.9a
   vidyādharapiṭoditaḥ VMv_3.40d	vidyADara-piwA-uditaH VMu-_3.40d
   vidhinā pūritena tu VMv_4.54b	viDinA pUritena tu VMu-_4.54b
   vidhinā lakṣajāpataḥ VMv_3.50b	viDinA lakza-jApataH VMu-_3.50b
   vināyakānpadaṃ vadet VMv_4.13d	vinAyakAn-padam vadet VMu-_4.13d
   vināśo brahmasūtrasya VMv_1.84c	vinASaH brahmasUtrasya VMu-_1.84c
   viphalaṃ yas tu paśyati VMv_1.130b	viPalam yaH tu paSyati VMu-_1.130b
   vilomas tadviparyayāt VMv_4.59d	vilomaH tad-viparyayAt VMu-_4.59d
   viśeṣakālabodhāya VMv_2.28c	viSeza-kAla-boDAya VMu-_2.28c
   viśeṣas tv ayam ucyate VMv_1.104d	viSezaH tu ayam ucyate VMu-_1.104d
   viśeṣeṇa kṛpā yeṣāṃ VMv_3.9c	viSezeNa kRpA yezAm VMu-_3.9c
   viśodhanipadaṃ vadet VMv_3.58d	viSoDani-padam vadet VMu-_3.58d
   viśvarūpadharas tathā VMv_3.36d	viSva-rUpa-DaraH taTA VMu-_3.36d
   viṣuvatkṣaṇasaṃprāptau VMv_2.16a	vizuvat-kzaNa-saMprAptO VMu-_2.16a
   viṣṇor api na saṃśayaḥ VMv_2.40d	vizNoH api na saMSayaH VMu-_2.40d
   visphoṭayadvayaṃ tataḥ VMv_4.13b	visPowaya-dvayam tatas VMu-_4.13b
   visphoṭayadvayād brūyāt VMv_4.17a	visPowaya-dvayAt brUyAt VMu-_4.17a
   vihārayaṣṭiṃ svapnānte VMv_1.123a	vihAra-yazwim svapna-ante VMu-_1.123a
   vihārastūpabimbādeḥ VMv_3.20a	vihAra-stu-upabimba-AdeH VMu-_3.20a
   viṃśatiṃ divasān yāvat VMv_1.100a	viMSatim divasAn yAvat VMu-_1.100a
   viṃśatiṃ pañcaviṃśatim VMv_2.37b	viMSatim paQcaviMSatim VMu-_2.37b
   vīryāt prārabdhaniṣpattir VMv_4.6a	vIryAt prArabDa-nizpattiH VMu-_4.6a
   vṛkṣaṃ tṛṇaṃ vā kāṣṭhaṃ vā VMv_1.130a	vRkzam tRNam vA kAzWam vA VMu-_1.130a
   vṛkṣāgre śikhare gireḥ VMv_1.66d	vRkza-agre SiKare gireH VMu-_1.66d
   vṛkṣād vā prapatet svapne VMv_1.129c	vRkzAt vA prapatet svapne VMu-_1.129c
   vṛthā prāptāśvāso vimṛśati na lolāṃ bhavagatim VMv_4.97b	vRTA prApta-ASvAsaH vimRSati na lolAm Bava-gatim VMu-_4.97b
   vṛddhikāle kṣayo yadi VMv_1.32b	vRdDi-kAle kzayaH yadi VMu-_1.32b
   vṛddhikāle 'py ativṛddhau VMv_1.33a	vRdDi-kAle api ati-vRdDO VMu-_1.33a
   vṛṣaṇe golakakṣayāt VMv_1.109d	vRzaNe golaka-kzayAt VMu-_1.109d
   vedhaḥ sadāho yasyāsau VMv_1.51c	veDaH sa-dAhaH yasya-asO VMu-_1.51c
   vairocanād bharadvayaṃ VMv_3.58a	vErocanAt Bara-dvayam VMu-_3.58a
   vyabhre nabhasi madhyāhne VMv_1.28c	vyaBre naBasi maDyAhne VMu-_1.28c
   vyāghrādibhayavarjite VMv_4.2b	vyAGra-Adi-Baya-varjite VMu-_4.2b
   vyādhidāridryasaṃkṣayaḥ VMv_4.35b	vyADi-dAridrya-saMkzayaH VMu-_4.35b
   vyādhidurbhikṣakāntāra- VMv_2.27c	vyADi-durBikza-kAntAra VMu-_2.27c
   vyomahemādibhir baddhān VMv_3.70a	vyoma-hema-AdiBiH badDAn VMu-_3.70a
   vrajantaṃ dakṣiṇāṃ diśam VMv_1.136b	vrajantam dakziNAm diSam VMu-_1.136b
   śaktir asyāpi tādṛśī VMv_4.15d	SaktiH asya-api tAdRSI VMu-_4.15d
   śaṅkhakundendusaṃkāśāt VMv_4.40a	SaFKa-kunda-indu-saMkASAt VMu-_4.40a
   śanair āpūrya vāyunā VMv_4.61b	SanEs ApUrya vAyunA VMu-_4.61b
   śanair lakṣādisaṃkhyayā VMv_4.53b	SanEs lakza-Adi-saMKyayA VMu-_4.53b
   śabdo dhūmo dyutis tathā VMv_1.98d	SabdaH DUmaH dyutiH taTA VMu-_1.98d
   śabdo na śrūyate dehād VMv_1.83a	SabdaH na SrUyate dehAt VMu-_1.83a
   śaraccandrakarākārāṃ VMv_4.29a	Sarad-candra-kara-AkArAm VMu-_4.29a
   śāntaṃ śaśāṅkasaṃkāśaṃ VMv_4.22c	SAntam SaSAFka-saMkASam VMu-_4.22c
   śāntikṛc cāpi jāyate VMv_3.48d	SAnti-kRt ca-api jAyate VMu-_3.48d
   śāntir māyopamā matiḥ VMv_1.133d	SAntiH mAyA-upamA matiH VMu-_1.133d
   śāradacandranabhaḥ pariśuddhaṃ VMv_4.101a	SArada-candra-naBaH pariSudDam VMu-_4.101a
   śāsanīti padaṃ tataḥ VMv_3.52d	SAsanI-iti padam tatas VMu-_3.52d
   śāstrāṇy ālokya yatnataḥ VMv_4.100b	SAstrANi Alokya yatnatas VMu-_4.100b
   śiraso 'darśanāt tasya VMv_1.94c	SirasaH adarSanAt tasya VMu-_1.94c
   śirasy adhomukhaṃ śuklaṃ VMv_4.45a	Sirasi aDomuKam Suklam VMu-_4.45a
   śilātalaṃ mṛdv api vāridhārā VMv_4.92d	SilA-talam mRdu api vAri-DArAH VMu-_4.92d
   śīlavadbhyo 'pi cādarāt VMv_3.16b	SIlavadByaH api ca-AdarAt VMu-_3.16b
   śuklāyāṃ pratipattithau VMv_1.49b	SuklAyAm pratipad-tiTO VMu-_1.49b
   śuklāṃ vahati candragaḥ VMv_2.8b	SuklAm vahati candragaH VMu-_2.8b
   śuddhaviyacchaśināpy asamāptam VMv_4.101b	SudDa-viyat-CaSinA-api asamAptam VMu-_4.101b
   śuddhaḥ śraddhāvidhānataḥ VMv_3.47b	SudDaH SradDA-viDAnataH VMu-_3.47b
   śuṣyaddhṛtpadmasaṃlīnaṃ VMv_4.71c	Suzyat-hRt-padma-saMlInam VMu-_4.71c
   śuṣyanty abhīkṣṇaṃ ṣaḍmāsān VMv_1.70c	Suzyanti aBIkzNam zaz-mAsAn VMu-_1.70c
   śūnyatā kathitā jinaiḥ VMv_4.76f	SUnyatA kaTitAH jinEH VMu-_4.76f
   śūnyatāgrahavarjitām VMv_4.79b	SUnyatA-graha-varjitAm VMu-_4.79b
   śūnyatāṃ bhāvayen nityaṃ VMv_4.79c	SUnyatAm BAvayet nityam VMu-_4.79c
   śṛṅkhalāyāḥ samutthitaiḥ VMv_3.74d	SRFKalAyAH samutTitEH VMu-_3.74d
   śokarājādyupadravāḥ VMv_2.27d	Soka-rAja-Adi-upadravAH VMu-_2.27d
   śoṇitonmiśraśukrākhya- VMv_3.75a	SoNita-unmiSraSukra-AKya VMu-_3.75a
   śodhyāḥ ṣoḍaśa vāsarāḥ VMv_1.101b	SoDyAH zoxaSa vAsarAH VMu-_1.101b
   śraddhayā śakyate kartuṃ VMv_3.3a	SradDayA Sakyate kartum VMu-_3.3a
   śraddhayā sarvasaṃsiddhir VMv_4.5c	SradDayA sarva-saMsidDiH VMu-_4.5c
   śraddhā jñānaṃ tapo hutam VMv_3.5b	SradDA jQAnam tapaH hutam VMu-_3.5b
   śraddhā dharmaḥ paraṃ sūkṣmaḥ VMv_3.5a	SradDA DarmaH param sUkzmaH VMu-_3.5a
   śraddhām ato dṛḍhīkuryād VMv_3.3c	SradDAm atas dRXIkuryAt VMu-_3.3c
   śraddhā sarvam idaṃ jagat VMv_3.5d	SradDA sarvam idam jagat VMu-_3.5d
   śraddhā svargaś ca mokṣaś ca VMv_3.5c	SradDA svargaH ca mokzaH ca VMu-_3.5c
   śraddhāhīnaiḥ surair api VMv_3.4d	SradDA-hInEH surEH api VMu-_3.4d
   śramāt pācanapānāder VMv_4.86a	SramAt pAcana-pAna-AdeH VMu-_4.86a
   śrāddhas tadagrato 'vaśyaṃ VMv_3.41c	SrAdDaH tat-agratas avaSyam VMu-_3.41c
   śrāvaṇasyāpi ced evaṃ VMv_2.23a	SrAvaNasya-api ced evam VMu-_2.23a
   śrāvaṇādau śubhāśubham VMv_1.35b	SrAvaNa-AdO SuBa-aSuBam VMu-_1.35b
   śrotre śirasi netre ca VMv_1.98c	Srotre Sirasi netre ca VMu-_1.98c
   śvakākagṛdhragomāyu- VMv_1.132a	Sva-kAka-gRDra-gomAyu VMu-_1.132a
   śvabhraṃ vā cārakaṃ tathā VMv_1.129b	SvaBram vA cArakam taTA VMu-_1.129b
   ṣaṭtrinetrendumāsataḥ VMv_1.105d	zaz-tri-netra-indu-mAsataH VMu-_1.105d
   ṣaṭtriṃśan mātrā yāvat syus VMv_4.66a	zawtriMSat mAtrA yAvat syuH VMu-_4.66a
   ṣaṭtriṃśanmātriko hīno VMv_4.63c	zawtriMSat-mAtrikaH hInaH VMu-_4.63c
   ṣaṭsaptāṣṭāviṃśatiṃ ced VMv_2.38a	zaz-sapta-azwAviMSatim ced VMu-_2.38a
   ṣaḍ dadyāc choṭikās tataḥ VMv_4.65b	zaw dadyAt SowikAH tatas VMu-_4.65b
   ṣaḍdinaṃ cet tribhir varṣaiś VMv_2.42a	zaz-dinam ced triBiH varzEH VMu-_2.42a
   ṣaḍdināni viparyayāt VMv_2.13b	zaz-dinAni viparyayAt VMu-_2.13b
   ṣaḍbhir māsair bhaven mṛtyur VMv_2.11c	zaxBiH mAsEH Bavet mRtyuH VMu-_2.11c
   ṣaḍbhir māsais tadā mṛtyur VMv_1.49c	zaxBiH mAsEH tadA mRtyuH VMu-_1.49c
   ṣaḍbhir māsais tadā mṛtyur VMv_1.60c	zaxBiH mAsEH tadA mRtyuH VMu-_1.60c
   ṣaḍbhir māsais tribhiś caiva VMv_2.37c	zaxBiH mAsEH triBiH ca-eva VMu-_2.37c
   ṣaḍbhir varṣais tadā bhavet VMv_2.24d	zaxBiH varzEH tadA Bavet VMu-_2.24d
   ṣaḍ māsān dṛḍhaniścayaḥ VMv_4.32b	zaw mAsAn dRXa-niScayaH VMu-_4.32b
   ṣaḍmāsān na sa jīvati VMv_1.126d	zaz-mAsAt na sa jIvati VMu-_1.126d
   ṣaḍmāsān na sa jīvati VMv_1.130d	zaz-mAsAt na sa jIvati VMu-_1.130d
   ṣaḍ māsān bhāvayed yogī VMv_4.44a	zaw mAsAn BAvayet yogI VMu-_4.44a
   ṣaḍmāsān maraṇaṃ bhavet VMv_1.97d	zaz-mAsAt maraNam Bavet VMu-_1.97d
   ṣaḍmāsān maraṇaṃ bhavet VMv_1.107b	zaz-mAsAt maraNam Bavet VMu-_1.107b
   ṣaḍmāsān mṛtyudarśanāt VMv_1.114d	zaz-mAsAt mRtyu-darSanAt VMu-_1.114d
   ṣaḍmāsān mṛtyum ādiśet VMv_1.72d	zaz-mAsAt mRtyum AdiSet VMu-_1.72d
   ṣaḍmāsān mriyate dhruvam VMv_1.51d	zaz-mAsAt mriyate Druvam VMu-_1.51d
   ṣaḍmāsābhyantare dhruvam VMv_1.69d	zaz-mAsa-aByantare Druvam VMu-_1.69d
   ṣaḍmāsābhyantare mṛtyuḥ VMv_1.55c	zaz-mAsa-aByantare mRtyuH VMu-_1.55c
   ṣaḍmāsāyur na tat paśyed VMv_1.89c	zaz-mAsa-AyuH na tat paSyet VMu-_1.89c
   ṣaḍvāsaraviyojitāt VMv_2.49b	zaz-vAsara-viyojitAt VMu-_2.49b
   ṣaḍvedābdaiḥ kramān mṛtiḥ VMv_2.35d	zaz-veda-abdEH kramAt mRtiH VMu-_2.35d
   ṣaṇṇavatidinonitāt VMv_2.46b	zaNNavati-dina-UnitAt VMu-_2.46b
