   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   anavasthitasaṃsthitam__Vdha_038.051	anavasTita saMsTitam__VDaH _038.051
   anaṣṭadravyatā caiva__Vdha_030.050	anazwa dravya tA ca eva__VDaH _030.050
   anasūyā dayā kṣāntiḥ__Vdha_101.010	anasUyA dayA kzAntiH__VDaH _101.010
   anasūyā hitātmāno__Vdha_050.*(61),011	anasUyA hita AtmAnaH __VDaH _050.*(61),011
   anahaṃkāram eva ca__Vdha_097.019	anahaMkAram eva ca__VDaH _097.019
   anākāṅkṣya phalaṃ kṛtam__Vdha_038.073	anAkAFkzya Palam kRtam__VDaH _038.073
   anākhyāgodaraṃ param__Vdha_066.016	anAKyAga udaram param__VDaH _066.016
   anākhyātasvarūpaṃ māṃ__Vdha_066.017	anAKyAta svarUpam mAm__VDaH _066.017
   anākhyeyam anopamam__Vdha_066.088	anAKyeyam anopamam__VDaH _066.088
   anāgasāṃ ca sattvānām__Vdha_070.005	anAgasAm ca sattvAnAm__VDaH _070.005
   anātmavedibhir jīvair__Vdha_096.009	anAtma vediBiH jIvEH __VDaH _096.009
   anādikālaprasṛtā__Vdha_098.007	anAdi kAla prasRtA__VDaH _098.007
   anāditvād amadhyatvād__Vdha_006.022	anAdi tvAt amaDya tvAt __VDaH _006.022
   anādinidhanasthitim__Vdha_089.018	anAdiniDana sTitim__VDaH _089.018
   anādinidhanaṃ vibhum__Vdha_093.004	anAdi niDanam viBum__VDaH _093.004
   anādinidhanaṃ harim__Vdha_094.115	anAdiniDanam harim__VDaH _094.115
   anādimat paraṃ brahma__Vdha_001.032	anAdimat param brahma__VDaH _001.032
   anādimadhyād akhilaṃ na kiṃcit__Vdha_039.007	anAdi maDyAt aKilam na kiMcid __VDaH _039.007
   anādimadhyo bhagavān anantaḥ__Vdha_076.020	anAdi maDyaH BagavAn anantaH__VDaH _076.020
   anādir ādir viśvasya__Vdha_076.018	anAdiH AdiH viSvasya__VDaH _076.018
   anādir munibhiḥ purā__Vdha_098.006	anAdiH muniBiH purA__VDaH _098.006
   anādisaṃbandhavatyā__Vdha_096.013	anAdi saMbanDavatyA__VDaH _096.013
   anādiṃ parataḥ param__Vdha_105.067	anAdim paratas param__VDaH _105.067
   anāder atra tiṣṭhati__Vdha_102.047	anAdeH atra tizWati__VDaH _102.047
   anāmānam arūpiṇam__Vdha_095.025	anAmAnam arUpiNam__VDaH _095.025
   anāmikyāṃ trivikramam__Vdha_028.*(18).021	anAmikyAm trivikramam__VDaH _028.*(18).021
   anāyattaṃ ca me cittaṃ__Vdha_094.043	anAyattam ca me cittam__VDaH _094.043
   anāyāsena bhagavan__Vdha_034.001	anAyAsena Bagavan__VDaH _034.001
   anāyāsena yenemam__Vdha_001.047	anAyAsena yena imam__VDaH _001.047
   anārambhas tathā nṛpa__Vdha_101.046	anAramBaH taTA nRpa__VDaH _101.046
   anārādhitagovindā__Vdha_028.013	anArADita govindA__VDaH _028.013
   anārādhya ca keśavam__Vdha_029.012	anArADya ca keSavam__VDaH _029.012
   anārādhya jagannāthaṃ__Vdha_004.010	anArADya jagannATam__VDaH _004.010
   anārādhya jagannāthaṃ__Vdha_021.008	anArADya jagannATam__VDaH _021.008
   anārādhya jagannāthaṃ__Vdha_064.011	anArADya jagannATam__VDaH _064.011
   anārādhya hṛṣīkeśaṃ__Vdha_022.033	anArADya hRzIkeSam__VDaH _022.033
   anārādhyācyutaṃ devaṃ__Vdha_043.004	anArADya acyutam devam__VDaH _043.004
   anālambanam asthiti__Vdha_099.011	anAlambanam asTiti__VDaH _099.011
   anāśritāya devāya__Vdha_067.*(100),002	anASritAya devAya__VDaH _067.*(100),002
   anāsajya manaḥ kṛṣṇe__Vdha_091.024	anAsajya manaH kRzNe__VDaH _091.024
   anidram ajam asvapnam__Vdha_100.031	anidram ajam asvapnam__VDaH _100.031
   anindyo nindyarūpeṇa__Vdha_064.*(84)	anindyaH nindya rUpeNa__VDaH _064.*(84)
   animittaṃ tathāpare__Vdha_033.002	animittam taTA apare__VDaH _033.002
   anirdeśyam ajaṃ vibhum__Vdha_072.052	anirdeSyam ajam viBum__VDaH _072.052
   anirdeśyam ajaṃ sthiram__Vdha_100.030	anirdeSyam ajam sTiram__VDaH _100.030
   anirdeśyaviśeṣāya__Vdha_090.022	anirdeSya viSezAya__VDaH _090.022
   anirdeśyaviśeṣāya__Vdha_090.*(144)	anirdeSya viSezAya__VDaH _090.*(144)
   anirdeśyaṃ parāyaṇam__Vdha_072.017	anirdeSyam parAyaNam__VDaH _072.017
   aniṣkrāntāni śrāddhāni__Vdha_105.021	anizkrAntAni SrAdDAni__VDaH _105.021
   aniṣkrāntās tu saṃbandhāḥ__Vdha_105.021	anizkrAntAH tu saMbanDAH__VDaH _105.021
   aniṣṭvāpi mahāyajñair__Vdha_105.061	anizwvA api mahA yajQEH __VDaH _105.061
   anugrahaṃ cāpi baler anuttamaṃ__Vdha_039.036	anugraham ca api baleH anuttamam__VDaH _039.036
   anugrāhyo yathā teyam__Vdha_072.115	anugrAhyaH yaTA tA iyam__VDaH _072.115
   anugrāhyo 'si devasya__Vdha_003.013	anugrAhyaH asi devasya__VDaH _003.013
   anugrāhyo 'smi yadi te__Vdha_003.012	anugrAhyaH asmi yadi te__VDaH _003.012
   anugrāhyo 'smi vā yadi__Vdha_067.002	anugrAhyaH asmi vA yadi__VDaH _067.002
   anucchvāsam atiśvāsaṃ__Vdha_028.033	anucCvAsam ati SvAsam__VDaH _028.033
   anujīvijanaṃ vṛtyā__Vdha_101.036	anujIvi janam vRtyA__VDaH _101.036
   anujñātā yathāvidhi__Vdha_022.007	anujQAtAH yaTAviDi__VDaH _022.007
   anujñāṃ prāpya pitṛto__Vdha_021.011	anujQAm prApya pitRtaH __VDaH _021.011
   anutāpopavṛṃhitam__Vdha_085.012	anutApa upavRMhitam__VDaH _085.012
   anupraviśya kurute__Vdha_104.051	anupraviSya kurute__VDaH _104.051
   anupraviśya dharmasya__Vdha_066.034	anupraviSya Darmasya__VDaH _066.034
   anurādha uraḥ pṛṣṭhaṃ__Vdha_029.022	anurADaH uraH pRzWam__VDaH _029.022
   anuliptaṃ śubhākāraṃ__Vdha_031.008	anuliptam SuBa AkAram__VDaH _031.008
   anulipto harir bhaktyā__Vdha_081.033	anuliptaH hariH BaktyA__VDaH _081.033
   anulipya ca yat phalam__Vdha_080.005	anulipya ca yat Palam__VDaH _080.005
   anulepanakṛn naraḥ__Vdha_031.010	anulepana kRt naraH__VDaH _031.010
   anulepācamanapradānaiḥ__Vdha_050.*(61),004	anulepa Acamana pradAnEH__VDaH _050.*(61),004
   anuvavrāja rājendra__Vdha_094.018	anuvavrAja rAja indra__VDaH _094.018
   anuvṛttiḥ sadā kāryā__Vdha_072.098	anuvRttiH sadA kAryA__VDaH _072.098
   anuvrajec ca gacchantaṃ__Vdha_085.007	anuvrajet ca gacCantam__VDaH _085.007
   anuśastāḥ kila purā__Vdha_080.028	anuSastAH kila purA__VDaH _080.028
   anusmaraṇatatparaḥ__Vdha_007.019	anusmaraNa tatparaH__VDaH _007.019
   anūcānas tathā yajvī__Vdha_098.020	anUcAnaH taTA yajvI__VDaH _098.020
   anṛcaś ca tathāpare__Vdha_104.039	anRcaH ca taTA apare__VDaH _104.039
   anṛṇo gantum icchāmi__Vdha_068.044	anRNaH gantum icCAmi__VDaH _068.044
   anekajanmakarmotthaṃ__Vdha_070.074	aneka janma karma utTam__VDaH _070.074
   anekajanmajanitaṃ__Vdha_024.019	aneka janma janitam__VDaH _024.019
   anekajanmasaṃsāra __Vdha_003.017	aneka janma saMsAra __VDaH _003.017
   anekajanmasaṃsāra __Vdha_097.016	aneka janma saMsAra __VDaH _097.016
   anekajanmasāhasrīṃ__Vdha_064.037	aneka janma sAhasrIm__VDaH _064.037
   anekajanmārjitapāpasaṃcayaiḥ__Vdha_039.012	aneka janma arjita pApa saMcayEH__VDaH _039.012
   anekarūparūpo 'yaṃ__Vdha_065.014	aneka rUpa rUpaH ayam__VDaH _065.014
   anekavarṣakoṭiṣu__Vdha_032.052	aneka varza kowizu__VDaH _032.052
   anekaviṣayālambi__Vdha_088.080	aneka vizaya Alambi__VDaH _088.080
   anekaśo bāhuvanaṃ tathāchinat__Vdha_039.038	anekaSas bAhu vanam taTA aCinat __VDaH _039.038
   anekasūryasaṃkāśaṃ__Vdha_028.*(18).098	aneka sUrya saMkASam__VDaH _028.*(18).098
   anekānāṃ kṣayaḥ kṛtaḥ__Vdha_070.005	anekAnAm kzayaH kRtaH__VDaH _070.005
   anena jagataḥ patiḥ__Vdha_089.047	anena jagataH patiH__VDaH _089.047
   anena dālbhya vidhinā__Vdha_034.010	anena dAlBya viDinA__VDaH _034.010
   anena vidhinā dattvā__Vdha_088.011	anena viDinA dattvA__VDaH _088.011
   anena vidhinā dhenuṃ__Vdha_085.008	anena viDinA Denum__VDaH _085.008
   anena vidhinā naraḥ__Vdha_004.044	anena viDinA naraH__VDaH _004.044
   anena vividhair yajñais__Vdha_072.012	anena viviDEH yajQEH __VDaH _072.012
   anena sarvaduṣṭāni__Vdha_028.066	anena sarva duzwAni__VDaH _028.066
   anenaiva jagannāthaṃ__Vdha_070.094	anena eva jagannATam__VDaH _070.094
   anenaiva dhṛtā bhūmir__Vdha_077.007	anena eva DRtA BUmiH __VDaH _077.007
   anenaiva prakāreṇa__Vdha_020.008	anena eva prakAreNa__VDaH _020.008
   anenaiva mahābhāge__Vdha_090.044	anena eva mahABAge__VDaH _090.044
   anenaiva vidhānena__Vdha_007.022	anena eva viDAnena__VDaH _007.022
   anenaiva vidhānena__Vdha_008.004	anena eva viDAnena__VDaH _008.004
   anenaiva vidhānena__Vdha_029.034	anena eva viDAnena__VDaH _029.034
   anenaiva vidhānena__Vdha_083.015	anena eva viDAnena__VDaH _083.015
   antakāle gamiṣyati__Vdha_038.005	antakAle gamizyati__VDaH _038.005
   antaraṃ mānuṣasya ca__Vdha_045.001	antaram mAnuzasya ca__VDaH _045.001
   antaraṃ mānuṣasya ca__Vdha_045.005	antaram mAnuzasya ca__VDaH _045.005
   antarātmani sarvasya__Vdha_074.009	antarAtmani sarvasya__VDaH _074.009
   antarikṣagato vatso__Vdha_046.013	antarikza gataH vatsaH __VDaH _046.013
   antarjātāḥ sukrayajñānalabdhāḥ__Vdha_059.014	antar jAtAH su kraya jQAna labDAH__VDaH _059.014
   antarduḥkhena dagdho 'ntar__Vdha_037.037	antar duHKena dagDaH antar__VDaH _037.037
   antaḥśuddhiṃ bahiḥśuddhiṃ__Vdha_025.009	antar SudDim bahis SudDim__VDaH _025.009
   antaḥsthān bibhrataṃ sapta__Vdha_076.010	antaHsTAn biBratam sapta__VDaH _076.010
   antaḥsthitātman paramātmarūpa__Vdha_094.081	antar sTita Atman paramAtma rUpa__VDaH _094.081
   antyapratigrahādānaṃ__Vdha_066.074	antya pratigraha AdAnam__VDaH _066.074
   antyā madhyā bhaviṣyanti__Vdha_105.017	antyAH maDyAH Bavizyanti__VDaH _105.017
   andicorabhayeṣu ca (?)__Vdha_028.*(26)	andi cora Bayezu ca (?)__VDaH _028.*(26)
   andhakāram ivālayam__Vdha_102.035	anDakAram iva Alayam__VDaH _102.035
   andhakāre ca tīvre ca__Vdha_040.029	anDakAre ca tIvre ca__VDaH _040.029
   andhe tamasi duṣpāre__Vdha_023.013	anDe tamasi duzpAre__VDaH _023.013
   andhe tāmasi duṣpāre__Vdha_032.041	anDe tAm asi duzpAre__VDaH _032.041
   annapānapradānena__Vdha_047.009	anna pAna pradAnena__VDaH _047.009
   annapānapradānais tu__Vdha_050.016	anna pAna pradAnEH tu__VDaH _050.016
   annapradānaṃ madhurā ca vāṇī__Vdha_046.007	anna pradAnam maDurA ca vANI__VDaH _046.007
   annaṃ bhikṣārthino ye ca__Vdha_101.037	annam BikzA arTinaH ye ca__VDaH _101.037
   annaṃ māsacatuṣṭayam__Vdha_026.008	annam mAsa catuzwayam__VDaH _026.008
   annādyena prajāpatiḥ__Vdha_046.006	annAdyena prajApatiH__VDaH _046.006
   annair vāsobhir eva ca__Vdha_084.012	annEH vAsoBiH eva ca__VDaH _084.012
   annopahārair vividhair__Vdha_082.074	anna upahArEH viviDEH __VDaH _082.074
   anyajanmasamādhitaḥ__Vdha_098.030	anya janma samADitaH__VDaH _098.030
   anyad icchāmy ahaṃ śrotuṃ__Vdha_042.002	anyat icCAmi aham Srotum__VDaH _042.002
   anyad vā nātidurlabham__Vdha_076.056	anyat vA na ati durlaBam__VDaH _076.056
   anyam ārādhayāmi bhoḥ__Vdha_002.028	anyam ArADayAmi BoH__VDaH _002.028
   anyasthānāc chataguṇam__Vdha_036.035	anya sTAnAt SataguNam__VDaH _036.035
   anyasya te 'dya kasyāpi__Vdha_037.036	anyasya te adya kasya api__VDaH _037.036
   anyasyām eva tithyāṃ__Vdha_009.*(7)	anyasyAm eva tiTyAm__VDaH _009.*(7)
   anyaṃ cālpamatiṃ naram__Vdha_025.025	anyam ca alpa matim naram__VDaH _025.025
   anyā bhāskarasaprabhābhir akhilair bhābhir diśo	anyA BAskara sapraBABiH aKilEH BABiH diSaH 
   bhāsayan__Vdha_028.*(18).122	BAsayan__VDaH _028.*(18).122
   anyāyopāttavitteṣu__Vdha_105.024	anyAya upAtta vittezu__VDaH _105.024
   anyāyopārjitaṃ ca yat__Vdha_049.004	anyAya upArjitam ca yat __VDaH _049.004
   anyāyopārjite mayā__Vdha_037.028	anyAya upArjite mayA__VDaH _037.028
   anyālambanataś cittam__Vdha_079.016	anya AlambanataH cittam__VDaH _079.016
   anye ca ye ye munayo__Vdha_064.010	anye ca ye ye munayaH __VDaH _064.010
   anyena kenācyuta pūtanāyāḥ__Vdha_035.038	anyena kena acyuta pUtanAyAH__VDaH _035.038
   anyenāpi hi yācitaḥ__Vdha_077.019	anyena api hi yAcitaH__VDaH _077.019
   anyeṣām api yācatām__Vdha_077.025	anyezAm api yAcatAm__VDaH _077.025
   anyeṣām arthināṃ vittam__Vdha_077.050	anyezAm arTinAm vittam__VDaH _077.050
   anyeṣv api hi vidyate__Vdha_082.027	anyezu api hi vidyate__VDaH _082.027
   anyair api janair hariḥ__Vdha_022.036	anyEH api janEH hariH__VDaH _022.036
   anyaiś cābhimataṃ phalam__Vdha_019.021	anyEH ca aBimatam Palam__VDaH _019.021
   anyais tatkarmasaṃcitam__Vdha_037.035	anyEH tad karma saMcitam__VDaH _037.035
   anyais tathādhibhir ghorair__Vdha_037.019	anyEH taTA ADiBiH GorEH __VDaH _037.019
   apakvānnāśinā stheyam__Vdha_088.010	apakvAt na ASinA sTeyam__VDaH _088.010
   apatir labhate patim__Vdha_084.026	apatiH laBate patim__VDaH _084.026
   apatyasya tathāpatyaṃ__Vdha_101.039	apatyasya taTA apatyam__VDaH _101.039
   apatyād adhikaṃ kiṃcid__Vdha_030.002	apatyAt aDikam kiMcid __VDaH _030.002
   apadoṣaṃ prajāyate__Vdha_073.062	apadozam prajAyate__VDaH _073.062
   apadhyāne ca duṣṭaje__Vdha_040.032	apaDyAne ca duzwa je__VDaH _040.032
   apamārjanakaṃ param__Vdha_028.065	apamArjanakam param__VDaH _028.065
   apamārjanakaṃ śastaṃ__Vdha_028.061	apamArjanakam Sastam__VDaH _028.061
   aparaṃ ca paraṃ caiva__Vdha_099.009	aparam ca param ca eva__VDaH _099.009
   aparaṃ brahmaṇo rūpaṃ__Vdha_040.064	aparam brahmaNaH rUpam__VDaH _040.064
   aparājitacakrādyaiś__Vdha_028.020	aparAjita cakra AdyEH __VDaH _028.020
   aparādhavatāṃ prabhuḥ__Vdha_102.062	aparADavatAm praBuH__VDaH _102.062
   aparādhaḥ kṛto 'smābhir__Vdha_102.052	aparADaH kRtaH asmABiH __VDaH _102.052
   aparāhne dvijottama__Vdha_031.030	aparAhne dvijottama__VDaH _031.030
   aparicchedyamāhātmyam__Vdha_001.052	aparicCedya mAhAtmyam__VDaH _001.052
   apavargaprado hariḥ__Vdha_072.043	apavarga pradaH hariH__VDaH _072.043
   apavargamahāhradam__Vdha_104.006	apavarga mahA hradam__VDaH _104.006
   apavitraḥ pavitro vā__Vdha_105.070	apavitraH pavitraH vA__VDaH _105.070
   apaśyadbhir jagad yac ca__Vdha_075.016	apaSyadBiH jagat yat ca__VDaH _075.016
   apāmārjati govindo__Vdha_028.059	apAm Arjati govindaH __VDaH _028.059
   apāmārjanakaṃ param__Vdha_028.*(29).001	apAmArjanakam param__VDaH _028.*(29).001
   apāram abhidhāvatām__Vdha_001.020	apAram aBiDAvatAm__VDaH _001.020
   apārasāraṃ paramāyudhaṃ hareḥ__Vdha_078.068	apArasAram parama AyuDam hareH__VDaH _078.068
   apāsya devakāryārthaṃ__Vdha_064.035	apAsya deva kArya arTam__VDaH _064.035
   api kīṭapataṃgānāṃ__Vdha_098.012	api kIwa pataMgAnAm__VDaH _098.012
   api kurvanti sādhavaḥ__Vdha_102.055	api kurvanti sADavaH__VDaH _102.055
   api gocarmamātreṇa__Vdha_060.008	api gocarma mAtreNa__VDaH _060.008
   api cedaṃ purā gītaṃ__Vdha_055.012	api ca idam purA gItam__VDaH _055.012
   api janmasahasreṣu__Vdha_088.027	api janma sahasrezu__VDaH _088.027
   api deho 'yam ātmanaḥ__Vdha_076.044	api dehaH ayam AtmanaH__VDaH _076.044
   api naḥ sa kule dhanyo__Vdha_003.039	api naH sa kule DanyaH __VDaH _003.039
   api pāpakṛtaṃ prāpya__Vdha_060.006	api pApa kRtam prApya__VDaH _060.006
   api pāpaśataṃ kṛtvā__Vdha_058.002	api pApa Satam kRtvA__VDaH _058.002
   api pāpasamācāraḥ__Vdha_068.048	api pApa samAcAraH__VDaH _068.048
   api pāpasamāyukto__Vdha_070.*(114)	api pApa samAyuktaH __VDaH _070.*(114)
   apibat sahasā rājan__Vdha_067.*(94)	apibat sahasA rAjan__VDaH _067.*(94)
   api maitrīṃ jane kartuṃ__Vdha_094.041	api mEtrIm jane kartum__VDaH _094.041
   api maunavatas tasya__Vdha_073.053	api mOnavataH tasya__VDaH _073.053
   api yogibhir uttamaiḥ__Vdha_078.055	api yogiBiH uttamEH__VDaH _078.055
   api vedāntagaṃ raṇe__Vdha_061.021	api vedAnta gam raNe__VDaH _061.021
   api śaknoṣi saṃyantum__Vdha_094.040	api Saknozi saMyantum__VDaH _094.040
   api sarvam etaṃ protaṃ__Vdha_029.*(30)	api sarvam etam protam__VDaH _029.*(30)
   api sarveśvaraḥ sthāṇur__Vdha_054.007	api sarva ISvaraH sTANuH __VDaH _054.007
   apuṇyacayasaṃkṣayaḥ__Vdha_066.003	apuNya caya saMkzayaH__VDaH _066.003
   aputratā mahad duḥkham__Vdha_030.003	aputra tA mahat duHKam__VDaH _030.003
   aputraḥ sarvaduḥkhānāṃ__Vdha_030.003	aputraH sarva duHKAnAm__VDaH _030.003
   aputrāṇāṃ varān putrān__Vdha_090.047	aputrANAm varAn putrAn__VDaH _090.047
   aputrāṇāṃ vṛthā janma__Vdha_049.003	aputrANAm vRTA janma__VDaH _049.003
   aputrāsmi na me bhartur__Vdha_090.009	aputrA asmi na me BartuH __VDaH _090.009
   aputrāhaṃ dvijaśreṣṭha__Vdha_089.024	aputrA aham dvijaSrezWa__VDaH _089.024
   aputro labhate putram__Vdha_019.023	aputraH laBate putram__VDaH _019.023
   aputro labhate putram__Vdha_084.026	aputraH laBate putram__VDaH _084.026
   apunarbhavakāṅkṣiṇaḥ__Vdha_093.019	apunarBava kAFkziNaH__VDaH _093.019
   apūrvasaṃbhavābhavāt__Vdha_042.005	apUrva saMBava aBavAt __VDaH _042.005
   apṛthagbhartṛsāmanyā__Vdha_032.014	apRTak BartR sAm anyA__VDaH _032.014
   apeyaḥ sāgaro yais tu__Vdha_052.007	apeyaH sAgaraH yEH tu__VDaH _052.007
   apaiśunyam akatthanam__Vdha_097.018	apESunyam akatTanam__VDaH _097.018
   apy ekam iha yo māsaṃ__Vdha_062.019	api ekam iha yaH mAsam__VDaH _062.019
   apy ekaṃ varjayen māsaṃ__Vdha_062.020	api ekam varjayet mAsam__VDaH _062.020
   apratarkyam ajaṃ param__Vdha_102.012	apratarkyam ajam param__VDaH _102.012
   apratiṣṭhe ca yan mahat__Vdha_094.068	apratizWe ca yat mahat __VDaH _094.068
   aprabhāya namo namaḥ__Vdha_067.*(100),012	apraBAya namaH namaH__VDaH _067.*(100),012
   aprameyaparākramam__Vdha_070.044	aprameya parAkramam__VDaH _070.044
   aprameyam ajaṃ vibhum__Vdha_071.002	aprameyam ajam viBum__VDaH _071.002
   apraveśas tathā grāme__Vdha_101.044	apraveSaH taTA grAme__VDaH _101.044
   aprasādhitam evāśu__Vdha_038.020	aprasADitam eva ASu__VDaH _038.020
   aprasādhitaśobhanam__Vdha_038.049	aprasADita SoBanam__VDaH _038.049
   aprāṇacitikaṃ brahma__Vdha_071.003	aprANa citikam brahma__VDaH _071.003
   aprāptir na tathā duḥkham__Vdha_026.001	aprAptiH na taTA duHKam__VDaH _026.001
   aprāpya vāñchati ratiṃ__Vdha_105.083	aprApya vAQCati ratim__VDaH _105.083
   aprītidasya viprarṣe__Vdha_033.004	aprIti dasya vipra Rze__VDaH _033.004
   aprītir vedakarmaṇi__Vdha_025.031	aprItiH veda karmaNi__VDaH _025.031
   aprītiḥ prītim icchatām__Vdha_094.008	aprItiH prItim icCatAm__VDaH _094.008
   apreṣaṇe preṣayanto__Vdha_050.007	aprezaNe prezayantaH __VDaH _050.007
   apsarogaṇasaṃkīrṇaṃ__Vdha_031.012	apsaraH gaNa saMkIrNam__VDaH _031.012
   apsarogaṇasaṃkīrṇe__Vdha_058.008	apsaraH gaNa saMkIrNe__VDaH _058.008
   apsarogaṇasaṃkīrṇair__Vdha_055.009	apsaraH gaNa saMkIrNEH __VDaH _055.009
   apsarobhir janārdanaḥ__Vdha_103.046	apsaroBiH janArdanaH__VDaH _103.046
   apsarobhiḥ samākīrṇaḥ__Vdha_067.013	apsaroBiH samAkIrNaH__VDaH _067.013
   abalasya balaṃ rājā__Vdha_064.024	abalasya balam rAjA__VDaH _064.024
   abālo bālarūpeṇa__Vdha_090.018	abAlaH bAla rUpeNa__VDaH _090.018
   abījatvān na jāyate__Vdha_098.024	abIja tvAt na jAyate__VDaH _098.024
   abjayoniṃ tathāpare__Vdha_095.023	abjayonim taTA apare__VDaH _095.023
   abdenaikena keśavaḥ__Vdha_089.049	abdena ekena keSavaH__VDaH _089.049
   abdenaikena tanvaṅgi__Vdha_021.017	abdena ekena tanvaFgi__VDaH _021.017
   abrahmaṇyāḥ śruter bāhyā__Vdha_050.011	abrahmaNyAH SruteH bAhyA__VDaH _050.011
   abhakṣaṇaṃ ca māṃsasya__Vdha_062.*(76)	aBakzaNam ca mAMsasya__VDaH _062.*(76)
   abhakṣyaṃ bhakṣyam iti vai__Vdha_062.015	aBakzyam Bakzyam iti vE__VDaH _062.015
   abhagnaṃ yaḥ paraṃ hanyād__Vdha_061.009	aBagnam yaH param hanyAt __VDaH _061.009
   abhajyanta ca yantrāṇi__Vdha_088.045	aBajyanta ca yantrANi__VDaH _088.045
   abhayasya pradānena__Vdha_046.*(52)	aBayasya pradAnena__VDaH _046.*(52)
   abhayaṃ satyasaṃkalpaṃ__Vdha_071.006	aBayam satya saMkalpam__VDaH _071.006
   abhayaṃ sarvabhūtebhyo__Vdha_028.*(18).063	aBayam sarva BUteByaH __VDaH _028.*(18).063
   abhavāya tato bhavān__Vdha_089.005	aBavAya tatas BavAn__VDaH _089.005
   abhigacchan vidhānataḥ__Vdha_057.016	aBigacCan viDAnataH__VDaH _057.016
   abhijñā tridaśeśvara__Vdha_027.008	aBijQA tridaSa ISvara__VDaH _027.008
   abhidhāsyati caiva yaḥ__Vdha_030.049	aBiDAsyati ca eva yaH__VDaH _030.049
   abhinandanti bhūmidam__Vdha_060.027	aBinandanti BUmi dam__VDaH _060.027
   abhinnayor bhedakaraḥ__Vdha_038.064	aBinnayoH Beda karaH__VDaH _038.064
   abhivāñchasi sadgatim__Vdha_004.014	aBivAQCasi sat gatim__VDaH _004.014
   abhivādya balir bhaktyā__Vdha_079.006	aBivAdya baliH BaktyA__VDaH _079.006
   abhiṣṭūya ghṛtārciṣā__Vdha_087.003	aBizwUya GRta arcizA__VDaH _087.003
   abhīpsur dvandvasaṃkṣayam__Vdha_002.003	aBIpsuH dvandva saMkzayam__VDaH _002.003
   abhīpsuḥ puruṣarṣabhaḥ__Vdha_002.002	aBIpsuH puruza RzaBaH__VDaH _002.002
   abhīṣṭād anyato vāpi__Vdha_026.002	aBIzwAt anyatas vA api__VDaH _026.002
   abhīṣṭāni jagatpateḥ__Vdha_041.011	aBIzwAni jagatpateH__VDaH _041.011
   abhīṣṭair aparais tathā__Vdha_026.007	aBIzwEH aparEH taTA__VDaH _026.007
   abhedarūpo 'si vibho tvam ebhiḥ__Vdha_103.017	aBeda rUpaH asi viBo tvam eBiH__VDaH _103.017
   abhedaṃ bahudhā bhinnaṃ__Vdha_040.056	aBedam bahuDA Binnam__VDaH _040.056
   abhedena tavākhyātaṃ__Vdha_096.023	aBedena tava AKyAtam__VDaH _096.023
   abhedenātmanaḥ śuddhaṃ__Vdha_096.015	aBedena AtmanaH SudDam__VDaH _096.015
   abhedenātmanā vedmī__Vdha_036.002	aBedena AtmanA vedmI__VDaH _036.002
   abhedenātmano jagat__Vdha_105.093	aBedena AtmanaH jagat __VDaH _105.093
   abhyarcayānantam atandritātmā__Vdha_100.065	aByarcaya anantam atandrita AtmA__VDaH _100.065
   abhyarcayed dārumayīṃ mamārcām__Vdha_050.019	aByarcayet dAru mayIm mama arcAm__VDaH _050.019
   abhyarcyate vada hare sa kathaṃ mayādya__Vdha_094.111	aByarcyate vada hare sa kaTam mayA adya__VDaH _094.111
   abhyarcya viṣṇum abhivāñchitam asty alabhyam__Vdha_101.055	aByarcya vizNum aBivAQCitam asti alaByam__VDaH _101.055
