   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   gaṅgāṃ tripathagāṃ devīṃ yamunāṃ ca sarasvatīm /	gaFgAm tripaTagAm devIm yamunAm ca sarasvatIm /
   gaṅgādvāraṃ himasthānaṃ kubjāgraṃ brahmayonikam // RKS_2.41 //	gaFgAdvAram hima sTAnam kubja agram brahmayonikam // RKH _2.41 //
   ugraṃ kanakhalañcaiva kedāraṃ bhairavaṃ tathā /	ugram kanaKalaQcA eva kedAram BEravam taTA /
   naimiṣaṃ ca gayātīrthaṃ kurukṣetraṃ ca puṣkaram // RKS_2.42 //	nEmizam ca gayAtIrTam kurukzetram ca puzkaram // RKH _2.42 //
   vārāṇasīṃ prayāgaṃ ca gaṅgāsāgarasaṅgamam /	vArANasIm prayAgam ca gaFgAsAgara saFgamam /
   kālañjaraṃ cāpyatīrthaṃ prabhāsaṃ śaśibhūṣaṇam // RKS_2.43 //	kAlaQjaram ca api atIrTam praBAsam SaSiBUzaNam // RKH _2.43 //
   puṇyānyetāni cānyāni tyaktvā kṣetrāṇi suvrata /	puNyAni etAni ca anyAni tyaktvA kzetrANi suvrata /
   sevyate kena kārvyeṇa narmadaiva mahānadī // RKS_2.44 //	sevyate kena kArvyeNa narmadA eva mahA nadI // RKH _2.44 //
   bhaviṣyabhūtatattvajña trikālajña trivedika /	Bavizya BUta tattva jQa tri kAla jQa tri vedikaH /
   śrotukāmā ime sarve kathayasva prasādataḥ // RKS_2.45 //	Srotu kAmAH ime sarve kaTayasva prasAdataH // RKH _2.45 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   śṛṇu rājan mahābāho brāhmaṇair bhrātṛbhiḥ saha /	SRNu rAjan mahA bAho brAhmaNEH BrAtRBiH saha /
   tatte 'haṃ kathayiṣyāmi purāṇaṃ skandakīrtitam // RKS_2.46 //	tat te aham kaTayizyAmi purANam skanda kIrtitam // RKH _2.46 //
   svāyambhuve 'tha munaya ādikalpe kṛte yuge /	svAyamBuve aTa munayaH Adi kalpe kRte yuge /
   devānāṃ saṅgame tatra kailāse ca śivālaye // RKS_2.47 //	devAnAm saFgame tatra kElAse ca Siva Alaye // RKH _2.47 //
   kārtikyāṃ devadeveśaṃ haraṃ draṣṭuṃ samāyayuḥ /	kArtikyAm devadeveSam haram drazwum samAyayuH /
   prāk pṛṣṭaṃ kārttikeyena dharmādharmanidarśanam // RKS_2.48 //	prAk pRzwam kArttikeyena Darma aDarma nidarSanam // RKH _2.48 //
   śivena kathitaṃ pūrvaṃ pārvatyāḥ ṣaṇmukhasya ca /	Sivena kaTitam pUrvam pArvatyAH zaNmuKasya ca /
   viṣṇubrahmādidevānāṃ śṛṇvatāṃ yakṣarakṣasām // RKS_2.49 //	vizNu brahma Adi devAnAm SRNvatAm yakza rakzasAm // RKH _2.49 //
   aṣṭalakṣāṇi sārddhāni śivaloke ca gīyate /	azwa lakzANi sArdDAni Siva loke ca gIyate /
   tadarddhaṃ vaiṣṇave loke cārddhārddhaṃ brahmaṇaḥ pure // RKS_2.50 //	tad ardDam vEzNave loke ca ardDa ardDam brahmaNaH pure // RKH _2.50 //
   caturaśītisahasrāṇi martyaloke ca gīyate /	caturaSIti sahasrANi martya loke ca gIyate /
   ārādhitaḥ śivaḥ pūrvaṃ brahmādyaiśca surāsuraiḥ // RKS_2.51 //	ArADitaH SivaH pUrvam brahma AdyEH ca sura asurEH // RKH _2.51 //
   tatastuṣṭaḥ sureśāno varaṃ dātuṃ yathepsitam /	tatas tuzwaH sureSAnaH varam dAtum yaTA Ipsitam /
   devā ūcuḥ:	devAH UcuH:
   yadi tuṣṭo 'si deveśa devānāṃ varado bhava // RKS_2.52 //	yadi tuzwaH asi deveSa devAnAm vara daH Bava // RKH _2.52 //
   saptadvīpā vasumatī vasudhā karmmabhāginī /	saptadvIpA vasumatI vasuDA karmma BAginI /
   navamadvīpaparyyantaṃ jambūdvīpaṃ pracakṣate // RKS_2.53 //	navamadvIpa paryyantam jambUdvIpam pracakzate // RKH _2.53 //
   vāpī kūpasahasrāṇi navārṇaḥ sarito nahi /	vApI kUpa sahasrANi navArNaH saritaH na hi /
   na sṛtāścāpagāḥ śarvapitṛghorāvatāriṇīḥ // RKS_2.54 //	na sRtAH ca ApagAH Sarva pitR Gora avatAriNIH // RKH _2.54 //
   tilodakapradānena pitṝn pātuṃ hi sāmpratam /	tila udaka pradAnena pitLn pAtum hi sAmpratam /
   tāriṇī sarvalokānām avatāraya narmadām // RKS_2.55 //	tAriNI sarva lokAnAm avatAraya narmadAm // RKH _2.55 //
   īśvara uvāca:	ISvaraH uvAca:
   duṣprāpyaṃ tridaśaiḥ sarvair ayācyaṃ yācyate surāḥ /	duzprApyam tridaSEH sarvEH ayAcyam yAcyate surAH /
   vegaṃ śaknoti kaḥ soḍhuṃ tattoyabhramaṇasya ca // RKS_2.56 //	vegam Saknoti kaH soXum tad toya BramaNasya ca // RKH _2.56 //
   toyaṃ bhūtaṃ jagatsarvaṃ nipatiṣyajjavena tu /	toyam BUtam jagat sarvam nipatizyat javena tu /
   yācadhvamanyāṃ saritaṃ sukhasādhyāntaraṅgiṇīm // RKS_2.57 //	yAcaDvam anyAm saritam suKa sADya antaraFgiNIm // RKH _2.57 //
   devā ūcuḥ:	devAH UcuH:
   kā 'nyā tārayituṃ śaktā puṇyā soḍhuṃ saridvarā /	kA anyA tArayitum SaktA puNyA soXum sarit varAH /
   muktvā trinayaneśānīṃ narmadāṃ śokatāriṇīm // RKS_2.58 //	muktvA trinayana ISAnIm narmadAm Soka tAriNIm // RKH _2.58 //
   devānāṃ vacanaṃ śrutvā samāhūtā saridvarā /	devAnAm vacanam SrutvA samAhUtA sarit varAH /
   āgatā ca tato devī sarvābharaṇabhūṣitā // RKS_2.59 //	AgatA ca tatas devI sarva ABaraNa BUzitAH // RKH _2.59 //
   pratyakṣā makarārūḍhā devadevasya cājñayā /	pratyakzAH makara ArUXA devadevasya ca AjQayA /
   deva me dehi vaktavyaṃ kartavyā tu kṛpā mayi // RKS_2.60 //	deva me dehi vaktavyam kartavyA tu kRpA mayi // RKH _2.60 //
   niśamya tad vacasaumyaṃ narmadāyās trilocanaḥ /	niSamya tat vaca sOmyam narmadAyAH trilocanaH /
   uvāca vacanaṃ ślakṣṇaṃ martyaloke 'dya gamyatām // RKS_2.61 //	uvAca vacanam SlakzNam martya loke adya gamyatAm // RKH _2.61 //
   lokānāṃ ca hitārthāya martyānāṃ ca viśeṣataḥ /	lokAnAm ca hita arTAya martyAnAm ca viSezataH /
   narmadovāca:	narmadA uvAca:
   tavājñāṃ ca kariṣye 'haṃ nirādhārā kathaṃ vibho // RKS_2.62 //	tava AjQAm ca karizye aham nirADArAH kaTam viBo // RKH _2.62 //
   ko māṃ dhartuṃ ca śaknoti mahī yāsyati viplavam /	kaH mAm Dartum ca Saknoti mahI yAsyati viplavam /
   ādideśa tataḥ sarvān parvatān parameśvaraḥ // RKS_2.63 //	AdideSa tatas sarvAn parvatAn parameSvaraH // RKH _2.63 //
   ādiśyaitāṃśca tān sarvāṃs tato devaḥ svayaṃ śivaḥ /	AdiSya etAn= ca tAn sarvAn tatas devaH svayam SivaH /
   parvatā ūcuḥ:	parvatAH UcuH:
   na śaknumo vayaṃ sarve dhartuṃ vegaṃ ca nārmadam // RKS_2.64 //	na SaknumaH vayam sarve Dartum vegam ca nArmadam // RKH _2.64 //
   bhedamāpnoti vai pṛthvī śatadhā yānti bhūbhṛtaḥ /	Bedam Apnoti vE pRTvI SataDA yAnti BUBRtaH /
   ṛkṣavānabravīddevaṃ dehyājñā tridaśeśvara // RKS_2.65 //	RkzavAn abravIt devam dehi AjQA tridaSa ISvaraH // RKH _2.65 //
   dhārayāmi ca satyena tvatprasādādumāpate /	DArayAmi ca satyena tvad prasAdAt umApate /
   tato 'vatāritā devī jambūdvīpe narādhipa // RKS_2.66 //	tatas avatAritA devI jambUdvIpe narADipa // RKH _2.66 //
   dārayitvā mahīṃ sarvāṃ saśailavanakānanām /	dArayitvA mahIm sarvAm sa SEla vana kAnanAm /
   tato devagaṇair uktā maryādāṃ vaha suvrate // RKS_2.67 //	tatas deva gaNEH uktAH maryAdAm vaha suvrate // RKH _2.67 //
   ekaviṃśatsahasrāṇi yojanānāṃ pramāṇataḥ /	ekaviMSat sahasrANi yojanAnAm pramANataH /
   sabhittvā saptapātālān rasātalatalaṃ yayau // RKS_2.68 //	sa BittvA sapta pAtAlAn rasAtala talam yayO // RKH _2.68 //
   devalokaṃ jagāmā 'tha pralaye samupasthite /	deva lokam jagAmAH aTa pralaye samupasTite /
   prathamā kathitā rājannavatārasya kalpanā // RKS_2.69 //	praTamA kaTitAH rAjan= avatArasya kalpanA // RKH _2.69 //
   svārociṣe dvitīye tu ādikalpe yuge 'nagha /	svArocize dvitIye tu Adi kalpe yuge anaGa /
   na sāgarā na sarito na tīrthāni na saṅgamaḥ // RKS_2.70 //	na sAgarAH na saritaH na tIrTAni na saFgamaH // RKH _2.70 //
   tretāyuge 'vatīrṇā tu purā bhāgīrathī sarit /	tretA yuge avatIrNA tu purA BAgIraTI sarit /
   jahnunā culukenaiva hṛdi madhye vyavasthitā // RKS_2.71 //	jahnunA culukena eva hRdi maDye vyavasTitAH // RKH _2.71 //
   sā kathaṃ sevyate rājastyaktvā caiva tu kalpagām /	sA kaTam sevyate rAjaH tyaktvA ca eva tu kalpa gAm /
   ajñānatamasāchannā viṣṇumāyāvimohitāḥ // RKS_2.72 //	ajQAna tamasA CannAH vizNu mAyA vimohitAH // RKH _2.72 //
   tyaktvā vai narmadāṃ rājan sevante 'nyāṃ nadīṃ surāḥ /	tyaktvA vE narmadAm rAjan sevante anyAm nadIm surAH /
   yāvṛśaṃ sūryadevānāṃ maṇiratnaprabhāsu ca // RKS_2.73 //	yAvRSam sUrya devAnAm maNi ratna praBAsu ca // RKH _2.73 //
   antaraṃ tādṛśaṃ rājannarmadā 'nyāpagāsu ca /	antaram tAdRSam rAjan = armadA anya ApagAsu ca /
   śrutvākhyānam idaṃ puṇyaṃ śaṅkarasya prabhāvataḥ // RKS_2.74 //	SrutvA AKyAnam idam puNyam SaFkarasya praBAvataH // RKH _2.74 //
   sevyate saptagā tatra purāṇaṃ skandakīrtitam /	sevyate sapta gA tatra purANam skanda kIrtitam /
   etatte kathitaṃ rājan yathādṛṣṭaṃ yathā śrutam // RKS_2.75 //	etat te kaTitam rAjan yaTAdRzwam yaTA Srutam // RKH _2.75 //
   kṛtakṛtyaḥ sarvakāmān brāhmaṇair vedapāragaiḥ /	kRtakRtyaH sarva kAmAn brAhmaNEH vedapAragEH /
   prāpnoṣi paramaṃ sthānaṃ vaṃśakṣayavivarjitam // RKS_2.76 //	prApnozi paramam sTAnam vaMSa kzaya vivarjitam // RKH _2.76 //
   śrutvākhyānam idaṃ puṇyaṃ pavitramaghanāśanam /	SrutvA AKyAnam idam puNyam pavitram aGa nASanam /
   ye śṛṇvanti sadā nityaṃ gohatyā ca praṇaśyati // RKS_2.77 //	ye SRNvanti sadA nityam gohatyA ca praNaSyati // RKH _2.77 //
   iti śrīrevākhaṇḍe ādikalpakathanaṃ dvitīyo 'dhyāyaḥ ||	iti SrIH evAKaNxe Adi kalpa kaTanam dvitIyaH aDyAyaH ||
   RKS adhyāya 3	RKH aDyAya 3
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   revā 'vataraṇaṃ puṇyaṃ saṅgamaṃ liṅgamarcitam /	revA avataraNam puNyam saFgamam liFgam arcitam /
   tīrthayātrāpramāṇaś ca yugamanvantārāṇi ca // RKS_3.1 //	tIrTa yAtrA pramANaH ca yuga manvantArANi ca // RKH _3.1 //
   parvatasyatu māhātmyaṃ tatra nadyāṃ yathocitam /	parvatasyatu mAhAtmyam tatra nadyAm yaTocitam /
   parvakālastu devānāṃ tīrthe tīrthe viśeṣataḥ // RKS_3.2 //	parva kAlaH tu devAnAm tIrTe tIrTe viSezataH // RKH _3.2 //
   pattanasya tu māhātmyaṃ tatra vāsaṃ yathocitam /	pattanasya tu mAhAtmyam tatra vAsam yaTocitam /
   bhṛgos tu kīrtanaṃ puṇyaṃ brahmahatyāvimocanam // RKS_3.3 //	BRgoH tu kIrtanam puNyam brahmahatyA vimocanam // RKH _3.3 //
   kenā 'vatīrya kāryeṇa jambūdvīpe saridvarā /	kenA avatIrya kAryeNa jambUdvIpe sarit varAH /
   śivalokaṃ gatā sā tu tan me vada mahāmune // RKS_3.4 //	Siva lokam gatA sA tu tat me vada mahA mune // RKH _3.4 //
   uktānuktāśca yat kiṃcit kathayasva prasādataḥ /	ukta anuktAH ca yat kiMcid kaTayasva prasAdataH /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   śrūyatāṃ rājarājendra kathyamānaṃ nibodha me // RKS_3.5 //	SrUyatAm rAja rAja indra kaTyamAnam niboDa me // RKH _3.5 //
   hiraṇyakaśipuścāsīd yuge cādye mahā 'suraḥ /	hiraNyakaSipuH ca AsIt yuge ca Adye mahA asuraH /
   śivaprasādasampanno hyalaṃ mātṛbalotkaṭaḥ // RKS_3.6 //	Siva prasAda sampannaH hi alam mAtR bala utkawaH // RKH _3.6 //
   nirjitā devatās tena palāyanaparāyaṇāḥ /	nirjitAH devatAH tena palAyana parAyaNAH /
   jagmuḥ śaraṇamudvignā bhayārtā bhayavihvalaḥ // RKS_3.7 //	jagmuH SaraNam udvignAH Baya ArtA Baya vihvalaH // RKH _3.7 //
   śaṅkhacakradharaṃ devaṃ sasārārṇavatāraṇam /	SaFKa cakra Daram devam sa sAra arNava tAraNam /
   śaraṇaśca prapannāḥ smo mādhavaṃ madhusūdana // RKS_3.8 //	SaraNaH ca prapannAH smaH mADavam maDusUdana // RKH _3.8 //
   agnihotrāś ca vedāśca na devānāṃ ca yājanam /	agnihotrAH ca vedAH ca na devAnAm ca yAjanam /
   na svādhyāyo na yajñāśca na hutaṃ pitṛtarpaṇam // RKS_3.9 //	na svADyAyaH na yajQAH ca na hutam pitR tarpaNam // RKH _3.9 //
   vyāvitaṃ dānavair duṣṭair dharmakarma ca nāśitam /	vyAvitam dAnavEH duzwEH Darma karma ca nASitam /
   etasminnantare rājan viṣṇunā prabhaviṣṇunā // RKS_3.10 //	etasmin= antare rAjan vizNunA praBavizNunA // RKH _3.10 //
   daityāśca nihatās sarve nṛsiṃhavapuṣā tu te /	dEtyAH ca nihatAH sarve nRsiMha vapuzA tu te /
   punaḥpravartate dharmo devabrāhmaṇayājanam // RKS_3.11 //	punar pravartate DarmaH deva brAhmaNa yAjanam // RKH _3.11 //
   kṣayitā dānavās sarve pāpakarmmaratā 'dhamāḥ /	kzayitAH dAnavAH sarve pApa karmmaratA aDamAH /
   gatā tenaiva kāryeṇa narmadā lokadhāriṇī // RKS_3.12 //	gatA tena eva kAryeNa narmadA loka DAriNI // RKH _3.12 //
   svārociṣe 'ntare prāpte ādikalpe kṛte yuge /	svArocize antare prApte Adi kalpe kRte yuge /
   avatāraṃ punarmartye devī tridaśapūjitā // RKS_3.13 //	avatAram punar martye devI tridaSa pUjitAH // RKH _3.13 //
   kariṣyati naraśreṣṭhalokānāṃ hitakāmyayā /	karizyati nara SrezWa lokAnAm hita kAmyayA /
   dharmakarmarataṃ jñātvā martyaṃ suragaṇārcitaḥ // RKS_3.14 //	Darma karma ratam jQAtvA martyam sura gaNa arcitaH // RKH _3.14 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   āsītpurā cakravartī somavaṃśe purūravāḥ /	AsIt purA cakravartI soma vaMSe purUravAH /
   śaśāsa pṛthivīṃ sarvāṃ yathāśakrastriviṣṭapam // RKS_3.15 //	SaSAsa pRTivIm sarvAm yaTASakraH trivizwapam // RKH _3.15 //
   ekadā sa nṛpaśreṣṭhaḥ sabhāmadhye purūravāḥ /	ekadA sa nRpa SrezWaH saBA maDye purUravAH /
   papraccha brāhmaṇān vṛddhān vṛddhasevī dhṛtavrataḥ // RKS_3.16 //	papracCa brAhmaNAn vRdDAn vRdDa sevI DRta vrataH // RKH _3.16 //
   yajñādibhirvinā kena mānavāḥ pāpamohitāḥ /	yajQa AdiBiH vinA kena mAnavAH pApa mohitAH /
   svargaṃ prāpurupāyena tanme vada yathātatham // RKS_3.17 //	svargam prApuH upAyena tat me vada yaTAtaTam // RKH _3.17 //
   brāhmaṇā ūcuḥ:	brAhmaNAH UcuH:
   āste svarge mahārāja narmadā lokapāvanī /	Aste svarge mahA rAja narmadA loka pAvanI /
   avatārayatāṃ svargāllokānāṃ pāpahāriṇīm // RKS_3.18 //	avatArayatAm svargAt lokAnAm pApa hAriNIm // RKH _3.18 //
   teṣāṃ tadvacanaṃ śrutvā dvijānāṃ vidhṛtāmanām /	tezAm tat vacanam SrutvA dvijAnAm viDRta AmanAm /
   ārādhayāmāsa devamayutaṃ sāgrameva ca // RKS_3.19 //	ArADayAmAsa devam ayutam sAgram eva ca // RKH _3.19 //
   kandamūlaphalaiḥ śākairjalāhārais tathāpi saḥ /	kanda mUla PalEH SAkEH jala AhArEH taTA api saH /
   śivabhaktiparo nityaṃ viśuddhenāntarātmanā // RKS_3.20 //	Siva Bakti paraH nityam viSudDena antarAtmanA // RKH _3.20 //
   tatastuṣṭo mahādevo varaṃ varaya putraka /	tatas tuzwaH mahAdevaH varam varaya putrakaH /
   dadāmi te na sandeho yatheṣṭaṃ manasepsitam // RKS_3.21 //	dadAmi te na sandehaH yaTezwam manasA Ipsitam // RKH _3.21 //
   purūravā uvāca:	purUravAH uvAca:
   yadi tuṣṭo mahādeva varaṃ dātuṃ mamecchasi /	yadi tuzwaH mahAdeva varam dAtum mama icCasi /
   hitāya sarvalokānām avatāraya narmadām // RKS_3.22 //	hitAya sarva lokAnAm avatAraya narmadAm // RKH _3.22 //
   navakhaṇḍās saptadvīpās tv āpagās saritaḥ tathā /	nava KaNxAH sapta dvIpAH tu ApagAH saritaH taTA /
   nimagnaṃ narake ghore jagatsarvaṃ mayā śrutam // RKS_3.23 //	nimagnam narake Gore jagat sarvam mayA Srutam // RKH _3.23 //
   lakṣayojanaparyyantaṃ jambūdvīpaṃ nirāśrayam /	lakza yojana paryyantam jambUdvIpam nirASrayam /
   na devāstṛptimāyānti na mātṛpitṛmānuṣāḥ // RKS_3.24 //	na devAH tRptim AyAnti na mAtR pitR mAnuzAH // RKH _3.24 //
   etacchrutvā mahādevo naradevasya bhāṣitam /	etat SrutvA mahAdevaH naradevasya BAzitam /
   hara uvāca:	haraH uvAca:
   uvāca durlabhaṃ devairayācyaṃ yācyate nṛpa // RKS_3.25 //	uvAca durlaBam devEH ayAcyam yAcyate nRpa // RKH _3.25 //
   varamanyaṃ prayacchāmi varjayitvā tu narmadām /	varam anyam prayacCAmi varjayitvA tu narmadAm /
   purūravā uvāca:	purUravAH uvAca:
   nānyaṃ varaṃ mahādeva prāṇatyāge 'pi prārthaye // RKS_3.26 //	na anyam varam mahAdeva prANatyAge api prArTaye // RKH _3.26 //
   jñātvā tu niścayaṃ rājñastapasogreṇa sādhanam /	jQAtvA tu niScayam rAjQaH tapasA ugreNa sADanam /
   ājñāpitā mekalā sā 'vatara tvaṃ sureśvari // RKS_3.27 //	AjQApitA mekalA sA avatara tvam sureSvari // RKH _3.27 //
   purūravāvipākena martyalokahitaṃ kuru /	purUrava avipAkena martya loka hitam kuru /
   ājñāpitāgatā sā ca śivasyāgre vyavasthitā // RKS_3.28 //	AjQApita AgatA sA ca Sivasya agre vyavasTitAH // RKH _3.28 //
   kṛtāñjalipuṭā bhūtvā mamādeśo 'dya dīyatām /	kRta aQjali puwAH BUtvA mama AdeSaH adya dIyatAm /
   hara uvāca:	haraH uvAca:
   svargāt prayāhi reve tvaṃ martyalokaṃ mamājñayā // RKS_3.29 //	svargAt prayAhi reve tvam martya lokam mama AjQayA // RKH _3.29 //
   purūravas tapaḥ satyaṃ kuru kalyāṇi sāmpratam /	purUravaH tapaH satyam kuru kalyANi sAmpratam /
   narmadovāca:	narmadA uvAca:
   kathamīśa nirādhārā svargād yāsyāmyahaṃ dharām // RKS_3.30 //	kaTam ISa nirADArA svargAt yAsyAmi aham DarAm // RKH _3.30 //
   tatastadvacanaṃ śrutvā devadeva umāpatiḥ /	tatas tat vacanam SrutvA devadevaH umApatiH /
   āvāhayāmāsa sarvānaṣṭau kulanagottamān // RKS_3.31 //	AvAhayAmAsa sarvAn azwO kula naga uttamAn // RKH _3.31 //
   uvāca parvatān devaḥ kaḥ sariddhāraṇe kṣamaḥ /	uvAca parvatAn devaH kaH sarit DAraNe kzamaH /
   parvatā ūcuḥ:	parvatAH UcuH:
   śatadhā bhedam āyānti jalāghātān mahādrayaḥ // RKS_3.32 //	SataDA Bedam AyAnti jala AGAtAt mahA drayaH // RKH _3.32 //
   abhāṣata tato vindhyo dhartumutsahate nadīm /	aBAzata tatas vinDyaH Dartum utsahate nadIm /
   mama putraḥ sureśāgrya tvatprasādān na saṃśayaḥ // RKS_3.33 //	mama putraH sureSa agrya tvad prasAdAt na saMSayaH // RKH _3.33 //
   paryaṅka iti vikhyātaḥ kandarpadṛḍhavikramaḥ /	paryaFkaH iti viKyAtaH kandarpa dRXa vikramaH /
   jyeṣṭhaḥ sarvagaṇair yukto mānyaḥ sarvamahībhṛtām // RKS_3.34 //	jyezWaH sarva gaNEH yuktaH mAnyaH sarva mahIBRtAm // RKH _3.34 //
   devairapi ca durjñeyaḥ śivāyāś carcane rataḥ /	devEH api ca durjQeyaH SivAyAH carcane rataH /
   santyeva parvatās sarve yadyapīha maheśvara // RKS_3.35 //	santi eva parvatAH sarve yadi api iha maheSvaraH // RKH _3.35 //
   tathāpi dhāraṇe śaktaḥ sa eveha na saṃśayaḥ /	taTA api DAraNe SaktaH saH eva iha na saMSayaH /
   aśaktā vikalā vṛddhās sarva eva mahīdharāḥ // RKS_3.36 //	aSaktAH vikalAH vRdDAH sarve eva mahIDarAH // RKH _3.36 //
   anujñāṃ dehi paryaṅkaḥ kṣamas tāṃ dhartum āpagām /	anujQAm dehi paryaFkaH kzamaH tAm Dartum ApagAm /
   anujñātaś ca devena paryaṅkaḥ sa nagottamaḥ // RKS_3.37 //	anujQAtaH ca devena paryaFkaH sa naga uttamaH // RKH _3.37 //
   uvāca dhārayiṣye 'haṃ tvat prasādān maheśvara /	uvAca DArayizye aham tvat prasAdAt maheSvaraH /
   tataḥ pracalitā devī mūrdhni paryaṅkabhūbhṛta // RKS_3.38 //	tatas pracalitA devI mUrDni paryaFka BUBRta // RKH _3.38 //
   jalaughavegabhramaṇāt saśailavanakānanā /	jala oGa vega BramaNAt sa SEla vana kAnanA /
   plāvitā vasudhā sarvā akālakalitaṃ jagat // RKS_3.39 //	plAvitA vasuDA sarvAH akAla kalitam jagat // RKH _3.39 //
   stutā devagaṇaiḥ sarvais tadā mekalakanyakā /	stutA deva gaNEH sarvEH tadA mekala kanyakAH /
   maryādāṃ vaha kalyāṇi lokānāṃ hitakāriṇī // RKS_3.40 //	maryAdAm vaha kalyANi lokAnAm hita kAriNI // RKH _3.40 //
   tvayā vyāptam idaṃ sarva trailokyaṃ sacarācaram /	tvayA vyAptam idam sarva trElokyam sa carAcaram /
   tataḥ saṃvṛtarūpeṇa śivājñātaś ca mekalā // RKS_3.41 //	tatas saMvRta rUpeNa SivAjQAtaH ca mekalAH // RKH _3.41 //
   pramāṇato yojanānāṃ sahasrāṇyekaviṃśati /	pramANataH yojanAnAm sahasrANi ekaviMSati /
   rasātalaṃ sā viviśe tarpayitvā pitāmahān // RKS_3.42 //	rasAtalam sA viviSe tarpayitvA pitAmahAn // RKH _3.42 //
   spṛśa māṃ tvaṃ svahastena ityuktaḥ sa purūravāḥ /	spRSa mAm tvam sva hastena iti uktaH sa purUravAH /
   pītvā ca salilaṃ datte pitṛbhyaś ca tilodakam // RKS_3.43 //	pItvA ca salilam datte pitRByaH ca tila udakam // RKH _3.43 //
   agaman paramaṃ sthānaṃ yat surair api durlabham /	agaman paramam sTAnam yat surEH api durlaBam /
   pavitraṃ paritas sarvaṃ trailokyaṃ sacarācaram // RKS_3.44 //	pavitram paritas sarvam trElokyam sa carAcaram // RKH _3.44 //
   sevyate tena kāryyeṇa narmadā saptakalpagā /	sevyate tena kAryyeNa narmadA sapta kalpa gA /
   etat te kathitaṃ rājann ākhyānaṃ ca śivoditam // RKS_3.45 //	etat te kaTitam rAjan AKyAnam ca Siva uditam // RKH _3.45 //
   vaivasvatam idānīṃ tu dvāparānte samudyate /	vEvasvatam idAnIm tu dvApara ante samudyate /
   tvaṃ rājā bhrātṛbhiḥ sārddhaṃ satyasaṃdho dṛḍhavrataḥ // RKS_3.46 //	tvam rAjA BrAtRBiH sArdDam satya saMDaH dRXa vrataH // RKH _3.46 //
   tretāyāḥ prathame pāde gaṅgā bhāgīrathī smṛtā /	tretAyAH praTame pAde gaFgA BAgIraTI smRtA /
   adahat kapilaś cāsya pitṝṇām ayutāni ṣaṭ // RKS_3.47 //	adahat kapilaH ca asya pitLNAm ayutAni zaw // RKH _3.47 //
   mohitām āyayā viṣṇor gatā saptarasātalam /	mohitAm AyayA vizNoH gatA sapta rasAtalam /
   eva mandākinī nāma tvanyā gaṅgā saridvarā // RKS_3.48 //	eva mandAkinI nAma tu anyA gaFgA sarit varAH // RKH _3.48 //
   mekalātoyasampūrṇās sāgarās saptayantritāḥ /	mekalA toya sampUrNAH sAgarAH sapta yantritAH /
   tṛtīye ca tathā pāde avatīrṇā sarasvatī // RKS_3.49 //	tRtIye ca taTA pAde avatIrNA sarasvatI // RKH _3.49 //
   sthāneśvaragatā sā tu punargaṅgā samāgame /	sTAneSvara gatA sA tu punar gaFgA samAgame /
   gaṅgākanakhale puṇyā gaṅgāsāgarasaṅgame // RKS_3.50 //	gaFgAkanaKale puNyAH gaFgAsAgara saFgame // RKH _3.50 //
   ūrdhvatīrthe prayāge ca vārāṇasyāṃ viśeṣataḥ /	UrDvatIrTe prayAge ca vArANasyAm viSezataH /
   prācī sarasvatī yatra kurukṣetre ca puṇyadā // RKS_3.51 //	prAcI sarasvatI yatra kurukzetre ca puNya dA // RKH _3.51 //
