   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   nopāyamātram / yataḥ sarvāsveva daśasu bhūmiṣu bodhisattvasya	na upAya mAtram / yatas sarvAsu eva daSasu BUmizu boDisattvasya
   pāramitāsamudācāraḥ paṭhito dadhabhūmikādau "na ca pariśeṣāsu na	pAramitA samudAcAraH paWitaH daDa BUmikA AdO "na ca pariSezAsu na
   samudācarati" iti vacanāt /	samudAcarati" iti vacanAt /
   aṣṭamyāṃ ca bhūmau bodhisattvasya śāntavihāriṇo buddhairvyuttthānaṃ tad	azwamyAm ca BUmO boDisattvasya SAnta vihAriNaH budDEH vyuttTAnam tat 
   virudhyeta / tacca tatastatra pāṭhād avagantavyam / [tathā coktaṃ tatraiva	viruDyeta / tat ca tatas tatra pAWAt avagantavyam / [taTA ca uktam tatra eva
   sūtre] "tasya khalu bho jinaputra, bodhisattvasya evamimāmacalāṃ	sUtre] "tasya Kalu Bo jinaputra, boDisattvasya evam imAm acalAm
   bodhisattvabhūmimanugatasya pūrvapraṇidhānabalādhānasthitasya buddhā	boDisattva BUmim anugatasya pUrva praNiDAna bala ADAna sTitasya budDA
   bhagavantastasmin dharmamukhastrotasi tathāgatajñānopasaṃhāraṃ kurvanti /	BagavantaH tasmin Darma muKaH trotasi taTAgata jQAna upasaMhAram kurvanti /
   evaṃ caina bruvanti  sādhu (Bhk 173) sādhu kulaputra / eṣā	evam ca ena bruvanti sADu (Bhj 173) sADu kula putra / ezA
   paramārthakṣāntirbuddhadharmānugamāya / api tu khalu punaḥ kulaputra, yā	parama arTa kzAntiH budDa Darma anugamAya / api tu Kalu punar kula putra, yA
   asmākaṃ daśabalacaturvaiśāradyabuddhadharmasamṛddiḥ, sā tava nāsti / tasyā	asmAkam daSa bala catur vESAradya budDa Darma samRddiH, sA tava na asti / tasyAH 
   buddhadharmasamṛddheḥ paryeṣaṇāya abhiyogaṃ kuru, vīryamārabhasva /	budDa Darma samRdDeH paryezaNAya aBiyogam kuru, vIryam AraBasva /
   etadeva kṣāntimukhaṃ monmokṣīḥ / api tu khalu punaḥ kulaputra, kiṃ cāpi	etat eva kzAnti muKam mA unmokzIH / api tu Kalu punar kula putra, kim ca api
   tvayaivaṃ śāntavimokṣavihāro 'nuprāptaḥ, imān punaraśāntānapraśāntān	tvayA evam SAnta vimokza vihAraH anuprAptaH, imAn punar aSAntAna praSAntAn
   bālapṛthagjanān nānākleśasamudācāraprāptān vividhavitarkopahatamānasān	bAla pRTagjanAn nAnA kleSa samudAcAra prAptAn viviDa vitarka upahata mAnasAn
   samanvāhara, apekṣasva / api tu khalu punaḥ kulaputra,	samanvAhara, apekzasva / api tu Kalu punar kula putra,
   pūrvapraṇidhānamanusmara sattvārthasaṃprāpaṇaṃ jñānamukhācintyatāṃ ca /	pUrva praNiDAnam anusmara sattva arTa saMprApaNam jQAna muKa acintya tAm ca /
   api tu khalu punaḥ kulaputra, eṣā sarvadharmāṇāṃ dharmatā / utpādādvā	api tu Kalu punar kula putra, ezA sarva DarmANAm DarmatA / utpAdAt vA
   tathāgatānāmanutpādādvā sthitaivaiṣā dharmatā dharmadhātusthitiḥ yadidaṃ	taTAgatAnAm anutpAdAt vA sTitA eva ezA DarmatA DarmaDAtu sTitiH yat idam
   sarvadharmaśūnyatā sarvadharmānupalabdhiḥ / naitayā tathāgatā eva kevalaṃ	sarva Darma SUnyatA sarva Darma anupalabDiH / na etayA taTAgatAH eva kevalam
   prabhāvyante, sarvaśrāvakapratyekabuddhā api	praBAvyante, sarva SrAvaka pratyekabudDAH api
   hyetāmavikalpadharmatāmanuprāpnuvanti /	hi etAm avikalpa Darma tAm anuprApnuvanti /
   api tu khalu punaḥ kulaputra, prekṣasva tāvat tvamasmākaṃ kāyāpramāṇatāṃ	api tu Kalu punar kula putra, prekzasva tAvat tvam asmAkam kAya apramANa tAm
   ca jñānāpramāṇatāṃ ca buddhakṣetrāpramāṇatāṃ ca jñānābhinirhārāpramāṇatāṃ	ca jQAna apramANa tAm ca budDa kzetra apramANa tAm ca jQAna aBinirhAra apramANa tAm
   ca prabhāmaṇḍalāpramāṇatāṃ ca svarāṅgaviśuddhayapramāṇatāṃ ca / tathaiva	ca praBA maNxala apramANa tAm ca svara aFga viSudDaya pramANa tAm ca / taTA eva
   tvamapyabhinirhāramutpādaya / api tu khalu punaḥ kulaputra, ekastveṣa	tvam api aBinirhAram utpAdaya / api tu Kalu punar kula putra, ekaH tu eza
   āloko yo 'yaṃ sarvadharmānirvikalpālokaḥ / īdṛśāstu kulaputra,	AlokaH yaH ayam sarva Darma anirvikalpa AlokaH / IdRSAH tu kula putra,
   dharmālokāstathāgatānāmaparyantagatā aparyantakṛtā aparyantabaddhāḥ, yeṣāṃ	Darma AlokAH taTAgatAnAm aparyanta gatAH aparyanta kRtAH aparyanta badDAH, yezAm
   saṃkhyā nāsti, gaṇanā, pramāṇamupaniṣadaupamyaṃ nāsti, tesāmadhigamāya	saMKyA nAsti, gaNanA, pramANam upanizad Opamyam nAsti, tesAm aDigamAya
   abhinirhāramutpādaya / api tu khalu punaḥ kulaputra, prekṣasva tāvad	aBinirhAram utpAdaya / api tu Kalu punar kula putra, prekzasva tAvat 
   daśasu dikṣu apramāṇakṣetratāṃ ca apramāṇasattvatāṃ ca	daSasu dikzu apramANa kzetra tAm ca apramANa sattva tAm ca
   apramāṇadharmavibhaktitāṃ ca / tatsarvamanugaṇaya / yathāvattayā	apramANa Darma viBakti tAm ca / tat sarvam anugaNaya / yaTAvat tayA
   abhinirhāramutpādaya / "iti hi bho jinaputra, te buddhā bhagavanta (Bhk	aBinirhAram utpAdaya / "iti hi Bo jinaputra, te budDAH BagavantaH (Bhj 
   174) evaṃ bhūmyanugatasya bodhisattvasya evaṃ	174) evam BUmi anugatasya boDisattvasya evam
   pramukhānyaprameyāṇyasaṃkhyeyāni jñānābhinirhāramukhānyupasaṃharanti,	pramuKAni aprameyANi asaMKyeyAni jQAna aBinirhAra muKAni upasaMharanti,
   yairjñānābhinirhāramukhairbodhisattvo 'pramāṇajñānavibhaktito	yEH jQAna aBinirhAra muKEH boDisattvaH apramANa jQAna viBakti taH 
   'bhinirhārakarmābhiniṣpadayati / ' ārocayāmi te bho jinaputra,	aBinirhAra karma aBinizpadayati / a ArocayAmi te Bo jinaputra,
   prativedayāmi / te ced buddhā bhagavantastaṃ bodhisattvamevaṃ	prativedayAmi / te ced budDAH BagavantaH tam boDisattvam evam
   sarvajñajñānābhinirhāramukheṣu nāvatārayeyustadevāsya parinirvāṇaṃ	sarvajQa jQAna aBinirhAra muKezu na avatArayeyuH tat eva asya parinirvANam
   bhavetsarvasattvakāryapratiprasrabdhiśca /" iti vistaraḥ /	Bavet sarva sattva kArya pratiprasrabDiH ca /" iti vistaraH /
   yacca āryavimalakīrtinirdeśe gayāśīrṣe coktaṃ tadapi pūrvoktaṃ virudhyate,	yat ca Arya vimala kIrti nirdeSe gayASIrze ca uktam tat api pUrva uktam viruDyate,
   evaṃ sāmānyenaiva tatrābhidhānāt / yat sarvadharmasaṅgrahavaipulye coktaṃ	evam sAmAnyena eva tatra aBiDAnAt / yat sarva Darma saFgraha vEpulye ca uktam
   tadapi virudhyate / eva / tatroktam  "sūkṣmaṃ hi mañjuśrīḥ,	tat api viruDyate / eva / tatra uktam "sUkzmam hi maQjuSrIH,
   saddharmapratikṣepakarmāvaraṇam / yo hi kaścinmañjuśrīḥ, tathāgatabhāṣite	sadDarma pratikzepa karma AvaraNam / yaH hi kaScid maQju SrIH, taTAgata BAzite
   dharma ekasmin śobhanasaṃjñām utpādayati / ekasminnaśobhasaṃjñām	DarmaH ekasmin SoBana saMjQAm utpAdayati / ekasmin= aSoBa saMjQAm
   utpādayati / sa saddharmaṃ pratikṣipati / tena saddharmaṃ pratikṣipatā	utpAdayati / sa sadDarmam pratikzipati / tena sadDarmam pratikzipatA
   tathāgato 'bhyākhyāto bhavati" iti vistaram uktvā āha  "yo 'yaṃ maitreya,	taTAgataH aByAKyAtaH Bavati" iti vistaram uktvA Aha "yaH ayam mEtreya,
   ṣaṭpāramitāsamudāgamo bodhisattvānāṃ bodhāya taṃ te mohapuruṣā evaṃ	zaz pAra mitA samudAgamaH boDisattvAnAm boDAya tam te moha puruzAH evam
   vakṣyanti / prajñāpāramitāyāmeva bodhisattvena śikṣitavyam, kiṃ śeṣābhiḥ	vakzyanti / prajQApAramitAyAm eva boDisattvena Sikzitavyam, kim SezABiH
   pāramitābhiriti / te 'nyā mupāyapāramitāṃ dūṣayitavyāṃ manyante / tat kiṃ	pAramitABiH iti / te anyAH mupAya pAramitAm dUzayitavyAm manyante / tat kim
   manyase, ajita! duṣprajñaḥ sa kāśirājo 'bhūd yena kapotārtha śyenāya	manyase, ajita! duzprajQaH sa kASi rAjaH aBUt yena kapota arTa SyenAya
   svamāṃsāni dattāni? maitreya āha, no hīdam, bhagavan / bhagavānāha  yāni	sva mAMsAni dattAni? mEtreyaH Aha, no hi idam, Bagavan / BagavAn Aha yAni
   mayā maitreya, bodhisattvacaryāṃ caratā ṣaṭpāramitāsaṃyuktāni	mayA mEtreya, boDisattva caryAm caratA zaz pAramitA saMyuktAni
   kuśalamūlānyupacitāni / apakṛtaṃ nu taiḥ kuśalamūlaiḥ? maitreya āha  no	kuSala mUlAni upacitAni / apakRtam nu tEH kuSala mUlEH? mEtreyaH Aha no
   hīdaṃ bhagavan / bhagavān āha, tvaṃ tāvad ajita, dānāpāramitāyāṃ ṣaṣṭiṃ	hi idam Bagavan / BagavAn Aha, tvam tAvat ajita, dAna apAramitAyAm zazwim
   kalpān samudāgataḥ / yāvat prajñāpāramitāyāṃ ṣaṣṭiṃ kalpān samudāgataḥ,	kalpAn samudAgataH / yAvat prajQApAramitAyAm zazwim kalpAn samudAgataH,
   tat te mohapuruṣā evaṃ vakṣyanti  ekanayenaiva (Bhk 175) bodhiryaduta	tat te moha puruzAH evam vakzyanti ekanayena eva (Bhj 175) boDiH yat uta
   śūnyatānayena" iti vistaraḥ / vairocanābhisambodhau coktam  'tadetat	SUnyatA nayena" iti vistaraH / vErocana aBisamboDO ca uktam atat etat 
   sarvajñajñānaṃ karuṇāmūlaṃ bodhicittahetukam upāyaparyavasānam" iti /	sarvajQa jQAnam karuNA mUlam boDi citta hetukam upAya paryavasA nam" iti /
   tasmādubhayaṃ sarvakālameva bodhisattvena sevanīyam /	tasmAt uBayam sarvakAlam eva boDisattvena sevanIyam /
   evaṃ hi bhagavatām apratiṣṭhitanirvāṇaṃ sidhyati / tathā hi	evam hi BagavatAm apratizWita nirvANam siDyati / taTA hi
   dānāderūpāyasya rūpakāyakṣetraparivārādimahābhogatāphalasampatparigrahād	dAna AderUpAyasya rUpa kAya kzetra parivAra Adi mahA Boga tA Pala sampad parigrahAt 
   bhagavatāṃ na nirvāṇe 'vasthānam / prajñayā ca sakalaviparyāsaprahāṇād na	BagavatAm na nirvANe avasTAnam / prajQayA ca sakala viparyAsa prahANAt na
   saṃsāre 'vasthānaṃ viparyāsamūlatvāt saṃsārasya / anyā ca	saMsAre avasTAnam viparyAsa mUla tvAt saMsArasya / anyA ca
   prajñopāyasvarūpayā pratipadā samāropāpavādāntavivarjanena madhyamā	prajQA upAya svarUpayA pratipadA samAropa apavAda anta vivarjanena maDyamA
   pratipad udbhāvitā / prajñayā samāropāntasya varjanād upāyenāpavādāntasya	pratipad udBAvitA / prajQayA samAropa antasya varjanAt upAyena apavAda antasya
   varjanāt / ata eva āryadharmasaṅgītāvuktam 	varjanAt / atas eva Arya Darma saFgItO= uktam 
   "lakṣaṇānuvyañjanarūpakāyapariniṣpādanābhirataśca bhavati, na	"lakzaNa anuvyaQjana rUpa kAya parinizpAdana aBirataH ca Bavati, na
   dharmakāyābhisamayamātrābhirataḥ" iti / punaruktam 	Darma kAya aBisamaya mAtra aBirataH" iti / punar uktam 
   "prajñopāyajanitastathāgatānāṃ parapratyayataḥ saṃbhavo 'nugantavyaḥ" iti	"prajQA upAya janitaH taTAgatAnAm para pratyayataH saMBavaH anugantavyaH" iti
   yat punaruktam  "kolopamaṃ dharmaparyāyam ājānadbhirdharmā eva	yat punar uktam "kola upamam Darma paryAyam AjAnadBiH DarmAH eva
   prahātavyāḥ, prāg evādharmāḥ" iti / tad viparītābhiniveśaprahāṇataḥ	prahAtavyAH, prAk eva aDarmAH" iti / tat viparIta aBiniveSa prahANataH
   prahātavyā ityabhiprāyāduktam, na tu prayojanasampadanārthamapi	prahAtavyAH iti aBiprAyAt uktam, na tu prayojana sampadana arTam api
   nāśrayaṇiyam / tathā coktam  "dharmaḥ pragrahītavyo nodgrahītavyaḥ" iti /	na ASrayaNiyam / taTA ca uktam "DarmaH pragrahItavyaH na udgrahItavyaH" iti /
   nonmārgeṇa pragrahītavya ityarthaḥ / yaccāpi kvacid dānādi	na unmArgeNa pragrahItavyaH iti arTaH / yat ca api kvacid dAna Adi
   sāṃsārikaphalatvena varṇitaṃ tat prajñārahitānāṃ dānādīnāṃ pūrvam uktaṃ	sAMsArika Pala tvena varNitam tat prajQA rahitAnAm dAna AdInAm pUrvam uktam
   tāvanmātrakuśalamūlasantuṣṭāṃścādhikṛtyottara kuśalamūle protsāhanārtham /	tAvat mAtra kuSala mUla santuzwAn= ca aDikRtya uttara kuSala mUle protsAhana arTam /
   anyathā [ārya ]vimalakīrtinīrdeśaḥ [ādi pūrvoktaḥ] sarva eva virudhyate /	anyaTA [Arya  ] vimala kIrti nIrdeSaH [Adi pUrva uktaH] sarve eva viruDyate /
   tasmāttu dvāvapi prajñopāyau sevanīyāviti sthitam /	tasmAt tu dvO= api prajQA upAyO sevanIyO= iti sTitam /
   (Bhk 176)	(Bhj 176)
   tatra prajñāparigṛhītā dānādayaḥ pāramitāvyapadeśaṃ labhante nānyatheti /	tatra prajQA parigRhItAH dAna AdayaH pAramitA vyapadeSam laBante na anyaTA iti /
   ato dānadipariśuddhaye samādhānam āsthāya prajñopādānārthaṃ yatnaṃ kurvīta	atas dAna di pariSudDaye samADAnam AsTAya prajQA upAdAna arTam yatnam kurvIta
   tatra prathamaṃ tāvat śrutamayī prajñotpādanīyā / tayā hi tāvad āgamārtham	tatra praTamam tAvat Sruta mayI prajQA utpAdanIyAH / tayA hi tAvat Agama arTam
   avadhārayati / tataścintāmayyā prajñayānītaneyārthaṃ nirvedhayati /	avaDArayati / tatas cintAmayyA prajQayA nIta neya arTam nirveDayati /
   tatastayā niścitya bhūtamarthaṃ bhāvayennābhūtam / anyathā hi	tatas tayA niScitya BUtam arTam BAvayet na aBUtam / anyaTA hi
   viparītasyāpi bhavānād vicikitsāyāścāvyapagamāt samyagjñānodayo na syāt /	viparItasya api BavAnAt vicikitsAyAH ca avyapagamAt samyak jQAna udayaH na syAt /
   tataśca vyarthaiva bhāvanā syāt / yathā tīrtīkānām / uktaṃ ca bhagavatā	tatas ca vyarTA eva BAvanA syAt / yaTA tIrtIkAnAm / uktam ca BagavatA
   samādhirāje 	samADi rAje 
   nairātmyadharmān yadi pratyavekṣate tān pratyavekṣya yadi bhāvayet /	nErAtmya DarmAn yadi pratyavekzate tAn pratyavekzya yadi BAvayet /
   sa heturnirvāṇaphalasya prāptaye yo anyaheturna sa bhoti śāntaye // iti /	sa hetuH nirvANa Palasya prAptaye yaH anya hetuH na sa Boti SAntaye // iti /
   tasmāccintāmayyā prajñayā yuktayāgamābhyāṃ pratyavekṣya bhūtameva	tasmAt cintA mayyA prajQayA yuktayA AgamAByAm pratyavekzya BUtam eva
   vastusvarūpaṃ bhāvanīyam / vastūnāṃ svarūpaṃ ca paramārthato 'nutpāda	vastu svarUpam BAvanIyam / vastUnAm svarUpam ca paramArTataH anutpAda
   evāgamato yuktitaśca niścitam /	eva AgamataH yuktitaH ca niScitam /
   tatrāgamato yathoktam āryadharmasaṅgītau  "anutpādaḥ satyamasatyam anye	tatra AgamataH yaTA uktam Arya Darma saFgItO "anutpAdaH satyam asatyam anye
   dharmāḥ" iti / etacca paramārthānukūlatvād anutpādaḥ satyamityuktam /	DarmAH" iti / etat ca parama arTa anukUla tvAt anutpAdaH satyam iti uktam /
   paramārthatastu notpādo nāpyanutpādaḥ, tasy sarvyavahārātītatvāt /	paramArTataH tu na utpAdaH na api anutpAdaH, tasi sarvI avahAra atIta tvAt /
   punaścātraiva coktam  "utpādanirodhābhiniviṣṭaḥ kulaputra, lokasanniveśaḥ,	punar ca atra eva ca uktam "utpAda niroDa aBinivizwaH kula putra, loka sanniveSaH,
   (Bhk 177) tasmāt tathāgato mahākāruṇiko lokasyottrāsapadaparihārāthaṃ	(Bhj 177) tasmAt taTAgataH mahA kAruNikaH lokasya uttrAsa pada parihAra aTam
   vyavahāravaśād uktavān, utpadyate nirudhyate ceti na cātra kasyacid	vyavahAra vaSAt uktavAn, utpadyate niruDyate ca iti na ca atra kasyacid 
   dharmasyotpādaḥ" iti / aryabuddhasaṅgītau coktam  "katamā yoniśaḥ pṛcchā,	Darmasya utpAdaH" iti / arya budDa saFgItO ca uktam "katamA yoniSas pRcCA,
   katamā yoniḥ? āha anutpādo yoniḥ, tasya pṛcchā yoniśaḥ pṛccha" /	katamA yoniH? Aha anutpAdaH yoniH, tasya pRcCA yoniSas pRcCa" /
   punaratraivoktam  "cakāramukhaḥ sarvadharmāścyutyutpattivigatāḥ /	punar atra eva uktam "cakAra muKaH sarva DarmAH cyuti utpatti vigatAH /
   abhāvamukhāḥ sarvadharmāḥ, svabhāvaśūnyatām upādāya" iti /	aBAva muKAH sarva DarmAH, svaBAva SUnyatAm upAdAya" iti /
   āryasatyadvayavibhāge cānutpādasamatayā sarvadharmāṇāṃ samatā bhavati /	Arya satya dvaya viBAge ca anutpAda sama tayA sarva DarmANAm sama tA Bavati /
   prajñāpāramitāyāṃ coktam  "rūpaṃ subhūte, rūpasvabhāvena śūnyam, yāvad	prajQApAramitAyAm ca uktam "rUpam suBUte, rUpa svaBAvena SUnyam, yAvat 
   vijñānaṃ vijñānasvabhāvena śūnyamiti svalakṣaṇaśūnyatām upādāya" iti /	vijQAnam vijQAna svaBAvena SUnyam iti sva lakzaNa SUnyatAm upAdAya" iti /
   hastikakṣye coktam 	hasti kakzye ca uktam 
   na kaścillabhyate bhāvo yasyotpādasya saṃbhavaḥ /	na kaScid laByate BAvaH yasya utpAdasya saMBavaH /
   asaṃbhaveṣu dharmeṣu bālaḥ sambhavamicchati // iti /	asaMBavezu Darmezu bAlaH samBavam icCati // iti /
   pitāputrasamāgame coktam  "sarva ete dharmāḥ sarve samāstraikālyasamatayā	pitAputra samAgame ca uktam "sarve ete DarmAH sarve samAH trEkAlya sama tayA
   / atīte 'dhvani sarvadharmāḥ svabhāvarahitā yāvat pratyutpanne 'dhvani"	/ atIte aDvani sarva DarmAH svaBAva rahitA yAvat pratyutpanne aDvani"
   iti / evaṃ tavad āgamataḥ pratyavekṣaṇīyam / yuktyā hi	iti / evam tavat AgamataH pratyavekzaNIyam / yuktyA hi
   sthirīkṛtasyāgamārthasyānyairapohitam aśakyatvāt / ato yuktyāpi	sTirIkRtasya Agama arTasya anyEH apohitam aSakya tvAt / atas yuktyA api
   pratyavekṣanīyam /	pratyavekzanIyam /
   tatra saṃkṣepato yuktirucyate / utpādo bhāvānāmahetuko vā syāt sahetuko vā	tatra saMkzepataH yuktiH ucyate / utpAdaH BAvAnAm ahetukaH vA syAt sa hetukaH vA
   / na tāvad ahetukaḥ kādācitkatvadarśanāt / kāraṇānapekṣā hi viśeṣābhāvād	/ na tAvat ahetukaH kAdAcid katva darSanAt / kAraNa anapekzAH hi viSeza aBAvAt 
   utpādakālavat sadā sarvatraiva ca bhāvāḥ kiṃ na bhaveyuḥ / abhāvakālād	utpAda kAla vat sadA sarvatra eva ca BAvAH kim na BaveyuH / aBAva kAlAt 
   aviśeṣād vā utpādakāle 'pi naiva bhaveyuḥ / evaṃ tāvanna nirhetuko yuktaḥ	aviSezAt vE utpAda kAle api na eva BaveyuH / evam tAvat na nirhetukaH yuktaH
   / nāpi sahetukaḥ / tathā hi yastāvadīśvarādistīrthikairnityo hetuḥ	/ na api sa hetukaH / taTA hi yaH tAvat ISvara AdiH tIrTikEH nityaH hetuH
   kalpitastato bhāvā na jāyante krameṇotpādadarśanāt / na (Bhk 178)	kalpitaH tatas BAvAH na jAyante krameNa utpAda darSanAt / na (Bhj 178)
   tvavikalakāraṇasya [phalasya] krameṇotpādo yukto nirapekṣatvāt /	tu avikala kAraNasya [Palasya] krameNa utpAdaH yuktaH nirapekza tvAt /
   nāpīśvarādeḥ svayaṃ samarthasya parāpekṣāḥ / nityatvena	na api ISvara AdeH svayam samarTasya para apekzAH / nitya tvena
   parairanupakāryatvāt / anupakāriṇi cāpekṣāyogāt / ata eveśvarādīnāṃ	parEH anupakArya tvAt / anupakAriNi ca apekzA yogAt / atas eva ISvara AdInAm
   sarvasāmarthyaśūnyatvād vandhyāpūtrādivad niḥsvabhāvatvameva /	sarva sAmarTya SUnya tvAt vanDyA pUtra Adi vat niHsvaBAva tvam eva /
   arthakriyāsamarthatvād vastunaḥ / teṣāṃ kvacidapi kārye na krameṇa	arTa kriyA samarTa tvAt vastunaH / tezAm kvacid api kArye na krameNa
   sāmarthyaṃ yathā vicāritam / nāpi yaugapadyena, tathā hi sarvakāryaṃ sakṛd	sAmarTyam yaTA vicAritam / na api yOgapadyena, taTA hi sarva kAryam sakRt 
   utpādyoktarakāle 'pi yadyutpattisamartha evāsau tadā punarapi	utpAdya uktara kAle api yadi utpatti samarTaH eva asO tadA punar api
   samarthasvabhāvānuvṛttau pūrvavat kāryotpattiprasaṅgaḥ / ananuvṛttau vā	samarTa svaBAva anuvRttO pUrvavat kArya utpatti prasaFgaH / ananuvRttO vA
   pūrvasvabhāvaparityāgād anityatvaprasaṅgaḥ /	pUrva svaBAva parityAgAt anitya tva prasaFgaH /
   tasmānna nityaṃ nāma kiñcid vastu vidyate / ata evoktaṃ bhagavatā 	tasmAt na nityam nAma kiQcid vastu vidyate / atas eva uktam BagavatA 
   "asatsamāropaḥ punarmahāmate!	"asat samAropaH punar mahAmate!
   ākāśanirodhanirvāṇa[ādi]akṛtakabhāvābhiniveśasamāropaḥ" iti / tasmānna	AkASa niroDa nirvANa [Adi ]a kRtaka BAva aBiniveSa samAropaH" iti / tasmAt na
   nityād eṣāmutpādo yuktaḥ / nāpyanityāttatrātītānāgatayoravastutvānn	nityAt ezAm utpAdaH yuktaH / na api anityAt tatra atIta anAgatayoH avastu tvAt n
   tāvattato janma yuktam ahetukatvaprasaṅgāt / nāpi vartamānāt,	tAvat tatas janma yuktam ahetuka tva prasaFgAt / na api vartamAnAt,
   samānāsamānakālayostata utpādāyogāt / tathā hi na tāvat samānakālaṃ	samAna asamAna kAlayoH tatas utpAda ayogAt / taTA hi na tAvat samAna kAlam
   kāraṇaṃ svabhāvavat kāryasyāpi tatsamānakālabhāvitayā niṣpannatvāt / nāpi	kAraNam svaBAva vat kAryasya api tad samAna kAla BAvitayA nizpanna tvAt / na api
   bhinnakālam, kālantaravyavadhānenotpāde 'tītāderevotpattiprasaṅgāt /	Binna kAlam, kAlantara vyavaDAnena utpAde atIta AdeH eva utpatti prasaFgAt /
   avyavadhānenāpyutpāde sarvātmānā yadyavyavadhāṇaṃ tadaikasminneva kṣaṇe	avyavaDAnena api utpAde sarva AtmAnA yadi avyavaDANam tat A ekasmin= eva kzaNe
   sarvakṣaṇānām anupraveśāt kalpasya kṣaṇamātratāprasaṅgaḥ / yathā paramāṇoḥ	sarva kzaNAnAm anupraveSAt kalpasya kzaNa mAtra tA prasaFgaH / yaTA paramANoH
   sarvātmanā saṃyogo piṇḍasyāṇumātratāprasaṅgaḥ / athaikadeśanena, tadā	sarva AtmanA saMyogaH piNxasya aNu mAtra tA prasaFgaH / aTa eka deSanena, tadA
   kṣaṇasya sāvayavatvaprasaṅgaḥ / svato 'pi notpadyante,	kzaNasya sAvayava tva prasaFgaH / svatas api na utpadyante,
