   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   śṛṇudhvaṃ madvacaḥ sarve nāgāś ca garuḍās tathā /	SRNuDvam mad-vacaH sarve nAgAH ca garuxAH taTA /
   yadi me śaraṇaṃ yātha ramadhvaṃ maitramānasāḥ // KDA_366 //	yadi me SaraNam yA-aTa ramaDvam mEtra-mAnasAH // KDA_366 //
   ye ete sukhino loke sarve te maitracāriṇaḥ /	ye ete suKinaH loke sarve te mEtra-cAriNaH /
   ye ete duḥkhino loke sarve te krodhino narāḥ // KDA_367 //	ye ete duHKinaH loke sarve te kroDinaH narAH // KDA_367 //
   tasmāt krodhaprahāṇāya kriyatāṃ yatnam ādarāt* /	tasmAt kroDa-prahANAya kriyatAm yatnam AdarAt* /
   yāvac citte sthitaṃ krodhaṃ tāvan maitrī na bhāvyate // KDA_368 //	yAvat citte sTitam kroDam tAvat mEtrI na BAvyate // KDA_368 //
   na ca dveṣasamaṃ pāpaṃ na ca maitrīsamaṃ tapaḥ /	na ca dveza-samam pApam na ca mEtrI-samam tapaH /
   tasmān maitrī prayatnena bhāvanīyā sadādarāt* // KDA_369 //	tasmAt mEtrI prayatnena BAvanIyA sat-AdarAt* // KDA_369 //
   manaḥ śamaṃ na gṛhṇāti na prītisukham aśnute /	manaH Samam na gRhNAti na prIti-suKam aSnute /
   na nidrāṃ na dhṛtiṃ yāti dveṣaśalye hṛdi sthite // KDA_370 //	na nidrAm na DRtim yAti dveza-Salye hRdi sTite // KDA_370 //
   na dviṣantaḥ kṣayaṃ yānti yāvajjīvam api ghnataḥ /	na dvizantaH kzayam yAnti yAvajjIvam api GnataH /
   krodham ekaṃ tu yo hanyāt tena sarve dviṣo hatāḥ // KDA_371 //	kroDam ekam tu yaH hanyAt tena sarve dvizaH hatAH // KDA_371 //
   vikalpen dhanadīptena jantuḥ krodhahavir bhujā /	vikalpet Dana-dIptena jantuH kroDa-haviH BujAH /
   dahaty ātmānam evādau parān dhakṣyati vā na vā // KDA_372 //	dahati AtmAnam eva-AdO parAn Dakzyati vA na vA // KDA_372 //
   jarā rūpavatāṃ krodhas tamaś cakṣuṣmatām api /	jarA rUpavatAm kroDaH tamaH cakzuzmatAm api /
   bandho dharmārthakāmānāṃ tasmāt krodho nivāryatām* // KDA_373 //	banDaH Darma-arTa-kAmAnAm tasmAt kroDaH nivAryatAm* // KDA_373 //
   divyabhogānubhoktā ca prāsāde maṇimaṇḍite /	divya-Boga-anuBoktA ca prAsAde maNi-maNxite /
   supto 'pi na labhen nidrāṃ krodhaparyākulo naraḥ // KDA_374 //	suptaH api na laBet nidrAm kroDa-paryAkulaH naraH // KDA_374 //
   -------------------- Vaidya, p. 289 --------------------	------------------- VEdya, p. 289 --------------------
   ṛṣibhir yogibhiś cāmbu- phalamūlāditoṣitaiḥ /	RziBiH yogiBiH ca-ambu Pala-mUla-Adi-ta-uzitEH /
   dagdhā janapadāś cāpi krodhāc chāpahutāśanaiḥ // KDA_375 //	dagDAH janapadAH ca-api kroDAt SApa-hutASanEH // KDA_375 //
   yac chāṃkaro mahāraudro nirghṛṇo dṛkprabhānalaiḥ /	yat SAMkaraH mahA-rOdraH nirGRNaH dRS-praBa-analEH /
   dadāha brahmajaṃ kāmaṃ tac ca krodhaprabhāvataḥ // KDA_376 //	dadAha brahmajam kAmam tat ca kroDa-praBAvataH // KDA_376 //
   yad rājāno viruddhāś ca yuddhaṃ kṛtvā parasparam* /	yat rAjAnaH virudDAH ca yudDam kRtvA parasparam* /
   mṛtyuṃ yānti janaiḥ sārdhaṃ tac cāpi krodhabhāvataḥ // KDA_377 //	mRtyum yAnti janEH sArDam tat ca-api kroDa-BAvataH // KDA_377 //
   suhṛdo yat sahāyāṃś ca snehaviśrambhacāriṇaḥ /	suhRdaH yat sahAyAn ca sneha-viSramBa-cAriNaH /
   satyadharmāv anādṛtya ghnanti krodhād anāryakāḥ // KDA_378 //	satya-DarmO anAdRtya Gnanti kroDAt anAryakAH // KDA_378 //
   sādhavo ye mahātmānaḥ saṃvṛttidharmacāriṇaḥ /	sADavaH ye mahAtmAnaH saMvRtti-Darma-cAriNaH /
   tān api saṃmukhaṃ ghnanti durvāgbāṇai ruṣā khalāḥ // KDA_379 //	tAn api saMmuKam Gnanti durvAc-bANEH ruzA KalAH // KDA_379 //
   mātaraṃ janmadātrīṃ ca dhātrīr vā snehapālinīḥ /	mAtaram janma-dAtrIm ca DAtrIH vA sneha-pAlinIH /
   svātmajān nirdayā ghnanti tac ca krodhaprabhāvataḥ // KDA_380 //	sva-AtmajAn nirdayAH Gnanti tat ca kroDa-praBAvataH // KDA_380 //
   svātmajāḥ pitaraṃ yac ca snehasatkārapālakam* /	sva-AtmajAH pitaram yat ca sneha-satkArapAlakam* /
   avigaṇayya pāpāni ghnanti krodhaprabhāvataḥ // KDA_381 //	avigaNayya pApAni Gnanti kroDa-praBAvataH // KDA_381 //
   gurūn saddharmaśāstṝṃś ca kalyāṇādhvāvatārakān* /	gurUn sat-DarmaSAstLn ca kalyANa-aDva-avatArakAn* /
   anādṛtya bhayaṃ pāpā ghnanti krodhoddhatā narāḥ // KDA_382 //	anAdRtya Bayam pApAH Gnanti kroDa-udDatAH narAH // KDA_382 //
   yat pitā svātmajaṃ putraṃ putrīṃ vā bālakām api /	yat pitA sva-Atmajam putram putrIm vA bAlakAm api /
   nirdayas tāḍayan hanti tasmāt krodho mahāripuḥ // KDA_383 //	nirdayaH tAxayan hanti tasmAt kroDaH mahA-ripuH // KDA_383 //
   bhrātaraḥ sahajāś cāpi roṣitā bheditāśayāḥ /	BrAtaraH sahajAH ca-api rozitAH Bedita-ASayAH /
   vigṛhṇanti mahākruddhās tasmāt krodho mahāripuḥ // KDA_384 //	vigRhNanti mahA-krudDAH tasmAt kroDaH mahA-ripuH // KDA_384 //
   yat svayaṃ pariṇītāpi bhāryā dharmānucāriṇī /	yat svayam pariNItA-api BAryA Darma-anucAriNI /
   tāḍitā tyajyate bhartrā krodhāt tato mahad bhayaṃ* // KDA_385 //	tAxitA tyajyate BartrA kroDAt tatas mahat Bayan* // KDA_385 //
   pramadāpi ca bhartāraṃ svāminaṃ snehakāriṇam* /	pramadA-api ca BartAram svAminam sneha-kAriNam* /
   kuladharmam anādṛtya jahāti krodhatas tathā // KDA_386 //	kula-Darmam anAdRtya jahAti kroDataH taTA // KDA_386 //
   ye śāntā yatayo dhīrāś caturbrahmavihāriṇaḥ /	ye SAntAH yatayaH DIrAH catur-brahma-vihAriNaH /
   tān api saṃmukhaṃ duṣṭās tāḍayanti ruṣānvitāḥ // KDA_387 //	tAn api saMmuKam duzwAH tAxayanti ruzA-anvitAH // KDA_387 //
   śāntātmā hitakṛdyogī kṣāntivādī vane vasan* /	SAnta-AtmA hita-kRt-yogI kzAnti-vAdI vane vasan* /
   so 'pi śakalito rājñā svayam evāsinā ruṣā // KDA_388 //	saH api SakalitaH rAjQA svayam eva-asinA ruzA // KDA_388 //
   dānavā ghnanti devāṃś ca devāś ca ghnanti dānavān* /	dAnavAH Gnanti devAn ca devAH ca Gnanti dAnavAn* /
   anyonyaṃ vigrahaṃ kṛtvā pramathnanti ruṣākulāḥ // KDA_389 //	anyonyam vigraham kRtvA pramaTnanti ruzA-AkulAH // KDA_389 //
   -------------------- Vaidya, p. 290 --------------------	------------------- VEdya, p. 290 --------------------
   ātmānam ātmanā hatvā viṣaśastrānalādibhiḥ /	AtmAnam AtmanA hatvA viza-Sastra-anala-AdiBiH /
   vasanti narake ghore te 'pi sarve ruṣānvitāḥ // KDA_390 //	vasanti narake Gore te api sarve ruzA-anvitAH // KDA_390 //
   ye ye duṣṭāśayāḥ krūrāḥ svaparārthābhighātakāḥ /	ye ye duzwa-ASayAH krUrAH sva-para-arTa-aBiGAtakAH /
   patanti narake ghore te 'pi sarve ruṣāśrayāt* // KDA_391 //	patanti narake Gore te api sarve ruzA-ASrayAt* // KDA_391 //
   krodhena bhidyate lokaḥ krodhena paribhāṣyate /	kroDena Bidyate lokaH kroDena pariBAzyate /
   krodhena hiṃsyate jantus tasmāt krodho mahāripuḥ // KDA_392 //	kroDena hiMsyate jantuH tasmAt kroDaH mahA-ripuH // KDA_392 //
   krodhenaiva mahārudraś cic cheda brahmaṇaḥ śiraḥ /	kroDena-eva mahArudraH cit Ceda brahmaNaH SiraH /
   tenaiva pātakenaiva bhrāntacitto 'bhavac chivaḥ // KDA_393 //	tena-eva pAtakena-eva BrAnta-cittaH aBavat SivaH // KDA_393 //
   krodhenaiva tathā rudraḥ surajyeṣṭhātmajasya ca /	kroDena-eva taTA rudraH sura-jyezWa-Atmajasya ca /
   śvaśurasyāpi dakṣasya cchedayāmāsa mastakam* /	SvaSurasya-api dakzasya cCedayAmAsa mastakam* /
   tatpāpakarmaṇā hy eva śivo 'py abhūd digambaraḥ // KDA_394 //	tad-pApa-karmaNA hi eva SivaH api aBUt digambaraH // KDA_394 //
   krodhena dhvaṃsyate dharmaḥ krodhena vilayaṃ gataḥ /	kroDena DvaMsyate DarmaH kroDena vilayam gataH /
   krodhena tyajyate satyaṃ tasmāt krodho mahāripuḥ // KDA_395 //	kroDena tyajyate satyam tasmAt kroDaH mahA-ripuH // KDA_395 //
   yāni mahānti pāpāni mahāduḥkhabhayāni ca /	yAni mahAnti pApAni mahA-duHKa-BayAni ca /
   tāni sarvāṇi duṣṭāni krodhacittodbhavāni ca // KDA_396 //	tAni sarvANi duzwAni kroDa-citta-udBavAni ca // KDA_396 //
   tatkrodhād aparo vairaḥ pātako 'nyo na vidyate /	tad-kroDAt aparaH vEraH pAtakaH anyaH na vidyate /
   tasmāt krodhavināśāya prayatadhvaṃ samāhitāḥ // KDA_397 //	tasmAt kroDa-vinASAya prayataDvam samAhitAH // KDA_397 //
   yena krodho jito vairo jñānavajreṇa sādhunā /	yena kroDaH jitaH vEraH jQAna-vajreNa sADunA /
   tena sarve jitā duṣṭā śatravo duḥkhadāyakāḥ // KDA_398 //	tena sarve jitAH duzwA SatravaH duHKa-dAyakAH // KDA_398 //
   yasya citte dayā nāsti krodhānalavidāhini /	yasya citte dayA na-asti kroDa-anala-vidAhini /
   sa sādhupuruṣaś cāpi naiva viśvasyate janaiḥ // KDA_399 //	sa sADupuruzaH ca-api na-eva viSvasyate janEH // KDA_399 //
   krodhakalaṅkito yo hi sadguṇālaṃkṛto yadi /	kroDa-kalaFkitaH yaH hi sat-guNa-alaMkRtaH yadi /
   sa vidvān api nāsevyo yathā vṛkṣo 'hiveṣṭitaḥ // KDA_400 //	sa vidvAn api na-AsevyaH yaTA vRkzaH ahi-vezwitaH // KDA_400 //
   dānaśīlādisaddharma- vṛttaiś ca yadi bhūṣitaḥ /	dAna-SIla-Adi-sat-Darma vRttEH ca yadi BUzitaH /
   krodhavān na vibhāty eva ahipūrṇo yathā hradaḥ // KDA_401 //	kroDavAn na viBAti eva ahi-pUrNaH yaTA hradaH // KDA_401 //
   sarvavidyākalājño 'pi samṛddhaḥ śilpavān api /	sarva-vidyA-kalA-jQaH api samRdDaH SilpavAn api /
   astramantrādyabhijño 'pi krodhavān naiva sevyatām* // KDA_402 //	astra-mantra-Adi-aBijQaH api kroDavAn na-eva sevyatAm* // KDA_402 //
   krodhavān hasyate lokaiḥ krodhavān vadhyate janaiḥ /	kroDavAn hasyate lokEH kroDavAn vaDyate janEH /
   krodhavān hīyate mitraiḥ krodhavān paribhūyate // KDA_403 //	kroDavAn hIyate mitrEH kroDavAn pariBUyate // KDA_403 //
   krodho dharmaviruddhatvāc caturvargavināśakṛt* /	kroDaH Darma-virudDa-tvAt caturvarga-vinASa-kRt* /
   tasmāt krodhavināśāya prayatadhvaṃ samāhitāḥ // KDA_404 //	tasmAt kroDa-vinASAya prayataDvam samAhitAH // KDA_404 //
   -------------------- Vaidya, p. 291 --------------------	------------------- VEdya, p. 291 --------------------
   krodhena bhidyate cittaṃ bhinnacitto vikīryate /	kroDena Bidyate cittam Binna-cittaH vikIryate /
   vikīrṇaḥ kliśyate māraiḥ kleśito 'dhairyatāṃ vrajet // KDA_405 //	vikIrNaH kliSyate mArEH kleSitaH aDErya-tAm vrajet // KDA_405 //
   adhairyatvād bhaven mūḍho mūḍho duṣṭavaśaṃ vrajet* /	aDErya-tvAt Bavet mUXaH mUXaH duzwa-vaSam vrajet* /
   duṣṭamitropadeśena kupathe carate kudhīḥ // KDA_406 //	duzwa-mitra-upadeSena kupaTe carate kuDIH // KDA_406 //
   asan mārgo samārūḍho viparītaṃ samācaret* /	asat mArgaH samArUXaH viparItam samAcaret* /
   viparītānubodhena bhaved āryāpavādakaḥ // KDA_407 //	viparIta-anuboDena Bavet Arya-apavAdakaH // KDA_407 //
   saddharmādīn pratikṣipya pratimādīn vighātayet* /	sadDarma-AdIn pratikzipya pratimA-AdIn viGAtayet* /
   ityādipātakaṃ kṛtvā pañcānantaryam āpnuyāt* // KDA_408 //	iti-Adi-pAtakam kRtvA paQca-Anantaryam ApnuyAt* // KDA_408 //
   tataś ca narakān yāyād rauravādīn samantataḥ /	tatas ca narakAn yAyAt rOrava-AdIn samantataH /
   narakān narakaṃ gatvā mahāduḥkham avāpnuyāt* // KDA_409 //	narakAt narakam gatvA mahA-duHKam avApnuyAt* // KDA_409 //
   itthaṃ duḥkhānuvedī sa narakeṣu sadā vaset* /	itTam duHKa-anuvedI sa narakezu sadA vaset* /
   narakebhyas tam uddhartuṃ jino 'pi naiva śaknuyāt* // KDA_410 //	narakeByaH tam udDartum jinaH api na-eva SaknuyAt* // KDA_410 //
   yāvanti pāpaduḥkhāni durvṛttiprabhavāni hi /	yAvanti pApa-duHKAni durvRtti-praBavAni hi /
   tāni sarvāṇi jānīdhvaṃ krodhacittodbhavāni hi // KDA_411 //	tAni sarvANi jAnIDvam kroDa-citta-udBavAni hi // KDA_411 //
   sarveṣāṃ pātakānāṃ tat krodhaṃ mūlaṃ jagur jināḥ /	sarvezAm pAtakAnAm tat kroDam mUlam jaguH jinAH /
   dharmāṇāṃ tu kṣamā mūlaṃ yataḥ saukhyaṃ pravartate // KDA_412 //	DarmANAm tu kzamA mUlam yatas sOKyam pravartate // KDA_412 //
   iti krodhaṃ vinirjitya kṣamaiva sādhyatāṃ sadā /	iti kroDam vinirjitya kzamA-eva sADyatAm sadA /
   maitrīcittaṃ samālambya viharadhvaṃ yathāsukhaṃ // KDA_413 //	mEtrI-cittam samAlambya viharaDvam yaTAsuKam // KDA_413 //
   ātmanīva dayā syāc cet svajane vā yathā jane /	Atmani-iva dayA syAt ced sva-jane vA yaTA jane /
   kasya nāma bhavec cittam adharmapraṇayāśivam* // KDA_414 //	kasya nAma Bavet cittam aDarma-praNaya-aSivam* // KDA_414 //
   dayāviyogato lokaḥ paramāmeti vikriyām* /	dayA-viyogataH lokaH paramAma-iti vikriyAm* /
   manovākkāyavispandaiḥ svajane 'pi yathā jane // KDA_415 //	manaH-vAc-kAya-vispandEH sva-jane api yaTA jane // KDA_415 //
   dharmārthī na tyajed asmād dayām iṣṭaphalodayām* /	Darma-arTI na tyajet asmAt dayAm izwa-Pala-udayAm* /
   suvṛṣṭir iva śasyāni guṇān sā hi prasūyate // KDA_416 //	su-vRzwiH iva SasyAni guNAn sA hi prasUyate // KDA_416 //
   dayākrāntaṃ cittaṃ na bhavati paradroharabhasaṃ śucau tasmin vāṇī vrajati	dayA-AkrAntam cittam na Bavati para-droha-raBasam SucO tasmin vANI vrajati
   vikṛtaṃ naiva ca tanuḥ /	vikRtam na-eva ca tanuH /
   vivṛddhā tasyaivaṃ parahitarucir maitryanugatā pradānakṣāntyādīñ janayati	vivRdDA tasya-evam para-hita-ruciH mEtrI-anugatA pradAna-kzAnti-AdIn janayati
   guṇān kīrtyanusṛtān* // KDA_417 //	guNAn kIrti-anusRtAn* // KDA_417 //
   dayālur nodvegaṃ janayati pareṣām upaśamād dayālur viśvāsyo bhavati	dayAluH na-udvegam janayati parezAm upaSamAt dayAluH viSvAsyaH Bavati
   jagatāṃ bāndhava iva /	jagatAm bAnDavaH iva /
   na saṃrambhakṣobhaḥ prabhavati dayādhīr ahṛdaye na kopāgniś citte	na saMramBa-kzoBaH praBavati dayADIH ahRdaye na kopa-agniH citte
   jvalayati hi dayātoyaśiśire // KDA_418 //	jvalayati hi dayA-toya-SiSire // KDA_418 //
   -------------------- Vaidya, p. 292 --------------------	------------------- VEdya, p. 292 --------------------
   saṃkṣepeṇa dayāmataḥ sthiratayā paśyanti dharmaṃ budhāḥ ko nāmāsti guṇaḥ	saMkzepeNa dayAm-atas sTira-tayA paSyanti Darmam buDAH kaH nAma-asti guNaH
   sa sādhudayito yo nānuyāto dayām* /	sa sADu-dayitaH yaH na-anuyAtaH dayAm* /
   tasmāt putra ivātmanīva ca dayāṃ nītvā prakarṣaṃ jane sanmaitryā viharanta	tasmAt putraH iva-Atmani-iva ca dayAm nItvA prakarzam jane sat-mEtryAH viharanta
   eva muditāṃ prodbhāvayadhvaṃ sadā // KDA_419 //	eva muditAm prodBAvayaDvam sadA // KDA_419 //
   dayālor hṛdaye jātā maitrī saddharmasādhanī /	dayAloH hRdaye jAtA mEtrI sadDarma-sADanI /
   tasmād dayāṃ hṛdi sthāpya maitrī loke prasāryatām* // KDA_420 //	tasmAt dayAm hRdi sTApya mEtrI loke prasArya-tAm* // KDA_420 //
   maitrīmān puruṣaḥ sādhur devair api praśasyate /	mEtrI-imAn puruzaH sADuH devEH api praSasyate /
   viśvasyate sadā sadbhir bāndhavaiḥ svajanair janaiḥ // KDA_421 //	viSvasyate sadA sadBiH bAnDavEH sva-janEH janEH // KDA_421 //
   maitrīmān sajjano loke nirguṇo 'pi praśobhate /	mEtrI-imAn sat-janaH loke nirguNaH api praSoBate /
   maitrīmān sanmatir bandhur lokānāṃ jagatām api // KDA_422 //	mEtrI-imAn sat-matiH banDuH lokAnAm jagatAm api // KDA_422 //
   maitrīmāñ jagatām iṣṭo maitrīmāñ jagatāṃ suhṛt* /	mEtrI-imAn jagatAm izwaH mEtrI-imAn jagatAm suhRt* /
   maitrīmāñ jagatāṃ mitro maitrīmāñ jagatāṃ sakhā // KDA_423 //	mEtrI-imAn jagatAm mitraH mEtrI-imAn jagatAm saKA // KDA_423 //
   maitrīmān puruṣaḥ śrīmān yatra yatra pragacchati /	mEtrI-imAn puruzaH SrImAn yatra yatra pragacCati /
   tatra tatraiva sarvatra pūjyate svajanair yathā // KDA_424 //	tatra tatra-eva sarvatra pUjyate sva-janEH yaTA // KDA_424 //
   buddho hi jagatāṃ bandhus trailokyādhipanāyakaḥ /	budDaH hi jagatAm banDuH trElokya-aDipa-nAyakaH /
   so 'pi śāstā vibhāty evaṃ maitryā saṃskārayañ jagat* // KDA_425 //	saH api SAstA viBAti evam mEtryA saMskArayan jagat* // KDA_425 //
   ye ye satvā mahābhijñāḥ sarvalokānukampakāḥ /	ye ye satvAH mahA-aBijQAH sarva-loka-anukampakAH /
   pūjyante satvalokaiś ca te 'pi maitryāḥ prabhāvataḥ // KDA_426 //	pUjyante satva-lokEH ca te api mEtryAH praBAvataH // KDA_426 //
   bodhisatvā mahāsatvā bodhisaṃbhārasādhakāḥ /	boDisatvAH mahAsatvAH boDi-saMBAra-sADakAH /
   sarvasatvahitārthasthās te 'pi maitrīpracāriṇaḥ // KDA_427 //	sarva-satva-hita-arTa-sTAH te api mEtrI-pracAriNaH // KDA_427 //
   yan mātā duḥkhitāpy evam ā garbhād bālakaṃ sutam* /	yat mAtA duHKitA-api evam A garBAt bAlakam sutam* /
   pāti snehopacāreṇa tac ca maitrīprabhāvataḥ // KDA_428 //	pAti sneha-upacAreNa tat ca mEtrI-praBAvataH // KDA_428 //
   yat pitā bālakaṃ putram abhuñjānaḥ svayaṃ sukham* /	yat pitA bAlakam putram aBuQjAnaH svayam suKam* /
   pāti snehopacāreṇa tac ca maitrīprabhāvataḥ // KDA_429 //	pAti sneha-upacAreNa tat ca mEtrI-praBAvataH // KDA_429 //
   yac ca rājā prajāḥ pāti svayaṃ vīravrataṃ dadhat* /	yat ca rAjA prajAH pAti svayam vIra-vratam daDat* /
   durjanān mardayan sarvān tac ca maitrīprabhāvataḥ // KDA_430 //	durjanAn mardayan sarvAn tat ca mEtrI-praBAvataH // KDA_430 //
   yac ca vidvān guruḥ śiṣyān saddharmārthopadarśayan* /	yat ca vidvAn guruH SizyAn sat-Darma-arTa-upadarSayan* /
   prabodhya bālakāñ chāsti tac ca maitrīprabhāvataḥ // KDA_431 //	praboDya bAlakAn CAsti tat ca mEtrI-praBAvataH // KDA_431 //
   yac ca vīrā raṇe sthitvā sahantyarīn prahāriṇaḥ /	yat ca vIrAH raNe sTitvA sahanti-arIn prahAriNaH /
   prarakṣanti svapakṣāṃś ca tac ca maitrīprabhāvataḥ // KDA_432 //	prarakzanti sva-pakzAn ca tat ca mEtrI-praBAvataH // KDA_432 //
   -------------------- Vaidya, p. 293 --------------------	------------------- VEdya, p. 293 --------------------
   sārthavāho 'mbudhiṃ gatvā yatnai ratnāni sādhayan* /	sArTavAhaH ambuDim gatvA yatnEH ratnAni sADayan* /
   satvān pāti dadad dānaṃ tac ca maitrīprabhāvataḥ // KDA_433 //	satvAn pAti dadat dAnam tat ca mEtrI-praBAvataH // KDA_433 //
   yac ca bhāryānuyāty eva mṛtena svāminā saha /	yat ca BAryA-anuyAti eva mRtena svAminA saha /
   anapekṣya svajīve 'pi tac ca maitrīprabhāvataḥ // KDA_434 //	anapekzya svajIve api tat ca mEtrI-praBAvataH // KDA_434 //
   pitṛbhyo mṛtakebhyo 'pi dadāti piṇḍam ādarāt* /	pitRByaH mRtakeByaH api dadAti piNxam AdarAt* /
   anuśocan muhuś cāpi tac ca maitrīprabhāvataḥ // KDA_435 //	anuSocat muhur ca-api tat ca mEtrI-praBAvataH // KDA_435 //
   tiryagyonyudbhavāś cāpi paśavaḥ krūramānasāḥ /	tiryagyoni-udBavAH ca-api paSavaH krUra-mAnasAH /
   svasutān snehataḥ pānti tac ca maitrīprabhāvataḥ // KDA_436 //	sva-sutAn snehataH pAnti tat ca mEtrI-praBAvataH // KDA_436 //
   kṛmyādhikīṭayaś cāpi krūrā gṛdhrādipakṣiṇaḥ /	kRmyA-aDikIwayaH ca-api krUrAH gRDra-Adi-pakziNaH /
   svabandhūn snehataḥ pānti tad dhi maitrīprabhāvataḥ // KDA_437 //	sva-banDUn snehataH pAnti tat Di mEtrI-praBAvataH // KDA_437 //
   caṇḍālā nirghṛṇā raudrāḥ satvahiṃsāratāḥ khalāḥ /	caNxAlAH nirGRNAH rOdrAH satva-hiMsA-ratAH KalAH /
   bāndhavāṃs te 'pi rakṣanti tad dhi maitrīprabhāvataḥ // KDA_438 //	bAnDavAn te api rakzanti tat Di mEtrI-praBAvataH // KDA_438 //
   yad dadanti mahāsatvāḥ svadehe 'py anapekṣitāḥ /	yat dadanti mahAsatvAH sva-dehe api anapekzitAH /
   arthibhyaḥ prārthitaṃ vastu tad dhi maitrīprabhāvataḥ // KDA_439 //	arTiByaH prArTitam vastu tat Di mEtrI-praBAvataH // KDA_439 //
   evam anye 'pi ye lokā bhojayantaḥ parasparam* /	evam anye api ye lokAH BojayantaH parasparam* /
   pālayanti mahāsnehāt tac ca maitrīprabhāvataḥ // KDA_440 //	pAlayanti mahAsnehAt tat ca mEtrI-praBAvataH // KDA_440 //
   maitrī hi jagatāṃ mātā pitā śāstā guruḥ prabhuḥ /	mEtrI hi jagatAm mAtA pitA SAstA guruH praBuH /
   patir mitraḥ suhṛd bandhus tasmān maitrī prasādhyatām+ // KDA_441 //	patiH mitraH suhRd banDuH tasmAt mEtrI prasADya-tAm+ // KDA_441 //
   maitrīṃ vinā na jāyeta karuṇā svātmaje 'pi ca /	mEtrIm vinA na jAyeta karuNA sva-Atmaje api ca /
   na muditā na copekṣā tasmān maitrī pradhīyatām* // KDA_442 //	na muditA na ca-upekzA tasmAt mEtrI praDIyatAm* // KDA_442 //
   etā brahmavihārākhyāḥ saṃbodhipadasādhakāḥ /	etAH brahma-vihAra-AKyAH saMboDi-pada-sADakAH /
   trailokyabhartṛkā nāthāḥ sarvasatvānupālakāḥ // KDA_443 //	trElokya-BartRkAH nATAH sarva-satva-anupAlakAH // KDA_443 //
   etā vinā na śobhanti mahābhijñās tapasvinaḥ /	etAH vinA na SoBanti mahA-aBijQAH tapasvinaH /
   kalpakoṭisahasrāṇi taptvāpi duṣkaraṃ tapaḥ // KDA_444 //	kalpa-kowi-sahasrANi taptvA-api duzkaram tapaH // KDA_444 //
   etā hi paramācāryāḥ saddharmaguṇadāyakāḥ /	etAH hi parama-AcAryAH sat-Darma-guNa-dAyakAH /
   etā vinā na sidhyanti sarvapāramitāratāḥ // KDA_445 //	etAH vinA na siDyanti sarva-pAramitA-ratAH // KDA_445 //
   yāvanti sukhabhogyāni puṇyasiddhāni sarvathā /	yAvanti suKa-BogyAni puNya-sidDAni sarvaTA /
   tāni sarvāṇi jānīta maitrīmūlodbhavāni hi // KDA_446 //	tAni sarvANi jAnIta mEtrI-mUla-udBavAni hi // KDA_446 //
   tasmāt sarvaprayatnena krodhaṃ jitvāṃvarair api /	tasmAt sarva-prayatnena kroDam jitvA-aMvarEH api /
   maitrīṃ citte samādhāya kurudhvaṃ prāṇiṣu kṣamām* // KDA_447 //	mEtrIm citte samADAya kuruDvam prANizu kzamAm* // KDA_447 //
   -------------------- Vaidya, p. 294 --------------------	------------------- VEdya, p. 294 --------------------
   tato dharmaprabhāveṇa yūyaṃ sarve 'numoditāḥ /	tatas Darma-praBAveNa yUyam sarve anumoditAH /
   yāvajjīvaṃ sukhaṃ bhuktvā saukhāvatīṃ gamiṣyatha // KDA_448 //	yAvajjIvam suKam BuktvA sOKAvatIm gamizyaTa // KDA_448 //
   iti śrutvā vacas tasya nāgāś ca garuḍā yateḥ /	iti SrutvA vacaH tasya nAgAH ca garuxAH yateH /
   vairānuśayatāṃ tyaktvā babhūvur maitricāriṇaḥ // KDA_449 //	vEra-anuSaya-tAm tyaktvA baBUvuH mEtri-cAriNaH // KDA_449 //
   iti dṛṣṭvā ca te satvā vismayaharṣasaṃyutāḥ /	iti dRzwvA ca te satvAH vismaya-harza-saMyutAH /
   dharmānumodanaṃ kṛtvā babhūvur maitricāriṇaḥ // KDA_450 //	Darma-anumodanam kRtvA baBUvuH mEtri-cAriNaH // KDA_450 //
   evaṃ subhūtinā tena nāgāś ca garuḍāś ca te /	evam suBUtinA tena nAgAH ca garuxAH ca te /
   maitrīdharmopadeśena vinītā dharmasatpathe // KDA_451 //	mEtrI-Darma-upadeSena vinItAH Darma-sat-paTe // KDA_451 //
   atha śrībhagavān buddhaḥ sarvadarśī vināyakaḥ /	aTa SrI-BagavAn budDaH sarva-darSI vinAyakaH /
   bhikṣūn āmantrayāmāsa saṃvṛticārakān api // KDA_452 //	BikzUn AmantrayAmAsa saMvRti-cArakAn api // KDA_452 //
   paśyadhvaṃ bhikṣavo yūyaṃ subhūtiṃ brahmacāriṇam* /	paSyaDvam BikzavaH yUyam suBUtim brahmacAriNam* /
   yenaite garuḍā nāgā vinītā dharmasatpathe // KDA_453 //	yena-ete garuxAH nAgAH vinItAH Darma-sat-paTe // KDA_453 //
   eṣa me śrāvakāṇāṃ ca bhikṣūṇāṃ brahmacāriṇām* /	eza me SrAvakANAm ca BikzUNAm brahmacAriNAm* /
   subhūtiḥ kulaputro 'yam agro 'raṇāvihāriṇām* // KDA_454 //	suBUtiH kula-putraH ayam agraH araNa-avihAriNAm* // KDA_454 //
   iti tena munīndreṇa subhūtir eva sadyatiḥ /	iti tena muni-indreNa suBUtiH eva sat-yatiH /
