   // tarkatāṇḍavam //	// tarka tANxavam //
   kastaṃ śrotreṇa jānīyāditi kolāhalapraśamanāya samavāyaniṣedhayituḥ	kaH tam SrotreNa jAnIyAt iti kolAhala praSamanAya samavAya nizeDayituH
   pañcamasya / samavāyābhāve nirvikalpaka savikalpakabhedena	paQcamasya / samavAya aBAve nirvikalpaka sa vikalpaka Bedena
   pratyakṣapramādvaividhyamunmūlitaṃ bhavatītyuddhoṣasya sveṣṭatāṃ	pratyakza pramAt vEviDyam unmUlitam Bavati iti udDozasya svezwatAm
   prathamataḥ ṣaṣṭhasya ceti //	praTamatas zazWasya ca iti //
   pratipādanaparipāṭī.	pratipAdana paripAwI.
   viṣayācalanarītimekadeśe pramāṇyavāde dikpradarśanena pradarśayiṣyāmaḥ //	vizaya acala narItim eka deSe pramANyavAde diS pradarSanena pradarSayizyAmaH //
   "svataḥpramāṇaiḥ"itiśloke pramāṇyasya svatastvaṃ prakāntam / pramāṇaśabdaḥ	"svataH pramANEH "iti Sloke pramANyasya svatas tvam prakAntam / pramANa SabdaH
   yadi bhāvasādhanastadā pramāṇyaṃ jñanadharmaḥ / atha karaṇasādhanastarhi	yadi BAva sADanaH tadA pramANyam jQana DarmaH / aTa karaNa sADanaH tarhi
   jñānasādhanadharmaḥ / dvividhepyasmin prāmāṇye jñptau svatastvaṃ, utpattau	jQAna sADana DarmaH / dviviDepi asmin prAmANye jQptO svatas tvaM, utpattO
   svatastvaṃ ceti dvayīritirasti /	svatas tvam ca iti dvayIritiH asti /
   antato jñanagatasya jñaptau svatastvaṃ utpattau svatastvaṃ karaṇagatasya	antataH jQana gatasya jQaptO svatas tvam utpattO svatas tvam karaNa gatasya
   jñaptau svatastvaṃ, utpattau svatastvaṃ ceti cīturvidhyamāgatam / kramaśa	jQaptO svatas tvan, utpattO svatas tvam ca iti cItuH viDyam Agatam / kramaSa
   eṣāṃ nirūmaṇamāracyate //	ezAm nirUmaNam Aracyate //
   tacca    	tat ca    
   kiṃ tatsvatastvaṃ nāma ?	kim tat svatastvam nAma ?
   prakārāntare kānupapattiḥ ?	prakAra antare kA anupapattiH ?
   kiṃ pramāṇam ?	kim pramANam ?
   anupapattīnāṃ kathaṃ parihāraḥ ?	anupapattInAm kaTam parihAraH ?
   paratastvaṃ kuto na ?	paratas tvam kutas na ?
   iti śaṅkottarābhyāṃ suruciraṃ bhaviṣyatīti tathaivānudhāvati	iti SaFkA uttarAByAm su ruciram Bavizyati iti taTA eva anuDAvati
   vicāraṇāpravāhaḥ //	vicAraNa apravAhaH //
   sarvatrāpi svatastvaṃ nāma sahajatvaṃ, autsargikatvaṃ vā, na	sarvatra api svatas tvam nAma sahaja tvan, Otsargika tvam vA, na
   tvitarāpekṣaṇenāhitatvamitisāram / ata eva dvādaśatame puṭe"sahajatvāt	tu itara apekzaNena ahita tvam itisAram / atas eva dvAdaSatame puwe" sahaja tvAt
   pramāṇyagrahaṇasyautsargikatvarūpasvatastvāsiddhi"riti, 203	pramANi agrahaNasya Otsargika tva rUpasvataH tu AsidDi"riti, 203
   tamapuṭe,"pramājanakaśaktiḥ sahajā natu bhramajananaśaktivadādheye"ti	tamapuwe,"pramAjanaka SaktiH sahajAH na tu Brama janana Sakti vat ADeye"ti
   cāsti //	ca asti //
   1. jñānapramāṇyasya jñaptau svatastvam    	1. jQAna pramANyasya jQaptO svatas tvam    
   etacca tridhā niravak /"yāthārthyarūpasya tattajjñānapramāṇyasya	etat ca triDA niravak /"yATArTya rUpasya tad tad jQAna pramANyasya
   grāhyapramāṇyavirodhyupasthāpakasāmagryasamavahitagrāhyaprāmāṇyāśrayatattajjñānaviṣayakasākṣijñānaviṣayatvanaiyatyam"ityekam	grAhya pramANi aviroDi upasTApaka sAmagrya sama vahita grAhya prAmANya ASraya tat tad jQAna vizaya ka sa akzi jQAna vizaya tva nEyatyam"iti ekam
   /"tattajjñānapramāṇyasya	/"tad tad jQAna pramANyasya
   grāhyaprāmāṇyāśrayatattajjñānaviṣayakasākṣijñānaviṣayatvayogyatvam"ityaparam	grAhya prAmANya ASraya tat tad jQAna vizaya ka sa akzi jQAna vizaya tva yogya tvam "iti aparam
   naiyāyikā yadākāraṃ jñānamanuvyavasāyaṃ manyante tadevātra sākṣiśabditam /	nEyAyikAH yat AkAram jQAnam anuvyavasAyam manyante tat eva atra sAkzi Sabditam /
   sa sākṣī yadi jñānaṃ gṛhṇīyāt tarhi tatprāmāṇyamapi gṛhṇātyeva / yathā	sa sAkzI yadi jQAnam gRhNIyAt tarhi tat prAmANyam api gRhNAti eva / yaTA
   svayaṃ ganturgajasya kaṇṭakāpasaraṇaṃ prayojakameva na tu karaṇaṃ tathā	svayam gantuH gajasya kaNwaka apasaraNam prayojakam eva na tu karaNam taTA
   prāmāṇyavirodhyupasthāpakanivāraṇamapi / iti prathamaniruktyā	prAmANya viroDi upasTApaka nivAraNam api / iti praTama niruktyA
   paryavasitorthaḥ / dvitīyayā tu agnerdāhakaśaktivat sākṣiṇī	paryavasita UrTaH / dvitIyayA tu agneH dAhaka Sakti vat sAkziNI
   prāmāṇyagrahaṇaśaktirasti / agneḥ pratibandhakādadāhakatvavat asyāpi	prAmANya grahaNa SaktiH asti / agneH pratibanDakAt a dAhaka tva vat asya api
   prāmāṇyāviṣayatā / tathāpi karatalādau dāhyatavat prāmāṇyepi sākṣigrāhyatā	prAmANya avizaya tA / taTA api kara tala AdO dAhyatavat prAmANya ipi sa akzi grAhyatA
   / iti sākṣiviṣayatāyogyatvaṃ svatastvamiti phalitam / tṛtīyā niruktistu na	/ iti sAkzi vizayatA yogya tvam svatas tvam iti Palitam / tRtIyA niruktiH tu na
   svamatāsādharaṇetyāstām //	sva matAsA DaraNa iti AstAm //
   2. prakārāntare anupapattiḥ    	2. prakAra antare anupapattiH    
   "tadaprāmāṇyagrāhakayāvajjñānagrāhakasāmagrīgrāhyatvaṃ svatastvam /	"tad a prAmANya grAhaka yAvat jQAna grAhaka sAmagrI grAhya tvam svatas tvam /
   tadabhāvaśca paratastvam / iti maṇau pūrvapakṣe mīmāṃsakānāṃ svatastvaṃ	tad aBAvaH ca paratas tvam / iti maNO pUrva pakze mImAMsakAnAm svatas tvam
   niruktam / tasyātrāntato dūṣaṇamidabhihitamasti /"tat"iti śabdena	niruktam / tasya atra antatas dUzaNam idaBihitam asti /"tat"iti Sabdena
   prakaraṇaprāptaghaṭajñānaṃ yatra jāyate tatra tatprāmāṇyaṃ	prakaraNa prApta Gawa jQAnam yatra jAyate tatra tad prAmANyam
   na bhāsate, jñānaṃ paraṃ pratīyata iti bādha iti //	na BAsate, jQAnam param pratIyate iti bADaH iti //
   tajjñānaviṣayakajñānājanyajanyajñānaviṣayatvamiti pariṣkāropi	tad jQAna vizayaka jQAna ajanya janya jQAna vizaya tvam iti parizkAra upi
   kenāpyajanyeśvarajñānena sveṣṭasyānuvyavasāyasyāpi	kena api ajanyeSvara jQAnena sva izwasya anuvyavasAyasya api
   janyatvānupapannārthakaḥ//	janya tva anupapanna arTakaH//
   ataḥ tajjñānaviṣayaka janyajñānetyādyuktau, ubhayajña janyapadatyāgena	atas tad jQAna vizayaka janya jQAna ityAdi uktO, uBayajQa janya pada tyAgena
   ajanyatvasya svānukūlatayā nirvacane vā bādhādidoṣa evoktaḥ / sarvaṃ	ajanya tvasya sva anukUla tayA nirvacane vA bADa Adi dozaH eva uktaH / sarvam
   jñānaṃ guṇa iti vākye prayukte tādṛśameva śabdajñānaṃ jāyate /	jQAnam guNaH iti vAkye prayukte tAdRSam eva Sabda jQAnam jAyate /
   tadanuvyavasāyena tatprāmāṇyamavagāhyata iti sthitiḥ / ayamanuvyavasāyaḥ	tad anu vyavasAyena tat prAmANyam avagAhyate iti sTitiH / ayam anuvyavasAyaH
   atra yadviśeṣaṇamuktaṃ tādṛśo na bhavatīti sāram //	atra yat viSezaNam uktam tAdRSaH na Bavati iti sAram //
   3. svatastve pramāṇam    	3. svatas tve pramANam    
   "jñānapramāṇyaṃ svato grāhyaṃ parato 'gṛhyamāṇatve sati gṛhyamāṇatvāt	"jQAna pramANyam svatas grAhyam paratas agRhyamANa tve sati gRhyamANa tvAt 
   yadyadanyenāgṛhyamāṇatve sati grāhyaṃ tattena grāhyaṃ yathā	yat yat anyena AgRhyamANa tve sati grAhyam tat tena grAhyam yaTA
   cakṣuranyenāgṛhyamāṇaṃ rūpaṃ cakṣurgrāhyam"ityādi	cakzuH anyena AgRhyamANam rUpam cakzuH grAhyam "ityAdi
   prathamasvatastvaniruktyanurodhena;"vimato 'nuvyavasāyaḥ	praTama svatas tu anirukti anuroDena ;"vimataH anuvyavasAyaH
   svagrāhyajñānaprāmāṇyaviṣayakiraṇayogyaḥ anuvyavasāyatvāt	sva grAhya jQAna prAmANya vizaya kiraNa yogyaH anuvyavasAya tvAt 
   gṛhītapramāṇyasamānaviṣayakajñānāntarānuvyavasāyavat"ityādi	gRhIta pramANi asamAna vizaya ka jQAna antara anuvyavasAyavat" ityAdi
   dvitīyānurodhena coktam //	dvitIya anuroDena ca uktam //
   kevasatarkasaraṇyā pratipādikānāṃ viṣayāṇāṃ lalitavacanānuvādo na sukaraḥ	kevasa tarka saraNyA pratipAdikAnAm vizayANAm lalita vacana anuvAdaH na sukaraH
   sūpayukteśceti tāṃstathaiva parityajāmaḥ //	sUpa yukteH ca iti tAn= taTA eva parityajAmaH //
   4. prāmāṇyasvatastve anupapattiparihāraḥ     	4. prAmANyasvataH tve anupapatti parihAraH     
   idaṃ rajataṃ jānīmetyeko 'nuvyavasāyaḥ / etadanantaraṃ rajataṃ jñāne	idam rajatam jAnIma iti ekaH anuvyavasAyaH / etad anantaram rajatam jQAne
   prakāro vā na veti na saṃdehaḥ / ataḥ rajatatvaprakārakatvaṃ na	prakAraH vA na vA iti na saMdehaH / atas rajata tva prakAraka tvam na
   bahirarthaḥ / anuvyavasāyasya viṣayaścaitat / rajatatvaviśiṣṭaṃ na vā	bahis arTaH / anuvyavasAyasya vizayaH ca etat / rajata tva viSizwam na vA
   saṃdeha udeti / ato rajatatvavaiśiṣṭyaṃ bahirarthaḥ / nānuvyavasāyaviṣayaḥ	saMdehaH udeti / atas rajata tva vESizwyam bahis arTaH / na anuvyavasAya vizayaH
   / rajatatvavaiśiṣṭyādikaṃ pramāṇye praviṣṭamāste / ataḥ kathaṃ	/ rajata tva vESizwyAdikam pramANye pravizwam Aste / atas kaTam
   pramāṇyasvatastvasādhakānumānaiḥ pramāṇyamanuvyavasāyaviṣaya iti sādhanam?	pramANi asvataH tu asADaka anumAnEH pramANyam anu vyavasAya vizayaH iti sADanam?
   evaṃ bādhāditi śaṅkāyām; vyavasāye rajatatvavaiśiṣṭyagrāhyahitvaṃ kena	evam bADAt iti SaFkAyAm; vyavasAye rajata tva vESizwya grAhya hi tvam kena
   pramāṇena siddhyati anuvyavasāyeneti brūyāt / yadyanuvyavasāyaḥ	pramANena sidDyati anu vyavasAyena iti brUyAt / yadi anuvyavasAyaH
   tadaviṣayaḥ tasya siddhireva ? na syāditi diśā parihāraḥ //	tad avizayaH tasya sidDiH eva ? na syAt iti diSA parihAraH //
   5. jñāne jāte prathamataḥ pramāṇaṃ na veti saṃśayo bhavati / sa nodiyāt /	5. jQAne jAte praTamatas pramANam na vA iti saMSayaH Bavati / sa na udiyAt /
   jñānagrahaṇavelāyāmeva pramāṇyasthāparityāgāt / ityanyānupapattiḥ /	jQAna grahaNa velAyAm eva pramANyasTA parityAgAt / iti anya anupapattiH /
   pratibandhakābhāva eva prāmāṇyagrahaṇaniyama uktaḥ / na tu	pratibanDaka aBAvaH eva prAmANya grahaNa niyamaH uktaH / na tu
   pratibandhakasatve / pramāṇyasaṃśayasthale virodhī vartata iti na	pratibanDaka satve / pramANi asaMSaya sTale viroDI vartate iti na
   pramāṇyaṃ viṣayo bhavati, ataḥ saṃśayaḥ ityādidiśā parahāraḥ //	pramANyam vizayaH Bavati, atas saMSayaH iti Adi diSA para hAraH //
   6. prāmāṇyasvatastve ye hetava uktāste santu, sādhyāmābhūvan	6. prAmANyasvataH tve ye hetavaH uktAH te santu, sADyAma aBUvan
   ityaprayojakaśaṅkāyā itthaṃ parihāraḥ // mahati kārye yāgādau niṣkampaṃ	iti aprayojaka SaFkAyAH itTam parihAraH // mahati kArye yAga AdO nizkampam
   pravartituṃ vedādau prāmāṇyamavaśyavedyam / tathācaikasmin	pravartitum veda AdO prAmANyam avaSya vedyam / taTA ca ekasmin
   prāmāṇyamitareṇa, tatrānyena, tatrāpareṇetyanavasthā syāditi paratastvaṃ	prAmANyam itareNa, tatra anyena, tatra apareNa iti anavasTA syAt iti paratas tvam
   pramāṇyasya parityajya svatastvamevābhyupeyamiti //	pramANyasya parityajya svatas tvam eva aByupeyam iti //
   paratastvaṃ kuto na ?	paratas tvam kutas na ?
   7. pramāṇyaparatastve aprāmāṇyaśaṅkāparihāraṇāya	7. pramANi aparataH tve aprAmANya SaFkA parihAraNAya
   pramāṇyaniścayāvaśyakatayā uktarītyānavasthā eko doṣaḥ //	pramANi aniScaya AvaSyaka tayA ukta rItyA anavasTA ekaH dozaH //
   8. prāmāṇyamanumeyaṃ cet kathaṃ prathamataḥ prāmāṇyajñānaṃ,	8. prAmANyam anumeyam ced kaTam praTamatas prAmANya jQAnaM,
   sādhyāprasiddherityaparo doṣaḥ //	sADya aprasidDeH iti aparaH dozaH //
   "svāśrayaviṣayakaniścayāvadhikatṛtīyakṣaṇavṛttisamānādhikaraṇyasaṃśayaviṣayī 	"sva ASraya vizayaka niScayO= aDika tRtI yakzaNa vRtti samAna aDikaraNya saMSaya vizayI 
   bhataṃ jñānapramāṇyaṃ, grāhyajñānaprakāraprakāratayā tadvadviśeṣyatakatayā	Batam jQAna pramANyaM, grAhya jQAna prakAra prakAra tayA tadvat viSezyataka tayA
   ca svāśrayagrāhakatayāvajjñānāgrāhyaṃ,	ca sva ASraya grAhaka tayA avat jQAna AgrAhyaM,
   svāśrayaviṣayāvadhikatṛtīyakṣaṇavṛttisamānādhikaraṇasaṃśayakoṭitvāt,	sva ASraya vizayO= aDika tRtI yakzaNa vRtti samAna aDikaraNa saMSaya kowi tvAt,
   aprāmāṇyavat"	aprAmANyavat"
   ityasya aprāmāṇyaṃ svato na gṛhyate / jñanānantaraṃ tṛtīyakṣaṇe	iti asya aprAmANyam svatas na gRhyate / jQana anantaram tRtI yakzaNe
   aprāmāṇyasaṃśayodayāt / tathā pramānantaraṃ tṛtīyakṣaṇe	aprAmANya saMSaya udayAt / taTA pramA anantaram tRtI yakzaNe
   kkactprāmāṇyasaṃśayodayātprāmāṇyamapi na svataḥ iti sāram / ityaparaḥ	kkact prAmANya saMSaya udayAt prAmANyam api na svatas iti sAram / iti aparaH
   pratyudgamaḥ / tasyetthaṃ parāvartanam / atra	pratyudgamaH / tasya itTam parAvartanam / atra
   sādhye svāśrayagrāhakayāvajjñānapadaṃ sveṣṭāmanumitimapi saṅgṛhṇātīti	sADye sva ASraya grAhaka yAvat jQAna padam svezwAm anumitim api saFgRhNAti iti
   tadagrāhyatvasādhanamapasiddhāntadoṣakabalitam /	tad agrAhya tva sADanam apasidDAnta dozaka balitam /
   bādho vyāghātaśceti / rītyānavainayaivānumānāntarāṇyapi duṣṭanīti	bADaH vyAGAtaH ca iti / rItyAna vEnaya eva anumAna antarANi api duzwani iti
   jñānapramāṇyasya jñaptau paratastvaśaṅkā na susthirā //	jQAna pramANyasya jQaptO paratas tu aSaFkA na susTirAH //
   utpattau jñānapramāṇyasvatastvam.	utpattO jQAna pramANi asvataH tvam.
   asmin svatastvanirvacane na tādṛśaḥ prayāsaḥ / pūrvapakṣānumānenaiva	asmin svatas tu anirvacane na tAdRSaH prayAsaH / pUrva pakza anumAnena eva
   sādhyaviparītasya tasya sukhāvabodho bhaviṣyatītyatra tadanirucya 154	sADya viparItasya tasya suKa avaboDaH Bavizyati iti atra tat anirucya 154
   tamapuṭe aṣṭamapaṅktau"jñānajanakamātrādhīnajanmatvaṃ svatastva"mityuktam	tamapuwe azwama paFktO" jQAna janaka mAtra aDIna janma tvam svatas tva"m iti uktam
   pūrvasmin svatastvanirūpaṇe anukūlānyuktvā pratikūlānāṃ	pUrvasmin svatastu anirUpaNe anukUlAni uktvA pratikUlAnAm
   pariharaṇamityanuloma ādṛtaḥ / idīnīṃ pratikūlāni parihṛtyānukūlānāṃ	pariharaNam iti anulomaH AdRtaH / idInIm pratikUlAni parihRtya anukUlAnAm
   nirūpaṇamiti pratiloma ādriyate //	nirUpaNam iti pratilomaH Adriyate //
   tathācādau paratastvanirāsaḥ.	taTA ca AdO paratas tu anirAsaH.
   10. anityapramā jñānahetvatiriktahetujanyā kāryatve sati tadviśeṣatvāt	10. anitya pramA jQAna hetu atirikta hetu janyA kAryatve sati tad viSeza tvAt
   aprāmāṇyavat / ityādīnyanumānāni paratastvasādhakāni vartante / yathā	aprAmANya vat / ityAdIni anumAnAni paratas tu asADakAni vartante / yaTA
   apramā kāryaṃ jñānaviśeṣopīti sā jñānasāmānyakāraṇātiriktadoṣajanyā	apramA kAryam jQAna viSeza upIti sA jQAna sAmAnya kAraNa atirikta doza janyA
   tadvadanityapramāpi guṇādijanyeti tadarthaḥ / iti śaṅkā //	tadvat anitya pramA api guNa Adi janyA iti tad arTaH / iti SaFkA //
   pramā jñānaṃ hi / tasyāṃ heturjñānaheturiti nirvivādam / evamapi	pramA jQAnam hi / tasyAm hetuH jQAna hetuH iti nirvivAdam / evam api
   tadatiriktahetujanyatvaṃ yadi sādhyate tarhi bhavadanumāneṣu virodho	tad atirikta hetu janya tvam yadi sADyate tarhi Bavat anumAnezu viroDaH 
   bādhaśca / pramāyāḥ kāryatāṃ nirvahan kaścanaguṇopi nāsti /	bADaH ca / pramAyAH kArya tAm nirvahan kaScana guNa upi na asti /
   evamevetarāṇyanumanānyapītīdaṃ dakpradarśanamātram / iti parihāraḥ //	evam eva itarANi anumanAni api iti idam dakpradarSana mAtram / iti parihAraH //
   11. yadyapi pramāmātre guṇaḥ sāmānyo mā bhūt / anityapramāmātre	11. yadi api pramA mAtre guNaH sAmAnyaH mA BUt / anitya pramA mAtre
   avidyamānāsaṃsargrahādikaṃ guṇaḥ / iti cāru darśayate // tathāpi	avidyamAnA saMsargraha Adikam guNaH / iti cAru darSayate // taTA api
   kevalāsaṃsargāgrahasya bhramepi sulabhatayā avidyamānaviśeṣaṇena	kevala asaMsarga Agrahasya Bramepi sulaBa tayA avidyamAna viSezaNena
   viṣayasatvamevābhipreti brūyāt / viṣayasatvaṃ tu jñanasādhāraṇakāraṇam /	vizaya satvam eva aBipreti brUyAt / vizaya satvam tu jQanasa ADAraNa kAraNam /
   ataḥ na tatsvatastvavirodhi //	atas na tat svataH tu aviroDi //
   12. māstveko 'nugato guṇa anityapramāsu / ananugatairanekaireva	12. mA astu ekaH anugataH guNa anitya pramAsu / ananugatEH anekEH eva
   pramotpadyatām /"anityapramātvaṃ	pramA utpadyatAm /"a nitya pramAtvam
   svāśrayamātravṛttidharmāvacchinnakāryatāśrayamātravṛtti	sva ASraya mAtra vRtti Darma avacCinna kArya tA ASraya mAtra vRtti
   svāśrayamātravṛttidharmāvacchinnakāryatāpratiyogikakāraṇatvāśrayamātrānutpādyakāryamātravṛtt	sva ASraya mAtra vRtti Darma avacCinna kArya tA pratiyogika kAraNa tva ASraya mAtra anutpAdya kArya mAtra vRtt
   idharmatvāt apramātvavadityanumānaṃ tatra balamasti / apramātvaṃ	iDarma tvAt apramAtva vat iti anumAnam tatra balam asti / apramA tvam
   anityajñānasāmānyakāraṇāpekṣayā adhikaṃ kāraṇamapekṣate yatkāryaṃ	anitya jQAna sAmAnya kAraNa apekzayA aDikam kAraNam apekzate yat kAryam
   tanmātrasthitikam / atastat ; svāśrayajanyabhramavṛttayaḥ yeye dharmāḥ	tanmAtra sTitikam / atas tat ; sva ASraya janya Brama vRttayaH yeye DarmAH
   janyapratyakṣabhramatvādayaḥ tattadavacchinnakāryatāśrayāḥ	janya pratyakza Brama tva AdayaH tad tad avacCinna kArya tA ASrayAH
   janyapratyakṣabhramādayaḥ / tanmātre vartate / evaṃ ca    anityabhrama iti	janya pratyakza Brama AdayaH / tanmAtre vartate / evam ca   anitya BramaH iti
   naikajātīyaṃ kāryam / apitu pratyakṣānumityādibhedena nānā / tadanurodhena	na eka jAtIyam kAryam / apitu pratyakza anumiti Adi Bedena nAnA / tad anuroDena
   kāraṇānyapyanekānyeveti phalitam / tathaivānityapramā api nānā kāryāṇi /	kAraNAni api anekAni eva iti Palitam / taTA eva anitya pramA api nAnA kAryANi /
   tattkāraṇānyapi nānaiva / tattadanurūpā guṇāstatratatra kāraṇānīti	tatd kAraNAni api nAnA eva / tad tad anurUpAH guNAH tatra tatra kAraNAni iti
   paryavasitam //	paryavasitam //
   iyaṃ yajñapatyuktapañcamātrapadānumānataḥ śaṅkā / asyā itthaṃ pariharaḥ //	iyam yajQapati ukta paQca mAtra pada anumAnataH SaFkA / asyAH itTam pariharaH //
   santu nāmānityapramākāraṇāni nānā / na tāni guṇāḥ / apitu	santu nAma anitya pramA kAraNAni nAnA / na tAni guNAH / apitu
   asmadanumatāstattatpramāprāgabhāvā eva/ tathāpyuktānumāne	asmad anumatAH tad tad pramA prAgaBAvAH eva/ taTA api ukta anumAne
   sādhyahetusaṃgateḥ / ataḥ siddhasādhanaṃ doṣaḥ / iti //	sADya hetu saMgateH / atas sidDa sADanam dozaH / iti //
   13. anityapratyakṣapramātvaṃ kāryatāvacchegakam bādhakaṃ vinā	13. anitya pratyakza pramAtvam kArya tAvat Segakam bADakam vinA
   kāryamātravṛttitvāt ghaṭatvavat / ghaṭatvaṃ kāryamātre vartate / atastat	kArya mAtra vRtti tvAt Gawa tva vat / Gawa tvam kArya mAtre vartate / atas tat
   kāryatāvacchedakam / evamānityapratyakṣapramātvamapi syāt /	kArya tA avacCedakam / evam Anitya pratyakza pramAtvam api syAt /
   anityānumitipramātve śābdapramātve cāyameva kramaḥ / ityaparā śaṅkā //	anitya anumiti pramAtve SAbda pramAtve ca ayam eva kramaH / iti aparA SaFkA //
   pratyakṣapramāmātre indriyasaṃnikarṣor'thaśca na hetū / yadā śuktiṃ dṛṣṭvā	pratyakza pramA mAtre indriya saMnikarzoH aTaH ca na hetU / yadA Suktim dRzwvA
   rajatamiti bhramyati tadā sannikarṣasya śuktirūpārthasya ca tatra satvena	rajatam iti Bramyati tadA sannikarzasya Sukti rUpa arTasya ca tatra satvena
   śuktiriyāmiti pramodayāpatteḥ/ doṣaḥ śuktiṃ na bhāsayatīti yadi, tarhi	SuktiH iyAm iti pramodayA ApatteH/ dozaH Suktim na BAsayati iti yadi, tarhi
   doṣābhāva eva pramāyāmupayogī bhavatu / aparaṃ kāraṇaṃ māstu / ityuttaram	doza aBAvaH eva pramAyAm upayogI Bavatu / aparam kAraNam mA astu / iti uttaram
   14. anityapramātvaṃ, anityajñānatvaprayojakaṃ yāvat	14. anitya pramAtvan, anitya jQAna tva prayojakam yAvat 
   tadadhikaprayojakāpekṣaṃ adhikaprayojakasatve utpatteḥ adhikaprayokāsatve	tad aDika prayojaka apekzam aDika prayojaka satve utpatteH aDika prayoka asa tve
   anutpatteḥ apramātvavat / ityanumānena sthūlāvayavato vastunaḥ	anutpatteH apramAtva vat / iti anumAnena sTUla avayavataH vastunaH
   pratyakṣapramāyāṃ bhūyo 'vayavendrisannikarṣaḥ kāraṇam /	pratyakza pramAyAm BUyas avayava indri sannikarzaH kAraNam /
   saṃśayaviparyayottarasmin tasmin viśeṣapramā kāraṇam / niyamena	saMSaya viparyaya uttarasmin tasmin viSeza pramA kAraNam / niyamena
   pramārūpāyāmanumitau liṅgaparāmarśaḥ kāraṇam / tādṛśāyāṃ śābdapratītau	pramArUpAyAm anumitO liFga parAmarSaH kAraNam / tAdRSAyAm SAbda pratItO
   vākyārthajñānaṃ kāsaṇam"iti phalati iti pūrvapakṣe //	vAkya arTa jQAnam kAsaNam "iti Palati iti pUrva pakze //
   kāmilārogiṇaḥ śaṅke śaṅkatvaśuklatvajñānaṃ bhūyo	kAmilA rogiNaH SaFke SaFkatva Sukla tva jQAnam BUyo
   'vayavendriyasannikarṣaśca vartate / tathāpi śaṅkaṃ pītaṃ bhrāmyati / na	avayava indriya sannikarzaH ca vartate / taTA api SaFkam pItam BrAmyati / na
   tu śuklaṃ praminoti / ataḥ kāraṇamasti kāryaṃ naivetyanvayavyabhacāro	tu Suklam praminoti / atas kAraNam asti kAryam na eva iti anvaya vyaBacAraH 
