   udayananirākaraṇam	udayana-nirAkaraNam
   tattadākaraṇavat yathāntyāyāṃ daśāyāṃ prākpṛthagavasthāyāmapi	tad-tad-AkaraNa-vat yaTA-antyAyAm daSAyAm prAc-pRTak-avasTAyAm-api
   bījamajātajaratvamanu(2) matam | evamekapratyavamarśamasṛṇamanīṣayā	bIjam-ajAta-jara-tvam-anu(2) matam | evam-eka-pratyavamarSa-masRNa-manIzayA
   manīṣijanena | na ca nicīyamānamāmnātamapi kadācanāpi kevalaṃ karaṇena	manIzi-janena | na ca nicIyamAnam-AmnAtam-api kadAcana-api kevalam karaNena
   duścalakukṣinikṣepādidaśāyāṃ (3) diśopi daśāśeṣā paryaṭatā prāṇivādena	duScala-kukzi-nikzepa-Adi-daSAyAm (3) diSopi daSa-aSezA paryawatA prANi-vAdena
   pratyekasyāsya janakatvamavadhāritam | ato na paritoṣaḥ sākalyasya	pratyekasya-asya janaka-tvam-avaDAritam | atas na paritozaH sAkalyasya
   svasvabodhena samādhānena ca budhaparārthyasya pratyekami(4) tyaṅgīkaraṇe	sva-sva-boDena samADAnena ca buDa-parArTyasya pratyekami(4) tyaFgIkaraNe
   svābhāvasvābhāvyamabhāvapratiyogitvaṃ tadaiveti sahitaṃ tatraiveti sahitaṃ	svABAva-svABAvyam-aBAva-pratiyogi-tvam tadA-eva-iti sahitam tatra-eva-iti sahitam
   ubhayasahitaṃ tathaiveti sahitamāsaktamiti svakāṇḍa (5)	uBaya-sahitam taTA-eva-iti sahitam-Asaktam-iti sva-kANxaH (5)
   daṇḍakhaṇḍitāḍambaraṃ svavacanasamvaraṇamapi palāyanaparāgaṇamāpātitamiti	daNxa-KaNxita-Axambaram sva-vacana-samvaraNam-api palAyana-parA-gaNam-ApAtitam-iti
   vipadeṣā samūladhātacyuti kathaṃ pratikartavyeti |	vipad-ezA sa-mUla-DAta-cyuti kaTam pratikartavyA-iti |
   dūrataralalocanapracala(6) jaladasrāsrudhārāsahasreṇā pi na	dUra-tarala-locana-pracala(6) jalada-sra-asru-DArA-sahasreNA pi na
   trāṇamāmaraṇāntamārtakātaratvaravādino varākasyeti sānukrośamapi	trANam-AmaraNa-antam-Artaka-atara-tvaravAdinaH varAkasya-iti sa-anukroSam-api
   svāntasantarayati na vādavidhau vācā(7)	svAnta-santarayati na vAda-viDO vAcA(7)
   lagalitāmityalamalīkakāvyakalpanājalpairanalpairnyāyābhiniveśī bhava	lagalitAm-iti-alam-alIka-kAvya-kalpanA-jalpEH-analpEH-nyAya-aBiniveSI Bava
   bhavyopi nyāyanītau | ḥ(1) tathāhi kastavāyaṃ nyāyaḥ atha etāvatāpi	Bavyopi nyAyanItO | H(1) taTA-hi kaH-tava-ayam nyAyaH aTa etAvatA-api
   bhāvasya kaḥ svabhāvaḥ samarthito bhavati | nahi pakṣavipakṣābhyāmanyaḥ	BAvasya kaH svaBAvaH samarTitaH Bavati | na-hi pakza-vipakzAByAm-anyaH
   prakāro 'stīti cet na dūṣaṇābhidhānasamaye niścayābhāvenaiva	prakAraH asti-iti ced na dUzaNa-aBiDAna-samaye niScaya-aBAvena-eva
   sandigdhāsiddhinirvāhe kathāpūrvarūpaparya (8) vasānādityanena | ḥ	sandigDA-sidDi-nirvAhe kaTA-pUrvarUpa-paryaH (8) vasAnAt-iti-anena | H
   prasaṅgasādhanaṃ parāmyupagamena vā saṃbhāvyamānatayā vā	prasaFga-sADanam parAmi-upagamena vA saMBAvyamAna-tayA vA
   prakārāntarābhāvāt prastūyate | tatra sandigdhāsiddhatvamuktvā dūṣaṇameva	prakAra-antara-aBAvAt prastUyate | tatra sandigDa-asidDa-tvam-uktvA dUzaNam-eva
   mayaiva nābhyupagatamiti cet taccintyatāṃ kartṛtvamanumanyase tāvad tacca	mayA-eva na-aByupagatam-iti ced tat-cintyatAm kartR-tvam-anumanyase tAvat tat-ca
   yāvat pūrvasthitameva pratyabhijñāśritya ityāśrayobījātmakaṃ	yAvat pUrva-sTitam-eva pratyaBijQA-SrityaH iti-ASrayaH-bIja-Atmakam
   yatkāryamavyapekṣakamanvayavyatirekāsāmarthyāvasthita(2) tathābhāvaṃ	yat-kAryam-avyapekzakam-anvaya-vyatireka-asAmarTya-avasTita-(2) taTA-aBAvam
   tāvadatyantāyogavyavacchedanakartṛtvarupaṃ paryavasitamabhaṅgameva	tAvat-atyanta-ayoga-vyavacCedana-kartR-tvarupam paryavasitam-aBaFgam-eva
   prasaṅgasya kathaṃ saṃdigdhāsiddhadoṣeṇa śoṣayituṃ śakyam |	prasaFgasya kaTam saMdigDa-asidDa-dozeNa Sozayitum Sakyam |
   ākṣepakāritvamapi tatrādhiṣṭhitā (3) ta bhāgādidantayādhiṣṭhitaṃ bhāgaṃ	Akzepa-kAri-tvam-api tatra-aDizWitA (3) te BAga-Adi-dantayA-aDizWitam BAgam
   sākalyagarbbhāvirbhūtaṃ bhāvayitvā sambhāvitaṃ tato 'dhiṣṭhitaṃ bhāge	sAkalya-garbBAviH-BUtam BAvayitvA samBAvitam tatas aDizWitam BAge
   'vinirbhāgabhāvinaṃ bhāvato bhāṣyate tadeva bījaṃ pūrvamapyāsīditi (4)	avinirBAga-BAvinam BAvataH BAzyate tat-eva bIjam pUrvam-api-AsIt-iti (4)
   tadākṣepakāritvakṣaṇajananajanitasamarthavyavahārayogyatvaṃ	tad-Akzepa-kAritva-kzaNa-janana-janita-samarTa-vyavahAra-yogya-tvam
   prasaṅgasādhanaṃ kathaṃ saṃdigdhāsiddhyā vidhūnanīyaṃ iti na	prasaFga-sADanam kaTam saMdigDa-asidDyA viDUnanIyam iti na
   prativādisamāśritottarapakṣapratānakathāpū (5) rvvabhāgaḥ	prativAdi-samASrita-uttara-pakza-pratAna-kaTA-apU (5) rvva-BAgaH
   svarūpabhaṅgamanaṅgīkṛtyāstīti	sva-rUpa-BaFgam-anaFgIkRtyA-asti-iti
   vyastamakhiladoṣodbhāvananigrahādhikaraṇaprasaṅgavat | ubhayamapi	vyastam-aKila-doza-udBAvana-nigraha-aDikaraNa-prasaFga-vat | uBayam-api
   akṣepakāritvānapekṣakāritvamanullikhyai (6) va bījaṃ kevalaṃ	akzepa-kAritva-anapekza-kAri-tvam-anulliKyE (6) va bIjam kevalam
   sahakārimadhye 'pyavasitakartṛbhāvaṃ prāgapi kurvan tathābhūtamiti bhāvato	sahakAri-maDye api-avasita-kartR-BAvam prAk-api kurvan taTABUtam-iti BAvataH-
   bhāṣasva susadhisādhibādhanam | [samādhimādhibādhanam ]	BAzasva su-saDi-sADi-bADanam | [samADim-ADi-bADanam ]
   nanu bhāṣita eva samādhiḥ | tathāhi -kṛ(7) tiṃ prati-avilamba iti bhāvaḥ |	nanu BAzitaH eva samADiH | taTA-hi -kR(7) tim prati-a-vilambaH iti BAvaH |
   kimutpatteranantarameva kṛtiḥ sahakārisamavadhānāntaraṃ vāvilamba iti ko	kim-utpatteH-anantaram-eva kRtiH sahakAri-samavaDAna-antaram vA-avilambaH iti kaH-
   'rthaḥ? kiṃ yāvanna sahakārisamarthānāṃ samavadhānaṃ tāvadakaraṇaṃ	arTaH? kim yAvat-na sahakAri-samarTAnAm samavaDAnam tAvat-akaraNam
   sarva(8) thaivākaraṇamiti vā | tatra prathamacaturthayoḥ pramāṇābhāvāt,	sarva(8) TA-eva-akaraNam-iti vA | tatra praTama-caturTayoH pramANa-aBAvAt,
   aniścaye dvitīyatṛtīyatoḥ pratyakṣameva pramāṇaṃ bījajātīyasya hi	aniScaye dvitIya-tRtIyatoH pratyakzam-eva pramANam bIja-jAtIyasya hi
   sahakārisamavadhānāntarakara (9) karaṇa-karaṇameveti pratyakṣasiddhameva |	sahakAri-samavaDAna-antara-karaH (9) karaNa-karaNam-eva-iti pratyakza-sidDam-eva |
   tathā sahakāri samavadhānarahitasyākaraṇamityapi | atra ca tavāpi na	taTA sahakAri samavaDAna-rahitasya-akaraNam-iti-api | atra ca tava-api na
   vigatiḥ eṣa pramāṇasiddhatvāt viparyaye vā dhakācca | tathāhi yadi	vigatiH eza pramANa-sidDa-tvAt viparyaye vA DakAt-ca | taTA-hi yadi
   sahakārivirahe 'kurvvāṇastatsamavadhāne 'pi na kuryāt	sahakAri-virahe akurvvANaH-tad-samavaDAne api na kuryAt-
   tajjātīyamakāraṇameva syāt | samavadhānāsamavadhānayorubhayorapyakaraṇāt |	tad-jAtIyam-akAraNam-eva syAt | samavaDAna-asamavaDAnayoH-uBayoH-api-akaraNAt |
   evaṃ yadi tatsamavadhāna (2) virahe 'pi kuryāt sahakāriṇo na kāraṇaṃ syuḥ	evam yadi tad-samavaDAnaH (2) virahe api kuryAt sahakAriNaH na kAraNam syuH
   tānantareṇāpi karaṇāt | tathā	tAn-antareNa-api karaNAt | taTA
   cānanyathāsiddhānvayavyatirekavatāmapyakāraṇatve	ca-ananyaTA-sidDa-anvaya-vyatirekavatAm-api-akAraNa-tve
   kāryasyākasmikatvaprasaṅgaḥ (3) tathā kādācitkatvavihatiriti | evañca	kAryasya-akasmika-tva-prasaFgaH (3) taTA kAdAcid-ka-tva-vihatiH-iti | evaQca
   dvitīyapakṣa vivakṣāyāmakṣepakāritvameva bhāvasya svabhāvaḥ |	dvitIya-pakza vivakzAyAm-akzepa-kAri-tvam-eva BAvasya svaBAvaH |
   tṛtīyapakṣavivakṣāgāntu kṣepakāritvameva bhāvasya svarūpamiti	tRtIya-pakza-vivakzA-gAntu kzepa-kAri-tvam-eva BAvasya svarUpam-iti
   nobhayaprakāranivṛttiriti | ta eva (etat) aho apūrvo 'yamasya	na-uBaya-prakAra-nivRttiH-iti | te eva (etat) aho apUrvaH ayam-asya
   dambhārambhaḥ sa bhramabhūmibhūyiṣṭhabhautabalabhojaphalambhoja sthitaḥ	damBa-AramBaH sa Brama-BUmi-BUyizWa-BOta-bala-Boja-PalamBoja sTitaH
   kaṣṭayati bhūtabhāṣaṇabhūṣaṇamapibhrātṛvyasa (5) mupetaṃ tathā he he	kazwayati BUta-BAzaNa-BUzaNam-apiBrAtRvyasa (5) mupetam taTA he he
   bhaiṣī ca praṇayaramaṇīyabhāṣaṇabhūmnā svasamānmāyanāmānaṃ arthasārtha	BEzI ca praNaya-ramaNIya-BAzaNa-BUmnA sva-samAn-mAyanAmAnam arTa-sArTa
   sahakārisāhityamaparityajya samarthanaṃ te tatvataḥ sāhityamudāhṛtya tacca	sahakAri-sAhityam-aparityajya samarTanam te tatvataH sAhityam-udAhRtya tat-ca
   tat(6) kṛtamiti vikrītagavīrakṣaṇavṛttāntamupaharati | tathaukteranantaraṃ	tat(6) kRtam-iti vikrIta-gavIra-kzaNa-vRttAntam-upaharati | taTA-OkteH-anantaram
   vyākṛtiniścale kīrtimata saṃkīrtyate 'sādhanatvena pramāṇaphalaṃ hitat |	vyAkRti-niScale kIrtimata saMkIrtyate asADana-tvena pramANa-Palam hitat |
   sati hi (7) kṣaṇakṣīṇatopalakṣaṇena prekṣāvāṃśca kṣaṇiko	sati hi (7) kzaNa-kzINa-tA-upalakzaNena prekzAvAn=-ca kzaNikaH-
   'kṣepapakṣapramukhānāṃ yathāsukhasukhaṃ lekhayāpi khaṇḍayituṃ duḥśaktam |	akzepa-pakza-pramuKAnAm yaTA-suKa-suKam leKayA-api KaNxayitum duHSaktam |
   idṛśasaśaktisamarthanam | tasmādācā (8) ryavacanāt tameva	idRSa-sa-Sakti-samarTanam | tasmAt-AcA (8) rya-vacanAt tam-eva
   śruti-śrutipuṭakena kaṇehṛtya prīyatāṃ prītyā na sa sāhityepi pararupeṇa	Sruti--Sruti-puwakena kaNehRtya prIyatAm prItyA na sa sAhityepi pararupeNa
   karttā svarūpañcatasya prāgapīti prāgapi kuryāditi | yadapyamunā (9)	karttA svarUpaQcatasya prAk-api-iti prAk-api kuryAt-iti | yat-api-amunA (9)
   nayena vivadatā vādini susthitam | tathāpi kiṃ asamarthasyaiva	nayena vivadatA vAdini susTitam | taTA-api kim asamarTasya-eva
   sahakārivirahaḥ svarūpalābhānantaraṃ kartureva vā	sahakAri-virahaH sva-rUpa-lABa-anantaram kartuH-eva vA
   sahakārisamavadhānamanyathā neti ki niyāmaka (10) miti cet 'idamucyate	sahakAri-samavaDAnam-anyaTA na-iti ki niyAmakaH (10) miti ced aidam-ucyate
   kuśūlasthabījasyāṃkurānukūlaḥ śilāśakalādviśeṣaḥ kaścidasti na vā, na	kuSUla-sTa-bIjasya-aMkura-anukUlaH SilA-SakalAt-viSezaH kaScid-asti na vA, na
   cenniyamena ekatra pravṛttireva na syānnivṛttiśca tadarthino na syāt	ced-niyamena ekatra pravRttiH-eva na syAt-nivRttiH-ca tad-arTinaH na syAt-
   paramparayāṅkuraprasavasamarthabījakṣaṇajananādastyeveti cet - kadā punaḥ	paramparayA-aFkura-prasava-samarTa-bIja-kzaNa-jananAt-asti-eva-iti ced  kadA punar-
   paramparayāpi tathābhūtaṃ kariṣyatīti | tatra sandeha iti cet | sa punaḥ	paramparayA-api taTABUtam karizyati-iti | tatra sandehaH iti ced | sa punar-
   kimākāraḥ kiṃ sahakāriṣu (2) samavahiteṣvapi teṣu kariṣyati na veti | uta	kimAkAraH kim sahakArizu (2) samavahitezu-api tezu karizyati na vA-iti | uta
   asamavahiteṣvapi kariṣyati na veti | atha yadā sahakārisamavadhānaṃ	asamavahitezu-api karizyati na vA-iti | aTa yadA sahakAri-samavaDAnam
   tadaiva kariṣyatyeveti | kadā teṣāṃ samavadhānamiti (3)sandehaḥ | nādyaḥ	tadA-eva karizyati-eva-iti | kadA tezAm samavaDAnam-iti (3)sandehaH | na-AdyaH
   samānyataḥ kāraṇatvānavadhāraṇaitasyānavakāśāt | avakāśe vā	samAnyatas kAraNa-tva-anavaDAraNa-etasya-anavakASAt | avakASe vA
   kāraṇatvāvadhāraṇāt | netaraḥ sahakāriṇāṃ tattvāvadhāraṇe tasyāna (4)	kAraNatva-avaDAraNAt | na-itaraH sahakAriNAm tattva-avaDAraNe tasya-anaH (4)
   vakāśāt, avakāśe vā teṣāṃ tattvānavadhāraṇāt | tṛtīye tu sarva eva	vakASAt, avakASe vA tezAm tattva-anavaDAraNAt | tRtIye tu sarve eva
   tatsantānāntaḥpātino bījakṣaṇāḥ samānaśīlā prapnuvanti yatra tatra	tad-santAna-antaHpAtinaH bIja-kzaNAH samAna-SIlA prapnuvanti yatra tatra
   sahakāri (5) samavadhāne sati kṛti niyamāt sarvatra ca	sahakAri (5) samavaDAne sati kRti niyamAt sarvatra ca
   sahakārisamavadhānasambhavāt | 'samartha eva kṣaṇe kṣityādisamavadhānamiti	sahakAri-samavaDAna-samBavAt | asamarTaH eva kzaNe kziti-Adi-samavaDAnam-iti
   cet- tatkimasama(6)rthe sahakārisamavadhānameva na | samavadhāne satyapi	cet tat-kim-asam-a(6)rTe sahakAri-samavaDAnam-eva na | samavaDAne sati-api
   vā na tasmātkāryajanma | nādyaḥ śilāśakalādāvapi kṣitisalilatejaḥ pavana	vA na tasmAt-kArya-janma | na-AdyaH SilA-Sakala-AdO=-api kziti-salila-tejaH pavana
   yoga (7) darśanāt | netaraḥ śilāśakalādiva kadācitsahakārisākalyavatopi	yogaH (7) darSanAt | na-itaraH SilA-SakalAt-iva kadAcid-sahakAri-sAkalyavatA-upi
   vījādaṅkurānutpattiprasaṅgāt | ḥ evamapisyāt | ko doṣa iti cet (8) na	vIjAt-aFkura-anutpatti-prasaFgAt | H evam-apisyAt | kaH dozaH iti ced (8) na
   tāvadidamupalabdham | āśaṅkayata iti cenna tatsannidhāne satyapi	tAvat-idam-upalabDam | ASaFkayate iti ced-na tad-sanniDAne sati-api
   akaraṇavat tadvirahepi karaṇayogamapyāśaṅkyeta āśaṅkyatāmiti cet-tarhi	akaraNa-vat tat-virahepi karaNa-yogam-api-ASaFkyeta ASaFkyatAm-iti ced--tarhi
   bījavirahe 'pi āśaṅkyeta | tathā ca sādhvī (9)	bIja-virahe api ASaFkyeta | taTA ca sADvI (9)
   pratyakṣānupalambhapariśuddhiḥ | syādetat na bījādīnāṃ	pratyakza-anupalamBa-pariSudDiH | syAt-etat na bIja-AdInAm
   parasparasamavadhānavatāmeva kāryakaraṇamaṅgīkṛtyāśaṅkyate yena	paraspara-samavaDAnavatAm-eva kArya-karaNam-aFgIkRtya-ASaFkyate yena
   samavadhānāniyamā sarveṣāmbā tajjātī yānāmekarasatā niścayaḥ syāt | nāpi	samavaDAna-aniyamA sarveza-ambA tad-jAtI yAnAm-eka-rasa-tA niScayaH syAt | na-api
   yatra tatra samarthopapattimaṅgīkṛtya yena vikalaibhyo 'pi	yatra tatra samarTa-upapattim-aFgIkRtya yena vikala-eByaH api
   kāryajanmasambhāvanāyāṃ pratyakṣānupalambhavirodhaḥsyāt | kinnāma bījādiṣu	kArya-janma-samBAvanAyAm pratyakza-anupalamBa-viroDaH-syAt | kinnAma bIja-Adizu
   sa (2) mavahiteṣvavāntarajātiviśeṣamāśrityāpi kāryajanmasambhāvyata iti |	sa (2) mavahitezu-avAntara-jAti-viSezam-ASritya-api kArya-janma-samBAvyate iti |
   ḥna dṛṣṭasamavadhānamātreṇaiva upapattau tatkalpanāyāṃ pramāṇābhāvāt	Hna dRzwa-samavaDAna-mAtreNa-eva upapattO tad-kalpanAyAm pramANa-aBAvAt-
   kalpanāgauravaprasaṅgaḥ (3) pratihatatvāt atīndriyendriyādivilopaprasaṅgāt	kalpanA-gOrava-prasaFgaH (3) pratihata-tvAt atIndriya-indriya-Adi-vilopa-prasaFgAt-
   kalpanānupapatterviśeṣasya viśeṣaṃprati prayojakatvāccetiḥ - tadapyasāraṃ	kalpanA-anupapatteH-viSezasya viSezaM-prati prayojaka-tvAt-cetiH  tat-api-asAram
   - bījasyajanmani jananaṃ yena niru(4)pitameva	 bIjasya-janmani jananam yena niru(4)pitam-eva
   nidānamaṅkurakāṇḍakaliśaprabhṛti -urṇavanayavanavanakusūlatalanimīlayadapi	nidAnam-aFkura-kANxa-kaliSa-praBRti -urNa-vana-yavanavana-kusUla-tala-nimIlayat-api
   dātrasūrya (śūrpa)	dAtra-sUryaH (SUrpa)
   mṛtimukkuraprakramāditadanantaramupanayogyabelāvilokanekusū (6)	mRti-mukkura-prakrama-Adi-tad-anantaram-upana-yogya-bela-avilokanekusU (6)
   lakakṣitadākaṣaprakarṣakṣetredharādhāmādisamavadhānamupasarppaṇapratyayapratibaddhamabhyavasitamakhilena	lakakzi-ta-dAkaza-prakarza-kzetreDara-ADAma-Adi-samavaDAnam-upasarppaNa-pratyaya-pratibadDam-aByavasitam-aKilena
   pariṇatiparamparayā ca kiyatyā pūjyate saṅgatima(6)ñjasā aṅkurākhyaṃ	pariNati-paramparayA ca kiyatyA pUjyate saFgatim-a(6)QjasA aFkura-AKyam
   kṣityādīnāṃ kāryaṃ nyakṣeṇālakṣita tadetasya pariṇatakāraṇaparamparāyāṃ	kziti-AdInAm kAryam nyakzeNa-alakzita tat-etasya pariNata-kAraNa-paramparAyAm
   bhindati sa svabhāvo vā bījasvabhāvo 'cyutaprācyarūpo vā va (7) stuto	Bindati sa svaBAvaH vA bIja-svaBAvaH acyuta-prAcya-rUpaH vA vaH (7) stutaH-
   'stviti vimarśapūrvakaṃ kharvvagarvabhṛtaḥ prastubate	astu-iti vimarSa-pUrvakam Karvva-garva-BRtaH prastubate
   tatrānarthāntarajātibhedānumatirmateḥ puro nāpi prakṛtaprabandhānubandho	tatra-anarTa-antara-jAti-Beda-anumatiH-mateH puras na-api prakRta-prabanDa-anubanDo
   bauddhānāṃ prasiddhaḥ siddhāntaḥ (8) punarīdṛśaḥ -	bOdDAnAm prasidDaH sidDAntaH (8) punar-IdRSaH -
   nikhilāstrikarṇasukhaṃkurvāṇaḥ	niKilAH-tri-karNa-suKaMkurvANaH
   tadyathā samarthaḥ kutaḥ utpanna iti cet svakāraṇebhyaḥ |	tat-yaTA samarTaH kutas utpannaH iti ced sva-kAraNeByaH |
   tānyenamaparapratyayasannidhāna eva kiṃ janayanti? kadācidanyathā syāt	tAni-enam-apara-pratyaya-sanniDAnaH eva kim janayanti? kadAcid-anyaTA syAt-
   tataścaikopi kvacijjanayediti cet "aparāparapratyayayogena pratyabhikṣaṇaṃ	tatas-ca-ekopi kvacid-janayet-iti ced "a-para-apara-pratyaya-yogena pratyaBikzaNam
   bhinnaśaktayaḥ santanvantaḥ saṃskārāḥ yadyapi kutaścetsāmyātsarupāḥ	Binna-SaktayaH santanvantaH saMskArAH yadi-api kutas-ced-sAmyAt-sarupAH
   pratiyante tathāpi bhinnaevai ṣāṃ svabhāvastena kiśñcideva	pratiyante taTA-api Binna-evE zAm svaBAvaH-tena kiSQcid-eva
   kasyacitkāraṇamiti "kasmādḥ dṛśyāvāntarajātibhedopālambhaḥ	kasyacid-kAraNam-iti "kasmAdH dRSya-avAntara-jAti-Beda-upAlamBaH
   sṛgallapallavitaḥ prabalajanavaduttānenāntaḥkaraṇaṃ prīṇāti prā (2)	sRgalla-pat-lavitaH prabala-jana-vat-uttAnena-antaHkaraNam prINAti prA (2)
   māṇikasya sthūlaparāmarśena hi vijātīyavyāvṛttavījāvarjitaṃ	mANikasya sTUla-parAmarSena hi vijAtIya-vyAvRtta-vIjA-varjitam
   svakāryakāritvamavasthāpitamapi	sva-kArya-kAri-tvam-avasTApitam-api
   sūkṣmāvāntaraprasaṅgatadviparyayaparyālocanākhya vimarśāntaravṛtyā (3)	sUkzma-avAntara-prasaFga-tad-viparyaya-paryAlocana-AKya vimarSa-antara-vRtyA (3)
   bījatvādhiṣṭhitasvabhāvaviśeṣapratiṣṭhitaṃ prasādhyate kiṃ tatrānupapannaṃ	bIja-tva-aDizWita-svaBAva-viSeza-pratizWitam prasADyate kim tatra-anupapannam
   nāma yathā davīyasi deśe viniveśitātmabhāvaṃ bhāvaṃ vibhāvya vṛkṣa	nAma yaTA davIyasi deSe viniveSita-Atma-BAvam BAvam viBAvya vRkza
   ityavṛkṣavyāvṛttamavadhārayatyavadhā (4) raṇādhvarīṇodbhava janaḥ putraḥ	iti-avRkza-vyAvRttam-avaDArayati-avaDAH (4) raNa-aDvarINa-udBava janaH putraH
   sannidhānādhīnadhīviśeṣeṇa śiṃśapeti tatrāpyete nirūpaṇāt	sanniDAna-aDIna-DI-viSezeNa SiMSapA-iti tatra-api-ete nirUpaNAt-
   vakrakoṭarapaṭalaghaṭitasskandhasandhiriti svabhāvāntaramavagamya (5)	vakra-kowara-pawala-Gawita-sskanDa-sanDiH-iti svaBAva-antaram-avagamya (5)
   mānamapi na vṛkṣatvaśiśapātva śūnyamavasīyate | na vā sarvovṛkṣaḥ śiṃśapā	mAnam-api na vRkza-tva-SiSa-pAtva SUnyam-avasIyate | na vA sarvaH-vRkzaH SiMSapA
   na vā sarve ca śiṃśapā vakrakoṭarapaṭalaghaṭitaskandhasandhiriti	na vA sarve ca SiMSapA vakra-kowara-pawala-Gawita-skanDa-sanDiH-iti
   tathābhūtaṃ prastutama (7) pyastu vastuvyathāvyūhasyāpahateḥ anupahasita	taTABUtam prastutamaH (7) pyaH-tu vastu-vyaTA-vyUhasya-apahateH anupahasita
   eva sādhyāsādhanabhāvaḥ bījatvameva hi sāmānyambidhirūpe 'vasthitaṃ	eva sADya-asADana-BAvaH bIja-tvam-eva hi sAmAni-ambiDi-rUpe avasTitam
   akhilāsu vyaktiṣu nāsmākamaṅgīkārago (7) caraḥ punaśca	aKilAsu vyaktizu na-asmAkam-aFgI-kAra-gaH (7) caraH punar-ca
   tatrāvāntarādṛśyajātibhedābhyupagamavādo vāvadūkakalpita evamucyate	tatra-avAntara-adRSya-jAti-Beda-aByupagama-vAdaH vAvadUka-kalpitaH evam-ucyate
   [muhyate] na puñjapuñjena pratyarthitaḥ,	[muhyate] na puQja-puQjena pratyarTitaH,
   etaccāmbaravartmavartikamalaparimalālolarolambamānā (8) virāvakulāvagāhi,	etat-ca-ambara-vartma-varti-kamala-parimala-Alola-rolambamAnAH (8) virAva-kula-avagAhi,
   yaduta- sa khalu jātiviśeṣaḥ saṃgrāhako vā syāt pratikṣepako vā syāt -	yat-uta sa Kalu jAti-viSezaH saMgrAhakaH vA syAt pratikzepakaH vA syAt -
   evaṃ śālitvamapi saṃgrāhakaṃ carapratikṣepakaṃ vā | ḥ na ca	evam SAli-tvam-api saMgrAhakam cara-pratikzepakam vA | H na ca
   nobhayamapītyādi (9) yathā vikalpakalpitapratidūṣaṇaprasaraḥ	na-uBayam-api-ityAdi (9) yaTA vikalpa-kalpita-pratidUzaNa-prasaraH
   yasmātsmerāsyasarasīruhahārihasitenāpi nārpitasatyaṅkāraḥ kaścidapi	yasmAt-smera-Asya-sarasI-ruha-hAri-hasitena-api na-arpita-satyaFkAraH kaScid-api
   vipaścidevaṃ vidhāvāntarajātibhede yādṛśastupa	vipaScit-evam viDAvAntara-jAti-Bede yAdRSaH-tupa
   rāparapratyayaprabandhānubandhabodhitaḥ sāmānyasambhave 'pi	rApara-pratyaya-prabanDa-anubanDa-boDitaH sAmAnya-samBave api
   svabhāvabhedastathā prakhyāpitamanantaraṃ sahetu hetuvittasaṃspandanena	svaBAva-BedaH-taTA praKyApitam-anantaram sahetu hetu-vitta-saMspandanena
   yatpunaruktirucyate viśeṣasya viśeṣaṃ prati prayo (2) jakavirodhācce ' ti	yat-punaruktiH-ucyate viSezasya viSezam prati prayaH (2) jaka-viroDAt-ce a ti
   tatsiddhameva sādhayitumārabdham | tathāpi yadyapi kutaścit sā syāt	tat-sidDam-eva sADayitum-ArabDam | taTA-api yadi-api kutaScid sA syAt-
   sarūpāḥ pratīyante tathāpi bhinna evaiṣāṃ svabhāva iti bhāṣayā	sarUpAH pratIyante taTA-api BinnaH eva-ezAm svaBAvaH iti BAzayA
   śālibījatvādhiṣṭhitāntyavyaktilakṣaṇañca (3)	SAli-bIja-tva-aDizWita-antya-vyakti-lakzaNaQca (3)
   vilakṣaṇasvabhāvaviśeṣavibhrānta eva kartṛvādo 'ṅkuraṃ	vilakzaNa-svaBAva-viSeza-viBrAntaH eva kartR-vAdaH aFkuram
   pratisthūlaparāmarśavyavasthāpi tatkartṛbhāvabhājaṃ bījadharmmiṇaṃ	pratisTUla-parAmarSa-vyavasTA-api tad-kartR-BAva-BAjam bIja-DarmmiNam
   adhyavasāyasāhityetarayoravasthayoḥ adhikaraṇakara (4) ṇe kalayā	aDyavasAya-sAhitya-itarayoH-avasTayoH aDikaraNa-kara (4) Ne kalayA
   kalayitumaśakye virodhākarṣiprasaṅgaṃ	kalayitum-aSakye viroDa-Akarzi-prasaFgam
   tadviparyayapramāṇamaikyaparipanthipaśyatā dṛśyate hi	tad-viparyaya-pramANam-Ekya-paripanTi-paSyatA dRSyate hi
   prāmāṇikacakramaulilālitacaraṇayugalānā (5) mapyevaṃvidho kṣaṇavyāhāraḥ	prAmANika-cakra-mOli-lAlita-caraNa-yugalAnAH (5) mapi-evaMviDaH kzaNa-vyAhAraH
   yathā pramāṇetataratāsādhāraṇavedavākyamākalayyādhikaraṇapramāṇāntareṇa	yaTA pramANa-itatara-tA-sADAraNa-veda-vAkyam-Akalayya-aDikaraNa-pramANa-antareNa
   prāmāṇyalakṣaṇasvabhāvāntarasādhanam | yathā vā (6)	prAmANya-lakzaNa-svaBAva-antara-sADanam | yaTA vA (6)
