   āmnāyasya //	AmnAyasya //
   dṛṣṭamadṛṣṭaṃ vā gaveṣaṇīyaṃ syāt, tadevānupapannamiti pūrvapakṣyāha -	dRzwam-adRzwam vA gavezaNIyam syAt, tat-eva-anupapannam-iti pUrva-pakzyAha -
   avidheyatvāditi //	aviDeya-tvAt-iti //
   (arthajñānoddeśena kratvapūrvoddeśena vādhyayananiyamavidhiśaṅkāparihārau)	(arTa-jQAna-uddeSena kratva-pUrva-uddeSena vA-aDyayana-niyama-viDi-SaFkA-parihArO)
   naca - arthajñāne upāyāntarasyapi pakṣe prāptatvādadhyayananiyamāṃśe	na-ca  arTa-jQAne upAya-antarasi-api pakze prApta-tvAt-aDyayana-niyama-aMSe
   vidherarthavattāstu iti - vācyam ; adhyayane spaṣṭaṃ tadupayogasyābhāvāt /	viDeH-arTavat-tAH-tu iti  vAcyam ; aDyayane spazwam tad-upayogasya-aBAvAt /
   'adhyayanakārye hi dṛṣṭamarthajñānaṃ tenānuṣṭhīyamānakarmajanyapūrvaṃ vā	aaDyayana-kArye hi dRzwam-arTa-jQAnam tena-anuzWIyamAna-karma-janya-pUrvam vA
   yat tatrobhayatrāpi upayogo nāstītyāha - tanniyamasya ceti /	yat tatra-uBayatra-api upayogaH na-asti-iti-Aha  tat-niyamasya ca-iti /
   kratujanyāpūrvopasthitirhi prakaraṇādathavā	kratu-janyA-pUrva-upasTitiH-hi prakaraNAt-aTavA
   parṇatādivadavyabhicaritakratusaṃbandhādvā bhavet /	parNata-Adi-vat-avyaBicarita-kratu-saMbanDAt-vA Bavet /
   tatrādhyayanavidheranārabhyādhītatvena prakaraṇābhāvaḥ spaṣṭa eva /	tatra-aDyayana-viDeH-anAraBya-aDIta-tvena prakaraNa-aBAvaH spazwaH eva /
   arthajñānasya kratuṃ vināpyadhyāpanādidvārā dravyārjane upayogasaṃbhavena	arTa-jQAnasya kratum vinA-api-aDyApana-Adi-dvArAH dravya-arjane upayoga-saMBavena
   avyabhicaritakratusaṃbandho 'pi nasaṃbhavatiṃ ato niyamasya na vidheyatvam	avyaBicarita-kratu-saMbanDaH api na-saMBavatim atas niyamasya na viDeya-tvam
   ; niyamasya niṣiddhakarmaṇyupayogābhāvāñca //	; niyamasya nizidDa-karmaNi-upayoga-aBAvAQca //
   <B1> tanniyamasya cārthajñāne 'nupayogāt	<B1> tat-niyamasya ca-arTa-jQAne anupayogAt-
   avyabhicaritakratusaṃbandhābhāvena kratuṃ yāvadupayogakalpanānupapatteśca	avyaBicarita-kratu-saMbanDa-aBAvena kratum yAvat-upayoga-kalpanA-anupapatteH-ca
   na vidheyatvam /	na viDeya-tvam /
   ataḥ svādhyāyavidhinā svargādyarthamevādhyayanaṃ vidhīyate /	atas svADyAya-viDinA svarga-Adi-arTam-eva-aDyayanam viDIyate /
   lokataḥ pūrvapravṛttyaṅgīkāreṇa yathāśrutārthajñānārthaṃ vā /	lokataH pUrva-pravRtti-aFgIkAreNa yaTA-Sruta-arTa-jQAna-arTam vA /
   adhyayanameva vā bhāvanāyāṃ bhāvyamastu /	aDyayanam-eva vA BAvanAyAm BAvyam-astu /
   nacaivamiṣṭabhāvyakatvābhāvātpravṛttyanupapattiḥ; anadhīyānā vrātyā	na-ca-evam-izwa-BAvyaka-tva-aBAvAt-pravRtti-anupapattiH; anaDIyAnA vrAtyA
   bhavantīti vacanenākaraṇe pratyavāyabodhanenāpi pravṛttisiddheḥ /	Bavanti-iti vacanena-akaraNe pratyavAya-boDanena-api pravRtti-sidDeH /
   atastasya vedatvāvacchedena prayojanavadviṣayatvānākṣepakatvānnārthavādeṣu	atas-tasya veda-tva-avacCedena prayojana-vat-vizaya-tvAnAkzepaka-tvAt-na-arTa-vAdezu
   tadbalena lakṣaṇādisiddhisiddhirityapramāṇamarthavādā dharmādharmayoriti	tad-balena lakzaNa-Adi-sidDi-sidDiH-iti-apramANam-arTa-vAdAH Darma-aDarmayoH-iti
   prāpte ---- abhidhīyate -- na svādhyāyavidhiḥ svargādyarthamadhyayanaṃ	prApte --- aBiDIyate - na svADyAya-viDiH svarga-Adi-arTam-aDyayanam
   vidhatte; dṛṣṭe saṃbhavatyadṛṣṭaphalakalpanāyā anyāyyatvāt /	viDatte; dRzwe saMBavati-adRzwa-Pala-kalpanAyAH anyAyya-tvAt /
   nāpi yathāśrutārthajñānārtham; tathātve	na-api yaTA-Sruta-arTa-jQAna-arTam; taTA-tve
   vrātyatābodhakavākyenādhyayanasyāvaśyakatvād	vrAtya-tA-boDaka-vAkyena-aDyayanasya-AvaSyaka-tvAt-
   gṛhītapadatadarthasaṅgatikasya "sthāṇurayaṃ bhārahāraḥ kilābhūdadhītya	gRhIta-pada-tad-arTa-saFgatikasya "sTANuH-ayam BAra-hAraH kila-aBUt-aDItya
   vedaṃ na vijānāti yor'tha" mityādi vacanācca jñānasyāpyāvaśyakatvena	vedam na vijAnAti yor-aTa" mityAdi vacanAt-ca jQAnasya-api-AvaSyaka-tvena
   yathāśrutārthajñānasyānuṣaṅgikatayāpi <B2> svārgādyarthamiti /	yaTA-Sruta-arTa-jQAnasya-anuzaFgika-tayA-api <B2> svArga-Adi-arTam-iti /
   viśrvajinnayāyena svargakalpanāpekṣayā rātrisatravadarthavādābhāve	viSrvajit-nayAyena svarga-kalpanA-apekzayA rAtri-satra-vat-arTa-vAda-aBAve
   'anadhīyānā vrātyā bhavantī'ti smṛtimūlaśrutikalpanālāghavānurodhena	aanaDIyAnAH vrAtyAH BavantI-ati smRti-mUla-Sruti-kalpanA-lAGava-anuroDena
   vrātyatāparihārārthameva tadvidhānamastviti dyotanāyādiśabdaḥ /	vrAtya-tA-parihAra-arTam-eva tat-viDAnam-astu-iti dyotanAya-Adi-SabdaH /
   nacādhyayanavidheḥ pūrvopapāditavairūpyāpattiḥ ; huṃphaḍādyaṃśe	naca-aDyayana-viDeH pUrva-upapAdita-vErUpya-ApattiH ; huMPaxa-Adi-aMSe
   tadadhyayanasyādṛṣṭārthatāyāstvayāpi svīkaraṇīyatvena	tad-aDyayanasya-adRzwa-arTa-tAyAH-tvayA-api svIkaraNIya-tvena
   tadaverūpyāyaitadarthatvakalpanasyaivocitatvāt, svaśaktyaiva vidhīnāṃ	tad-averUpyAya-etad-arTa-tva-kalpanasya-eva-ucita-tva-at, sva-SaktyA-eva viDInAm
   prayojanavadarthapramāpakatvena dharmaprāmāṇyajanakatve 'pi	prayojana-vat-arTa-pramApaka-tvena Darma-prAmANya-janaka-tve api
   tadadhyayanasyādṛṣṭārthatve 'pi bādhakābhāvāt //	tad-aDyayanasya-adRzwa-arTa-tve api bADaka-aBAvAt //
   (lokataḥ pūrve śāstrapravṛtteḥ pārāyaṇādau	(lokataH pUrve SAstra-pravRtteH pArAyaNa-AdO
   śūdrādhikāravyāvṛttiprayojananirūpaṇam) adhyayanavidherdṛṣṭārthatve	SUdra-aDikAra-vyAvRtti-prayojana-nirUpaNam) aDyayana-viDeH-dRzwa-arTa-tve
   'pyāgrahaṃ pratyāhaṃ pratyāha - lokata iti /	api-Agraham pratyAham pratyAha  lokataH iti /
   lokataḥ pūrvapravṛtteḥ prayojanaṃ tu pārāyaṇe śūdrānadhikārasiddhiḥ /	lokataH pUrva-pravRtteH prayojanam tu pArAyaNe SUdrAn-aDikAra-sidDiH /
   anyathā adhyayanaṃ vināpi pārāyaṇasaṃbhavena tadvidhinā tadākṣepaṇe	anyaTA aDyayanam vinA-api pArAyaNa-saMBavena tad-viDinA tad-AkzepaNe
   śūdrasyāpyadhikārāpatteḥ, satitvasmin vidhāne etadvidhisiddhādhyayanavata	SUdrasya-api-aDikAra-ApatteH, satitvasmin viDAne etat-viDi-sidDa-aDyayanavata
   evādhikāriṇo lābhe tadākṣepābhāvānna tasyādhikāraḥ /	eva-aDikAriNaH lABe tad-Akzepa-aBAvAt-na tasya-aDikAraH /
   evaṃ caikaśākhāpārāyaṇamapyupapannam - iti //	evam ca-eka-SAKA-pArAyaNam-api-upapannam  iti //
   adhyayanameva veti /	aDyayanam-eva vA-iti /
   yathāśrutārthajñānāpekṣayā samānapadopāttatvapratyāsattyā tasya bhāvanāyāṃ	yaTA-Sruta-arTa-jQAna-apekzayA samAna-pada-upAtta-tva-pratyAsattyA tasya BAvanAyAm
   sannihitatvāt tasyaiva bhāvyatvaṃ yuktamityarthaḥ //	sannihita-tvAt tasya-eva BAvya-tvam yuktam-iti-arTaH //
   lakṣaṇādisiddhiriti //	lakzaNa-Adi-sidDiH-iti //
   ādipadena ca yathā lakṣaṇāyā asiddhiḥ, tathā lakṣaṇīyārthasya	Adipadena ca yaTA lakzaNAyAH asidDiH, taTA lakzaNIya-arTasya
   prāśastyāprāśastyāderapi durnirūpatvādasiddhiḥ sūcyate //	prASastya-aprASastyAdeH-api durnirUpa-tvAt-asidDiH sUcyate //
   (prāśastyāprāśastyayorguṇadoṣavatvarūpatvakhaṇḍanam) sa hi na	(prASastya-aprASastyayoH-guNa-dozavatva-rUpa-tva-KaNxa-nam) sa hi na
   guṇadoṣavatvamātram ; atiprasaṅgāt, na tadatiśayau ;	guNa-dozavatva-mAtram ; ati-prasaFgAt, na tad-atiSayO ;
   atiśayasyāpekṣikatvenānavasthitatvāt,	atiSayasya-apekzika-tvena-anavasTita-tvAt,
   arthavādamātrapratipādyayorguṇadoṣayoranirūpaṇāñca,	arTavAda-mAtra-pratipAdyayoH-guNa-dozayoH-anirUpaNAQca,
   viśiṣṭeṣṭāniṣṭaphalakatvasya viśiṣṭetikartavyatākatvasya	viSizwa-izwA-anizwa-Palaka-tvasya viSizwa-iti-kartavya-tAka-tvasya
   nityanirdeṣavedhavidhiniṣedhaviṣayatvasya vā	nitya-nirdeza-veDa-viDi-nizeDa-vizaya-tvasya vA
   vidhiniṣedhābhyāmevapratipannatvenārthavādānapekṣatvāt /	viDi-nizeDAByAm-eva-pratipanna-tvena-arTa-vAda-anapekza-tvAt /
   naceṣṭāniṣṭagate phalavattve guṇadoṣau ; tayorapi	na-cezwA-anizwa-gate Palavat-tve guNa-dozO ; tayoH-api
   vidhiniṣedhābhyāmevāvagamāt, iṣṭāniṣṭasādhanatveneva	viDi-nizeDAByAm-eva-avagamAt, izwa-anizwa-sADana-tvena-iva
   tadgataphalavattvenāpi vinābuddhipūrvakāriṇāṃ pravṛttinivṛttyorabhāvāt,	tad-gata-Palavat-tvena-api vinA-abudDi-pUrva-kAriNAm pravRtti-nivRttyoH-aBAvAt,
   śyenādyarthavādeṣu tadanupapatteśrca /	Syena-Adi-arTa-vAdezu tad-anupapatteSrca /
   tatra śyenāderanarthatvene tajjanyasyeṣṭasyāniṣṭādbalavatvābhāvāt /	tatra Syena-AdeH-anarTa-tvene tat-janyasya-izwasya-anizwAt-balavatva-aBAvAt /
   naca tattadarthavādapratipādyasya kṣepiṣṭhatvādereva guṇadoṣatayā	na-ca tad-tad-arTa-vAda-pratipAdyasya kzepizWa-tva-AdeH-eva guNa-doza-tayA
   prāśastyāprāśastyarūpatvam ; ananugamāllākṣaṇikatvānupapatteśrca /	prASastyAprASastya-rUpa-tvam ; ananuga-mAllAkzaNika-tva-anupapatteSrca /
   tasmāttasya durvacatvādapi tadbodhakatvenāpi nārthavādānāṃ	tasmAt-tasya durvaca-tvAt-api tad-boDaka-tvena-api na-arTa-vAdAnAm
   dharmādharmapramāpakatvam iti //	Darma-aDarma-pramApaka-tvam iti //
   (adhyayanavidherakṣarāvāptiphalakatvapakṣopapādanam) etena	(aDyayana-viDeH-akzara-avApti-Palaka-tva-pakza-upapAda-nam) etena
   vrātyatābodhakavacanenaivādhyayanavidhilābhena //	vrAtya-tA-boDaka-vacanena-eva-aDyayana-viDi-lABena //
   syādetat - yadyadhyayanavidherādāvarthajñānaṃ phalaṃ syāt, tadātasya	syAt-etat  yadi-aDyayana-viDeH-AdO=-arTa-jQAnam Palam syAt, tadA-atasya
   vaiyarthyāpattyā tatprayojanavattvākṣepaparyantamapi vyāpāraḥ kalpyet /	vEyarTya-ApattyA tad-prayojanavat-tva-Akzepa-paryantam-api vyApAraH kalpyet /
   naca tatkalpane kiñcidapi mānamasti ; prāpyakarmārthapratyayena	na-ca tad-kalpane kiQcid-api mAnam-asti ; prApya-karma-arTa-pratyayena
   phalatayopanītāyāḥ stobhabhāgādhyayane phalatvena kḷptāyā	Pala-tayA-upanItAyAH stoBa-BAga-aDyayane Pala-tvena k?ptAyA
   arthajñānaprāgbhāvinyā arthajñānārthatvapakṣe 'pi tannirvāhakatayā	arTa-jQAna-prAc-BAvinyA arTa-jQAna-arTa-tva-pakze api tad-nirvAhaka-tayA
   prathamamapekṣitāyāḥ svādhīnoccāraṇarūpākṣarāvāpterdṛṣṭāyā eva	praTamam-apekzitAyAH svADIna-uccAraNa-rUpa-akzara-avApteH-dRzwAyAH eva
   phalatvasaṃbhavenādhyayanavidhivaiyarthyābhāvāt,	Pala-tva-saMBavena-aDyayana-viDi-vEyarTya-aBAvAt,
   vicārasādhyārthajñānanirūpitādhyayanagatakāraṇatvasya akṣarāvāptiṃ	vicAra-sADya-arTa-jQAna-nirUpita-aDyayana-gata-kAraNa-tvasya akzara-avAptim
   vinānirvahaṇīyatvāt /	vinA-nirvahaNIya-tvAt /
   astuvā arthajñānaṃ phalam /	astuvAH arTa-jQAnam Palam /
   tadāpyarthajñānārthatvasya anyataḥ prāptatvena	tadA-api-arTa-jQAna-arTa-tvasya anyatas prApta-tvena
   vidhervaiyarthyaparihārārthaṃ	viDeH-vEyarTya-parihAra-arTam
   adhyayanagṛhītavedārthajñānavatāmevānuṣṭhānamabhyudayakārītyevamādi	aDyayana-gRhIta-veda-arTa-jQAnavatAm-eva-anuzWAnam-aByudaya-kArI-iti-evamAdi
   -rūpasyaiva niyamaphalasyāṅgīkāre adhyayanasaṃdhyāvandanādyanuṣṭhānāt	-rUpasya-eva niyama-Palasya-aFgIkAre aDyayana-saMDyA-vandana-Adi-anuzWAnAt
   phalānupapattiḥ ; tadvidhīnāmadhyayanātprāgupāyāntareṇa jñāne	Pala-anupapattiH ; tad-viDInAm-aDyayanAt-prAc-upAya-antareNa jQAne
   'dhyayananiyamavidhyatikramadoṣāpatteḥ, tadajñāne adhyayanādiṣvapravṛttyā	aDyayana-niyama-viDi-atikrama-doza-ApatteH, tad-ajQAne aDyayana-Adizu-apravRttyA
   tadakaraṇaprayuktapratyavāyaprasaṅgāt //	tad-akaraNa-prayukta-pratyavAya-prasaFgAt //
   (arthajñānaphalakādhyayanavidheḥ śūdrādhikārabyāvṛttiprayojanaśaṅkā	(arTa-jQAna-Palaka-aDyayana-viDeH SUdra-aDika-Ara-byAvRtti-prayojana-SaFkA
   tatsamādhānāti) naca -	tad-samADAna-ati) na-ca -
   adhyayananiyamasyādhyayanagṛhītavedārthajñānavatāmevānuṣṭhānamabhyudayakārītyevaṃ	aDyayana-niyamasya-aDyayana-gRhIta-veda-arTa-jQAnavatAm-eva-anuzWAnam-aByudaya-kArI-iti-evam
   na phalaṃ kalpyate, apitu śūdrānadhikārasiddhiḥ, karmavidhayo	na Palam kalpyate, apitu SUdra-an-aDikAra-sidDiH, karma-viDayaH-
   hyanuṣṭheyārthajñānavadadhikārisāpekṣā	hi-anuzWeya-arTa-jQAna-vat-aDi-kAri-sApekzA
   svādhyāyādhyayanavidherarthajñānaphalakatve	svADyAya-aDyayana-viDeH-arTa-jQAna-Palaka-tve
   tadvidhiprāpitānuṣṭheyārthajñāneṣu traivarṇikeṣvevādhikāreṣu	tad-viDi-prApita-anuzWeya-arTa-jQAnezu trEvarNikezu-eva-aDikArezu
   labdhānuṣṭhānāṃ na śūdrāṇāṃ jñānamākṣipanti /	labDa-anuzWAnAm na SUdrANAm jQAnam-Akzipanti /
   tasyārthajñānaphalakatvābhāve tu karmavidhaya eva tadanuṣṭhānamākṣipya	tasya-arTa-jQAna-Palaka-tva-aBAve tu karma-viDayaH eva tad-anuzWAnam-Akzipya
   tānapyadhikāritvena gṛhṇīyuḥ, ataḥ	tAn-api-aDikAri-tvena gRhNIyuH, atas-
   śūdrānadhikāraphalatvasiddhirevārthajñānārthatve phalamiti yuktam iti -	SUdrAn-aDikAra-Pala-tva-sidDiH-eva-arTa-jQAna-arTa-tve Palam-iti yuktam iti -
   vācyam ; adhyayananiyamasadbhāve 'pi śūdrādhikārāpatteranivāryatvāt,	vAcyam ; aDyayana-niyama-sadBAve api SUdra-aDikAra-ApatteH-anivArya-tva-at,
   traivarṇikānāmapi 'svādhyāyo 'dhyetavya' iti	trEvarNikAnAm-api asvADyAyaH aDyetavyaH-a iti
   pitṛpitāmahādiparaṃparāgatasvaśākhāmātra evādhyayanasya vihitatvena	pitR-pitAmaha-Adi-paraMpara-Agata-sva-SAKA-mAtraH eva-aDyayanasya vihita-tvena
   śākhāntarāgatāṅgamantropasaṃhāreṇa karmānuṣṭhānārthe kratuvidhibhiḥ	SAKA-antara-Agata-aFga-mantra-upasaMhAreNa karma-anuzWAna-arTe kratu-viDiBiH
   śākhāntararāmnātamātragocaramityākṣepalāghavāt	SAKA-antara-rAmnAta-mAtra-gocaram-iti-Akzepa-lAGavAt-
   karmavidhayastraivarṇikānevādhikuryurna śūdram iti- vācyam ; evaṃ tarhi	karma-viDayaH-trEvarNikAneva-aDikuryuH-na SUdram iti vAcyam ; evam tarhi
   yasya karmaṇo yasyāṃ śākhāyāṃ bhūyasāmaṅgānāṃ ca vidhānaṃ	yasya karmaNaH yasyAm SAKAyAm BUyasAmaFgAnAm ca viDAnam
   'bhūyastvenobhūyaśrutī' tinyāyena pradhānasyāpi tatra vidhānaṃ, śākhāntare	aBUyastu-ena-uBUyaSrutI-a tinyAyena praDAnasya-api tatra viDAnaM, SAKA-antare
   tu svalpāṅgavidhānaṃ, tatra karmaṇi tacchākhādhyāyina evādhikārāpatteḥ /	tu su-alpa-aFga-viDAnaM, tatra karmaNi tad-SAKA-DyAyinaH eva-aDikAra-ApatteH /
   atastrevarṇikānā marthajñānākṣepāvaśyaṃbhāvāt śūdrānadhikāre tasya	atas-trevarNikAnA marTa-jQAna-Akzepa-avaSyaMBAvAt SUdrAn-aDikAre tasya
   vedatadarthagrahaṇāyānuṣṭhānaniṣedha eva heturvācya iti	veda-tad-arTa-grahaNAya-anuzWAna-nizeDaH eva hetuH-vAcyaH iti
   nāsāvarthajñānaphalakasyādhyayananiyamavidheḥ phalamityakṣarāvāptereva	na-asO=-arTa-jQAna-Palakasya-aDyayana-niyama-viDeH Palam-iti-akzara-avApteH-eva
   tatphalatvaṃ yuktamāśrayitum //	tad-Pala-tvam yuktam-ASrayitum //
   <B1> siddheḥ svādhyāyavidhivaiyarthyaprasaṅgāt /	<B1> sidDeH svADyAya-viDi-vEyarTya-prasaFgAt /
   etena -- adhyayanabhāvyakatvapakṣo 'pi -- nirastaḥ /	etena - aDyayana-BAvyaka-tva-pakzaH api - nirastaH /
   ato vaiyarthyaparihārārthaṃ prayojanavadarthajñānoddeśena <B2>	atas vEyarTya-parihAra-arTam prayojana-vat-arTa-jQAna-uddeSena <B2>
   (viśiṣṭārthāvabodhoddeśyakoñcāraṇasyārthaparatvaprayojakatvatannirāsau)	(viSizwa-arTa-avaboDa-uddeSya-koQcAraNasya-arTa-paratva-prayojaka-tva-tad-nirAsO)
   naca - śabdānāmarthaparatvasya viśiṣṭārthapratītyuddeśyakoccāraṇādhīnatvaṃ	na-ca  SabdAnAm-arTa-paratvasya viSizwa-arTa-pratIti-uddeSyaka-uccAraNa-aDIna-tvam
   loke sarvatra kḷptamiti vede 'pyarthaparatvārthe	loke sarvatra k?ptam-iti vede api-arTa-paratva-arTe
   arthāvabodhoddeśyakoccāraṇākṣepeṇa loka iva rāgaprayuktasya tasyāsaṃbhavāt	arTa-avaboDa-uddeSyaka-uccAraNA-kzepeNa lokaH iva rAga-prayuktasya tasya-asaMBavAt
   adhyayanavidhyatiriktasya vidhyantarasyādarśanāt	aDyayana-viDi-atiriktasya viDi-antarasya-adarSanAt-
   arthajñānamūlakasvādhyāyaviṣayagurūñcāraṇānūñcāraṇātmakādhyayanavidhibodhitamevoñcāraṇaṃ	arTa-jQAna-mUlaka-svADyAya-vizaya-gurUn-cAraNa-anUQcAraNa-Atmaka-aDyayana-viDi-boDitam-eva-uQcAraNam
   samarpaṇīya- mityavaśyamarthajñānameva phalaṃ kalpanīyamiti	samarpaNIya miti-avaSyam-arTa-jQAnam-eva Palam kalpanIyam-iti
   madabhihitameva yuktamiti - vācyam ;	mad-aBihitam-eva yuktam-iti  vAcyam ;
   viśiṣṭārthāvabodhoddeśyakoñcāraṇasyārthaparatvaprayojakatve mauninā	viSizwa-arTa-avaboDa-uddeSya-koQcAraNasya-arTa-paratva-prayojaka-tve mOninA
   likhitvā datte pareṇāpyekenaiva likhitaṃ dṛṣṭvā manasānusaṃhite śrlokādau	liKitvA datte pareNa-api-ekena-eva liKitam dRzwvA manasA-anusaMhite Srloka-AdO
   uñcāraṇābhāvenārthaparatvānāpatteḥ /	uQcAraNa-aBAvena-arTa-paratvAnApatteH /
   (viśiṣṭārthapratītyuddeśyakavyāpāratvasyārthaparatvaprayojakatvanirāsau)	(viSizwa-arTa-pratIti-uddeSya-kavya-apAra-tvasya-arTa-paratva-prayojaka-tva-nirAsO)
   athāpi - viśiṣṭārthapratītyuddeśyakavyāpāratvameva arthatātparyanirṇaye	aTa-api  viSizwa-arTa-pratIti-uddeSya-ka-vya-apAra-tvam-eva arTa-tAtparyanirNaye
   prayojakam, mauniśrloke ca likhitvā dānarūpa eva vyāpārastatprayojakaḥ,	prayojakam, mOniSrloke ca liKitvA dAna-rUpaH eva vyApAraH-tad-prayojakaH,
   vede cāpauruṣeye kartṛvyāpārābhāvātṛ tadanukūlavyāpāro	vede ca-apOruzeye kartR-vyA-pAra-aBAvAtR tad-anukUla-vyApAraH-
   'dhyayanarūpāduñcāraṇādanyo na saṃbhavatīti	aDyayana-rUpAt-uQcAraNAt-anyaH na saMBavati-iti
   tasyārthavatvanirvāhārthamadhyayanavidherarthajñānaphalakatvamavaśyamāstheyamityucyeta,	tasya-arTavatu-a-nirvAha-arTam-aDyayana-viDeH-arTa-jQAna-Palaka-tvam-avaSyam-AsTeyam-iti-ucyeta,
   yadi śabdabodhatvāvacchinnaṃ prati tātparyajñānasya kāraṇatvaṃ syāt,	yadi Sabda-boDa-tva-avacCinnam prati tAtparyajQAnasya kAraNa-tvam syAt-,
   tathātve nistātparyakācchukādivākyāttadanāpattiḥ /	taTA-tve nistAtparyakAt-Suka-Adi-vAkyAt-tad-anApattiH /
   ato naikārthabodhakapadajanyaśābdabodhatvāvacchinna eva tasya kāraṇatvam /	atas na-eka-arTa-boDaka-pada-janya-SAbda-boDa-tva-avacCinnaH eva tasya kAraNa-tvam /
   śābdabodhatvāvacchinnaṃ pratyapi vā kāraṇatve śukādivākyasthale	SAbda-boDa-tva-avacCinnam pratyapi vA kAraNa-tve Suka-Adi-vAkya-sTale
   śabdagatameva tātparye kalpanīyam, tathaiva vede 'pīti	Sabda-gatam-eva tAtparye kalpanIyam, taTA-eva vede api-iti
   nādhyayanavidhisiddhavyāpārāpekṣā ; śabdasvabhāvenaiva	na-aDyayana-viDi-sidDavyApAra-apekzA ; Sabda-svaBAvena-eva
   tātparyanumāyārthaparatvopapatteḥ //	tAtpari-anumAya-arTa-paratva-upapatteH //
   (vicārasyārthaparatvaprayojakatvanirūpaṇapūrvakādhyayanākṣarāvāptiphalakatvopasaṃharaṇam)	(vicArasya-arTa-paratva-prayojaka-tva-nirUpaNa-pUrvaka-aDyayana-akzara-avApti-Palaka-tva-upasaMharaNam)
   astuvārthapratītyuddeśyakavyāpāratvamarthanirṇaye prayojakam, tathāpi	astuva-arTa-pratIti-uddeSyaka-vya-apAra-tvam-arTa-nirNaye prayojakam, taTA-api
   adhyayanādanyaḥ kṛtsnasvādhyāyārthapratītyuddeśenādhyayanānantaraṃ	aDyayanAt-anyaH kRtsna-svADyAya-arTa-pratIti-uddeSena-aDyayana-anantaram
   kartavyo vicāra eva tatprayojako 'stu /	kartavyaH vicAraH eva tad-prayojakaH astu /
   nahi vicāraṃ vinā kasyāpi kratūpāsanopayukto vedārthanirṇaya saṃbhavati /	na-hi vicAram vinA kasya-api kratu-upAsana-upayuktaH veda-arTa-nirNaya saMBavati /
   atastasyaiva vedānāmārthaparatve prayojakatvopapattau nādhyayanasya	atas-tasya-eva vedAnAmArTa-paratve prayojaka-tva-upapattO na-aDyayanasya
   tatprayojakatvanirvāhārthaṃ	tad-prayojaka-tva-nirvAha-arTam
   tavyapratyayasvārasyādiprāptāmakṣarāvāptimatilaṅghyārthajñānasyāpi	tavya-pratyaya-svArasya-Adi-prAptAm-akzara-avApti-mati-laFGya-arTa-jQAnasya-api
   tatphalatvaṃ kalpanīyamityāśaṅkānivṛttiphalakaṃ siddhāntyabhimataṃ	tad-Pala-tvam kalpanIyam-iti-ASaFkA-nivRtti-Palakam sidDAnti-aBimatam
   vākyārthe varṇayati - ato vaiyarthyaparihārārthamiti /	vAkya-arTe varNayati  atas vEyarTya-parihAra-arTam-iti /
   (adhyayanasyārthaparatvaprayojakatvam) ayaṃ bhāvaḥ - satyaṃ	(aDyayanasya-arTa-paratva-prayojaka-tvam) ayam BAvaH  satyam
   śukādivākyārthapratītyarthaṃ śabdagatameva tātparyamaṅgīkartavyam ;	Suka-Adi-vAkya-arTa-prati-iti-arTam Sabda-gatam-eva tAtparyam-aFgIkartavyam ;
   tathāpi upakramopasaṃhāramadhyaparāmarśairitthameva śabdasya	taTA-api upakrama-upasaMhAra-maDya-parAmarSEH-itTam-eva Sabdasya
   tātparyamityayaṃ nirṇayastu vede adhyayanādinaiveti tadvidhireva tatra	tAtparyam-iti-ayam nirNayaH-tu vede aDyayana-AdinA-eva-iti tad-viDiH-eva tatra
   nirṇāyakaḥ /	nirNAyakaH /
   svecchayā hi vedavākyāni paṭhatāṅgavākyeṣvapi phalapadamuñcāryeta, yo	sva-icCayA hi veda-vAkyAni paWata-aFga-vAkyezu-api Pala-padam-uQcAryeta, yaH-
   'dhvaryuḥ sa hotā ye tvijaste yajamānāśrcetyādyapyarthapratītiḥ syāt /	aDvaryuH sa hotA ye tvijaH-te yajamAna-aSrca-ityAdi-api-arTa-pratItiH syAt /
   naca adhyayanānantaraṃ kriyamāṇo vicāra eva tannirṇāyakaḥ,	na-ca aDyayana-anantaram kriyamANaH vicAraH eva tat-nirNAyakaH,
   adhyayanasyārthajñānārthatvābhāve vicārakartavyatākṣepasyaivābhāvāt	aDyayanasya-arTa-jQAna-arTa-tva-aBAve vicAra-kartavyatA-Akzepasya-eva-aBAvAt
   vicārasyaivāprāpteḥ //	vicArasya-eva-aprApteH //
   (vicārasya liṅgakalpyaśrutisiddhatvaśaṅkāsamādhāne) naca -	(vicArasya liFga-kalpya-Sruti-sidDa-tva-SaFkA-samADAne) na-ca -
   adhyayanasaṃskṛtasvādhyāyasyopayogāpekṣāyāṃ	aDyayana-saMskRta-svADyAyasya-upayoga-apekzAyAm
   svādhyāyasyārthajñānajanakatvarūpaliṅgakalpyaśrutyār'thajñāne	svADyAyasya-arTa-jQAna-janaka-tva-rUpa-liFga-kalpya-SrutyAr-aTa-jQAne
   viniyogakalpanāt tasya ca vicāramantareṇānupapatteḥ vicāraprāptiriti -	viniyoga-kalpanAt tasya ca vicAram-antareNa-anupapatteH vicAra-prAptiH-iti -
   vācyam ; adhyayanasaṃskṛtasya	vAcyam ; aDyayana-saMskRtasya
   svādhyāyasyārthajñānārthatvaviniyogakalpanāyāḥ pūrvameva	svADyAyasya-arTa-jQAna-arTa-tva-viniyoga-kalpanAyAH pUrvam-eva
