   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   lokadvayāvirodhibhistu cāpalaiḥ śaiśavaśūnyamāsīt /	loka-dvaya-aviroDiBiH-tu cApalEH SESava-SUnyam-AsIt /
   atrānapalāpo 'smi /	atra-anapalApaH asmi /
   anenaiva ca gṛhītavipratīsāramiva me hṛdayam /	anena-eva ca gRhIta-vipratIsAram-iva me hRdayam /
   idānīṃ tu sugata iva śāntamanasi manāviva kartari varṇāśramavyavasthānāṃ	idAnIm tu sugataH iva SAnta-manasi manO=-iva kartari varNa-ASrama-vyavasTAnAm
   samavartinīva ca sākṣāddaṇḍabhṛti deve śāsati	samavartinI-iva ca sAkzAt-daNxa-BRti deve SAsati
   saptāmburāśiraśanāśeṣadvīpamālinīṃ mahīṃ ka ivāviśaṅkaḥ	sapta-amburA-SiH-aSana-aSeza-dvIpa-mAlinIm mahIm kaH iva-aviSaFkaH
   sarvavyasanabandhoravinyasya manasāpyabhinayaṃ kalpayiṣyati /	sarva-vyasana-banDoravinyasya manasA-api-aBinayam kalpayizyati /
   āsatāṃ ca tāvanmānuṣyakopetāḥ /	AsatAm ca tAvat-mAnuzyaka-upetAH /
   tvatprabhāvādalayo 'pi bhītā iva madhu pibanti /	tvad-praBAvAt-alayaH api BItAH iva maDu pibanti /
   rathāṅganāmāno 'pi lajjanta ivābhyanuvṛttivyasanaiḥ priyāṇām /	raTAFga-nAmAnaH api lajjantaH iva-aByanuvRtti-vyasanEH priyANAm /
   kapayo 'pi cakitā iva capalāyante /	kapayaH api cakitAH iva capalAyante /
   śarāravo 'pi sānukrośā iva śvāpadagaṇāḥ piśitāni bhuñjate /	SarAravaH api sa-anukroSAH iva SvApada-gaNAH piSitAni BuQjate /
   sarvathā kālena māṃ jñāsyati svāmī svayameva /	sarvaTA kAlena mAm jQAsyati svAmI svayam-eva /
   anapācīnacittavṛttigrāhiṇyo hi bhavanti prajñāvatāṃ prakṛtayaḥ'	anapAcIna-citta-vRtti-grAhiNyaH hi Bavanti prajQAvatAm prakRtayaH-a
   ityabhidhāya tūṣṇīmabhūt /	iti-aBiDAya tUzNIm-aBUt /
   bhūpatirapi "evamasmābhiḥ śrutam' ityabhidhāya tūṣṇīmevābhavat /	BUpatiH-api "evam-asmABiH Srutam-a iti-aBiDAya tUzNIm-eva-aBavat /
   saṃbhāṣaṇāsanadānādinā tu prasādena nainamanvagrahīt /	saMBAzaNa-Asana-dAna-AdinA tu prasAdena na-enam-anu-agrahIt /
   kevalamamṛtavṛṣṭibhiḥ snapayanniva snehagarbheṇa dṛṣṭipātamātreṇāntargatāṃ	kevalam-amRta-vRzwiBiH snapayan=-iva sneha-garBeNa dRzwi-pAta-mAtreNa-antargatAm
   prītimakathayat /	prItim-akaTayat /
   astābhilāṣiṇi ca lambamāne savitari visarjitarājaloko 'bhyantaraṃ prāviśat	asta-aBilAziNi ca lambamAne savitari visarjita-rAja-lokaH aByantaram prAviSat-
   bāṇo 'pi nirgatya dhautārakūṭakomalātapatviṣi nirvāti vāsare,	bANaH api nirgatya DOtArakUwa-komala-Atapa-tvizi nirvAti vAsare,
   āstācalakūṭakirīṭe niculamañjarībhāṃsi tejāṃsi muñcati viyanmuci	Asta-acala-kUwa-kirIwe nicula-maQjarI-BAMsi tejAMsi muQcati viyat-muci
   marīcimālini,	marIci-mAlini,
   atiromandhamantharakurahgakuṭumbakādhyāsyamānamradiṣṭhagoṣṭhīnapṛṣṭhāsvaraṇyasthalīṣu,	atiromanDa-manTara-kurahga-kuwumbaka-aDyAsya-mAnam-ra-dizWa-gozWIna-pRzWAsu-araNya-sTalIzu,
   śokākulakokakāminīkūjitakaruṇāsu	Soka-Akula-koka-kAminI-kUjita-karuNAsu
   taraṅgiṇītaṭoṣuvāsaviṭapopaviṣṭavācāṭacaṭakacakravāleṣvālavālāvarj	taraFgiNI-tawa-Uzu-vAsa-viwapa-upavizwa-vAcAwa-cawaka-cakravAlezu-Ala-vAlA-varj
   itasekajalakuṭeṣu niṣkuṭeṣu, divasavihṛtipratyāgataṃ prasrutastanaṃ	ita-seka-jala-kuwezu nizkuwezu, divasa-vihRti-pratyAgatam prasruta-stanam
   stanandhaye dhayati dhenuvargamudgatakṣoraṃ kṣudhitatarṇakavrāte, krameṇa	stananDaye Dayati Denu-varga-mudga-ta-kzoram kzuDita-tarNaka-vrAte, krameNa
   cāstadharādharadhātudhunīpūraplāvita iva lohitāya mānamahasi majjati	ca-astaDara-aDara-DAtuDunIpUra-plAvitaH iva lohitAya mAna-mahasi majjati
   sandhyāsindhupānapātre pātaṅge maṇḍale, kaṇaṇḍalujalaśuciśayacaraṇeṣu	sanDyA-sinDu-pAna-pAtre pAtaFge maNxale, kaNaNxalu-jala-Suci-Saya-caraNezu
   caityapraṇatipareṣu pārāśariṣu, yajñapātrapavitrapāṇau	cEtya-praNati-parezu pArASarizu, yajQa-pAtra-pavitra-pANO
   prakīrṇabarhiṣyuttejasi jātavedasi havīṃṣi vaṣaṭkurvanti yāyajūkajane,	prakIrNa-barhizI-uttejasi jAtavedasi havIMzi vazawkurvanti yAyajUka-jane,
   nidrāvidrāṇadropaṇakulakalilakulāyeṣu kāpeyavikalakapikuleṣvārāmataruṣu	nidrA-vidrANa-dropaNa-kula-kalila-kulAyezu kApeya-vikala-kapikulezu-ArAma-taruzu
   nirjigamiṣati jarattarukoṭarakuṭīkuṭumbini kauśikakule,	nirjigamizati jarat-taru-kowara-kuwI-kuwumbini kOSika-kule,
   munikarasahasraprakīrṇasandhyāvandanodabindunikara iva danturayati	muni-kara-sahasra-prakIrNa-sanDyA-vandana-uda-bindu-nikaraH iva danturayati
   tārāpathasthalīṃ sthavīyasi tārakānikurambe ambarāśrayiṇi	tArApaTa-sTalIm sTavIyasi tArakA-nikurambe ambara-ASrayiNi
   śarvarīśabarīśikhaṇḍe khaṇḍaparaśukaṇṭhakāle kavalayati bāle jyotiḥ śeṣaṃ	SarvarI-SabarI-SiKaNxe KaNxa-paraSu-kaNWa-kAle kavalayati bAle jyotiH Sezam
   sāndhyamandhakārāvatāre, timiratarjananirgatāsu	sAnDyam-anDakAra-avatAre, timira-tarjana-nirgatAsu
   dahanapraviṣṭadinakarakaraśākhāsviva sphurantīṣu dīpalekhāsu,	dahana-pravizwa-dinakara-kara-SAKAsu-iva sPurantIzu dIpa-leKAsu,
   ararasampuṭasaṃkrīḍanakathitāvṛttiṣviva gopureṣu, śayanopajoṣajuṣi	arara-sampuwa-saMkrIxana-kaTita-avRttizu-iva gopurezu, Sayana-upajoza-juzi
   jaratīkathitakathe śikhayiṣamāṇe śiśujane, jaranmahiṣamaṣīmalīmasatamasi	jaratI-kaTita-kaTe SiKayizamANe SiSu-jane, jaran-mahiza-mazI-malIm-asatamasi
   janitapuṇyajana prajāgare vijṛmbhamāṇe bhīṣaṇatame tamīmukhe,	janita-puNya-jana prajAgare vijRmBamANe BIzaNatame tamImuKe,
   mukharitavitatajyadhanuṣi varṣati	muKarita-vitata-jya-Danuzi varzati
   śaranikaramanavaratamaśeṣasaṃsāraśemuṣīmuṣi makaradhvaje,	Sara-nikaram-anavaratam-aSeza-saMsAra-SemuzI-muzi makaraDvaje,
   ratākalpārambhaśobhini śambhalīsubhāṣitabhāji bhajati bhūṣāṃ bhujiṣyājane,	ratAkalpa-AramBa-SoBini SamBalI-su-BAzita-BAji Bajati BUzAm Bujizya-ajane,
   sairandhrībadhyamānaraśanājālajalpākajaghanāsu janīṣu,	sEranDrI-baDyamAna-raSanA-jAla-jalpAka-jaGanAsu janIzu,
   vaśikaviśikhāvihāriṇīṣvananyajānuplavāsu pracalitāsvabhisārikāsu,	vaSika-viSiKA-vihAriNIzu-ananya-jAnuplavAsu pracalitAsu-aBisArikAsu,
   viralobhavati varaṭānāṃ veśantaśāyinīnāṃ mañjuni mañjīraśiñjitajaḍe	viraloBavati varawAnAm veSanta-SAyinInAm maQjuni maQjIra-SiQjita-jaxe
   jalpite, nidrāvidrāṇadrāghīyasi drāvayatīva ca virahihṛdayāni	jalpite, nidrA-vidrANa-drAGIyasi drAvayati-iva ca virahi-hRdayAni
   sārasarasite, bhāvivāsaravījāṅkuranikara iva ca vikīryamāṇe jagati	sArasa-rasite, BAvi-vA-saravIja-aFkura-nikaraH iva ca vikIryamANe jagati
   pradīpaprakare nivāsasthānamagāt /	pradIpa-prakare nivAsa-sTAnam-agAt /
   akarocca cetasi--"atidakṣiṇaḥ khalu devo harṣaḥ,	akarot-ca cetasi--"ati-dakziNaH Kalu devaH harzaH,
   yadevamanokabālacaritacāpalocitakaulīnakopito 'pi manasā snihyatyeva mayi	yat-evam-anoka-bAla-carita-cApa-locita-kOlIna-kopitaH api manasA snihyati-eva mayi
   yadyahamakṣigataḥ syām na me darśanena prasādaṃ kuryāt /	yadi-aham-akzi-gataH syAm na me darSanena prasAdam kuryAt /
   icchati tu māṃ guṇavantam /	icCati tu mAm guNavantam /
   upadiśanti hi vinayamanurūpapratipattyupapādanena vācā vināpi bhartavyānāṃ	upadiSanti hi vinayam-anurUpa-pratipatti-upapAdanena vAcA vinA-api BartavyAnAm
   svāminaḥ /	svAminaH /
   api ca ghiṅmāṃ svadoṣāndhamānasamanādarapīḍitamevamatiguṇavati	api ca GiFmAm sva-doza-anDa-mAna-samanAdara-pIxitam-evam-atiguNavati
   rājanyanyathā cānyathā ca cintayantam /	rAjani-anyaTA ca-anyaTA ca cintayantam /
   sarvathā tathā karomi, yathā yathāvasthitaṃ jānāti māmayaṃ kālena'	sarvaTA taTA karomi, yaTA yaTA-avasTitam jAnAti mAm-ayam kAlena-a
   ityevamavadhārya cāparedyurniṣkramya kaṭakātsuhṛdāṃ bāndhavānāṃ ca	iti-evam-avaDArya ca-aparedyus-nizkramya kawakAt-suhRdAm bAnDavAnAm ca
   bhavaneṣu tāvadatiṣṭhat, yāvadasyasvayameva gṛhītasvabhāvaḥ pṛthivīpatiḥ	Bavanezu tAvat-atizWat, yAvat-asyasvayam-eva gRhIta-svaBAvaH pRTivIpatiH
   prasādavānabhūt /	prasAdavAn-aBUt /
   aviśacca punarapi narapatibhavanam /	aviSat-ca punar-api narapati-Bavanam /
   svalpaireva cāhobhiḥ paramaprītena prasādajanmano mānasya premṇo	su-alpEH-eva ca-ahoBiH parama-prItena prasAda-janmanaH mAnasya premNaH-
   visrambhasya draviṇasya narmaṇaḥ prabhāvasya ca parāṃ koṭimānīyata	visramBasya draviNasya narmaNaH praBAvasya ca parAm kowim-AnIyata
   narendreṇeti /	narendreNa-iti /
   iti śrīmahākavibāṇabhaṭṭakṛte harṣañcarite rājadarśanaṃ nāma dvitīya	iti SrI-mahAkavi-bANa-Bawwa-kRte harzaQcarite rAjadarSanam nAma dvitIya
   ucchvāsaḥ /	ucCvAsaH /
