   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   kaphapittāsravīsarpakuṣṭhakaṇḍūviṣapraṇut // 124	kaPa-pitta-asra-vIsarpa-kuzWa-kaNxU-viza-praNud // 124
   spṛkkāsṛg brāhmaṇo devo marunmālā latā laghuḥ /	spRkkA-asRj brAhmaNaH devaH marunmAlA latA laGuH /
   samudrāntā vadhūḥ koṭivarṣā laṅkopiketyapi // 125	samudrAntA vaDUH kowivarzA laFkopikA-iti-api // 125
   spṛkkā svādvī himā vṛṣyā tiktā nikhiladoṣanut /	spRkkA svAdvI himA vRzyA tiktA niKila-doza-nud /
   kuṣṭhakaṇḍūviṣasvedadāhāśrījvararaktahṛt // 126	kuzWa-kaNxU-viza-sveda-dAha-aSrI-jvara-rakta-hRt // 126
   parpaṭī rañjanī kṛṣṇā jatukā jananī janī /	parpawI raQjanI kRzNA jatukA jananI janI /
   jatukṛṣṇāgnisaṃsparśā jatukṛccakravartinī // 127	jatu-kRzNA-agni-saMsparSA jatukRt-cakravartinI // 127
   parpaṭī tuvarā tiktā śiśirā varṇakṛllaghuḥ /	parpawI tuvarA tiktA SiSirAH varNa-kRt-laGuH /
   viṣavraṇaharā kaṇḍūkaphapittāsrakuṣṭhanut // 128	viza-vraNa-harA kaNxU-kaPa-pitta-asra-kuzWa-nud // 128
   nalikā vidrumalatā kapotacaraṇā naṭī /	nalikA vidrumalatA kapota-caraNA nawI /
   dhamanyañjanakeśī ca nirmedhyā suṣirā nalī // 129	DamanI-aQjana-keSI ca nirmeDyA suzirA nalI // 129
   nalikā śītalā laghvī cakṣuṣyā kaphapittahṛt /	nalikA SItalA laGvI cakzuzyA kaPa-pitta-hRt /
   kṛcchrāśmavātatṛṣṇāsrakuṣṭhakaṇḍūjvarāpahā // 130	kRcCra-aSma-vAta-tRzNA-asra-kuzWa-kaNxU-jvara-apahAH // 130
   prapauṇḍarīkaṃ pauṇḍaryaṃ cakṣuṣyaṃ pauṇḍarīyakam /	prapONxarIkam pONxaryam cakzuzyam pONxarIyakam /
   pauṇḍaryaṃ madhuraṃ tiktaṃ kaṣāyaṃ śukralaṃ himam /	pONxaryam maDuram tiktam kazAyam Sukralam himam /
   cakṣuṣyaṃ madhuraṃ pāke varṇyaṃ pittakaphapraṇut // 131	cakzuzyam maDuram pAke varNyam pitta-kaPa-praNud // 131
   Bhāvaprakāśa, Vargaprakaraṇa, Guḍūcyādivarga	BhO=-a-prakASa, Varga-prakaraNa, GuxUcI-Adi-varga
   atha laṅkeśvaro mānī rāvaṇo rākṣasādhipaḥ /	aTa laFkeSvaraH mAnI rAvaNaH rAkzasa-aDipaH /
   rāmapatnīṃ balātsītāṃ jahāra madanāturaḥ // 1	rAma-patnIm balAt-sItAm jahAra madana-AturaH // 1
   tatastaṃ balavānrāmo ripuṃ jāyāpahāriṇam /	tatas-tam balavAn-rAmaH ripum jAyA-apahAriNam /
   hṛto vānarasainyena jaghāna raṇamūrdhani // 2	hRtaH vAnara-sEnyena jaGAna raNa-mUrDani // 2
   hate tasminsurārātau rāvaṇe balagarvite /	hate tasmin-sura-arAtO rAvaNe bala-garvite /
   devarājaḥ sahasrākṣaḥ parituṣṭaś ca rāghave // 3	devarAjaH sahasrAkzaH parituzwaH ca rAGave // 3
   tatra ye vānarāḥ kecid rākṣasair nihatā raṇe /	tatra ye vAnarAH kecid rAkzasEH nihatAH raNe /
   tānindro jīvayāmāsa saṃsicyāmṛtavṛṣṭibhiḥ // 4	tAn-indraH jIvayAmAsa saMsicya-amRta-vRzwiBiH // 4
   tato yeṣu pradeśeṣu kapigātrātparicyutāḥ /	tatas yezu pradeSezu kapi-gAtrAt-paricyutAH /
   pīyūṣabindavaḥ petus tebhyo jātā guḍūcikā // 5	pIyUza-bindavaH petuH teByaH jAtA guxUcikA // 5
   guḍūcī madhuparṇī syād amṛtāmṛtavallarī /	guxUcI maDuparNI syAt amRtA-amRtavallarI /
   chinnā chinnaruhā chinnodbhavā vatsādanīti ca // 6	CinnA CinnaruhA CinnodBavA vatsAdanI-iti ca // 6
   jīvantī tantrikā somā somavallī ca kuṇḍalī /	jIvantI tantrikA somA somavallI ca kuNxalI /
   cakralakṣaṇikā dhīrā viśalyā ca rasāyanī // 7	cakralakzaNikA DIrA viSalyA ca rasAyanI // 7
   candrahāsā vayaḥsthā ca maṇḍalī devanirmitā /	candrahAsA vayaHsTA ca maNxalI deva-nirmitA /
   guḍūcī kaṭukā tiktā svādupākā rasāyanī // 8	guxUcI kawukA tiktA svAdu-pAkA rasAyanI // 8
   saṃgrāhiṇī kaṣāyoṣṇā laghvī balyāgnidīpinī /	saMgrAhiNI kazAyA-uzNA laGvI balyA-agni-dIpinI /
   doṣatrayāmatṛḍdāhamehakāsāṃśca pāṇḍutām // 9	dozatraya-Ama-tRz-dAha-meha-kAsAn=-ca pANxu-tAm // 9
   kāmalākuṣṭhavātāsrajvarakrimivamīn haret /	kAmalA-kuzWa-vAtAsra-jvara-krimi-vamIn haret /
   pramehaśvāsakāsārśaḥkṛcchrahṛdrogavātanut // 10	prameha-SvAsa-kAsa-arSaH-kRcCra-hRd-roga-vAta-nud // 10
   tāmbūlavallī tāmbūlī nāginī nāgavallarī /	tAmbUlavallI tAmbUlI nAginI nAgavallarI /
   tāmbūlaṃ viśadaṃ rucyaṃ tīkṣṇoṣṇaṃ tuvaraṃ saram // 11	tAmbUlam viSadam rucyam tIkzNa-uzNam tuvaram saram // 11
   vaśyaṃ tiktaṃ kaṭu kṣāraṃ raktapittakaraṃ laghu /	vaSyam tiktam kawu kzAram raktapitta-karam laGu /
   balyaṃ śleṣmāsyadaurgandhyamalavātaśramāpaham // 12	balyam Slezma-Asya-dOrganDya-mala-vAta-Srama-apaham // 12
   bilvaḥ śāṇḍilyaśailūṣau mālūraśrīphalāv api /	bilvaH SANxilya-SElUzO mAlUra-SrIPalO api /
   śrīphalastuvarastikto grāhī rūkṣo'gnipittakṛt /	SrIPalaH-tuvaraH-tiktaH grAhI rUkzaH-agni-pitta-kRt /
   vātaśleṣmaharo balyo laghuruṣṇaśca pācanaḥ // 13	vAta-Slezma-haraH balyaH laGuH-uzNaH-ca pAcanaH // 13
   gāmbhārī bhadraparṇī ca śrīparṇī madhuparṇikā /	gAmBArI BadraparNI ca SrIparNI maDuparNikA /
   kāśmīrī kāśmarī hīrā kāśmaryaḥ pītarohiṇī // 14	kASmIrI kASmarI hIrA kASmaryaH pItarohiNI // 14
   kṛṣṇavṛntā madhurasā mahākusumikāpi ca /	kRzNavRntA maDurasA mahAkusumikA-api ca /
   kāśmarī tuvarā tiktā vīryoṣṇā madhurā guruḥ // 15	kASmarI tuvarA tiktA vIrya-uzNA maDurA guruH // 15
   dīpanī pācanī medhyā bhedinī bhramaśoṣajit /	dIpanI pAcanI meDyA BedinI Brama-Soza-jit /
   doṣatṛṣṇāmaśūlārśoviṣadāhajvarāpahā // 16	doza-tRzNA-Ama-SUla-arSaH-viza-dAha-jvara-apahAH // 16
   tatphalaṃ bṛṃhaṇaṃ vṛṣyaṃ guru keśyaṃ rasāyanam /	tad-Palam bRMhaNam vRzyam guru keSyam rasAyanam /
   vātapittatṛṣāraktakṣayamūtravibandhanut // 17	vAta-pitta-tRzA-rakta-kzaya-mUtra-vibanDa-nud // 17
   svādu pāke himaṃ snigdhaṃ tuvarāmlaṃ viśuddhikṛt /	svAdu pAke himam snigDam tuvara-amlam viSudDi-kRt /
   hanyāddāhatṛṣāvātaraktapittakṣatakṣayān // 18	hanyAt-dAha-tRzA-vAta-rakta-pitta-kzata-kzayAn // 18
   pāṭaliḥ pāṭalāmoghā madhudūtī phaleruhā /	pAwaliH pAwalA-amoGA maDudUtI PaleruhA /
   kṛṣṇavṛntā kuberākṣī kālasthālyalivallabhā // 19	kRzNavRntA kuberAkzI kAla-sTAlI-ali-vallaBA // 19
   tāmrapuṣpī ca kathitāparā syātpāṭalā sitā /	tAmrapuzpI ca kaTitA-aparA syAt-pAwalA sitA /
   muṣkako mokṣako ghaṇṭāpāṭaliḥ kāṣṭhapāṭalā // 20	muzkakaH mokzakaH GaNwApAwaliH kAzWa-pAwalA // 20
   pāṭalā tuvarā tiktānuṣṇā doṣatrayāpahā /	pAwalA tuvarA tiktA-anuzNA dozatraya-apahA /
   aruciśvāsaśothāsracchardihikkātṛṣāharī // 21	aruci-SvAsa-SoTa-asra=-Cardi-hikkA-tRzA-harI // 21
   puṣpaṃ kaṣāyaṃ madhuraṃ himaṃ hṛdyaṃ kaphāsranut /	puzpam kazAyam maDuram himam hRdyam kaPa-asra-nud /
   pittātisārahṛtkaṇṭhyaṃ phalaṃ hikkāsrapittahṛt // 22	pitta-atisAra-hRd-kaNWyam Palam hikkA-asrapitta-hRt // 22
   agnimantho jayaḥ sa syāc chrīparṇī gaṇikārikā /	agnimanTaH jayaH sa syAt SrIparNI gaNikArikA /
   jayā jayantī tarkārī nādeyī vaijayantikā // 23	jayA jayantI tarkArI nAdeyI vEjayantikAH // 23
   agnimanthaḥ śvayathunud vīryoṣṇaḥ kaphavātahṛt /	agnimanTaH SvayaTu-nud vIrya-uzNaH kaPa-vAta-hRt /
   pāṇḍunut kaṭukastiktastuvaro madhuro'gnidaḥ // 24	pANxu-nud kawukaH-tiktaH-tuvaraH maDuraH-agni-daH // 24
   śyonākaḥ śoṣaṇaśca syānnaṭakaṭvaṅgaṭuṇṭukāḥ /	SyonAkaH SozaNaH-ca syAt-nawa-kawvaFga-wuNwukAH /
   maṇḍūkaparṇapattrorṇaśukanāsakuṭannaṭāḥ // 25	maNxUka-parNa-pattrorNa-SukanAsa-kuwannawAH // 25
   dīrghavṛnto 'raluścāpi pṛthuśimbaḥ kaṭaṃbharaḥ /	dIrGavRntaH araluH-ca-api pRTuSimbaH kawaMBaraH /
   śyonāko dīpanaḥ pāke kaṭukastuvaro himaḥ /	SyonAkaH dIpanaH pAke kawukaH-tuvaraH himaH /
   grāhī tikto'nilaśleṣmapittakāsapraṇāśanaḥ // 26	grAhI tiktaH-anila-Slezma-pitta-kAsa-praNASanaH // 26
   ṭuṇṭukasya phalaṃ bālaṃ rūkṣaṃ vātakaphāpaham // 27	wuNwukasya Palam bAlam rUkzam vAta-kaPa-apaham // 27
   hṛdyaṃ kaṣāyaṃ madhuraṃ rocanaṃ laghu dīpanam /	hRdyam kazAyam maDuram rocanam laGu dIpanam /
   gulmārśaḥkṛmihṛtprauḍhaṃ guru vātaprakopaṇam // 28	gulma-arSaH-kRmi-hRt-prOXam guru vAta-prakopaNam // 28
   śrīphalaḥ sarvatobhadrā pāṭalā gaṇikārikā /	SrIPalaH sarvatoBadrA pAwalA gaNikArikA /
   śyonākaḥ pañcabhiścaitaiḥ pañcamūlaṃ mahanmatam // 29	SyonAkaH paQcaBiH-ca-etEH paQcamUlam mahat-matam // 29
   pañcamūlaṃ mahattiktaṃ kaṣāyaṃ kaphavātanut /	paQcamUlam mahat-tiktam kazAyam kaPa-vAta-nud /
   madhuraṃ śvāsakāsaghnamuṣṇaṃ laghvagnidīpanam // 30	maDuram SvAsa-kAsa-Gnam-uzNam laGu-agni-dIpanam // 30
   śāliparṇī sthirā saumyā triparṇī pīvarī guhā /	SAliparNI sTirA sOmyA triparNI pIvarI guhA /
   vidārigandhā dīrghāṅgī dīrghapattrāṃśumatyapi // 31	vidAriganDA dIrGAFgI dIrGapattrA-aMSumatI-api // 31
   śāliparṇī guruśchardijvaraśvāsātisārajit // 32	SAliparNI guruH-Cardi-jvara-SvAsa-atisAra-jit // 32
   śoṣadoṣatrayaharī bṛṃhaṇyuktā rasāyanī /	Soza-dozatraya-harI bRMhaNI-uktA rasAyanI /
   tiktā viṣaharī svāduḥ kṣatakāsakrimipraṇut // 33	tiktA viza-harI svAduH kzata-kAsa-krimi-praNud // 33
   pṛśniparṇī pṛthakparṇī citraparṇyahiparṇyapi /	pRSniparNI pRTakparNI citraparNI-ahiparNI-api /
   kroṣṭuvinnā siṃhapucchī kalaśī dhāvanirguhā // 34	krozwuvinnA siMhapucCI kalaSI DAva-nirguhAH // 34
   pṛśniparṇī tridoṣaghnī vṛṣyoṣṇā madhurā sarā /	pRSniparNI tridoza-GnI vRzyA-uzNA maDurA sarAH /
   hanti dāhajvaraśvāsaraktātīsāratṛḍvamīḥ // 35	hanti dAha-jvara-SvAsa-rakta-atIsAra-tRz-vamIH // 35
   vārttākī kṣudrabhaṇṭākī mahatī bṛhatī kulī /	vArttAkI kzudraBaNwAkI mahatI bRhatI kulI /
   hiṅgulī rāṣṭrikā siṃhī mahoṣṭrī duṣpradharṣiṇī // 36	hiFgulI rAzwrikA siMhI mahozwrI duzpraDarziNI // 36
   bṛhatī grāhiṇī hṛdyā pācanī kaphavātakṛt /	bRhatI grAhiNI hRdyA pAcanI kaPa-vAta-kRt /
   kaṭutiktāsyavairasyamalārocakanāśinī /	kawu-tikta-Asya-vErasya-mala-arocaka-nASinI /
   uṣṇā kuṣṭhajvaraśvāsaśūlakāsāgnimāndyajit // 37	uzNA kuzWa-jvara-SvAsa-SUla-kAsa-agni-mAndya-jit // 37
   kaṇṭakārī tu duḥsparśā kṣudrā vyāghrī nidigdhikā /	kaNwakArI tu duHsparSA kzudrA vyAGrI nidigDikA /
   kaṇṭālikā kaṇṭakinī dhāvanī bṛhatī tathā // 38	kaNwAlikA kaNwakinI DAvanI bRhatI taTA // 38
   śvetā kṣudrā candrahāsā lakṣmaṇā kṣetradūtikā /	SvetA kzudrA candrahAsA lakzmaNA kzetradUtikAH /
   garbhadā candramā candrī candrapuṣpā priyaṃkarī // 39	garBadA candramA candrI candrapuzpA priyaMkarI // 39
   kaṇṭakārī sarā tiktā kaṭukā dīpanī laghuḥ // 40	kaNwakArI sarA tiktA kawukA dIpanI laGuH // 40
   rūkṣoṣṇā pācanī kāsaśvāsajvarakaphānilān /	rUkzA-uzNA pAcanI kAsa-SvAsa-jvara-kaPa-anilAn /
   nihanti pīnasaṃ pārśvapīḍākṛmihṛdāmayān // 41	nihanti pInasam pArSva-pIxA-kRmi-hRd-AmayAn // 41
   tayoḥ phalaṃ kaṭu rase pāke ca kaṭukaṃ bhavet /	tayoH Palam kawu rase pAke ca kawukam Bavet /
   śukrasya recanaṃ bhedi tiktaṃ pittāgnikṛllaghu /	Sukrasya recanam Bedi tiktam pitta-agni-kRt-laGu /
   hanyātkaphamarutkaṇḍūkāsamedaḥkrimijvarān // 42	hanyAt-kaPa-marut-kaNxU-kAsa-medaH-krimi-jvarAn // 42
   tadvat proktā sitā kṣudrā viśeṣād garbhakāriṇī // 43	tadvat proktA sitA kzudrA viSezAt garBa-kAriNI // 43
   gokṣuraḥ kṣurako'pi syāt trikaṇṭaḥ svādukaṇṭakaḥ /	gokzuraH kzurakaH-api syAt trikaNwaH svAdukaNwakaH /
   gokaṇṭako gokṣurako vanaśṛṅgāṭa ityapi // 44	gokaNwakaH gokzurakaH vanaSRFgAwaH iti-api // 44
   palaṃkaṣā śvadaṃṣṭrā ca tathā syād ikṣugandhikā /	palaMkazA SvadaMzwrA ca taTA syAt ikzuganDikA /
   gokṣuraḥ śītalaḥ svādurbalakṛdvastiśodhanaḥ // 45	gokzuraH SItalaH svAduH-bala-kRt-vasti-SoDanaH // 45
   madhuro dīpano vṛṣyaḥ puṣṭidaścāśmarīharaḥ /	maDuraH dIpanaH vRzyaH puzwi-daH-ca-aSmarI-haraH /
   pramehaśvāsakāsārśaḥkṛcchrahṛdrogavātanut // 46	prameha-SvAsa-kAsa-arSaH-kRcCra-hRd-roga-vAta-nud // 46
   śāliparṇī pṛśniparṇī vārttākī kaṇṭakārikā /	SAliparNI pRSniparNI vArttAkI kaNwakArikAH /
   gokṣuraḥ pañcabhiścaitaiḥ kaniṣṭhaṃ pañcamūlakam // 47	gokzuraH paQcaBiH-ca-etEH kanizWam paQcamUlakam // 47
   pañcamūlaṃ laghu svādu balyaṃ pittānilāpaham /	paQcamUlam laGu svAdu balyam pitta-anila-apaham /
   nātyuṣṇaṃ bṛṃhaṇaṃ grāhi jvaraśvāsāśmarīpraṇut // 48	na-ati-uzNam bRMhaNam grAhi jvara-SvAsa-aSmarI-praNud // 48
   ubhābhyāṃ pañcamūlābhyāṃ daśamūlam udāhṛtam /	uBAByAm paQcamUlAByAm daSamUlam udAhRtam /
   daśamūlaṃ tridoṣaghnaṃ śvāsakāsaśirorujaḥ /	daSamUlam tridoza-Gnam SvAsa-kAsa-SiraH-rujaH /
   tandrāśothajvarānāhapārśvapīḍārucīr haret // 49	tandrA-SoTa-jvara-AnAha-pArSva-pIxA-arucIH haret // 49
   jīvantī jīvanī jīvā jīvanīyā madhusravā /	jIvantI jIvanI jIvAH jIvanIyAH maDu-sravAH /
   maṅgalyanāmadheyā ca śākaśreṣṭhā payasvinī // 50	maFgalya-nAmaDeyA ca SAkaSrezWA payasvinI // 50
   jīvantī śītalā svāduḥ snigdhā doṣatrayāpahā /	jIvantI SItalA svAduH snigDAH dozatraya-apahA /
   rasāyanī balakarī cakṣuṣyā grāhiṇī laghuḥ // 51	rasAyanI bala-karI cakzuzyA grAhiNI laGuH // 51
   mudgaparṇī kākaparṇī sūryaparṇy alpikā sahā // 52	mudgaparNI kAkaparNI sUryaparNI alpikA sahAH // 52
   kākamudgā ca sā proktā tathā mārjāragandhikā /	kAkamudgA ca sA proktA taTA mArjAraganDikA /
   mudgaparṇī himā rūkṣā tiktā svāduśca śukralā // 53	mudgaparNI himA rUkzA tiktA svAduH-ca SukralAH // 53
   cakṣuṣyā kṣataśothaghnī grāhiṇī jvaradāhanut /	cakzuzyA kzata-SoTa-GnI grAhiNI jvara-dAha-nud /
   doṣatrayaharī laghvī grahaṇyarśo'tisārajit // 54	dozatraya-harI laGvI grahaNI-arSaH-atisAra-jit // 54
