   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   * iti // MrgTV_1,1.5:11	* iti // MrgTV_1,1.5:11
   * sarvarūpaṃ bhavaṃ jñātvā liṅge yo 'rcayati prabhum /	* sarva-rUpam Bavam jQAtvA liFge yaH arcayati praBum /
   * tasminn abhyadhikāṃ prītiṃ karoti vṛṣabhadhvajaḥ // MrgTV_1,1.5:12	* tasmin aByaDikAm prItim karoti vRzaBaDvajaH // MrgTV_1,1.5:12
   * iti // MrgTV_1,1.5:13	* iti // MrgTV_1,1.5:13
   * tathā /	* taTA /
   * ādityā vasavo rudrā munayaś ca mahaujasaḥ /	* AdityAH vasavaH rudrAH munayaH ca mahA-ojasaH /
   * vidhival liṅgam ārādhya padam iṣṭatamaṃ gatāḥ // MrgTV_1,1.5:14	* viDivat liFgam ArADya padam izwatamam gatAH // MrgTV_1,1.5:14
   * iti // MrgTV_1,1.5:15	* iti // MrgTV_1,1.5:15
   * tathā /	* taTA /
   * mṛdbhasmagośakṛtpiṣṭaguḍakhaṇḍādiliṅgakam /	* mRd-Basma-go-SakRt-pizwa-guxa-KaNxa-Adi-liFgakam /
   * sampūjayan pratiṣṭhāpya śraddhāvān adhigacchati // MrgTV_1,1.5:16	* sampUjayan pratizWApya SradDAvAn aDigacCati // MrgTV_1,1.5:16
   * iti // MrgTV_1,1.5:17	* iti // MrgTV_1,1.5:17
   * tatrāprāmāṇyam abhyupagamyāpi brūmaḥ yad abhiprāyeṇedam abhidhīyate	* tatra-aprAmANyam aByupagamya-api brUmaH yat aBiprAyeNa-idam aBiDIyate
   bhavadbhiḥ sa tāvat śrutyartha eva smaryatāṃ tatra hi // MrgTV_1,1.5:18	BavadBiH sa tAvat Sruti-arTaH eva smaryatAm tatra hi // MrgTV_1,1.5:18
   vede 'sti saṃhitā raudrī vācyā rudraś ca devatā /	vede asti saMhitA rOdrI vAcyA rudraH ca devatA /
   sāṃnidhyakaraṇe 'py asmin vihitaḥ kālpiko vidhiḥ || MrgT_1,1.6 ||	sAMniDya-karaNe api asmin vihitaH kAlpikaH viDiH || MrgT_1,1.6 ||
   * rudro devatāsyā iti raudrī saṃhitā ṛgyajuḥsāmalakṣaṇe cātharvaṇe ca vede	* rudraH devatA-asyAH iti rOdrI saMhitA Rc-yajuH-sAma-lakzaNe ca-ATarvaNe ca vede
   'sti /	asti /
   * yajurvede hi rudraikādaśinī saṃhitā śrūyate yasyāṃ bhagavanto rudrāḥ	* yajurvede hi rudra-ekAdaSinI saMhitA SrUyate yasyAm BagavantaH rudrAH
   sarvābhipretasādhakāḥ paṭhyante /	sarva-aBipreta-sADakAH paWyante /
   * ṛgvede 'pi /	* Rgvede api /
   * tryambakaṃ yajāmahe // MrgTV_1,1.6:1	* tryambakam yajAmahe // MrgTV_1,1.6:1
   * imā rudrāya tavase kapardine // MrgTV_1,1.6:2	* imAH rudrAya tavase kapardine // MrgTV_1,1.6:2
   * imā rudrāya sthiradhanvane giraḥ // MrgTV_1,1.6:3	* imAH rudrAya sTira-Danvane giraH // MrgTV_1,1.6:3
   * ityādikā ṛgvidhānāmnātās tattadviśiṣṭavidhānaphalā vidyanta eva /	* iti-AdikAH RgviDAna-AmnAtAH tad-tad-viSizwa-viDAna-PalAH vidyante eva /
   * sāmavede 'py asti /	* sAmavede api asti /
   * śrūyate hi sāmnāṃ vidhāne /	* SrUyate hi sAmnAm viDAne /
   * ā vo rājā tad vo varga ājyadohāni devavratāni caiṣā raudrī nāma	* A vaH rAjA tat vaH vargaH Ajya-dohAni deva-vratAni ca-ezA rOdrI nAma
   saṃhitaitāṃ prayuñjāno rudraṃ prīṇāti // MrgTV_1,1.6:4	saMhitA-etAm prayuQjAnaH rudram prINAti // MrgTV_1,1.6:4
   * iti /	* iti /
   * evam ātharvaṇe 'pi rudrārādhanavidhayaḥ tanmantrasaṃhitāś ca sambhavanti	* evam ATarvaNe api rudra-ArADana-viDayaH tad-mantra-saMhitAH ca samBavanti
   // MrgTV_1,1.6:5	// MrgTV_1,1.6:5
   * na ca kevalaṃ saṃhitāmātram evāsti // MrgTV_1,1.6:6	* na ca kevalam saMhitA-mAtram eva-asti // MrgTV_1,1.6:6
   * tatra tatra rudra eva devatā vācyarūpatayā śrūyate yam uddiśya /	* tatra tatra rudraH eva devatAH vAcya-rUpa-tayA SrUyate yam uddiSya /
   * eṣa te rudra bhāgaḥ saha svasrāmbikayā taṃ juṣasva svāhā /	* eza te rudra BAgaH saha svasra-ambikayA tam juzasva svAhA /
   * iti śrutiḥ // MrgTV_1,1.6:7	* iti SrutiH // MrgTV_1,1.6:7
   * na caitāvat yāvatkālpika iti kalpo vedāṅgaṃ tadukto vidhiḥ bhagavataḥ	* na ca-etAvat yAvat-kAlpikaH iti kalpaH vedAFgam tat-uktaH viDiH BagavataH
   sāṃnidhyakalpanāya śrūyate // MrgTV_1,1.6:8	sAMniDya-kalpanAya SrUyate // MrgTV_1,1.6:8
   * tathā hi kāṭhake sūtrapariśiṣṭīye rudrakalpe /	* taTA hi kAWake sUtra-pariSizwIye rudra-kalpe /
   * triṣavaṇam udakopasparśanam ity uktvoktaṃ darbheṣv āsīno darbhamuṣṭiṃ	* trizavaNam udaka-upasparSanam iti uktvA-uktam darBezu AsInaH darBa-muzwim
   dhārayamāṇo rakṣobhyopyavijñeyo bhavati śākayāvakapayobhaikṣabhakṣaḥ	DArayamANaH rakzoByopyavijQeyaH Bavati SAka-yAvaka-payaH-BEkza-BakzaH
   ṣaḍbhir māsaiḥ pratyakṣībhavantaṃ bhagavantaṃ paśyati /	zaxBiH mAsEH pratyakzIBavantam Bagavantam paSyati /
   * iti // MrgTV_1,1.6:9	* iti // MrgTV_1,1.6:9
   * evaṃ ca śraddadhānamanasāṃ jaiminīyacchāyāśrayiṇām api codanāpradarśito	* evam ca SraddaDAna-manasAm jEminIya=-CAyA-ASrayiNAm api codanA-pradarSitaH-
   'yam astīva prasiddhaḥ panthāḥ kiṃ punaḥ	ayam asti-iva prasidDaH panTAH kim punar-
   parameśvaraprakāśanavihatamahāmohatimiratayā vispaṣṭadṛṣṭīnām anyeṣām //	parameSvara-prakASana-vihata-mahA-moha-timira-tayA vispazwa-dRzwInAm anyezAm //
   MrgTV_1,1.6:10	MrgTV_1,1.6:10
   ity ukte 'pi paraṃ bhāvaṃ jijñāsuḥ prahasan prabhuḥ /	iti ukte api param BAvam jijQAsuH prahasan praBuH /
   tān āha mithyā jñānaṃ vaḥ śabdamātraṃ hi devatā || MrgT_1,1.7 ||	tAn Aha miTyA jQAnam vaH Sabda-mAtram hi devatAH || MrgT_1,1.7 ||
   * evam api kathite tadīyaṃ bhaktiprakarṣaṃ jñātum icchur indratvena	* evam api kaTite tadIyam Bakti-prakarzam jQAtum icCuH indra-tvena
   paramaiśvaryayogāt prabhuḥ prabhavanaśīlaḥ sa tān munīn sasmitam āha //	parama-ESvarya-yogAt praBuH praBavana-SIlaH sa tAn munIn sa-smitam Aha //
   MrgTV_1,1.7:1	MrgTV_1,1.7:1
   * kiṃ tat // MrgTV_1,1.7:2	* kim tat // MrgTV_1,1.7:2
   * mithyā jñānaṃ vaḥ yuṣmākaṃ sambandhi yad	* miTyA jQAnam vaH yuzmAkam sambanDi yat-
   etalliṅgārcanādiśivārādhanapratipādakaṃ jñānaṃ śāstraṃ tan mithyā na	etad-liFga-arcana-Adi-Siva-ArADana-pratipAdakam jQAnam SAstram tat miTyA na
   satyaṃ tat praṇetṛtathāvidhadevatānupapatteḥ // MrgTV_1,1.7:3	satyam tat praNetR-taTAviDa-devatA-anupapatteH // MrgTV_1,1.7:3
   * yataḥ karmānuṣṭhānād eva phalaṃ na devatātaḥ // MrgTV_1,1.7:4	* yatas karma-anuzWAnAt eva Palam na devatAtaH // MrgTV_1,1.7:4
   * śabdamātraṃ hi devatā // MrgTV_1,1.7:5	* Sabda-mAtram hi devatAH // MrgTV_1,1.7:5
   * na khalu vayaṃ	* na Kalu vayam
   pratyakṣetarapramāṇāpahnavapravṛttadurācāracārvākavadasaṃbhavam eva	pratyakza-itara-pramANa-apahnava-pravRtta-durAcAra-cArvAka-vat-asaMBavam eva
   devatāyāḥ pratipadyāmahe // MrgTV_1,1.7:6	devatAyAH pratipadyAmahe // MrgTV_1,1.7:6
   * kiṃ tarhi // MrgTV_1,1.7:7	* kim tarhi // MrgTV_1,1.7:7
   * vidyata eva devatā sā tu śabdān nātiricyate api tu ayogolakavahnivad	* vidyate eva devatA sA tu SabdAt na-atiricyate api tu ayaH-golaka-vahni-vat-
   anupalabhyamānavācyārthapṛthagbhāvaḥ śabda eva teṣu teṣu kriyāviśeṣeṣu	anupalaByamAna-vAcya-arTa-pRTak-BAvaH SabdaH eva tezu tezu kriyA-viSezezu
   aṅgabhāvaṃ gacchan yāgasampradānadevatā viśeṣākhyāṃ labhate //	aFga-BAvam gacCan yAga-sampradAna-devatA viSeza-AKyAm laBate //
   MrgTV_1,1.7:8	MrgTV_1,1.7:8
   * tad uktam /	* tat uktam /
   * avinirbhinnaśabdārthaṃ dhyāyed oṃkāram īśvaram /	* avinirBinna-Sabda-arTam DyAyet oMkAram ISvaram /
   * iti // MrgTV_1,1.7:9	* iti // MrgTV_1,1.7:9
   * na cātra kaścid eka eva viśveśitāstīti niyamaḥ pratijñātuṃ śakyaḥ	* na ca-atra kaScid ekaH eva viSva-ISitA-asti-iti niyamaH pratijQAtum SakyaH
   anekākārasuprasiddhabahutaradevatāviśeṣaśravaṇāt // MrgTV_1,1.7:10	aneka-AkAra-su-prasidDa-bahutara-devatA-viSeza-SravaNAt // MrgTV_1,1.7:10
   * tac cedam anupamamahimnaḥ śabdarūpasyaivaṃ vijṛmbhitaṃ yad ekam api sat	* tat ca-idam anupama-mahimnaH Sabda-rUpasya-evam vijRmBitam yat ekam api sat-
   tat tad devatāviśeṣapratītihetutām ātmapratītihetutāṃ cābhyeti //	tat tat devatA-viSeza-pratIti-hetu-tAm Atma-pratIti-hetutAm ca-aByeti //
   MrgTV_1,1.7:11	MrgTV_1,1.7:11
   * tathaiva śrutiḥ /	* taTA-eva SrutiH /
   * indraṃ mitraṃ varuṇam agnim āhur atho divyaḥ sa suparṇo garutmān /	* indram mitram varuNam agnim AhuH aTo divyaH sa suparNaH garutmAn /
   * ekaṃ sadviprā bahudhā vadanty agniṃ yamaṃ mātariśvānam āhuḥ //	* ekam sat-viprAH bahuDA vadanti agnim yamam mAtariSvAnam AhuH //
   MrgTV_1,1.7:12	MrgTV_1,1.7:12
   * iti // MrgTV_1,1.7:13	* iti // MrgTV_1,1.7:13
   * tat saṃsthitam etac chabdātmikā devateti // MrgTV_1,1.7:14	* tat saMsTitam etat Sabda-AtmikA devatA-iti // MrgTV_1,1.7:14
   * evam anvayenābhidhāya vyatirekeṇāmum evārthaṃ draḍhayitum āha //	* evam anvayena-aBiDAya vyatirekeNa-amum eva-arTam draXayitum Aha //
   MrgTV_1,1.7:15	MrgTV_1,1.7:15
   śabdetaratve yugapadbhinnadeśeṣu yaṣṭṛṣu /	Sabda-itara-tve yugapad-Binna-deSezu yazwRzu /
   na sā prayāti sāṃnidhyaṃ mūrtatvād asmadādivat || MrgT_1,1.8 ||	na sA prayAti sAMniDyam mUrta-tvAt asmad-Adi-vat || MrgT_1,1.8 ||
   * śabdavyatiriktā hi yadi devatā vidyate kiṃ vigrahavatī avigrahā	* Sabda-vyatiriktA hi yadi devatA vidyate kim vigrahavatI avigrahA
   ubhayarūpānubhayarūpā vā // MrgTV_1,1.8:1	uBaya-rUpa-anuBaya-rUpAH vA // MrgTV_1,1.8:1
   * anubhayarūpatve viruddhadharmādhyāsaḥ	* anuBaya-rUpa-tve virudDa-Darma-aDyAsaH
   svasiddhāntaviruddhānekāntavādābhyupagamaḥ	sva-sidDAnta-virudDa-anekAnta-vAda-aByupagamaH
   vyastapakṣadvayodbhāvitadoṣaprasaṅgaś ca // MrgTV_1,1.8:2	vyasta-pakza-dvaya-udBAvita-doza-prasaFgaH ca // MrgTV_1,1.8:2
   * avigrahatve śabdenaiva kim aparāddham // MrgTV_1,1.8:3	* avigraha-tve Sabdena-eva kim aparAdDam // MrgTV_1,1.8:3
   * vigrahavattve tu bhinnadeśāvasthiteṣu yugapat prārabdhayāgeṣu yajvasu	* vigrahavat-tve tu Binna-deSa-avasTitezu yugapad prArabDa-yAgezu yajvasu
   mūrtatvāt tasyāḥ sāṃnidhyānupapattiḥ // MrgTV_1,1.8:4	mUrta-tvAt tasyAH sAMniDya-anupapattiH // MrgTV_1,1.8:4
   * nanu mūrtatve saty api sāṃnidhyaṃ	* nanu mUrta-tve sati api sAMniDyam
   parasparavidūradeśasthopasthātṛjanopahṛtasaparyayor arkendubimbayor dṛṣṭam	paraspara-vidUra-deSa-sTa-upasTAtR-jana-upahRta-saparyayoH arka-indu-bimbayoH dRzwam
   ity anaikāntikaṃ mūrtatvam // MrgTV_1,1.8:5	iti anEkAntikam mUrta-tvam // MrgTV_1,1.8:5
   * nānaikāntikam arkendubimbayoḥ svaprabhābhāsvarayor uccataratvena	* na-anEkAntikam arka-indu-bimbayoH sva-praBA-BAsvarayoH uccatara-tvena
   sakaladeśopalakṣyasthānamātrasthayor bahujanopalambhayogyadeśāvasthānam	sakala-deSa-upalakzya-sTAna-mAtra-sTayoH bahu-jana-upalamBa-yogya-deSa-avasTAnam
   eva sāṃnidhyaṃ bhavatāṃ pratibhāti na vāstavam // MrgTV_1,1.8:6	eva sAMniDyam BavatAm pratiBAti na vAstavam // MrgTV_1,1.8:6
   * tathā cātyuttuṅgaraṅgotsaṅgavartinī nartakī vidūradeśavartibhir	* taTA ca-ati-uttuFga-raFga-utsaFga-vartinI nartakI vidUra-deSa-vartiBiH-
   bhūyobhiḥ prekṣakaiḥ prekṣyamāṇā naikaikaṃ prati prākāmyaśaktyā sāṃnidhyaṃ	BUyoBiH prekzakEH prekzyamANA na-ekEkam prati prAkAmya-SaktyA sAMniDyam
   bhajate // MrgTV_1,1.8:7	Bajate // MrgTV_1,1.8:7
   * tasmāt samakālam anekagṛhabhojanopanimantritānāṃ yathāsmākam	* tasmAt sama-kAlam aneka-gRha-Bojana-upanimantritAnAm yaTA-asmAkam
   anekagṛhabhojanaṃ na dṛṣṭam evaṃ devatāyās tulyakālaṃ	aneka-gRha-Bojanam na dRzwam evam devatAyAH tulya-kAlam
   bhinnadeśasthayāgasāṃnidhyaṃ mūrtatvān na saṃbhāvyam iti śabdamātratvam	Binna-deSa-sTa-yAga-sAMniDyam mUrta-tvAt na saMBAvyam iti Sabda-mAtra-tvam
   evāsyāḥ sādhīyaḥ // MrgTV_1,1.8:8	eva-asyAH sADIyaH // MrgTV_1,1.8:8
   * kiṃca // MrgTV_1,1.8:9	* kiMca // MrgTV_1,1.8:9
   na ca tatsādhakaṃ kiṃcit pramāṇaṃ bhāty abādhitam /	na ca tad-sADakam kiMcid pramANam BAti abADitam /
   * na kila tathāvidhavyatyayadaśāvirahitaparamaparokṣavapuṣaḥ	* na kila taTAviDa-vyatyaya-daSA-virahita-parama-parokza-vapuzaH
   prakṛṣṭātiśayaiśvaryopapannajñānānantamahimno devatāviśeṣasya sādhakaṃ kim	prakRzwa-atiSaya-ESvarya-upapanna-jQAna-ananta-mahimnaH devatA-viSezasya sADakam kim
   api pramāṇaṃ pratibhāti // MrgTV_1,1.9ab1:1	api pramANam pratiBAti // MrgTV_1,1.9ab1:1
   * tathā hi aparokṣatvena sakalapramāṇajyeṣṭhasya pratyakṣasya tāvan nāsau	* taTA hi aparokza-tvena sakala-pramANa-jyezWasya pratyakzasya tAvat na-asO
   gocaraḥ // MrgTV_1,1.9ab1:2	gocaraH // MrgTV_1,1.9ab1:2
   * na hy atīndriyaviṣayagrahaṇakṣamatvaṃ pratyakṣasya sambhavati //	* na hi atIndriya-vizaya-grahaNa-kzama-tvam pratyakzasya samBavati //
   MrgTV_1,1.9ab1:3	MrgTV_1,1.9ab1:3
   * atha vyavahitaviprakṛṣṭārthaviṣayaṃ yogipratyakṣaṃ tat sattāniścāyakam	* aTa vyavahita-viprakRzwa-arTa-vizayam yogi-pratyakzam tat sattA-niScAyakam
   iti cet tan na yasmād asmadādyatīndriyārthadarśino yoginaḥ sūkṣmādiviṣayas	iti ced tat na yasmAt asmad-Adi-atIndriya-arTa-darSinaH yoginaH sUkzma-Adi-vizaya-s
   tatpratyakṣaṃ tena ceśaḥ sākṣātkriyate ity etat sarvam anupapannaṃ	tad-pratyakzam tena ca-ISaH sAkzAtkriyate iti etat sarvam anupapannam
   pramāṇābhāvāt // MrgTV_1,1.9ab1:4	pramANa-aBAvAt // MrgTV_1,1.9ab1:4
   * atīndriyo 'tīndriyārthadarśī ca kaścit sādhayitum iṣṭas tasya	* atIndriyaH atIndriya-arTa-darSI ca kaScid sADayitum izwaH tasya
   tathāvidhapuruṣapratyakṣeṇāsiddhena sādhanaṃ prāmāṇikasyāpi bhavataḥ kim	taTAviDa-puruza-pratyakzeNa-asidDena sADanam prAmANikasya-api BavataH kim
   iti na trapāvaham // MrgTV_1,1.9ab1:5	iti na trapa-Avaham // MrgTV_1,1.9ab1:5
   * nanv asty atrānupahatasāmarthyam anumānaṃ tathā hi jagad idam	* nanu asti atra-anupahata-sAmarTyam anumAnam taTA hi jagat idam
   urvīparvatasaritsamudrādi dharmi kāryam iti sādhyo dharmaḥ sāvayavatvāt	urvI-parvata-sarit-samudra-Adi Darmi kAryam iti sADyaH DarmaH sAvayava-tvAt-
   yad yat sāvayavaṃ tat tat kāryaṃ yathā valabhiprākārapuṣkariṇyādi //	yat yat sa-avayavam tat tat kAryam yaTA valaBi-prAkAra-puzkariNI-Adi //
   MrgTV_1,1.9ab1:6	MrgTV_1,1.9ab1:6
   * vipakṣavyāvṛttaś cāyaṃ hetur yatra kilātmādau kāryatvaṃ nāsti tatra	* vipakza-vyAvRttaH ca-ayam hetuH yatra kila-Atma-AdO kArya-tvam na-asti tatra
   sāvayavatvam api nāstīti // MrgTV_1,1.9ab1:7	sAvayava-tvam api na-asti-iti // MrgTV_1,1.9ab1:7
   * na cāsya hetor īśvaraśarīreṇānaikāntikatvaṃ yathāhur jaiminīyāḥ /	* na ca-asya hetoH ISvara-SarIreNa-anEkAntika-tvam yaTA-AhuH jEminIyAH /
   * anekāntaś ca hetus te taccharīrādinā bhavet /	* anekAntaH ca hetuH te tad-SarIra-AdinA Bavet /
   * iti // MrgTV_1,1.9ab1:8	* iti // MrgTV_1,1.9ab1:8
   * tasyāpi tadicchākāryatvena asmābhir iṣyamāṇatvād iti // MrgTV_1,1.9ab1:9	* tasya-api tad-icCA-kArya-tvena asmABiH izyamANa-tvAt iti // MrgTV_1,1.9ab1:9
   * siddhe ca jagataḥ kāryatve 'pi yad yat kāryaṃ tat tad	* sidDe ca jagataH kAryatve api yat yat kAryam tat tat-
   viśiṣṭajñānakriyopapannakartṛkāvinābhāvi ghaṭapaṭādivat //	viSizwa-jQAna-kriyA-upapanna-kartRkA-vinABAvi Gawa-pawa-Adi-vat //
   MrgTV_1,1.9ab1:10	MrgTV_1,1.9ab1:10
   * kāryaṃ cedaṃ jagat // MrgTV_1,1.9ab1:11	* kAryam ca-idam jagat // MrgTV_1,1.9ab1:11
   * tasmād idam api niratiśayajñatvakartṛtvasampannaṃ nirmātāraṃ gamayati //	* tasmAt idam api niratiSaya-jQa-tva-kartR-tva-sampannam nirmAtAram gamayati //
   MrgTV_1,1.9ab1:12	MrgTV_1,1.9ab1:12
   * yaś cātra nirmātā sa kaḥ // MrgTV_1,1.9ab1:13	* yaH ca-atra nirmAtA sa kaH // MrgTV_1,1.9ab1:13
   * īśvara iti // MrgTV_1,1.9ab1:14	* ISvaraH iti // MrgTV_1,1.9ab1:14
   * kim etan na pramāṇaṃ bhavet // MrgTV_1,1.9ab1:15	* kim etat na pramANam Bavet // MrgTV_1,1.9ab1:15
   * etad yady abādhitaṃ syāt yāvatā paramāṇvindriyāder jagadbhāgasyāsiddhaṃ	* etat yadi abADitam syAt yAvatA paramANu-indriya-AdeH jagat-BAgasya-asidDam
   sāvayavatvam iti bhāgāsiddho 'yaṃ hetuḥ // MrgTV_1,1.9ab1:16	sAvayava-tvam iti BAga-asidDaH ayam hetuH // MrgTV_1,1.9ab1:16
   * paramāṇūnām ācaitanye sati anekatvād ghaṭādivat kāryatvam avyabhicāri	* paramANUnAm AcEtanye sati aneka-tvAt Gawa-Adi-vat kAryatvam avyaBicAri
   iti kila bhavatām abhyupagamaḥ // MrgTV_1,1.9ab1:17	iti kila BavatAm aByupagamaH // MrgTV_1,1.9ab1:17
   * yad apy etat dṛṣṭāntīkṛtaṃ valabhiprākārapuṣkariṇyādi tad gatam	* yat api etat dRzwAntIkRtam valaBi-prAkAra-puzkariNI-Adi tat gatam
   upādānasahakārikāraṇādyānuguṇyavaiguṇyāt nirvṛttasadasatsaṃniveśaṃ	upAdAna-sahakAri-kAraNa-Adya-anuguNya-vEguNyAt nirvRtta-sat-asat-saMniveSam
   sāvayavatvam // MrgTV_1,1.9ab1:18	sAvayava-tvam // MrgTV_1,1.9ab1:18
   * tadanyad eva tattatsaṃniveśasadṛśam // MrgTV_1,1.9ab1:19	* tat-anyat eva tad-tad-saMniveSa-sadRSam // MrgTV_1,1.9ab1:19
   * itarad eva hi mahīmahīdharādigataṃ sāvayavatvaṃ	* itarat eva hi mahI-mahIDara-Adi-gatam sAvayava-tvam
   vastusādṛśyāvalambanapūrvavyāptidarśanāhitasaṃskārā ca	vastu-sAdRSya-avalambana-pUrva-vyApti-darSana-Ahita-saMskArA ca
   tadanuguṇasādhyasādhanārthaṃ prāmāṇikam iti pravartata iti yuktaṃ na punaḥ	tad-anuguNa-sADya-sADana-arTam prAmANikam iti pravartate iti yuktam na punar-
   sāvayavatvaśabdamātrasāmānyāśrayeṇa // MrgTV_1,1.9ab1:20	sAvayava-tva-Sabda-mAtra-sAmAni-a-ASrayeNa // MrgTV_1,1.9ab1:20
   * yad āha dharmakīrtiḥ /	* yat Aha Darma-kIrtiH /
   * siddhaṃ yādṛg adhiṣṭhātṛbhāvābhāvānuvṛttimat /	* sidDam yAdRS aDizWAtR-BAva-aBAva-anuvRttimat /
   * saṃniveśādi tad yuktaṃ tasmād yad anumīyate // MrgTV_1,1.9ab1:21	* saMniveSa-Adi tat yuktam tasmAt yat anumIyate // MrgTV_1,1.9ab1:21
   * vastubhede prasiddhe 'pi śabdasāmyād abhedinaḥ /	* vastu-Bede prasidDe api Sabda-sAmyAt aBedinaH /
   * na yuktānumitiḥ pāṇḍudravyād iva hutāśane // MrgTV_1,1.9ab1:22	* na yukta-anumitiH pANxu-dravyAt iva hutASane // MrgTV_1,1.9ab1:22
   * iti // MrgTV_1,1.9ab1:23	* iti // MrgTV_1,1.9ab1:23
   * api ca valabhyādīnāṃ pakṣāntarbhāve dṛṣṭāntābhāvaḥ // MrgTV_1,1.9ab1:24	* api ca valaBI-AdInAm pakza-antarBAve dRzwAnta-aBAvaH // MrgTV_1,1.9ab1:24
   * na cetaratrāntarbhāvaḥ tadā īśvarasya sarvakartṛtvahāniḥ //	* na ca-itaratra-antarBAvaH tadA ISvarasya sarva-kartR-tva-hAniH //
   MrgTV_1,1.9ab1:25	MrgTV_1,1.9ab1:25
   * sthapatyādyanvayavyatirekānuvidhāyinau bhāvābhāvau valabhyādīnāṃ dṛṣṭau	* sTapati-Adi-anvaya-vyatireka-anuviDAyinO BAva-aBAvO valaBI-AdInAm dRzwO
   // MrgTV_1,1.9ab1:26	// MrgTV_1,1.9ab1:26
   * na ca dṛṣṭaṃ kāraṇam apahāya kāraṇāntaraṃ tadīśvarākhyaṃ kalpayitum	* na ca dRzwam kAraNam apahAya kAraNa-antaram tat-ISvara-AKyam kalpayitum
   upapannam // MrgTV_1,1.9ab1:27	upapannam // MrgTV_1,1.9ab1:27
   * evaṃ hi sati sarvatra kāryakāraṇabhāvo viplaveta // MrgTV_1,1.9ab1:28	* evam hi sati sarvatra kArya-kAraNa-BAvaH viplaveta // MrgTV_1,1.9ab1:28
   * tad uktam /	* tat uktam /
   * yasmin sati bhavaty eva yat tato 'nyasya kalpane /	* yasmin sati Bavati eva yat tatas anyasya kalpane /
   * iti // MrgTV_1,1.9ab1:30	* iti // MrgTV_1,1.9ab1:30
   * kiṃ ca na tāvad aśarīrajagannirmātṛdevatāviśeṣābhyupagamo yuktaḥ tasya	* kim ca na tAvat aSarIra-jagat-nirmAtR-devatA-viSeza-aByupagamaH yuktaH tasya
   jagallakṣaṇakāryasampādanāsaṃbhavāt // MrgTV_1,1.9ab1:31	jagat-lakzaNa-kArya-sampAdana-asaMBavAt // MrgTV_1,1.9ab1:31
   * yad āha /	* yat Aha /
   * kāryaṃ śarīrayuktena kartrā vyāptaṃ sadaiva yat /	* kAryam SarIra-yuktena kartrA vyAptam sadA-eva yat /
   * kāryatvāt tena jagataḥ kartā dehī prasajyate // MrgTV_1,1.9ab1:32	* kAryatvAt tena jagataH kartA dehI prasajyate // MrgTV_1,1.9ab1:32
   * iti // MrgTV_1,1.9ab1:33	* iti // MrgTV_1,1.9ab1:33
   * tataś ca dharmisvarūpaviparītasādhakaḥ kāryahetuḥ // MrgTV_1,1.9ab1:34	* tatas ca Darmi-svarUpa-viparIta-sADakaH kArya-hetuH // MrgTV_1,1.9ab1:34
   * śarīravattve tv asmadādivad utpattipralayayogitvam // MrgTV_1,1.9ab1:35	* SarIra-vat-tve tu asmad-Adi-vat utpatti-pralaya-yogi-tvam // MrgTV_1,1.9ab1:35
   * tac cāsya śarīraṃ svanirmitaṃ kartrantaranirmitaṃ vā //	* tat ca-asya SarIram sva-nirmitam kartR-antara-nirmitam vA //
   MrgTV_1,1.9ab1:36	MrgTV_1,1.9ab1:36
   * svanirmitatve kim asau tatsargakāle saśarīraḥ śarīrarahito vā //	* sva-nirmita-tve kim asO tad-sarga-kAle sa-SarIraH SarIra-rahitaH vA //
   MrgTV_1,1.9ab1:37	MrgTV_1,1.9ab1:37
   * dehendriyarahitasya na kvacit kiṃcit kāryaṃ dṛṣṭam ity uktam //	* deha-indriya-rahitasya na kvacid kiMcid kAryam dRzwam iti uktam //
   MrgTV_1,1.9ab1:38	MrgTV_1,1.9ab1:38
   * śarīravāṃś cet śarīraṃ sṛjati tarhi tad apy asya śarīraṃ kiṃ kṛtam //	* SarIravAn ced SarIram sRjati tarhi tat api asya SarIram kim kRtam //
   MrgTV_1,1.9ab1:39	MrgTV_1,1.9ab1:39
   * svakṛtatve 'nyakṛtatve vānavasthety evamādibādhakasadbhāvāt sādhakaṃ	* sva-kRta-tve anya-kRta-tve vA-anavasTA-iti evamAdi-bADaka-sadBAvAt sADakam
   pramāṇaṃ na kiṃcid upapadyate // MrgTV_1,1.9ab1:40	pramANam na kiMcid upapadyate // MrgTV_1,1.9ab1:40
   * athocyate vākyam āgamalakṣaṇaṃ pramāṇam asti yad	* aTa-ucyate vAkyam Agama-lakzaNam pramANam asti yat-
   atyantātīndriyārthaniścāyakaṃ tataḥ pravartamānasyābhipretasampatter	atyanta-atIndriyA-arTa-niScAyakam tatas pravartamAnasya-aBipreta-sampatteH-
   dṛṣṭatvāt // MrgTV_1,1.9ab1:41	dRzwa-tvAt // MrgTV_1,1.9ab1:41
   * tad āhuḥ akṣaliṅgātigo hy arthaḥ puṃsaḥ śāstreṇa darśyate /	* tat AhuH akza-liFga-atigaH hi arTaH puMsaH SAstreNa darSyate /
   * iti // MrgTV_1,1.9ab1:42	* iti // MrgTV_1,1.9ab1:42
   * etad eva nirākartum āha // MrgTV_1,1.9ab1:43	* etat eva nirAkartum Aha // MrgTV_1,1.9ab1:43
